"शीर्षक","विवरण"
"मोहर डिजिटलको अनुमतिपत्र खारेज","काठमाडौं : नेपाल राष्ट्र बैंकबाट २०७६ असोज ३० गते अनुमति पाएको मोहर डिजिटल प्रालीको अनुमतिपत्र खारेज भएको छ । भुक्तानी सेवा प्रदायकका रूपमा सञ्चालित उक्त कम्पनीले कानुन विपरीत कार्य गरेको भन्दै केन्द्रीय बैंकको भुक्तानी प्रणाली विभागले सोमबार सूचना सार्वजनिक गर्दै खारेज गरेको बताएको छ । राष्ट्र बैंककाअनुसार कम्पनीले भुक्तानी तथा फस्र्योट ऐन, २०७५ को दफा ३६ को खण्ड (छ) र (ज) बमोजिमको कसुर गरेको देखिएकाले भुक्तानी तथा फस्यौट विनियमावली (प्रथम संशोधन, २०८०), २०७७ को विनियम ३५ को खण्ड (ग)को व्यवस्थाबमोजिम उक्त संस्थाको अनुमतिपत्र खारेज गरिएको हो । यससँगै केन्द्रीय बैंकले उक्त संस्थाले जारी गरेका भुक्तानी उपकरणहरूको प्रयोग गर्ने ग्राहकसँगको कुनै दायित्व बाँकी रहे सम्बन्धित संस्थामा सम्पर्क गर्न समेत अनुरोध गरेको छ ।"
"घरको छतबाट खसेर २२ महिनाको बालकको मृत्यु","दमौली : तनहुँको व्यास नगरपालिका१२ छिर्कनेमा घरको छतबाट खसेर २२ महिनाको बालकको मृत्यु भएको छ । मृत्यु हुनेमा मनिष सापकोटा रहेको जिल्ला प्रहरी कार्यालय तनहुँले जनाएको छ । घरको छतमा खेल्दै गरेको अवस्थामा खसेका उनको उपचारका क्रममा आज पोखरामा मृत्यु भएको हो । तत्कालै उनलाई दमौली अस्पतालमा प्राथमिक उपचार पश्चात् पोखरा पठाइएको थियो । प्रहरी नायब उपरीक्षक मोहनबहादुर खाँणका अनुसार घटनाबारे अनुसन्धान भइरहेको छ ।"
"१९औँ एसियाली खेलकुद : महिला फुटबलमा नेपाल जापानसित पराजित","हाङझाउ (चीन) : १९औँ एसियाली खेलकुद, २०२२ अन्तर्गत महिला फुटबलमा नेपाल जापानसित पराजित भएको छ । आज साँझ भएको खेलमा नेपाल जापानसित ८० गोलअन्तरले पराजित भएको हो । जापानसित पराजित भएसँगै नेपाल समूह चरणबाटै बाहिरिएको छ । महिला फुटबलमा नेपालले जापानसित पहिलो पटक खेलेको हो । समूह डी मा रहेको नेपालको यो लगातार दोस्रो पराजय हो । जापानले खेलको तेस्रो मिनेटमै अग्रता लिएको थियो । खेलको १३औँ मिनेटमा जापानले दोस्रो गोल गरेको थियो । यस्तै खेलको २७औँ मिनेटमा जापानका लागि मेमी युनोले तेस्रो गोल गरिन् । यस्तै खेलको ३०औँ मिनेटमा जापानकी रेइना वाकिसाकाले चौथो गोल गरिन् । खेलको ३६ औँ मिनेटमा जापानकी हाकुरा ओसावाले गोल गर्दै जापानलाई ५० गोलको फराकिलो अग्रता दिलाइन् । जापानले दोस्रो हाफमा नेपालविरुद्ध थप तीन गोल गरेको थियो । खेलको ५८ औँ मिनेटमा जापानका लागि कोटोनो साकाकीबराले छैटौँ गोल गरिन् । यस्तै खेलको ७४ औँ मिनेटमा ओसावाले व्यक्तिगत दोस्रो गोल गर्दै जापानलाई ७० गोलको अवस्थामा पुर्याइन । यसैगरी खेलको इन्जुरी समयमा जापानका लागि हाजिकाताले गोल गर्दै आफ्नो टोलीलाई ८० गोलअन्तरको जित दिलाइन् । जापानले पहिलो खेलमा बंगलादेशलाई पनि ८० गोलअन्तरले पराजित गरेको थियो । यसअघि समूह चरणको पहिलो खेलमा शुक्रबार नेपाल भियतनामसित पराजित भएको थियो । नेपाल भियतनामसित २० गोल अन्तरले पराजित भएको थियो । नेपालले पहिलो हाफमा भियतनामलाई गोलरहित बराबरीमा रोके पनि दोस्रो हाफमा भने दुई गोल खान पुगेको थियो । समूह डी मा रहेको नेपाल अंक तालिकाको तेस्रो स्थानमा छ । लगातार दोस्रो जितपछि जापान ६ अंक जोडेर समूह डी को शीर्ष स्थानमा छ । यस्तै भियतनाम दोस्रो स्थानमा तथा बंगलादेश अंक तालिकाको पुछारमा रहेको छ । नेपालले समूह चरणको अन्तिम खेल यही असोज ११ गते बंगलादेशसित खेल्ने छ ।"
"नेपाल र चीनबीच चिलिमेकेरुङ अन्तरदेशीय विद्युत प्रसारणलाइन निर्माण गर्ने सहमति","काठमाडौं : नेपाल र चीनबीच अन्तरदेशीय विद्युत प्रसारणलाइन निर्माण गर्ने सहमति भएको छ । प्रधानमन्त्री पुष्पकमल दाहालको चीन भ्रमणका दौरान सोमबार चिलिमेकेरुङ अन्तरदेशीय विद्युत प्रसारणलाइनसम्बन्धी समझदारी पत्रमा हस्ताक्षर भएको हो । ऊर्जा मन्त्रालयका सचिव दिनेश घिमिरे केरुङ प्रशारण लाइन निर्माणको सम्भाव्यता अध्ययनका लागि सम्झौता भएको बताए । उक्त परियोजना ऋण वा अनुदानमा बनाउने विषयमा सहमति भइनसकेको उनले टेलिफोनमार्फत् अन्नपूर्णलाई बताए । 'केरुङ प्रसारण लाइनको सम्भाव्यता अध्ययन गर्ने विषयमा नेपाल र चीनबीच सम्झौता भएको छ । नेपाल र चीनबीच भएका सम्झौता कार्यान्वयनका विषयमा निर्णय लिन संयुक्त कार्यदल बनाइएको छ । सोही कार्यदलले उक्त परियोजना ऋण वा अनुदानमा बनाउने विषयबारे निर्णय गर्छ,' सचिव घिमिरेले भने । रसुवागढीकेरुङ प्रसारलाइन अन्तरदेशीय प्रसारणलाइन विद्युत प्राधिकरणले नै प्रस्ताव गरेको परियोजना हो । नेपाल सरकारले रातमाटेरसुवागढीकेरुङ ४०० केभी प्रसारण लाइन निर्माणका लागि छनोट गरे पनि चीनले हाललाई चिलिमेकेरुङ सिंगल सर्किटअन्तर्गत २२० केभी प्रसारणलाइन निर्माण गर्ने सहमति गरेको हो ।"
"लोसपाले केन्द्रीय समितिलाई दियो पूर्णता","काठमाडौं : लोकतान्त्रिक समाजवादी पार्टी (लोसपा) नेपालले पदाधिकारीसहित केन्द्रीय समितिलाई पूर्णता दिएको छ । लोसपाको कार्यकारिणी समितिको बैठकले पदाधिकारीसहित तीन सय ११ सदस्यीय केन्द्रीय समिति गठन गरेको लोसपाका कार्यकारिणी सदस्य केशव झाले जानकारी दिए । उनका अनुसार लोसपाको विस्तारित केन्द्रीय समितिमा पार्टी अध्यक्ष महन्थ ठाकुरसहित ७० जना पदाधिकारी रहेका छन् । वरिष्ठ नेतामा नेतात्रय राजेन्द्र महतो, शरतसिंह भण्डारी र अनिलकुमार झाले जिम्मेवारी पाए । पार्टीको वरिष्ठ सहअध्यक्षमा नेता सर्वेन्द्रनाथ शुक्लालाई जिम्मेवारी दिइएको छ । त्यस्तै नेताहरू जितेन्द्र सोनल, उमाकान्त झा, लक्षणलाल कर्ण, अकवाल अहमद शाह निर्जला राउत गरी ६ जना वरिष्ठ उपाध्यक्ष र १५ उपाध्यक्ष रहेका छन् । महासचिवमा १६, सहमहासचिव आठ, सचिव ११, कोषाध्यक्षमा दुई, प्रवक्ता र सहकोषाध्यक्ष एकएकजना रहेका छन् । कोषाध्यक्षमा दुई जनालाई जिम्मेवारी दिइएको छ ।"
"प्रेमिकाको हत्या गरेको आरोपमा पक्राउ","धादिङ : प्रेमिकाको हत्या गरेको आरोपमा सप्तरी काचन (साविक काचन गाविस६) का ३५ वर्षीय अरुणकुमार मिझारलाई प्रहरीले पक्राउ गरेको छ । मोरङ विराटनगर महानगरपालिका५ की ३२ वर्षीय ललिताकुमारी रामको हत्या गरी फरार रहेका मिझारलाई छ वर्षपछि यही असोज ५ गते सप्तरी काचन वोदेबर्साइन नगरपालिका८ काचनबाट पक्राउ गरिएको पत्रकार सम्मेलनमार्फत जिल्ला प्रहरी कार्यालय धादिङका प्रहरी उपरीक्षक गौतम मिश्रले जानकारी दिए । कानुनबाट बच्न मिझारले देशै छाडेर बस्दै आएको एसपी मिश्रले बताए । उनी मलेसिया, दुबई, भारत लगायतका मुलुकहरूमा लुकिछिपी बस्दै आएका थिए । उनले भने, 'हाल नेपाल आएको समयमा प्रतिवादी मिझारलाई बागमती प्रदेश प्रहरी कार्यालय हेटौंडा मकवानपुरको सहयोगमा सप्तरीबाट पक्राउ गरिएको हो ।' 'ललिता २०७४ भदौ २१ गते मोरङबाट काठमाडौं आएको परिवारले जानकारी दिएका थिए । धादिङको धुनीबेँसी नगरपालिका९ टायलघरस्थित पृथ्वी राजमार्ग अधेरीखोलामा २०७४ साल असोज १२ गते साँझ बेवारिसे दुर्गन्धित अवस्थामा उनलाई मृत भेटिएको थियो । मृतकले लगाएको कपडा चप्पल हेरी भाइले मृतक ललितालाई पहिचान गरेको हो', एसपी मिश्रले भने । एसपी मिश्रका अनुसार मृतक ललिता पेसाले स्टाफ नर्स हुन् । मृतकको मोबाइल तथा प्राविधिक अनुसन्धानपछि मृतक ललिता र प्रतिवादी मिझार प्रेम सम्बन्धमा रहेका थिए । 'उनीहरू बीचको सम्बन्धबाट मृतक ललिता गर्भवती रहेको खुलेको छ । उनीहरूबीच असमझदारीका कारण मिझारले हत्या गरेको पुष्टि भएको हो । अहिले मिझारलाई धादिङ जिल्ला अदालतबाट सात दिनको म्याद थप गरी अनुसन्धान भइरहेको छ', उनले भने ।"
"पूर्व मन्त्री रामकुमार श्रेष्ठ भ्रष्टाचार मुद्दामा दोषी ठहर","काठमाडौं : अकुत सम्पत्ति आर्जन गरेको मुद्दामा पूर्व मन्त्री रामकुमार श्रेष्ठ दोषी ठहर भएका छन् । विशेष अदालतका न्यायाधीशद्वय यमुना भट्टराई र खुशीप्रसाद थारुको इजलासले पूर्व सचिवसमेत रहेका पूर्वमन्त्री श्रेष्ठलाई दोषी ठहर गरेको हो । अख्तियार दुरुपयोग अनुसन्धान आयोगले श्रेष्ठविरुद्ध भ्रष्टाचार मुद्दा दायर गरेको थियो । अदालतले उनलाई ६ महिना कैदन र ९८ लाख २९ हजार ५३७ रुपैयाँ जरिवाना र त्यति नै बराबरको बिगो जफत गर्न आदेश दिएको छ । खिलराज रेग्मी नेतृत्वको सरकारका बेला श्रेष्ठ शान्ति तथा पुनर्निर्माण, संस्कृति पर्यटन तथा नागरिक उड्डयन र युवा तथा खेलकुदमन्त्री थिए ।"
"चामलको बोराभित्र ब्राउन सुगर काठमाडौं पठाउन लागेका दुई युवक पक्राउ","झापा : चामलको बोराभित्र लागूऔषध ब्राउन सुगर लुकाएर काठमाडौं पठाउन लागेका दुई युवक दुधेमा पक्राउ परेका छन् । पक्राउ पर्नेहरूमा शिवसताक्षी नगरपालिका १ निवासी अन्दाजी २९ वर्षीय साजन राई र सोही ठाउँका अन्दाजी ३५ वर्षीय सुन्दर लावती रहेको जिल्ला प्रहरी कार्यालय झापाका डीएसपी खगेन्द्रप्रसाद रिजालले जानकारी दिए । सोमबार साँझ ५ :१० बजेको समयमा शिवसताक्षी नगरपालिका ११ दुधेस्थित साकिरा यातायात पालिको काउन्टरमा प्र१०१०१३ प ६५८१ नम्बरको स्कुटर चढेर आएका उनीहरूले काठमाडौं पठाउन भनी लगिएको चामलको बोरामा ब्राउन सुगर लुकाएर पठाउन खोजेका थिए । इलाका प्रहरी कार्यालय झिलझिलेबाट खटिएको प्रहरी टोलीले विशेष सूचनाको आधारमा चामलको बोरा खोलेर हेर्दा ९ ग्राम ७७० मिलिग्राम ब्राउन सुगर फेला परेको डीएसपी रिजालको भनाइ छ । स्कुटर, ब्राउन सुगरसहित पक्राउ परेका दुवै जनालाई इलाका प्रहरी कार्यालय झिलझिलेमा राखेर थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ । त्यस्तै सोमबार साँझ ६ बजेको समयमा मेचीनगर नगरपालिका ६ स्थित पुरानो मेची पुलमा इलाका प्रहरी कार्यालय काँकडभिट्टा र लागूऔषध नियन्त्रण ब्युरो काँकडभिट्टाबाट खटिएको संयुक्त प्रहरी टोलीले बिर्तामोड नगरपालिका ६ निवासी २० वर्षीय सुजन विश्वकर्मालाई १ ग्राम ब्राउन सुगरसहित पक्राउ गरेको छ । विश्वकर्मा भारतबाट नेपालतर्फ आइरहेका थिए । पक्राउ परेका उनलाई इलाका प्रहरी कार्यालय काँकडभिट्टामा राखेर थप अनुसन्धान अघि बढाएको प्रहरीले जनाएको छ ।"
"तरकारी बिक्रीस्थलको अतिक्रमण हटाउन माग","ओखलढुंगाः नागरिक समाजका अगुवाहरूले सदरमुकाम ओखलढुंगाको साप्ताहिक हटियामा किसानहरूका लागि बनाइएको तरकारी बिक्रीस्थलको अतिक्रमण हटाउन माग गरेका छन् । जिल्ला पैरवी सञ्जालको तर्फबाट पत्रकार तथा नागरिक समाजका प्रतिनिधिहरूले नगरपालिकालाई ध्यानाकर्षण बुझाउँदै कृषकहरूका लागि निर्माण गरिएको स्टलमा उनीहरूलाई निर्वाध बसेर तरकारी व्यापार गर्न दिने व्यवस्था गर्न माग गरिएको हो । सञ्जालको तर्फबाट नगरप्रमुख तेजन खनाललाई ध्यानाकर्षण बुझाउँदै कृषकलाई हटियामा निर्माण गरिएका स्टलमा बसेर तरकारी बेच्ने वातावरण बनाउन माग गरिएको सञ्जालका बोध नारायण श्रेष्ठले जानकारी दिए । उनले किसानका लागि बनाइएका टहरामा कपडा तथा खाद्यान्न व्यापारी बस्ने र गाउँबाट डोकोमा तरकारी बोकेर ल्याउने किसान कहिले झरिमा रुझेर, कहिले पानीमा भिजेर सडक पेटीमा बस्नु पर्ने बाध्यता रहेकाले ध्यानाकर्षण गराइएको बताए । सिद्धिचरण नगरपालिका१२ रहेको साप्ताहिक हटिया क्षेत्रमा पहिले छुट्टै कृषि उपज केन्द्र निर्माण गरेर तरकारी उत्पादक किसानलाई उपलब्ध गराइएको थियो । सदरमुकाममा घर भएका वा भाडामा सटर लिएर कपडा तथा खाद्यान्न व्यवसाय गर्ने व्यवसायीहरूले अहिले कृषि उपज राख्ने स्थलमा कब्जा जमाएका छन् । किसानका लागि बनाइएको उपज केन्द्र नगरपालिकाले कार्यालयका रूपमा विकास गरेपछि किसानहरू सडकमा पुगेका हुन् । हाल नगरपालिकाले निर्माण गरेका टहराहरू भने गैरकिसानले व्यवसाय गर्दै आएका छन् । उनीहरूमध्ये अधिकांशको हटियाभन्दा २०० मिटर वरपर घर तथा भाडाका सटर समेत छन् । किसानलाई नगरपालिकाले निर्माण गरेका स्टल उपलब्ध गराए स्वच्छ र सफा तरकारी उपभोक्ताले पाउने तथा किसानले पनि घामपानीको क्षति व्यहोर्नुनपर्ने अभियन्ता विमला धमलाले बताइन् । ध्यानाकर्षण पत्र बुझ्दै नगरप्रमुख खनालले नगरपालिकाले पशु बिक्रीस्थल तथा कृषि उपज बिक्रीस्थल उपयुक्त स्थानमा व्यवस्थापन गर्न काम सुरु गरेको बताए । उनले यसवर्ष बजेटमै व्यवस्था गरेर त्यस्ता संरचना बनाउने तयारी रहेको जनाए ।"
"भीरबाट लडेका वृद्धलाई उद्धार गर्न हेलिकोप्टर नआएपछि सांसद आक्रोसित","गोरखा : वृद्धभत्ता लिन जाँदा भीरबाट लडेर घाइते भएका चुमनुब्री२ स्योका एक वृद्धलाई हेलिकोप्टरबाट उद्धार गर्ने प्रयास असफल भएपछि सांसदले सरकारप्रति आक्रोस पोखेका छन् । ८० वर्षीय छेवादोर्जे लामा सोमबार बिहान ११ बजे वडा कार्यालयमा वृद्धभत्ता बुझ्न जाँदा भीरबाट लडेर घाइते भएका थिए । घाइते वृद्धको उद्धारका लागि गोरखाका सांसद राजेन्द्र बजगाईंले दिनभर प्रयास गरेका थिए । तर, निषेधित क्षेत्र भएको भन्दै हेलिकोप्टर आउन नमानेपछि उनले आक्रोस पोखेका हुन् । गम्भीर घाइतेको ज्यान बचाउन आफैंले पैसा तिरेर हेलिकोप्टर चार्टर गर्न खोज्दा पनि गृह मन्त्रालयले निषेधित क्षेत्रको बहानाबाजी गरेर आजित पारेपछि उनले सामाजिक सञ्जालमा , मेयर बालेनले त्यसै आगो लाइदिन्छु भनेको हैन रहेछ  भन्दै लेखे । उत्तरी गोरखावासीका लागि सरकार अति क्रुर र अति निर्मम भएको उनले आरोप लगाए । चुमनुब्री २ स्योका ८० वर्षका वृद्ध वडा कार्यालयमा वृद्धभत्ता लिन जाँदा भीरबाट लडेर गम्भीर घाइते हुनुहुन्छ भनेर मलाई साढे दुई बजे खबर आयो । गृह मन्त्रालयको कागजात म मिलाउँदै गर्छु, त्यहाँबाट बनाउने सिफारिस बनाइदिनु भनेर एक मिनेट नबित्दै मैले गोरखाका सिडियोसावलाई खबर गरेँ, सांसद बजगाईंले भने, निजी कम्पनीको हेलिकोप्टरलाई फोन गरेँ । गृहको अनुमति चाहिन्छ भन्यो । गृहमन्त्रीलाई फोन गरेँ, फोन रिसिभ भएन । पिएलाई गरेँ, मन्त्रीजी बिराटनगरमा भाषण गर्दै हुनुहुँदो रहेछ । गृहसचिवलाई फोन गरेँ उठेन । पछि थाहा भयो, उहाँ पनि विराटनगरकै कार्यक्रममा हुनुहुँदो रहेछ । लगातार साँढे दुई घण्टा प्रयास गरेँ गृहमन्त्रालयको कागज बनाउन सकिएन । पछि सेनाको हेलिकोप्टरलाई फोन गरेँ । भाडाको स्रोत सुनिश्चित गर्नुपर्छ भन्यो । मैले त्यसको ग्यारेण्टी गरेँ । तैपनि हेलिकोप्टर उडाउन सकिएन । निषेधित क्षेत्र भएकाले उत्तरी गोरखाबासीले अकालमै ज्यान गुमाउनु परेको उनले गुनासो गरे । जनता मार्ने निषेधित क्षेत्र कसका लागि हो ? जनताका लागि हो कि, सरकारका लागि हो कि, चाइनाका लागि ?, उनले भने, सरकारले न गाउँमा यातायात सेवा पुर्याउन सक्छ, निषेधित क्षेत्र भनेको छ, न लाखौँ खर्च गरेर घाइतेको उद्धार गर्न पाइन्छ, न सुत्केरीको, न बिरामीले समयमै उपचार पाउँछन् । नेपाली जनतालाई अकालमा मार्ने निषेधित क्षेत्र चाहिँदैन भनेर सबका सब जनताले बिरोध गरिरहेका छन् । फेरि कसका लागि चाहियो यो निषेधित क्षेत्र ?"
