"शीर्षक","विवरण"
"वीरगन्जको अस्पतालमा सुविधासहितको डिलक्स क्याबिन सञ्चालनमा","वीरगन्ज : वीरगन्ज महानगरपालिका वडा नम्बर १४ बहुअरीस्थित वीरगन्ज हेल्थकेयर हस्पिटलले चारतारे होटलको सुविधा सरहको सेवा विस्तार गरेको छ । मधेस प्रदेशमै मुटुको एन्जिओग्राफी र एन्जियोप्लास्टी सेवा दिँदै आएको एक मात्र हस्पिटलका रुपमा रहेको वीरगन्ज हेल्थकेयर हस्पिटलले शुक्रबारदेखि १० वटा डिलक्स केबिन सञ्चालनमा ल्याएको हो । हस्पिटल भवनको दोस्रो र तेस्रो तल्लाको ब्लकमा लिफ्ट सुविधासहितको डिलक्स क्याबिन सञ्चालनमा ल्याइएको हो । उक्त डिलक्स केबिनमा भेन्टिलेटरसहितको आइसियु,सेन्ट्रल अक्सिजन, बिरामीका कुरुवाका लागि छुट्टै बिस्तारा, कुरुवाकैलागि इन्टरनेट वाइफाइ ,टेलिभिजन , खानाका लागि ओवेनलगायतका उपकरण र सेवा उपलब्ध गराइएको हस्पिटलका अध्यक्ष तथा सञ्चालक डाक्टर अबुल हैस अन्सारीले जानकारी दिए । उनले मधेस प्रदेशमै यत्तिको सुविधासम्पन्न उपचार सेवा दिने एक मात्र वीरगन्ज हेल्थकेयर हस्पिटल भएकाले कुनैपनि बिरामी सुविधासम्पन्न उपचारका लागि अब काठमाडौं वा अन्य सहरका ठूला हस्पिटलमा जान नपर्ने बताए । उनका अनुसार शुक्रबारदेखि सञ्चालनमा ल्याइएको डिलक्स केबिनको प्रतिदिनको शुल्क ५ हजार ५ सय रुपैयाँ मात्र निर्धारण गरिएको छ । यत्तिको सेवा उपलब्ध हुने डिलक्स केबिनको शुल्क काठमाडौं वा अन्य सहरका अस्पतालको शुल्कभन्दा सस्तो रहेको दाबी डाक्टर अन्सारीको छ । २०६७ सालदेखि सेवा सुरु गरेको वीरगन्ज हेल्थकेयर हस्पिटलमा नेपाल सरकारको स्वास्थ्य बीमा र आमा सुरक्षा कार्यक्रम सेवापनि उपलब्ध छ । यसका साथै विपन्न नागरिकको लागी स्थानीय तहबाट सिफारिस भएका मुटु रोग, हेड इन्ज्यूरी र स्पाइनल इन्जूरी भएका बिरामीको उपचारमा १ लाख रुपैयाँ छुट दिने नेपाल सरकारको कार्यक्रमपनि हस्पिटलमा लागु रहेको सञ्चालक अन्सारीले जानकारी दिए ।"
"रहेनन् एभरेस्ट बैंकका अध्यक्ष श्रेष्ठ","काठमाडौं : एभरेष्ट बैंक लिमिटेडका संस्थापक एवं सञ्चालक समितिका अध्यक्ष विष्णुकृष्ण श्रेष्ठको ९४ वर्षको उमेरमा निधन भएको छ । उनको कात्तिक ६ गते मेडिसिटी अस्तालमा उपचारको क्रममा निधन भएको एभरेष्ट बैंकले जानकारी दिएको छ । श्रेष्ठको कुशल नेतृत्व एवंम अभिभावकत्वमा यस बैंकले उदाहरणीय प्रगति गर्दै आफूलाई दिगो, दरिलो र विश्वासीलो बैंकको रूपमा स्थापित गर्न सफल भएको थियो । श्रेष्ठको अन्त्येष्टि उनको इच्छाबमोजिम एभरेष्ट बैंकको सहयोगमा पशुपतिमा सञ्चालनमा रहेको कम दाउराले शव जलाइने प्रविधिमा आधारीत वुडन क्रिमेटरीमा गरिएको छ ।"
"""महासचिव गुटेरेसको यस्तो छ भ्रमण तालिका","लुम्बिनी र पोखरा पनि जाने"",""काठमाडौं : संयुक्त राष्ट्रसंघका महासचिव एन्टोनियो गुटेरेसले यही कात्तिक १२ देखि १५ गते (अक्टोबर २९ देखि १ नोभेम्बर)सम्म नेपालको औपचारिक भ्रमण गर्ने भएका छन् । प्रधानमन्त्री पुष्पकमल दाहालको निमन्त्रणामा उनी नेपाल आउन लागेका हुन् । जनवरी २०१७ मा उनले पदभार ग्रहण गरेपछि महासचिव गुटेरेसको यो पहिलो नेपाल भ्रमण हो । भ्रमणका क्रममा महासचिव गुटेरेसले ३० अक्टोबर २०२३ मा संघीय संसद्को संयुक्त अधिवेशनलाई सम्बोधन गर्नेछन् । उनले हिमालयमा जलवायु परिवर्तनको प्रभावको अवलोकन गर्नुका साथै प्रभावित समुदायसँग सङ्क्षिप्त कुराकानी गर्ने कार्यक्रम पनि रहेको छ । उनले भगवान गौतम बुद्धको जन्मस्थल लुम्बिनी र पोखराको भ्रमण गर्नेछन् । महासचिवका साथमा संयुक्त राष्ट्रसंघका शान्ति कार्यका लागि उपमहासचिव जीन पियरे ल्याक्रोइक्स, नेपालका लागि संयुक्त राष्ट्रसंघका आवासीय संयोजक हाना सिंगरहाम्दी र न्यूयोर्कस्थित संयुक्त राष्ट्रसंघको मुख्यालयका अन्य अधिकारीहरू र नेपालस्थित राष्ट्रसंघको टोली पनि सहभागी हुनेछ । भ्रमणका क्रममा महासचिव गुटेरेसले राष्ट्रपति रामचन्द्र पौडेल, प्रधानमन्त्री दाहाललगायतसँग भेटवार्ता गर्नेछन् । महासचिव गुटेरेस १ नोभेम्बरमा काठमाडौंबाट प्रस्थान गर्नेछन् ।"""
"प्रचण्ड र ओलीबीच भेटवार्ता","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड र एमाले अध्यक्ष केपी ओलीबीच भेटवार्ता भएको छ । प्रधामन्त्री दाहाललाई भेट्न अध्यक्ष ओली आज सिंहदरबार पुगेका थिए । उनीहरूबीचमा टिआरसी र पछिल्लो राजनीतिक अवस्थाबारे छलफल भएको छ । कोसी प्रदेशमा कांग्रेससँग मिलेर एमालेसमेत सरकारमा सहभागी भएको छ । कोसीमा सरकार निर्माणका क्रममा गठबन्धनमा देखिएको मतभेदलाई लिएर प्रधानमन्त्री दाहाल कांग्रेससँग सशंकित भएका छन् । नेपाली कांग्रेसका नेता शेखर कोइरला पक्षधर नेताहरूले वर्तमान गठबन्धन र प्रचण्ड नेतृत्वको सरकारको चर्को आलोचना गर्दै आएका छन् ।"
"कांग्रेसले भोलि चियापान गर्दै","काठमाडौं : नेपाली कांग्रेसले भोलि (शनिबार) चियापान गर्ने भएको छ । दसैं, तिहार तथा छठ पर्वको अवसरमा कांग्रेस पार्टी कार्यालयमा चियापान आयोजना गर्ने भएको हो । कांग्रेसका प्रचार विभाग प्रमुख मीन विश्वकर्माले कोजाग्रत पूर्णिमाको दिन चियापान आयोजना गरिएको बताए । उनका अनुसार शनिबार दिउँसो १ बजेदेखि ५ बजेसम्म चियापान कार्यक्रम आयोजना गरिनेछ । चियापान समारोहमा विभिन्न राजनीति दलका नेता, पार्टीका नेता कार्यकर्ताहरूको उपस्थिति रहनेछ । कांग्रेसले हरेक वर्ष कोजागत पूर्णिमाका दिन चियापान तथा शुभकामना आदान प्रदान कार्यक्रम आयोजना गर्दै आएको छ ।"
"""कतारमा आठ भारतीयलाई मृत्युदण्डको सजाय","भारत स्तब्ध"",""नयाँ दिल्ली : कतारले आफ्ना आठ नागरिकलाई मृत्यु दण्डको सजाय सुनाएको घटनाबाट स्तब्ध भएको भारतले बताएको छ । समाचारअनुसार जासुसीको आरोपमा मृत्युदण्डको सजाय पाउनेमा उच्चपदस्थ नौ सैनिक अधिकारी छन् । भारतीय विदेश मन्त्रालयले एक विज्ञप्तिमा 'नयाँ दिल्लीले कतारी अधिकारीहरूसँग निर्णय लिने' र बन्दीहरूलाई 'सबै कन्सुलर र कानुनी सहयोग विस्तार' जारी राख्ने बताएको छ । 'कतारको अदालतले आज अल दाहरा कम्पनीका आठ भारतीय कर्मचारीसँग सम्बन्धित मामिलमा फैसला सुनाएको हामीसँग प्रारम्भिक जानकारी भएको छ,' विज्ञप्तिमा भनिएको छ, 'हामी मृत्युदण्डको फैसलाबाट गहिरो स्तब्ध भएका छौं र विस्तृत फैसलाको प्रतीक्षा गरिरहेका छौं ।' खाडीस्थित कम्पनी अल दाहराले एयरोस्पेस, सुरक्षा र रक्षा क्षेत्रलाई पूर्ण सहयोग समाधान प्रदान गर्ने उक्त कम्पनीको वेवसाइटमा उल्लेख छ । कतारका अधिकारीहरूका तर्फबाट यसबारे तत्काल कुनै पुष्टि गरिएको छैन । भारतको विदेश मन्त्रालयले मृत्युदण्ड पाउने ती आठ व्यक्तिको कथित आरोपबारे कुनै विवरण दिएको छैन । 'यो मुद्दा प्रक्रिया गोप्य प्रकृतिको भएकाले अहिले थप टिप्पणी गर्नु उपयुक्त हुँदैन । मन्त्रालयले सबै कानुनी विकल्पहरूको खोजी गरिरहेको छ,' विज्ञप्तिमा भनिएको छ । केही भारतीय मिडियाले सजाय पाउनेहरूमा पूर्व नौसैनिक अधिकारी भएको बताएका छन् । उनीहरूमा पूर्वक्याप्टेन र कमान्डर पनि रहेका छन् । उनीहरूलाई सन् २०२२ अगस्टमा दोहामा गिरफ्तार गरिएको थियो । टाइम्स अफ इन्डिया, हिन्दुस्तान टाइम्स र प्रेस ट्रस्ट अफ इन्डिया सबैले उनीहरूलाई जासुसीको कथित मामिलामा गिरफ्तार गरिएको बताएका छन् ।"""
"अवैध लागुऔषधसहित पाँचजना पक्राउ","बर्दिया : मधुवन नगरपालिका६ गाउँ नम्बर ४ बाट अवैध लागुऔषध ब्राउनसुगर जस्तो देखिने पदार्थसहित ५ जनालाई बिहीबार प्रहरीले पक्राउ गरेको छ । पक्राउ पर्नेहरूमा मधुवन नगरपालिका७ गाउँ नम्बर ७ बस्ने २३ वर्षीय संदिप नेपाली,सोही नगरपालिका५ गाउँ नम्बर ८ बस्ने २२ वर्षीय माधव भण्डारी, सोही नगरपालिका६ गाउँ नम्बर ४ बस्ने गणेश ओली,सोही नगरपालिका७ बस्ने १८ वर्षीय किशोर र १६ वर्षीय किशोर रहेका छन् । इलाका प्रहरी कार्यालय ढोढरीबाट गस्तीमा खटिएको प्रहरी टोलीले संदिप नेपालीलाई ४० मिलिग्राम, माधव भण्डारीलाई ३० मिलिग्राम,गणेश ओलीलाई २ सय मिलिग्राम तथा नगद २४ हजार ४ सय २६ रूपैयाँ र दुईजना किशोरलाई ६० मिलिग्राम उक्त पदार्थसहित पक्राउ गरेको हो । यस सम्बन्धमा प्रहरीले आवश्यक अनुसन्धान गरिरहेको छ ।"
"मधुवनका किसानलाई उन्नत जातको मसुरोको बीउ","गुलरिया : बर्दियाको मधुवन नगरपालिका वडा नम्बर२ स्थित सोनाह गाउँमा किसानहरुलाई उन्नत जातको मसुरोको बीउ वितरण गरिएको छ । एकीकृत कृषि तथा पशुपंक्षी कास कार्यालय गुलरिया बर्दियाले स्थानीय कृषकलाई उन्नत जातको मसुरोको बीउ वितरण गरेको हो । लुम्बिनी प्रदेसका सांसद जन्मजय तिमिल्सिनाले बीउ वितरण गरेका हुन् । करिब ३० विगाह क्षेत्रफलमा पुग्ने गरी ६६ जना किसानलाई बीउ वितरण गरिएको एकीकृत कृषि तथा पशुपंक्षी विकास कार्यालय बर्दियाका प्रमुख सागर ढकालले बताए । ९ क्विन्टल खजुरा १, २ र ३ जातका बीउ बालीबस्तु विशेष सघन ब्यवसायिक उत्पादन क्षेत्र विकास कार्यक्रमअन्तर्गत वितरण गरिएको छ । किसानसँग नयाँ बीउका जात पुर्याउने ध्येयले नयाँ तथा उन्नत जातको मसुरोको बीउ वितरण गरिएको उनको भनाइ छ । २० प्रतिशत बीउ राम्रो भयो भने उत्पादन बढ्छ । प्रत्येक ३३ वर्षमा बीउ फेर्नुपर्ने सिद्धान्त छ । उनले मधुवन नगरपालिका वडा नं २ स्थित सोनाह गाउँ मसुरो खेतीका लागि उपयुक्त जमिन भएको बताए । मसुरो छर्दा बीउ बचिहाले आफूले तथा पशुपंक्षीलाई समेत नखुवाई राख्न उनको सुझाव छ ।"
"युक्रेनलाई १५ करोड अमेरकी डलरको सैन्य सहायता दिने अमेरिकाको घोषणा","वासिङ्टन डिसी : अमेरिकाले रुसविरुद्ध लड्न हतियार र उपकरण सैन्य सहायता प्याकेजअन्तर्गत युक्रेनलाई १५ करोड अमेरिकी डलर सहयोग गर्ने घोषणा गरेको छ । अमेरिकाको विदेश मन्त्रालयले एक विज्ञप्ति जारी गर्दै यसबारे जानकारी दिएको हो । मन्त्रालयको विज्ञप्तिमा भनिएको छ, 'अमेरिकी सरकार एउटा नयाँ प्याकेजमा हतियार र उपकरणहरूको घोषणा गर्दछ जसमा हवाई रक्षा, तोपखाना, ट्याङ्क र अन्य क्षमताहरू समावेश छन् ।' 'हतियार र उपकरणहरूको यो नयाँ प्याकेजमा हवाई रक्षा, तोपखाना, एन्टीट्याङ्क र अन्य क्षमताहरू समावेश छन् जसले रुसी आक्रमणहरूविरुद्ध आफ्नो क्षेत्रको रक्षा गर्ने युक्रेनको क्षमतालाई अझ बढाउने छ, युक्रेनले रुसी सेनाहरू विरुद्ध आफ्नो जवाफी हमलालाई जारी राखेको छ,'अमेरिकी विदेशमन्त्री एन्टोनी ब्लिङ्केनले बिहीबार जारी गरेको विज्ञप्तिमा भनिएको छ, युक्रेनको सेनाले रुसी सेनाद्वारा कब्जा गरिएका क्षेत्रलाई पुनः प्राप्त गर्नका लागि बहादुरीपूर्वक लडिरहेको छ र यो अतिरिक्त सहयोगले उनीहरूलाई प्रगति जारी राख्न सहयोग गर्नेछ, यो प्याकेजले युक्रेनका लागि पूर्वनिर्देशित उतारचढावअन्तर्गत घोषणा गरिएको १५ करोड अमेरिकी डलरको हतियार र उपकरण प्रदान गर्दछ ।' अमेरिकाले युद्धग्रस्त युक्रेनका लागि आफ्नो सहयोग दोहोर्याउँदै अमेरिका र उसका सहयोगी मुलुकहरूले रुसले आफ्नो सेना फिर्ता नगरेसम्म युक्रेनलाई सहयोग जारी राख्ने बताएको छ । 'रुसले यो युद्ध सुरु गरेको थियो र ऊ कुनै पनि समय युक्रेनबाट आफ्नो सेनालाई फिर्ता बोलाएर र आफ्नो क्रुर हमलालाई रोकेर यसलाई समाप्त गर्न सक्छ, रुसले निर्दोष मानिसलाई मारिरहेको छ, विज्ञप्तिमा भनिएको छ, जबसम्म यस्तो हुँदैन अमेरिका र हामीले बनाएको ५० भन्दा धेरै मुलुकहरूको गठबन्धन युक्रेनको पक्षमा उभिनेछ र हामी युक्रेनलाई उसको भविष्य सुरक्षित बनाउन सहयोग गर्नका लागि कांग्रेससँग काम जारी राख्नेछौँ ।' अगस्ट १४ मा अमेरिकाले युक्रेनका लागि २० करोड अमेरिकी डलरको सुरक्षा सहयोग घोषणा गरेको थियो ।"
"मुगुको मुन्दुमा एकै परिवारका चार जनाको सामूहिक हत्या","मुगु : जिल्लाको छायानाथ रारा नगरपालिका ६ मुन्दु गाउँमा एकै परिवारका चार जनाको सामूहिक हत्या भएको छ । एकै परिवारका २८ वर्षीया श्रीदेवी बोहोरा, ७ महिने छोरा रहर, ८ वर्षीया छोरी छिता र ११ वर्षीय छोरा मनोजको घाँटी रेटेर हत्या गरेको अवस्थामा फेला परेको हो । प्रहरीले घटनाको बारेमा थप अनुसन्धान गरिरहेको छ । घरभित्र हत्या गरिएको अवस्थामा चारैजनाको शव देखेपछि शुक्रबार बिहान ९ बजेतिर छिमेकीले प्रहरीलाई खबर गरेका थिए । अज्ञात समूहले धारिलो हतियार प्रयोग गरी उनीहरूको हत्या गरेको प्रहरीले जनाएको छ । हत्या भएको खबर पाउन वित्तिकै पिना प्रहरी चौकी र जिल्ला प्रहरी कार्यालयबाट प्रहरी टोली घटनास्थल पुगेको थियो । प्रहरी नायब उपरीक्षक विरेन्द्र थापाका अनुसार घटना दुई दिन अगाडि भएको हुनसक्ने अनुमान गरिएको छ । कार्त्तिक ८ गते बिहानदेखि सो घरमा ताला लगाएको थियो । लामो समयसम्म घरको ताला नखोलेपछि छिमेकीले शुक्रबार बिहान ९ बजेतिर ढोका खोलेर हेर्दा चारैजनाको विभत्सरुपले हत्या गरिएको अवस्थामा देखेका थिए । अहिले प्रहरीले घटना स्थललाई घेरा हाली अनुसन्धानको प्रक्रिया अगाडि बढाउँदैछ । शव पोस्टमार्टमका लागि जिल्ला अस्पतालमा लैजाने प्रहरीले जानकारी दिएको छ । हत्या गरिएकी महिलाले लगाएको गहना समेत चोरी भएको प्रहरीले बताएको छ । गहना निकालिएकाले धनमाल समेत चोरी भएको हुनसक्ने प्रहरीको अनुमान छ । ती महिलाका श्रीमान् एक वर्षदेखि वैदेशिक रोजगारीका लागि खाडी मुलुकमा रहेको छायानाथ रारानगरपालिका ६ का वडा अध्यक्ष खेम रावलले बताए ।"
