"शीर्षक","विवरण"
"बिदामा पनि बहिरंग सेवा","बेनी : म्याग्दीको बेनी अस्पतालले अतिरिक्त समय र सार्वजनिक बिदाका दिनमा बहिरंग सेवा प्रवाह गर्न थालेको छ । बिहान ९ देखि दिउँसो ४ बजेसम्म मात्र सञ्चालन हुँदै आएको बहिरंगको सेवा प्रवाह हुने समय अवधि दैनिक ६ घण्टा थपिएको हो । बिहान ७ देखि साँझ ८ बजेसम्म बहिरंग कक्षबाट सेवा दिन थालिएको अस्पतालले जनाएको छ । असोज २१ गतेदेखि परीक्षणका लागि सुरु गरिएको अतिरिक्त समयमा प्रवाह हुने सेवालाई बिहिबारदेखि औपचारिक रूपमा निरन्तरता दिइएको अस्पतालका प्रमुख डाक्टर अञ्जु थापाले बताइन् । एक हप्ता परीक्षण गरेर अतिरिक्त समयमा बहिरंग कक्षको सबै सेवा सञ्चालन गरेका छौं, उनले भनिन् दैनिक साठी जना भन्दा बढीले अतिरिक्त समयमा सेवा लिनुहुन्छ । कार्यालय समयमा अस्पतालमा लाइन बसेर सेवा लिन नसक्ने मजदुर, विद्यार्थी, कर्मचारी, व्यवसायीको सुविधा, दिउँसोको समयमा हुने सेवाग्राहीको चाप घटाउने र निजी क्लिनिकमा सेवा लिनुपर्ने समस्या न्युनीकरणका लागि अतिरिक्त समयमा सेवा सञ्चालन गरिएको अस्पताल व्यवस्थापन समितिका अध्यक्ष ज्ञानेन्द्र सुवेदीले बताए । समय व्यवस्थापन गर्न नसक्ने समूहलाई अस्पतालको सेवाको पहुँचमा ल्याउन अतिरिक्त समयमा बहिरंग कक्ष चलाउन थालेका हौं, उनले भने, अस्पतालमा चिकित्सकको सेवा पाएपछि निजी क्लिनिकमा जथाभावी उच्च डोजको औषधि किनेर उपभोग गर्ने र अन्तिम अवस्थामा सरकारी अस्पताल आउने समस्या न्युनीकरण हुने अपेक्षा गरेका छौं । अतिरिक्त समयमा सेवा दिने चिकित्सक र स्वास्थ्यकर्मीहरूलाई कामका आधारमा भत्ता दिने व्यवस्था मिलाइएको छ । अतिरिक्त समयमा सेवा लिएवापत सर्वसाधारणले थप शुल्क तिर्नुपर्दैन । अस्पताल व्यवस्थापन समितिमार्फत दुई जना चिकित्सक, एक जना फार्मेसी सहायक, एक जना रेडियोग्राफर र दुई जना सुरक्षा गार्ड नियुक्त गरेको छ । हाल दुई जना विशेषज्ञ चिकित्सक र पाँच जना मेडिकल अधिकृत रहेको अस्पतालले लोक सेवा आयोगबाट केही दिनमै प्राविधिक नियुक्त भएर आएपछि प्रयोगशालाको सेवा पनि सहज हुने जनाएको छ । सेवा विस्तारको शुभारम्भ गर्दै गण्डकी प्रदेशका स्वास्थ्य तथा सामाजिक विकास मन्त्री सुशीला सिम्खडाले जनशक्ति अभाव हुन नदिने बताइन् । सीमित जनशक्ति र पूर्वाधारका बीच पनि अतिरिक्त समयमा सेवा दिने बेनी अस्पतालको कार्यक्रमलाई मन्त्रालयले पूर्ण साथ दिन्छ, उनले भनिन् दरबन्दी अनुसारको पदपूर्ति गराउन बेनी अस्पतालबाटै सुरु गर्छौं । अतिरिक्त सेवा दिने कार्यक्रम अन्य अस्पतालमा पनि विस्तार गर्छौं । मन्त्रालयका स्वास्थ्य महानिर्देशक खिमबहादुर खड्काले गण्डकी प्रदेशमै पहिलो पटक बेनी अस्पतालले अतिरिक्त सेवा दिन थालेको र यसलाई निरन्तरता दिन मन्त्रालयले सहयोग गर्ने बताए । बेनी नगरपालिकाका प्रमुख सुरत केसी र प्रमुख जिल्ला अधिकारी तुलसीराम पौडेलले अस्पतालले सुरु गरेको अतिरिक्त समयमा सेवा प्रवाह गर्ने कार्यलाई निरन्तरताका लागि जनशक्तिको कमी प्रमुख चुनौती रहेको बताए । २०७२ मा १५ बाट ५० शय्यामा क्षमता विस्तार भएको अस्पतालले अहिले १५ शय्याकै दरबन्दीबाट ७८ शय्या बराबरको सेवा सञ्चालन गर्नुपरेको छ । दैनिक २०० देखि २५० जनाले अन्तरंग विभागबाट सेवा लिने गरेका छन् । अस्पतालले अन्तरंग र बहिरंग विभागका अलावा शल्यक्रियामार्फत प्रसुति, एपेन्डिसाइटिस, हर्नियाको उपचार, हाडजोर्नी, दन्त, आँखा, बच्चा उपचार कक्ष, हिंसा प्रभावितहरूका लागि अल्पकालीन सेवा केन्द्र, डायलाइसिस सेवा सञ्चालन गर्दै आएको छ ।"
"परराष्ट्रमन्त्री साउदको अमेरिका भ्रमण स्वीकृत","काठमाडौं : सरकारले परराष्ट्रमन्त्री एनपी साउदको अमेरिकाको भ्रमण स्वीकृत गरेको छ । बिहीबार बिहान बसेको मन्त्रिपरिषद बैठकका निर्णयहरू सार्वजनिक गर्दै सरकारका प्रवक्ता रेखा शर्माले परराष्ट्रमन्त्रीको कार्त्तिक ८ गतेदेखि १६ गतेसम्म अमेरिकाको भ्रमण स्वीकृति गर्ने निर्णय भएको जानकारी गराएकी हुन् । बैठकले तल्लो अरुण जलविधुत परियोजना ६६९ मेघावाटको आवश्यक १ सय दशमलव ९७ हेक्टर निजि जग्गा प्राप्ती गर्न स्वीकृती दिने निर्णय गरेको छ । प्रवक्ता शर्माले चाडपर्वमा हुनसक्ने कालाबजारी रोक्न अनुगमन टोली सक्रिय रहेको जानकारी दिइन् । चिनी लगायतका अत्यावश्य वस्तुको अभाव क्रमश हट्दै जाने उनले बताइन् ।"
"पूर्वराष्ट्रपति भण्डारीले गरिन् लिङ्ग भैरवी मन्दिरमा पूजा","काठमाडौं : पूर्वराष्ट्रपति विद्यादेवी भण्डारीले आज काठमाडौंको बसुन्धारास्थित लिङ्ग भैरवीको मन्दिरमा पुगेर पूजाआजा गरेकी छन् । नवरात्रको अवसर पारेर पूर्वराष्ट्रपति भण्डारीले लिङ्ग भैरवीमा दिउँसो पूजा आराधना गरेकी हुन् । उक्त मन्दिरमा अहिले नवरात्रको समयमा दैनिक एक हजारको सङ्ख्यामा भक्तजनले पूजापाठ गर्नुका साथै आरती,अभिषेक गरिरहेको मन्दिरका अध्यक्ष अम्बिका श्रेष्ठले जानकारी दिए । मन्दिरमा नवरात्रको समयमा बिहान ७ बजे,दिउँसो १२ बजे र राति ७ बजे आरती तथा अभिशेक कार्यक्रम गरिँदै आएको छ । अहिले नवरात्रको समयमा पनि चीन,भियतनाम, रुस, भारत, मङ्गोलिया, कम्बोडियालगायतका देशबाट पनि भक्तजन दर्शन तथा पूजाआजाका लागि आउने गरेको मन्दिरका पुजारी स्वामी बज्र बालाले बताए ।"
"वीरगन्जका दुवै भन्सार कार्यालय राजश्वको लक्ष्य भेट्याउन असफल","वीरगन्ज : वीरगन्ज नाकामा रहेका दुवै भन्सार कार्यालय फेरि राजश्व संकलनको लक्ष्य भेट्याउन असफल भएका छन् । देशको कूल आयात निर्यातको झण्डै ७० प्रतिशत कारोबार हुने वीरगन्ज नाकामा वीरगन्ज भन्सार एकीकृत भन्सार जाँच चौकी (आईसिपी) र सिर्सिया सुक्खा बन्दरगाह भन्सार कार्यालय छन् । चालु आर्थिक वर्षको सुरुवाती दुई महिना राजश्व संकलनको लक्ष्य पूरा गर्न असफल भएका यी दुवै भन्सार कार्यालयको दसैं तिहार जस्ता ठूला चाडपर्वका कारण गत असोजमा भने राजश्व संकलनमा व्यापक सुधार आउने अपेक्षा गरिएको थियो । तर गत असोजमा पनि यी दुवै भन्सार कार्यालयले फेरि राजश्व संकलनको लक्ष्य पूरा गर्न असफल भएका हुन् । राजश्व विभागले वीरगन्ज भन्सारलाई गत असोज महिनामा २१ अर्ब ८४ करोड १९ लाख ५० हजार रुपैयाँ राजश्व संकलनको लक्ष्य दिएको थियो । तर वीरगन्ज भन्सार कार्यालयले लक्ष्यको ६४ दशमलव ३५ प्रतिशतमात्र अर्थात् १४ अर्ब २७ करोड ४४ लाख २१ हजार रुपैयाँ मात्र राजश्व उठाएको छ । त्यसैगरी, चालु आर्थिक वर्षमा साउनदेखि असोजसम्म तीन महिनामा विभागले ५६ अर्ब ८४ करोड ६३ लाख ९२ हजार रुपैयाँ राजश्व असुलीको लक्ष्य दिएकोमा वीरगन्ज भन्सार कार्यालयले लक्ष्यको ६८ दशमलव ३५ प्रतिशतमात्र अर्थात् ३८ अर्ब ८५ करोड ५० लाख ९३ हजार रुपैयाँ मात्र राजश्व उठाउन सकेको वीरगन्ज भन्सार कार्यालयका प्रमुख भन्सार अधिकृत धनबहादुर बरुवालले जानकारी दिए । वीरगन्ज भन्सार कार्यालयले गत भदौ र साउन महिनामा पनि राजश्व संकलनको लक्ष्य पूरा गर्न सकेको थिएन । वीरगन्ज भन्सार कार्यालयले गत भदौंमा लक्ष्यको ६५ दशमलव ५९ प्रतिशतमात्र र गत साउनमा पनि लक्ष्यको ७५ दशमलव ९६ प्रतिशतमात्र राजश्व संकलन गर्न सकेको थियो । वीरगन्ज भन्सार कार्यालय प्रमुख भन्सार अधिकृत बरुवाल असोज महिनामा दसैं, तिहारजस्ता पर्वमा आयात बढेर गत असोजमा राजस्व असुली बढ्ने अनुमान गरिएको भए पनि राजश्व बढी उठ्ने मालवस्तुको आयात नै कम भएकाले राजश्व संकलनको लक्ष्य पूरा गर्न नसकिएको बताए । उनका अनुसार वीरगन्ज भन्सार कार्यालयमा राजश्व बढी उठ्ने वस्तुमा नयाँ सवारी साधन , इन्धन, औद्योगिक कच्चा पदार्थ इत्यादि हुन् । तर साउनदेखि नै ती यी वस्तुको आयात नै कम भइरहेकाले त्यसको सिधा असर राजश्व संकलनमा परेको उनले बताए । यता सिर्सिया सुक्खा बन्दरगाह भन्सार कार्यालयपनि गत असोजमा राजश्व संकलनको लक्ष्य भेट्याउन असफल भएको छ । राजश्व विभागले गत असोज महिनामा ५ अर्ब ३९ करोड १० लाख ९९ हजार रुपैयाँ राजस्व असुलीको लक्ष्य सुक्खा बन्दरगाह भन्सारलाई दिएको थियो । तर उसले पनि लक्ष्यको ७४ दशमलव ५२ प्रतिशत मात्र अर्थात् ४ अर्ब ४६ करोड ४१ लाख ७३ हजार रुपैयाँमात्र राजश्व उठाएको छ । त्यसैगरी,राजश्व विभागले सुक्खा बन्दरगाह भन्सारलाई चालू आर्थिक वर्षको साउनदेखि असोजसम्म तीन महिनामा १५ अर्ब ६० करोड ९८ लाख २५ हजार रुपैयाँ राजस्व असुलीको लक्ष्य दिएको थियो । तर सुक्खा बन्दरगाह भन्सारले उक्त तीन महिनामा लक्ष्यको ८४ दशमलव ०३ प्रतिशतमात्र अर्थात १३ अर्ब ११ करोड ६२ लाख ३३ हजार रुपैयाँ राजश्व संकलन गरेको सुक्खा बन्दरगाह भन्सार कार्यालयका अधिकृत सुशील शर्माले जानकारी दिए । सुक्खा बन्दरगाह भन्सार कार्यालयले गत भदौ महिनामा पनि लक्ष्य भन्दा करिब १५ प्रतिशत कम अर्थात् लक्ष्यको ८५दशमलव १५ प्रतिशत मात्र राजश्व संकलन गरेको थियो । गत असोज महिनामा भने पाँच दिनसम्म मुआब्जा पीडित जग्गाधनीहरूले भन्सारको गेटमै धर्ना दिएका कारण पाँच दिन भन्सार कार्यालयको सेवा ठप्प भएकाले त्यसको प्रत्यक्ष असर राजश्व संकलनमा पर्न गई लक्ष्य भन्दा कम राजश्व उठेको शर्माले बताए । सुख्खा बन्दरगाह र आईसिपी बीचको ६२ बिघा जग्गा सरकारले ७ वर्षदेखि अधिग्रहण गरेर रोक्का गरेको तर मुआब्जा भने नदिएको भन्दै जग्गाधनीहरूले असोज १४ देखि १८ गतेसम्म सुख्खा बन्दरगाह भन्सारको मूलगेटमै पाँच दिनसम्म धर्नामा बसेर प्रदर्शन गरेका थिए ।"
"५२ ज्येष्ठ नागरिकलाई दसैं खर्च वितरण","महोत्तरी : महोत्तरीको औरहीस्थित विषहरामाई बचत तथा ऋण सहकारी संस्थाले ५२ जना ज्येष्ठ नागरिकलाई दसैं खर्च उपलब्ध गराएको छ । बिहीबार संस्थाले एक कार्यक्रमको आयोजना गरी संस्थामा नियमित रूपमा कारोबार गर्ने सो संख्याका ज्येष्ठ नागरिकलाई दसैं खर्च उपलब्ध गराएको हो । संस्थाले जनही ५ सयका दरले सो रकम वितरण गरिएको संस्थाका प्रबन्धक रामनारायण साहले जानकारी दिए । संस्थाको वार्षिक कार्ययोजना अनुरुप नेपालीहरुको महान पर्व दसैंको अवसरमा यो रकम लक्षित वर्गलाई उपलब्ध गराएको साहले बताए । आफ्ना ज्येष्ठ नागरिक सदस्यको स्वास्थ्य ख्यालको साथै चाहना अनुसारको कार्य गर्नका लागि सहज होस् भनि रकम उपलब्ध गराएको प्रबन्धक साहले बताए । नगरभरिका ज्येष्ठ नागरिकको लक्षित गर्दै एक लाखसम्मको स्वास्थ्य बिमा घर घरमा सुचारु हुने औरही नगरपालिका७ का वडाध्यक्ष जितेन्द्र यादवले बताएका छन् । दसैंपछि घरघरमा यो अभियान सञ्चालन हुने भएकाले अभियानीलाई आवश्यक डकुमेन्ट उपलब्ध गराएर सहयोग गरिदिनका लागि वडाध्यक्ष यादवले आग्रह गरेका छन् ।"
"दसैंको आगामनसँगै चंगाको व्यापारमा वृद्धि (फोटो फिचर)","काठमाडौं : दसैंको आगामनसँगै चंगाको व्यापारमा पनि वृद्धि भएको छ । काठमाडौं उपत्यकामा रहेका चंगा व्यापारीहरूले दसैं आगामनसँगै मनग्य व्यापार गरिरहेका छन् । ललितपुरको ग्वार्कोका गोपाल देउलाले चंगासम्बन्धी पुर्ख्यौली पेसा अंगाल्दै आएका छन् । चाडवाडका बेला दैनिक ३५४० हजारसम्म व्यापार हुने गरेको उनको भनाइ छ । उनले चंगा भारतबाट आयात हुने गरेको बताए । तर लट्टाई भने आफैंले उत्पादन गर्दै आएको उनले बताए । 'यो खासमा सिजनल व्यापार हो । दसैंको आगामनसँगै यो व्यापारमा उल्लेख्य वृद्धि हुन्छ । अहिले राम्रो व्यापार भइरहेको छ । दैनिक ३५४० हजारसम्म आम्दानी हुन्छ,' उनले भने । उनले ललितपुरलगायतका क्षेत्रमा चंगा सप्लाईसमेत गर्दै आएका छन् ।"
"निर्माण व्यवसायीको ६ अर्ब भुक्तानी हुने","काठमाडौं : गत आर्थिक वर्षमा दायित्व सिर्जना भइ भुक्तानी बाँकी रहेको निर्माण व्यवसायीहरुको ६ अर्ब रुपैयाँ भुक्तानी हुने भएको छ । निर्माण व्यवसायीको भुक्तानी पाउने गरी अर्थ मन्त्रालयले नीतिगत निर्णय गरी सम्बन्धित कार्यालयमा परिपत्र गरिसकेको छ । उक्त भुक्तानी दसैंअघि नै निर्माण व्यवसायीका खातामा जाने गरी व्यवस्था गरिएको अर्थ मन्त्रालयले जनाएको छ । अर्थ मन्त्रालयका प्रवक्ता धनीराम शर्माले विभिन्न मन्त्रालयअन्तर्गतका परियोजनामा अघिल्लो आवको दायित्व भुक्तानी निकासा दिने निर्णय भएको जानकारी दिए ।"
"तीन महिनामा १५ हजार विदेशी पर्यटक पुगे मुस्ताङ","गण्डकी : मुस्ताङमा पर्यटकीय चहलपहल बढ्न थालेको छ । पर्यटकीय याम सुरु भएसँगै पर्यटकको आवागमन बाक्लिएको हो । असोजमंसिर नेपालको मुख्य पर्यटकीय याम हो । जोमसोमस्थित अन्नपूर्ण संरक्षण क्षेत्र आयोजनाको इलाका संरक्षण कार्यालयका अनुसार गत साउनयता १५ हजार तीन सय २८ विदेशी पर्यटकले मुस्ताङ घुमेका छन् । 'चालु आर्थिक वर्षको साउनदेखि असोजसम्ममा सार्क मुलुकका १३ हजार ९८ र सार्कबाहिरकाका दुई हजार दुई सय ३० पर्यटकले मुस्ताङ भ्रमण गरेका छन्', संरक्षण कार्यालयका प्रमुख प्रमोदराज रेग्मीले भने, 'मुस्ताङ भित्रने विदेशी पर्यटकमा भारतीयको संख्या बढी छ, भारतीय धार्मिक पर्यटक मुख्य गरी मुक्तिनाथको दर्शन भ्रमणका लागि आउँछन् ।' उनले कोभिड१९ महामारीका बेला सुस्ताएको मुस्ताङको पर्यटन विस्तारै लयमा फर्किरहेको बताए । अघिल्ला वर्षको तुलनामा मुस्ताङमा आन्तरिक पर्यटकको चहलपहल भने केही घटेको पाइएको कार्यालय प्रमुख रेग्मीले उल्लेख गरे । 'मुस्ताङ घुम्ने आन्तरिक पर्यटकको तथ्यांक त राख्ने गरिएको छैन, तैपनि यो वर्ष मुस्ताङमा नेपालीहरूको आवागमन कमै देखिन्छ', उनले भने । गत वर्षको तुलनामा आन्तरिक पर्यटक मुस्ताङमा धेरै कम भित्रिएको जोमसोमस्थित होटल सिर्जना होटल एन्ड थकाली भान्छाघरका सञ्चालक मनगुना थकालीले बताए । 'दसैंको वरिपरि आन्तरिक पर्यटकको चाप बढ्थ्यो, होटल पाहुनाले भरिभराउ हुन्थे, अहिले मुख्य याममै होटलका कोठा खाली छन्', उनले भने, 'आर्थिक मन्दीको असर मुस्ताङको पर्यटनमा पनि देखिएको छ, दसैंपछि आन्तरिक पर्यटक बढ्ने आशा छ ।' मुस्ताङ जोड्ने सडक कमसल हुँदा पनि पर्यटकको आवागमन सहज हुन नसकेको थकालीले बताए । 'वर्षायामको तुलनामा अहिले सडक केही सुधार त भएको छ, तर स्तरीय सडक नहुँदा मुस्ताङ आउने पर्यटकले ठाउँठाउँमा सास्ती खेप्नुपर्ने अवस्था छ', उनले भने । मुख्य याममै पर्यटक कम आएपछि मुस्ताङ र आसपासका होटल तथा पर्यटन व्यवसायी चिन्तित छन् । म्याग्दी हुँदै सडकमार्ग र पोखराबाट हवाईमार्ग भएर पर्यटक मुस्ताङ पुग्छन् । मनाङ हुँदै थोरङ्ला भञ्ज्याङ काटेर पनि पर्यटक मुस्ताङ छिर्ने गरेको अन्नपूर्ण संरक्षण क्षेत्र आयोजनाका प्रमुख डा रबिन कडरियाले बताए । विश्वप्रसिद्ध अन्नपूर्ण चक्रीय पदमार्गमा समेटिएको मुस्ताङ आन्तरिक र बाह्य पर्यटकको रोजाइमा पर्ने गरेको उनको भनाइ छ । 'समग्रमा मुस्ताङमा विदेशी पर्यटकको संख्या बढेको पाइए पनि सार्क मुलुकबाहिरका पर्यटकको संख्या भने घट्दै गएको देखिन्छ', प्रमुख डा कडरियाले भने, 'मुस्ताङ घुम्ने विदेशी पर्यटकमध्येमा अधिकांश भारतीय धार्मिक पर्यटक छन् ।'मुस्ताङस्थित मुक्तिनाथ क्षेत्र विश्वभरका हिन्दूमाझ पवित्र धार्मिकस्थल मानिन्छ । मुक्तिनाथकै बाटो भएर बौद्ध भिक्षु पद्यसम्भव बौद्ध धर्म प्रचारका लागि तिब्बत गएको हुँदा त्यस क्षेत्र बौद्धहरूको पनि तीर्थस्थलका रूपमा चिनिन्छ । मुक्तिनाथ मन्दिरको दर्शन गरेमा मोक्ष प्राप्त हुने जनविश्वास छ । मनोकांक्षा पूरा हुने र पितृहरूको उद्धार हुने आशामा बर्सेनि हजारौँ तीर्थयात्री मुक्तिनाथ क्षेत्र पुग्छन् ।"
"विराट कोहलीको शतकमा भारतले बंगलादेशलाई हरायो","काठमाडौं : आइसीसी एक दिवसीय विश्वकपमा भारतले लगातार चौथो जित हात पारेको छ । पुणेमा भएको बंगलादेशविरुद्धको खेलमा भारतले ७ विकेटको जित हात पारेको हो । बंगलादेशले दिएको २५७ रनको लक्ष्य भारतले ४१३ ओभरमा तीन विकेटको क्षतिमा पूरा गर्यो । भारतको जितमा विराट खोलीले १०३ रनको अविजित पारी खेलेका छन् । ९७ बलमा उनले ६ चौका र ४ छक्का प्रहार गरे । त्यस्तै केएल राहुलले अविजित ३४ रनको योगदान दिए । भारतका लागि शुभम गिलले ५३, कप्तान रोहित शर्माले ४८ र श्रेयस लयरले १९ रन बनाएर पेभेलियन फर्किएका थिए । यसअघि टस जितेर ब्याटिङ गरेको बंगलादेशले निर्धारित ओभरको खेलमा ८ विकेट गुमाएर २५७ रन बनाएको थियो । बंगलादेशका लागि लिटन दासले सर्वाधिक ६६ रन बनाए । त्यस्तै तन्जिद हसनले ५१, महुमुदुल्लाहले ४६, मसुफिकर रहिमले ३८ रन बनाए । पहिलो खेलमा जित दर्ता गरेको बंगलादेश त्यसयता तीन खेलमा पराजित भएको छ ।"
"टुँडिखेलमा फूलपातीको पूर्वतयारी (फोटो फिचर)","काठमाडौं : फूलपातीको पूर्वसन्ध्यामा नेपाली सेनाले टुँडिखेलमा पूर्वतयारी गरेको छ । बिहीबार सैनिक मञ्च टुँडिखेलमा विभिन्न कार्यक्रमहरुको आयोजना गरिएको नेपाली सेनाले जनाएको छ । प्रधान सेनापति प्रभुराम शर्माको उपस्थितिमा विभिन्न कार्यक्रमसमेत आयोजना गरिएको थियो ।"
