"शीर्षक","विवरण"
"मौलापुरकी मेयर साहमाथि निर्वाचन आयोगले गरेको निर्णय कार्यान्वयन नगर्न सर्वोच्चको अन्तरिम आदेश","रौतहट : सर्वोच्च अदालतले रौतहटको मौलापुर नगरपालिकाकी मेयर रिनाकुमारी साहमाथिको कारबाही तत्काललाई रोकिएको छ । सर्वोच्चले नेकपा एमालेको सिफारिसमा निर्वाचन आयोगले पदमुक्त गर्ने निर्णय कार्यान्वयनमा रोक लगाएको हो । शुक्रबार साहलाई पदमा पुनर्बहाली गर्न अन्तरिम आदेश दिएको हो । न्यायाधीश प्रकाशमान सिंह राउतको इजलासले निर्वाचन आयोगले गरेको कारबाही बदर गर्दै पुनर्बहाली गर्न आदेश दिएको हो । अदालतले निर्वाचन आयोगलाई १५ दिनभित्र यस सम्बन्धमा लिखित जवाफ पेस गर्न पनि आदेश दिएको छ । मेयर साह २०७९ वैशाख ३० गते सम्पन्न स्थानीय तह निर्वाचनमा एमालेबाट उम्मेदवार भई रौतहटको मौलापुर नगरपालिकाको मेयर पदमा निर्वाचित भएकी थिइन् । एमाले छाडेर प्रभु साह अध्यक्ष रहेको आम जनता पार्टी प्रवेश गरेको भन्दै नेकपा एमालेले मेयर साहलाई कारबाही गरेको थियो ।"
"मैत्रीपूर्ण महिला फुटबल खेलमा भारतको बिहारलाई हराउँदै नेपालको वीरगन्ज विजयी","वीरगन्ज : वीरगन्जमा शुक्रबार नेपालको वीरगन्ज र भारतको बिहारको महिला फुटबल टिमबीच भएको मैत्रीपूर्ण खेलमा नेपाल विजयी भएको छ । वीरगन्ज गोल्डकप फुटबल २०८० अन्तर्गत शुक्रबार भएको मैत्रीपूर्ण खेलमा भारतको बिहारलाई २० ले हराउँदै नेपालको वीरगन्ज युथ एकेडेमी विजयी भएको हो । आदर्शनगर रंगशालामा भएको मैत्रीपूर्ण खेलमा वीरगन्जको जीतमा अनिषा मगर र कविता गुरुंगले गोल गरेका हुन् । कूल ७० मिनेट खेलाइएको खेलको पहिलो हाफ गोलरहित बराबरीमा सकिएको थियो । वीरगन्जले दुवै गोल दोस्रो हाफमा गरेको हो । खेलको ४७ औं मिनेटमा सुनिता सुनारले दिएको पासमा अनिषाले गोल गर्दै आफ्नो टिमलाई १० को अग्रता दिलाएकी थिइन् । खेलको ६१ औं मिनेटमा कविताले थप एक गोल गर्दै वीरगन्जलाई २० को जीत दिलाउन सफल भइन् । उक्त मैत्रीपूर्ण खेलको वुमेन अफ दी म्याच वीरगन्जका लागि दोस्रो गोल गरेकी कविता गुरुङ घोषित भइन् । मैत्रीपूर्ण खेलको विजेता र उपविजेता दुवै टिमलाई आयोजक भेट्रान सिटी क्लबले ट्रफी र मेडल प्रदान गरेको थियो । कात्तिक १८ देखि जारी वीरगन्ज गोल्डकप फुटबलको उपाधिका लागि फाइनल खेल शनिबार हुँदैछ । उपाधिका लागि शनिबार दुई विभागीय टिम नेपाल पुलिस क्लब र त्रिभुवन आर्मी क्लब भिड्दै छन् । मधेस प्रदेशकै सबैभन्दा उच्च धनराशीको यो प्रतियोगिता कार्तिक २५ गते सम्म चल्ने छ । प्रतियोगितामा नेपालका ६ र भारतका दुई गरी कूल आठ टिम सहभागी छन् । वीरगन्ज महानगरपालिकाको मुख्य प्रायोजनमा आयोजित प्रतियोगिताको उपाधि उपविजेता टिमले नगद ११ लाख ११ हजार १ सय ११ रुपैयाँ र उपविजेता टिमले नगद ५ लाख ५५ हजाार ५ सय ५५ रुपैयाँका साथै शील्ड र मेडल प्राप्त गर्नेछन् ।"
"छेकम्पारको बुद्ध प्राविमा खेताला शिक्षक","गोरखा : चुमनुब्री गाउँपालिका७ छेकम्पारस्थित वुद्ध आधारभूत विद्यालयका स्थायी शिक्षक दोर्जे छेदेन लामाले आफ्नो सट्टामा खेताला शिक्षकलाई पढाउन पठाई आफू विद्यालय नजाने गरेको पाइएको छ । आरुघाट गाउँपालिका मान्बुकी मञ्जरी गुरुङलाई खेतालाका रुपमा विद्यालय पठाएर उनी काठमाडौँतिरै व्यवसाय गरेर बस्ने गरेका हुन् । विगत छ महिनादेखि खेताला शिक्षकलाई पढाउन पठाउने गरेका व्यवस्थापन समितिका अध्यक्ष लाक्पा नोर्बु लामाले जानकारी दिए । एकजना मिसलाई पढाउन पठाउने गर्नु भएको छ । कुन नियम, कानूनअनुसार खेताला शिक्षक राख्नु भएको हो थाहा छैन,' अध्यक्ष लामाले भने, हामी नियम कानुन नजानेका मान्छे धेरै बोल्न पनि मिल्दैन । उहाँहरु पढेलेखेको हुनुहुन्छ । नियम कानून धेरै जान्नु भएको होला । हामी अध्यक्षचाहिँ स्यालजस्तो हो, उहाँहरुचाहिँ बाघजस्तो हो । हामी अध्यक्षचाहिँ नोकरजस्तो हो, उहाँहरुचाहिँ मालिकजस्तो हो । यस्तो गर्न पाइँदैन भन्दाखेरि पोहोर मसित ठूलै झगडा भयो । नियम कानुन जानेको मान्छेसंग हामी कालो अक्षर भैँसी बराबर भएको मान्छे बोल्न पनि डर मान्नुपर्ने अबस्था छ । विगत डेढबर्षअघि काजमा सो विद्यालयमा आएका शिक्षक लामाले ६ महिना अघिदेखि खेताला शिक्षक राखेका हुन् । त्यसअघि आफू पनि विद्यालय नजाने र खेताला शिक्षक पनि राख्ने गरेका थिएनन् । स्थानीयले कि आफू आउनुपर्ने, कि सट्टामा अर्को शिक्षक खटाउनु पर्ने भनेर विरोध गरेपछि उनले खेताला खोजेर पठाउन थालेका विद्यालय व्यवस्थापन समितिले जनाएको छ । विगत २७ वर्षदेखि अस्थायी सेवामा रहेका लामा २०६१ सालमा स्थायी नियुक्त भएका हुन् । यसअघि छेकम आधारभूत विद्यालयमा रहेका उनलाई त्यहाँ विद्यार्थी न्यून भएकाले गाउँपालिकाले दरबन्दी मिलान गरी डेढबर्षदेखि गाउँ शिक्षा कार्यालयले वुद्ध आधारभूत विद्यालयमा काजमा खटाएको हो । पाँच कक्षासम्म सञ्चालन भएको वुद्ध आधारभूत विद्यालयमा हाल ३८ जना विद्यार्थी अध्ययरत छन् । गत जेठ महिनामा वडाअध्यक्ष र प्रधानाध्यापकहरुसंगको संयुक्त बैठकमा शिक्षक स्वयं विद्यालय हाजिर भएर पढाउनु पर्ने, सट्टामा कसैले कसैलाई राख्न नपाउने लगायतका विषयमा निर्णय गरेको शिक्षा युवा तथा खेलकुद शाखा चुमनुब्रीका प्रमुख बासुदेव ओली बताउँछन् । हामीले बेलाबेला संयुक्त बैठक राखेर सट्टामा कसैले कसैलाई राख्न नपाउने भनेर निर्णय पनि गरेका छौं, सचेत पनि गराइरहेका छौं,' ओली भन्छन्, 'तर अहिलेसम्म कहीँ पनि खेताला शिक्षक राखिएको भनेर उजुरी आएको छैन । बेलाबेला हामी पनि गाउँमा जाँदात्यस्तो अवस्था देखिएको थिएन । अहिले पहिलो पटक थाहा पाएँ । यस विषयमा के गर्ने भनेर कार्यपालिकासँग सल्लाह गरी अघि बढ्ने उनले बताए । सो विद्यालय रहेको छेकम्पार तिब्बती सीमा क्षेत्रमा पर्ने दुर्गम गाउँ हो । गोरखा सदरमुकामबाट ५० कोश टाढा रहेको यहाँसम्म पुग्न सदरमुकामबाट तीन दिन पैदल हिँड्नुपर्छ । त्यहाँसम्म मोटरबाटो पनि पुगेको छैन । गुणस्तरीय शिक्षाको खोजीमा यहाँका अधिकांश बासिन्दाले आफ्ना सन्तानलाई काठमाडौँ तथा भारतको धर्मशाला लगायतका ठाउँमा पढ्न पठाउने गर्छन् ।"
"बागलुङमा चिनीको मूल्य निर्धारण","बागलुङ : बागलुङ नगरपालिकाले चिनीको खुद्रा बिक्री मूल्य निर्धारण गरेको छ । नगरपालिकाले तिहार लगायतका चाडपर्वलाई लक्षित गरी चिनीको मूल्य बढीमा १ सय २० रुपैयाँमा तोकेको हो । बागलुङ नगरपालिकाका उपप्रमुख एवं उपभोक्ता हित संरक्षण समितिका संयोजक राजु खड्काले बजार क्षत्रमा चिनीको अभाव रहेको अवस्थामा प्रधान ब्रदर्श मार्फत खरिद गरिएको चिनीको मूल्य १ सय २० रुपैयाँ निर्धारण गरिएको बताए । उनले प्रधान ब्रदर्श मार्फत खरिद गरिएको चिनीलाई बजार क्षेत्र तथा वडा तहसम्ममा बजार व्यवस्थापनमा आवश्यक सहयोग र सहजीकरण गर्न निर्णय गरिएको बताए । बजार क्षेत्रभन्दा टाढा रहेका वडाहरूमा बागलुङ नगरपालिकाले ढुवानी सेवा उपलब्ध गराउने उपप्रमुख खड्काको भनाई छ । बागलुङमा व्यवसायीहरूले चिनी १३५ रुपैयाँ प्रतिकेजीमा बिक्री गर्दै आएका थिए । नगरपालिकाले बजार अनुगमनका क्रममा व्यवसाय दर्ता, नविकरण नगरिएको,म्याद गुज्रेका सामानहरू पसलमा भेटिएको, गुणस्तरीय मापदण्ड पुरा नगरेको, मिठाईजन्य खानेकुरा आफुखसी प्याकिङ गरेको, खानेकुराहरूमा रङ मिसावट गरिएको, पसलमा मूल्यसूची नराखिएको, मूल्य तोकिएका सामानको तोकिएको मूल्य भन्दा बढीमा बिक्री गरेको त्रुटिहरू देखिएको उपप्रमुख खड्काले बताए । उनले त्रुटि गर्नेहरूलाई सचेत गराइएको र अन्यथा गरे नियमानुसार हुने समेत जानकारी गराइएको बताए ।"
"कालीगण्डकीमा राष्ट्रपति रनिङ शिल्ड प्रतियोगिता सुरु","स्याङ्जा : कालीगण्डकीमा राष्ट्रपति रनिङ शिल्ड प्रतियोगिता सुरु भएको छ । जिल्लाको कालीगण्डकी गाउँपालिकामा राष्ट्रपति रनिङ शिल्ड अन्तर विद्यालय खेलकुद प्रतियोगिता बिहीबारदेखि सुरु भएको हो । प्रतियोगितामा एक दर्जन खेल समावेश गरिएका छन् । यी सबै प्रतियोगितामा छात्र, छात्रा दुवैको प्रतिस्पर्धा हुनेछ । भलिबल, एथेलेटिक्स अन्तर्गतका दौडहरू, हाइजम्प, लङ्जम्प, कबड्डी लगायतमा छात्र छात्रा दुवैतर्फका छुट्टाछुट्टै प्रतियोगिता गरिएको गाउपालिकाका अध्यक्ष खिम थापाले जानकारी दिए । प्रतियोगितामा गाउँपालिकाका १३ वटा विद्यालयका ४ सय ९७ जना बालबालिका विभिन्न खेलकुदमा प्रतिस्पर्धा गर्ने भएका छन् ।"
"धुलिखेलबाट १३ जुवाडे पक्राउ","काभ्रे : जिल्लाको धुलिखेल युनिक भोजनालयमा जुवातास खेलिरहेका १३ जना जुवाडेलाइ प्रहरीले पक्राउ गरिएको छ । शुक्रबार दिउँसो धुलिखेल नगरपालिका४ बिपि चोकको युनिक भोजनालयको कोठा नम्बर १०१ मा जुवातास खेलिरहेका जुवाडेलाई काठमाडौं उपत्यका अपराध महाशाखाबाट खटिएका प्रहरी टोलीले पक्राउ गरिएको जिल्ला प्रहरी कार्यालय काभ्रेले जनाएको छ । जुवाखालबाट ४ लाख ४६ हजार ३५० नगदसहित १३ जुवाडे पक्राउ गरिएको डीएसपी राजकुमार श्रेष्ठले जानकारी दिए । यसबारे थप अनुसन्धान गरिरहेको डीएसपी श्रेष्ठले बताए ।"
"तानसेनमा दुई दिने रोटी महोत्सव सुरु","तानसेन : तिहार भाइटीकालाई लक्षित गरेर परम्परागत कला संस्कृति तथा खानपानको जर्गेना गर्न तानसेनको टक्सारटोलमा दुई दिने रोटी महोत्सव सुरु भएको छ । पाल्पा उद्योग वाणिज्य संघ, तानसेन नगरपालिका, वडा नम्बर ३ को कार्यालय र मैत्री क्लब तानसेनको आयोजनामा सुरु भएको रोटी महोत्सवमा स्थानीयस्तरमा उत्पादित रोटीहरू फिनी, लाखा, जुम्ली, अनरसा अर्सा, झिनीया, सेल, झर, पाते, लहरा तथा खुर्मा जस्ता विभिन्न रोटीका प्रकारहरू राखिएका छन् । तानसेनको बजारलाई चहलपहल बनाउन, स्थानीय उत्पादनको बिक्री वितरण बढाउन, स्थानीय स्तरमा रोजगारी बढाउन महोत्सवले सहयोग पुग्ने लुम्बिनी प्रदेशका सभासद एवं पुर्व ऊर्जामन्त्री वीरबहादुर रानाले बताए ।"
"कतार पठाइदिन्छु भन्दै ठगी गर्ने भीमबहादुर पक्राउ","काठमाडौं : कतार पठाइदिने भन्दै ठगी गर्ने एक जना पक्राउ परेका छन् । पक्राउ पर्नेमा मोरङ घर भई काठमाडौंको मनमैजु बस्ने ३३ वर्षीय भीमबहादुर तामाङ रहेका छन् । उनले कतारमा पार्लरको काममा लगाइदिने भन्दै अनिता मगरातीसँग एक लाख ८६ हजार ठगी गरेका थिए । उनले कतारमा ६० हजार तलब पाउने आश्वासन दिँदै उक्त रकम ठगी गरेको काठमँडौं उपत्यका अपराध अनुसन्धान कार्यालयका प्रवक्ता रविन्द्र रेग्मीले जानकारी दिए । बिहीबार बसुन्धाराबाट पक्राउ परेका तामाङलाई थप अनुसन्धानका लागि वैदेशिक रोजगार विभागमा पठाइएको छ ।"
"उदयपुर अस्पताल कोसी प्रदेशकै पहिलो","उदयपुर : जिल्ला अस्पताल उदयपुर कोसी प्रदेशकै सर्वोत्कृष्ट अस्पताल घोषित भएको छ । प्रदेश सरकार मातहतमा रहेको स्वास्थ्य निर्देशनालय धनकुटालले आर्थिक वर्ष २०७९०८० मा गरेको कार्यसम्पादन मूल्यांकनमा १३ जिल्लालाई पछि पार्दै उदयपुरले पहिलो स्थान हासिल गरेको हो । आर्थिक वर्ष २०७८०७९ मा १४ औँ स्थानमा रहेको अस्पतालले गुणस्तरीय स्वास्थ्य सेवा, भौतिक पूर्वाधार, सरसफाई, विशेषज्ञ सेवामा ल्याएको परिवर्तनकै कारण इतिहास रच्न सफल भएको सूचना अधिकारी योगेश खनालले जानकारी दिए । निर्देशनालयको मूल्यांकनअनुसार जिल्ला अस्पताल ताप्लेजुङ द्वितीय र जिल्ला अस्पताल सोलु तृतीय भएका छन् । निर्देशनालयको आयोजनामा कात्तिक २१ देखि २३ गतेसम्म सञ्चालित प्रदेश स्तरीय एकीकृत वार्षिक समीक्षा गोष्ठीमा पुरस्कृत गरिएको छ । पछिल्लो समय अस्पतालका मेडिकल सुपरिटेन्डेन्ट डा ज्ञानेन्द्रकुमार झाको नेतृत्वमा रहेको टिमको अथक मेहनत र प्रभावकारी सेवाकै कारण प्रदेशकै प्रथम बन्न सफल भएको खनालले बताए । मेसु झाले नेतृत्व लिएसँगै बाल, हाडजोर्नी तथा नसा, प्रसूति तथा महिला, फिजिसियन, सर्जरी लगायतका विभिन्न विशेषज्ञ सेवा उपलब्ध गराउँदै आएको छ । चालु आर्थिक वर्षभित्र नै अस्पतालमा मिगौला रोगीहरूका लागि डायलाइसिस सेवा समेत विस्तार गर्ने लक्ष्य रहेको मेसु झाले बताए । पछिल्लो समयमा अस्पतालमा गुणस्तरीय सेवा उपलब्ध भएसँगै छिमेकी जिल्ला खोटाङ, ओखलढुंगा, सिन्धुली, सप्तरी, भोजपुरका बिरामीहरू समेत सेवा लिन आउने गरेका छन् ।"
"कर्णाली सरकारले मृतकका परिवारलाई २ लाख दिने","सुर्खेत : भूकम्पका कारण आफन्त गुमाएका परिवारलाई कर्णाली सरकारले तत्काल २ लाख रुपैयाँ उपलब्ध गराउने भएको छ । शुक्रबार बसेको मन्त्रिपरिषद्को बैठकले भूकम्पमा ज्यान गुमाएका मृतकका परिवारलाई तत्काल उक्त रकम उपलब्ध गराउने निर्णय गरेको हो । प्रतिमृतक २ लाखका दरले रकम उपलब्ध गराउने निर्णय भएको प्रदेश सरकारका प्रवक्तासमेत रहेका आन्तरिक मामिला तथा कानुन मन्त्री कृष्णबहादुर जिसीले जानकारी दिए । भूकम्पका कारण जाजरकोट र रुकुमपश्चिममा शुक्रबारसम्म १५४ जनाको मृत्यु भएको छ । मृतकका परिवारलाई प्रति मृतक २ लाख रुपैयाँ दिने निर्णय प्रदेश सरकारले गरेको हो । मन्त्री जिसीले भने,मृतकका परिवारलाई तत्काल यो रकम दिने निर्णय भएको छ, उद्धार र राहतमा जुट्दा निर्णय गर्न केही ढिला हुन पुग्यो । अब चाँडै पीडितले यो रकम पाउँछन्, पीडितको राहतका लागि सरकारले विस्तारै अरू निर्णय गर्दै जानेछ । यस्तै प्रदेश सरकारले भूकम्पमा घाइते भएकाहरूलाई पनि उपचार खर्च उपलब्ध गराउने निर्णय गरेको छ । घाइतेहरू उपचार खर्च कार्यविधि अनुसार दिने निर्णय मन्त्रिपरिषद्ले गरेको छ । घाइतेको प्रकृति हेरेर खर्च दिने निर्णय भएको मन्त्री जिसीले जानकारी दिए । उनका अनुसार तिहारपछि घाइतेले उपचार खर्च पाउने छन् । यस्तै मन्त्रिपरिषद्को बैठकले मृतकका परिवारलाई तत्काल किरिया खर्च पनि उपलब्ध गराउने निर्णय गरेको छ । मन्त्री जिसीले भने, एक जना मृतक भएको परिवारले २५ हजार रुपैयाँ किरिया खर्च पाउनेछन्, यदि परिवारका सबै जना मृतक भएको खण्डमा त्यस्ता परिवारलाई ५० हजार रुपैयाँ किरिया खर्च वापत दिने निर्णय भएको छ । मन्त्रिपरिषद्को बैठकले भूकम्पका कारण भत्किएका संरचनाहरूको पुनर्निर्माणका लागि संघीय सरकारसँग सहयोग माग्ने निर्णय गरेको छ । प्रभावित क्षेत्रमा स्थायी संरचनाहरू निर्माणका लागि आवश्यक पर्ने स्रोत, साधन र जनशक्ति उपलब्ध गराउन प्रदेश सरकारले संघीय सरकारलाई अनुरोध गर्ने निर्णय पनि गरेको छ । त्यसैगरी पीडितका लागि अस्थायी आवास निर्माणको जिम्मा भौतिक पूर्वाधार मन्त्रालयलाई जिम्मा दिने निर्णय भएको मन्त्री जिसीले बताए । यसका लागि आवश्यक पर्ने बजेट पनि भौतिक मन्त्रालयलाई कार्यादेश दिने निर्णय भएको छ । बैठकले भूकम्पपछि उद्धार र राहतमा सहयोग गर्ने सबैलाई धन्यवाद दिने, अस्थायी आवास र क्षति भएका विद्यालयहरूमा अस्थायी रुपमा पठनपाठन हुने व्यवस्था मिलाउने निर्णय पनि गरेको छ । विद्यालयको निर्माणका लागि तत्काल जस्ता पाता र अन्य सामग्री प्रदेश सरकारले उपलब्ध गराउने निर्णय सरकारले गरेको छ ।"
