"शीर्षक","विवरण"
"लाइसेन्स नभएका सहचालकलाई ट्याक्टर चलाउन दिने सवारी धनी पक्राउ","जोमसोम : मुस्ताङमा ट्याक्टर दुर्घटना हुँदा सहचालकको मृत्यु भएपछि गरिएको अनुसन्धानमा ट्याक्टर धनी नरजित फगानी मगर पक्राउ परेका छन् । उनलाई ट्याक्टर चलाउन इजाजत पत्र (लाईसेन्स) नभएको सहचालकलाई ट्याक्टर चलाउन अनुमति दिएको भन्दै जिल्ला प्रहरी कार्यालय मुस्ताङले पक्राउ गरेको हो । नियन्त्रणमा लिइएको ट्याक्टरका धनी फगानी मगरलाई आवश्यक अनुसन्धानका लागि पक्राउ गरिएको जिल्ला प्रहरी कार्यालय मुस्ताङका प्रहरी नायव उपरीक्षक रविन्द्रनाथ पौडेलले जानकारी दिए । उनलाई पक्राउ परेका ट्याक्टरका चालक रोल्पा जिल्ला रोल्पा नगरपालिका१ धवाङ बस्ने २४ वर्षीय नारायण रोक्काले दिएको बयानका आधारमा अनुसन्धानका लागि पक्राउ गरिएको बताईएको छ । ट्याक्टर धनी फगानी मगरले चालक हुँदा हुदै लाईसेन्स नभएको सहचालकलाई ट्याक्टर चलाउन दिएको र सोही कारण ट्याक्टर दुर्घटना भएको चालक रोक्काले प्रहरीको बयानमा बताएका छन् । गत वैशाख २३ गते बिहान मुस्ताङको थासाङ गाउँपालिका१ टुकुचे स्थित सिरानटोलमा कालिगण्डकी नदीमा बालुवा लिन आउने क्रममा ग १ त ६७३६ नम्बरको ट्याक्टर अनियन्त्रित हुँदा दुर्घटना भएको थियो । दुर्घटनामा सहचालक म्याग्दी जिल्ला धवलागिरी गाउँपालिका३ घर भई थासाङ गाउँपालिका२ खन्ती बस्ने ३४ वर्षीय टकमान बुढामगरको घटनास्थलमै मृत्यु भएको थियो । जिल्ला प्रहरी कार्यालय मुस्ताङले थप अनुसन्धान भइरहेको जनाएको छ ।"
"काठमाडौं महानगरका कर्मचारीले घुस मागे प्रमाणसहित पठाउन बालेनको आह्वान","काठमाडौं : काठमाडौं महानगरपालिकाका मेयर बालेन्द्र शाह (बालेन)ले महानगरभित्र हुने भ्रष्टाचारलाई हेर्न नसक्ने बताएका छन् । उनले आफ्नो अधिकार क्षेत्र महानगर रहेकाले घुस माग्ने कर्मचारीवरुद्ध प्रमाणसहित जानकारी दिन आह्वान गरेका छन् । उनले मोबाइल नम्बर सार्वजनिक गर्दै गोपनियता कायम राख्ने उल्लेख गरेका छन् । 'हामी भ्रष्टाचार भएको हेर्न सक्दैनौं । हाम्रो अधिकार क्षेत्र काठमाडौं महानगरपालिका कार्यालयमा कुनै कर्मचारीले कुनै पनि प्रकारमा पैसा मागेमा प्रमाणसहित हामीलाई सम्पर्क गर्नु होला भिडियोअडियोसहित । कसैले बिना प्रमाण यसले यति भ्रष्टाचार गर्यो भनेर आरोप लगाउनुभन्दा पनि प्रमाण जुटाउनु होला । हामीलाई  मा  मा प्रमाणसहित सम्पर्क गर्न सक्नु हुनेछ । यो मोबाइल मैलेमात्र बोक्ने भएको हुनाले पठाउनेको नाम गोप्य राखिनेछ,' सामाजिक सञ्जालमा उनले भनेका छन् ।"
"अत्याधुनिक इटाली पेस्तोलसहित तीन जना पक्राउ","धरान : अत्याधुनिक इटाली दुई थान पेस्तोलसहित प्रहरीले धरानबाट तीन जनालाई पक्राउ गरेको छ । प्रदेश प्रहरी कार्यालय विराटनगरको विशेष ब्यूरोको टोली र इलाका प्रहरी कार्यालय धरानको संयुक्त टोलीले पेस्तोल लुकाउने धरान१७ का दाजुभाइ २९ वर्षीय हुकमेन जिमी, २४ वर्षीय दिपक जिमी र धरान१५ का २४ वर्षीय रोहित राईलाई पेस्तोलसहित पक्राउ गरेको हो । धरान उपमहानगरपालिका१५ विशाल चोक र वडा नम्बर १७ को डाँडा घोपाबाट दुई इटाली पेस्तोल र पेस्तोल लुकाएर राखेको आरोपमा तीन जनालाई पक्राउ गरिएको इलाका प्रहरी कार्यालय धरानका डीएसपी नवराज मल्लले बताए । विशेष सुराकीका आधारमा ब्यूरोका प्रहरी नायब निरीक्षक रुद्र खडाका र इलाका प्रहरी कार्यालय धरानका प्रहरी निरीक्षक देउप्रसाद लिम्बुको नेतृत्वको टोली त्यहाँ पुगेको थियो । जिमी दाजुभाइ र राइले पेस्तोल खरिद गरेर कुनै अप्रिय घटना घटाउन लागेको सुराकी पाएको प्रहरी टोलीले दुवै जनाको घरमा छापा मारी पेस्तोल बरामद गरिएको डीएसपी मल्लले बताए । तीनै जनालाई सोमबार प्रहरीले पत्रकार सम्मेलन गरी सार्वजनिक गरेको छ । पक्राउ परेका तीनै जनालाई हातहतियार खरखजना कसुर अन्तर्गत जिल्ला अदालत सुनसरीबाट पाँच दिनको म्याद थप गरी अनुसन्धान सुरु गरिएको मल्लले बताए ।"
"""साथीसँग मिलेर श्रीमानको हत्या","दुवैलाई जन्मकैद"",""राजविराज : श्रीमानको हत्यामा संलग्न सप्तरीको विष्णुपुर गाउँपालिका५ कट्टी टोलकी इनरवती महतोलाई जन्मकैदको सजाय भएको छ । रामसुन्दर महतोको हत्या आरोपमा इनरवतीलाई जन्मकैदको सजाय भएको हो । इनरवती संलग्न रहेको हत्या घटनाका मुख्य अभियुक्त सप्तरीको रूपनी गाउँपालिका१ रूपनी चौकका ३८ वर्षीय नाजिर मियाँ भनिने नासिर मियाँलाई समेत जन्मकैद सजायको फैसला भएको सप्तरी जिल्ला अदालतले जनाएको छ । नासिर जनतान्त्रिक तराई मुक्ति मोर्चा गोईत समूहमा आवद्ध थिए । विभिन्न निर्माण कम्पनीका ठेकेदार तथा धनाढ्य व्यक्तिहरूलाई फोन गरी धम्काई चन्दा असुली गर्ने कार्यमा नासिर सरिक रहेको प्रहरीले जनाएको छ । बिष्णुपुर गाउँपालिका७ बाट २०७४ जेठ १३ गते एक थान पेस्तोल र गोइत समूहको जनतान्त्रिक तराई मुक्ति मोर्चाको पर्चा पम्प्लेटसहित नासिर पक्राउ पनि परेका थिए । उक्त घटनामा जरिवाना तिरेर नौ महिनापछि नासिर जेलबाट रिहा भएका थिए । अवैध लागुऔषध व्यापार गर्ने, लुकाई छिपाई हतियार बोकी हिँड्ने र जनमानसमा डर त्रासको वातावरण सृजना गर्ने आपराधिक समूहका व्यक्ति हुनुका साथै गाँजाका अम्मली पनि रहेको प्रहरी अनुसन्धानले देखाएको छ । गाँजाकै संगतले नासिरको रामसुन्दर महतोसँग मित्रता बढेको थियो । मोर्चाको गतिविधि लुकिछिपी गर्न उनले महतोको घरलाई बस्ने आश्रयस्थलका रूपमा प्रयोग गर्थे । यसै क्रममा नासिर र इनरवती नजिकिएका थिए । नासिर र डाक्नेश्वरी नगरपालिका७ ब्रहमपुरका ३० वर्षीय रोशन साह ०७८ असोज ८ गते बिहान महतोको घर पुगेको महतोकै छोरा जितेन्द्रले बताएका छन् । नासिरले उनको गाउँटोलमा भोज छ भनी खाना बनाउने कामका लागि महतोलाई लिएर गएका थिए । भोजका लागि लैजाने र जाने तीन दिनसम्म सम्पर्कविहिन भएपछि घरपरिवारका सदस्यहरूले खोजी गरेका थिए । सप्तरीको शम्भुनाथ नगरपालिका१ स्थित खाँडो खोला नजिक रहेको सार्वजनिक पोखरीमा असोज ९ गते पहिचान नखुलेको शव फेला परेको थियो । राजविराजस्थित गजेन्द्रनारायण सिंह अस्पतालको शवगृहमा सनाखतका लागि शव पोष्टमार्टम नगरी राखिएको थियो । वेवारिसे शवको बारेमा जानकारी पाएर पुगेका मृतक महतोका दाजु मधुसुदन महतोले भाइले लगाएको कपडा र घाँटीमा लगाएको रुद्राक्षको माला देखेर पहिचान गरेका थिए । शवको पहिचान खुलेर असोज ११ गते सनाखत भएको थियो । महतोलाई घरबाटै लैजाने मियाँ र साह भने बेपत्ता थिए । उनीहरूले नै हत्या गरेको हुन सक्ने मधुसुदनले बताएपछि प्रहरीले आरोपितहरूको खोजी गर्न थालेको थियो । इनरवती उतिबेला घटनालगत्तै पक्राउ परेकी थिइन । तर ठोस प्रमाणको अभावमा छुटेकी थिइन् । मोबाइल फोनको कल डिटेल्स (सिडिआर) रिपोर्टका आधारमा प्रहरीले इनरवतीसहित मदिरा पसले, कार्यक्रममा नाचगान गर्ने युवतीलाई घटना लगत्तै नियन्त्रणमा लिएको थियो । पर्याप्त प्रमाण विना मतियार, सहयोगीलाई अदालतमा पेश गर्दा शंकाको लाभमा धरौटीमा छुट्न सक्ने अवस्था हुने अनुमान गरेर नै इनरवतीसँग वयान लिएर छाडिएको अनुसन्धानमा खटिएको प्रहरीले जनाएको छ । इनरवतीसँगै सोही आधारमा मुख्य अभियुक्त समेत अदालतमा हाजिर भई छुट्ने अवस्था हुन सक्ने अनुमान गरेर नै प्रहरीले पहिले मुख्य अभियुक्त पक्राउ गरेर पछि मात्र मृतककी श्रीमतीलाई पक्राउ गर्ने जाल फिजाएको थियो । नासिरलाई पक्राउ गर्न मृतककी श्रीमतीलाई तत्काल छाडिएको आरोपितहरूले चाल नै पाएनन् । इनरवती छुटेपछि प्रहरीले नासिरको खोजिकार्य गरिरहेको चाल पाएर उनी भारतको विहारमा गई लुकेर बसे । प्रहरीले पक्राउ गर्न र उजुरी दर्ता गर्न खोजी रहेको थाहा पाएका नासिरले भारतबाटै एसपीसँग फोनमा हत्या स्वीकार्दै आफूलाई पक्राउ गर्न चुनौति पनि दिए । भारतमा लुकेर बसेका कारण प्रहरीले नासिरलाई पक्रन सकिरहेको थिएन् । सप्तरी प्रहरीले भारतीय प्रहरीलाई यसबारे जानकारी गराएर सहयोग मागेको थियो । स्थानीय तहको निर्वाचन नजिकिएपछि उम्मेदवारहरूलाई सहयोग गर्ने बहानामा राजनीतिक सरंक्षण लिएर नेपाल भित्रिएको सूचना पाएको सप्तरी प्रहरीले नेपालभारत सिमा नजिकै बोदे बर्साइन नगरपालिकाबाट नासिरलाई ०७९ वैशाख २३ गते पक्राउ गरेको थियो । उता प्रहरीले अनुसन्धान गरेपश्चात छाडिएकी र घरमै बसिरहेकी इनरवती आफूमाथि प्रहरीको शंका नरहेको भन्दै ढुक्क बसेकी थिइन् । नासिर पक्राउ परेपछि प्रहरीले इनरवतीलाई पनि ०७९ जेठ २४ गते पक्राउ गरेको हो । नासिर र रोशन साहले नै महतोको हत्या गरेको र इनरवतीको समेत संलग्नता रहेको प्रहरी अनुसन्धानले देखाएको छ । महतो बिहेको लगनका बेला हुने भोजभतेरमा खाना पकाउने काम गर्थे भने अरू बेला तरकारी बिक्री गर्थे । सप्तरी जिल्ला अदालतका न्यायाधीश हेमन्त रावलको इजलाशबाट अभियुक्तहरुलाई जन्मकैद सजायका साथै दुवै अभियुक्तले जनही दुई हजार आठ सय रुपैयाँ फौजदारी कसूर पीडित राहत कोषमा जम्मा गर्नुपर्ने फैसला भएको छ । अदालतका सूचना अधिकारी भरतमणि पोखरेलका अनुसार आरोपित नासिरले ५० हजार रुपैयाँ क्षतिपूर्ति दिनुपर्ने फैसला पनि भएको छ । हत्या घटनाका तेस्रो आरोपित रोशन साह हालसम्म फरार छन् । उनको हकमा मुद्दा मुल्तबीमा राख्ने फैसला भएको छ ।"""
"मंगलबार देशका यी स्थानमा हुने छ वर्षा","काठमाडौं : देशको पहाडी भूभागमा आंशिकदेखि सामान्य बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम सामान्यतया सफा रहनेछ । मौसम पूर्वानुमान महाशाखाका अनुसार कोशी प्रदेश र बागमती प्रदेशका पहाडी भूभागका केही स्थानहरू तथा बाँकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघगर्जनचट्याङ हावाहुरी सहित क्षणिक वा हल्का वर्षाको सम्भावना रहेको छ । पूर्वी तराईका थोरै स्थानहरूमा हावाहुरीको सम्भावना रहेको छ । मंगलबार राति कोशी प्रदेशका एकदुई स्थानमा मेघगर्जनचट्याङहावाहुरीसहित क्षणिक वा हल्का वर्षाको सम्भावना रहेको छ ।"
"मेलम्ची खानेपानी वितरण जेठ ५ गतेदेखि बन्द हुने","सिन्धुपाल्चोक : मेलम्ची खानेपानी वितरण जेठ ५ गतेदेखि बन्द हुने भएको छ । मर्मतका लागि सोमबारदेखि दुई हप्ता बन्द गर्ने भनिएकामा सरोकारवालाहरूको सुझावअनुसार पाँच दिनपछि मात्र मर्मतको काम सुरु गरिने मेलम्ची खानेपानी आयोजनाका कार्यकारी निर्देशक कमलराज श्रेष्ठले जानकारी दिए । उनका अनुसार दुई हप्ता जति मर्मत कार्य भएपछि पुनः पानी पठाइने छ । हेलम्बु१ स्थित आयोजनाको मुहान तथा हेडवर्क्समा केही उपकरण जडान तथा मर्मतसम्भार गर्नुपर्ने भएकाले दुई हप्ताका लागि पानी वितरण बन्द हुने मेलम्ची खानेपानी आयोजनाका सिनियर डिभिजनल इन्जिनियर पदमबहादुर कुँवरले जानकारी दिए । सामान्य बाढी आएको बेला आयोजना सञ्चालनमा नै राख्ने गरी अहिले उपकरण जडान तथा मर्मतसम्भार गर्न लागिएको उनले बताए ।"
"""नेपालभारतको दशगजा क्षेत्र खाली गराइने","सीमावर्ती प्रशासकबीच भयो यस्तो सहमति"",""झापा : पूर्वका खुला सीमा नाकामा उच्च सुरक्षा सतर्कता बढाउनुका साथै दशगजा क्षेत्र खाली गराउने अभियानमा दुवै देशका सुरक्षा निकाय जुट्ने भएका छन् । झापा र मोरङ जिल्लासँग जोडिएको भारतको विहार राज्य किशनगञ्जका जिल्ला अधिकारी (डीएम) श्रीकान्त शास्त्रीको आग्रहमा सोमबार ठाकुरगञ्जमा दुई देशका सुरक्षा निकायबीच बसेको बैठकमा यस्तो मौखिक सहमति भएको छ । संयुक्त बैठकमा झापा र मोरङ सीमा नाकाबाट हुने आपराधिक क्रियाकलाप (चोरी तस्करी, मानव तस्कर, लागुऔषध तथा हातहतियार ओसारपसार) रोकथाम तथा नियन्त्रणमा उच्च सतर्कता बढाउने, सीमा पिलरहरूको सुरक्षासँगै संयुक्त गस्ती परिचालनलाई नियमित गर्ने, अपराधजन्य क्रियाकलापमा आबद्ध व्यक्तिको पहिचान भएमा सूचना आदानप्रदान गरी सहयोग गर्ने, आतङ्ककारी गतिविधिमा बढी ध्यान दिने, दशगजा मिचेर बनाइएका घर, टहरा क्षेत्रको पहिचान गरी त्यसलाई क्रमशः खाली गराउँदै जाने अभियानमा दुवै देशका सुरक्षा निकाय जुट्ने लगायतका बारेमा छलफल भएको थियो । बैठकमा नेपालको तर्फबाट झापाका सहायक प्रमुख जिल्ला अधिकारी विश्वराज नेपाल, जिल्ला प्रहरी कार्यालय झापाका एसपी दुर्गाराज रेग्मी, सशस्त्र प्रहरी बल नेपाल नम्बर २ गण झापाका एसपी देवराज अर्याल, राष्ट्रिय अनुसन्धानका उपनिर्देशक तुलसी प्रसाईँ, मोरङका प्रमुख जिल्ला अधिकारी वीरेन्द्रकुमार यादव, जिल्ला प्रहरी कार्यालय मोरङका एसपी दीपक पोखरेल, सशस्त्र प्रहरीका एसपी तीर्थ थापा र अनुसन्धानका उपनिर्देशक नगेन्द्र दाहाल लगायतको उपस्थिति थियो । त्यस्तै भारतको तर्फबाट किशनगञ्जका जिल्ला अधिकारी (डीएम) शास्त्री, डीएफओ नरेश प्रसाद, एसडीएम अमितकुमार गुप्ता, एसएसबी ४१ बटालियनका कमानडेट सुभाषचन्द्र नेगी, एसएसबी १९ बटालियनका कमानडेट मधुकर अमिताभ, एसएसबी १२ बटालियनका डिप्टी कमानडेट लगायतको उपस्थिति रहेको थियो ।"""
"राप्रपाले भन्यो प्रमुख दलका कारण देश गम्भीर संकटमा","काठमाडौं : राष्ट्रिय प्रजातन्त्र पार्टीले राजसंस्था,हिन्दुराष्ट्र संविधानविपरीत नभएको बताएको छ । राप्रपाले विधानमै राजसंस्था र हिन्दुराष्ट्र उल्लेख हुनु संविधान विपरीत नभएको स्पष्ट पारेको हो । राप्रपाको सोमबारदेखि सुरु भएको केन्द्रीय कार्यसमिति बैठकमा पार्टी अध्यक्ष राजेन्द्र लिङ्देनले प्रस्तुत गरेको प्रतिवेदनमा भनिएको छ,विगतमा निर्वाचन आयोगबाट पटकपटक राप्रपाको विधानमा रहेको राजसंस्था, हिन्दुराष्ट्र र संघीयतासम्बन्धी अवधारणालाई संविधानविपरीत भन्दै प्रश्न उठ्दै आएको थियो । यसपटकबाट राप्रपाको विधानमा राजसंस्था र हिन्दुराष्ट्र उल्लेख हुनु संविधान विपरीत होइन भन्ने टुंगो लागेको छ । यसपटकको प्रतिनिधिसभा तथा प्रदेशसभाको निर्वाचनमा कुनैपनि एक राजनीतिक दललाई मात्र मतदाताले विश्वास गरेर बहुमत प्रदान नगरेको प्रतिवेदनमा भनिएको छ । प्रमुख दलका कारण मुलुक गम्भीर संकटमा भएको राप्रपाले स्पष्ट पारेको छ । प्रतिवेदनमा भनिएको छ,प्रमुख राजनीतिक दलहरूका सत्ताकेन्द्रित क्रियाकलापका कारण मुलुक गम्भीर संकटतर्फ उन्मुख छ । मुलुकका तीन प्रमुख अंगहरूका बीच रहनुपर्ने शक्ति नियन्त्रण र सन्तुलनको व्यवस्था ध्वस्त भएको छ । कमजोर अर्थतन्त्र, बढ्दो युवा वेरोजगारी, राज्यका सबै अंगमा भ्रष्टाचार र भ्रष्टाचारमा प्रायः सबै प्रमुख राजनीतिक दलहरूको संलग्नता, वैदेशिक नीतिमा आएको असन्तुलन सामान्य अवस्था होइन । राप्रपाले देशको सबैभन्दा जेठोदेखि सबैभन्दा कान्छा दल एकै कित्तामा उभिएको र यथास्थितिको निरन्तरताका पक्षधर बनेको आरोप लगाएको छ । प्रतिवेदनमा भनिएको छ,कानुन हातमा लिने,अख्तियार दुरुपयोग गर्ने र आफूलाई विधिभन्दा माथि राख्ने लोकतन्त्रविपरीत मान्यता फस्टाएको छ । सत्य, निष्ठा, इमान्दारीता, जवाफदेहीता दुर्लभ वस्तु बनेको छ । सानालाई ऐन,ठूलालाई चैन भन्ने अवस्था वर्तमान शासनको विशेषता बनेको छ । यो यथार्थ अवस्था दण्डहीनताको श्रृंखलाहरूले आफै प्रमाणित गरेको छ । धेरै पर जानै पर्दैन,वाइड बडीदेखि ललिता निवास जग्गा काण्ड,एनसेलदेखि क्यान्टोनमेन्ट घोटाला ध्यानमा लिने हो भने सत्यतथ्य सबै छर्लङ्ग हुन्छ । नक्कली शरणार्थी प्रकरण केवल अंकको भ्रष्टाचार मात्र नभइ राज्य विरुद्धको अपराध रहेको बताए । प्रतिवेदनमा भनिएको छ, नेपाली नागरिकलाई भुटानी शरणार्थी बनाएर अमेरिका पठाउन गरिएको राज्यशक्तिको दुरुपयोग एवं संगठित प्रयास प्रकरण र उक्त कार्यमा कथित विपरीत दलका अगुवाहरूको संलग्नताले पनि देशको अवस्था के छ भनेर प्रष्ट पार्छ सबैजसो ठूला भ्रष्टाचार काण्डहरूमा सबैजसो ठूला दलहरूको संलग्नता रहने विगतका काण्डहरु जस्तै यसमा पनि ठूला दलहरूको संलग्नता प्रष्ट हुँदै गएको छ । देश आर्थिक संकटमा रहेको र युवा बेरोजगारी तीव्र रूपमा बढेको बेला मुख्य राजनीतिक दलसम्बन्धित नेता र राज्यका जिम्मेवार निकायका मानिसहरूका क्रियाकलाप यसप्रकारको हुनु लज्जास्पद कुरा हो । प्रतिवेदनमा भनिएको छ,कुनैपनि बहानामा यस काण्डलाई सामसुम पार्ने र कसैलाई उन्मुक्ति दिनु हुँदैन । विगतका ठूलठूला भ्रष्टाचार काण्डहरू सेलाएर जाने र ठूला माछाहरूलाई उन्मुक्ति नजीरले गर्दा नक्कली शरणार्थी काण्डमा न्याय निसाफ हुन्छ भनेर नागरिक समाज अझैं आश्वस्त हुन सकेको छैन । २०४७ पछिका उच्चपदस्थ राजनीतिक लाभका पदमा रहेका र कर्मचारीहरूको सम्पत्ति छानविन गर्न उच्चस्तरीय न्यायिक आयोग गठन गर्न राप्रपाको माग छ ।"
"टोपबहादुर रायमाझीको बयान सुरू","काठमाडौं : नक्कली भुटानी शरणार्थी प्रकरणमा पक्राउ परेका टोपबहादुर रायमाझीको बयान सुरु भएको छ । रायमाझीले बबरमहलस्थित सरकारी वकिलको कार्यालयमा बयान दिएका हुन् । काठमाडौं जिल्ला अदालतले सोमबार टोपबहादुर रायमाझीलाई अनुसन्धानका लागि तीन दिन हिरासतमा राख्न अनुमति दिएको थियो । रायमाझीलाई प्रहरीले आइतबार बेलुकी बुढानिलकण्ठ क्षेत्रबाट पक्राउ गरेको थियो । एमाले सचिवसमेत रहेका रायमाझीलाई पार्टीले यसअघि नै निलम्बन गरेको थियो । यसअघि पूर्वगृहमन्त्री बालकृष्ण खाँणसहित १२ जनालाई प्रहरीले पक्राउ गरेर अनुसन्धानलाई अघि बढाएको छ । त्यस्तै आज सोमबार नै प्रतिनिधिसभा सभामुख देवराज घिमिरेले प्रतिनिधिसभा सदस्य टोपबहादुर रायमाझी पक्राउको जानकारी प्रतिनिधिसभालाई गराएका थिए ।"
"अन्तर्राष्ट्रिय समुदायसँग प्रधानमन्त्री प्रचण्डले भने मानवअधिकारको गम्भीर घटनामा आममाफी दिइने छैन","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल 'प्रचण्ड'ले मानवअधिकारको गम्भीर उल्लंघनको घटनामा आममाफी नदिइने बताएका छन् । संक्रमणकालीन न्यायसम्बन्धी विधेयकका विषयमा कूटनीतिक नियोगका प्रतिनिधिलाई जानकारी दिँदै उनले त्यस्ता घटनामा कुनै पनि प्रकारको आममाफी नदिइने स्पष्ट पारे । उनले शान्ति प्रक्रियालाई निष्कर्षमा पुर्याउन सरकार प्रतिबद्ध रहेको र त्यससम्बन्धी कामलाई फास्ट ट्र्याकमा टुंग्याउन दलहरूबीच सहमति भएको बताए । 'समाजमा शान्ति, मेलमिलाप र सद्भावको सुदृढीकरणलाई उच्च महत्व दिन्छौं र सङ्क्रमणकालीन न्याय प्रक्रियाको बाँकी काम टुंगोमा पुर्याउने र द्वन्द्वका पीडितहरूलाई न्याय र परिपूरण उपलब्ध गराउने हाम्रो प्रतिबद्धता दोहोर्याउँछौं,' सोमबार सिंहदरवारमा सम्बोधन गर्दै उनले भने । उनले विस्तृत शान्ति सम्झौता, सर्वोच्च अदालतका निर्देशनहरू र सान्दर्भिक अन्तर्राष्ट्रिय प्रतिबद्धताहरूले आफूहरूको प्रयासलाई लक्ष्यतर्फ डोऱ्याउने बताए । 'नेपालको शान्ति प्रक्रिया केही फरक र मौलिक प्रकृतिका छन् । त्यसलाई त्यही ढंगले टुंग्याउँछौं,' उनले भने । 'यही उद्देश्यलाई मध्यनजर गर्दै बेपत्ता पारिएका व्यक्तिको छानबिन, सत्य निरुपण तथा मेलमिलाप आयोग ऐन, २०७५ लाई संशोधन गर्न बनेको विधेयक संसदमा पेस गरिएको र विधेयकलाई चाँडोभन्दा चाँडो पारित गर्न प्रमुख राजनीतिक दलबीच सहमति भएको छ,' उनले भने, 'संशोधन प्रस्तावले पीडित केन्द्रित दृष्टिकोण अपनाएको छ र परिपूरणलाई पीडितको अधिकारको रूपमा मान्यता दिएको छ । मानवअधिकारको गम्भीर उल्लंघनका घटनामा कुनै पनि प्रकारको आममाफी दिइने छैन भनी म आश्वासन दिन्छु ।'"
