"शीर्षक","विवरण"
"तेन्जिङहिलारी एभरेष्ट म्याराथनमा सुमनको ह्याट्रिक","ओखलढुंगाः तेन्जिङहिलारी एभरेष्ट म्याराथनमा नेपाली धावक सुमन कुलुङ ह्याट्रिक गरेका छन् । सगरमाथा आधार शिविरबाट सोलुखुम्बुको नाम्चेसम्म (४२ किलोमिटर) को खुला फुल म्याराथनमा सुमनले तेस्रो पटक जित हात पार्दै ह्याट्रिक गरेका हुन् । उनले तीन घण्टा ४८ मिनेट ५४ सेकेण्डमा निर्धारित दूरी पार गर्दै लगातार तेस्रो पटक जित हत पारे । यो म्याराथन विश्वकै अग्लो स्थानमा हुने दौड प्रतियोगिता हो । दोस्रो स्थान दलबहादुर कुँवरले लिए । उनले तीन घण्टा ५७ मिनेट ५३ सेकेण्डमा पार गरे भने चार घण्टा दुई मिनेट तीन सेकेण्डमा उमेश राईले पार गर्दै तृतीय भए । उनीहरु तिनै जना नेपाली हुन् । त्यस्तै ७० किलोमिटरको एक्सट्रिम अल्ट्रा विधामा तीर्थबहादुर तामाङ प्रथम भए । उनले निर्धारित दूरी ८ घण्टा ३८ मिनेट ९ सेकेण्डमा पार गरे । दोस्रो स्थान तिलकबहादुर सुनुवारले बनाए । सुनुवारले ९ घण्टा २ मिनेट ३१ सेकेण्डमा दूरी पार गरे । किरन कुलुङले ९ घण्टा २६ मिनेट ३८ सेकेण्ड लगाएर तेस्रो स्थान हात पारे । २१ किलोमिटरको हाफ म्याराथनमा ३ घण्टा १९ मिनेट ४८ सेकेण्डमा पार गर्दै भारतीय धावक सम्झना राई प्रथम भइन् । तीन घण्टा २१ मिनेट ४१ सेकेण्ड लगाएर अष्ट्रेलियाका एम्मा विलियम्स दोस्रो तथा रुसका अलेक्जेण्डर ब्रुट्सेवले ३ घण्टा २३ मिनेट ५४ सेकेण्ड लगाएर तेस्रो स्थान हात पारे । ४२ किलोमिटरको विदेशी विधातर्फ चार घण्टा ४७ मिनेट १० सेकेण्ड लगाउँदै अमेरिकाका टेट पोल्म्यान पहिलो, छ घण्टा छ मिनेट ५१ सेकेण्ड लगाउँदै अष्ट्रेलियाका कियरा बेस्म्यानो दोस्रो तथा छ घण्टा ३० मिनेट ४३ सेकेण्ड लगाउँदै चीनका म्यथ्यु विलियम तेस्रो भए । ४२ किलोमिटरकै महिला विधामा नेपालकी मञ्जु रावतले ५ घण्टा २८ मिनेटमा पार गर्दै प्रथम भएकी छन् । दोस्रो स्थान ५ घण्टा २८ मिनेट ३६ सेकेण्ड लगाएर लाक्पा मिङ्मा शेर्पाले हात पारिन् । दिलकला कुलुङले ५ घण्टा ३१ मिनेट ५४ सेकेण्ड लगाएर तेस्रो स्थान हात पारेकी थिइन् । म्याराथन प्रतियोगितामा ६९ नेपालीसहित २८ देशबाट २०४ जनाले भाग लिएको आयोजक हिमालय एक्स्पिडिसनले जनाएको छ । म्याराथनमा अमेरिका, क्यानाडा, बेल्जियम, अस्ट्रेलिया, जर्मनी, भारतलगायत देशका धावकले भाग लिएका थिए । प्रतियोगितामा १७ वर्षदेखि ७२ वर्षसम्मका धावकले भाग लिएका थिए । सगरमाथामा पहिलोपल्ट मे २९ तारिखका दिन तेन्जिङ नोर्गे शेर्पा र सर एडमन्ड हिलारीले पाइला टेकेको अवसर पारेर १९ वर्षदेखि एभरेष्ट म्याराथन हुँदै आएको छ ।"
"कांग्रेस नेतृ मीना पाण्डेको निधन","काठमाडौं : नेपाली कांग्रेसको नेतृ मीना पाण्डेको निधन भएको छ । पूर्वमन्त्री तथा पूर्वसभासद समेत रहेकी पाण्डेको ७२ वर्षको उमेरमा आज निधन भएको पारिवारिक स्रोतले जनाएको छ । सर्लाही क्षेत्र नम्बर २ बाट दुईपटक प्रत्यक्ष सांसद निर्वाचित भएकी पाण्डे पछिल्लो प्रतिनिधिसभाको समानुपातिक सांसद हुन् । विसं २००८ सालमा जन्मिएकी पाण्डेले २०३५ मा नेपाल विद्यार्थी संघबाट राजनीतिक जीवनयात्रा प्रारम्भ गरेकी हुन् । तीन पटकसम्म नेपाली कांग्रेस केन्द्रीय कार्यसमितिको सदस्य रहेकी पाण्डे २०४८, २०५१ र २०७४ मा प्रतिनिधि सभा सदस्य हुन् । उनी विसं २०६४ मा संविधान सभा सदस्य बनेकी थिइन् । उनी नेपाली कांग्रेसको भ्रातृ संस्था नेपाल महिला संघको दुई पटक सभापति भएकी थिइन् । नेपालमा प्रजातन्त्रको स्थापना र पुनस्र्थापनाका क्रममा उनले पटकपटक जेल जीवन समेत व्यतित गरेकी थिइन् । उनको निधनबाट नेपाली कांग्रेसले एक अनुभवी महिला नेतृत्वलाई गुमाएको र अपूरणीय क्षति पुगेको जनाएको छ । पाण्डेको आजै पशुपति आर्यघाटमा दाहसंस्कार गरिने जनाइएको छ ।"
"""मुग्लिनमा बस दुर्घटना हुँदा ३२ जना घाइते","राजमार्ग एकतर्फी सञ्चालन"",चितवन : पृथ्वी राजमार्गअन्तर्गत चितवनको इच्छाकामना५ मुग्लिनमा बस दुर्घटना हुँदा ३२ जना घाइते भएका छन् । काठमाडौंबाट पोखरातर्फ जाँदै गरेको ग१ख ७७०१ नम्बरको बस आज दिउँसो ४ बजे मुग्लिनमा दुर्घटना भएको हो । इलाका प्रहरी कार्यालय मुग्लिनका प्रहरी निरीक्षक विशाल तामाङका अनुसार बसमा सवार रहेका ३२ जना घाइते भएका हुन् । घाइतेमध्ये केहीको अवस्था गम्भीर रहेको छ । सामान्य घाइतेको मुग्लिन हाइवे हस्पिटलमा उपचार भइरहेको छ भने अन्य घाइतेलाई थप उपचारका लागि भरतपुर अस्पताल पठाइएको छ । तीव्र गतिमा रहेको बस अर्को सवारीलाई उछिन्ने क्रममा भित्तामा ठोक्किएर पल्टिएको प्रहरी निरीक्षक तामाङले बताए । दुर्घटनाबारे थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ । अहिले राजमार्ग एकतर्फी मात्र सञ्चालन भएको छ । सडक दुईतर्फी सञ्चालनका लागि क्रेनको सहायताबाट दुर्घटनामा परेको बसलाई सडकबाट हटाउने प्रयास भइरहेको निरीक्षक तामाङले बताए ।"
"""भारत भ्रमणमा प्रधानमन्त्रीको एजेण्डा तय","भोलि दिल्ली प्रस्थान गर्ने"",""काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डको भोलिदेखि हुने छिमेकी मुलुक भारतको औपचारिक भ्रमणका सम्बन्धमा मन्त्रिपरिषद्मा छलफल भएको छ । सिंहदरबारस्थित प्रधानमन्त्री तथा मन्त्रिपरिषद् कार्यालयमा आज बसेको मन्त्रिपरिषद् बैठकमा प्रधानमन्त्रीको भारत भ्रमणबारे छलफल भएको सरकारका प्रवक्तासमेत रहेका सञ्चार तथा सूचना प्रविधिमन्त्री रेखा शर्माले जानकारी दिइन् । उनले भनिन्, 'मन्त्रिपरिषद्को बैठकमा प्रधानमन्त्रीको भोलिदेखि हुने भारत भ्रमणको तयारीलगायतका विषयमा सामान्य छलफल भएको छ ।' भारत भ्रमणको सरकारी प्रतिनिधिमण्डलको टुंगो लागिसकेको पनि सञ्चारमन्त्री शर्माले बताइन् । भारतको औपचारिक भ्रमणका क्रममा प्रधानमन्त्री नेपाली प्रतिनिधिमण्डलको नेतृत्व गर्दै नेपाल वायुसेवा निगमको जहाजमार्फत् भोलि त्यसतर्फ प्रस्तान गर्ने कार्यक्रम रहेको छ । मन्त्रिपरिषद् बैठकमा बजेटका सम्बन्धमा पनि छलफल भएको छ । प्रधानमन्त्रीको भारत भ्रमणपछि मात्रै बजेटसम्बन्धी छलफल गर्ने विषयमा पनि कुराकानी भएको सञ्चारमन्त्री शर्माले बताइन् । अर्थमन्त्री रामशरण महतले संघीय संसद्को दुवै सदनमा सोमबार आव २०८०८१ को वार्षिक बजेट प्रस्तुत गरेका थिए । त्यसैगरी मन्त्रिपरिषद् बैठकमा नागरिकताको विषयमा पनि सामान्य छलफल भएको छ । यद्यपि, नागरिकताको विषय अघिल्लो मन्त्रिपरिषद् बैठकले निर्णय गरेर स्वीकृतिका लागि राष्ट्रपति कार्यालयमा पठाइसकेको छ । 'आजको बैठकमा नागरिकताको विषय पनि प्रवेश भएको छ । नागरिकताको विषयमा राष्ट्रपतिले संविधानको व्यवस्थाअनुसार पारित गर्नुहुन्छ भन्ने हाम्रो विश्वास छ,' सञ्चारमन्त्री शर्माले भनिन् ।"""
"अभद्र व्यवहार तथा कुटपिट मुद्दा दर्ता भएपछि वडाध्यक्ष फरार","जनकपुरधाम : जनकपुरधाम उपमहानगरपालिकाका एक वडा अध्यक्ष माथि अभद्र व्यवहार तथा कुटपिट मुद्दा दर्ता भएको छ । जनकपुरधाम उपमहानगरपालिका२४ बसहियाका वडाध्यक्ष आपेन्द्र सहनीमाथि अभद्र व्यवहार तथा कुटपिट मुद्दा दर्ता भएको हो । बसहियास्थित जदुराउत पोखरीको ऐलानी डिलमा वडाध्यक्ष सहनीले जातीय धर्मशाला बनाउन खोज्दा स्थानीयले विरोध गरेपछि सहनीसहित प्रमोद सहनी, चन्दन सहनी, शिवरत्न सहनी लगायतले सुनिल यादव, सुरुज यादव, अमीर्ती देवी, अजय राउत लगायतका करिब एक दर्जन व्यक्तिलाई निर्घात कुटपिट गरेपछि प्रहरीले अभद्र व्यवहार तथा कुटपिट मुद्दा दर्ता गरेको हो । यता मुद्दा दर्ता भएसँगै वडाध्यक्ष फरार भएको श्रोतले जनाएको छ । गत बिहीबार ८ बजेको समयमा बसहियाको जदुराउत पोखरीको डिलमा अवस्थित ऐलानी जग्गामा वडाध्यक्ष सहनीले सहनी धर्मशाला बनाउन खोज्दा स्थानीयवासीले विरोध जनाउँदा वडाध्यक्षको मानिसहरूले स्थानीयलाई कुटेको थियो । बसहियाका स्थानीयहरूले सार्वजनिक जग्गामा कुनै एक जातको जातीय कुट्टी नबनाई सामुदायिक दलान बनाउनुपर्ने माग सहित विरोध गरेको थियो । सोही क्रममा वडाध्यक्ष र उनीहरूको मानिसको कुटपिटबाट ३५ वर्षीय सुनिल यादवको अवस्था गम्भीर भएपछि उनलाई थप उपचारका लागि शनिबार साँझ प्रादेशिक अस्पताल जनकपुरधामबाट काठमाडौं लगिएको छ । केही दिन अगाडि उक्त वडाका प्रत्याशी उम्मेदवार विशेश्वर शर्मा सहितका स्थानीयले वडाध्यक्ष सहनी विरुद्ध नगर प्रमुख मनोजकुमार साहलाई ११ बुँदे ज्ञापन पत्रसमेत बुझाएका थिए । गत वैशाख २१ गते वडाअध्यक्ष सहनीले नगर प्रहरी र जिरोमाइल प्रहरी चौकीको सहयोगमा सिक्सलेन सडक खण्डमा रहेको भोला मण्डलको बालुवा उठाई उपमहानगरमा नबुझाई बेचेको र बाँकी आफ्नै बालुवा गिट्टीको डिपोमा राखेको लगायतका उनीहरूको आरोप थियो । वडाध्यक्ष सहनी विरुद्ध प्रदर्शन जनकपुरधाम उपमहानगरपालिका२४ बसहियाका स्थानीयबासीले जिल्ला प्रशासन कार्यालय धनुषा घेराउ गरेका छन् । स्थानीयबासीहरूले सोही वडाका वडाअध्यक्ष उपेन्द्र सहनी विरुद्ध विरोध प्रदर्शन गर्दै आइतबार दिउँसो जिल्ला प्रशासन कार्यालय धनुषा घेराउ गरेका हुन् । उनीहरूले सार्वजनिक जग्गा जातीय अतिक्रमण गर्न पाइँदैन, भ्रष्ट र तानाशाह वडाअध्यक्ष मुर्दावाद, दोषीलाई कारबाही गर, सामाजिक सद्भाव कायम गरलगायतका मागसहितको प्लेकार्ड बोकेर प्रदर्शन गरेका छन् । घटना पश्चात् स्थानीय प्रशासनले मिलापत्र गर्न दबाब दिएको भन्दै आइतबार जिल्ला प्रशासन र जिल्ला प्रहरी कार्यालय घेराउ गरेको स्थानीय विजय यादवले जानकारी दिए । उनीहरूले कुटपिट गर्नेमाथि मुद्दा दर्ता गर्न माग गर्दै प्रमुख जिल्ला अधिकारी काशीराज दाहाललाई ज्ञापन पत्रसमेत बुझाएका छन् ।"
"मिटरब्याज पीडितको उजुरी छानविन गर्दै प्रशासन","नुवाकोट : जिल्ला प्रशासन कार्यालय नुवाकोटले सरकारले दिएको समय सीमाभित्र संकलित मिटरब्याज पीडितहरूको उजुरीमाथि छानविन गरिरहेको छ । मिटर ब्याज पीडितहरूलाई उजुरी दिन आह्वान गरेपछि समय सीमाभित्र प्रशासनमा उजुरी दिन र परामर्श लिन जानेहरू धेरै रहेका थिए । कार्यालयको सहायता कक्षमा समयसीमा भित्रमा आठवटा लिखित उजुरी परेको छ । नुवाकोटको विभिन्न स्थानीय तह ठेगाना भएका व्यक्तिहरूले आठ थान उजुरी दर्ता गरेकोमा सम्बन्धित उजुरीमाथि छानविन सुरु गरिएको सहायक प्रमुख जिल्ला अधिकारी वेदनिधि अधिकारीले जानकारी दिए । उजुरी दर्ताका लागि जिल्ला प्रशासनले वैशाख मसान्तसम्मको समय तोकेकोमा दोस्रो पटक समयावधि थप गरेर यही जेठ १४ गतेसम्म कायम रहेको समयभित्र दर्ता भएका उजुरीमाथि छानविन सुरु गरेर सम्बन्धित व्यक्ति झिकाउने कार्य सुरु गरिएको उनले बताए । दर्ता भएका उजुरीलाई प्राथमिकता दिएर अनुसन्धान कार्य भइरहेको प्रमुख जिल्ला अधिकारी किरण थापाले जानकारी दिए ।"
"कांग्रेसको रुपान्तरण अभियान सुरु","काठमाडौं : नेपाली कांग्रेसको रुपान्तरण अभियान सुरु भएको छ । उक्त अभियान मधेस प्रदेशको जनकपुरबाट शुभारम्भ भएको हो । नेपाली कांग्रेसलाई सशक्त, लोकप्रिय र गतिशील पार्टी बनाउने उद्देश्यसहित रुपान्तरण अभियान सुरु भएको हो । उक्त अभियान मेचीदेखि महाकालीसम्म सातै प्रदेशमा बृहत् भेला गरेर सञ्चालन गरिने कांग्रेसले जनाएको छ । 'यो अभियान गुट निरपक्ष अभियान हो । यो कसैलाई कमजोर बनाउने र कसैको जयजय कार गर्ने तथा निश्चित समूहको स्वार्थ र हितमा काम गर्ने अभियान नभएर सिंगो पार्टिलाई बलियो बनाउने र पार्टिकै चिन्ता चासोले पार्टिकै हितमा प्रारम्भ गरिएको अभियान हो,' कांग्रेसले भनेको छ । कांग्रेसको यथास्थिति, गुटबन्दी, परम्परावादी, व्यक्तिवादी र सत्तावादी भएर चल्न नसक्ने भन्दै पार्टीमा तत्काल परिवर्तनको आवश्यकता रहेको भन्दै युवा नेताहरूको पहलमा रुपान्तरण अभियान सञ्चालन भएको हो ।"
"फ्रान्स पठाइदिने भनेर ४० लाख ठगी गर्ने व्यक्ति पक्राउ","काठमाडौं : फ्रान्स पठाइदिने भनेर ४० लाख ठगी गर्ने व्यक्ति पक्राउ परेका छन् । पक्राउ पर्नेमा दोलखाको बैतेश्वर नगरपालिका३ घर भई हाल भक्तपुरको सूर्यविनायक नगरपालिका१३ सल्लाघारी बस्ने ५० वर्षीय सुरेश कुमार पाख्रिन रहेका छन् । काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयका अनुसार उनले चार जनालाई फ्रान्स जान प्रतिव्यक्ति १७ लाग्ने र मासिक एक लाखभन्दा धेरै तलव हुन्छ भनेर उनीहरूबाट ४० लाख रुपैयाँ रकम लिएर फरार भएका थिए । उनलाई मंगलबार ललितपुर३ पुल्चोकबाट पक्राउ गरी कारबाहीका लागि वैदेशिक रोजगार विभाग पठाइएको छ ।"
"सर्बिया पठाइदिने भन्दै १२ लाख ठगी गर्ने व्यक्ति पक्राउ","काठमाडौं : सर्बिया पठाइदिने भन्दै १२ लाख ठगी गर्ने व्यक्ति पक्राउ परेका छन् । पक्राउ पर्नेमा सर्लाहीको हरिवन नगरपालिका५ घर भई हाल काठमाडौं३२ तिनकुने बस्ने २७ वर्षीय निरोज बुढाथोकी रहेका छन् । उनले मासिक एक लाख तलब हुने आश्वासन देखाएर चार जनाबाट १२ लाख रुपैयाँ लिएर फरार भएका थिए । उनले प्रतिव्यक्ति साढे ५ लाख रुपैयाँ लाग्ने बताएर रकम ठगी गरेर फरार भएका काठमाण्डौ उपत्यका अपराध अनुसन्धान कार्यालयले जनाएको छ । उनलाई काठमाडौं९ सिनामंगलबाट पक्राउ गरी कारबाहीका लागि वैदेशिक रोजगार विभाग पठाइएको कार्यालयले जनाएको छ ।"
"रेशम चौधरीको रिहाइको पूर्वप्रहरी संगठनद्वारा विरोध","विराटनगर : नागरिक उन्मुक्ति पार्टीका संरक्षक रेशम चौधरीको रिहाइप्रति नेपाल पूर्वप्रहरी संगठनले विरोध जनाएको छ । नेपाल पूर्वप्रहरी संगठन परिवारका केन्द्रीय अध्यक्ष एवं पूर्वप्रहरी नायव उपरीक्षक (पूर्वडीएसपी) बद्रीविक्रम थापाले मंगलबार विज्ञप्ति जारी गर्दै चौधरीलाई आममाफी दिनु त्रुटिपूर्ण भएको उल्लेख गरेका छन् । आममाफीको निर्णय तत्काल पुर्नविचार गर्नुपर्ने माग राख्दै संगठनले मंगलबार जिल्ला प्रशासन कार्यालय मोरङमार्फत प्रधानमन्त्री कार्यालय र गृह मन्त्रालयलाई ज्ञापनपत्रसमेत बुझाएको छ । २०७२ सालमा कैलालीको टीकापुरमा ७ जना प्रहरीसहित १ जना नाबालकको अमानवीय तवरले भएको बीभत्स हत्याका योजनाकार रेशम चौधरीलगायतका हत्यारालाई नेपाल सरकारको सिफारिसमा सम्मानीय राष्ट्रपति ज्यूबाट आममाफी दिइएको प्रति यस पूर्वप्रहरी संगठन परिवारको गम्भीर ध्यानआकर्षण भएको छ, ज्ञापनपत्रमा भनिएको छ, सम्मानित सर्वोच्च अदालतले समेत दोषी ठहर गरी फौजदारी अपराधमा आजन्म कैद सजाय पाएका व्यक्तिलाई विधि, प्रक्रिया मिची कानुनी राज्य र मानव अधिकारको उपहास हुने गरी आममाफी दिनु गम्भीर त्रुटि हो । आममाफीको निर्णयले आमसुरक्षाकर्मीको मनोबल गिर्ने र पीडितलाई अझ असुरक्षा भइ पीडा महसुस हुने संगठनको ठहर छ । आमसुरक्षाकर्मीको मनोबल गिर्ने र पीडितलाई अझ असुरक्षा भइ पीडा महसुस हुने गरी भएको यस आममाफी निर्णयको तत्काल पुर्नविचार होस्, ज्ञापनपत्रमा भनिएको छ ।"
