"शीर्षक","विवरण"
"जबरजस्ती करणीका फरार प्रतिवादी पक्राउ","बागलुङ : जबरजस्ती करणी मुद्दाका फरार प्रतिवादीलाई जिल्ला प्रहरी कार्यालय बागलुङले पक्राउ गरेको छ । जबरजस्ती करणी उद्योग मुद्दाका फरार प्रतिवादी काठेखोला गाउँपालिका१ का ४० वर्षीय बम बहादुर रानालाई प्रहरी चौकी दोबिल्लाबाट खटिएको टोलीले पक्राउ गरेको जिल्ला प्रहरी कार्यालय बागलुङका सूचना अधिकारी प्रहरी नायव उपरीक्षक मदन केसीले जानकारी दिए । रानालाई जिल्ला अदालत बागलुङले २०७६ जेठ २१ गते जबरजस्ती करणी उद्योग सम्बन्धी कसूर मुद्दामा १० महिना २० दिन कैद र १० हजार रुपैयाँ जरिवाना सजाय तोकेको थियो । अदालतले फैसला गरेपनि राना फरार थिए । कैद तथा जरिवाना भुक्तान हुन बाँकी रहेका प्रतिवादी रानालाई जिल्ला प्रहरी कार्यालय बागलुङले आइतबार बागलुङ जिल्ला अदालतमा पेश गरिएको प्रहरी नायव उपरीक्षक केसीले जानकारी दिए ।"
"निर्वाचनमा अन्तरघात गर्नेलाई कारबाही गर्ने जसपाको निर्णय","काठमाडौं : जनता समाजवादी पार्टी, नेपाल (जसपा) ले २०७९ को प्रतिनिधिसभा र प्रदेशसभा निर्वाचनमा अन्तरघात गर्ने नेता तथा कार्यकर्तालाई कारबाही गर्ने भएको छ । उक्त पार्टीको कार्यकारिणी समितिको बैठकले गरेको निर्णयअनुसार चुनावमा अन्तरघात गर्ने नेता तथा कार्यकर्तालाई विधानमा भएको व्यवस्थाअनुसार कारबाही गर्ने निर्णय भएको सो पार्टीका केन्द्रीय प्रचार विभाग प्रमुख पूर्ण बस्नेतले जानकारी दिए । उनका अनुसार पार्टीको विधानमा भएको व्यवस्थाअनुसार जो जहाँका समितिमा आबद्ध छन्, त्यही समितिले कारबाही गर्ने निर्णय भएको छ । स्थानीय तहमा रहेकालाई स्थानीय समिति, जिल्लामा रहेकालाई जिल्ला समन्वय समिति, प्रदेशमा रहेकालाई प्रदेश समिति तथा केन्द्रमा रहेकालाई केन्द्रीय कमिटीले कारबाही गरिने भएको छ । कारबाहीमा पार्टी सदस्यबाट हटाउनेदेखि लिएर चेतावनीसम्मको कारबाही तोकिएको केन्द्रीय प्रचार विभाग प्रमुख बस्नेतले बताउनुभयो । गएको मंसिर ४ गते सम्पन्न आम निर्वाचनमा जसपाका अध्यक्ष उपेन्द्र यादव पराजित भएपछि त्यसको अध्ययन तथा छानबिनका लागि कार्यदल गठन गरिएको थियो । पार्टीका कार्यकारिणी सदस्य शिवलाल थापाको संयोजकत्वमा गठन भएको सो कार्यदलले गएको फागुन २० गते पार्टी अध्यक्ष उपेन्द्र यादवलाई प्रतिवेदन बुझाएको थियो । कार्यदलले करिब डेढ महिना लगाएर ४८ जना केन्द्रीय सदस्यसहित एक सय ५२ जनासँग बयान लिइएको कार्यकारिणी सदस्य शिवलाल थापाले जानकारी दिए । उनका अनुसार जिल्ला जिल्लाबाट आएको उजुरीका आधारमा पार्टीका ती नेताहरुसँग बयान लिइएको थियो ।"
"प्रजनन् स्वास्थ्य शिविरबाट १२४ महिला लाभान्वित","जोमसोम : मुस्ताङको थासाङमा सञ्चालन गरिएको एक दिने प्रजनन स्वास्थ्य शिविरमा १२४ महिला लाभान्वित भएका छन् । थासाङ गाउँपालिकाको आयोजनामा लेते प्राथमिक स्वास्थ्य केन्द्रमा आइतबार शिविर सञ्चालन गरिएको हो । केन्द्रका अनुसार शिविरमा १२१ जना महिलाको एसेटिक एसिडको भिजुअल परीक्षण गरिएको छ । महिलामा हुने विभिन्न रोगहरूको परीक्षण गरिएको केन्द्रकी प्रमुख डा प्रियंका यादवले जानकारी दिइन् । शिविरमा एक जना महिलाको आङ खस्ने समस्या देखिएको छ भने दुई जना महिलाको युरेनेरी इन्कन्टिमेन्सको समस्या देखिएको उनले बताइन । महिलाको प्रजनन स्वास्थ्य सम्बन्धी समस्या भएका ३० वर्षदेखि ६० वर्ष उमेर समूहका महिलाको स्वास्थ्य परीक्षण भएको छ ।"
"फिलिपिन्स जाने राष्ट्रिय फुटबल टिमको बिदाइ","काठमाडौं : मैत्रीपूर्ण खेलका लागि फिलिपिन्स जान लागेको नेपाली राष्ट्रिय पुरुष फुटबल टिमलाइ बिदाइ गरिएको छ । आइतबार एन्फा कम्प्लेक्समा अखिल नेपाल फुटबल संघ (एन्फा)का एन्फाका अध्यक्ष पंकज बिक्रम नेम्बाङ लगायत पदाधिकारीहरूले राष्ट्रिय पुरुष फुटबल टिमलाइ बिदाइ गरे । साफ च्याम्पियनसिपको तयारी स्वरूप मैत्रीपूर्ण खेलका लागि नेपाली टिम फिलिपिन्स जान लागेको हो । नेपालले बिहीबार फिलिपिन्ससँग एक मैत्रीपूर्ण खेल खेल्नेछ । बिदाइ कार्यक्रममा राष्ट्रिय फुटबल टिमका किरण चेम्जोङले साफ च्याम्पियनसिपमा सबै टिम कडा प्रतिष्पर्धी रहे पनि नेपाली टिमको तयारी राम्रो भएको बताए । उनले चुनौति भएपनि उत्कृष्ट नतिजा निकाल्ने विश्वास रहेको बताए । त्यस्तै उनले राज्यले व्यवस्थापन गर्न नसक्दा राम्रा खेलाडी विदेसिन बाध्य भएको जिकिर गरे । त्यस्तै, मुख्य प्रशिक्षक भिन्सेन्जो अल्बर्टो एनेसेले प्रशिक्षका क्रममा खेलाडीहरूले राम्रो गरेकाले नतिजा पनि राम्रै आउने बताए । भारतमा आयोजना हुने १४औं संस्करणको साफ च्याम्पियनसिप असार ६ देखि १८ गतेसम्म चल्ने छ । बेङ्गलुरुमा हुने च्याम्पियनसिपका लागि मुख्य प्रशिक्षक भिन्सेन्जो अल्बर्टो एनेसेले २३ सदस्यीय नेपाली टिमको घोषणा गरिसकेका छन् । साफमा नेपाल समूह ए मा छ । नेपालको समूहमा साविक विजेता भारत, कुवेत र पाकिस्तान रहेको छ । यस संस्करणको च्याम्पियनसिपमा नेपालसहित आयोजक भारत, बंगलादेश, कुवेत, लेबनान, भुटान, पाकिस्तान, माल्दिभ्सले सहभागिता जनाउने छन् । साफको उद्घाटन खेलमा नेपाल र कुवेतबीच प्रतिस्पर्धा हुनेछ ।"
"बाढीपहिरोमा परी मृत्यु भएका १३ जनाका परिवारलाई २६ लाख परिपूरण","कालीकोट : कालीकोटमा गत असोजमा बाढीपहिरोमा परेर मृत्यु भएका १३ जनाको परिवारले परिपूरण पाएका छन् । प्रदेश सरकारमार्फत राष्ट्रिय बीमा कम्पनीमा गरेको सामूहिक दुर्घटना बीमाबापत जनही दुई लाखका दरले बीमा रकम प्राप्त गरेका हुन् । २३ असोज २०७९ सालमा कालीकोटको तिलागुफा नगरपालिका४ मा मलामी जाँदा पहिरोमा परेर १३ जनाको मृत्यु भएका थियो । पहिरामा मृत्यु हुनेहरूमा मानबहादुर शाही, अलिबहादुर शाही, खगेन्द्रबहादुर शाही, खिमबहादुर शाही, धनबहादुर शाही, भेषबहादुर शाही, भीमबहादुर शाही, प्रशान्त शाही, धनबहादुर शाही, नरेशबहादुर शाही, छत्रजङ्ग शाही, परबहादुर शाही र मोतिलाल शाहीका आफन्तले दुई लाखको दरले २६ लाख रुपैयाँ रकम परिपूरणस्वरुप उनीहरूका परिवारले हन्तारन्तरण गरिएको छ । बीमाबापत पीडितका परिवारले पाउने रकम हकवालको खातामा जम्मा गर्ने राष्ट्रिय बीमा कम्पनी सुर्खेतका प्रमुख शिवराज विसीले जानकारी दिए । उनका अनुसार कर्णाली प्रदेशका आन्तरिक मामिलामन्त्री कृष्ण जिसीले पहिरामा परी मृत्यु भएका तिलागुफा४ राँचुलीका धनबहादुर शाहीका हकवाला खड्कराज शाहीलाई चेक हस्तान्तरण गरे । अन्यका हकमा मृतक परिवारको बैंक खातामा जम्मा गर्ने सहमति भएको छ । चेक हस्तान्तरण कार्यक्रमलाई सम्बोधन गर्दै मन्त्री जिसीले बीमा कार्यक्रमलाई प्रभावकारी रुपमा अघि बढाउन सम्बन्धित पक्षलाई आग्रह गरे ।"
"सोमबार देशका चारवटा प्रदेशमा वर्षा हुने","काठमाडौं : सोमबार देशका चारवटा प्रदेशमा वर्षा हुने भएको छ । मौसम पूर्वानुमान महाशाखाका अनुसार कोशी प्रदेश, बागमती प्रदेश र गण्डकी प्रदेशका थोरै स्थानहरूमा र मधेस प्रदेश लगायत बाँकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघ गर्जनचट्याङसहित हल्का देखि मध्यम वर्षाको सम्भावना रहेको छ । सोमबार राति कोशी प्रदेश लगायत बागमती र गण्डकी प्रदेशको पहाडी भूभागका केही स्थानहरूमा मेघ गर्जनचट्याङसहित हल्कादेखि मध्यम वर्षाको सम्भावना रहेको छ । साथै मधेस प्रदेश लगायत देशका बाँकी पहाडी भूभागका एकदुई स्थानमा मेघ गर्जनचट्याङसहित क्षणिक वा हल्का वर्षाको सम्भावना रहेको छ ।"
"सेती नदीमा डुबेर एक जनाको मृत्यु","डोटी : डोटीस्थित सेती नदीमा नुहाउने क्रममा डुबेर एक जनाको मृत्यु भएको छ । आइतबार जिल्लाको पूर्वीचौकी गाउँपालिका४ सानागाउँका ३८ वर्षीय तेज खड्काको नुहाउने क्रममा डुबेर मृत्यु भएको हो । इलाका प्रहरी कार्यालय दिपायलका प्रमुख रूपसिं थापाका अनुसार नुहाउने क्रममा बेपत्ता भएपछि स्थानीय र प्रहरीको खोजीबाट उनी मृत अवस्थामा फेला परेका हुन् ।"
"किसानका अभ्यास बुझ्न ज्ञान यात्रा","काठमाडौं : पूर्वी तराईका किसानले गरेका अभ्यासको अवलोकन र उनीहरूको स्थितिलाई बुझ्न किसानसँग सम्बद्ध सरोकारवालाले ज्ञानयात्रा गरेका छन् । किसानको घरघर जाउँ ज्ञान निर्माण गरौ भन्ने मान्यताका साथ गत जेठ २२ देखि २६ सम्म राष्ट्रिय कृषक समूह महासंघ नेपालको आयोजनामा ज्ञान यात्रा २०८० गरिएको हो । वर्गीकरणसहितको किसान परिचयपत्र अभ्यासको प्रक्रिया र सिकाइ आदानप्रदान गर्नु, नीतिगत र व्यवहारगत अभ्यासबारे जानकारी लिनु उक्त यात्राको उद्देश्य थियो । यसैले कोसी प्रदेशको बेलका नगरपालिका, मधेस प्रदेशको सिरहा र सप्तरी जिल्लामा स्थानीय सरकारको सहभागितामा अवलम्बन गरिएका किसानका अनुभवको प्रत्यक्ष रूपमा अवलोकन गरी ज्ञान निर्माण गर्ने उद्देश्यका साथ ज्ञान यात्रा सम्पन्न गरिएको महासंघका अध्यक्ष नवराज बस्नेत बताउँछन् । उनका अनुसार किसान अधिकारका क्षेत्रमा कार्यरत महासंघले स्थानीय सरकारसँग मिलेर किसानको अधिकार स्थापनाका लागि नमुना विकास कार्यहरू गरेको छ । जसअन्तर्गत वर्गीकरणसहित किसान परिचयपत्र वितरण र त्यसको आधारमा सेवासुविधा, बाँझो जमिनको उपयोग र भूमिहीन, सिमान्त मुसहर समुदायको जीविकोपार्जनका लागि जग्गा भाडामा लिएर गरिएको खेती, बाली तथा पशु बिमा, दिगो कृषि अभ्यासलाई स्थलगत रूपमा अवलोकन गरिएको छ । पालिकाले अवलम्बन गरेका वर्गीकरणको आधार ४ तहमा उल्लेख गरिएको छ । जसमा सीमान्त किसान (भूमिहीन र कृषि मजदुर) साना किसान, मध्यम किसान र ठूला किसानलाई परिचयपत्र वितरण गरिएको थियो । किसानको वर्गीकरणका आधारमा अनुदान तथा सेवासुविधा उपलब्ध गराइनेछ । कृषिमा परिवर्तन गर्ने नै हो भने सरकार, किसानका नागरिक संगठन, किसानको समूह, सहकारी र किसानसँगै बसेर कृषिका ऐन कानुन, नीति नियम र कार्यविधि निर्माण र कार्यान्वयनमा सँगसँगै लाग्नु आवश्यक रहेको भन्दै उनले सरोकारवालाको ध्यानाकर्षण गरे । नेपाल सरकारले समय समयमा कृषि पेसालाई मर्यादित बनाउन विभिन्न पहलहरू गर्दै आएको छ । यद्यपि यी प्रयासहरू मूर्त रूपमा कार्यान्वयन भई किसानलाई सामाजिक सुरक्षाभित्र व्यवस्थित बनाउँदै व्यावसायिक बनाउन नसकेको महासंघको भनाइ छ ।"
"ज्येष्ठ नागरिकलाई पंखा र झुल वितरण","महोत्तरी : मटिहानी नगरपालिकाले नगरभरिका ज्येष्ठ नागरिकलाई झुल र पंखा वितरण गरेको छ । बढ्दै गएको गर्मीको कारण जनजीवन अस्तव्यस्त बन्दै गएपछि आइतबार नगरपालिकाले ८२ वर्ष उमेर पुगेका १४० जना ज्येष्ठ नागरिकलाई जनही १ थानका दरले झुल र पंखा वितरण गरिएको हो । पछिल्लो समयमा आएर बढ्दो गर्मी र लामखुट्टेबाट उनीहरूको जनजीवन प्रत्यक्ष रूपमा प्रभावित भएपछि जनही १ थानका दरले पंखा र झुल वितरण गरिएको नगर प्रमुख हरिप्रसाद मण्डलले बताए । यसपटक बजेट अभावको कारण ८२ वर्षभन्दा माथि उमेर समूहलाई सो सामग्री वितरण गरिएको र आगामी वर्षमा नगरभरिका हरेक जेष्ठ नागरिक पंखा र झुल वितरण गरिने लक्ष्य रहेको नगरप्रमुख मण्डलले बताए ।"
"अमेरिका र माल्टा पठाउने भन्दै रकम लिई फरार भएका दुई पक्राउ","काठमाडौं : वैदेशिक रोजगारका लागि अमेरिका र माल्टा पठाइदिने भन्दै रकम लिई फरार रहेका दुई जनालाई प्रहरीले पक्राउ गरेको छ । काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयका अनुसार पक्राउ पर्नेमा उदयपुर चौदण्डीगढी नगरपालिका७ वेलटार घर भई हाल ललितपुर गोदावरी नगरपालिका१४ बस्ने ३७ वर्षीया सुनिता न्यौपाने श्रेष्ठ र मुगु छाँयानाथ रारा नगरपालिका३ घर भई हाल काठमाडौँ महानगरपालिका१४ कलंकी बस्ने ३४ वर्षीय प्रवीन खड्का रहेका छन् । श्रेष्ठले ओमनाथ मैनालीलाई वैदेशिक रोजगारका लागि अमेरिका पठाइदिने त्यसका लागि ३१ लाख लाग्ने र अमेरिका पुगेपछि मोबाइल सफ्टवेयर कम्पनीमा काम लगाइदिने तथा मासिक तीन लाख ५० हजार तलब हुन्छ भनी विश्वास दिलाई प्रलोभनमा पारी निज पीडितबाट पटक पटक गरी जम्मा छ लाख २१ हजार रकम लिई सम्पर्कविहीन भई ठगी गरेको आरोपमा पक्राउ गरिएको काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयका सूचना अधिकारी तथा प्रहरी उपरीक्षक रवीन्द्र रेग्मीले जानकारी दिए । यसैगरी, खड्काले कर्णबहादुर बुढासमेत दुई जनालाई वैदेशिक रोजगारका लागि माल्टा पठाइदिने र त्यसका लागि प्रतिव्यक्ति ११ लाख ५० हजार लाग्ने तथा माल्टा पुगेपछि प्रतिष्ठित कम्पनीमा काम लगाइदिने भन्दै विश्वास दिलाई प्रलोभनमा पारी निज पीडिहरूबाट पटक पटक गरी जम्मा नौ लाख रुपैयाँ रकम लिई सम्पर्कविहीन भई ठगी गरेको आरोपमा आज काठमाडौं महानगरपालिका१४ कुलेश्वरबाट प्रहरीले पक्राउ गरेको हो । पक्राउ परेकाहरूलाई थप अनुसन्धान तथा कारबाहीका लागि वैदेशिक रोजगार विभाग ताहाचल काठमाडौं पठाइएको काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयका सूचना अधिकारी तथा प्रहरी उपरीक्षक रेग्मीले बताए ।"
