"शीर्षक","विवरण"
"रघुगंगामा करिब पाँच करोड थप बजेट विनियोजन","बेनी : म्याग्दीको रघुगंगा गाउँपालिकाले करिब पाँच करोड रुपैयाँ थप बजेट बाँडफाँट गरेको छ । मौवाफाँटमा मंगलवार सम्पन्न १६ औँ गाउँसभाले गाउँपालिकाको मौज्दात रहेको ४ करोड ९५ लाख ५१ हजार ८२६ रकम विभिन्न ८२ वटा योजनामा विनियोजन गरेको हो । गत असारको गाउँसभामा बाँडफाँड नभएको बजेटलाई गाउँसभामार्फत् विकास निर्माणका पूर्वाधार निर्माणको क्षेत्रलाई प्राथमिकता दिएर बाँडफाँड गरिएको गाउँपालिका अध्यक्ष भबबहादुर भण्डारीले जानकारी दिए । उनका अनुसार गाउँपालिकाभित्र अधुरा रहेका योजना, सडक मर्मत, विद्यालय पूर्वाधार निर्माण लगायतका क्षेत्रलाई प्राथमिकतामा राखेर बजेट विनियोजन गरिएको छ । गत असारमा सम्पन्न १५ औँ गाउँसभाले रघुगंगामा चालु आर्थिक बर्ष २०८००८१ का लागी ४३ करोड ५७ लाख ८७ हजार ६०० रुपैयाँ बराबरको बजेट स्वीकृत गरेको थियो । गाउँसभाबाट गाउँपालिकाको आर्थिक ऐन समेत संसोधन गरिएको छ । सभालाई सम्वोधन गर्दै गाउँपालिका अध्यक्ष भण्डारीले विकास निर्माणका योजनालाई सम्झौता र कार्यान्वयनमा जुट्न कर्मचारी, वडाका जनप्रतिनिधि र उपभोक्ताहरु सक्रिय हुन निर्देशन दिए । गाउँपालिकाले चालु आर्थिक बर्षको हालसम्म कुल बजेटको १९ प्रतिशत बजेट खर्च गरेको छ । पुँजीगततर्फ ३ प्रतिशत र चालुतर्फ २३ प्रतिशत बजेट खर्च भएको गाउँपालिकाका लेखा अधिकृत खगराज सुवेदीले जानकारी दिए । उपभोक्ता समितिमार्फत कार्यान्वनय हुने योजनाहरुको लगत स्टिमेट तयार गरि धमाधम सम्झौताको चरणमा रहेको प्रमुख प्रशासकीय अधिकृत कृष्णप्रसाद ढकालले बताए । कार्यक्रममा रघुगंगा गाउँपालिकाले एसइइ परीक्षा २०७९ मा औसत जिपिएका आधारमा २७७ जिपिएसहित गाउँपालिकामा उत्कृष्ट नतिजा ल्याएकोमा ज्ञानोदय माविलाई सम्मान गरिएको छ । उक्त अवसरमा हालै गाउँपालिकाको चौथो राष्ट्रपति रनिङशिल्ड खेलकुद प्रतियोगिताको मैत्रीपूर्ण भलिबल खेलमा बिजेता बनेको जनप्रतिनिधिको समूहले बिजेता बापतको नगद पुरस्कार रु ७ हजार ५ सय रकम ज्ञानोदय माविको दृष्टिविहिन स्रोत कक्षाको लागि सहयोग गरिएको थियो ।"
"गठबन्धनको स्पीरीट गाउँसम्म नपुगेको माओवादी गोरखाको निष्कर्ष","गोरखा : गठबन्धनको मर्म र भावना केन्द्र तहमाझैं जिल्ला र स्थानीय तहमा पुग्न नसकेको माओवादी गोरखाको निष्कर्ष छ । बुधबार सदरमुकाममा आयोजित जनतासँग माओवादी रुपान्तरण विशेष अभियानको समीक्षा बैठकमा बोल्ने बक्ताहरूले गठबन्धनको स्पीरीट केन्द्रमा झैँ जिल्ला र गाउँतहमा नपुगेको निष्कर्ष निकालेका माओवादीका जिल्ला समन्वय समितिका संयोजक दीपक तिमिल्सिनाले जानकारी दिए । गठबन्धनका मुख्य दल माओवादी र कांग्रेसका बीचमा केन्द्रमा जुन स्पिरिटमा मेल छ, जिल्ला र स्थानीय तहमा अली कन्फ्युज रहेको पाइयो, त्यसैले केन्द्रको स्पिरिट गाउँतहसम्म पुर्याउनुपर्ने देखियो भनेर धेरै साथीहरूले भन्नुभयो,' जिल्ला संयोजक तिमिल्सिनाले भने, केन्द्रमा गठबन्धन राम्ररी अघि बढिरहेको छ । गोरखामा मुख्य दुई पार्टी बीचको गठबन्धन सुदृढ गर्नुपर्ने देखिएको निष्कर्ष निकालिएको छ । समीक्षा बैठकमा पार्टीका केन्द्र तहका नेता जिल्ला र गाउँतहसम्म जोडिनुपर्ने पनि निष्कर्ष निकालिएको छ । विशेष रूपान्तरण अभियानका क्रममा केन्द्रीय नेताहरू गाउँतहसम्म पुग्दा त्यसको प्रभाव धेरै राम्रो भएकाले अब यसले निरन्तरता पाउनुपर्ने निष्कर्ष निकालिएको संयोजक तिमिल्सिनाले बताए । अभियानका बेला गाउँमा भए गरेका विकास निर्माणको अवस्थाको पनि अवलोकन गरिएको थियो । लामो समयदेखि अलपत्र परेर बसेका विकास निर्माणका योजनाहरूलाई निरन्तरता दिई सम्पन्न गर्न पहल गर्नुपर्ने पनि समीक्षा गरिएको थियो ।"
"मनास्लु क्षेत्रमा ९ हजार बढी विदेशी पर्यटक","गोरखा : गोरखाको मनास्लु क्षेत्रमा अहिलेसम्मकै सबैभन्दा धेरै ९ हजार १७७ जना विदेशी पर्यटक पुगेका छन् । यसअघि सबैभन्दा धेरै पर्यटक आएको भनिएको सन् २०१७ सालमा भन्दा सन् २०२३ मा एक हजार पाँचसय जनाले धेरै पर्यटक आएका मनास्लु संरक्षण क्षेत्र आयोजना(एमक्याप)ले जनाएको छ । छ वर्षअघि सन् २०१७ मा सातहजार छ सय ५५ जना विदेशी पर्यटकले मनास्लु क्षेत्र भ्रमण गरेका थिए । सन् २०२३ मा नौ हजार १७७ जना विदेशी पर्यटकले भ्रमण गरेको एमक्यापका प्रमुख सन्तोष शेरचनले बताए । यस वर्ष पर्यटकको आवागमन हेर्दा साह्रै सुखद देखिन्छ । आउँदो असारसम्म १२ हजार पर्यटकले भ्रमण गर्ने हाम्रो अनुमान छ,' शेरचनले भने । विगत चार वर्षमा कोभिडका कारण पर्यटकको संख्या ज्यादै न्यून थियो । आर्थिक वर्ष २०७७०७८ मा सबैभन्दा कम अर्थात जम्मा एक सय ९४ जनामात्र पर्यटक सो क्षेत्रमा पुगेका उनले जानकारी दिए । गत वर्ष सबैभन्दा धेरै अक्टोबर महिनामा पर्यटकले भ्रमण गरेका हुन् । सो महिनामा सो क्षेत्रमा तीन हजार ३०५ जना पर्यटक पुगेका थिए । मनास्लु क्षेत्रमा सन् २०२२ मा छहजार १०२ विदेशी पर्यटकले भ्रमण गरेका थिए भने, कोभिड १९ महामारी मच्चिरहेको २०२१ मा ९२५ जनाले भ्रमण गरेका थिए । त्यस्तै २०२० मा ३७४, २०१९ मा सातहजार ५५५ जनाले र सन् २०१८ मा सातहजार ६५५ जनाले मनास्लु क्षेत्रको भ्रमण गरेका थिए । स्थानीय तह, प्रदेश तथा संघ सरकारले विस्तृतरूपमा योजना बनाएर लाग्ने हो भने मनास्लु क्षेत्र पर्यटक आकर्षित गर्नेमा विश्व नम्बर एक गन्तव्य बन्न सक्ने एमक्याप प्रमुख सन्तोष शेरचनले बताए । सडकको साँटो केवलकारको व्यवस्था गर्ने, इको टुरिज्म विकास गर्ने हो भने मनास्लु क्षेत्र विश्व नम्बर वान बन्नसक्छ,' उनले भने, 'त्यसका लागि अहिले झैं सडक निर्माण नगरी यातायातका लागि केवलकार निर्माण गर्ने, वातावरणमैत्री संरचना बनाउनुपर्छ । एमक्यापमा आउने पर्यटकलाई सहजताका लागि विभिन्न पदमार्गको खोजी गर्ने, आवश्यक सूचनाहरु दिन सूचना केन्द्र निर्माण गर्नेजस्ता पूर्वधारहरू बनाएको उनले बताए । यसले आगामि दिनमा मनास्लु क्षेत्रमा आउने पर्यटकको संख्या बढ्ने अनुमान गरिएको छ । एमक्यापलाई अझै लोकप्रिय बनाउन स्थानीय तह, पर्यटन मन्त्रालय, पर्यटन बोर्ड, टानजस्ता सम्बन्धित निकायहरुले विभिन्न प्याकेजहरु ल्याउनु पर्नेमा उनले जोड दिए । सो क्षेत्र प्रवेशका लागि सार्क राष्ट्रका पर्यटकले प्रतिब्यक्ति एक हजार र अन्य राष्ट्रका पर्यटकले तीन हजार रुपैयाँ बुझाउनुपर्ने हुन्छ । पर्यटकले काठमाडौंको भृकुटीमण्डप र पोखराको ड्यामसाईटस्थित काउन्टरमा प्रवेशदस्तुर बुझाउनुपर्ने व्यवस्था छ । यी दुबै ठाउँमा प्रबेश दस्तुर शुल्क नबुझाएका पर्यटकले एमक्यापको जगत र सामागाउँस्थित चेकपोष्टमा दोब्बर दस्तुर तिर्नुपर्ने एमक्याप प्रमुख शेरचनले बताए । निषेधित क्षेत्र मानिएकाले मनास्लु संरक्षण क्षेत्र भ्रमणका लागि पर्यटकले अध्यागमन विभागबाट पनि अनुमति लिनुपर्ने प्रावधान छ । विभागले चुम र नुब्री भ्याली भ्रमणका लागि एक हप्ताका लागि अनुमति दिने गर्छ । सो अबधिको भ्रमणका लागि पर्यटकले चुमभ्यालीका लागि सिजनमा प्रतिब्यक्ति ५० डलर र बेसिजनमा २५ र नुब्री भ्यालीका लागि प्रतिब्यक्ति सिजनमा ७० र बेसिजनमा ३५ डलर विभागमा बुझाउनुपर्ने छ । एक हप्ताबाहेक थप दिन भ्रमण गर्न चाहेमा थप शुल्क बुझाउनुपर्ने छ । मनास्लु क्षेत्रअन्तर्गत चुमनुब्री गाउँपालिकाको ७ वटा वडा पर्छन् । साविकका सिर्दिबास, ल्हो, प्रोक, बिही, सामागाउँ, चुम्चेत र छेकम्पार गाविसलाई संरक्षण क्षेत्रले समेटेको छ । जसमध्ये साविकका सामागाउँ, ल्हो, प्रोक र बिही गाविस नुब्री उपत्यकाका रुपमा चिनिन्छ भने चुम्चेत र छेकम्पार गाविस चुम उपत्यकाका रुपमा चिनिन्छ । सो क्षेत्रमा बसोबास गर्ने तिब्बती(भोटे) समुदायको धार्मिक तथा सास्ंकृतिक अबस्था अध्ययन गर्न, प्राकृतिक दृश्यावलोकन, मनास्लु हिमाल आरोहणका लागि पर्यटकहरू आउने गरेका एम क्यापका प्रमुख शेरचनले जानकारी दिए । यस क्षेत्रमा विश्वको आठौं अग्लो मनास्लु हिमाल, ५ हजार एकसय ६ मिटर अग्लो लार्केपास, कालताल, वीरेन्द्रताल, अहिंसा क्षेत्र चुम उपत्यका, नुब्री उपत्यका आदिको अवलोकन गर्न पर्यटक जाने गर्छन् । सन् १९९५ देखि मनास्लु क्षेत्र पर्यटकका लागि खुल्ला गरिएको हो ।"
"""झापा विद्रोहको स्वामित्व हामी लिन्छौं","माओवादी जनयुद्धको एमालेले पनि लिनुपर्छ : वर्षमान पुन"",""काठमाडौं : नेकपा माओवादी केन्द्रका उपमहासचिव वर्षमान पुनले तत्कालीन नेपाल कम्युनिष्ट पार्टी (नेपका) विभाजनका कारण जनतामा निराशा बढेको बताएका छन् । मार्क्सवादी अध्ययन केन्द्रले बुधबार राजधानीमा गरेको आजको वामपन्थ शीर्षकको राष्ट्रिय गोष्ठीलाई सम्बोधन गर्दै पुनले पछिल्लो समय जनता निराश हुनुको प्रमुख कारण नेकपा विभाजन भएको बताए । उनले नेकपा बचाउन नसक्नुमा शीर्षस्थ नेताहरू दोषी रहेको भन्दै त्यसको जिम्मेवारी लिनुपर्ने उल्लेख गरे । 'नेकपाको एकता टिकाउन सक्नुपर्थ्यो । म पनि त्यतिखेरको सरकारको मन्त्री भएका कारण जिम्मेवारी त लिन्छु, तर मुख्य जिम्मेवारी नेताहरूले नै लिनुपर्छ,' उनले भने । पुनले कहिले शान्तिपूर्ण र कहिले संघर्ष संघर्षको धाराबाट आएका एमाले र माओवादीबीच प्रमुख कार्यदिशामा मतान्तर नरहेको पनि बताए । उनले झापादेखि एमालेले गरेका संघर्षको स्वामित्व आफूहरूले लिने भन्दै १० वर्षे माओवादी जनयुद्धको स्वामित्व लिन र शान्ति प्रक्रियाका बाँकी काममा सहकार्यको हात बढाउन पुनले एमाले नेतृत्वलाई आग्रह गरे । '०६२०६३ को जनआन्दोलन कम्युनिस्टहरूको नेतृत्वमा भएको हो । त्यसको स्वामित्व लिऔं । एकअर्काप्रति लक्षित घोचपेच छाडेर शान्ति प्रक्रियाका काममा सहकार्य गरौं,' उनले भने । पुनले तत्कालै वर्तमान सत्ता गठबन्धन र सरकार परिवर्तन नभए पनि शान्ति प्रक्रियाको पूर्णता, गणतन्त्रसहित राजनीतिक परिवर्तनमाथि दक्षिणपन्थी शक्तिबाट हुन थालेका प्रहारको प्रतिवाद तथा संविधान कार्यान्वयनसहित देश विकासका एजेण्डामा एमालेमाओवादी सहकार्यको विकल्प नरहेको औंल्याए ।"""
"मेलम्ची खानेपानी मर्मतको काम ७० प्रतिशत सम्पन्न","सिन्धुपाल्चोक : मेलम्ची खानेपानी आयोजना मर्मतको काम ७० प्रतिशत सम्पन्न भएको छ । बाढीले ध्वस्त बनाएको संरचनामा अहिले पुनः पानी पथान्तरणका लागि काम भइरहेको छ । बुधबार हेलम्बु गाउँपालिका१ मा रहेको अम्बाथान स्थित मुहान स्थलमा अवलोकनका लागि पुगेका प्रतिनिधि मण्डललाई त्यहाँ भइरहेको काम बारे जानकारी गराउँदै आयोजनाका सिनियर डिभिजनल इन्जिनियर पदमबहादुर कुँवरले मर्मतको काम ७० प्रतिशत सम्पन्न भएको बताए । कुँवरले अबका बाँकी कामहरु केहि कठन रहेको जनाउँदै जस्तोसुकै परिस्थिती आएपनी अबको १० दिन भित्र काम सम्पन्न हुने बताए । अम्बाथान स्थित ९ नम्बर, २१ नम्बर र १७ नम्बरको गेट सफा गर्ने काम भइरहेको कुँवरले बताए । 'मर्मतको काम तिब्र रुपमा अघि बढिरहेको छ । दैनिक ४५ जना कामदारले द्रुत गतीमा काम गरिरहेका छन्,' कुँवरले भने, 'यही गतिमा काम भइरहने हो भने अबको १० दिन भित्र काठमाण्डौ पानी पठाउन सकिन्छ ।' उनले सरकारको लक्ष्य अनुसारनै पानी पथान्तरणका लागि तिव्र गतिमा काम भइरहेको बताए । अवलोकनको लागि आएका प्रतिनिधि सभा सांसद अमरेशकुमार सिंहले सरकारले मेलम्ची आयोजनालाई प्राथमिकता दिएर बाह्रै महिना काठमाडौं बासीलाई पानी खुवाउनुपर्ने बताए । खानेपानी मन्त्रालयका सचिव सुरेश आचार्यले दीर्घकालीनरूपमा काठमाडौंमा पानी लानेगरी काम गर्न लागि परेको जनाए । राष्ट्रिय प्राकृतिक स्रोत तथा वित्त आयोगका अध्यक्ष बालानन्द पौडेल, प्रतिनिधिसभा सदस्य अमरेशकुमार सिंह, वित्त आयोगका सदस्यहरु जुद्ध गुरुङ, बिपिनराज निरौला, खानेपानी मन्त्रालयका सचिव सुरेश आचार्य, खानेपानी विभागका महानिर्देशक कमलराज श्रेष्ठ, मेलम्ची खानेपानी विकास समितिका कार्यकारी निर्देशक जाकी अहमद अन्सारी लगायत टोली अवलोकनको लागि अम्वाथान पुगेको थियो । गत वर्षको बाढीले हेडवर्क्सको संरचनालाई करिब २० फिट अग्लो गेग्रानले पुरेको थियो । अहिले उक्त गेग्रान हटाएर अर्डिट सुरुङमा पसेको ढुंगा, गिटी र बालुवा झिक्ने काम भइरहेको छ । २०७८ असारमा आएको बाढीले मुहान क्षेत्रलाई तहसनहसनै बनाएपछि अस्थायीरूपमा पानी राजधानी पठान्तरण गर्न लागिएको हो । पछिल्लो पटक मेलम्ची खानेपानी विकास समितिले आयोजना पुनःनिर्माण र पानी पथान्तरणको जिम्मा सिनो हाइड्रोलाई दिएपछि पानी पठान्तरणको बाटो खुलेको थियो । हाइड्रोले अहिले दुई सिफ्टमा जनशक्ति परिचालन गरी पानी पथान्तरणका लागि आवश्यक कार्यहरू गर्दै आएको छ ।"
"नेपाल एयरलायन्सका क्याबिन क्रू न्याय माग्दै सर्वोच्चमा","काठमाडौं : नेपाल वायुसेवा निगममा कार्यरत विमान परिचारक र परिचारिका (क्याबिन क्रु)हरू आफूहरूमाथि अन्याय र विभेद्पूर्ण व्यवहार भएको भन्दै सर्वोच्च अदालत पुगेका छन् । उनीहरूलेविभेद्कारी व्यवहार भएको, सेवासुविधामा कानुनविपरीत विभेद्को नीति ल्याएकाले त्यस्ता प्रावधान खारेजीका माग गर्दै सर्वोच्चमा रिट दिएका हुन् । पेसामा अन्याय र असुरक्षा भएको भन्दै नेपाल वायुसेवा निगमका सबै क्याबिन क्रुले पहिलोपटक न्यायको गुहार गर्दै सर्वोच्च पुगेका हुन् । वरिष्ठ विमान परिचारिका प्रजिता कार्कीसहित १३५ जनाले सामूहिकरूपमा सर्वोच्च अदालतमा बुधबार रिट निवेदन पेस गरेका छन् । रिटमा प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय, संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय र नेपाल वायुसेवा निगमलाई विपक्षी बनाइएको छ । रिट निवेदनमा नेपाल वायुसेवा निगमका कर्मचारीहरूको सेवा, शर्तसम्बन्धी कानुनमा भएको व्यवस्थाले विमान परिचारक र विमान परिचारिकालाई अन्य कर्मचारीभन्दा विभेदपूर्ण व्यवहार गरी दोस्रो दर्जाको कर्मचारीको व्यवहार गरिएको उल्लेख छ । कर्मचारीको अवकास उमेर ५८ वर्ष कायम गरेकोमा विमान परिचारक र परिचारिकाको हकमा ४० वर्षमा अवकास दिने, एक महिनाको तलब दिएर जहिल्यसुकै हटाउनसक्ने, सेवाअवधिभर करारको करार नै राखी अवकास गराउने र उपदान पनि नदिनेलगायतका प्रावधानको बदर माग गरिएको छ । जिन्दगीभर एउटै पदमा काम लगाएर विना कुनै सुविधा जहिल्यैसुकै हटाउने तथा सामाजिक सुरक्षाको समेत कुनै व्यवहार नगरिएको उनीहरूको दाबी छ । सामान्य कम्पनीले समेत सामाजिक सेवा सुरक्षाको सुनिश्चितता गर्नुपर्नेमा नेपाल सरकार स्वामित्वको वायुसेवा निगमजस्तो निकायले आफ्ना क्याविन क्रुमाथि गम्भीर विभेद् गरेको उनीहरूको गुनासो छ । आफूहरूले पटकपटक व्यवस्थापनसमक्ष कुरा राख्दासमेत सुधारको प्रक्रिया अघि नसारहेकोले सर्वोच्च अदालतमा रिट निवेदन दिनुपरेको रिट निवेदनमा उल्लेख छ । अन्य कर्मचारीले विमान दुर्घटना भइ अशक्त हुँदा अशक्त वृत्ति पाउने, तर विमान परिचारक र परिचारिकाहरूले नपाउने, विमान चालकको बढुवा म्यानुअल हुने, तर आफूहरुको बढुवा नहुने, औषधि उपचारमा पनि विभेद् हुने गरेकाले न्यायको माग गर्दै विमान परिचारक र परिचारिकाहरूले रिट दायर गरेको उनीहरूका कानुन व्यवसायी अधिवक्ता अनन्तराज लुईंटेलले जानकारी दिए । अधिवक्ता लुईंटेलले क्याविन क्रुको मुद्दा अघि बढाएका छन् सर्वोच्चमा पुग्नुपरेको कारणबारे रिट निवेदकसमेत रहेकी वरिष्ठ विमान परिचारिका कार्कीले भनिन्, हामीले विनियमावलीमा भएको विभेदपूर्ण प्रावाधान हटाएर समान व्यवहार गर्न व्यवस्थापसमक्ष पटकपटक आग्रह गर्यौं । तर, हाम्रो अनुरोध सुनुवाई भएन । अन्यत्र कहीँ नभएको विभेदपूर्ण व्यवस्था अझै कायम भएकोले हामी बाध्य भएर न्यायका लागि सर्वोच्च आएका हौं । नेपाल वायु सेवा निगमको विनियमावलीमा भएका समानताको हक र श्रमको सुरक्षाको हकविपरीतका विभेदभूपूर्ण दफाहरु बदर गरी समान सेवा र सुविधाको सुनिश्चितता गर्न तथा विभेदपूर्ण प्रावधानहरु खारेज गर्न विपक्षीका नाममा परमादेश समेत माग गरिएको छ । रिट दायर गरेको भरमा विपक्षी निगम तथा निकायहरुले रिट निवेदकमाथि पूर्वाग्रह साँधी दुःख हैरानी दिनसक्ने र करार भंग गर्नसक्ने भन्दै सुरक्षाका लागि अन्तरिम आदेशसमेत माग गरिएको छ ।"
"बालमन्दिरका बालबालिकालाई न्यानो कपडा","ओखलढुंगा : ओखलढुंगा सदरमुकामस्थित बालमन्दिर आधारभूत विद्यालयका बालबालिकालाई पोसाक वितरण गरिएको छ । विद्यालयका ३६ जना बालबालिकालाई सिद्धिचरण नगरपालिका११ का वडाध्यक्ष विनोद ताम्राकारले नगरपालिकाबाट उनले पाउने सेवा सुविधाको रकमबाट कपडा खरिद गरेर पोसाक वितरण गरेका हुन् । २०३९ सालमा तत्कालीन बडामहारानी ऐश्वर्याले स्थापना गरेको उक्त विद्यालयमा कक्षा ५ सम्म गरिब विपन्न र मजदुरका बालबालिका पढ्छन् । सम्पन्न परिवारका व्यक्तिले सदरमुकामका निजी स्कूलमा बालबच्चा बढाउने भएकाले उक्त विद्यालयमा बाहिरबाट आएर मजदुरी गर्ने श्रमिक, ज्यालादारी काम गर्ने कामदार, विपन्न र असहायका बालबच्चा अध्ययन गर्दै आएका छन् । सामुदायिक विद्यालयमा विद्यार्थी आकर्षित गर्न र गुणस्तर सुधार गर्न आफूले आफ्नो सेवा सुविधाबाट बालबालिकालाई विद्यालय पोसाकका रूपमा ट्रयाक सुट वितरण गरेको अध्यक्ष ताम्राकारले बताए । उनले विद्यालयमा शिक्षक शिक्षिकालाई पठनपाठनमा सुधार गर्न अनुरोध गर्दै आवश्यक पर्ने अन्य सहयोगसमेत गर्ने बताए । अध्यक्ष ताम्राकारले आफुले पाउने सरकारी सुविधाको रकम जम्मा गरेर विपन्नलाई खाद्यन्न, लत्ताकपडा सहयोग गर्दै आएका छन् । उनले जेष्ठ नागरिकलाई समेत जाडोमा न्यानो कपडा वितरण गर्ने तयारी गरेका छन् । विद्यालय व्यवस्थापन समितिका अध्यक्ष अप्सरा कार्कीले अध्यक्षको सहयोगबाट बालबालिका र अभिभावक खुसी भएको बताइन् । यस्तो सहयोगले सामुदायिक विद्यालयप्रति आकर्षण बढाउन सहयोग पुग्ने अध्यक्ष कार्कीको भनाइ छ ।"
"""प्रहरीको गोली लागेर ज्यान गुमाएका वीरेन्द्रको परिवारलाई चौरपाटीले डेढलाख राहत दिने","पालिकामा बिहीबार शोक बिदा"",अछाम : प्रहरीको गोली लागेर ज्यान गुमाएका वीरेन्द्र शाहको परिवारलाई चौरपाटी गाउँपालिकाले डेढ लाख राहत दिने भएको छ । गाउँकार्यपालिको बुधबार बसेको बैठकले शोक प्रस्ताव पारित गर्दै मृतकको परिवारलाई डेढ लाख राहत दिने निर्णय गरेको गाउँपालिका अध्यक्ष भीमबहादुर साउदले बताए । साउदका अनुसार मृतक वीरेन्द्रको शोकमा चौरपाटी गाउँपालिका अन्तर्गतका सम्पूर्ण सरकारी कार्यालय र शैक्षिक संस्थाहरू बिहीबार बन्द रहनेछन् । चौरपाटी गाउँपालिका१ सिउडी निवासी टेकबहादुर शाह र दुर्गा देवी शाहका वीरेन्द्र कान्छा सन्तान थिए । पुस १३ गते कोरियाली भाषा परीक्षाको फारम भर्न पाउनुपर्ने माग गर्दै रोजगार अनुमति प्रणाली (इपीएस)को ग्वार्कोस्थित कार्यालय बाहिर युवाहरूले गरेको प्रदर्शनमा प्रहरीको गोली लागेर वीरेन्द्रको मृत्यु भएको थियो । प्रहरीको बल प्रयोगबाट दैलेखका सुजन रावतको मृत्यु भएको थियो । वीरेन्द्र र सुजनको दुवै जनाको हिजो मंगलबार गृह जिल्लामा अन्त्यष्टि गरिएको छ ।"
"पोखराको सहकारी ठगीमा रामेछापका वडाध्यक्ष जेल चलान","पोखरा : सूर्यदर्शन र मित्रमिलन २ सहकारी संस्थामा बचतकर्ताको बचत अपचलनसम्बन्धी मुद्दामा १० जना जेल चलान भएका छन् । पुर्पक्षका लागि जेल चलान हुनेमा रामेछापको लिखु तामाकोशी गाउँपालिका वडा नम्बर ७ का अध्यक्ष कैलाशकुमार दर्लामीसहित छन् । ओखलढुंगाका गितेन्द्रबाबु 'जिबी' राईको अगुवाइमा सञ्चालित सहकारीमा रामेछापका दर्लामी उपाध्यक्ष र ललितपुरका कुमार रम्तेल कोषाध्यक्ष थिए । रम्तेल पनि जेल चलान भएका छन् । पूर्वअध्यक्ष जिबी राई भने फरार छन् । ३८ वर्षीय दर्लामीलाई प्रहरीले बिहीबार काठमाडौंबाट प्रक्राउ गरेको थियो । सोमबार उनलाई अदालतको आदेशमा जेल चलान गरिएको हो । दर्लामी नेकपा (माओवादी केन्द्र) लिखु तामाकोशी गाउँपालिका अध्यक्षसमेत हुन् । बचतकर्ताको १ अर्ब ३५ करोड ५३ लाख हिनामिना गरेको अभियोग लागेको सूर्यदर्शन सहकारीका पूर्वसञ्चालक सदस्य शिवबहादुर गुरुङ र भविश्वर अर्याललाई कास्की अदालतले पुर्पक्षका लागि जेल चलानको आदेश बुधबार गरेको छ । उक्त सहकारीका ४ र अर्को मित्रमिलन सहकारी ठगी प्रकरणमा ६ जना अहिले कास्की जेल चलान भएका छन् । अदालतले मंगलबार सहकारी रजिस्ट्रारको कार्यालय गण्डकीका पूर्वरजिस्ट्रार उदयबहादुर पराजुलीलाई मित्रमित्रल सहकारीसँग घूस लिएको अभियोगमा पुर्पक्षका लागि जेल चलान आदेश गरेको थियो । यसअघि नै उक्त सहकारीका सदस्य गोपाल खनाल, भरत अधिकारी, राजु बराल जेल चलान छन् । मित्रमिलनकै अध्यक्ष रमण पौडेल र प्रमुख कार्यकारी अधिकृत किरण अधिकारी बैंकिङ कसूरमा यसअघि नै जेल परेका थिए । मित्रमिलन सहकारी ठगी प्रकरणमा प्रहरीले ३३ जनामाथि अनुसन्धान गरेको छ । तीमध्ये २ दर्जन सम्पर्कविहीन छन् । उक्त सहकारीमा २६ करोड रुपैयाँ अपचलन भएको प्रतिवेदन सहकारी रजिस्ट्रारको कार्यालय गण्डकीले तयार पारेको छ । सूर्यदर्शन सहकारीका पूर्वअध्यक्ष जिबी राईले बचतकर्ताको पैसा आफ्नो कम्पनी गोर्खा मिडिया नेटवर्कमा लगी अपचलन गरेको अभियोग छ । पोखरा, चितवन, बुटवल, वीरगन्ज र काठमाडौंमा गरी थुप्रै सहकारी चलाएर राईले अर्बौं रुपैयाँ अपचलन गरेको आरोप लागेको छ ।"
