"शीर्षक","विवरण"
"बिर्तामोडमा प्रथम जुत्ताचप्पल व्यापार महोत्सव हुँदै","झापा : झापाको बिर्तामोडमा प्रथम जुत्ताचप्पल व्यापार महोत्सव हुने भएको छ । स्वदेशी उत्पादन प्रवर्द्धन हाम्रो अभियान भन्ने मूल नाराका साथ यही पुस ९ गतेदेखि एक महिने जुत्ताचप्पल व्यापार महोत्सव आयोजना हुन लागेको हो । नेपाली जुत्ता उद्योगी समूहको सहकार्यमा बिर्तामोड सिटी सेन्टर इन्भेस्टमेन्ट प्रालिद्वारा आयोजना हुने महोत्सवका बारेमा शनिबार पत्रकार सम्मेलनमार्फत जानकारी गराइएको हो । बिर्तामोडस्थित सिटी सेन्टरमा हुने महोत्सवले स्वदेशी उत्पादन प्रयोगका लागि उपभोक्ताको रुचि जगाउने उद्देश्य मुख्य राखिएको आयोजक समितिले जनाएको छ । बिहान ९ बजेदेखि बेलुका ७ बजेसम्म खुला रहने महोत्सवमा नयाँ नयाँ डिजाइनका आकर्षक जुत्ताचप्पल सुपथ मूल्यमा उपलब्ध गराइने रन सुज इन्डष्ट्रिजका रुद्र न्यौपानेले बताए । उनका अनुसार महोत्सवभरि २० देखि ५० प्रतिशतसम्म छुटको व्यवस्था रहने छ । महोत्सवमा नेपालका ८ वटा कम्पनीले उत्पादन गरेका १५ भन्दा बढी ब्रान्डको सहभागिता रहने छ । महोत्सवमा ३ हजारभन्दा बढी मोडल र डिजाइनका जुत्ताहरू उपलब्ध हुनेछ । जसमा उत्पादक कम्पनी र ब्रान्डहरूमा रोयल फटवेयर इण्डष्ट्रिज प्रालिको रोयल शुज, वेश फुटवेयर इन्डष्ट्रिज प्रालिको बीएफ डियर हिल शुज लालीगुराँस फुटवेयर इन्डष्ट्रिज प्रालिको क्रशरीड शुज, शुभकामना फुटवेयरको फस्टवाक शुज, स्मार्ट शुज इन्डष्ट्रिज प्रालिको स्मार्ट शुज, डीजे शुज कम्पनीको डिजे शुज, एक्सन फुटवेयर कम्पनीको टुरिस्ट शुज र रन शुज इन्डष्ट्रिज प्रालिको रन शुज रहने न्यौपाने जानकारी गराए । महोत्सवमा करिब ३ लाखलाई अवलोकन गराउने उद्देश्य राखिएको उनको भनाइ छ । प्रवेश शुल्क नलाग्ने आयोजकले जनाएको छ । आर्थिक मन्दी र बैंकहरूमा देखिएको आर्थिक तरलताका कारण उद्योग तथा व्यवसाय धरायशी भइरहेको यस्तो विषम परिस्थितिमा उद्योगधन्दालाई सकारात्मक बनाउँदै देशको अर्थतन्त्रलाई गतिशील र चलायमान बनाउनका निमित्त पनि यो महोत्सवको आयोजना गरिएको उनले बताए । यो महोत्सव कोशी प्रदेशमै पहिलो र देशभरको सातौँ महोत्सव भएको उनको भनाइ छ ।"
"स्वास्थ्यको पहुँच कम भएको क्षेत्रमा सेनाको स्वास्थ्य शिविर","परासी : स्वास्थ्यको पहुँच कम भएका ग्रामीण क्षेत्रलाई लक्षित गरी नेपाली सेनाको गोरखदल गण परासीले शनिबार निःशुल्क स्वास्थ्य शिविर सञ्चालन गरेको छ । देवदह मेडिकल कलेजको सहकार्यमा नवलपरासीको प्रतापपुर गाउँपालिका७ जगन्नाथपुरमा शिविर सञ्चालन गरेको हो । सीमावर्ती ग्रामीण क्षेत्रमा सञ्चालन गरिएको शिविरमा साधारण स्वास्थ्य परीक्षणदेखि नाक, कान, घाँटी परीक्षण, छाला, हाडजोर्नी, आँखा, दाँत, बालरोग, स्त्री तथा प्रसूति रोगलगायत विभिन्न १३ वटा रोगको परीक्षण गरिएको थियो । विभिन्न रोगका १७ जना विशेषज्ञ चिकित्सकसहित ५४ जना स्वास्थ्यकर्मीहरूले शिविरमा स्वास्थ्य परीक्षण गरेका थिए । स्वास्थ्य परीक्षण गराएका सेवाग्राहीहरूलाई निःशुल्क औषधि वितरण गरिएको थियो । शिविरमा करिब ८ लाख बढीको निःशुल्क औषधि वितरणका लागि राखिएको थियो । प्रतापपुरसँगै छिमेकी गाउँपालिकाहरूबाट समेत आएका करिब ३ हजार स्थानीयले शिविरमा स्वास्थ्य परीक्षण गराएको गोरखदल गणका प्रमुख सेनानी ज्ञानकाजी श्रेष्ठले जानकारी दिए । शिविरमा सबैभन्दा बढी जेष्ठ नागरिकहरूको सहभागिता रहेको थियो । स्वास्थ्यको पहुँचकम भएका र विशेषज्ञ चिकित्सकको सेवा पाउनबाट बञ्चित ग्रामीण क्षेत्रका स्थानीयलाई लक्षित गरेर शिविर सञ्चालन गरेको गणका प्रमुख सेनानी श्रेष्ठले बताए ।"
"बालबालिका स्कुल जान किन मान्दैनन् ?","कक्षा ३ मा पढ्दै गरेको नयन आजभोलि स्कुल जाने बेला भएपछि एक्कासि पेट दुख्यो भन्दै उल्टी (भमिट) गर्न थाल्छन् । दैनिक यस्तो हुन थालेपछि उनका बुबाआमाले उनलाई अस्पताल पुर्या । डाक्टरले भनेबमोजिम सबै जाँच भयो । शरीरमा कुनै रोग देखिएन । तैपनि उनको समस्या जस्ताको तस्तै । स्कुल जाने बेला भएपछि मात्र पेट दुख्छ । त्यसपछि ठीक हुन्छ । कसरी स्कुल पठाउने होला, म दिक्क भैसकेँ भन्दै दुखेसो पोख्छिन् नयनकी आमा सरला । पेट दुख्ने, टाउको दुख्ने, भमिट हुने, ज्वरो आउने, स्कुल जान्न भन्दै झगडा गर्ने, कतै लुक्नेजस्ता समस्या स्कुल पढ्ने बालबालिकाहरूमा बेलाबेलामा देखिरहन्छ । यस्ता समस्या स्कुल जाने समयभन्दा केही अगाडि उत्पन्न हुन्छन् र समय टरेपछि आफैं हराएर जान्छन् । हेर्दा लाग्छ, बच्चाले नाटक गरिरहेको छ । यसको कारणले उनीहरूको पढाइमा असर पर्ने त छँदै छ, परिवारलाई पनि तनाव बढ्छ । त्यसैले यो बाहाना गर्नु पछाडिको कारण खोज्नु आवश्यक हुन्छ । के हो त यसको कारण ? मान्छेको शरीर बिरामी हुनु स्वभाविक हो । तर, स्कुलको नाम सुन्नेवित्तिकै बिरामी हुनु स्वभाविक होइन । त्यसमा कुनै न कुनै कारण अवश्य हुन्छ । विभिन्न समयमा यस विषयमा गरेको अध्ययनअनुसार बालबालिका स्कुल जान नमान्नुको पछाडि मुख्यतः निम्न कारण रहेको पाइन्छ । पारिवारिक कारण : परिवारमा बच्चालाई अत्याधिक माया, प्रेम गरिएको छ तर अनुशासन छैन । जे गर्न पनि छुट दिइएको छ भने उसलाई स्कुलको वातावरणमा बस्न गाह्रो हुन्छ । घरमा प्रशस्त खेलौना, सुख सुविधा प्राप्त भएका बालबालिकाहरू पनि स्कुल जान मान्दैनन् । स्कुलको वातावरण : घरमा जसरी बच्चाले आफूलाई सुरक्षित महसुस गर्छ, त्यसरी नै उसले स्कुलमा पनि सुरक्षा खोज्छ । स्कुलमा गाली गलौज गर्ने, तर्साउने, कुटपिट गर्ने तथा साथीभाइ बिच होच्याउने, जिस्काउने वातावरण भएमा, अनुशासनको नाममा चाहिनेभन्दा बढी नियम कानुन भएमा वा शिक्षकशिक्षिकाको व्यवहार तथा पढाउने शैली बच्चालाई मन नपरेमा बच्चा स्कुल जान मान्दैन र बहानाबाजी गर्न थाल्छ । मनोवैज्ञानिक कारण : स्कुलमा वा स्कुल जाँदा आउँदा कुनै अप्रिय घटना भएमा फेरि पनि त्यो घटना हुने डरका कारण बालबालिका स्कुल जान मान्दैनन् । त्यस विषयमा कसैलाई भन्न नसक्ता, भनिहाले पनि कसैले त्यसप्रति चासो नदेखाउँदा वा उल्टै आफू नै दोषी हुनु पर्दा मानसिक समस्याको स्थितिमा पुग्न सक्छन् । परिवारमा झैझगडा वा कुटपिट हुने गरेको छ भने आफू स्कुल जाँदा घरमा केही भैसक्छ कि भन्ने डर पैदा हुनाले पनि स्कुल जान मन गर्दैनन् । बच्चा स्कुलबाट फर्कंदा घरमा अभिभावक (विशेषगरी आमा)को उपस्थिति बच्चाले खोज्छ । यदि आमाले ढाँटेर कतै जाने गरेको छ भने बच्चाले आमा छोड्न मान्दैन । स्कुल नजानको लागि बहाना बनाउन थाल्छ । शारीरिक समस्या : बारबार बिरामी भइरहने बालबालिकाले पनि स्कुल नजान खोज्छ । आजभोलि सानै उमेरमा आँखा कमजोर भएको पाइन्छ । विशेषगरी साना बालबालिकाले आफूलाई भएको समस्या व्यक्त गर्न जान्दैनन् । त्यसैले स्कुल जान मान्दैनन् । मोबाइलको लत : आजका बालबालिकाको सबैभन्दा ठूलो समस्या भनेको मोबाइलको लत हो । यसको कारणले स्वास्थ्यमा समस्या, पढाइमा समस्या, पारिवारिक समस्याका साथै सामाजिक समस्या उत्पन्न भएको छ । कोभिडको कारण हरेक बालबालिकाले ग्याजेटको प्रयोग गर्न बाध्य भए । त्यही बाध्यताले कतिपय बालबालिकालाई मोबाइलको एडिक्सनमा पुर्याएको छ । यसको कारणले पनि उनीहरू स्कुल नगएर घरमै बस्न रुचाउँछन् । समस्याको समाधान बालबालिकालाई उमेर अनुसारको माया, प्रेमको साथै उचित अनुशासनमा रहन सिकाउनुपर्छ । यसको कारणले स्कुलको अनुशासन सहज लाग्छ । शारीरिक स्वास्थ्य विषयमा विशेष ख्याल राख्नुपर्छ । किनकि बालबालिका बिरामी परिरहन्छन् । बच्चाको आँखामा दृष्टि समस्या ( ) छ कि समय समयमा चेकअप गर्नुपर्छ । बच्चासँग जहिले पनि साँचो कुरा बोल्नुपर्छ । अन्यथा उसले जीवनभर अभिभावकलाई आशंकाले हेर्छ । परिवारमा मोबाइल, टीभीको लागि कुनै निश्चित समय निर्धारण गरी सबैले यसलाई पालना गर्ने नियम बसाल्नुपर्छ । परिवारमा सबैले आफ्नो भावना व्यक्त गर्न सक्ने वातावरण हुनुपर्छ । ता कि उनीहरूले पनि सानैदेखि यसको अभ्यास गर्न पाउन् । यो वातावरणमा हुर्केको बच्चाले कुनै पनि घटनाले कुण्ठित भएर बाँच्नु पर्दैन । स्कुल यातना पाउने ठाउँ नभई धेरै कुरा सिक्ने, खेल्ने, कुद्ने, रमाइलो गर्ने ठाउँ हो भन्ने मानसिकता बालबालिकाको मस्तिष्कमा भरिदिनुपर्छ । स्कुलको वातावरण बालमैत्री बनाउनुपर्छ । यति गर्न सकेमा बालबालिका करले होइन, रहरले स्कुल जान्छन् ।"
"स्थानीय व्यापार प्रवर्द्धन गर्न महोत्सव","गुलरिया : बर्दियाको गुलरियामा प्रादेशिक कृषि, पर्यटन तथा औद्योगिक व्यापार महोत्सव सुरु भएको छ । स्थानीय व्यापार प्रवर्द्धन गर्ने उद्देश्यले महोत्सव सञ्चालन गरिएको हो । समृद्ध बर्दियाको प्रमुख आधार कृषि, पर्यटन, उद्योग, संस्कृति र पूर्वाधारको नारासहित उद्योग वाणिज्य संघ गुलरियाको प्रायोजनमा सुरु गरिएको महोत्सव लुम्बिनी प्रदेशका मुख्यमन्त्री डिल्लीबहादुर चौधरीले बेलुन उडाएर शुभारम्भ गरे । नेपाल उद्योग वाणिज्य महासंघ काठमाडौं र लुम्बिनी प्रदेश लगायत एक दर्जन निकायहरूको आयोजनामा भइरहेको व्यापार महोत्सवमा १ लाख दर्शक भित्र्याएर ५ करोड बराबरको कारोबार गर्ने लक्ष्य लिइएको उद्योग वाणिज्य संघ बर्दिया गुलरियाका अध्यक्ष देवेन्द्र पाण्डेले बताए । प्रत्येक वर्ष गुलरियामा व्यापार महोत्सव हुँदै आए पनि कोभिड महामारीपछि पहिलो पटक महोत्सव गरिँदै गरिएको हो । महोत्सवमा प्रादेशिक डान्स आइडल प्रतियोगिता, घरेलु उत्पादन, दैनिक उपभोग्य सामग्री, ख्यातिप्राप्त राष्ट्रिय तथा स्थानीय कलाकारको बेजोड प्रस्तुति, मनोरञ्जनसहितको बाल उद्यान, कृषि उत्पादन तथा जडिबुटी, हस्तकला, स्थानीय थारू तथा विभिन्न जातजातिका परिकार तथा संस्कृति, गार्मेन्ट, जुत्ता, गलैँचा, पश्मिना लगायत कृषि यन्त्र उपकरण महोत्सवका मुख्य आकर्षक हुन् । महोत्सवमा ५९ लाख ३० हजार रुपैयाँ खर्च लाग्ने तथा ९ लाख ७० हजार बचत हुने अनुमान आयोजकको छ । महोत्सव १६ गतेसम्म सञ्चालन हुने छ ।"
"अंग्रेजी नयाँ वर्षमा भेडेटारमा फुड फेस्टिबल","धनकुटा : पर्यटकीयस्थल भेडेटारमा अंग्रेजी नयाँ वर्ष सन् २०२४ का अवसरमा फुड फेस्टिबल आयोजना हुने भएको छ । आयोजक होटल एशोसिएसन भेडेटारले शनिबार पत्रकार सम्मेलनमार्फत आगामी पौष १५ देखि १७ गतेसम्म फुड फेस्टिबल हुने जानकारी दिएको हो । होटल एसोसिएसन भेडेटारले हरेक वर्ष फेस्टिबलको आयोजना गर्दै आइरहेको छ । यस वर्ष आयोजना हुने फेस्टिबल ११ औं संस्करणको हो । फेस्टिबलमा स्थानीय खानाका परिकार, स्थानीय अर्गानिक खेतीबाट उत्पादित तरकारी तथा फलफूलको प्रदर्शनी, हस्तकला, कृषि तथा घरेलु सामग्रीहरू प्रदर्शनीमा राखिने अध्यक्ष तुमराज लिम्बुले बताए । उनका अनुसार २५ वटा स्टल रहने छ । फेस्टिबल अवधिभर १ करोड रुपैयाँ बराबरको आर्थिक कारोबार तथा ३० हजारसम्म बाह्य तथा आन्तरिक पर्यटक घुम्न आउने अनुमान गरिएको सचिव लालबहादुर श्रेष्ठको भनाइ छ । साँगुरीगढी गाउँपालिका अध्यक्ष जितेन्द्र राईले भेडेटारमा हरेक वर्ष आयोजना हुँदै आइरहेको फेस्टिबल पर्यटकीय गतिविधि बढाउने माध्यम भएको बताए । फेस्टिबल सञ्चालन गर्नका लागि २७ लाख ५० हजार रुपैयाँको अनुमानित बजेट विनियोजन गरिएको छ । भेडेटारका होटलहरूमा फेस्टिबल अवधिभर खाना तथा लजमा २० प्रतिशतसम्म छुटको व्यवस्था गरिएको छ । महोत्सवमा आउने पर्यटकहरूलाई सागुरीगढी गाउँपालिकाभित्र रहेको साँगुरीगढी, पाथिभरा मन्दिर, शंखेश्वर महादेवको मन्दिर, नाम्जे, नमस्ते झर्ना, शैलुङडाँडा, आत्म बस्ने घर थुम्की, बौद्धविहार, गुम्बा, ध्वजेडाँडा अजङगको बरको रुख लगायतका ठाउँमा घुमाइने छ । फेस्टिबलको सहआयोजक प्राकृतिक वातावरण स्रोत तथा पर्यैटन भेडेटार (नेष्ट), भेडेटार आमा समुह, सहयोगी साँगुरीगढी गाउँपालिका रहेको छ । त्यस्तै मुख्य प्रायोजक गोर्खा व्रुअरी, सहप्रायोजक नेपाल डिस्टिलरी प्रालि, प्रवर्द्धक नेपाल पर्यटन बोर्ड, एभेन्ट पार्टनर भेडेटार पाथिभरा क्लब र बैंकिङ पार्टनर नबिल बैंक र गुराँस माइक्रो फाइनान्स रहेको छ ।"
"नेवारी कला संस्कृति जोगाउन तानसेनमा योमरी महोत्सव","पाल्पा : नेवारी कला संस्कृति जोगाउन तानसेको टक्सारमा योमरी महोत्सव गरिएको छ । पछिल्लो समय स्थानीय परिकार, भेषभुषा कला संस्कृति परम्परा संस्कार हराउँदै गएको अवस्थामा पहिचान जोगाउँदै इतिहासबारे युवा पुस्तामा जानकारी गराउनका लागि महोत्सव गरिएको हो । तानसेन नगरपालिका र वडा कार्यालयको सहयोगमा मैत्री क्लब टक्सारले टक्सार नेवारी बस्तीमा महोत्सव आयोजना गरिएको हो । नेवारी भाषामा यो भनेको मनपर्ने र मरी भनेको रोटी हो । नेवारीमा सबैभन्दा मनपर्ने रोटीका रूपमा योमरीलाई लिने गरिन्छ । खासगरी नेवारी समुदायमा नयाँ धान भित्राएपछि घरमा भकारी वा धन्सार बनाएर राख्ने मंसिर पूर्णिमाको दिन सोही नयाँ धानको रोटी बनाएर परिवार, आफन्त, इष्टिमत्र लाई बाड्ने भगवानप्रति समर्पित गरी आफू पनि खाने परम्परा रहेको क्लबकी अध्यक्ष मनिता शाक्यले बताइन् । योमरी पूर्णिमाको दिन घर घरमा नाचगान गर्दै योमरी माग्ने चलन रहे पनि अहिले घरमा वर्ष वर्षमा योमरी बनाएर खाना खुवाउने गरेको सुशीला शाक्यले बताइन् । नेवारी समुदायका बुढापाकाले चलन चल्ती संस्कार, विधि परम्पराहरूलाई जोगाउन खोजे पनि युवा पुस्तामा परम्परागत कला संस्कृति रहनसहन भेषभुषा हस्तान्तरण गर्न, एक पुस्ताबाट अर्को पुस्तामा सिक्न र सिकाउन महोत्सव गरिएको प्रचार संयोजक रिलरमान महर्जनले जानकारी दिए ।"
"उखु किसानलाई अनुदानबापत ८० करोड भुक्तानी","काठमाडौं : कृषि तथा पशुपन्छी विकास मन्त्रालयले उखु किसानलाई अनुदानवापत ८० करोड रुपैयाँ रकम भुक्तानी गरेको छ । गत आर्थिक वर्ष २०७९८० मा किसानलाई भुक्तानी गर्नुपर्ने एक अर्ब ३२ करोड रुपैयाँमध्ये चालु आवमा सो रकम भुक्तानी गरिएको हो । बाँकी ५२ करोड बक्यौता भुक्तानीका लागि मन्त्रिपरिषद्ले रकम थप उपलब्ध गराउन स्वीकृत गरेको छ । उपलब्ध विवरणका आधारमा किसानको खातामा रकम भुक्तानी हुने मन्त्रालयका सहसचिव एवं प्रवक्ता शवनम सिवाकोटीले जानकारी दिए । सरकारले उखु किसानको संरक्षण र कृषि व्यवसाय प्रवर्द्धन गर्न हरेक वर्ष उखुको न्यूनतम खरिद मूल्य तोक्दै आएको छ । चालु आवका लागि उखुको न्यूनतम खरिद मूल्य प्रतिक्विन्टल पाँच सय ६५ र नेपाल सरकारले प्रदान गर्ने प्रति क्विन्टल अनुदान रकम ७० निर्धारण गरिएको छ । विभिन्न उखु उत्पादन हुने जिल्लाका किसानबाट लिइएको उत्पादन लागत विवरण तथा छिमेकी देशमा तोकिएको खरिद मूल्यलाई समेत विश्लेषण गरी तयार गरिएको प्रतिवेदनका आधारमा कृषि विभागले मूल्य निर्धारणका लागि प्रस्ताव गरेको हो । कृषि तथा पशुपन्छी विकास मन्त्रालयको संयोजकत्वमा अर्थ मन्त्रालय, उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालय, राष्ट्रिय किसान आयोग, राष्ट्रिय उखुबाली अनुसन्धान कार्यक्रमका प्रतिनिधि, नेपाल उखु उत्पादन महासंघ, चिनी उत्पादक संघलगायतका सरोकारवालाको सुझाव समेतलाई विश्लेषण गरी प्रतिक्विन्टल उखुको लागत २० प्रतिशत मुनाफा र ढुवानी लागतसमेत गरी प्रतिक्विन्टल न्युनतम खरिद मूल्य पाँच सय ६५ सिफारिस गरिएको थियो ।"
"रुखले च्यापेर युवकको मृत्यु","जाजरकोट : अस्थायी आवास निर्माणका लागि रुख काट्ने क्रममा च्यापिएर शनिबार जाजरकोटमा एक जनाको मृत्यु भएको छ । रुखले च्यापेर बारेकोट गाउँपालिका८ लैखमका ३० वर्षीय तप्तबहादुर खत्रीको मृत्यु भएको हो । भूकम्पले घरमा क्षति पुगेपछि त्रिपालमा बस्दै आएको उनको परिवारले अस्थायी आवास निर्माणका लागि पहिलो किस्तावापतको रकम केही दिनअघि बुझेको थियो । गाउँलेसँगै जंगल गएका उनलाई रुख ढाल्ने क्रममा रुखले च्यापेर मृत्यु भएको स्थानीय शिक्षक रत्नबहादुर सिंहले बताए ।"
"गुल्मीमा हराएका व्यक्ति एक महिनापछि मृत फेला","गुल्मी : गुल्मीमा हराइरहेका एक व्यक्ति एक महिनापछि जंगलमा मृत फेला परेका छन् । गत मंसिर १ गतेदेखि सम्पर्कविहीन भएका रेसुंगा नगरपालिका७ का ६२ वर्षीय चेतमान चुँदारा जंगलमा मृत फेला परेको जिल्ला प्रहरी कार्यालय गुल्मीले जनाएको छ । शनिबार जिल्लाको सदरमुकाम तम्घास नजिकैको अर्जुन डाँडाको जंगलमा शव फेला परेको जिल्ला प्रहरी कार्यालय गुल्मीका प्रहरी नायव उपरीक्षक डिल्लीनारायण पाण्डेले जानकारी दिए । चुँदारा सम्पर्कविहीन भएपछि घरपरिवारले उनको खोजी गरिदिन प्रहरीलाई आग्रह गरेका थिए । चुँदाराले सम्पर्कविहीन हुनुभन्दा पहिले परिवारलाई फोन गरेर आफूलाई नखोज्न भनेका थिए । उनको शव जंगलमा भेटिएसँगै प्रहरी घटनास्थलमा पुगेको छ । शवलाई मुचुल्का गरेर पोष्टमार्टमका लागि गुल्मी अस्पतालमा ल्याउने तयारी भइरहेको छ । घटनाका बारेमा थप अनुसन्धान जारी रहेको जिल्ला प्रहरी कार्यालय गुल्मीले जनाएको छ ।"
"झिनामसिना समस्या देखाएर राजतन्त्रको वकालत गर्नु गलत : वर्षमान पुन","काठमाडौं : नेकपा माओवादी केन्द्रका उपमहासचिव वर्षमान पुनले झिनामसिना समस्या देखाएर राजतन्त्रको वकालत गर्नु गलत रहेको बताएका छन् । गणतन्त्रको विकल्प गणतन्त्र, नेताको विकल्प अझ राम्रो नेता र पार्टीको विकल्प अझ राम्रो पार्टी हुने तर राजतन्त्र हुन नसक्ने उनले ठोकुवा गरे । माओवादी केन्द्रको चन्द्रागिरी नगरपालिका२ मा शनिबार भएको सम्मेलनलाई सम्बोधन गर्दै उनले भने, राजतन्त्रको अन्त्य र संविधान जारी गरेसँगै जनवादी क्रान्ति पूरा भयो । तर, जनताको अवस्थामा सुधार आएको छैन । नेताको आचरण र व्यवहारमा सुधार आएको छैन । तीन जना राष्ट्रपति भए र आचरण र व्यवहारमा प्रश्न उठाउँदै राजासँग दाँज्ने काम भयो । त्यसैले हामीले आचरण र व्यवहार सुधार गर्नुपर्छ । गणतन्त्रको विकल्प राजतन्त्र हुन सक्दैन,' उनले भने । गणतन्त्र प्राप्तीपछि देशमा संघीयता, धर्मनिरपेक्षता, समावेशीता, सामाजिक न्याय जस्ता विषय स्थापित गरेको तर आर्थिक समृद्धिको काम अझै बाँकी रहेको उनको भनाइ छ । आफ्नो पार्टीका अध्यक्ष पुष्पकमल दाहाल नेतृत्वको सरकारले गरेको कामको प्रशंसा गर्दै उनले अरु सरकार र अन्य नेताले गर्न नसकेको सामाजिक सुरक्षा, सुशासन, राष्ट्रियता र समृद्धिका पक्षमा राम्रा काम भएको बताए । 'अध्यक्षज्यु नेतृत्वको वर्तमान सरकारले सामाजिक न्याय, सुशासन, समृद्दिका क्षेत्रमा राम्रो काम गरेको छ । सुनकाण्डविरुद्धको अभियान चलाएको छ । अरुले सुन पास गराइरहेका थिए । माओवादीको सरकारले समात्यो त के नराम्रो भयो?,' उनले प्रश्न गरे । उनले मध्यपहाडी राजमार्ग माओवादीले बनाएको बताए । तर, त्यसलाई पनि एमालेले दाबी गरेको आरोप लगाए । गल्ती नगरे पनि प्रविधिको दुरुपयोग गरेर माओवादीविरुद्ध जनतालाई भ्रम पार्न खोज्नेप्रति सचेत हुनुपर्ने उनको भनाइ छ । 'पुस १० गते अध्यक्ष प्रचण्ड प्रधानमन्त्री भएको एक वर्ष पुग्दैछ । आफ्नो सचिवालय, मन्त्री, सल्लाहाकार फेर्छु तर पछि हट्दिन, देश र जनताको पक्षमा काम गर्छु भन्नुभएको छ । परिणाम निकाल्छु भन्नु भएको छ । पार्टीले उहाँलाई साथ दिएको छ,' उनले भने ।"
