"शीर्षक","विवरण"
"काठमाडौं महानगरमा सूर्तिजन्य पदार्थको विक्रीवितरणमा रोक","काठमाडौं : काठमाडौं महानगरपालिकाले प्लाष्टिक वा बट्टामा प्याकेजिङ गरिएका सूर्तिजन्य पदार्थको विक्रीवितरण तथा सेवनमा रोक लगाएको छ । महानगरपालिकाले मंगलबार विज्ञप्ति जारी गर्दै आगामी १५ दिनपछि काठमाडौं महानगरपालिकाभित्र प्लाष्टिक वा बट्टामा प्याकेजिङ गरिएका सूर्तिजन्य पदार्थको पूर्णरूपमा प्रतिबन्ध लगाउने जानकारी दिएको छ । सूर्ति सेवनको निमित्त बनाइएको वा उत्पादन गरिएको चुरोट, बिडी, सिंगार, तमाखु, सुल्फा, प्लाकष्टिकमा प्याक गरिएका कच्चा सूर्ती, खैनी, गुट्खा, पानपराग वा यस्तै प्रकृतिका मुखमा राख्ने रस लिने सूर्तिजन्य पदार्थको सेवन मानव स्वास्थ्यको लागि हानिकारक रहेको प्रस्ट पार्दै महानगरले शिक्षण संस्था, विमानस्थल, बालकल्यान, गृह, क्लबहरु, सार्वजनिक शौचालयहरू, होटल, रेष्टुरेण्टहरू, छात्रावास, व्यायमशालाहरू, डिपार्टमेन्ट स्टोर, धर्मशाला, सार्वजनिक प्रतिक्षालयहरूलगायतका सार्वजनिक स्थलमा धुम्रपान, चुरोट, बिडी, सिंगार, तमाखु, सुल्फा, कक्कड, कच्चा सूर्ती, खैनी, गुट्खा, सूर्ती वा यस्तै प्रकारका सूर्तीजन्य पदार्थलाई निषेध गर्न सूर्तिजन्य पदार्थ नियन्त्रण र नियमन गर्ने ऐन २०६८ को दफा ४ ले प्रष्ट व्यवस्था गरेको जनाएको छ । काठमाडौं महानगरपालिका जनस्वास्थय ऐन २०८० को दफा ४२ ले सूर्ती तथा मदिराजन्य पदार्थ विक्री वितरणामा रोक लगाउनसक्ने, निषेध र विक्री वितरणका लागि खुला क्षेत्र तोक्न सक्ने, बालबालाकालाई विक्री वितरण गराउन नपाइने, सार्वजनिक स्थलको चारकिल्ला तोकी सो वरपर सूर्तीजन्य र जंकफुड विक्री वितरण गर्न निषेध गर्नसक्ने कानुनी व्यवस्था रहेको उसले प्रस्ट पारेको छ । 'कानुनी व्यवस्था हुदाँहुँदै हालसम्म काठमाडौं महानगरपालिका क्षेत्रभित्र मदिरा, सूर्तिजन्य, पदार्थहरु बिक्री वितरण र उपयोग नियमन र नियन्त्रण प्रभावकारी नभएकाले जनस्वास्थ्यमा प्रतिकुल प्रभाव पर्नुका साथै प्लाष्टिक वा बट्टामा प्याकेजिङ्ग गरिएका सूर्तिजन्य पदार्थको सेवनका कारण भूमि प्रदुषित हुने, ढल जामहुने, फोहोर मैला बढ्न गई सहरको सुन्दरतामा प्रतिकुलप्रभाव परेको छ,' विज्ञप्तिमा भनिएको छ । सूर्तीजन्य पदार्थको सेवनले राज्यको करोडौं रकम खर्च भइरहेको भन्दै पहिलो चरणमा प्लाष्टिकको बट्टामा प्याकेजिङ गरिएका जस्तै खैनी, गुट्खा, पानपराग वा यस्तै प्रकृतिका सूर्तीजन्य पदार्थहरू र सार्वजनिक स्थानमा धुम्रपानलाई यो सूचना प्रकाशित भएको मितिले १५ दिनपछि काठमाडौं महानगरपालिका क्षेत्रभित्र विक्री वितरणमा पूर्णरूपमा प्रतिबन्ध लगाइएको छ । त्यस्ता चिजहरू विक्रीवितरण गरेको पाइएमा महानगर प्रहरीमार्फत् जफत गर्ने र कानुनअनुसार अधिकत्तम सजाय गरिने महनगरले जानकारी दिएको छ ।"
"पितृलाई सम्झँदै सकियो नमोबुद्ध जात्रा","काभ्रेपलाञ्चोक : काभ्रेपलाञ्चोकको नमोबुद्ध नगरपालिका११ स्थित बौद्ध धर्मालम्बीको पवित्र स्थाल नमोबुद्धमा सोमबारदेखि सुरु भएको जात्रा सकिएको छ । कात्तिक शुक्ल पूर्णिमाको अघिल्लो रातदेखिनै सुरु भएको जात्राअन्तर्गत मेला भर्न गएका विशेष गरी तामाङ र नेवार समुदायका मानिसले आफ्नो पितृको सम्झानामा दुई दिन दुई रात दीप प्रज्ज्वलन गरेका छन् । काभ्रेपलाञ्चोकको उक्त ऐतिहासिक, पर्यटकीय, धार्मिक एवं रमणीय स्थान नमोबुद्धमा कात्तिक शुक्ल पूर्णिमाका अवसरमा ठूलो मेला लाग्दै आएको छ । कात्तिक शुक्ल पूर्णिमा तिथिका दिन शान्तिका प्रतीक गौतमबुद्धको पूर्वजन्ममा राजकुमारले देहत्याग गरी बघिनीलाई जीवन प्रदान गरेको दिनका रुपमा मान्दै आइएको छ । किंवदन्ती अनुसार बुद्धले लुम्बिनीमा पुनर्जन्म प्राप्त गरेपछिको जीवन त्याग गरेको भूमि जो, नमोबुद्धाय नमःबाट नमोबुद्ध नामकरण भएको स्थान हो । उक्त किंवदन्तीअनुसार द्वापर युगका उनै राजकुमारको अस्थिपञ्जर गाडी बनाइएको चैत्य र जीवन त्याग गरेको स्थानमा पूजाअर्चना र दीप प्रज्ज्वलन गर्न बर्सेनि बौद्ध धर्मावलम्बीको निकै ठूलो भीड लाग्ने गरेको हो । मेलामा बर्सेनि करिब एक लाखले नमोबुद्धको दर्शनपूजाअर्चना गर्ने मन्दिर व्यवस्थापन समितिले जनायो । जात्रामेला अवधिभर परम्परागत गीत तथा नृत्यु प्रस्तुत गर्नेको उत्तिकै भीड लागेको थियो । नमोबुद्ध गुठीका अध्यक्ष लोप्साङ बज्र लामाका अनुसार मेला अवधिभर पितृको सम्झानामा बत्ती प्रज्ज्वलन गरिएको हो । नमोबुद्धका मूल लामागुरु कान्छा लामाका अनुसार तत्कालीन पञ्चलादेश (पनौती राज्य)का राजा महारथ र रानी सत्यवतीका तीन छोरा पूर्वतर्फको गन्धमान पर्वत (जङ्गल)मा शिकार खेल्ने क्रममा कान्छा राजकुमारले भोकले छट्पटिएको सुत्केरी बघिनीलाई आफ्नो रगत र शरीरको मासु काट्दै खुवाएर आफूले देहत्याग गरी जीवन प्रदान गरेका थिए । सोही विश्वासका आधारमा प्रत्येक कात्तिक शुक्ल पूर्णिमाका अवसरमा ठूलो मेला लाग्ने गरेको हो । उनका अनुसार राजकुमारले बघिनीलाई बचाएर आफूले देहत्याग गरेपछि राजारानी सोही नजिकै बाँकी जीवन चैत्यसेवामा बिताउनुभएको थियो । तत्पश्चात् राजारानी शङ्खेश्वरी अजिअजिमाको नामले चिनिँदै आउनुभएको लामागुरुले बताए । नमोबुद्धमा सधैँजसो स्वदेशलगायत विदेशका बौद्धमार्गीको चहलपहल हुने गरेको स्थानीय समाजसेवी राकेश लामाले बताए । उनका अनुसार मेलामा यस वर्ष छिमेकी जिल्ला सिन्धुपाल्चोक, सिन्धुली, रामेछाप, भक्तपुर, ललितपुर, काठमाडौं, धादिङ, नुवाकोटलगायतबाट सहभागिता रहेको थियो । नमोबुद्धबाट ऐतिहासिक पनौतीलगायतका हरियाली बस्ती तथा पूर्वउत्तरतर्फका हिम शृङ्खला र पहाडी मनमोहक दृष्यावलोकन गर्न सकिन्छ । हाल उक्त स्थानमा विशाल गुम्बा, मन्दिर, गुम्बा र चैत्य छन् ।"
"डडेल्धुरामा देहिजाँत मेला","डडेल्धुरा : सुदूरपश्चिम प्रदेशको प्रसिद्ध शक्तिपीठ मध्येको एक उग्रतारा भगवतीको मन्दिरमा लाग्ने मेला (देहीजाँत) आज पूजाआजाका गर्दै सम्पन्न भएको छ । जिल्लाको अमरगढी नगरपालिका८ मा रहेको उग्रतारा मन्दिरमा सोमबार बेलुकादेखि सुरु भएको पूजा मंगलबार बेलुकासम्म मनाइएको हो । हरेक वर्ष कात्तिक शुक्ल पूर्णिमाको रात रतेडी र दोस्रो दिन दिउँसेडी मेला लाग्ने गर्दछ । देहीजाँतमा अमरगढी नगरपालिकाका ४ वटा गाउँबाट देउरो आउने गर्छ । खनमडा, छचोडा, दुमडा र जिलोडा गाउँमा रहेका भ्राण (देवीको भण्डार)बाट बिहान उज्यालो नहुँदै देउरो आउने गर्छ । त्यसअघि कात्तिक शुक्ल पूर्णिमाको राति, भक्तजन उग्रतारा मन्दिर पुग्ने गर्दछन् । रातभर भगवतीको पूजाआराधना गरेका श्रद्धालु दिउँसो, दिउँसेडीको मेला हेरेपछि घर फर्किन्छन् । सुदूरपश्चिम क्षेत्रको मुख्य धार्मिक तथा पर्यटकीय स्थलमध्ये एक रहेको उग्रतारा क्षेत्र विकास समिति अध्यक्ष तेजबहादुर साँकीले बताए । झण्डै २ हजार ५०० वर्ष अगाडि, हालको अमरगढी नगरपालिका अन्तर्गत पर्ने लटाउली गाउँमा बस्ने साँकी जातिका स्थानीयले हलो जोत्दा भगवती उत्पन्न भएको लोककथन छ । हलोको फाली लागेर शिलाबाट रगत बगेपछि देवी उत्पन्न भएर दर्शन दिएको र त्यस दिनदेखि दुर्गा र कालीको स्वरूपमा उग्रतारा भगवतीको पूजा गरिँदै आएको मुख्य पुजारी लोकराज भट्टले बताए ।"
"दुप्चेश्वरलाई जिल्लास्तरीय भलिबलको उपाधि","नुवाकोट : नुवाकोटको लिखुमा सञ्चालन भएको अन्तरपालिका जिल्लास्तरी भलिबल प्रतियोगिताको उपाधि दुप्चेश्वर गाउँपालिकाले उपाधि जितेको छ । नुवाकोट भलिबल संघले आयोजना गरेको प्रतियोगितामा दुप्चेश्वरले प्रतिस्पर्धी तादी गाउँपालिकालाई पराजित गरेर विजयी भएको हो । प्रतियोगितामा पञ्चकन्या गाउँपालिका तेस्रो र विदुर नगरपालिकाले सान्त्वना स्थान जितेका छन् । प्रतियोगितामा प्रथम, द्वितीय र तृतीयले क्रमशः ५० हजार, ३० हजार र १५ हजार रुपैयाँ नगद पुरस्कारसहित ट्रफी, मेडल र प्रमाणपत्र प्राप्त गरेका छन् । यस्तै, सान्त्वना स्थान प्राप्त गरेकाले १० हजार रुपैयाँ नगद पुरस्कारसहित ट्रफी, मेडल र प्रमाणपत्र प्राप्त गरेका छन् । प्रतियोगितामा उत्कृष्ट खेलाडीमा दुप्चेश्वरका राजकुमार तामाङ, उत्कृष्ट व्लकर पुष्कर थापा र उत्कृष्ट सटर मीनबहादुर तामाङ पुरस्कृत भएका छन् । यस्तै, उत्कृष्ट स्पाइकर तादीका अभिषेक शाहीठकुरी, उत्कृष्ट डिफेन्डर पञ्चकन्याका सुवास कार्की र उत्कृष्ट सर्भर विदुरका सन्तोष थापा पुरस्कृत भए । विभिन्न ६ विद्याका उत्कृष्ट खेलाडीले नगद ५ हजार र अन्य खेलाडीहरूले २ हजार नगद पुरस्कार र मेडल र प्रमाणपत्र प्राप्त गरेका छन् । सो प्रतियोगितामा नुवाकोटका ११ पालिकाले सहभागिता जनाएको जिल्ला भलिबल संघले जनाएको छ ।"
"देउवाद्वारा तीन भ्रातृ संस्थाको अध्यक्ष मनोनित","काठमाडौं : नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले पार्टीको रिक्त तीन भ्रातृ संस्थामा नयाँ अध्यक्ष मनोनीत गरेका छन् । सभापति देउवाले पार्टीको केन्द्रीय कार्यसमितिको बैठकको निर्णयअनुसार नेपाली कांग्रेसको विधान, २०१७ (संशोधन सहित) को धारा ४२ (१) (च) बमोजिम म्याद समाप्त भई स्वतः विघटन भएका पार्टी आबद्ध तीन भ्रातृ संस्थामा अध्यक्ष नियुक्त गरेका छन् । सभापति देउवाले नेपाल प्रजातन्त्र सेनानी सङ्घको अध्यक्षमा बालकृष्ण दाहाल (ओखलढुङ्गा), नेपाल भूतपूर्व सैनिक सङ्घको अध्यक्षमा मेघराज टण्डन (कपिलवस्तु) र राष्ट्रिय लोकतान्त्रिक अपाङ्ग सङ्घको अध्यक्षमा प्रकाश पन्थ (तनहुँ) लाई नियुक्त गर्नुभएको कांग्रेस केन्द्रीय कार्यालयका मुख्यसचिव कृष्णप्रसाद पौडेलले जानकारी दिए ।"
"वेस्टमिन्स्टर कलेजमा युनिभर्सिटी अफ वेस्टमिन्स्टर युकेको दुई नयाँ पाठ्यक्रम सञ्चालन","काठमाडौं : ललितपुरको कुपण्डोल स्थित द वेस्टमिन्स्टर कलेज लेयूकेको दुई शैक्षिक पाठ्यक्रमहरू सञ्चालनमा ल्याएको छ । ब्रिटिस एजुकेशन ग्रुप अन्तर्गतको वेस्टमिन्स्टर कलेजले युनिभर्सिटी अफ वेस्टमिन्स्टर युकेका दुई नयाँ पाठ्यक्रमहरू बीएससी कम्प्युटर साइन्स र साइबर सेक्युरिटी एण्डफोरेन्सिक्सस् विषय सञ्चालनमा ल्याएको हो । सूचना तथा प्रविधिको क्षेत्रमा आवश्यक जनशक्तितयार गर्नका लागि वेस्टमिन्स्टरले सर्वसुलभ शुल्कमा उल्लेखित पाठ्यक्रमहरू सञ्चालनमा ल्याएको हो । प्रविधिको क्षेत्रमा नविनता रआविष्कार गर्नका लागि सक्षम जनशक्तिको निर्माण गरेर मुलुकको आर्थिक उन्नतिमा महत्वपूर्ण योगदान पुर्याउने लक्ष्य स्वरुप पाठ्यक्रमहरू सञ्चालनमा ल्याएको कलेजको भनाइ छ । वेस्टमिन्स्टर कलेजका प्रमुख अरुण लाल जोशीले यी पाठ्यक्रमहरूले सकारात्मक प्रभाव पार्ने उत्साह व्यक्त गर्दै भने, हामीले बीएससी कम्प्युटर साइन्स र साइबर सेक्युरिटी एण्ड फोरेन्सिक्सस् विषय सञ्चालनमा ल्याएर शिक्षा मात्रै प्रदान गरिरहेका छैनौं, डिजिटल नेपालको भविष्यलाई समेत आकारदिइरहेका छौं । कलेजले सम्भावित विद्यार्थी र उनीहरूको परिवारहरूलाई यी परिवर्तनकारी शैक्षिक कार्यक्रमहरूले डिजिटल युगमा फस्टाउँदो करिअरका लागि मार्गप्रशस्त गर्ने प्रतिज्ञा गरेको छ । लण्डन स्थितवेस्टमिन्स्टर युनिभर्सिटी,क्यूएस वल्र्ड विश्वविद्यालय र्याङ्किङ्ग २०२४ मा ७११७२० मापरेर सिल्भर रेटिङपाएको छ । विद्यार्थीहरूको शैक्षिक अनुभव र विद्यार्थीहरूको नतिजाको आधारमा सिल्भर रेटिङ पाएकोहो । यस विश्वविद्यालयमा भर्नाहुने विद्यार्थीहरूले चारवर्षको डिग्रीप्राप्त गर्छन् । त्यस्तै, उनीहरूले ईलाइब्रेरी, ब्ल्याकबोर्ड प्लेटफर्मका साथै समृद्ध शैक्षिक अनुभव सम्मको पहुँच प्राप्त गर्छन् । कम्प्युटर साइन्स विषय व्यापक ज्ञानसँग विद्यार्थीहरूलाई हरेक ढंगले तम्तयार पार्नको लागि डिजाइन गरिएको छ । यसमा कम्प्युटर साइन्सबारे बृहत् ज्ञान, सफ्टवेरको विकास, आर्टिफिसियल इन्टिलिजेन्स, डेटा एनालिटिक्स लगायतका क्षेत्रहरू समेटिएका छन् । यो पाठ्यक्रम विश्वव्यापी उद्योगका आवश्यकताहरू पूरा गर्न र प्राविधिक क्षेत्रका विविध भूमिकाका लागि विद्यार्थीहरू तयार पार्न सक्षम छ । त्यस्तै,कलेजले प्रदान गरेको अर्को विषय साइबर सेक्युरिटी एण्ड फोरेन्सिक कार्यक्रम साइबर सुरक्षा र डिजिटल फोरेन्सिकको महत्वपूर्ण पक्षहरूमा केन्द्रित रहेको छ । यो विषयले डिजिटल एसेस्ट्सहरूको सुरक्षा गर्ने रसाइबर अपराधहरूको अनुसन्धान गर्ने जनशक्तिहरूको उत्पादन गर्ने लक्ष्य राखेको छ । विश्वव्यापी रूपमा साइबर सुरक्षा विज्ञहरूको बढ्दो मागलाई पूरा गर्नका लागि यस विषय महत्वपूर्ण छ ।"
"रुपन्देही पुगेर देउवाले भने बालकृष्ण खाँणले न्याय पाउँछन्","भैरहवा : नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले भुटानी शरणार्थी प्रकरणमा पुर्पक्षका लागि थुनामा रहेका नेता बालकृष्ण खाँणले न्याय पाउने बताएका छन् । मंगलबार रुपन्देही कांग्रेसको प्रथम जिल्ला सम्मेलनलाई सम्बोधन गर्दै सर्वोच्च अदालतमा विचाराधीन मुद्दामा धेरै बोल्न उचित नहुने भन्दै उनले भने, 'बालकृष्ण खाँणले न्याय पाउनुहुनेछ । वकिल साथीहरू लागिरहनुभएको छ । मलाई विश्वास छ ।' उनले गौतमबुद्ध अन्तर्राष्ट्रिय विमानस्थल सञ्चालनका लागि सम्बन्धित सरोकारवालाहरूसँग छलफल गर्ने बताए । 'विमानस्थल सञ्चालनका लागि आवश्यक पर्ने पूर्वाधार तथा कार्यालयहरू कुनै पनि खोलिएका रहेनछन्,' उनले भने, 'काठमाडौं गएर विमानस्थल पूर्णरूपमा सञ्चालनका लागि सरकार, सम्बन्धित मन्त्री र सरोकारवालालाई बोलाएर कुरा गर्छु ।'"
"ठेक्कामा मिलेमतो गर्नेमाथि कारबाही गर्न अनेरास्ववियुको माग","ओखलढुंगा : शहरी विकास तथा भवन कार्यलय ओखलढुंगाले सार्वजनिक खरिद ऐन, विद्युतीय खरिद निर्देशिका मिचेर गरिएका काम तथा संलग्न व्यक्तिमाथि छानविन गर्न अनेरास्ववियुले माग गरेको छ । प्रमुख जिल्ला अधिकारी चेतराज बराललाई मंगलबार ज्ञापन पत्र बुझाउँदै अनेरास्ववियुले कार्यालयले ठेक्का निकाल्ने क्रममा गरिएको मिलेमतो, सूचना लुकाएर प्रतिस्पर्धा समिति गर्दै अख्तियारको दुरुपयोग र खरिद ऐन विपरीत गरिएका काममाथि छानविन गर्न माग गरेको हो । जिल्ला अध्यक्ष सञ्जित तामाङद्वारा हस्ताक्षर गरिएको ज्ञापनपत्रमा २१ औं शताब्दीको सूचना प्रविधिको युगमा विद्युतीय प्रणालीमा जानुपर्नेमा नेपाललाई ढुङ्गे युगतर्फ फर्काउने प्रयासले आश्चर्य चकित बनाएको उल्लेख छ । विभिन्न मितिमा विभिन्न सञ्चार माध्यमबाट प्रकाशित समाचारले अनियमितताको पराकाष्टा उदांगो भएको छ । समाजभित्र हुर्किँदै गएको अनियमितता, भ्रष्टाचारमा, बेतिथिका विरुद्ध धावा बोल्दै हाम्रो संगठन अनेरास्ववियु यस्ता कृयाकलाप आगामी दिनमा नहोस्, सत्य तथ्य छानविन गरी अनियमिततामा संलग्न जो कोहीलाई कडाभन्दा कडा कारबाहीको माग गर्दछ' ज्ञापन पत्रमा भनिएको छ । जिल्लाका विकास निर्माणका काममा विगतदेखि नै गुनासो आइरहेको र विद्युतीय खरिद प्रणाली नै मिचेर गरिएको कामका विरुद्धमा संगठनले छानविन गर्न प्रमुख जिल्ला अधिकारीको ध्यानाकर्षण गराइएको अनेरास्ववियुका स्थायी कमिटी सदस्य गोपाल नेपालले बताए । उनले सुशासनका पक्षमा आफ्नो संगठनले आवाज उठाउने बताउँदै छानविन गर्न प्रमुख जिल्ला अधिकारीलाई ध्यानाकर्षण गराइएको जनाए । कार्यालयले कात्तिक १२ गते विद्युतीय खरिद प्रणाली निर्देशिका विपरीत एक स्थानीय पत्रिकामा निकालेको सूचना अनुसार भन्दै ८ वटा ठेक्का मिलेमतोमा ३ जना व्यवसायीलाई विडिङ गराएको थियो । सूचना निकालिएको पत्रिका बजारमा समेत कतै पनि वितरण नगरी सूचना गोप्य राखिएको थियो । यस घटनाबारे अन्नपूर्ण पोष्ट दैनिक र अन्नपूर्ण डटकममा समाचार प्रकाशित भएपछि कार्यालयले ठेक्का रद्द गरेको थियो । यस विषयमा निर्माण व्यवसायी संघले समेत छानविन गर्न माग गर्दै निवेदन दिएका थिए । यस विषयमा जिल्ला प्रशासन कार्यालयले छानविन अघि बढाएको छैन । अनेरास्ववियुले ज्ञापनपत्र बुझाएपछि विद्यार्थीहरुसँग प्रमुख जिल्ला अधिकारी बरालले छानविन गरेर कारबाही गर्ने बताए ।"
"काठमाडौं र चितवनको खेल बराबरीमा सकियो","काठमाडौं : नेपाल सुपर लिग (एनएसएल) फुटबल प्रतियोगिताको दोस्रो संस्करणअन्तर्गत साविक विजेता काठमाडौँ रेजर्स र चितवन एफसीबीचको खेल बराबरीमा सकिएको छ । त्रिपुरेश्वरस्थित दशरथ रंगशालामा आज भएको खेलमा दुवै टोलीले एकएक गोलको बराबरी खेल्दै अंक बाँडेका छन् । खेलमा पहिलो अग्रता भने चितवनले लियो । चितवनले खेलको ८६औँ मिनेटमा गोल पहिलो अग्रता लियो । चितवनका लागि नवयुग श्रेष्ठले गोल गरे । तर चितवनको एक शून्य गोलको अग्रता लामो समयसम्म टिक्न सकेन । खेलको दोस्रो हाफको अतिरिक्त समयमा काठमाडौंले गोल गर्दै खेललाई एकएक गोलको बराबरीमा ल्याए । काठमाडौंका जुनियर एकेनगुएले एक गोल फर्काएर खेललाई बराबरीमा ल्याएका हुन् । यससँगै काठमाडौंले प्रतियोगितामा दुई खेलबाट ४ अंक जोडेको छ । चितवनले भने १ अंक जोडेको छ । काठमाडौंले पहिलो खेलमा इलामलाई पराजित गर्दै विजयी भएको थियो । यता चितवन भने पोखरासँग पराजित भएको छ ।"
"डोल्पाको जुफाल विमानस्थल जोड्ने सडक हिलाम्मे हुँदा यात्रुलाई सास्ती","डोल्पा : हिमाली जिल्ला डोल्पाको जुफाल विमानस्थल जोड्ने मोतिपुरजुफाल सडकखण्डमा हिलो बढेपछि सवारीसाधन र यात्रुले सास्ती भोग्नु परेको छ । ठुलिभेरी नगरपालिका७ मा पर्ने जुफाल विमानस्थलदेखि एक किलोमिटर तलको सडक पानीले हिलो भएपछि दैनिक आवतजावत गर्ने जीप, टयाक्टर, मोटरसाइकल लगायतका सवारी साधनलाई सञ्चालनमा समस्या भएको छ । जुफाल बजारभरीबाट निस्केको भान्सा र धाराको पानी सिधै सडकमा निकास गरिएको छ । जसका कारण करिब दुई सय मिटर सडक हिलोले भरिभराउ भएको हो । बाटो चिप्लो भएर जीप, मोटरसाइकल लगायतका सवारी साधनका चक्का चिप्लिएर दैनिक जसो सानातिना दुर्घटना हुने गरेको जीप व्यवसायी शेरबहादुर कठायतले जानकारी दिए । जुफाल बजारको पानी पाइपमा सिधै सडकमा निकास गरेकाले सवारीसाधन र पैदलयात्रीहरूले समस्या भोगिरहेको कठायतको भनाइ छ । नगरपालिका कार्यालय नजिकै छ । दुःखको कुरा बजारको पानी व्यवस्थित गर्नुको सट्टा सिधै मुख्य सडकमा हाल्दा पनि नगरपालिकाले कुनै चासो देखाएको पाइन्न । सडकमा हिलो सँगै धुलो पनि उत्तिकै छ । जसले गर्दा जीपमा यात्रा गर्ने यात्रुलाई कसरी सकुसल गन्तव्यमा पुर्याउने भन्ने चिन्ताले चालकलाई पिरोल्ने गर्छ' उनले भने । नजिकको सरकार स्थानीय सरकार नै भएकाले यस्ता सानातिना कुरा सुधारमा तदारुपता देखाउनुपर्ने उनको भनाइ छ । यही बाटो भएर आवतजावत गर्ने स्वदेशी तथा विदेशी पर्यटकले समेत सास्ती भोग्नु परेको छ । धुलो र हिलोले अप्ठेरो बनेको सडकदेखि नजिकै नगरपालिका भए पनि सुधारका लागि चासो नदेखाएको जुफालका स्थानीयको गुनासो छ । डोल्पालीका लागि भरपर्दो यातायातको साधनका रूपमा रहेको जुफाल विमानस्थलमा हवाइजहाजबाट पुग्ने मन्त्री, सांसद, जिल्लाका प्रशासक, नगरका जनप्रतिनिधि यहि बाटो भएर आवत जावत गर्ने भए पनि सुधारका लागि कुनै सुझाव तथा चासो देखाएका पाइँदैन । डोल्पा प्रवेशको मुख्यद्वारको सडकको अवस्था नाजुक भएको त्रिपुराकोटका व्यापारी प्रकाश पन्थीले बताए । काम विशेषले जुफाल एयरपोर्ट जानुपर्ने हिलो सडकका कारण जोखिम मोलेर यात्रा गर्नुपर्ने उनको भनाइ छ । बजारको पानी भित्र भित्रै भिजेर बाटोमा पुगेपछि जुफाल बजार समेत पहिरोको उच्च जोखिममा रहेको छ । एयरपोर्ट पुग्ने सडक नै हिलो र धुलोले भरिएपछि सडक चिप्लो भएर दुर्घटनाको जोखिम रहेको ट्राफिक प्रहरी जवान झलनाथ वलीले बताए । यस्तो सडक समयमै सुधार गर्न नगरपालिकालाई समेत उनले अनुरोध गरे ।"
