"शीर्षक","विवरण"
"घाँसीकुवामा भएको दुर्घटनाका घाइतेलाई गाउँपालिकाले सहयोग गर्ने","धनकुटा : पृथ्वी राजमार्ग खण्ड अन्तर्गत तनहुँको घाँसीकुवामा आज बिहान भएको बस दुर्घटनाप्रति साँगुरीगढी गाउँपालिकाले दुःख व्यक्त गरेको छ । धरानबाट पोखरा जाँदै गरेको ग १ ख ७८९५ नम्बरको यात्रुवाहक बस तनहुँको घाँसीकुवामा बिहान सवा ६ बजे दुर्घटना हुँदा ३६ जना यात्रुमध्ये दुई जनाको ज्यान गएको थियो । जिल्लाको साँगुरीगढी गाउँपालिका९ का हस्त राई र ठेगाना नखुलेको ५० वर्षे टोपबहादुर मगरले ज्यान गुमाएका थिए । साँगुरीगढी गाउँपालिका अध्यक्ष जितेन्द्र राईद्वारा हस्ताक्षरित शोक विज्ञप्तिमा दुर्घटनामा ज्यान गुमाएका यात्रुहरूको मृत आत्माको चिरशान्तिको कामना गर्दै श्रद्धाञ्जली व्यक्त गरिएको छ । दुर्घटनामा घाइते भएका यात्रुहरूको शीघ्र स्वास्थ्य लाभको कामना कामना गर्दै प्रभावकारी उपचारका लागि सम्बन्धित निकायसँग अनुरोध गरिएको छ । दुर्घटनामा घाइते भएका अधिकांश यात्रु साँगुरीगढी गाउँपालिका वडा नम्बर ७, ८ र ९ का यात्रु भएको अध्यक्ष राईले बताए । उनका अनुसार अहिले यात्रुहरूको विवरण संकलन गर्ने कार्य भइरहेको छ । अधिकांश घाइतेको आर्थिक अवस्था न्यून रहेकाले गाउँपालिकाबाट सहयोग गर्ने उनले प्रतिवद्धता व्यक्त गरे ।"
"श्रीमती हत्या आरोपमा युवक पक्राउ","सिरहा : सिरहा प्रहरीले श्रीमतीको हत्या गरेको आरोपमा एक युवकलाई नियन्त्रणमा लिएको छ । सिरहा नगरपालिका१५ सुखचैनाका ४० वर्षीय देवेन्द्र यादवलाई ३० वर्षीया श्रीमती सञ्जिताकुमारी यादवको हत्या अभियोगमा आज पक्राउ गरेको हो । गत बिहीबार ७ गते श्रीमती हत्या गरी फरार रहेको यादवलाई इलाका प्रहरी कार्यालय माडर र जिल्ला प्रहरी कार्यालय सिरहाको संयुक्त टोलीले भारतीय सीमा नजिकबाट पक्राउ गरेको जिल्ला प्रहरी कार्यालय सिरहाका सूचना अधिकारी रवीन्द्रराज पाण्डेले जानकारी दिए । घरायसी विवादका क्रममा श्रीमान्ले इँटा र भाटाले कुटपिट गरेको प्रारम्भिक अनुसन्धानबाट खुलेको प्रहरीले बताएको छ । गम्भीर घाइते भएकी उनलाई उपचारका लागि छिमेकी भारतीय बजार जयनगर लगेको सूचना प्राप्त हुनासाथ प्रहरीले खोजतलास र अनुसन्धान गर्दा हत्या गरी भारततर्फ लगेको खुलेको बताएको छ । यादवलाई नियन्त्रणमा लिई सोधपुछ गर्दा भारतको मधुबनी जिल्लाको खजोली थानाअन्तर्गत सलरा भन्ने ठाउँको झाडीमा फालेको खुलेपछि भारतीय प्रहरीको सहयोगमा शव खोजतलास गरी फेला परेको प्रहरीले जनाएको छ । आवश्यक प्रक्रिया पूरा गरी शव नेपाल ल्याइएको छ । उनका पाँच छोराछोरी छन् । प्रहरीले सिरहा जिल्ला अदालतबाट म्याद थप गरी आवश्यक अनुसन्धान गरिरहेको जनाएको छ ।"
"प्रधानमन्त्री दाहाल दुबई प्रस्थान","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल दुबई प्रस्थान गरेका छन् । जलवायु परिवर्तनसम्बन्धी सम्मेलन (कोप२८) सहभागी हुन उनी ९:३० बजे नेपाल एयरलाइन्सको विमानबाट दुबई प्रस्थान गरेका हुन् । कोप२८ भोलि (बिहीबार)देखि मंसिर २६ गतेसम्म सञ्चालन हुँदैछ । प्रधानमन्त्री दाहालले शुक्रबार र शनिबार हुने सत्रमा सहभागी हुने परराष्ट्र मन्त्रालयले जानकारी दिएको छ । प्रधानमन्त्री दाहालले शनिबार नेपालको तर्फबाट वक्तव्य दिनेछन् । पर्वतीय एजेन्डालाई प्रवर्द्धन गर्न प्रधानमन्त्री दाहालले हिमालको आह्वान : जलवायु संकटबाट हामीलाई कसले बचाउँछ?शीर्षकको उच्चस्तरीय कार्यक्रम आयोजना गर्ने परराष्ट्र मन्त्रालयले जनाएको छ । त्यस्तै प्रधानमन्त्री दाहालले संयुक्त अरब इमिरेट्सको ५२औं संघट्ठय दिवस समारोह र जायेद सस्टेनेबिलिटी प्राइज अवार्डसमारोहमा पनि सहभागी हुने कार्यक्रम छ । प्रधानमन्त्री दाहालले उच्चस्तरीय सत्रको अवसरमा सम्मेलनमा सहभागी विभिन्न मुलुकका राष्ट्र प्रमुखसरकार प्रमुखका साथै अन्य उच्च पदस्थ व्यक्तित्वसँग द्विपक्षीय भेटवार्ता गर्ने तालिका रहेको मन्त्रालयले जनाएको छ । उनले अबुधाबीस्थित नेपाली राजदूतावासको भ्रमणका साथै नेपाली समुदायसँग अन्तरक्रिया र नेपालयुएई व्यापार शिखर सम्मेलनलाई सम्बोधन गर्ने कार्यक्रम छ । प्रधानमन्त्री दाहाल भ्रमण सकेर आइबार स्वदेश फर्किनेछन् ।"
"""स्वर्णिम वाग्ले बने रास्वपा उपसभापति","सहमहामन्त्रीमा सुमना"",""काठमाडौं : राष्ट्रिय स्वतन्त्र पार्टी (रास्वपा)ले प्रतिनिधिसभा सदस्य स्वर्णिम वाग्लेलाई उपसभापति बनाउने निर्णय गरेको छ । महोत्तरीमा बसेको बैठकले वाग्लेलाई उपसभापति बनाएको हो । रवि लामिछाने सभापति रहेको रास्वपामा डीपी अर्याल उपसभापति रहेका थिए । विधानअनुसार थप एक जना उपसभापति चयन गरिएको हो । त्यस्तै सहमहामन्त्रीमा कबिन्द्र बर्लाकोटी, सुमना श्रेष्ठ र विपिन आचार्यलाई नियुक्त गरिएको छ । महामन्त्री भने यसअघि नै डा मुकुल ढकाल रहेका थिए । त्यस्तै संसदीय दलको उपनेतामा विराजभक्त श्रेष्ठ रहेका छन् भने संसदील दलको नेतामा सभापति लामिछाने र प्रमुख सचेतक सन्तोष परियार रहेका छन् । त्यस्तै कोषाध्यक्षमा लिमा अधिकारी, सहकोषाध्यक्षमा बसु माया तामाङ दीपक बोहोरालाई नियुक्त गरिएको छ । त्यस्तै सहप्रवक्तामा मनिष झा, प्रतिभा रावल र रमेश प्रसाईंलाई नियुक्त गरिएको रास्वपाले जनाएको छ ।"""
"बझाङ केन्द्रबिन्दु बनाएर गयो भूकम्प","बझाङ : बझाङ केन्द्रबिन्दु बनाएर भूकम्प गएको छ । राष्ट्रिय भूकम्प पामन केन्द्रका अनुसार ६:४४ मिनेटमा ४१ रेक्टरस्केलको भूकम्प गएको हो । बझाङ आसवासका क्षेत्रमा भूकम्प महसुस गरिएको स्थानीयबासी जानकारी दिएका छन् । यसअघि बझाङमै केन्द्रबिन्दु बनाएर मंसिर ४ गते ४५ रेक्टरस्केलको भूकम्प गएको थियो । दुई महिनाअघि बझाङकै केन्द्रबिन्दु बनाएर ६३ रेक्टरस्केलको भूकम्प जाँदा सामान्य क्षति भएको थियो ।"
"सुधार भयो जुफाल विमानस्थल जोड्ने सडक","डोल्पा : डोल्पाको जुफाल विमानस्थल जोड्ने मोतिपुरजुफाल सडकखण्डको बजार तलको सडक सुधार गरिएको छ । मंगलबार जुफाल बजारबाट करिब एक किलोमिटर दूरीमा रहेको सडकको दुरावस्थाबारे अन्नपूर्ण पोस्टमा समाचार प्रकाशन भएपछि ठुलिभेरी नगरपालिकाले तत्काल सडक सुधारको काम अघि बडाएको थियो । बुधबार जुफाल बजारबाट सडकमा सिधै निकास गरिएको पानीको व्यबस्थापन सँगै डोजर लगाएर हिलो पनि हटाएपछि सडक सुधार भएको छ । नगर प्रमुख सुवर्ण बुढाको निर्देशनमा मंगलबार रातिदेखि नै काम सुरु गरेर सडक व्यवस्थित गरिएको स्वकीय सचिव रेखामान बुढाले जानकारी दिए । यसअघि पनि नगरपालिकाले बजारबाट निकास भएको पानी व्यवस्थापन गरेपनि पाइप नै चोरी भएपछि सडक हिलाम्य भएको उनको भनाइ छ ।"
"सवारी दुर्घटनाका घाइतेको उपचारका क्रममा मृत्यु","बुटवल : सवारी दुर्घटनामा परी गम्भीर घाइते भएका एक जनाको मृत्यु भएको हो । बुटवलमा गम्भीर घाइते भएका बुटवल उपमहानगरपालिका११ मजुवाका शेखर पोखरेलको उपचारको क्रममा काठमाडौंमा मृत्यु भएको हो । काठमाडौंको ट्रमा सेन्टरमा उनको मृत्यु भएको इलाका प्रहरी कार्यालय बुटवलले जनाएको छ । गत शुक्रबार बुटवल उपमहानगरपालिका११ स्थित पश्चिम नहरपुर क्षेत्रको बेलवास बेथरी सडकमा लु १ च ७०२४ नम्बरको बोलेरो भ्यान र लु ६१ प ५५०८ नम्बरको मोटरसाइकल ठोकिँदा उनी घाइते भएका थिए । दुर्घटनामा परेका मालारानी गाउँपालिका३ अर्घाखाँचीका ४५ वर्षीय शालिकराम खनालको घटनास्थलमा मृत्यु भएको थियो ।"
"धनकुटाको सहिदभूमिमा दुई दिन स्थानीय बिदा","धनकुटा : सहिदभूमि गाउँपालिको राई समुदायले मनाउने विशेष पर्व (वाडाङ्मी) पापानीका अवसरमा दुई दिन स्थानीय बिदा दिने निर्णय गरेको छ । सहिदभूमि गाउँ कार्यपालिकाको मंसिर ११ गते सोमबार बसेको बैठकले पापानीको अवसरमा मंसिर १७ र १८ गते स्थानीय बिदा दिने निर्णय गरिएको गाउँपालिका अध्यक्ष मनोज राईले बताए । उक्त बिदाको दिन गाउँपालिकाको कार्यालय, वडा कार्यालयहरू, स्वास्थ्य संस्था, सेवा कार्यालयहरू, विद्यालयहरू बन्द रहने छ । सहिदभूमि गाउँपालिकामा राई समुदायको बाहुल्यता छ । यहाँको कुल जनसंख्यामध्ये करिव ८० प्रतिशत राई समुदायको बसोवास रहेको छ । गाउँपालिकाका ९ वटा सामुदायिक विद्यालयमा गाउँपालिको मातृभाषा कक्षा सञ्चालन गर्दै आइरहेको अध्यक्ष राईले बताए । विगतका वर्षमा पनि गाउँपालिकाले सो पर्वका अवसरमा स्थानीय बिदा दिएको थियो । धनकुटा नगरपालिकाले पनि गत मंसिर ११ र १२ गते नगरक्षेत्रमा बसोवास गर्ने आठपहरिया जातिको प्रमुख चाड वडाङ्मेटका अवसरमा स्थानीय बिदा दिएको थियो ।"
"एनएसएलमा ललितपु र पोखराले बाँडे अंक","काठमाडौं : राजधानीमा जारी नेपाल प्रिमियर लिग (एनएसएल)अन्तर्गत ललितपुर सिटी एफसी र पोखरा थन्डर्सबीचको खेल बराबरीमा टुंगिएको छ । त्रिपुरेश्वरस्थित दशरथ रंगशालामा आज भएको खेलमा दुवै टोलीले गोलरहित बराबरीमा रोकिएका हुन् । खेलको निर्धारित समयसम्म दुवै टोलीले गोल गर्न नसकेपछि दुवैले एकएक अंक बाँडेका छन् । त्यस्तै दुवै टोलीले यसअघि भएको पहिलो खेलमा जित हात पारेका थिए । यस खेलसँगै दुवै टोलीको समान दुई खेलमा समान चारचार अ्क जोडेका छन् । प्रतियोगिताअन्तर्गत भोलि धनगढी एफसी र बुटवल लुम्बिनी एफसीबीच प्रतिस्पर्धा हुनेछ ।"
"भोजपुरमा बालिका बलात्कार गरेर फरार भएका व्यक्ति ७ वर्षपछि पक्राउ","विराटनगर : भोजपुरमा बालिकालाई बलात्कार गरेर फरार भएका एकजना व्यक्ति ७ वर्षपछि पक्राउ परेका छन् । भोजपुरको रामप्रसाद राई गाउँपालिका१ बैकुण्ठेका २६ वर्षीय सुन्दर राईलाई बुधबार पक्राउ गरिएको भोजपुर प्रहरी प्रमुख डीएसपी सुदीपराज पाठकले जानकारी दिए । उनका अनुसार राईलाई लुकिछिपी बसेको अवस्थामा रामप्रसाद राई१ ओख्रेबाट पक्राउ गरिएको हो । राई २०७३ असोज १९ गते राति ८ वर्षीया बालिकालाई बलात्कार गरेर फरार भएका थिए । उनीविरुद्ध प्रहरीले जबरजस्ती करणी मुद्दा चलाएको थियो । घटनामा दोषी ठहर गर्दै २०७९ माघ १८ गते जिल्ला अदालत भोजपुरले उनलाई ५ वर्ष कैद सजायको फैसला गर्यो । तर, अदालतले दोषी ठहर गरेपनि उनी सजाय भुक्तान नगरिकन लामो समयदेखि फरार भएका थिए । प्रहरीको खोजी सूचीमा रहेका राई अपराधमा संलग्न भएको ७ वर्षपछि पक्राउ परेका हुन् । पक्राउ परेका राईलाई अदालतमा बुझाउने तयारी प्रहरीको छ । प्रहरीले पेस गरेपछि अदालतले उनलाई सजाय भुक्तानका लागि कारागार चलान गर्ने छ । यसअघि भोजपुर प्रहरीले कर्तव्य ज्यान मद्दाका फरार प्रतिवादीलाई पक्राउ गरेको थियो । हत्यामा संलग्न भएको ३४ वर्षपछि गत असोज ५ गते साल्पासिलिछो गाउँपालिका५ (साविकको दोभाने गाविस८)का ६७ वर्षीय चक्रबहादुर राई पक्राउ परेका हुन् । प्रहरीका अनुसार २०४६ साल कात्तिक १७ गते साविकको दोभाने६ का २६ वर्षीय बद्रीकुमार राईको हत्या गरेर चक्रबहादुर फरार भएका थिए । दोभाने७ का तत्कालीन वडाध्यक्ष रामनाथ राईको घरमा सुतिरहेका बेला खुकुरीले हानेर बद्रीकुमारको हत्या गरिएको थियो । खुकुरीले उनको देब्रे हात छिनाउँदै उक्त हात नै लिएर चक्रबहादुर फरार भएका थिए । ३४ वर्षदेखि फरार रहेका उनलाई प्रहरीले सुनसरीको इटहरी उपमहानगरपालिका२० तरहराबाट पक्राउ गरेको हो । अदालतले उनलाई २०६० साल जेठ २७ गते सर्वस्वसहित जन्मकैदको फैसला गरेको थियो । प्रहरीले पक्राउ गरेर बुझाएपछि अदालतले कैद सजाय भुक्तानका लागि कारागार चलान गरेको छ । डीएसपी पाठकले भोजपुरमा फरार प्रतिवादी पक्राउ अभियानलाई तीव्र पारेका छन् । उनी अढाई महिनाअघि प्रहरी प्रमुख भएर भोजपुर गएका हुन् । त्यसयता भोजपुरमा ४ जना फरार प्रतिवादी पक्राउ परिसकेका छन् । अदालतले दोषी ठहर गर्दै कैद र जरिवानाको फैसला गरेपनि अपराधमा संलग्नहरु सजाय भुक्तान नगरिकन लामो समयदेखि भागिरहेका छन् । मुद्दाका पुराना फाइल खोलेर फरार प्रतिवादी पक्राउलाई प्राथमिकतामा राखिएको पाठकले बताए । उनका अनुसार अपराधमा संलग्नहरु सजाय भुक्तान नगरिकन खुलेआम हिँडडुल गर्दा अपराधबाट पीडित भएकाले न्यायको महसुस गर्न पाउँदैनन् । पीडितलाई न्याय दिन, कानुन कार्यान्वायन गर्न र अपराधीलाई कानुनको कठघरामा ल्याउन प्रहरी सक्रिय रहेको डीएसपी पाठकको भनाइ छ । पुराना अपराधमा संलग्नलाई कानुनको दायरामा ल्याउँदा समाजमा प्रहरीप्रतिको जनविश्वास बढ्ने र अपराध नियन्त्रण गरेर समाजमा शान्ति सुरक्षा कायम गर्न मद्दत पुग्ने उनले बताए । अपराधमा संलग्नलाई कारबाही गर्दा अपराधरहित समाज निर्माणमा सहयोग पुग्ने तथा प्रहरीको कामकारबाही पनि प्रभावकारी बन्ने पाठक बताउँछन् ।"
