"शीर्षक","विवरण"
"वर्तमान सरकारबाट जनता वाक्क दिक्क भइसके : अध्यक्ष ओली","दैलेख : नेकपा एमालेका अध्यक्ष केपी शर्मा ओलीले एमालेको एकल बहुमतको सरकार नबने देश बर्बाद हुने दाबी गरेका छन् । देशलाई विकासको बाटोमा अघि बढाउनका लागि एमालेको एकल बहुमतको सरकार चाहिने ओलीको दाबी छ । झुलाघाटदेखि चिवाभञ्ज्याङसम्मको समृद्धिका लागि संकल्प यात्रा अन्तर्गत कर्णाली नदी किनारस्थित दैलेखको राकमकर्णालीमा आयोजित आमसभालाई सम्बोधन गर्दै अध्यक्ष ओलीले एमालेको एकल सरकार नबने देशको राष्ट्रियता कमजोर हुने जिकिर गरे । एमालेको एकल बहुमतको सरकार नबने देशको राष्ट्रियता कमजोर हुन्छ,देशको स्वाधिनता अर्थहिन भएर गइरहेको छ,त्यो झन कमजोर हुन्छ,स्वतन्त्रता कमजोर हुन्छ,भूमी फिर्ता आउँदैन् झन मिचिने सम्भावना हुन्छ,उनले भने । आगामी चारवर्षपछि एमालेको एकल बहुमतको सरकार बन्ने उनको दाबी छ । एमालेको सरकार षड्यन्त्रपूर्वक हटाइएको ओलीको भनाइ छ । एमालेको सरकारलाई षड्यन्त्रपूर्वक हटाइयो, एमाले नेतृत्वको सरकार ढलेपछि राजनीतिक रुपमा देशमा अस्थिरता छायो, अराजकता छायो, अनेक प्रकारका खराबीहरु छाए, अर्थतन्त्र चौपट भयो, गरिबी बढ्यो । महंगी बढ्यो, युवाहरु विदेशीनुपर्ने रोजगारी नपाउने अवस्था बन्यो, विकास ठप्प छ, भ्रष्टाचार बढ्यो,ओलीले भने । एमाले सरकारमा हुँदा देशमा विकासको लहर चलेको ओलीको दाबी छ । एमाले सरकारमा छदा गरिबी घटेको थियो, रोजगारी बढेको थियो,युवाशक्ति विदेशीने क्रम घटेको थियो,पूर्वप्रधानमन्त्री समेत रहेका ओलीले भने, देशको विकासका लागि एमाले चाहिन्छ । अनिमात्र देश बचाउन सकिन्छ, देशलाई अगाडि बढाउन सकिन्छ, सुशासन ल्याउन सकिन्छ, विकास ल्याउन सकिन्छ, समृद्ध नेपाल सुखी नेपाली बनाउन सकिन्छ । वर्तमान गठबन्धनको सरकारका कारण देशको विकास ठप्प भएको ओलीको दाबी छ । देशका सबै जनता खुसी रहुन् भन्ने एमालेले लिएको नीतिलाई सिंगो नेपाली जनताले राम्ररी बुझेको ओलीले बताए । अर्को प्रसंगमा अध्यक्ष ओलीले पार्टीको सन्देश सुनाउँदै आम जनताको भावना बुझ्न अभियान थालेको बताए । उनले अभियानका क्रममा स्थानीयस्तरको समस्या र सम्भावनालाई गहिरो गरी बुझ्ने र सोहि अनुसार आगामी दिनमा पार्टीले नीति लिने बताए । अभियान अन्र्तगत सुदुरपश्चिमको यात्राका क्रममा वर्तमान सरकारबाट आम जनता वाक्क दिक्क बनिसकेको पाएँ, सबै जनताहरु एमालेको सरकार कहिले बन्छ भनेर पर्खिरहेका छन्,समृद्ध नेपाल खुसी नेपाली बनाउनका लागि एमालेको सरकार बन्नुपर्ने आम नागरिकको अपेक्षा छ,ओलीले भने । राकमकर्णालीलाई नयाँ शहर बनाउने घोषणा अनुसार काम भइरहेको उनको भनाइ छ । मध्यपहाडी राजमार्ग खुलेपछि पहाडी र दुर्गम गाउँहरु सुगम बन्दै गएको अध्यक्ष ओलीको भनाइ छ ।"
"नेपाल एयरलाइन्सको ट्विनअटर विमान रारा विमानस्थलमा ग्राउन्डेड","मुगु : नेपाल एयरलाइन्सको ट्विनअटर विमान रारा विमानस्थलमा ग्राउण्डेड भएको छ । नेपालगन्जबाट रारा विमानस्थल पुगेको नेपाल एयरलाइन्सको नाइन एनएबियु कल साइन भएको विमान ग्राउण्डेड भएको हो । तीन यात्रु बोकेर आइतबार बिहान ११ बजे विमानस्थल पुगेको जहाज नेपालगन्ज फर्कने बेलामा ब्याट्रीमा समस्या देखिएको थियो । जहाँजमा समस्या आएपछि नेपालगंजबाट इन्जिनियर झिकाएर चेकजाँच गरिएको थियो । नेपालगंजबाट ब्याट्री ल्याएपछि १३ जना यात्रुसहित जहाँज सोमबार नेपालगन्ज उडान भर्ने नेपाल एयरलाइन्स रारा विमानस्थलका नेत्र भामले जानकारी दिए । उक्त एयरलाइन्सबाट नेपालगन्ज जाने १३ जना यात्रुहरू रारा विमानस्थलस्थित होटलमा बसेका छन् ।"
"'सरकारको स्वामित्वमा आउन नदिन एनसेलमाथि चलखेल'","काठमाडौं : स्वतन्त्र सांसद डा अमरेशकुमार सिंहले सरकारको स्वामित्वमा आउन नदिन एनसेलको शेयर बिक्री भएको दावी गरेका छन् । आइतबार काठमाडौंमा पत्रकार सम्मेलन गर्दै सांसद सिंहले चार वर्षपछि नेपाल सरकारको स्वामित्वमा आउन लागेको एनसेल गलत मनशाय राखेर खरिदबिक्री भएको दावी गरे । एनसेल खरिद बिक्री यूकेमा गरेर नेपालमा तिनुपर्ने क्यापिटल गेन ट्याक्स छली गर्न खोजिएको उनको भनाइ छ । उनले एनसेलको शेयर ५० मिलियन डलरमा बिक्री भएको सत्य हो भने आफू ६० मिलियन डलर दिन तयार रहेको जिकिर गरे । सिंहले एनसेलको शेयर बिक्रीमा नेपालका नेताहरुको पनि संलग्नता रहेको आरोप लगाउँदै नेताहरुलाई अर्बमा फाइदा भएपनि नेपाली जनतालाई भने खरबौं घाटा लागेको तर्क गरे । उनले एनसेल चार वर्षपछि नेपाली जनताको सम्पत्ति हुने बताउँदै अहिले भएको अपारदर्शी खरिदबिक्री नेपाली जनताले सडकमा आएर रोक्नुपर्ने धारणा राखे ।"
"श्रीमतीको हत्या आरोपमा श्रीमान् पक्राउ","बागलुङ : बागलुङमा आफैं श्रीमतीको हत्या गरेको आरोपमा एक व्यक्ति पक्राउ परेका छन् । कुटपिट गरी श्रीमतीको हत्या गरेको आरोपमा जिल्लाको बागलुङ नगरपालिका१३ सल्यान बस्ने हरि सिंह नेपालीलाई आइतबार बिहान प्रहरीले पक्राउ गरेको हो । ५० वर्षीया श्रीमती सितली शाहीको हत्या आरोपमा जिल्ला जिल्ला प्रहरी कार्यालय बागलुङले नेपालीलाई आइतबार दिउँसो पक्राउ गरेको जिल्ला प्रहरी कार्यालय बागलुङका प्रहरी नायव उपरीक्षक (डीएसपी) मदन केसीले बताए । उनले शाहीको टाउको र दायाँ खुट्टामा गम्भीर चोट लागेको अवस्थामा श्रीमान् र स्थानीयहरुले धौलागिरी अस्पताल बागलुङमा ल्याएको ल्याएको बताए । वडाअध्यक्ष नारायणप्रसाद पौडेलले इलाका प्रहरी कार्यालय बलेवामा खबर गरेपछि प्रहरी सँगै गम्भीर घाइते शाहीलाई अस्पताल ल्याइपुर्याएको थियो, डीएसपी केसीले भने,शाहीलाई धौलागिरि अस्पताल बागलुङले मृत घोषणा गरेको छ । प्रारम्भिक अनुसन्धान र स्थानीयहरुले श्रीमानको कुटपिटबाट हत्या भएको हुनसक्ने बयान दिएपछि नेपालीलाई पक्राउ गरेर अनुसन्धान अगाडि बढाएको छौं । श्रीमान् नेपालीले लडेर घाइते भएको बयान दिए पनि घटनाको प्रारम्भिक अनुसन्धानले कुटपिटबाटै हत्या भएको देखिएको डीएसपी केसीले बताए । घटनाबारे अनुसन्धान सुरु भएको र अहिले नै सबै कुरा खुलिनसकेको प्रहरी भनाइ छ । सिंहलाई हिरासतमा राखेर थप अनुसन्धान सुरु भएको डीएसपी केसीले जानकारी दिए ।"
"अपांगता भएका व्यक्तिलाई कम्बल","महोत्तरी : मटिहानी नगरपालिकाले आइतबार ४० जना अपांगलाई कम्बल वितरण गरेको छ । नगरपालिकाले अन्तर्राष्ट्रिय अपांग दिवसका अवसरमा नगरका ४० जना अपांगता भएका व्यक्तिलाई कम्बल वितरण गरिएको हो । अपांगता भएका व्यक्तिलाई सहयोग गर्नका लागि नगरपालिका हरपल तयार रहेको मेयर हरिप्रसाद मण्डलले बताए ।"
"गोल्मा राजाको दरबार क्षेत्रलाई पर्यटकीय गन्तव्यका रूपमा विकास गरिँदै","रौतहट : जिल्लाको चन्द्रपुर नगरपालिका१ मा रहेको ऐतिहासिक गोल्मा राजाको दरबार क्षेत्रलाई धार्मिक पर्यटकीय गन्तव्यका रूपमा विकास गर्न लागिएको छ । पूर्वपश्चिम राजमार्गबाट करिब २ किलोमिटर उत्तर चुरे पहाडमा अवस्थित दरबार क्षेत्रलाई धार्मिक पर्यटकीय स्थलका रूपमा विकास गर्न लागिएको हो । गोल्मा राजा बौद्ध बिहारमा २ करोडको लागतमा बनेको साढे ९ फिट अग्लो बुद्धको मूर्ति स्थापना गरिएको छ । नेपाली सेना तथा स्थानीय बासिन्दाको सहयोगमा थाई सरकारको सहयोगमा बनेको बुद्धको मुर्ति स्थापना गरिएको हो । बौद्ध भिच्छु भान्ते मेधंकर स्तविरका अनुसार सेनबंशका राजाको दरबार रहेको स्थानमा गोल्मा राजा बौद्ध बिहारको स्थापना गरिएको हो । करिब पाँच सय वर्षअघिको सेनबंशीय गोल्मा राजा रानीको दरबार क्षेत्रलाइ पर्यटकीय स्थलका रूपमा विकास गर्नका लागि सोही स्थान रहेको टुँडिखेलमा थाईल्यान्ड सरकारको सहयोगमा दुई करोड रुपैयाँ बरावरको साँढे ९ फिट अग्लो बैरीविनास भगवान् बुद्धको मूर्ति स्थापना भएको हो । गोल्मा राजा बुद्ध बिहार नामकण गरेर सो क्षेत्रलाई ध्यान केन्द्रका रूपमा विकास गर्न निर्माण कार्य धमाधम भइरहेको छ । सो स्थानसम्म पुग्न स्थानीयले श्रमदान गरी बाटो निर्माण गरिसकेका छन् । विदेशमा रहेका नेपालीहरूले कुटीको निर्माण गरिदिएका छन् । चन्द्रपुर नगरपालिका१ स्थित गैरीगाउँबाट आधा घण्टाको उकालो चढेपछि तत्कालीन दरबारको टुँडिखेल पुगिन्छ भने त्यहाबाट १५ मिनेट पैदल हिडेर गोल्मा राजाको दरबार रहेको स्थानमा पुगिने चन्द्रपुर१ का युवा समीरबाबु कार्कीले जानकारी दिए ।"
"अशक्तलाई घरमै नागरिकता","टीकापुर : कैलालीको दक्षिणी सीमावर्ती भजनी नगरपालिका३ कुटीकी ५१ वर्षीय पूर्ण अशक्त एक महिलालाई इलाका प्रशासन कार्यालय टीकापुरले घरमै गएर नागरिकता दिएको छ । कुटीकी डम्बराकुमारी अखिल खत्रीलाई इलाका प्रशासन कार्यालय टीकापुरका प्रमुख चिरञ्जीवी राना नेतृत्वको टोलीले घरमै पुगेर शुक्रबार नागरिकता दिएको हो । २०२८ सालमा जन्मिएकी उनी जन्मजात नै बोल्न सक्दिनन् । उनका दुबै खुट्टा चल्दैनन् । दाङ जिल्लाको शान्तिनगर गाउँपालिका४ एकली पुर्ख्यौली घर रहेकी उनका बुवा, आमा छैनन् । मामा दिपक सापकोटाको घरमै जन्मिएकी उनी त्यसयता भजनीमै मामासँगै बस्दै आएका छन् । हाम्रा घरमै जन्मिएकी हुन्, उनी तीन वर्षको नहुँदै उनका आमा बुवा दाङ जानु भयो, उतै बित्नु भयो मामा सापकोटाले भने अपांगता भएकी हुनाले समेत बुवा आमाले हाम्रा घरमा छोड्नु भएको हो । सरकारले सामाजिक सुरक्षा भत्ताका रूपमा उपलब्ध गराउँदै आएको अपाङ्गताको मासिक भत्ता नागरिकता नहुँदा साउनदेखि रोकिएको थियो । भाञ्जीको नागरिकता नभएपछि सामाजिक सुरक्षा भत्ता रोकियो, सापकोटाले भने हामीले वडाध्यक्षलाई आग्रह गरेका थियौं, उहाँले इलाका प्रशासनसम्म पुगेर सबै काम गरिदिएपछि नागरिकता घरमै पाएका छौं । साउन महिनादेखि भत्ता नपाउँदा दुःखित भएकी उनी घरमै नागरिकता पाउँदा दङ्ग परिन् । सापकोटाका छिमेकी बुद्धिसिंह पाण्डेले गाउँलेले समेत मुचुल्का गरेर कागजात पुर्याएपछि घरमै नागरिकता पाएको बताए । नागरिकता नपाउँदा दुःखित भएकी उनी घरमै नागरिकता पाउँदा निकै खुशी भएकी हुन् पाण्डेले भने यिनै मामाकै घरमा जन्मिएकी हुन्, हाम्रा अगाडि हुर्किएकी हुन्, नागरिकता नहुँदा भत्ता समेत रोकिएको थियो । भजनी नगरपालिका३ का अध्यक्ष बिक्रम चौधरीले पूर्ण रूपमा अपाङ्ग, अभिभावकविहीन उनलाई नगारिकता दिलाउन एक महिनादेखि लागेको बताए । उनका मामा सापकोटा र वडाध्यक्ष चौधरीले नै उनलाई नागरिकता दिलाउन सनाखत गरेका हुन् । पूर्ण रूपमा असशक्त भएकी उनको नागरिकता नहुँदा भत्ता समेत रोकिएपछि मैले नै पहल गरेर सबै कागजात तयार गरी प्रशासनसम्म पुगेको थिएँ वडाध्यक्ष चौधरीले भने उहाँको अवस्था र समस्या बुझेपछि इलाका प्रशासन कार्यालयका प्रमुख राना सरको टोली घरमै आएर नागरिकता दिएको हो । इलाका प्रशासन कार्यालयका प्रमुख रानाले तीन पुस्ते सनाखत गर्ने कोही नहुँदा मामा र वडाध्यक्षलाई सनाखत गरेर घरमै नागरिकता दिएको बताए । भजनीमै जन्मिएकी, सनाखत गर्ने कोही पनि नभएपछि मामा र वडाध्यक्षलाई नै सनाखत गराएका छौं रानाले भने उनको जीविकोपार्जनका लागि आउने भत्ता समेत रोकिएको थियो, पूर्ण रूपमा अशक्त भएपछि सबैतिर बुझेर घरमै नागरिकता दिएका हौं । हरेक नागरिकको नागरिकता प्राप्त गर्ने अधिकार भएको बताउँदै कार्यालय प्रमुख रानाले हालसम्म नागरिकता नपाएकी उनलाई भत्ताकै लागि भए पनि सम्पूर्ण कागजात पुर्याएर नागरिकता दिएको बताए । हरेक नागरिकलाई नागरिकता प्राप्त गर्ने अधिकार हुन्छ, पूर्णरूपमा असक्त रहेकी उनको भत्ता रोकिएको रहेछ प्रमुख रानाले भने वडाध्यक्ष, स्थानीयको मुचुल्का लगायतका कागजात बनाएर घरमै आएर दिएका हौं । पूर्ण रूपमा अपांगता भएकी उनले घरमै नागरिकता प्राप्त गरेपछि स्थानीयहरू समेत खुशी भएका छन् ।"
"उपल्लो मुस्ताङको बाँझो जग्गामा आलु खेती","जोमसोम : सडक सञ्जालले जोडिएसँगै उपल्लो मुस्ताङका किसानले प्रयोगविहीन जग्गा उपयोगमा ल्याउन थालेका छन् । सडक नहुँदा सुक्खा पठारका रूपमा रहेको प्रयोगविहीन जग्गाहरूलाई स्थानीय कृषकहरूले व्यावसायिक कृषि कर्मका रूपमा अपनाउन थालिएको हो । सरकारले कृषि क्षेत्रको समुन्नत विकास तथा प्रवर्द्धन गर्दै खेर गइरहेका बाँझो जग्गालाई उपयोगमा ल्याएर गरिब तथा विपन्न कृषकहरूको जीविकोपार्जन सुधारमा परिवर्तन ल्याउन पहल गरेसँगै उपल्लो मुस्ताङमा बाँझा जग्गाहरू उपयोगमा ल्याउन सुरु गरिएको हो । लोमान्थाङ गाउँपालिका३ ठिङ्गार गाउँमा आर्थिक वर्ष २०७९०८० मा संघीय सरकारले साना व्यावसायिक कृषि उत्पादन केन्द्र(पकेट) विकास कार्यक्रम सञ्चालन गरेको छ । कार्यक्रमको सशर्त अनुदान २४ लाख र स्थानीय लाभग्राही किसानको समूह ठेकार कृषक समूहको १८ लाख ३० हजार लागत साझेदारीमा सामूहिक आलु खेती गरी पकेट स्थापना गरिएको थियो । कार्यक्रममा ठिङ्गरका गाउँका १३ घरधुरीको आवद्धता छ । ठेकार कृषक समूह संस्था दर्ता गरी बाँझो जग्गाका लागि उर्वराभूमिमा परिणत गर्दै जीविकोपार्जन सुधारमा लागिपरेको लोमान्थाङ गाउँपालिकाका कृषि शाखा अधिकृत निराजन कटुवालले जानकारी दिए । स्थानीयको ७० रोपनी लालपूर्जा वाला बाँझो जग्गालाई चक्काबन्दी गरी सम्याएर खेतीयोग्य भूमिमा परिणत गरेको कृषि शाखा अधिकृत कटुवालको भनाइ छ । चालु आर्थिक वर्ष २०८००८१ का लागि थप ३० रोपनी जग्गा विस्तार गर्न १२ लाख बजेट विनियोजन भएको कृषि शाखा अधिकृत कटुवालले बताए । लोमान्थाङको ठिङ्गर गाउँका किसानले बाँझो जग्गामा आलु खेती गरेर सुरुवाती वर्षमै करिब ५ सय क्वीन्टर आलु उत्पादन गरेको ठेकार कृषक समूहका अध्यक्ष कर्मा सम्टुक गुरुङले जानकारी दिए । उनले प्रतिकेजी ६० रूपैयाँका दरले गाउँमै बिक्री गर्दा करिब ३० लाख बराबरको आम्दानी भएको बताए । ठिङ्गरका किसानले स्थानीय जातको सेतो आलुको खेती गरेका हुन् । खेतीका लागि स्थानीय स्तरमा पालन गरिएका भेडा,च्यांग्रा,झोपा, याक चौरीबाट मल उत्पादन गर्न सकिने भएकाले पनि आलु खेती सप्रिन टेवा पुगेको स्थानीय किसान राजु गुरुङले जानकारी दिए ।"
"नेपाल एयरलाइन्सले अपांगता भएका यात्रुलाई हवाई भाडामा छुट दिने","काठमाडौं : नेपाल वायुसेवा निगमले आन्तरिक हवाई उडानमा अपांगता भएका यात्रुलाई टिकट शुल्कमा छुट दिने भएको छ । निगमले अन्तर्राष्ट्रिय अपांगता दिवसका अवसरमा आफ्ना हरेक आन्तरिक उडानमा सुरूमा टिकट काट्ने अपांगता भएका दुई यात्रुलाई हवाई शुल्कमा ५० प्रतिशत छुट दिने घोषणा गरेको हो । सो सुविधा पाउन यात्रुले आफ्नो सक्कल परिचय पत्रसहित निगमको कार्यालयमा सम्पर्क राख्नुपर्नेछ । 'आज ३ डिसेम्बर, २०२३ अन्तर्राष्ट्रिय अपाङ्गता दिवसको अवसर पारेर आजैको दिन देखि लागू हुने गरि रातो, निलो र पहेँलो वर्गको अपाङ्गता परिचय पत्र लिएका यात्रुहरुको लागि निगमको हरेक आन्तरिक उडानमा      को आधारमा दुईजना यात्रुलाई हवाई भाडामा ५० छुट दिने निर्णय गरिएको व्यहोरा जानकारी गराइन्छ । उक्त सुविधाको लागि सम्बन्धीत यात्रुले आफ्नो सक्कल परिचय पत्र सहित निगमको कार्यालयमा सम्पर्क राख्नुपर्नेछ,'निगमले सार्वजनिक गरेको सूचनामा उल्लेख छ । दिगो विकास लक्ष्य प्राप्तिको प्रतिबद्धता; अपाङ्गता भएका व्यक्तिको अपनत्व र नेतृत्व सहितको ऐक्यबद्धता भन्ने राष्ट्रिय मूल नाराका साथ आज अपाङ्गता भएका व्यक्तिहरुको ३२ औँ अन्तराष्ट्रिय दिवस मनाइएको छ ।"
"विभिन्न स्थानमा पाँच जनाको शव फेला","काठमाडौं : भक्तपुर जिल्ला मध्यपुर थिमी नगरपालिका९ बोडेस्थित प्रयोगमा नरहेको सार्वजनिक शौचालयको पेटीमा एक जनाको शव फेला परेको छ । दोलखाको काटाकुटी गाउँपालिका२ घर भएका ४१ वर्षीय निमा लामा आज मृत अवस्थामा फेला परेका हुन् । उनी बोडे क्षेत्रमा मजदुरी काम गर्दै उक्त पेटीमा बस्दै आएको प्रहरी प्रधान कार्यालयले जनाएको छ । यसैगरी दाङको घोराही उपमहानगरपालिका१७ स्थित सिस्ने खोलामा सोही उपमहानगरपालिका१७ घनिबगिया बस्ने ६० वर्षीय हिरालाल चौधरी मृत अवस्थामा फेला परेका छन् । कञ्चनपुरको बेल्डाँडी गाउँपालिका१ नवज्योती टोल बस्ने ४७ वर्षीया रुपा सुनार आफ्नै घरमा आज मृत अवस्थामा फेला परेको पनि प्रहरी प्रधान कार्यालयले जनाएको छ । ललितपुरको ललितपुर महानगपालिका२५ भैँसेपाटी ओकाथली डेरा गरी बस्ने झापा घर भएकी ४० वर्षीया एलिना राई आफु बस्ने कोठाको बाहिर पट्टिको शौचालयमा मृत अवस्थामा फेला परेकी छन् । झापा जिल्ला गौरादह नगरपालिका४ डोरामारी बस्ने ७५ वर्षीय जयप्रसाद सङ्ग्रौला गौरादह नगरपालिका४ र गौरदह नगरपालिका६ को सिमानामा पर्ने दामुना खोलामा आजै मृत अवस्थामा फेला परेका छन् ।"
