"शीर्षक","विवरण"
"शनिबार देशका यी स्थानमा हुने छ वर्षा","काठमाडौं : शनिबार देशको पहाडी भूभागमा आंशिक बदली रही बाँकी भूभागमा मौसम सामान्यतया सफा रहनेछ । मौसम पूर्वानुमान महाशाखाका अनुसार कोशी प्रदेशको पहाडी भूभागको एकदुई स्थानमा हल्का वर्षाको सम्भावना रहेको छ । कोशी र गण्डकी प्रदेशका उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ । शनिबार राति देशको पहाडी भूभागमा आंशिक बदली रही बाँकी भूभागमा मौसम सामान्यतया सफा रहनेछ । कोशी र गण्डकी प्रदेशका उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ ।"
"गेटा कलेजलाई देशकै पहिलो मेडिकल विश्वविद्यालय बनाउँछु : प्रधानमन्त्री","धनगढी : प्रधानमन्त्री पुष्पकमल दाहालले अहिले देशमा केही पनि भएको छैन भनेर जनतालाई अन्धकारमा देखाउनेहरू हाबी भइरहेको आरोप लगाएका छन् । शुक्रबार धनगढीमा १७औं संस्करणको सुदूरपश्चिम महोत्सवको उद्घाटन गर्दै प्रधानमन्त्री दाहालले यस्तो आरोप लगाएका हुन् । अहिले देशमा केही पनि भएको छैन । जताततै अन्धकार छ । यो ब्यवस्था नै ठीक होइन भन्नेहरूको जमात हाबी हुन थालेको छ । तर प्रमुख प्रतिपक्षीसहित सत्तारुढ गठबन्धन त्यस्तो आवाजको विरुद्धमा एक ठाउँमा आएका छौं,' दाहालले भने, 'जुन देशका जनता निरास भए त्यस देशमा विकास र समृद्धि हुँदैन, अहिले ब्यवस्थाविरुद्ध जनतालाई भड्काउनेहरू हाबी भएका छन् । प्रधानमन्त्री दाहालले आफू प्रधानमन्त्री हुँदासम्म देशको अहित हुने खालको कुनै पनि गतिविधि हुन नदिने दाबी गरे । म देशको समृद्धिको खाका बोकेर अघि बढिरहेको छु । म सत्तामा गएको बेलाको भन्दा अर्थतन्त्र सुधार भएको छ । राजश्व वृद्धि भएको छ । सार्क मुलुकमा सबैभन्दा बढी विदेशी मुद्रा हाम्रो देशमा सञ्चिति बढी छ । ७ महिनाका लागि मात्र छ भनिएको सञ्चिति १७ महिना पुगेको छ । तर धेरैले जनतालाई देश श्रीलंका भइसक्यो भनेर भ्रममा पारिरहेका छन्,' उनले भने । समृद्धि र विकासको अभियानमा सबै नेपालीको सहयोगको अपेक्षा गरेको उनको भनाइ छ । लामो समय खिचातानीमा परेको तर अहिले सय शय्याको अस्पतालका रूपमा सञ्चालनमा आएको गेटा मेडिकल कलेजलाई देशकै पहिलो मेडिकल विश्वविद्यालय बनाइने दाबी प्रधानमन्त्रीले गरे । 'मेरै पालामा मेडिकल कलेजको पूर्वाधारको काम सुरु भएको हो । मेरै पालामा त्यसलाई देशकै पहिलो सहिद दशरथ चन्द स्वास्थ्य विज्ञान विश्वविद्यालय बनाउने तयारी अघि बढिसकेको छ । शिक्षा र स्वास्थ्य मन्त्रालयको रायका आधारमा मेडिकल विश्वविद्यालयको क्याबिनेट निर्णय भइसकेको छ । अरु काम अघि बढिरहेको छ,' उनले भने । उनले फाप्ला रंगशालालाई पनि आगामी क्याबिनेटमा राष्ट्रिय गौरवको आयोजनामा राख्ने प्रतिवद्धता जनाएका थिए । कैलाली उद्योग वाणिज्य संघका अध्यक्ष पुष्पराज कुँवरको अध्यक्षतामा भएको कार्यक्रममा प्रधानमन्त्री दाहाललाई १० बुँदे माग र १० किलो फूलको माला लगाइएको थियो । २०६३ सालमा २१ किलोको माला र २१ बुँदे माग बाट सुरु भएको सालिन आन्दोलनमा अहिलेसम्म ११ मागहरू आंशिक पूरा भएकाले १० बुँदे माग र १० किलोको माला लगाइएको हो ।"
"खेतमा पराल डढाउने चलनले आगलागीका घटना वृद्धि","झापा : सावधानी नअपनाइ खेतमा पराल डढाउने प्रचलनले यहाँ आगलागीका घटना बढ्न थालेका छन् । परालमा जानजान र दुर्घटनाबस आगो सल्किएका कारण मंसिरमा १५ आगलागीका घटना भएको प्रहरीले जनाएको छ । मेचीनगरको वडा नं ८ मा धान झारेपछि बाँकी रहेको परालको घुस्यान जलाउँदा आगो अनियन्त्रित भएर कुञ्जनमणि धमलाको घरमा क्षति पुग्यो । दिउँसै लागेको उक्त आगो मेचीनगर र दमक नगरपालिकाका दुई दमकलले निभाएको थियो । 'बेलैमा नगरपालिकाको दमकल नआएको भए अरु धेरै क्षति हुन्थ्यो', सोही वडाको प्रगतिशील टोल विकास संस्थाका सचिव सुरेश भट्टराईले भने, 'हेर्दाहेर्दै कुञ्जनमणि धमलाको गोठ जलेर खरानी भयो, गोठमा भण्डारण गरेको डेढ बिघाको पराल र मालसामान पनि डढ्यो ।' जिल्ला प्रहरी कार्यालयका अनुसार यस मङ्सिरमा जिल्लाका विभिन्न स्थानमा आगलागीका १५ घटना हुँदा रु नौ लाख ५६ हजार पाँच सय बराबरको धनमाल क्षति भएको छ । प्रहरी उपरीक्षक दुर्गाराज रेग्मीका अनुसार खेतमा असरल्ल फ्याँकिने परालमा स्थानीयले नै आगो लगाउने गरेका छन् । पर्यावरणीय दृष्टिलेसमेत हानिकारक र मानव बस्तीमै क्षति पुग्ने भएकाले खेतभरि धेरै मात्रामा परालमा आगो लगाउने कार्य रोक्न जनचेतनाको खाँचो रहेको रेग्मीले बताए । गत कात्तिक र साउनमा परालको कुन्युमा आगलागीका नौ घटना हुँदा चार लाख १९ हजार रुपैयाँ बराबरको धनमाल क्षति भएको उहाँले जानकारी र्दिए । जिल्लाका गाउँमा धान काटेर खेतमै कुन्यु लगाएर राख्ने र थ्रेसर मेसिन ल्याएर पालैसँग धान झार्ने चलन छ । धान झारेपछि पराल नबिक्ने भएकाले कृषकले पराललाई खेतमा फिजाएर आगो लगाइदिने गर्छन् । त्यही आगो अनियन्त्रित भएर बस्तीसम्म पुग्ने गरेको भट्टराई बताउँछन् । विर्तामोड१० विराटपोखरमा यसै साता धानको कुन्युमा दिउँसै आगलागी हुँदा शन्तकुमार लोहारले अधिया कमाएको डेढ सय मन धान डढेर नष्ट भयो । लाइटरबाट निस्किएको आगो फैलिँदा उक्त आगलागी भएको थियो । यसै साता मेचीनगर९ मागुरमाडीमा पाँच बिघा खेतको धान र चार वटा परालको कुन्युमा आगलागी भएको वडाध्यक्ष कञ्चन तामाङले बताए । उक्त आगलागी अनियन्त्रित हुँदा नजिकैको टंकप्रसाद उप्रेतीको घरमा आंशिक क्षति पुगेको थियो । नगरपालिकाबाट आएको दमकलले आगो निभाउनुपरेको थियो । सुक्खा मौसममा धान र परालमा छिटो आगो सल्किने हुँदा त्यसबाट तीव्र गतिमा आगो फैलिन्छ । चुरोटको ठुटा जथाभावी फ्याँक्दा, लागुऔषधका प्रयोगकर्ताले नसालु पदार्थ खान जथाभावी आगो बाल्दा र बालबालिकाले आगो निस्कने वस्तु चलाउँदा आगलागी हुने गरेको छ । घरैपिच्छे गाईवस्तु पाल्ने चलन हराउँदै गएको र व्यावसायिक गाई फार्मले कलिलो मकैको साइलेज बनाएर खुवाउने गरेका कारण धानको पराल बिक्न छाडेको मेचीनगर१० धुलाबारीका बिपी भट्टराई बताउँछन् । पराल नबिकेपछि भण्डारण गरेर राख्नुको साटो खेतमै छरेर आगो लगाउँदा बस्तीमा वायु प्रदूषणसमेत फैलिएको पाइन्छ । डढेको परालको पिरो धुँवाले आँखा पोल्ने समस्या आउने गरेको स्थानीय बताउँछन् ।"
"राष्ट्रियताको पक्षमा बोल्दा एमालेको सरकार ढल्यो : ओली","गोरखा : नेकपा एमालेका अध्यक्ष केपी शर्मा ओलीले राष्ट्रियताको पक्षमा दर्बिलो बन्दा आफ्नो नेतृत्वको सरकार ढालिएको दाबी गरेका छन् । मध्यपहाडी लोकमार्ग केन्द्रित संकल्प यात्राको क्रममा शुक्रबार साँझ गोरखाको पालुङटार आइपुगेका अध्यक्ष ओलीले त्यहाँ आयोजित सभालाई सम्बोधन गर्दै वामपन्थी खोल ओढेकालाई नै प्रयोग गरेर सरकार ढलाइएको दाबी गरे । '५८ वर्षदेखि हाम्रो लिपुलेक, लिम्पियाधुरा भारतले नियन्त्रणमा लिएको थियो, कब्जा गरेको थियो । त्यस विषयमा कसैले चर्चा गरेको थिएन । त्यसलाई नेकपा एमालेले गम्भीर चर्चाको विषय बनायो । नयाँ नक्शा बनायो । नक्शा पास गर्यो र त्यसलाई अनुमोदन गर्न भारतलाई पत्राचार गर्यो । हाम्रो जमिन कब्जा गरिरहनुभएको रहेछ, फिर्ता गर्नुस् भन्यो । एमाले त्यसकारण सरकारबाट ढल्यो । एमालेलाई ध्वस्त पार्न खोजियो,' उनले भने । वामपन्थी आन्दोलन भनेर दुई तिहाइको सरकार बनाएको तर वामपन्थीकै खोल ओढ्नेहरू एमाले ध्वस्त पार्ने अभियानमा लागेको उनको आरोप छ । वामपन्थीको नेतृत्वमा दुई तिहाइको सरकार थियो । सात प्रदेशमध्य छ वटामा वामपन्थी नेतृत्वमा सरकार थियो । त्यसलाई ध्वस्त पार्ने अरु कोही होइनन्, वामपन्थीको खोल ओढ्नेहरू नै हुन्,' उनले भने, अहिले के बुझ्न जरुरी छ भने, सबै मिलेर एमालेलाई समाप्त पार्न खोज्दा पनि अहिले सबैभन्दा लोकप्रिय पार्टी एमाले नै हो । यति पर्याप्त छैन । नेकपा एमाले मुलुकलाई समृद्ध बनाउन चाहन्छ । अध्यक्ष ओली शुक्रबार गोरखा सदरमुकाममा रहने र शनिबार गोरखाको आरुघाट, धादिङको मध्यपहाडी लोकमार्ग हुँदै अघि बढ्ने कार्यक्रम रहेको एमालेले जनाएको छ ।"
"पोर्चुगलका प्रस्तावित राजदूत सनिल नेपालको नाम सुनुवाई समितिबाट अनुमोदन","काठमाडौं : संसदीय सुनुवाइ समितिले पोर्चुगलको राजदूतमा सिफारिस सनिल नेपालको नाम सर्वसम्मतिले अनुमोदन गरेको छ । सिंहदरबारमा शुक्रबार बसेको समिति बैठकले पोर्चुगलको राजदूतमा सिफारिस नेपालको संसदीय सुनुवाई गर्दै सर्वसम्मतरूपमा अनुमोदन गरेको हो । नेपालबिरुद्ध समितिमा एक उजुरी परेको थियो भने समितिले शुक्रबार नै उजुरीकर्ता छलफल र प्रस्तावित राजदूतसंग संसदीय सुनुवाई गरेको थियो । सुनुवाई पछि समितिले सर्वसम्मतरूपमा पोर्चुगलको राजदूतमा सिफारिस नेपालको नाम अनुमोदन गरेको समिति सभापति पशुपति शमशेर जबराले जानकारी दिए । गत कार्तिक २३ गते बसेको मन्त्रिपरिषद्को बैठकले नेपाललाई पोर्चुगलको राजदूतमा सिफारिस गर्ने निर्णय गरेको थियो । सुनुवाई समितिबाट अनुमोदन भएसँगै राष्ट्रपतिबाट राजदूत पदमा नियुक्त गर्ने संवैधानिक व्यवस्था छ ।"
"एनसेलको सेयर खरिदबिक्री प्रकरणमा अनुसन्धान समितिले काम थाल्यो","काठमाडौं : एनसेलको सेयर खरिदबिक्री प्रकरण सम्बन्धमा अध्ययन तथा छानबिन गर्न गठित समितिले काम सुरु गरेको छ । मन्त्रिपरिषद्का निर्णय सार्वजनिक गर्न शुक्रबार सिंहदरबारमा आयोजित पत्रकार सम्मेलनमा सरकारका प्रवक्ता रेखा शर्माले सेयर खरिदबिक्रीको निर्णय सम्वन्धमा प्रचलित कानुनको परिचालनाको विषय, राजस्व र नेपालमा वैदेशिक लगानीमा पर्न सक्ने असरलगायतका विषयमा अध्ययन तथा छानबिन गर्न समिति गठन गरिएको र समितिले काम समेत सुरु गरिसकेको जानकारी गराएकी हुन् । सरकारले एनसेलको सेयर खरिदबिक्री प्रकरणबारे अनुसन्धान गर्न पूर्वमहालेखा परीक्षक टंकमणि शर्माको संयोजकत्वमा पाँच सदस्यीय समिति गठन गरेको छ । समितिमा सरकारका सचिव फणिन्द्र गौतम, सहसचिव बाबुराम भण्डारी, सहसचिव रितेशकुमार शाक्य र आइक्यानका अध्यक्ष सुजनकुमार काफ्ले छन् । समितिलाई ३० दिनभित्र प्रतिवेदन पेस गर्न समयावधि तोकिएको छ । त्यस्तै मन्त्रिपरिषद्को निर्णय सार्वनिक गर्दै प्रवक्ता शर्माले विश्व बैंकबाट प्राप्त हुने करिब १३ अर्ब नेपाली रुपैयाँ ऋणसम्बन्धी सम्झौताको दस्तावेजलाई अन्तिम रुप दिन वार्ता टोली गठन गर्ने निर्णय गरेको बताइन् ।"
"गाँजा खेती नष्ट गर्दै प्रहरी","मलंगवा : सर्लाहीको उत्तरी क्षेत्रमा पर्ने लालबन्दी नगरपालिका१४ नारायण खोलामा लगाइएको करिब १५ बिगहाको गाँजा खेतीलाई शुक्रबार प्रहरीले नष्ट गरेको छ । प्रमुख जिल्ला अधिकारी कोमल प्रसाद धमलाको नेतृत्वमा पुगेका नेपाल प्रहरी तथा सशस्त्र प्रहरीको टोलीले गाँजा खेती नष्ट पारेको छ । चुरे पहाडको भिर पाखा तथा फाँटहरूमा लगाइएका गाँजाको बिरुवालाई प्रहरीले काटेर नष्ट बनाएको जिल्ला प्रहरी कार्यालय सर्लाहीको प्रहरी नायब उपरीक्षक दिपेन्द्र पंजियारले बताए । अन्कन्टार ठाउँमा गाँजा खेती गरिएको सूचना पाएपछि नष्ट गर्न हामी पुगेको जिल्ला प्रहरी कार्यालय सर्लाहीका प्रहरी उपरीक्षक प्रवीण धितालले बताएका छन् । १ सय ५० जनाको प्रहरी टोली पुगेर गाँजा खेतीलाई नष्ट गरिएको छ । जिल्ला प्रहरी कार्यालय सर्लाही, सशस्त्र प्रहरी बल नेपाल नम्बर १० गण हेटक्बाटर र प्रदेश प्रहरी कार्यालयको संयुक्त टोलीले गाँजा नष्ट गरेको प्रहरी उपरीक्षक धितालले जानकारी दिएका छन् । कसैले नदेख्ने ठाउँमा गाँजा खेती गरिएको छ । व्यावसायिक रूपमै त्यहाँका मानिसहरू खेतीमा लागेको धितालले बताए । गाँजा लगाएको ठाउँ चारैतिरबाट डाँडाले छेकिएको छ । गाँजा लगाएको खेतमा पनि बाहिरबाट कसैले नदेखोस् भनेर मकै बाली लगाएको छ । बिना सुराकीको आधारमा त्यस्ता ठाउँमा पुग्न सजिलो नभएको धितालले बताए । सबै ठाउँमा पुगेर गाँजा खेतीलाई नष्ट गरिने प्रहरी उपरीक्षक धितालले बताए । बाहिरको मानिसहरूको लगानीमा त्यस ठाउँमा गाँजा खेती गरिएको प्रमुख जिल्ला अधिकारी कोमलप्रसाद धमलाले बताएका छन् । बाहिरका मानिसहरू खेत ठेक्का लिएर गाँजा खेती गर्ने गरेको छ । बिउ देखि लिएर प्राविधिक टोली पनि बाहिरबाट आउने गरेको छ । त्यहाँका स्थानीयवासीहरू केबल गोडमेल गर्ने, पानी लगाउने र ढुवानी मात्र गर्ने गरेको छ । दुर्व्यसनीबाट समाजलाई बचाउनका लागि हामी लागुऔषधका रूपमा रहेको गाँजा खेतीलाई नष्ट गरेका छौं । गाँजा नष्ट गर्न प्रहरी गाउँमा पुग्दा मानिसहरू घरबाट निस्केका थिएन् । कसको खेतबारी हो त्यो पनि यकिन हुन नसकेको प्रहरीले जनाएको छ । महिलाहरूलाई सोध्दा उनीहरू पनि खेतबारी बारे जानकारी दिन नमाने पछि वास्तविक जग्गाधनीको पहिचान हुन नसकेको प्रहरीले जनाएको छ । विगतका वर्षहरूमा पनि प्रहरी त्यस ठाउँमा पुगेर गाँजा खेती नष्ट गरेको छ ।"
"खर काट्न गएकी महिलाको भीरबाट लडेर मृत्यु","जाजरकोट : जाजरकोटमा अस्थायी टहरा बनाउन खर काट्न गएकी एक महिलाको भीरबाट लडेर ज्यान गएको छ । भूकम्पले घरमा क्षति भएपछि त्रिपालमा बस्दै आएकी नलगाड नगरपालिका१० कि ३४ वर्षीया रमिता भण्डारीको भीरबाट लडेर ज्यान गएको स्थानीय किशोर मल्लले जानकारी दिए । उनका अनुसार अस्थायी आवास निर्माणका लागि जंगलमा खर काट्न गएको बेला शुक्रबार दिउँसो लडेर ज्यान गएको हो । उनी भीरबाट करीब दुई सय मिटर तल खसेकी थिइन् ।"
"म प्रधानमन्त्री भएसम्म राष्ट्रको अहित हुने गतिविधि हुन दिन्न : प्रधानमन्त्री दाहाल","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहालले आफू प्रधानमन्त्री भएसम्म देशमा अहित हुने खालको गतिविधि हुन नदिने बताएका छन् । धनगढीको सुदूरपश्चिम महोत्सवको उद्घाटन गर्दै प्रधानमन्त्री दाहालले देशमा राष्ट्रविरुद्ध विभिन्न गतिविधि गर्ने प्रयास भइरहेको प्रस्ट पार्दै त्यसविरुद्ध सबै दल एकजुट भएको बताए । 'एकथरी मान्छेहरू देशको अहित हुनेखालका गतिविधि गर्दै आएका छन् । केही मान्छेहरू देशमा अँध्यारो छायो । यो सरकारले उज्यालो ल्याउनै सक्दैन भन्दै हिँडिरहेका छन् । तिनीहरूलाई भन्न चाहन्छु, म प्रधानमन्त्री भएसम्म राष्ट्रको अहित हुने खालका गतिविधि हुन दिन्न,' उनले भने । प्रधानमन्त्री दाहालले एनसेलको सेयर खरिद बिक्रीमा चलखेल गर्न खोजेको समेत स्पष्ट पारे । उनले नेपाल सरकारको स्वामित्वमा आउन नदिन आफू दुबई भ्रमणमा भएकै बेला एनसेल खरिद बिक्रीमा चलखेल भएको बताए । त्यसको छिट्टै यथार्थ पता लाग्ने उनको भनाइ छ । 'हिजैको क्याबिनेट बैठकले एनसेलका विषयमा छानिबन र अध्ययन समिति गठन गरेको छ । समितिले हिजैदेखि काम सुरू गरिसकेको छ,' उनले भने । उनले आफू सुरूदेखि नै सुशासन, न्याय र समृद्धिको पक्षमा रहेको बताएका थिए ।"
"जर्मनी सरकारबाट प्रस्तावित पाँच अर्ब नौ करोड अनुदान स्वीकार गर्ने सरकारको निर्णय","काठमाडौं : सरकारले जर्मनी सरकारबाट प्रस्तावित ३५ मिलियन युरो (करिब पाँच अर्ब नौ करोड नेपाली रुपैयाँ ) अनुदान सहायता स्वीकार गर्ने निर्णय गरेको छ । बिहीबार बसेको मन्त्रिपरिषद बैठकले सो सहायता स्वीकार गर्ने र उक्त सहायता सम्झौतामा हस्ताक्षर गर्न अख्तियारी दिने निर्णय गरेको हो । बैठकले विश्व बैंकबाट प्राप्त हुने प्रस्तावित १०० मिलियन डलर (करिब १३ अर्ब नेपाली रुपैयाँ) ऋणसम्बन्धी सम्झौताको दस्तावेजलाई अन्तिम रुप दिन बैंकसँग वार्ता गर्न अर्थ मन्त्रालयका सहसचिवको नेतृत्वमा वार्ता टोली गठन गर्ने र वार्ता गर्न अख्तियारी दिने निर्णय गरेको छ । यसैगरी बैठकले भारत सरकारको अनुदान सहायतामा सञ्चालन हुने हाइ इम्प्याक्ट कम्युनिटी डेभलपमेन्ट प्रोजेक्ट कार्यान्वयनका लागि अनुदान सहायता स्वीकार गरेको छ । पोलिटेक्रिक इन्स्टिच्युट स्थापना र नेपाली कृषकलाई मल उपलब्ध गराउनका लागि साउदी अरेविया सरकारबाट प्राप्त हुने २ मिलियन अमेरिकी डलर बराबरको अनुदान सहायता स्वीकार गर्ने निर्णय बैठकले गरेको छ ।"
