"शीर्षक","विवरण"
"गणतन्त्रका नाममा लुटतन्त्र चलिरहेको छ : अध्यक्ष लिङ्देन","महेन्द्रनगर : राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)का अध्यक्ष राजेन्द्र लिङ्देनले गणतन्त्रका नाममा लुटतन्त्र चलिरहेको आरोप लगाएका छन् । बिहीबार महेन्द्रनगरमा आयोजित आमसभालाई सम्बोधन गर्दै अध्यक्ष लिङ्देनले मुलुकमा गणतन्त्रका नाममा लुटतन्त्र चलिरहेकाले गणतन्त्र कमजोर बन्दै गएको बताए । 'राप्रपाले महेन्द्रको सालिक राख्ने कुराले गणतन्त्र लगलग काँपेको छ', उनले भने, 'गणतन्त्र भित्रभित्रै कमजोर भइसकेको छ । ढल्न मात्रै बाँकी छ ।' उनले २०४६ सालयता भ्रष्टाचार मौलाएको बताउँदै राजनीतिक दलका शीर्ष नेता र कर्मचारीको सम्पत्ति छानबिन गर्नुपर्ने बताए । 'जसजसले एनसेलको कारोबार गरेका छन्, उनीहरूका आफन्त नै छानबिन समितिका संयोजकदेखि सदस्य छन्', उनले भने, 'सरकार अनियमितता ढाकछोपमा लागेको छ ।' उनले एनसेल खरिद बिक्री प्रकरणमा समेत अनियमितता भएको बताउँदै सरकारले बनाएको छानबिन समितिप्रति आशंका व्यक्त गरे । मुलुक सुधारका लागि नयाँ आन्दोलनको विकल्प नभएको बताउँदै राप्रपाले आन्दोलन गर्ने तयारी गरिरहेको उनको भनाइ थियो । 'अब नयाँ सम्झौता र समझदारीबाट देशलाई अगाडि लैजानुको विकल्प छैन', उनले भने, 'अहिलेको व्यवस्थाले मुलुकको समस्या समाधान गर्न सकेन ।' राप्रपाले महेन्द्रनगरस्थित संविधान चोकमा राजा महेन्द्रको सालिक स्थापना गर्न खोजेको थियो । तर, अन्य दलले विरोध गरेपछि स्थानीय प्रशासनले शान्ति सुरक्षा कायम राख्न भन्दै सात दिनसम्म निषेधाज्ञा जारी गरेको छ ।"
"तेस्रो मेयर कप भलिबलको उपाधि बौदीकाली गाउँपालिकालाई","बागलुङ : बागलुङको गलकोट नगरपालिकाले आयोजना गरेको तेस्रो मेयर कप पालिकास्तरीय भलिबल प्रतियोगिताको उपाधि बौदीकाली गाउँपालिकाले जितेको छ । बौदीकालीले बिहिबार फाइनल खेलमा आयोजक गलकोट नगरपालिकालाई ३२ को सेटमा पराजित गर्दै उपाधि जितेको हो । प्रतिस्पर्धात्मक खेलको पहिलो सेट २५१६ ले आफ्नो पक्षमा पारेको बौदीकालीले दोस्रो सेट १७२५ र तेस्रो सेट २२२५ ले गुमाएको थियो । पुनः चौथो सेट २५१८ र पाँचौं सेट १८१६ ले जितेको थियो । विजेता बौदी कालिकाले १ लाख ३५ हजार रुपैयाँ प्राप्त गरेको छ भने उपविजेता गलकोट नगरपालिकाले १ लाख रुपैयाँ प्राप्त गरेको छ । यस्तै सेमिफाइनल पुगेका तमानखोला गाउँपालिका र निसीखोला गाउँपालिकाले २०२० हजार रुपैयाँ प्राप्त गरेका छन् ।"
"योजना सम्झौता गर्नुअघि अभिमुखीकरण","धनकुटा : धनकुटाको सहिदभूमि गाउँपालिकाले समितिहरूसँग योजना सम्झौता गर्नुअघि अभिमुखीकरण सुरु गरेको छ । उपभोक्ता समितिहरूलाई योजना सम्पन्न हुने समयमा प्रक्रिया पूरा गर्न समस्या देखिएकाले सुरुवातमा नै अभिमुखीकरण गरेर योजना कार्यान्वयन गर्न लागिएको हो । गाउँपालिका तथा वडाबाट सञ्चालन हुने योजनालाई चुस्तदुरुस्त बनाई गुणस्तरीयसँगै स्तरीय कार्य सम्पादन गर्नका लागि हरेक वडामा अभिमुखिकरण कार्यक्रम सञ्चालन गरिएकोगाउँपालिका अध्यक्ष मनोज राईले बताए । उनका अनुसार अभिमुखीकरण कार्यक्रम गाउँपालिकाभरिका सबै वडामा सञ्चालन गरिनेछ । अभिमुखीकरणमा उपभोक्ता समितिको काम कर्तव्य, योजनाको छनोटदेखि भुक्तानीको चरणसम्म गर्नुपर्ने प्रशासनिक, प्राविधिक तथा लेखा सम्बन्धि कामका बारेमा सहजीकरण गरिएको प्रमुख प्रशासकीय अधिकृत नवीन कार्कीले बताए । चालु आर्थिक वर्षमा कार्यान्वयन हुने गरी गाउँपालिका र वडामा गरी तीन सयभन्दा योजना तथा कार्यक्रम छनोट भएका छन् । ती योजना तथा कार्यक्रम सञ्चालन गर्नका लागि गठित उपभोक्ता समिति, उपाध्यक्ष, सचिव, कोषाध्यक्ष लगायतलाई कार्यक्रममा सहभागी गराइएको कार्कीको भनाइ छ । अभिमुखीकरण कार्यक्रमप्रश्चात उपभोक्ता समितिमार्फत् सञ्चालन हुने योजना तथा कार्यक्रमहरू गुणस्तरीय रूपमा तोकिएको समयमा नै सम्पन्न हुने गाउँपालिकाले लक्ष्य लिइएको उपाध्यक्ष रत्नश्वरी राईले बताइन् । सहिदभूमि गाउँपालिकाको अधिकांश भूभाग विकट छन् । भौगोलिक विकटताकै कारण उपभोक्ता समितिलाई निर्माणको कामसँगै आवश्यक कागजपत्र मिलाउने समेत झन्झट हुने गर्छ । कागजपत्र नमिलेकै कारण कतिपय सहज हुने खालको काम सम्पन्न गर्न धेरै समय लाग्ने गर्दछ । अभिमुखीकरण कार्यक्रमप्रश्चात उपभोक्ता समितिलाई गुणस्तरीय कार्य गर्न सहयोग पुग्ने गरिएको छ ।"
"बार्गेनिङ पत्रकारितालाई बढावा हुन दिँदैनौं : प्रेस काउन्सिल अध्यक्ष बस्नेत","काठमाडौं : प्रेस काउन्सिल नेपालका अध्यक्ष बालकृष्ण बस्नेतले सञ्चार माध्यममा खोजमूलक कम र 'ढाकछोप पत्रकारिता' बढ्दै गएकोमा चिन्ता व्यक्त गरेका छन् । बिहीबार काउन्सिलमा आयोजित पत्रकार आचारसहिंता अभिमुखीकरणमा उनले कसैको गलत प्रवृत्तिलाई उजागर गर्नुपर्नेमा सञ्चार माध्यमले नै ढाकछोप गरेर भ्रम पैदा गर्नु चिन्ताको विषय भएको बताएका हुन् । उनले सञ्चार माध्यमले सम्प्रेषण गरेका विषयमाथि फरक अनुसन्धान र खोज गर्ने अवस्था आएको उल्लेख गरे । उनले पत्रकारिताको विकृतिका रूपमा ढाकछोप र बार्गेनिङ पत्रकारितालाई बढावा हुन नदिन काउन्सिलले सार्थक पहल गरिरहेको बताए । 'कुनै नयाँ र खोजमूलक सामग्री कम तर केही बेथितिका कुरा आउला भनेर ढाकछोप गर्नका लागि पनि अनलाइन खुलेका देखियो ' उनले भने, 'त्यस्ता प्रवृत्ति रोक्नका लागि काउन्सिलले विभिन्न कदम चालिरहेको छ ।' उनले नयाँ दर्ता भएका अनलाइन पत्रिकाले व्यावसायिक पत्रकारिता गर्ने विश्वास व्यक्त गरेका छन् । काउन्सिलले अरू मिडियासँगै अहिले युट्युबको सामग्री पनि अध्ययन गरिरहेको उनको भनाइ थियो । नेपाल पत्रकार महासंघका अध्यक्ष विपुल पोखरेलले पत्रकार कुनै एउटा जाति, धर्म, पार्टीप्रति नभएर सिंगो समाजप्रति नै जिम्मेवार हुनुपर्नेमा जोड दिए ।"
"प्रहरीका परिवारलाई स्वरोजगार बनाउन ऋणअनुदान","वीरेन्द्रनगर : नेपाल प्रहरी श्रीमती संघले प्रहरीका परिवारहरूलाई स्वरोजगार बनाउन ऋणअनुदान सहयोग गर्ने भएको छ । नेपाल प्रहरी श्रीमती संघकी केन्द्रीय अध्यक्ष लक्ष्मी कुँवरले नेपाल प्रहरी श्रीमती संघ कर्णाली प्रदेशको कार्यालय उद्घाटन गर्दै प्रहरीका परिवारलाई स्वरोजगार बनाउन ऋण अनुदान सहयोग गर्ने बताइन् । नेपाल प्रहरी श्रीमती संघकी केन्द्रीय अध्यक्ष लक्ष्मी कुँवर, अन्य पदाधिकारी पदाधिकारी र नेपाल प्रहरी श्रीमती संघ कर्णाली प्रदेशकी अध्यक्ष विन्दु अधिकारी ढकाल सहितको टोलीले कर्णालीमा गरेका सामाजिक कामहरूका बारेमा जानकारी गराउँदै आफ्ना भावी योजनाहरू सार्वजनिक गरिन् । अध्यक्ष कुँवरले भनिन्, 'हामीले स्वरोजगारका लागि ऋणअनुदानसँगै अन्य सीपमुलक तालिमहरू, नयाँ भवनमा आवश्यक श्रोत साधन र जनशक्ति व्यवस्थापन, आफ्नै सवारी साधन, नागरिकका लागि एम्बुलेन्स सेवा, सामाजिक चेतनाका लागि निःशुल्क परामर्श कार्यक्रम, प्रदेश स्तरमा संघकै नेतृत्वमा पेट्रोल पम्प, लागूऔषध दुर्व्यसनी सुधारका लागि आसरा सुधार केन्द्र, श्रीमती संघ छात्रवृत्ति कोष स्थापना गर्ने तयारी छ ।' नेपाल प्रहरी श्रीमती संघ कर्णाली प्रदेशकी अध्यक्ष ढकालले नेपाल प्रहरी श्रीमती संघ केन्द्रले गर्ने कार्यहरूलाई अनुसरण गर्दै प्रदेश स्तरमा पनि आफूहरू सक्रिय हुने बताइन् ।"
"स्थानीय अर्थतन्त्र बलियो बनाउन एडिबीको १६ अर्ब ६० करोड सहयोग","काठमाडौं : नेपालको दिगो पर्यटन प्रवर्द्धन गर्दै स्थानीय बासिन्दालाई गुणस्तरीय जीवनयापनमा सघाउने उद्देश्यले जीवनयापान सुधार परियोजना कार्यान्वयन गर्न एसियाली विकास बैंक (एडिबी)ले १६ अर्ब ६० करोड रुपैयाँको वित्तीय सहायता उपलब्ध गराउने भएको छ । पर्यटनका माध्यमबाट स्थानीय अर्थतन्त्रलाई सबल बनाउन देवदह, लुम्बिनी सांस्कृति, सैनामैना, सिद्धार्थनगर र तिलोत्तमा नगरपालिकाका साथै जनकपुर उपमहानगरपालिका र पोखरा महानगरपालिकाको आर्थिक वृद्धिमा सघाउन उक्त वित्तीय प्याकेज एडिबीले आज स्वीकृत गरेको हो । बैंकको प्रधानकार्यालय मनिलाबाट आज जारी प्रेस विज्ञप्तिअनुसार जलवायु एवं प्रकोप प्रतिरोधी सहरहरू निर्माण गरी नेपालको स्थानीय अर्थतन्त्रलाई सुदृढ बनाउन र दिगो आर्थिक विकास गर्ने नेपालको सरकारको रणनीतिमा सघाउन उक्त प्याकेज स्वीकृत गरिएको हो । उक्त वित्तीय प्याकेजअन्तर्गत ६० करोड रुपैयाँ अनुदान सहायता हो । सहरी विकास तथा भवन निर्माण विभाग र सम्बन्धित नगरपालिकाले जीवनयापान सुधार परियोजना कार्यान्वयन गर्नेछन् ।"
"एमालेको संकल्प यात्राको टोली वसन्तपुरमा","धनकुटा : झुलाघाटचिवाभञ्ज्याङ समृद्धिको लागि संकल्प यात्रा धनकुटा हुँदै तेह्रथुम प्रवेश गरेको छ । नेकपा एमाले अध्यक्ष केपी शर्मा ओलीसहितको टोली भोजपुर र धनकुटाको सीमा क्षेत्र लेगुवा हुँदै धनकुटा प्रवेश गरेको थियो । लेगुवा प्रवेश गरेको टोलीलाई स्थानीय बासिन्दा, कार्यकर्ता तथा शुभेच्छुकहरूले स्वागत गरेको थियो । लेगुवाबाटदेखि अहिले पाख्रिबास, हिले, सिँधुवा हुँदै तेह्रथुमको वसन्तपुर आइपुगेको थियो । वसन्तपुरमा सभा गरिएको थियो । यात्राको क्रममा धनकुटाको पाख्रिबासमा आयोजित कृषि अन्तरक्रिया कार्यक्रममा अध्यक्ष ओलीले धेरै कुरामा कमीकमजोरी रहेको बताउँदै कृषिमा ६० प्रतिशत जनता कृषिमा रहेकोले आयात रोकेर आत्मानिर्भर हुनुपर्ने बताए । सबैको जीवनदाता कृषि भएकाले यसमा आत्मनिर्भर हुनुपर्ने उनको भनाइ छ । अध्यक्ष ओलीले कृषिमा प्रविधिको विकास गर्नुपर्ने बताउँदै माटोको परीक्षण गरेर खेती बताए । उनले आफू नेतृत्वको सरकारले मेरो कित्ता कार्यक्रम सुरु गरेर काम गर्न सुरु गरेको भए पनि निरन्तरता नभएको बताए । यात्राको क्रममा अध्यक्ष ओलीले धनकुटाको हिलेमा निर्माण गरिएको हिले पार्क उद्घाटन समेत गरेका थिए । उक्त पार्क २०७७ सालमा ६५ लाखको लागतमा निर्माण गरिएको थियो । त्यसैगरी लेगुवामा अध्यक्ष ओलीलाई अवरोध गर्न खोज्ने एक जना स्थानीय युवालाई नियन्त्रणमा लिएको छ । स्वागतको लाइनमा बसेका स्थानीय महेश राईले अभद्र ब्यवहार गर्न खोजेको भन्दै नियन्त्रमा लिएको धनकुटाको डीएसपी राजबाबु महर्जनले जानकारि दिए । यसैबीच पहिचानवादीले अवरोधन गर्नसक्ने भन्दै धनकुटाको सुरक्षा ब्यवस्था कडा बनाइएको प्रहरीले जनाएको छ । कार्यक्रमलाई अवरोध पुरयाउनसक्ने भन्दै बुधबार लेगुवाबाट नौं जना पहिचानवादीलाई प्रहरीले नियन्त्रणमा लिएको थियो ।"
"स्वदेशी सम्भावनाको सदुपयोग गर्न अर्थमन्त्रीको आग्रह","नुवाकोट : अर्थमन्त्री डा प्रकाशशरण महतले स्थानीय मौलिक पहिचान, संस्कृति र अवसरको उपयोगमार्फत मुलुकलाई आर्थिक रुपमा सुदृढ बनाउन सकिने बताएका छन् । नुवाकोटको लिखु गाउँपालिकास्थित ढिकुरे बजारमा आजदेखि सुरु भएको प्रथम नुवाकोट खेलकुद तथा बृहत् सांस्कृतिक महोत्सव२०८० को उद्घाटन समारोहलाई सम्बोधन गर्दै अर्थमन्त्री महतले स्वदेशको कला, संस्कृति, प्राकृतिक स्रोत तथा स्थानीय साधनको उपयोगमार्फत मुलुकको अर्थतन्त्र बलियो बनाउन सकिने बताएका हुन् । 'रोजगारीको सृजनासहित शिक्षाको गुणस्तर र स्वास्थ्य सेवा सुधारको लागि यहाँकै शैली र सभ्यताको संरक्षण गर्नुपर्छ', उनले भने, 'दोस्रो विश्व युद्धपछि जापानले जसरी आफ्नै मौलिक परम्परालाई जोगाएर विकासमा चमत्कार गर्यो, अब हामीले त्यस्तै शैली अपनाउनुपर्छ ।' पछिल्लो समयमा मेलामहोत्सव स्थानीय उत्पादनको प्रवर्द्धन, प्रचारप्रसार र उपभोगमा केन्द्रित गराउनुको सट्टा भड्किलो हुँदै गएको भन्दै त्यसबाट सचेत रहन उनले ध्यानाकर्षण गराए । बागमती प्रदेशका आर्थिक मामिला तथा योजनामन्त्री बहादुरसिंह लामाले खेलकुद र संस्कृतिलाई लक्षित गर्दै सुरु भएको महोत्सवलाई आगामी दिनमा प्रदेशस्तरीय बनाएर सञ्चालन गर्न सहयोग पुर्याउने प्रतिबद्धता जनाए । लिखु गाउँपालिका संरक्षण तथा न्यू ढिकुरे युवा क्लब र पिप्ले युवा क्लबको संयुक्त आयोजनामा आजदेखि सुरु भएको महोत्सव आगामी पुस १० गतेसम्म चल्ने छ । मेला व्यवस्थापक हरिहर पाण्डेका अनुसार महोत्सवमा खेलकुद र संस्कृतिसँग सम्बन्धित सामग्रीको प्रदर्शनी तथा व्यापारका लागि एक सय कक्ष राखिएको छ ।"
"सिग्देललाई रथीमा बढुवा गर्ने सरकारको निर्णय","काठमाडौं : सरकारले नेपाली सेनाका उपरथी अशोकराज सिग्देललाई रथीमा बढुवा गर्ने निर्णय गरेको छ । सिंहदरबारमा बिहीबार बसेको मन्त्रिपरिषद बैठकले रिक्त रथी पदमा सिग्देललाई बढुवा गर्ने निर्णय गरेको सरकारकी प्रवक्ता रेखा शर्माले जानकारी दिइन् । त्यस्तै बैठकले नेपाल परराष्ट्र सेवातर्फको राजपत्राङ्कीत बिशिष्ट श्रेणी(सचिव) रिक्त एक पदमा सहसचिव सेवा लम्साललाई बढुवा गर्ने निर्णय गरेको छ भने विद्युत खपत बृद्धि तथा खनिज इन्धन न्यूनिकरण सम्बन्धी कार्ययोजना २०८० लाई स्वीकृत गर्ने निर्णय गरेको प्रवक्ता शर्माले जानकारी दिइन् । त्यसअघि सिंहदरबारमा आव २०८०८१ को नीति तथा कार्यक्रम र बजेटको कार्यान्वयन चौमासिक समीक्षा भएको थियो । चौमासिक समिक्षा सन्तोषजनक नपाइएको प्रवक्ता शर्माले बताइन् । चौमासिक समीक्षामा केहि मन्त्रीहरू कार्यव्यस्तताका कारण अनुपस्थित भएकाले पुन अर्को बैठक बस्ने उहाले जानकारी दिइन् ।"
"३० लाख धरौटीमा छुटे पूर्वगृहमन्त्री बालकृष्ण खाँण","काठमाडौं : नक्कली भुटानी शणार्थी प्रकरणमा थुनामा रहेका पूर्वगृहमन्त्री बालकृष्ण खाँण ३० लाख धरौटीमा छुटेका छन् । उच्च अदालत पाटनले बिहीबार खाँणलाई धरौटीमा छोड्न आदेश दिएपछि उनी छुटेका हुन् । न्यायाधीश कृष्णराम कोइरालाको एकल इजलासले खाँणलाई धरौटीमा छोड्न आदेश दिएको हो । यसअघि न्यायाधीश जनक पाण्डेले खाँणलाई ३० लाख रुपैयाँ धरौटी लिएर मुद्दाको पुर्पक्ष गर्न राय दिएका थिए । सोही रायलाई सदर गर्दै न्यायाधीश कोइरालाको एकल इजलासले धरौटीमा छोड्ने आदेश दिएको अदालतका प्रवक्ता तिर्थराज भट्टराईले जानकारी दिए । मंसिर १५ गते उच्च अदालतका न्यायाधीशद्वय प्रकाश खरेल र पाण्डेको संयुक्त इजलासमा खाँणलाई थुनामै राख्ने कि धरौटीमा छाड्ने विषयमा राय बाझिएको थियो । उक्त विवादको टुंगो तेस्रो न्यायाधीशसमक्ष पेश गरी सुनुवाइ गर्ने निर्णय भएको थियो । तर,अर्का न्यायाधीश खरेलले खाँण निर्दोष रहेको विश्वास गर्न मिल्ने मनासिव आधार नभएको उल्लेख गर्दै फरक राय पेस गरेका थिए । न्यायाधीशबीचको राय बाँझिएपछि तेस्रो न्यायाधीशको एकल इजलासमा खाँणको निवेदनमाथि सुनुवाइ भएको हो । काठमाडौं जिल्ला अदालतले नक्कली भुटानी शरणार्थी प्रकरणमा पूर्वगृहमन्त्री खाँणसहित १६ जनालाई पुर्पक्षका लागि कारागार चलाउने आदेश दिएपछि उनीहरूले जिल्लाको आदेशविरुद्ध २०८० साउन १६ गते उच्च अदालतमा पुनरावेदन दिएका थिए । जिल्ला अदालतले अन्यायपूर्ण तरिकाले पुर्पक्षका लागि कारागार पठाएको दाबी गर्दै उच्चमा पुनरावेदन गराएका थिए । सरकारले उनीमाथि ठगि लिखत किर्ते राज्य विरूद्धको र संगठित अपराध मुद्दा दायर गरेको छ । सो निवेदनमाथि सुनुवाइ गर्दै १५ मंसिरमा उच्च अदालत पाटनले पूर्वसचिव टेकनारायण पाण्डे,पूर्वमन्त्री टोपबहादुर रायमाझी,तत्कालीन गृहमन्त्री रामबहादुर थापा 'बादल'का सुरक्षा सल्लाहकार इन्द्रजित राई,आङटावा शेर्पा तथा बिचौलिया केशवप्रसाद दुलाल,सानु भण्डारी,सागर राई,विक्रम भनिने गोविन्दकुमार चौधरी र सन्देश शर्मालाई थुनामै राख्न आदेश दिएको थियो । त्यसैगरी टेकनाथ रिजाललाई १५ लाख धरौटी,सन्दीप रायमाझीलाई ३० लाख र नरेन्द्र केसीलाई १० लाख धरौटीमा रिहा गर्न आदेश दिएको थियो । हरिभक्त महर्जन,लक्ष्मी महर्जन,शमशेर मिया,आशिष बुढाथोकी, टेक गुरुङ,रामशरण केसी र केशव तुलाधरलाई धरौटीमा रिहा गर्न आदेश दिएको थियो ।"
"अशोकराज सिग्देललाई रथीमा बढुवा गर्ने मन्त्रिपरिषद्को निर्णय","काठमाडौं : सरकारले रथीमा अशोकराज सिग्देललाई बढुवा गरेको छ । बिहीबार बिहान प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय सिंहदरबारमा बसेको बैठकले उपरथी सिग्देललाई रथीमा बढुवा गर्ने निर्णय गरेको हो । यस अगाडि सरकारले नेपाली सेनाका उपरथी ताराध्वज पाण्डेलाई रथी बनाउन सिफारिस भएपछि उमेरको विवादमा परेका थिए । उमेर विवादमा परेपछि प्रधानसेनापतिको रोलक्रममा रहेका पाण्डेले व्यक्तिगत कारण देखाउँदै पदबाट राजीनामा दिएका थिए । उनको कात्तिक २४ गतेबाट लागु हुने गरी अघिल्लो मन्त्रिपरिषद् बैठकले राजीनामा स्वीकृत गरेको हो । पाण्डेले राजीनामा दिएपछि प्रधानसेनापति प्रभुराम शर्माले अघिल्लो शुक्रबार बढुवाका लागि सिग्देललाई सिफारिस गरेका हुन् । सैनिक मुख्यालयमा सिताराम खड्काको अध्यक्षतामा बसेको बढुवा समितिको बैठकले सिग्देललाई रथी पदमा बढुवाका लागि सिफारिस गरेको थियो ।"
