"शीर्षक","विवरण"
"नेपाल यमनसँग २० गोलले पराजित","काठमाडौं : सन् २०२६ को फिफा विश्वकप र एएफसी एसिया कप २०२७ छनोटको दोस्रो चरणको दोस्रो खेलमा नेपाल यमनसँग पराजित भएको छ । त्रिपुरेश्वरस्थित दशरथ रंगशालामा मंगलबार भएको खेलमा नेपाल यमनसँग २० गोलले पराजित भएको हो । ओमार अब्दुल्लाह अल दाहीले ७२औं र ९०औं मिनेटमा गोल गर्दै यमनलाई विजयी बनाएका थिए । नेपाल यसअघि युएईसँग ४० गोलले पराजित भएको थियो । तस्बिर : सुनिता डंगोलअभिषेक महर्जन"
"गुल्मीका दुई स्थानीय तहमा मंसिर ७ गते सार्वजनिक बिदा","गुल्मी : गुल्मीका दुई स्थानीय तहले मंसिर ७ गते सार्वजनिक बिदा दिएका छन् । मंगलबार सूचना जारी गर्दै जिल्लाको रेसुंगा नगरपालिका र गुल्मीदरबार गाउँपालिकाले सार्वजनिक बिदा दिएका हुन् । मंसिर ७ गते अर्थात् हरिबोधिनी एकादशीका दिन धार्मिक, ऐतिहासिक स्थल रेसुंगा पोखरीमा धार्मिक मेला लाग्ने भएकाले कार्यपालिका बैठकबाट भएको निर्णयबमोजिम सार्वजनिक विदा दिइएको रेसुंगा नगरपालिकाले निकालेको सूचनामा उल्लेख गरेको छ । त्यस्तै गुल्मी दरबार गाउँपालिकाले मंसिर ५ गते एक सूचना जारी गर्दै हरिबोधिनी एकादशीका दिन पालिका अन्तर्गतका सम्पूर्ण वडा कार्यालय, स्वास्थ्य चौकी, विद्यालय तथा सार्वजनिक संघ संस्थाहरूमा सार्वजनिक बिदा दिइएको छ । हरिबोधिनी एकादशी पर्वका अवसरमा गुल्मीको धार्मिक तथा ऐतिहासिक पर्यटकीय स्थल रेसुंगामा पूजा गर्न भक्तजनको घुइँचो लाग्ने गर्दछ । एकादशीका दिन भगवान् विष्णुको प्रतीकका रूपमा तुलसीको विवाह र विशेष पूजा गरी तुलसीको व्रत गरी विशेष पूजा गर्दछन् ।"
"राष्ट्रपति निवास र बालुवाटार क्षेत्रमा पनि निषेधज्ञा जारी","काठमाडौं : जिल्ला प्रशासन कार्यालय काठमाडौंले राष्ट्रपति निवास महाराजगन्ज र प्रधानमन्त्री निवास बालुवाटार आसपास क्षेत्रमा पनि निषेधज्ञा जारी गरेको छ । सुरक्षा संवेदनशीलतालाई मध्यनजर गर्दै जिल्ला सुरक्षा समितिको बैठकले थप दुई क्षेत्रमा निषेधज्ञा जारी गरेको जिल्ला प्रशासन कार्यालय काठमाडौंले जानकारी दिएको छ । मंगलबार विज्ञप्त जारी गर्दै प्रशासनले राष्ट्रपति निवासको पूर्वतर्फ पवित्र वर्कशप, पश्चिमतर्फ सामाखुसी निस्कने नाला, उत्तरतर्फ राष्ट्रिय प्रहरी प्रतिष्ठानको दक्षिणी पूर्वी गेट र दक्षिणतर्फ प्रहरी अस्पताल जाने मोडसम्म निषेधज्ञा जारी भएको जानकारी दिएको छ । त्यस्तै प्रधानमन्त्री निवासका लागि पवित्र वर्कशप चोकदेखि बालुवाटारतर्फ नेपाल राष्ट्र बैंक चोकसम्म र सभामुख निवासदेखि गैह्रीधारा जाने बाटोको पश्चिम दक्षिण सय मिटरसम्म निषेधज्ञा जारी गरेको प्रशासनले जनाएको छ । यसअघि प्रशासनले बानेश्वरदेखि माइतीघर मण्डलासम्म निषेधज्ञा जारी गरेको थियो । मंसिर ७ गते एमाले निकट युवा संघ र मेडिकल व्यवसायी दुर्गा प्रसाईँ समूहको छुट्टाछुट्टै विरोध प्रदर्शन कार्यक्रम सार्वजनिक भएपछि प्रशासनले निषेधज्ञा जारी गरेको हो । त्यस्तै जिल्ला प्रशासन कार्यालय ललितपुरले पनि पुल्चोकस्थित मन्त्री क्वाटर र युएन कार्यालय आसपास निषेधज्ञा जारी गरेको छ ।"
"दुई महिनामा १४ फरार अभियुक्त पक्राउ","नुवाकोट : दुई महिनामा १४ फरार अभियुक्त पक्राउ परेका छन् । फरार अभियुक्त पक्राउ अभियानअन्तर्गत गत असोजदेखि दुई महिनाको अवधि हालसम्म विभिन्न अपराधमा संलग्न १४ जना फरार व्यक्तिलाई पक्राउ गरिएको जिल्ला प्रहरी कार्यालय नुवाकोटले जनाएको छ । पक्राउ परेकालाई सजायका लागि जिल्ला अदालत तथा कारागार पठाइएको प्रहरी उपरीक्षक संजयसिंह थापाको भनाइ छ । फरार भएकाहरूबाट २३ वर्ष, ८ महिना, १ दिन कैद सजाय र सात लाख ३२ हजार ६ सय ७५ रुपैयाँ जरिवानासमेत असुल उपर भएको छ ।"
"छोराको कुटपिटबाट आमाको मृत्यु","मकवानपुर : मकवानपुरको मनहरी गाउँपालिकामा सौतेनी छोराको कुटपिटबाट एक जना महिलाको मृत्यु भएको छ । मृत्यु हुनेमा मनहरी गाउँपालिका५ डिल्लीपुर बस्ने डिलबहादुर चेपाङकी कान्छी श्रीमती ५० वर्षीय सन्तमाया चेपाङ रहेको मकवानपुरका प्रहरी नायब निरीक्षक एवं प्रहरी प्रवक्ता लक्ष्मी भण्डारीले जानकारी दिए । मकवानपुर प्रहरी प्रवक्ता एवं प्रहरी नायब उपरीक्षक भण्डारीका अनुसार सन्तमायालाई कात्तिक २७ गते डिलबहादुरकी जेठी श्रीमतीका २६ वर्षीय छोरा ईन्द्रबहादुर चेपाङले कुटपिट गरी घाइते बनाएका थिए । घाइते सन्तमायाको चितवनस्थित सरकारी अस्पताल भरतपुरमा उपचारको क्रममा आज मृत्यु भएको प्रवक्ता भण्डारीले जानकारी दिए । कुटपिटमा संलग्न ईन्द्रबहादुरलाई प्रहरीले नियन्त्रणमा लिएको र घटनाका बारेमा अनुसन्धान भइरहेको प्रवक्ता भण्डारीले बताए ।"
"बुधबार देशका यी प्रदेशमा हुने छ हिमपात","काठमाडौं : बुधबार कोशी, बागमती र गण्डकी प्रदेशका पहाडी भूभागमा आंशिक बदली रही देशका बाँकी भूभागको मौसम सामान्यतया सफा रहनेछ । मौसम पूर्वानुमान महाशाखाका अनुसार कोशी, बागमती र गण्डकी प्रदेशको उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ । बुधबार राति कोशी, बागमती, गण्डकी र लुम्बिनी प्रदेशको पहाडी भूभागमा आंशिक बदली रही देशको बाँकी भूभागको मौसम सामान्यतया सफा रहनेछ ।"
"भूकम्प पीडितका लागि भारत सरकारद्वारा चौथो चरणको राहत हस्तान्तरण","काठमाडौं : भारत सरकारले भूकम्प पीडितका लागि चौथो चरणको राहत सामग्री हस्तान्तरण गरेको छ । भारतले अत्यावश्यक चिकित्सा सामग्रीसहित राहत नेपाल सरकारलाई हस्तान्तरण गरेको भारतीय दूतवासले जानकारी दिएको छ । नेपाल चिकित्सक संघको मागअनुसार भारतले अत्यावश्यक औषधि र उपकरण हस्तान्तरण गरेको हो । कात्ति १७ गते गएको भूकम्पबाट प्रभावित भएका जाजरकोट र रुकुम पश्चिमका पीडितका लागि भारतले हालसम्म ३४ टनभन्दा बढी आपतकालीन् राहत सामग्री उपलब्ध गराइसकेको छ । छिमेकी पहिलो नीतिअन्तर्गत नेपाललाई सहयोग गर्ने प्रतिवद्धतालाई भारतले पूरा गरेको दूतावासले जनाएको छ । नेपाल सरकारले तोकेको मापदण्ड र प्राथमिकताका आधारमा भारतले नेपालमा थप राहत सामग्री सहयोग गर्ने दूतावासको भनाइ छ ।"
"नाका खुलेसँगै उपल्लो मुस्ताङीलाई रोजगारी","जोमसोम : उपल्लो मुस्ताङको लोमान्थाङ गाउँपालिका३ ठिंगरका स्थानीय कर्मा सम्टुक गुरुङ यतिखेर जोमसोममा चिनियाँ सामान ढुवानीमा व्यस्त छन् । उनले जोमसोम बजारको पुरानो काठेपुल नजिकको सडक छेउमा कोरोला नाकाबाट ल्याएका चिनियाँ सामान फुटपाथ व्यापारीले जस्तै फिजाएका छन् । उनले (नेचुङलिजी)कोरलानाकाको व्यापारिक स्थलबाट जुत्ता चप्पल, ज्याकेट, टाउजर, मोजा, ब्ल्याङेकट, सोफासेटमा राख्ने फर्म, थर्मस लगायतका किराना पसललाई चाहिने सामानहरू जीपमा ढुवानी गरी बिक्री गर्न राखेका हुन् । यसअघि तीन खेप सामान ल्याएका सकिएपछि उनी फेरि सामान लिन जाने छन् । जोमसोमबाट नाकासम्मको दूरी ११० किलोमिटर छ । अहिले चिनियाँ उत्पादनको माग बढी भएको उनले बताए । हिजोआज उपल्लो मुस्ताङका धेरैजसो स्थानीय ठूला तथा साना व्यापारीले चिनियाँ बजार लिजीमा गएर धमाधम सामान बेच्न तल्लो मुस्ताङमा आउने गरेका छन् । नाका खुलेपछि आफूहरूलाई व्यापार गर्न सजिलो भएको लोमान्थाङका स्थानीय व्यापारी पेमा आंगेल गुरुङले बताए । उनले चिनियाँ सामान लिन जाँदा स्थानीय उत्पादन लिएर जाने गरेको उल्लेख गरे विगतमा उपल्लो मुस्ताङीहरू हिउँदयामको जाडो छल्न कात्तिकअघि नै बेसी झरिसक्थे । यसवर्ष नाका खुलेकाले उनीहरू बेसी झरेका छैनन् ।"
"प्रधानमन्त्रीसहित शीर्ष तीन नेताकाे भेट","काठमाडाैं : प्रधानमन्त्री पुष्पकमल दाहालले एमाले अध्यक्ष केपी शर्मा ओली र नेपाली कांग्रेसका सभापति शेरबहादुर देउवासँग भेटवार्ता गरेका छन् । विस्तृत शान्ति सम्झाैता भएकाे अवसरमा मंगलबार उनीहरूबीच छलफल भएकाे हाे । शाान्ति प्रक्रियालाई टुंग्याउने विषयमा उनीहरूबीच छलफल भएकाे हाे ।"
"सेयर बजारमा भारी गिरावट","काठमाडौं : सेयर बजारमा भारी गिरावट आएको छ । तिहार बिदा अर्थात् ११ दिनपछि खुलेको सेयर बजार दोस्रो दिन २३ अंकले घटेको हो । सोमबार नेप्से परिसूचक १३९ अंकले बढेकामा मंगलबार २३८२ अंकले बढेर १८२९६५ अंकमा कायम भएको हो । नेप्से १२८ प्रतिशतले घट्दा सेन्सिटिभ इन्डेक्समा भने ४४८ अंकको गिरावट आएर ३५२०५ अंकमा कायम भएको छ । नेप्से घटेको दिन कारोबार रकम पनि घटेको छ । सोमबार १ अर्ब ९ करोड रुपैयाँको कारोबार भएकामा मंगलबार ९५ अर्बमा सीमित भएको छ । मंगलबार कारोबारमा आएका २ सय १ कम्पनीको सेयर मूल्य घट्दा नेप्सेमा भारी गिरावट आयो । यसदिन ३१ कम्पनीको मूल्य बढ्दा ५ कम्पनीको सेयर मूल्य भने यथावत रहे । कारोबार सुरु भएदेखि नै ओरालो बजार अन्तिममा सामान्य सुध्रिने प्रयास गरे पनि दिनभरको गिरावट भारी पर्यो । दिनभर ३७ हजार ६ सय ७ कारोबारमार्फत् २ सय ८५ स्क्रिप्टका ३६ लाख ७५ हजार १ सय १ इकाइ सेयर ९५ करोड ४ लाख ७९ हजार ५ सय ८३ रुपैयाँमा किनबेच भएका छन् । जसमध्ये सबैभन्दा बढी हिमालयन डिस्टिलरीको ७ करोड ७८ लाखको सेयर किनबेच भएको छ । सोनापुर मिनिरल्स एन्ड आयलको ४ करोडको सेयर कारोबार हुँदा कारोबार रकमका आधारमा शिवम् सिमेन्ट, सोल्टी होटल्स र हाथवे इन्भेस्टमेन्ट शीर्ष ५ मा रहे । मूल्य बढ्नेमा मेन्छियाङ हाइड्रो र बीपीडब्लू लघुवित्त अगाडि रहे । मेन्छियामको सेयरधनीले सर्वाधिक ८१३ प्रतिशत कमाए । एनएमबि सुलभ इन्भेसटमेन्ट फन्ड २, प्रभु डिबेन्चर २०८४ र एनाईसी एसिया फ्लेक्सी क्याप फन्ड पनि बढी मूल्य बढ्ने स्क्रिप्टको सूचीमा शीर्ष ५ मा अटाए । यता माथिल्लो मैलुङ खोला जलविद्युत्को सेयर मूल्यमा मंगलबार पनि करिब १० प्रतिशतको गिरावट आयो । यसैगरी महिला लघुवित्त, उपकार लघुवित्त, नेस्डो समृद्ध लघुवित्त र हिमालयन डिस्टिलरीका सेयरधनी पनि बढी गुमाउनेको सूचीमा परे । समूहगत उपसूचकतर्फ भने म्युचुअल फन्ड बाहेक सबै उपसूचक रातो रहे । सबैभन्दा बढी उत्पादनमुलक समूहमा ३१२ प्रतिशतको गिरावट आयो । नेप्से बढेको दिन बजार पुँजीकरण २८ खर्ब २१ अर्ब १० करोड रुपैयाँ कायम भएको छ । लगानीकर्ताको कुल सम्पत्ति यसदिन ३६ अर्ब रुपैयाँले घटेको हो ।"
"मन्दिरबाट चोरी भएको गरगहनासहित बालक पक्राउ","महोत्तरी : मन्दिरबाट चोरी भएको गरगहनासहित एक जना बालक पक्राउ परेका छन् । इलाका प्रहरी कार्यालय गौशालाले मन्दिरबाट चोरी भएको १४ आना बराबरको सुनको नथिया र टीकासहित उक्त बालकलाई नियन्त्रणमा लिएको हो । प्रहरी नियन्त्रणमा रहेको बालकसँग प्रहरीले सोधपुछ गरिरहेको प्रहरी निरीक्षक मनोजकुमार यादवले जानकारी दिए । बजारको मध्यभागमा रहेको दुर्गा मन्दिरका लागि भारतबाट १० लाख भारुमा दुर्गाको आभूषण खरिद गरी ल्याएको मन्दिरका पुजारी काशिकान्त झाले बताए । छठ पर्वको पारण दिन अर्थात् सोमबारका दिन सो मन्दिरबाट सो आभूषण चोरी भएको पुजारी झाले प्रहरीमा खबर गरेपछि प्रहरीले अनुसन्धानको क्रममा सो बालकलाई आज नियन्त्रणमा लिएको हो ।"
"ललितपुरका यी स्थानमा ६ महिनाका लागि निषेधज्ञा जारी","काठमाडौं : सुरक्षा संवेदनशिलतालाई मध्यनजर गर्दै जिल्ला प्रहरी कार्यालय ललितपुरले मन्त्री निवास आसपास निषेधज्ञा जारी गरेको छ । ललितपुरका सिडिओ रुद्रप्रसाद पण्डितले मन्त्री निवास आसपासका क्षेत्रमा ६ महिनाका लागि निषेधज्ञा जारी गरेको जानकारी दिए । उनका अनुसार पुल्चोकस्थित युएन हाउस र मन्त्री निवासको सुरक्षा संवेदनशिलतालाई ध्यानमा राखी पूर्वतर्फ इनारमोड जाने मूलबाटो, पश्चिमतर्फ राष्ट्रिय किताबखाना (निजामती), उत्तरतर्फ आन्तरिक राजस्व कार्यालय र युएन हाउस र दक्षिणतर्फ राष्ट्रिय मानव अधिकार आयोग एवं राष्ट्रिय सहकारी विकास बोर्डको चार किल्लाभित्र भित्र निषेधज्ञा जारी गरिएको हो । स्थानीय प्रशासन ऐन, २०२८ को दफा ६ को उपदफा (३क) बमोजिम मंगलबारदेखि आगामी ६ महिनासम्मका लागि पाँच जनाभन्दा बढी व्यक्ति भेला जम्मा भई नारा, जुलुस, प्रदर्शन, धर्ना, घेराउ, अनसन, सभाजस्ता आन्दोलन वा विरोधका कार्यक्रम गर्न निषेध गरिएको सिडिओद्वारा जारी आदेशमा भनिएको छ ।"
"विशेष अदालतको अध्यक्षमा टेकनारायण कुँवर सिफारिस","काठमाडौं : विशेष अदालतको अध्यक्षमा टेकनारायण कुँवरलाई सिफारिस गरिएको छ । मंगलबार बसेको न्यायपरिषद्को बैठकले उच्च अदालत दिपायलयका न्यायाधीश कुँवरलाई विशेष अदालतको अध्यक्षमा सिफारिस गरेको हो । त्यस्तै सदस्यमा उच्च अदालत जनकपुर, राजविराज इजलासका न्यायाधीश तेजनारायण सिंह राई, धनकुटा इजलासका न्यायाधीश रामबहादुर थापा, उच्च अदालतका न्यायाधीश मुरारीबाबु श्रेष्ठ र उच्च अदालत विराटनगरका न्यायाधीश रितेन्द्र थापालाई सिफारिस गरिएको छ ।"
"पर्यटक बढेपनि होटल सञ्चालन घाटामा","काठमाडौं : मुलुकमा पर्यटन आगमन उल्लेख्य वृद्धि भए तापनि होटलहरू पूर्ण क्षमतामा सञ्चालन हुन नसकेको बताइएको छ । पछिल्लो समयमा धेरै ठूला होटल संरचनाहरू सञ्चालनमा आउने क्रम बढेकोले मागभन्दा आपूर्ति बढी भएको होटल संघ नेपालका अध्यक्ष विनायक शाहले बताए । संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्री सुदन किराँतीसँग संघका पदाधिकारीहरूको भेटमा शाहले होटलहरू क्षमताको एक तिहाई अकुपेन्सीमा सञ्चालन भएको भन्दै सञ्चालन घाटामा रहेको बताएका हुन् । संघका अध्यक्ष शाहले विदेशी पर्यटकहरू नेपाल भ्रमणका लागि आकार्षित भएपनि पूर्वाधारमा राजमार्गका सडक, हवाई सञ्जाल र यातायातमा रहेको कठिनाइका कारणले थप पर्यटक आउन नसकेको बताए । मुलुकको नयाँ क्षेत्रीय विमानस्थल पोखरा र भैरहवालाई पूर्ण रूपमा सञ्चालनमा ल्याउन सके मुलुक पर्यटनबाट छिट्टै फड्को मार्न सक्ने हुँदा यसतर्फ राज्यको ध्यान जान आग्रह गरे । उनले विकसित छिमेकी मुलुक चीन र भारत जोड्ने सडक सञ्जालमात्र तयार गर्न सके पनि मुलुकमा पर्यटन आगमनको चाप बढ्ने बताउँदै यस तर्फ राज्यको ध्यान जानुपर्ने बताए । उनले मुलुकको पर्यटनसम्बन्धी नीति नियमलाई सहजीकरण गर्दै लगानीमैत्री तथा पर्यटनमैत्री बनाउन आग्रह गर्दै संशोधन हुन लागेको संघीय पर्यटन ऐनले यसलाई सम्बोधन गर्ने विश्वास व्यक्त गरे । उक्त अवसरमा मन्त्री किराँतीले पर्यटक आगमन सन्तोषजनक भएको र आउँदा दिनमा अन्तर्राष्ट्रिय जगतमा राम्रो सन्देश प्रवाह भएको बताए । उनले मुलुकलाई समृद्ध बनाउनका लागि पर्यटनलाई चलायमान बनाई पूर्वाधारहरू समयमै सम्पन्न गरी हवाई सञ्जाल समेत विस्तार गरिने र यसबारेमा सम्बन्धित निकायमा पहल कदमी भइरहेको बताए । मन्त्रीले मुलुकको अर्थतन्त्र सुधारका लागि प्रधानमन्त्रीको नेतृत्वमा समिति गठन भई छलफल भइरहेको र यस पर्यटनसँग सम्बन्धित जल्दा बल्दा सुझावहरूले महत्व राख्ने बताउँदै पर्यटन दशकका लागि समेत गृह कार्य सुरु भइसकेको बताए ।"
"सर्वोच्चले सरकारसँग सोध्यो टिकटक बन्द गर्नुपर्ने कारण","काठमाडौं : सर्वोच्च अदालतले सरकारसँग टिकटक बन्द गर्नुपर्ने कारण सोधेको छ । सर्वोच्च अदालतका न्यायाधीश विनोद शर्माको एकल इजलासले मंगलबार टिकटक बन्द गर्ने सरकारको निर्णयप्रति कारण देखाउ आदेश जारी गरेको हो । आदेशमा मंसिर १५ गतेभित्रमा कारणसहित लिखित जवाफ माग गरिएको छ भने यसको सुनुवाई मंसिर १९ गतेबाट हुने सर्वोच्चका सूचना अधिकारी गोविन्दप्रसाद घिमिरेले अन्नपूर्णलाई बताए । टिकटक बन्द गर्ने सरकारको निर्णयविरुद्ध कानुन व्यवसायीहरूले सर्वोच्चमा रिट दर्ता गराएका थिए । सरकारले गत कात्तिक २७ गते नेपालमा टिकटक बन्द गर्ने निर्णय गरेको थियो । सामाजिक सद्भाव बिगारेको भन्दै सरकारले टिकटकमाथि प्रतिबन्ध लगाउने निर्णय गरेको प्रवक्ता रेखा शर्माले जानकारी दिएकी थिइन् ।"
"लागूऔषधसहित एक जना पक्राउ","स्याङ्जा : स्याङ्जामा लागूऔषधसहित एक जना पक्राउ परेका छन् । पक्राउ पर्नेमा अजुनचौपारी गाउँपालिका१ का २८ वर्षीय दिलबहादुर क्षेत्री रहेका छन् । उनले आफ्नै घरमा लुकाएर राखेको अवस्थामा फेनेरागन नामक २ एमएलको ४२ एम्पुल, आइपीपीएल ३८ एम्पुल, डाइजेपाम २९ एम्पुलसहित उनलाई पक्राउ गरेको प्रहरी नायब उपरीक्षक इन्द्रबहादुर रानाले जानकारी दिए । गोप्य सूचनाका आधारमा जिल्ला प्रहरी र प्रहरी चौकी अर्जुनचौपारीबाट खटिएको प्रहरी टोलीले चेकजाँच गर्ने क्रममा कुल १ सय ९ एम्पुल लागूऔषध बरामद गरेको छ । क्षेत्रीलाई जिल्ला अदालत स्याङ्जाबाट मंगलबार म्याद थप गरेर अनुसन्धान अघि बढाइएको छ ।"
"दुर्गा प्रसाईँलाई लक्षित गर्दै ओलीले भने ती सिखण्डीलाई एमालेले गन्दा पनि गन्दैन","वीरगन्ज : नेकपा एमालेका अध्यक्ष केपी शर्मा ओलीले २०८४ को निर्वाचनमा एमालेको एकल बहुमतको सरकार बन्ने दाबी गरेका छन् । मंगलबार पर्साको पोखरियामा आयोजित आमसभा तथा बृहत् पार्टी प्रवेश कार्यक्रमलाई सम्बोधन गर्दै एमाले अध्यक्ष ओलीले एमालेले अहिले देश संगठन विस्तारको अभियान चलाइरहेको र २०८४ को चुनावमा एमालेको एकल बहुमतको सरकार बन्ने दाबी गरे । उनले भने, 'आउँदो २०८४ चुनावमा एमालेलाई कुनै पनि शक्तिले हराउन नसक्ने गरी संगठनलाई मजबुत बनाइरहेका छौं । हामी मिसन २०८४ मा लागेका छौं । २०८४ को चुनावमा देशभर एमालेको विजयपताका फहराउँछ । एमालेको एकल बहुमतको सरकार बन्ने निश्चित छ ।' पूर्व प्रधानमन्त्रीसमेत रहेका ओलीले एमालेबाहेक कुनै पनि पार्टीले देशलाई समृद्ध बनाउन नसक्ने । देशलाई अहिलेको बेथिति र विसंगतिबाट बाहिर निकाल्न एमालेको सरकारको विकल्प नै नभएको जिकिर पनि उनले गरे । छिमेकी मुलुकहरूसँग दबिएर होइन, समान हैसियत बनाएर अगाडि बढ्ने नीतिमा एमाले नेतृत्वमा बन्ने सरकारको रहने उनले बताए । मुलुकमा अहिलेको गठबन्धनको सरकारका कारण चरम बेथिति, भ्रष्टाचार र आर्थिक मन्दी बढ्दै गएकाले यी सबैबाट देशलाई बाहिर निकाल्न मुलुकमा एमाले नेतृत्वको सरकार नै आवश्यक भएको उनले बताए । दुर्गा प्रसाईँलाई नयाँ तत्वको सिखण्डीको संज्ञा दिँदै ओेलीले भने, 'अहिले देशमा केही नयाँ तत्वहरू उफ्रिइरहेका छन् । अहिलेको गठबन्धनको सरकारको बेथितिका कारण नै ती सिखण्डीलाई एमालेले गन्दा पनि गन्दैन । कुनै मतलब पनि राख्दैन । किनकि एमाले सिसाको गिलास हेइन । जुन कतै ठोक्कियो भने पिटिक्कै फुटिहाल्ने । एमाले त्यस्तो इस्पात हो, जुन घनले हान्दा पनि टसमस हुँदैन । त्यसैले अहिले उफ्रिइरहेका नयाँ सिखण्डीहरूको एमालेले मतलब नै राख्दैन ।' ओलीले भगवान रामको जन्मभूमि पर्साको ठोरी नै भएको दोहोर्याए । उनले भने, 'अहिले भारतले राम मन्दिर बनाइरहेको अयोध्या भगवान रामको जन्मभूमि हुँदै होइन । किनकि अयोध्या डेढ सय वर्ष पहिलेसम्म फैजलावाद थियो । वास्तविक राम जन्मभूमि त नेपालको ठोरी हो भन्ने कुरा धर्मशास्त्रमै उल्लेख छ ।' कार्यक्रममा पप्पु कन्ट्रक्सनका पूर्व सञ्चालक हरिनारायण रौनियार जसपा छाडेर एमालेमा प्रवेश गरेका थिए । २०७४ को निर्वाचनमा पर्सा क्षेत्र नम्बर ३ बाट प्रतिनिधि सभा सदस्यमा निर्वाचित भएका रौनियारसँगै नेपाल सुशासन पार्टीकी केन्द्रीय सदस्य विना देवीलगायत विभिन्न पार्टीका सयौं नेताकार्यकर्ता पनि एमाले प्रवेश गरे । एक वर्षदेखि जसपामा निस्क्रिय रहेका केही दिन अगाडि काठमाडौं पुगेर अध्यक्ष ओलीलाई भेटेका थिए । त्यही भेटमा एमालेमा प्रवेश गर्न तयार भएका रौनियार मंगलबार आफ्नै क्षेत्रमा अध्यक्ष ओलीलाई बोलाएर एमालेमा प्रवेश गरेका हुन् । पार्टी प्रवेश कार्यक्रममा रौनियारले जसपा र उसका अध्यक्ष उपेन्द्र यादवले मधेसका मुद्दा बिर्सिएर निजी स्वार्थमा लागेकाले आफूले जसपा परित्याग गरेको बताए । उनले एमाले अध्यक्ष केपी ओलीबाटै देशको विकास र समृद्धि सम्भव रहेकाले आफू एमाले प्रवेश गरेको बताए ।"
