"शीर्षक","विवरण"
"""राष्ट्रियसभाको १९ सिटका लागि भोलि निर्वाचन हुँदै","९ देखि ३ बजेभित्र मतदान गरिसक्नुपर्ने"",""काठमाडौं : निर्वाचन आयोगले भोलि हुने राष्ट्रियसभा सदस्य निर्वाचनलाई स्वच्छ, स्वतन्त्र, निष्पक्ष र भयरहित वातावरणमा सम्पन्न गर्न आग्रह गरेको छ । निर्वाचनका लागि आवश्यक सुरक्षा व्यवस्थासहित तयारी कार्य पूरा भएको जनाउँदै आयोगले कानुनी व्यवस्थाबमोजिम निर्वाचनमा स्वच्छता, निष्पक्षता, पारदर्शिता तथा भयमुक्त वातावरण कायम राख्न गएराति १२ बजेपछि मतदानकार्य समाप्त नहुन्जेलसम्म प्रचारप्रसार निषेधको अवधि कायम गरेको छ । प्रदेशसभाका सदस्य, गाउँपालिकाका अध्यक्ष र उपाध्यक्ष तथा नगरपालिकाका प्रमुख र उपप्रमुखले मतदान गर्ने यस निर्वाचनमा माघ ११ गते बिहान ९ बजेदेखि अपराह्न ३ बजेसम्म सम्बन्धित प्रदेशको तोकिएका मतदानस्थल तथा मतदान केन्द्रमा मतदान हुनेछ । आयोगले प्रचारप्रसार निषेधको अवधिमा राजनीतिक दलका पदाधिकारी, उम्मेदवार, दलका भातृसंगठन तथा आचारसंहिता पालना गर्नुपर्ने अन्य व्यक्ति, संस्था वा निकायले निर्वाचन प्रचारप्रसारलगायत कुनै पनि प्रकारका छलफल, अन्तरक्रिया, सभा सम्मेलन, कार्यशाला गोष्ठी गर्न नमिल्ने आयोगका प्रवक्ता शालिग्राम शर्मा पौडेलले जानकारी दिए । निर्वाचनमा प्रदेशसभाका सदस्यका लागि सेतो रङको कागजमा हरियो रङको मसीको विवरण तथा निर्वाचन चिह्न रहेको मतपत्र र गाउँपालिकाका अध्यक्ष र उपाध्यक्ष तथा नगरपालिकाका प्रमुख र उपप्रमुखका लागि सेतो रङको कागजमा रातो रङको मसीको विवरण तथा निर्वाचन चिह्न रहेको मतपत्रको व्यवस्था गरिएको छ । निर्वाचनमा प्रदेशसभाका सदस्य र गाउँपालिकाका अध्यक्ष र उपाध्यक्ष तथा नगरपालिकाका प्रमुख र उपप्रमुख रहेको निर्वाचक मण्डल रहनेछ । निर्वाचन 'कसुर तथा सजाय' ऐन, २०७३ को ब्यवस्थाबमोजिम मतपत्रमा मत संकेत गरेपछि त्यस्तो मतपत्र कसैलाई देखाउन, प्रर्दशन गर्न वा मत संकेत गरेको व्यहोरा कुनै प्रकारले सार्वजनिक गर्न नहुने विषयलाई मध्यनजर गरी सम्बन्धित मतदान केन्द्रहरूमा आयोगले तोकेको कुनै एक परिचयपत्र साथ उपस्थित भई आफ्नो विवेकको गोप्य मताधिकारको प्रयोग गर्न निर्देश गरेको छ । आगामी फागुन २१ गतेदेखि रिक्त हुने १९ राष्ट्रियसभा सदस्यका लागि भोलि बिहीबार निर्वाचन हुँदैछ । कानुनतः पदावधि सकिनु ३५ दिन अगावै निर्वाचन गर्नुपर्ने व्यवस्था छ । राष्ट्रियसभा सदस्यको पदका लागि मतदाता रहेका प्रदेश सभा सदस्यको ५३ र गाउँपालिकाका अध्यक्ष तथा उपाध्यक्ष र नगरपालिकाका प्रमुख तथा उपप्रमुखको १९ मतभारका दरले गणना हुनेछ । निर्वाचनमा हालः कायम प्रदेशसभा सदस्य र स्थानीय तहका प्रमुखउपप्रमुख गरी दुई हजार ४७ मतदाता गरी कूल मतभार ५७ हजार ५५९ हुनेछ । हाल कायमा प्रदेशसभा सदस्य ५४९ र गाउँपालिकाका अध्यक्ष र उपाध्यक्ष तथा नगरपालिकाका प्रमुख र उपप्रमुख गरी एक हजार ४९८ मतदाता रहेका छन् ।"""
"भागेश्वर गाउपालिका जिल्लाकै उत्कृष्ट","डडेल्धुरा : डडेल्धुराको भागेश्वर गाउपालिका जिल्लाका अन्य पालिकाभन्दा उत्कृष्ट बनेको छ । स्थानीय तह संस्थागत क्षमता स्वमूल्यांकनमा डडेल्धुराको भागेश्वर गाउँपालिका जिल्लाकै उत्कृष्ट बनेको हो । संघीय सरकारद्वारा आगामी आर्थिक वर्षको बजेट निर्माण प्रक्रियामा स्थानीय तहलाई विनियोजन गर्ने शसर्त र निशर्त अनुदान बाँडफाँड गर्न हरेक वर्ष गरिने स्थानीय तह संस्थागत क्षमता स्वमूल्यांकनमा भागेश्वरले ९१ अंक हासिल गर्दै जिल्लाको उत्कृष्ट बनेको हो । त्यस्तै ७६२५ अंक प्राप्त गरेर अमरगढी नगरपालिका र आलिताल गाउँपालिकाले दोस्रो स्थान हासिल गरेका छन् भने ६९ अंक ल्याएर परशुराम नगरपालिका तेस्रो स्थानमा अटाएको छ । त्यस्तै सुदूरपश्चिममा ९५५ अंक ल्याएर डोटीको आदर्श गाउँपालिका प्रदेशमै उत्कृष्ट बनेको छ । ९१ अंक ल्याएको भागेश्वर प्रदेशमै दोस्रो भएको जनाएको छ ।"
"चुरे क्षेत्रमा खयरको काँचो काठ तस्करी","रौतहट : चुरेको बनबाट बहुमूल्य जातका खयरका काँचा रुख काटिएको छन् । चन्द्रपुर नगरपालिका वडा नम्बर २ मा पर्ने महादेव डाँडामा एक दर्जन बढी संख्यामा बहुमूल्य जातका खयरका रुख काटिएको भेटिएको हो । डिभिजन वन कार्यालय चन्द्रनिगापुर रौतहटको क्षेत्रमा पर्ने चुरेको वनबाट बहुमूल्य जातका खयरका रुखहरू काटिएको हो ।जुडिबेला सव डिभिजन वन कार्यालयको क्षेत्रमा पर्ने महादेव डाँडाको वनमा बहुमूल्य जातका खयरका रुख काटिँदा समेत वन कर्मचारीले कुनै वास्ता नगरेको स्थानीय बासिन्दाले बताएका छन् । चुरेको डाँडामा खयरका रुख काटेर विभिन्न साइजका गोलिया बनाई अग्लो पहाडबाट खोलामा झारी त्यहाँबाट काठ तस्करले लैजाने गरेको स्थानीयको भनाइ छ । रौतहटको चुरे क्षेत्रमा बहुमूल्य जातका खयरका रुख काटिएको विषयमा जुडिबेला सब वन डिभिजन कार्यालयका प्रमुख सुरेशकुमार महतोले आफूलाई धेरै रुख काटिएको बारेमा जानकारी नभएको बताएका छन् । सो स्थानमा कर्मचारी पठाएको र त्यहाँ गएका वन कर्मचारीले एक दुईवटा खयरका रुख काटिएको बताएपछि आफूले सोही आधारमा प्रतिवेदन बनाएर डिभिजन वन कार्यालय रौतहटमा पठाउने तयारी गरेको सहायक वन अधिकृत महतोको भनाइ रहेको छ ।"
"नेपाल पाकिस्तानसँग ५ विकेटले पराजित","काठमाडौं : नेपाल पाकिस्तानसँग ५ विकेटले पराजित भएको छ । दक्षिण अफ्रिका जारी यु१९ विश्वकपको दोस्रो खेलमा नेपाल पराजित भएको हो । नेपालले दिएको १९८ रनको लक्ष्य पाकिस्तानले ४७४ ओभरमा ५ विकेटको क्षतिमा पूरा गर्यो । पाकिस्तानका लागि अजन अवाइसले अर्धसतकसहित ६३ रन बनाए । त्यस्तै श्यामी हुसेनले ३७, सहजैब खानले ३७, अहमद हुसेनले २९ र हरुन अर्सदले १५ रन बनाए । नेपालका लागि आकाश चन्दले ३ विकेट लिए भने दीपेश कँडेल र आकाश त्रिपाठीले एकएक विकेट लिए । यसअघि नेपालले पाकिस्तानलाई १९८ रनको लक्ष्य प्रस्तुत गरेको थियो । नेपालका लागि विपिन रावलले सर्वाधिक ३९ रन बनाए । त्यस्तै दीपक डुम्रेले २६, देव खनालले २३, सुवास भण्डारी २०, गुल्शन झाले १८, दीपक कँडेलले १३ रन बनाए । त्यस्तै अर्जुन कुमालले ६, आकाश त्रिपाठीले ६, उत्तम मगरले ४ रन बनाए । त्यस्तै आकाश चन्द १६ रनमा अविजित रहे । नेपालले पहिलो खेल न्युजिल्यान्डसँग ६४ रनले पराजित भएको थियो ।"
"दलहरूको छुट्टाछुट्टै भेलापछि मोरङ सीडीओसँग आयोगले माग्यो आचारसंहिता उल्लंघनको रिपोर्ट","विराटनगर : निर्वाचन आयोगले निर्वाचन आचारसंहिताविपरीत गतिविधि भएको विषयमा सत्यतथ्य बुझी २४ घण्टाभित्र आयोगमा प्रतिवेदन पेस मोरङ प्रशासनलाई निर्देशन दिएको छ । राष्ट्रियसभा निर्वाचनको मौन अवधिमा निर्वाचन आचारसंहिताविपरीत गतिविधि भएको जनाउँदै बुधबार आयोगले रिपोर्ट गर्न भन्दै मोरङका प्रमुख जिल्ला अधिकारीलाई निर्देशन दिएको हो । मोरङको विराटनगरमा निर्वाचन आचारसंहिता उल्लंघन गर्दै दलहरूले भेला, चियापान र अन्य गतिविधि गरेका थिए । राष्ट्रियसभाको निर्वाचनको प्रचारप्रसार अवधि सकिएपछि नेपाली कांग्रेसका नेता डा शेखर कोइरालाले बुधबार बिहान चियापान गरेका थिए । कांग्रेस केन्द्रीय सदस्यसमेत रहेका नेता कोइरालाले राष्ट्रियसभाका उम्मेदवार कृष्णप्रसाद सिटौलासहित निर्वाचनका मतदाता रहेका प्रदेशसभाका सदस्य र स्थानीय तहक जनप्रतिनिधि बोलाएर चियापान गरेका हुन् । कोइरालाले आयोजना गरेको कार्यक्रममा कांग्रेस महामन्त्री गगन थापा, नेता मिनेन्द्र रिजाल, रामहरि खतिवडा, मीनबहादुर विश्वकर्मा, सरिता प्रसाईंलगायत सहभागी थिए । त्यस्तै मौन अवधिमै नेकपा एमाले र राप्रपागठबन्धनले उम्मेदवार र मतदाताहरू बोलाएर विराटनगरको होटल ह्यारिसनमा भेला गरेका थिए । एमाले र राप्रपाका उम्मेदवार तथा मतदाता सहभागी भेलालाई नेकपा एमालेका महासचिव शंकर पोखरेलसहितका नेताहरूले सम्बोधन गरेका थिए । मौन अविधमा राष्ट्रियसभा सदस्य निर्वाचनसँग सम्बन्धित प्रचारप्रसार, छलफल, अन्तरक्रिया, सभा सम्मेलन, कार्यशाला गोष्ठी आदि गर्न नपाइने व्यवस्था छ । तर, त्यसविपरीत निर्वाचन प्रचारप्रसारका गतिविधि भएपछि आयोगले त्यसबारे प्रतिवेदन पेस गर्न मोरङका प्रमुख जिल्ला अधिकारीलाई निर्देशन दिएको हो । निर्वाचन आचारसंहिता, २०७९ को दफा १७ र निर्वाचन (कसूर तथा सजाय) ऐन, २०७३ को दफा २४ को उपदफा (५) विपरीतको कार्यभएको हो वा होइन? सत्यतथ्य बुझी २४ घण्टाभित्र आयोगमा प्रतिवेदन पेश गर्न निर्देशन दिएको आयोगका प्रवक्ता शालिग्राम शर्मा पौडेलले जानकारी दिएका छन् । आयोगले माघ ८ गते राति १२ बजेपछि मतदान कार्य समाप्त नहुन्जेलसम्मका लागि मौन अवधि तोक्दै राजनीतिक दलका पदाधिकारी, उम्मेदवार, दलको भातृ संगठन तथा आचारसंहिता पालना गर्नुपर्ने अन्य व्यक्ति, संस्था वा निकायले निर्वाचन प्रसारप्रसारलगायत कुनै पनि प्रकारका छलफल, अन्तरक्रिया, सभा सम्मेलन, कार्यशाला, गोष्ठी आदि गर्न नहुने यसअघि नै जनाएको थियो । राष्ट्रिय सभाको निर्वाचनमा कोशीको अन्य कोटामा राप्रपाका उद्धव पौडेल र कांग्रेसका कृष्णप्रसाद सिटौला तथा महिलामा एमालेकी रुक्मिणी कोइराला र माओवादीका चम्पा कार्की उम्मेदवार छन् । एमालेले राप्रपासँग गठबन्धन गरेपछि यसअघि उम्मेदवार बनाइएका पर्शुराम अधिकारीको उम्मेदवारी भने निस्क्रिय गराएको छ । सत्तारूढ गठबन्धनभन्दा विपक्षी गठबन्धनको मत करिब आठ सय कम छ ।"
"गठबन्धन गर्नुपर्ने बाध्यता छ : सभापति देउवा","स्याङ्जा : नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले कुनै पनि दलको बहुमत नआउने देखिएकाले गठबन्धन गर्नुपर्ने बाध्यता रहेको बताएका छन् । नेपाली कांग्रेस स्याङ्जाको प्रथम सम्मेलनलाई सम्बोधन गर्दै उनले संविधानमा समानुपातिक समावेशी प्रावधानअनुरुप बहुमत बनाउनका लागि अन्य पार्टीसँग गठबन्धन गर्नुपर्ने बाध्यता रहेको बताए । उनले राजनीतिमा महिलाहरूको धेरै सम्भावना रहेको बताएका थिए । 'महिलाका लागि अग्राधिकार छ । धेरै जिम्मेवारी सम्हालेर पनि महिलाहरू राजनीतिमा अघि बढेका छन् । वडादेखि संसदसम्म महिला पुगेका छन् । विद्यादेवी भण्डारी राष्ट्रपति बनिन् भने अब प्रधानमन्त्री बन्न सक्छन्,' उनले भने । दलित, जनजाति, अल्पसंख्यक सबैलाई राजनीतिको मूलधारमा ल्याई सम्मुनत नेपाल बनाउने आफूहरूको ध्येय रहेको उनले बताए । सभापति देउवाले स्याङ्जा क्रान्तिकारी ठाउँ रहेको स्मरण गर्दै स्याङ्जाको विरासत नगुमाउन आग्रह गरे ।"
"गुणस्तरीय काम गर्न शहरी विकास मन्त्रीको निर्देशन","धनकुटा : शहरी विकास मन्त्री सीता गुरुङले आफ्नो मातहतका कर्मचारीहरूलाई काम छिटो सक्न भन्दा पनि गुणस्तरमा ध्यान दिन निर्देशन दिएकी छन् । कोशी पहाडी जिल्लाका विभिन्न स्थानमा सञ्चालित आयोजनाको अनुगमन गरेर फर्किने क्रममा बुधवाबार साँझ सघन शहरी तथा भवन निर्माण आयोजना धनकुटाको कार्यालय निरीक्षण गर्दै मन्त्री गुरुङले गुणस्तरी काम हुन सकेन भने प्रश्न उठ्ने भन्दै काम छिटोसक्ने होडबाजी भन्दा पनि गुणस्तरीय काममा ध्यान दिन निर्देशन दिएकी हुन् । मन्त्री गुरुङले कार्यालयमा आएका सेवाग्राहीलाई सही सूचना दिनसमेत निर्देशन दिइन् । कार्यालयमा आउने सेवाग्राहीको अपेक्षा धेरै हुन्छ । कर्मचारीको बोली व्यवहारले गर्दा करोडौंको योजनामा जनतामा खुसीभन्दा वितृष्णा हुनसक्छ,' उनले भनिन् । अहिलेसम्म मन्त्रालयको कार्यसम्पादन प्रगति १३ प्रतिशत रहे पनि चालु आर्थिक वर्षमा ८० प्रतिशत पुर्याउन लक्ष्य रहेको हुँदा सोहीअनुसार कार्य गर्न कर्मचारीहरूलाई अनुरोध गरिन् । उनले बहुवर्षीय राख्न नपर्ने योजनालाई तुरुन्त ठेक्का खोल्न निर्देशनसमेत दिइन् । कार्यक्रममा कार्यालयको हालसम्मको कार्यप्रगतिबारे सघन शहरी तथा भवन निर्माण आयोजना धनकुटाका प्रमुख सुमन मिश्रले प्रस्तुती राखेका थिए ।"
"अर्काको नाममा ट्रायल दिने परीक्षार्थी पक्राउ","गोरखा : अर्काको नाउँमा सवारी लाइसेन्सका लागि ट्रायल दिँदै गरेका एक युवा पक्राउ परेका छन् । तनहुँको भानु नगरपालिका ४ का सुरेश थापा मगरको मोटरसाइकल लाइसेन्सका लागि ट्रायल दिँदै गरेका सोही ठाउँका पूर्ण थापा मगरलाई पक्राउ गरिएको इप्रका आँबुखैरेनीले जानकारी दिएको छ । सुरेश थापा मगरको नाममा सहीछापसमेत किर्ते गरी प्रयोगात्मक परीक्षा(ट्रायल) मा सहभागी भइरहेको अवस्थामा उनलाई पक्राउ गरिएको हो,' इप्रका आँबुखैरेनीका प्रमुख इन्स्पेक्टर शिव थापाले भने, उनलाई जिल्ला अदालत तनहुँबाट म्याद थप गरी इप्रका आँबुखैरेनीमा राखेर अनुसन्धान भइरहेको छ । लाइसेन्सका लागि यातयात व्यवस्था कार्यालय, बन्दिपुर गाउँपालिका४ विमलनगरमा ट्रायल परीक्षा भएको थियो ।"
"दुईपटक प्रधानमन्त्री बनिसकेकाले तेस्रोपटक बल गर्न हुन्न : महामन्त्री शर्मा","विराटनगर : नेपाली कांग्रेसका महामन्त्री विश्वप्रकाश शर्माले दुईपटक प्रधानमन्त्री भइसकेका व्यक्तिले तेस्रोपटकका लागि बल गर्न नहुने बताएका छन् । मोरङको विराटनगरस्थित एलिट क्लबमा बुधबार आयोजित एक कार्यक्रममा बोल्दै महामन्त्री शर्माले यस्तो बताएका हुन् । उनले कांग्रेस सभापति शेरबहादुर देउवा, नेकपा एमाले अध्यक्ष केपी शर्मा ओली र नेकपा माओवादी केन्द्रका अध्यक्षसमेत रहेका प्रधानमन्त्री पुष्पकमल दाहालले आगामी दिनका प्रधानमन्त्रीको शपथ ग्रहण लिनु राष्ट्रका लागि घातक हुने जिकिर गरे । तीनवटै दलका अध्यक्षले भाबी समयमा प्रधानमन्त्रीको दाबेदारी नगरे राष्ट्र समुन्नतिको बाटोमा अघि बढ्ने उनले दाबीसमेत गरे । उनले भने, राष्ट्रको हितका लागि तीनवटै ठूला दलले मार्ग प्रशस्त गरिदिनुपर्यो । युवापुस्तालाई अवसर दिनुपर्यो । त्यो राष्ट्रका लागि सुखद् हुन्छ । कार्यक्रममा बोल्दै महामन्त्री शर्माले मुलुकमा प्रधानमन्त्री दुईपटक, मन्त्री तीनपटक र सांसद मात्र चारपटक हुने व्यवस्था गर्नुपर्ने विषयमा जोड दिए । उनले अवस्था परिवर्तनका लागि व्यवस्था परिवर्तनमा जोड दिनुपर्ने धारणा व्यक्त गरे । अवस्था परिवर्तनको लागि आवश्यकताको आधारमा संविधान संशोधन गर्नुपर्ने भए त्यसमा पनि पछि हट्न नहुने उनले स्पष्ट पारे । अमेरिकाले अहिले संविधान परिमार्जन गर्दै अवस्था परिवर्तन गर्दैछ । हामी के हेरेर बसिरहेका छौं?,' उनले भने । फरक प्रसंगमा बोल्दै महामन्त्री शर्माले संघीयताको खारेजी वर्तमान समस्याको दीर्घकालीन समाधान नभएको जिकिर गरे । उनले गणतन्त्रको विकल्प उन्नत गणतन्त्र हो भनेर व्याख्यासमेत गरे । कपितयले संघीयतालाई खारेज गर्यो भने समस्याको समाधान हुन्छ भन्ने गरेका छन् । तर, त्यसो होइन, उनले भने, संघीयतालाई खारेज गरेर अर्थतन्त्र सुधार हुन्छ भन्नु गलत हो । संघीयताकै कारण सरकार खोज्न काठमाडौं जानुपर्छ भन्ने मानसिकतासमेत अन्त्य भएको दाबी गरे ।"
"हिउँले गोरखाको गुप्सीपाखा ढपक्कै","गोरखा : गोरखाको धार्चे गाउँपालिका४ गुप्सीपाखाको एकीकृत नमूनाबस्ती यतिबेला हिउँले ढपक्कै ढाकिएको छ । एउटै थुम्कामा एकै किसिमका ६१५ वटा घरहरू हिउँले ढाकिएपछि मनमोहक देखिएको छ । समुद्री सतहदेखि २७५० मिटर उचाइमा अवस्थित गुप्सीपाखामा दिउँसो साँढे २ बजेदेखिको हिमपातले बस्ती सेताम्मे भएको हो । यस वर्षको पहिलो पटक हिउँ परेपछि सो बस्तीका बासिन्दा खुसी छन् । पोहोर साल पनि हिउँ परेन । ढिलै भए पनि यसपटकचाहिँ पर्यो भनेर स्थानीयबासी खुसी छन्,' स्थानीय तुले गुरुङले भने, अझै ठूलो हिउँ परे बारीमा भर्खर उम्रिएको गहुँ, जौ सप्रिन्थ्यो भन्ने चाहना थियो, तर चाहेजति हिउँ अझै परेको छैन । उनका अनुसार अहिले गुप्सीबस्तीमा करिब दुई इन्चजति हिउँ जमेको छ । गुप्सीमा हिउँ परेपछि त्यस भेगका बारीहरूमा पानी बर्सने गर्थ्यो । तर अहिले हिउँ परे पनि पानी भने अझै परेको छैन । गहुँ, जौ सुकिसकेका थिए । अल्ली ठूलो हिउँ परेको भए एकदम राम्रो हुने थियो । अझै पर्छ कि?,' वडाध्यक्ष किसान गुरुङले भने । एकीकृत नमूना बस्तीमा हिउँ परेपछि दृश्यावलोकन गर्न विभिन्न ठाउँबाट मान्छेहरू आएका उनले बताए । पहिल्यै आएका विदेशी पर्यटकहरू हिउँ परेपछि बिछट्टै रमाएका छन् । वरिपरिका गाउँहरूबाट पनि हिमपात हेर्न आइपुगेका छन्,' वडाध्यक्ष गुरुङले भने, यहाँ लामो समयसम्म हिउँ रहने हुँदा पहिलेपहिले पनि धेरै ठाउँबाट आन्तरिक पर्यटकहरू आउने गर्थे, यसपटक पनि पक्कै आउलान् । २०७२ सालको भूकम्पले धार्चे ४ लाप्राकका सबै घरहरू क्षतिग्रस्त भएपछि एनआरएनएले यहाँ एकीकृत नमूना बस्ती निर्माण गरेको थियो । बुधबार दिउसोदेखि उत्तरी गोरखाको साम्दो, सामागाउँ, ल्हो, स्याला, चुम्चेत, छेकम्पारका गाउँबस्तीहरुमा पनि हिउँ पर्न थालेको छ । तीनहजार मिटर उचाइमा रहेको हाम्रो छुले गाउँमा साँझतिरबाट हिउँ पर्न सुरु गरेको छ,' स्थानीय भू छेदेनले भने, लामो समय भएको थियो, हिउँ नपरेको, अब राम्ररी पर्छ कि भन्ने आशा छ । हिमपात धेरै दृष्टिकोणले राम्रो हुने उनले बताए ।"
