"शीर्षक","विवरण"
"दुई दिनदेखि धनगढीको हवाई सेवा अवरुद्ध","धनगढी : धनगढीको मौसममा आएको खराबीका कारण दुई दिनदेखि हवाई सेवा प्रभावित भएको छ । बाक्लो हुस्सुका कारण शनिबार धनगढीकाठमाडौंको कुनै पनि उडान भएन भने शुक्रबार धनगढीकाठमाडौं एउटामात्र उडान भएको थियो । ल्यान्डिङका लागि विमानस्थल नखुलेका कारण काठमाडौंबाट उडने ६ वटा उडानहरू रद्द भएका हुन् । श्री एयरलाइन्सको बिहीबार देखि धनगढीमै रहेको जहाज मात्रै शुक्रबार दिउसो काठमाडौंका लागि उडेको हो । शुक्रबार पनि विहान ७:१५ बजेको उडान तालिकामा रहेको जहाज बाक्लो हुस्सुका कारण विमानस्थल नखुलेपछि दिउँसो १ बजेपछि मात्रै उडेको श्री एयरलाइन्सका धनगढी शाखा म्यानेजर गजेन्द्र शाहीले बताए । धनगढीबाट उडान भर्नका लागि भने एक हजार मिटरसम्म विमानस्थल आँखाले देखिने हुनुपर्छ भने जहाज अवतरणका लागि कम्तीमा पनि १७ सय मीटरसम्म देखिने वातावरण चाहिन्छ । शुक्रबार अवतरणका लागि आवश्यक १७ सय मिटर नपुगेकाले काठमाडौंबाट कुनै पनि जहाज धनगढी नआएको विमानस्थलका टावर प्रमुख दिपक भट्टले जानकारी दिए । शनिबार पनि बाक्लो हुस्सुका कारण विमानस्थल खुलेका छैन । विमानस्थल नखुलेपछि काठमाडौंबाट धनगढीका लागि उडने सबै ६ वटा उडानहरु रद्द भएका छन् । बुद्ध एयरका २ वटा र श्री एयरका ४ वटा गरी सबै उडान रद्द भएका विमानस्थलले जनाएको छ ।"
"कृष्णपुरका श्याम देउवा मृत्यु प्रकरणमा तीन टोलीले अनुसन्धान गर्दै","धनगढी : अत्तरियाको सौगात दोहोरी साँझमा झगडा भएपछि मृत अवस्थामा भेटिएका कञ्चनपुरको कृष्णपुर नगरपालिका५ गुलरियाका ४२ वर्षीय देउवाको मृत्यु प्रकरणमा नेपाल प्रहरी प्रदेश कार्यालयले पनि अनुसन्धान थालेको छ । अपराध अनुसन्धानको मात्रै जिम्मेवारी पाएको र संघ सरकार मातहत रहेको नेपाल प्रहरी प्रदेश प्रहरी कार्यालय कञ्चनपुरले प्रहरी निरीक्षक नरपति भट्टको नेतृत्वमा अनुसन्धान टोली खटाएको हो । हामीले प्रहरी निरीक्षक नरपती भट्टको नेतृत्वमा टोली परिचालित गरेका छौं । अनुसन्धानको धेरै पाटो हेरिएको छ । पक्राउ परेका ६ जनाकै पोलीग्राफ परीक्षण पनि भइसकेको छ,' नेपाल प्रहरी प्रदेश कार्यालय कञ्चनपुरका प्रमुख तथा प्रहरी वरिष्ठ उपरीक्षक दिलीप सिंह देउवाले भने, धेरै कुरा खुल्दै गएको छ । यसअघि इलाका प्रहरी कार्यालय मालाखेतीले प्रहरी निरीक्षक रविन्द्र कठायतको नेतृत्वमा अनुसन्धान टोली खटाएको छ भने जिल्ला प्रहरी कार्यालय कैलालीले पनि प्रहरी निरीक्षक उपेन्द्र बमको नेतृत्वमा अनुसन्धान टोली परिचालन गरेको छ । 'इलाका प्रहरी कार्यालय मालाखेतीको टोली र जिल्लाको टोलीलाई हाम्रो टोलीले प्राविधिक सहयोग गर्छ,' प्रहरी वरिष्ठ उपरीक्षक देउवाले भने । पुस २५ गते कैलालीको अत्तरियामा रहेको सौगात दोहोरी साँझमा लफडापछि राति घर जाने भनेर निस्किएका कञ्चनपुरको कृष्णपुर नगरपालिका५ गुलरियाका ४२ वर्षीय देउवा पुस २६ गते घाईते अवस्थामा फेला परेका थिए । उनको धनगढीको निसर्ग अस्पतालमा उपचारका क्रममा पुस २६ गते नै मृत्यु भएको थियो । शरिरभरि घाउ भएको अवस्थामा घाइते फेला परेका देउवाको मृत्यु भएपछि आफन्तहरूले ६ जनाविरुद्ध किटानी जाहेरी दिएका थिए । आफन्तको जाहेरीका आधारमा प्रहरीले कृष्णपुर नगरपालिका वडा नम्बर ४ का टेक बहादुर नायक, वडा नम्बर ९ का रामबहादुर ऐर, गोदावरी नगरपालिका वडा नम्बर १ का विनोद शाह, वडा नम्बर १ कै उमेश बढैला, यज्ञ विक र गोदावरी ६ का प्रकाश ओलीलाई अनुसन्धानका लागि पक्राउ गरेको छ । दोहोरी साँझको सीसी क्यामेराको फुटेज नियन्त्रणमा लिए पनि त्यहाँ सामान्य भनाभन बाहेक नदेखिएपछि घटना झनझन रहस्यमयी बन्दै गएको छ ।"
"नेपालगन्ज कप राष्ट्रिय ब्याडमिन्टनको उपाधि प्रिन्स र रसिलालाई","नेपालगन्ज : प्रथम नेपालगन्ज कप राष्ट्रिय ब्याडमिन्टन प्रतियोगिताको उपाधि एपीएफका प्रिन्स दाहालले जितेका छन् । बाँके जिल्ला व्याडमिन्टन संघको आयोजना तथा प्रदेश खेलकुद परिषद् लुम्बिनी प्रदेशको मुख्य प्रायोजनमा सञ्चालित प्रतियोगिताको शनिबार नेपालगन्ज रंगशालास्थित कबर्ड हलमा सम्पन्न फाइनल खेलमा त्रिभुवन आर्मी क्लबका कविर केसीलाई २१७ र २११४ को सोझो सेटमा पराजित गर्दै दाहाल उपाधि हात पार्न सफल भएका हुन् । नेपाल प्रहरीका जीवन आचार्य र एपीएफका अमन महर्जन तेस्रो भए । त्यसैगरी महिला एकलतर्फ त्रिभुवन आर्मी क्लबकी रसिला महर्जनले एपीएफकी शोभा गौचनलाई २११०, २१८ को सोझो दुई सेटमा पराजित गर्दै उपाधि जितेकी छन् । नेपाल प्रहरी नीता लम्साल र कैलालीकी एलिना सुनार तेस्रो भइन् । त्यस्तै पुरुष युगलतर्फ एपीएफका प्रिन्स दाहाल र विजित थापामगरको जोडी प्रथम भयो । सो जोडीले एपीएफका क्षितिज खनाल र देवराज रानाको जोडीलाई २११४, २१११ को सोझो दुई सेटमा पराजित गरेको थियो । एपीएफका अमन महर्जन र रोशन साउदको जोडी तथा नेपाल प्रहरीका जीवन आचार्य र विष्णु कटवालको जोडी तेस्रो भयो । त्यसैगरी पुरुष युगल (बी लेभल) तर्फ सुर्खेतका राजेन्द्र बम र खगेन्द्र खत्रीको जोडी प्रथम भयो । सो जोडीले सेमिफाइननलमा धनगढीका भरत चन्द र दिनेश थापामगरको जोडीलाई २११७, २३२१ ले पराजित गरेको थियो । नेपाल प्रहरीका चक्रबहादुर डम्बरपाल र अविक श्रेष्ठको जोडी तथा गुलरियाका शरद खड्का र अनुपम न्यौपानेको जोडी तेस्रो भए । त्यस्तै पुरुष युगल (भेट्रान्स ४५ प्लस) तर्फ बाँकेको जयन्त श्रेष्ठ र अनिल लाखेको जोडी प्रथम भयो । श्रेष्ठ र लाखेको जोडीले होटल स्टारलाइटका हरि खत्री र राजकुमार पोखरेलको जोडीलाई २२२०, २११६ सोझो सेटमा पराजित गरेको थियो । बुटवलका वीरेन्द्र विष्ट र रितेश थापाको जोडी तथा बाँकेका अरुण गौतम र अभयलाल श्रेष्ठको जोडी तेस्रो भए । पुरुष एकलका विजेतालाई नगद ७० हजार, दोस्रोले ३५ हजार तथा तेस्रो हुनेले १५१५ हजार नगद प्रदान गरियो । महिला एकलका विजेताले ६० हजार, दोस्रो हुनेले ३० हजार तथा तेस्रो हुनेले १५१५ हजार प्राप्त गरे । पुरुष युगलका विजेताले नगद ५० हजार, दोस्रोले २५ हजार तथा तेस्रो हुनेले १५१५ हजार प्रदान गरियो । त्यस्तै पुरुष युगल (बी लेभल) ले ३० हजार, दोस्रोले २० हजार तथा तेस्रो हुनेले १०१० हजार पाए । यसैगरी पुरुष युगल (भेट्रान्स ४५ प्लस)का विजेताले ३० हजार, दोस्रोले २० हजार तथा तेस्रो हुनेले १०१० हजार रुपैयाँ प्रदान गरेको आयोजक बाँके जिल्ला ब्याडमिन्टन संघका अध्यक्ष संजय थापाले जानकारी दिए । समापन समारोहमा लुम्बिनी प्रदेश सभा सदस्य जन्मजय तिमिल्सिना, बाँकेका प्रमुख जिल्ला अधिकारी श्रवणकुमार पोखरेल, प्रदेश खेलकुद परिषद् लुम्बिनी प्रदेशका सदस्य सचिव जयप्रकाश भट्टराई, नेपालगन्ज उपमहानगरपालिकाका उपप्रमुख कमरुद्दिन राई, प्रदेश खेलकुद परिषद् लुम्बिनी प्रदेशका सदस्य नरेन्द्र थापा, जिल्ला खेलकुद विकास समिति बाँकेका अध्यक्ष सन्दिपजंग शाह, प्रमुख रेफ्री किरण करञ्जितलगायतले विजेता खेलाडीलाई ट्रफी, मेडल र प्रमाणपत्रसहित नगद पुरस्कार प्रदान गरेका थिए । नकआउट आधारमा भएको प्रतियोगितामा विभागीय टोली त्रिभुवन आर्मी क्लब, एपीएफ तथा नेपाल पुलिससहितका राष्ट्रिय तथा अन्तर्राष्ट्रिय करिव २ सय ५० जना खेलाडीको सहभागिता रहेको थियो ।"
"व्यवसायीलाई अर्थमन्त्रीको सुझाव प्रतिफल हुने व्यवसाय गर्नुस्","नुवाकोट : अर्थमन्त्री प्रकाशशरण महतले बाँझो रहेका खेतीयोग्य जमिनमा प्राकृतिक र अर्गानिक खेती प्रणाली सुरु गर्नुपर्ने बताएका छन् । नयाँ र मिठो खोज्दै जाँदा विभिन्न रोगव्याधीले आक्रमण गरिरहेको अहिलेको अवस्थामा प्राकृतिक र अर्गानिक खेतीतर्फ आकर्षित हुनुपर्ने उनको भनाइ छ । नुवाकोटको विदुरमा शनिबार आयोजित कार्यक्रममा अर्थमन्त्री महतले नुवाकोटका अधिकांश जमिन खेतीयोग्य हुँदाहुँदै पनि बाँझो भइरहेको बताए । उनले किसानहरूले खेती गरेर आत्मनिर्भर हुनुपर्ने योजना आवश्यक रहेको बताए । नुवाकोटबाटै मध्यपहाडी सडक मार्ग, सात तले दरबार राष्ट्रिय संग्रहालय, केन्द्रीय कारगार निर्माण भइरहेका कारण पर्यटन र अर्गानिक कृषि प्रणालीलाई स्थानीय, प्रदेश र संघीय सरकारले अवलम्बन गर्नुपर्ने उनले बताए । पर्यटन, विकास र निर्माणका गतिविधिले नुवाकोटमा स्वरोजगारी र उद्यमका विविध कार्य बढिरहेको दाबी गर्दै उनले युवा पलायनको अवस्थामा रोक्न प्राकृतिक र अर्गानिक खेती प्रणाली सुरु गरिनुपर्नेमा जोड दिए । उनले गलछीविदुररसुवागढी सडकमार्ग छिटोभन्दा छिटो निर्माण सक्न सम्बन्धित निकायलाई निर्देशनसमेत दिए । अर्थमन्त्री महतले अब घरजग्गाभन्दा पनि आयोजना धितो राखेर कर्जा दिने प्रवृत्तिको विकास गर्नुपर्नेमा जोड दिए । डा महतले बैंकहरू अब प्रोजेक्ट वेस कर्जा विस्तारमा जानुपर्ने बताए । उनले अहिले वित्तीय क्षेत्रमा समस्या देखिएको बताए । समग्ररूपमा हालः बैंकिङ लगानी उचित ठाउँमा नभए पाइएको डा महतले आरोप लगाए । उनले सेयर बजार र जग्गामा धेरै कर्जा विस्तार भएको र त्यो बेला ऋण लिएका ऋणीहरू अहिले समस्यामा परेको बताए । व्याजदर बढ्यो, तर प्रतिफल आएन,' उनले भने, ''क' वर्गका बैंकहरूले प्रोजेक्ट वेस कर्जा विस्तार गर्नुपर्छ । बैंकहरूले जस्तो पनि धितो राखेर ऋण दिँदा समस्या आएको छ । कोल्याट्रोल राखेर कर्जा प्रवाह गर्नु हुँदैन । उनले देशको अर्थतन्त्र सुधार भएको दाबी गरे । देशको अर्थतन्त्र सुधार भएका कारण सोहीअनुसार लगानी गर्नुपर्ने उनको भनाइ छ । उनले प्रतिफल आउने क्षेत्रमाा लगानी गर्न लगानीकर्तालाई सुझावसमेत दिए । लगानीकर्तालाई ढुक्क भएर लगानी गर्न र आम्दानी सम्भावना बोकेका नयाँ क्षेत्रमा लगानी गर्नुपर्ने उनको भनाइ छ । उनले लगानीका लागि सरकारले विश्वासको वातावरण बनाएकोसमेत बताए । 'अब केही दिनमै अर्थतन्त्रमा धेरै नै सुधार हुन्छ । देशको आर्थिक गतिविधि पहिलेको तुलनामा बढेको छ । लगानीकर्ताले पनि निर्धक्क लगानी गर्दा हुन्छ,' उनले भने ।"
"करिब ३ हजारलाई सहिद घोषणा गर्ने निर्णय गरिसकेका छौं : प्रधानमन्त्री दाहाल","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहालले जनताको संघर्षबाट प्राप्त परिवर्तनको रक्षाका निम्ति माओवादी घटकबीचको एकता अपरिहार्य रहेको बताएका छन् । माओवादी केन्द्रको पार्टी कार्यालयमा आयोजित कार्यक्रममा उनले माओवादी विचारधारामा छरिएर रहेका नेता तथा कार्यकर्तालाई एकताबद्ध हुन अपील गरे । 'देशभरका माओवादी आन्दोलनका सबै धारालाई एकताबद्ध हुन र एकढिक्का भएर काम गर्न अपील गर्दछु,' उनले भने । विभाजित भएर लक्ष्यमा पुग्न नसिकनेतर्फ संकेत गर्दै उनले जनयुद्धका सहिद, बेपत्ता तथा घाइतेलाई राज्यले सम्बोधन गर्ने र घाइतेको वर्गीकरण गरिने प्रतिबद्धता जनाए । प्रधानमन्त्री दाहालले सरकारले थप ३ हजार जनालाई सहिद घोषणा गरेको र उनीहरुको नाम छिट्टै राजपत्रमा प्रकाशित गरिने बताए । 'झण्डै ३ हजार छुटेकाहरूको सहिद घोषणा फेरि क्याबिनेटबाट निर्णय भइसकेको छ । गृह मन्त्रालयबाट प्रमाणित भइसकेको छ । त्यो राजपत्रमा प्रकाशित गर्नका लागि अगाडि बढिसकेको छ,' उनले भने । उनले सहिद, बेपत्ता तथा घाइतेका परिवारलाई राज्यले सहयोग गरेको र त्यसलाई सिंगो पार्टी पङ्क्तिले आत्मबोध गर्नुपर्ने बताए । सहिदलाई विभाजन गर्न नहुने भन्ने मनसायअनुसार प्रतिष्ठान एकताबद्ध रहेको उल्लेख गर्दै उनले अब सबै माओवादी विचारधारा केन्द्रिकृत हुने बताए । 'समान त्याग र बलिदान गरेकाहरु एउटै केन्द्रमा आबद्ध हुने अवस्था आउँदैछ, वैज्ञानिक समाजवादका उद्देश्य बोकेका सबैलाई एकै ठाउँमा ल्याउन प्रतिष्ठानको पनि प्रयास होस्,' उनले भने, 'त्यही एकताको पाटोबाट नयाँ पुस्ताको नेतृत्व पैदा हुनेछ ।' माओवादी पार्टी तथा आफ्नो नेतृत्वले गरेका सकारात्मक कामलाई जनतासमक्ष पुर्याउन आग्रह गर्दै उनले सरकारले थालनी गरेको आर्थिक समृद्धि, सुशासन र सामाजिक न्यायका कामले जनतामा आशा जगाउन सफल भएको बताए । शान्ति प्रक्रियाका बाँकी काम चाँडै सम्पन्न गर्न सरकार क्रियाशील रहेको उल्लेख गर्दै प्रधानमन्त्रीले सङ्क्रमणकालीन न्यायसँग सम्बन्धित विधेयक सहमतिमै टुंगिने बताए ।"
"नेशनल इन्फोटेकले जित्यो अन्तर कलेज टी२० को उपाधि","वीरगन्ज : आयोजक नेशनल इन्फोटेक कलेजले एनआई कप अन्तर कलेज टी२० क्रिकेटको उपाधि जितेको छ । वीरगन्जको नारायणी रंगशालाको क्रिकेट मैदानमा शनिबार भएको फाइनल खेलमा ग्लोबल बिजनेश कलेजलाई ६१ रनले पराजित गर्दै लगातार दोस्रोपटक उपाधि उचालेको हो । १०९ रनको लक्ष्य पछ्याउँदै जवाफी व्याटिङमा उत्रिएको ग्लोबल बिजनेस कलेजले १४१ ओभरमा अलआउट हुँदै ४७ रनमै समेटिएपछि उपाधि आयोजकको पोल्टामा पुग्यो । ग्लोबलका लागि विवेक यादवले १० र रोहन साहले ७ रन बनाउनु बाहेक अन्य व्याटरले खासै रन जोड्न सकेनन् । बलिङतर्फ आयोजक नेशनलका वासिम अली मन्सुरी र अरबाज अन्सारीले तीनतीन विकेट लिए । एमडी सरिफ अन्सारीले भने १ विकेट लिए । यसअघि टस जितेर पहिले व्याटिङ गरेको आयोजक नेशनलले १९५ ओभरमा अलआउट हुँदै १०८ रन बनाएको थियो । उसका लागि राहुल हकले सबैभन्दा बढी ३२ रन बनाए । सफवान अलीले २५ र वासिम अली मन्सुरीले २० रन जोडे । बलिङतर्फ ग्लोबलका आदर्श भण्डारी, रोहन कुमार साह, अनुज कुमार पटेल र विवेक यादवले समान दुईदुई र सुजल सर्राफले १ विकेट लिए । प्रतियोगितामा १७ विकेट लिन सफल आयोजक नेशनलकै वासिम अली मन्सुरी प्रतियोगिताको सर्वोत्कृष्ट खेलाडी घोषित भए । उत्कृष्ट ब्याटर नेशनलकै सफवान अली तथा उत्कृष्ट बलर हेटौंडा स्कुलका प्रिन्जल उपाध्याय घोषित भए । उत्कृष्ट फिल्डर ग्लोबल बिजनेश कलेजका आदर्श भण्डारी घोषित भए । उत्कृष्ट विकेट किपर हेटौंडा स्कुलका साहेब यादव घोषित भए ।"
"थ्रीस्टार आहा रारा गोल्डकपको सेमिफाइनलमा","काठमाडौं : थ्रीस्टार क्लब पोखरामा जारी आहा रारा पोखरा गोल्डकपको सेमिफाइनलमा प्रवेश गरेको छ । पोखरा रंगशालामा शनिबार भुटानको पारो फुटबल क्लबलाई अतिरिक्त समयमा दुई गोलले पराजित गरेपछि थ्रीस्टार सेमिफाइनलमा प्रवेश गरेको हो । निर्धारित ९० मिनेटको खेल बराबरीमा रोकिएपछि अतिरिक्त समयमा धकेलिएको थियो । थ्रीस्टारका अनिष चापागाईंले अतिरिक्त समयको २६ र २९औं मिनेटमा गोल गरेका थिए । प्रतियोगिताअन्तर्गत आइतबार साविक विजेता संकटा एफसी र विभागीय टोली त्रिभुवन आर्मीबीच हुने दोस्रो क्वाटरफाइनल हुनेछ । प्रतियोगिताका विजेताले १२ लाख एक हजार र उपविजेताले छ लाख एक हजार प्राप्त गर्ने आयोजक सहारा क्लबले जनाएको छ ।"
"माओवादीलाई १७ हजारको हत्यारा भन्ने बेइमानीपूर्ण भाष्य निर्माण गरिँदैछ : प्रधानमन्त्री","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहालले आफ्नो उदेश्यप्रति माओवादी पंक्ति उदाशीन देखिएको बताएका छन् । सहिद प्रतिष्ठान नेपालको १४औं वार्षिक साधारणसभालाई शनिबार माओवादी मुख्यालय पेरिसडाँडामा सम्बोधन गर्दै उनले अहिले खुलेआम माओवादी आन्दोलनलाई चुनौती दिँदा पनि प्रतिवाद गर्न नसकेको बताए । माओवादीलाई १७ हजारको हत्यारा भन्ने बेइमानीपूर्ण र झुट भाष्य बनाइएको र यसले सहिदहरूकै अपमान भएको उनले बताए । आफू प्रधानमन्त्री भएपछि सहिद, बेपत्ता तथा घाइतेका परिवारलाई राज्यले सहयोग गरेकाले त्यसलाई सिंगो पार्टी पंक्तिले आत्मबोध गर्नुपर्ने उनको भनाइ छ । प्रधानमन्त्री दाहालले सरकारले करिब ३ हजारलाई छिट्टै सहिद घोषणा गर्नका लागि प्रक्रिया अघि बढाएको भन्दै जनयुद्धका क्रममा ज्यान गुमाएका सबैलाई घोषणा गरिने जानकारी दिए । शान्ति प्रक्रियाका बाँकी काम चाँडै सम्पन्न गर्न सरकार क्रियाशील रहेको उल्लेख गर्दै उनले सङ्क्रमणकालीन न्यायसँग सम्बन्धित विधेयक सहमतिमै टुंगिने जिकिर गरे ।"
"देशलाई निकास दिन अगाडि सर्ने बेला आइसक्यो : पूर्वराजा शाह","वीरगन्ज : पूर्वराजा ज्ञानेन्द्र शाहले बढ्दो बेथिति र अन्यौलताबाट देशलाई निकास दिन अगाडि सर्ने बेला आइसकेको उद्घोष गरेका छन् । शनिबार वीरगन्जमा आयोजित स्वागत र नागरिक अभिनन्दन समारोहलाई सम्बोधन गर्दै पूर्वराजा शाहले घुमाउरो पारामा अब देशमा पुनः राजतन्त्रको आवश्यकता भइसकेको उद्घोष गरेका हुन् । मुलुकमा विद्यमान राजनीतिक अन्यौलता र अस्थितरताप्रति लक्षित सम्बोधनमा पूर्वराजा शाहले भने, २०६५ जेठ २९ मा आफ्नो गरिमापूर्ण राजपाठबाट वियुक्त हुनुपर्दा मैले त्यसबेला व्यक्त गरेको राष्ट्रप्रेम, राष्ट्रियता, प्रजातान्त्रिक प्रतिवद्धता तथा देश र जनताको उत्थानमा क्रियाशील हुने भावनालाई मैले अहिले सान्दर्भिकरूपमा सम्झिरहेको छु । राजतन्त्रको विदाईपछि गणतन्त्र स्थापना भएयताको पछिल्लो १५ वर्षको अवधिमा जनतामा असन्तोष, चिन्ता र आक्रोश छताछुल्ल भएको उनले बताए । उनले भने, राजदरबार परित्याग गर्दा २०६५ जेठ २९ गते नै मैले भनेकै थिएँ देशमै बसेर नेपालको बृहत्तर हित र शान्तिका लागि योगदान पुर्याउन चाहन्छु । स्वाभिमानी नेपालीको समग्र हित होस् कामना छ । हाम्रो राष्ट्रप्रेम र राष्ट्रिय सदाशयता कायम नरहँदा देशमा विषम परिस्थिति बढ्दै जान्छ । त्यस्तो विकृतिबाट आम जनातामा आक्रोश उत्पन्न हुन्छ भन्ने त्यतिखेरकै आँकलन हो । वितेका १५ वर्षपछि आज त्यही असन्तोष, चासो, चिन्ता र आक्रोश सर्वत्र छताछुल्ल भएको छ । आज पनि आफूहरूले देशमै रहेर देशको गौरवगाथा गाइरहेको तथा अहिले पनि देशको उन्नति, सबै देशबासीको विकास हुँदै जाओस् भन्ने भावना आफूहरूमा कायमै रहेको उनले बताए । आफ्नो मौलिकता र पहिचान गुमाएर देशलाई विभाजनको खाडलमा लगेर देशमा सनातनदेखि रहँदै आएको सुमधुर सामाजिक सम्बन्धलाई बिथोलेर देशको भलो नहुने उनको कथन थियो । त्यसैले राज्यव्यवस्था, राजनीतिक, अर्थ व्यवस्था र राजनीतिक दूरावास्था सबैको मूल्यांकन गरेर ती सबैको सुधार गरी सबैको विकास र सबै समस्याको निकासको बाटोमा अब अगाडि बढ्नुपर्ने बेला आइसकेको उनले बताए । पूर्वराजा शाहले राजदरबार हत्यकाण्डपछि आफूले ७ वर्षसम्म राष्ट्र प्रमुखको हैसियतामा आफ्नो दायित्व निर्वाह गरेको जिकिर गरे । तत्कालको अफ्ठ्यारो विषम परिस्थितिमा पनि देशको थप बर्बादी नहोस् र प्रजातन्त्रका मान्यता कायमै राखेर आफूले त्यसबेला राष्ट्रप्रमुखको जिम्मेवारी निभाएको उनले बताए । उनले भने, २०५८ मा घटेको विनाशकारी घटना हाम्रो परिवारका लागि कहालाग्दी थियो । तर त्यसबेला राजनीतिक जालझेल गरी हामी प्रति नेपालीको मनमा अनेक भ्रम र नकरात्मक भवाना फैलाइयो । हाम्रो परिवारलाई घातक प्रहार पनि भयो । तर, सत्य सधैं सत्य नै हुन्छ । असत्यको विजय कहिल्यै पनि हुँदैन । उनले थपे, देश बचाउन र बनाउनका लागि जनताका तर्फबाट निरन्तर आवाज हामीमाथि पनि आइरहेको छ । देशमा विद्यमान समस्याको निदान हामी आफैंबाट हुने हो । अरुले आएर गरिदिने होइन । तर, दुःखका साथ भन्नुपर्छ आज हाम्रो देश उजाड र खोक्रो बन्दै गइरहेको छ । यो अवस्थाको अन्त्य गर्नैपर्छ । यसका निम्ति अब सोच्ने बेला आएको छ । देशलाई झन् झन् बर्बादीतिर नलैजाऔं । उनले विभेद्, विखण्डन, विग्रह र निषेधको राजनीति त्याग्न अपील पनि गर्दै यसमै देश र देशबासीको भलो रहेको पनि बताए । पछिल्लो दुई तीन दशक यता अवसर र रोजगारीको अभावले तराईमधेसको जनशक्ति पातलिँदै गएको भन्दै चिन्ता व्यक्त गरे । उनले भने, मधेस उजाड बन्दै गइरहेको छ । मरुभूमीकरणतर्फ अग्रसर देखिन्छ । यो गम्भीर कूरा हो । रोजगारी र अवसर दिन नसक्दा हाम्रो जमिन, स्रोतसाधन सबै सुक्दै जनशक्ति पातलिँदै गएको छ । यो दुःखको कुरा हो । त्यसका लागि अब सबैले सोचौं ,समीक्षा गरौं ।'"
"नेपालभारतबीचको सम्बन्ध सुमधुर ढंगबाट अघि बढिरहेको छ : मन्त्री साउद","काठमाडौं : परराष्ट्रमन्त्री नारायणप्रकाश साउदले नेपालभारतबीचको सम्बन्ध सुमधुर र अद्वितीय ढंगबाट अघि बढिरहेको बताएका छन् । भारतको ७५औं गणतन्त्र दिवसका असरमा नेपालभारतमैत्री समाजद्वारा आयोजित कार्यक्रममा उनले जनस्तरमा समेत प्रगाढ रहेको सम्बन्धलाई थप सुमधुर तुल्याउन विभिन्न कालखण्डमा उठेका प्रश्नलाई वार्ता र छलफलका आधारमा निष्कर्षमा पुर्याइने बताए । 'दुई देशबीचको सन् १९५० को सन्धि र सीमा बहुआयामिक विषय भएकाले जनताका हित हुनेगरी वस्तुगत र व्यावहारिक भएर निर्णयमा पुग्नुपर्छ,' उनले भने । दुवै देश मित्रशक्ति भएकाले मिलेर जान नसकिने कुरा सोच्न पनि नसकिने बताउँदै उनले दुवै देशका सीमाक्षेत्रमा रहेका नागरिकप्रति असल व्यवहार र संस्कार प्रदान गर्न सीमा सुरक्षामा खटिएका सुरक्षाकर्मीलाई तालिम र प्रशिक्षणको खाँचो औंल्याए । परराष्ट्र मन्त्रालयको नेतृत्व सम्हालेपछि भएका भेटघाट र भ्रमणमा भारतीय नेताहरू र नागरिकमा नेपाल र नेपालीप्रति सहृदय देखेको बताउँदै मन्त्री साउदले सुस्ता र कालापानीका विषयमा पनि भारतीय पक्षले हार्दिकताकासाथ कार्यदलमार्फत् काम ठोस रूपमा अघि बढोस् भन्ने मनसाय आफूले पाएको बताए । 'नेपाल र भारत एउटै सांस्कृतिक विरासतमा रहेका मुलुक हुन् । दुई देशबीच सदियौं पुरानो अन्योन्याश्रित सम्बन्ध छ । भाषा, भूगोल र संस्कृतिले जोडेको छ, यो सम्बन्ध समृद्धि, विकास र शान्तिका लागि प्रयोग गरिनुपर्छ,' उनले भने । विगत ७५ वर्षमा आर्थिक विकास र समृद्धिका हिसाबले भारत विश्वका अन्य देशका लागि आदर्शकै रूपमा रहेको बताउँदै मन्त्री साउदले दुवै छिमेकी मुलुक आपसी हितका आधारमा सम्बन्धलाई थप अनुपम बनाएर अघि बढिरहेको उनको भनाइ छ ।"
