"शीर्षक","विवरण"
"नगरपालिकाको जिपको ठक्करबाट बालकको मृत्यु","नवलपरासी : नवलपरासी (बर्दघाट सुस्तापूर्व)को मध्यविन्दु नगरपालिका१५ मा जिपको ठक्करबाट ४ वर्षीय बालकको मृत्यु भएको छ । मध्यविन्दु नगरपालिकाको बा२झ २३१२ नं को जिपको ठक्करबाट ४ वर्षीय आदित्य माझीको मृत्यु भएको चोरमारा प्रहरी चौकीका सई ढाकाराम लामिछानेले बताए । दुर्घटनापछि प्रहरीले सवारी र चालकलाई नियन्त्रणमा लिएको प्रहरीले जनाएको छ । घटनाका विषयमा अनुसन्धान भइरहेको लामिछानेले बताए । मध्यविन्दु नगरपालिकाबाट फोहरमैला व्यवस्थापन केन्द्रको अनुगमनका लागि गएको बेला उक्त सवारी दुर्घटना भएको नगरपालिकाले जनाएको छ ।"
"""मटिहानीमा आगलागी","१० घर जलेर नष्ट"",""महोत्तरी : मटिहानी नगरपालिकामा आगलागी हुँदा १० घर जलेर नष्ट भएका छन् । आइतबार मटिहानी नगरपालिका वडा नं ६ स्थित जरलहवा गाछी बस्तीमा आगलागी हुँदा १० घर जलेर नष्ट भएका हुन् । दिउँसो १२ बजेतिर स्थानीय राजकिशोर मुखियाको घरमा लागेको आगो अनियन्त्रित हुँदा बेचनी खातुन,सदरे आलम शेष,गफार शेष,गफार शेषलगायतका घरहरू पूर्णरुपमा जलेर नष्ट भएका हुन् । आगलागीबाट करिब २५ लाख मूल्य बराबरको सरसामान जलेर नष्ट भएको मटिहानी नगरपालिका प्रमुख हरि प्रसाद मण्डलले बताएका छन् । आगलागी नियन्त्रणका लागि जलेश्वर नगरपालिका र रामगोपालपुर नगरपालिकाको बारुण यन्त्र,नेपाली सेना,नेपाल प्रहरी तथा सशस्त्र प्रहरीको टोलीलगायत स्थानीयको सहयोगमा दुई घण्टापछि नियन्त्रणमा आएको हो । यसैबीच आगलागी पीडितलाई तत्काल मटिहानी नगरपालिकाकोतर्फ सहयोगस्वरुप प्रति परिवार २५ किलो चामल,दाल,चिनी चिउरा र त्रिपाल वितरण गरिएको नगरप्रमुख मण्डलले जानकारी दिए ।"""
"तनहुँमा ५२ प्रतिशत मत खस्यो","तनहुँ : तनहुँ क्षेत्र नम्बर १ को उपनिर्वाचनमा ५२ प्रतिशत मत खसेको प्रारम्भिक अनुमान गरिएको छ । बिहानदेखि उत्साहजनक रूपमा भएको मतदान दिउँसो घाम लागेपछि पातलिएको थियो । जिल्ला निर्वाचन कार्यालय तनहुँका प्रमुख हरिप्रसाद ढकालका अनुसार ५२ प्रतिशत मतदान भएको प्रारम्भिक जानकारी गराइएको छ । उनले भने हामी अहिले डेटा संकलन गर्दर्छौँ । प्रारम्भिकमा ५० देखि ५२ प्रतिशत मत खसेको आंकलन गरेका छौँ । ठ्याक्कै तथ्यांक केहीबेरमा जानकारी गराउनेछौँ । गत मंसिरमा भएको निर्वाचनमा ५४ प्रतिशत मत खसेको थियो । ६९ मतदानस्थल रहेको यस क्षेत्रको १५२ मतदान केन्द्रमा शान्तिपूर्ण र सौहार्द वातावरणमा मतदान भएको हो । यस क्षेत्रमा १ लाख २३ हजार ३०५ जना मतदाता रहेका छन् । मतदान गराउन ७ सय ६० कर्मचारी खटिएका थिए । सवै मतदान केन्द्रबाट मतपेटिका ल्याएपछि सर्वदलिय बैठक बसेर मतगणनाको समय तोकिने प्रमुख ढकालले बताए । उनका अनुसार कोटा, वैडी, छिपछिपे, व्यास तथा भानुका उपल्लो भेगबाट राति १२ बजेसम्म मतपेटिका आइपुग्ने छ ।"
"""थप ८१ जनामा कोरोना पुष्टि","सक्रिय संक्रमित ३७०"",काठमाडौं : थप ८१ जनामा कोरोना भाइरस संक्रमण पुष्टि भएको छ । पछिल्लो २४ घन्टामा देशभरबाट १३०६ नमूना परीक्षण गर्दा ८१ जनामा संक्रमण पुष्टि भएको स्वास्थ्य तथा जनसंख्या मन्त्रालयले जनाएको छ । मन्त्रालयका अनुसार पीसीआर विधिबाट ३७० र एन्टीजेनबाट ९३६ नमुना परीक्षण गर्दा पीसीआरबाट ४१ र एन्टिजेनबाट ४० को रिपोर्ट पोजिटिभ आएको हो । यो अवधिमा ५४ जना संक्रमित निको भएका छन् । हाल सक्रिय कोरोना संक्रमितको संख्या ३७० पुगेको छ । मन्त्रालयका अनुसार यसमा आरटी पीसीआरको तथ्यांक मात्र समावेश गरिएको छ ।"
"दोस्रो विश्वयुद्धको जहाज ८० वर्षपछि फेला","वाशिङ्टन : दोस्रो विश्वयुद्धमा प्रयोग भएको जापानी जहाज ८० वर्षपछि परेको छ । भ्वाइस अफ अमेरिकाले उल्लेख गरेअनुसार उक्त जापानी पानी जहाजमा एक हजारभन्दा बढी यात्रु सवार रहेको बताइएको छ । सन् १९४२ मा पपुवा न्युगिनीमा ८५० जना युद्धबन्दी र करिब २०० नागरिक बोकेको जापानी जहाज मोन्टेभिडियो मारुको भग्नावशेषमा जापानीले पपुवा न्युगिनीमा कब्जा गरेका थिए । जहाजमा को को थिए भन्ने थाहा नभएपछि जहाजलाई पानीमै डुबाइएको थियो । जहाजको भग्नावशेष यसै साताको सुरुमा फिलिपिन्सको दक्षिणी चीन सागरमा भेटिएको थियो । यो मिसन अष्ट्रेलियाको रक्षा मन्त्रालय, अष्ट्रेलियाको साइलेन्टवर्ल्ड फाउन्डेसनका समुद्री पुरातत्वविद् र डच गहिरो समुद्री सर्वेक्षण कम्पनी फुग्रोका विज्ञको संयुक्त प्रयासमा अघि बढाइएको थियो । त्यसपछि यसै महिनाको सुरुमा फिलिपिन्सको तटमा खोजी अभियान सुरु गरिएको थियो । अष्ट्रेलियाको रक्षा मन्त्रालयको सहयोगमा समुद्री पुरातत्व र इतिहास तथा फुग्रोलाई समर्पित साइलेन्टवर्ल्ड फाउन्डेशनले सँगै राखेको मिसनमा भग्नावशेष पत्ता लगाइएको थियो । मोन्टेभिडियो मारुबाट कुनै वस्तु वा मानव अवशेष नहटाइने बताइएको छ । नयाँ खोजमा प्रतिक्रिया दिँदै अस्ट्रेलियाका उपप्रधानमन्त्री रिचर्ड मार्ल्सले ट्वीटमा उल्लेख गरेका छन्, '८० वर्षभन्दा बढी समयदेखि, सयौँ अष्ट्रेलियाली परिवारले मोन्टेभिडियो मारुको समाचारको लागि पर्खिरहेका छन् । यो हप्ता एक असाधारण खोज प्रयासको लागि सम्बद्ध सबैलाई धन्यवाद, जहाजको अन्तिम विश्राम स्थान पत्ता लगाइएको छ ।'"
"""पाँचथरको फालेलुङमा आगलागी","तीन घर जलेर नष्ट"",""फिदिम : पाँचथरको फालेलुङ गाउँपालिका३ थकेपुङमा आगलागी हुँदा तीन घर जलेर खरानी भएका छन् । आइतबार दिउँसो भएको उक्त आगलागीबाट ५४ लाख ३० हजार बराबरको क्षति भएको प्रारम्भिक अनुमान गरिएको छ । महेन्द्र मादेन, कृष्ण मादेन र मनबहादुर मादेनको घरमा आगलागी भएको हो । महेन्द्रको घरबाट सुरु भएको आगोले उनका दाजुहरू कृष्ण र मनबहादुरको घर समेत खरानी बनाएको जिल्ला प्रहरी कार्यालय पाँचथरका प्रहरी नायब उपरीक्षक हरी खतिवडाले जानकारी दिए । आगलागीबाट महेन्द्रको २२ लाख ७५ हजार, कृष्णको ३१ लाख पाँच हजार र मनबहादुरको ५० हजार मूल्य बराबरको घरसहित धनमाल जलेर नष्ट भएको प्रारम्भिक अनुमान छ । दिउँसो २ बजेबाट सुरु भएको आगलागी नियन्त्रणका लागि इलाका प्रहरी कार्यालय मेमेङका प्रहरी नायव निरीक्षक बेदबहादुर खड्काको कमाण्डमा प्रहरी टोली खटेको थियो । प्रहरी र स्थानीयले दिउँसो तीन बजे आगो नियन्त्रणमा लिएको प्रहरीको भनाइ छ ।"""
"चितवन २ का मतदातामा देखिएन उत्साह","चितवन : चितवन क्षेत्र नं २ मा पाँच महिनापछि भएको उपनिर्वाचनमा खासै उत्साह देखिएन । मंसिरमा भएको निर्वाचनको तुलनामा यसपटक कम मत खस्यो । यसपटक उपनिर्वाचनमा ६३ प्रतिशतमात्र मत खसेको सहायक निर्वाचन अधिकृत ईश्वर आचार्यले बताए । गत मंसिरमा ६७६३ प्रतिशत मत खसेको थियो । सर्वसाधारणहरू चर्को घाममा लाइन बसेर मतदान गरेका थिए । बाहिरी जिल्लामा भएकाहरू खासै चितवन फर्किएनन् । अत्यधिक गर्मीका कारण पनि विहानै मतदाताको भिड लागेको थियो । निर्वाचनका बेला गरिने चुनावी घोषणा पत्र अनुसार काम नभएपछि मतदातामा निराशा उत्पन्न भएको छ । निर्वाचनपछि मुलुक र जनताको काममा खासै परिवर्तन नभएको गुनासो गरेका थिए । ४३ स्थलका १३८ केन्द्रमा मतदान भएको थियो । यो क्षेत्रमा एक लाख २४ हजार ६९५ मतदाता छन् । चितवन उद्योग संघको अन्तर्राष्ट्रिय प्रदर्शनी केन्द्रमा मतगणना हुँदैछ । राति मतपेटिका संकलन गरेर सर्वदलीय बैठक राखेको थियो । चितवन२ मा त्यहाँबाट निर्वाचित रवि लामिछानेको सांसद पद उनको नागरिकता विवादमा सर्वोच्च अदालतले खारेज गरिदिएपछि पुनः चुनाव भएको हो । लामिछाने फेरि उमेदवार बनेका छन् । त्यस्तै कांग्रेसका जितनारायण श्रेष्ठ, एमालेका रामप्रसाद न्यौपानेसहित २२ जना उमेदवार छन् ।"
"निर्वाचन आचारसंहिता उल्लंघन गरेको भन्दै रवि लामिछाने विरुद्ध उजुरी","चितवन : चितवन निर्वाचन क्षेत्र नम्बर २ को उपनिर्वाचनमा राष्ट्रिय स्वतन्त्र पार्टी रास्वपा र पार्टी सभापति रवि लामिछाने विरुद्ध मुख्य निर्वाचन अधिकृतको कार्यालयमा उजुरी परेको छ । निर्वाचन आचारसंहिता उल्लंघन गरेको भन्दै रास्वपा र पार्टी सभापति लामिछानेविरुद्ध उजुरी परेको हो । नेपाली कांग्रेसका उम्मेदवार जितनारायण श्रेष्ठका प्रतिनिधि ध्रवराज पोखरेलले उजुरी दर्ता गराएका हुन् । उजुरीपत्रमा भनिएको छ,निर्वाचन प्रक्रिया सुचारु भइरहेको अवस्थामा सामाजिक सञ्जाल र अनलाइन मिडियाबाट राष्ट्रिय स्वतन्त्र पार्टीका उम्मेदवार रवि लामिछानेले मत मागेको अडियोभिडियो सार्वजनिक भएको छ । आचारसंहिता विपरीत राष्ट्रिय स्वतन्त्र पार्टीका उम्मेदवार रवि लामिछानेले विभिन्न मतदान स्थलमा हुलहुज्जत गर्नेगराउने गरी मतदातालाई प्रभावित पारेको छ । उजुरीपत्रमा विभिन्न मतदान स्थलमा प्रमुख जिल्ला अधिकारीको ठाडो निर्देशनमा सुरक्षाकर्मीहरूबाट एक पक्षीय ढंगबाट मतदाता र मतदान प्रतिनिधिहरूमाथि लाठी चार्ज गर्ने र मतदातालाई भयभित गर्नेगराउने गरेको उल्लेख छ । उजुरी पत्रमा भनिएको छ, निर्वाचन क्षेत्र नं २ अन्तर्गतको नयाँ किरण मावि भोजाड मतदान स्थलमा असहज परिस्थिति सिर्जना भएकाले मतदान स्थगित भए पछि बसेको मतदान अधिकृत र सम्बन्धित राजनीतिक दल (राष्ट्रिय स्वतन्त्र पार्टी समेत) का प्रतिनिधिहरूको संयुक्त बैठकले राष्ट्रिय स्वतन्त्र पार्टी र राष्ट्रिय स्वतन्त्र पार्टीका उम्मेदवारले आचारसंहिताको उल्लंघन गरेको स्वीकार गर्दै कारबाहीका लागि सिफारिस गर्ने निर्णय गरेको भएको छ ।"
"श्रीमतीको हत्या गरेको आरोपमा पक्राउ","दाङ : दाङमा श्रीमतीलाई हत्या गरी फरार रहेका श्रीमानलाई प्रहरीले पक्राउ गरी सार्वजनिक गरेको छ । प्रहरीले घोराही उपमहानगरपालिका१२ रतनपुरका ४१ वर्षीय मेघराज खत्रीलाई पक्राउ गरी सार्वजनिक गरेको हो । पक्राउ परेका खत्रीले गत वैशाख १ गते राती १० बजेको समयमा आफ्नी ४० वर्षीया श्रीमती शारदा कुमारी खत्रीको हत्या गरी घर नजिकै बारीमा पुरेका थिए । स्थानीयले गाडिएको अवस्थामा महिलाको पैतला देखेपछि प्रहरीलाई खबर गरेका थिए । घटनापछि खत्री फरार रहेका थिए । छिमेकीहरूसँगको सोधपुछका आधारमा खोज तलास गर्ने क्रममा घोराही उपमहानगरपालिका३ भानपुर नजिकै जंगलमा लुकिछिपी बसेको अवस्थामा गत वैशाख ८ गते राति साढे ९ बजे प्रहरीले उनलाई पक्राउ गरेको थियो । सोधपुछका क्रममा खत्रीले श्रीमतीसँगको विवादमा आफूले मुक्का र अन्य चिजबाट हत्या गरी बारीमा गाडेको स्वीकार गरेको जिल्ला प्रहरी कार्यालय दाङका प्रहरी नायव उपरीक्षक राजन गौतमले जानकारी दिए । खत्रीलाई ५ दिनको म्याद थप गरी अनुसन्धान भइरहेको गौतमले बताए ।"
"""बारा२ मा मंसिरको भन्दा बढी मतदान","गठबन्धनले बुथ कब्जा गरेको आरोप"",""दिवाकर भण्डारीक्रान्ति साह कलैया : बारा क्षेत्र नं २ मा आइतबार भएको उपनिर्वाचनमा मंसिर ४ मा खसेको भन्दा बढी मतदान भएको छ । जिल्ला निर्वाचन कार्यालयले दिएको जानकारीअनुसार उपनिर्वाचनमा ६५ प्रतिशत मत खसेको छ । यसअघि मंसिर ४ गते सम्पन्न निर्वाचनमा ६३ प्रतिशत मत खसेको थियो । जिल्ला निर्वाचन कार्यालय बाराका प्रमुख सरोज चौधरीले दुई प्रतिशत मत बढी खसेको जानकारी दिए । जिल्लाको ६ वटा स्थानीय तहको ४४ वटा वडा रहेको यस निर्वाचन क्षेत्रमा एक लाख पाँच हजार दुई सय ४८ मतदाता रहेका थिए । उक्त मतदाताबाट ६८ हजार आठ सय ८७ मत खसेको र शान्तिपूर्णरूपमा मतदान सम्पन्न भएको मुख्य निर्वाचन अधिकृत मुकेश उपाध्यायले जानकारी दिएका छन् । उपाध्यायले निर्वाचन क्षेत्रको कुनै पनि स्थानमा विवाद नभएको बताए । उपाध्यायले विवादरहित ढंगले निर्वाचन सम्पन्न भएको बताए पनि केही मतदान केन्द्रमा भने विवादको स्थिति देखिएको थियो । देवताल गाँउपालिका७ पिपरपाती जब्दी मतदान केन्द्रमा नक्कली मतपत्रसहित जनता समाजवादी पार्टीका नेता रामसागर यादव पक्राउ पर्दा केही समय मतदान रोकिन पुगेको थियो । यादवले मत खसाल्ने क्रममा खल्तीबाट अर्को मतपत्र झिक्दै मतपेटिकामा खसाल्ने क्रममा प्रहरीले उनलाई नियन्त्रणमा लिएका थिए । उनलाई नियन्त्रणमा लिएलगत्तै जसपाका नेताकार्यकर्ताले विरोध जनाएका थिए । सो क्रममा केही समय विवाद भएको थियो । नेपाल प्रहरी, नेपाली सेना र सशस्त्र प्रहरीको टोलीले यादवलाई नियन्त्रणमा लिएर जिल्ला प्रहरी कार्यालय बारामा लगेको थियो । निर्वाचन सम्पन्न भएपछि यादवलाई रिहा गरिएको बाराका प्रहरी उपरीक्षक होबिन्द्र बोगटीले जानकारी दिए । मतदानको क्रममा निर्वाचन क्षेत्रबाट अन्य तीन जनासमेत पक्राउ परेका थिए । मतदान आचारसंहिता विपरित गतिविधि गरेको भन्दै प्रहरीले उनिहरुलाई नियन्त्रणमा लिएको हो । पक्राउ परेका उनीहरूसमेत रिहा भएका छन् । निर्वाचन क्षेत्रको उत्तरी क्षेत्रमा भन्दा दक्षिणी क्षेत्रको केही मतदान केन्द्रमा विवाद भएको थियो । त्यस्तै महागढीमाई नगरपालिका२ को इनर्वास्थित मतदान केन्द्रमा भने मतदान अधिकृतले नै सञ्चारकर्मीलाई मतदान केन्द्र परिसरमा प्रवेश गर्न रोक लगाएका थिए । त्यही क्रममा त्यहा रहेका जसपाका नेता कार्यताहरूले सञ्चारकर्मीमाथि हुलहुज्जत गरी दुर्व्यवहार गरेका थिए । त्यसैगरी मतदानका क्रममा पाँच दलीय गठबन्धनले सत्ताको दुरुपयोग गरेको जनमत पार्टीका अध्यक्ष डा सिके राउतले आरोप लगाएका छन् । विभिन्न मतदान केन्द्रमा अनुगमनका क्रममा पुग्दा प्रहरीले घेराबन्दीमा पार्दै मतदान स्थलसम्म पुग्न नदिएको आरोप राउतले लगाए । जसपाका नेता कार्यकर्ताले केही मतदान स्थलमा जनमत पार्टीका प्रतिनिधिलाई बस्नै नदिएको र बुथ कब्जासमेत गरेको राउतको आरोप छ । यसबारे सुरक्षा निकायका प्रमुख र निर्वाचन आयोगलाई पटकपटक जानकारी गराउँदा पनि उनीहरूले चासो नलिएको गुनासो उनको थियो । त्यस्तै बारा२ का एमाले उम्मदवार पुरुषोत्तम पौडेलले पनि सत्ताधारी दलहरूले सत्ताको दुरुपयोग गरेको आरोप लगाए । मतदानस्थलमा अनुगमनका क्रममा पुगेका बेला सञ्चारकर्मीलाई प्रतिक्रिया दिँदै पौडेलले सत्ता गठबन्धनका दलहरूले प्रहरी प्रशासनको मिलोमतोमा बुथ कब्जा गर्न खोजेको बताए । त्यसको प्रतिवाद गर्दा उल्टै प्रहरीले आफूलाई जबरजस्ती गरी मतदानस्थलबाट धपाएको उनले बताए । बारा क्षेत्र नं ३ बाट निर्वाचित सांसद ज्वालाकुमारी साह निर्वाचन क्षेत्र पुग्दा प्रहरीले रोकेको थियो । पचरौताको बेल्दारी गएका बेला प्रहरीले फर्काएको साहको भनाइ थियो । मधेस प्रदेशका मुख्यमन्त्रीसहित मन्त्रीहरू निर्वादरूपमा सत्ताको दुरुपयोग गर्दै घुमिरहेको नदेख्ने प्रहरीले आफूलाई उक्त निर्वाचन क्षेत्रमा पुग्दा रोक लगाउनु दुर्भाग्यपूर्ण रहेको साहले बताइन् । यता मधेस प्रदेशका मुख्यमन्त्री सरोज यादवलाई पचरौता नगरपालिकाको बेल्दारीबाट सेनाले फर्काएको थियो । आचारसंहिता विपरित मुख्यमन्त्री जसपाको मत माग्दै निर्वाचन क्षेत्रमा पुगेपछि स्थानीयले विरोध गरेका थिए । सो क्रममा नेपाली सेनाले मुख्यमन्त्री यादवलाई फर्काएको थियो ।"""
