"शीर्षक","विवरण"
"तनहुँमा दुई बस ठोकिँदा १३ यात्रु घाइते","तनहुँ : पृथ्वी राजमार्गस्थित तनहुँको म्याग्दे गाउँपालिका२, माथिल्लो गुणादीमा दुईवटा ठोक्किदा १३ जना यात्रु घाइते भएका छन् । सोमबार दिउँसो पौने ३ बजे दमौलीबाट पोखरातर्फ आउँदै गरेको ग १ ख ३८२३ नम्बरको बस र पोखराबाट दमौलीतर्फ जाँदै गरेको ना ५ ख २११३ नम्बरको बस ठोकिँएका थिए । दुर्घटनामा दुवै बसमा सवार यात्रुहरु घाइते भएको जिल्ला प्रहरी कार्यालय तनहुँका प्रहरी नायब उपरीक्षक मोहनबहादुर खाँडले जानकारी दिए । उनका अनुसार दुर्घटनामा परी कास्की अन्नपुर्ण गाउँपालिका १, बस्ने १९ वर्षीया इल्का लिम्बु, पोखरा महानगरपालिका३ की ४३ वर्षीया श्याममाया मग्राती, वडा नम्बर २ बस्ने अभिषेक सुनार, २२ वर्षीया पूजा सुनार, उनका १८ महिने छोरा अग्नि सुनार घाइते भएका छन् । त्यस्तै, शुक्लागण्डकी ९४ दुलेगौँडाका ४० वर्षीय बलबहादुर गर्बुजा, व्यास५ पतेनीकी ६३ वर्षीया हिरा विक, सोही ठाउँका ६६ वर्षीय त्रिलाल विक, वडा नं १३ की ४५ वर्षीया रुपा रम्तेल, ४० वर्षीय यमबहादुर रम्तेल, म्याग्दे४ थर्पुकी ५४ वर्षीया शारदा कुमाल, छाङ बस्ने ७५ वर्षीया सुकुन्धरा नेपाली, गोरखा पालुङटार२ की २२ वर्षीया सविना मिया दुर्घटनामा परी घाइते भएका हुन् । अग्नि सुनारको अवस्था मध्यम रहेकाले पोखरास्थित मणिपाल शिक्षण अस्पताल लगिएको छ । अन्यको दमौलीस्थित जिल्ला अस्पताल दमौली र रत्नहरि अस्पतालमा उपचार भइरहेको प्रहरीले जनाएको छ । दुर्घटनाबारे अनुसन्धान भइरहेको प्रहरीले बताएको छ ।"
"हार स्वीकार्दै गोविन्द भट्टराईले भने आफूलाई अब्बल प्रमाणित गर्न सकिनँ","तनहुँ : तनहुँ क्षेत्र नं १ को प्रतिनिधिसभा सदस्य उपनिर्वाचनको लागि नेपाली कांग्रेसबाट उम्मेदवार बनेका गोविन्द भट्टराईले हार स्वीकारेका छन् । सोमबार साँझ सामाजिक सञ्जाल फेसबुकमा स्टाटस लेख्दै भट्टराईले हार स्वीकार गर्दै आफूलाई अब्बल प्रमाणित गर्न नसकेको उल्लेख गरेका छन् । उनले भनेका छन्, सायद, मेरो तपाईँप्रतिको विश्वास पूरा गर्न आफूलाई अब्बल प्रमाणित गर्न सकिनँ । यसले मलाई तपाईँको विश्वास योग्य बनाउन अझ प्रयास गर्नुपर्ने पृष्ठपोषण गरेको छ । तपाईंहरूको जनादेशलाई शिरोपर गर्ने प्रतिबद्धता व्यक्त गर्दछु । उनले आफूलाई विश्वास गरेर सधैं सकारात्मक प्रतिक्रिया र उत्साह दिँदै मत दिएकोमा आफ्ना शुभेच्छुकहरूलाई आभार प्रकट गरेका छन् । पदमा नरहे पनि जनताको पीडाले सधैं छोइरहेको भन्दै ठूला आदर्शभन्दा जनताको व्यवहारिक समस्या समाधानलाई आदर्श मानेर बीपीको समाजवादबाट प्रेरित भएर चार दशक लामो यात्राका क्रममा जनतासँग जोडिएको बताएका छन् । उनले भने, हुन त पदलाई मैले कहिल्यै प्राथमिकतामा राखिनँ । पदमा नरहे पनि तपाईँको पीडाले मलाई छोइरह्यो । ठूला आदर्शभन्दा तपाईँको व्यवहारिक समस्या समाधानलाई आदर्श मानेर बीपीको समाजवादबाट प्रेरित भएर चार दशक लामो यात्राका क्रममा तपाईँसँग रहेको हुँ । मलाई विश्वास गरेर सधैं सकारात्मक प्रतिक्रिया र उत्साह दिएर मप्रतिको विश्वास मतमार्फत् प्रकट गर्नुहुने तपाईं सबैप्रति आभार प्रकट गर्दछु ।"
"""सिन्धुलीमा आगलागी हुँदा पाँच घर जलेर नष्ट","एक करोड बढीको क्षति"",""सिन्धुली : सिन्धुलीको कमलामाई नगरपालिका२ चियाबारीमा आगलागी हुँदा पाँच घर जलेर नष्ट भएका छन् । एक करोड १६ लाख बढीको क्षति भएको छ । सोमबार बिहान १ बजे स्थानीय राजकुमार श्रेष्ठको घरबाट सल्केको आगोले स्थानीय राजकुमार श्रेष्ठ, कौशल थापा, योग बहादुर थापा र गंगा थापाको पाँच वटा घर जलेर खरानी भएको प्रहरीले जनाएको छ । आगलागीबाट अन्नपात, भाँडाकुडा, लत्ताकपडा, नगद तथा गरगहना सहित १ करोड १६ लाख २० हजार बराबरको क्षति भएको जिल्ला प्रहरी कार्यालय सिन्धुलीका प्रवक्ता प्रहरी नायव उपरीक्षक चिरञ्जीवी दाहालले जानकारी दिए । दाहालका अनुसार राजकुमार श्रेष्ठको घर भाडामा लिई किराना पसल गर्दै आएकी अम्बिका बुढाथोकीले घरमा बालेको दियो बत्ती अचानक घरमा सल्कीदा अन्य चार घर जलेर पूर्ण रुपमा क्षति भएको थियो । आगलागीबाट बुढाथोकीको किराना पसलको सामान, पर्निचर, लत्ताकपडा, भाँडावर्तन नगद एक लाखसहित १५ लाख, घरधनी श्रेष्ठको घर जल्दा १० लाख समेत गरी २५ लाख र कौशल थापाको नगद दुई लाख साठ्ठी हजार र सुनचाँदीको गरगहना, होटलको सामानसहित ३२ लाखको क्षति भएको छ । यस्तै योगबहादुर थापाको होटलको सामान, फर्निचर, लत्ताकपडा, भाँडाबर्तन, अन्य सरसामान र घर समेत २६ लाख र गंगाबहादुर थापाको नगद १३ लाख, होटलको सामान, फर्निचर, लत्ताकपडा, भाँडा, अन्य सरसामान र घर समेत ३३ लाख बराबरको क्षति भएको छ, दाहालले भने । रातिको समयमा आगलागी हुँदा धेरै क्षति भएको प्रहरीको प्रारम्भीक अनुमान छ । छिमेकीको घरमा लागेको आगो नियन्त्रण गर्ने प्रयास गर्दा आफ्नो पनि सर्वस्व गुमेको स्थानीय सन्तोष काजी थापाको भनाइ छ । अम्बिका बुढाथोकी सहति सबै आगलागी पीडितको नागरिकता, सर्टिफिकेट, लाइसेन्स, लालपूर्जा जस्ता महत्वपूर्ण कागजात समेत जलेर नष्ट भएको प्रहरीले जनाएको छ । त्यस स्थानमा यस अघि दुई पटक घर आगलागी भई सकेको छ । २०५४ मा आगलागीबाट घरबार बिहिन भएका थापा परिवारमा २५ वर्षपछि उहीँ विपत्ति आई परेको भन्दै कमलामाई नगरपालिकाका मेयर उपेन्द्र कुमार पोखरेलले दुःख व्यक्त गरे । आगलागी पीडितसँगको भेटमा पोखरेलले नगरबाट सहयोग उपलब्ध गराउने बताए । यस वर्ष जिल्लामा आगालागीबाट एक जनाको ज्यान जानुका साथै एक जना गम्भीर घाइते भएका छन् । यो वर्ष आगालागीबाट १९ घरगोठ जलेर खरानी भएको प्रहरीले जनाएको छ ।"""
"विपद् जोखिम व्यवस्थापनका लागि लगानी बढाइनेछ : गृहमन्त्री श्रेष्ठ","काठमाडौं : सरकारले प्राकृतिक रूपमा आइपर्ने विपद् व्यवस्थापनमा लगानी बढाउने भएको छ । उपप्रधानमन्त्री तथा गृहमन्त्री नारायणकाजी श्रेष्ठले विपद् व्यवस्थापनका तथा असर कम गर्न लगानी प्रवर्द्धनका लागि जोड दिनुपर्ने बताएका छन् । काठमाडौंमा आयोजित विपद् जोखिम व्यवस्थापन नीतिगत व्यवस्थादेखि अभ्याससम्म राष्ट्रिय कार्यशाला गोष्ठीमा बोल्दै गृहमन्त्री श्रेष्ठले विपद् न्यूनीकरणमा सबैको सहकार्य हुनुपर्नेमा जोड दिए । गृहमन्त्री श्रेष्ठले, विपदको जोखिम व्यवस्थापनको विषय सबैको साझा जिम्मेवारी र संयुक्त प्रयासमा हुनुपर्ने बताउँदै सरकार, निजी क्षेत्र, गैरसरकारी क्षेत्र, समुदाय र नागरिक पनि सुसुचित हुनुपर्ने बताए । उनले भने विपद् जोखिम न्यूनीकरणका लागि खोज तथा उद्धार क्षमतालाई अन्तर्राष्ट्रिय मापदण्ड अनुरूपको बनाउँदै लैजान एकीकृत तालिम केन्द्रको स्थापना सरकारको प्राथमिकतामा छ । यस्तै आगलागीका घटना, डढेलो जस्ता विपदको जोखिम कम गर्नका लागि संघीय तहमा अग्नि नियन्त्रण संयन्त्र निर्माण र विपद् व्यवस्थापन कोषलाई दिर्घकालीन रूपमा अगाडि बढाइनेछ । उपप्रधानमन्त्री श्रेष्ठले विपद् जोखिम न्यूनीकरण राष्ट्रिय रणनीतिक कार्ययोजनाको प्रभावकारी कार्यान्वयन र अनुगमनका साथै पूर्वतयारी र जोखिम न्यूनीकरणका कामलाई एकीकृत गर्न जरुरी भएकोमा जोड दिए । यसका लागि केन्द्र, प्रदेश र स्थानीय तिनै तहका सरकारको समन्वय राम्रो हुनुपर्नेमा उनको जोड थियो । नेपालमा पछिल्लो पटक भूकम्प गएर ठूलो जनधनको क्षति भएको ८ वर्ष पुग्यो । राष्ट्रिय विपदको रूपमा यो दिनलाई सम्झँदै सरोकारवाला पक्षले विपद् व्यवस्थापनका लागि छलफल कार्यक्रम आयोजना गरेको थियो । कार्यक्रममा सहभागीले विपद् जोखिम व्यवस्थापनको प्रक्रियालाई श्रोत सम्पन्न बनाउनुपर्नेमा जोड दिएका थिए । गृहमन्त्रालय अन्तर्गत विपद् तथा द्वन्द्व व्यवस्थापन महाशाखा प्रमुख सहसचिव प्रदीप कुमार कोइरालाले नेपालमा सम्भावित विपदको पूर्वानुमान गर्न नसक्दा विपदको बेला हुने क्षति बढी हुने गरेको बताए । विपदको क्षति कम गर्नका लागि मन्त्रालयले तत्काल उद्धार तथा राहतको कार्यक्रम सञ्चालन गरिरहेको जानकारी दिए । उनी भन्छन्, भुकम्प बाहेक अन्य प्रकारका विपदको पूर्वानुमान गर्न सकिन्छ । पूर्वानुमान र सम्बन्धित पक्षमा सूचना पुर्याउन सक्दा क्षति र असर कम गर्न सकिन्छ । राष्ट्रिय विपद् जोखिम न्यूनीकरण तथा व्यवस्थापन प्राधिकरणका कार्यकारी अधिकृत अनिल पोखरेलले विपद् जोखिम न्यूनीकरणका लागि स्थापना भएको संस्था नै स्रोतसाधन सम्पन्न हुन नसकेको बताए । भूकम्पको पूर्वअनुमान गर्न कठिन हुने बताउँदै उनले घर, भवन तथा सरकारी संरचना निर्माण गर्दा ध्यान दिने हो भने यसको क्षति कम हुने जानकारी दिए । बाढी पहिरोको जोखिम कम गर्नका लागि विकासका नाममा नदि दोहन र पहाडमा जताततै बाटो निर्माण गर्न नहुनेमा जोड दिएका थिए । विपदविज्ञ प्राध्यापक डाक्टर विशालनाथ उप्रेतिले विपदबाट हुने जोखिम कम गर्नका लागि सरकारले नै ध्यान नपुर्याएको जानकारी दिए । उनी भन्छन्, सरकारको प्राथमिकतामा नै यो विषय पर्दैन । प्राधिकरणमा प्रयाप्त बजेट नै छैन । बजेटकै अभावले गर्न सकिने ससाना अनुसन्धानको काम पनि गर्न सकिएको छैन । यस्तै कांग्रेस नेता मिन विस्वकर्माले प्राकृतिक विपदको जोखिम कम गर्न सरकारले एकीकृत बस्ती निर्माणमा जोड दिनुपर्ने बताए । देशले विपद् मात्रै हैन आपत पनि सहनु पर्ने अवस्था आएको बताउँदै खेतीयोग्य जग्गालाई प्लटिसङ र सिमेन्टमय बनाउँदा खाद्यान्नको समेत अभाव देखिन सक्नेमा सचेत गराएका थिए । संरचना निर्माण र विकासका कार्य सञ्चालन गर्दा एक अर्का सम्बन्धित कार्यालयहरूमा समन्वय गर्नुपर्नेमा उनको जोड थियो ।"
"""तनहुँ १ मा ११ वडाको मतगणना बाँकी","स्वर्णिम दस हजार बढी मतले अगाडि"",तनहुँ : तनहुँ क्षेत्र नं १ मा ३१ वडाको मतगणना सकिएको छ । पछिल्लो मतपरिणाम अनुसार राष्ट्रिय स्वतन्त्र पार्टीका उम्मेदवार स्वर्णिम वाग्लेले सुरुदेखि नै अग्रता कायम राखेका छन् । ४७ हजार १६२ मत गन्दा वाग्लेले २४ हजार ४०६ मतसहित अग्रस्थानमा छन् । दोस्रोमा नेपाली कांग्रेसका गोविन्द भट्टराईले १४ हजार १८२ मत ल्याएका छन् भने एमालेका सर्वेन्द्र खनाल ७ हजार २६ मतसहित तेस्रो स्थानमा छन् । तनहुँ १ को ४२ वडामा ६५ हजार ९९ मत खसेको छ ।"
"""फ्लाई दुबईको विमान गन्तव्यतिर","प्राधिकरणका प्रवक्ता भन्छन् इन्जिनमा सामान्य समस्या देखिएको थियो"",""काठमाडौं : संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्री सुदन किरातीले फ्लाई दुबईको विमान गन्तव्यतिर उडेको जानकारी दिएका छन् । त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट टेकअफ गर्ने बेला अस्वभाविक आवाज आएपछि विमानस्थलले फोर्स ल्यान्डिङको तयारी गरेको थियो । विमानमा आवाज आएको र आगो लागेको देखेको प्रत्यक्षदर्शीहरूले बताएका छन् । मन्त्री किरातीले फ्लाई दुबईको विमान सुरक्षित गन्तव्यतिर हिँडेको कोही चिन्ता लिन नपर्ने जानकारी दिएका छन् । विमानमा १६३ जना यात्रु सवार छन् । नागरिक उड्डयन प्राधिकरणका प्रवक्ता जगननाथ निरौलाले पनि विमान गन्तव्यतिर गएको जानकारी दिए । उनले विमानको इन्जिनमा सामान्य समस्या देखिएको बताए । 'कहिलेकाहीँ इन्जिनमा सामान्य समस्या देखिन्छ । त्यो नेपालको आकाशमा होल्ड गर्ने बेला नै समाधान भएको जानकारी पाएका छौं । विमान गन्तव्यतिर गएको छ,' उनले अन्नपूर्णसँग भने ।"""
"लागूऔषधसहित युवक पक्राउ","ढल्केवर(धनुषा) : धनुषामा लागूऔषधसहित एक जनालाई प्रहरीले पक्राउ गरेको छ । पक्राउ पर्नेमा धनुषाको गणेशमान चारनाथ नगरपालिका१ बस्ने २४ वर्षीय अजय कुसैत यादव रहेको प्रहरीले जनाएको छ । आफ्नै घरमा लागूऔषध बिक्री वितरण गर्दै आएको सूचनाका आधारमा इलाका प्रहरी कार्यालय ढल्केवरबाट खटिएको प्रहरी टोलीले यादवलाई उनको घरबाट लागूऔषधसहित पक्राउ गरेको हो । उनको घर खानतलासी गर्दा एक्सिप्लोन १०० एमएल लेखिएको ७३ बोतल, नाइट्राभेट१० लेखिएको ११ पत्तामा १५४ वटा ट्याब्लेट, स्पासोम प्रोक्सिभोन प्लस लेखिएको ९ पत्तामा ६४ क्याप्सुल, स्याम्पेक्स लेखिएको ४ पत्तामा ३२ वटा क्याप्सुल बरामद भएको धनुषाका प्रहरी प्रवक्ता प्रहरी नायव उपरीक्षक वेदप्रसाद गौतमले जानकारी दिए । प्रतिबन्धित लागूऔषधसहित पक्राउ परेका यादवलाई लागूऔषध मुद्दामा १० दिनको म्याद थप भई अनुसन्धान भइरहेको प्रहरी नायव उपरीक्षक गौतमले जनाए ।"
"मुसहरलाई लालपुर्जा वितरण","जनकपुरधाम : चन्द्रनगरका मुसहर समुदायलाई बसोबास गर्दै आएको स्थानको जग्गाधनी दर्ता प्रमाणपत्र (लालपुर्जा) वितरण गरिएको छ । सर्लाहीमा पहिलो पटक नापी कार्यालय सर्लाहीले लालपुर्जा वितरण गरेको हो । नापी कार्यालय मलंगवाले पहिलो पटक चन्द्रनगर गाउँपालिका४ स्थित गढाटोलमा लालपुर्जा वितरण गरेको गाउँपालिकाले जनाएको छ । सोमबार बिहान दलित बस्तीमा ४५ जना घरपरिवारलाई लालपुर्जा वितरण गरेको छ । चन्द्रनगर गाउँपालिका अध्यक्ष राजकुमार महतोको पहलमा पुस्तौदेखि जोत भोग गरिरहेको गाउँ ब्लकको जग्गाको लालपुर्जा सम्बन्धित व्यक्तिलाई हस्तान्तरण गरिएको हो । लापुर्जा बुझ्दै स्थानीय नागेन्द्र महराले आफूहरूको पुर्खाले वर्षौदेखि जोगभोग गर्दै आएको जग्गाको जग्गाधनी दर्ता प्रमाण पुर्जा पाउनु सौभाग्य भएको बताए । उनले भने, मेरो बुवाको समयमा लालपुर्जा थिएन, बुवाले धेरै दुःख गर्नुभयो, तर जग्गाधनी दर्ता प्रमाण पुर्जा प्राप्त गर्न सक्नु भएन, तर अब अहिले आएर जग्गाधनी दर्ता प्रमाण पुर्जा पाएका छौं । स्वभाविक हामी अब जग्गाधनी भएका छौं । अर्का स्थानीय माझी मुसहरले तीन पुस्तासम्म पनि जग्गाधनी दर्ता प्रमाण पत्र पाउँदा स्नेह थपिएको बताए । चन्द्रनगर ४ बस्ने संझा देवी माझीले वर्षौदेखि जग्गाविहीन भएर बस्न बाध्यताको पिडा बल्ल समाप्त भएकोमा खुशी व्यक्त गरिन् । गाउँ ब्लकको जग्गामा आफूहरूको जोतभोग तथा उपभोगको जग्गा आफ्नो नाममा आएपछि खुशीको सीमा नरहेको बताइन् । विगत १५ वर्षसम्मको गाउँ ब्लकको जग्गाहरू नापी भए पनि जग्गाधनी दर्ता प्रमाण पुर्जा जारी हुन सकेको थिएन । वर्ष दिन नहुँदै नयाँ स्थानीय सरकार आएपछि चन्द्रनगर गाउँपालिकाको पहलमा सर्लाहीमा पहिलो पटक गाउँपालिकामै जग्गाधनी दर्ता प्रमाण पुर्जा वितरण भएको नापी कार्यालय सर्लाहीका प्रमुख संजय मनान्धरले बताए । नापी कार्यालयमा गाउँपालिका अध्यक्ष महतोले सर्लाहीको २० वटै पालिकाहरूमध्ये पहिलो भूमिहीनलाई जग्गाधनी प्रमाणपत्र वितरण गरेको बताए । गाउँपालिका अध्यक्ष महतोले गाउँ ब्लकको लालपुर्जा वितरण हुनु भनेको चन्द्रनगरको लागि शुभ सन्देश भएको बताए । राष्ट्रिय भूमि आयोग अन्तर्गत चन्द्रनगरमा लगत संकलन भइसकेको हुँदा आवश्यक प्रकृया पुर्याई भूमिहीन, दलित, सुकुम्वासीलाई जग्गाधनी दर्ता प्रमाण पुर्जा वितरण गरिने गाउँपालिका अध्यक्ष महतोले बताए ।"
"""नुवाकोटमा बजार अनुगमन","अखाद्य वस्तु नष्ट"",""नुवाकोट : नुवाकोटको ककनी गाउँपालिकामा रहेका ४० वटा पसलमा अनुगमन गरिएको छ । जिल्ला प्रशासन कार्यालय नुवाकोटले गाउँपालिकाको विभिन्न क्षेत्रमा अनुगमन गरेको हो । गाउँपालिकाको एउटा सुन चाँदी पसल र २१ वटा खाद्यान्न सप्लायर्स स्टोर्स, किराना पसल, ११ वटा होटल, रेष्टुरेण्ट, तीनवटा मासु पसल र चार वटा अन्य पसलमा अनुगमन गरिएको अनुगमन टोलीका संयोजक तथा सहायक प्रमुख जिल्ला अधिकारी वेदनिधि अधिकारीले जानकारी दिए । अनुगमनका क्रममा व्यवसाय दर्ता नवीकरण, मूल्य सूची, नापतौल, खाद्यवस्तु उत्पादनको मिति, म्याद समाप्त मिति, खरिद बिल र बिक्री बिलको निरीक्षण गरिएको अनुगमनमा सहभागी घरेलु तथा साना उद्योग कार्यालय नुवाकोटका प्रमुख रामप्रसाद भुषालले बताए । निरीक्षणका क्रममा देखिएका कमजोरी तत्काल हटाउन निर्देशन दिँदै केही व्यवसायीलाई आवश्यक कागजातसहित जिल्ला प्रशासन कार्यालयमा उपस्थित हुन निर्देशन दिइएको उनले बताए । उनका अनुसार सात वटा पसल अनुगमन गर्दा विभिन्न किसिमका १८ हजार तीन सय ५० रुपैयाँ बराबरको म्याद गुज्रेका विभिन्न सामग्रीहरू बरामद गरी नष्ट गरिएको छ ।"""
"घोडेपानीमा वैशाखमा हिउँ पर्यो","बेनी : म्याग्दीको पर्यटकीय स्थल घोडेपानी, पुनहिल, खोपारा र मोहरेडाडामा सोमबार हिमपात भएको छ । समुन्द्री सतहदेखि दुई हजार आठ सय मिटरमा अवस्थित घोडेपानीसँगै अन्नपूर्ण गाउँपालिकाको पर्यटकीय स्थलहरू खोपारा, पुनहिल र मोहरेडाडा हिउँले ढाकिएको छ । अन्नपूर्ण चक्रीय पदमार्गको प्रमुख पर्यटकीय गन्तव्य मानिएको घोडेपानीपुनहिल म्याग्दीको अन्नपूर्ण गाउँपालिकाको वडा नम्बर ६ मा पर्छ । सोमबार अपराहन्नदेखि हिउँ पर्न थालेको घोडेपानीका होटल व्यवसायी सपना गुरुङले बताइन् । समुन्द्रि सतहदेखि तीन हजार छ सय मिटर उचाइएको खोपारा अन्नपूर्णको ५ र तीन हजार ३०० मिटर उचाइको मोहरेडाडा ८ नम्बर वडामा पर्छ । 'दिउँसो १२ बजेबाट पानी पर्न थालेको थियो,' गुरुङले भनिन् 'साँझदेखि जमिनमा हिउँ जम्न थालेको छ । गाउँ र वरपरका पहाड सेताम्मे भएका छन् ।' बेमौसमी हिमपातले चिसो बढाए पनि भ्रमणमा आएका पर्यटकहरूले रमाइलो मानेका छन् । हिउँ खेल्न पर्यटकहरू आउने र चहलपहल बढ्ने घोडेपानी होटल व्यवस्थापन उपसमितिका अध्यक्ष मिना पुनले बताइन् । वसन्त ऋतुमा बेमौसमी हिमपात भएको हो । यसपाली पुस र माघमा हिमपात भएन । हिउँद सकिएपछि फागुनको पहिलो सातादेखि हिउँ पर्न थालेको थियो । हिउँदको खडेरी र वसन्त ऋतुको सुरुवातसँगैको वर्षातका कारण घोडेपानी क्षेत्रमा यसपाली गुराँस कम फुलेको स्थानीयवासी समेत रहेका अन्नपूर्ण गाउँपालिकाका पूर्व अध्यक्ष डमबहादुर पुनले बताए । फागुन, चैत र वैशाख महिनामा भएको बेमौसमी हिमपातले गुराँस चाँडै निख्रियो, उनले भने गुराँस नफुल्नु, फुलेका पनि चाँडै निख्रिनु र बेमौसममा हिमपात हुन तापक्रम वृद्धि र जलवायु परिवर्तनको अवसरका रूपमा लिएका छौं ।"
