"शीर्षक","विवरण"
"गण्डकीमा तीन सदस्यीय मन्त्रिपरिषद गठन","पोखरा : गण्डकी प्रदेशका नवनियुक्त मुख्यमन्त्री सुरेन्द्रराज पाण्डेले ३ सदस्यीय मन्त्रिपरिषद् बनाएका छन् । बिहीबार नियुक्त पाण्डेले शुक्रबार प्रदेश प्रमुख पृथ्वीमान गुरुङसँग पद तथा गोपनियताको सपथ लिए । उनले आफूपछि २ मन्त्री नियुक्त गरी प्रदेश प्रमुखसँग उनीहरुलाई पनि सपथ दिलाएका हुन् । साझेदार दल माओवादीकी प्रमुख सचेतक सुशीला सिम्खडा र आफ्नै पार्टीकी नेतृ सरस्वती अर्याल तिवारीलाई मुख्यमन्त्री पाण्डेले विनाविभागीय मन्त्री नियुक्त गरेका हुन् । गण्डकी सरकारमा २२ जना महिलालाई मन्त्रीको अवसर एउटै मन्त्रिपरिषदमा प्राप्त भएको यो पहिलोचोटि हो । माओवादीका ७, कांग्रेसका २७ र १ स्वतन्त्र गरी ३५ सांसदको समर्थनमा कांग्रेस संसदीय दलका नेता पाण्डेले बिहीबार प्रदेश प्रमुख समक्ष मुख्यमन्त्री दाबी गर्नासाथ नियुक्ति पाएका थिए । यसअघि एमाले संसदीय दलका नेतासमेत रहेका मुख्यमन्त्री खगराज अधिकारीले ९ वैशाखमा प्रदेश सभाबाट विश्वासको मत पाउन सकेका थिएनन् । संघीय सरकारबाट एमाले बाहिरिएपछि एमाले नेतृत्वको गण्डकी सरकारको समर्थन माओवादीले चैत १० मा फिर्ता लिएको थियो । अधिकारी माओवादीका ७, एमालेका २२ र राप्रपाका २ र १ स्वतन्त्र सांसदको समर्थनमा पुस २५ गते मुख्यमन्त्री भएका थिए । २९ पुसमा उनले पहिलोपटक विश्वासको मत लिँदा कांग्रेसका २७ र १ स्वतन्त्रबाहेक ३१ सांसदको मत पाएका थिए । संविधानको धारा १६८ को उपधारा २ बमोजिम अधिकारी सरकार बनेको थियो । पाण्डे सरकार पनि सोही व्यवस्था बमोजिम बनेको हो । सपथ लिएपछि मुख्यमन्त्री पाण्डेले पदभारसमेत शुक्रबारै ग्रहण गरे । उनले यातायातको सेवा सुधार्न समिति गठन गर्ने र सिँचाइको बिजुलीमा छुटजस्ता निर्णय गरेका छन् ।"
"प्रशासकीय अधिकृतमाथि हातपात भएपछि नगरपालिकाको कामकाज ठप्प","सिरहा : प्रशासकीय अधिकृतमाथि हातपात भएपछि नगरपालिकाको कामकाज ठप्प भएको छ । शुक्रबार सिरहाको धनगढीमाई नगरपालिकाका प्रमुख प्रशासकीय अधिकृतमाथि केही व्यक्तिले गालीगलौज गर्दै हातपात गरेपछि शान्ति सुरक्षाको माग गर्दै नगरपालिकाको सम्पूर्ण कर्मचारीहरूले कामकाज ठप्प पारेका हुन् । नगरपालिकाले वडा१० स्थित अवैध रूपमा उत्खनन भइरहेको ग्राभेल खानी बन्द गराएको थियो । त्यही विषयमा निहुँ खोज्दै कमलामाई सप्लायर्स धनुषाधामका सञ्चालक बेचन शर्माको नेतृत्वमा आएका धनगढीमाई१२ का महेश अधिकारी र वडा४ का रामएकवाल यादव (बतहा)सहित ५७ जनाको समूहमा आएका व्यक्तिहरूले प्रशासकीय अधिकृत गोपालप्रसाद बगालेमाथि हातपात गरेको छ । उनीहरूले प्रशासकीय अधिकृतको कार्यकक्षमा प्रवेश गरी भित्रबाट चुकुल लगाएर खानी किन बन्द गरिस भन्दै पानीको बोतल प्रहार गरेको कर्मचारीहरूले बताएका छन् । हातपात गर्न थालेपछि तत्कालै नगर प्रहरी प्रवेश गरी शर्माको समूहलाई बाहिर निकालेको थियो । कर्मचारीहरूले विज्ञप्ति जारी गर्दै शान्ति सुरक्षा कायम र दोषीमाथि कारबाही नभएसम्म नगरपालिका र वडा कार्यालयहरूको कामकाज ठप्प राख्ने जनाइएको छ । स्थानीय तह कर्मचारी युनियनको जिल्ला अध्यक्ष राम उदगार यादवले पनि विज्ञप्ति जारी गरी घटनाको भर्त्सना गर्दै दोषीमाथि कारबाहीको माग गरेको छ । घटनाबारे बुझने कार्य भएको र निवेदन आए सोहीअनुसार छानबीन गरी कारबाही प्रक्रिया अगाडि बढाउने जिल्ला प्रहरी कार्यालय सिरहाका प्रवक्ता तथा डीएसपी रविन्द्रराज पाण्डे जानकारी दिए ।"
"शनिबार देशका यी स्थानमा हुने छ वर्षा","काठमाडौं : शनिबार देशका पहाडी भूभागमा आंशिकदेखि सामान्यतया बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम सामान्यतया सफा रहने छ । मौसम पूर्वानुमान महाशाखाका अनुसार देशका पहाडी भूभागका थोरै स्थानहरूमा मेघ गर्जनचट्याङसहित हल्काक्षणिक वर्षाको सम्भावना रहेको छ । शनिबार राति गण्डकी र सुदूरपश्चिम प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघ गर्जनचट्याङसहित हल्काक्षणिक वर्षाको सम्भावना रहेको छ ।"
"भारतमा उपचाररत कांग्रेस नेता चन्द्र भण्डारी आइतबार स्वदेश फर्कने","काठमाडौं : भारतमा उपचाररत नेपाली कांग्रेसका नेता एवं प्रतिनिधिसभा सदस्य डा चन्द्रकान्त भण्डारी यही वैशाख १७ गते आइतबार स्वदेश फर्कने भएका छन् । गत फागुन ३ गते राति आफ्नै निवास बुद्धनगरमा ग्यास लिक भएर आगालागीबाट गम्भीर घाइते भएका डा भण्डारी स्वास्थ्य उपचारपछि आइतबार स्वदेश फर्कन लागेका हुन् । भारतको मुम्बईस्थित नेशनल बर्न सेन्टरमा उपचाररत डा भण्डारी आइतबार दिउँसो २:५५ बजेको नेपाल वायुसेवा निगमको विमानमार्फत स्वदेश फर्कन लागेका डा भण्डारी निकट कांग्रेस नेता माधव न्यौपानेले बताए । उनी साँझ ५ बजे त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल आइपुग्ने छन् । पछिल्लो समय डा भण्डारीको स्वास्थ्यमा सुधार आएको छ । उनले बोल्ने तथा हिँड्ने कार्य थालेक छन् । नेपाल फर्केसँगै डा भण्डारी घरमा बसेर फिजियोथेरापी गर्नुका साथै पोलेको घाउ ड्रेसिङ गर्न अस्पताल जानेछन् । आगलागीमा परी सांसद डा भण्डारी र उनकी आमा हरिकला भण्डारी गम्भीर घाइते भएकी थिइन् । आमा हरिकलाको भने उपचारका क्रममा कीर्तिपुर अस्पतालमा फागुन ४ गते निधन भएको थियो । डा भण्डारीलाई सोही दिन थप उपचारका लागि एयर एम्बुलेन्समार्फत भारत लगिएको थियो ।"
"विद्यार्थी भर्ना अभियान : विद्यार्थी भर्ना गर्नभन्दा टिकाउन कठिन","काठमाडौं : बालबालिकालाई विद्यार्थी भर्ना अभियानका क्रममा स्कुल ल्याउन सहज भए पनि टिकाउन धेरै चुनौती थपिएको भन्दै सरोकारवालाले चिन्ता व्यक्त गरेका छन् । विद्यार्थी भर्ना अभियान सुरु भएको दुई दशक पूरा भएर विद्यालयमा ९७ प्रतिशत बालबालिका आए पनि उनीहरूलाई गुणस्तरीय शिक्षा दिलाउन र स्कुलमै टिकाइराख्न धेरै चुनौती रहेको उनीहरूको भनाइ छ । शुक्रबार शिक्षा पत्रकार समूहले काठमाडौंमा आयोजना गरेको विद्यार्थी भर्ना अभियान : विगत र वर्तमान विषयक कार्यक्रममा बोल्ने वक्ताहरूले यस्तो धारणा राखेका हुन् । शिक्षा पत्रकार समूह लगायत शिक्षाका संघ संस्थाहरूले थालेको अभियानका क्रममा २०६१ सालमा सरकारले औपचारिक रूपमा विद्यार्थी भर्ना कार्यक्रम सुरु गरेको थियो । तत्कालीन शिक्षा विभागका निर्देशकपछि महानिर्देशकसमेत रहेका पूर्वसचिव जनार्दन नेपालले कास्की र चितवनबाट सुरु भएको विद्यार्थी भर्ना अभियानको दुई दशक उपलब्धीमुलक भएपनि विद्यार्थीको गुणस्तर सिकाइमा भने ठूलो चुनौती थपिएको बताए । त्यतिबेला शिक्षाको विश्वव्यापी अभियान चलेका बेला नेपालमा पनि विद्यार्थी भर्ना अभियान सुरु गरिएको थियो । कास्की र चितवनबाट सुरु भएको विद्यार्थी भर्ना अभियान देशैभरका विद्यालयमा सुरु भएर अहिले झण्डै ९८ प्रतिशत बालबालिका शिक्षाको पहुँचमा पुगेका छन्, यो राम्रो उपलब्धी हो, उनले कार्यक्रममा भने । उनका अनुसार विद्यार्थी भर्ना अभियान सुरु गर्ने बेलामा ३० प्रतिशत बालबालिका विद्यालय बाहिर थिए । पछिल्लो २० वर्षमा बाहिर रहेका २७ प्रतिशत बालबालिका विद्यालय आए पनि उनीहरूलाई टिकाइराख्न ठूलो चुनौती रहेको उनले बताए । हामीले त्यतिबेला हामीले गर्ने पहलका रूपमा विद्यार्थी भर्ना अभियान सुरु भएर बाहिर रहेका बालबालिका विद्यालयभित्र ल्याइयो उनले भने, तर उनीहरूलाई अहिले टिकाउन सकिएन । त्यो भन्दा बढी पास आउट भएका विद्यार्थी पनि नेपाली श्रम बजारमा बिक्न सकेका छैनन् । विद्यालय व्यवस्थापन समिति महासंघका संस्थापक अध्यक्ष कृष्ण थापाले विद्यार्थी भर्ना अभियानले धेरै उपलब्धी दिए पनि विद्यार्थीलाई पठनपाठनका लागि सहज वातावरण उपलब्ध गराउन नसकिएको बताए । व्यवस्थापन समिति, अभिभावक र शिक्षक मिलेर गुणस्तरीय सिकाइमा लागे मात्रै बालबालिकालाई स्कुलमा टिकाउन सकिने उनको धारणा छ । यस्तै अभिभावक महासंघका संस्थापक सुप्रभात भण्डारीले २० वर्षपहिले विद्यार्थी भर्ना अभियान सुरु गरेर बाहिरका बालबालिका विद्यालयको पहुँचमा आए पनि उनीहरूको गुणस्तरीय सिकाइमा धेरै प्रश्न र चुनौती रहेको बताए । हामीले विद्यार्थी भर्ना अभियान सुरु गर्दा कोही पनि विद्यालयबाहिर नरहोस् भन्ने थियो । अहिले धेरैजसो विद्यालयभित्र आए पनि विद्यार्थी पटक पटक स्कुलबाट बाहिरिएको छ, उनले भने, अब यसबारे कोही एउटा निकाय वा सरकार मात्रै होइन । धेरै पक्ष मिलेर विद्यार्थी विद्यालयमा टिकाउने र हाम्रै श्रम बजारमा बिकाउने हुनुपर्छ । शिक्षा अभियान्ता टीका भट्टराईले अहिले पालिका सरकारले विद्यालय सञ्चालनको अधिकार पाएपछि भइरहेको विद्यार्थी भर्ना अभियान बढी प्रभावकारी रहेको बताए । सबै पालिका र विद्यालय विद्यार्थी भर्ना अभियान र उनीहरूलाई विद्यालयमा टिकाइराख्न आकर्षक कार्यक्रम ल्याउने र गुणस्तरीय सिकाइमा लागिरहेका नभएपनि आफूले काम गरेका सर्लाही, मकवानपुर लगायतका जिल्लामा पालिका सरकारका जनप्रतिनिधिले राम्रो काम गरिरहेको टिप्पणी गरे । पालिका सरकारका जनप्रतिनिधिमा राम्रो सोच पलाएको छ । आफ्नो गाउँठाउँका विद्यालय र विद्यार्थीलाई राम्रो बनाउने सोच उहाँहरूमा देखेको छु उनले भने, यसका लागि तीन तहका सरकार एक ठाउँमा उभिनुपर्छ । पालिका सरकारलाई मात्रै जिम्मा दिएर हुँदैन । यस्तै विद्यालय व्यवस्थापन समिति महासंघकी सचिव मञ्जु नेपालले अब सरकार, विद्यालय व्यवस्थापन समिति महासंघ र स्थानीय तहका जनप्रतिनिधि मिलेर विद्यार्थी विद्यालयमा टिकाउने अवस्था सिर्जना गर्न लाग्नुपर्ने बताइन् । यस्तै सामाजिक अभियान्ता हिरा विश्वकर्माले विद्यार्थी भर्ना अभियानका क्रममा लाखौँ दलित तथा गरिब बालबालिका विद्यालय आएपनि देशभरका सामुदायिक विद्यालयको हालत नै खराब अवस्थामा रहेको बताए । सामुदायिक र निजी विद्यालयबीच ठूलो खाडल रहेको र त्यसैले नेपाली समाजको वर्गविभेद भइरहेको भन्दै उनले दलित र गरीब बालबालिका मात्रै पढ्ने सरकारी विद्यालयको संरचना र गुणस्तर सिकाइको अवस्था परिवर्तन गर्नुपर्ने बताए । जनज्योती माविका प्रधानाध्यापक तथा पढ्दै कमाउँदै कार्यक्रमका संयोजक नारायण सिग्देलले विद्यार्थीलाई विद्यालयमा पठनपाठनका क्रममा सीप दिन नसक्दा ड्रपआउटको समस्या भएको बताए । विद्यार्थीलाई विद्यालयमै काम गर्दै पढ्ने र पढ्दै काम गर्दै आम्दानी गर्न सक्ने कार्यक्रम देशैभरका विद्यालयमा लागू गराउनुपर्ने आवश्यकता रहेको औँल्याए । जनज्योतीबाट सुरु भएको पढ्दै कमाउँदै कार्यक्रम देशभरका अरू विद्यालयमा पनि लागू हुने क्रममा रहेकाले यसले विद्यार्थी स्कुलबाट मात्रै नभई देशबाटै बाहिर जाने अवस्था रोकिने पनि उनले विश्वास व्यक्त गरे । अहिले विद्यार्थी भर्नाका लागि जुन जुन कार्यक्रम र गतिविधि भइरहेका छन् । ती अझै पर्याप्त छैनन् उनले भने, अब विद्यालयमै विद्यार्थीलाई पढ्दै कमाउँदै कार्यक्रम लागू गरेर स्कुलमै टिकाउने र नेपाली श्रम बजारमा बिकाउने बनाउन सक्नुपर्छ । हाम्रो अभियान पनि त्यही छ । शिक्षा विभागका निर्देशक गणेश पौडेलले विद्यार्थी भर्ना अभियानमा धेरै उपलब्धी हासिल भए पनि अब थप बाहिर रहेका ३ प्रतिशत विद्यार्थी विद्यालय भर्ना गर्न पनि सबैको सहयोगको आवश्यकता रहेको औल्याए । उनले विद्यार्थीलाई विद्यालयमा टिकाउन र नेपाली श्रमबजारमै अभ्यस्त गराउनका लागि सबैको साझा प्रयास हुनुपर्नेमा जोड दिए । शिक्षक, विद्यार्थी, अभिभावक, व्यवस्थापन समिति सबै लागेर गुणस्तरीय सिकाइमा ध्यान दिन सके विद्यार्थी विद्यालय ल्याएर टिकाउन र नेपाली बजारमै बिकाउन सकिने उनले बताए । हामीले एउटा प्रयास पूरा गरेका छौँ । यद्यपि अझै केही विद्यार्थी, खासगरी सडक बालबालिका बाहिर रहेका छन् । उनीहरूलाई विद्यालय ल्याउन नयाँ कार्यक्रम आवश्यक छ उनले कार्यक्रममा भने, अब मुख्य कुरा हो, विद्यार्थीलाई कसरी विद्यालयमा टिकाउने र सिपयुक्त बनाएर सक्षम बनाउने हो, त्यसमा जोड दिनुपर्छ । यो सबैको साझा प्रयासमा सम्भव छ । सरकार त्यसका लागि खुला छ ।"
"१८ जना एसपीलाई एसएसपीमा बढुवा गर्न सिफारिस","काठमाडौं : नेपाल प्रहरीका १८ जना एसपीलाई एसएसपीमा बढुवा गर्न सिफारिस गरिएको छ । बढुवा समितिको शुक्रबार बसेको बैठकले उनीहरूलाई वरिष्ठ उपरीक्षक (एसएसपी)मा बढुवा गर्न सिफारिस गरिएको गृह मन्त्रालयले जनाएको हो । बढुवा सिफारिस हुनेमा विश्व अधिकारी, भुपेन्द्रबहादुर खत्री, सानुराम भट्टराई, ओमप्रसाद अधिकारी, शेखर खनाल, अबि नारायण काफ्ले, सोमेन्द्र सिंह राठौर, मुकुन्द मरासीनी, दीप शम्शेर जबरा, बेलबहादुर पाण्डे, दिनेशराज मैनाली, गोपालचन्द्र भट्टराई, प्रबिन पोखरेल, गंगा पन्त, कृष्णबहादुर पल्ली मगर, विश्वमणि पोखरेल, तारादेवी थापा र प्रज्वल महर्जन रहेका छन् ।"
"पूर्वसांसद खातुन कारागार चलान","विराटनगर : कोसी प्रदेशकी पूर्वसांसद (पूर्व प्रदेशसभा सदस्य) गुलेफुन खातुन शुक्रबार कारागार चलान भएकी छन् । सरकारी कागजात किर्ते मुद्दामा दोषी ठहर भएकी खातुनलाई कैद सजाय भुक्तानका लागि जिल्ला कारागार मोरङ चलान गरिएको हो । उनी नेकपा (एमाले)का तर्फबाट २०७४ सालमा समानुपातिक सांसद बनेकी थिइन् । लामो समयदेखि फरार रहेकी खातुन दिउँसो आफैँ जिल्ला अदालत मोरङमा उपस्थित भएकी हुन् । अदालत उपस्थित भएपछि खातुनलाई कारागार चलान गरिएको अदालतका सूचना अधिकारी हेमबहादुर बुढाथोकीले जानकारी दिए । उनका अनुसार सरकारी कागजात किर्ते मुद्दामा दोषी ठहर भएकी खातुनलाई अदालतले १ वर्ष कैद सजायको फैसला गरेको थियो । जिल्लाको फैसलाविरुद्ध उनी उच्च अदालत विराटनगर पुगेकी थिइन् । तर, उच्चले पनि जिल्लाकै फैसाल सदर गरिदियो । त्यसविरुद्ध उनी सर्वोच्च अदालत पुगिन् । इन्साफ दोहोर्इपाउँ भन्दै सुनुवाइका लागि दायर गरेको निवेदन सर्वोच्चबाट अस्वीकृत भयो । खातुनको निवेदन अध्ययन गर्दै २०७९ जेठ २५ गते सर्वोच्चले निस्सा नदिने आदेश गरेको थियो । तर, त्यही मुद्दाका अर्का प्रतिवादी विजय कामतलाई भने सर्वोच्च अदालतले सुनुवाइका लागि निस्सा दियो । सर्वोच्चबाट निस्सा नपाएकी पूर्वसांसद खातुन मलुकी फौजदारी कार्यविधि संहिता २०७४ को दफा १५५ को सुविधा माग गर्दै निवेदनसहित जिल्ला अदालत मोरङमा उपस्थित भएकी थिइन् । उक्त दफामा १ वर्षसम्म सजाय तोकिएका कैदीले दिनको ३ सय रूपैयाँ शुल्क तिरेर बाहिरै बसी कैद भुक्तान गर्न पाउने कानुनी व्यवस्था छ । तर, अदालतले आदेश नदिएपछि खातुनलाई कारागार चलान गरिएको सूचना अधिकारी बुढाथोकीले बताए । उक्त दफा अनुसार दिएको निवेदनउपर अदालतमा हरेक शुक्रबार सुनुवाइ हुन्छ । खातुनको निवेदनमाथि अर्को शुक्रबार सुनुवाइ हुनसक्ने बुढाथोकीले बताए । अपमान गर्न नमिले भएकाले कानुनको इज्जत गरेर आफैँ अदालत उपस्थित भएको खातुनको दाबी छ । उनले कानुनको परिधिभित्र रहेर न्यायअन्यायको फैसला गरिदिन पनि माग गरिन् । खातुनसहित उनका पति शेख शिलबर मियाँ, मोरङको तत्कालीन कदमाह गाविसका कर्मचारी विजय कामत र दीपचन्द मण्डललाई जिल्ला अदालत मोरङका तत्कालीन न्यायाधीश अम्बिकाप्रसाद निरौलाको इजलासले २०७४ वैशाख ३१ गते दोषी ठहर गरेको थियो । उनीहरूलाई जनही १ वर्ष कैद र ५० रूपैयाँ जरिवानाको फैसला अदालतले सुनाएको हो । साथै सरकारी कर्मचारी रहेका कारण कामत र मण्डललाई थप १ वर्ष गरेर जनही २ वर्ष कैद हुने फैसला अदालतले सुनाएको थियो । जिल्लाको फैसलाविरुद्ध उनीहरू उच्च अदालत विराटनगर पुगे । उच्चले खातुनसहित कर्मचारी कामत र मण्डलका हकमा जिल्ला अदालतले गरेको कैद सजायलाई कायम गर्दै जनही १४ हजार ५ सय रूपैयाँ जरिवाना हुने फैसला २०७४ पुस ९ गते सुनाएको थियो । खातुनका पति मियाँले उच्चबाट सफाइ पाए । मोरङको तत्कालीन कदमाह गाउँ विकास समिति (गाविस)२ (हालको कटहरी गाउँपालिका९) मा मधुसूधनराज पाण्डेको ३ बिघा १० कट्ठा जग्गामा खातुनका ससुरा शेख धाइका मियाँको मोहीयानी हक थियो । मोहीयानी हकको जग्गा परिवारका अन्य सदस्यलाई नदिइकन आफ्नो नाममा मात्रै पार्ने उदेश्यसहित सरकारी कागजात किर्ते गरेको ठहर अदालतबाट भएको हो । खातुनले मोहीयानी हकको ३ बिघा १० कट्ठा जग्गा आफ्नो पार्नलाई २०७१ चैत ४ गते तत्कालीन कदमाह गाविसका सचिवको सिफारिस पेश गरेकी थिइन् । एउटै दर्ता नम्बरका २ वटा सिफारिस गाविसबाट आएपछि उनले किर्ते गरेको खुलेको थियो । त्यसपछि खातुनविरुद्ध मुद्दा चलेको हो ।"
"पुस्तौँदेखि आरनबाट गर्जो टार्दै","डडेल्धुरा : डडेल्धुराका दलित परिवारका मानिस पुस्तौँदेखि आरन व्यवसायबाट गर्जो टारिरहेका छन् । यद्यपि पछिल्लो समयमा आर्थिक अवस्था कमजोर र बढ्दो आधुनिक प्रविधिका कारण पुस्तौँ पुरानो व्यवसायबाट परिवार धानिरहेका मानिस संकटमा परेका छन् । बजारमा दैनिक उपभोग्य सामग्री महङ्गिँदै जानु र आरन तथा डोका, नाम्लाका लागि आवश्यक पर्ने कच्चापदार्थ दुर्लभ हुनाले व्यवसाय नै धरापमा पर्न गएको उक्त समुदायका मानिसको भनाइ छ । फलाम पिटेर विभिन्न औजार निर्माण गर्दै आएका आरन व्यवसायीका साथै बाँस निगालाको कामबाट डोको, नाम्लो तथा सुपो लगायतका सामग्री बनाउने मानिस समस्यामा पर्दै गएका हुन् । तामा, फलामलगायतका सामग्रीको तुलनामा बजारमा पाइने प्लाष्टिकजन्य सामग्री सस्तो हुने र हातले बनाएको सामग्रीको तुलनामा मेसिन तथा आधुनिक प्रविधिबाट निर्माण गरिएका सामग्री आकर्षक हुनाले पुस्तैनी पेसामा आत्मनिर्भर समुदायका मानिसको पेसा नै संकटमा परेको हो । पुस्तौँदेखि अँगालेको आरन पेसालाई आधुनिकीकरण गर्न युवापुस्ताले पनि चासो दिएका छैनन् । त्यसैले पुस्ता हस्तान्तरण हुन नसक्दा परम्परागत पेसा नै लोप हुने खतरामा छ । सल्लाको बोक्राको आगोको लप्कामा ज्यान नै जोखिममा राखी फलाम पिटेर विभिन्न देवीदेवताका मूर्तिसँगै कृषि औजार बनाउने पेसा सदरमुकामदेखि गाउँघरमा विरलै कायम छन् । युवापुस्ताले यो पेसाबाटै मेहनतअनुसार मुनाफा नदेखेपछि विकल्प रोज्न थालेका छन् भने उमेर पुगेका मानिसले मात्रै परिवारको गर्जो टार्न बाध्यताले परम्परागत आरन तथा डोको, नाम्ला बनाउने पेसा गरिरहेका छन् । त्यसमा पनि परिवारको आर्थिक अवस्था कमजोर भएका मानिसले मात्रै यो पेसा अँगालेको पाइन्छ । हातले निर्माण गरेका सामग्री धार्मिकरूपमा राम्रो मानिने र टिकाउ हुने भए पनि मेसिनले बनेका सामग्रीले बजार लिँदा आफूहरू धरापमा परेको सदरमुकाममा आरन व्यवसाय गर्दै आएका नारायण टमटाले बताए । नारायणले यो पेसा अँगालेको छ दशकभन्दा बढी भयो । उनले जिल्ला सदरमुकाममा यो पेसा थालनी गरेको पनि दुई दशक बढी भइसक्यो । सत्तरी वर्ष कटेका नारायण पारिवारिक अवस्था र मानसिक असन्तुलन भएका छोराका लालाबाला हुर्काउन बिहान ७ बजेदेखि साँझ अँध्यारो नपरुञ्जेल फलाम पिटेर निश्चित अकार दिने गर्छन् । हप्ता दिन काम गर्नसके मुस्किलले एक भाँडो बनाउनसक्ने नारायणको भनाइ छ । हप्ता दिन काम गरेर आकार दिएको सामग्रीको १० देखि १२ हजार रुपैयाँ मात्रै पाउने गरेको र त्यसले कोठाभाडा र साँझ, बिहान हातमुख जोर्न पनि धौधौ भइरहेको नारायणले बताए । नारायणलाई यो काममा सघाउन ६० वर्षीया धर्मपत्नी भागरथी टमटाबाहेक अरू कोही छैनन् । मानसिक असन्तुलन भएका छोरा र उनकै श्रीमती र नातिनातिना हुर्काउन बाध्य भएर वृद्ध अवस्थामा फलाम तामो पिट्नु परेको नारायणको दुःखेसो छ । कमजोर आर्थिक अवस्था र पेट पाल्नका लागि मजदुरीका कारण दुःखको जीवन जिउनुपरेको उनको भनाइ छ । त्यसमा पनि कान्छो छोरा रोजगारका लागि भारततिर रहेको उनले जानकारी दिए । बढ्दो आधुनिक मेसिनबाट निर्मित आयातित औजारले प्रभाव जमाउनुअघि सदरमुकाममा र गाउँघरमा आवश्यक पर्ने देवीदेवताका मूर्तिदेखि घरायसी औजार यिनै आरनबाट बन्ने गर्दर्थे । विगतमा यो पेसा स्वावलम्बी ग्रामीण समाजको एउटा महत्त्वपूर्ण पाटोका रूपमा रहेको थियो । अब आरन र आरनमा काम गर्ने मानिस दुवै घट्दै गएका छन् । आरनबाट औजार बनाउने प्रविधिमा समयानुकूल सुधार हुन नसक्नु यसको मुख्य कारण मानिएको छ । परम्परागत पेसाले समान्य पेट पाल्नेबाहेक अरु आर्थिक लाभ केही नभएको उनीहरू बताउँछन् । मेहनत गर्नसके हातमुख जोर्न मिल्ने नत्र भोकै पनि बस्नुपर्ने बाध्यता हुने अजयमेरु१ का जीतबहादुर पार्कीले बताए । उनले यो पेसाबाट कुनै लाभ लिन नसकेको बताए । छोराछोरीलाई राम्रो पढाउन नपाएको उनको दुःखेसो छ । आर्थिक अवस्थाका कारण पेसालाई आधुनिकीकरण गर्न नसकिएको व्यवसायी बताउँछन् । मेसिनबाट बनेका सामग्री हातबाट निर्मित सामग्रीभन्दा सस्ता हुन्छन् । देवीदेवताको मूर्ति बनाउन नै हप्ता दिनभन्दा बढी लाग्ने उनीहरूको भनाइ छ । स्थानीय सरकारको आश्वासन मात्रै मिल्ने गरेको तर सहयोग कुनै रूपमा नपाएको पीडा छ । आधुनिक मेसिन भित्र्याउन नसक्दा युवा वर्ग यो पेसातिर आकर्षित भइरहेका छैनन् । बरु विदेशतिर जान्छन् । धुवाँ, धुलोका कारणले गर्दा युवा यो पेसामा लाग्न मान्दैनन् । 'पुस्तौँदेखि काम गर्दै आएका हामीसँग सीप छ कला छ तर लगानी छैन', देवीदेवताका मूर्तिदेखि घरमा चाहिने सबैखाले आरनबाट बन्ने सामग्री हिजोआज पनि बनाउने गरेका टमटाको भने । अहिलेका युवाले ध्यान नदिएका कारण यो पेसा संकटमा आएको आरन व्यवसायीको भनाइ छ । ज्याला कम आउने तर धेरै मेहनत पर्ने भएकाले परम्परागत आरन पेसा अपनाउन समस्या छ । आरन नहुँदा परम्परागत घरायसी तथा कृषि औजार मर्मत गर्नसमेत समस्या हुने गरेको छ । अहिले पनि ग्रामीण क्षेत्रमा अधिक प्रयोग हुने देवीदेवताका मूर्ति, वाद्यवादनका सामग्री दमाहा, ढोलक, भोक्कर, बिक्कुलका साथै तामाका ताउला गाग्री, खुकुरी, कुटो, कोदालो, हँसियाजस्ता कृषि औजार आरनबाटै बन्ने गरेको नारायण बताउँछन् । औजारको माग अहिले पनि ग्रामीण बस्ती र बजारमा धेरै नै रहेको छ । आरनबाट औजार बनाउने प्रविधिमा सुधार गरी आधुनिकीकरण गरेर प्रोत्साहित गर्नसके स्थानीयस्तरमा रोजगार सिर्जना हुनुका साथै पुस्तैनी पेसा पनि जगेर्ना हुनसक्ने उनीहरूको भनाइ छ ।"
