"शीर्षक","विवरण"
"थप १७ जनामा कोरोना संक्रमण","काठमाडौं : बुधबार थप १७ जनामा कोरोना भाइरस संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार पछिल्लो २४ घन्टामा परीक्षण भएका ५०५ नमूनामध्ये १७ नमूनाको रिपोर्ट पोजिटिभ आएको हो । थप २३ जना कोरोनामुक्त भएका छन् । आज कोरोनाबाट कसैको पनि मृत्यु भएको छैन । हाल सक्रिय संक्रमित १४१ जना रहेको मन्त्रालयले जनाएको छ । पछिल्लो २४ घन्टामा १८ हजार ७१ जनाले कोरोनाविरूद्ध खोप लगाएका छन् ।"
"आगोले जलेर एकै गाउँका चारजनाको मृत्युपछि अर्घाखाँचीको तिरतिरे शोकमा","सन्धिखर्क : आगोले जलेर एकै गाउँका चारजनाको मृत्यु भएपछि अर्घाखाँचीको भुमिकास्थान नगरपालिकाको सिंगो गाउँनै शोमा डुबेको छ । भुमिकास्थान नगरपालिका २ ढाकाबांगमा आगो निभाउने क्रममा घाइते भएका चारजनाको उपचारको क्रममा मृत्यु भएपछि सिंगो तिरतिरे शोकमा डुबेको हो । मंगलबार दिउँसो भुमिकास्थान नगरपालिका २ तिरतिरे खोला गाउँका पदम वेल्वासेको घरमा सल्किएको आगो निभाउने क्रममा घाइते भएका एकै गाउँका चारैजनाको मृत्यु भएको जिल्ला प्रहरी कार्यालय अर्घाखाँचीका प्रमुख प्रहरी नायव उपरीक्षक मुकुन्द रिजालले बताए । घाइतेलाई जिल्ला अस्पताल सन्धिखर्कमा उपचारपछि थप उपचारका लागि मिसन अस्पताल पाल्पा रिफर गरिएको थियो । पाल्पामा उपचार हुन नसकेपछि काठमाडौं रिफर गरिएकोमा उपचारको लागि लैजादै गर्दा केहीको बाटोमा र केहीको उपचारको क्रममा मृत्यु भएको जिल्ला प्रहरी कार्यालयका प्रमुख रिजालको भनाइ छ । आगोलागीमा परि घाइते भएका भुमिकास्थान २ तिरतिरे गाउँका ७२ वर्षीय पिताम्बर वेल्वासेको उपचारका लागि लैजाँदै गर्दा पाल्पाको रामपुरमा, ५५ वर्षीय पदम वेल्वासेको नारायणघाट नजिकै र ५२ वर्षीय घनश्याम वेल्वासेको काठमाडौं कीर्तिपुरको बर्न अस्पतालमा र ३६ वर्षीय माधव वेल्वासेको उपचारको क्रममा सोही अस्पतालमा मृत्यु भएको स्थानीय विष्णु वेल्वासेले बताए । आगोलागीमा परेर घाइते भएकी २६ वर्षीय अस्मिता बेल्वासेको अवस्था सुधारोन्मुख छ । उनको पाल्पाको मिसन अस्पतालमा उपचार भइरहेको छ । आगोलागीले ज्यान गुमाएका घरपरिवारमा रहेका आफन्तलाई भेटेर घटनाको बारेमा प्रमुख जिल्ला अधिकारी मिना अर्याललगायतको टिमले जानकारी लिनुका साथै राहात समेत प्रदान गरेको छ । प्रमुख जिल्ला अधिकारीको नेतृत्वमा गएको जिल्ला स्तरीय सुरक्षा प्रमुखहरुको टोलीले घटनास्थलमा गएर आगलागीको प्रकृति, मृतकका परिवारको अवस्था र आगो लाग्नुको कारणबारे जानकारी लिएको प्रमुख जिल्ला अधिकारी अर्यालको भनाइ छ । आगलागीमा परेर ज्यान गुमाएका चारजनाको परिवारलाई तत्कालका लागि ५० हजार रुपैयाँका दरले राहात उपलब्ध गराउने अर्यालले बताइन् । मंगलबार नेपाल प्रहरी,सशस्त्र प्रहरी,स्थानीयबासी र जनप्रतिनिधिको सक्रियतामा आगो नियन्त्रणमा लिएसँगै अन्य घरहरू जोगिएका थिए । यो पनि पढ्नुहोस अर्घाखाँचीमा आगो निभाउने क्रममा जलेका ३ जनाको मृत्यु , १ गम्भीर अर्घाखाँचीमा आगो निभाउने क्रममा जलेर घाइते भएका चारैजनाको मृत्यु"
"""रसुवागढीदेखि काठमाडौंसम्म भू्मिगत रेलमार्ग बन्ने","अध्ययन गर्दै चिनियाँ प्राविधिक"",""नुवाकोट : चीनको सहयोगमा बन्ने बहुचर्चित रसुवागढीदेखि राजधानी काठमाडौंसम्म भूमिगत रेलमार्गको अध्ययन सुरु भएको छ । पहिलो चरणमा चिनियाँ प्राविधिकहरू स्थलगत अध्ययनमा पुगेका छन् । चीन सरकारको अनुदानमा केरुङबाट रसुवागढी हुँदै काठमाडौंसम्म ७२ दशमलव पाँच किलामिटरको रेलको भूमिगत सुरुङ मार्गको अध्ययन कार्य भइरहेको रेल विभागले जनाएको छ । तीन खर्ब लागतमा निर्माण हुने सुरुङ मार्गको ९२ प्रतिशत संरचना भूमिगत रहने रेल विभागका महानिर्देशक रोहितकुमार विसुरालले जानकारी दिए । उनका अनुसार चिनियाँ प्राविधिकसहितको टोलीले सम्भाव्यता अध्ययन गरिरहेको छ । चाइना रेल्वे फष्ट सर्भे एण्ड डिजाइन इष्ट्रिच्युटका टोली स्थलगत सर्भेमा रहेको महानिर्देशक विसुरालले बताए । सो टोलीमा मिष्टर फांगले नेतृत्व गरिरहेका छन् । भूमिगत रेलमार्ग खोला भएका स्थानमा भने बाहिर देखिने छन् भने अन्य स्थानमा भूमिगतरूपमा हुनेछ । लागत, प्राविधिक, मेशिन, उपकरण सबै चीनको रहने सो आयोजनाको लागि ४२ महिनाको सम्झौता गरिएकोमा चार महिनाको समय पूरा भइसकेको महानिर्देशक विसुरालले बताए । उनका अनुसार चीनले नेपाललाई सहयोग गर्ने योजनाअनुसार सो कार्य अगाडि बढेको र रेलमार्गको निर्माणपछि नेपालको विकासमा एउटा अध्याय पूरा हुनेछ । रेलमार्ग काठमाडौं रेलमार्गको सम्भाव्यता अध्ययनका लागि चिनियाँ प्राविधिक टोलीले फिल्ड सर्भेको कार्य धमाधम गरिरहेका छन् । चीनबाट आएको उक्त टोलीले रेलमार्गको सम्भाव्यता अध्ययन सम्पन्न गरेपछि फिल्ड सर्भेको काम सुरु गरेको हो । अहिले चीनियाँ प्राविधिक टोलीले रसुवागढीस्याफ्रुबेसी हुँदै धुन्चे र काडमाडौंत्रिशुलीबेत्रावती हुँदै धुन्चे गरी दुई स्थानबाट सर्भे गरिरहेको छ । यसका साथै चीनको प्राथमिकतामा छहरेटोखा सुरुङमार्ग, वेत्रावतिस्याफ्रुवेशी सुरुङमार्ग र स्यापुर्वेशीरसुवागढी सडकमार्गसमेत रहेको छ । सम्भाव्यता अध्ययनका लागि नेपाल आएको टोलीले पहिलो चरणमा फिल्ड सर्भेको काम गर्ने रेल विभागले जनाएको छ । टोलीले फिल्ड सर्भे गरेपछि थप अर्को प्रक्रिया अगाडि बढाउने रेल विभागले जनाएको छ । भूमिगत रेलमार्गको निर्माणपछि नेपाल र चीनवीचको आर्यात निर्यात बढेर नुवाकोट र रसुवावासीको मात्रै नभई समग्र देशकै अर्थतन्त्रमा बढोत्तरी हुने नुवाकोट उद्योग वाणिज्य संघका अध्यक्ष राजेन्द्र श्रेष्ठले बताए । नेपालकै परिवर्तनको सुनौलो ढोका सावित रहने भुमिगत रेलमार्गको निर्माणमा सवै पक्षले सहयोग पुर्याउनुपर्ने उनको जोड छ । केरुङकाठमाडौं रेलमार्गको सम्भाव्यता अध्ययनका लागि चिनियाँ प्राविधिक टोलीले फिल्ड सर्भेको विशेष काम गरेको छ । रेल विभागकाका अनुसार चीनबाट आएको टोलीले रेलमार्गको पूर्वसम्भाव्यता अध्यययन सम्पन्न पछि फिल्ड सर्भेको काम सुरु गरेको हो । चिनियाँ प्राबिधिक टोलीले रसुवागढी स्याफ्रुबेसी हुँदै धुन्चे र काडमाण्डौ त्रिशूली बेत्राबती हुँदै धुन्चे गरी दुईतिरबाट सर्भे गरिरहेको छ । चाइना रेलवे फस्ट सर्भे एन्ड डिजाइन इन्स्टिच्युट गु्रपको ६ जना प्राविधिक टोली सर्भेका लागि फिल्डमा खटिएका छन् । सम्भाव्यता अध्ययनका लागि आएको टोलीले पहिलो चरणमा फिल्ड सर्भेको काम गर्ने रेल विभागले जनाएको छ । चीन र नेपालको संयुक्त टोलीले फिल्ड सर्भे गरेपछि सम्भाव्यता अध्ययन प्रक्रिया अगाडि बढाउने सम्बन्धमा छलफल गरिने रेल विभागले जनाएको छ । प्रारम्भिक अध्ययन अनुसार यसको सम्भाव्यता अध्ययन सक्न ४२ महिना लाग्ने छ । यसअघि गरिएको पूर्वसम्भाव्यता अध्ययनमा प्रारम्भिक विषय मात्र आएकाले अब हुने सम्भाव्यता अध्ययनबाट रेलमार्गको वास्तविक दूरी, लागत, सुरुङ, पुलको उचाइ, स्टेसन लगायतका विषय टुंगिने छ । २०७८ चैतमा काठमाडौंकेरुङ रेलमार्गको सम्भाव्यता अध्ययन गर्न दुई देशबीच औपचारिक सहमति भएको थियो । चिनियाँ विदेश मन्त्री वाङ यीको नेपाल भ्रमणका बेला दुई देशका उच्च अधिकारी बीच छिट्टै अध्ययन गर्ने गरी समझदारी पत्रमा हस्ताक्षर भएको थियो । रसुवागढीवाट आएको रेलमार्गले जोडिने नुवाकोट र रसुवाको मात्रै नभई यसले देशकै विकासमा फड्को मार्ने विदुर नगरपालिकाका मेयर राजन श्रेष्ठको भनाइ छ ।"""
"शरणार्थी प्रकरणका दोषीलाई कारबाही माग गर्दै प्रदर्शन","काठमाडौं : नक्कली भुटानी शरणार्थी प्रकरणमा दोषीलाई कडा कारबाही गर्नुपर्ने भन्दै काठमाडौंमा प्रदर्शन भएको छ । नक्कली भुटानी शरणार्थीको काण्डको सक्कली छानविन गर्नुपर्ने भन्दै बृहत् नागरिक आन्दोलनले काठमाडौंको भद्रकालीमा प्रदर्शन गरेको हो । उनीहरूले कसैको दबाबमा दोषिले उन्मुक्ति नपाउने गरि कारबाही गर्न माग गरे । बृहत् नागरिक आन्दोलनमा राष्ट्रिय स्वतन्त्र पार्टीले समेत समर्थन गरेको थियो । प्रदर्शनमा सहभागी रास्वपा केन्द्रीय सदस्य लिमा अधिकारीले नक्कली भुटानी शरणार्थी प्रकरणमा सबै जनताहरू सरकारको साथमा रहेको भन्दै खुट्टा कमाउने नहुनेमा जोड दिइन् । प्रदर्शनमा सहभागीहरूले हाम्रो कर मिलेर लुट्न बन्द गर, भ्रष्टाचारको पेटमा, मानव तस्करीको दश हातटोपबहादुरलाई ओलीको साथ, शरणार्थीको प्रकरणको सक्कली छानबिन होस लगाएतका प्लेकार्ड प्रदर्शन गरेका थिए ।"
"""मुलुकी संहिता अध्यादेश प्रतिनिधिसभाबाट पारित","मिटरव्याजी साहुलाई सात वर्ष जेल हुने"",""काठमाडौं : मुलुकी संहितासम्बन्धी केही नेपाल ऐनलाई संशोधन गर्ने अध्यादेश, २०८० प्रतिनिधिसभाबाट पारित भएको छ । कानुन न्याय तथा संसदीय मामिला मन्त्रालयको तर्फबाट अर्थमन्त्री डा प्रकाशशरण महतले पेस गरेको अध्यादेश बहुमतले पारित भएको हो । योसँगै अब मिटरब्याज पीडितहरूले न्याय पाउने भएका छन् । गत बुधबार सरकारले मुलुकी संहितासम्बन्धी केही नेपाल ऐनलाई संशोधन गर्ने अध्यादेश, २०८० ल्याएर राजपत्रमा प्रकाशित गरेसँगै पीडितले न्याय पाउने बाटो खुलेको हो । सरकारले मिटरब्याजीलाई सात वर्ष कैद र ७० हजार रुपैयाँ जरिवाना हुने कानुनी व्यवस्था गरेको छ । कैद र जरिवानाको कुरा मुलुकी आचारसंहिता, २०७४ को संशोधन उपदफा ४ मा उल्लेख छ । अनुचित लेनदेनको आधारमा ऋणीबाट रकम वा कुनै अन्य अचल सम्पत्ति लिएमा सम्बन्धित ऋणीलाई त्यस्तो रकम वा अचल सम्पत्ति बराबरको रकम कसुरदारले तिर्नुपर्ने व्यवस्था त्यहाँ राखिएको छ । त्यस्तै लिखत तयार गर्दा साहु र ऋणीको कम्तीमा एकएक जना साक्षीको नाम, थर, ठेगाना हुनुपर्ने व्यवस्था राजपत्रमा उल्लेख छ । तर, एक लाख रुपैयाँभन्दा बढीको लेनदेन कारोबार नगदै वा घरसारमा गरेको भएमा त्यस्तो रकम नभराउने पनि उल्लेख गरिएको छ ।"""
"वर्षको अन्तिममा मात्रै खर्च गर्ने प्रवृत्तिको अन्त्य गर्ने अर्थमन्त्रीको घोषणा","काठमाडौं : अर्थमन्त्री प्रकाशशरण महतले अर्थतन्त्र ओरालो लागेको भन्ने हल्ला निराधार रहेको बताएका छन् । प्रतिनिधिसभामा सांसद्हरूले उठाएका प्रश्नको जवाफ दिँदै उनले अर्थतन्त्र आरालो लागेको नभइ उकालोतर्फ चढिरहेको दाबी गरे । अर्थतन्त्र ओरालो लागेको पनि होइन । अर्थतन्त्र उकालो छिटो चढ्नुपर्नेमा विस्तारै चढिरहेको छ । अहिले पनि आर्थिक वृद्धि पहिलेको भन्दा उकालो लागेको छैन । तर, अर्थतन्त्र रफ्तार गतिमा अघि नबढेको यथार्थ हो,' उनले भने । राजस्व बढाउने लक्ष्य हासिल नगरेको यथार्थ उनले खुलाए । महतले भने, हामीले चाहेजस्तो आर्थिक वृद्धि भएको छैन । राजस्व बढाउने लक्ष्य हासिल नगरेको पनि यथार्थ हो । अहिले पनि व्यापार घाटा कायम छ । ऋणको दायित्व बढ्दैछ, उनले प्रस्ट्याए । उनले विदेशी सहयोग ऋणको पनि सीमितता रहेको बताए । उनले थपे, अहिले मौद्रिक नीति कडाइ गर्दा व्याजदर बढ्यो । ऋण लिएर लगानी गरेकाको दायित्व बढ्यो । त्यसबाट बजारमा गतिविधि कम भइरहेको छ । अर्कोतर्फ सरकारी खर्च राम्रोसँग गर्न सकेनौं । अर्थमन्त्री महतले मौद्रिक नीति खुकुलो बनाइने बताए । मौद्रिक नीति खुकुलो बनाउने र यसले गर्दा व्याजदर कम हुन्छ । जसले उद्योग व्यवसायमा ऋण लिन चाहन्छन् । उनीहरूलाई राहत हुन्छ,' उनले भने । अन्तिम समयमा खर्च गर्ने र ९ महिना सुत्ने प्रवृत्तिको अन्त्य हुने उनको भनाइ छ । अब पहिलो दिनदेखि नै खर्च गर्नुपर्छ । यो भयो भने पुँजीगत खर्च बढ्छ,' उनले भने । उनले थपे, 'विगतमा वास्तविक स्रोत नै सुनिश्चित नभएर पूरा लागतको ठेक्का अघि बढायौं । त्यसैले गर्दा आयोजना कागजमा छ । तर, त्यो काम अघि बढिरहेको छैन । त्यस्ता आयोजना हजारौं छन् । विगतमा स्रोतनै नभएर ठेक्का लगाइएको देखियो । स्रोत सुनिश्चित गरेर बजेट विनियोजन गरिएको उनले बताए । महतले भने, मौद्रिक नीतिमार्फत् व्याज सहज बनाउनुपर्छ । ऋण तिर्न कठिनाई भएकालाई समय दिनुपर्छ । र, पुँजीगत खर्चलाई वृद्धि गर्नुपर्छ । यसरी अर्थतन्त्रमा देखिएको दबाब र शिथिलता समाप्त हुन्छ । जथाभावी वैदेशीक ऋण नलिने घोषणा गर्दै उनले भने, 'यसले बोझ थप्छ । विदेशी सहयोग लिने विषयमा अत्यन्तै चनाखो हुन्छौं । सहयोग त चाहिएको छ । तर प्राथमिकता हेरेरमात्रै अघि बढ्छौं ।'"
"पूर्वगृहमन्त्री बालकृष्ण खाँणलाई तीन दिन हिरासतमा राख्न अनुमति","काठमाडौं : नेपाली कांग्रेसका केन्द्रीय सदस्य एवं पूर्वगृहमन्त्री बालकृष्ण खाँण र उनका स्वकीय सचिव नरेन्द्र केसीलाई तीन दिन हिरासतमा राखेर अनुसन्धान गर्न काठमाडौं जिल्ला अदालतले प्रहरीलाई अनुमति दिएको छ । नक्कली शरणार्थी बनाई अमेरिका पठाउने लोभ देखाएर करोडौंको रकम ठगी गरेको घटनामा जोडिएपछि आजै उनलाई प्रहरीले नियन्त्रणमा लिएको थियो । उनीसँगै उनका स्वकीय सचिव नरेन्द्र केसीलाई पनि प्रहरीले पक्राउ गरेको थियो । हिजो पक्राउ परेकाहरूको हकमा भने चार दिन म्याद थप भएको जिल्ला प्रहरी परिसर काठमाडौंका प्रहरी उपरीक्षक सीताराम रिजालले जानकारी दिए । जिल्ला सरकारी वकिलको कार्यालय काठमाडौंले आज पक्राउ परेका खाँण र केसीको हकमा तीन दिन र अन्यको हकमा चार दिन म्याद थपको सिफारिससहित अदालतमा पेश गरिएको थियो । अदालतबाट माग भएबमोजिम नै म्याद थप भएको छ । उक्त घटनामा अहिलेसम्म प्रहरीले १२ जनालाई पक्राउ गरी अनुसन्धान जारी राखेको छ । यसअघि हिजो मंगलबार काठमाडौंको टोखा बस्ने रामशरण केसी र मोरङ घर भएका गोविन्द चौधरीलाई प्रहरीले पक्राउ गरेको थियो । त्यसअघि प्रहरीले तत्कालीन गृहमन्त्री रामबहादुर थापाका सुरक्षा सल्लाहकार इन्द्रजित राईसहित बहालवाला सचिव (तत्कालीन गृहसचिव) टेकनारायण पाण्डे, सन्दीप रायमाझी, केशव दुलाल, सानु भण्डारी, टङ्क गुरुङ, सन्देश शर्मा पोखरेल र सागर थुलुङलाई पक्राउ गरिसकेको छ । सचिव पाण्डेलाई हालः निलम्बन गरिएको छ । (नोट : यसअघि चार दिन म्याद थपिएको भएकोमा सच्याइएको छ सम्पादक)"
"राष्ट्रिय टिमका क्रिकेटरलाई विराटनगर परिक्रमासँगै सम्मान","विराटनगर : नेपाली राष्ट्रिय क्रिकेट टिमका खेलाडीलाई बुधबार कोसी प्रदेशको राजधानी विराटनगर परिक्रमा गराइएको छ । औद्योगिक एवं व्यावसायिक संघ संस्थाले राष्ट्रिय टोलीका क्रिकेटरलाई विराटनगर महानगर परिक्रमा गराइएको हो । हालै सम्पन्न एसीसी प्रिमियर कपमा ऐतिहासिक जित निकाल्दै नेपाल एसिया कपमा छनोट भएको खुसीयालीमा क्रिकेट टिममा आवद्ध खेलाडीलाई भव्य स्वागत एवं सम्मानसहित नगर परिक्रमा गराइएको हो । राष्ट्रभावका गीत बजाएर क्रिकेटका समर्थकहरु हर्षोल्लाससाथ कार तथा मोटरसाइकलसहित परिक्रमा र्यालीमा सहभागी भएका थिए । उनीहरूले नेपाल एसिया कपमा छनोट भएको र क्रिकेटरले मुलुकको शीर उचो बनाउन भूमिका खेलेको भन्दै खुसी साटासाट गरे । त्यसको आयोजना उद्योग संगठन मोरङ, मोरङ व्यापार संघ र नेपाल उद्योग वाणिज्य महासंघ कोसी प्रदेश मिलेर गरेका हुन् । र्यालीमा राष्ट्रिय टिमका कप्तान रोहित पौडेल,करण केसी,ललित राजवंशी,दिपेश कँडेल,दीपेन्द्रसिंह ऐडी र पूर्वकप्तान ज्ञानेन्द्र मल्लसहितको टिमले ट्रफी बोकेर नगर परिक्रमा गरेको थियो । दिपेश कँडेल र ललित राजवंशी विराटनगरकै बासिन्दा हुन् । क्रिकेटरलाई विराटनगरको कन्चनबारीस्थित एयरपोर्ट मोडबाट बरगाछी,तीनपैनी, मेनरोड, ट्राफिक चोक हुँदै रोडशेष चोक र त्यहाँबाट पुनः महेन्द्र चोक हुँदै बरगाछीसम्म परिक्रमा गराइएको थियो । परिक्रमापछि ३ वटै संस्थाले खेलाडीहरूलाई रात्रिभोजसहित सम्मान कार्यक्रमको पनि आयोजना गरेका छन् । त्यसक्रममा नेपाल राष्ट्रिय टिमका ट्रेनर अब्दुल सतारको स्वास्थ्य उपचारमा सहयोगार्थ आर्थिक सहयोग पनि गरिने भएको छ । एसीसी प्रिमियर कपको फाइनलमा युएईलाई ७ विकेटले हराउँदै एसिया कपमा छनोट भएको नेपालले आगामी सेप्टेम्बरमा पाकिस्तानमा हुने एसिया कपमा सहभागिता जनाउने छ । त्यहाँ नेपालले विश्व क्रिकेटका शक्तिशाली मुलुक भारत र पाकिस्तानविरुद्ध प्रतिस्पर्धा गर्ने छ । नेपालले २१ वर्षपछि एसिया कपमा स्थान बनाएको हो । सन् २००२ मा सिंगापुरमा भएको एसीसी ट्रफीको फाइनलमा स्थान बनाउँदै नेपाल एसिया कपमा पुगेको थियो । तर, भारत र पाकिस्तानको आन्तरिक राजनीतिक विवादको कारण त्यो वर्ष एसिया कप नै रद्द भएको थियो । नेपाली राष्ट्रिय टिमका क्रिकेटरलाई विराटनगर परिक्रमा गराइँदै । तस्बिर : अन्नपूर्ण"
"कालिकोटका कृषि उत्पादन अब विश्व बजारमा","वीरेन्द्रनगर : कालिकोटको तिलागुफा नगरपालिकाले यहाँका स्थानीय उत्पादनलाई विश्व बजारमा बजारीकण गर्ने भएको छ । नगरपालिकाले गाउँका किसानको अर्गानिक उत्पादन सोझै उपभोक्ताको पहुँचमा पुगाउन खोलिएको मुना कृषि लिमिटेडसँग सम्झौता गरी यहाँका स्थानिय उत्पादनलाई विश्व बजारमा बजारीकण गर्ने थालेको हो । तिलागुफा नगरपालिका प्रमूख शंकरप्रसाद उपाध्याय र मुना कृषि लिमिटेडका अध्यक्ष युवराज गुरुङबीच दुई पक्षीय सम्झौता गरी तिलागसफाका रैथानी बालीहरू बजारीकरण गर्न तिलागुफा नगरपालिका वडा नं १ नाग्म बजारमा शाखासमेत खोलिएको छ । मुना कृषि लिमिटेडका अध्यक्ष युवराज गुरुङ, सितादेवी पाण्डेसहितको टोली कृषि उपज बस्तु रैथाने बालिहरुलाई संरक्षण, सम्बर्द्धन गरी बजारको ग्यारेन्टी गर्ने र तिलागुफा नगरपालिकालाई व्यावसायीकरण गर्ने उद्देश्यले तिलागुफा नगरपालिकामा नगरप्रमुख शंकरप्रसाद उपाध्याय, उप प्रमुख महेन्द्रबहादुर शाही लगायतको टोलीले दुई पक्षिय अन्तरक्रिया गरी नगरपालिका भित्र हुने कृषि उत्पादन वृद्धि गर्ने र बजारको सुनिश्चितता गर्ने प्रतिबद्धता पनि जनाएका छन् । मुना कृषि लिमिटेड र तिलागुफा नगरपालिकाबीच २०७९ चैत ८ गते तिलागसफाका स्थानिय उत्पादन बजारीकरण गर्नका लागि ५ वर्षे दुई पक्षीय सम्झौता भएको थियो । स्थानीय कृषि उपजको संकलन वैज्ञानिक एवं आधुनिक प्रशोधन गरी विश्व बजारमा बजारीकरण गर्ने उद्देश्यसहित मुना कृषि लिमिटेडको शाखा नै तिलागुफामा स्थापना गरिएको मुना कृषि लिमिटेडका अध्यक्ष युवराज गुरुङले बताए । उनका अनुसार कर्णाली बाट अहिले ३३ प्रकारका रैथाने बालीहरूको संकलन एवं बिक्री वितरण भइरहेको छ । गैर आवासीय नेपाली संघद्वारा सञ्चालित यस मुना कृषि लिमिटेडमा एनआरएनको कृषि प्रवर्द्धन समिती, राष्ट्रिय कृषक समूह महासंघ, बाग्मती प्रदेश सरकार, काठमाडौं महानगर पालिका, ललितपुर महानगर पालिकाको समेत सहकार्य छ । जुन सहकार्यमा कर्णालीबाट तिलागुफा नगरपालिका पनि जोडिएको हो । बजार सुरु गरेको ९ महिनामा ५३ जिल्लाबाट कृषि बस्तु ल्याउन सुरु गरेको यस मुना कृषि लिमिटेडले अब चाडै ७७ जिल्लाको कृषि बस्तु बजारमा ल्याउने लक्ष्य राखेको अध्यक्ष गुरुङले बताए । तिलागुफा नगरपालिका प्रमुख शंकरप्रसाद उपाध्यायले मुना कृषि लिमिटेडसँगको सहकार्यले तिलागुफाको कृषि उत्पादनले बजार पाउने निश्चित भएको बताए । उनले भने, 'कृषिजन्य बस्तु उत्पादनका हिसाबले प्रचुर सम्भावना बोकेको तिलागुफाको कृषि उपजले बजार नपाइरहेका बेला मुना कृषि लिमिटेडले बजारको सुनिश्चितता गर्ने प्रतिबद्धतासहित शाखा विस्तार गरेसँगै किसानलाई ठूलो राहत महसुस भएको छ । अब किसानले उत्पादन गरेको बस्तु कुहिएर जादैन । विगतमा यहाँको स्याउ, सिमी, आलुलगायतका अन्य तरकारीजन्य बाली बजारकै समस्याले खेर जाने गरेका थिए ।"
"बालकृष्ण खाँण पक्राउ परेपछि कांग्रेसले भन्यो परिपक्व अनुसन्धान होस्","काठमाडौं : नेपाली कांग्रेसले नक्कली भुटानी शरणार्थी प्रकरणमा निष्पक्ष छानबिन हुनुपर्ने बताएको छ । पार्टी सभापति शेरबहादुर देउवा निवासमा बुधबार भएको पदाधिकारी बैठकले निष्पक्ष छानबिन हुनुपर्ने निष्कर्ष निकालेको हो । पार्टी प्रवक्ता प्रकाशशरण महतले बैठकमा भातृसंस्था, विभाग र प्रदेश १ मा भइरहेको आन्दोलनका विषयमा छलफल भएको बताए । उनले प्रहरी हिरासतमा रहेका पूर्व गृहमन्त्री एवं पार्टी केन्द्रीय सदस्य बालकृष्ण खाँणको विषयमा पनि चासो र चिन्ता व्यक्त गरिएको बताए । उनले नेता खाँणलाई तत्काल निलम्बन नगर्ने संकेत गरे । उनले शरणार्थी प्रकरणमा सहयोग गर्ने बताएको भन्दै नेता खाँणको विषयमा तत्काल कुनै निर्णय नगर्ने बताए । 'उहाँ भाग्नुभएको छैन । अनुसन्धानलाई सहयोग गर्नुभएको छ । अनुसन्धान परिपक्व होस् । अनुसन्धानको निष्कर्ष नआइकन हामी केही भन्दैनौं,' उनले भने । उनले आफ्ना नेता एमाले नेता टोपबहादुर रायमाझीजस्तो फरार नरहेको बताउँदै खाँणको विषयमा परिपक्व अनुसन्धान भएपछि मात्रै ठोस निर्णय गर्ने बताए ।"
