"शीर्षक","विवरण"
"सिन्धुलीमा लागूऔषधसहित एक जना पक्राउ","सिन्धुली : जिल्ला प्रहरी कार्यालय सिन्धुलीले लागूऔषधसहित एक जनालाई पक्राउ गरेको छ । शुक्रबार दिउँसो कमलामाई नगरपालिका६ माझिटारमा यात्रुबाहक हायस गाडी चेकजाँच गर्ने क्रममा एक्सपल्वन र निट्राभेट ट्याबलेटसहित बर्दिवास नगरपालिका४ माइस्थानका २१ वर्षीय रविन विश्वकर्मालाई प्रहरीले नियन्त्रणमा लिएको हो । विर्तामोडबाट काठमाडौं तर्फ जाँदै गरेको प्रदेश ३०१००५ ख ९७६७ नम्बरको हायसमा रहेका विश्वकर्माले लगाएको पाइन्टमा एक्सपल्वन २ सय एमएल र निट्राभेटदश लेखिएको १० पत्ता ट्याब्लेट लागूऔषध फेला पारिएको थियो । पक्राउ गरिएका विश्वकर्मालाई शुक्रबार नै जिल्ला अदालत सिन्धुलीबाट पाँच दिनको म्याद थप गरी अनुसन्धान कार्य सुरु गरिएको प्रवक्ता तथा प्रहरी नायव उपरीक्षक चिरन्जिवी दाहालले जानकारी दिए ।"
"परराष्ट्रमन्त्री साउद र भारतीय समकक्षीबीच ढाकामा 'साइडलाइन' वार्ता","काठमाडौं : परराष्ट्रमन्त्री एनपी साउद र भारतीय समकक्षी एस जयशकंरबीच भेटवार्ता भएको छ । छैटौं हिन्द महासागर सम्मेलनमा सहभागी हुन बंगलादेशको राजधानी ढाका पुगेका परराष्ट्रमन्त्री साउद र जयशंकरबीच साइडलाइन वार्ता भएको हो । भारतीय विदेशमन्त्री जयशंकरले पहिलो बैठक मन्त्री साउदसँग भएको जानकारी दिएका छन् । उनले मन्त्री साउदलाई नयाँ जिम्मेवारीको लागि बधाई ज्ञापन गरेका थिए । बैठकमा द्विपक्षीय हितका विषयमा छलफल भएको थियो । उनले दुई देशबीच निरन्तर विस्तार भइरहेको साझेदारी र ऊर्जा, कनेक्टिभिटीलगायत विषयमा छलफल भएको जानकारी दिए ।"
"नक्कली भूटानी शरणार्थी काण्डका दोषीमाथि कारबाही गर्न माग गर्दै प्रदर्शन","विराटनगर : नक्कली भूटानी शरणार्थी काण्डका सबै अपराधीलाई कडा कारबाहीको माग गर्दै नेपाल कम्युनिष्ट पार्टी (एकीकृत समाजवादी) ले आज विराटनगरमा प्रदर्शन गरेको छ । पार्टीको महानगर कमिटीद्वारा शुक्रबार विराटनगर विरोध प्रदर्शनमा सहभागीहरूले दोषीमाथि कारबाही गर्न निष्पक्ष रूपमा कार्य अगाडि बढाउनुपर्ने विचार राखेका छन् । वक्ताहरूले नक्कली भूटानी शरणार्थी प्रकरणमा दोषी देखिएका जुनसुकै तहका व्यक्ति भए पनि पक्राउ गरी अनुसन्धान गर्नुपर्ने माग गरेका छन् । उनीहरूले अहिलेसम्म गरिएको प्रहरी अनुसन्धान र कारबाहीप्रति जनताको साथ रहेको छ भन्दै सरकारले भ्रष्टाचारविरुद्ध सशक्त कदम चालेकामा प्रशंसा व्यक्त गरेका छन् । एकीकृत समाजवादीका पोलिटब्यूरो सदस्य महेश रेग्मीले नक्कली भूटानी शरणार्थी काण्डले गर्दा मुलुकको शिर विश्वका सामु निहुराउने लज्जास्पद घटना भएको बताए । कोणसभामा केन्द्रीय सदस्य तथा महानगर कमिटी इञ्चार्ज सेवन्तराज भण्डारी, महानगर कमिटी अध्यक्ष वीरेन्द्र यादव, जिल्ला कमिटी सहसचिव नीलम ढुङ्गेल, महानगर कमिटी उपाध्यक्ष कविराज घिमिरे लगायतले दोषीलाई कारबाही गर्न सरकारले खुट्टा कमाउनु हुँदैन भन्ने विचार राखेका छन् ।"
"बजेटमा के चाहन्छ निजी क्षेत्र ?","काठमाडौं : सरकार आगामी आर्थिक वर्ष २०८०८१ को बजेट निर्माणको क्रममा छ । जेठ १५ गतेभित्र बजेट ल्याउनुपर्ने संवैधानिक व्यवस्थाअनुसार अहिले सरकारले विभिन्न क्षेत्रसँग पूर्वबजेट छलफल चलाइरहेको छ । बजेटका सिद्धान्त तथा प्राथमिकतामा संसद्मा प्रस्तुत भइसकेका छन् भने त्यसमाथि संसद्मा छलफलसमेत सकिसकेको छ । पूर्वबजेट छलफलका क्रममा विभिन्न सरोकारवाला क्षेत्रबाट सरकारले सुझाव लिइरहेको छ । निजी क्षेत्रका छाता संगठनले पनि आगामी आवको बजेटमा समेटिनुपर्ने विषयबारे सरकारलाई सुझाव बुझाइसकेका छन् । नेपाल उद्योग वाणिज्य महासंघले आगामी आवका लागि आर्थिक सुधारका लागि सरकारलाई मुख्य पाँचवटा सुझाव दिएको छ । महासंघले सरकारलाई बुधबार बुझाएको सुझाव प्रतिवेदनमा तरलता व्यवस्थापन एवं कर्जा विस्तार, विप्रेषण प्रवर्द्धन कार्यक्रम, पुँजीगत खर्च वृद्धि, अनुत्पादक खर्चमा कटौती र सुशासनलाई केन्द्रमा राख्न भनिएको छ । त्यस्तै, प्रतिस्पर्धी औद्योगिक उत्पादन, स्टार्टअप प्रवर्द्धन, ऊर्जा विकास रणनीत, कृषि पारस्थितिक प्रणालीमा सुधार, पूर्वाधार विकास, राजस्व सुधार योजनालगायत विषयलाई बजेटको प्राथमिकतामा राख्नुपर्ने महासंघको माग छ । तरलता व्यवस्थापन तथा कर्जा विस्तारका लागि कर्जाको पुनःसंरचना र पुनरतालिकीकरण, कर्जानिक्षेप अनुपात (सीडी रेसियो) मा सहजीकरण, निर्माण व्यवसायीको रकम समयमै भुक्तानी, वैदेशिक ऋण तथा अनुदानका आयोजनाको समयमै लेखापरीक्षण र शोधभर्नालगायत सुझाव सरकारलाई दिएको छ । त्यसैगरी, पूर्वाधार आयोजनाको कार्यान्वयनका लागि सहजीकरण गर्न उच्चस्तरीय एकद्वार समिति गठन, संस्थागत कोषको रकम कम्तीमा २० प्रतिशत उत्पादनमूलक क्षेत्रमा लगानी गर्ने व्यवस्था, २० प्रतिशत महँगो भए पनि स्वदेशी वस्तु मात्रै खरिद गर्ने व्यवस्थाको कार्यान्वयनलगायत सुझाव महासंघले दिएको छ । विप्रेषण प्रवर्द्धनका लागि निजी क्षेत्रमा लगानी गर्न पाउनुपर्ने, रु एक लाखसम्मको आन्तरिक विप्रेषण खुला गरिनुपर्ने, निजी क्षेत्रको सहकार्यमा चार महिनाको रोजगारमुखी कार्यक्रम सञ्चालन गरिनुपर्ने सुझाव महासंघको रहेको छ । त्यसैगरी, सुशासन प्रवर्द्धनतर्फ अन्तर्राष्ट्रिय अनलाइन पेमेन्ट गेटवेको व्यवस्था गर्नुपर्ने, सबै सरकारी सेवा अनलाइनबाट हुने व्यवस्था गर्ने, विद्युतीय माध्यमबाट कर परीक्षण गरिनुपर्नेलगायतका सुझाव दिइएको छ । नेपालको औद्योगिक उत्पादनलाई प्रतिस्पर्धी बनाउनका लागि करिब चार सयको सङ्ख्यामा ऐन, तीन सय ५० नियमावली, निर्देशिका, अध्यादेशका संशोधन र परिमार्जन आवश्यक रहेको महासंघले जनाएको छ । त्यसैगरी लगानी बोर्डको कार्यालय, उद्योग विभाग, विशेष आर्थिक क्षेत्र, कम्पनी रजिष्ट्रार कार्यालय, कर कार्यालय, वाणिज्य विभाग, घरेलु कार्यालय, प्रदेश र स्थानीय तहबाट सेवा लिन एकीकृत सेवा प्रणालीको स्थापना गरिनुपर्ने सुझाव दिइएको छ । उद्योगलाई निर्वाध विद्युत् उपलब्ध गराउने र उत्पादनमूलक उद्योगलाई विद्युत् खरिद सम्झौता (पीपीए) दरमा प्रतियुनिट रु एक सेवाशुल्क लिई विद्युत् बिक्रीको व्यवस्था गरिनुपर्ने सुझाव महासंघले सरकारलाई दिएको छ । लघु, घरेलु, साना तथा मझौला उद्यम र स्टार्टअप प्रवर्द्धनका लागि बिनाधितो परियोजना कर्जा, स्थानीय तहमा स्थापना हुने औद्योगिक ग्राममा साना तथा मझौला उद्यमलाई प्रोत्साहन, मेरो उत्पादन, मेरो पहिचान कार्यक्रम सञ्चालनलगायतका सुझाव दिइएको छ । त्यस्तै, स्टार्टअपसम्बन्धी नीति पारित गर्नुपर्ने र निजी साझेदारीमा कोसेली घरलाई प्रोत्साहन गर्नुपर्ने माग महासंघको छ । मुलुकको समृद्धिको आधारका रुपमा पर्यटन व्यवसायलाई स्थापित गर्न सन् २०२५ लाई नेपाल भ्रमण वर्षको रुपमा घोषणा गरिनुपर्ने महासंघको माग छ । त्यस्तै चीन तथा भारतमा पर्यटन सम्मेलन गर्ने, भैरहवा र पोखरा विमानस्थलबाट अन्तर्राष्ट्रिय उडान गर्नुपर्ने, अन्तर्राष्ट्रिय पर्यटन क्षेत्र विज्ञापन कोष स्थापना गरिनुपर्नेलगायतका सुझाव छन् । भारतीय पर्यटकले नेपालमा आउँदा प्रतिव्यक्ति भारतीय रुपैयाँ एक लाखसम्म नगद ल्याउन पाउनुपर्ने पनि महासंघको भनाइ छ । त्यस्तै, ऊर्जाक्षेत्रको विकासका लागि निजी क्षेत्रलाई व्यापार र निर्यातको इजाजत दिइनुपर्ने महासंघको धारणा छ । निजी तथा सरकारी साझेदारीमा जलाशययुक्त आयोजना निर्माण, भारत तथा बङ्गलादेशसँग विद्युत् व्यापारका लागि उच्चस्तरीय संयन्त्र गठन, स्वदेशी पुँजीबाट निर्माण भएका आयोजनामा १५ वर्षसम्म रोयल्टी मिनाहालगायतका सुझाव छ । राजस्व प्रणाली सुधारका लागि पाँच वर्षभन्दा पुरानो बक्यौता कर रकमको फरकफारक गर्न ब्याज र जरिवाना छुट गरी एक पटकलाई विशेष व्यवस्था गरिनुपर्ने सुझाव महासंघले दिएको छ । लेखाङ्कन प्रयोजनका लागि आवश्यक न्यूनतम शुल्क लिई एकपटकको लागि सम्पत्ति अभिलेखीकरणको व्यवस्था गरिनुपर्ने, एक करोड रुपैयाँसम्मका कारोबार भएका सबै करदाताले कर विवरण बुझाउँदा लेखा परीक्षण अनिवार्य गर्न नपर्ने व्यवस्था गर्ने, मिसम्याच समायोजना अवधि एक वर्ष थप गरिनुपर्नेलगायतका सुझाव महासंघले दिएको छ । त्यसैगरी, उद्योगी व्यवसायीको अर्को छाता संस्था नेपाल उद्योग परिसंघले आगामी पाँच वर्षलाई लगानी वर्ष घोषणा गर्न सरकालाई सुझाव दिएको छ । मुलुकलाई आर्थिकमन्दीबाट उकास्न लगानीमैत्री बजेट ल्याउनुपर्ने जोडसहित परिसंघले सरकारलाई सुझाव पेश गरेको छ । परिसंघले मन्दीदेखि समृद्धि, लगानीमा अभिवृद्धि विषयमा केन्द्रित रहेर आगामी आर्थिकको बजेटबारे सुझाव पेश गरेको हो । परिसंघले औद्योगीकरण, निर्यात प्रवर्द्धन तथा आयात प्रतिस्थापन, स्वदेशी उत्पादन प्रवर्द्धन एवं बजार नियमन, पूर्वाधार विकास, नवप्रवर्तनलगायत विषयलाई केन्द्रमा राखेर बजेट ल्याउन सुझाव दिएको छ । त्यस्तै, घरेलु, साना तथा मझौला उद्योग, ऊर्जा, पर्यटन, सूचना प्रविधि, कृषि तथा जडीबुटीजस्ता क्षेत्रलाई उच्च प्राथमिकतामा राखेर आगामी बजेट तर्जुमा गर्न सुझाएको छ । तरलता समस्या तथा बढ्दो ब्याजदर, मागमा आएको कमी, नगद प्रवाहमा भएको समस्या, उत्पादनमा कमी तथा रोजगारी कटौतीलगायतका कारण निजी क्षेत्रको मनोबल घटिरहेको परिसंघको ठहर छ । यी चुनौतीको सामना गर्न र अर्थतन्त्रलाई मन्दिको अवस्थाबाट उकास्न सरकारले विकास बजेटमार्फत अधिकतम पूर्वाधारको क्षेत्रमा लगानी बढाउनुपर्ने सुझाव सरकारलाई दिएको छ । 'हालसम्मकै चरम निरासा तथा मन्दीबाट गुज्रिरहेका उद्योगलाई जोगाइ प्रोत्साहन गर्न चोरी पैठारी र अनाधिकृत आयात नियन्त्रण गर्न आवश्यक छ', परिसंघको सुझावमा भनिएको छ, 'भन्सार मूल्यांकन दरबन्दी सन्दर्भ पुस्तिका खारेजी, कच्चा पदार्थ तथा तयारी वस्तुमा कम्तीमा दुई तहको भन्सार महसुल फरक गरी स्वदेशी उद्योगमा लगानी प्रोत्साहन गर्न सकिन्छ ।' निर्यात भइरहेका र हुनसक्ने सम्भावना रहेका वस्तुको पहिचान गरी त्यस्ता वस्तुको निर्यातमा नगद अनुदान उपलब्ध गराइनुपर्ने परिसंघको सुझाव छ । त्यस्तै, स्वदेशी उत्पादनलाई नेपाली बजारमै प्रतिस्पर्धी बनाउन र अनाधिकृत व्यापार नियन्त्रण गर्न मूल्य अभिवृद्धि करमा बहुदर कायम गरिनुपर्ने माग परिसंघको छ । औद्योगिक व्यवसाय ऐनले नेपालका उद्योगलाई उपलब्ध गराएका सुविधा आर्थिक विधेयकबाट सुनिश्चित गरिनुपर्ने परिसंघको सुझाव छ । उत्पादनशील क्षेत्रतर्फ प्रवाह गरिने कर्जाको ब्याजदर अन्य क्षेत्रतर्फ प्रवाह गरिने कर्जाको ब्याजदरभन्दा कम गर्ने नीति लिइनुपर्ने विषयलाई बजेटले सम्बोधन गरिनुपर्ने परिसंघले जनाएको छ । पूर्वाधार विकासको नीतिगत तथा कार्यगत सुधारका काम गर्नेगरी इन्फ्रास्ट्रक्चर कन्स्ट्रक्शन डेभलपमेन्ट अथरिटी गठन गरिनपर्ने माग पनि परिसंघको छ । त्यस्तै, लगानीका लागि ठूलो रकम सङ्कलन गर्न सरकारले ग्रीन बन्ड, पूर्वाधार बन्ड ल्याउनुपर्ने सुझाव परिसंघको छ । राष्ट्रिय गौरव, दीर्घकालीन महत्व र रणनीतिक महत्वका आयोजना समयमै सम्पन्न गर्न सनसेट ल तयार पारिनुपर्ने सुझाव पनि सरकारलाई परिसंघले दिएको छ । आयकर ऐनको दफा ५७ मा संशोधन गर्न, महिला उद्यमीलाई बिना धितो दिइने कर्जाको न्यूनतम सीमालाई बढाउन, महिलाद्वारा प्रवर्द्धित उद्योगबाट उत्पादित वस्तुको निर्यात प्रोत्साहनका लागि निर्यातमा कम्तीमा एक प्रतिशत थप नगद अनुदान दिने व्यवस्था गर्न परिसंघले आग्रह गरेको छ । त्यसैगरी, नेपाल चेम्बर अफ कमर्सले नेपाल चेम्बर अफ कमर्सले आगामी बजेट वितरणमुखी नभई उत्पादनमुखी बनाउन सरकारसमक्ष आग्रह गरेको छ । अर्थतन्त्रलाई चलायमान बनाउन एवं वर्तमान शिथिल अर्थतन्त्रलाई उकास्नका लागि आगामी आवको बजेट उत्पादनमुखी क्षेत्रमा केन्द्रित हुनुपर्ने चेम्बरको माग छ । 'गम्भीर आर्थिक शिथिलताले धराशायी हुने संघारमा पुगेका उद्यमी व्यवसायीलाई आवश्यक नीतिगत संरक्षण एवं सहुलियत प्रदान गर्नेगरी बजेट तर्जुमा गरिनुपर्दछ', चेम्बरले सरकारलाई दिएको सुझावमा भनिएको छ, 'विद्यमान अर्थ व्यवस्थामा सङ्कुचित मौद्रिक नीतिले व्यापारको असहजीकरण र नियन्त्रणमुखी आर्थिक नीतिको नकारात्मक प्रभावले गम्भीर आर्थिक शिथिलता उत्पन्न गरेको छ । अवको बजेट उत्पादनमा केन्द्रित गर्न आवश्यक छ ।' चेम्बरले करको दायरा बढाउनसमेत सुझाव दिएको छ । नागरिकता वितरण गर्दा प्यानकार्ड पनि दिने व्यवस्था गर्नुपर्ने चेम्बरको माग छ । भन्सार प्रशासनलाई चुस्त बनाउनुपर्ने भन्दै चेम्बरले भन्सार प्रयोजनका लागि सन्दर्भ मूल्यलाई खारेज गरी कारोबार मूल्यलाई मान्यता दिनसमेत आग्रह गरेको छ । यस्तै भन्सार नाकामा अन्तर्राष्ट्रियस्तरको क्वारेन्टाइन ल्याब राखिनुपर्ने उसको सुझाव छ । यस्तै, मूल्य अभिवृद्धि करमा बहुदर प्रणाली लागू हुनुपर्ने र आम उपभोग्य वस्तु र विलासिताका वस्तुमा फरक दर कायम हुनुपर्नेमा पनि चेम्बरले सुझाव दिएको छ । चेम्बरले व्यक्तिको हकमा रु आठ लाख र दम्पतीको हकमा रु १२ लाखसम्मको आम्दानीमा कर छुट दिन सरकारसमक्ष माग गरेको छ । नकारात्मक सूचीमा रहेका रक्सी, वियर एवं सुर्तीजन्य पदार्थ आदिको उत्पादनबाहेक सबै प्रकारका उत्पादनमा अन्तशुल्क हटाउनसमेत चेम्बरले माग गरेको छ । मुलुकमा रहेका प्राकृतिक स्रोत साधन र जडीबुटीजन्य वस्तुको समुचित प्रर्वद्धन गर्न कानुन बनाई अन्तर्राष्ट्रिय बजारमा निर्यात गर्ने व्यवस्था गर्न पनि चेम्बरले सरकारको ध्यानाकर्षण गराएको छ । चेम्बरले बाँझो जमिन सदुपयोग नीति बनाएर बजेटमा विशेष व्यवस्था गर्न आग्रह गरेको छ । 'बाँझो जमिन सदुपयोग गरी कृषि उत्पादनमा आधुनिकीकरण, यान्त्रीकरण एवं वैज्ञानिकीकरण गरी मुलुकलाई आत्मनिर्भर बनाइनुपर्दछ', चेम्बरले दिएको सुझावमा भनिएको छ । चेम्बरले घरजग्गा कारोबारलाई व्यवस्थित बनाउन ब्रोकर लाइसेन्स बिना घरजग्गा कारोबार गर्न नपाउने व्यवस्था गर्नसमते सरकारसँग आग्रह गरेको छ ।"
"जाजरकोटमा चिट चोराउन संकलित रकम फिर्ता","वीरेन्द्रनगर : जाजरकोटको छेडागाड नगरपालिका११ झाप्राको बाल माध्यमिक विद्यालयले चिट चोराउन विद्यार्थीबाट संकलन गरेको अवैध रकम फिर्ता गरेको छ । विद्यालयले कक्षा १२ को परीक्षामा पास गराइदिने भन्दै अवैध रूपमा संकलन गरेको झण्डै एक लाख रुपैयाँ फिर्ता गरेको हो । मंगलबार अन्नपुर्ण पोस्ट् डट्कममा जाजरकोटमा चिट चोराउन विद्यार्थीबाट पैसा उठाइयो र बुधबार अन्नपूर्ण पोस्ट् दैनिकमा कक्षा १२ को परीक्षामा चिट चोराउन स्कुलले असुले रकम भन्ने शीर्षकमा समाचार प्रकाशित भएपछि तीनवटा विद्यालयमध्ये बाल माध्यमिक विद्यालयले उठाएको रकम फिर्ता गरेको हो । तर कुशे गाउँपालिकाको जनता माध्यमिक विद्यालयका, लक्ष्मी प्राप्ती माध्यमिक विद्यालय र थर्पु माविले भने रकम फिर्ता गरेका छैनन् । जिल्लाका ९० प्रतिशत विद्यालयहरूले कक्षा १२ को परीक्षामा विद्यार्थीबाट अबैध रकम असुलेको त्यहाँका सामाजिक अगुवाहरूको भनाइ छ । अघिल्लो वर्षको परीक्षामा कम अंक ल्याएका विद्यार्थीको ग्रेडवृद्धि गर्न सहयोग पुर्याउने र अन्य विद्यार्थी पास गराउन सहयोग गर्ने (चिट चोराउने) भन्दै विद्यालयले परीक्षा व्यवस्थापनका नाममा मोटो रकम असुलेका थिए । समाचार प्रकाशन लगत्तै जिल्लाका विभिन्न विद्यार्थी संगठनहरूले पनि विज्ञप्ति निकालेर अवैध रकम फिर्ता गर्न र दोषीलाई छानबिन गरी कारबाही गर्न माग गरेका थिए । बाल माध्यमिक विद्यालयले बिहीबार पैसा फिर्ता गरेको विद्यालय व्यवस्थापन समितिका अध्यक्ष डिल्लीकुमार बिटालुले बताए । विद्यालय व्यवस्थापन समितिबाट निर्णय नै गरेर असुल गरेको रकम अभिभावकलाई फिर्ता गरेको वडाध्यक्ष लोकेन्द्रबहादुर थापाले बताए । विद्यालयले हाल प्रतिव्यक्ति ७ सयका दरले ४५ हजार ५ सय कक्षामा १ दिन पनि हाजिर नभएका १४ जना विद्यार्थीहरूबाट गयल जरिवाना वापत १ हजार ५ सयका दरले २१ हजार फिर्ता गरेको विद्यालयले जनाएको छ । अन्य पैसा पहिले नै फिर्ता गरेको अध्यक्ष थापाले बताए । विद्यालयले ८२ जना विद्यार्थीबाट ७ सयका दरले ५७ हजार ४ सय रुपैयाँ, विद्यालय अध्ययन नगरी परीक्षामा मात्रै सहभागी हुने १५ जना विद्यार्थीबाट १ हजार ५ सयका दरले २२ हजार ५ सय र अघिल्लो वर्ष ग्रेडवृद्धिका लागि २७ जनाबाट प्रतिव्यक्ति ७ सयका दरले १८ हजार ९ सय रकम असुलेको थियो । तर कुशे गाउँपालिकाको जनता माध्यमिक विद्यालयका २ सय जना विद्यार्थीबाट प्रवेशपत्र दिँदा प्रति विद्यार्थी एक हजार, थर्पु माविमा ३९ जना विद्यार्थीबाट प्रति विद्यार्थी २ हजार ५ सय र लक्ष्मीप्राप्ती माध्यमिक विद्यालयका १ सय ९५ जना विद्यार्थीबाट प्रति विद्यार्थी एक हजारका दरले असुलेको रकम फिर्ता गरेका छैनन् । परीक्षा व्यवस्थापनका नाममा अवैध रूपमा रकम असुली गरेकोमा बाल मावि झाप्राले माफी मागेको छ । बिहीबार विद्यालय व्यवस्थापन समितिका अध्यक्ष र प्रअले एक विज्ञप्ति जारी गर्दै माफी मागेका हुन् । उनीहरूले नियतवस गल्ती नभई भुलवस गल्ती भएको विज्ञप्तिमा उल्लेख गरेका छन् । सम्पूर्ण अभिभावक एवं सरोकारवाला निकाय र व्यक्तिलाई सम्बोधन गर्दै विव्यस अध्यक्ष र प्रअले माफी मागेका हुन् । निःशुल्क पाउनुपर्ने प्रवेश पत्र वितरण गर्दा भुलवस रकम संकलन गर्नु गल्ती भएको विद्यालयले जनाएको छ । विद्यालयले उठाएको शुल्कप्रति अभिभावक र मिडियामा समाचार आउनु अगाडि नै केही अभिभावकहरूलाई रकम फिर्ता गरिएको दाबी गरेको छ । उक्त गल्ती प्रति अभिभावक र सरोकारवाला व्यक्ति र निकायप्रति क्षमा याचना गरेका छन् । विद्यार्थीलाई परीक्षामा सहयोग गर्ने भन्दै रकम अशुल्ने विद्यालयको नगर शिक्षा समितिले स्थलगत अनुगमन गरेको छ । छेडागाड नगरप्रमुख रत्नबहादुर खड्काको नेतृत्वमा विद्यालयको अनुगमन गरिएको हो । अनुगमन गर्दा विद्यालयले पैसा उठाउने गरिएको नगरपालिका प्रमुख खड्काले बताए । शुक्रबार मात्र नगर शिक्षा समितिको बैठक आह्वान गरिएकोले आवश्यक कारबाही अगाडि बढाउने खड्काले बताए । सबै कुरा विकास निर्माण नभई शिक्षा क्षेत्रको सुधारमा आफू थप प्राथमिकताका साथ अगाडि बढ्ने उनले बताए । यसैबीच बालमावि झाप्राका प्रधानाध्यापक कमलबहादुर बस्नेत र विद्यालय व्यवस्थापन समितिका अध्यक्ष डिल्लीकुमार बिटालुविरूद्ध उजुरी गरेको छ । विद्यार्थीबाट अवैध रकम असुल्ने विद्यालयविरुद्ध जिल्ला प्रशासन कार्यालयमा उजुरी परेको प्रमुख जिल्ला अधिकारी रामप्रसाद महतोले बताए । निःशुल्क पाउने प्रवेश पत्रमा विद्यालयका विव्यस अध्यक्ष र प्रअले अवैध रकम असुलेको भन्दै प्रशासनमा जाहेरी आएको उनको जानकारी दिए । शुक्रबारदेखि उक्त विषयमा आवश्यक अनुसन्धान हुने छ । आवश्यक प्रमाणका आधारमा कानुन बमोजिम कारबाही गर्ने प्रशासनले जनाएको छ ।"
"महाअभियोग प्रस्ताव दर्ताले मात्र निलम्बित नुहने व्याख्यामा बहस","काठमाडौं : सर्वोच्च अदालतले महाभियोग प्रस्ताव दर्ता गर्ने वित्तिकै आरोपित पदाधिकारी निलम्बत नहुने व्याख्या बहसको विषय बनेको छ । अदालतले प्रतिनिधिसभामा पेस भई छानबिन समितिमा पठाएपछि मात्रै महाअभियोग प्रस्तावमा प्रक्रिया अघि बढ्ने भएकाले दर्ता हुने वित्तिकै आरोपित पदाधिकारी निलम्बित नहुने गरेको अदालतको व्याख्याप्रति बहस भएको हो । नेपाल बार एशोसिएशनका अध्यक्ष गोपालकृष्ण घिमिरेलाई सर्वोच्च अदालतको फैसला मान्नैपर्ने हुन्छ तर फैसला बौद्धिक बहसको विषय बन्नुपर्छ भन्ने लागेको छ । 'सामान्य अभियोग लागेको मान्छे त निलम्बित हुन्छ, महाअभियोग लाग्ने मान्छे त निलम्बित हुन्छ नै,' उनले भने, 'अदालतको फैसला मान्नुपर्छ, तर मेरो व्यक्तिगत धारणा महाअभियोग लागेको व्यक्ति निलम्बनमा पर्नुपर्छ, नत्र छानबिन तथा अनुसन्धान प्रक्रियामा असर पर्छ ।' सोही फैसलाको विषयमा सर्वोच्च बार एशोसिएशनका अध्यक्ष हरिशंकर निरौलालाई संविधानसँग मिल्दो नभए पनि न्यायको सिद्धान्त अनुरुप छ भन्ने लागेको छ । 'विश्वमा प्रचलित अन्य राष्ट्रमा महाअभियोग प्रस्ताव दर्ता गर्ने वित्तिकै तुरुन्तै निलम्बन हुने प्रावधान छैन, सम्बन्धित समितिले अध्ययन गरेर महाअभियोग प्रस्ताव दर्ता गर्न सिफारिस मितिदेखि नै हुने हो,' उनले भने, 'नेपालको २०७२ सालको संविधानमा महाअभियोग प्रस्ताव दर्ता गने वित्तिकै निलम्बन हुने भन्ने छ, तर न्यायको सिद्धान्तअनुरुप छ, राजनीतिक प्रतिशोधमा आधारमा महाअभियोग प्रस्ताव दर्ता गर्ने प्रचलन छ, त्यो ठीक होइन ।' वरिष्ठ अधिवक्ता उषा मल्ल पाठकलाई नेपालको संविधानको १०० को उपधारा ६ बमोजिम महाअभियोग प्रस्ताव दर्ता गर्ने वित्तिकै निलम्बन हुने प्रावधान भएको र अहिलेसम्म भएको अभ्यास पनि त्यही भएको भन्ने लागेको छ । 'महाअभियोगको प्रस्ताव दर्ता भएको पदाधिकारीले निरन्तर काम गर्दा पनि प्रश्न उठ्छ, अनुसन्धानका लागि पनि निलम्बन त गर्नुपर्ने हुन्छ,' उनले भनिन् । प्रतिनिधिसभामा महाभियोगको कारबाही प्रारम्भ गर्नेगरी निर्णय गरी संविधानको धारा १०१ को उपधारा (३) बमोजिम गठन भएको महाभियोग सिफारिश समितिमा पठाउने भनी निर्णय नगरेसम्म कानुनीरूपमा महाभियोगको कारवाही प्रारम्भ भएको मान्न नै मिल्दैन भन्ने व्याख्या सर्वोच्च अदालतको गरेको छ । 'प्रतिनिधिसभाका सदस्यहरुले पेश गर्ने प्रस्ताव स्वयममा संसद्को निर्णय मानिदैन,' फैसलामा भनिएको छ, 'प्रतिनिधिसभाले महाभियोगसम्बन्धी प्रस्तावको स्वामित्व औपचारिकरुपमा ग्रहण नगरेसम्म कारवाही प्रारम्भ भएको हुँदैन, जबसम्म संसद्ले महाभियोगको प्रस्तावलाई औपचारिकरुपमा स्वीकार गरी कारबाही प्रक्रिया अगाडि बढाउँदैन ।' तत्कालीन प्रधान न्यायाधीश सुशीला कार्कीको महाभियोग प्रस्तावमाथि अधिवक्ता सुनीलरञ्जन सिंहले दायर गरेको रिट निवेदनको फैसलाको बिहीबार सार्वजनिक गरेको पूर्णपाठमा महाअभियोग प्रस्ताव दर्ता हुँदैमा निलम्बित भएको पत्राचार गर्ने पदाधिकारीलाई विभागीय कारबाहीको विषय हुनसक्ने उल्लेख छ । कायममुकायमा प्रधान न्यायाधीश हरिकृष्ण कार्की, न्यायाधीशहरू विश्वम्भरप्रसाद श्रेष्ठ, ईश्वरप्रसाद खतिवडा, डा आनन्दमोहन भट्टराई र अनिलकुमार सिन्हाको संवैधानिक इजलासले २०७९ मङ्सिर ७ गते फैसला गरेको थियो । फैसलामा तत्कालीन प्रधानन्यायाधीश सुशीला कार्कीमाथि महाभियोग प्रस्ताव राजनीतिक प्रतिशोधपूर्णका आधारमा लगाइएको र न्यायपालिकाबाट गरिएका काम कारबाहीमा महाअभियोग प्रस्ताव कै आधारमा कुनै पनि निकायले हस्तक्षेप गर्न नमिल्ने उल्लेख छ । रासस"
