"शीर्षक","विवरण"
"अन्नपूर्ण हिमालमा आरोही बेपत्ता","म्याग्दी : म्याग्दीस्थित अन्नपूर्ण हिमाल आरोहणका क्रममा एक जना भारतीय आरोही बेपत्ता भएका छन् । आठ हजार ९१ मिटर अग्लो अन्नपूर्ण प्रथम हिमालको दोस्रो आधार शिविर नजिकैबाट सोमबार दिउँसो ती आरोही बेपत्ता भएका हुन् । भारतको राजस्थानको किशनगढका ३४ वर्षीय अनुराग मालु बेपत्ता भएका सेभेट समिट ट्रेक्सका प्रबन्धक थानेश्वर गुरागाईँले बताए । 'आरोहण सफल नभएपछि आधार शिविरमा फर्कने क्रममा चिप्लिएर लडेर बेपत्ता भएको खबर आएको छ', उनले भने, 'खोजी जारी राखे पनि भेटिएका छैनन् ।' मालु सेभेन समिट ट्रेक्समार्फत अन्नपूर्ण आरोहणका लागि गएका थिए । मालु आठ हजार मिटरभन्दा अग्ला विश्वका १४ वटै हिमालको आरोहण लक्ष्यका साथ अन्नपूर्णको आरोहणका लागि आएको हुन् । म्याग्दीको अन्नपूर्ण गाउँपालिका४ मा पर्ने अन्नपूर्ण हिमालमा शनिबारदेखि चालु वसन्त ऋतुको आरोहण सुरु भएको थियो । रासस"
"संरक्षित क्षेत्रमा शुल्क काउन्टर थप नहुँदा विदेशी पर्यटकलाई सास्ती","जोमसोम : अन्नपूर्ण संरक्षण क्षेत्रमा प्रवेश गर्ने सार्क तथा तेस्रो मुलुकका विदेशी पर्यटकले परमिट बिना आएमा उनीहरूलाई दोब्बर जरिवाना लिइने गरिएको छ । संरक्षित क्षेत्रमा आउने विदेशी पर्यटकलाई पर्याप्त मात्रामा समन्वय र सहजीकरण हुन नसक्दा सार्क र तेस्रो मुलुकका विदेशी पर्यटकले जरिवाना बुझाउन बाध्य छन् । २०७५ सालअघि अन्नपूर्ण संरक्षित क्षेत्रमा प्रवेश गरेवापत सार्कका पर्यटकलाई २ सय र तेस्रो मुलुकका विदेशी पर्यटकलाई २ हजार प्रवेश शुल्क थियो । सरकारले २०७५ साल असोज २९ गते त्यसलाई वृद्धि गरी प्रवेश शुल्क बढाएको थियो । सरकारले संरक्षित क्षेत्रमा प्रवेश गर्ने नेपाली पर्यटकलाई १ सय, सार्क पर्यटकलाई १ हजार र तेस्रो मुलुकका पर्यटकलाई ३ हजार कायम गरिएको थियो । सरकारले संरक्षण क्षेत्र व्यवस्थापन नियमावली २०५३ को दफा ४१ ले दिएको अधिकार प्रयोग गरी उक्त पर्यटक प्रवेश शुल्क (परमिट) लिने व्यवस्था गरेको थियो । उद्यपी नेपाली पर्यटकलाई तोकिएको प्रवेश शुल्कको चर्को आलोचना भएपछि नेपाली पर्यटकलाई शुल्क लिने नियम कार्यान्वयन हुन सकेन । अन्नपूर्ण संरक्षण क्षेत्र अन्तर्गत लमजुङ, मनाङ, मुस्ताङ, म्याग्दी र कास्की जिल्लामा भ्रमण गर्ने पर्यटकले राष्ट्रिय प्रकृति संरक्षण कोष, अन्नपूर्ण संरक्षण क्षेत्र आयोजना (एक्याप)लाई परमिट शुल्क बुझाउनुपर्ने हुन्छ । यसैगरी एक्याप अन्तर्गतको मनास्लु, गौरी शंकर, कञ्चनजंघा अपीनाम्पा र कृष्णसागर संरक्षणमा प्रवेश गर्ने पर्यटकले पनि तोकिएको उक्त परमिट शुल्क सम्बन्धित स्थानको ईपि काउन्टरमा तिर्नुपर्ने हुन्छ । संरक्षित क्षेत्रमा जाने पर्यटकले काठमाडौंको ठमेल ईपि सेन्टर, अन्नपूर्ण संरक्षण क्षेत्रको प्रधान कार्यालय पोखराको ईपि काउन्टर र लमजुङको बेसीसहर ईपि काउन्टरमा परमिट शुल्क बुझाउनु पर्दछ । तर, एक्याप अन्तर्गतका उल्लेखित काउन्टरमा परमिट नलिई संरक्षित क्षेत्रमा प्रवेश गर्ने विदेशी पर्यटकलाई दोब्बर शुल्क लिने गरिएको हो । अन्नपूर्ण संरक्षण क्षेत्र आयोजना (एक्याप) को प्रधान कार्यालयका संरक्षण अधिकृत बाबुलाल तिरुवाले अन्नपूर्ण संरक्षणमा प्रवेश गर्ने परमिट शुल्क र जरिवाना रकम राज्यले निर्धारण गरेको बताए । उनले परमिट शुल्कका बारेमा वेबसाइटमा सूचना, पर्यटन व्यवसाय, यातायात व्यवसायी र ट्राभल एजेन्सी सबैलाई जानकारी भएको भए पनि सम्बन्धित सरोकारवालाले जानकारी नदिँदा पर्यटकले जरिवाना तिर्नुपर्ने अवस्था रहेको बताए । केही ट्राभल एजेन्सीले परमिटका नाममा आर्थिक लाभ लिने मनसाय राख्दा यो समस्या आएको हुनसक्ने संरक्षण अधिकृत तिरुवाको भनाइ छ । मुस्ताङका पर्यटन व्यवसायीहरूले पनि परमिट जरिवाना रकम महंगो भएको र पर्यटकलाई परमिट वापतको जरिवाना रकम तिर्नुपर्ने अवस्था आउन नदिन एक्यापले विकल्प खोज्नु पर्ने बताएका छन् । बिना परमिट आएमा जोमसोमको एक्याप चेक पोस्टमा जरिवाना सहित सार्कका विदेशीले २ हजार र तेस्रो मुलुकका पर्यटकले ६ हजार बुझाउनुपर्ने हुन्छ । सडक मार्गबाट मुस्ताङ आउने पर्यटकले बिना परमिट आएमा जरिवानासहित तोकिएको प्रवेश अनुमति शुल्क मुस्ताङको घाँसा चेक पोस्टमा बुझाउनुपर्ने हुन्छ । एक्याप जोमसोमका कार्यालय प्रमुख अशोक सुवेदीले जरिवाना तिर्नुपर्ने अवस्था आउन नदिन परमिट शुल्क लिनका लागि एक्यापले थप काउन्टर थप्ने विषयमा छलफल भइरहेको बताए । बर्सेनि मुस्ताङमा औसत ६० हजारभन्दा बढी पर्यटक आउने गरेको एक्यापको तथ्यांक छ । मुस्ताङ भित्रिने र राउण्ड अन्नपूर्ण पदयात्रा गर्ने विदेशी पर्यटक मध्ये करिव १० प्रतिशतले परमिट शुल्क वापत जरिवाना तिर्ने गरेको पाइएको छ । राउन्ड अन्नपूर्ण पदमार्ग तथा मुस्ताङ भित्रिने पर्यटकले परमिट वापत बुझाउने शुल्क वार्षिक १२ करोड बढी रकम एक्यापले उठाउन गर्छ । यो रकम एनटीएनसीमा दाखिला हुन्छ ।"
"मंगलबार देशका पाँचवटा प्रदेशमा वर्षा हुने","काठमाडौं : मंगलबार देशका पाँचवटा प्रदेशमा वर्षा हुने भएको छ । मौसम पूर्वानुमान महाशाखाका अनुसार गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशको पहाडी भूभागका थोरै स्थानहरूमा तथा बागमती र कोशी प्रदेशका पहाडी भूभागका एक वा दुई स्थानमा मेघ गर्जनचट्याङ सहित हल्काक्षणिक वर्षाको सम्भावना रहेको छ । तराईका थोरै स्थानहरूमा हावाहुरीको सम्भावना रहेको छ । साथै उपत्यका लगायत देशका धेरै भूभागहरूमा तुवाँलोको सम्भावना रहेको छ ।"
"आर्थिक परिसूचकमा राम्रो सुधार आएको छ : प्रधानमन्त्री","काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल 'प्रचण्ड'ले नयाँ सरकार गठन भएयता अर्थतन्त्रका समष्टिगत परिसूचकहरूमा सुधार आएको बताएका छन् । सिंहदरबारमा उद्योग वाणिज्य प्रवर्द्धन सम्बाद परिषदको बैठकलाई सम्बोधन गर्दै प्रधानमन्त्रीले अर्थतन्त्रले अझै पनि चुनौतीपूर्ण परिस्थितिको सामना गरिरहेको भए पनि समष्टिगत आर्थिक परिसूचकहरूमा सुधार आएको बताए । बैठकमा प्रधानमन्त्रीले भने, 'वर्तमान सरकारले लिएका नीतिगत तथा अन्य सुधारात्मक उपायहरूको फलस्वरूप अर्थतन्त्रको बाह्य क्षेत्रमा क्रमशः सुधार हुँदै गइरहेको छ । वित्तीय तरलताको स्थितिमा सुधार भएको छ । विदेशी मुद्रा सञ्चिति, विप्रेषण आप्रवाह, पर्यटन लगायतका क्षेत्रमा प्रगति हुँदै जान थालेको छ । कर्जाको दर पनि विस्तारै घट्दै जान थालेको छ । समग्रमा हेर्दा समष्टिगत आर्थिक परिसूचकहरूमा राम्रो सुधार भएको छ ।' उनले नयाँ जनादेशसहित गठन भएको संयुक्त सरकारको प्राथमिकता र साझा न्युनतम कार्यक्रममा सेवा प्रवाह, सुशासन, विकास निर्माण एवं अर्थतन्त्रको रूपान्तरण र सुदृढीकरणका लागि नीतिगत, संरचनागत तथा कार्यगत सुधारका विषयलाई महत्त्वपूर्ण प्राथमिकताका रूपमा राखिएको बताए । बैठकमा अर्थमन्त्री डा प्रकाशशरण महतले सरकार क्षेत्रसँगको सहकार्यमा अगाडि बढ्न चाहेको बताउँदै निजी क्षेत्रका विषयगत विधाबाट नयाँ आर्थिक वर्षको नीति, कार्यक्रम र बजेटका लागि एकीकृत सुझावका लागि व्यवसायीहरूलाई आग्रह गरे । बैठकमा उपप्रधान तथा गृहमन्त्री नारायणकाजी श्रेष्ठ, अर्थमन्त्री डा महत, राष्ट्रिय योजना आयोगका उपाध्यक्ष डा मीनबहादुर श्रेष्ठ, मुख्यसचिव शंकरदास बैरागी, नेपाल राष्ट्र बैंकका गभर्नर महाप्रसाद अधिकारी, नेपाल उद्योग वाणिज्य महासंघका अध्यक्ष चन्द्र ढकाललगायत नेपाल चेम्बर अफ कमर्श, गैरआवासीय नेपाली संघ, साना तथा घरेलु उद्योग महासंघ लगायत निजी क्षेत्रसम्बद्ध संघसंस्थाका प्रमुख र प्रतिनिधिका साथै निजी क्षेत्रसम्बद्ध व्यक्तित्वहरूको उपस्थिति थियो ।"
"जब शान्तिवाटिका रणभूमि मैदान बन्यो","काठमाडौं : सोमबार मध्यान्न काठमाडौंस्थित शान्तिवाटी रणभूमि मैदान बन्यो । प्रहरी दमनले तराईका विभिन्न जिल्लाबाट न्याय माग्न केन्द्रीय राजधानी आइपुगेका मिटरब्याज पीडतहरूको टाउकोबाट रगत बग्यो । बृहत् मार्चपास गर्दै सिंहदरबार जान लागेका उनीहरूलाई प्रहरीले शान्तिवाटीकामै थुनेर टाउकोमा लठ्ठी बजारेको हो । प्रहरीले उनीहरूलाई शान्तिवाटिकाको गेटमै रोक्यो । त्यसपछि प्रहरी र पीडितबीच धकेलाधकेल भएको थियो । त्यसक्रममा प्रहरीको लाठी प्रहारबाट २२ जना मिटरब्याज पीडित र उनका सहयोगी घाइते भएका थिए । प्रहरीतर्फ डीएसपीसहित १० जना घाइते भएको काठमाडौं उपत्यका प्रहरी कार्यालय रानीपोखरी एसएसपी हिमाल कुमार श्रेष्ठले बताएका छन् । आन्दोलनमा पक्राउ परेका ३५ जनालाई प्रहरीले सोमबार साँझ छोडिएको जनाएको छ । भीड तितरबितर पार्न प्रहरीले लाठिचार्ज र आश्रुग्याससमेत प्रहार गरेको थियो । घाइते भएका ९ जना मिटरब्याज पीडितको ट्रमा सेन्टरको आकस्मिक कक्षमा उपचार भइरहेको ट्रमा सेन्टरका सूचना अधिकारी अर्जुनप्रसाद भेटुवालले अन्नपूर्णलाई जानकारी दिए । उनका अनुसार अधिकांश घाइतेहरूको टाउको र शरीरका विभिन्न अंगमा चोट लागेको छ । मिटरब्याज तथा ठगीविरुद्ध किसान मजदुर संघर्ष समितिका उपाध्यक्ष कूलबहादुर थापाको टाउको फुटेको छ । असोजमा पनि प्रहरीले आन्दोलनमा टाउको फुठाएको थियो । प्रहरीको कुटाईबाट घाइते भएका नवलपरासीका अकबर मियाँ, तीलराम चौधरी, इलामका लोकनारायण सुवेदीको पनि उपचार भइरहेको छ । सर्लाहीको कृष्णानन्द महतो, ओखलढुंगाको प्रदीप नेपाल, बालाजुका सिताराम तामाङ, रुकुमका यमकुमारी ददेल र सिरहाको वेवी देवी घाइते भई ट्रमा सेन्टरमा उपचार गराइएका छन् । बिहीबार गृह मन्त्रालयमा सरकारसँग पाँचौं पटकको वार्ता भएको थियो । तर वार्ता भंग भएपछि मिटरब्याज पीडितहरू सोमबारबाट सरकारविरुद्ध कडा अन्दोलन चर्काको छ । नवलपरासीका पीडित प्रेम नारायण भन्छन्, मिटरब्याजीले हड्पेको खेत सरकारले फिर्ता गराउनुपर्छ । फर्जी तमसुक च्यात्नुपर्छ । हाम्रो माग पूरा नभएसम्म घर फर्किनौं । असोज १ गते पौने महिना माइतीघरमा धर्ना बस्दा सरकारले आफूहरूको माग पूरा गर्न पाँच बुँदे सम्झौता गरेको थियो । सम्झौता कार्यान्वन नगरेपछि उनी चैत २० गते फेरि आन्दोलन गर्न काठमाडौं आएका थिए । उनीमा मात्रै होइन तराईका २० जिल्लाका सयौं मिटरब्याज पीडित काठमाडौं आएर आन्दोलन गरिरहेका छन् । ११ दिन गाउँमा पैदल हिले काठमाडौं आएका टोलीसँग सरकारले चैत १८ गते पाँच बुँदे सम्झौता परेको थियो । त्यो उधारो सम्झौताविरुद्ध पीडडितहरू आन्दोलन गरिरहेका छन् । आन्दोलनरत मिटरब्याज पीडितले सरकारसँग फर्जी तमसुक खारेजी र अदालतमा चलिरहेको मुद्दा रोक्नुपर्ने प्रमुख माग अघि सारेका छन् । तर सरकार उनीहरूको मागमा गम्भीर नदेखिएपछि पटकपटकको वार्ता निष्कर्षविहीन सकिएको हो । बिहीबार आन्दोलनरत पक्षले सरकारी वार्ता टोलसँग यही माग अघि सारेका थिए । चित्तबुझ्दो जवाफ नपाएपछि वार्ता अगाडि बढ्न नसकेको आन्दोलनरत पक्षले जनाएको छ । संघर्ष समितिका अध्यक्ष अवधेश कुशवाहाले मिटरब्याज साहुलाई कारवाही गर्न कानुन संशोधन नगरेसम्म आन्दोलन जारी राख्ने बताए । हामीले फास्ट ट्र्याकमा कानुन संशोधन गरेर फर्जी तमसुक खारेज गर्नुपर्छ भनिरहेका छौं । यसमा सरकार आलटाल गरिरहेको छ, उनले भने । गत चैत २० गतेदेखि काठमाडौं केन्द्रित आन्दोलन गरिरहेका उनीहरूले खास बस्नसमेत समस्या भइरहेको बताएका छन् । सरकारले छिटो समस्या समाधान गरिदिए आफूहरू घर फर्किने उनीहरूको भनाइ छ । बुधबारको वार्तामा उपप्रधान एवं गृहमन्त्री नारायणकाजी श्रेष्ठ कानुनी प्रक्रियाअनुसार समस्या समाधान हुँदै जाने विश्वास दिलाएका थिए । कानुन संसोधनका लागि मस्यौदाको तयार भइसकेको र समस्या समाधानका लागि आयोग पनि गठन भएकोले पीडितहरूलाई घर फर्किन उनले आग्रह गरेका थिए ।"
"राप्रपाले टुग्यायो संसदीय समितिमा जाने सांसद्को नाम","काठमाडौं : राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)ले संसदीय समितिमा रहने सांसदहरूको नाम पठाएको छ । राप्रपा संसदीय दलले पार्टी अध्यक्ष राजेन्द्र लिङ्देन र विक्रम पाण्डेलाई लेखा समितिमा पठाएको छ । त्यस्तै अर्थ समितिमा ज्ञानबहादुर शाही र दीपक सिंह, अन्तर्राष्ट्रिय सम्बन्ध र पर्यटन समितिमा पशुपति शमशेर जबरा र धवलशमशेर जबरा, उद्योग तथा वाणिज्य र श्रम तथा उपभोक्ता हित समितिमा गिता बस्नेतलाई पठाएको छ । त्यस्तै कानुन न्याय तथा मानव अधिकार समितिमा ध्रुवबहादुर प्रधान, कृषि सहकारी तथा प्राकृतिक स्रोत समितिमा अनिशा नेपाली, महिला सामाजिक मामिला समितिमा रोशन कार्की, राज्य व्यवस्था तथा सुशासन समितिमा बुद्धिमान तामाङको नाम पठाएको छ ।"
"सामुदायिक विद्यालयमा अंग्रेजी माध्यमबाट पठनपाठन","महोत्तरी : गौशाला नगरपालिकाभित्रका सामुदायिक विद्यालयमा कक्षा १ सम्म अंग्रेजी माध्यमबाट पठनपाठनको शुभाराम्भ गरिएको छ । शैक्षिक सत्र २०८० का लागि नयाँ विद्यार्थी भर्ना अभियान सञ्चालन गर्दै यहाँका सामुदायिक विद्यालयमा कक्षा नर्सरीदेखि कक्षा १ सम्म अंग्रेजी माध्यममा पठनपाठन गराइरहेका छन् । पछिल्लो समयमा आएर निजी विद्यालयप्रति अभिभावकको झुकाव बढ्दै गएको समयमा नगरपालिकाले यसतर्फ ध्यान दिएका छन् । नगरपालिकाले यसबर्षदेखि नर्सरी कक्षा, केजी र कक्षा १ मा अनिवार्य अरूपमा अंग्रेजीमाध्यमबाट पठनपाठन गराइने नगरप्रमुख डा दिपेन्द्र महतोले बताए । त्यस्तै कक्षा १ मा भर्ना हुने क्रममा विद्यार्थीहरूलाई क्षमता परीक्षण गरी मात्र भर्ना गरिने नगरप्रमुख डा महतोले जानकारी दिएका छन् । नगरप्रमुख डा महतोले भने, विद्यालयको गुणस्तर वृद्धि गर्दै विद्यार्थीलाई आकर्षित गर्ने योजना बनाएका हौँ । अहिले नगभरिका विद्यालयमा परीक्षणको रूपमा ल्याएका छौं । अगामी वर्षदेखि त्यसलाई क्रमिक रूपमा माथिल्लो कक्षामा पनि अंग्रेजी माध्यमबाट पठनपाठन गराउने नगरपालिकाको योजना रहेको छ । गुणस्तरीय अंग्रेजी माध्यमबाट पठनपाठन सुरु भएपछि स्थानीय अभिभावकको सक्रियता र बालबालिकाको आकर्षण निश्चित रूपमा बढ्ने नगरप्रमुख महतोको विश्वास छ । नगरप्रमुख महतोले अगाडि भने, पछिल्लो पटक निजी विद्यालयमा विद्यार्थीको मोह बढ्दै गएको छ । यता क्रमिक रूपमा सामुदायिक विद्यालयमा विद्यार्थीको आकर्षण घट्दै छ । अब गौशाला नगरपालिकाले निःशुल्क रूपमा सामुदायिक विद्यालयबाटै अंग्रेजी माध्यममा पठनपाठन गराउन थालेपछि त पक्कै यहाँका शैक्षिक जगतमा सकारात्मक प्रतिफल आउने छ । सामुदायिक विद्यालयमा विद्यार्थी संख्याको अनुपातमा शिक्षकको अभाव र भौतिक संरचनाको अभाव रहेको शिक्षा शाखाका भरत सिंहले बताए । उनले भने, नगरले यसतर्फ पनि पहलकदमी उठाएको छ । शिक्षकको क्षमता बढाउनका लागि प्रशिक्षणको समेत व्यवस्थापन गरिनुको साथै शैक्षिक सुधारका लागि नगरपालिकाको क्रमिक रूपमा आवश्यक्ता अनुसार योजना ल्याउने छ । जसले यहाँको शैक्षिक जगतमा परिवर्तन निश्चित छ । गौशाला नगरपालिकामा ३२ वटा सामुदायिक विद्यालयहरू रहेका छन् । विद्यार्थी बढाउन निजी विद्यालयका गाडी प्रवेशमा निषेध बर्दिवास नगरपालिकाको सामुदायिक विद्यालयमा विद्यार्थी बढाउनका लागि निजी विद्यालयका गाडी वडामा प्रवेश निषेध गरिएको छ । वडा नं ३ का क्षेत्रभरिमा निजी विद्यालयको गाडीमा रोक लगाइएको वडा कार्यालयले निर्णय गरिएको छ । पाटु गाउँमा विद्यार्थी बोक्न जाने निजी विद्यालयका गाडीलाइ निषेध गरिएको वडा अध्यक्ष बिराट विष्टले जानकारी दिएका छन् । वडाअध्यक्ष विष्टले भने, गत फागुनमा शिक्षक अभिभावक संघको भेलाले गरेको निर्णयलाई वडा कार्यालयले ऐक्यवद्धता जनाएको छ । विद्यालयको शैक्षिक गुणस्तर सुधार नगरी निजी विद्यालयको गाडीलाई निषेध गर्नुले बालबालिकाको पढ्न पाउने अधिकार हनन् गर्न खोजेको उनीमाथि आरोप लागेको छ । नजिकमा रहेको जनजागृत माध्यमिक विद्यालयले शैक्षिक गुणस्तर सुधार गर्न नसकेपछि पाटुका धेरै अभिभावकहरूले निजी विद्यालयमा नै पढाउँदै आएका छन् । बर्दिबासमा नै रहेको निजी विद्यालय सनसाइन इङलिस बोर्डिङ स्कुल, एभरेस्ट पब्लिक एकेडेमी, नोबेल बोर्डिङ स्कुल र बर्दिबास बोर्डिङ स्कुलले त्यहाँबाट विद्यार्थी बोक्दै आएका छन् । यसैको कारणले पनि जन जागृत माध्यामिक विद्यालयमा विद्यार्थीको आकर्षण कम भएको केही स्थानीय र जनप्रतिनिधिको ठहर छ । घारी टोल, तल्लो पाटु, माथिल्लो पाटु लगायतका ठाउँहरूबाट विद्यार्थीहरू निजी विद्यालयमा जाने भएकाले उक्त ठाउँमा सवारी साधन आउन निषेध गर्ने निर्णय गरेका हौं, अभिभावक संघका अध्यक्ष रमेश खत्रीले भने । निजी विद्यालयका सञ्चालकले वैशाख५ गतेपछि निषेध गरिएको क्षेत्रमा निर्वाध रूपमा गाडी चल्ने बताए । एभरेस्ट पब्लिक एकेडेमीका संचालक अरुण कार्कीले कानुन हातमा लिएर तनाशाही निर्णय गरेको आरोप लगाए ।"
"बैककको रात्रि क्लबमा गोली चल्यो","बैंकक : थाइल्यान्डको राजधानी बैंककस्थित रात्रि क्लब परिसरमा गोली चल्दा छ जना घाइते भएका स्थानीय प्रहरीले सोमबार जानकारी दिएका छन् । महानगरीय प्रहरी ब्युरो डिभिजन १ का प्रहरी नायब कमाण्डर शाक्य सेङवानका अनुसार किशोरीहरूले आपसमा झगडा गरेको र बन्दुक चलाउँदा सो घटना भएको जानकारी अधिकारीहरूलाई दिइएको थियो । पेस्तोलसहित दुईजना संदिग्धलाई सोमबार बिहान घटनास्थलबाटै पक्राउ गरिएको शाक्यले बताए । घाइते सबै ६ जनाको अहिले पनि अस्पतालमा उपचार भइरहेको शाक्यले जानकारी दिँदै घाइते सबैलाई गोली लागेको बताए । प्रहरीले अहिले झगडामा संलग्नको बारेमा अनुसन्धान गरिरहेको र आयोजक र नाइटक्लब सञ्चालकलाई सोधपुछका लागि बोलाएको उनले जनाकारी दिएका छन् ।"
"राष्ट्रपति पौडेलको छातीमा समस्या","काठमाडौंः राष्ट्रपति रामचन्द्र पौडेलको छातीको तल्लो भागमा संक्रमण देखिएको छ । राष्ट्रपति भण्डारी सोमबार उपचारका लागि त्रिभुवन विश्वविद्यालय शिक्षण अस्पताल पुगेका थिए । पौडेलको बायाँ छातीको तल्लो भागबाट भिडियो एक्सरे (अल्ट्रासाउण्ड ) को सहायताले पानी निकालेर परीक्षणका लागि पठाइएको छ । उपचारमा संलग्न चिकित्सकहरूका अनुसार राष्ट्रपतिको स्वास्थ्य अवस्था हाल सामान्य रहेको छ । उनी निवास फर्किएको त्रिवि शिक्षण अस्पतालले जनाएको छ ।"
"सीके राउत को हुन्? कहाँबाट परिचालित छन्? यो खोज्नुपर्छ : उपेन्द्र यादव","बारा : जनता समाजवादी पार्टी (जसपा)का राष्ट्रिय अध्यक्ष उपेन्द्र यादवले जनमत पार्टीका अध्यक्ष सीके राउत देश बाहिरको शक्ति केन्द्रबाट परिचालित भएको आरोप लगाएका छन् । बारा क्षेत्र नं २ को उपनिर्वाचनमा गठबन्धनका साझा उम्मेदवार यादवले सीके राउत बाह्य शक्ति केन्द्रबाट परिचालित पात्र भएको आरोप लगाए । सोमबार बाराको महागढीमाई नगरपालिका६ मा चुनावी घरदैलो कार्यक्रममा सञ्चारकर्मीसँग कुरा गर्दै यादवले भने, 'सीके राउत को हो? कहाँबाट परिचालित छन्? केका लागि परिचालित छन्? भन्ने कुरा रहस्यमयी छ । यसबारे धेरै कुरा खोज्नुपर्छ ।' देशको सार्वभौमसत्ता र राष्ट्रिय अखण्डतालाई खण्डित गर्ने राष्ट्रघाति र देशद्रोही बनेर राउतले राजनीति यात्रा सुरु गरेको भन्दै यादवले अहिले पनि राउतको बोली र व्यवहार दुवै राष्ट्रघाति र देशद्रोही नै भएको टिप्पणी गरे । मधेसलाई नेपालबाट टुक्र्याउने नारा छाडेर मूलधारको राजनीतिमा सीके राउत आइसकेका छन् नि त भन्ने प्रश्नमा यादवले भने, सीके राउत अहिले पनि राष्ट्रघाति र देशद्रोही नै हुन् । किनकि उनको व्यवहार र गतिविधि अहिले पनि हिजोको जस्तै छ ।' बारा २ को उपनिर्वाचन जित्न जसपाले जातिवादको नारा उचालिरहेको भन्ने विपक्षी दलको आरोपको उनले खण्डन गरे । उनले भने, 'सिद्धान्तहीन, विचारहीन, आदर्शहीन र चरित्रहीन तथा अपराधिक मनोवृति भएकाहरूले मधेसमा जातिवादको विष घोलेर समाजलाई कमजोर बनाएर फेरि मधेसीलाई गुलाम बनाउने षड्यन्त्र गरिरहेका छन् ।' उनले बाहिरिया उम्मेदवार भन्ने आरोपको पनि बचाउ गरे । 'आफ्नै देशको नागरिक आफ्नै देशमा बाहिरिया हुन्छ? कि अमेरिकन नागरिकले लिएर आएका उम्मेदवार बाहिरिया हुन्छ? यसको जवाफ बैशाख १० मा बारा २ का जनताले दिनेछन् ।' उनले सीके राउतलाई अमेरिकी नागरिक रहेको संज्ञा दिएका थिए । उनले आफ्नो विजयी सुनिश्चित रहेको बताउँदै मतान्तर बढाउनलाई घरदैलो कार्यक्रम गरिरहेको बताए । घरदैलो कार्यक्रममा यादवसँगै नेपाली कांग्रेसका सहमहामन्त्री उमाकान्त चौधरी, कांग्रेस केन्द्रीय सदस्य अजय चौरसिया, कांग्रेसका जिल्ला सभापति राजेशराय यादव, महागढी नगरपालिकाका मेयर उपेन्द्र प्रसाद यादवलगायतका नेताको सहभागीता थियो ।"
