"शीर्षक","विवरण"
"उपत्यकामा सीसीटीभी जडानसम्बन्धी सम्झौता","काठमाडौं : उपत्यकामा सीसीटीभी जडानसम्बन्धी सम्झौतामा हस्ताक्षर भएको छ । काठमाडौं उपत्यका प्रहरी कार्यालय रानीपोखरी र काठमाडौं महानगरपालिकाबीच काठमाडौंमा सीसीटीभी क्यामेरा जडान, सञ्चालन, मर्मतसम्भार र सूचनाको उपयोग गर्नेसम्बन्धी समझदारीपत्रमा बिहीबार हस्ताक्षर भएको हो । राष्ट्रिय सभागृहमा काठमाडौं उपत्यका प्रहरी कार्यालयको तर्फबाट कार्यालय प्रमुख प्रहरी अतिरिक्त महानिरीक्षक श्यामलाल ज्ञवाली र काठमाडौं महानगरपालिकाको तर्फबाट महानगरपालिकाका प्रमुख प्रशासकीय अधिकृत वसन्त अधिकारीले उक्त समझदारीपत्रमा हस्ताक्षर गरेका हुन् । महानगरपालिकाका प्रमुख बालेन्द्र साहले नेपाल प्रहरीसँग आगामी दिनमा समेत सहकार्य र समन्वय गर्दै अगाडि बढ्ने बताए । काठमाडौं उपत्यका प्रहरी कार्यालय रानीपोखरीका प्रमुख प्रहरी अतिरिक्त महानिरीक्षक ज्ञवालीले सीसीटीभी क्यामेरा जडानले शान्ति सुरक्षाका साथै आपराधिक क्रियाकलाप नियन्त्रणमा महत्त्वपूर्ण योगदान पुग्ने विश्वास व्यक्त गर्दै आउँदा दिनमा समेत महानगरपालिकासँग सहकार्य गर्दै जाने बताए । काठमाडौं क्षेत्रभित्र शान्ति सुरक्षा, अमनचैन, पारदर्शी सहरी व्यवस्थापन, अपराध नियन्त्रण, दुर्घटना न्यूनीकरण, फोहरमैला व्यवस्थापन, फुटपाथ अतिक्रमण, प्रदूषण न्यूनीकरण, सार्वजनिक सम्पत्ति संरक्षण, नदी किनारा तथा सांस्कृतिक एवं सम्पदा क्षेत्रहरूको संरक्षण, सार्वजनिक यातायात व्यवस्थापन, रात्रिकालीन आवागमनका लागि सीसीटीभी जडान गरिन लागिएको हो । त्यसका लागि काठमाडौं महानगरपालिकाले प्रहरीलाई छ करोड रुपैयाँ उपलब्ध गराउने सम्झौतापत्रमा उल्लेख गरिएको छ । सीसीटीभी जडान गरिने विभिन्न स्थान दुवै पक्षको सहमतिमा यकिन गरिने तथा जडान हुने सीसीटीभी प्रणाली नेपाल प्रहरीले निर्धारण गरेको मापदण्डअनुसारको हुनेसमेत सम्झौतापत्रमा उल्लेख गरिएको छ ।"
"बजेट घाटा २ खर्ब नाघ्यो : ९ महिनामा बल्लतल्ल लक्ष्यको आधा आम्दानी","काठमाडौं : आर्थिक वर्षको ९ महिना ५ दिन बितेको दिन सरकारले बल्लतल्ल वार्षिक लक्ष्यको आधा आम्दानी गरेको छ । वर्षको तीनचौथाई अवधि बित्दा आम्दानी भने मुस्किलले ५० प्रतिशत कटेको हो । वैशाख ५ गतेसम्म सरकारले राजस्व र अन्य प्राप्ति गरी ७ खर्ब ३२ अर्ब ३९ करोड रुपैयाँ आम्दानी गरेको छ । सरकारले चालु आर्थिक वर्षमा १४ खर्ब ५८ अर्ब ६० करोड रुपैयाँ आम्दानी गरी १७ खर्ब ९३ अर्ब ८३ करोड रुपैयाँ खर्च गर्ने लक्ष्य लिएको थियो । महालेखा नियन्त्रक कार्यालयका अनुसार बुधबारसम्म सरकारले वार्षिक विनियोजनको ५२ दशमलव ९८७ प्रतिशत अर्थात् ९ खर्ब ५० अर्ब २० करोड रुपैयाँ खर्च गरेको हो । बाँकी खर्चको स्रोत सरकारले ऋणमार्फत् उठाउनेछ । यससँगै सरकारको आम्दानी र खर्चको आम्दानीको अन्तर २ खर्ब नाघेको छ । वैशाख ५ गतेसम्म सरकारले आम्दानी गरेभन्दा २ खर्ब १७ अर्ब रुपैयाँ बढी खर्च गरेको हो । यसबीचमा राजस्व संकलन लक्ष्यको ५० प्रतिशत नाघ्न सकेको छैन । तर, अन्य प्राप्तिस्वरुप गरेको ३५ अर्ब ९२ करोड आम्दानीले आधाबाट पार गर्न सघाएको हो । वैशाख ५ गतेसम्म सरकारले लक्ष्यको ४७९५ प्रतिशत कर राजस्व र ६३३४ प्रतिशत गैरकर राजस्व संकलन गरेको छ । यसबीचमा पुँजीगत खर्चतर्फ वार्षिक लक्ष्यको २८६ प्रतिशत, चालुतर्फ ६० प्रतिशत र वित्तीय व्यवस्थातर्फ ५६१४ प्रतिशत खर्च गरेको छ । राजस्वले धान्दैन चालुखर्च, पुँजीगतभन्दा वित्तीय व्यवस्था खर्च बढी सरकारको तथ्यांकअनुसार चालु खर्चको आकार राजस्वभन्दा बढी छ । वैशाख ५ गतेसम्म सरकारले ६ खर्ब ८९ करोड ४१ करोड राजस्व आम्दानी गरेको छ तर चालु खर्च नै ७ खर्ब ९ अर्ब ९९ करोड रुपैयाँ पुगेको छ । यस्तै, पुँजीगत खर्चभन्दा वित्तीय व्यवस्थाको खर्च २० अर्ब बढी भएको छ । मंगलबारसम्म १ खर्ब २९ अर्ब २५ करोड रुपैयाँ वित्तीय व्यवस्था खर्च भएकामा पुँजीगत खर्च १ खर्ब ८ अर्ब ७८ करोड रुपैयाँ मात्र छ ।"
"जापानको संसद कार्यालयमा आक्रमण गर्ने चेतावनी","टोकियो : जापानको संसदीय अधिकारीहरूले एक धार्मिक संगठनका एक सदस्यले आफ्नो कार्यालय मास्ने धम्कीसहितको इमेल सन्देश प्राप्त भएको बताएका छन् । अधिकारीहरूका अनुसार ती इमेलहरू बुधबार राति संसद्को माथिल्लो र तल्लो सदन दुवैको वेबसाइटमा पठाई शुक्रबार दिउँसो सांसदको कार्यालयमा बम विष्फोट हुने चेतावनी दिइएको थियो । जापानको सरकारी प्रसारक एनएचकेका अनुसार ती इमेलमा संसद् भवनबाट सडकको विपरीत दिशामा रहेको सांसदको कार्यालय भवनभित्र ठूलो सङ्ख्यामा अत्यधिक विष्फोटक बम र सरीन नर्भ ग्यासयुक्त उपकरण राखिएको उल्लेख गरिएको छ । धार्मिक संगठनका सदस्यले इमेलमा स्थानीय समयअनुसार शुक्रबार दिउँसो १:३४ बजेदेखि राजनीतिज्ञको सामूहिक हत्या गरिने पनि बताएका छन् । खतराका कारण उच्च सतर्कतामा रहेका सुरक्षाकर्मीले शंकास्पद वस्तु र प्याकेटको खोजी गरिरहेका छन्, तर अहिलेसम्म कुनै अप्रिय घटना फेला परेको छैन ।"
"गठबन्धनलाई हार्ने छुट छैन : देउवा","चितवन : नेपाली कांग्रेसका सभापति एवं पूर्वप्रधानमन्त्री शेरबहादुर देउवाले उपनिर्वाचनमा गठबन्धनलाई हार्ने छुट नभएको बताएका छन् । लोकतान्त्रिकवाम गठबन्धनले चितवनको कालिका नगरपालिकामा आयोजना गरेको चुनावीसभामा सभापति देउवाले गठबन्धनका उम्मेदवारलाई जिताएर पठाउन मतदातालाई आग्रह गरे । उनले भने, 'तपाईँहरूले जिताएर पठाउनुस्, मन्त्री बनाउने काम मेरो भयो ।' अहिलेको सत्ता गठबन्धनले पाँच वर्ष सरकार चलाउने उल्लेख गर्दै उनले विकासका लागि समेत ढुक्क रहन आग्रह गरे । 'चितवन ऐतिहासिक जिल्ला हो । जिताएर पठाउनुस्, अरु हामी गर्छाौं । जीतनारायण श्रेष्ठ काम गरेको र दुःख गरेको मान्छे भएकाले निर्वाचनमा जिताउनुपर्छ,' सभापति देउवाले भने, 'विसं २००७, २०४७ साल र २०६२६३ सालको जनआन्दोलनमा यहाँका साथीहरूको सहभागिता र सक्रियतालाई बिर्सन हुँदैन ।' चुनावी सभामा नेकपा (एकीकृत समाजवादी)का केन्द्रीय उपाध्यक्ष राजेन्द्र पाण्डेले प्रजातन्त्रको बहालीका लागि अग्रपङ्क्तिमा लड्दै आएको चितवनका बासिन्दाले आफ्नो मतलाई गलतरुपमा प्रयोग गर्न नहुने बताए । विचार र सिद्धान्त नभएको पार्टीले देशलाई सुशासन दिन नसक्ने उनको भनाइ थियो । सोही अवसरमा नेपाली कांग्रेसका केन्द्रीय सदस्य डा शेखर कोइरालाले देशमा व्यक्तिवादी चरित्र हाबी हुन थालेको उल्लेख गर्दै पुराना र इतिहास बोकेका पार्टीलाई सहयोग गर्न आग्रह गरे । उनले भने, 'अवसरवादीले राजनीतिक दललाई घेराबन्दी गरेका छन्, त्यसलाई तोडेर अघि बढ्नुपर्छ ।' कांग्रेस केन्द्रीय सदस्य बालकृष्ण खाँणले आगामी चार वर्षमा आम नागरिकले देख्नेगरी विकास हुने बताए । विकासका लागि सत्ता गठबन्धनका उम्मेदवार जिताउनुपर्ने उनको भनाइ थियो । कार्यक्रममा चितवन क्षेत्र नं २ बाट लोकतान्त्रिकवाम गठबन्धनका तर्फबाट उम्मेदवार नेपाली कांग्रेसका जीतनारायण श्रेष्ठले आफूले यस क्षेत्रको समस्या नजिकबाट पहिचान गरेकाले समस्या समाधान गर्न पनि जिम्मेवारी दिन आग्रह गरे । 'यहाँको विकासका लागि मेरो भूमिका महत्वपूर्ण रहने छ । यहाँको विश्वासलाई धोका दिने छैन,' उनले भने । चुनावी सभालाई नेकपा (माओवादी केन्द्र) का स्थायी कमिटी सदस्य नारायण दाहाल, एकीकृत समाजवादीका स्थायी कमिटी सदस्य सावित्रा भुसाल, जिल्ला अध्यक्ष अरुणपीडित भण्डारी, नेपाली कांग्रेसका जिल्ला सभापति राजेश्वर खनाललगायतले सम्बोधन गरेका थिए ।"
"शुक्रबार देशका तीनवटा प्रदेशमा वर्षा हुने","काठमाडौं : शुक्रबार देशका तीनवटा प्रदेशमा वर्षा हुने भएको छ । मौसम पूर्वानुमान महाशाखाका अनुसार सुदूरपश्चिम प्रदेश, कर्णाली प्रदेश र गण्डकी प्रदेशका पहाडी भूभागका केही स्थानहरूमा तथा देशका बाँकी भूभागका थोरै स्थानहरूमा मेघ गर्जनचट्याङसहित हल्काक्षणिक वर्षाको सम्भावना रहेको छ । तराईका थोरै स्थानहरूमा हावाहुरीको सम्भावना रहेको छ । शुक्रबार राति पहाडी भूभागका थोरै स्थानहरूमा मेघ गर्जनचट्याङसहित हल्काक्षणिक वर्षाको सम्भावना रहेको छ । तराईका थोरै स्थानहरूमा हावाहुरीको सम्भावना रहेको छ ।"
"इलाममा ५० हजार किलो चिया नष्ट","इलाम : भारतमा बिक्री गर्न लागेको चिया गुणस्तरहीन भएको भन्दै इलामको सूर्योदय नगरपालिकाले नगरकै एक कारखानाको करिब ५० हजार किलो चिया नष्ट गरिदिएको छ । सूर्योदय नगरपालिका४ अन्तुको समालभ्याली चिया कारखानाको चिया गुणस्तरहीन भएको भन्दै बुधबार नष्ट गरेको हो । कारखानाले चियाको सिन्का मात्रै भारतमा बिक्री गर्ने तयारी गरेकाले नष्ट गरेको चिया सम्बन्धी समस्या समाधान समिति संयोजक तथा वडा १० का अध्यक्ष पेमाउगेन लामाले बताए । गुणस्तरीय चिया उत्पादन गरी नेपाली ब्रान्डको प्रचार गर्न प्रयास गरिरहेको नगरपालिकाले गुणस्तरहीन चिया बिक्रीका लागि तयारी गरेको थाहा पाएकाले नष्ट गरेको लामाले बताए । नेपालको करिब ९० प्रतिशत चिया भारतमा बिक्री हुने गरेको छ । भारतले नेपालको चिया गुणस्तरहीन रहेको आरोप लगाउँदै आएको छ ।"
"आन्तरिक राजश्व विभागका प्रमुखहरूलाई अर्थमन्त्रीको निर्देशन","काठमाडौं : अर्थमन्त्री डा प्रकाशशरण महतले राजस्व संकलन गर्ने निकायका कर्मचारीलाई तदारुकता, इमान्दारिता र अनुशासन देखाउन निर्देशन दिएका छन् । विशेष परिस्थितिले यस पटक राजस्व संकलनको क्रम सुस्त भएको बताउँदै अर्थमन्त्री महतले यसको कारण अर्थतन्त्रमा आएको संकुचन र सरकारी नीति रहेको बताए । गत वर्ष संकलन भएको राजस्वसँग अहिलेको संकलन दाँज्दा पनि हाम्रो प्रगति निक्कै कमजोर छ, मन्त्री महतले भने, सम्पूर्ण दोष राजस्वका कर्मचारीको हो भनेर मैले भनेको छैन । राष्ट्रिय अर्थतन्त्रमा आएको संकुचन, केही वस्तुहरूको आयातमा लगाएको प्रतिबन्ध, पुँजीगत खर्चमा आएको ह्रास, चोरी पैठारीका कारणले राजश्वमा कमी आएको देखिन्छ । डा महतले सबैले इमान्दारिताका साथ आआफ्नो जिम्मेवारी पूरा गर्ने बाहेक आफूसँग अर्को एजेन्डा नभएको बताए । तपाईंहरूको कार्य प्रगतिबाट नै तपाईंहरूको मूल्यांकन हुन्छ भन्ने कुरामा तपाईंहरू निश्चिन्त हुनुहोस्, उनले भने । उनले महालेखा परीक्षकको कार्यालयले प्रतिवेदनमा देखाएका कुराहरूलाई गम्भीरता पूर्वक लिन जरुरी रहेको बताउँदै भने, समिक्षा प्रतिवेदनले एउटा राजस्व कार्यालयबाट बढी र अर्कोमा थोरै राजस्व संकलन अनुपात देखिन्छ । एक अर्कोमा धेरै फरक अनुपातमा संकलन देखिनुमा के विशिष्ठ परिवेश होला ? संकलन दर सबैतिर सामान्यतः एकै प्रकार हुनुपर्ने होइन ? धेरै ठूलो अन्तर किन भइरहेको छ भन्दै मन्त्री डा महतले विभाग प्रमुखहरूलाई प्रश्न गरे । अर्थ मन्त्रालयका अनुसार झन्डै ४४ प्रतिशत राजस्व ठूला करदाताबाट राजस्व आउँछ । गत वर्षको तुलनामा अहिले ठूला करदाताबाट पनि राजस्व कम संकलन भएको छ । यहाँ पनि समस्या देखियो । यसमा कहाँ त्रुटी भयो, त्यसको समीक्षा हुन जरुरी छ, उनले भने । महतले पछिल्लो समयमा ठूला व्यावसायिक घराना त्यत्ति धेरै प्रभावित नभएको भन्दै काठमाडौं उपत्यकामा राजस्व संकलन लक्ष्यभन्दा कम उठ्नुप्रति प्रश्न गरे ।"
"""यो म्यादी सरकार हो","केही दिनमै ढल्छ : केपी ओली"",""सिमरा : नेकपा एमालेका अध्यक्ष एवं पूर्वप्रधानमन्त्री केपी शर्मा ओलीले पुष्पकमल दाहाल नेतृत्वको सरकारलाई म्यादीको संज्ञा दिँदै केही दिनमै ढल्ने दाबी गरेका छन् । बाराको पचरौतामा बिहीबार आयोजित चुनावी सभालाई सम्बोधन गर्दै ओलीले सरकार केही दिनको पाहुना रहेको भन्दै छिट्टै ढल्ने र सरकार ढाल्न एमालेले हात लगाउन नपर्ने बताए । यो सरकार म्यादी सरकार हो । आपसी कारणले आफैं ढल्छ,' ओलीले भने, 'तर जति दिन टिक्छ त्यति नै महँगो पर्न जान्छ ।' उनले वर्तमान सरकारलाई खञ्चुवा सरकार रहेको बताए । खञ्चुवा सरकार भएका कारण देश र जनताले थेक्न नसक्ने ओलीको भनाइ थियो । वर्तमान सरकारले वृद्धभत्ता कटौति गर्न खोजेको आरोप लगाउँदै ओलीले देशका लागि एमालेको सरकार आवश्यक रहेको बताए । एमालेको सरकारले अघि सारेको अधिकांश योजना प्रचण्ड नेतृत्वको सरकारले कटौति गरिरहेको भन्दै ओलीले देश र जनताका लागि एमालेको सरकार आवश्यक रहेको बताए । बारा क्षेत्र नं २ को चुनावी सभालाई ओलीसहित एमालेका उम्मेदवार पुरुषोत्तम पौडेल, केन्द्रीय सचिव रघुवीर महासेठ, पोलिटव्युरो सदस्य अच्युत मैनाली, ज्वाला साहलगायतले सम्बोधन गरेका थिए ।"""
"बिग्रिएको पीसीआर मेसिन अस्पताललाई अनुदान","परासी : नवलपरासीको पृथ्वीचन्द्र जिल्ला अस्पताललाई उपलब्ध गराइएको अनुदानको पीसीआर मेसिन बिग्रिएको पाइएको छ । कोरोना परीक्षणका लागि रसियन सरकारले उक्त मेसिन अस्पताललाई अनुदानमा उपलब्ध गराएको हो । मेसिनले मात्र कोरोना परीक्षण गर्न नसकिने भएपछि त्यससँग सम्बन्धित उपकरण र औजारको समेत अस्पतालले व्यवस्था गरेको थियो । मेसिन सञ्चालनसँग सम्बन्धित २५ लाख बराबरको उपकरण अस्पतालले युनाइटेड मिशन टु नेपाल (युएमएन) मार्फत व्यवस्था गरेको हो । तर मेसिन नै बिग्रिएपछि अन्य उपकरण र औजारसमेत सञ्चालनमा ल्याउन नसक्दा ती सामग्री समेत बिग्रने सम्भावना बढेको छ । मेसिन नभएपछि त्यसको प्रयोगका लागि निर्माण गरिएको भवन समेत प्रयोगविहीन बनेको छ । कोरोना संक्रमणको दोस्रो महामारीमा तत्कालीन स्वास्थ्यमन्त्री हृदयेश त्रिपाठीको पहलमा रसियन सरकारले उक्त मेसिन अस्पताललाई उपलब्ध गराएको हो । हस्तान्तरण भएको केही समयपछि परीक्षणका लागि चालु गर्न खोज्दा बिग्रिएको पाइएको अस्पतालका मेडिकल सुपरिटेन्डेन्ट डा मोहम्मद नुरुल होदाले जानकारी दिए । स्वास्थ्य सेवा विभागको बायो मेडिकल इन्जिनियरको टिमले ३४ दिनसम्म इन्स्टल गर्न खोज्दा भएन । उक्त टिमले बिग्रिएको भनेपछि त्यसबारे विभागमा जानकारी पठाएका छौं, डा होदाले भने । रसियन सरकारले सोही प्रकृतिको मेसिन जनस्वास्थ्य प्रयोगशालामा पनि दिएको र त्यो पनि बिग्रिएको पाइएको उनले बताए । मेसिन बिग्रिएपछि स्वास्थ्य सेवा विभागसँग अर्को पठाउन भनेको र एउटाका लागि मात्र टेण्डर निकाल्न नसकिने जवाफ दिएको डा होदाको भनाइ छ । पीसीआर भवन प्रयोगविहीन पीसीआर मेसिन नभएपछि त्यसको प्रयोगका लागि निर्माण गरिएको भवनसमेत प्रयोगविहीन भएको छ । मेसिन सञ्चालनमा नआउँदा स्थानीयको सहयोगसहित निर्माण भएको ५२ लाखको भवन प्रयोगविहीन बनेको हो । भवन निर्माण गराउन जिल्लाका सबै पालिकाले आर्थिक अनुदान दिने प्रतिबद्धता जनाएका थिए । भवन निर्माण भइसक्दासमेत तीन पालिकाले भने अहिलेसम्म रकम बुझाएका छैनन् । रकम नबुझाउनेमा सुनवल, पाल्हीनन्दन र सुस्ता गाउँपालिका रहेका छन् । भवन निर्माणका लागि रामग्राम नगरपालिकाले १० लाख उपलब्ध गराएको छ । बर्दघाट, प्रतापपुर र सरावलले ५५ लाख गरी २५ लाख उपलब्ध गराएका छन् । स्थानीय श्याम अग्रवालले ७ लाख २१ हजार र सुरेन्द्र यादवले ७ लाख ११ हजार गरी कुल १४ लाख ३२ हजार उपलब्ध गराएका थिए । अपुग रकम अस्पताल विकास समितिले व्यहोरेर भवन निर्माण गरिएको हो । सहज छैन सञ्चालन पीसीआर परीक्षण त्यति सहज नभएको अस्पतालले जनाएको छ । मेसिन सञ्चालन आए पनि त्यसका लागि चाहिने आवश्यक जनशक्ति र खर्चका कारण समस्या हुने डा होदाले बताए । मेसिन सञ्चालन गर्न माइक्रो बायोलोजिष्टसहितको जनशक्ति चाहिने र त्यो अस्पतालमा नभएकाले समस्या हुने होदाको भनाइ छ । परीक्षण गर्दा ४५ जना जनशक्ति चाहिन्छ । १ दिनको खर्च मात्र ४० हजार बढी आउँछ । त्यसको व्यवस्थापन गर्न समस्या छ, होदाले भने । अन्य जिल्लामा पीसीआर परीक्षण सुरु गरे पनि त्यहाँ समेत सञ्चालन खर्च व्यवस्था गर्न नसकेकाले बन्द भएको डा होदाले उदाहारण दिए ।"
"""चितवनमा छल्कियो शेरबहादुरप्रचण्डको लभ","एमालेसँग गठबन्धन बनाउँदा रातभरि निन्द्रा नपरेको खुलासा"",""चितवन : प्रधानमन्त्री पुष्पकमल दाहाल 'प्रचण्ड'ले सरकार संसद पुनःस्थापनाको बेला भएको गठबन्धनको बेला शेरबहादुर देउवासँगको लभ परेको भन्दै सरकार गठनको बेला छुटिँदा रातभर निन्द्रा नलागेको बताए । एमालेसँगको गठबन्धनमा सरकारको नेतृत्व गरिहँदा आफू चिन्तत भएको उनले बताए । प्रधानमन्त्री बनेपछि एकदिन पनि राम्रो निन्द्रा नलागेको उनको भनाइ छ । चितवनको कालिका नगरपालिका स्थित सत्ता गठबनधनको चुनावी आमसभालाई सम्बोधन गर्दै प्रधानमन्त्री प्रचण्डले अहिले पुरानो अवस्थामा आउँदा खुसी लागेको बताए । यो गठबन्धनबाट चुनाव जिते तर प्रधानमन्त्री हुँदाचाहिँ अर्को ठाउँमा पुग्ने बडो असहज परिस्थिति बन्यो । एकातिर म जहाँबाट प्रधानमन्त्री बने, एक दिन राम्रोसँग निन्द्रा लागेन । कहाँ आइयो र प्रधानमन्त्री भइयोजस्तो भयो । यो प्रधानमन्त्री नै घाँडोजस्तो भएजस्तो लाग्यो । शेरबहादुरजी प्रचण्डलाई प्रधानमन्त्री बनाउन नपाएको राति सुत्नसक्नु भएन । हामी दुवै जना बडो बेचैन, किनभने गहिरो लभ भइसकेको थियो, उनले भने, लभ गहिरो भएको थियो । विवाह हुने बेला गडबड खायो । अहिले जहाँ लभ छ त्यही आइपुगियो । अहिले हामी खुसी छौं । उनको कुरा सुनेर कांग्रेस सभापति शेरबहादुर देउवा हाँसे । उनको हाँसोले कार्यक्रम स्थलमा पुगेका दुवै कार्यकर्ताले ताली बजाएर समर्थन गरे । प्रधानमन्त्री प्रचण्डले संविधानलाई कमजोर बनाउने शक्तिलाई खेल्ने ठाउँ दिन नहुने बताए । प्रधानमन्त्रीसँगै पुगेका कांग्रेस सभापति शेरबहादुर देउवालाई देखाउँदै आफू र देउवा मिलेपछि सबै सम्भव हुने बताए । खहरे उर्लेर आँउछ सुक्छ । पछि कमिला हिँड्छ । तर नारायणी नदी आफ्नै गतिमा बगेर महासागरमा मिल्छ । गठबन्धन त्यही नारायणी हो । शेरबहादुरजी र मैले भनेपछि धेरै कुरा हुनेवाला छ नेपालमा,' उनले भने । संविधान मास्ने दुस्साहसविरुद्ध जन्मिभएको गठबन्धन भएकाले यो निरन्तर रहने उनले बताए । कांग्रेस सभापति देउवाले मुदलुकको संविधान र विकासको लागि गठबनधनको विकल्प नभएको बताए । जीतनारायाण्लाई जिताएर पठाउनुस् हामी मन्त्री बनाउँछौं,' यो गठबनधन संविधान र देशको लागि हो । यसलाई जोगाउन जित्न जरुरी छ,' उनले भने । गठबन्धनको पक्षमा माहोल बनाउन चुनावी सभामा सम्बोधन गर्न बाराबाट उनीहरू चितवन पुगेका थिए ।"""
