"शीर्षक","विवरण"
"रगत अभाव हुन नदिन धरानमा रक्तदान","धरान : डेंगु संक्रमित बिरामीको उपचारलाई सहज बनाउनका लागि धरानमा रक्तदान गरिएको छ । उद्योग वाणिज्य संघ सुनसरीले बिहीबार धरानमा रक्तदान कार्यक्रमको आयोजना गरेको हो । बिरामीको चापका कारण सबै ग्रुपको रगत अभाव भएकाले रक्तदान कार्यक्रम गरिएको संघले जनाएको छ । सेना, प्रहरी, व्यापारी, पत्रकार लगायतका सर्वसाधारणले रक्तदान गरेका थिए । रक्तदान कार्यक्रममा ५३ पिन्ट रगत संकलन गरिएको संघका कार्यवाहक अध्यक्ष गोपाल श्रेष्ठले बताए ।"
"अन्तर्राष्ट्रिय युवा दिवस मनाउने तयारी","काठमाडौं : अन्तर्राष्ट्रिय युवा दिवस नेपालमा पनि भव्यरूपमा मनाइने तयारी भएको छ । आगामी साउन २८ गते दिवस मनाउन युवा तथा खेलकुदमन्त्री डिग बहादुर लिम्वुको अध्यक्षतामा मूल समारोह समिति गठन गरिएको छ । युवाहरूलाई देश र जनताप्रति जवाफदेही हुनेगरी काम गर्न प्रेरित गर्ने उद्देश्यले दिवस मनाउन लागिएको राष्ट्रिय युवा परिषदका उपाध्यक्ष सुरेन्द्र बस्नेतले जानकारी दिए । उक्त दिन विहान काठमाडौंको भृकुटीमण्डपबाट प्रभातफेरी कार्यक्रमसमेत आयोजना हुनेछ । प्रभातफेरीमा नेपाली सेना, नेपाल प्रहरी, सशष्त्र प्रहरी बललगायत राष्ट्रिय खेलकुद परिषदको समेत सहभागिता हुने बस्नेतले बताए । उनले पछिल्लो जनगणनाअनुसार नेपालमा युवाको संख्या ४० दशमलव ५६ प्रतिशत रहेको जानकारी दिए । संयुक्त राष्ट्र संघको आह्वानमा हरेक वर्ष अगष्ट १२ को दिन विश्वव्यापी रुपमा सो दिवस मनाउने गरिन्छ ।"
"समयमा भुक्तानी नपाएपछि निर्माण व्यवसायी रुष्ट","हेटौंडा : निर्माण कार्यवापतको भुक्तानी समयमा नपाएको र सरकारी निकायले म्याद थप नगरी ठेक्का सम्झौता गर्दा आफूहरू मर्कामा परेको भन्दै मकवानपुरका निर्माण व्यवसायीहरू रुष्ट भएका छन् । उनीहरूले विभिन्न मागसहित आज सरोकारवाला निकायको ध्यानाकर्षणसमेत गराएका छन् । हेटौंडास्थित सडक डिभिजन कार्यालय, यातायात पूर्वाधार निर्देशनालय, सहरी विकास तथा भवन कार्यालय, जलस्रोत तथा सिँचाइ विकास डिभिजन कार्यालय र संघीय खानेपानी तथा ढल व्यवस्थापन कार्यालयको ध्यानाकर्षण गराइएको निर्माण व्यवसायी संघका कार्यवाहक अध्यक्ष सागर कटुवालले जानकारी दिए । नेपाल सरकारबाट गत असार २१ गते नेपाल राजपत्रमा म्याद थप सम्बन्धमा सार्वजनिक खरिद ऐन, २०६३ को दफा ७४ ख बमोजिम बाधा अड्काउ फुकाउनका लागि जारी भएको आदेशले हाल विद्यमान म्याद थप र भुक्तानी समस्या समाधान गर्न नसक्ने हुँदा निर्माण उद्योगको विकास विस्तारमा प्रतिकुल असर पारेको व्यहोरा ध्यानाकर्षण गराउँछौँ, ध्यानाकर्षण पत्रमा उल्लेख छ । त्यस्तै संघले अत्यधिक र अप्रत्याशित रूपले भएको मूल्य वृद्धिलाई सम्बोधन हुने गरी मूल्य समायोजन गरिनुपर्ने, रुग्ण आयोजनाहरू अन्यौलग्रस्त र बजेट नभई काम हुन नसक्ने एवं काबु बाहिरका निर्माण कार्य सुविस्ताको आधारमा अन्त्य गर्नुपर्ने, चेक बाउन्स र बैंक ग्यारेन्टी जफत गर्ने लगायतका कारबाही रोकिनुपर्ने माग राखेको महासचिव राजेन्द्र प्रसाद चौलागाईंले बताए । बीमाको प्रिमियम दरमा भएको वृद्धिलाई खारेज गर्नुपर्ने, श्रोतमा कट्टा गरेको अग्रिम आयकर र मूल्य अभिवृद्धि करको बाँकी बक्यौता रकम समयमा नियोक्ताले राजस्व खातामा दाखिला गर्नुपर्ने, उपभोक्ता समितिबाट निर्माण कार्य गर्ने व्यवस्था खारेज गर्नुपर्ने र निर्माण व्यवसायीको हितमा कानूनसमेत आवश्यक संशोधन गर्नुपर्ने संघको माग छ ।"
"मुख्यमन्त्री शाहले भने गेटामा विश्वविद्यालयको स्वामित्व लिन तयार छौं","धनगढी : सुदूरपश्चिम प्रदेशका मुख्यमन्त्री कमलबहादुर शाहले गेटामा बनिरहेका संरचनामा संघीय सरकारले विश्वविद्यालय घोषणा नगरे त्यसको स्वामित्व प्रदेश सरकारले लिने बताएका छन् । संघ सरकारले गेटामा सय शय्याको अस्पताल सञ्चालन गर्ने निर्णय गरेपछि त्यसको निरीक्षणका लागि पुगेका मुख्यमन्त्री शाहले यस्तो बताएका हुन् । गेटामा मेडिकल विश्वविद्यालय बन्ने कुरामा कुनै द्विविधा रहेन । पूर्वप्रधानमन्त्री तथा नेपाली कांग्रेसका सभापति शेरबहादुर देउवा पनि यस बारेमा चिन्तित देखिनुभयो, त्यसैले संघले विश्वविद्यालय नबनाएपछि प्रदेश यसको स्वामित्व लिन तयार छ, मुख्यमन्त्री शाहले भने । उनले संघीय सरकारको बजेटमा केही त्रुटि भएको बताए । मन्त्रिपरिषदले विश्वविद्यालयको निर्णय गरेको छ । राष्ट्रपतिज्यूले प्रस्तुत गर्नु भएको नीति तथा कार्यक्रममा पनि विश्वविद्यालय नै छ । प्रदेश सरकारको धारणा पनि यो विश्वविद्यालय नै हुनुपर्छ भन्ने हो, मुख्यमन्त्री शाहले भने । गेटामा साढे ५ अर्ब लगानीका संरचना बनिसकेका छन् । स्थानीयले त्यहाँ मेडिकल विश्वविद्यालय बनाउनुपर्ने माग गर्दै आएका छन् । सरकारको नीति तथा कार्यक्रममा विश्वविद्यालय बनाउने र बजेटमा मेडिकल कलेज बनाउने भन्दै विरोधाभाषपूर्ण कुरा आएपछि स्थानीयले आन्दोलन सुरु गरेका थिए । अहिले सरकारले त्यहाँ सय शय्याको अस्पताल सञ्चालन गर्ने भन्दै १४१ जना स्वास्थ्यकर्मीको दरबन्दी स्वीकृत गरिसकेको छ । अस्पतालका निर्देशक डाक्टर प्रमोद जोशीले साउनदेखि नै ओपीडी चलाउने गरी तयारी भइरहेको बताए । हामीले साउनदेखि नै ओपीडी चलाउने गरी तयारी सुरु गरेका छौं, सकिएन भने भदौबाट स्वास्थ्य सेवा सुरु हुन्छ, उनले भने । गेटामा ६ सय शय्याको अस्पताल र एमबीबीएसको पढाइका लागि कलेज भवन निर्माण भइसकेको छ । खानेपानी र फोहरमैला बाहेकका पूर्वाधार निर्माण भइसकेका छन् । अस्पतालमा भएको प्रगति अवलोकन गर्न तथा प्रदेश सरकारबाट कस्तो किसिमको सहयोग गर्न सकिन्छ भनेर मुख्यमन्त्री कमलबहादुर शाह, आर्थिक मामिला मन्त्री नरेशकुमार शाही, सामाजिक विकास मन्त्री झपटबहादुर साउद, उद्योग, पर्यटन वन था वातावरण राज्यमन्त्री गीतादेवी माल, प्रदेश सभा सदस्य, प्रकाशबहादुर बम, तुलसी देवकोटा र जानकी कुँवरको टोलीले गेटामा निर्माण भएका मेडिकल पूर्वाधारको अनुगमन गरेको हो ।"
"धारिलो हतियार प्रयोग गरेर फरार भएका व्यक्ति चार वर्षपछि पक्राउ","रुकुम पूर्व : जिल्ला प्रहरी कार्यालय रुकुम पूर्वले धारिलो हतियार प्रयोग गरेर फरार भएका व्यक्तिलाई चार वर्षपछि पक्राउ गरेको छ । जिल्लाको सिस्ने गाउँपालिका६ आलाका २६ वर्षीय मदन मल्ललाई प्रहरीले पक्राउ गरेको हो । उनले सिस्ने गाउँपालिका५ टाकुराका २० वर्षीय प्रतीक थापालाई २०७६ सालमा धारिलो हतियार प्रहार गरी घाइते बनाएको आरोपमा मुद्दा दर्ता गरिएको छ । फरार रहेका मल्ललाई सूक्ष्म रुपमा खोज तलास गर्ने क्रममा कास्कीको पोखरा महानगरपालिका१४ चाउथे खसी बजारबाट लुकीछिपी बसेको अवस्थामा पक्राउ गरिएको सूचना अधिकारी प्रहरी निरीक्षक गणेश पाण्डेले जानकारी दिए ।"
"सिन्धुलीमा जम्मा ७३ प्रतिशतमात्र रोपाइँ सम्पन्न","सिन्धुली : साउनको दोस्रो साता हुँदा पनि सिन्धुलीमा जम्मा ७३ प्रतिशत मात्र धान रोपाइँ सकिएको छ । पर्याप्त वर्षात् नहुँदा जिल्लामा धान रोपाइँ कम भएको हो । सिन्धुलीमा वर्षे धान खेती हुने क्षेत्रफल १५ हजार ९ सय हेक्टर हो । त्यसमध्ये हालसम्म ७३ प्रतिशत अर्थात् ११ हजार ६ सय ७ हेक्टरमा मात्र रोपाइँ सकिएको हो । यो अघिल्लो वर्षको तुलनामा २३ प्रतिशतले कमी हो । सिन्धुलीमा अघिल्लो वर्ष यो समयमा झण्डै ९६ प्रतिशत रोपाइँ सकिएको थियो । यो वर्ष ढिला मनसुन भएका कारण धान रोपाइँ पनि ढिला भएको कृषि ज्ञान केन्द्र सिन्धुलीका सहायक प्राविधिक रामप्रसाद पाण्डेले बताए । असारको अन्तिम सम्ममा ७५ प्रतिशत रोपाइँ सम्पन्न हुनुपर्नेमा जिल्लामा ५८ प्रतिशत मात्र सकिएको थियो । अहिलेसम्म जिल्लामा करिब ७३ प्रतिशत रोपाइँ सकिएको छ, उनले भने । यति वेला रोपाइँ सकिसक्नु पर्नेमा जिल्लाको माढी फाँट, तीनपाटन, मरिण, कमलाखोंच, सुनकोशी गढतिर क्षेत्रका अधिकांश कृषकहरू धान रोप्न व्यस्त छन् । कुला नलाग्ने क्षेत्रका किसानहरू आकाशको पानी पर्खेर बस्दा पनि धान रोपाइँ कम भएको उनको भनाइ छ । पर्याप्त मल तथा युवा जनशक्तिको अभावका कारण पनि समयमा रोपाइँ हुन नसकेको छैन । पानी अभावका कारण रोपाइँ गर्न नसक्दा धानको ब्याड नै फुल्न थालेको कमलामाई नगरपालिका ५ की किसान सिता विकको गुनासो छ ।"
"""व्यवसायीले भने 'लेबलिङको नियम स्पष्ट छैन","स्थगित गर्नुपर्छ'"",""भैरहवा : मुलुकका सीमा क्षेत्रका उद्योगीव्यवसायीहरूले भन्सार विभागबाट जारी भएको 'लेबल लगाउने सम्बन्धी सूचना अस्पष्ट र अव्यावहारिक भएको गुनासो गरेका छन् । बिहीबार सिद्धार्थ उद्योग वाणिज्य संघ, वीरगन्ज उद्योग वाणिज्य संघ, मोरङ व्यापार संघ र नेपालगन्ज उद्योग वाणिज्य संघले अआफ्नो जिल्लामा पत्रकार सम्मेलनको आयोजना गरी भन्सार विभागबाट जारी भएको सूचनाले व्यवसायीहरू माझ अन्यौल एंव त्रास सिर्जना भएकाले लेबलिङ सम्बन्धी स्पष्ट प्रावधान, नीतिगत व्यवस्था र निर्देशिका जारी नभएसम्म लेबलिङ लगाउने प्रावधान गर्न आग्रह समेत गरेका छन् । भन्सार विभागले आयात हुने तयारी मालवस्तु बजारमा बिक्री वितरणका लागि जानु अगावै लेबल लगाउने भन्दै सूचना जारी गरेको थियो । चालू आर्थिक वर्षको साउन १ गतेपछि पैठारी हुने तयारी मालवस्तुको बिक्री वितरणका लागि बजारमा पठाउनु अघि मालवस्तुको प्याकिङमा पैठारीकर्ता र बजार वितरकको पूरा विवरणसहितको लेबल लगाउनुपर्ने भनि भन्सार विभागले गत असार २२ गते सूचना जारी गरेको थियो । सिद्धार्थ उद्योग वाणिज्य संघ रुपन्देहीका अध्यक्ष ठाकुर कुमार श्रेष्ठले विभागबाट जारी सूचनाले आयातकर्ता, वितरक, होलसेलर लगायत सबैले साम्रगीमा लेबल लगाउनु पर्ने प्रावधान अव्यावहारिक भएको बताए । 'आयातकर्ताले साम्रगी आयात गर्दा सामग्रीमा लेबलिङ गर्नु ठिक हो' संघद्वारा भैरहवामा आयोजित पत्रकार सम्मेलनमा अध्यक्ष ठाकुरले भने, 'तर, सोही सामग्रीमा डिलर, वितरक, होलसेलर लगायत सबैले आफ्नो लेबलिङ गर्नुपर्ने लागु गरिएको नियम अव्यावहारिक भयो, यो राम्रो भएन ।' 'आयातकर्ताले सामग्रीमा लेबलिङ गरेपछि व्यवसायीहरूले एउटै सामग्रीमा कति वटा र कति पटक लेबलिङ गर्ने ?' उनले प्रश्न गरे । उनले साउन १ गतेदेखि लेबलिङ कार्यान्वयनमा ल्याउने भनी जारी सूचनाका कारण आयात तथा आन्तरिक व्यापार नै नराम्ररी प्रभावित भएको बताए । भन्सार विभागले जारी गरेको सूचनाका विषयमा भन्सार कार्यालयहरू नै प्रष्ट नभएकाले स्पष्ट नभएसम्म लागू गरिएको नियम स्थगित गर्नुपर्ने चारवटै संघको माग छ । 'लेबलिङको सूचना जारी गरेर उहाँहरू (भन्सार कार्यालय) नै अन्यौलतामा हुनुहुन्छ' उनले भने, 'अन्यौलतामै नियम लागु गर्नु खोज्नु उचित भएन ।' 'लेबल लगाउने सम्बन्धी सूचना का कारण व्यवसायीहरूमाझ अन्यौल एवम् एक किसिमको त्रासको वातावरण सिर्जना भएको र उल्लिखित समस्या समाधानका लागि विभागका महानिर्देशकसँग भेटघाट गरी समस्याको गम्भीरता दर्साइए पनि समस्या समाधान गर्नेतर्फ खासै पहल नभएको संघहरूले जनाएका छन् । यस्तै, निजी क्षेत्रका संस्थाहरूले विगत केही महिनादेखि भन्सार प्रशासनले राजस्व संकलनका नाममा आयातकर्ताहरूलाई दुःख दिने कार्य गरिरहेका भन्दै आपत्ति समेत जनाएका छन् । 'भन्सार कार्यालयले बिलबिजकको मूल्यको आधारमा भन्सार जाँचपास नगर्ने, वर्षौ पुराना कार्यविधि अर्थात् सन्दर्भ मूल्य पुस्तिकाका आधारमा मालवस्तु मूल्यांकन गरी जाँचपास गर्ने, वास्तविक मूल्य राखी जाँचपास गराउन खोज्दा पनि जरिवाना (पेनाल्टी) लगाउने, मालवस्तुको वास्तविक हार्मोनिक कोडको आधारमा भन्सार जाँचपास गर्नुपर्नेमा आफूखुसी हार्मोनिक कोड कायम गरी बढी राजस्व लिने गरेको लगायतका कार्यले नेपाली आयातकर्ताहरू आक्रान्त छन्, संघहरूद्वारा संयुक्त रुपमा जारी गरिएको विज्ञप्तिमा भनिएको छ, यस्ता किसिमको अव्यवहारिक र अन्यायोचित कार्य यथाशीघ्र बन्द गरी पैठारीकर्ताले पेश गरेको बिल बिजकका आधारमा भन्सार मूल्यांकन गर्नु पर्ने संघको माग छ । यस्तै, भन्सारबाट जाँचपास भई छुटेका मालवाहक गाडीहरूलाई अनुसन्धानका नाममा राजस्व अनुसन्धान कार्यालयमा पठाउने परिपाटीका कारण पनि आयातकर्ताहरू मर्कामा परेको व्यवसायीहरूको भनाइ छ । आवश्यक प्रक्रियाहरू पुर्याई सम्पूर्ण कागजातहरूका बाबजुद भन्सार जाँचपास भएका मालवाहक गाडी नियन्त्रणमा लिई व्यवसायीहरूलाई दु:ख दिने काम भइरहेको छ । यस्ता कार्यले उद्योग, व्यवसायमा थप समस्या सिर्जना गरेको छ, अध्यक्ष ठाकुरले भने, यो सच्चिनुपर्छ नभए हामी कडा विरोधका कार्यक्रमहरू गर्न अगाडि सार्न बाध्य हुनेछौँ ।'"""
"""कोसीमा राजनीतिक अस्थिरता","साढे ६ महिनामै ढले दुई सरकार"",""विराटनगर : कोसी प्रदेशमा निम्तिएको चरम राजनीतिक अस्थिरताका कारण साढे ६ महिनामै दुईवटा प्रदेश सरकार ढलेका छन् । राजनीतिक विश्लेषकहरू २ सय १ दिनभित्रमा दुईवटा सरकार परिवर्तन हुनुलाई अस्वभाविक मान्छन् । उनीहरू दल र नेताको व्यवहारले जनतामा संघीयताप्रति वितृष्णा र निराशा बढाउने काम मात्रै गरेको बताउँछन् । अस्थिरताका कारण प्रदेशसभा (संसद)को दोस्रो कार्यकाल सुरु भएको साढे ६ महिना मात्रै वित्दै गर्दा प्रदेशले ३ जना मुख्यमन्त्री पाउने परिस्थिति निर्माण भएको छ । सर्वोच्च अदालतले कोसी प्रदेश सरकारको मुख्यमन्त्रीमा उद्धव थापाको नियुक्तिलाई बिहीबार बदर गरिदियो । सभामुख बाबुराम गौतम समेतको समर्थन लिएर मुख्यमन्त्री बनेका नेपाली कांग्रेस कोसी प्रदेश संसदीय दलका नेता थापा नेतृत्वको सरकार सर्वोच्चको आदेशसँगै ढलेको हो । प्रदेश प्रमुख पर्शुराम खापुङले गत असार २१ गते उनलाई मुख्यमन्त्री नियुक्त गरेका थिए । संविधानले दिएको तटस्थताको भूमिकाविपरीत सरकार गठनमा सहभागी बनेपछि सभामुख गौतम विवादित बन्न पुगे । स्वतन्त्र प्रदेशसभा सदस्य (सांसद)को हैसियतामा उनी आफैंले हस्ताक्षर गरेर थापालाई मुख्यमन्त्रीमा समर्थन गरेका हुन् । सरकार गठनमा गौतमको सहभागितालाई सर्वोच्चले स्वीकार गरेन । कोसीको ९३ सदस्यीय प्रदेशसभा (संसद)मा बहुमत पुर्याउन ४७ सांसद आवश्यक पर्छ । ठूलो दल नेकपा (एमाले)सँग ४० र एमालेसँगै सहकार्यमा रहेको राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)सँग ६ जना सांसद छन् । गठबन्धनमा रहेकामध्ये कांग्रेसका २९, नेकपा (माओवादी केन्द्र)का १२, नेकपा (एकीकृत समाजवादी)का ४ र जनता समाजवादी पार्टी (जसपा)का १ सांसद छन् । एमालेराप्रपा गठबन्धन र अर्को गठबन्धनको ४६४६ सांसद छन् । थापाले सभामुखबाहेक बहुमत (४७) पुर्याउनसक्ने अवस्था भएन । माओवादीबाट सांसद निर्वाचित भएका सभामुख गौतमले अलग्गै हस्ताक्षर गरेर समर्थन दिएपछि बहुमत पुर्याएको भनेर थापालाई प्रदेश प्रमुख खापुङले मुख्यमन्त्री नियुक्त गरेका थिए । थापाको नियुक्तिलाई सर्वोच्चले अवैधानिक ठहर गरेको छ । उनी २२ दिन मात्रै पदमा रहन पाए । यद्यपि, थापा इमान्दार, भद्र र नम्र स्वभावका नेता मानिन्छन् । आफू मुख्यमन्त्री बनेपछि उनले ६ सदस्यीय मन्त्रिपरिषद् विस्तार गरेका थिए । थापाले कांग्रेसका प्रदीप सुनुवार, रामकुमार खत्री, माओवादीका जीवन आचार्य, राजेन्द्र कार्की र एकीकृत समाजवादीका कमलप्रसाद जबेगूलाई मन्त्री बनाए । आचार्यलाई आर्थिक मामिला तथा योजना मन्त्रालयको जिम्मेवारी दिँदा अरू मन्त्री बिना विभागीय नै थिए । मन्त्रालय बाँडफाँट हुन नपाउँदै चारै जना बिदा भएका छन् । संसदबाट विश्वास गुमाएपछि एमाले प्रदेश संसदीय दलका नेता हिक्मतकुमार कार्की नेतृत्वको सरकार असार १५ गते ढलेको थियो । कार्की एमालेसहित, माओवादी, राप्रपा र जसपाका ६० सांसदको समर्थनमा २०७९ पुस २४ गते प्रदेशको दोस्रो कार्यकालको पहिलो मुख्यमन्त्री नियुक्त भएका थिए । जसपाले जेठ १७ र माओवादीले २३ गते समर्थन फिर्ता लिएपछि कार्की नेतृत्वको प्रदेश सरकार अल्पमतमा पर्यो । उनले १ सय ७४ दिनमै संसदबाट विश्वासको गुमाएपछि नयाँ सरकार गठनको प्रक्रिया अघि बढ्यो । प्रदेश प्रमुखले संविधानको धारा १६८ (२) अनुसार सरकार गठनका लागि दलहरूलाई आह्वान गरेका थिए । यस व्यवस्था अनुसार दुई वा दुईभन्दा बढी दलको समर्थनमा बहुमत पुर्याउने प्रदेशसभा सदस्य मुख्यमन्त्री नियुक्त हुने व्यवस्था छ । असंवैधानिक तरिकाले नयाँ सरकार गठन भएको भन्दै एमाले नेता एवं पूर्वमुख्यमन्त्री कार्कीले असार २२ गते सर्वोच्च अदालतमा रिट दायर गरे । कार्कीका तर्फबाट एमालेका प्रमुख सचेतक रेवतीरमण भण्डारीसहितले परमादेशको माग गर्दै रिट दिएका थिए । रिटमा प्रदेश प्रमुख खापुङ, मुख्यमन्त्री थापा, सभामुख गौतमलाई प्रतिवादी बनाइएको थियो । न्यायाधीशहरू ईश्वरप्रसाद खतिवडा, आनन्दमोहन भट्टराई र तिलप्रसाद श्रेष्ठ सम्मिलित पूर्ण इजलासले कोसी सरकारविरुद्ध परेको रिटमाथि सुनुवाइ गर्दै मुख्यमन्त्रीमा थापाको नियुक्ति बदर गरिदिएको हो । संविधानको धारा १६८ (२) बमोजिम नै असार १७ गतेभित्र नयाँ मुख्यमन्त्री नियुक्त हुने गरी प्रक्रिया अघि बढाउन प्रदेश प्रमुख खापुङलाई सर्वोच्चले आदेशसमेत दिएको छ । कार्कीले मुख्यमन्त्रीमा आफूलाई नियुक्त गर्नलाई गरेको माग भने सर्वोच्चले अस्वीकार गरेको छ । मुख्यमन्त्रीबाट पदमुक्त भएपछि थापाले सर्वोच्चको आदेश आफूलाई स्वीकार्य भएको प्रतिक्रिया दिए । आदेशप्रति आफ्नै कुनै विमती नरहेको उनले बताए । अब नयाँ सरकार गठनको प्रक्रियामा सहभागी हुने र मुख्यमन्त्रीमा कांग्रेसकै दाबी रहने थापाको भनाइ छ । एमाले नेता कार्कीले भने गैरसंवैधानिक र गैरकानुनी तरिकाबाट भएको सरकार गठनलाई सर्वोच्चले अवैध ठहर गरेको बताए । सर्वोच्चको आदेशबाट न्याय मरेको छैनभन्ने सन्देश गएको छ । अब सरकार गठनका लागि तोकिएको समयभित्रै बहुमत पुर्याएर मुख्यमन्त्रीमा दाबी गर्ने प्रयास गर्छु, उनले भने, संवैधानिक र कानुनी व्यवस्था अनुसार एमाले अविचलित भएर अगाडि बढ्छ । सर्वोच्चको आदेशले कानुन र संविधानको आधारमा अगाडि बढ्न हौसला प्रदान गरेको छ । सत्ताको बलमा गरिने कानुनको दुरुपयोगलाई अवैधानिक ठहर गर्दै सर्वोच्चले कानुनी राज्यको परिकल्पनालाई सार्थक बनाउन भूमिका खेलेको कार्कीको भनाइ छ । कोसी प्रदेशले पहिलो कार्यकालमा पनि ३ जना मुख्यमन्त्री खेपेको थियो । त्यसै त संघीयताका बारेमा जनतामा विस्तृष्णा बढिरहेका बेला प्रदेशमा स्थिर सरकार निर्माण हुन सकिरहेको छैन । सत्तामोह र भागबण्डाले दलहरू विभाजित भएर राजनीतिक अस्थिरता मौलाउँदा जनतामा निराशा छाएको राजनीतिक विश्लेषक बताउँछन् । राजनीतिशास्त्रका प्राध्यापक गिरिश भट्टराई कोसी प्रदेशले साढे ५ वर्षभित्रमा ५ वटा मुख्यमन्त्री पाउनु संघीयता कसरी गुज्रिदैछभन्ने एउटा उदाहरण भएको बताउँछन् । संघीयताका नाममा साह्रै अस्थिरता भयो । संघीयताबाट अघाइसकियो भन्ने ठाउँमा जनता पुगिसके, उनी भन्छन्, जनतालाई ३ तहमध्ये प्रदेशबाट सबैभन्दा धेरै सर्भिस डेलिभरीको आश थियो । तर, प्रदेशमा स्थिर सरकार हुन सकेन । बारम्बार सरकार परिवर्तन भइरहने खेलले जनतामा नकारात्मक धारणा बढाएको राजनीतिक विश्लेषक भट्टराईले बताए । हामीले हिजो ३ तहका सरकार र संविधान कार्यान्वयनको नारा दिएर संघीयता लिएर आयौं, उनले भने, तर, संघीयता आएपछि जनता झन् चिँढिएका छन् । संघीयताको मूल मर्मलाई आत्मसात गर्दै जनतामा सर्भिस डेलिभरी गर्नेतर्फ दलहरू केन्द्रित हुन नसक्नु व्यवस्थाकै लागि दुर्भाग्यपूर्ण भएको भट्टराईको ठम्याइ छ । जनतालाई हैन, यहाँ त नेताका घरमा मन्त्री र मुख्यमन्त्री डेलिभर भए । उनीहरूले आफूआफूमा पद डेलिभर गरे, उनी भन्छन्, दल र नेताले जनतालाई संघीयताको अनुभूति हुने कुनै काम गरेनन् । जनतामा संघीयता हाम्रा लागि हैन, नेता व्यवस्थापनका लागि मात्रै रहेछ भन्ने बुझाइ बढ्यो । दल र नेताकै व्यवहारले संघीयता नेता व्यवस्थापनको तह रहेछभन्ने आम बुझाइ बढेको भट्टराईको भनाइ छ । संघीयता कसरी बलियो भएर गयोभन्ने उदाहरणका रूपमा भारतलाई हेरे हुन्छ । त्यहाँ केन्द्रका मन्त्रीभन्दा प्रदेशकाको भूमिका धेरै हुन्छ, उनले भने, नेपालमा संघीयतालाई संस्थागत गर्न सकेनौं । अर्को कुरा केन्द्रले संघीयतालाई राजनीतिक प्रतिस्पर्धात्मक थलोका रूपमा लियो । केन्द्रका मन्त्रीभन्दा प्रदेशका मुख्यमन्त्री पो बढी लोकप्रिय र राजनीतिक रूपमा हाबी हुने हुन् कि भन्ने त्रास नेपाली राजनीतिमा रहेको भट्टराईले बताए ।"""
"शुक्रबार देशका यी स्थानमा हुने छ वर्षा","काठमाडौं : शुक्रबार देशभर आंशिकदेखि सामान्य बदली रहनेछ । मौसम पूर्वानुमान महाशाखाका अनुसार गण्डकी, लुम्बिनी र सुदूरपश्चिम प्रदेशसहित देशका पहाडी भूभागका केही स्थानहरूमा तथा बाँकी भूभागका थोरै स्थानहरूमा मेघ गर्जनचट्याङसहित हल्कादेखि मध्यम वर्षाको सम्भावना रहेको छ । कोशी, बागमती, लुम्बिनी र सुदूरपश्चिम प्रदेशका एकदुई स्थानमा मेघ गर्जनचट्याङसहित भारी वर्षाको समेत सम्भावना रहेको छ । शुक्रबार दिउँसो देशभर आंशिकदेखि सामान्य बदली रहनेछ । गण्डकी प्रदेशका केही स्थानहरूका साथै देशका बाँकी पहाडी भूभागका थोरै स्थानहरूमा तथा तराई भूभागका एकदुई स्थानमा मेघ गर्जनचट्याङसहित हल्कादेखि मध्यम वर्षाको सम्भावना रहेको छ । गण्डकी प्रदेशका एकदुई स्थानमा मेघ गर्जनचट्याङसहित भारी वर्षाको समेत सम्भावना रहेको छ ।"
