"शीर्षक","विवरण"
"फाँसीको प्रावधान हटाउन संयुक्त राष्ट्रसंघको आग्रह","जेनेभा : संयुक्त राष्ट्रसंघले सिंगापुर र कुवेतमा हालै गरिएको मृत्युदण्डको निन्दा गर्दै मृत्युदण्डको सजायको प्रावधानमा रोक लगाउन ती राष्ट्रहरूलाई आह्वान गरेको छ । सिंगापुरमा लागुऔषध ओसारपसारको आरोपमा ४५ वर्षीय एक नागरिकलाई शुक्रबार फाँसी दिइएको छ । कुवेतमा सन् २०१५ मा इस्लामिक स्टेट जिहादी समूहले गरेको आत्मघाती आक्रमणमा संलग्न रहेको अभियोगमा दोषी ठहर भएका पाँच जनालाई बिहीबार मृत्युदण्ड दिइएको थियो । गत वर्षको नोभेम्बरमा सात जनालाई मृत्युदण्ड दिइए यता साउदी अरबको छिमेकी खाडी मुलुक कुवेतमा बिहीबार दिइएको मृत्युदण्ड पहिलो हो । साउदी अरबको तुलनामा कवेतमा मृत्युदण्डको सजाय दुर्लभ मानिन्छ । संयुक्त राष्ट्रसंघीय मानव अधिकार कार्यालयका प्रवक्ता सेइफ मगान्गोले जारी गरेको विज्ञप्तिमा भनिएको छ, 'हामी कुवेत र सिंगापुरमा यस साता दिइएका मृत्युदण्डको निन्दा गर्दछौं र कुनै पनि अवस्थामा हुने मृत्युदण्डको विरोध गर्दछौं ।' 'हामी कुवेत र सिंगापुरलाई तत्काल मृत्युदण्डमा रोक लगाउन र मृत्युदण्डमा रोक लगाउने १७० भन्दा बढी राज्यमा सामेल हुन आग्रह गर्दछौं,' विज्ञप्तिमा भनिएको छ ।"
"२५ लाख बढीको कर्जामा प्यान अनिवार्य","काठमाडौं : बैंक तथा वित्तीय संस्थाले एकमुष्ट वा छुट्टा छुट्टै रूपमा २५ लाख रुपैयाँ वा सोभन्दा बढी कर्जा प्रवाह गर्नुपरेमा अनिवार्य रूपमा स्थायी लेखा नम्बर (प्यान) लिएको हुनुपर्ने व्यवस्था गरिएको छ । नेपाल राष्ट्र बैंकले आज सार्वजनिक गरेको एकीकृत निर्देशनमा यस्तो व्यवस्था गरिएको हो । यसअघि ५० लाख वा सोभन्दा बढीको कर्जामा प्यान अनिवार्य थियो । ऋणीले स्थायी लेखा नम्बर लिएको हुनुपर्ने सम्बन्धमा बैंक तथा वित्तीय त्यस्तै, ऋणी एउटै समूह अन्तर्गत पर्ने भएमा त्यस्तो समूहले २५ लाख वा सोभन्दा बढी रकमको कर्जा लिएको अवस्थामा पनि अनिवार्य रुपमा स्थायी लेखा नम्बर लिएको हुनुपर्ने संशोधनमा उल्लेख छ ।"
"चीन जोड्ने कोरला सडक सडकको खर्च ६ अर्ब ५९ करोड","जोमसोम : उत्तरदक्षिण व्यापारिक मार्ग विस्तारित आयोजनाअन्तर्गत कालिगण्डकी करिडोर (बेनीजोमसोमकोरला) सडकमा ६ अर्ब ५९ करोड ६६ लाख बजेट खर्च भएको छ । कोरला सडक अन्तर्गत पर्वतको मालढुङ्गादेखि उपल्लो मुस्ताङको कोरला नाकासम्मको १०० किमी कालोपत्रे सडक,१०२ किमी ग्राभेल सडक र १६ वटा सडक पुलका लागि आर्थिक वर्ष २०७९०८० को असारसम्ममा उक्त बजेट खर्च भइसकेको आयोजनाले जनाएको छ । आयोजना अनुसार गत वर्षसम्ममा कोरला सडक अन्तर्गत सय किमी कालोपत्रेमा २८ दशमलव १ किमी र ग्राभेल सडकतर्फको १०२ किमी सडकमा ९७ किमी सडकको सम्पन्न भएको छ । कोरला सडक अन्तर्गत ४ दशमलव ३१ किमीमा आरसीसी सडक निर्माण सम्पन्न भएको बताइएको छ । यसैगरी कोरला सडक अन्तर्गतका ५ वटा पुल सम्पन्न भइसकेका छन् भने ११ वटा पुल निर्माणाधीन अवस्था रहेको आयोजनाले उल्लेख गरेको छ । राष्ट्रिय गौरवको कोरला सडकको मालढुङ्गादेखि बेनीसम्मको १३ किमी सडकको भौतिक प्रगति २८ प्रतिशत,बेनीगलेश्वर ३३० किमी सडकको भौतिक प्रगति ८२ प्रतिशत,गलेश्वरराहुघाट सडक १ दशमलव ७८ किमी कालोपत्रेको भौतिक प्रगति सतप्रतिशत ,गलेश्वरतातोपानी १९ किमी सडक भौतिक प्रगति ८२ प्रतिशत र तातोपानीघाँसा १७ दशमलव ५ किमीको कालापत्रे सडकको भौतिक प्रगति ७५ प्रतिशत रहेको आयोजना प्रमुख जगत प्रजापतिले उल्लेख गरे । यसैगरी कोरला सडक अन्तर्गत मुस्ताङखण्डको घाँसाकोवाङ १६ दशमलव ५ किमी कालोपत्रे सडकको शतप्रतिशत भौतिक प्रगति भएको छ भने कोवाङजोमसोम १६ दशमलव ५ किमी कालोपत्रे सडकको भौतिक प्रगति ७५ प्रतिशत रहेको छ । जोमसोमकागबेनी १३ किमी कालोपत्रे सडकको भौतिक प्रगति १४ प्रतिशत छ भने कागबेनीकोरला १०२ किमी ग्राभेल सडकको भौतिक प्रगति ९५ प्रतिशत रहेको आयोजना प्रमुख प्रजापतिले बताए ।"
"'जनप्रतिनिधि विद्यालय व्यवस्थापन समितिमा अल्झिन हुँदैन'","काठमाडौं : स्थानीय तहका जनप्रतिनिधि विद्यालय व्यवस्थापन समिति (विव्यस) अल्झिन नहुने सरोकारवालाहरूले बताएका छन् । वडाध्यक्ष विव्यसको अध्यक्ष बन्दैमा सार्वजनिक शिक्षा नसुध्रिने उनीहरूको तर्क छ । जनप्रतिनिधिका थुप्रै जिम्मेवारी हुने भएकाले उनीहरू विद्यालय व्यवस्थापनमा सीमित बन्न नहुने बताएका हुन् । शिक्षा पत्रकार समूहले शुक्रबार आयोजना गरेको शिक्षा, संघीयता र स्थानीय सरकार विषयक अन्तरक्रिया कार्यक्रममा बोल्दै सरोकारवालाहरूले अभिभावकहरूलाई नै विद्यालय व्यवस्थापन गर्न दिएर जनप्रतिनिधिले साथ, सहयोग र अनुगमन गर्नुपर्ने बताए । साथै, स्थानीय सरकारले शिक्षामा चासो र लगानी बढाउन सकेको खण्डमा सार्वजनिक शिक्षाको गुणस्तर स्वतः बढ्नेमा उनीहरूको जोड थियो । शिक्षाविद् प्राडा विद्यानाथ कोइरालाले शिक्षकहरू सुविधा भोगी हुँदा समस्या भएको बताए । शिक्षकहरू विद्यार्थीलाई पढाउने भन्दा आफ्नो सुविधामा बढी केन्द्रित हुन थाले । शिक्षकको पढाउने काम हो । तर, आफ्नो सेवा सुविधामै केन्द्रित हुँदा बिग्रियो, उनले भने । प्राडा कोइरालाले संविधानले विद्यालय शिक्षाको अधिकार स्थानीय सरकारलाई दिएको भन्दै विद्यालय शिक्षा सुधार गर्ने कर्तव्य पनि स्थानीय पालिकाकै भएको बताए । संविधानले नै अधिकार दिइसकेको अवस्थामा ऐन बनेन भनेर रोइकराई गर्नुभन्दा काम गर्दै गएमा विद्यालयको सुधार गर्न सकिने उनको भनाइ छ । कार्यक्रममा स्थानीय सरकारहरूका असल अभ्यासहरू समेटिएको विद्यालय शिक्षा पालिकाले चाहे सुधार्न सक्छन् नामक पुस्तक विमोचन गरिएको थियो । यसैक्रममा शिक्षविद् प्राडा कोइरालाले शैक्षिक गुणस्तरको कुरा स्याल कराउने जस्तै भएको भन्दै काम नगर्ने तर, गुणस्तर मात्र भनेर नहुने उनले औंल्याउ । गुणस्तरका लागि केही मानकहरू बनाउन सकियो भने राम्रो हुने उनले बताए । त्यसका लागि घोकेको कुरा सोच्ने सक्ने हुनुपर्छ, सुनेको कुरा गर्न सक्ने हुनुपर्छ, प्रविधिमा कतिको पहुँच छ भन्ने कुरालाई पनि जोड दिनुपर्छ । यी कुरामा मात्रै ध्यान दिन सकियो भने गुणस्तर राम्रो हुन्छ, प्राडा कोइरालाले भने । स्कूलहरूमा समेत एक स्कूलबाट अर्को स्कूलमा घुम्ने, त्यहाँको राम्रो कुराहरूबाट अध्ययन गर्ने बानीको विकास गर्नुपर्ने कोइरालाले सुझाए । शिक्षकहरूले स्वमूल्यांकन गर्नुपर्नेमा उनले जोड दिए । यस्तै, स्थानीय तहका अध्यता सोमत घिमिरेले स्थानीय सरकारले शिक्षा क्षेत्रमा खासै काम गर्न नसकेको बताए । जनताले सक्ने जति अधिकार दिएको तर, जनप्रतिनिधिहरूलाई जनताले त्यसको प्रतिफल नदिएको उनको भनाइ छ । अहिलेको प्रणाली नागरिकलाई निष्क्रिय बनाउने खालको रहेको भन्दै त्यसले नै समस्या भइरहेको बताए । पाँच वर्षमा एक पटक भोट दियो । जनप्रतिनिधिलाई चुनेर पठायो । पाँच वर्षसम्म जनता चुप बस्नुपर्छ । फेरि चुनावको बेला आउँदा त्यही भोट दिनको लागि जनता चाहिन्छ । अहिलेको अवस्था यस्तो छ, घिमिरेले भने । ललितपुर महानगरपालिकाको शिक्षा अधिकृत नवराज रिजालले स्रोत साधनको अभावका कारण शिक्षामा योजना अनुसार सुधार गर्न नसकिएको बताए । हालको शैक्षिक वातावरण अभिभावकमैत्री नरहेको बताए । अहिले शिक्षा क्षेत्रको सुधारको बाधक राजनीतिक दलहरू भएको भन्दै तिनका संघ संगठनले गर्दा समस्या भइरहेको रिजालले बताए । जुगल गाउँपालिकाका पूर्व अध्यक्ष होमनारायण श्रेष्ठले विज्ञहरूको समेत विकेन्द्रीकरण गरिनुपर्ने बताए । विज्ञहरू केन्द्रमा मात्रै रहेको भन्दै उनले यसका लागि स्थानीय तहसम्म विज्ञहरूको पहुँच पुग्नुपर्ने बताए । त्रिभुवन विश्वविद्यालयका सहप्राध्यापक विष्णु प्रसाद पौडेलले सरुवा गर्दा धेरै शिक्षकहरू अदालतसम्म पुगेको बताए । कक्षाकोठामा जुन दिनसम्म परिवर्तन देखिँदैन तबसम्म गुणस्तर नहुने उनको भनाइ छ । अहिले लगानी कक्षाकोठासम्म पुग्न नसकेको बताए । टोखा नगरपालिकाका शिक्षा अधिकृत खगेन्द्र सिंह धामीले शिक्षामा लगानी बढाउनुपर्ने बताए । स्थानीय तहको पाठ्यक्रम निर्माण गरेर पठनपाठन गर्ने अधिकार दिए पनि त्यसो गर्न नसकिएको उनले बताए । शिक्षकहरूलाई सुविधासँगै हौसला समेत दिनुपर्ने भन्दै त्यस्तो हुने नसकेको उनको भनाइ थियो । सिकाउनलाई पढौं जस्ता कार्यक्रम ल्याउन सकियो भने शिक्षकले विद्यार्थीलाई सिकाउनुअघि आफूले पनि पढ्ने बानीको विकास हुने उनले बताए । यस्तै, नेपाल राष्ट्रिय शिक्षक संगठनका अध्यक्ष विष्णुप्रसाद भण्डारीले शिक्षाको गुणस्तर कसरी बढाउन सकिन्छ भन्ने विषयमा सरोकारवालाबीच साझा एजेन्डा लिएर जानुपर्ने बताए । हल्दिबारी गाउँपालिका अध्यक्ष रविन्द्रप्रसाद लिङ्देनले आफ्नो पालिकाले कक्षा १२ सम्म निःशुल्क गरेको बताए । प्रत्येक स्कूलमा कम्प्युटर ल्याब राखिएको र सबै कुरा अनलाइनबाटै मनिटरिङ गर्ने गरी सफ्टवेयरको विकास गरिएको बताए । आफूले शिक्षालाई पहिलो प्राथमिकतामा राखेकै कारण अहिले सुधारका काम देखिएको उनको भनाइ छ ।"
"""हवाइ सुरक्षामा सञ्चालकको चासो","कार्यदल गठन"",""काठमाडौं : हवाइ तथा हेलिकोप्टर उडानको सुरक्षालाई मजबुत र व्यवस्थित बनाउनका लागि निजी वायुसेवा सञ्चालकहरूले टास्कफोर्स (कार्यदल) गठन गरेका छन् । नेपाल वायुसेवा सञ्चालक संघले हवाइ सुरक्षा अभिवृद्धि सम्बन्धि टास्कफोर्स गठन गरेको जानकारी दिएको छ । हवाइ दुर्घटनाको क्रम बढ्न थालेफछी निजी वायुसेवा सञ्चालकहरूले आन्तरिक सुधारका लागि यो टास्कफोर्स गठन गरेको बताइएको छ । नेपालमा अहिले सञ्चालन भइरहेका वायुसेवा कम्पनीहरूको सञ्चालनका प्रक्रिया, विधि, प्राविधिक पक्षलगायत हवाइ उद्योग कत्तिको सुरक्षित भन्ने सम्बन्धमा यो टास्क फोर्सले अध्ययन गर्ने संघका अध्यक्ष क्याप्टेन रामेश्वर थापाले जानकारी दिए । हाम्रो आकाशलाई थप सुरक्षित बनाउनका लागि हाम्रा कहाँ कमीकमजोरी छन्, त्यसलाई पत्ता लगाउन जरुरी भइसकेको छ । दुर्घटनाहरू दोहोरिरहँदा हामी अलमलिनुभन्दा पनि अघि बढ्न बाटो पत्ता लगाउने काम टास्क फोर्सले गर्ने छ, थापाले भने । उक्त टास्क फोर्सले दिएको सुझावहरूलाई सुधारका लागि संघले अवलम्बन गर्ने जानकारी दिए । नेपाल नागरिक उड्डयन प्राधिकरणका पूर्व महानिर्देशक यज्ञप्रसाद गौतमको संयोजकत्वमा गठित टास्क फोर्समा क्याप्टेन रवि कंसकार, एसएस डंगोल, क्याप्टेन हिराबाबु दाहाल, इन्जिनियर यज्ञ श्रेष्ठ रहेका छन् । यो फोर्सले प्रत्यक्ष निजी वायु कम्पनीहरूमा गइ कर्मचारीहरूको व्यवहारदेखि संरचनागत अवस्थालगायत मर्मतसुधारका प्रक्रियासम्म सबैको अध्ययन गर्ने छ । यसमा प्रत्यक्षरूपमा सरकार वा नियामक निकायको भूमिका भने नरहेको संघका अध्यक्ष थापाले बताए । आवश्यक परे सल्लाहसुझाव भने लिइने छ । उक्त टास्क फोर्सले एक महिनाभित्र आफ्नो अध्ययन पूरा गर्ने जानकारी दिइएको छ । प्राधिकरणको पछिल्लो सर्कुलेशन अव्यवहारिक नेपाल नागरिक उड्नय प्राधिकरणले असार २८ गते नयाँ सर्कुलेशन (निर्देशन) ल्याएको छ । मनाङ हेलिकोप्टर दुर्घटनामा परेपछि प्राधिकरणले नयाँ सर्कुलेशन जारी गरेको हो । उक्त सर्कुलेशनले हवाइ तथा हेलिकोप्टर उडानमा प्रतिबन्ध लगाउने काम गरेको निजी वायुसेवा सञ्चालकहरूले बताएका छन् । सेप्टेम्बरसम्मका लागि उद्धार उडान, हिमाल दृश्वोलोकन उडान, सिलिङ उडान (हेलिकोप्टरले झुन्डाएर सामान ओसारपसार गर्ने) उडानलाई प्रतिबन्ध लगाएको छ भने वायुसेवा कम्पनीमा सेयर लगानी भएका पाइलटलाई उडानमा प्रतिबन्ध लगाएको छ । प्राधिकरणले पछिल्लो समयमा ल्याएको सर्कुलेशन अव्यवहारिक भएको संघले बताएको छ । दुर्घटना दुर्भाग्यवश हुने भएकाले माथिका प्रतिबन्धहरू खासै परोक्षित नहुने अध्यक्ष थापाले बताए । डाक्टरले अस्पताल खोल्न पाउने, पाइलटले हवाइ कम्पनी किन खोलन नपाउने? पाइलटले हवाइ कम्पनी खोल्दा उसमा क्षेत्रका बारेमा विज्ञता हुन्छ भने समस्या र समाधान पनि थाहा हुनसक्छ, थापाले बताए । कूल ग्राहस्थ उत्पादनमा पर्यटनको करिब ७ प्रतिशत योगदान रहेको हुँदा पर्यटन आयको प्रमुख स्रोत हिमाल दृश्यवालोकनमा प्रतिबन्ध पनि सुहाउँदो नभएको बताइएको छ । खराब मौसममा उक्त उडान गराउन कुनै पनि कम्पनी अग्रसर नहुने उनले बताए । दैनिक जीवनदेखि, आपतविपत तथा सामान ओसारपसारमा हेलिकोप्टरको प्रयोग बढिरहेको सन्दर्भमा प्राधिकरणको यो प्रतिबन्ध सान्दर्भिक नभएको संघले बताएको छ । हवाइ दुर्घटनाहरू सबैभन्दा बढी खराब मौसमका कारण पहाडमा ठोकिएर हुने गरेकोले इनरुट मौसमको जानकारी दिने सम्बन्धमा प्राधिकरणले सुधार्न आवश्यक रहेको संघले बताएको छ । हरेक उडान पूर्व प्राधिकरणलाई १० अमेरिकी डलर मौसम जानकारीका लागि दिने गरिएको छ । उडान भरेको विमानस्थल र अवतरण गर्ने विमानस्थलको मौसम जानकारी हुन्छ । तर बीचका भागको मौसम कस्तो छ भन्ने स्पष्ट जानकारी पाउन नसकेको संघका महासचिव एवं फिस्टेल एयरका प्रबन्ध निर्देशक मनोज कार्कीले बताए । अहिले मौसम विभागले हावाको गति, पानी परेनपरेकोलगायतका सूचना दिन्छ । तर बादल लागेका कारण पहाडमा ठोकिएर हुने दुर्घटना रोक्न बादल छ कि छैन, भन्ने सूचना पनि चाहिन्छ,' कार्कीले भने । मौसम विभागले २१ हजार फिटभन्दा माथिको मौसम जानकारी दिन्छ जबकि आन्तरिक उाडन भर्ने विमानहरू बढीमा १२ हजार फिटमा उडिरहेका हुन्छन् भन्दै कार्कीले प्राधिकरणले यतातिर ध्यान दिन जरुरी रहेको बताए । हवाइ सुरक्षामा वायुसेवा सञ्चालकको चासो नेपाल वायुसेवा सञ्चालक संघले हवाइ उड्डयनको वर्तमान अवस्था, चुनौती र अवसरका बारेमा सरोकारवालाहरूसँग छलफल गरेको छ । हवाइ दुर्घटना बढेका कारण नेपाली आकाश सुरक्षित छ कि छैन, सञ्चालकहरूले के सुधार गर्नुपर्ने, नियामक निकायले हवाइ सुरक्षामा कस्तो नीति अपनाउने भन्ने सम्बन्धमा छलफल भएको छ । करिब १ वर्षको बीचमा ४ हेलिकोप्टर र एक एटीआर ७२ दुर्घटनामा परेका छन् । कार्यक्रममा नेपाल वायुसेवा सञ्चालक संघका अध्यक्ष रामेश्वर थापाले विमानको अवस्था, नियामक निकायको नीति एवं मानव व्यवहार सबै नै विमान दुर्घटनाको कारक हुने बताए । कहिले वायुसेवा सञ्चालकको त्रुटिले त कहिले मानवीय कारण भने कहिले नियामकको नीति नियमका कारण दबाबमा आएर पनि दुर्घटना भएका छन्, उनले भने । कार्यक्रममा नेपाल नागरिक उड्डयन प्राधिकरणका पूर्व महानिर्देशक यज्ञप्रसाद गौतमले नेपालमा हवाइ उद्योग विस्तार हुनुमा निजी वायुसेवा सञ्चालकहरूको योगदान रहेको भन्दै उड्डयनमा प्रविधिसँगै प्राविधिज्ञ पनि भित्राउन जरुरी रहेको बताए । प्राधिकरणका पूर्व महानिर्देशक राजेशराज दलिले नेपाल आकाश सुरक्षित रहेको भन्दै उडानलाई विश्वसनीय बनाउनका लागि जमिनदेखि आकाशसम्म प्रविधिको विस्तार गर्न जरुरी रहेको बताए । त्यस्तै प्राधिकरणका पूर्व निमित्त महानिर्देशक मोहन अधिकारीले प्राधिकरणले सार्वजनिक गर्ने गरेको हवाइ सुरक्षाको प्रतिवेदन कागजमा मात्र सुधार भएको तर व्यवहार नभएको बताएका छन् । प्राधिकरणलाई नियामक र सेवा प्रदायक नछुट्टाएसम्म हवाइ सुरक्षामा वास्तविक सुधार नहुने भनाइ अधिकारीको छ । कार्यक्रममा फिस्टेल एयरका निर्देशक सुमन पाण्डेले मुलुकको अर्थतन्त्रलाई गतिशिल बनाउन उड्डयन क्षेत्रको विकास पनि एउटा कडि हुने बताए । बुद्ध एयरका कार्यकारी अध्यक्ष वीरेन्द्रबहादुर बस्नेतले कम्पनीले हवाइ सुरक्षामा गरेका आन्तरिक कार्यको बारेमा जानकारी दिएका थिए । प्राधिकरणका पूर्व कर्मचारी नारायण डंगोलले उडान तालिकासम्बन्धी प्रक्रिया फेरिनुपर्ने बताउँदै हवाइ सुरक्षाका लागि अनुशासन र सामूहिक कार्यमा सुधार गर्न आवश्यक रहेको औंल्याए । प्राधिकरणका पूर्व महानिर्देशक वीरेन्दै देउजाले नेपालको वार्षिक आन्तरिक उडानको वृद्धि करिब १० प्रतिशत र बाह्य उडानको वृद्धि ७ प्रतिशत रहेको तथ्यांक प्रस्तुत गरे । हवाइ क्षेत्रमा प्रविधि हस्तान्तरण भइरहेको बताउँदै देउजाले हवाइ सुरक्षा बढाउनका लागि विमानस्थलको क्षमतावृद्धि एवं स्त्तारोन्नतिमा ध्यान दिन जरुरी रहेको बताए । कार्यक्रममा निजी क्षेत्र नेपाल उद्योग वाणिज्य महासंघ र नेपाल चेम्बर अफ कमर्सका प्रतिनिधिले हवाइ क्षेत्रको विकासमा सहकार्य गर्ने प्रतिबद्धता व्यक्त गरे ।"""
"""मिटरब्याज सम्बन्धी विधेयक : जसका लागि बन्यो","उनैले जलाए"",""काठमाडौं : मिटरब्याज पीडितलाई न्याय दिन सरकारले कार्यान्वयनमा ल्याएको विधेयक पीडितहरूले जलाएका छन् । विधेयकका प्रवधानले साहुहरूलाई संरक्षण गरेको भन्दै पीडितहरूले शुक्रबार साँझ शान्तिवाटीकामा जलाएका हुन् । संसदको दुवै सदनबाट पास भएपछि मुलुकी संहितासम्बन्धी केही नेपाल ऐनलाई संशोधन गर्न बनेको विधेयक २०८० लाई राष्ट्रपति रामचन्द्र पौडेलले शुक्रबार प्रमाणीकरण गरेका थिए । अनुचित लेनदेन (मिटरब्याज)लाई फौजदारी कसूर करार गर्दै विधेयक जारी हुनु स्वागतयोग्य रहेको संघर्ष समितिका अध्यक्ष अवधेश कुशवाहले बताए । उनले सरकार र प्रतिपक्षी दलहरूले साहुलाई पोस्नेगरी विधेयक जारी गरेको आरोप लगाए । ३३ महिनादेखि मिटरब्याजसहित अन्य आर्थिक अपराध नियन्त्रण गर्न नयाँ ऐनको तर्जुमा हाम्रा महत्वपूर्ण मागहरूमध्ये एउटा प्रमुख हो । तर नयाँ कानुन बनाउने क्रममा सरकारले आन्दोलनरत पक्षहरूको सुनुवाइ गरेन,' उनले भने । उनले कानुन पारित गर्नुपूर्व पुलिसप्रशासन र साहुमहाजनबाट पीडित बनाइएकाहरूको चासो सम्बोधन गर्न सरकार पक्षले छलफल नगरेको बताए । कानुन तर्जुमा गरिरहँदा सरकारले सत्ताको रवैया देखाउँदै अलोकतान्त्रिक तरिका अपनाएको उनको भनाइ छ । सरकारले हालसम्म आर्थिक अपराधबाट पीडित बनाइएका किसान मजदुरलाई अपराधीको चंगुलबाट मुक्त घोषणा गर्न नचाहेको संघर्ष समितिले जनाएको छ । कुशवाहाका अनुसार सरकारले तमसुक, दृष्टिबन्धक, रजिष्ट्रेसनजस्ता फर्जी तमसुक, छिनुवापास आदि खारेज गर्ने राजनीतिक प्रतिवद्धता पूरा गरेको छैन । मिटर ब्याज र अन्य अनुचित लेनदेनका समस्या सम्बोधन गर्न मुलुकी संहितासम्बन्धी केही ऐन संशोधन गरेर सरकारले ल्याएको नयाँ कानुन पीडितहरूको अपेक्षा विपरीत विष विनाको सर्पजस्तै भएको उनले बताए । शोषक साहुहरूले जफत गरेका गरीबको सम्पत्ति फिर्ता लिने विश्वसनीय बन्दोबस्त बनाउने बलियो आधार विधेयकमा नरहेको पीडितहरूको आरोप छ । 'नयाँ ऐनले किसान मजदुरको अवस्था अनुकूल वित्तीय लेनदेनको तौरतरिका सहज बनाउन र हालः व्यापक बन्दै गएको बाध्यकारी चेक बाउन्स रोक्नसक्ने सम्भावना छैन,' उनले भने । साहुमहाजनबाट मुक्ति दिलाउन कानुनीमात्र होइन, राजनीतिक प्रतिबद्धता चाहिएको मिटरब्या पीडित पुनम महतोले बताइन् । उनले भनिन्, हालसम्म राजनीति उपचारको सर्वथा अभाव छ । त्यसैले हामी निरन्तर संघर्षमा छौं । किसान मजदुरलाई सबै किसिमको आर्थिक, राजनीतिक र सांस्कृतिक शोषणबाट मुक्त बनाउन अब झन् सशक्त प्रतिरोध गर्ने छौं । सम्पूर्ण वित्तीय शोषण र उत्पीडनविरुद्ध एक हुँदै नयाँ स्वरुपमा आन्दोलन गर्ने छौं । यी पाँच बुँदामा पीडितको आपत्ति (१) सरकारले ल्याएको विधेयक भूतप्रभावी (पश्चातदर्शी) हुने छैन । दफा १ को उपदफा (२) मा तुरुन्त प्रारम्भ हुनेछ लेखिएकोले नेपाल राजपत्रमा प्रकाशित भएर कानून बनेपछि मात्र विधेयकले अपराध ठहर्याएको आर्थिक लेनदेन दण्डनीय हुने छ । त्यसैले साहुमहाजनबाट दशकौँदेखि पीडित बनाइएकाहरूको हकमा किसानमजदुरले अपेक्षा गरे अनुसार नयाँ ऐन प्रभावशाली हुने छैन । विगतका लेनदेनका समस्याहरूको न्यायमुखी समाधान हुने नदेखिएकोले पीडितका लागि विशेष व्यवस्था अपरिहार्य छ । (२) परित हुनु अघिको पुराना लिखतहरुलाई साहू महाजन र ऋणी वडामा गएर प्रमाणित गराउनुपर्ने प्रावधान थियो । सो विधेयकको दफा ३ को उपदफा ३ (घ) साहुमहाजन मात्रले प्रमाणित गर्न सक्ने बनायो । यस्तो संशोधन एक पक्षीय हिसाबले पीडितका हित विरुद्ध प्रयोग हुने सम्भावना भएकोले यो प्रावधान खारेज गरिनु पर्छ । (३) नयाँ ऐनमा दण्ड सजायको व्यवस्था कमजोर बनाइयो । संशोधन अघि मिटर ब्याज अपराध प्रमाणित भए ७ वर्ष कैद र ७० हजार रुपैयाँ जरिवाना प्रस्तावित थियो । तर संशोधनले कसुरको प्रकृतिको आधारमा सजाय र जरिवाना को व्यवस्था गर्दै कसुर प्रमाणित गर्ने प्रक्रियालाई जटिल बनायो र दण्डको प्रावधानलाई कमजोर बनाएको छ । (४) सो विधेयकको दफा ५ को उपदफा (३) क ले आर्थिक अपराधमा संलग्न साहुमहानजको सम्पत्ति छानविन गर्नसक्ने प्रावधानलाई फितलो बनायो । साहुमहाजनले अकुत सम्पत्ति कतै लगानी गरेको पाइए स्वतः सम्पत्ति शुद्धिकरण सम्बन्धी कानुन आकर्षित हुने प्रवधान हटाएर हैसियत हेरेर भनियो । साहुमहाजनलाई थप सहुलियत दिन, अनुचित लेनदेन प्रमाणित भएको हक हस्तान्तरण भइसकेका सम्पत्ति समेत पूरै फिर्ता गरिने व्यवस्था उल्टाएर संशोधनमा हिसाब गरेर मात्र फिर्ता हुने भनियो । तर पीडितका अचल सम्पत्ति नै धितोलिई दृष्टिबन्धकी, तमसुक पारित गराइएका छन् । अन्य कतिपय साहुले पीडितलाई ऋण दिए बापत अचल सम्पत्ति नै राजिनामा रजिष्ट्रेसन पारित (छिनुवा पास) गराएर सम्पत्ति जफत गरेका छन् । ऋण चुक्ता गर्दा समेत पीडितका अचल सम्पत्ति साहुले फिर्ता गरेका छैनन् । अहिले घरसार लिखतमा मात्र लेखिएको यो दफाले प्रष्ट शब्दमा दृष्टिबन्धकी, छिनुवा पास, रजिष्ट्रेसन तमसुक र मिटर ब्याज लेख्न हच्किएको छ । यस्तो व्यवस्था कुनै पनि दृष्टिबाट पीडितका हकमा प्रभावकारी हुने छैन । (५) ऋणीहरूसँग कमजोर र प्रायः अवस्थामा फर्जी कागजात भएकोले नै ऋण चुक्ता गरेपनि पीडित बनाइएकाहरू वर्षौदेखि आन्दोलनमा छन् । सो विधेयकको दफा ४ को २४९ (क) को उपदफा (२) मा खण्ड (क) देखि (ज) सम्मका अन्याय साहुकारहरूले पीडितहरू माथि गर्दै आएका अपराध हुन् । विधेयकमा समेत यो स्वीकारिएको भएपनि पीडितहरूसँग भएका प्रमाणहरू कि कागजी रुपमा कमजोर छन् कि साहुकारका फर्जी दस्ताबेज हुन् । अन्य कतिपय शोषणका त ठोस सबुद नै छैनन् । त्यसैले यस्तो विधेयकले मात्र पीडितहरूका समस्या हल गर्न सक्दैन ।"""
