"शीर्षक","विवरण"
"असईबाट अन्नपूर्णकर्मी कुटिए प्रहरी परिसरमै","उदयपुर : जिल्ला प्रहरी कार्यालय सप्तरीका प्रहरी सहायक निरीक्षक (असई) राजेश्वर महतोले अन्नपूर्णकर्मी मनोहरकुमार पोखरेलमाथि कुटपिट गरेका छन् । पीडितको आवाजमा प्रहरी प्रशासनबाट भइरहेका ढिलासुस्तिका विषयमा समाचार संकलन गर्न पुगेका अन्नपूर्णकर्मी पोखरेलमाथि सोमबार कार्यालय परिसरभित्र कुटपिट गरेका हुन् । प्रहरी कार्यालयको मुद्दा शाखामा जबरजस्तीकरणी र गर्भपतन सम्बन्धी मुद्दा प्रहरीले दर्ता गर्न नमानेको पीडित पक्षको गुनासो बुझ्न पोखरेल त्यहाँ पुगेको नेपाल पत्रकार महासंघका सचिव रामनारायण विश्वासले बताए । जानकारी लिने क्रममा अपशब्द बोल्दै पत्रकार पोखरेलमाथि असई महतोले कुटपिट गरेको उनले बताए । धनुषाको मिथिला नगरपालिका घर भएका महतो जिल्ला प्रहरी कार्यालयको नागरिक सहायता कक्षमा कार्यरत छन् । उनले पत्रकार पोखरेलको आँखा र सम्वेदनशील अंगमा बुटले हानेको तथा अनुहारमा मुक्का प्रहार गरेको प्रत्यक्षदर्शीले बताए । घाइते पोखरेलको राजविराजस्थित गजेन्द्रनारायण सिंह अस्पतालमा उपचार भइरहेको श्रीमती नानीमैया कटवालले बताइन् । उनी खतरामुक्त रहे पनि सम्वेदनशील अंगमा प्रहार भएकाले चिकित्सकसँग सल्लाह गरी थप उपचारका लागि बाहिर लैजाने वा त्यहीँ गर्ने निर्णय लिइने उनले बताइन् । पत्रकार पोखरेलले चार घण्टादेखि पिसाब बन्द भएकाले समस्या भएको बताए । नेपाल पत्रकार महासंघ सप्तरी शाखाका सल्लाहकार र इन्सेक प्रतिनिधिसमेत रहेका पोखरेलमाथि भएको घटनाको विषयलाई लिएर दुवै संस्थाले फरकफरक विज्ञप्ति जारी गरेका छन् । घटना लगत्तै सचिव विश्वासको नेतृत्वमा जिल्ला प्रहरी कार्यालय पुगेको पत्रकारको टोलीले प्रहरी प्रमुख एसपी नरेन्द्र कार्कीलाई भेटगरी यथाशीघ्र कुटपिट गर्ने असई महतोमाथि कारबाही गर्न माग गरेको छ । अन्यथा संघर्षका कार्यक्रम चलाउन महासंघ बाध्य हुने सचिव विश्वासद्धारा जारी विज्ञप्तिमा उल्लेख छ । जवाफमा एसपी कार्कीले जिल्ला प्रहरीको तर्फबाट क्षमायाचना गर्दै कुटपिट गर्ने असई महतोमाथि कानून बमोजिम तीन दिनभित्र कारबाही गर्ने प्रतिबद्धता जनाएको विज्ञप्तिमा उल्लेख छ । विज्ञप्तिमा नागरिकलाई सूचित गराउने अधिकार बोकेका सञ्चारकर्मीलाई यसरी जिल्ला प्रहरी कार्यालयमै असईबाट कुटपिट हुनु प्रेसमाथिको ठाडो हस्तक्षेप भएको महासंघको ठहर छ । पछिल्लो केही दिनदेखि सप्तरीका प्रहरी प्रशासनको तर्फबाट यसरी नै प्रेसविरुद्धको क्रियाकलाप हुँदैगएकाले यस्ता घटनालाई नियन्त्रण गर्न र संविधानमै उल्लेख भएको पूर्ण प्रेस स्वतन्त्रतालाई कायम गर्न विज्ञप्तिमार्फत गृहमन्त्रालयको समेत ध्यानाकर्षण गराइएको छ । इन्सेकका अध्यक्ष डाक्टर कुन्दन अर्यालले मानव अधिकार ज्यादती विरुद्ध पीडितको सहायताका लागि जिल्ला प्रहरी कार्यालय पुगेका पोखरेलमाथि असई महतोले कार्यालय परिसरमा कुटपिट गरेको घटनाले प्रहरी ज्यादतीको निरन्तरता झल्कको बताएका छन् । मानव अधिकारको परिपालना गर्दै शान्ति सुरक्षा बहाल गर्ने दायित्व निर्वाह गर्नुपर्ने जिम्मेवार निकाय प्रहरी कार्यालय परिसरभित्र सुपरिचित मानव अधिकार रक्षक र पत्रकारमाथि गुण्डागर्दीको शैलीमा बल प्रयोग गर्ने प्रहरीउपर कारबाही अघि बढाएर मानव अधिकारप्रतिको प्रतिबद्धतामा कायम रहन हामी सरकार समक्ष जोडदार माग गर्दछौँ, अध्यक्ष अर्यालद्वारा जारी विज्ञप्तिमा उल्लेख छ ।"
"""मधेसमा छैटौं पटक मन्त्रिपरिषद विस्तार","थपिए दुई मन्त्री"",जनकपुरधाम : मधेस प्रदेश सरकारमा दुई जना मन्त्री नियुक्त भएका छन् । लामो समयदेखि खाली रहेको मन्त्रालयमा कांग्रेसबाट मोहमद समिम गृह सञ्चार तथा कानुन र जनमतबाट चन्दन सिंह श्रम तथा यातायात मन्त्री नियुक्त भएका हुन् । नवनियुक्त मन्त्रीद्वयले प्रदेश प्रमुख हरिशंकर मिश्रबाट पद तथा गोपनीयताको शपथ लिएका छन् । मधेस सरकारले आज छैटौं पटक मन्त्रिपरिषद विस्तार गरेको हो । यो सँगै मन्त्रिपरिषदले पूर्णता पाएको छ भने जसपाबाट विना विभागीय मन्त्री रहेकी सुरिता साह यथावत् छिन् । उनी सुरुमा मन्त्री सामाजिक विकास मन्त्री नियुक्त भएकी थिइन् । पछि मन्त्रालय फुटाएर स्वास्थ्य मन्त्रीको जिम्मेवारी सम्हालेकी साहलाई पाँचौं पटकको मन्त्रिपरिषद् विस्तारमा विना विभागीय मन्त्री बनाएका थिए । त्यसयता उनी हालसम्म विना विभागीय मन्त्रीमा सीमित छन् । यसअघि आजै जनमत पार्टीबाट कृषि मन्त्री रहेका बसन्त कुशवाहा र राज्य मन्त्रीको जिम्मेवारी खोसेर विना विभागीय मन्त्री बनाएको थियो । त्यसयता उनीहरू दुवै जना विना विभागीय मन्त्रीका रूपमा रहेका थिए । तर आज जनमतले राजीनामा गराएर थप एक मन्त्री पठाएको छ ।"
"अमानवीय घटनामा संलग्न भेटुवाल धरौटीमा छुटे","विराटनगर : विराटनगर महानगरपालिका४ दूध फारम चोकमा साइकल यात्रीमाथि भएको अमानवीय घटनामा संलग्नलाई जिल्ला अदालत मोरङले धरौटीमा छाड्न आदेश दिएको छ । न्यायाधीश दुर्गाप्रसाद ढुंगेलको इजलासले विराटनगर४ का १९ वर्षीय आयुष भेटुवाललाई धरौटीमा छाड्न सोमबार आदेश दिएको हो । धरौटीवापतको १ लाख रुपैयाँ तिरेर भेटुवाल रिहा भएको अदालतका सूचना अधिकारी हेमबहादुर बुढाथोकीले जानकारी दिए । उनका अनुसार मुद्दामा प्रतिवादी बनाइएका १७ बर्से किशोरलाई पक्राउ गर्नका लागि अदालतबाट ३५ दिने म्याद जारी हुने छ । वादी नेपाल सरकार र प्रतिवादीबीचका कानुन व्यवसायीको थुनछेक बहस सकिएसँगै भेटुवालविरुद्ध दायर भएको ज्यान मार्ने उद्योग मुद्दामा अदालतले आदेश दिएको हो । घटनामा संलग्न भनिएका तेह्रथुमको फेदाप गाउँपालिका४ का ३० वर्षीय रोशन कार्कीविरुद्ध मुद्दा नचल्ने निर्णय सरकारी वकिलको कार्यालयबाट भएको छ । घटनापछि असार २१ गते बिहान भेटुवाल पक्राउ परे । कार्की र १७ बर्से किशोर फरार थिए । साइकलमा हिँडिरहेका विराटनगर६ का २७ वर्षीय पवनकुमार साह हलुवाईको अनुहारमा भेटुवालले गत असार २० गते राति ८ बजे मुक्का प्रहार गरेका थिए । गलत दिशाबाट साइकल कुदाएको भन्दै बा १५ च ३४४५ नम्बरको कारमा सवार भेटुवालले दौडिएर आउँदै मुक्का प्रहार गरेपछि साह सडकमै ढलेका थिए । त्यसपछि साह बेहोस भए । घोप्टो परिरहेको रक्ताम्य अवस्थामा अमानवीय शैलीमा दुवै खुट्टा समातेर घिसार्दै उनलाई सडकको किनारमा छाडेर भेटुवाल हिँडेका थिए । लडिरहेको साहको साइकल १७ वर्षीय किशोरले सडकको छेउमा ल्याएर फ्यालिदिएका हुन् । कारका चालक कार्कीले प्रत्यक्ष हेरिरहे पनि घटना हुन नदिन तथा घाइतेलाई उपचारका लागि लैजान कुनै भूमिका खेलेनन् । घटनाका मतियार उनीविरुद्ध भने मुद्दा नचल्ने निर्णय गरिएको हो । १७ वर्षीय किशोरविरुद्ध भने ज्यान मार्ने उद्योग मुद्दाको मतियारका रूपमा मुद्दा दर्ता भएको छ । घटनाको अनुसन्धान सकेर प्रहरीले मिसिल (अनुसन्धान प्रतिवेदन) बुझाएपछि जिल्ला सरकारी वकिल कार्यालय मोरङले अभियोगपत्र तयार पार्दै आइतबार अभियुक्तविरुद्ध अदालतमा मुद्दा दायर गरेको हो । गलत दिशाबाट साइकलमा आइरहेका साहले अपशब्दसहित गाली गरेपछि आवेशमा आएर आफूले मुक्का प्रहार गरेको भेटुवालले स्वीकार गरेका छन् । मुक्का प्रहारबाट साह ढलेपछि मरेको ठानेर किनारमा उनलाई छाडेर आफूहरु भागेको बयान अनुसन्धानका क्रममा भेटुवालले दिएका छन् । उनीविरुद्धको ज्यान मार्ने उद्योग मुद्दामा मुलुकी अपराध संहिता २०७४ को दफा १८३ (२) बमोजिम १० वर्ष कैद र १ लाख रुपैयाँ जरिवानाको मागदाबी लिनुपर्ने रायसहितको प्रतिवेदन प्रहरीले सरकारी वकिल कार्यालयमा बुझाएको थियो । घटनासँग सम्बन्धित सीसी क्यामेरा फुटेज नै बाहिरिएको छ । फुटेजमा साहमाथि अमानवीय व्यवहार भएको प्रष्टसँग देख्न सकिन्छ । घटनास्थलमा रगत लतपतिएको र उनको अनुहारको भाग सडकमा मज्जाले रगडिएको दृष्य सीसी क्यामेरामा कैद भएको थियो । घटनास्थलबाट उद्धार गरेर उपचारका लागि लैजाँदै प्रहरीले साहलाई बचाएको थियो ।"
"डेंगु संक्रमण : १० जिल्लामा मात्र ८७ प्रतिशत बिरामी","काठमाडौं : डेंगु भाइरसको संक्रमण पाँच हजारभन्दा बढीमा देखिएको छ । तीमध्ये आधा जति सुनसरी जिल्लामा देखिएको इपिडिमियोलोजी तथा सरुवा रोग नियन्त्रण महाशाखाले जनाएको छ । महाशाखाका निर्देशक रुद्रप्रसाद मरासिनीका अनुसार गत पुसयता मात्र पाँच हजार छ सय ८८ जनामा संक्रमण देखिएको छ । सबैभन्दा बढी सुनसरी जिल्लामा तीन हजार चार सय ८६ जनामा डेंगुको संक्रमण देखिएको छ । उनले लगातार परिरहेको पानीले गर्दा र सरसफाइमा ध्यान नदिँदा संक्रमण दैनिक बढिरहेको बताए । यही साउन १० गते चार हजार छ सय १९ जनामा देखिएको संक्रमण त्यसपछिको पाँच दिनमा त्यो संख्या बढेर पाँच हजार छ सय ८८ मा पुगेको छ । डेंगु पानी जम्ने सफा ठाउँमा एडिज एजिप्टी र एडिस एल्बोपिक्टस प्रजातिको लामखुट्टेले फुल पार्छ र ती फुलबाट लार्भा निस्कन्छ र त्यही लार्भा वयस्क भएर टोकेपछि डेंगु रोग लाग्दछ । यसपटक कोशी प्रदेशमा संक्रमण बढेको पाइएको छ । कोशी प्रदेशमा तीन हजार आठ सय २१, बागमती प्रदेशमा नौ सय ६२, गण्डकी प्रदेशमा तीन सय ५७, सुदूरपश्चिम प्रदेशमा तीन सय २५, लुम्बिनी प्रदेशमा एक सय ७०, कर्णाली प्रदेशमा २७ र मधेस प्रदेशमा २६ जनामा संक्रमण देखिएको छ । १० जिल्लामा बढी संक्रमण नयाँ देखिएका बिरामीमध्ये चार हजार नौ सय ३९ (८७ प्रतिशत) बिरामी १० जिल्लाका रहेका छन् । सबैभन्दा बढी सुनसरी जिल्लामा तीन हजार चार सय ८६, धादिङ छ सय ५५, कास्की दुई सय आठ, दार्चुला एक सय ९१, काठमाडौं ९६, सङ्खुवासभा ७५ जना, म्याग्दी ५८, मोरङ ५७, कञ्चनपुर ५७ र झापा ५६ जनामा डेंगुका बिरामी भेटिएका छन् । नेपालमा पहिलो पटक सन् २००४ मा एक जनामा डेंगु देखिएको थियो । मन्त्रालयले लामखुट्टेबाट बच्नका लागि सधैँ झुल टाँगेर मात्र सुत्न, खेतबारीमा काम गर्दा लामो बाहुला भएको लुगा लगाउन, घरको झ्याल ढोकामा जाली हाल्न अनुरोध गरेको छ । यस्तै सम्भव भएसम्म लामखुट्टे भगाउने धूप वा मलमको प्रयोग गर्न, घरपालुवा पशुपक्षी व्यवस्थित ढंगले पाल्न र घरवरिपरि गमला, टायर वा कुनै पनि खुला भाँडामा पानी जम्न नदिन आग्रह गरेको छ । पुसयता डेंगु संक्रमणबाट चार जनाको मृत्यु भएको छ । अहिलेसम्म डेंगु संक्रमण ७० जिल्लामा पुगेको छ ।"
"""लम्पी स्किन रोगबारे प्रधानमन्त्रीको चासो","विज्ञहरूसँग गरे छलफल"",काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले पशु चौपायामा लाग्ने लम्पी स्किन रोगबारे विज्ञहरूसँग छलफल गरेका छन् । प्रधानमन्त्री निवास बालुवाटारमा विज्ञहरूसँग छलफल गरेको प्रधानमन्त्री सचिवालयले जनाएको छ । छलफलमा कृषि तथा पशुपन्छी विकास मन्त्री बेदुराम भुसाल पनि सहभागी थिए । पशु सेवा विभागको आयोजना भएको छलफलमा लम्पी स्किन रोगको वर्तमान अवस्था र भावी कार्यदिशाबारे छलफल भएको हो । पछिल्लो समय लम्पी स्किन रोगका कारण लाखौं पशु चौपाया मरेका छन् । रोगको रोकथाम नभएका कारण यो रोग दिनानुदिन फैलिँदै गएको गुनासो सरोकारवालाहरूले गरेका छन् ।"
"मध्य साउनमा खानेपानीकै हाहाकार","काठमाडौं : मध्य साउनमा जताततै पानीको छेलोखेलो हुनपर्नेमा महोत्तरीमा भने खानेपानीकै हाहाकार पर्न थालेको छ । पानीका स्रोतका मुहान धमाधम सुक्दै गएपछि यहाँ खानेपानीको हाहाकार पर्दै गएको हो । 'हाम्रो बस्तीका सबै चापाकल सुके, पानी आउने एउटै बाँकी छैनन्', भङ्गाहा४ रामनगरका ३० वर्षीय रामईश्वर ठाकुरले भने, 'अब तीनचार वटा इनारमा सबैको त्राण अडिएको छ, तीन सयभन्दा बढी घरधुरीको बस्तीमा तीनचार वटा इनारले धान्नै मुस्किल छ ।' बस्तीमा निजी र सार्वजनिक तवरमा जडान भएका एक सय ५० भन्दा बढी चापाकल सुकिसकेको ठाकुरले स्पष्ट पारे । बस्तीका इनार पनि धेरैजसो सुकेका छन् । तीनचार वटा इनारमा पानी तान्न जोडिएका मोटरपाइपका लठ्ठाले अब इनार नै नदेखिने भएका सो बस्तीकै सामाजिक कार्यकर्ता गङ्गाराम महतो बताउँछन् । 'सबै चापाकलमा पानी सुकिसकेका छन्, केही इनार मात्रै बाँकी छन्', ६० वर्षीय महतो भन्छन्, 'मध्य साउनमा खानेपानीकै हाहाकार परेको यसपालि भोग्दैछौँ ।' इनारमा मोटर लगाएर पाइपबाट पानी प्रबन्ध गर्न सबैको आर्थिक हैसियत नहुँदा बस्तीका अति विपन्न परिवार बढी अप्ठ्यारोमा परेका छन् । जिल्लाका उत्तरवर्ती क्षेत्रका भङ्गाहा, गौशाला र बर्दिबास नगरपालिकाका करिब एक सय २० टोलबस्ती मध्ये इनार र चापाकल खानेपानीका स्रोत रहेका ठाउँमा अहिले पानीको सङ्कट बढेको छ । इनार र चापाकल सुक्दै गएपछि ठाउँ ठाउँमा बोरिङ जडान गरेर मोटर पम्पबाट पानी वितरणको प्रबन्ध थालिएका छन् । 'बस्तीका चापाकल र इनार सुक्दै गएपछि अहिले भर्खरै बोरिङ जडान थालेका छौँ', भङ्गाहा४ का वडाध्यक्ष गणेश महतोले भने, 'रामनगर विद्यालय परिसरमा बोरिङ जडान सफल भयो, अब त्यसबाट वरिपरिका सय घर परिवारले पानी पाउन थालेका छन् ।' विद्यालयका छात्रछात्रासँगै बस्तीका अति विपन्न परिवारलाई पहिलो प्राथमिकतामा पानी भण्डारण र वितरण व्यवस्थापन मिलाइएको महतोको भनाइ छ । पछिल्लो अवस्थामा चापाकल र इनारभन्दा बोरिङ बढी टिकाउ र भरपर्दो पाइएको महतो बताउँछन् । विगतमा वैशाखजेठमा कुनैकुनै वर्ष केही दिन इनार, चापाकल सुकेको अनुभव भए पनि साउनमा खानेपानीको हाहाकार भने जीवनमै पहिलो पटक भोग्नुपरेको बर्दिवास, गौशाला र भङ्गाहाका पाका व्यक्ति बताउँछन् । 'विगतमा साउनमा खानेपानी नपाइएको थिएन', गौशाला११ लक्ष्मीनियाँकी ७० वर्षीया जिवछीदेवी महरा भन्छिन्, 'बरु, असार लाग्दै सुकेका चापाकल र इनारमा पानी चल्न थाल्थ्यो । यसपालि नयाँ अनुभव सँगालिएको महराको भनाइ छ । 'हेर्नोस् न, इनारको पानी सुक्दै गएर पानी तान्न झारिएको डोल (बाल्टिन) डुब्न छाड्यो', बर्दिबास९ पशुपतिनगरको झ्याकुले टोलका राजकिशोर महतोले घर अगाडिको इनार देखाउँदै भने, 'यो साउनमा त इनार सुकेको थाहा थिएन ।' करिब चार हजार जनसङ्ख्या रहेको पशुपतिनगरका सातआठ टोल बस्तीमा गरी एक सयभन्दा बढी सङ्ख्यामा इनार छन् । सबैजसो इनारमा अहिले पानी जमौट (इनारको सबभन्दा तलको बन्धन, जहाँबाट इनार ठड्याउँदै लगिन्छ) को घेरामा पुगेको सो बस्तीकै महेन्द्र महतो बताउँछन् । सामान्यतया प्रत्येक वर्ष वैशाखजेठमा यहाँका इनारमा पानीको सतह गहिरिदै जाने भए पनि यसपालि भने चैतदेखि नै यो समस्या बढेको हो । यसपालि हिउँदे वर्षा नहुँदा इनारमा पानीको सतह चैतमै गहिरिएको पशुपतिनगर गोमस्ताटोलका उत्तमबहादुर रानाको भनाइ छ । पहिले पहिले असार लागेपछि बर्खा सुरु हुने र सुकेका इनार फेरि चल्ने बेहोर्दै आएका आफूहरूलाई यसपालि भने मध्य साउनमा यो खेप्नुपरेको राना बताउँछन् । बस्तीका धेरैजसो इनारमा पानीको सतह जमौटमै पुगिसकेका हुँदा यहाँ मोटरबाट पानी तान्न ओछ्याइएका पाइपको काम सकिएको छ । 'इनारमा पानी भए पो मोटर चलाउनु ?' पशुपतिनगर टोकीटोलका रामचन्द्र थापा मगर भन्छन्, 'अब यो साउनमा नचलेको मोटर कहिले चल्ला ?' पानी नपरेर इनारहरू धमाधम सुक्दै गएपछि बालीनाली सुक्न थालेका छन् । तरकारी खेती मुख्यबाली लगाइने यहाँ लहरे तरकारीका बोट पानी नपाएर सुक्दै गएका छन् । अहिले लटरम्म फल्नुपर्ने लौका, फर्सी, करेला, घिरौला र झिमनीका लहरा चर्को घामको रापले सुकेपछि किसानलाई खानेपानीसँगै अबको गुजाराको चिन्ताले पनि पिरोल्न थालेको छ । पछिल्ला दिनमा खानेपानीको सङ्कट टार्न बोरिङबाट मोटरले पानी तानेर ट्याङ्कीमा भण्डारण गरी घरघरै धाराबाट पानी दिने व्यवस्थाले केही राहत भएको सर्वसाधारण बताउँछन् । 'खानसम्म त अब राहत भयो, तर खेतिपाती त उक्सने छाँट छैन', पशुपतिनगर झ्याकुलेटोलका छठु महतो भन्छन् । धाराको पानीले खान जेनतेन भए पनि सिँचाइका लागि त इनार नै सखार्नु पर्ने झ्याकुलेटोलकै जलेश्वरीदेवी महतोको भनाइ छ । 'कुलो नहरको कुनै विकल्प नभएको हाम्रो ठाउँमा खानेपानी र सिँचाइका लागि इनार सखार्नु (मर्मत सुधार, इनार अझै गहिर्याउनु) र नयाँ इनार बनाउनु नै राम्रो हुने देखिन्छ', उनले भने । धारा जडान गरेर खानेपानीको प्रबन्ध गरिएपछि अब सिँचाइ प्रयोजनका लागि इनार सखार्ने काममा लागिने बर्दिबास९ पशुपतिनगरका वडाअध्यक्ष घुरन महतोले योजना सुनाए । पानीको अभाव हुन थालेपछि बस्तीहरूमा इनार सखार्ने, बोरिङबाट पानी तानेर टङ्कीमा भण्डारण गरेर धाराबाट पानी दिने विकल्पका कुरा गरिए पनि यी स्थायी समाधान नभएका चुरे तथा वातावरण विज्ञको धारणा छ । पछिल्ला वर्षहरूमा प्राकृतिक सम्पदाहरू (पाहाडि थुम्का, नदी किनार, नदीउकास र वनक्षेत्र) को अनियन्त्रित दोहन बढेसँगै सन्तुलित वर्षा हुन छाडेको हुँदा पानीका स्रोतका मूहान गहिरिँदै गएका वातावरण तथा चुरे जलाधार क्षेत्रका काममा लामो अनुभव सँगाल्नुभएका सामुदायिक विकास तथा पैरवी मञ्च नेपाल बर्दिवासका अध्यक्ष नागदेव यादव बताउँछन् । प्राकृतिक सम्पदाको अनियन्त्रित दोहन बढेसँगै वातावरणीय सन्तुलन खलबलिएको छ । यसले गर्दा अल्पवृष्टि, अनावृष्टिसँगै बाढीपहिराका समस्या बढ्दैछन् । चुरे क्षेत्रका खोल्साखोल्सीको व्यवस्थापन हुन नसक्दा त्यहाँबाट बाढीसँगै झर्ने गेगर्यान नदीमा थुपरिने गर्दा कतिपय बस्ती नदी सतहभन्दा होचिएर डुबानमा र शिरानका बस्ती कटानको जोखिममा पर्ने गरेका यादव बताउँछन् । यसैगरी यसको प्रतिकूल प्रभाव जलाधारक्षेत्रमा पर्दा यस्ता क्षेत्र सुखा बगरमा परिणत हुँदैछन् । 'अब यो समस्याको स्थायी समाधानका लागि प्राकृतिक सम्पदाको सन्तुलित उपयोग, सघन वृक्षारोपण, खोल्साखोल्सी व्यवस्थापन गरेर गेगर्यान नदीमा नझर्ने व्यवस्था र ठाउँ ठाउँमा पानी पुनःभरणका लागि पोखरी निर्माणमा लाग्नुपर्छ', यादवले भने । पूर्वपश्चिम राजमार्ग माथि (उत्तर) को चुरे पहाडी क्षेत्रमा खनिने पोखरीले तलसम्मकै जमिनको सतहमा पानी रसाउँदै गएपछि इनार, बोरिङ सुक्ने समस्या घट्दै जाने यादवको भनाइ छ । यस कार्यमा पूर्वपश्चिम राजमार्ग ओरपरका स्थानीय तहले संयुक्त रुपमै पहलकदमी बढाए यो बढी प्रभावकारी हुने यादवले बताए । 'हामीले राष्ट्रिय तथा अन्तर्राष्ट्रिय दातृ संस्थाको सहयोगमा चुरे क्षेत्रका खोल्सी व्यवस्थापन थालेका छौँ, धनुषाको मिथिला र महोत्तरीको बर्दिवास र गौशाला नगरक्षेत्रमा पानी पुनःभरणका एक सय ८८ पोखरी खनिएका छन्', यादव भन्छन्, 'यो प्रयत्न व्यापक बढाउन स्थानीय तहको सहभागिता आवश्यक छ ।' चुरेका खोल्साखोल्सीको प्रभाव भारतीय सीमावर्ती क्षेत्रसम्म पर्ने हुँदा ती भेगका स्थानीय तहले पनि पहाड र खोल्साखोल्सी त हाम्रो भूगोलमा छैनन् भनेर बेवास्ता गर्ने अवस्था नरहेको अर्का चुरे तथा जलाधारविज्ञ डा विजयकुमार सिंह बताउँछन् । खोल्सी व्यवस्थापन र पानी पुनःभरणका पोखरी बनाउन महोत्तरीका मात्र नभएर कमला पश्चिम र वागमती पूर्वका धनुषा र सर्लाहीका स्थानीय तहहरूले यस दिशामा तत्काल पहलकदमी बढाउन पर्ने सिंहको सुझाव छ । रासस"
"मन्दिर अगाडि नेताको शालिक बनाएको विरोधमा प्रदर्शन","जनकपुरधाम : मन्दिर अगाडि नेताको शालिक बनाएको विरोधमा स्थानीय युवाहरूले महोत्तरी सदरमुकाम जलेश्वरमा प्रदर्शन गरेका छन् । जलेश्वर नगरपालिका५ चौरिया गाउँमा रहेको हनुमान मन्दिरको अघि नेताको शालिक बनाइएको विरोधमा युवाहरूले प्रदर्शन गरेका हुन् । मधेस प्रदेश सरकारले आर्थिक वर्ष २०७९०८० को ६५ लाख रुपैयाँ लागतमा हनुमान मन्दिरको प्राङ्गणमा स्वर्गीय नेता गणेश नेपालीको शालिक तथा पार्क निर्माण गरेको भन्दै युवाहरू विरोधमा उत्रिएका हुन् । मन्दिरभित्र हनुमान भगवानको ठीक पहिले नेता नेपालीको शालिक बनाएर भगवानलाई ओझेलमा पारेको र नेतालाई भगवान भन्दा ठूलो बनाएको भन्दै स्थानीय युवाहरूले जलेश्वरमा प्रदर्शन गरेका हुन् । स्व नेता गणेश नेपालीका छोरा नेपाली कांग्रेसका नेता बजरंग नेपालीले मधेस प्रदेश सरकारबाट आफ्नो पहुँचका आधारमा बजेट ल्याएर मन्दिर छेउमा शालिक निर्माण गरेर सांस्कृतिक अपराध गर्नुका साथै बजेटको दुरुपयोग गरेर लाखौ अनियमितता समेत गरेको आरोप लगाउँदै युवाहरूले महोत्तरीका प्रमुख जिल्ला अधिकारीलाई ज्ञापनपत्र समेत बुझाएका छन् । शालिक र पार्क निर्माण सम्पन्न भएको देखाएर ठूलो आर्थिक अनियमितता गरेको स्थानीयले आरोप लगाएका छन् । हनुमान मन्दिरमा पूजा अर्चना गर्न जाने जो कोहीलाई पनि भगवानभन्दा पहिले स्वनेता गणेश नेपालीको शालिकको दर्शन गर्नुपर्ने अवस्था सिर्जना गरेर बजरंग नेपालीले नियतवस हिन्दू धर्ममाथि खेलबाड गरेको ज्ञापनपत्रमा उल्लेख छ । मन्दिरभित्र शालिक निर्माण गर्न पाइँदैन, भ्रष्टाचार बन्द गर, भ्रष्टाचारीलाई कारबाही गर, भगवानको मूर्ति अगाडि नेताको शालिक राख्न पाइँदैन, बजरंग नेपाली मुर्दावाद लगायतका नाराहरू लगाउँदै स्थानीयहरूले जलेश्वर नगर परिक्रमा गरेका थिए । प्रदर्शनकारीहरूले मन्दिर प्राङ्गणबाट नेताको शालिक तुरुन्त हटाइनुपर्ने, योजनामा २५३० लाख खर्च भएकोलाई ६५ लाख खर्च देखाएर गरिएको भ्रष्टाचारलाई सरोकारवाला निकायहरूले स्थलगत अनुगमन निरीक्षण गरेर अनियमितता भएको रकममा बाँकी सरह असुल उपर गर्नुपर्ने र दोषी देखिएकाहरूलाई हदैसम्मको कारबाही गरिनुपर्ने माग गरेका छन् । उनीहरूले जिल्ला प्रहरी कार्यालय महोत्तरी र जलेश्वर नगरपालिकाका मेयर सुरेश साह सोनारलाई समेत ज्ञापनपत्र बुझाएका छन् ।"
