शीर्षक,विवरण
नियन्त्रणकारी सोचमा अंकुश !,"लोकतन्त्र र नागरिक अधिकारको विपक्षमा सस्तो लोकप्रियताको पछाडि दौडिनेहरूको हितमा उपयोग हुने मिडिया भने नियन्त्रित हुनैपर्छ। मिडिया काउन्सिल विधेयकबारे निकै चर्चापरिचर्चा भयो। सरोकारवालाले यसको विरोध गरे। पत्रकारले त आफ्नो हकहितविरुद्ध भन्दै सडक संघर्ष नै गरे। नागरिकका अधिकार कुण्ठित हुने गरी विधेयक प्रस्ताव गरिएको भन्दै सरकारको आलोचना भयो। सत्तासीन दल नेकपाकै कतिपय सांसद र प्रमुख प्रतिपक्षी दलले ठूलो असहमति प्रकट गरे। संविधानले परिकल्पना गरेको विचार तथा अभिव्यक्ति स्वतन्त्रतामाथिको संकुचनका रूपमा यसको व्याख्यासमेत भयो। सरकारले पनि यसलाई प्रतिष्ठाको विषय बनाउनुभन्दा आमनागरिक र सरोकारवालाको हितमा हुने गरी विधेयक पारित गर्नु उचित हुन्छ। भोलि यसैको विरुद्धमा सडकमा जाने परिस्थिति उत्पन्न नहोस् भन्नेतर्फ सजगता अपनाउन आवश्यक छ। विधेयकको चर्चा हुनेबित्तिकै आम सञ्चारमाध्यमले खलेको भूमिकांको खोजी हुन्छ। नेपालको प्रजातान्त्रिक विकासमा सञ्चारमाध्यमको अपूर्व भूमिका रहँदै आएको छ। २०१७ सालअघि र पछि सञ्चारमाध्यमको भूमिका साँघुरो रहँदै आए पनि केही हदसम्म सात सालपछि प्रकाशित पत्रपत्रिकाले महŒवपूर्ण भूमिका खेले। गोरखापत्र, समाज, मातृभूमि, मदरल्यान्ड कमनर जस्ता पत्रिकाले विशेष योगदान गरेका छन्। हिजो जनशक्ति एकत्रित हुन नदिन र उनीहरूका नैसर्गिक राजनीतिक अधिकार कुण्ठित गराई निर्दलीयता लागू गरिएको थियो। यसले प्रजातान्त्रिक विकासको गतिलाई तीस वर्षसम्म अवरुद्ध पार्यो। मान्छेको संस्कारमा पनि त्यसैको छाप पर्यो। मान्छे व्यक्तिगत स्वार्थ र पदलोलुप हुन थाल्यो। राजनीतिक आधारशीला नै त्यसै अनुकूल विकास भयो। यसैको पृष्ठपोषण गर्न तदनुरूप सञ्चारमाध्यमको नियन्त्रण र नियोजनको व्यवस्था गरिएको थियो। त्यसले गर्दा त्यो समयमा सञ्चारमाध्यमको विकास हुन सकेन। आजको राष्ट्रिय तथा अन्तर्राष्ट्रिय परिस्थितिले नियन्त्रित संरचनाको परिकल्पना गर्न सक्दैन भन्ने सबैले बुझ्न जरुरी छ। प्रजातान्त्रिक विकासको मुख्य आधार हो। मास मिडिया, एफएम रेडियो तथा टेलिभिजनहरूले नागरिक स्वतन्त्रताको लडाइँमा ठूलो भूमिका खेलेका छन् पछिल्ला परिवर्तनहरूमा। त्यसैले पनि आम सञ्चारमाध्यमले पूर्ण स्वतन्त्रता उपयोग गर्न पाउनुपर्छ। त्यसमा सरकारी नियन्त्रण र बन्देज झनै खुकुलो पार्दै लैजान आवश्यक छ। मिडिया स्वतन्त्र र स्वायत्त हुनुपर्छ। विधेयकको माध्यमबाट यसमा गर्न खोजिएको नियन्त्रणले भोलि सरकारलाई नै अप्ठेरो पार्न सक्छ। विधेयकमा भएका कमीकमजोरी औंल्याउने जिम्मेवारी विशेषज्ञलाई दिनुपर्छ। विधेयकको सूक्ष्म अध्ययन, छलफल र विश्लेषण गराएर मात्र पारित गराउनु उचित हुन्छ। आमनागरिक, राजनीतिक दल, सञ्चारमाध्यमलाई कस्ने र लोकतन्त्रको मूल्यमान्यतामा आँच नआउने गरी विधेयक पारित गर्न सकियो भने सरकारप्रति लाग्दै आएको अधिनायकवादी बिल्ला हटाउन सहयोग पुग्नेछ। आमनागरिक, राजनीतिक दल, सञ्चारमाध्यमलाई कस्ने र लोकतन्त्रको मूल्यमान्यतामा आँच नआउने गरी मिडिया विधेयक पारित गर्न सकियो भने सरकारप्रति लाग्दै आएको अधिनायकवादी बिल्ला हटाउन सहयोग पुग्नेछ। प्रजातान्त्रिक विकासमा सञ्चारमाध्यमको अतिरिक्र संविधानप्रदत्त राजनीतिक दलको स्वतन्त्रता, तिनीहरूबीचको प्रतिस्पर्धा, स्वतन्त्र आवधिक निर्वाचनको व्यवस्था भएको हो। सरकार सञ्चालनमा दबाब समूहको काम गर्ने स्वतन्त्र र संंगठित गैरसरकारी सामाजिक संघसंस्था सञ्चालनमा समेत राजनीतिक हस्तक्षेपको प्रबन्ध गर्ने गरी विधेयक पारित गरिनु अहिलेको प्रजातान्त्रिक विकासको चरणमा प्रतिकूल हुनेछ। त्यसैगरी न्यायिक प्रणाली र अन्य स्वतन्त्र संवैधानिक निकायको स्वतन्त्र अस्तित्वमा हस्तक्षेप हुने गरी अनेक आवरणमा कानुनी व्यवस्था ल्याइनु उचित हुँदैन किनकि मानव अधिकारसम्बन्धी विधेयक पनि आम नागरिकलाई कस्ने खालको भन्दै व्यापक आलोचना भयो। संवैधानिक निकायहरूको नियुक्तिमा राजनीतीकरणको प्रयास हुनु, दलहरूबीच बाँडफाँटको अवस्था सिर्जना गर्नु, सुनुवाइका नाममा नियुक्त पदाधिकारीको क्षमता, अनुभव र योग्यताकै उपहास हुने गरी प्रश्नोत्तर गर्नुलगायत विषय प्रजातान्त्रिक व्यवस्थाका लागि सुहाउने विषय होइन। ती संवैधानिक निकायको बजेट विनियोजन, कर्मचारी खटनपटन, व्यवस्थापन विधि, सुविधा तथा सुरक्षाका नाममा समेत उनीहरूमाथि प्रभाव पार्ने नियन्त्रणकारी सोचबाट सरकार तथा राजनीतिक दल माथि उठ्नुपर्छ। नागरिक स्वतन्त्रतालाई निर्बाध रूपले उपभोग गर्न पाउने प्रबन्ध सरकारबाट हुनुपर्छ। अभिव्यक्ति स्वतन्त्रता रक्षाका साथै कुनै पनि नागरिकलाई सजिलै आक्षेप लगाउन सक्नेसम्बन्धी कानुन निरुत्साहित गर्नु उत्तिकै आवश्यक छ। सजायको हकमा जरिवानाको हद अत्यधिक बढाएर मात्र अपराध नियन्त्रण हुँदैन। यसका लागि आम सञ्चारमाध्यमको उचित प्रयोग गर्न जान्नुपर्छ। नागरिकमा चेतना बढाउन र समाजमा उत्पन्न उच्छृंखल गतिविधि हुन नदिन व्यक्ति, परिवार र समाजमा चेतनामूलक कार्यक्रम गर्नगराउन मिडियाको सही सदुपयोग गर्न जरुरी छ। सजायकारी प्रावधानले मात्र नागरिक अधिकारको संरक्षण र सम्बद्र्धन सम्भव छैन। संसारभर भएका गतिविधिबारे क्षणभरमै जानकारी पाउने काम मिडियाकै कारण सम्भव भएको हो। यस्तो अवस्थामा मिडिया र नागरिकमाथि नियन्त्रणकारी सोच र शैली पाच्य हुन सक्दैन। यस्ता संस्थाको सुझाव र सल्लाहले गलत कार्यशैलीको निगरानी मात्र गर्दैन, त्यसको न्यायिक उपचारबारे पनि सुझाउँछ। त्यसैले मिडिया विधेयकमा रहेका गलत प्रावधान हटाएर प्रेस तथा नागरिक स्वतन्त्रताको संरक्षण गरिनु वाञ्छनीय छ। प्रजातान्त्रिक आधारशीला निर्माणमा सरकारी कार्यशैलीको महत्त्वपूर्ण भूमिका हुन्छ। प्रजातान्त्रिक संस्थालाई नियन्त्रित होइन बलियो बनाउँदा सरकारलाई काम गर्न सहयोग पुग्छ। आलोचनाले सुध्रिने अवसर प्रदान गर्छ। तर यहाँ आलोचनालाई विरोधका रूपमा मात्र हेरिन्छ। त्यसो भनेर हरेक कामको आलोचना पनि सह्य हुँदैन। सरकारले गरेका राम्रा कामको प्रशंसा गर्न प्रतिपक्षी दल पनि चुक्नु हुँदैन। यहाँ त सरकार चलाउने दलकै सदस्य पनि सरकारप्रति प्रतिपक्षी दलभन्दा पनि बढी आलोचक देखिन्छन्। यस्तो आलोचनाको जवाफ आरोपप्रत्यारोपबाट नभई कामबाट दिन सक्नुपर्छ सरकारले पनि। माथि उल्लिखित सबै विषयमा सञ्चारमाध्यमको भूमिका प्रभावकारी रहन्छ। तर सञ्चारमाध्यममा पनि विकृति, विसंगति र उच्छृंखलतले प्रवेश पायो भने संविधानको प्रावधानअनुसारको नागरिक स्वतन्त्रता संरक्षण र सम्बद्र्धनमा कठिनाइ पर्नेछ। मिडियालाई जनमत सञ्चालन गर्ने संयन्त्रका रूपमा पनि हेरिन्छ। तसर्थ व्यक्ति, परिवार र समाजको सोच र उनीहरूको व्यावहारिक प्रवृत्तिमा बदलाव ल्याउने जिम्मेवारी मिडियाको पनि हुन्छ। राष्ट्रिय एकता र लोकतन्त्रउन्मुख स्वभावको विकास हुने गरी शैक्षिक र रचनात्मक कार्यक्रमद्वारा समाजमा चेतना फैलाउने काम मिडियाको पनि हो। मिडिया चुक्यो भने उसमाथि लगाइने अंकुशबारे बौद्धिक समुदाय पनि मौन बस्नुपर्ने अवस्था आउन दिनु हुँदैन। हो, कतिपय प्रिन्ट मिडिया र टेलिभिजनले राष्ट्रिय स्वाभिमान जोगाउन ठूलो भूमिका खेल्दै आएका छन्। देशमा प्रजातन्त्र बहालीमा तिनीहरूले बहुमूल्य योगदान गरेका छन्। तिनीहरूलाई कस्ने गरी ल्याइने कुनै पनि कानुन जनताद्वारै बहिष्कृत हुनेछन्। केही मिडियाका उच्छृंखल गतिविधि नियन्त्रण गर्न भन्दै सबैलाई एउटै घानमा हाल्ने काम गर्नु हुँदैन। लोकतन्त्र र नागरिक अधिकारको विपक्षमा सस्तो लोकप्रियताको पछाडि दौडिनेहरूको हितमा उपयोग हुने त्यस्ता मिडिया नियन्त्रित हुनैपर्छ, किनकि समाज भाड्ने काममा उपयोग हुँदा त्यसको सबैले समर्थन गर्न सक्दैन। मुलुकको सार्वभौमिकता र स्वतन्त्र अस्तित्वमा समेत विवादास्पद टीकाटिप्पणी गरी सरकार र आमजनतालाई अप्ठेरो र अन्योलमा राख्न खोज्ने मिडियाप्रति सचेतता अपनाउनुपर्छ। नजिकका मित्रराष्ट्रहरूको सम्बन्धमा धमिलोपन आउने र कतिपय विषयमा व्यक्तिविशेष र दलीय स्वार्थलाई पछार्ने कुरा लोकतन्त्र र राष्ट्रिय विकासका लागि सुहाउँदैन। राष्ट्रिय स्वाभिमान, संस्कृति र पहिचान झल्काउने विषयमा गलत टिप्पणी गर्नेगराउने काम मिडियाबाट हुनु हुँदैन। शैक्षिक क्षेत्र बराबर विवादमा परेको छ। स्वास्थ्यको क्षेत्रमा पनि आम जनता लुटिएका समाचार बारम्बार आइरहेका छन्। यस्ता गतिविधिमा सञ्चारमाध्यम उपयोग हुनु हुँदैन। जनतालाई सही सूचना प्रवाहित गर्ने जिम्मेवारी बोकेको मिडियाले व्यापारीको पृष्ठपोषण गर्ने काम गर्नु हुँदैन। यसप्रति प्रतिष्ठित सञ्चारमाध्यम सचेत र सजग हुन आवश्यक छ। व्यवस्था परिवर्तन मात्र समाज रूपान्तरणको माध्यम हुन सक्दैन। जनताका आवश्यकताका नाममा भनिएका परिवर्तन मुलुकको राजनीतिक, सामाजिक र आर्थिक विकासमा मेरुदण्ड बन्न सक्नुपर्छ। परिवर्तनका संवाहक मानिने राजनीतिक दलको अर्जुनदृष्टि मुलुकको दूरगामी भविष्यको निमित्त हुनुपथ्र्यो। तर यति बेला राजनीतिक दलमा विचलन मात्र आएको छैन व्यक्ति, परिवार र समाजमा बढ्दै गएको विकृतिले परिवर्तनलाई समेत चुनौती दिइरहेको छ। यही अवस्था विद्यमान रहे समाज विकासक्रम रोकिन सक्छ। त्यसको परिणाम हामीले सोचेभन्दा फरक हुनेछ, किनकि हामी ठूला शक्तिहरूको प्रयोगशालाको सिकार बन्ने लक्षण देखाइरहेका छौं। यो चुनौतीविरुद्ध लड्न र नेपाली समाजलाई पूर्वावस्थामा फर्काउन सबै दल एक ठाउँमा उभिनुपर्छ, भागबन्डाको राजनीतिमा मात्र होइन। मिलेर बसेको समाजलाई बेलाबेलामा फुटाउने कोसिस यसअघि नभएका होइनन्, यही गतिमा समाजमा उच्छृंखल गतिविधि बढ्दै गए भने त्यसको परिणाम हाम्रा विपक्षमा आउनेछ। राजनीतिक दलहरूका गतिविधिको निगरानी गर्ने काम मिडियाको हुन्छ। आमजनताले मिडियामार्फत सबै सूचना प्राप्त गर्ने भएकाले सत्यतथ्य र सही सूचना प्रवाह गर्ने मिडियालाई कस्ने विधेयक सच्याउन सरकार तयार हुनुपर्छ।"
त्रिकोणात्मक सिरिज : आज नेपाल र ओमान भिड्दै,"काठमाडौं : आईसीसी विश्व क्रिकेट लिग २ अन्तर्गत पहिलो नेपाल, ओमन र अमेरिकाबीचको त्रिकोणात्मक एकदिवसीय सिरिज बुधबारदेखि हुने भएको छ। त्रिवि मैदान कीर्तिपुरमा हुने सिरिजको पहिलो खेलमा नेपालले ओमानसँग प्रतिस्पर्धा गर्नेछ। सिरिजका लागि नेपाल क्रिकेट संघ (क्यान) ले यसअघि नै ज्ञानेन्द्र मल्लको कप्तानीमा १४ सदस्यीय खेलाडी टोलीको घोषणा गरिसकेको छ। नेपाली टोलीले अभ्यासलाई पनि तीव्र बनाएको छ। नेपाली टोलीले पुस २५ देखि पोखरा रंगशालामा अभ्यास गरेको थियो। अभ्यासका क्रममा नेपालले मलेसियासँग अभ्यास खेल पनि खेलेको थियो। सिरिज खेल्न अमेरिका र ओमन नेपाल आइसकेका छन्। अमेरिकी टोली दुई साता भारतमा तयार गरेर नेपाल आएको हो। माघ २९ गतेसम्म चल्न सिरिजमा २३ गते ओमन र अमेरिका, २५ गते नेपाल र अमेरिका, २६ गते नेपाल र ओमान, २८ गते अमेरिका र ओमन तथा २९ गते नेपाल र अमेरिकाबीच प्रतिस्पर्धा हुनेछ।"
नेपाल भर्सेस ओमान : नेपालको राम्रो सुरुआत,काठमाडौं : आईसीसी विश्व क्रिकेट लिग२ अन्तर्गत नेपाल र ओमानबीचको खेल अहिले त्रिवि क्रिकेट मैदान कीर्तिपुरमा जारी छ । नेपालले टस जितेर पहिले फिल्डिङ गरिरहेको छ। नेपालका लागि करण केसीले पहिलो विकेट लिएका छन् । उनले पहिलो ओभरको अन्तिम बलमा ओपनर जतिन्दर सिंहलाई बोल्ड आउट गरेका हुन् । ३ ओभरको खेल सकिँदा ओमानले १ विकेट गुमाएर ५ रन बनाएको छ ।
विश्व वरियतामा नेपाली महिला भलिबल ८७ औँ स्थानमा,"काठमाडौं : अन्तरराष्ट्रिय भलिबल महासङघ (एफआइभीबी)ले सार्वजनिक गरेको विश्व वरियतामा नेपालले ८७ औँ स्थान हासिल गरेको छ। विश्व भलिबलको सर्वोच्च निकाय एफआइभीबीले बुधबार सार्वजनिक गरेको बरियतामा नेपालको राष्ट्रिय महिला भलिबल टोलीले ८७ औँ स्थान हासिल गरेको हो। एफआइभीबीले अन्तरराष्ट्रिय सहभागिता र सफलताका आधारमा विश्व वरियता निर्धारण गर्दै आएको छ। वरियता क्रममा नेपालको ५७ अङ्क रहेको छ। त्यस्तै नेपाली महिला भलिबल टोलीले बङ्गलादेशमा यसै वर्ष सम्पन्न एभीसी सेन्ट्रल जोन महिला भलिबलको उपाधि हासिल गरेको थियो। त्यस्तै नेपालमा नै आयोजना भएको तेह्रौँ दक्षिण एशियाली खेलकूद (साग)मा नेपाली महिला टोलीले एतिहासिक रजत पदक हात पारेको थियो। त्यसैगरी वरियता क्रममा भारत ९७ अंकसहित ५४औँ स्थानमा छ। विश्व वरियताको शीर्ष स्थानमा भने चीन छ। ३९१ अङ्क जोड्दै चीन शीर्ष स्थानमा रहेको हो। ३८२ अङ्क रहेको अमेरिका दोस्रो तथा ३२८ अङक रहेको ब्राजिल तेस्रो स्थानमा छ। यस्तै इटाली चौथो, टर्की पाँचौँ, सर्विया छैटौँ जापान सातौँ, रसिया आठौँ, डोमिनिक गणतन्त्र नवौँ र दक्षिण कोरिया दशौँ स्थानमा छन्।"
गिरिजा प्रसाद कोइराला गोल्डकपको फाइनलमा सप्तरी,वीरगन्ज : प्रथम गिरिजाप्रसाद कोइराला गोल्डकप फुटबलको फाइनलमा सप्तरी पुगेको छ। वीरगञ्जमा जारी प्रदेश २ स्तरीय गोल्डकप फुटबल अन्तर्गत बुधबार भएको पहिलो सेमिफाइनल खेलमा महोत्तरीलाई २१ गोलले पराजित गर्दै सप्तरी फाइनलमा पुगेको हो। आदर्शनगर रंगशालामा भएको खेलको ३३ औं मिनेटमा सिराहाका खेलाडीले आफ्नै गोलपोष्टमा आत्मघाती गोल गरेका थिए। ३३ औं मिनेटमा पाएको कर्नरमा सप्तरीका प्रवीण चौधरीले प्रहार गरेको बल महोत्तरीका मन्जित आलेले रोक्न खोज्दा आफनै गोलपोष्टभित्र छिरेपछि सप्तरीले खेलमा १० को अग्रता लिएको थियो। तर पहिलो गोल भएको १ मिनेट नबित्दै ३४ औं मिनेटमा महोत्तरीका सोनाम आलेले गोल फर्काएर खेल ११ गोलको बराबरीमा पुर्याएका थिए। पहिलो हाफ ११ गोलको बराबरीमा सकिएको खेलको दोश्रो हाफमा सप्तरीले थप १ गोल गरेर नतिजा २१ ले आफनो हातमा पारेको हो। सप्तरीका लागि दोश्रो गोल खेलको ५८ औं मिनेटमा सुशील यादवले गरेका हुन्। महोत्तरीका लागि आत्मघाती गोल गरेका मन्जित भने इन्जुरी समयमा रातो कार्ड पाएर मैदानबाट बाहिरिएका थिए। जितसँगै फाइनलमा प्रवेश गरेको सप्तरीले उपाधिका लागि बिहीबार बारा र धनुषाबीच हुने दोश्रो सेमिफाइनल खेलको विजेता टिमसँग माघ २५ गते फाइनलमा प्रतिस्पर्धा गर्नेछ। गिरिजा प्रसाद कोइराला फाउण्डेशन पर्साले आयोजना गरेको प्रतियोगितामा प्रदेश २ का आठ वटै जिल्लाका जिल्ला फुटबल संघका टिम सहभागी थिए। माघ २५ गतेसम्म चल्ने प्रतियोगिताको उपाधि विजेता टिमले एक लाख ५१ हजार नगद र उपविजेता टिमले ७५ हजार रुपैयाँ नगदसहित कप प्रदान गरिने आयोजक गिरिजा प्रसाद कोइराला फाउण्डेशन पर्साका अध्यक्ष महम्मद शाहबद्धिनले जानकारी दिए।
करण केसीले दिलाए नेपाललाई दोस्रो सफलता,काठमाडौं : आईसीसी विश्व क्रिकेट लिग२ अन्तर्गत नेपाल र ओमानबीचको खेल अहिले त्रिवि क्रिकेट मैदान कीर्तिपुरमा जारी छ । नेपालले टस जितेर पहिले फिल्डिङ गरिरहेको छ। नेपालका लागि करण केसी दोस्रो विकेट लिएका छन् उनले पहिलो ओभरको अन्तिम बलमा ओपनर जतिन्दर सिंहलाई बोल्ड आउट गराएका करणले सातौं ओभरको चौथो बलमा खवार अलिलाई ब्याच आउट गराएका हुन्
सुशन भारीले तोडे ६० रनको साझेदारी,काठमाडौं : आईसीसी विश्व क्रिकेट लिग२ अन्तर्गत नेपाल र ओमानबीचको खेल अहिले त्रिवि क्रिकेट मैदान कीर्तिपुरमा जारी छ। नेपालले टस जितेर पहिले फिल्डिङ गरिरहेको छ।ओमानको लामो पार्टनरसिप सुशन भारीले तोडेका छन्। उनले व्यक्तिगत तेस्रो विकेट लिँदै ओमानको छैटौं विकेट झारेको हुन्। त्यसैगरी उप कप्तान दीपेन्द्रसिंह ऐरीले ४२औं ओभरमा अर्को विकेट लिए । २९औं ओभरमा उनले सन्दीप गौडलाई विनोद भण्डारीको हातबाट स्पटम्पिङ गराएका हुन्। उनले १९औं ओभरमा २ विकेट लिएका थिए। सुशन भारीले १९ओभरको चौथो र छैटौं बलमा विकेट लिएका थिए। करणले पहिलो ओभरको अन्तिम बलमा ओपनर जतिन्दर सिंहलाई बोल्ड आउट गराए थिए भने करणले सातौं ओभरको चौथो बलमा खवार अलिलाई क्याच आउट गराएका हुन्करण केसीले दुई विकेट लिएका हुन् । ओमानका एक व्याट्सम्यान रन आउट भएका छन्। तेस्रो विकेटका रुपमा १३औं ओभरमा अकिब इलयास रन आउट भएका हुन्। ओभरको खेल सकिँदा ओमानको स्कोर १२४ रन छ। ७ विकेट गुमेको छ। छैटौं विकेटका लागि गौड र मोहमद नादिमले ६० रनको साझेदारी गरे।
मध्यम बलिङ गरेका सन्दीपको आक्रामक ब्याटिङ,काठमाडौं : मध्यम बलिङ गरेका नेपाली लेग स्पीनर सन्दीपले आक्रामक ब्याटिङ गर्दै नेपालको इनिङ उकासेका छन्। त्रिवि क्रिकेट मैदान कीर्तिपुरमा बुधबार सुरु भएको आईसीसी क्रिकेट लिग२ को त्रिकोणात्मक सिरिजमा उनी २७ रन बनाएर खेलिरहेका छन्। नेपालको लगातार ७औँ विकेट गुमेपछि ९औं स्थानमा ब्याटिङ गर्न आएका सन्दीपले १९ बलमा १ छक्का र ३ चौका हिर्काएका छन्। नेपालको स्कोर १२४ हुँदा आएका उनले शरद भेषावकरसँग ३८ रनको साझेदारी बनाइसकेका छन्। १० ओभर बलिङ गरेका उनले ४५ रन खर्चिएका थिए। यस सिरिजमा लिने हरेक विकेटमा सगरमाथाको उचाई बराबर चितवनमा बन्दै गरेको क्रिकेट रंगशालालाई सहयोग गर्ने घोषणा गरेका उनले आज कुनै विकेट भने लिन सकेनन्।
अध्यक्ष कपमा राम्चेको बर्चश्व,"नारच्याङ (म्याग्दी) : बास्केटबल र प्रौढ भलिबलमा बिजयी ८ राम्चेले म्याग्दीको अन्नपूर्ण गाउँपालिकाले नारच्याङमा सञ्चालन गरेको अध्यक्ष कप खेलकुद प्रतियोगिताको उपाधिमा बर्चस्व जमाएको छ । प्रथम र द्वितीयलाई ७५ र ६० हजार रुपैयाँ पुरस्कार राशी भएको पुरुष बास्केटबल प्रतियोगितामा ४ नारच्याङलाई ७६ का विरुद्ध ७९ स्कोर गर्दै राम्चे प्रथम भएको हो । राम्चेलाई जिताउन बिमल पुनले २७ स्कोर गरेका थिए । बिजेतालाई ३५ र उपबिजेतालाई २५ हजार रुपैयाँ पुरस्कार राशी भएको प्रौढ भलिबलमा ७ हिस्तानलाई पराजित गर्दै राम्चे बिजयी भएको खेलकुद तथा सांस्कृतिक कार्यक्रम संयोजक ओम फगामीले जानकारी दिए । प्रथमलाई ७५ र दोस्रोलाई ६० हजार रुपैयाँ पुरस्कार रहेको पुरुष भलिबलमा ३ दानालाई एकका विरुद्ध तीन सेट आफ्नो पक्षमा पार्दै १ दोवा बिजयी भएको छ । वेष्ट अफ फाइभमा खेलाइएको पुरुष भलिबलको फाइनल रोमाञ्चक र प्रतिस्पर्धात्मक थियो । दोवाले पहिलो सेटमा २० का विरुद्ध २५, दोस्रोमा १९ का विरुद्ध २५ र चौथोमा २५ का विरुद्ध २७ अंकले पराजित गरेको थियो । तेस्रो सेटमा दानाले दोवालाई २४ का विरुद्ध २६ सेटले पराजित गरेको थियो । महिला भलिबलमा ४ नारच्याङ प्रथम र ३ दाना द्वितीयहुँदै साठी र चालीस हजार रुपैयाँ पुरस्कार प्राप्त गरेका छन् । यस्तै सामूहिक नृत्यमा बिजयी २ भुरुङतातोपानीले बीस हजार र २ दोवाले दश हजार रुपैयाँ पुरस्कार प्राप्त गरेका छन् । एकल नृत्यमा प्रथम भएकी शिखकी गिता तिलीजाले दश र नारच्याङकी सात्ना तिलिजाले छ हजार रुपैयाँ पुरस्कार प्राप्त गरिन् । नारच्याङदेखि अन्नपूर्ण प्रथम हिमालको आधार शिविर जोड्ने 'मौरिस हर्गोज ट्रेल' पदमार्ग सञ्चालन, खेल प्रतिभाको पहिचान, संस्कृतिको संरक्षण र पर्यटन प्रर्वद्धन गर्ने उद्देश्यले अन्नपूर्ण गाउँपालिकाले नेपाल भ्रमण वर्ष २०२० को अवसर पारेर पर्यटन महोत्सवसँगै अध्यक्ष खेलकुद प्रतियोगिता आयोजना गरेको थियो । माघ १६ देखि २१ गतेसम्म सञ्चालित महोत्सवमा अन्नपूर्ण आधार शिविरलगायत पर्यटकीय स्थलको वृत्तचित्र र तस्बिर प्रर्दशनी, कृषि, हस्तकला र घरेलु उद्योगका वस्तुको प्रर्दशनी गरिएको थियो । मगर, थकाली, क्षेत्री, दलित समुदायको मौलिक पहिचान झल्कने नृत्य र गीत प्रस्तुत भएको थियो । गाउँपालिकाले तयार पारेको मौरिस हर्गोज पदमार्गको नक्सा सार्वजनिक गरिएको थियो । आठ वर्षअघि विश्वकौ दसौं र नेपालको नवौं (आठ हजार ९१ मिटर) अग्लो अन्नपूर्ण हिमालको आधार शिविर जोड्ने सबैभन्दा छोटो पदमार्ग पहिचान भएको थियो । सन १९५० को जुन ३ मा फ्रान्सका मौरिस हार्गोजले पहिलो पटक अन्नपूर्ण हिमालको आरोहण गरेका थिए । महोत्सवको माध्यमबाट नारच्याङहुँदै अन्नपूर्ण आधार शिविर जाने छोटो र सजिलो पदमार्ग तयार भएको सन्देश फैलाउन सफल भएको गाउँपालिकाका अध्यक्ष डमबहादुर पुनले बताए ।"
ब्याटिङ नचल्दा नेपाल ओमानसँग १८ रनले पराजित,काठमाडौं : ब्याटिङ चल्न नसक्दा नेपालले ओमानसँग १८ रनको हार व्यहोरेको छ। त्रिवि क्रिकेट मैदान कीर्तिपुरमा बुधबार भएको त्रिकोणात्मक आईसीसी क्रिकेट लिग२ सिरिजको उद्घाटन खेलमा नेपाल पराजित भएको हो। सिरिजमा नेपालसहित अमेरिका र ओमान रहेका छन्। टस जितेर फिल्डिङ रोजेको नेपाललाई ओमानले १९८ रनको लक्ष्य दिएको थियो। लक्ष्य पछ्याउने क्रममा नेपाल ४६५ ओभरमा १७९ रनमै समेटियो। नेपालका प्रारम्भिक ब्याट्स्म्यान सस्तैमा समेटिएपछि लक्ष्य भेट्टाउन नसकेको हो। ओपनरद्वय कप्तान ज्ञानेन्द्र मल्ल र पारस खड्का लगातार आउट भएका थिए। नेपालका लागि भरोसा ठानिएका पारस ३ रनमै पेभिलियन फर्किए। त्यस्तै कप्तान ज्ञानेन्द्र १ रनमै आउट भए। नेपालका लागि तेस्रा क्रममा ब्याटिङ गर्न आएका शरद भेषावकरले सम्हालिएर खेल्दै अर्धशतक बनाए। उनले ५ चौकाको मद्दतमा ५५ रन बनाए। त्यस्तै उपकप्तान दीपेन्द्रसिंह ऐरीले २ छक्का र ५ चौकाको मद्दतमा ३६ रन जोडे। उनले शरदसँग ६२ रनको साझेदारी गरे। यसैगरी नेपालका लागि सन्दीप लामिछानेले आक्रामक ब्याटिङ गर्दै २७ बलमा २८ रन बनाए। उनले १ छक्का र ३ चौका हिर्काए। यसअघि ब्याटिङ गरेको ओमानले निर्धारित ५० ओभरमा ९ विकेट गुमाउँदै १९७ रन बनाएको थियो। ओमानका लागि उसका महम्मद नदीमले नटआउट ६९ रन जोडे। त्यस्तै सन्दीप गौडले ३३ तथा नसिम खुशीले २८ रन जोडे। नेपालका लागि करण केसीले ४ विकेट लिए। ९ ओभर बलिङ गरेका उनले ४७ रन खर्चिए। त्यस्तै एक दिवसीयमा डेब्यू गरेका सुशन भारीले ३ विकेट हात पारे।
