शीर्षक,विवरण
ओली सरकारले कार्यकर्ता पोस्न बनाएका भ्युटावरलगायतका योजना अन्त्य हुन्छन् : मन्त्री झाक्री,"धनकुटा : शहरी विकास मन्त्री रामकुमारी झाक्रीले ओली सरकारले घोषणा गरेका गरिब निमुखा जातिय बस्ती निर्माण गर्ने योजना अलपत्र अवस्थामा रहेको बताइन्। शनिबार धनकुटामा भएको पत्रकार सम्मेलनमा बोल्दै मन्त्री झाक्रीले आफूले प्रदेश१ का झापा, मोरङ, सुनसरी एवं मधेस प्रदेशका सिराहा सप्तरीमा करोडौं बजेट विनियोजन गरिएपनि कुनै एकिकृत बस्ती आफूले नभेटेको बताइन्। सन्थाल बस्ती होस् वा चौधरी बस्ती र मुसहर एकीकृत बस्तीमा कुनै काम नै हुन नसकेको मन्त्री झाक्रीले बताइन्। यी आयोजनामा भएको भ्रष्टाचारको खोजी गर्न अर्थ मन्त्रालयसँग समन्वय गरिसकेको बताइन्। उनले भनिन् नागरिक आवास र सुरक्षित आवासका सबै कार्यक्रम स्थानीय तहमार्फत समाग्री वा नगद दिएर यसै आर्थिक वर्षमा अन्त्य गर्छौं। शहरी विकास मन्त्रालयअन्तर्गत नागरिक आवास एवं जनता आवास कार्यक्रममा स्थानीय तहमार्फत करोडौं भष्ट्राचार भएको उनले दावी गरिन्। आफूले विभिन्न जिल्लामा अनुगमनकाक्रममा फुसको छाना हटाउने कार्यक्रम अन्तर्गत जस्तापाता आफैं खरिद गरेर करोडौं रकम हिनामिना गरेको उनको आरोप छ। मन्त्री झाँक्रीले यस आर्थिक वर्षबाट सुरक्षित आवास र जनता आवासका कार्यक्रम सबै समाप्त गरी नयाँ कार्यक्रम बनाउने रणनीतिक योजना बनाउन सुरु भएको उनले बताइन। ओली सरकारले उद्घाटन गरेका महत्वकांक्षी र अनुत्पादक योजना जताततै सामुदायिक भवन, जथाभावि सडक र डाँडाडाँडामा भ्युटावरलगायतक कार्यकर्ता पोस्न बनाइएका योजना सबै यसैवर्ष अन्त्य गरिने मन्त्री झाँक्रिले बताइन्। ओली सरकारको पालामा रणनीतिक सडक भनेर ३ सय वटा सडक बालुवाटारबाट उद्घाटन भए तर ती सडक कहाँदेखि कहाँसम्म थियो र कुन पैँसाले संचालन गर्ने भन्ने स्रोत नभएको उनले बताइन्। एकीकृत समाजवादीकी केन्द्रीय सचिवसमेत रहेकी मन्त्री झाक्रीले फरक प्रसंगमा अहिलेको गठबन्धन आउँदो संघीय निर्वाचनसम्म हुने बताएकी छिन्। शनिबार दिउँसो धनकुटामा आयोजित पत्रकार सम्मेलनमा बोल्दै अहिलेको गठबन्धन स्थानीय तहको निर्वाचनमा मात्रै होइन आउँदो प्रदेश र संघीय निर्वाचनसम्म हुने र त्यसपछि पनि गठबन्धनकै सरकार हुने उनले दावी गरिन्।"
जितपुरसिमरा गोल्डकप : एपीएफ र एनआरटी भिड्दै,सिमरा : विभागीय टिम नेपाल एपीएफ क्लब र न्युरोड टिम (एनआरटी) जगदम्बा १२औं जितपुरसिमरा गोल्डकपको उपाधिका लागि शनिबार प्रतिस्पर्धा गर्दैछन्। सिमरा रंगशालामा हुने यी दुई टिमबीचको भिडन्त निकै रोमाञ्चक अनि प्रतिस्पर्धात्मक हुने अपेक्षा गरिएको छ। मोफसलको प्रतिष्ठित फुटबल प्रतियोगितामध्येको एक जितपुरसिमरा गोल्डकपको अन्तिम भिडन्त दुवै टिमका लागि निकै महत्त्वपूर्ण छ। दुवै टिम यो टाइटल जितेर ऊर्जाका साथ सिमराबाट फर्कन चाहन्छन्। जितपुरसिमरा गोल्डकपको टाइटल एपीएफ जिते चालू सिजनमा उसका लागि यो दोस्रो उपाधि हुनेछ भने एनआरटीले पहिलो उपाधि उचाल्नेछ। माघमा सम्पन्न आहा रारा गोल्डकपको २० औं संस्करणको उपाधि जितेको एपीएफका लागि त्यसयता भाग लिएका दुई प्रतियोगिता सुखद रहन सकेनन्। झापा र बागमती गोल्डकपमा पहिलो खेलबाटै एपीएफ घर फर्कियो। बागमती गोल्डकप सकेर सिमरा आएको एपीएफले यस प्रतियोगितामा भने उत्कृष्ट खेल प्रदर्शन गर्दै फाइनलको यात्रा तय गर्यो। पहिलो खेलमा हिमालयन शेर्पालाई ३२ ले पराजित गरेको एपीएफले दोस्रो खेलमा बागमतीलाई ४१ ले पन्छायो। दुई महत्त्वपूर्ण जित हात पार्दै एपीएफ दोस्रो पटक जितपुरसिमरा गोल्डकपको फाइनलमा प्रवेश गरेको हो। यसअघि दोस्रो संस्करणमा फाइनलमा प्रवेश गरेको एपीएफ शेर्पासँग पराजित हुँदै उपविजेता बनेको थियो। यसपटक शेर्पामाथि जित हात पार्दै प्रतियोगितामा विजयी सुरुवात गरेको एपीएफका लागि अन्तिम भिडन्त अर्को कारणले पनि महत्त्व राख्छ। जितपुरसिमरा गोल्डकपको १२औं संस्करणमध्ये ११ वटा संस्करणमा सहभागी एपीएफले उपाधि जित्न सकेको छैन। त्यसैले पनि यसपटक एनआरटीमाथि जित हात पार्दै एपीएफले जितपुरसिमरा गोल्डकपको टाइटल विजेताको सूचीमा आफूलाई उभ्याउन चाहन्छ। यता दोस्रो पटककै सहभागितामा फाइनल प्रवेश गरेको टोली हो एनआरटी। उसका लागि पनि यो उपाधि महत्त्वपूर्ण छ। जारी सिजनमा मोफसलका प्रतियोगितामा राम्रो नतिजा ल्याउन नसकेको एनआरटीका लागि विभागीय टोलीसँगको भेट निकै चुनौतीपूर्ण हुनेछ। सुदूरपश्चिम गोल्डकप र बागमती गोल्डकपमा सहभागी हुँदै एनआरटी सिमरा आइपुगेको हो। दुईवटै प्रतियोगितामा एनआरटीले बागमतीसँग पराजय भोगेको थियो। यस प्रतियोगितामा भने यसअघिका बिजेतालाई पन्छाउँदै एनआरटीले फाइनलको यात्रा तय गरेको हो। पहिलो खेलमा विजय युथ क्लब र दोस्रो खेलमा आयोजक नवजनजागृतिलाई पराजित गर्दै एनआरटीले उपाधि होडमा आफूलाई उभ्याएको हो। विजय युथ र जनजागृतिले जितपुरसिमरा गोल्डकपको उपाधि उचालिसकेका छन्। दुवै पूर्वविजेतालाई पराजित गरेको एनआरटी अन्तिम भिडन्तका लागि पूर्णरूपमा तयार देखिन्छ। एनआरटीका प्रशिक्षक राजुकाजी शाक्य यसपटक आफ्नो टिमले उपाधि जितेर गोल्डकपको विजेतामा नाम लेखाउने बताए। जारी सिजनमा टिमको नतिजा सन्तोषजक नभएकाले पनि यो गोल्डकपको उपाधि टिम र एनआरटीका प्रशंसकका लागि महत्त्वपूर्ण रहेको शाक्यले बताए। हाम्रा लागि यो उपाधिले निकै महत्त्व राख्छ। हामी यो उपाधि जितेर सबैलाई खुसी बनाउन चाहन्छौं शाक्यले भने।
मलेसियाविरुद्ध नेपालको शानदार जित,"काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत नेपालले लगातार चौथो जित निकालेको छ। टस हारेर ब्याटिंङ् गरेको नेपालले दिपेन्द्रसिंह ऐरीको शतकिय पालिमा मलेसियालाई २२४ रनको लक्ष्य दिएको छ। निर्धारित २० ओभरमा ५ विकेट गुमाउँदै २२३ रन जोडेको थियो। नेपालले दिएको लक्ष्य पछ्याउने क्रममा मलेसिया १९५ ओभरमा अल आउट हुँदै १३८ रनमा अल आउट भयो। मलेसिया नेपालसँग १ बल बाँकी छँदै ८५ रनले पराजित भएको हो। नेपालका लागि सन्दिप लामिछानेले ३ विकेट लिए। यस्तै कमलसिंह ऐरी र दिपेन्द्रसिंह ऐरीले समान २।२ विकेट लिए। नेपालका लागि ब्याट्सम्यान दीपेन्द्रसिंह ऐरी ५७ बलको सामना गर्दै ११० रन जोडे यस्तै रोहित पौडेलले ३४ बलको सामना गर्दै ५१ रन जोडे। त्यस्तै कुशल भुर्तेल १२ रन, आशिफ शेख १८ रन र मोहम्मद आदिल अलामले १४ रन जोडेका थिए। नेपाल यसअघि नै फाइनलमा प्रवेश गरेको छ। नेपालसँग मलेसिया पराजित भएसँगै कुल रनरेटको आधारमा पपुवा न्युगिनी फाइनल प्रवेश गरेको छ। फाइनल खेल सोमबार त्रिवि क्रिकेटमा हुनेछ।"
मलेसियाको चौथो विकेट पतन,काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत नेपालसँग खेलिरहेको मलेसियाको चौथो विकेट पनि पतन भएको छ। मलेसियाका लागि ब्याट्सम्यान मुनीआडी शर्वेन ४५ रनमा आउट भएका हुन्। उनी अविनाश आवहराको बलमा रन आउट गरेका हुन्। मलेसिया ताजा अवस्थामा १०५ ओभर खेल्दै ८६ रनमा रहेको छ। टस हारेर ब्याटिंङ् गरेको नेपालले दिपेन्द्रसिंह ऐरीको शतकिय पालिमा मलेसियालाई २२४ रनको लक्ष्य दिएको छ। नेपाल यसअघि नै फाइनलमा प्रवेश गरेको छ। आजको खेल मलेसियाले जिते मलेसिया फाइनल प्रवेश गर्नेछ भने नेपालसँग पराजित भए रनरेटको आधारमा पपुवा न्युगिनी फाइनल प्रवेश गर्नेछ।
नेपाललाई दोस्रो झट्का,काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत आज मलेसियासँग टस हारेर ब्याटिंङ् गरिरहेको नेपालललाई दोस्रो झट्का लागेको छ। नेपालका ब्याट्सम्यान आशिफ शेख १८ रनमा आउट भएका हुन्। यसअघि कुशल भुर्तेल १२ रनमा आउट भएका हुन्। नेपाल ताजा अवस्थामा ३२ ओभरमा २६ रनमा रहेको छ।
१८ रनमा मलेसियालाई पहिलो झट्का,काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत नेपालसँग खेलिरहेको मलेसियालाई पहिलो झट्का लागेको छ। मलेसियाका लागि ब्याट्सम्यान जुबैडी जुल्केफेली शून्य रनमा आउट भएका हुन्। उनलाई नेपाली बलर कमलसिंह ऐरी आउट गरेका हुन्। मलेसिया ताजा अवस्थामा ०६ ओभर खेल्दै १८ रनमा रहेको छ। टस हारेर ब्याटिंङ् गरेको नेपालले दिपेन्द्रसिंह ऐरीको शतकिय पालिमा मलेसियालाई २२४ रनको लक्ष्य दिएको छ। नेपाल यसअघि नै फाइनलमा प्रवेश गरेको छ। आजको खेल मलेसियाले जिते मलेसिया फाइनल प्रवेश गर्नेछ भने नेपालसँग पराजित भए रनरेटको आधारमा पपुवा न्युगिनी फाइनल प्रवेश गर्नेछ।
२७ रनमा नेपालको पहिलो विकेट पतन,काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत आज मलेसियासँग टस हारेर ब्याटिंङ् गरिरहेको नेपालको प्रथम विकेट पतन भएको छ। नेपालका ब्याट्सम्यान कुशल भुर्तेल १२ रनमा आउट भएका हुन्। नेपाल ताजा अवस्थामा २२ ओभरमा २७ रनमा रहेको छ।
मलेसियाको दोस्रो विकेट पतन,काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत नेपालसँग खेलिरहेको मलेसियाको दोस्रो विकेट पनि पतन भएको छ। मलेसियाका लागि ब्याट्सम्यान विरन्दिप सिंह ४५ रनमा आउट भएका हुन्। उनी कमलसिंह ऐरीको बलमा आशिफ शेखले क्याच आउट गरेका हुन्। मलेसिया ताजा अवस्थामा ५४ ओभर खेल्दै ५५ रनमा रहेको छ। टस हारेर ब्याटिंङ् गरेको नेपालले दिपेन्द्रसिंह ऐरीको शतकिय पालिमा मलेसियालाई २२४ रनको लक्ष्य दिएको छ। नेपाल यसअघि नै फाइनलमा प्रवेश गरेको छ। आजको खेल मलेसियाले जिते मलेसिया फाइनल प्रवेश गर्नेछ भने नेपालसँग पराजित भए रनरेटको आधारमा पपुवा न्युगिनी फाइनल प्रवेश गर्नेछ।
नेपालको तेस्रो विकेट पतन,काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत आज मलेसियासँग टस हारेर ब्याटिंङ् गरिरहेको नेपाललको तस्रो विकेट पतन भएको छ। नेपालका ब्याट्सम्यान रोहित पौडेल ५१ रनमा आउट भएका हुन्। यसअघि कुशल भुर्तेल १२ रन र आशिफ शेख १८ रनमा आउट भएका हुन्। नेपाल ताजा अवस्थामा १३३ ओभरमा १३२ रनमा रहेको छ। नेपाल यसअघि नै फाइनलमा प्रवेश गरेको छ। आजको खेल मलेसियाले जिते मलेसिया फाइनल प्रवेश गर्नेछ भने नेपालसँग पराजित भए रनरेटको आधारमा पपुवा न्युगिनी फाइनल प्रवेश गर्नेछ।
नेपाललाई चौथो झट्का,"काठमाडौं : त्रिकोणात्मक टी२० सिरिज अन्तर्गत आज मलेसियासँग टस हारेर ब्याटिंङ् गरिरहेको नेपालललाई चौथो झट्का लागेको छ। नेपालका ब्याट्सम्यान आरिफ शेख २ रनमा आउट भएका हुन्। यसअघि कुशल भुर्तेल १२ रन, आशिफ शेख १८ रन र रोहित पौडेल ५१मा आउट भएका हुन्। नेपाल ताजा अवस्थामा १६२ ओभरमा १६४ रनमा रहेको छ। नेपाल यसअघि नै फाइनलमा प्रवेश गरेको छ। आजको खेल मलेसियाले जिते मलेसिया फाइनल प्रवेश गर्नेछ भने नेपालसँग पराजित भए रनरेटको आधारमा पपुवा न्युगिनी फाइनल प्रवेश गर्नेछ।"
