शीर्षक,विवरण
एकैदिन दुई लाख ५५ हजार नागरिकले लगाए कोरोनाविरुद्धको खोप,काठमाडौं : नेपालमा एकैदिन दुई लाख ५५ हजार नागरिकले कोरोनाविरुद्ध खोप लगाएका छन्। स्वास्थ्य मन्त्रालयका अनुसार पछिल्लो २४ घण्टामा २ लाख ५५ हजार ४५८ जनाले कोरोनाविरुद्ध खोप लगाएका हुन्। हालसम्म २ करोड ३० लाख ९५ हजार ६४७ मात्रा कोरोनाविरुद्धको खोप लगाइसकिएको छ। जसमध्ये ९९ लाख ८५ हजार ५६८ जनाले पूर्ण मात्रा र १ करोड ३१ लाख १० हजार ७९ जनाले कम्तीमा एक मात्रा खोप लगाएको स्वास्थ्य मन्त्रालयले जनाएको छ।
उद्यमशीलता बढाउन जोड,"काठमाडौं : बागमती प्रदेशका खानेपानी, उर्जा तथा सिंचाइ मन्त्री बसन्त मानन्धरले सहकारीमार्फत उत्पादनमा जान जोड दिएका छन्। शुक्रपथ बहुउद्देश्यीय सहकारी संस्थाको ११ औं वार्षिक साधारणसभाका अवसरमा बोल्दै मन्त्री मानन्धरले कृषिमा यान्त्रीकरण भित्र्याएर उद्यमशीलता बढाउन जोड दिए। कृषि उत्पादन बढाउन प्रदेश सरकारले सिंचाइ व्यवस्था गर्न लागेको उनले बताए। सहकारीमार्फत रोजगारी सिर्जना र उत्पादन बढाउन जोड दिनुपर्ने उनको भनाइ छ। राष्ट्रिय सहकारी महासंघका सञ्चालक टेकप्रसाद चौलागाईंले सहकारीलाई उत्पादनमा जान ४७ वटा ऐन बाधक रहेको बताए। सहकारीले विद्युत उत्पादन गर्न, स्कुल सञ्चालन गर्न चाहन्छ, उनले भने,तर ऐनले सहकारी नचिन्दा काम गर्न गाह्रो छ। सहकारीमा लागेर सदस्यको आर्थिक उन्नती कति भयो भन्ने विषय मुख्य रहेको उनले बताए। सिभिल सहकारी जोगाउन प्रयास गरिए त्यसको नेतृत्वसँग बारम्बार छलफल गर्दा पनि गम्भीर नभएको बताए। निदाएको अभिनय गर्नेलाई उठाउन सकिंदैन, उनले भने। संस्थाबारे सदस्यले बारम्बार जानकारी लिने गरेमा सहकारी समस्या नपर्ने उनले बताए। काठमाडौं महानगरपालिका वडा नम्बर १४ का अध्यक्ष शोभा सापकोटाले २ वटा सहकारीको बदमासीले सिंगो सहकारी बदनाम हुन नहुने बताइन्। पलायन भइरहेका दक्ष जनशक्तिलाई सहकारीले रोक्नुपर्छ, उनले भनिन्। राष्ट्रिय सहकारी बैंकका सञ्चालक तथा काठमाडौं जिल्ला सहकारी संघका अध्यक्ष ज्ञानबहादुर तामाङले सहकारीले रोजगारी र उद्यमशीलतामा जोड दिनुपर्ने बताए। केन्द्रीय बहुउद्देश्यीय सहकारी संघका महासचिव माधव तिमल्सिनाले बहुउद्देश्यीय सहकारीले बहुआयामिक परियोजना सञ्चालन गर्नुपर्ने बताए। सहकारी ऐनमा कुन पुँजीबाट ७०३० को कारोबार गर्ने भन्ने स्पष्ट व्यवस्था नभएकाले सहकारीले काम गर्न नसकेको उनले बताए।"
राष्ट्रिय सम्मेलनलाई महाधिवेशनमा रुपान्तरण गर्ने माओवादीको निर्णय,काठमाडौं: नेकपा माओवादी केन्द्रले आइतबारदेखि सुरु हुने राष्ट्रिय सम्मेलनलाई महाधिवेशनमा रुपान्तरण गर्ने निर्णय गरेको छ। शनिबार बसेको स्थायी कमिटी बैठकले यस्तो निर्णय गरेको हो। पार्टी प्रवक्ता कृष्णवहादुर महराले राष्ट्रिय सम्मेलनप्रति आकर्षण बढेकाले यसलाई महाधिवेशनमा परिणत गर्ने निर्णय भएको बताए। ९ महिनापछि महाधिवेशन गर्नैपर्ने भएकाले यो राष्ट्रिय सम्मेलनलाई नै महाधिवेशनमा परिणत गर्ने निर्णय भएको एक नेताले जानकारी दिए। राष्ट्रिषय सम्मेलन सुरु हुनुअघि पार्टीको केन्द्रीय कार्यसमिति बैठक बस्दै छ। बैठकले यसबारे औपचारिक निर्णय गर्ने ती नेताले बताए।
पीटीआई नेताको गोली हानी हत्या,इस्लामाबाद: पाकिस्तान तेहरेकएइन्साफ (पीटीआई)का स्थानीय नेतालाई पञ्जाब प्रान्तको कराची शहरमा शुक्रबार अज्ञात सशस्त्र मानिसहरूको एक जत्थाले गोली हानी हत्या गरेको द न्युज इन्टरनेशनलले लेखेको छ। घटना दिउँसोको समयमा भएको बताइएको छ। उक्त घटनामा पीटीआई नेताको मृत्यु भएको र थप एक जना सख्त घाइते भएका बताइएको छ। रिपोर्टअनुसार क्यदाबाद क्षेत्रको मुर्गीखाना बिसौनी नजिकै एक विवादित जमिनका बिषयलाई लिएर उनको हत्या गरिएको स्थानीय सञ्चारमाध्यमहरूले जनाएका छन्। घटनामा सम्लग्न व्यक्तिहरू आक्रमणपछि भागेको र प्रहरीले उनीहरूको खोजी गरिरहेको जनाएको छ। आक्रमणमा घाइते भएका पीडितहरूलाई नजिकैको अस्पतालमा लगी उपचार भइरहेको छ। पीटीआई नेता गैरकानुनीरूपमा ओगटिएको जग्गाका विषयमा स्थानीय अदालतमा सुनुवाइपछि घर फर्कंदै गर्दा उनीमाथि आक्रमण भएको हो। पीटीआई नेतृत्वले घटनाको निन्दा गर्दै दोषीलाई तत्काल पक्राउ गर्न माग गरेको छ। घटनाबारे थप जानकारी विस्तृत अनुसन्धानपछि मात्र दिन सकिने प्रहरीले बताएको छ।
मोडर्ना खोप लगाउन सुरु,"म्याग्दी: म्याग्दीका १२ देखि १८ वर्षमुनिका किशोरकिशोरीलाई कोरोना भाइरसविरुद्धको मोडर्ना खोप लगाउन सुरु गरिएको छ। पुस १४ गतेसम्म छ वटा स्थानीय तहका १२ हजार ६८६ किशोरकिशोरीलाई मोडर्ना खोप लगाउने लक्ष्य राखिएको स्वास्थ्य कार्यालय म्याग्दीले जनाएको छ। कार्यालयका निमित्त प्रमुख एकनारायण लम्सालले अधिकांश विद्यार्थी भएकाले उनीहरुलाई विद्यालय र स्थानीय स्वास्थ्य संस्थासँग समन्वय गरी खोप लगाउन थालिएको जानकारी दिए। अभियान सुरु गर्नुअघि कार्यालय, स्थानीय तहका स्वास्थ्य शाखा र चौकीहरूले मोडर्ना खोप लगाउने लक्षित समुदायको तथ्याङ्क सङ्कलन गरेका थिए। बेनी नगरपालिकाका पाँच हजार ५३२, मालिकाका दुई हजार २८, धवलागिरिका एक हजार ४६५, मङ्गलाका एक हजार ४४५, रघुगङ्गाका एक हजार ११४ र अन्नपूर्णका एक हजार १०२ जनालाई मोडर्ना खोप लगाउने लक्ष्य छ। खोप लगाउनका लागि ८६ खोप केन्द्र कायम गरिएको छ । एक हजार ३०४ भाइल भ्याक्सिन आएको छ। धवलागिरि, मालिका, मङ्गला गाउँपालिका र बेनी नगरपालिकामा पुस ९ देखि १४ र बेनी नगरपालिका, रघुगङ्गा र अन्नपूर्ण गाउँपालिकामा पुस ११ देखि १४ गतेसम्म खोप लगाउने समयतालिका बनाइएको छ। म्याग्दीका ३९ हजार ३९९ जनाले कोरोनाविरुद्धको पूर्ण खोप लगाएका छन्। थप १० हजार १७८ जनाले पहिलो डोज खोप लगाएका छन्। पूर्ण डोज खोपमा कोभिशिल्ड, भेरोसेल र एक डोज मात्र लगाउने जोन्सन एण्ड जोन्सनसमेतका खोप समावेश छन्। लक्षित ७२ हजार ९७३ जनसङ्ख्यामध्ये २३ हजार ३९६ अर्थात् ३२ प्रतिशतले अझै कोरोनाविरुद्धको खोप पाएका छैनन्।"
"मौसम फेरबदल भइरहेको छ, चिसो अझै बढ्न सक्ने : मौसमविद्","काठमाडौं : पछिल्ला दिनमा काठमाडौं उपत्यकासहित देशैभर चिसो बढिरहेको छ । दिउँसो मधुरो घाम लागे पनि अधिकतम र न्यूनतम तापक्रममा फेरबदल भइरहेकाले चिसो अझै बढ्नसक्ने विज्ञले औँल्याएका छन् । गत एक सातामा न्यूनतम तापक्रम घटे पनि घाम लागेकाले तुलनात्मकरुपमा कम चिसो महशुस हुँदा दुई दिनयता राजधानीसहित देशभर बढी चिसो महशुस गरिएको छ । मौसम पूर्वानुमान महाशाखाको विवरणमा एकसाताको अवधिमा न्यूनतम दुईदेखि चार डिग्री र अधिकतम तापक्रम १६, १८ तथा २० हाराहारी थियो । आज काठमाडौंको न्यूनतम चार दशमलव चार र अधिकतम १८ डिग्री सेल्सियस रहेको छ । अबका दिनमा मौसम फेरबदल भइरहने छ । अझै चिसो बढ्ने सम्भावना रहेकाले आवश्यक सतर्कता अपनाउन मौसमविद् शान्ति कँडेलले आग्रह गरिन् । 'अबका दिनमा मौसम फेरबदल भइरहन्छ, हल्का वर्षा र हिमपातको सम्भावना रहन्छ,' उनले भनिन्, 'अधिकतम तापक्रम एकरदुई डिग्री सेल्सियस बढे पनि न्यूनतम तापक्रम घट्ने र बदलीसँगै घाम कमजोर हुने हुनाले चिसो क्रमशः बढ्ने देखिन्छ, तापक्रम माइनस पुग्छ पुग्दैन अहिले भनिहाल्ने अवस्था छैन ।' कँडेलका अनुसार अहिले नेपालमा उल्लेखनीय मौसमी प्रणाली छैन । तथापी पश्चिमी वायुको सामान्य प्रभाव रहेको उनले बताइन् । उनका अनुसार अहिले देशभर आंशिकदेखि सामान्य बदली रहेको छ । उच्च पहाडी भेगमा हल्का हिमपात र एकरदुई स्थानमा हल्का वर्षाको सम्भावना छ । मौसम पूर्वानुमान महाशाखाले तीन दिनको मौसम पूर्वानुमान गर्ने गरेको छ । महाशाखाको विवरणमा पहाडी भूभागमा आंशिकदेखि सामान्य बदली रही बाँकी भूभागमा सामान्यतया मौसम सफा रहेको छ । प्रदेश नं १ र बागमती प्रदेशको पहाडी भूभागका एकरदुई स्थानमा हल्का वर्षाको सम्भावना छ । देशका उच्च पहाडी तथा हिमाली क्षेत्रका थोरै स्थानमा हल्का हिमपातको सम्भावना छ । यस्तै सुदूरपश्चिम प्रदेश तथा अन्य प्रदेशका पहाडी भूभागमा आंशिकदेखि सामान्य बदली रही बाँकी भूभागमा सामान्यतया मौसम सफा रहनेछ । देशका उच्च पहाडी र हिमाली क्षेत्रका थोरै स्थानमा हल्का हिमपातको सम्भावना छ । महाशाखाले तराईका भूभागमा बिहानको समयमा बाक्लो हुस्सु तथा कुहिरो लागुका साथै देशभर चिसो बढ्ने क्रममा रहेकाले चिसोबाट बच्न आवश्यक सुरक्षारसतर्कता अपनाउनसमेत अनुरोध गरेको छ ।"
"सुनिल बलको गोलले मनाङ स्तब्ध, मछिन्द्र शीर्ष स्थान उक्लियो",काठमाडौं: शीर्षस्थानमा रहेको मनाङ मर्स्याङ्दी क्लबलाई पराजित गर्दै मछिन्द्र फुटबल क्लब सहिद स्मारक ए डिभिजन लिगको शीर्षस्थानमा उक्लिएको छ। शनिबार भएको खेलमा मनाङ मर्स्याङ्दी क्लबलाई १० गोल अन्तरले हराउँदै मछिन्द्र शीर्ष स्थानमा उक्लिएको हो। दशरथ रंगशालामा भएको रोमान्चक खेलमा मछिन्द्रलाई जित दिलाउन सुनिल बलले निर्णायक गोल गरे। सुनिलले खेलको इन्जुरी समयमा फ्रिकिकबाट सुन्दर गोल गर्दै मछिन्द्रलाई महत्वपूर्ण ३ अंक दिलाएका हुन्। जितसँगै मछिन्द्रले ६ खेलमा १४ अंक जोडेको छ भने मछिन्द्र मनाङभन्दा एक अंकले अघि रहेको छ। दोस्रो स्थानमा झरेको मनाङले ५ खेलमा १३ अंक जोडेको छ।
आइतबार माओवादी केन्द्रको केन्द्रीय समिति बैठक बस्ने,काठमाडौं: नेकपा (माओवादी केन्द्र)को केन्द्रीय समितिको बैठक भोलि बस्ने भएको छ। आइतबार बिहान ८ बजे पार्टी केन्द्रीय कार्यालयमा केन्द्रीय समितिको बैठक बस्ने प्रवक्ता कृष्णबहादुर महराले जानकारी दिए। आइतबारदेखि माओवादीको प्रथम राष्ट्रिय सम्मेलन हुँदैछ। सम्मेलन राजधानीको कमलादीस्थित नेपाल प्रज्ञा प्रतिष्ठानमा हुनेछ। प्रवक्ता महराले आइतबार अपराह्न १ बजे सम्मेलन सुरु हुने जानकारी दिए। सम्मेलनको तयारीस्वरुप आज अपराह्न बसेको स्थायी समिति बैठकमा सहभागी हुने प्रतिनिधिका सम्बन्धमा छलफल भएको उनले बताए।
लागूऔषधसहित देशभरका विभिन्न ठाउँबाट ६ जना पक्राउ,"काठमाडौं : प्रहरीले लागूऔषधसहित देशभरका विभिन्न ठाउँबाट ६ जना पक्राउ गरेका छ । यसरी पक्राउ पर्नेमा सोलखुम्बु जिल्ला नागार्जुन नगरपालिका१० स्युचाटारका १८ वर्षीय किशोरलाई करिब ४ सय ग्राम अवैध लागूऔषध पोल्याण्ड जस्तो देखिने वस्तु र १ सय २० पिस नाइट्राभेट ट्याब्लेट सहित शुक्रबार राति प्रहरीले पक्राउ गरेको छ । यस्तै झापाको दमक नगरपालिका१ वरगाछीस्थित रतुवा खोलाको बगरबाट करिब ८ केजी १ सय ६० ग्राम अवैध लागूऔषध गाँजा सहित ईलाम माङसेवुङ गाउँपालिका६का४६ वर्षीय विर कुमार राईलाई शनिबार बिहान पक्राउ गरेको प्रहरीले जनाएको छ । कास्कीको पोखरा महानगरपालिका३२ सातमुहानेबाट करिब १ केजी २ सय ३० ग्राम अवैध लागूऔषध चरेस जस्तो देखिने पदार्थसहित २ जनालाई पनि शुक्रबार दिउँसो प्रहरीले पक्राउ गरेको छ । पक्राउ पर्नेहरूमा सोही ठाउँ डेरा गरी बस्ने रुकुम भुमे गाउँपालिका२ घर भएकी ५६ वर्षीया कुमारी बुढा मगर र पोखरा महानगरपालिका३२ खुदिखोला बस्ने २९ वर्षीय बिकास थापा रहेका छन् । जिल्ला प्रहरी कार्यालय कास्कीबाट खटिएको प्रहरी टोलीले उनीहरूलाई लागूऔषध सहित पक्राउ गरेको हो । यस्तै सप्तरी, हनुमाननगर कंकालिनी नगरपालिका१ बाट करिब ८ ग्राम ५ सय ५० मिलिग्राम खैरो हेरोइन जस्तो देखिने पदार्थ सहित २ जनालाई शुक्रबार दिउँसो प्रहरीले पक्राउ गरेको छ । पक्राउ पर्नेहरूमा सिरहा लक्ष्मीपुर पतारी गाउँपालिका३ महेशपुर २८ वर्षीय प्रमान्नद साह र सिरहा धनगढीमाई नगरपालिका११ शान्तिपुर बस्ने २८ वर्षीय दिपेन्द्र कुमार महतो रहेको प्रहरीले बताएको छ ।"
"मोटरसाइकल दुर्घटनामा एकको मृत्यु, दुई जना घाइते",झापा: कचनकवल गाउँपालिका२ स्थित सडकखण्डमा भएको सवारी दुर्घटनामा परी आज एक जनाको मृत्यु भएको छ भने दुई घाइते भएको प्रहरीले जनाएको छ। मृत्यु हुनेमा सो पालिका वडा नम्बर ४ का ४० वर्षीय शेषलाल राजवंशी रहेका छन् भने घाइते हुनेमा सोही वडाका २७ वर्षीय शिवलाल माझी र ४४ वर्षीय सजन राजवंशी रहेका छन्। घाइते दुवैको ओमसाई पाथीभरा अस्पताल भद्रपुरमा उपचार भइरहेको छ। मे४प ९५०० नम्बर र डब्जु वी ७४ पी ९७१७ नम्बरको मोटरसाइकल एकापसमा जुध्दा सो दुर्घटना भएको थियो। घटनाबारे जिल्ला प्रहरी कार्यालयले अनुसन्धान गरिरहेको जनाएको छ। त्यसैगरी दमक नगरपालिका१ स्थित रतुवा खोलाको बगरबाट आठ केजी गाँजासहित एक व्यक्तिलाई आजै प्रहरीले पक्राउ गरेको छ। पक्राउ पर्नेमा इलाम माङसेबुङ गाउँपालिका६ का ४६ वर्षीय वीरकुमार राई रहेको जिल्ला प्रहरी कार्यालयका प्रवक्ता वसन्त पाठकले बताए। उनलाई इलाका प्रहरी कार्यालय दमकको हिरासतमा राखी अनुसन्धान प्रहरीले अनुसन्धान गरिरहेको छ।
