शीर्षक,विवरण
"हत्याका मुख्य योजनाकार फरार, अन्य ३ जना पक्राउ","परासी : गत असोज महिनामा भएको हत्या घटनामा एक निजी स्कुलका सञ्चालक मुख्य योजनाकार भएको प्रहरीले जनाएको छ । योजनाकार फरार रहेपनि घटनामा संलग्न अन्य ३ जनालाई भने प्रहरीले ६ महिनापछि पक्राउ गरेको छ । शव भने अहिलेसम्म बरामद हुन सकेको छैन् । गत असोज ६ गते पश्चिम नवलपरासी प्रतापपुर गाउँपालिका३ पिडरहनीका ४० वर्षीय गोबिन्द धोवीको हत्या भएको थियो । पक्राउ परेका अभियुक्तको बयानका आधारमा प्रहरीले मुख्य योजनाकार बर्दघाट नगरपालिकाको मझौनीस्थित न्यू ड्रिम एकेडेमी स्कुलका सञ्चालक मुन्ना कहाँर रहेको प्रहरी उपरीक्षक मनोजकुमार यादवले बताए । उनी फरार छन् । मृतक गोबिन्दका छोरा सोही स्कुलमा अध्ययनरत थिए । सामान्य व्यवसाय गर्ने गोबिन्दसँग रकम भएकोले अपहरण गरी फिरौती रकम असुल गर्ने मुन्नाको योजनामा हत्या गरिएको प्रहरीले जनाएको छ । घटनामा संलग्न भई पक्राउपर्नेमा रामग्राम नगरपालिका२ दुर्गा टोलका २६ वर्षीय सुदिपकुमार केवट, सुस्ता गाउँपालिका१ वनदेवीका ३५ वर्षीय वीरबहादुर राजभर र बर्दघाट नगरपालिका मझौनीका सुरेन्द्र कहाँर रहेका छन् । सुरेन्द्र र मुन्ना कहाँर बाबु छोरा हुन् । हत्याको योजनासहित मुन्नाले बोलाएपछि भारतीय नम्बर प्लेटको आफ्नै गाडी चढेर गोबिन्द एक नास्ता पसलमा पुगेका थिए । उक्त नास्ता पसल हत्यामा संलग्न वीरबहादुरको हो । मादक पदार्थबाट मातेका सबै गाडीमा चढेर हिडेको र बाटोमा गोबिन्दलाई गाडीभित्री घाँटीमा गम्छाले बाँधेर हत्या गरेको खुलेको हो । हत्या पश्चात शवलाई नारायणी नदीको ठोकर नं ६ मा लगेर फालेको अभियुक्तहरुले प्रहरी समक्षको बयानमा बताएका छन् । ६ महिनाअघि नदीमा फालिएको शव प्रहरीले गोताखोर लगाएर खोजतलास गरेको थियो । तर शव फेला पर्न नसके पनि हत्या स्विकारेकाले उनीहरु माथि कर्तव्य ज्यानमा मुद्दा चलाइएको प्रहरी उपरीक्षक यादवले जानकारी दिए । प्रमाण नष्ट गर्ने सोँचका साथ अभियुक्तहरुले उक्त गाडी सुनवल नगरपालिकाको फरौलीस्थित कच्ची सडकमा जलाएर छाडेका थिए । फिंगर प्रिन्टका आधारमा पक्राउपर्ने डरले गाडीलाई जलाएको बयान दिएका छन् । प्रहरी उपरीक्षक यादवले भने । अभियुक्तहरुले डेढ करोड रुपैयाँ फिरौती रकम माग्ने सोँचका साथ उनलाई अपहरण गरेको र पछि पहिँचान खुल्ने डरले हत्या गरेको साविती बयान दिएको प्रहरीले जनाएको छ । रुपन्देहीकी एक महिलासँग भएको मोबाइलको कल डिटेलका आधारमा अभियुक्तहरुलाई पक्राउ गर्न सफल भएको प्रहरीले जनाएको छ ।"
सरकारद्वारा बुस्टर डोज खोप अभियान स्थगित,"काठमाडौं: सरकारले बुस्टर डोज खोप अभियान स्थगित गरेको छ। जेष्ठ नागरिक र दीर्घरोगीलाई बुस्टर डोज दिने निर्णय गरे पनि खोप नलिएकालाई पूर्ण मात्रा दिन यो अभियान तत्काललाई स्थगित गरेको स्वास्थ्य मन्त्रालयका प्रवक्ता डा संगीता कौशल मिश्राले जानकारी दिए। सबै नागरिकलाई कोभिड१९ विरुद्धको पूरा मात्रा खोप चाँडै उपलब्ध गराउन महत्वपूर्ण भएकाले राष्ट्रिय खोप अभियान द्रुत गतिमा सञ्चालन गर्न आवश्यक छ । त्यसैले थप प्राविधिक विषयहरु छलफल तथा तयारी गरी आगामी माघ महिनादेखि यस विषयमा जानकारी गराउने व्यहोरा सबैमा हार्दिक अनुरोध छ, प्रवक्ता मिश्राद्वारा जारी विज्ञप्तिमा भनिएको छ।"
"बेइजिङमा धुम्रपान गर्नेको संख्या घट्यो, यस्तो छ कारण",बेइजिङ: चीनको राजधानी बेइजिङमा १५ वर्ष र सोभन्दा माथिका व्यक्तिमा धुम्रपान दर १९९ प्रतिशतमा झरेको छ। मंगलबार सार्वजनिक नगर स्वास्थ्य आयोगको तथ्यांक अनुसार सन् २०१९ को तुलनामा यस उमेर समूहमा धुम्रपान गर्नेहरूको सङ्ख्या ७३ हजारले घटेको छ। दोस्रो व्यक्तिले गरेको धुम्रपानका कारण हुने जोखिम कार्यस्थलमा २७ प्रतिशत तथा रेष्टुरेन्टहरूमा ४२५ प्रतिशत रहेकोमा यसमा सन् २०२१ सम्ममा कमी आई क्रमशः २३४ प्रतिशत र ३७३ प्रतिशत कायम भएको तथ्याङ्कमा उल्लेख छ। धुम्रपानले जनस्वास्थ्यमा पार्ने हानीकारक प्रभावलाई कम गर्न चीन सरकारले सुर्तीजन्य पदार्थ नियन्त्रणलाई विशेष ध्यान दिएको पाइन्छ। बेइजिङले सन् २०१५ को जुन १ देखि सार्वजनिक स्थलमा धुम्रपान निषेध गरेको छ। सुर्तीजन्य पदार्थ नियन्त्रणसम्बन्धी नियम लागू भएपछि बेइजिङले सार्वजनिक स्थलमा धूम्रपान निषेध गरेको हो।
राष्ट्रियसभा बैठक पुस २५ गतेलाई बोलाइयो,काठमाडौं: राष्ट्रियसभाको बैठक यही पुस २५ गते आइतबार दिउँसो १ बजे बस्ने भएको छ। राष्ट्रियसभाका अध्यक्ष गणेशप्रसाद तिमिल्सिनाले उक्त मिति र समयमा बैठक बस्ने गरी समय निर्धारण गर्नुभएको महासचिव डा भरतराज गौतमद्वारा आज जारी सूचनापत्रमा उल्लेख छ। उक्त सभाको पुस ५ गतेको बैठकले अर्को सूचनाद्वारा मिति र समय नतोकिएसम्मका लागि सभाको बैठक स्थगित गरेको थियो।
माओवादी केन्द्रको केन्द्रीय समितिमा गोरखाबाट १३ जना,"गोरखा : नेकपा माओवादी केन्द्रको हालै सम्पन्न आठौँ महाधिवेशनबाट केन्द्रीय सदस्यमा गोरखाबाट १३ जना निर्वाचित भएका छन् । प्रज्ञा भवन कमलादीमा अध्यक्ष पुष्पकमल दाहाल 'प्रचण्ड'ले चयन गरेका केन्द्रीय सदस्यहरुमा गोरखाका १३ जनाको नाम घोषणा गरेका हुन् । केन्द्रीय सदस्यमा चयन भएका गोरखाका नेताहरुमा नारायणकाजी श्रेष्ठ, हितराज पाण्डे, हरिराज अधिकारी, परशुराम रम्तेल, लेखनाथ न्यौपाने, कृष्णप्रसाद धिताल, सुशीला सिंखडा, अमर गुरुङ, चूडामणि खड्का, पार्वती थापा, पम्फा बसेल, दुर्गा विक र सोमति गुरुङ रहेका छन ।"
सरकार र नेपालगञ्जका आन्दोलनरत पक्षबीच चार बुँदे सहमति,"काठमाडौं: नेपालगन्जकी नन्कुन्नी धोबीको मृत्यु र निर्मला कुर्मी बेपत्ता घटनाका दोषीमाथि कारबाहीको माग गर्दै माइतीघर मण्डलामा ४१ दिनदेखि भएको आन्दोलन स्थगित भएको छ। गृह मन्त्रालयसँग चार बुँदे सहमति भएपछि अधिकारकर्मी रुबी खानले आमरण अनसन तोडेकी छन्। मंसिर ९ देखि रुबीलगायतका अधिकारकर्मीहरूले माइतिघरमा धर्ना दिएका थिए। यस्तो छ ४ बुँदे सहमति १ निर्मला कुर्मीको अपहरण तथा शरीर बन्धक र कर्तव्य ज्यानसम्बन्धी जाहेरीमा औंल्याइएका विषयमा केन्द्रीय अनुसन्धान ब्यूरोमार्फत अनुसन्धान गर्ने गरी प्रहरी प्रधान कार्यालय नक्साल काठमाडौंमा पत्राचार गर्ने सहमति गरियो । २ यस विषयमा निर्मला कुर्मीको अपहरण तथा शरीर बन्धक र कर्तव्य ज्यान सम्बन्धमा जाहेरवाला, साक्षी आन्दोलनरत व्यक्तिहरू समेतलाई अभियुक्तहरूको तर्फबाट धाकधम्की, प्रलोभन आएको भन्ने विषयहरू छलफलमा उठान भएकोले निजहरूको सुरक्षामा विशेष ध्यान दिन सुरक्षा निकायहरूलाई गृह मन्त्रालयले निर्देशन दिने सहमति गरियो । ३ यस सम्बन्धमा भएको छानबिन प्रतिवेदनमा औंल्याइएका विषयहरू कार्यान्वयन गर्न सम्बन्धित निकायहरूमा पत्राचार गर्ने, यसअघि भएका पत्राचार, कारबाहीका विषयमा प्रगति विवरण प्राप्त गर्ने, कार्यान्वयनका लागि 'फलोअप' गर्ने सहमति गरियो । ४ उल्लेखित विषयलाई लिएर आमरण अनशनमा रहेकी रुबी खानले आजकै मितिबाट अनशन तोड्ने, निजसहितका आन्दोलनरत व्यक्तिहरूले धर्नासहितका सम्पूर्ण कार्यक्रमहरू स्थगित गर्ने सहमति गरियो ।"
बजार मूल्य बढेर एप्पल बन्यो संसारको पहिलो प्रविधि कम्पनी,क्यालिफोर्नियाः कोभिड१९ महामारीबीच बजार मूल्य (मार्केट भ्यालु) सर्वाधिक ठूलो बनाउने अमेरिकी कम्पनी एप्पल संसारको पहिलो टेक कम्पनी बनेको छ। महामारीको समयमा बजार मूल्य ३ ट्रिलियन डलर बनाएसँगै एप्पल पहिलो टेक कम्पनी बनेको हो। महामारीको समयमा एप्पलले अन्य टेक कम्पनीहरुलाई पछि पार्दै अहिलेसम्मकै उच्च बजार मूल्य बनाएको कम्पनीले जनाएको छ। पछिल्लो समय एप्पलको बजार मूल्य बढेर ३ ट्रिलियन डलर पुगेको छ। स्थापनाकालदेखि हालसम्म एप्पलको बजार मूल्य ५८ सय प्रतिशतले बढेको छ। महामारीको समयमा संसारका अधिकांश कम्पनी र उद्योग पछाडि परेपनि एप्पलले भने महामारीमा जित हात पारेको बताइएको छ। एप्पलका लागि यो ऐतिहासिक क्षण भएको कम्पनीले जनाएको छ। स्टिभ जब्सले सन् २००७ मा पहिलो पटक एप्पल कम्पनीको स्थापना गरेका थिए।
थाकसको विज्ञापनसम्बन्धी रिटमा सर्वोच्चद्वारा कारण देखाउ आदेश,"काठमाडौं: सर्वोच्च अदालतले थारु कल्याणकारिणी सभा (थाकस)ले दायर गरेको विज्ञापनसम्बन्धी रिटमा कारण देखाउ आदेश जारी गरेको छ। संविधानको मर्मबमोजिम थारु समुदायलाई समावेशी कोटा उपलब्ध नगराएको भन्दै थाकसले नेपाल प्रहरी, नेपाल टेलिकम, नेपाल राष्ट्र बैंक र राष्ट्रिय वाणिज्य बैंकविरुद्ध रिट दायर गरेका थिए। थाकसका महामन्त्री प्रेमिलाल चौधरीले दायर गरेको रिटमा नेपाल सरकार, मन्त्रिपरिषद्को कार्यालय, लोकसेवा आयोग र थारु आयोगसमेतलाई विपक्षी बनाइएको थियो। 'निवेदकले अन्तरिम आदेशसमेत जारी गरिपाउँ भन्ने माग गरेको सम्बन्धमा विचार गर्दा सुविधा र सन्तुलनको दृष्टिबाट दुई पक्षको बीचमा छलफल गराई अन्तरिम आदेश जारी हुने नहुने विषयमा निर्णयमा पुग्दा मनासिब हुने देखिएकोले मिति २०७८९२६ गतेका दिन छलफलमा उपस्थित हुन विपक्षीहरुलाई सो सूचना दिनु,' न्यायाधीश बमकुमार श्रेष्ठले दिएको आदेशमा भनिएको छ।"
दिल्लीमा कोरोनाको सङ्क्रमण दर ८३७ प्रतिशत,नयाँ दिल्ली: दिल्लीमा मंगलबार पनि कोभिड१९ सङ्क्रमणको बढ्दो तथ्यांकले राज्य सरकारलाई चिन्तित पारेको छ। पछिल्लो २४ घण्टामा दिल्लीमा नयाँ सङ्क्रमितको सङ्ख्या पाँच हजार ४८१ पुगेको र यसका कारण सङ्क्रमण दर ८३७ प्रतिशतमा पुगेको छ। यो सात महिनाको अवधिमा सबैभन्दा बढी भएको संघीय मन्त्रालयद्वारा मङ्गलबार जारी तथ्यांकमा उल्लेख छ। दिल्लीमा सबैभन्दा बढी सङ्क्रमण दर मे १७ मा ८४१ प्रतिशतले रेकर्ड गरिएको थियो। सोमबार दिल्ली राज्य सरकारले चार हजार ९९ नयाँ सङ्क्रमित व्यक्ति भेटिएको र सङ्क्रमण दर ६४६ प्रतिशत रहेको जनाएको थियो। कोरोनाभाइरस सङ्क्रमितहरूको वृद्धिसँगै यस शहरमा सक्रिय सङ्क्रमितको सङ्ख्या पनि १४ हजार ८८९ पुगेको छ । यो पछिल्लो सात महिनाको समय अर्थात् मे २७ पछिको सबैभन्दा उच्च हो। मे २७ मा १६ हजार ३७८ व्यक्ति कोभिडबाट सक्रिय सङ्क्रमित थिए। दिल्ली स्वास्थ्य विभागको बुलेटिनमा जनाइएअनुसार दिल्लीमा आठ हजार ५९३ सक्रिय सङ्क्रमित सावधानीसाथ घरमै छुट्टै बसेका छन् भने दिल्ली महानगरभरि कूल सङ्क्रमितको सङ्ख्या १४ लाख ६३ हजार ७०१ पुगेको छ। पछिल्लो २४ घण्टामा दिल्लीमा कूल ६५ हजार ४८७ जनाको परीक्षण गरिएको थियो भने गत २४ घण्टामा एक हजार ५७५ जना निको भएका थिए। दिल्लीमा कोभिडका कारण पछिल्लो २४ घण्टामा तीन जनाको मृत्यु भएको र अहिलेसम्म २५ हजार ११३ जना कोभिड सङ्क्रमित भई ज्यान गुमाएका छन्।
वसन्त चौधरीका दुई कृति सार्वजनिक,"काठमाडौं: कवि तथा गीतकार वसन्त चौधरीका दुई कृति सार्वजनिक भएका छन्। कविता संग्रह तिमीबिनाको म र अनेक पल और मैं एक भव्य समारोहका बीच लोकार्पण गरिएको हो। तिमीबिनाको म मा ८५ वटा र अनेक पल औंर मैं ८३ रचना समेटिएका छन्। नेपाल प्रज्ञा प्रतिष्ठानका कुलपति गंगाप्रसाद उप्रेती, वरिष्ठ कवि तुलसी दिवस, स्वयं कवि चौधरी, तिमीबिनाको मका प्रकाशक मेघा चौधरी, आख्यानकार तथा प्राध्यापक भुवन ढुंगाना तथा मुम्बई विश्वविद्यालयको हिन्दी विभागका अध्यक्ष प्राडा करुणाशंकर उपाध्यायले संयुक्त रूपमा लोकार्पण गरे। चौधरीका यसअघि आठ वटा पुस्तक बजारमा आइसकेका छन्। तिमीबिनाको म माथि समीक्षा गर्दै वरिष्ठ आख्यानकार ढुंगानाले चौधरीको काव्यिक यात्राको प्रशंसा गरे। हिन्दी कविता संग्रह अनेक पल और मैंको समीक्षा गर्दै प्राडा उपाध्यायले शालीन र सरल व्यवहारका सशक्त कवि आफूहरूले पाएको दाबी गरे। प्रज्ञा प्रतिष्ठानका कुलपति उप्रेतीले नेपाली वाङ्मयमा वसन्त चौधरीले महत्वपूर्ण योगदान दिएको बताए। कवि तुलसी दिवसले चौधरीका सिर्जनामा आफूले उर्वरता देखेको टिप्पणी गरे। हालै भारतमा सम्पन्न कालिंगा साहित्य महोत्सवमा अनेक पल और मैं उत्कृष्ट कविता संग्रहको रूपमा पुरस्कृत भएको जानकारी गराइएको थियो।"
