शीर्षक,विवरण
एमालेले एमसीसीबारे उपयुक्त समयमा निर्णय गर्छ : नेम्वाङ,"काठमाडौं: नेकपा एमालेले एमसीसीको विषयमा उपयुक्त समयमा निर्णय लिने स्पष्ट पारेको छ। नयाँ बानेश्वस्थित संसद भवनमा बिहीबार माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्डलगायत नेताहरुसँगको छलफलमा एमाले अध्यक्ष ओलीले यस्तो बताएका हुन्। छलफलमा प्रचण्डले एमाले अध्यक्ष ओलीलाई एमसीसीको विषयमा जिज्ञासा राखेका थिए। एमाले उपाध्यक्ष सुवास चन्द्र नेम्वाङले सञ्चारकर्मीसँग कुरा गर्दै अध्यक्ष ओलीले एमसीसीबारे उपयुक्त समयमा निर्णय लिने जानकारी दिएको बताएका हुन्। 'माओवादी अध्यक्षलगायतका नेताहरुसँग सकारात्मक छलफल भयो। तर एमसीसीबारे उपयुक्त समयमा मात्र निष्कर्षमा पुग्छौं,' ओलीको भनाइ उद्धृत गर्दै नेम्वाङले भने। उनले केहीबेरमा प्रधानमन्त्री देउवासँग बालुवाटारमा पुनः छलफल हुने बताए। 'केहीबेरमा पार्टी अध्यक्ष केपी ओली र प्रधानमन्त्री शेरबहादुर देउवाबीच छलफल हुँदैछ। त्यसका लागि हामी बालुवाटार जाँदैछौं,' उनले सञ्चारकर्मीहरुसँग भने।"
"फागुन अन्तिम साताबाट निर्वाचन आचारसंहिता लागू हुने, चुनावमा भाग लिन २९ दलको निवेदन","काठमाडौं : निर्वाचन आयोगले स्थानीय तहको निर्वाचनका लागि चाँडै आचारसंहिता लागू गर्ने भएको छ । आयोगका सहायक प्रवक्ता सूर्यप्रसाद अर्यालले बिहीबार पत्रकार सम्मेलन गरेर आचारसंहिताको तयारी भइसकेको जानकारी दिए । आयोगले आचारसंहितलाई अन्तिम स्टेजमा पुर्याएको छ । कानुन मन्त्रालय पुगेर राजपत्रमा प्रकाशित भइसकेपछि लागु हुन्छ । त्यसका केही प्राविधिक कुराहरु मिलाउनुपर्ने भएकाले छलफलमा छ,' उनले भने । अर्यालले फागुन अन्तिम साताबाट आचारसंहिता लागू हुने संकेत गरे । निर्वाचनमा खटिने जनशक्तिको विवरण फागुन २० सम्ममा प्राप्त भइसक्ने र नामावली प्राप्त भइसकेपछि हुनसक्ने कर्मचारी सरुवालाई मध्यनजर गरेर आयोगले आचारसंहिता लागू गर्ने उनको भनाइ छ । सहायता प्रवक्ता अर्यालले निर्वाचनमा भाग लिन २९ दलले निवेदन दिएको र पछिल्लो हप्तामात्रै १९ दलबाट निवेदन प्राप्त भएको बताए । निर्वाचन गराउन चाहिने १ लाख १० हजार ७१३ जना अनुमानित जनशक्तिको प्रतिव्यक्ति २० लाख बिमा गर्न बिमा कम्पनीबाट प्रस्ताव माग गरिएको निर्वाचन आयोगले जनाएको छ। आयोगका अनुसार मतदान कार्यमा संलग्न हुनेका लागि मास्क स्यानिटाइजर र प्राथमिक उपचार सामग्री खरिद गर्न बोलपत्र आह्वान गरिएको छ। यस्तै, निर्वाचनका लागि ८ अर्ब ९५ करोड २९ लाख चार हजार रुपैयाँ अर्थमन्त्रालयसँग माग गरिएको निर्वाचन आयोगले जनाएको छ।"
युक्रेनरुस तनावमा चीनको मध्यमार्गी धारणा,काठमाडौं : युक्रेनरुस तनावमा चीनले आफ्नो धारणा सार्वजनिक गरेको छ । चीनले सबै देशको अखण्डता र सम्प्रभुताको सम्मान गर्ने तर रुसको सुरक्षा चिन्तालाई पनि नजरअन्दाज गर्न नसकिने मध्यमार्गी वयान दिएको हो । चिनियाँ विदेश मन्त्री वाङ यीले सबै देशको अखण्डता र सम्प्रभुताको सम्मान हुनुपर्ने चीनको मान्यता भए पनि युक्रेनको मामिला फरक भएको बताए । रुसी विदेशीमन्त्री सर्गेई लाभरोभसँगको कुराकानीमा उनले युक्रेनको मामिला अलग रहेको र रुसी सुरक्षा चिन्तालाई चीनले बुझेको बताए । उनले संयमता अपनाउन रुस र युक्रेनलाई आग्रह गरेको बीबीसीले जनाएको छ । त्यसैगरी चिनियाँ विदेश मन्त्रालयकी प्रवक्ता हुआ चुनयिङले युक्रेन संकट निम्तिनुमा पृष्टभूमि हेर्नुपर्ने बताइन् । चीन अहिले नै कुनै निष्कर्षमा पुगिनसकेको भन्दै उनले नियालिरहेको बताइन् । चीनले युक्रेन मुद्दामा शान्तिपूर्ण समाधानको बाटो पूर्ण रुपले बन्द नभएको भन्दै कूटनीतिक पहलबाट समाधान गर्न जोड दिएको छ ।
"नेपालले ओमानलाई ९ विकेटले हरायो, कुशलले बनाए अर्धसतक","काठमाडौं: आयोजक ओमानलाई ९ विकेटले हराउँदै नेपाल ग्लोबल छनोटअन्तर्गत तेस्रो स्थान हासिल गरेको छ। ओमानले दिएको ८८ रनको लक्ष्य नेपालले २२ बल अगावै एक विकेटको क्षतिमा पूरा गर्यो। नेपालका लागि ओपनर ब्याट्सम्यान कुशल भुर्तेलले अविजित ५५ रन बनाए। उनले टी२० अन्तर्राष्ट्रियमा पाँचौं अर्धसतक बनाएका हुन्। ५३ बल सामना गरेका कुशलले २ छक्का र ३ चौका प्रहार गरेका थिए। त्यस्तै आरिफ शेखले अविजित २१ रन बनाए भने आशिफ शेख १३ रन बनाएर पेभेलियन फर्किएका थिए। त्यसअघि टस जितेर ब्याटिङ गरेको ओमानले निर्धारित ओभरको खेलमा ९ विकेट गुमाउँदै ८७ रन बनाएको थियो। ओमानलाई सस्तो रनमा समेट्न कप्तान सन्दीप लामिछाने सर्वाधिक ३ विकेट हात पारे। सागर ढकाल, आरिफ शेख, कमल सिंह ऐरी, अविनाश बोहराले एकएक विकेट लिए।"
राप्रपाद्वारा ७ वटा विभागको प्रमुख मनोनित,"काठमाडौं : राष्ट्रिय प्रजातन्त्र पार्टीले विभिन्न विभागको प्रमुख मनोनित गरेको छ । अध्यक्ष राजेन्द्र लिङ्देनले पार्टीको विधानबमोजिम बिहीबार सातवटा विभागको प्रमुख मनोनित गरेका हुन् । जसअन्तर्गत संयोजित संगठन समन्वय विभाग प्रमुखमा महामन्त्री राजेन्द्र गुरुङ मनोनित भएका छन् । प्रचार विभाग प्रमुखमा प्रवक्ता मोहन श्रेष्ठ, सम्पर्क समाज समन्वय विभाग प्रमुखमा प्रवक्ता गोपाल दाहाल, सुशासन विभाग प्रमुखमा प्रवक्ता ज्ञानेन्द्र शाही मनोनित भएका छन् । अध्यक्ष श्रेष्ठले प्रवास विभाग प्रमुखमा केन्द्रीय सदस्य आनन्द अधिकारी, वाणिज्य क्षेत्र समन्वय विभाग प्रमुखमा लक्ष्मी संग्रौला र खेलकुद विभाग प्रमुखमा दमन बस्नेतलाई मनोनयन गरेको प्रवक्ता मोहन श्रेष्ठले जानकारी दिए ।"
"कांग्रेसएमाले बैठक निष्कर्षविहीन, संसद अवरोध हटाउने विषयमा सहमति भएन","काठमाडौंः सत्तारुढ नेपाली कांग्रेस र प्रमुख प्रतिपक्षी नेकपा एमालेबीच दोस्रो चरणको बैठक सकिएको छ। सरकारका प्रवक्ता ज्ञानेन्द्रबहादुर कार्कीले संसद बैठक सञ्चालनका विषयमा प्रधानमन्त्री शेरबहादुर देउवा र प्रमुख प्रतिपक्षी दलका नेता केपी शर्मा ओलीबीच छलफल भएको बताए। संसद बैठक अवरोध हटाउने प्रतिबद्धता नआएको उनले बताए। उनले भने, प्रधानमन्त्रीज्यूले संसद अवरुद्ध छ, व्यवस्थित तरिकाले सञ्चालन गर्न प्रतिपक्षी दलका नेतालाई आग्रह गर्नुभयो। केपी ओलीज्यूले १४ सांसदलाई कारबाही नगर्दासम्म बैठक चल्न नदिने बताउनुभयो, उनले सञ्चारकर्मीसँग भने। उनले भोलि (शुक्रबार)को प्रतिनिधि सभा बैठकमा एमसीसीका विषयमा सैद्धान्तिक छलफल सुरु हुने बताए। 'मुख्यतः संसद अवरोधको विषयमा दुई नेताबीच छलफल भएको हो। त्यसबाहेक अन्य विषयमा कुराकानी भएको छैन,' उनले भने, 'भोलिदेखि एमसीसीको सैद्धान्तिक बहस सुरु हुन्छ।' बैठकमा प्रधानमन्त्री एवं सभापति शेरबहादुर देउवा, महामन्त्री गगन थापा, उपसभापति पूर्णबहादुर खड्का, सञ्चारमन्त्री ज्ञानेन्द्र कार्की लगायतको उपस्थित रहेको थियो। त्यसैगरी एमालेबाट अध्यक्ष केपी शर्मा ओली, वरिष्ठ उपाध्यक्ष ईश्वर पोखरेल, उपाध्यक्षद्वय सुवासचन्द्र नेम्वाङ, विष्णु पौडेल सहभागी थियो। फागुन १६ भित्र अमेरिकी सहायता परियोजना एमसीसी संसदबाट पारित गराउनुपर्ने दबाबमा रहेका प्रधानमन्त्री देउवाले प्रतिपक्षी एमालेको साथ खोजेका छन्। उनले एमसीसी पारित गर्न एमालेका सबै मागमा छलफल गर्न खुला रहेको बताएका छन्।"
बाघको आक्रमणबाट महिलाको ज्यान गयो,चितवन: बाघको आक्रमणमा परेर एक महिलाको मृत्यु भएको छ। बाघको आक्रमणबाट भरतपुर महानगरपालिका ६ बस्ने ४६ वर्षीय चिजा नेपालीको ज्यान गएको हो। आज दिउँसो चितवन राष्ट्रिय निकुञ्जको बेलसर पोष्ट नजिक बाघले आक्रमण गरेको निकुञ्जका सूचना अधिकारी गणेशप्रसाद तिवारीले बताए। घटनाको थप विवरण आउन बाँकी छ।
ओमानले नेपाललाई दियो ८८ रनको लक्ष्य,"काठमाडौं: तेस्रो स्थानको लागि भएको टी२० खेलमा आयोजक ओमानले नेपाललाई ८८ रनको रनको लक्ष्य प्रस्तुत गरेको छ। निर्धारित ओभरको खेलमा ९ विकेट गुमाउँदै ओमानले ८७ रन बनाएको हो। अल अमेरात क्रिकेट मैदानमा ओमानले टस जितेर पहिले ब्याटिङ गरेको ओमानका लागि जिसन मक्सुदले २१, अयान खानले १६ तथा नसिम खुसीले १५ रनको योगदान गरे। नेपालका लागि कप्तान सन्दीप लामिछाने सर्वाधिक ३ विकेट हात पारे। सागर ढकाल, आरिफ शेख, कमल सिंह ऐरी, अविनाश बोहराले एकएक विकेट लिए।"
"भोलिको प्रतिनिधिसभा बैठकको संभावित कार्यसूची सार्वजनिक , एमसीसीबारे सामान्य छलफल हुने","काठमाडौं : भोलि बस्ने प्रतिनिधिसभाको बैठकको संभावित कार्यसूची सार्वजनिक भएको छ। बैठकमा एमसीसीबारे सामान्य छलफल हुने संभावित कार्यूचीमा उल्लेख छ। संघीय संसद सचिवालयका महासचिव डा भरतराज गौतमले सार्वजनिक गरेको सम्भावित कार्यसूचीमा एससीसी सम्झौतामाथि सामान्य छलफल गरियोस् भन्ने प्रस्ताव उल्लेख छ । सो प्रस्ताव अर्थमन्त्री जनार्दन शर्माले पेश गर्ने कार्यसूची छ । यद्यपि बिहीबार तोकिएको बैठकमा भने अर्थमन्त्री शर्मा सहभागी भएनन्। यस्तै, कानुन, न्याय तथा संसदीय मामिला मन्त्री दिलेन्द्रप्रसाद बडूले 'महान्यायाधीवक्ताको वार्षिक प्रतिवेदन' पेश गर्ने प्रस्ताव पनि सम्भावित कार्यसूचीमा राखिएको छ। बैठक शुक्रबार दिउँसो १ बजे बस्नेछ। आज प्रतिनिधिसभाको बैठक बस्ने भनिए कार्यव्यवस्था परामर्श समितिमा सत्तारुढ गठबन्धनमा सहमति नजुटेपछि बैठक स्थगित भएको जनाइएको छ।"
कांग्रेस र एमालेबीच बालुवाटारमा दोस्रो चरणको वार्ता जारी,"काठमाडौं : सत्तारुढ नेपाली कांग्रेस र प्रमुख प्रतिपक्षी नेकपा एमालेबीच दोस्रो चरणको बैठक सुरु भएको छ । प्रधानमन्त्रीको सरकारी निवास बालुवाटारमा कांग्रेस र एमाले नेताहरुबीच बैठक चलिरहेको हो । बैठकमा प्रधानमन्त्री एवं सभापति शेरबहादुर देउवा, महामन्त्री गगन थापा, उपसभापति पूर्णबहादुर खड्का, सञ्चारमन्त्री ज्ञानेन्द्र कार्की लगायत छन् । त्यसैगरी एमालेबाट अध्यक्ष केपी शर्मा ओली, वरिष्ठ उपाध्यक्ष ईश्वर पोखरेल, उपाध्यक्षद्वय सुवासचन्द्र नेम्वाङ, विष्णु पौडेल सहभागी छन् । फागुन १६ भित्र अमेरिकी सहायता परियोजना एमसीसी संसदबाट पारित गराउनुपर्ने दबाबमा रहेका प्रधानमन्त्री देउवाले प्रतिपक्षी एमालेको साथ खोजेका छन् । उनले एमसीसी पारित गर्न एमालेका सबै मागमा छलफल गर्न खुला रहेको बताएका छन् । एमालेले माधव नेपालसहित १४ सांसद पदमुक्त हुनुपर्ने र त्यो नभए पनि सभामुख अग्नि सापकोटा हटाउन कांग्रेस तयार हुनुपर्ने माग गर्दै आएको छ । एमसीसी पारित गर्न एमालेको साथ र एमालेका माग सम्बोधनमा कांग्रेसको सहयोगको विषयमा रहेर बालुवाटारमा दोस्रो चरणको वार्ता भइरहेको नेताहरुले बताएका छन् । यसअघि संसद बैठक स्थगित गरेर प्रधानमन्त्री देउवाले संसद भवनमै प्रतिपक्षी दलका नेता ओलीसँग उनकै च्याम्बरमा गएर भेटेका थिए । भेटमा एमाले र कांग्रेसका नेताहरु पनि सहभागी थिए । उक्त वार्ता सकारात्मक भएको भन्दै सञ्चारमन्त्री कार्कीले फेरि साँझ बस्ने समझदारी भएको जानकारी दिएका थिए । त्यसलगत्तै माओवादी केन्द्रका अध्यक्ष प्रचण्डसहित नेताहरु ओलीको कार्यकक्षमा पुगेर छलफल गरेका थिए । प्रचण्डसँग संसद भवनस्थित आफ्नो कार्यकक्षमा छलफल गरेर ओली साँझ ७ बजेतिर बालुवाटार पुगेका थिए ।"
