शीर्षक,विवरण
चन्द्रागिरिमा पुगेर ओलीले के गरे सिर्जना ?,"काठमाडौं : इच्छुमतिको किनार, घुमेर भिराडील घुम्दै आइपुगियो यता रमणीय चन्द्रागिरि हिल कतै इतिहास, कतै परम्परा गौरव र पौरख यहीँका डाँडाहरुका सतिदेवी काँधमा बोकेर शोकमग्न शिवजी भौतारिएका थिए यही चन्द्रागिरि हुँदै ३२ सय वर्ष पहिले चित्लाङबाट गोपालीहरु उपत्यका पसेका थिए यहीँबाट पृथ्वीनारायणले जुँगामा ताउ लगाएर सुन्दर काठमाडौँलाई नियालेका थिए देवकोटाले मानवताको बिगुल फुगेका थिए यही ठाउँमा अहिले फालिएको भिरलाई गन्तव्य बनाएका छन् पौरखीहरुले चन्द्रागिरि हिल्समा पुगेपछि तीन वर्षअघि सपनामा भावी सन्तती मुस्कुराएको देख्न पाउँ भन्ने सन्देशको रचना सिर्जना गरेका नेकपा (एमाले) का अध्यक्ष एवं पूर्व प्रधानमन्त्री केपी शर्मा ओलीले शुक्रबार सोही स्थानमा पुगेर राष्ट्रिय एकता र समृद्धिका लागि आत्मबल बढाउने अर्को सिर्जना गरेका छन्। राजनीतिक विवाद र व्यस्तताका बीच पूर्वप्रधानमन्त्री ओलीले शुक्रबार जेसुम अभियानले चन्द्रागिरि नगरपालिका१५को सहयोगमा चन्द्रागिरि हिल्समा आयोजना गरेको भिराडीलचन्द्रागिरि जेसुम उत्सव कार्यक्रमस्थलमै सो रचना गरी आफ्नो मन्तव्यको पालामा सुनाएका हुन्। तत्कालीन प्रधानमन्त्री ओलीले मदन भण्डारी कला साहित्य प्रतिष्ठानले २०७५ असार ३१ मा चन्द्रागिरिमै आयोजना गरेको हिमवत्खण्ड कला साहित्य महोत्सवका अवसरमा पनि यही स्थानमा कविता रचना गरेको थियो। त्यसबेला उनले लेखेका थिए : परिवर्तनशील दुनियाँमा सधैँ बाँचेको को छ र ! बाँचुन्जेल हो जिन्दगी मर्नु त छँदै छ। मरे पनि केही छैन त्यसपछि पनि सपना देख्न पाउँ सगरमाथा, लुम्बिनी, मेची, महाकाली हाम्रा लहलह खेत, बारी, झपक्क कान्ला र आलि सपनामा भए पनि देख्न पाउँ चन्द्रगिरिको डाँडामा आएर सपनामा भावी सन्तती मुस्कुराएको देख्न पाउँ तिनको हँसिलो मुहारको तस्बिर खिच्न पाउँ मरे पनि केही छैन त्यसपछि पनि सपना देख्न पाउँ। स्थलगतरुपमा रचना गरिएका अन्य स्रष्टाका रचना र स्थानीय कला, संस्कृति तथा समृद्धिबारे मन्तव्य सुनेपछि ओलीले आफ्नो पालोमा कविता सुनाउँदा सहभागीले तालीले सम्मान व्यक्त गरेका थिए। श्रीमती राधिका शाक्य, प्रतिनिधिसभा सदस्य कृष्णगोपाल श्रेष्ठसहित उपस्थित ओलीले विकासको सङ्कल्प प्रतिविम्बन गर्दै आधुनिकता टल्काउँदै भिरलाई गन्तव्यमा परिणत गर्न आह्वान गरे। आफूले रचना गरेको सिर्जना कवितै नभएपनि मुक्तकभन्दा उन्मुक्त रचना भएको र गोपालप्रसाद रिमालको गद्यमार्गमा हिँडेको व्याख्या पनि उनले गरे। उनले आफूले अरूका रचना सुनेपछि समृद्ध नेपालका लागि आत्मविश्वास बढेको बताउँदै समाज निसासिएका बेला आफूले सामाजिक र राजनीतिक अभियान सुरु गर्दा सुरुङको पछिल्लो छेउमा पक्कै उज्यालो हुनुपर्छ भन्ने आशाका साथ लागेको र अहिले यस अभियानमा धेरै अभियानकर्मी भइसकेको सुनाए। उनले नेपालीका आकाङ्क्षाको प्रतिविम्बनका पुनःजागरण सुरु भएकाले कुनै राजनीतिक हेरफेर वा विवादले यस यात्रालाई केही पछाडि धकेल्न खोजे पनि कसैले रोक्न नसक्ने जिकिर गरे। कार्यक्रममा प्रगतिशील लेखक सङ्घका अध्यक्ष डा जीवेन्द्रदेव गिरी, प्राज्ञ लक्ष्मी माली, प्राज्ञ शशी लुमुम्बु, वासुदेव अधिकारी, फूलमान बल, स्नेह सायमी, सुरेश हाँचेकाली, अनिता लामा, राजु महत, प्रशान्त डङ्गोलले कविता वाचन गरेका थिए भने नाट्यकर्मी राजन खतिवडा र सरस्वती चौधरीले नाटक प्रस्तुत गरे। चन्द्रागिरिमा पुग्दा चन्द्रागिरी हिल्सका प्रबन्धसञ्चालक हेमराज ढकाल तथा महाप्रबन्धक अभिषेकविक्रम शाहलगायतले अध्यक्ष ओलीलाई स्वागत गरे। अध्यक्ष ओलीले आजै सो वडाको तीनथानामा निर्माणाधीन भिराडील खाइके साकुरा पार्कको अवलोकन गरी वडाध्यक्ष शैक्षिक विकास कोषमा रु एक लाख सहयोगको घोषणा गरेका थिए।कार्यक्रममा चन्द्रागिरी नगरिपालिका१५ का अध्यक्ष उत्तमबहादुर राउतले समृद्धिको नमुनाका रुपमा वडालाई विकसित गर्न पूर्वाधारका साथै कला, संस्कृतिका क्षेत्रमा काम गर्दै आएको बताए। स्थानीय कला, संस्कृति र सभ्यताको प्रतिविम्बनका रुपमा सञ्चालित जेसुम अभियानले राष्ट्रिय पहिचानमा आधारित जनताको बहुदलीय जनवाद तथा प्रगतिशील राष्ट्रिय संस्कृति निर्माणका लागि विभिन्न स्थानमा साहित्यिक अभियान गर्दै आएको छ। एक अभियानकर्मी फूलमान बलले आफूहरु नेपालकै ज्ञान परम्परा, विश्वास पद्धति र विश्व दृष्टिकोणको आधारमा वस्तु, पदार्थ या परिस्थितिको व्याख्या गर्न अग्रसर रहेको जनाए।"
पार्टी विवाद : महन्थ पक्षका सांसदलाई जसपाको छुट,"काठमाडौं : जसपाले महन्थ ठाकुर पक्षीय सांसदलाई कारबाही नगरी अलग दल खोल्न छुट दिएको छ। पार्टीभित्र अल्पमतमा परेका ठाकुरले राजनीतिक दल सम्बन्धी अध्यादेश जारीपछि लोकतान्त्रिक समाजवादी पार्टी गठनको निवेदन निर्वाचन आयोगमा दिएका छन्। प्रतिगमनलाई साथ दिएको भन्दै ठाकुरको पार्टीभित्र आलोचना भइरहेका बेला निर्वाचन आयोगले उपेन्द्र यादव पक्षलाई पार्टीको आधिकारिकता दिएको थियो। ठाकुर पार्टी विहीन थिए। ठाकुरले नयाँ पार्टी गठन गर्न सक्ने सम्भावना रहँदा रहँदै पनि यादवले ठाकुर र उनी पक्षीय सांसदलाई कारबाही भने गरेनन्। हामीले किन कारवाही गर्ने ? जसपाका नेता डा सुरेन्द्र यादवले भने, मधेशी जनतासँग गरेको बेइमानीको सजाय चुनावमा जनताले दिन्छन्। सत्ता पक्षीय गठबन्धनको सहमतिमा प्रधानमन्त्री शेरबहादुर देउवाले अध्यादेश ल्याएको उनले बताए। गठबन्धन सरकारका १८ महिना नचल्ने अवस्था थियो। त्यसैले दल फुटाएर बहुमत जुटाउन गठबन्धनकै सहमतिमा अध्यादेश ल्याइएको हो उनले भने। ठाकुर पक्षले नयाँ दल दर्ताका लागि निर्वाचन आयोगमा निवेदन दिएपछि दल रोज्नका लागि आयोगले नेताहरुलाई २१ दिनको समय दिएको छ। ठाकुरको नयाँ पार्टीमा १२ सांसदसहित केन्द्रिय समितिका ३१ सदस्य छन। शुक्रबार आयोगमा ठाकुर पक्षले ७ जना महिला सदस्य थप गरेको छ। ज्यान मुद्धामा कारागारमा रहेका रेशम चौधरीले पनि महन्थलाई साथ दिएका छन्। आयोगले दल रोज्न नेताहरुका लागि २१ दिनको समयसीमा दिएको छ,प्रदेश २ को संसदीय दलका उपनेता राम आशिष यादवले अन्नपूर्णसँग भने,पार्टी छोड्नुभन्दा पनि खतरा महन्थजीहरुले मधेश आन्दोलनबाट प्राप्त संविधान, संघीयता, लोकतन्त्र, समावेशिताको हत्या गर्ने प्रतिगमनकारी सरकारलाई सहयोग गर्नुभयो। अब हुने चुनावमा ओली र ठाकुर पक्षको गठबन्धन हुने नेता यादवले दावी गरे। भदौं १ र २ गते काठमाडौंमा भएको जसपाको बैठकले देउवा सरकारमा जाने आधिकारिक निर्णय गरेको छ। लोकतन्त्र, राष्ट्रियता संरक्षण तथा देशको समृद्धि एवं विकासका लागि योग्दान गर्न सरकारमा सम्मानजन ढंगले जाने यो बैठक निर्णय गर्दछ,जसपाको निर्णयमा उल्लेख छ। ठाकुर पक्षले जसपा टुक्रयाएपछि उपेन्द्र पक्षले मधेशमा पार्टी संगठन सुदृढीकरण तथा जनजागरण अभियान पनि सञ्चालन गर्ने निर्णय गरेको छ। त्यसका लागि पार्टीका वरिष्ठ नेता अशोक राईको संयोजकत्वमा ७ सदस्यीय सचिवालय गठन गरेको छ।"
युनिक स्वयंसेवकको टेम्पु चलाएर चन्दा उठाउने धन्दा !,"पोखरा: ट्याक्सी, मोटरसाइकल, कार र बसहरु बग्रेल्ती गुड्ने सहर पोखरामा टेम्पु भने चल्दैनन् । प्रदूषण बढ्छ, जोखिम हुन्छ भनेरै पोखरेलीहरुले ३ पांग्रे टेम्पु भित्रन उहिल्यै रोक लगाएका थिए । यो साता भने पोखराका टोलटोलमा र चोकचोकमा टेम्पु देखिए । तिनले यात्रु भने ओसारेका थिएनन् । टेम्पुमा माइक जडान थियो । माइक बज्थ्यो र भन्थ्योपाल्पाका चुडाबहादुर रुचाल मिर्गौला पीडित र आर्थिक अवस्था कमजोर भएको हुँदा उनका लागि आर्थिक सहयोग गरिदिनुहोला । कहिले बैदाम, कहिले लेखनाथतिर त कहिले पोखराका गल्लीगल्लीमा त्यस्तो माइकिङ भइरहेको थियो । कति ठाउँका चोकहरुमा चाहिँ केही समय टेम्पु बिसाएरै घन्टौं वा दिनभरजसो आर्थिक सहयोगको अपिल पनि भइरहेको थियो । यस्तो दृश्यमा जब प्रहरी नजर पर्यो, शंका लाग्यो । बुझ्दै जाँदा त्यसरी सहयोगको अनुरोध गर्नमात्रै पोखरा महानगरपालिकाभित्र १० वटा टेम्पु खटिएका रहेछन् भन्ने पत्ता लाग्यो । जे भनेर चन्दा संकलन गरिएको थियो, त्यसका लागि कतैबाट अनुमति लिएको प्रमाण पनि भेटिएन । इलाका प्रहरी कार्यालय शिशुवाका प्रमुख डिएसपी महेन्द्र मरासिनी नेतृत्वको टोलीले तिनैलाई पछ्याउँदै जाँदा प्रहरीले टेम्पुवाला पोखरा २६ विजयपुरस्थित न्यु हाइवे स्टाफ होटल एन्ड लजमा बस्ने गरेको भेटेको थियो । त्यहाँ त एक वा दुई होइन १० वटा टेम्पु भेटिए । मिर्गौला पीडितका लागि भन्दै ठाउँठाउँमा चन्दा संकलन गर्ने उनीहरुको धन्दा नै रहेको प्रहरीले पत्तो पायो । त्यसपछि कास्की प्रहरीले अवैध रुपमा चन्दा संकलन गरिरहेको आरोपमा २ जनालाई पक्रेको छ । झापा विर्तामोड नगरपालिका ९ की ३४ वर्षीया एलिजा बस्नेत, वडा नम्बर १ का ३२ का टेकबहादुर बस्नेत, झापाकै हल्दीबारी गाउँपालिका १ का ४४ वर्षे धनबहादुर सेन्चुरी पक्राउ परेका हुन् । जिल्ला प्रहरी कार्यालय कास्कीका प्रवक्ता डिएपी सुवास हमालका अनुसार उनीहरुले युनिक स्वयम् सेवक नेपाल नामको संस्थाको नाममा चन्दा संकलन गरिरहेका थिए । बिहीबार पक्राउ परेका उनीहरुबाट प्रहरीले ४ लाख ६ हजार रुपैयाँ पनि बरामद गरेको छ । उनीहरु बसिरहेको होटलबाटै त्यतिका पैसा र थुप्रै रसिद प्रहरीले नियन्त्रणमा लिएको छ । उनीहरुले यो अभियानमा १ करोड रुपैयाँभन्दा बेसी संकलन गरिसकेको प्रहरीको अनुमान छ । उनीहरुबाट मिर्गाैला पीडित चुडाबहादुर रुचाल बचाउ अभियान लेखेको पर्चा १६५ थान, युनिक स्वयं सेवक नेपालको लेटर प्याड, चन्दा संकलन गरी रसिद काटिसकेको ठेली १५९, लगायत सामान बरामद भएको छ । झापाका बासिन्दा उनीहरुले चन्दा संकलनका लागि भनेको संस्था भने सुनसरीको धरानमा दर्ता रहेको जानकारी पनि डिएसपी मरासिनीले दिए । उनीहरुले चन्दा भने पाल्पाको माथागढी गाउँपालिका वडा नम्बर ५ झडेवाका चूडाबहादुर रुचालका लागि भनेर संकलन गरेका हुन् । मिर्गाैला रोग पीडित रुचालको आर्थिक अवस्था कमजोर रहेको र उपचारका लागि भनेर उनीहरु चन्दा मागेका हुन् । चन्दा मागिरहेका एकजने डिएसपी मरासिनीलाई रुचालको उपचार बुटवलको अस्पतालमा भइरहेको बताएका थिए । तर प्रहरीले भने रुचाल आफ्नै घरमा रहेको पत्ता लगाएको छ । चन्दा संकलनकै टेम्पु दिनको १२ सय रुपैयाँ दिने गरी भाडामा लिएका रहेछन्, डिएसपी मरासिनीले भने, टेम्पु चलाउनेलाई त्यो भाडाबाहेक बस्नेखाने व्यवस्था पनि रहेछ । युनिक स्वयम् सेवक नेपाल भने दर्ता भएकै संस्था हो । तर संस्थाको उद्देश्यमा पनि कसैलाई सरसहयोगका लागि अर्थ संकलन गर्ने भन्ने छैन । त्यसो त अनुमति नलिई कसैले पनि आर्थिक सहयोग संकलन गर्न वा चन्दा उठाउन पाउँदैन । नेपाल सरकार वा प्रदेश सरकारको पूर्व स्वीकृति लिई धार्मिक, परोपकारी वा अन्य सार्वजनिक कार्यको लागि कसैले स्वेच्छाले दर नतोकी चन्दा लिन दिन बाहेक कुनै व्यक्ति वा सरकारी वा गैरसरकारी कार्यालय वा संस्थाले कसैबाट चन्दा उठाउन वा लिन हुँदैन, चन्दा ऐन २०३० को दफा ३ मा भनिएको छ । चन्दा संकलनमा पछिल्लो समय देखा परेको विकृति खोज्ने क्रममा नै बस्नेतद्वय र सेन्चुरीको गिरोह फेला पारिएको कास्की प्रहरी प्रमुख एसपी रमेश थापा बताउँछन् । उनकै भनाइमा तिनीहरुलाई चन्दा ऐनअनुसारकै कारबाहीका लागि मुद्दा चलाउने तयारी छ । चन्दा ऐन २०३० ले चन्दा उठाउने व्यक्तिलाई दुई वर्षसम्म कैद वा दुई हजार रुपैयाँसम्म जरिवाना वा दुवै सजाय हुनेछ र त्यसरी उठाइएको चन्दाको रकम समेत निजबाट सरकारी बाँकी सरह असूल उपर गरिने व्यवस्था गरेको छ । चन्दा संकलनकै लागि १०१० वटा टेम्पु प्रयोग गरेका बस्नेत र सेन्चुरीले कास्कीमा मात्रै अरु जिल्लामा पनि आर्थिक संकलन गरेको डिएसपी मरासिनीले सुनाए । पाल्पाको रुचालका नाममा मात्रै नभई उनीहरुले अरु १२ जना बिरामीको नाममा चन्दा संकलन गरिसकेका थिए । रुचाललाई ४० लाख पठाइसक्यौं, अरु पनि पठाउने हो, पक्राउ परेकाहरुले प्रहरीलाई भनेका थिए । तर तिनीहरुले भनेजसरी नै पीडितहरुलाई पैसा पठाएको विश्वसनीय प्रमाण प्रहरीले फेला पारेको छैन । बस्नेत र सेन्चुरीहरुले कास्कीका अलावा चितवन, तनहुँ, दैलेख, सुनसरी, रूपन्देही, नवलपरासी, कास्की, पाल्पा, स्याङजा जिल्लाबाट बिना अनुमति चन्दा संकलन गरेको कास्की प्रहरी प्रवक्ता डिएसपी हमालले जनाएका छन् । कास्कीमा ८१० दिनमा ८१० लाख रुपैयाँ संकलन गरी बागलुङ जाने तयारी गर्दा गर्दै उनीहरु पक्राउ परेका हुन् ।"
"विश्वभर आज: चिनियाँहरुलाई अब ३ सन्तान पाउन छुट, अफगानिस्तानमा मनाइयो स्वतन्त्रता दिवस",महाराष्ट्रमा सरिया बोकेको ट्रक पल्टिँदा १३ मजदुरको मृत्यु नयाँदिल्ली: भारतको महाराष्ट्र प्रदेशस्थित बुलढाणामा सरिया बोकेको मालवाहक ट्रक पल्टिँदा १३ मजदुरको मृत्यु भएको छ । शुक्रबार दिउँसो २ बजे हिन्दू हृदय सम्राट बालासाहेक हाइवेमा सो दुर्घटना भएको थियो । दुर्घटनामा परी १३ मजदुरको घटनास्थलमै मृत्यु भएको छ भने तीन जना गम्भीर घाइते भएका छन् । मृतक १३ मजदुरहरु महाराष्ट्र प्रदेश खरगोन गाउँका बासिन्दा रहेको प्रहरीले जनाएको छ । प्रहरीको प्रारम्भिक अनुसन्धानका अनुसार हाईवेमा निर्माणाधीन पुलमा कार्यरत सबै मजदुर सरिया बोकेको ट्रकमाथि सवार थिए । ट्रकले सोही निर्माणधीन पुलको लागि सरिया बोकेको थियो । ००० चीनमा अब दम्पतीले तीन सन्तान पाउन सक्ने बेइजिङ: चीन सरकारले अन्तत तीन सन्तान पाउने नीति (थ्री चाइल्ड पोलिसी) आधिकारिक रुपमा स्वीकृत भएको छ । शुक्रबार बसेको चीनका शीर्ष नीति निर्माताहरु र चीनको राष्ट्रिय विधायक (नेसनल पिपुल्स कंग्रेसएनपीसी) को बैठकले सो नीति स्वीकृत गर्ने निर्णय गरेको हो । अब चिनियाँ दम्पतीहरुले तीन सन्तान पाउन सक्नेछन् । संसारको सबैभन्दा बढि आवादी भएको मुलुक चीनमा उच्च जन्मदर घटाउने उदेश्यले नीतिगत रुपमा परिवर्तन गरिएको बताइएको छ । सत्तारुढ कम्प्युनिस्ट पार्टीले गरेको सो निर्णयको चीनले औपचारिक रुपमा समर्थन पाएको छ । चीनको दशकौँ पुरानो एक सन्तान नीतिलाई सन् २०१६ मा परिमार्जन गर्ने गरी हेरफेर गरिएको थियो । एक सन्तानको नीतिले चीनको जन्मदर घटेको भन्दै त्यसताका चीनले दुई सन्तानको नीतिलाई विकल्पको रुपमा अघि सारेको थियो । घट्दो जन्मदरका कारण वर्तमान समयमा चीनमा काम गर्ने व्यक्तिको संख्यामा कमी आएको बताइन्छ । सिन्ह्वा न्युजका अनुसार तीन सन्तान पाउने दम्पतीलाई चीन सरकारले आकर्षण सेवा सुविधा उपलब्ध गराउने छ । ००० ग्रीनल्याण्डमा इतिहासमै पहिलो पटक वर्षा वासिंटन: वर्षभर हिमपात हुने बरफैबरफले ढाकेको ग्रीनल्याण्डको हिम क्षेत्रमा इतिहासमै पहिलो पटक पानी परेको बताइएको छ । समुद्री सतहदेखि २ माइल उचाईमा रहेको ग्रीनल्याण्डमा शनिबार पहिलो पटक पानी परेको हो । नेसनल स्नो एण्ड आइस डाटा सेन्टरकाअनुसार ग्रीनल्याण्डको हिम शिखर क्षेत्रमा सन् १९५० यता रेकर्ड तोड्ने गरी शनिबार पहिलो पटक भारी वर्षा भएको हो । तापक्रम बृद्धिका कारण ध्रुवीय क्षेत्रमा बरफ पग्लिँदै गएको छ भने हिउँ पर्नुको सट्टा पानी परिरहेको छ । ग्रीनल्याण्डको हिमपात हुने क्षेत्रमा भारी वर्षा हुँदा आइतबार औसतभन्दा सात गुणा बढी बरफ पग्लिएका छन् । तातो हावाको कारण बरफ पग्लिएिर तीन दिनको अन्तरालमा सात अर्ब टन पानी निस्कासन भएको छ । नेसनल स्नो एण्ड आइस डाटा सेन्टरका वरिष्ठ वैज्ञानिक टेड स्क्याम्वोजले हिउँ पर्ने क्षेत्रमा पानी पर्नु र तिब्र रुपमा बरफ पग्लिनुले ग्रीनल्याण्ड तिब्र रुपमा तातिरहेको प्रमाण देखाएको बताएका छन् । ००० अफगानिस्तानले मनायो स्वतन्त्रता दिवस काबुल: अफगानिस्तानले आफ्नो स्वतन्त्रता दिवस मनाएको छ । अमेरिकाले अफगान युद्ध हारेको घोषणा गर्दै अफगानिस्तानले स्वतन्त्रता दिवस मनाएको हो । देशको नयाँ सरकार चलाउने र अन्य व्यवस्थापन जस्ता कैयौँ चुनौती बाँकी नै भए पनि अफगानिस्तानले बिहीबार स्वतन्त्रता दिवस मनाएको बताइएको छ । अफगानिस्तानमा ब्रिटिस शासन अन्त्य गर्ने १९१९ को सन्धि स्मरण गर्न हरेक वर्ष स्वतन्त्रता दिवस मनाइन्छ । यस वर्षको स्वतन्त्रता दिवसको अवसरमा तालिबानले ब्रिटिसबाट स्वतन्त्र भएकोमा आफुहरु निकै सौभाग्यशाली रहेको बताएको छ । स्वतन्त्रता दिवसको अवसरमा अफगानिस्तानले आफ्नो राष्ट्रिय झण्डा फहराएको थियो । तालिबानले अफगानिस्तान युद्धमा अमेरिका असफल रहेको भन्दै अफगानिस्तानबाट बाहिरिनु परेको बताएको छ । ००० हैटीमा भूकम्पको राहत बाँड्न गएका दुई डाक्टरको सामूहिक अपहरण हैटीमा भूकम्पबाट पीडितका लागि राहत बाँड्न पुगेका दुई डाक्टर सामूहिक अपहरणमा परेका छन् । बिहीबार राहत वितरणको क्रममा दक्षिणपश्चिम हैटी पुगेका दुई डाक्टर सामूहिक अपहरणमा परेको बताइएको छ । अपहरणकारीले हैटीको राजधानी पोर्ट ओ प्रिन्स अस्पतालमा कार्यरत अर्थोपेडिक डाक्टरहरुको अपहरण गरेको बताइएको छ । दुईमध्ये एक हैटी र एक अमेरिकाबाट आएका डाक्टर रहेको बताइएको छ । डाक्टरहरु अपरहणमा परेपछि उनीहरु कार्यरत अस्पताल दुई दिनका लागि बन्द गरिएको छ । यसअघि भूकम्पपछि आएको तुफान र भारी वर्षाले हैटीका भूकम्प पीडितको उद्धार र राहत वितरणमा कठिनाइ भएको थियो । राहत वितरणमा खटिएका डाक्टर नै अपहरणमा पर्न थालेपछि झनै कठिनाइ भएको बताइएको छ । अमेरिकी सरकार र विभिन्न निजी क्षेत्रले हैटीका भूकम्प पीडितको लागि राहत वितरण गरिरहेको छ । हैटीमा गएको ७२ म्याग्निच्युडको भूकम्पका कारण ज्यान गुमाएउनेहरुको संख्या २१ सय पुगेको छ भने १२ हजारभन्दा बढी घाइते भएका छन् । करिब १ लाख भन्दा बढी घरहरु पूर्ण रुपमा क्षति भएका छन् । हैटी भूकम्प मात्र नभई युद्ध र गरिबीको चपेटामा परेको मुलुक हो । ०००० रुसमा बढे कोरोनाका नयाँ संक्रमित मस्कोः रुसमा कोरोनाका नयाँ संक्रमित बढ्दै गएको बताइएको छ । रुसभर पछिल्लो २४ घण्टामा रुसमा २० हजार ९ सय ९२ कोरोनाका नयाँ संक्रमित फेला परेको बताइएको छ । डेल्टा भेरियन्टको संक्रमण फैलिरहेको बेला रुसमा दैनिक २० हजार नयाँ संक्रमित फेला पर्ने गरेको र दैनिक ७८५ को मृत्यु हुने गरेको अधिकारीहरुले जनाएका छन् । मस्कोमा सबैभन्दा बढी संक्रमण फैलिएको बताइएको छ । रुसमा हालसम्म कोरोनाबाट मृत्यु हुनेहरुको सख्या १ लाख ७४ हजार ४८५ पुगेको छ । ००० जिहादी आक्रमणमा ज्यान गुमाउनेहरुको लागि ३ दिन राष्ट्रिय शोक पश्चिम अफ्रिकी मुलुक बुर्किना फासोमा जिहादी आक्रमणमा परी मृत्यु हुनेहरुको संख्या ८० पुगेको छ । देशको उत्तरी क्षेत्रमा जिहादीहरुले आक्रमण गर्दा ६ सैनिक र ५९ सर्बसाधारणसहित ८० जनाले ज्यान गुमाएका छन् । गत बुधबार भएको जिहादी आक्रमणमा कैयौँ प्रहरी र सर्वसाधारण मारिएका थिए । बुर्किना फासोका राष्ट्रपति रोच मार्क क्रिष्चियन काबोरेले जिहादी आक्रमणमा परी ज्यान गुमाउनेहरुको लागि तीन दिन राष्ट्रिय शोकको घोषणा गरेका छन् । इस्लामिक द्धन्द्धले निम्त्याएको सो आक्रमणलाई पछिल्लो समयको सबैभन्दा ठूलो रक्तपात मानिएको छ । ००० चर्चित जापानी अभिनेता चिवाको ८२ वर्षको उमेरमा निधन टोक्यो: जापानका चर्चित मार्सल आर्टस् स्टार एवम् किल बिल फिल्मका अभिनेता सोनी चिवाको ८२ वर्षको उमेरमा निधन भएको छ । चिवाको कोरोनाको कारण शनिबार मृत्यु भएको हो । करिब ५ दशक फिल्म उद्योगमा विताएका अभिनेता सोनी हलिउड फिल्मका दर्शकहरुले रुचाएका सबैभन्दा चर्चित अभिनेता मध्ये एक हुन् । अभिनेता चिवा क्वेन्टिन तारान्तिनोको किलबिलको भूमिकाले बढी चिनिन्छन् । उनले थुप्रै हलिउड फिल्ममा अभिनय गरेका छन् । अभिनेता चिवालाई जापानी मार्सल आर्ट्स र करातेका हिरोको रुपमा चिनिन्छ।
"नेपाल आइडलको चौथो संस्करण : निर्णायक परिवर्तन, अब कोको ?","काठमाडौं : नेपाल आइडलको चौथो संस्करणको निर्णायक परिवर्तन भएका छन्। नेपाली टेलिभिजन इतिहासकै सबैभन्दा ठूलो र सफल गायन रियालिटी सो नेपाल आइडलले सिजन फोरका लागि नयाँ निर्णायक भित्र्याएको हो। नयाँ निर्णायकमा गायक एवं वरिष्ठ संगीतकार शम्भूजित बाँस्कोटा, सुगम पोखरेल र सुवानी मोक्तान रहेका छन्। उनीहरुले नेपाल आइडल परिवारको सदस्य भएर काम गर्ने अवसर पाएकोमा खुसि व्यक्त गरेका छन्। नेपाल आइडलको सिजन३ सम्म न्ह्यू बज्राचार्य, कालीप्रसाद बास्कोटा र इन्दिरा जोशी निर्णायक थिए। कार्यक्रमको प्रस्तोतामा आसिफ शाह र रेश्मा घिमिरे रहेका छन्। यस अगाडिका निर्णायक र प्रस्तोता अर्कै कार्यक्रममा व्यस्थ रहेकाले व्यवस्थापन समितिले नयाँ निर्णायक टीम चयन गरेको हो। नेपाली टेलिभिजन इतिहासकै सबैभन्दा ठूलो र सफल गायन रियालीटी सो नेपाल आइडलले सिजन फोरका लागि डिजिटल अडिसन भदौ १ गतेदेखि सुरु भएको छ। कोरोनाका कारण प्रभावित रियालिटी शोको नयाँ संस्करणलाई अघिल्ला सिजनभन्दा सशक्त रुपमा ल्याउने तयारी गरेको प्रोडक्सन टिमले सुरुमा डिजिटल अडिसनमा जाने निर्णय गरेको हो। डिजिटल अडिसनमा देश तथा विदेशमा रहेका १६ वर्षदेखि ३० वर्ष उमेर समूहका नेपाली नागरिक सहभागी हुन पाउने छन्। एपी वान टेलिभिजनबाट प्रसारण हुँदै आएको नेपाल आइडलको चौथो संस्करणको अडिसन पहिलेभन्दा फरक र पृथक ढंगले गर्न लागेको हो। कसरी दिने अडिसन ? नेपाल आइडलको चौथो संस्करणका लागि डिजिटल अडिसन घरमै बसेर दिन सकिनेछ। अडिसनका लागि मोवाइलको प्ले स्टोरमा गएर एपी वन एप्लिकेसन डाउनलोड गर्नुपर्नेछ। अडिसन ओपनमा गएर नेपाल आइडल क्लिक गरी त्यहाँ मागिएको विवरण भर्नुपर्नेछ र आफ्नै स्वरमा गाएको दुई वटा फरक विधाका गीत अपलोड गरी अडिसन दिन सकिनेछ। भदौ १ गतेदेखि सुरु हुने डिजिटल अडिसन भदौ ३१ गतेसम्म सञ्चालन हुनेछ। नेपाल आइडल प्रोडक्सन युनिटले नयाँ सिजनका लागि सबै तयारी पूरा भएको जनाएको छ। आइतबार मात्र एपीवान टेलिभिजन, नेपाल आइडल र ब्रान्डवर्थका प्रमुख कार्यकारी अधिकृत मोहन गजुरेलबीच नयाँ सिजनको बजार व्यवस्थापनसम्बन्धी सम्झौता भएको थियो। त्यसलगत्तै डिजिटल अडिसन सुरु गर्न लागिएको हो। कोरोना महामारीकै समयमा दर्शकलाई गीत संगीतबाट मनोरञ्जन दिने र उत्साह जगाउने उद्देश्यसहित डिजिटल अडिसन गर्न लागिएको नेपाल आइडलले जनाएको छ।"
