शीर्षक,विवरण
विवाहपञ्चमी महोत्सव : तिलकोत्सवमा जनक र दशरथबीच सम्धि मिलन,"जनकपुरधाम : त्रेताकालीन युगमा राम र सीताको विवाह भएको सम्झनामा धुमधामसँग मनाइने सप्ताहव्यापी रामजानकी विवाहपञ्चमी महोत्सव अन्तर्गत सोमबार चौथो दिन तिलकोत्सव कार्यक्रम सम्पन्न भएको छ। तिलकोत्सवको अवसरमा जानकी मन्दिरबाट २ सय ५१ पाहुर (भार) लिएर जानकी मन्दिरका महन्थ रामतपेश्वर दास वैष्णव राम मन्दिर पुगेका थिए। महावीर युवा कमिटीले आयोजना गरेको तिलकोत्सव कार्यक्रममा भगवान रामका अभिभावकलाई जानकीका अभिभावकले कोसेली सहित वस्त्र, गहनाहरु दिएर (टिकाटालो) तिलकाएका थिए। सोही अवसरमा मिथिलानीहरुले वैवाहिक लोकगीतहरु गाएर सीताका अभिभावक जानकी मन्दिरका महन्तसहित तिलकोत्सव समारोहमा सहभागी हुन आएका साधुसन्त, महिला श्रद्धालु गीतमार्फत गाली दिंदै जिस्काएका थिए। लोकगीत मार्फत गालीगलौज गरी जानकी पक्षका अभिभावकलाई गरिएको स्वागतले तिलकोत्सव समारोहमा थप रौनक थपिएको थियो। सीताको अभिभावकका भूमिकामा रहेका जानकी मन्दिरका महन्त रामतपेश्वर दासले भगवान रामका अभिभावक राम मन्दिरका महन्त राम गिरीलाई दुई सय एकाउन्न भरिया (कोसेली) सहित नयाँ वस्त्र, गहना लगायतका सामाग्री दिई तिलकोत्सव मनाइएको छ। तिलकोत्सवमा राममन्दिरका महन्त राम गिरी राजा दशरथ र जानकी मन्दिरका महन्त दास राजा जनकका रुपमा अंकमाल गरेका थिए। अंकमाल कार्यलाई यहाँ सम्धि मिलन भनिन्छ। जानकी मन्दिर परिसरबाट गाजाबाजाका साथ निक्लेको कोसेली नगर परिक्रमा गर्दै राम मन्दिर परिसरमा प्रवेश गरेको थियो। कोसेलीमा फलफुल, मिठाइ, पुरी, ठेकुवा, गांजा, बादशाही, खिर, दही च्युरा लगायतका सामाग्रीहरु रामपक्षमा पठाइएको छ। जनकनन्दिनी सीताको विवाह भएको दिनको स्मरणमा मिथिलावासीले गोस्वामी तुलसीद्वारा रचित रामायणमा गरिएको वर्णनानुसार तिलकोत्सवलाई विशेष महोत्सवका रुपमा मनाउने गरेका छन्। मिथिलाको परम्परा अनुसार भगवान राम र जनक जननी सीताको बुधबार विवाह पञ्चमी महोत्सव मनाउने कार्यक्रम रहेको छ। वैवाहिक कार्यक्रमको पूर्व सन्ध्यामा जानकी पक्षबाट राम पक्षमा कोसेली पठाउने चलन छ। रामजानकी विवाह महोत्सवको पाँचौ दिन मंगलबार सीताको मटकोर गरिने भएको छ। पवित्र गंगासागरको माटो ल्याइ मंगलबार साँझ सीताको मटकोर कार्यक्रम गरिने भएको छ।"
मटिहानीका मठमन्दिरको जीर्णोद्धार गरिँदै,"मटिहानीः धार्मिक एवं साँस्कृतिक नगरी मटिहानी नगरपालिकाले धार्मिक स्थल निर्माणमा तीव्रता दिएको छ। मटिहानीमा साढे पाँच सय वर्ष पुरानो लक्ष्मीनारायण मठ छ। योसँगै थुप्रै मठ मन्दिर, धर्मशाला छन्। त्यसको संरक्षण सम्वर्द्धनमा नगरपालिका जुटेको छ। त्यहाँ जाने बाटोघाटो र पूल निर्माण थालिएको छ। मटिहानी नगरपालिकाका मेयर हरिप्रसाद मण्डलले सोमबार पासमान जातिको कूलदेवता सलहेश मन्दिरको शिलान्यास गरेका छन्। मटिहानी२ मा निर्माण हुन लागेको मन्दिरको बजेट ८ लाख रहेको नगरपालिका प्राविधिक अनिल साहले बताए। मटिहानी७ मा मणिराम बाबा कुट्टी भवनको निर्माण थालिएको छ। कुट्टी भवन निर्माणका लागि नगरपालिकाले ११ लाख ८४ हजार बजेट बिनियोजन गरेको छ। त्यसैगरी मटिहानी९ स्थित सिमरदहीमा सिमरदही र प्रकौली जोड़ने सडकको सिमरदही मुस्लिम टोलमा कलभर्ट (पुल) निर्माण थालिएको छ। त्यहाँ पुल नहुँदा वर्षायाममा आवतजावत गर्न कठिन हुने गरेको स्थानीय समाजसेवी मरनीदेवी साह बताउँछिन्। पुल निर्माणका लागि नगरपालिकाले करिब २८ लाख ५४ हजार रुपैयाँ खर्च गरेको छ। कलभर्ट पुल फागुन मसान्तसम्म निर्माण भइसक्ने मटिहानी नगरपालिकाका प्राविधिक विमलेश साहले बताए। सात प्रकारका माटोहरूको संगम स्थलसप्तमृतिका पनि मटिहानीसँग छ। त्रेता युगमा राम र सीताको विवाह हुँदा वेदी बनाउन माटो खनेर लगिएको मिथिलाको पावन भूमिले पौरानिकता भलकाउँछ, राजकीय सँस्कृत माध्यमिक विद्यालय मटिहानीका प्राचार्य ईश्वरीप्रसाद पौडे्ल भन्छन्, मटिहानीमै ३०३ वर्ष पुरानो देशकै जेठो राजकीय सँस्कृत माध्यमिक विद्यालयले यहाँको विगतलाई दर्शाउँछ। स्थानीय सरकार आएपछि मटिहानीका मठमन्दिर, शैक्षिक तथा धार्मिक स्थलको संरक्षण, सम्वर्द्धनका लागि परेको छ। तर बजेट अभाव छ। हालै मटिहानी नगरपालिकाले नगरभित्र रहेका प्रतापी थान मन्दिर, राघोबाबा मन्दिर, पासवान जातिका कूलदेवता राजा सलहेशको मन्दिरको जीर्णोद्धार तथा नयाँ गरिएको मेयर मण्डल बताउँछन्। मटिहानी बजारमा घण्टाघर निर्माण गरिएको छ। जहाँ घण्टैपिच्छे समयको बोध गराउँछ। जलेश्वरमटिहानी सडक र मटिहानीजनकपुर सडक (रामजानकी पथ)मा नगर प्रवेशद्वार बनाइएको छ। लक्ष्मीसागरमा मनोरम घाट र चित्ताकर्षक पक्की घेराबेरा छ। मटिहानी नगरपालिका, प्रदेश सभा सदस्य अभिराम शर्मा र प्रतिनिधिसभा सदस्य महन्थ ठाकुरको संसदीय विकास कोषको रकम धार्मिक स्थल तथा मठमन्दिर निर्माणमा खर्चिएको छ। मटिहानीबजारमा अतिथिगृह निर्माण गरिएको छ। लक्ष्मीनारायण मठअगाडि भव्य दुर्गा मन्दिर र विद्यालय परिसरमा नेपाली सेनाले अन्नपूर्ण भोजनालय निर्माण गरेको छ।"
"चीनले मौसम नियन्त्रण गरेको खुलासा, संसारमा हातहतियारको व्यापार बढ्यो","बेइजिङः चिनियाँ मौसम अधिकारीहरुले सफलतापूर्वक चीनको मौसम नियन्त्रण गरेको खुलेको छ। देशको मुख्य राजनीतिक समारोहका लागि मौसम अनुकूल बनाउन मौसमविद्हरु सफल भएको एक अध्ययनले खुलाएको हो। यस वर्षको सुरुवात अर्थात् जुलाई १ मा चिनियाँ कम्युनिष्ट पार्टीले मुख्य राजनीतिक समारोह आयोजना गरेको थियो। तियनामेन स्क्वायरमा आयोजित सो समारोहमा १० हजारभन्दा बढी मानिसहरु सहभागी बनेका थिए। मौसम खराबीका कारण सो समारोह बिग्रन नदिन र समारोहको दिन आकाश सफा बनाउन त्यहाँको मौसम नियन्त्रणमा राखिएको बेइजिङ युनिभर्सिटीको एक अध्ययनले खुलासा गरेको छ। सिंघाउ युनिभर्सिटीको अध्ययनअनुसारसमारोह सुरु हुनुभन्दा एकघण्टा अघि नै मौसमविद्हरुले सो क्षेत्रको बादल अन्यत्र पठाएका थिए भने मौसम खराब हुनबाट रोक्न सफल बनेका थिए। चीन सरकारले क्लाउड सिडिङ टेक्नोलोजिबाट मौसम नियन्त्रण गर्ने गरेको बताइएको छ। चीनले सन् २००८ को ओलम्पिक्समा सो टेक्नोलोजी प्रयोग गरेको थियो। जसमा कम्तीमा खर्बौ डलर खर्च गरेको बताइएको छ। संसारमा हातहतियारको व्यापार बढ्यो, सन् २०२० मा मात्र ५३१ बिलियन डलर नाफा सोल्नाः सैन्य सेवा र हातहतियार व्यापार विश्वव्यापी रुपमा बढेको छ। संसारका सबैभन्दा ठूला सैन्य हातहतियार कम्पनीहरुको व्यापार अघिल्ला वर्षहरुको तुलनामा १३ प्रतिशतले बढेको हो। स्टकहोल्म इन्टरनेसनल पिस रिसर्च इन्स्टिच्युट (सिप्री)का अनुसार संसारका सबैभन्दा ठूला १ सय वटा सैन्य हतियार कम्पनीको हतियार व्यापार बढेको छ। हतियार व्यापार बढेसँगै ती कम्पनीहरुले सन् २०२० मा मात्र ५३१ बिलियन अमेरिकी डलर नाफा कमाएका छन्। जुन हालसम्मकै उच्च नाफा र कारोबार भएको बताइएको छ। स्विडेनको थिंक ट्यांकले बताएअनुसार सन् २०२० मा भएको हतियार व्यापारले विश्व अर्थतन्त्रमा समेत हलचल मच्चाएको थियो। सन् २०१५ सम्मको तुलनामा हालसम्म सैन्य हातहतियार व्यापार १७ प्रतिशतले बढेको बताइएको छ। सैन्य हातहतियार खरिद बिक्रीमा अझै पनि अमेरिकाको अगाडि रहेको बताइएको छ। जापानमा विदेशी विद्यार्थीलाई ड्युटी फ्रि सेवा बन्द टोक्योः जापान सरकार र त्यहाँको सत्ताधारी दलले विदेशी विद्यार्थीलाई ड्युटी फ्री (भन्साररहित) सेवा प्रणाली हटाउने निर्णय गरेको छ। भन्सार सेवामा विभिन्न शंकास्पद् केसहरु फेला परेको र सो सेवा प्रणाली झन्झटिलो भएको भन्दै व्यापक प्रतिक्रिया आएपछि सरकारले सो निर्णय गरेको हो। सरकारको नयाँ निर्णय विदेशी विद्यार्थी र लामो समयदेखि जापानमा बसोबास गर्दै आएका आप्रवासीहरुको हकमा लागू हुने छ। सो निर्णय आर्थिक वर्ष २०२२ देखि लागू हुने क्योडो न्युजमा समाचार छ। हलको नियमअनुसार लामो समयदेखि जापानमा बसिरहेका विदेशी विद्यार्थी र पार्ट टाइम जब नभएकाहरुले जापान प्रवेश गरेको ६ महिनाभित्रमा भन्साररहित सेवा उपभोग गर्न पाउने व्यवस्था थियो। नयाँ निर्णयअनुसार सो सेवा हट्ने स्थानीय मिडियामा खबर छ। जाम्बियामा ब्यारो राष्ट्रपतीय चुनावमा विजेता घोषित बन्जुलः पश्चिम अफ्रिकी मुलुक जाम्बियामा अदामा ब्यारोले राष्ट्रपतिय चुनाव सहजै जितेका छन्। दशकपछि भएको चुनावमा उनले सहजै राष्ट्रपतिय चुनाव जितेका हुन्। शनिबार भएको चुनावमा ब्यारोले ५३ प्रतिशत भोट प्राप्त गरेका छन् भने उनका प्रतिद्वन्द्वी वकिल औसैनौ डार्वोइले २८ प्रतिशत भोट प्राप्त गरेका छन्। विपक्षीलाई भारी मतले हराउँदै व्यारो जाम्बियाको राष्ट्रपतिको रुपमा विजेता बनेको बताइएको छ। विपक्षी दलले राष्ट्रपतिय चुनावको मतको नतिजा अस्वीकार गरेको बताइएको छ। उनको जितपछि लामो समयसम्म राष्ट्रपतीय पद सम्हाल्दै आएका पूर्व राष्ट्रपति यहाय जम्मेह पदमुक्त भएका छन्। भेनेजुयलामा कोलम्बियाका विद्रोही कमान्डर मारिए कराकसः भेनेजुयलामा कोलम्बियाका विद्रोही कमान्डर एल पेसाको मृत्यु भएको छ। उनको भेनेजुयलास्थित आपुरे राज्यस्थित एम्बुसमा परि मृत्यु भएको हो। भाडामा लिइएका हत्याराहरुले थापेको एम्बुसमा परी उनको मृत्यु भएको हुनसक्ने आइतबार प्रकाशित स्थानीय मिडियामा खबर छ। यद्यपि आधिकारिकरुपमा उनको मृत्युको पुष्टि भइनसकेको बीबीसीले जनाएको छ। बीबीसीका अनुसार कोलम्बियाको आर्मीले एल पेसाको मृत्युबारे आफू बेखबर रहेको बताएको छ भने कोलम्बियन अधिकारिहरुले समेत उनको मृत्यु भएको हो या हैन भन्नेबारे पुष्टि भइ नसकेको बताएको छ। उनको मृत्युबारे विस्तृत अनुसन्धान भइरहेको अधिकारीहरुले बताएका छन्। हर्नान डेरिओ वेलास्क्विज उर्फ एल पेसा कोलम्बियाको विद्रोही समूह रिभोलुसनरी आर्म्ड फोर्सेस अफ कोलम्बिया (फार्क)का कमाण्डर हुन्। फार्क विद्रोहीहरु मार्क्सवादी समूह थिए। जसले कोलम्बियाको सरकार विरुद्ध ५० वर्षसम्म युद्ध गरेको थियो। भारतीय सुरक्षाकर्मीद्वारा मारिएका १५ नागरिकको सामूहिक अन्त्यष्टि नागाल्याण्डः भारतीय सुरक्षाकर्मीद्वारा उत्तरपूर्वी प्रान्त नागाल्यण्डमा मारिएका १५ निर्दोष नागरिकको सामूहिक अन्त्यष्टि गरिएको छ। शनिबार राति मारिएका उनीहरु सबैको नागाल्याण्डमै सामूहिक अन्त्येष्टि गरिएको हो। ती नागरिकहरुको झुक्किएर मृत्यु भएको भारत सरकार र सुरक्षा बलद्वारा जारी विज्ञप्तिले जनाएको छ। विज्ञप्तिका अनुसार मारिनेमा नागाल्याण्डका आदिवासी कोन्याक समूहका १४ र १ सुरक्षाकर्मी गल्तीपूर्वक मारिएका हुन्। सुरक्षाकर्मीको गोलीबाट आइतबार थप एक नागरिकको मृत्यु भएको थियो। म्यानमार सीमा नजिकै सुरक्षाकर्मीले आतंकवादीविरुद्ध अपरेसन थालेको थियो। सो अपरेसनमा ती नागरिक परेको बताइएको छ। सुरक्षाकर्मीले आफ्ना नागरिक मारेको भन्दै नागाल्याण्डका बासिन्दाले प्रदर्शन गरेका छन्। राष्ट्रपति उम्मेद्वार बब डोलको निधन वासिङ्टनः अमेरिकी वरिष्ठ नेता बब डोलको निधन भएको छ। सन् १९९६ मा राष्ट्रपतीय चुनावमा उम्मेद्वारी दिएका रिपब्लिकन पार्टीका वरिष्ठ नेता डोलको ९८ वर्षको उमेरमा निधन भएको हो। सन् १९९६ मा रिपब्लिकन पार्टीको तर्फबाट राष्ट्रपतिय पदको लागि उम्मेद्वारी दिएका उनलाई डेमोक्रेट्सका बिल क्लिन्टनले हराएका थिए। अमेरिकी राष्ट्रपति जो बाइडेनले डोले आफ्ना हितैसी मित्र भएको भन्दै उनको मृत्युप्रति संवेदना प्रकट गरेका छन्। डोले दोस्रो विश्वयुद्धका दिग्गज व्यक्तिसमेत हुन्। इजिप्टमा अपार्टमेन्ट भत्किदाँ ३ बालबालिकाको मृत्यु कायरोः इजिप्टको दक्षिणी प्रान्तमा एक अपार्टमेन्ट भवन भत्किदाँ कम्तीमा ३ बालबालिकाको मृत्यु भएको छ। सोमबार बिहान सुयफ प्रान्तस्थित दुई तले अपार्टमेन्ट भवन भत्किदाँ कम्तीमा ३ बालबालिकाको मृत्यु भएको हो। उद्धारकर्ताको टोलीले सो क्षेत्रबाट अन्य ९ घाइतेको उद्धार गरेको छ। मृत्यु हुनेमा तीनजना दाजुबहिनी रहेको बताइएको छ। जसमा ८ र वर्षका दुई जना दाजुभाइ र ११ वर्षीय बहिनीको मृत्यु भएको बताइएको छ। पुराना र मर्मत नगरिएका कारण इजिप्टमा भवन भत्किनु सामान्य मानिन्छ। इन्डोनेसियाको ज्वालामुखीमा हराएका २७ अझै भेटिएनन् जर्काताः इन्डोनेसियाको विपद् विभागले ज्वालामुखी विष्फोटपछि बेपत्ता परेका २७ मानिस अझै हराइरहेको बताएको छ। सोमबार आयोजित प्रेस सम्मेलन सम्मेलनमार्फत् विभागले सो जानकारी दिएको हो। शनिबार इन्डोनेसियाको जाभा टापुस्थित सुमेरु प्र्वतबाट ज्वालामुखी विस्फोट भएको थियो। सो ज्वालामुखीबाट कम्तीमा १५ मानिसको मृत्यु भएको थियो भने अन्य ५६ घाइते भएका थिए। प्रभावित क्षेत्रबाट १७ सयभन्दा बढि मानिको उद्धार गरिएको थियो। ज्वालामुखी विस्फोटका कारण कम्तीमा ३ हजार घरहरु पूर्णरुपमा क्षतिग्रस्त बनेका थिए। ज्वालामुखी विस्फोटपछि निस्केको लेदो र खरानीमा परी हराएका उनीहरु अझै फेला नपरेको त्यहाँको राष्ट्रिय विपद् विभागले बताएको छ।"
भ्रष्टाचारको आरोपमा सामुदायिक वनका पदाधिकारीविरुद्ध मुद्दा,"काठमाडौं : भ्रष्टाचार गरेको अभियोगमा अख्तियार दुरुपयोग अनुसन्धान आयोगले सुर्खेतको पातालगैरी सामुदायिक वन उपभोक्ता समितिका पदाधिकारी र उपभोक्ता विरुद्ध विशेष अदालतमा मद्दा दायर गरेको छ । आयोगले पातालगैरी सामुदायिक वन उपभोक्ता समितिका अध्यक्ष हरि दमाइँ, कोषाध्यक्ष खड्गप्रसाद जैसी र सचिव पूर्णिमा शाह सिंहविरुद्ध १८ लाख ७७ हजार बराबरको बिगो भराउन माग गर्दै मुद्दा दायर गरेको हो । सोही उपभोक्ता समितिका सदस्य रणबहादुर बडुवालविरुद्ध पाँच लाख ५० हजार र अर्का सदस्य भरतबहादुर शाहीविरुद्ध एक लाख ५० हजार, सो वन समूहका उपभोक्ता प्रेमबहादुर सिञ्जापतिविरुद्ध पनि आठ लाख ८७ हजार बराबरको बिगो भराउन माग गरिएको छ। यसैगरी उपभोक्ता हस्तनादेवी शाहीविरुद्ध एक लाख १५ हजार र अशोक सिंहविरुद्ध २५ हजार बराबरको बिगो माग गरिएको आयोगका प्रवक्ता नारायणप्रसाद रिसालले जानकारी दिए। सेवाग्राहीसँग आठ हजार घुस लिएको अभियोगमा वैदेशिक रोजगार कार्यालय ताहाचल काठमाडौँमा कार्यरत नायब सुब्बा दुर्गाप्रसाद पोखरेलविरुद्ध पनि आयोगले आजै विशेष अदालतमा मुद्दा दायर गरेको छ । कार्यालय परिसरमा रहेको फोटोकपी सञ्चालकसँगको मिलेमतोमा नायब सुब्बा पोखरेलले घुस लिएको आरोप लागेको छ । रासस"
हेलिकप्टर दुर्घटनामा दुई पाइलटको मृत्यु,इस्लामाबाद: पाकिस्तानको कब्जामा रहेको गिलगिटबाल्टिस्तानको घाँचे जिल्लाको सियाचेनमा सेनाको उड्डयन हेलिकप्टर दुर्घटना हुँदा दुई पाकिस्तानी पाइलटको मृत्यु भएको छ। इन्टरसर्भिस पब्लिक रिलेसन (आइएसपीआर) का अनुसार पाइलटहरू मेजर इरफान बर्चा र मेजर राजा जिशान जहानजेब थिए। दुर्घटनापछि खोजी र उद्धार हेलिकप्टर र सेनाको टोली घटनास्थलमा पुगेको छ। आइएसपीआरले दुर्घटनाको कारण बताएको छैन। जीबी 'मुख्यमन्त्री' खालिद खुर्शीद खानले विज्ञप्तिमार्फत् घटनाबारे शोक व्यक्त गर्दै पीडित परिवारप्रति समवेदना व्यक्त गरेका छन्।
"बैतडीमा जीप दुर्घटना, चार जनाको मृत्यु","बैतडी: बैतडीमा आज साँझ जीप दुर्घटना हुँदा चार जनाको मृत्यु भएको छ। दुर्घटनामा ६ जना घाइते भएका छन्। पाटन बजारबाट कैलपाल जाँदै गरेको से १ ज ८८८ नम्बरको जीप पाटन नगरपालिका१ सकार थलीमा दुर्घटना भएको हो। दुर्घटनामा परी मृत्यु हुनेमा पाटन नगरपालिका१ सकारका १३ वर्षीय विनोद भट्टराई, ७२ वर्षीया रमा भट्टराई, ठेगाना नखुलेका २४ वर्षीय प्रेम चुनारा र २० वर्षीया मनिषा विक रहेका इलाका प्रहरी कार्यालय पाटनका इञ्चार्ज प्रहरी निरीक्षक राजेश शाहीले जानकारी दिए। दुर्घटनामा पाटन नगरपालिका१ सकारका ओमप्रकाश भट्टराई, जानकी भट्टराई, दीपक भट्टराई, मानध्वज भट्टराई, विष्णु भट्टराई र गोविन्द विक घाइते भएका छन्। मृतक र घाइते सबैलाई पाटन प्राथमिक स्वास्थ्य केन्द्रमा राखिएको छ। जीपमा चालकसहित ११ जना सवार रहेका प्रहरीले जनाएको छ। जीप सडकबाट १०० मिटर तल खसेको थियो। चालक पाटन५ वसन्तरपुरका खेमराज पाण्डेय फरार छन्। कच्ची र भिरालो सडकका कारण दुर्घटना भएको हुनसक्ने अनुमान गरिएको छ।"
डेंगूबाट १५ जनाको मृत्यु,"नयाँ दिल्ली : भारतको राजधानी नयाँ दिल्लीमा डेंगूबाट कम्तीमा १५ जनाको मृत्यु भएको छ । दिल्लीमा झण्डै ८ हजार ९ सय जना डेंगूका विरामी रहेको भारतीय संचारमाध्यमा समाचार छ । एडिस प्रजातिको लामखुट्टेले सार्ने भाइरसले दक्षिण एसियाली मुलुकमा संक्रमण बढिरहेको विज्ञले बताएका छन्। यसको खास उपचार नभएको उनीहरूको भनाइ छ। उनीहरूले एकै खालको भाइरसले दक्षिण एसियालीलाई संक्रमण गरेको उल्लेख गरेका छन्। विश्व स्वास्थ्य संगठन (डब्लूएचओ)ले डेंगु संक्रमण बढ्नुमा सरसफाइको कमी, अव्यवस्थित सहरीकरण, उच्च जनघनत्व, बसाइसराइ लगायत कारक तत्व रहेको जनाएको छ । डब्लूएचओका अनुसार विश्वको करिब आधा जनसंख्या डेंगु संक्रमणको जोखिममा छन्।"
"मुम्बईमा थप दुई जनामा ओमिक्रोन संक्रमण, भारतमा संक्रमित संख्या २३ पुग्यो","नयाँ दिल्लीः छिमेकी देश भारतमा कोरोना भाइरसको नयाँ भेरियन्ट ओमिक्रोन संक्रमण तीव्ररुपमा फैलिन थालेको छ। पछिल्लो पटक मुम्बाईमा थप दुई जनामा कोरोनाको नयाँ भेरियन्ट ओमिक्रोन संक्रमण पुष्टि भएको भारतीय अधिकारीहरुले जनाएका छन् दक्षिण अफ्रिकाबाट आएका थप दुई जनामा ओमिक्रोन संक्रमण भेटिएको हो । यो सँगै भारतमा नयाँ भेरियन्टबाट संक्रमित हुनेको संख्या २३ पुगेको छ । यसअघी राजस्थानमा ९ जनामा ओमिक्रोन संक्रमण पुष्टि भएको थियो । भारतीय अधिकारीहरुका अनुसार महाराष्ट्रमा मात्र अहिलेसम्म १० जनामा ओमिक्रोन संक्रमण पुष्टि भएको छ । कर्नाटकमा दुई जनामा, गुजरातमा १ जनामा र नयाँ दिल्लीमा १ जनामा संक्रमण पुष्टि भएको थियो। भारतमा अहिलेसम्म २३ जनामा ओमिक्रोन संक्रमण देखिएको छ।"
"स्वर्गद्वारी जाँदै गरेको अटो दुर्घटना : बावुछोराको मृत्यु, चार घाइते",बुटवल : प्यूठानमा टिपरले अटो रिक्सालाई ठक्कर दिँदा बावुछोराको घटनास्थलमै मृत्यु भएको छ। विजुवारबाट स्वर्गद्वारी मन्दिर दर्शनका लागि गएका प्यूठान नगरपालिका ३ घुर्चनेका ३५ वर्षीय अमृत थापा र उनका ६ वर्षीय छोरा सुशान्त थापाको घटनास्थलमै ज्यान गएको जिल्ला प्रहरी कार्यालय प्यूठानले जनाएको छ । दुर्घटनामा चारजना घाइते भएका छन् । घाइतेहरुको प्यूठान अस्पतालमा उपचार भइरहेको छ। चकचकेबाट विजुवारतर्फ आइरहेको ना८ख ३९०३ नम्बरको टिपरले लु१ह ५७०७ नम्बरको अटोलाई ठक्कर दिएको प्रत्यक्षदर्शीहरुले बताएका छन् । मृतका आफन्त घटनाका दोषीलाई कारबाही तथा क्षतिपूर्तिको माग राख्दै शव उठाउन मानेका छैनन्। भालुबाङप्यूठान सडकखण्ड ४ घण्टादेखि अवरुद्ध छ ।
"विदेशमा सिकेको ज्ञान, सीप नेपालमा खर्चौं : पूर्व राष्ट्रपति यादव","काठमाडौं : पूर्व राष्ट्रपति डा रामवरण यादवले नेपाली युवाले विदेशमा प्राप्त गरेको ज्ञान, सीप र प्रविधिलाई नेपाली भूमी समृद्ध बनाउन खर्चिन आग्रह गरेका छन्। अन्तर्राष्ट्रिय नेपाली युवा उद्यमी महासंघको उद्घाटन गर्दै उनले यस्तो बताएका हुन्। नेपाली उत्पादन, सीपलाई विश्व बजारमा पुर्याउन सक्रिय युवा उद्यमीले उद्यमी महासंघको स्थापना गरेका हुन्। संसारभर छरिएर रहेका युवा उद्यमीलाई समेटेर स्थापना गरिएको महासङ्घले नेपाली उत्पादनको विदेशमा प्रदर्शनी, बजारीकरण, रोजागारी लगायत विषयमा सहजीकरण गर्ने लक्ष्य राखेको छ। नेपालमा जनसंख्याको ५० प्रतिशत युवा रहे पनि उनीहरुसँग आवश्यक सीपको कमी रहेको उनले बताए। उनले भने,जन्मभूमिलाई कसरी आर्थिक रुपमा समृद्ध बनाउने भन्ने तपाईंहरु युवामा सपना र भिजन छ, त्यसलाई साकार बनाउन उचित वातावरण बनाउन सरकारले सहयोग गर्न जरुरी छ। पूर्व राष्ट्रपति यादवले नेपाल अनुपम प्राकृतिक सुन्दरता र भौगोलिक विविधतायुक्त मुलुक रहेको बताए। हाम्रै नेपालमा कति वटा स्वीजरल्याण्ड र सिंगापुर छ , उनले भने,नेपाली भूमी विश्व पर्यटनका लागि आकर्षक गन्तव्य छ। तपाईंहरु पहिला आफ्नै देश भ्रमणन गर्नुहोस्। त्यसपछि विश्वमा नेपाललाई प्रचारप्रसार गर्नुहोस्। डोजरे विकासले नेपालको डाँडाकाँडा ध्वस्त बनाइरहेको प्रति पूर्व राष्ट्रपति यादवे चिन्ता व्यक्त गरे। सत्तरी वर्ष लगाएर ल्याएको परिवर्तन संस्थागत नभइरहेकोमा पूर्वराष्ट्रपति यादवले चिन्ता व्यक्त गरे। हाम्रो उपलब्धी संस्थागत गर्ने नेता नेपालमा भएनन्। देशमा सुशासन, विधीको शासन भएन, उनले भने। नेपाल चलचित्र विकास बोर्डका कार्यकारी अध्यक्ष दयाराम दाहालले कला र संस्कृति विश्वबजारमा पुर्याउने संस्थागत लगानी आवश्यक रहेको उनले उल्लेख गरे। नेपालसँग अर्ग्यानिक कथावस्तु छ। त्यसलाई हामी सबै मिली चलचित्रको माध्यमले विश्वबजारमा पुर्याउनु पर्छ। उत्पादनमुखी उद्योगलाई नेपाल सरकारले करमा सहुलियत दिनु पर्ने नेपाल चेम्बर अफ कमर्सका वरिष्ठ उपाध्यक्ष कमलेश्वर अग्रवालले बताए। उद्योग वाणिज्य महासङ्घका उपनिर्देशक गोकर्णराज अवस्थी, शिक्षा उद्यमी द्विराज शर्मा, पर्यटन व्यवसायी सुमान पान्डे लगायतले नेपाली उद्यमीहरुको समस्या बारे चर्चा गरेका थिए। महासंघका अध्यक्ष स्वतन्त्रप्रताप शाहका अनुसार चीन, हङ्कङ, अमेरिका, बेलायत अष्ट्रेलियालगायत ११ मुलुकका युवा उद्यमीलाई समेटिएको छ। नेपाली माटोको माया लाग्छ त्यही भएर विरानो भूमीबाट जन्मभूमिका केही गरौं भनेर आएका छौं, उनले भने, प्रवासको सीप र लगानीलाई नेपालमा खन्याउँछौं। नेपाल र नेपालीको उज्जल भविष्यको लागि काम गर्ने उनले प्रतिबद्धता जनाए।"
