शीर्षक,विवरण
गौशालाका मुसहरलाई आन्तरिक मामिला मन्त्रीले बाँडे कम्बल,"महोत्तरी : शितलहर तथा बाक्लो हुस्सुको कारण जनजीवन प्रत्यक्षरुपले प्रभावित भएपछि गौशालाका मुसहरलाई कम्बल प्रदान गरिएको छ। मधेश सरकारका आन्तरिक मामिला तथा संचारमन्त्री भरतप्रसाद साहले गौशाला नगरपालिका६ फुलकाहाका ५० घरपरिवारलाई राहतस्वरुप कम्बल वितरण गरेका हुन्। प्रदेश सरकारको विपद व्यवस्थापन समितिको सहयोगमा उक्त घरपिरवारलाई जनही ११ थानका दरले कम्वल प्रदान गरेका हुन्। मंगलबार वस्तिमा पुगि मन्त्री साहले मुसहर समुदायलाई कम्बल वितरण गरेका थिए । विगत केही दिनयता निरन्तररुपले बढेको चिसोले जनजीवन प्रत्यक्षरुपले प्रभावित हुँदा राहतस्वरुप उनीहरुलाई कम्बल प्रदान गरिएको मन्त्री साहले बताए। सोहीविच मन्त्री साहले चिसोको समयमा विशेष सावधानी अपनाई कामकाज गर्नका लागि सर्वसधारणसमक्ष आग्रह गरेका छन। कार्यक्रमकाबीच गौशाला६ का वडाअध्यक्ष नथुनी राउत, वडा नं ७ का वडाअध्यक्ष किशुनदेव कुमर लगायतकाको उपस्थिति रहेको थियो ।"
अबुधाबीमा भएको ड्रोन आक्रमणको नेपालद्वारा निन्दा,काठमाडौं: सरकारले संयुक्त अरब इमिरेट्सको अबुधाबीका विभिन्न स्थानमा हिजो भएका आतंकवादी हमलाको नेपालले निन्दा गरेको छ। परराष्ट्र मन्त्रालयले आज एक विज्ञप्ति जारी गरी मृतकका परिवारजनमा गहिरो समवेदना प्रकट गर्दै घाइतेहरुको शीघ्र स्वास्थ्य लाभको कामना गरेको छ। व्यावसायिक एवं पर्यटन केन्द्रको राजधानी अबुधाबी विमानस्थल नजिक सोमबार भएको आतंकवादी आक्रमण इन्धन ट्रकमा हुँदा तीन जनाको मृत्यु हुनाका साथै अन्य छ जना घाइते भएका थिए।
खोप अभियान सञ्चालन गर्न चार दिन विद्यालय खुल्ने,"काठमाडौं: सरकारले खोप अभियान सञ्चालन गर्नका लागि माघ १५ गतेपछि चार दिन विद्यालय खोल्ने निर्णय गरेको छ। गृह मन्त्रालयको विपद व्यवस्थापन महाशाखाका प्रमुख प्रदीप कोइरालाले खोप अभियानका लागि माघ १६ देखि २० गतेसम्म विद्यालय खोल्ने निर्णय भएको बताए। यही माघ १६ गतेदेखि २० गतेसम्म विद्यालय कोभिडविरुद्धको खोप लगाउने प्रयोजनका लागि खोल्ने निर्णय भएको छ। त्यो समयमा हामीले विद्यालयमा खोप अभियान चलाउने निर्णय गरेका छौँ। हामीले निर्णय गरेका छौँ सम्बन्धित मन्त्रालयले सूचना जारी गर्छन् र कार्यान्वयनमा जान्छ, उनले भने। सरकारले महामारीको चेनब्रेक गर्न भन्दै २५ पुसमा सीसीएमसीसीले गरेको सिफारिस अनुसार १५ माघसम्म विद्यालय बन्द गर्ने निर्णय गरेको थियो।"
गण्डकी रत्न सम्मानका लागि निवेदन आह्वान,"पोखरा : गण्डकी प्रदेश सरकारले विशिष्ट व्यक्ति सम्मानका लागि निवेदन आह्वान गरेको छ। आन्तरिक मामिला मन्त्रालयले मंगलबार सूचना प्रकाशित गरी निवेदन मागेको हो। यसअघि सरकारले विशिष्ट व्यक्ति सम्मान गर्ने सम्बन्धी कार्यविधि बनाएको थियो। उक्त कार्यविधि बमोजिम प्रदेशका विशिष्ट व्यक्तिलाई सम्मान गर्ने उद्देश्यले सरकारले निवेदन मागेको हो। गण्डकी प्रदेशको श्रीवृद्धि र गौरव बढाउनेगरी विभिन्न क्षेत्रमा विशिष्ट योगदान पुयाएका व्यक्तिहरुलाई प्रदेश सरकारद्वारा विशिष्ट व्यक्ति सम्मान प्रदान गर्ने गरी कार्यविधि बनेको छ। उत्कृष्ट कार्यगरी प्रदेशको श्रीवृद्धि र गौरव बढाउन विशिष्ट योगदान पुयाएको छु भन्ने लागेमा आफूले पुयाएको योगदानको विवरण १५ दिनभित्र आन्तरिक मामिला मन्त्रालय, गण्डकी प्रदेशमा पेश गर्नु हुन, मंगलबार प्रकाशित सूचनामा भनिएको छ। विशिष्ट व्यक्ति सम्मान गर्ने सम्बन्धी कार्यविधि २०७८ मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालय, गण्डकी प्रदेशको वेबसाइटमा रहेको समेत जनाइएको छ। गण्डकी प्रदेश सरकारले विभिन्न क्षेत्रमा उल्लेख योगदान गर्ने व्यक्तित्वलाई गण्डकी रत्न पुरस्कार प्रदान गर्ने कार्यविधि हालै पारित गरेको थियो। प्रदेशभित्र शिक्षा, स्वास्थ्य, खेलकुद, कृषि, उद्योग, विज्ञान, पर्यटन, पूर्वाधार, विज्ञान, प्रविधि, समाजसेवा लगायतमा क्षेत्रमा उल्लेख्य योगदान गरी प्रदेशको गरिमा बढाउने व्यक्तित्वलाई सम्मान गर्ने कार्यविधिमा उल्लेख छ। पुस २६ गते बसेको मन्त्रिपरिद् बैठकले विशिष्ट व्यक्ति सम्मान गर्ने कार्यविधि २०७८ स्वीकृत गरेको थियो। गण्डकी रत्न प्रदेशकै सर्वाधिक ठूलो हुने सरकारको भनाइ छ। निवेदकमध्येबाट सिफारिस गर्नका लागि क्याबिनेटले समिति पनि बनाएको छ। समितिले सिफारिस गरेपछि यसलाई मन्त्रिपरिषद्ले अनुमोदन गर्ने छ। प्रदेशबाट विशिष्ट व्यक्ति छनोट गर्न सिफारिस समिति अध्यक्षमा मन्त्रिपरिषद्का वरिष्ठ मन्त्री अध्यक्ष रहने व्यवस्था छ। सदस्यमा अर्थ र आन्तरिक मामिला मन्त्री, प्रमुख सचिव र आन्तरिक मामिलाका सचिव सदस्य सचिव रहने गरी समिति बनेको हो। समितिले बढीमा ३ जनालाई छनोट गर्ने छ। यो सम्मान प्राप्त भएपछि राज्यले प्रमाणपत्र, तक्मा तत्कालका लागि दिन्छ। सम्मानितले सार्वजनिक सभा, समारोहमा प्रदेश सभा सदस्य सांसद सरह मर्यादाक्रम पाउनेछन्। प्रदेश अस्पतालमा प्राप्त सुविधा निःशुल्क उपलब्ध गराइनेछ। गण्डकी रत्न प्राप्त व्यक्ति संरक्षणविहीन बन्नुपर्ने अवस्था आएमा संरक्षणको दायित्व राज्यले लिनेछ। गण्डकी रत्न पाउनेले प्रदेशभित्र रहेका विमानस्थलको अति विशिष्ठ कक्ष प्रयोग गर्न पाउने छन्।"
"इन्डोनेसियाले राजधानीको नाम र स्थान परिवर्तन गर्दै, अबुधावी प्रवेश गर्न बुस्टर डोज अनिवार्य","विदेशी सामान नभित्राउन चीनको सिफारिस बेइजिङ : चीनको राजधानी बेइजिङ सहरमा विदेशी सामान नभित्र्याउन स्थानीय सरकारले सिफारिस गरेको छ । विदेशबाट पठाइएका सामानहरु सहरमा नभित्र्याउन सरकारले सोमबार सिफारिस गरेको हो । बेइजिङ शहरकी एक स्थानिय महिलाले विदेशबाट पठाएको सामान खोल्दा आफू ओमिक्रोन संक्रमित भएको अभिव्यक्ति दिएपछि बेइजिङका सरकारी अधिकारीहरुले विदेशी सामान र चिठ्ठी पत्र नभित्र्याउन सिफारिस गरेका हुन् । चिनियाँ पक्षले अझैपनि कोभिड १९ संक्रमित मुलुकबाट पठाएका सामान खानेकुरा र अन्य सामानबाट फैलिएको तर्क गरिरहेका छन् । चिनियाँ पक्षको सो तर्कप्रति वैज्ञानिकहरुले प्रश्न गरिरहेको अन्र्तराष्ट्रिय मिडियामा खबर छ । बेइजिङमा आयोजित शीतकालिन ओलम्पिक्स सुरु हुनुभन्दा करिब तीन हप्ताअघि बेइजिङमा ओमिक्रोन फेला परेको छ । ओमिक्रोन संक्रमण रोक्न सरकारले सोमबार सो खेलकुदमा सर्वसाधारणहरुले सहभागी हुन नपाउने घोषणा गरेको थियो । भारतीय मुस्लिमहरुको नरसंहार गर्ने बताउँदै आएका बाबा पक्राउ नयाँ दिल्ली : भारतीय मुस्लिमहरुको नरसंहार गर्ने बताउँदै आएका बाबा पुन पक्राउ परेका छन् । देशमा धार्मिक हिंसा निम्त्याउने अभिव्यक्ति दिएको भन्दै भारतीय प्रहरीले बाबा यति नरसिंहानन्द गिरीलाई पुन पक्राउ गरेको हो । ती बाबालाई यसअघि गएको शनिबार पक्राउ गरिएको थियो । भारतका वरिष्ठ प्रहरी अधिकारी स्वतन्त्र कुमारका अनुसार बाबा नरसिंहानन्दलाई उनकै आश्रमबाट पक्राउ गरिएको हो । उनले सार्वजनिक रुपमा भारतीय मुस्लिमको नरसंहार गर्नुपर्ने अभिव्यक्ति दिएको आरोपमा पुन पक्राउ गरिएको प्रहरीले जनाएको छ । पक्राउपछि उनलाई १४ दिनको लागि हिरासतमा राखिएको बताइएको छ । बाबा नरसिंहानन्दविरुद्ध कारबाहि हुनेसमेत प्रहरीले जनाएको छ । यदि उनको अभिव्यक्ति सहि साबित भएमा ५ वर्षसम्मको जेल सजाय हुन सक्ने बताइएको छ । बाबा नरसिंहानन्दले हरिद्धारमा आयोजित एक कार्यक्रममा भारतिय मुस्लिमविरुद्ध नरसंहार गर्नुपर्ने अभिव्यक्ति दिएको र महिलाविरुद्ध अपाच्य शब्द बोलेको अभियोग लागेको थियो । मोदीसँगको भेटपछि रुसद्वारा भारतमा आणविक रियाक्टर निर्माण सुरु तमिलनाडु : भारतीय प्रधानमन्त्री नरेन्द्र मोदी र रुसी राष्ट्रपति भ्लाद्मिर पुटिनबीच गएको डिसेम्बरमा भएको भेटवार्तापछि रुसले भारतमा आणविक (न्युक्लियर) रियाक्टर निर्माण कार्य सुरु गरेको छ । रुसले भारतको तमिलनाडुस्थित कुडनकुलाममा छैठौं आणविक रियाक्टर निर्माण कार्य सुरु गरेको हो । रुसले तामिलानाडुमा अवस्थित कुडनकुलाम न्युक्लियर पावर प्लान्टमा हालै छैठौं आणविक रियाक्टर निर्माण थालेको भारतीय मिडियामा खबर छ । भारतीय मिडियाकाअनुसार रुसको न्युक्लियर इन्जिनिरिङ कम्पनी अटोमास र रोसाटोमले छैठौं आणविक रियाक्टर निर्माणको काम थालेको हो । सो आणविक रियाक्टर १ हजार मेगावाट इलेक्ट्रिक क्षमताको रहेको बताइएको छ । युक्रेन सीमा नजिकै सैन्य अभ्यास गर्न रुसले बेलारुसमा सैनिक पठायो मस्को : रुसले युक्रेनको छिमेकी मुलुक बेलारुसमा आफ्ना सैनिक पठाउन सुरु गरेको छ । युक्रनेको सीमानजिकै संयुक्त सैन्य अभ्यास गर्न रुसले सोमबारदेखि आफ्ना सैनिक बेलारुस पठाउन सुरु गरेको हो । रुसले सो संयुक्त सैन्य अभ्यासको नाम युनाइटेड रिजल्भ अर्थात् संयुक्त समाधान राखेको छ । रुसको सो कदमले पश्चिमा मुलुकमा द्वन्द्व निम्त्याउने र युक्रेनमाथि त्रास खडा गर्ने विश्लेषकहरुले बताएका छन् । बेलारुसका सरकारी अधिकारीहरुले मंगलबार रुसी सेनाहरु हातहतियार र सैन्य सवारी साधानसहित बेलारुस पुगिसकेको बताएका छन् । रुसले फेब्रुअरीमा युक्रनेको सीमा नजिकै संयुक्त सैन्य अभ्यास गर्ने तालिका तय गरेको छ । बेलायतले युक्रेनको रक्षा गर्न हातहतियार पठाउने लण्डन : बेलायत सरकारले युक्रेनको रक्षा गर्ने भएको छ । सरकारले रुसविरुद्ध युक्रेनको रक्षा गर्ने भएको हो । युक्रेनको रक्षाका लागि बेलायतले सर्ट रेन्ज मिसाइल र आत्मरक्षाका लागि विभिन्नखाले हातहतियारहरु युक्रेन पठाइरहेको बेलायती रक्षा सचिव बेन वालेसले बताएका छन् । हाल सरकारले युक्रेन सैनिकलाई तालिम दिन बेलायती सैनिकको समूह युक्रेन पठाउने तयारीसमेत भइरहेको वालेसले बताएका छन् । हामी रुसको वास्तविक कारण खोजिरहेका छौं । युक्रनेमाथि रुसले हमला गर्न सक्ने हुँदा हाम्रो चिन्ता बढेको थियो बीबीसीसँग उनले भनेका छन्, रुसले युक्रेनको सीमा नजिकै तैनाथ गरेका लाखौ सैनिकले युक्रेनमाथि आक्रमण गर्ने चिन्ता छदैछ । त्यो चिन्ता हटाउन हामीले युक्रेनको रक्षा गर्नेछौं । युक्रेनको रक्षाका लागि हामीले बेलायती सेना र हातहतियार पठाउँदैछौं । रुसले युक्रेनमाथि तत्काल आक्रमण गर्ने कुनै सम्भावना नभएको बताउँदै आएको छ । पश्चिमा मुलुककै कारण युक्रेनमाथि तनाव बढेको रुसले आरोप लगाउँदै आएको छ । इन्डोनेसियाले राजधानीको नाम र स्थान परिवर्तन गर्दै जर्काता : दक्षिणपूर्वी एसियाली मुलुक इन्डोनेसियाले वर्तमान राजधानी जर्काताको नाम र स्थान परिवर्तन गर्ने योजना बनाएको छ । इन्डोनेसियाको सरकारले मंगलबार वर्तमान राजधानी जर्कातालाई स्थानान्तरण गर्ने र नयाँ राजधानीको नाम नुसान्तरा राख्ने योजना बनाएको हो । इन्डोनेसियाली शब्द नुसान्तराको अर्थ द्धिपसमूह हो । सरकारी कार्यालयहरु पूर्वी प्रान्त कालिमान्तानमा सारिएपछि राजधानी जर्काताको नाम नुसान्तारा राख्ने निर्णय गरेको बताइएको छ ।यसअघि इन्डोनेसियाका राष्ट्रपति जोको विडोडोले सन् २०१९ मा पहिलो पटक इन्डोनेसियाको राजधानी अन्यत्रै सारिने सरकारको योजना रहेको बताएका थिए ।बर्तमान राजधानी जर्कातामा वातावरणीय चुनौती बढ्दै गएका कारण देशको राजधानी स्थानान्तरण गर्ने उनले बताएका थिए । तर, कोभिड महामारीका कारण सरकारको योजना सफल भएको थिएन । मंगलबार त्यहाँको कानुनले राजधानी सार्न मिल्ने बनाएपछि नयाँ राजधानी सन् २०२४ सम्ममा जर्काताबाट सर्ने र नुसान्तारा नाम राखिने बताइएको छ । टोङ्वा ज्वालामुखी विस्फोटमा पुरियो समुदाय, क्षतिको विवरण अझै अस्पष्ट वेलिङटनः टोङ्वा ज्वालामुखी विस्फोट भएको चार दिन वितिसक्दा पनि विस्फोटबाट भएको क्षतिको विवरण अझै अस्पष्ट बनेको छ । ज्वालामुखी विस्फोटपछि त्यहाँको सञ्चार र अन्य सेवा अवरुद्ध हुँदा क्षतिको विवरण अझै खुलेको छैन। ज्वालामुखी विस्फोटमा परि टोङबामा मंगलबारसम्म दुईजनाको मृत्यु भएको पुष्टि भएको छ । ज्वालामुखी विस्फोटबाट निस्केको खरानीका कारण क्षतिको बाँकी विवरण भने आँकलन गर्न नसकिएको बताइएको छ । टोङ्वा टापुमा भएको बस्तीको अवस्था र त्यहाँको क्षतिबारे बुझ्न सोमबार प्रभावित क्षेत्रमा न्युजिल्याण्ड र अष्ट्रेलियाले आफ्नो विमान पठाएको थियो । ज्वालामुखी विस्फोटपछि सो क्षेत्र खरानीले ढाकेको हुँदा सो विमान प्रभावित क्षेत्रमा पुग्न नपाउँदै फर्किएको थियो । विभिन्न निकायहरुले सो क्षेत्रको वास्तविक क्षतिको विवरणबारे बुझ्न खोज्दा अझै एकिन विवरण प्राप्त नभएको अन्र्तराष्ट्रिय मिडियामा खबर छ । सो क्षेत्रमा अतुलनिय क्षती पुगेको हुन सक्ने अनुमान गरिएको छ । शनिबार टोङ्वा टापुनजिकै समुद्री ज्वालामुखी विस्फोट भएको थियो । सो ज्वालामुखी विस्फोटको आवाज अमेरिकासम्म सुनिएको थियो । ज्वालामुखी विस्फोटपछि सो समुद्र आसपासका क्षेत्रमा सुनामी गएको थियो । सो ज्वालामुखी पछिल्लो ३० वर्षयताकै शक्तिशाली ज्वालामुखी भएको विज्ञहरुले बताएका छन् । सो ज्वालामुखी विस्फोटले वर्षौसम्म नकारात्मक वातावरणीय असर पुग्ने चेतावनी वैज्ञानिकहरुले दिएका छन् । अबुधावी प्रवेश गर्न बुस्टर डोज अनिवार्य दुवई : युनाईटेड अरब एमिराट्स युएईको राजधानी अबुधावी सहर प्रवेश गर्न सरकारले कोभिड १९ विरुद्धको बुस्टर डोज अनिवार्य गराएको छ । युएई सरकारको स्वास्थ्य विभागले मंगलबार अबुधावी प्रवेश गर्न चाहने जुनसुकै मानिसले बुस्टर डोज अनिवार्य लगाउनुपर्ने नियम लागु गरेको हो । यसअघि त्यहाँको सरकारले सो शहर प्रवेश गर्न खोप कार्ड अर्थात् ग्रिन पास अनिवार्य गराएको थियो । पछिल्लो समय सरकारले ओमिक्रोन संक्रमितको संख्या बढेको भन्दै बुस्टर डोज अनिवार्य गराएको अन्र्तराष्ट्रिय मिडियामा खबर छ । एसोसियटेड प्रेसकाअनुसार अबुधावी प्रवेश गर्न चाहने मानिसको कोरोना रिपोर्ट नेगेटिभ भएको हुनुपर्ने र उनीहरुले बुस्टर डोज अनिवार्य रुपमा लगाएको हुनुपर्नेछ । यमनमा साउदी नेतृत्वको घातक हमलामा १२ बढीको मृत्यु साना : साउदी नेतृत्वको गठबन्धनले यमनमा गरेको हवाई हमलामा कम्तीमा १२ जनाको ज्यान गएको छ । गठबन्धनले यमनको राजधानी सानामा मंगलबार बिहानै गरेको घातक आक्रमणमा परि कम्तीमा १२ मानिसको ज्यान गएको हो । इरान नेतृत्वको पूर्व सेनाको गृह क्षेत्रलाई लक्षित गरी सो आक्रमण गराएको बताइएको छ । सो आक्रमणमा करिब १४ मानिसको ज्यान गएको प्रारम्भिक रिपोर्टले देखाएको छ । हुथी बिद्रोहीले युनाइटेड अरब एमिराट्स युएईको आबुधामीमा ड्रोन आक्रमण गरेको भोलीपल्ट साउदी नेतृत्वको गठबन्धनले सो क्षेत्रमा घातक हमला गरको हो । सन् २०१४ को अन्त्यमा हुथी बिद्रोहीले यमको राजधानी र उत्तरी यमनमा कब्जा जमाएपछि यमनका राष्ट्रपति अब्द रब्बु मानसौर हादीले सरकार छोडेका थिए । हादीको सरकार पुनस्र्थापना गराउन साउदी अरबिया र युएईले सन् २०१५ मा यमनको युद्धमाथि हस्तक्षप गरेका थिए । युएईले सन् २०१९ मा यमनमा आफ्ना सैनिक तैनाथ गराएको थियो ।"
कोभिड१९ विरुद्धको खोप लगाएको कार्ड हराएमा के गर्ने ?,"काठमाडौं : यदि तपाई कोरोनाविरुद्धको खोप लगाएको कार्ड हराएर चिन्तित हुनुहुन्छ। अब चिन्ता नगर्नुहोस्। तपाईंले खोप लगाएको कार्ड फेरि पनि बनाउन सक्नुहुन्छ। त्यसका लागि पहिला जुन केन्द्रमा खोप लगाएको हो सोही केन्द्र वा स्वास्थ्य शाखामा गएर खोप कार्डको प्रतिलिपि बनाउन सक्नुहुन्छ। स्वास्थ्य तथा जनसंख्या मन्त्रालयले कोरोना१९ विरुद्धको खोप कार्ड हराएमा खोप लगाएको खोप केन्द्र वा स्वास्थ्य संस्था भएको पालिकाबाट प्रतिलिपि निकाल्न सकिने जनाएको छ। मन्त्रालयका अनुसार दुवै मात्रा खोप लगाइसकेको भए दोस्रो मात्रा लगाएको खोप केन्द्र वा खोप लगाएको स्वास्थ्य संस्था भएको पालिकाको स्वास्थ्य शाखाबाट खोप कार्डको प्रतिलिपि लिने सकिन्छ। यस्तै, जोन्सन एन्ड जोन्सन खोप लगाएको भए सोही केन्द्र वा लगाएको स्वास्थ्य संस्था भएको पालिकाको स्वास्थ्य शाखाबाट लिन सकिन्छ। यदि पहिलो मात्रा लगाएकाले खोप लगाएकै केन्द्र वा खोप लगाएको स्वास्थ्य संस्था भएको पालिकाको स्वास्थ्य शाखाबाट सो कार्डको प्रतिलिपि लिन सकिन्छ। बढ्दो कोरोना संक्रमणका कारण नेपालमा सरकारले २०७८ माघ ७ गतेदेखि सार्वजनिक स्थल प्रवेश गर्न र सेवा लिन जाँदा खोप कार्ड अनिवार्य गरेको छ। नेपालमा कोरोना भाइरसको नयाँ भेरियन्ट ओमिक्रोनदेखिसँगै कोरोना संक्रमण तीव्ररुपमा फैलिरहेको छ। कोरोना रोकथाम तथा नियन्त्रणका लागि सरकारले विभिन्न सूचना जारी गर्दै आएको छ।"
कोसी अस्पतालमा कार्यरत ४६ जनालाई कोरोना संक्रमण,"विराटनगर : विराटनगरस्थित कोसी अस्पतालमा कार्यरत ४६ जनालाई कोरोना भाइरसको संक्रमण पुष्टि भएको छ। संक्रमित हुनेमा चिकित्सकसहित २५ जना स्वास्थ्यकर्मी छन्। अरु २१ जना कर्मचारीमा संक्रमण देखिएको हो। एकै पटक धेरै जनामा कोरोना देखिँदा अस्पतालको सेवा प्रवाहमा समस्या भएको छ। अस्पतालका मेडिकल सुपरिटेन्डेन्ट डा चुमनलाल दासले मंगलबारसम्म अस्पतालमा कार्यरत चिकित्सक, स्वास्थ्यकर्मी र कर्मचारी गरेर ४६ जनामा कोरोनाको संक्रमण पुष्टि भएको जानकारी दिए। उनका अनुसार संक्रमित हुनेमा ८ जना डाक्टर, १७ जना नर्ससहित परामेडिक्स, सफाई कर्मचारी लगायत छन्। सामान्य अवस्थाका संक्रमितहरु अहिले होम आइसोलेसनमा छन्। अस्पतालमा तीव्र रूपमा संक्रमण फैलिए पनि सबै उपचार विभाग खुलाछन्। तर कर्मचारीलाई कोरोना भएका कारण व्यवस्थापन गर्न समस्या भइरहेको छ, डादासले भने,काम गर्न जनशक्ति अभाव हुन थाल्यो। अब स्वास्थ्य सेवा प्रभावित हुनसक्छ। अस्पतालको जनशक्ति नै संक्रमित भएपछि सेवा सञ्चालन गर्न कठिनाइ भइरहेको उनको भनाइ छ। परीक्षणसँगै संक्रमित हुने संख्या पनि बढ्दो क्रममा रहेको उनले बताए। अझै संक्रमित थपिन सक्ने भएकाले अस्पताललाई कसरी नियमित सञ्चालन गर्नेभन्ने बारेमा छलफल भइरहेको जानकारी दासले दिए।"
राष्ट्रिय सभाका अध्यक्ष तिमिल्सिनालाई कोरोना संक्रमण,काठमाडौं: राष्ट्रिय सभाका अध्यक्ष गणेशप्रसाद तिमिल्सिनालाई कोरोना संक्रमण पुष्टि भएको छ। पीसीआर परीक्षण गर्दा उनलाई संक्रमण पुष्टि भएको उनका प्रेस सल्लाहकार अशोक पौडेलले जानकारी दिए। पौडेलका अनुसार राष्ट्रिय सभाका अध्यक्ष तिमिल्सिनाको स्वास्थ्य अवस्था सामान्य रहेको छ। तिमिल्सिना अहिले बालुवाटारस्थित सरकारी निवासमा स्वास्थ्यलाभ गरिरहेका पौडेलले जानकारी दिए।
सर्वोच्चले गर्यो सेवा कटौती : ६ प्रकारका सेवा मात्रै उपलब्ध हुने,"काठमाडौं : कोरोना संक्रमण तीव्र फैलिएपछि सर्वोच्च अदालतले सेवा कटौती गरेको छ। मंगलबार बसेको अदालतको फूलकोर्ट बैठकले यस्तो निर्णय गरेको हो। अदालतले माघ ५ देखि १८ गतेसम्म सेवा कटौती गर्ने निर्णय गरेको हो। सेवा कटौतीसँगै अदालतले ६ प्रकारका सेवा मात्रै दिने भएको हो। बन्दीप्रत्यक्षीकरण तथा कोभिड१९ महामारीसँग सम्बन्धित जरुरी प्रकृतिका निवेदनको सुनुवाइ, मुद्दा फिर्ता, तामेली एवं मिलापत्रसम्बन्धी निवेदनको सुनुवाइ हुनेछ । यस्तै फौजदारी मुद्दामा पनि सुनुवाइ हुनेछ । यसैगरी हेर्दाहेर्दै र निर्णय सुनाउने भनी मिति तोकिएका, सरकारले दर्ता गरेका तर अर्को पक्ष झिकाउने भन्ने आदेश नभएका पुनरावेदनको पनि सुनुवाइ हुनेछ । मुद्दानिवेदन दर्ता गर्ने, पेशी र अन्य तारेख दिने काम नियमित हुनेछ। यस्तै अदालतमा अनावश्यक भीडभाड हुन नदिन अत्यावश्यक र न्यून संख्याको जनशक्तिबाट आलोपालो मिलाइ अदालतको काम कारबाही गर्ने र टेलिवर्क वा अ न्य तरिकाबाट निकास वा स्टेसनमा रही अदालतको कार्य सम्पादन गर्न मुख्य रजिस्ट्रारले आवश्यक व्यवस्था मिलाउने निर्णय गरेको छ। उच्च र जिल्ला अदालत, अरु न्यायाधीकरण कार्यालयले पनि आवश्यकता अनुसार सेवा कटौतीको निर्णय लिन सक्ने निर्णय बैठकले गरेको छ । सर्वोच्च अदालतका न्यायाधीशसहित ३१ कर्मचारीमा कोरोना संक्रमण देखिएको छ। न्यायाधीशसहित कर्मचारीमा कोरोना देखिएपछि सेवा कटौती गरेको हो ।"
"सप्तरीमा तीव्र रुपमा फैलियो कोरोना, ७५ जनाको परीक्षणमा ६५ जना संक्रमित","राजविराज : तीव्र रुपमा कोरोना फैलिन थालेको सप्तरीमा ७५ जनाको पीसीआर परीक्षण गर्दा ६५ जना संक्रमित देखिएका छन्। कोरोनाको नयाँ भेरियन्ट ओमिक्रोन फैलिएसँगै सप्तरीमा संक्रमितको संख्या तीव्र बढेको छ। गजेन्द्रनारायण सिंह अस्पतालको प्रयोगशालाबाट मङ्गलबार आएको रिपोर्टमा ७५ मध्ये ६५ जनामा कोरोना संक्रमण देखिएको अस्पतालले जनाएको छ। संक्रमित हुनेमा प्रहरी अत्यधिक रहेको स्वास्थ्य कार्यालय सप्तरीका निमित्त प्रमुख दुनियालाल यादवले जानकारी दिए। संक्रमित ६५ जनामा सबैभन्दा बढी राजविराजमा ९ महिला र ४८ पुरुष छन्। यसैगरी तिलाठी कोइलाडी गाउँपालिकामा १ महिला र १ पुरुष, रुपनी गाउँपालिकामा १ पुरुष र अन्य जिल्लाका १ महिला ४ पुरुष छन्। यो समेत सप्तरीमा कोभिडको तेस्रो लहरमा संक्रमित हुनेको सङ्ख्या १०५ पुगेको छ। जसमा २३ महिला र ८२ पुरुष छन्। संक्रमितमध्ये रुपनी गाउँपालिका१ की ७५ वर्षीया महिलाको मृत्यु भएको छ। स्वास्थ्यमा समस्या देखिएपछि गजेन्द्रनारायण सिंह अस्पतालमा शनिबार भर्ना भएकी उनको सोमबार गरिएको परीक्षणमा रिपोर्ट पोजिटिभ आएको थियो। यो समेत सप्तरीमा कोभिडका कारण मृत्यु हुनेको सङ्ख्या १४० पुगेको छ। तेस्रो लहर सुरु भएयता सप्तरीमा १६९ जनाको स्वाब परीक्षण गरिएकोमा १०५ जनाको रिपोर्ट पोजिटिभ आएको छ। जसमध्ये राजविराजमा १६ महिला र ५३ पुरुष गरी ६९ जना संक्रमित देखिएका छन्। संक्रमित १०४ जना होम आइसोलेशनमा रहेको स्वास्थ्य कार्यालय सप्तरीले जनाएको छ। राजविराजस्थित सप्तरी जिल्ला अदालत र उच्च अदालत जनकपुर राजविराज इजलासका न्यायाधीश र कर्मचारीहरूमा पनि कोरोना संक्रमण तिब्रताका साथ बढेको छ। सप्तरी जिल्ला अदालतका ४ जना न्यायाधीश र ४ जना कर्मचारीमा संक्रमण देखा परेको छ। यसैगरी उच्च अदालत जनकपुर राजविराज इजलासका ३ जना न्यायाधीश र ४ जना कर्मचारी गरी ७ जनामा संक्रमण देखिएको छ। जिल्लामा कोरोनाको संक्रमण तीव्र रुपमा फैलिए पनि स्वास्थ्य सुरक्षामा सतर्कता अपनाइएको छैन।"
