शीर्षक,विवरण
आइपीएलको अक्सनमा १५ जना नेपाली खेलाडी,"काठमाडौं: इन्डियन प्रिमियर लिग (आइपीएल)को अक्सनका लागि १५ जना नेपाली खेलाडीले नाम दर्ता गराएका छन्। शनिबार सार्वजनिक गरिएको सूचीमा कप्तान सन्दीप लामिछानेसहित १५ जना खेलाडीको नाम रहेको छ। नेपाल क्रिकेट एशोसिएसनका अनुसार आसिफ शेख, पवन सरार्फ, सन्दीप जोरा, कुशल भुर्तेल, रोहित कुमार पौडेल, सुशान भारी, आरिफ शेख, अभिनाश बोहरा, विनोद भण्डारी, शरद भेषावकर, कुशल मल्ल, करण केसी, सोमपाल कामी, दीपेन्द्रसिंह ऐरी र सन्दीप लामिछानेले नाम दर्ता गराएका छन्। नयाँ सिजनको आइपीएलका लागि अक्सनमा १ हजार २ सय १४ खेलाडी सामेल हुनेछन्। जसमा ८ सय ९६ भारतका र ३ सय १८ खेलाडी विदेशी रहेका छन्। एसोसियट राष्ट्रबाट भने ४१ खेलाडीले नाम दर्ता गराएका छन्।"
खोप अभियान प्रभावकारी बनाउन चीनले दियो २० लाख सिरिञ्ज,काठमाडौं: कोभिड१९ महामारी विरुद्धको नेपाल सरकारको खोप अभियानमा सघाउन चीन सरकारले अनुदान स्वरुप २० लाख सिरिञ्ज उपलब्ध गराएको छ। आज उक्त परिमाणको सिरिञ्ज नेपाल सरकारलाई हस्तान्तरण गरिएको यहाँस्थित चिनियाँ दूतावासले जनाएको छ। आज हस्तान्तरित सिरिञ्जले जारी खोप अभियानमा योगदान गर्ने विश्वास व्यक्त गर्दै नेपालका लागि चिनियाँ राजदूत हाउ याञ्छीले नेपाली मित्रहरूलाई सहयोग गर्न चीन सरकार सदैब तत्पर रहेको बताए।
मन्त्री यादवको बचाउ गर्दै जसपाले भन्यो सीके राउतका कार्यकर्तालाई नियन्त्रणमा लिइयोस्,"काठमाडौं: जनता समाजवादी पार्टी (जसपा)ले विवादमा तानिएकी भौतिक पूर्वाधार तथा यातायातमन्त्री रेणु यादवको बचाउ गरेको छ। जनमत समाजवादी पार्टीका अध्यक्ष सीके राउतको हत्या गर्ने अभिव्यक्ति दिएपछि उनी विवादमा तानिएका हुन्। अहिले सत्तारुढ दल र अन्य राजनीतिक पार्टीहरुले पनि मन्त्री यादवको राजीनामा माग गर्दै आएको छ। सर्वत्र राजीनामा माग आएपछि जसपाले मन्त्री यादवको बचाउ गर्दै विज्ञप्ति जारी गरेको छ। जसपाले बलिदानी दिवसको अवसरमा आयोजित कार्यक्रम विथोल्न जनमत पार्टीका नेता कार्यकर्ताले अपराधिक क्रियाकलाप गरेको आरोप लगाएको छ। 'जनता समाजवादी पार्टीका नेता केन्द्रीय कार्यकारिणी समितिका सदस्य भौतिक पर्वाधार तथा यातायात मन्त्री रेणु कुमारी यादवको प्रमुख आतिथ्यमा समाजवादी युवा संघ, नेपालको आयोजनामा रौतहटमा आयोजित 'बलिदानी दिवस'को कार्यक्रमलाई जनमत पार्टीका नाममा उक्त पार्टीका नेता तथा कार्यकर्ताहरु सुनियोजित ढंगबाट लाठी, भाटा, ढुंगा, आदि लिई उक्त कार्यक्रमलाई अवरोध गर्ने, कार्यक्रम विथोल्ने आतंक मच्याउने र हिंसा भड्काउने जस्ता गैरराजनीतिक एवं अपराधिक क्रियाकलापमा संलग्न रहेका थिए,' केन्द्रीय कार्यालय प्रमुख प्रकाश अधिकारीद्वारा जारी विज्ञप्तिमा भनिएको छ, 'उक्त पार्टीद्वारा गराइएका यस्ता उदण्ड, गैरराजनीतिक, उशृंखल, अभद्र, अशोभनीय र अपराधि कार्यको जसपा, नेपाल घोर विरोध एवं भर्त्सना गर्दछ।' जसपाले अमर्यादित क्रियाकलापलाई नियन्त्रण गर्न सरकारसँग मागसमेत गरेको छ।"
२०औं आहा रारा गोल्डकप : अमेरिकी टोलीलाई हराउँदै एपीएफ अन्तिम चारमा,पोखरा : बीवाईएससी मिनेसोटा अमेरिकालाई ३१ गोल अन्तरले हराउँदै विभागीय टीम नेपाल एपीएफ क्लब २० औं संस्करणको आहा रारा गोल्डकप फुटबल प्रतियोगिताको सेमिफाइनलमा प्रवेश गरेको छ। पोखरा रंगशालाको फुटबल मैदानमा शनिबार भएको खेलमा पहिलो हाफ गोलरहित बराबरीमा सकिएको थियो। दोस्रो हाफको सुरुआतमै बीवाईएससी मिनेसोटाले अग्रता बनाएको थियो। खेलको ४७औं मिनेटमा मिगल पेलाफक्सले हेडरमार्फत गोल गर्दै बीवाईएससीलाई अग्रता दिलाएका थिए। राइलीको क्रसमा मिगलले बललाई विपक्षीको पोष्टको जाली चुमाएका हुन्। अमेरिकी टोली बीवाईएससी मिनेसोटाको अग्रतालाई तोडेर बराबरी गोल बनाउन एपीएफले २३ मिनेट कुर्नु परेको थियो। खेलको ७०औं मिनेटमा एपीएफका आवाश लामिछानेले पेनाल्टीमा गोल गर्दै खेललाई ११ गोलको बराबरीमा फर्काएका थिए। बीवाईएससीका हेक्टरले अर्मान्डलाई पेनाल्टी एरियामा फउल गदै लडाएपछि एपीएफले पएको पेनाल्टीको अवसरलाई सदुपयोग गर्दै बराबरी गोल फर्काएको थियो। सब्सिच्युड खेलाडी रवी थिङले खेलका ८४औं मिनेटमा गोल गर्दै एपीएफलाई २१ को अग्रता दिलाएका थिए। खेलको इन्जुरी समयमा रवीले व्यक्तिगत दोस्रो गोल गर्दै आफ्नो टीम एपीएफलाई ३१ को फराकीलो अन्तरले जित दिलाउन महत्वपूर्ण भूमीका खेले। दुई गोलको योगदान दिएका रवी थीङ शनिबारको खेलमा म्यान अफ दि म्याच घोषीत भए। खेलपछि प्रतिक्रिया दिँदै पाहुना टोली बीवार्ईएससी अमेरिकाका प्रशिक्षक प्रलयराज भण्डारीले आफ्नो टोलीले अग्रता लिइरहेको अवस्थामा पेनाल्टी दिनै नपर्ने अवस्थामा पेनाल्टी दिएपछि लय गुमाएको बताए। एपीएफका प्रशिक्षक कुमार थापाले अमेरिकी टोलीलाई बुझनै समय लागेकोले पहिलो हाफपछि गोल निस्कीएको बताए। अमेरिकी टिमले राम्रो खेल प्रदर्शन गरेको पनि उनले सुनाए। नर्थ अमेरिकन टोलीसंग खेलेर अनुभव लिन पाउनु पनि खुशीको कुरा भएको उनले बताए। एपीएफ पहिलो खेलमा आयोजक सहारा क्लबलाई २० गोलले हराएर क्वाटरफाइनलमा स्थान बनाएको थियो। सेमिफाइनलमा एपीएफको भेट संकटा र मछिन्द्र क्लबीचको विजेतासगँ हुनेछ। २० औँ संस्करणको आहा रारा गोल्डकपमा एक विदेशी सहित दश टिमका सहभागीता रहेको छ।
मकवानपुरमा ओभरलोड बोक्ने १ सय २ टिपर कारवाहीमा,"काठमाडौं : मकवानपुर जिल्लामा चल्ने १सय२ वटा टिपर कारवाहिमा परेका छन्। शनिबार मकवानपुरको हेटौडा उपमहानगरपालिका वडा नं ११, १५, ६, मनहरी गाउँपालिका७, भिमफेदी गाउँपालिका१लगायतका स्थानहरुमा प्रहरीले गरेको चेकजाँचमा ओभरलोड बोक्ने १ सय २ वटा टिपरलाई कारवाही गरिएको मकवानपुर प्रहरीले जनाएको छ।"
स्लोभाकियाका सभामुख र रक्षा मन्त्रीलाई सङ्क्रमण,काठमाडौं: स्लोभाकियाका सभामुख र रक्षा मन्त्री कोरोनाभाइरसबाट सङ्क्रमित भएका छन्। सभामुख इगोर जोर्किक सङ्क्रमित भएपछि अहिले सेल्फ आइसोलेसनमा बसेको संसद् सचिवालयले जनाएको छ। त्यसैगरी रक्षा मन्त्री मातेज टोनिनले पनि आफू कोरोनाभाइसबाट सङ्क्रमित भएको सामाजिक सञ्जालमार्फत जानकारी दिए। सभामुख जोर्किक गत बिहीबार सङ्क्रमित भएका हुन्। त्यो दिन देशभरी गरेर कूल नौ हजार ८५८ नयाँ सङ्क्रमित थपिएका थिए। त्यसैगरी रक्षा मन्त्री टोनिन भने शुक्रवार सङ्क्रमित भएको पुष्टि भएको हो। उनले आफूलाई कुनै लक्षण नदेखिएको र कुनै समस्या पनि नभएको स्पष्ट पार्नु भएको छ। स्लोभाकियामा अहिले सभामुख र रक्षा मन्त्रीसहित कूल ९६ हजार ४८१ सक्रिय सङ्क्रमित रहेको स्वास्थ्य मन्त्रालयले जनाएको छ। मन्त्रालयका अनुसार कुल जनसङ्ख्याको पाँच प्रतिशत मानिस सङ्क्रमित भएका छन्।
अन्नपूर्णकर्मी भट्टराई सम्मानित,"दाङ : अन्न्नपूर्ण पोष्टका दाङ सम्वाददाता गोपाल शर्मा भट्टराई सम्मानित भएका छन्। तुलसीपुर नगर जेसिजले अन्नपूर्णकर्मी भट्टराईलाई शनिबार दाङको तुसलसीपुरमा सम्मान गरेको हो। सञ्चार क्षेत्रमा महत्वपूर्ण योगदान गरेको भन्दै भट्टराईलाई सम्मान गरिएको तुलसीपुर जेसीजले जनाएको छ। क्षेत्रगतरुपमा समाजमा राम्रो काम गर्ने व्यक्तिहरुलाई सम्मान गर्ने जेसीजको परम्परा र नीति अनुसार सञ्चार क्षेत्रवाट भट्टराईलाई सम्मान गरिएको हो। तुलसीपुर नगर जेसीजको २०२२का लागि निर्वाचित अध्यक्ष लगायतको टीमलाई पदभारग्रहण तथा सम्मान कार्यक्रमका भट्टराईलाई सम्मान गरिएको हो। त्यस्तै स्वास्थ्य क्षेत्रमा योगदान गरेको भन्दै कोरोना अस्पताल तुलसीपुरमा व्यवस्थापक दोर्ण ओली, खेलकुद विकासमा योगदान गरेको भन्दै खेलकुद विकास समिति दाङका कार्यालय प्रमुख पदमा चौधरीलाई सम्मानन गरिएको हो। तुलसीपुर जेसीजमा पदभारग्रहण तुलसीपुर नगर जेसीजमा नयाँ नेतृत्वको पदभारग्रहण गरिएको छ। तुलसीपुर नगर जेसीजको २०२२ का लागि निर्वाचित अध्यक्षलगायतको टीमलाई पदभारग्रहण गराइएको हो। तुलसीपुर जेसीज स्थापना देखि यो १०औँ पद हस्तान्तरण कार्यक्रम हो। तुलसीपुर नगर जेसीज बर्ष २०२१ का अध्यक्ष नेत्रलाल भट्टराई नारायणको अध्यक्षता तथा जेसीज वर्ष २०२२ का केन्द्रीय अध्यक्ष लालमणी भण्डारीको प्रमुख आतिथ्यतामा नवनिर्वाचित अध्यक्ष केशवराज केसीलाई पद हस्तान्तरण तथा सपथग्रहण गराइएको हो। जेसीज नेतृत्वको लागि निर्वाचनबाट निर्वाचित अध्यक्ष केशवराज केसी, कार्यकारिणी उपाध्यक्ष चेतन कँडेल, सन्दिप भुसाल, उपाध्यक्ष सञ्जय न्यौपाने, मनिष शाह, शैलेन्द्र ओली, कान्तुराम खनाल र सहसचिव सुरज भण्डारीसहित नयाँ कार्यसमितिलाई पद भार गराइएको हो। सोहि अवसरमा अध्यक्ष केसीले सल्लाहकारमा अध्यक्षका प्रत्यासी मानबहादुर बस्नेत, महासचिवमा पूर्णविक्रम डाँगी, प्रवक्तामा छबिकुमार वली, कोषाध्यक्षमा दामोदर न्यौपाने लाई मनोनित गरिएको हो। कार्यक्रममा जेसीजका राष्ट्रिय अध्यक्ष लालमणि भण्डारीले जेसिज युवा नेतृत्व उत्पादन गर्ने थलो रहेको बताए। उनले जेसिजमा आवद्ध धेरै युवाहरु राजनीतिक तथा सामाजिकरुपमा नेतृत्व गर्न तयार भइसकेको र आउने पीढी पनि त्यो तहमा पुगिसकेको बताए।"
राष्ट्रिय महिला हक्की प्रतियोगिताको उपाधि आर्मीलाई,"वीरगन्ज : वीरगन्जमा आयोजित चौथो सहाना प्रधान स्मृती राष्ट्रिय महिला हक्की प्रतियोगिताको उपाधी त्रिभुवन आर्मी क्लबले जितेको छ। आदर्शनगर रंगशालामा शनिबार भएको फाइनल खेलमा सुदूरपश्चिम प्रदेशलाइ १० गोलले पराजित गर्दै त्रिभुवन आर्मी क्लबले उपाधी जितेको हो। आदर्शनगर रंगशालामा भएको खेलमा खेलको ५३औं मिनेटमा आर्मीकी सरस्वती तमांगले गरेको एक मात्र गोल नै निर्णायक बनेपछि उपाधी आर्मीको पोल्टामा गएको हो। फाइनल खेलको वुमेन अफ दी म्याच आर्मीकै सीतामाया बल घोषित भइन्। सुदूरपश्चिम प्रदेश उपविजेता भएको प्रतियोगितामा गण्डकी प्रदेश भने तेश्रो भएको छ। आदर्शनगर रंगशालामा शनिबार नै तेश्रो स्थानका लागि भएको खेलमा मधेस प्रदेशलाइ हराउँदै गण्डकी प्रदेश तेश्रो भएको हो। निर्धारित समयको खेल ११ गोलको बराबरी भएपछि ट्राइबेकरमा २१ ले हराउदै गण्डकीले तेश्रो स्थान हासिल गरेको हो। ट्राइबेकरमा गण्डकीका लागि मनिला राना र कमला देवी घर्तीले तथा मधेस प्रदेशका लागि राधा साहले गोल गरेकी हुन्। उपाधीसंगै आर्मी क्लबले नगद ५० हजार रुपैया पुरस्कार पाएको छ। उपविजेता सुदूरपश्चिम प्रदेशले भने नगद ३० हजार र तेश्रो भएको गण्डकी प्रदेशले नगद १५ हजार रुपैयाँ पाएको छ। प्रतियोगिताको सर्वोत्कृष्ट खेलाडी आर्मीकी अन्जना चन्द ठकुरी, सर्वाधिक गोलकर्ता आर्मीकै कमला चन्द, उत्कृष्ट गोलरक्षक गण्डकी प्रदेशकी समीक्षा पुन, उत्कृष्ट डिफेण्डर सुदूरपश्चिमकी सन्जु चौधरी तथा नवोदय खेलाडी गण्डकीकी सविता पुन मगर घोषित भइन्। सामाजिक संस्था सानो पाइलाको सहकार्यमा नेपाल हक्की संघले माघ ४ गतेदेखि आयोजना गरेको प्रतियोगितामा मधेस प्रदेश, प्रदेश १, गण्डकी प्रदेश, लुम्बिनी प्रदेश, सुदूरपश्चिम प्रदेश र नेपाल आर्मी क्लबगरी ६ टिमले भाग लिएका थिए। वीरगन्जमा आयोजित प्रतियोगितामा सहभागी खेलाडीहरुबाटै राष्ट्रिय टिमको छनौट गरिने नेपाल हक्की संघका वरिष्ठ उपाध्यक्ष अनिल शर्माले जानकारी दिए।"
सोमबारसम्म मौसम बदली हुने,"काठमाडौं: आगामी सोमबारसम्म देशको अधिकांश भूभागमा आंशिकदेखि सामान्य बदली रही केही स्थानमा हल्का वर्षा र हिमपात हुने भएको छ। जल तथा मौसम विज्ञान विभागका अनुसार आज बिहानदेखि पश्चिम नेपालबाट प्रवेश गरेको पश्चिमी न्यून चापीय प्रणालीको प्रभावले पश्चिमबाट शनिबार, आइतबार र सोमबार क्रमशः नेपालभर प्रभाव पार्ने सम्भावना रहेको छ। उक्त प्रणालीको प्रभावले देशको सुदूर पश्चिम, कर्णाली, गण्डकी र लुम्विनी प्रदेशमा सामान्यदेखि पूर्ण बदली तथा बांकी प्रदेशहरुमा आंशिकदेखि सामान्य बदली रहने बताइएको छ। विभागले चेतावनी तथा परामर्श जारी गदै सुदुरपश्चिम, कर्णाली र लुम्बिनी प्रदेशका थोरै स्थानहरुमा साथै गण्डकी, बागमती र प्रदेश नं एकका एक दुई स्थानमा हल्का वर्षाको सम्भावना रहेको जनाएको छ। साथै देशका उच्च पहाडी तथा हिमाली भूभागका केही स्थानमा हल्का हिमपातको सम्भावना रहेको छ। देशभर चिसो अझै बढ्ने क्रममा रहेकाले चिसोबाट बच्न र त्यसको प्रभावबाट जोगिन आवश्यक सुरक्षा तथा सतर्कता अपनाउन सबैमा अनुरोध गरिएको छ।"
गण्डकी लोकसेवा आयोगका लिखित परीक्षाहरु स्थगित,कास्की: गण्डकी प्रदेश लोकसेवा आयोगले माघ मसान्तसम्मका सबै लिखित परीक्षाहरू स्थगित गरेको छ। शनिबार एक सूचना जारी गर्दै सबै लिखित परीक्षाहरू स्थगित गरेको जनाएको हो। कोरोना संक्रमितको संख्या बढेको भन्दै परीक्षा स्थगित गरेको लोकसेवाले कम्तीमा सात दिनको सूचना दिई परीक्षा पुनः सञ्चालन गरिने बताएको छ।
