शीर्षक,विवरण
स्वार्थरहित सत्यमोहन,"वाङ्मय शताब्दी पुरुष सत्यमोहन जोशीको निधनको समाचारले स्तब्ध बनायो। यो खबर थाहा पाउनेबित्तिकै किष्ट अस्पताल पुगेँ। उहाँलाई गुमाउँदा आफ्नै अभिभावक गुमाए जस्तो लाग्यो। अस्पतालमा राखिएको पार्थिव शरीर देख्दा अहिले नै जुरुक्क उठिहाल्नु हुन्छ कि भन्ने भयो। सहनै सकिन मैले। आइतबार बिहानैदेखि चारैतिर अध्यारो मात्रै लागेको छ। अभिभावक गुमाएझैं भएको छ। अत्यन्तै प्रिय मानिस गुमाए जस्तै लाग्यो। उहाँको निधनले दुःखी छौं। उहाँ बहुआयामिक व्यक्तित्व हुनुहुन्थ्यो। हाम्रा लागि भगवान् सरह नै हुनुहुन्थ्यो। एकदमै निश्कलंक र स्वार्थरहित। दयालु मान्छे। नेपाल र नेपाली दुवै भाषालाई निष्ठापूर्वक माया गर्नुहुन्थ्यो। तीन पटकसम्म मदन पुरस्कार पाएको व्यक्ति भए पनि उहाँको हाउभाउ र कुराकानीमा कहिले घमण्ड झल्किएन। लोकभाका र लोकसंस्कृतिमा धेरै अनुसन्धान गर्नुभयो। साथै थुप्रै पुरस्कारले पुरस्कृत हुनुभयो। उहाँले मलाई एक दिन बोलाएर तिम्रो छोरी अनुराधाले त अनुवाद गर्छ नि ! मेरो यो किताब अनुवाद गरिदिनु भन न भन्नुभयो। मैले छोरी एकदमै व्यस्थ छ भनेपछि उहाँले दामोदरलाई देउ न त भन्नुभयो। मैले घरमा गएर मेरो श्रीमान् दामोदर शर्मालाई यो कुरा भने। उहाँले हाम्रो कति धेरै काम छ, अहिले भ्याइन्न कि भन्नुभयो। त्यसपछि मलाई कस्तो नरमाइलो लाग्यो। मैले पुस्तक लगेर उहाँहरू दुवै जना व्यस्थ हुनुहुन्छ रे भनेर फिर्ता गरिदिएँ। उहाँले अनुहार अध्यारो पारेर ठीकै छ नि भन्नुभयो। तर, म अरुबाट गराउँदिन भन्नुभयो। घर गएपछि मेरो श्रीमान्ले खै त दाइको किताब भनेर सोध्नुभयो। मैले त पुर्याइदिएँ भन्दा तिमी बाठी भएर किन पुर्याएको त फेरि ल्याउ भनेर श्रीमान रिसाउनुभयो। म केटाकेटी जस्तै फेरि गएर उहाँलाई दामोदरले त यस्तो भन्नुभयो भने। पछि मेरो श्रीमान्ले त्यो किताब पढ्नुभयो र समय लगाएर राम्रोसँग अंग्रेजीमा अनुवाद गर्नुभयो। अरनिकोेको बारेमा रहेको उक्त कृतिको नाम अरनिको श्वेत चैत्य हो। कृतिलाई म छाप्छु भन्दै धेरै प्रकाशकहरू आए। तर, श्रीमान्ले दिनुभएन। आफैं छाप्नुभयो। यसको पैसा पनि लिन मान्नुभएन। यो मेरो बुबाका लागि एउटा भेट हो भन्नुभयो। किताब छापिएपछि उहाँ निकै खुसी हुनुभयो। यो त उहाँको लागि हाम्रोतर्फबाट सानो भेट मात्र थियो। तर, उहाँले देश र नेपाली संस्कृतिका लागि जुन त्याग गर्नुभएको छ त्यो बिरलै मानिसले गरेका छन्। उहाँ देवता नै होभन्दा हुन्छ। निश्वार्थ रूपमा सबैलाई समान रूपले व्यवहार गर्ने व्यक्ति हो। उहाँ यति सरल ब्यक्ति कि कसैलाई पनि उहाँले लोलोपोतो गरेर बोल्नुहुन्नथ्यो। ठाडो थियो बोली त। तर, त्यो ठाडो बोलिमा यति धेरै माया र स्नेह थियो। आफ्नो पिताले सन्तानलाई गरे जस्तै। उहाँको अनुहार मात्र देख्न पाए वा उहाँको छेउमै मात्र बस्न पाए पनि आफूलाई कति शान्ति महसुस हुन्थ्यो। जीवनभर यति संघर्ष गर्ने ब्यक्तिले आफ्ना लागि के लाभ लिनुभयो र ? पछि गएर मात्र उहाँलाई महानगरले केही सुविधा दियो। यति ठूलो विद्वान् हुँदा पनि सानो झुपडीमा दुःख सहेरै बस्नुभयो। कहिले पैदल हिँड्ने त कहिले ट्याक्सी पक्रिएर जानुहुन्थ्यो। कतिपल्ट उहाँ एकेडेमी आउँदा पानी परिरहेको हुन्थ्यो। उहाँले बोक्नुभएको प्रशंसापत्र मलाई दिनु न म बोक्छु भनेर बोकिदिन्थे। सँगै जाउँ न भनेर भन्थें। एक दुई पल्ट त घरमा पुर्याएँ। तर, उहाँ प्रायः मान्नुहुन्न थियो। होइन माया म सक्छु भन्नुहुन्थ्यो। १०३ वर्ष उमेरसम्म उहाँको त्यो सक्रियता हामी सबैका लागि एउटा प्रेरणा हो। उहाँले जीवनभर आफ्ना लागि भनेर केही माग्नुभएन। उल्टै आफ्नो शरीरसमेत दान दिनुभयो। यस्तो महापुरुषको देहवशानको समाचार सुनेदेखि निकै खल्लो लागेको छ। रुन मात्र मन लाग्छ। आँखाबाट आँशु थामिँदैन। जुन विषयमा पनि उहाँ त्यत्तिकै ज्ञाता हुनुहुन्थ्यो। सभासमारोहमा जाँदा उहाँले बोलेका विषय सुन्दा त्यो कुरा प्रष्ट हुन्थ्यो। अरनिकोको विषयमा आफ्नो किताब अन्तर्राष्ट्रिय रूपमै फैलियोस् भन्ने उहाँको चाहना रहेछ। अब हामीले त्यो काम पनि गर्नै पर्छ।  ठकुरी नेपाल प्रज्ञा प्रतिष्ठानको प्राज्ञ सभा सदस्य हुन् ।"
पुरुष बास्केटबलमा आर्मी र बागमतीको जित,काठमाडौं : नवौं राष्ट्रिय खेलकुदअन्तर्गत पुरुष बास्केटबलमा आर्मी र बागमतीले जित निकालेका छन्। पोखरा रगंशालामा सोमबार भएको समूह 'ए' तर्फको पहिलो खेलमा आर्मीले पुलिसलाई पराजित गरको हो। आर्मीले पुलिसमाथि १०६८२ अंकले हराएको हो। आर्मीलाई जित दिलाउन आयुश सिंहले ३२ अकं जोडे। त्यस्तै समूह 'ए' तर्फको दोस्रो खेलमा बागमतीले प्रदेश १ लाई ८७४४ अंकले पराजित गरेको छ। बागमतीका प्रजुन महर्जनले २२ अंक जोडे। बास्केटबलकै थ्री अन थ्रीको समूह 'ए' मा एपीएफले प्रदेश १ लाई २११० अंकले पराजित गरेको छ। दोस्रो खेलमा नेपाल पुलिसले मधेश प्रदेशलाई १९७ अंकले पराजित गरेको छ। समूह 'बी' तर्फको खेलमा गण्डकी प्रदेशले लुम्बिनी प्रदेशलाई २१३ अंक ले पराजित गरेको हो। त्यसैगरी दोस्रो खेलमा बागमतीले २११२ अंकले पराजित गरेको हो। त्यस्तै महिला बास्केटबल प्रतियोगिताको सेमिफाइनल खेल मंगलबार हुने भएको छ। लिग चरणमा खेलाइएको प्रतियोगितामा फुल कोर्ट र थ्री बाइ थ्री बाट ४४ समूह छनोट भएका छन्। फुल र्कोट तर्फ महिला बास्केटबलको पहिलो सेमिफाइनल खेल त्रिभुवन आर्मी र गण्डकी प्रदेशबीच हुनेछ भने दोस्रो सेमिफाइनल खेल बागमती सुदूरपश्चिम प्रदेशबीच हुनेछ। यस्तै थ्री बाइ थ्री को पहिलो सेमिफाइनल खेल मंगलबार विहान साढे ८ बजे त्रिभुवन आर्मी र गण्डकी प्रदेशबीच हुनेछ भने दोस्रो सेमिफाइनल खेल बिहान ९ बजे एपीएफ र बागमती प्रदेशबीच हुनेछ।
पौडीमा नासिर र डुवानाको कीर्तिमान,काठमाडौं : आर्मीका नासिर हुसेन र दुवाना लामाले नवौं राष्ट्रिय खेलकुदअन्तर्गत पौडीमा राष्ट्रिय कीर्तिमान बनाएका छन्। पहिलो दिन पनि उनीहरूले एकएक राष्ट्रिय कीर्तिमान बनाएका थिए। नासिरले २०० मिटर फ्रिस्टायल र २०० मिटर ब्यक्तिगत मिड्लेमा दुई र दुवानाले ५० मिटर ब्रेस्टस्ट्रोकमा राष्ट्रिय कीर्तिमान बनाएका हुन्। नासिरले २०० मिटर फ्रिस्ट्यालमा आफ्नै नाममा रहेको एक मिनेट ५८ः३० सेकेन्डको समयमा सुधार गर्दै एक मिनेट ५५ः३९ सेकेन्डको र ब्यक्तिगत मिड्लेमा दुई मिनेट ११ः८५ सेकेन्डको समयमा सुधार गर्दै २ मिनेट ११ः२३ सेकेन्ड समयका साथ दुई राष्ट्रिय कीर्तिमान कायम गरेका हुन्। यसअघि नासिरले दुवै कीर्तिमान दोहामा आयोजना भएको १५औं विश्व फिना च्याम्पियनसिपमा कायम गरेका थिए। २०० मिटर फ्रिस्टायलमा आर्मीका अलेक्जेन्डर शाहले रजत र बागमतीका इरभिन श्रेष्ठले कांस्य पाए। यस्तै ब्यक्तिगत मिड्लेतर्फ एनआरएनका आशिष सापकोटा र बागमतीका सेरेन सिंहले रजत र कांस्य पाए। फिसटेल एकेडेमीमा भएको प्रतियोगितामा दुवानाले ५० मिटर ब्रेस्टस्ट्रोकमा १३औं सागमा राखेको ३५ः४६ सेकेन्डको समयमा सुधार गर्दै ३५ः२३ सेकेन्डको नयाँ कीर्तिमान कायम गरेकी हुन्। एपीएफकी रोयल प्रजापतिले रजत र आर्मीकी उपास्ती महर्जनले कांस्य जिते। महिलाको ८०० मिटर फ्रिस्टायलमा एनआरएनका एश्ले सापकोटा डंगोलले १० मिनट ३०ः६४ सेकेन्ड समयका साथ स्वर्ण जितिन्। पुलिसका आर्या महर्जनले रजत र समिराशोभा थापा मगरले कांस्य पाए। ५० मिटर ब्रेस्टस्ट्रोको पुरुषतर्फ प्रदेश १ का विकास कुमालले स्वर्ण जिते। उनले उक्त दूरी ३१ः२० सेकेन्डमा पूरा गरेका हुन्। बागमतीका सेरेन सिंहले रजत र पुलिसका दिपंकर अवालले कांस्य पाए। महिलाको २०० मिटर फ्रिस्टायलमा दुवानाले दुई मिनेट १४ः६४ सेकेन्डका साथ स्वर्ण जित्दा पुलिसका आर्या महर्जन र समिरा शोभा थापाले रजत र कांस्य पाए। महिला १०० मिटर ब्याकस्ट्रोकमा आर्मीकी गौरिका सिंहले स्वर्ण जितिन्। उनले उक्त दूरी एक मिनेट ५ः५० सेकेन्डमा पार गरिन्। एनआरएनकी एश्ले सापकोटा डंगोलले रजत र आर्मीकी अनुसिया तन्डुकारले रजत जिते। पुरुषतर्फ एपीएफका तेञ्जिननामदोल रायन गुरुङले स्वर्ण जिते। प्रदेश १ का प्रारम्भ भण्डारी र एपीएफका जाडेन श्रेष्ठले रजत र कांस्य पाए।
एथलेटिक्सको ३ हजार मिटर स्टिपलचेसमा बुढालाई स्वर्ण पदक,काठमाडौं : नवौं राष्ट्रिय खेलकुदअन्तर्गत एथलेटिक्सको तीन हजार मिटर स्टिपलचेसमा कर्णाली प्रदेशका दुर्गा बुढाले स्वर्णपदक जितेका छन्। पोखरा रंगशालामा सोमबार भएको खेलमा दुर्गाले जितेको स्वर्ण नवौं राष्ट्रिय खेलकुदमा कर्णाली प्रदेशको पहिलो हो। बुढाले ८ मिनेट ५५९ सेकेण्ड टाइमिङसहित स्वर्ण जितेका हुन्। एपीएफका अजित यादवले ९ मिनेट २११० सेकेण्डसहित रजत र त्रिभुवन आर्मी क्लबका सुवास कार्कीले ९ मिनेट २२१५ सेकेण्डसहित कास्य जिते। त्यस्तै एथलेटिक्सको १ सय मिटर महिला हर्डल्समा त्रिभुवन आर्मी क्लबकी जयरानी थारुले स्वर्णपदक जितेकी छिन्। जयरानीले हिट चरणमा १५१६ सेकेन्डको समय निकाल्दै राष्ट्रिय कीर्तिमान बनाएकी हुन्। फाइनल चरणमा भने उनले निर्धारित दुरी १५६९ सेकेन्डमा पूरा गर्दै स्वर्ण हात पारिन्। यसअघि उनकै नाममा १५२० सेकेन्डको कीर्तिमान थियो। यस स्पर्धामा आर्मीकी निर्मला थापाले १६२५ सेकेन्डको समय निकाल्दै रजत जितिन्। एपीएफकी भगीरती कुमारी थारुले १९१३ सेकेन्डको समय निकाल्दै कास्य हात पारिन। त्यस्तै हर्डल्स ११० मिटर पुरुषतर्फ आर्मीकै जीवन चौधरीले स्वर्ण पदक जितेका छन्। जीवनले निर्धारित दूरी १५०३ सेकेन्डमा पूरा गर्दै स्वर्ण जितेका हुन्। पुलिसका चन्द्रदेव जोशीले १५८१ सेकेन्डसहित रजत र आर्मीका रामप्रसाद थारुले १६०० सेकेन्डसहित कास्य जिते। त्यस्तै एथलेटिक्सको डिस्कस थ्रोमा त्रिभुवन आर्मीका चित्रबहादुर वली र लुम्बिनी प्रदेशकी संगिता अधिकारीले स्वर्ण पदक जितेका छन्। वलीले ३८४८ मिटर थ्रो गरेर स्वर्ण जितेका हुन्। ३२७५ मिटर थ्रो गरेका नेपाल पुलिस क्लबका पुस्कल खड्काले रजत र ३११० मिटर थ्रो गरेका सुदूरपश्चिमका हेमन्त पालले कास्य पदक जिते। महिलातर्फ लुम्बिनी प्रदेशकी संगिता अधिकारीले ३५१० मिटर थ्रो गरेर स्वर्ण जितेकी छन्। संगिताले जितेको स्वर्ण लुम्बिनी प्रदेशको पहिलो स्वर्ण हो। एपीएफकी जितकुमारी महतोले ३३६० मिटर थ्रो गर्दै रजत र त्रिभुवन आर्मीकी मिलन बुढा मगरले ३२३५ मिटर थ्रो गर्दै कास्य पदक जिते।
नवौं राष्ट्रिय खेलकुद : आर्चरीका कमसल सामग्री,"पोखरा : नवौं राष्ट्रिय खेलकुद प्रतियोगिताका लागि राष्ट्रिय खेलकुद परिषद्ले आर्चरीलाई दिएको खेल सामग्री कमसल र खेल्नै नमिल्ने भएको पाइएको छ। परिषद्ले आइतबार दिएका ७ वटा टार्गेट बोर्डमा एरो छिर्ने भएकाले खेल्नै नमिलेको नेपाल आर्चरी संघका महासचिव रमेश सिवाकोटीले जानकारी दिए। उनले आफूहरूले मागे अनुरुपको सामान नदिई कमसल र खेल्नै नमिल्ने सामग्री दिएको दाबी पनि गरे। नवौं राष्ट्रिय खेलकुद प्रतियोगिताका लागि ३० थान टार्गेट बोर्ड मागेका थियौं। परिषद्ले ७ वटा मात्रै दियो, महासचिव सिवाकोटीले भने, त्यो पनि निकै कमसल र खेल्नै नमिल्ने। उनले टार्गेट बोर्डमा एरो छिरेका कारण १३ औं दक्षिण एसियाली खेलकुद प्रतियोगिता (साग) का बेला ल्याएको टार्गेट बोर्डबाट खेल सञ्चालन गर्नुपरेको बताए। नयाँ बोर्डमा खेल सञ्चालन गर्न सकिने अवस्था नै छैन। हामीले १३ औं साग र अन्नपूर्ण आर्चरी क्लबको सामग्री सापट मागेर खेल सञ्चालन गरेका छौं, सिवाकोटीले भने, कमसल सामग्री भएकाले त्यसमा खेल सञ्चालन गर्न सक्ने अवस्था नै छैन। त्यसमाथि अन्नपूर्ण आर्चरी क्लबलाई कुन सामग्री दिने भन्ने चिन्ता पनि थपिएको छ। उनले ५० र ७० मिटरको खेल सुचारु भए पनि ३० मिटरको खेल भने प्रभावित भएको बताए। उनले आफूहरूले मागेजति सामग्री नदिएको भन्दै आइतबार आएका टार्गेट बोर्ड पनि परिषद्लाई नै फिर्ता गरिदिने बताए। हामीलाई आवश्यक पर्ने कुनै पनि सामग्री दिएकै छैन। सेमिफाइनलका खेल सञ्चालन भइसक्दा पनि मागेका सामान पाएका छैनौं। अब उनीहरूले दिएका ७ वटा टार्गेट बोर्ड पनि फिर्ता गरिदिने छौं, महासचिव सिवाकोटीले भने। उनले टार्गेट बोर्ड ३० थान, १२२ सेन्टिमिटरको टार्गेट फेस दुई सय वटा, ८० सेन्टिमिटरको टार्गेट फेस दुई सय वटा र स्ट्यान्डर्ड ६ रिङको टार्गेट फेस तीन सय वटा मागे पनि कमसल र कामै नलाग्ने ७ वटा टार्गेट बोर्ड मात्रै दिएर झारा टार्ने काम मात्रै भएको बताए। खेल सामग्री तथा पोसाक खरिद उपसमितिका संयोजक अञ्जन धमलाले अनलाइन टेन्डरमार्फत सामान खरिद गरिएकाले आफूहरूले हेर्न नपाएको बताए। हामीले अनलाइन टेन्डरमार्फत सामान खरिद गरेका हौं। अहिले पनि कतिपय सामान स्टोरमै छन्, उनले भने, हामीले अहिलेसम्म हेर्न पनि पाएका छैनौं। तोकिएको मापदण्ड अनुरुप नभएका सामग्री फिर्ता गरेर नयाँ ल्याउने छौं।"
सान्सौका २४ खेल : पुरुषतर्फ १६ र महिलातर्फ ८ खेलाडी क्वाटरफाइनलमा प्रवेश,"काठमाडौं : पोखरा रंगशालामा सान्सौतर्फ पुरुषतर्फ १६ र महिलातर्फ ८ खेलाडी क्वाटरफाइनल प्रवेश गरेको कास्की जिल्ला उसु संघका वरिष्ठ उपाध्यक्ष वीरन्द्र गहतराजले जानकारी दिए। महिला ४८ केजीमा सशस्त्र प्रहरीकी गौरी घर्तीमगर र सुदूरपश्चिम प्रदेशकी अस्मिताकुमारी गाहामगर क्वाटरफाइनलमा पुगेका छन्। उनीहरूले क्रमशः बागमती प्रदेशकी सञ्जिता ग्लान र मधेस प्रदेशकी कञ्चन पाललाई हराएका हुन्। महिलाको ५२ केजीमा बागमतीकी साशन थिङ लुम्बिनीकी शारदा पौडेललाई हराउँदै अघिल्लो चरणमा प्रवेश गरेकी छन्। सोही तौल समूहमा गण्डकीकी सीमा गुरुङले सुदूरपश्चिमकी पिंकी ठकुल्लालाई हराएकी छन्। ५६ केजी समूहमा बागमतीकी शशिकला राईलाई रोकेर सशस्त्र प्रहरीकी विद्या गुरुङ क्वाटर फाइनलमा गएकी छन्। ६० केजी समूहमा नेपाल प्रहरीकी रोजिना सुनुवार र कर्णाली प्रदेशकी गोमा आफ्रे अघिल्लो चरणमा पुगेका छन्। उनीहरूले क्रमशः बागमतीकी अम्बिका तामाङ र लुम्बिनीकी आयशा शाहीलाई पराजित गरेका हुन्। ६५ केजी समूहमा सशस्त्रकी मनिषा रावत प्रमिला विकलाई रोकेर अघिल्लो चरणमा गएकी छन्। सान्सौमा पुरुषतर्फ १६ खेल भएका छन्। ४८ केजी तौल समूहमा प्रदेश १ का गणेश लिम्बु र नेपाली सेनाका यमराज थापामगर अघिल्लो चरणमा प्रवेश गरेका छन्। ५२ केजीमा गण्डकी प्रदेशकी शिरिष सिंजाली र नेपाली सेनाका मदनकुमार श्रेष्ठ क्वाटर फाइनल पुगेका छन्। ५६ केजीमा सशस्त्र प्रहरीका रोहित चुनारो र नेपाली सेनाका जनक धामी विजयी भएका छन्। पुरुष ६० केजीमा बागमतीका बुद्धमान तामाङ र सुदूर पश्चिमका सुवास बुढा अघिल्लो चरण पुगेका छन्। ६५ केजीमा बागमती प्रदेशका आशीषा लामा र नेपाली सेनाका राजेश चौधरी विजेता बनेका छन्। ७० केजी तौल समूहमा सशस्त्र प्रहरीका सुवास भुल सेठी र नेपाल प्रहरीका मिलन दनुवार विजयी भएका छन्। पुरुषतर्फकै ७५ केजीमा सशस्त्र प्रहरीका अनिष शाही र सुदूर पश्चिमका हरिचन्द्र कार्की अघिल्लो चरणमा गएका छन्। ८० केजीमा सुदूरपश्चिमकी आलोक बुढामगर, ८५ केजीमा बागमतीका विदेश श्रेष्ठ विजयी भएका छन्।"
स्क्वासको पुरुष व्यक्तिगत विधामा अमृत थापालाई स्वर्ण पदक,काडमाडौं : पोखरामा जारी नवौं राष्ट्रिय खेलकुद प्रतियोगिताअन्तर्गत स्क्वासमा गण्डकीका अमृत थापा मगरले पुरुष व्यक्तिगत विधामा स्वर्ण पदक जितेका छन्। सोमबार पोखरा रंगशालास्थित स्क्वास कोर्टमा भएको फाइनल खेलमा थापामगरले बागमतीका अरहन्तकेशर सिम्हलाई ३२ को सेटमा पराजित गर्दै स्वर्ण पदक जितेका हुन्। जितसँगै थापामगरले स्वासमा तेस्रो पटक स्वर्ण पदक जिते। उनले सातौं र आठौं राष्ट्रिय खेलकुदमा पनि स्वर्ण पदक जितेका थिए। खेलमा पहिलो सेटमा थापाले १२१० मा लिँदै अगाडि बढे। दोस्रो सेटमा ८११ ले गुमाए। तेस्रो सेटमा १२१० स्कोरमा लिएर २१ को सेटमा रहे। तर चौथो सेटमा ९११ मा पराजित भएपछि निर्णायक सेटमा थापाले ११८ ले लिदैं स्वर्ण पदक जिते। दोस्रो पटक हार व्यहोरेका अरहन्तले रजत पदक प्राप्त गरे बागमतीका अमीर ब्लोन र गण्डकीका दिपक थापाले कांस्य पदक जितेका छन्।
महिला क्रिकेट : स्वर्ण पदकका लागि विभागीय टोली नेपाल पुलिस र एपीएफ क्लब भिड्ने,काठमाडौं : नवौं राष्ट्रिय खेलकद प्रतियोगिता अन्तर्गतको महिला क्रिकेट तर्फको स्वर्ण पदकका लागि विभागीय टोली नेपाल पुलिस क्लब र एपीएफ क्लब भिड्ने भएका छन्। पोखरामा सोमबार भएको सेमिफाइनलमा पुलिसले बागमती प्रदेशलाई ३६ रनले तथा एपीएफ क्लबले लुम्बिनी प्रदेशलाई ६९ रनले पराजित गर्दै फाइनल पुगेका हुन्। प्रतियोगितामा पुलिसले दिएको १ सय २४ रनको लक्ष्य पछ्याएको बागमतीले २० ओभरमा ७ विकेट गुमाएर मात्र ८७ रन बनायो। बागमतीका लागि सुमन खतिवडाले २३ र कप्तान अस्मिना कर्माचार्यले १८ रन बनाइन्। आरती बिडारीले अविजित ११ रन बनाइन्। बागमतीका अन्य ब्याटरले दोहोरो अंकमा रन बनाउँन सकेनन्। पुलिसले १८ रन अतिरिक्तमा दिएको थियो। पुलिसका लागि कविता कुँवरले ३ तथा ईश्वरी बिष्टले २ विकेट लिइन्। कप्तान रुविना क्षेत्री र संगिता राईले समान ११ विकेट लिए। त्यसअघि पहिले ब्याटिङ गरेको पुलिसले २० ओभरमा ४ विकेट गुमाएर १२३ रन बनाएको थियो। त्यस्तै प्रतियोगितामा विभागीय टोली नेपाल एपीएफ क्लब पनि लुम्बिनी प्रदेशलाई ६९ रनले पराजित गर्दै फाइनल पुगेको हो। एपीएफले दिएको १३० रनको लक्ष्य पछ्याएको लुम्बिनी १८ ओभर २ बलमा अलआउट हुदै मात्र ६० रन बनायो। लम्बिनीका लागि सुस्मिता बजगाईँले १२ रन बनाउनु बाहेक अन्य ब्याटरले दोहोरो अंकमा रन बनाउन सकेनन्। त्यसअघि पहिले ब्याटिङ गरेको एपीएफले २० ओभरमा ३ विकेट गुमाएर ११२ रन बनाएको थियो। एपीएफका लागि ज्योति पाण्डेले अविजित ६९ रनको अर्धशतकीय इनिङ खेलिन्। ममता चौधरीले १६ रन जोड्दा रोमा थापाले अविजित १२ रन बनाइन्। कप्तान सिता राना मगरले ११ तथा इन्दु बर्माले ६ रन बनाइन्। लुम्बिनीका लागि कृतिका मरासिनीले २ तथा मनिसा रानाले १ विकेट लिएका थिए।
"नवौं राष्ट्रिय खेलकुद प्रतियोगिता : गण्डकी, बागमती, सशस्त्र र पुलिस महिला भलिबलको सेमिफाइनलमा प्रवेश","बेनी : नवौं राष्ट्रिय खेलकुद प्रतियोगिताअन्तर्गत महिला भलिबलमा गण्डकी, बागमती प्रदेश, सशस्त्र र प्रहरी सेमिफाइनलमा प्रवेश गरेका छन्। राष्ट्रिय खेलकुद परिषद्को आयोजनामा म्याग्दीको बेनीमा सञ्चालित प्रतियोगिताको सोमबार भएको क्वाटरफाइनल खेलबाट नेपाली सेनाको त्रिभुवन आर्मी, सदूरपश्चिम, लुम्बिनी र प्रदेश १ बाहिरिएका छन्। मधेश र कर्णाली प्रदेश लिग चरणको खेलबाट बाहिरिएका थिए। पुलिसले सेनालाई दुईका विरुद्ध तीन, सशस्त्रले लुम्बिनी, बागमतीले सुदरपश्चिम र गण्डकीले प्रदेश १ लाई सोझो तीन सेटमा पराजित गर्दै सेमी फाइनल पुगेका जिल्ला भलिबल संघ म्याग्दीका अध्यक्ष तेजेन्द्र बानियाले जानकारी दिए। प्रहरी र सेनाको खेल प्रतिस्पर्धात्मक बनेको थियो। पहिलो र दोस्रो सेट जितेको पुलिसलाई तेस्रो र चौथो सेटमा पछि पारेको सेना अन्तिम सेटमा पराजित हुँदा सेमिफाइनल पुग्न सकेन। पुलिसले सेनालाई पहिलो सेटमा २५१३, दोस्रो सेट २५२० र तेस्रो सेट १५१३ अन्तरले पराजित गरेको हो। सेनाले पुलिसलाई तेस्रो सेट २५२३ र २५१४ अन्तरमा पराजित गरेको थियो। सशस्त्रले लुम्बिनीका विरुद्ध २५१९, २५१८ र २५१० को अन्तरमा जित निकालेको हो। सदूरपश्चिम प्रदेश बागमतीसँग २५१२,२५१५, २५२३ अन्तरमा पराजित भयो। गण्डकीले प्रदेश १ लाई २५१०, २५१०, २५ १७ को अन्तरमा पराजित गरेको हो। मंगलबार सेमिफाइनलमा सशस्त्र प्रहरी र बागमती प्रदेश तथा नेपाल पुलिस र गण्डकी प्रदेशबीच प्रतिस्पर्धा हुने जिल्ला खेलकुद विकास समितिका अध्यक्ष दिनेश केसीले जानकारी दिए। क्वाटरफाइनलको खेलमा सशस्त्रकी आरती सुवेदी, सुदरपश्चिमकी प्रगति नाथ, नेपाल पुलिसकी कमला पुन र प्रदेश १ की पुर्णिमा राइलाई वमेन अफ द म्याच घोषणा गरिएको थियो। लिक कम नकआउट वेष्ट अफ फाइभ सिस्टममा खेलाइएको खेलमा सात प्रदेश र तीन विभागीय टोली सहभागी छन्। प्रतियोगिता कात्तिक २ गतेसम्म सञ्चालन हुने जनाइएको छ।"
महिला भलिबलको पहिलो चरणको खेल सकियो,"बेनी : नवौ राष्ट्रिय खेलकुद प्रतियोगिता अन्तर्गत महिला भलिबलको पहिलो चरणको प्रतिस्पर्धा आइतबार सकिएको छ। राष्ट्रिय खेलकुद परिषद्को आयोजनामा म्याग्दीको बेनीमा सञ्चालित प्रतियोगितामा मधेस र कर्णाली प्रदेश पहिलो चरणको खेलबाटै बाहिरिएका छन्। लिगकम नकआउटका आधारमा खेलाइएको खेलमा सात प्रदेश र तीन विभागीय टोली सहभागी छन्। आइतबार एपीएफले नेपाली सेनाको त्रिभुवन आर्मी क्लब र बागमती प्रदेशले मधेस प्रदेशलाई पराजित गरेका थिए। एपीएफले आर्मीलाई ३१ सेटले हरायो। बागमतीले मधेसलाई ३० को सोझो सेटमा पराजित गर्यो। विनिता बुढाथोकीको कप्तानीमा मैदानमा उत्रिएको एपीएफले आर्मीलाई २५२०, १९२५, २५२१, २५२३ ले पराजित गर्यो। यसैगरी ललिता नाथको कप्तानीमा मैदानमा उत्रिएको बागमतीले प्रजुना थापाको नेतृत्वमा रहेको मधेस प्रदेशको टोलीलाई २५६, २५८, २५७ को फराकिलो अन्तरमा पराजित गर्यो। एपिएफकी निरुता ठगुल्ना र बागमतीकी जेनिसा वुमन अफ द म्याच घोषित भए।"
