शीर्षक,विवरण
ए डिभिजन लिगः मनाङसँग हार्यो संकटा,"काठमाडौं : सहिद स्मारक ए डिभिजन लिगमा बुधबार मनाङ मस्र्याङ्दी क्लबले संकटा क्लबविरुद्ध संघर्षपूर्ण जित निकालेको छ। त्रिपुरेश्वरस्थित दशरथ रंगशालामा सम्पन्न खेलमा मनाङले संकटाविरुद्ध १० को साँघुरो जित निकाल्यो। मनाङको जितमा सायिदजमोल डाभ्लाटओनोभले ५८औं मिनेटमा गरेको गोल नै निर्णायक बन्यो। लिगमा मनाङको यो पहिलो जित हो। यसअघि मनाङ पहिलो खेलमा हिमालयन शेर्पासँग बराबरीमा रोकिएको थियो। यसअघि मनाङले पहिलो खेलमा हिमालयन शेर्पासँग ११ को बराबरी खेल्दै अंक बाँडेको थियो। जितसँगै मनाङले लिगमा दुई खेलबाट चार अंक जोडेको छ। यस्तै, संकटा भने लिगमा दुई खेल खेल्दासम्म जितविहिन छ। संकटा यसअघि पहिलो खेलमा त्रिभुवन आर्मी फुटबल क्लबसँग गोलरहित बराबरीमा रोकिएको थियो। आजै भएको अन्य खेलमा सातदोबाटो युथ क्लबले सशस्त्र प्रहरी बलको एपीएफ र हिमालयन शेर्पा क्लबले नेपाल पुलिस क्लबलाई समान १० ले पराजित गरेका थिए।"
आठराई त्रिवेणी बन्यो च्याम्पियन,"ताप्लेजुङ : ताप्लेजुङमा सम्पन्न उपमेयर कप महिला फुटबलको उपाधि आठराई त्रिवेणी गाउँपालिकाले जितेको छ। फुङ्लिङ नगरपालिकालाई २१ गोलअन्तरले पराजित गर्दै आठराई त्रिवेणीले उपाधि हात पारेको हो। बुधबार सम्पन्न खेलमा जितका लागि आठराई त्रिवेणीकी अनुसा आङ्बुहाङ र प्रिती गुरुङले गोल गरिन्। यता फुङ्लिङको तर्फबाट विनिता खवासले गरेको गोल नै सान्तवना गोल बन्यो। उनले पहिलो हापको १४ औं मिनेटमा नै खाता खोलेकी थिइन्। सुरुवाती अग्रता लिएको नगरपालिकाले अग्रता कायम राख्न सकेन। उपाधि हात पारेको आठराई त्रिवेणीले नगद १ लाख ११ हजारसहित ३ वर्षे रनिङ कप र प्रमाणपत्र पाएको छ। यता उपविजेता बनेको फुङ्लिङले नगद ५५ हजार ५ सय रुपैयाँसहित मेडल र प्रमाणपत्रमा चित्त बुझायो। रनिङ कप १ सय तोला चाँदी र आधा तोला सुन जडित हुने आयोजकले जनाएको छ। विद्यागत पुरस्कार तर्फ बेष्ट डिफेन्डरमा फुङ्लिङकी अनुसार थेबे, मिडफिल्डरमा आठराई त्रिवेणीकी रेश्मा थलङ, किपिङमा आठराई त्रिवेणीकी एलिसा लिम्बू, फर्वाडमा फुङ्लिङकी सुजता पालुंवा बनिन्। उदयमान खेलाडीमा फुङ्लिङकी विनिता खवास र बेष्ट प्लेयरमा आठराई त्रिवेणीकी अनुसा आङ्बुहाङ नगद सहित सम्मानित भए।"
फागुन २७ देखि पाँचपोखरी टी२० क्रिकेट प्रतियोगिता हुने,"काठमाडौं : यही फागुन २७ गतेदेखि पाँचौ पाँचपोखरी टी२० क्रिकेट प्रतियोगिता हुने भएको छ। खेलको सम्पूर्ण तयारी पूरा भएको खेलकुद विकास समितिका अध्यक्ष ग्यास्वो साम्देन तामाङले बताए। प्रतियोगितामा सिन्धुपाल्चोक जिल्लाका सातवटा टिमको सहभागिता रहनेछ। यस प्रतियोगितामा विजेता र उपविजेता हुने टिमले क्रमशः ८० हजार र ५० हजार नगद, ट्रफी, प्रमाणपत्र, मेडल पाउने छन्। प्रतियोगितामा सर्वोत्कृष्ट खेलाडी, उत्कृष्ट ब्याट्सम्यान, उत्कृष्ट बलर र उत्कृष्ट अलराउण्डरलाई ट्रफी तथा प्रमाणपत्र प्रदान गरिनेछ। ग्रेट हिमालयन क्रिकेट एकेडेमीले उक्त प्रतियोगितामा सफलता हासिल गर्ने सर्वोत्कृष्ट खेलाडीलाई एक वर्ष र उत्कृष्ट बलर एवं उत्कृष्ट ब्याट्सम्यानलाई ६ महिना निःशुल्क क्रिकेट प्रशिक्षण प्रदान गर्नेछ।"
ए डिभिजन लिग : सातदोबाटो र हिमालयन शेर्पा विजयी,काठमाडौं : विलियम ओपोकुको निर्णायक गोलप्रेरित सातदोबाटो युथ क्लबले सहिद स्मारक ए डिभिजन लिगमा बुधबार सशस्त्र प्रहरी बलको एपीएफ क्लबलाई १० को नतिजामा पराजित गरेको छ। च्यासल रंगशालामा भएको खेलको ५५औं मिनेटमा ओपोकुले गरेको एक मात्र गोल निर्णायक बन्यो। एपीएफका गोलकिपर युया कुरियामा अगाडि बढेको समयमा ओपोकुले सेन्टर सर्कलबाट गरेको प्रहार उत्कृष्ट गोलमा परिणत भएको थियो। त्यसअघि पहिलो हाफको इन्जुरी समयमा सातदोबाटोका इभान मेरितले हेडरमार्फत गरेको प्रहार क्रसबारमा लागेर फर्किएको थियो। जितसँगै सातदोबाटोले दुई खेलबाट ६ अंक जोडेको छ। पराजित एपीएफको तीन अंक छ। बुधबार नै दशरथ रंगशालामा भएको खेलमा हिमालयन शेर्पा क्लबले नेपाल पुलिस क्लबलाई १० को नतिजामा पराजित गरेको छ। अम्रित श्रेष्ठले इन्जुरी समयमा गरेको एक मात्र गोल निर्णायक बन्यो।
लिखुले जित्यो राष्ट्रपति रनिङ शिल्डको उपाधि,"नुवाकोट : जिल्ला स्तरीय राष्ट्रपति रनिङ शिल्डको १२औं संस्करणमा लिखु गाउँपालिका च्याम्पियन बनेको छ। नुवाकोटको चौघडामा सम्पन्न प्रतियोगिताको ६ विद्यामा ९८ स्वर्ण पदकका लागि प्रतिस्पर्धा भएको थियो। जिल्ला खेलकुद विकास समिति नुवाकोटले आयोजना गरेको प्रतियोगितामा ९८ स्वर्ण, ९८ रजत र एक सय २२ कास्य पदकका प्रतिस्पर्धा भएको थियो। प्रतियोगितामा प्रथम भएको लिखुले २२ स्वर्णसहित १४ रजत र पाँच कास्य हात पार्यो। प्रतियोगितामा दोस्रो भएको विदुर नगरपालिकाले १२ स्वर्णसहित पाँच रजत र १० कास्य जितेको छ भने तेस्रो भएको सूर्यगढी गाउँपालिकाले पाँच स्वर्णसहित नौ रजत र आठ कास्य पदक जितेको छ। प्रतियोगितामा एथ्ले्टिक्स, भलिबल, तेक्वान्दो, उसु, करातेलगायतका खेलहरू समावेश गरिएको आयोजक खेलकुद विकास समितिका अध्यक्ष सन्तोष राइले जानकारी दिए। प्रतियोगितामा विजेता तथा उपविजेतालाई नेपाली कांग्रेसका प्रवक्ता डा प्रकाशशरण महतले शिल्ड, मेडल र प्रमाणपत्र प्रदान गरे। उनले खेल र खेलाडिहरुको स्तर विकासका लागि स्थानीय, प्रदेश र संघीय सरकारले विशेष कार्यक्रम ल्याउनु पर्ने र त्यसका लागि आफ्नो दलले जोड दिने पनि बताएका थिए।"
डाँडाबजार गोल्डकपमा रारा फुटबल क्लब र धरान सिटीको जित,"धनकुटा : साँगुरीगढी गाउँपालिका५ स्थित डाँडाबजारमा जंगबहादुर थापा स्मृति दोस्रो डाँडाबजार गोल्डकप फुटबल प्रतियोगिता सुरु भएको छ। डाँडाबजार फुटबल क्लबको आयोजनामा प्रतियोगिता सुरु भएको हो। बुधबार गाउँपालिकाका अध्यक्ष जितेन्द्र राई र स्वर्गीय जंगबहादुर थापाकी धर्मपत्नी हस्तमाया थापाले संयुक्त रूपमा प्रतियोगिता उद्घाटन गरेका थिए। प्रतियोगिताको पहिलो दिन दुईवटा खेल सम्पन्न भए। उद्घाटन खेलमा साँगुरीगढी११ फुटबल क्लबलाई २१ गोलअन्तरले पराजित गर्दै रारा फुटबल क्लब, राजारानी सेमिफाइनलमा प्रवेश गरेको छ। राराको जितमा विरेन चेम्जोङले २ गोल गरे। साँगुरीगढीका लागि सान्त्वना गोल सलिन राईले गरेका थिए। राराको जितमा दुई गोल गर्ने विरेन खेलको म्यान अफ द म्याच घोषित भए। उनलाई वडा नम्बर ५ का वडाध्यक्ष खड्ग लिम्बुलाई नगद दुई हजार रुपैया प्रदान गरे। दोस्रो खेलमा धरान सिटी फुटबल क्लबले कुसुमे साइनिङ क्लब केराबारी मोरङलाई शुन्यका विरुद्ध दुई गोलअन्तरले पराजित गर्यो। धरान सिटीको जितमा निमा शेर्पा र विवेक राईले एकएक गोल गरे। उक्त खेलको म्यान अफ म्यान धरान सिटीका सुरज विके घोषित भए। उनलाई सप्तकोशी विकास बैंक डाँडाबजार शाखाका म्यानेजर रकेट राईले नगद दुई हजार प्रदान गरे। प्रतियोगितामा आयोजक डाँडाबजार फुटबल क्लबसहित कोशी प्रदेशका विभिन्न आठ टिमको सहभागिता छ। प्रतियोगिताको विजेताले १ लाख ५० हजार र ट्रफी र उपविजेता टिमले नगद ७५ हजार र ट्रफी प्राप्त गर्नेछन्।धागत रुपमा उत्कृष्ट हुने खेलाडीलाई समेत पुरस्कारको व्यवस्था गरिएको आयोजक क्लबका अध्यक्ष राजकुमार लिम्बुले बताए। अघिल्लो वर्ष गोल्डकपको प्रथम संस्करण भएको थियो। उक्त संस्करणको विजेता आयोजक डाँडाबजार फुटबल क्लब नै भएको थियो। डाँडाबजार फुटबल क्लबको आयोजनामा सञ्चालित प्रतियोगिताको मुख्य प्रायोजक दिलिप थापा हुन्। वडा नम्बर वडा कार्यालय, साँगुरीगढी गाउँपालिका, गोर्खा व्रुअरी र वदरहुडले पनि सहयोग गरेका छन्। प्रतियोगिताको फाइनल खेल आगामी २७ गते हुँदैछ। फाइनल खेलको दिन चर्चित गायिका इन्दिरा जोशीको सांगीतिक प्रस्तुति हुने छ।"
"प्यालेस्टाइनविरुद्ध नेपालको शानदार जित, दीपाको चार गोल","काठमाडौं : दीपा शाहीको चार गोलप्रेरित नेपालले एएफसी यू२० महिला एसियन कप२०२४ छनोटको पहिलो खेलमा घरेलु टिम प्यालेस्टाइनलाई ६० को नतिजामा पराजित गरेको छ। प्यालेस्टाइनस्थित फैसल अलहुसेइनी रंगशालामा सम्पन्न खेलमा दीपाले चार गोल गरिन्। यस्तै, गरिमा राईले दुई गोल गरिन्। खेलको २१औं मिनेटमा दीपाले पेनाल्टीमार्फत गोल गर्दै नेपाललाई अग्रता दिलाएकी थिइन्। २९औं मिनेटमा गरिमाले नेपालको अग्रता दोब्बर पारिन्। पहिलो हाफमा दुई गोल गरेको नेपालले दोस्रो हाफमा चार गोल थप्यो। ६७औं मिनेटमा दीपाले गोल गर्दै नेपाललाई ३० को अग्रतामा राखिन्। ७५औं मिनेटमा दीपाले ह्याट्रिक गर्दै नेपालको अग्रतालाई ४० मा पुर्याइन्। ८२औं मिनेटमा गरिमाले नेपालका लागि पाँचौ गोल गरिन्। यस्तै, खेलको निर्धारित समय सकिन पाँच मिनेट बाँकी रहँदा दीपाले चौथो गोल गर्दै टिमको अग्रतालाई ६० मा पुर्याइन्। समूह बी मा रहेको नेपालको समूहमा प्यालेस्टाइन र नर्थन मरियाना आइसल्यान्ड छन्। यसअघि यही समूहमा रहेको युनाइटेड अरब इमिरेट्स (यूएई) ले आफ्नो नाम फिर्ता लिएकाले नेपालले घरेलु टिम प्यालेस्टाइन र नर्थन मरियाना आइसल्यान्डसँग मात्र प्रतिस्पर्धा गर्ने भएको हो। नेपालले अब आइतबार नर्थन मारियाना आइसल्यान्डविरुद्ध प्रतिस्पर्धा गर्नेछ।"
आईसीसी विश्वकप लिग  २ : बिहीबार नेपाल र पीएनजीबीच प्रतिस्पर्धा हुने,"नेपाल, युएई र पपुवा न्युगिनी पीएनजी बीचको त्रिदेशीय एकदिवसीय क्रिकेट श्रृंखला किर्तिपुर मैदानमा हुन लागेको हो। काठमाडौं : आईसीसी विश्वकप लिग२ अन्तर्गतको अन्तिम त्रिकोणात्मक सिरिज बिहीबारबाट नेपालमा आयोजना हुँदैछ। नेपाल, युएई र पपुवा न्युगिनी पीएनजी बीचको त्रिदेशीय एकदिवसीय क्रिकेट श्रृंखला किर्तिपुर मैदानमा हुन लागेको हो। उक्त श्रृंखलाबाट तेस्रो, चौथो र पाँचौं स्थानमा रहने टोलीको तय हुनेछ। घरेलु मैदानमा हुन लागेको श्रृंखलामा नेपालले यूएई र पपुवा न्युगिनीसँग समान २२ खेल खेल्नेछ। नेपालले यी चार खेल जित्दा ४० अङ्क पुग्नेछ। जुन विश्वकप छनोट र एकदिवसीय मान्यता कायम राख्न पर्याप्त हुनेछ। खेल अघि तीनै टोलीले तालिकामा अंक सुधार गर्ने लक्ष्यका साथ खेल प्रदर्शन गर्ने बताएका छन्। नेपाली राष्ट्रिय क्रिकेट टीमका मुख्य प्रशिक्षक मोन्टे देशाइले अन्तिम सिरिज कठिन भएपनि जीतको लक्ष्यका साथ मैदान उत्रने बताए। उनले बिहीबारको खेलमा सम्पूर्ण ध्यान केन्द्रित रहेको बताए। त्यस्तै नेपालका कप्तान रोहित पौडेलले पछिल्लो समय सोचेजस्तो खेल प्रदर्शन गर्न सफल भएको भन्दै आगमी खेल पनि जित्ने बताए। त्यस्तै युएई र पपुवा न्युगिनी पीएनजीका प्रशिक्षक र कप्तानहरुले पनि अन्तिम सिरिजमा ध्यान केन्द्रित गरेको बताएका छन्। नेपालले बिहीबार पीएनजीसँग, आइतबार यूएईसँग, सोमबार पीएनजीसँग र अन्तिम खेल आउँदो बिहीबार यूएईसँग खेल्नेछ। श्रृंखलाका सबै चार खेल जित्न सके घरेलु टोली नेपाल सोझै विश्वकप छनोटमा पुग्नेछ भने एकदिवसीय मान्यता पनि कायमै रहनेछ। यदि नेपाल अङ्कतालिकाको शीर्ष तीनमा पर्न नसके विश्वकप छनोटका लागि क्वालिफायर प्लेअफ खेल्नुपर्ने हुन्छ। जसबाट शीर्ष दुई टोलीले विश्वकप छनोट खेल्न पाउनेछन्। त्यस्तै लिग२ मा शीर्ष पाँचमा पर्न नसके नेपालले एकदिवसीय मान्यता जोगाउन प्लेअफ क्वालिफायरमा शीर्ष चारमा पर्नुपर्ने हुन्छ। नेपालको ३२ खेलमा ३२ र यूएईको ३१ अङ्क छ र तालिकाको पाँचौ स्थानमा छ।"
१ हजारले सस्तियो सुन,काठमाडौं : सुनको मूल्यमा भारी गिरावट आएको छ। आज सुन तोलामा १ हजार रुपैयाँले सस्तिएको सुनचाँदी व्यवसायी महासंघले जनाएको छ। महासंघका अनुसार छापावाल सुन प्रतितोला १ लाख १ हजार ५०० रुपैयाँमा खरिदबिक्री भइरहेको छ। यस्तै तेजावी सुन प्रतितोला १ लाख १ हजार रूपैयाँ तोकिएको छ। मंगलबार ३०० रुपैयाँले घटेर प्रतितोला सुनको मूल्य १ लाख २ हजार ५०० रुपैयाँमा कारोबार भएको थियो। सुनको मूल्य घटेसँगै चाँदी पनि घटेको छ। आज चाँदी ४० रुपैयाँले घटेर प्रतितोला १२ सय २५ रूपैयाँमा कारोबार भइरहेको महासंघले जनाएको छ।
आय विवरण दाखिला गर्ने करदाता घटे,"काठमाडौं : अघिल्लो आर्थिक वर्षको तुलनामा गत वर्षको आय विवरण दाखिला गर्ने करदाता ठूलो सङ्ख्यामा घटेको देखिएपछि आन्तरिक राजस्व विभागले खोजबिन सुरु गरेको छ। प्रत्येक आर्थिक वर्षको आय विवरण असोज मसान्तसम्म कर कार्यालयमा दाखिला गरी सक्नुपर्छ। यस्तो विवरण बुझाइसक्न पुस मसान्तसम्मको म्याद थपिएकोमा सो अवधिसम्म पनि केही करदाताले विवरण नबुझाएपछि विभागले छानबिन थालेको हो। कतिपय करदाताले आफ्नो कारोबारको मूल्य अभिवृद्धि कर (भ्याट) को विवरण दाखिला गरेको, भन्सार तथ्यांक हेर्दा आयात निर्यात गरेको पाइएको र त्यस्ता करदाताको नाममा अग्रिम कर कट्टीसमेत भएको देखिए पनि आयकरको विवरण भने नबुझाएको विभागले जनाएको छ। यसरी गत आर्थिक वर्ष २०७८७९ मा कर लाग्ने कारोबार गरेको देखिए पनि हालसम्म आय विवरण र कर दाखिला नभएपछि त्यस्ता करदाताको विवरण संकलनको काम भइरहेको विभागका सूचना अधिकारी राजुप्रसाद प्याकुरेलले जानकारी दिए। 'भ्याट, आशिकुडा लगायतका तथ्याङ्क हेर्दा केही करदाताले आफ्नो कारोबारअनुसार आय विवरण र कर दाखिला गरेको देखिएन। गत वर्षको यही अवधिसम्मको तुलनामा यस वर्ष आय विवरण बुझाउने करदाताको सङ्ख्या निकै कम देखिएको छ। त्यस्ता करदाताबारे खोजबिन गर्न विभागले कर कार्यालयहरुलाई भनिसकेको छ', प्याकुरेलले भने। कुन कर कार्यालयमा कति करदाताले यस्तो विवरण बुझाउन बाँकी छ भन्ने तथ्यांक संकलन भइरकेको पनि उनले जानकारी दिए। आयकर विवरण र कर दाखिला नगर्ने करदाताको वास्तविक संख्या भने अझै आइनसकेको विभागले जनाएको छ। त्यस्तै, आय विवरण र कर दायित्व फरकफारक नगर्ने करदाताको छानबिन तथा अनुसन्धान गरी प्रचलित कानून बमोजिम कारबाही गर्ने पनि विभागले जनाएको छ। चालु आर्थिक वर्षको अर्धवार्षिक समीक्षा अवधिसम्ममा आयकर असुली निकै न्यून देखिएको छ। सरकारले पुस मसान्तसम्ममा एक खर्ब ५७ अर्ब २२ लाख १८ हजार बराबर आयकर उठाउने लक्ष्य राखेकोमा एक खर्ब १६ अर्ब ७९ करोड बराबर मात्रै असुली गरेको हो। जुन रकम यो अवधिका लागि राखिएको लक्ष्यको ७४ दशमलव तीन प्रतिशत बराबर हो। अहिले आयकर मात्र नभई समग्र आन्तरिक राजस्व नै प्रभावित भएको छ। चालु आर्थिक वर्षको अर्धवार्षिक समीक्षा अवधिसम्ममा समग्र सरकारी राजस्व संकलन लक्ष्यभन्दा निकै कम छ। विभागका अनुसार पुस मसान्तसम्म ६ खर्ब ५१ अर्ब ६१ करोड ८७ लाख आन्तरिक राजस्व उठाउने लक्ष्य रहेकोमा चार खर्ब ९० अर्ब चार करोड ३८ लाख बराबर मात्रै असुली भएको छ। जुन अर्धवार्षिक लक्ष्यको ७५ दशमलव २० प्रतिशत बराबर हो। अर्थात चालु आर्थिक वर्षको अर्धवार्षिक समीक्षा अवधिमा सरकारको राजस्व संकलन लक्ष्यभन्दा २४ दशमलव ८० प्रतिशत बिन्दुले न्यून देखिएको छ। रासस"
