शीर्षक,विवरण
त्रिदेशीय टी२० क्रिकेट शृङ्खलाको फाइनलमा आज नेपालले यूएईसँग खेल्दै,काठमाडौं : त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट शृङ्खलाको फाइनलमा आज नेपालले यूएईसँग खेल्दैछ। खेल त्रिवि क्रिकेट मैदान कीर्तिपुरमा बिहान ११ बजे सुरु हुने छ। नेपालले हङकङ र यूएईलाई समान २२ खेलमा हराएको थियो। यूएई र हङकङले समान एकएक खेल जित हात पारे पनि नेट रनरेटमा यूएईले हङकङलाई पछि पार्दै फाइनलमा स्थान बनाएको हो। सिरिजका चारै खेलमा शानदार जितसहित नेपाल यसअघिनै सिरिजको फाइनल प्रवेश गरिसकेको छ। नेपालले पछिल्लो खेलमा यूएईलाई ५ विकेटले हराएको थियो। आईसीसी टी२० विश्वकप छनोटको तयारी स्वरूप नेपाल क्रिकेट संघ (क्यान) ले त्रिदेशीय टी२० क्रिकेट शृङ्खलाको आयोजना गरेको हो ।
त्रिदेशीय टी२० क्रिकेट शृङ्खलाको उपाधि यूएईलाई,"काठमाडौं : यूएईले त्रिदेशीय टी२० क्रिकेट शृङ्खलाको उपाधि जितेको छ। नेपाललाई ४ विकेटले हराउँदै यूएई विजयी भएको हो। उपाधिका लागि नेपालले दिएको १६३ रनको लक्ष्य यूएईले अन्तिम बल खेल्नु अघि ६ विकेट गुमाएर भेट्टाएको हो। नेपालले यसअघि लिगका चारवटै खेल जितेको थियो। तर, फाइनल भने नेपाल चुकेको छ। मुहमद वासिमले ४५ रन बनाएर यूएईलाई राम्रो सुरुवात दिलाएका थिए। अर्का ओपनर आयांश शर्माले २५ र वृत्य अरविन्दले २६ रनको योगदान दिएका थिए। नेपालका गुल्सन झा र अविनाश बोहराले समान २ तथा कुशल मल्लले १ विकेट लिए। त्यसअघि यूएईले टस जितेर फिल्डिङ गर्ने निर्णय गरेपछि ब्याटिङमा उत्रिएको नेपालले ८ विकेटको क्षतिमा १ सय ६२ रन बनायो। ओपनर कुशल भुर्तेलले सर्वाधिक ५० रन बनाए। आसिफ शेख ७, कुशल मल्ल १, रोहित पौडेल १८, दिपेन्द्र सिंह ऐरी २०, सन्दीप जोरा ५, गुल्सन झा ५, सोमपाल कामीले १३ रन बनाए। यूएईका आयन खानले ३ तथा अली नासिर र जहुर खानले समान दुई विकेट लिए। जुनेद सिद्धीकीको नाममा एक विकेट रह्यो। नेपाल अपराजित रहदै सिरिजको फाइनल प्रवेश गरेको हो। लिग चरणका दुवै खेलमा यूएईलाई हराएपनि फाइनलमा भने नेपाल पराजित हुन पुग्यो। टी ट्वान्टी विश्वकप छनोटको तयारी स्वरूप नेपालले हङकङ र यूएईलाई समावेश गरेर सिरिजको आयोजना गरेको हो। टस जितेको युएईले फिल्डिङ रोजेर नेपाललाई ब्याटिङको निम्तो दिएको थियो। नेपालले पछिल्लो खेलमा यूएईलाई ५ विकेटले हराएको थियो।"
त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट : नेपालले ५ विकेट गुमायो,काठमाडौं : त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट शृङ्खलाको फाइनलमा नेपालले ५ विकेट गुमाएको छ। १३ ओभर सकिँदा नेपालले ५ विकेट गुमाउँदै १११ रन बनाएको छ। टस हारेको नेपालले युएईले फिल्डिङ रोजेर नेपाललाई ब्याटिङको निम्तो दिएको थियो। यसअघि नेपालले हङकङ र यूएईलाई समान २२ खेलमा हराएको थियो। यूएई र हङकङले समान एकएक खेल जित हात पारे पनि नेट रनरेटमा यूएईले हङकङलाई पछि पार्दै फाइनलमा स्थान बनाएको हो। सिरिजका चारै खेलमा शानदार जितसहित नेपाल यसअघिनै सिरिजको फाइनल प्रवेश गरिसकेको छ। नेपालले पछिल्लो खेलमा यूएईलाई ५ विकेटले हराएको थियो। आईसीसी टी२० विश्वकप छनोटको तयारी स्वरूप नेपाल क्रिकेट संघ (क्यान) ले त्रिदेशीय टी२० क्रिकेट शृङ्खलाको आयोजना गरेको हो।
भारतीय राजदूतावासद्वारा क्रिकेट सामग्री हस्तान्तरण,"काठमाडौं : काठमाडौंस्थित भारतीय राजदूतावास बिहीबार क्रिकेट सामग्री हस्तान्तरण गरेको छ। कप्तान रोहित पौडेल नेतृत्वको नेपाल राष्ट्रिय क्रिकेट टोली र नेपाल क्रिकेट संघका कार्यकारी सदस्यहरूका लागि दूतावासमा स्वागत समारोहका अवसरमा सामग्री हस्तान्तरण गरेको हो। कार्यक्रममा नेपालका लागि भारतीय राजदूत नवीन श्रीवास्तवले सरिन स्पोर्ट्सबाट खरिद गरिएका २० वटा क्रिकेट ब्याटसहितका व्यावसायिक क्रिकेट सामग्री नेपाल क्रिकेट संघका अध्यक्ष चतुरबहादुर चन्द र संघका सचिव पारस खड्काको उपस्थितिमा नेपाली क्रिकेट टोलीका कप्तान रोहित पौडेललाई हस्तान्तरण गरे। ती सामग्री बीपी कोइराला भारतनेपाल फाउन्डेशन र भारत सरकारको स्वामित्व रहेको सतलज जलविद्युत निगम (एसजेभीएन) का तर्फबाट भारतीय दूतावासले प्रदान गरेको हो। नेपाली क्रिकेट टोलीले पनि भारतीय राजदूत श्रीवास्तवलाई टोलीले हस्ताक्षर गरेको जर्सी उपहारस्वरुप प्रदान गरेको छ। राजदूत श्रीवास्तवले हालै सम्पन्न एसिया कप र एसियाली खेलकुदमा नेपाली क्रिकेट टोलीको बेजोड प्रदर्शनको प्रशंसा गरेका छन्। उनले क्रिकेट सामग्रीको हस्तान्तरणले भारत र नेपालबीचको जनताजनताबीचको सम्बन्धमा नयाँ आयाम थप्ने बताए। उनले आगामी त्रिदेशीय टी२० कप फाइनल र यसै महिनाको अन्त्यबाट सुरु हुने आइसीसी टी२० विश्वकप छनोटका लागि क्रिकेट टोलीलाई शुभकामना व्यक्त गरेका छन्। नेपाल क्रिकेट संघका अध्यक्ष चन्द , संघका सचिव खड्का र नेपाली क्रिकेट टोलीका प्रशिक्षक मोन्टी देसाईले भारतीय दूतावास, बीपी कोइराला भारतनेपाल फाउन्डेशन र एसजेभीएनलाई धन्यवाद व्यक्त गरेका छन्। दूतावासले यसअघि सन् २०१३ मा नेपाल क्रिकेट संघलाई बस उपलब्ध गराएको थियो भने फाउन्डेशनमार्फत नेपाल बहिरा क्रिकेट टोलीलाई सन् २०२३ को अप्रिलदेखि मेसम्म कोलकत्तामा भएको त्रिदेशीय क्रिकेट टुर्नामेन्टमा सहभागी हुन सहयोग गरेको थियो।"
"त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट : नेपालले टस हार्यो, युएईद्वारा ब्याटिङको निम्तो",काठमाडौं : त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट शृङ्खलाको फाइनलमा आज नेपालले यूएईसँग टस हारेको छ। युएईले फिल्डिङ रोजेर नेपाललाई ब्याटिङको निम्तो दिएको छ। खेल त्रिवि क्रिकेट मैदान कीर्तिपुरमा बिहान ११ बजे सुरु हुने छ। नेपालले हङकङ र यूएईलाई समान २२ खेलमा हराएको थियो। यूएई र हङकङले समान एकएक खेल जित हात पारे पनि नेट रनरेटमा यूएईले हङकङलाई पछि पार्दै फाइनलमा स्थान बनाएको हो। सिरिजका चारै खेलमा शानदार जितसहित नेपाल यसअघिनै सिरिजको फाइनल प्रवेश गरिसकेको छ। नेपालले पछिल्लो खेलमा यूएईलाई ५ विकेटले हराएको थियो। आईसीसी टी२० विश्वकप छनोटको तयारी स्वरूप नेपाल क्रिकेट संघ (क्यान) ले त्रिदेशीय टी२० क्रिकेट शृङ्खलाको आयोजना गरेको हो।
नेपालको सातौं विकेट पतन,काठमाडौं : त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट शृङ्खलाको फाइनलमा नेपालको सातौं विकेट पतन भएको छ। १७ ओभर सकिँदा नेपालले ७ विकेट गुमाउँदै १४० रन बनाएको छ। टस हारेको नेपालले युएईले फिल्डिङ रोजेर नेपाललाई ब्याटिङको निम्तो दिएको थियो। यसअघि नेपालले हङकङ र यूएईलाई समान २२ खेलमा हराएको थियो। यूएई र हङकङले समान एकएक खेल जित हात पारे पनि नेट रनरेटमा यूएईले हङकङलाई पछि पार्दै फाइनलमा स्थान बनाएको हो। सिरिजका चारै खेलमा शानदार जितसहित नेपाल यसअघिनै सिरिजको फाइनल प्रवेश गरिसकेको छ। नेपालले पछिल्लो खेलमा यूएईलाई ५ विकेटले हराएको थियो। आईसीसी टी२० विश्वकप छनोटको तयारी स्वरूप नेपाल क्रिकेट संघ (क्यान) ले त्रिदेशीय टी२० क्रिकेट शृङ्खलाको आयोजना गरेको हो।
नेपालले यूएईलाई दियो १६३ रनको लक्ष्य,"काठमाडौं : नेपालले यूएईलाई १६३ रनको लक्ष्य दिएको छ। त्रिदेशीय टी२० अन्तर्राष्ट्रिय क्रिकेट शृङ्खलाको फाइनलमा नेपालले १६२ रन बनाएको हो। निर्धारित २० ओभरमा नेपालले ८ विकेट गुमाउँदै १६२ रन बनायो। नेपालका लागि कुशल भुर्तेलफे सर्वाधिक ५० रन बनाए। त्यस्तै करण केसी २३ रनमा अविजित रहँदा दीपेन्द्र सिंह ऐरीले २०, रोहित पौडेलले १८, सोमपाल कामीले १३ र सुन्दीप जोराले १० रन बनाए। त्यस्तै युएईका आयान अफजल खानले तीन विकेट लिए भने अलि नसुर र जहुर खानले दुई दुई विकेट लिए। टस जितेको युएईले फिल्डिङ रोजेर नेपाललाई ब्याटिङको निम्तो दिएको थियो। नेपालले पछिल्लो खेलमा यूएईलाई ५ विकेटले हराएको थियो। यसअघि नेपालले हङकङ र यूएईलाई समान २२ खेलमा हराएको थियो। यूएई र हङकङले समान एकएक खेल जित हात पारे पनि नेट रनरेटमा यूएईले हङकङलाई पछि पार्दै फाइनलमा स्थान बनाएको हो। सिरिजका चारै खेलमा शानदार जितसहित नेपाल यसअघिनै सिरिजको फाइनल प्रवेश गरिसकेको छ। आईसीसी टी२० विश्वकप छनोटको तयारी स्वरूप नेपाल क्रिकेट संघ (क्यान)ले त्रिदेशीय टी२० क्रिकेट शृङ्खलाको आयोजना गरेको हो।"
"सुनको मूल्यमा नयाँ रेकर्ड, तोलाको पुग्यो १ लाख १६ हजार",काठमाडौं : नेपाली बजारमा सुनको मूल्यले ऐतिहासिक रेकर्ड बनाएको छ। दसैंपछिको पहिलो कारोबार दिन आज सुनको मूल्य प्रतितोला १ लाख १६ हजार रुपैयाँ कायम भएको नेपाल सुनचाँदी महासंघले जनाएको छ। तेजाबी सुन १ लाख १५ हजार ४५० पुगेको छ। चाँदी प्रतितोला १४ सय रुपैयाँमा खरिदबिक्री भइरहेको महासंघले जनाएको छ।
रहेनन् एभरेस्ट बैंकका अध्यक्ष श्रेष्ठ,"काठमाडौं : एभरेष्ट बैंक लिमिटेडका संस्थापक एवं सञ्चालक समितिका अध्यक्ष विष्णुकृष्ण श्रेष्ठको ९४ वर्षको उमेरमा निधन भएको छ। उनको कात्तिक ६ गते मेडिसिटी अस्तालमा उपचारको क्रममा निधन भएको एभरेष्ट बैंकले जानकारी दिएको छ। श्रेष्ठको कुशल नेतृत्व एवंम अभिभावकत्वमा यस बैंकले उदाहरणीय प्रगति गर्दै आफूलाई दिगो, दरिलो र विश्वासीलो बैंकको रूपमा स्थापित गर्न सफल भएको थियो। श्रेष्ठको अन्त्येष्टि उनको इच्छाबमोजिम एभरेष्ट बैंकको सहयोगमा पशुपतिमा सञ्चालनमा रहेको कम दाउराले शव जलाइने प्रविधिमा आधारीत वुडन क्रिमेटरीमा गरिएको छ।"
मधुवनका किसानलाई उन्नत जातको मसुरोको बीउ,"गुलरिया : बर्दियाको मधुवन नगरपालिका वडा नम्बर२ स्थित सोनाह गाउँमा किसानहरुलाई उन्नत जातको मसुरोको बीउ वितरण गरिएको छ। एकीकृत कृषि तथा पशुपंक्षी कास कार्यालय गुलरिया बर्दियाले स्थानीय कृषकलाई उन्नत जातको मसुरोको बीउ वितरण गरेको हो। लुम्बिनी प्रदेसका सांसद जन्मजय तिमिल्सिनाले बीउ वितरण गरेका हुन्। करिब ३० विगाह क्षेत्रफलमा पुग्ने गरी ६६ जना किसानलाई बीउ वितरण गरिएको एकीकृत कृषि तथा पशुपंक्षी विकास कार्यालय बर्दियाका प्रमुख सागर ढकालले बताए। ९ क्विन्टल खजुरा १, २ र ३ जातका बीउ बालीबस्तु विशेष सघन ब्यवसायिक उत्पादन क्षेत्र विकास कार्यक्रमअन्तर्गत वितरण गरिएको छ। किसानसँग नयाँ बीउका जात पुर्याउने ध्येयले नयाँ तथा उन्नत जातको मसुरोको बीउ वितरण गरिएको उनको भनाइ छ। २० प्रतिशत बीउ राम्रो भयो भने उत्पादन बढ्छ। प्रत्येक ३३ वर्षमा बीउ फेर्नुपर्ने सिद्धान्त छ। उनले मधुवन नगरपालिका वडा नं २ स्थित सोनाह गाउँ मसुरो खेतीका लागि उपयुक्त जमिन भएको बताए। मसुरो छर्दा बीउ बचिहाले आफूले तथा पशुपंक्षीलाई समेत नखुवाई राख्न उनको सुझाव छ।"
