शीर्षक,विवरण
मिथिलाको नव वर्ष जूडशीतल,"विक्रमसंवत् विश्वभरि नै हिन्दु वा सनातन धर्मावलम्बी श्रद्धा र उमंगसाथ मनाउँछन्। चाहे शकसंवत् होस् वा ईश्वीसंवत् होस्, विक्रमसंवत् सबैभन्दा वैज्ञानिक मानिन्छ। विक्रमसंवत् पूर्वीय जगत्मा पहिले शकसंवत् प्रचलित थियो। शक राजाहरूद्वारा आमजनमाथि शोषणदमन बढ्दै गएपछि राजा चन्द्र गुप्त विक्रमादित्यले शकहरूलाई परास्त गरे। त्यसपछि उनलाई शकारी (शकका दुश्मन) भन्न थालियो। उनै विक्रमादित्य राजाकै नाममा विक्रमसंवत् प्रचलित भयो। यो शकसंवत्भन्दा पछिल्लो र ईश्वी संवत्भन्दा झन्डै ५८ वर्षअगाडि प्रचलित देखिन्छ। हिन्दु संस्कृतिमा यो सम्पूर्ण देवकर्म, पितृकर्म र मांगलिक कर्मको मूल हो र वैज्ञानिक पनि हो। यो त विक्रमसंवत्को ऐतिहासिक रेखांकन मात्र हो। वास्तविकता त के रहेको छ भने यो सनातन हो। यसको प्रारम्भ वैशाख मासको मेष संक्रान्तिबाट हुन्छ। ज्योतिषशास्त्रका अनुसार सूर्यका १२ वटा राशिहरूको चक्र मेष राशिबाट नै थालिन्छ। त्यसैले यसलाई मेषार्क भनिन्छ। अर्थात्, मेष भनेको सूर्यको एउटा राशि र अर्क भनेको सूर्य हो। यसरी वैशाखको मेष संक्रान्ति राशि चक्रको उठान बिन्दु भएकाले पनि यसै वैशाख १ गतेदेखि नयाँ विक्रमसंवत् प्रारम्भ हुन्छ। जूडशीतल नेपाललगायत अन्य भूभागमा वैशाख १ गतेदेखि नव वर्षको थालनी हुन्छ भने अति प्राचीन एवं समृद्ध संस्कृतिको धनी मिथिला क्षेत्रमा वैशाख २ गतेदेखि नववर्ष प्रारम्भ हुन्छ। यसैलाई जूडशीतल नामकरण गरिएको पाइन्छ। यो दुई दिने पर्व हो। वैशाख १ गतेका दिनलाई सतुआनी वा सतुआइन भनिन्छ किनभने उक्त दिन मिथिलावासी हिउँदेवालीको रूपमा भिœयाइएको नयाँ अन्न चनाको सत्तु खान्छन्। भोलिपल्ट २ गतेका दिन जूडशीतल मनाइन्छ। यस लोकपर्वले जनमानसलाई अनेकानेक शुभसन्देश दिन्छ। विशेषगरी आजको खस्कँदो पारिवारिक परिवेशमा यसले आफ्ना पितृहरूलाई श्रद्धासाथ स्मरण गरी उनीहरूबाट आशीर्वाद लिने प्रेरणा दिन्छ। आफ्ना पितृहरूको स्वर्गको कामना गरी दिवंगत आत्मालाई तृप्ति होस् भनेर माटो वा धातुको घट (घैंटो) मा जल परिपूर्ण गरी १ गतेका दिन त्यस घटलाई कुलदेवी वा देवतासमक्ष राखिन्छ। त्यस जलपात्रलाई वारिपूर्ण घट भनिन्छ। वारि भनेको जल हो। भोलिपल्ट त्यसमा राखिएको जललाई श्रेष्ठजनबाट सन्तान वा प्रियजनको शिरमा छ्यापिन्छ। जूडशीतल मैथिली भाषाको शब्द हो। यसमा जूड भनेको पानीद्वारा तृप्त (सन्तुष्ट) गरी शीतलता प्रदान गर्नु हो। यस पर्वमा जनमानसलाई मात्र होइन, बरु पशुपक्षी र वनस्पतिलाई समेत जलार्पण गरिन्छ। यसरी जैविक प्रणाली (इकोसिस्टम) र वातावरणसित पनि जूडशीलतको सम्बन्ध रहेको प्रतीत हुन्छ। यतिमात्र होइन, पहिलेको समयमा जलको मुख्य स्रोत रहेको कुवाको पनि जीर्णोद्धार गरिन्छ। जूडशीतल पर्वको एउटा विशेषता शरीरमा हिलो दल्नु पनि हो। आयुर्वेदमा पनि पंकस्नान (हिलोमा स्नान) को चर्चा छ। गर्मी याममा शरीरमा शुद्ध हिलो लेपन गर्दा चर्मरोग निको हुने वर्णन छ। मिथिला क्षेत्रका गाउँघरका सारा जनसमुदाय सबै किसिमका भेदभाव बिर्सी एकआपसमा हिलोपानी छ्याप्ने गर्छन्। यसमा चुलालाई विश्राम होस् भनेर एक दिन पहिले पकाइएका बासी परिकारहरू खाने चलन छ। आजको सन्दर्भमा मिथिलाको गरिमा र पहिचानलाई बढाउने यस पर्वलाई मनाउने परम्परा अक्षुष्ण राख्नुपर्ने आवश्यकता छ।"
बैंक र व्यवसायी छुट्ट्याउने कसरत,"कुनै बेला नेपाली आफैंले बैंक खोल्न सक्ने ल्याकतै राख्दैनथे । विदेशी बैंकलाई गुहारेर उनीहरूकै अनुभव मिसाउँदै साझेदारीमा निजी क्षेत्रलाई बैंक खोल्न दिनु परेको थियो । त्यसपछि पनि बैंक खोल्न सक्ने पैसा नेपालीसँग नहुँदा थोरैथोरै पुँजीलाई पनि मान्यता दिएर हौस्याइयो । मुलुकमा सयौं बैंक, वित्तीय संस्था खुले । समयकालसँगै तिनलाई गाभेर अचेल संख्या कम गराइएको छ । बैंकहरूको पुँजी पनि निकै ठूलो आकारको हुँदै आएको छ । एउटै परियोजनामा एउटामात्रै बैंकले लगानी गर्न नसक्ने अवस्था पनि विस्तारै अन्त्य हुँदैछ । बेला यस्ता पनि थियो बैंक चलाउने व्यवसायी पनि उही, बिमा चलाउने पनि उही र उद्योगधन्दा चलाउने पनि उही । किन त्यस्तो भयो भने ती संस्था चलाउने छुट्टाछुट्टै व्यवसायीको संख्या नै मुलुकमा अभाव थियो । पछि नियमन गर्दै छुट्ट्याउन खोजिएको छ । र, अहिले बैंक तथा वित्तीय संस्थासम्बन्धी ऐन, २०७३ (बाफिया) मा संशोधन विधेयक दर्ता छ, जसमा बैंक सञ्चालक र व्यवसायी छुट्ट्याउने व्यवस्थाहरू छन् । एक प्रतिशतभन्दा सेयर लगानी कुनै बैंक वित्तीय संस्थामा भएको व्यक्तिले अर्काे कुनै पनि बैंकबाट ऋण लिन नपाउनेसम्मको कडा प्रावधान त्यसमा समेटिएको छ । राष्ट्र बैंकले तोकेका घरायसी कर्जाबाहेक संस्थापकले एक रुपैयाँ पनि ऋण लिन नपाउने प्रावधानले बैंकिङ क्षेत्र तरंगित छ । हो, स्वार्थ बाझिने गरी कसैलाई पनि मौका दिनु हुँदैन । र, आफैं सञ्चालक र आफैं ऋणी बन्न सुविधा हुँदा दुरुपयोगको सम्भावना पनि उत्तिकै हुन्छ । स्वार्थ बाझिने र दुरुपयोगको सम्भावनालाई चाहिँ रोक्ने तगारा चाहिन्छन् । तर बैंकमा एक प्रतिशतभन्दा माथिको लगानीकर्ता हुँदा कतैबाट पनि ऋण लिन नपाउने प्रावधानचाहिँ कठोरमात्रै भएन कि व्यक्तिको अधिकारमाथिकै रोकावट पनि भयो । कुनै व्यक्ति बैंक लगानीकर्ता हुँदाहुँदै अरू उद्यम व्यवसाय गर्न सक्नेछ, भने उसको प्रतिभा र क्षमतामाथि बन्देज लाग्ने अवस्था आउन दिनु हुँदैन । बैंक ऋण लिने प्रावधानमा सुरक्षाका तमाम प्रक्रिया अपनाउने कुरामा कडाइ चाहिँ हुनैपर्छ । तर बैंक लगानीकर्ता हुनेबित्तिकै अरू कुनै पनि काम नगर हात बाँधेर बस भन्नु चाहिँ सुहाउँदो होइन । त्यसले उद्यमशीलतालाई पनि मार्छ । र, स्वदेशका लगानीकर्तालाई निरुत्साहित पार्ने खालका कानुन बनाउनु पनि हुँदैन । अहिले मुलुकलाई आर्थिक समृद्धिको बाटोमा हिँडाउने बेला हो, यस्तै बेला लगानीकर्तालाई नै निरुत्साहित गर्ने हो भने समृद्धि कसरी आउँछ ? स्वार्थ नबाझियोस् भनेर बैंक र व्यवसायी छुट्ट्याउने मनसाय सही हुँदा हुँदै बेला चाहिँ नभएको हो कि ?"
नेपालका बैंकमा डिजिटलाइजेसन : सबल र दुर्बल पक्ष,"डिजिटलाइजेसन भनेको प्रविधिको कार्यान्वयन हो। डिजिटलाइजेसनले नेपालका मानिसहरूको दैनिक जीवनशैली द्रुतरूपमा परिवर्तन गरिरहेको छ। बैंकिङ क्षेत्रका लागि डिजिटलाइजेसन विकल्प होइन, यो विशिष्ट छ किनभने हरेक उद्योग डिजिटलाइज भइरहेको छ र, बैंकिङ क्षेत्र कुनै अपवाद छैन। प्रविधिको मद्दतले बैंकहरूले धेरैभन्दा धेरै ग्राहकहरूसम्म पुग्न र उनीहरूलाई अझ राम्रो सेवाहरू उपलब्ध गराउन सक्छन्। धेरै वित्तीय संस्थाहरूले डिजिटलाइजेसनलाई चुनौतीका रूपमा सामना गरिरहेका छन्। बैंकिङमा डिजिटलाइजेसनको प्रभाव बैंकले आफ्ना ग्राहकहरूलाई प्रदान गर्ने भुक्तानी सेवाहरूमा प्रमुख चिन्ताको विषय हो। इन्टरनेट जडानको मद्दतले बैंकिङलाई सजिलो बनाइएको छ, किनभने तिनीहरूसँग सधैं समस्याहरू समाधान गर्न समर्थन टोली हुन्छ। हामी डिजिटल युगमा छौं। विकास र सेवा वा डिजिटल बैंकिङबाट बच्न सम्भव छैन। आधुनिक युगमा डिजिटल बैंकिङले लोकप्रियता हासिल गर्दै आएको छ र डिजिटल बैंकिङले पनि थप ध्यानाकर्षण गरेपछि बैंकिङ सेवाप्रति ग्राहकको चेतना दिनप्रतिदिन बढ्दै गएको छ। डिजिटल रूपान्तरणले संगठनको डिजाइन र कर्मचारीहरूको व्यवस्थापनलाई पनि परिवर्तन गरेको छ। पछिल्ला दिनमा मुलुकभर वित्तीय संस्थाका शाखा संख्या बढ्दै गएको देख्न सकिन्छ। प्रगतिशील आर्थिक सुधार र तीव्र गतिको प्रविधिका कारण बैंकिङ क्षेत्र द्रुत रूपान्तरणबाट गुज्रिरहेको छ। डिजिटल बैंकिङको फराकिलो परिभाषा छ, तर मुख्य रूपमा, यो डिजिटल च्यानलहरूमार्फत गरिने परम्परागत बैंकिङ अभ्यासहरूका बारेमा हो। चाहे त्यो तपाईंको कम्प्युटर वा स्मार्टफोनमा रहेको एप होस्, डिजिटल बैंकिङ भनेको ग्राहकको आवश्यकता र आफ्नो जीवनका धेरै दैनिक पक्षहरूलाई छिटो, सी एक्समैत्री र डिजिटल रूपमा सञ्चालित गरिन्छन्। डिजिटल बैंकिङ ग्राहकहरूका लागि एक अधिक लागत कम गर्ने कुशल र सुरक्षित बैंकिङ माध्यम हो।"
सडकको विश्व अर्थतन्त्रमा नेपाल,"दुई हजार वर्षअगाडि बनेको प्राचीन रेशम मार्ग युरोप र एसियाका बासिन्दाका लागि हजारौं वर्षसम्म आपसी लाभ पुग्ने कार्य भएको थियो। जुन मार्ग एसिया, युरोप र अफ्रिकाका सभ्यताको विकासमा सहयोगी बन्न पुग्यो। यो प्राचीन समयमा पूर्व र पश्चिमबीच सञ्चार तथा समन्वयका रूपमा रहने कार्य भयो। विकासका पाइँला सर्दै २१औं शताब्दीको अर्थ र सामुद्रिक मार्ग विकास गर्ने उद्देश्य राखियो। सोही अनुरूप सन् २०१३ मा चीन र अन्य एसियाली देशका सम्मेलनले प्राचीन रेशम मार्गको नयाँ प्रारूप बेल्ट एन्ड रोड इनिसिएटिभ (बीआरआई)को अवधारणा अगाडि सारियो। फरक क्षेत्र, विकासका फरक प्रयास, फरक सांस्कृतिक र कानुनी प्रणाली भएका देशलाई जोड्ने खुला र समावेशी समन्वयको माध्यम बन्दै गएको छ। बेल्ट र रोड इनिसिएटिभ एउटा यस्तै व्यवस्थित परियोजना हो। जसले सबै देशसँग परामर्श र छलफल गरी सबैका चाहना र आवश्यकता पत्ता लगाउने तथा विकासका रणनीति बनाई सामूहिक विकास र समृद्धि हासिल गर्न प्रयास गर्नेछ। बीआरआईले क्रमशः आर्थिक तत्वहरूलाई स्वतन्त्र रूपमा प्रवाह हुन दिने, साधनको वितरणमा उच्च दक्षता हासिल गर्ने र बजारलाई एकीकरण गर्न सघाउने उद्देश्य राखेको छ। वान बेल्ट वान रोड अर्थात् ओबीओआरको अवधारणा अगाडि सारेलगत्तै २०७० मा नेपालले समर्थन गरेको थियो। पछि त्यसकै नाम बेल्ट एन्ड रोड इनिसिएटिभ अर्थात् बीआरआई निर्णय भएको हो। नेपाल र चीनबीच २०७४ वैशाख २९ मा बीआरआई फ्रेमवर्कअन्तर्गत सहकार्य गर्ने सहमति भयो। बीआरआईको उद्देश्य एसिया, युरोप र अफ्रिका महाद्वीपलाई जोड्ने र देशबीच बहुपक्षीय र द्विपक्षीय बलियो साझेदारी कायम गर्दै तिनका बीच रहेको विविधतालाई महसुस गरी स्वतन्त्र, सन्तुलित र दिगो विकास गर्नु रहँदै आएको छ। यसमा सबै राष्ट्र, अन्तर्राष्ट्रिय र क्षेत्रीय संगठन आबद्ध हुन सक्छन्। बीआरआईले पूर्वी एसियाको आर्थिक चक्र र विकसित युरोपको आर्थिक चक्रमा बृहत् आर्थिक विकासको सम्भावनाको खोजी गरिरहेछ। यसले सामुद्रिक र स्थलमार्गको माध्यमबाट सबैको हित र लाभलाई ध्यानमा राखेर सबैसँग समन्वय गरी खुला, स्वतन्त्र र सन्तुलित व्यापार प्रवद्र्धन गरी विश्वमा शान्ति र समृद्धि ल्याउने लक्ष्य राखिएको छ। बीआरआईमा सन् २०१८ सम्म ९० देश र अन्तर्राष्ट्रिय संगठनहरू, ७५ भन्दा बढी आर्थिक तथा व्यापारिक संस्थानहरू आबद्ध भइसकेका थिए। चीनले व्यापार र बजार विस्तारका साथै छिमेकी देशलाई फाइदा पुग्ने भन्दै अघि बढाएको बीआरआई परियोजनामा नेपालले सन् २०१४ मै प्रारम्भिक सहमति जनाइसकेको थियो। चीनबाट बीआरआईमार्फत आउने सहयोगका लागि नेपाल सरकारले आयोजना अध्ययन क्रममा अन्तरमन्त्रालय स्तरका समिति र उपसमिति बनाएर परियोजना छनोट कार्य थालनी गरेको छ। गल्छी जोडिएको रसुवागढी सडकको स्तरोन्नति, रेलमार्ग जलविद्युत् परियोजनामा लगातार बहस गरिरहेको देखिन्छ। पहिले नै भएका सम्झौतालाई कार्यान्वयनमा ल्याउन आवश्यक प्रोटोकलमा सही भइसकेको छ। ओबीओआरसँग जोडिएका देशसँग चीनद्वारा झन्डै चार खर्ब डलरको सम्झौता ः चीनले महŒवाकांक्षी योजना ओबीओआरसँग जोडिएका देशसँग ३ खर्ब ९० अर्ब अमेरिकी डलरबराबरको व्यापारिक सम्झौता सन् २०१८ मा गरेको देखिन्छ। चीनले अगाडि ल्याएको सडक निर्माणको योजनामा विश्वभरका मुख्य अर्थतन्त्र भएका देशहरूलाई एउटै सडकले जोड्नेछ। बीआरआईमा कति खर्च भइरहेको छ ? निश्चित छैन। लगानी करिब ८ ट्रिलियन डलरसम्म रहने बताइन्छ। अर्बौं डलरका एकपछि अर्को योजना घोषणा भइरहेछन्। एसियाली विकास बैंकका अनुसार सन् २०१७ देखि २०३० सम्म एसियामा मात्रै वर्तमान वृद्धिदरलाई कायम राख्न तथा जलवायु परिवर्तनअनुसार काम गर्न पूर्वाधारहरूमा करिब २६ ट्रिलियन डलर खर्च आवश्यक पर्छ। यसलाई ध्यान राखेर हेर्दा चिनियाँ लगानीको आकार विश्वव्यापी प्रभुत्व कायम गर्ने स्तरको भने देखिँदैन। बीआरआई मोडालिटी कार्यान्वयनतर्फ ः चीनले बहुचर्चित परियोजना बेल्ट एन्ड रोड (बीआरआई) अधि सारेको २०८० (सन् २०२३) मा एक दशक पूरा भएको छ। नेपालले त्यसको ढाँचामा सहकार्यसम्बन्धी सहमति गरेको पनि ६ वर्ष पूरा भएको छ। बीआरआईको एक दशक र त्यसमा नेपालको अनुभवबारे मिश्रित आदानप्रदान २०८० सालपछि सुरु भएको छ। २०८० सालसम्म पनि एउटा परियोजना बीआरआईको ढाँचामा कार्यान्वयन नभए पनि सरकारले सोको कार्यान्वयनको मोडालिटीबारे चीनसँग कुराकानी गर्न प्रतिबद्धता जनाइएको छ। दुवै देशले बीआरआईको सम्झौताका सफल कार्यान्वयनमा कमी हुन नदिने प्रतिबद्धता व्यक्त गरेका छन्। कुनै पनि बाह्य कारोबारमा कुनै पनि ऋणको दलदलमा नेपाल नफस्ने बताइएको छ। बीआरआई कार्यान्वयनमा योजनामा योजनामा सहमति भए पनि दुई देशबीच परियोजनागत रूपमा छलफल हँुदै जाने भनिएको छ। नेपाल छिमेकीको विकासमा जोडिनु पर्छ। नेपाल र भारत सम्बन्धका लागि बीआरआई कोशेढुंगा साबित हुनेछ। दुवै देशबीच रेल, विद्युतीय प्रसारण लाइन, प्रत्यक्ष वैदेशिक लगानीलगायत विषयमा छलफल हुँदै आएको छ। चीनलाई बीआरआईका आठ परियोजनाको सूची छलफलका रूपमा नेपालले पठाएको छ। धेरै योजनामा प्रगति भएको देखिएन। बीआईआईबीबाट नेपालले फाइदा लिन सकेन। नेपालमा बनेका पटकपटकका सरकारहरू कमजोर भएका कारण बीआरआई कार्यान्वयन हुनेमा शंका छ। भनिन्छ, नेपाललाई अहित हुने ऋण स्विकार गर्न हँुदैन। तर परियोजनाबारे छलफल नै नभई ऋणबारे छलफल पूर्वऋणको भार पर्न लागेको चर्चा हुनु हुँदैन। पहिला संवाद र छलफल गर्नुपर्छ। तर बढी ब्याजदरमा ऋण ल्याउनुपर्छ भन्ने भनाइमा नेपाली लाग्न हँुदैन। तर, छलफल अगाडि नै ऋण गलपासो भन्न मिल्दैन भनिन्छ। राष्ट्रिय महŒवका आधारमा सबै पक्षसँग छलफल गरिनुपर्छ। तिब्बतसँग चीनको संवेदनशीलता रहेको र तिब्बतसँग मात्र नेपालको सीमा जोडिएका कारण चीनको सीमा नेपालका लागि दीर्घकालीन रूपमा सहज हुने शंका व्यक्त गरिन्छ। बीआरआईबाट दशकमा नेपालले के प्राप्त गयो ? विषय सोचनीय पनि छ। बीआरआईको संस्थापक सदस्य भएर पनि एक किलोमिटर सडक नेपालमा किन परेन। कसैले त बीआरआईको औपचारिक दस्तावेजमा नेपाल कतेै नपरेको देखिन्छ। नेपालचीन आर्थिक सहकार्यको अनुभव मीठो छैन। नेपालमा चिनियाँ सामान चीन आफैंले निर्यात गर्छ। नेपालीले भने चीनमा नेपाली सामान निर्यात गरेका छैनन्। बीआरआईमा नेपाल सहमति सहभागी भएको पाँच वर्ष बितिसक्दा दुई देशका सोअन्तर्गत नेपालमा सञ्चालन एउटा पनि परियोजना सञ्चालन भएको छैन। सम्झौता भने ३० वैशाख २०८१ सम्मलाई नवीकरण भएको छ। चीनले बीआरआई कार्यान्वयन योजनामा सहमति भएपछि मात्र परियोजनामा छलफल गर्ने भनेको छ। नेपालले बीआरआईअन्तर्गत काठमाडौंकेरुङ सीमापार रेलमार्ग, नेपालचीन सीमापार विद्युत् प्रसारण लाइन, टोखाछहरेविदुर सडक तथा सुरुङ, खुटियादिपायल सडक, अरुण जलविद्युत् आयोजना, कोहलपुरसुर्खेत सडक, सुनकोशी मरिण आयोजना, नेपालचीन सीमापार आर्थिक निर्माणजस्ता परियोजना सहकार्यका लागि प्रस्ताव गरेको थियो। सुझाव तथा निष्कर्ष ः बीआरआईमा जोडिँदा नेपाल भारतवेष्ठित हुनु पर्दैन बरु नेपालको अर्थतन्त्र उक्सने अपेक्षा गर्न सकिन्छ। नेपालमा चिनियाँ आउँदा उद्योगकारखानासँगै रोजगार बढ्नेछ। यस परियोजनाले नेपालचीन सीमामा रहेका गरिब किसान, सीमान्तकृत, शोषित समुदायको स्तर माथि ल्याउने आशा पनि गर्न सकिन्छ। रेग्मी, व्यापार तथा निकासी प्रवद्र्धन केन्द्रका पूर्वनायब कार्यकारी निर्देशक हुन्।"
"टस हारेर मलेसियाविरुद्ध नेपालले फिल्डिङ गर्दै, प्लेइङ११ मा को को परे?",काठमाडौं : एसीसी प्रिमियर कपको पहिलो खेलमा नेपालले टस हारेर फिल्डिङ गर्नुपर्ने भएको छ। ओमानमा हुने खेलमा टस जितेर मलेसियाले ब्याटिङ रोजेको छ। एसिया कप छनौटसमेत रहेको एसीसी प्रिमियर कपको नेपाल पूर्व च्याम्पियन पनि हो। यसअघिको संस्करणमा च्याम्पियन बन्दै नेपालले एसिया कपमा भारत र पाकिस्तानसँग खेलेको थियो। आजै भएको खेलमा आयोजक ओमान र युएई विजयी बनेको छ। ओमानले बहराइनलाई ३ रन र युएईले कुवेतलाई ७ विकेटले पराजित गरेको थियो। यी हुन् प्लेइङ ११ मा परेका नेपाली खेलाडी
अविनाश बोहोराले लिए दोस्रो विकेट,काठमाडौं : एसीसी प्रिमियर कपको पहिलो खेलमा नेपालले मलेसियाविरुद्ध दोस्रो सफलता हात पारेको छ। अविनाश बोहोराले सार्विन मुनियान्डीको विकेट लिएका हुन्। सार्विन ४१ रन बनाएर आउट भए। यसअघि दीपेन्द्र सिंह ऐरीले मलेसियाका मोहम्मद अमिरको विकेट झारेका थिए। अमिर १६ रन बनाएर आउट भए। १७ ओभरको समाप्तिमा मलेसियाले २ विकेटको क्षतिमा १२२ रन बनाएर खेलिरहेको छ।
मलेसियाले नेपाललाई दियो १४४ रनको लक्ष्य,काठमाडौं : मलेसियाले नेपाललाई १४४ रनको लक्ष्य प्रस्तुत गरेको छ। ओमानमा भइरहेको एसीसी प्रिमियर कपमा मलेसियाले निर्धारित ओभरको खेलमा ३ विकेट गुमाएर १४३ रन बनाएको छ। टस जितेर ब्याटिङ गरेको मलेसियाका लागि कप्तान विरनदीप सिंहले अविजित ७२ रन बनाए। त्यस्तै सर्विन मुनियान्डीले ४१ र मोहम्मद अमिहरले १६ रन बनाए। नेपालका लागि दीपेन्द्र सिंह ऐरीले २ र अविनाश बोहोराले १ विकेट लिए।
नेपालले मलेसियालाई ५ विकेटले हरायो,"काठमाडौं : एसीसी प्रिमियर कपमा नेपालले मलेसियालाई ५ विकेटले हराएको छ। मलेसियाले दिएको १४४ रनको लक्ष्य नेपालले १९२ मा ५ विकेटको क्षतिमा पूरा गर्यो। नेपालका लागि आसिफ शेखले सर्वाधिक ३२ रन बनाए। त्यस्तै कप्तान रोहित पौडेलले २८, कुशल भुर्तेलले २४, दीपेन्द्र सिंह ऐरीले २० र कुशल मल्लले ७ रन बनाए। त्यस्तै गुल्शन झा १९ र सन्दीप जोरा १२ रनमा अविजित रहे। यसअघि मलेसियाले नेपाललाई १४४ रनको लक्ष्य प्रस्तुत गरेको थियो। टस जितेर ब्याटिङ गरेको मलेसियाले निर्धारित ओभरको खेलमा ३ विकेट गुमाएर १४३ रन बनाएको हो। मलेसियाका लागि कप्तान विरनदीप सिंहले अविजित ७२ रन बनाए। त्यस्तै सर्विन मुनियान्डीले ४१ र मोहम्मद अमिहरले १६ रन बनाए। नेपालका लागि दीपेन्द्र सिंह ऐरीले २ र अविनाश बोहोराले १ विकेट लिए।"
"नेपाललाई पहिलो सफलता, दीपेन्द्रले लिए विकेट",काठमाडौं : एसीसी प्रिमियर कपको पहिलो खेलमा नेपालले मलेसियाविरुद्ध पहिलो विकेट हात पारेको छ। दीपेन्द्र सिंह ऐरीले मलेसियाका मोहम्मद अमिरको विकेट झारेका हुन्। अमिर १६ रन बनाएर आउट भएका हुन्।
फ्रेण्ड्सलाई पन्छाउँदै एपीएफ जीतपुरसिमरा गोल्डकपको सेमिफाइनलमा,सिमरा : विभागीय टिम नेपाल एपीएफ क्लब १४औं जीतपुरसिमरा गोल्डकपको सेमिफाइनलमा प्रवेश गरेको छ। सिमरा रंगशालामा शुक्रबार बिहान भएको क्वाटरफाइनल खेलमा फ्रेण्ड्स क्लबलाई २० ले पराजित गर्दै एपीएफ अन्तिम चारमा प्रवेश गरेको हो। एपीएफको जीतमा बुद्धिमान राईले एक गोल गरे भने अर्को गोल अनन्त तामाङबाट आत्मघाती हुन पुग्यो। हावाहुरीका कारण बिहीबार राती ५८औं मिनेटमा स्थगित भएको खेल बिहान खेलाइएको थियो। स्थगित गरिएको समयबाटै खेलाइएको खेलको ७३औं मिनेटमा बुद्धिमान राईले एपीएफलाई अग्रता दिलाएका थिए। अनिश महर्जनको क्रस बललाई सदुपयोग गर्दै बुद्धिमानले सुन्दर गोल गरेका थिए। त्यसलगत्तै एपीएफले अर्को गोल गर्दै अग्रता दोब्बर पार्यो। खेलको ७५औं मिनेटमा प्रदीप तामाङको क्रस बललाई अनन्तले क्लियर गर्न खोज्दा गोल हुन पुगेको थियो। लगातार दुई गोल खान पुगेको फ्रेण्ड्स अन्तिम समयमा दवावमा देखियो। उसले खासै अवसर सिर्जना गर्न सकेन। एपीएफको जीतमा उत्कृष्ट प्रदर्शन गरेका बुद्धिमान प्लेयर अफ दि म्याच घोषित भए। उनले शुभारम्भ कलेजले प्रायोजन गरेको १० हजार राशीको प्लेयर अफ दि म्याचको पुरस्कार हात पारे। एपीएफको जीतसंगै जीतपुरसिमरा गोल्डकपको सेमिफाइनल समिकरण पूरा भएको छ। एपीएफले अब फाइनल प्रवेशका लागि शनिबार नेपाल पुलिस क्लबसंग खेल्नेछ। प्रतियोगिता अन्तर्गत शुक्रबार राती हुने पहिलो सेमिफाइनल खेलमा सिरहाको सलहेश युवा क्लब र मछिन्द्र फूटबल क्लब भिड्नेछन्। मछिन्द्रले त्रिभुवन आर्मी क्लब र सलहेशले साविक विजेता चर्च ब्वाईज युनाइटेडलाई पराजित गर्दै सेमिफाइनलको यात्रा तय गरेका थिए। जीतपुरसिमरा उपमहानगरपालिकाको मुख्य सहयोग र जगदम्बा स्टील्स् प्रालिको टाइटर स्पन्सरमा आयोजित प्रतियोगिताको विजेताले १० लाख र उपविजेताले पाँच लाख नगद प्राप्त गर्नेछन्।
