शीर्षक,विवरण
मछिन्द्रले जित्यो केपी ओली कपको उपाधि,काठमाडौं : केपी ओली कपको उपाधि मछिन्द्र क्लबले जितेको छ। त्रिपुरेश्वरस्थित फुटबल रंगशालामा भएको फाइनल खेलमा एनआरटीलाई टाइब्रेकरमा ५४ गोलले हराएको हो। टाइब्रेकरमा मछिन्द्रले ५ गोल गर्न सफल भए भने एनआरटीले अन्तिम बलमा चुकेको थियो। निर्धारित समयको खेल बराबरीमा रोकिएपछि खेल टाइब्रेकरमा पुगेको थियो। यसअघि एनआरटीले जावलाखेललाई ३० गोल र मच्छिन्द्रले भारतीय क्लब मानेभञ्ज्याङलाई ५० को फराकिलो अन्तरले हराउँदै फाइनल पुगेको थियो। केपी ओली कप जित्दै मछिन्द्रले ११ लाख रुपैयाँसहित ट्रफी पाएको छ भने उपविजेतामा सीमित भएका एनआरटीले पाँच लाख रुपैयाँ पाएको हो।
नेपालले हङकङमा त्रिदेशीय टी२० सिरिज खेल्ने,काठमाडौं : नेपालले हङकङमा टी२० सिरिज खेल्ने भएको छ। हङकङमा फागुन २७ देखि हुने त्रिदेशीय सिरिजमा नेपाल खेल्ने भएको हो। प्रतियोगितामा पीएनजीको पनि सहभागिता रहनेछ। नेपाल क्रिकेट संघले उक्त प्रतियोगताको तालिका सार्वजनिक गरेको छ। जसमा नेपालले हङकङसँग फागुन २६ गते मैत्रीपूर्ण खेलबाट प्रतियोगिता सुरुवात गर्नेछ। नेपालले पहिलो खेल हङकङसँगै फागुन २७ गते खेल्नेछ। दोस्रो खेल पीएनजीसँग फागुन २९ गते र शीर्ष दुई टोली फागुन ३० गते फाइनल खेल्नेछ। नेपालले अमेरिका र वेस्ट इन्डिजमा हुने टी२० विश्वकपको तयारीस्वरुप उक्त खेल्ने क्यानले बताएको छ। नेपालमा जारी नेदरल्यान्ड्स र नामिबिया सम्मिलित त्रिकोणात्मक सिरिजको फाइनल खेल मंगलबार हुनेछ। नेपालले दुई खेल जितेर फाइनल यात्रा सुनिश्चित गरेको छ भने आइतबार हुने खेलबाट नेदरल्यान्ड्स र नामिबियामध्ये एक टोली फाइनल पुग्नेछ।
नेदरल्यान्ड्सविरुद्ध नेपालको शानदार जित,"काठमाडौं : त्रिकोणात्मक टि२० आई सिरिजमा नेपालले शानदार जित हासिल गरेको छ। कीर्तिपुरस्थित त्रिवि क्रिकेट मैदानमा नेपालले नेदरल्यान्ड्सलाई ६ विकेटले जित पार्दै फाइनल पुग्ने सम्भावना बलियो बनाएको हो। नेदरल्यान्ड्सले १२० रन बनाएपछि जवाफी ब्याटिङमा उत्रिएको नेपालले १५२ ओभरमा लक्ष्य भेट्टाएको हो। नेपालका लागि कप्तान रोहित पौडेलले सर्वाधिक ४६ रन बनाए। पौडेलले ३४ बलमा ३ चौका र १ छक्का प्रहार गरे। कुशल भुर्तेलले १ चौका र १ छक्कासहित १२ रन, आसिफ शेखले १ चौकासहित ८ रन, गुलसन झाले ३८ रनको योगदान गरे। झाले ३६ बलमा २ चौका र १ छक्का प्रहार गरे। त्यसैगरी दीपेन्द्र सिंह ऐरीले ४ रन र कुशल मल्लले २ रनको योगदान गर्दै अविजित रहे। नेदरल्यान्ड्सका लागि भिभिएन किंग्माले पौडेल, भुर्तेल र शेखको विकेट लिएका हुन्। आर्यन दत्तले १ विकेट लिए। त्यसअगाडि नेदरल्यान्ड्सका लागि म्याक्स ओ डाउडले सर्वाधिक ३१ रन बनाए। उनले १ छक्का र ४ चौका प्रहार गरे। त्यसैगरी टिम भान डर गुग्टेनले २४ रन, रोलफ भान डर मर्वले २३ रन, कप्तान स्कट एडवार्ड्सले १ छक्कासहित १८ रन, तेजा निदामानुरुले ५ रन, माइकल लेभिटले ४ रन, भिभिएन किंग्माले ४ रन, नोआ क्रोस ३ रनको योगदान गरे। नेपालका लागि प्रतिश जिसीले सर्वाधिक ३ विकेट, कुशल मल्ल र करण केसीले २२ विकेट, दीपेन्द्र सिंह ऐरीले १ विकेट लिए। मल्ल, जिसी र केसीले एउटै ओभरमा २२ विकेट लिएका थिए। नेदरल्यान्ड्सका कप्तान स्कट एडवार्ड्सले टस जितेर पहिले ब्याटिङ गर्ने निर्णय लिएका हुन्। अंक तालिकामा नेपाल र नेदरल्याण्डस् समान ४४ अंक रहेको छ भने नामिबियाले २ अंकसहित पुच्छारमा छ।"
क्रिकेट क्रेज (तस्बिरहरू),"काठमाडौं : त्रिकोणात्मक टी२० आई सिरिजको शनिबार कीर्तिपुर मैदानमा नेपालले नेदरल्याण्डससँग प्रतिस्पर्धा गरिरहेको छ। नेदरल्याण्डसविरुद्ध नेपालले जवाफि ब्याटिङ गरिरहेको छ। जारी खेलमा १९३ ओभरमा नेदरल्यान्ड्सले सबै विकेट गुमाएर १२० रन बनाएको हो। नेपालका लागि प्रतिश जिसीले सर्वाधिक ३ विकेट, कुशल मल्ल र करण केसीले २२ विकेट, दीपेन्द्र सिंह ऐरीले १ विकेट लिए। खेललाई रोमाञ्चित बनाउँदा कीर्तिपुर मैदानमा दर्शकभरिभराउ छन्। नेपाली खेलाडीलाई उनीहरु हुटिङ गरेर हौसला बढाइरहेका छन्। क्रिकेटका फ्यानहरु प्याराफिट, मैदानमात्र नभई रुखमा चढेरपनि मज्जा लिइरहेका छन्। नेदरल्याण्डससँग खेलिरहेको नेपालको समर्थन गर्न बिहानैदेखि दर्शकहरू त्रिवि मैदान पुगेका थिए। दर्शक उल्लेख्य भएरपनि सरकारले क्रिकेट मैदानलाई थप आधुनिक र व्यवस्थित बनाउन भने सकेको छैन। कीर्तिपुर मैदानमा हालसम्म पनि आधुनिक फ्लड लाइट र स्कोर बोर्ड जडान समेत हुन सकेको छैन। तस्बिर : क्यान"
"झापा गोल्डकप सुरु, एपिएफको विजयी सुरुवात","झापा : मोफसलको चर्चित झापा गोल्डकपको छैटौँ संस्करण शनिबारदेखि सुरु भएको छ। टाईब्रेकरमा भाग्यमानी साबित हुँदै विभागीय टोली सशस्त्रको एपिएफ झापा गोल्डकपमा विजयी सुरुवात गरेको छ। टाईब्रेकरमा संकटा क्लब काठमाडौँलाई ४२ गोल अन्तरले पराजित गर्दै एपिएफ क्वाटरफाइनलमा प्रवेश गरेको छ। एपिएफका लागि दीपेश धिमाल, फोडे फोफोना, कुलदिप कार्की र सुमन श्रेष्ठले गोल गरेका थिए। संकटाका चन्दन दास र यमनबहादुर पुतवारको प्रहारले मात्र जाली चुमेको थियो। संकटाका अजित लामाको प्रहार विपक्षी गोलरक्षकले बचाउ गरेका थिए भने मौसम सुब्बाको प्रहार गोल पोस्टमा लागेर फर्कियो। खेलको चौथो मिनेटमै एपिएफले अग्रता लिने अवसर गुमाएको थियो। फोडे फोफोनाको क्रसमा पेनाल्टी एरियामा अनमार्क रहेका बुद्धिमान राईले गोल गर्न सकेनन्। उनको प्रहार क्रस बार नजिकैबाट बाहिरियो। २० मिनेटमा अनीश महर्जनको प्रहार गोल रक्षकले विफल बनाए। २४ औं मिनेटमा कुलदिप कार्कीको पासमा गोल पोस्ट नजिकै रहेका अनीशको हेडर बाहिरियो। ५५ औं मिनेटमा एपिएफका अनीश रानाले पेनाल्टी एरियाबाट गरेको कडा प्रहार संकटाका गोलरक्षक निशान रानाले पञ्च गरेर बचाए। खेलको अतिरिक्त समयमा दीपेश धिमालले मैदानको मध्य भागबाट गरेको प्रहार संकटाका गोलरक्षक रानाले मुस्किलले पञ्च गरेर बचाए। खेल अवधिभर गोल गर्ने थुप्रै अवसर बनाएको एपिएफले निर्धारित समयमा गोल गर्न नसक्दा खेल टाइब्रेकरमा गएको थियो। ३४ औं मिनेटमा संकटाका चन्दन दासले गरेको शक्तिशाली प्रहार एपिएफका गोलरक्षक एञ्जल श्रेष्ठले पञ्च गरेर बचाए। ६० औं मिनेटमा संकटाका कप्तान गणेश हमालको हेडर एपिएफका गोलरक्षकले पञ्च गरेर बचाए। खेलको म्यान अफ द म्याच एपिएफका गोलरक्षक एञ्ञ्जल श्रेष्ठ घोषित भए। उनले नगद ११ हजार रुपैयाँ पुरस्कार पाए। झापा गोल्डकपका अध्यक्ष विनोद बस्नेतको अध्यक्षतामा भएको खेलको उद्घाटन प्रतिनिधिसभा सभामुख देवराज घिमिरेले गरेका थिए। प्रतियोगिताको विजेताले नगद १३ लाख, उपबिजेताले ७ लाख, टफी, मेडल र प्रमाणपत्र पाउने छन्। आइतबारको खेल विभागीय टोली नेपाल पुलिस क्लब र लिग विजेता चर्च ब्वाइज युनाइटेडबीच हुने आयोजकले जनाएको छ।"
साफ यु१६ मा नेपाल बंगलादेशसँग पराजित,काठमाडौं : काठमाडौंमा जारी साफ यु१६ महिला च्याम्पियनसिपमा नेपाल बंगलादेशसँग पराजित भएको छ। ललितपुरको सातदोबाटोस्थित एन्फा कम्प्लेक्समा शनिबार भएको खेलमा नेपाल बंगलादेशसँग २० गोल अन्तरले पराजित भएको हो। बंगलादेशको जितमा सौरभी प्रितीले दुवै गोल गरिन्। खेलको २५औं मिनेटमा उनले बंगलादेशलाई सुरुवाती अग्रता दिलाएकी थिइन्। त्यस्तै पेनाल्टीमार्फत् ३१औं मिनेटमा उनले बंगलादेशका लागि दोस्रो गोल गरिन्। अब नेपालले दोस्रो खेल फागुन २१ गते भुटानसँग खेल्ने छ। लिगचरणको अन्तिम खेल नेपालले फागुन २४ गते भारतसँग खेल्ने छ। शीर्ष दुई टोलीले उपाधिका लागि प्रतिस्पर्धा गर्ने एन्फाले जनाएको छ।
मुख्यमन्त्री कप राष्ट्रिय भलिबलको उपाधि एपीएफलाई,"सङ्खुवासभा : संखुवासभा सदरमुकाम खाँदबारीमा शनिबार सम्पन्न मुख्यमन्त्री कप राष्टिय भलिबल प्रतियोगिताको उपाधि गण्डकी प्रदेशलाई ३१ को सेटले हराउँदै विभागीय टिम एपीएफले जितेको छ। खाँदबारी रंगशालामा भएको फाईनल खेलमा एपीएफले गण्डकीलाई १४२५, २५२३, २५२१, २५२१ को सेटले हराएको हो। उपाधिसँगै एपिएफले नगद ३ लाखसहित ट्रफी हात पारेको छ। उपविजेता गण्डकीले नगद १ लाख ५० हजारमा चित्त बुझाएको छ। प्रतियोगितामा नेपाल पुलिस क्लब तेस्रो र त्रिभुवन आर्मी क्लब चौथो भयो। तृतीयले ५० हजार र चौथो ३० हजार रुपैयाँ प्राप्त गरेका छन्। प्रतियोगितामा एपीएफका विजय थापा सर्वोकृष्ट खेलाडी घोषित भए। थापाले नगद २५ हजार रुपैयाँ पुरस्कार प्राप्त गरे। एपीएफका विनोद चन्द बेष्ट डिफेन्डर, लोकेन्द्र गिरी बेष्ट सेटर घोषित भए। गण्डकी प्रदेशका रवि केसी वेष्ट स्पाईकर, विश्वास अधिकारी वेष्ट सर्वर, सरोज बर्देवा उत्कृष्ट ब्लकर र उत्कृष्ट कोच एपीएफका पुष्पजंग मल्ल घोषित भएका भएका हुन्। विजयी टिमलाई कोशी प्रदेशका सामाजिक विकासमन्त्री राजेन्द्र कार्की लगायतले पुरस्कार वितरण गरे। प्रतियोगितामा बिभागिय टोली सहित ८ टिम सहभागी थिए। बागमती र मधेश प्रदेश भने प्रतियोगितामा सहभागी थिएन्। प्रतियोगिताको आयोजना कोशी प्रदेश खेलकुद विकास बोर्ड विराटनगरले आयोजना गरेको हो। जिल्ला भलिबल संघ सङ्खुवासभाले प्रतियोगिताको संयोजन गरेको थियो।"
वाफमा उत्कृष्ट प्रदर्शन गरेको नेपाली टिमलाई यम तमुले १० लाख दिने,"साउदी : नेपाली व्यवसायी यम तमुले नेपाल वाफ महिला च्याम्पियनसिपको उपविजेता नेपाली टिमलाई १० लाख रूपैयाँ दिने घोषणा गरेका छन्। फाइनल खेल हेर्न पुगेका तमुका अनुसार खेलाडी राष्ट्रको गहना हुनुको साथै नेपाल समूह विजेता बन्दै फाइनलमा जोर्डनविरुद्धको खेलमा देखाएको प्रदर्शन र खेलाडीले खेलद्वारा नेपालप्रति देखाएको माया र चिनारीलाई हौसला प्रदान गर्न १० लाख रुपैयाँ दिने घोषणा गरेको बताए। उनी लामो समयदेखि सामाजिक कार्यमा सक्रिय रहँदै अलपत्र परेका नेपालीलाई आर्थिक, भौतिक तथा नैतिक सहयोग गर्दै आएका छन्। उनले साउदीको रियाद सहरस्थित वथामा नेपाली रेष्टुरेन्ट लालीगुराँस सञ्चालन गर्दै आएका छन्। नेपाली टिमलाई हौसलास्वरूप साउदीमा रहेका संघ तथा व्यक्तिले आर्थिक सहयोगसहित सम्मान गरेका छन्। सुदूर पश्चिमेली समाजले १ लाख रूपैयाँ, हातेमालो युवा क्लबले २० हजार रुपैयाँ, रत्न कुमार राईले १ लाख, नरबहादुर मगरले १ लाख, श्रीप्रसाद बेर्देवाले १ लाख, साउदी अरेबिया हामी नेपाली समूहले ४० हजार, बलराम थापाले १७ हजार, तमु धीं जेद्दाले २१ हजार, नेपाल आदिवासी जनजाति महासंघ जेद्दाले ३६ हजार र एनआरएन साउदीले १ लाख ५५ हजार रुपैयाँसहित सम्मान गरेका थिए। वाफ च्याम्पियनसिपमा नेपालले समूह चरणको सुरुवाती खेलमा सिरयालाई ४१, इराकलाई ५० र प्यालेस्टाइनलाई ४० र लेवनानलाई २१ गोलले पराजित गर्दै फाइनलमा पुगेको थियो। फाइनलमा भने जोर्डनसँग पेनाल्टी सुटआउटमा ५३ ले पराजित भएको थियो।"
नेदरल्यान्ड्सविरुद्ध प्रतिश जिसीले लिए एकै ओभरमा २ विकेट,"काठमाडौं : त्रिकोणात्मक टि२० सिरिजअन्तर्गतको खेलमा नेपालले नेदरल्यान्ड्सको ४ विकेट लिएको छ। कीर्तिपुरस्थित त्रिवि क्रिकेट मैदानमा टस हारेर बलिङको निम्तो पाएको नेपालका लागि प्रतिश जिसीले नवौं ओभरको खेलमा २ विकेट लिएका हुन्। उनले नेदरल्यान्ड्सका कप्तान स्कट एडवार्ड्सलाई आठौं ओभरको पहिलो बलमा आउट गराएका हुन्। एडवार्ड्स १ छक्कासहित १८ रन बनाएर पेवेलियन फर्किए। त्यसैगरी जिसीले आठौं ओभरको पाचौं बलमा म्याक्स ओ डाउडलाई आएट गराए। ओ डाउडले १ छक्का र ४ चौकासहित ३१ रन बनाएर बाहिरिए। त्यस अगाडि पहिलो ओभरको करण केसीको चौथो र छैटौं बलमा नेदरल्यान्ड्सका बलमा माइकल लेभिट र साइब्रान्ड एंगलब्रेक्ट आउट भएका थिए। लेभिटलाई दीपेन्द्र सिंह ऐरी र एंगलब्रेक्टलाई आसिफ शेखले क्याच आउट गराएका हुन्। नेदरल्यान्ड्सका कप्तान स्कट एडवार्ड्सले टस जितेर पहिले ब्याटिङ गर्ने निर्णय लिएका हुन्। नेपालले नामिबिया र नेदरल्याण्डस् सम्मिलित त्रिकोणात्मक टि२० क्रिकेट शृङ्खलाअन्तर्गत अघिल्ला तीन खेलमध्ये एउटामा मात्र जित हासिल गरेको थियो। शृङ्खलाको फाइनलमा स्थान बनाउनका लागि नेपाल आजको खेल जित्नैपर्ने दबाबमा रहेको छ। नेपालको टोलीमा कुशल भुर्तेल, आसिफ शेख, रोहित पौडेल, कुशल मल्ल, सोमपाल कामी, करण केसी, गुलशन झा, दीपेन्द्र सिंह ऐरी, आरिफ शेख , अभिनाश बोहोरा, प्रतिश जिसी र रहेका छन्। भुर्तेल फर्कदा अनिल शाह बेञ्चमा बसेका छन्। यो पनि पढ्नुहोस नेपालको उत्कृष्ट सुरुवात, नेदरल्यान्ड्सविरुद्ध पहिलो ओभरमै करण केसीले लिए २ विकेट"
"नेपालको उत्कृष्ट सुरुवात, नेदरल्यान्ड्सविरुद्ध पहिलो ओभरमै करण केसीले लिए २ विकेट","काठमाडौं : त्रिकोणात्मक टि२० सिरिजको आज नेदरल्यान्ड्सविरुद्ध पहिलो ओभरमै नेपालले २ विकेट लिएको छ। कीर्तिपुरस्थित त्रिवि क्रिकेट मैदानमा जारी खेलमा टस हारेर बलिङको निम्तो पाएको नेपालका लागि करण केसीले २ विकेट लिएका हुन्। पहिलो ओभरको केसीको चौथो बलमा दीपेन्द्र सिंह ऐरीले नेदरल्यान्ड्सका माइकल लेभिटलाई क्याच आउट गराएका हुन्। उनी एक चौका प्रहार गरेर बाहिरिए। त्यसैगरी पहिलो ओभरको अन्तिम बलमा केसीले नेदरल्यान्ड्सका साइब्रान्ड एंगलब्रेक्टलाई आउट गराए। एंगलब्रेक्टलाई आसिफ शेखले क्याच आउट गराएका हुन्। उनी शून्य रनमै आउट भए। नेदरल्यान्ड्सका कप्तान स्कट एडवार्ड्सले टस जितेर पहिले ब्याटिङ गर्ने निर्णय लिएका हुन्। नेपालले नामिबिया र नेदरल्याण्डस् सम्मिलित त्रिकोणात्मक टि२० क्रिकेट शृङ्खलाअन्तर्गत अघिल्ला तीन खेलमध्ये एउटामा मात्र जित हासिल गरेको थियो। शृङ्खलाको फाइनलमा स्थान बनाउनका लागि नेपाल आजको खेल जित्नैपर्ने दबाबमा रहेको छ। नेपालले तेस्रो खेलमा शुक्रबार नामिबियालाई तीन रनले हराएको थियो। त्यसअघि भएको पहिलो खेलमा नेपाल नामिबियासँग २० रनले र नेदरल्याण्ड्ससँग दोस्रो खेलमा दुई रनले पराजित भएको थियो। शृङ्खलामा नेदरल्याण्ड्सको ४ अंक छ। नेपाल र नामिबियाको २२ अंक छ भने रन रेटका आधारमा नेपाल दोस्रो रहेको छ। नेपालको टोलीमा कुशल भुर्तेल, आसिफ शेख, रोहित पौडेल, कुशल मल्ल, सोमपाल कामी, करण केसी, गुलशन झा, दीपेन्द्र सिंह ऐरी, आरिफ शेख , अभिनाश बोहोरा, प्रतिश जिसी र रहेका छन्। भुर्तेल फर्कदा अनिल शाह बेञ्चमा बसेका छन्।"
