शीर्षक,विवरण
भारतले पाकिस्तानलाई दियो २६७ रनको लक्ष्य,"काठमाडौं : एसिया कपमा भारतले पाकिस्तानलाई २६७ रनको लक्ष्य प्रस्तुत गरेको छ। श्रीलंकाको क्यान्डीमा टस जितेर ब्याटिङ गरेको भारतले ७ बल अगावै आलआउट हुँदै २६६ रन बनायो। इशान किसन र हार्दिक पाण्डेले इनिङ सम्हालेपछि भारतले सम्मानजनक लक्ष्य प्रस्तुत गर्न सकेको हो। ९० बल खेलेका हार्दिकले ७ चौका र एक छक्कासहित सर्वाधिक ८७ रन बनाए। त्यसअघि पेभेलियन फर्किएका किशनले ९ चौका र दुई छक्कासहित ८२ रन बनाए। भारतले दस ओभरको खेलमै महत्वपूर्ण तीन विकेट गुमाउन पुगेको थियो। भारतले कप्तान रोहित शर्मा, विराट कोहली र श्रेयश लयरलाई सुरुवातमै गुमाउन पुगेको थियो। रोहितले ११, विराटले ४ र श्रेयशले १४ रन बनाएका थिए। त्यस्तै शुभम गिलले १०, रविन्द्र जडेजाले १४, श्रदुल ठाकुरले ३, कुल्दीप यादवले ४, जसप्रित बुमराहले १६ रन बनाए भने मोहम्म सिराज १ रनमा अविजित रहे। पाकिस्तानका लागि साहिन शाह अफ्रिदीले ४ सर्वाधिक ४ विकेट लिए। त्यस्तै नसिम शाह र हरिस राउफले तीनतीन विकेट लिए।"
"एसिया कप : दस ओभरमै भारतले गुमायो तीन विकेट, रोहित र विराट भए आउट","काठमाडौं : एसिया कपको तेस्रो खेलमा यतिबेला भारत र पाकिस्तान भिडिरहेको छ। श्रीलंकाको क्यान्डीमा टस जितेर ब्याटिङ गरेको भारतले १० ओभरमा तीन विकेट गुमाएको छ। भारतले कप्तान रोहित शर्मा, विराट कोहली र श्रेयस लयरको विकेट गुमाएको हो। रोहित र विराटलाई पाकिस्तानका फास्ट बलर सहिन शाह अफ्रिदीले विकेट लिए भने श्रेयसको विकेट हरिस राउफले लिए। रोहित ११ रन, विराट ४ रन र श्रेयस १४ रन बनाएर पेभेलियन फर्किए। भारतले १० ओभरमा ३ विकेट गुमाएर ४८ रन बनाएर खेल्दैछ।"
वैशाख १५ गतेदेखि थाक खेलकुद प्रतियोगिता,"जोमसोम : थाक खेलकुद प्रतियोगिता वैशाख १५ गतेदेखि सञ्चालन हुने भएको छ। थाक खेलकुद तथा सांस्कृतिक विकास संघले मुस्ताङको मोफसलका रुपमा सञ्चालन गर्दै आइरहेको प्रतियोगिता वैशाख १५ गतेदेखि सञ्चालन गर्ने निर्णय गरेको हो। शनिबार थासाङको कावाङमा सम्पन्न संघको संयुक्त बैठकले बर्सेनि असोज महिनामा सञ्चालन हुँदै आइरहेको प्रतियोगितालाई वैशाख महिनामा सार्ने निर्णय गरेको हो। अब हुने थाक खेलकुद प्रतियोगितामा पुरुष भलिबलको च्याम्पियनले नगद एक लाख एक हजारसहित शिल्ड, मेडल, ट्रफी र प्रमाणपत्र पाउने छन् भने उपविजेताले नगद ६५ हजार एक सयसहित शिल्ड, मेडल, ट्रफी र प्रमाणपत्र पाउने छन्। यसैगरी तारा खेलको च्याम्पियनले नगद ३० हजार र उपविजेता टोलीले २० हजारसहित शिल्ड,मेडल, ट्रफी र प्रमाणपत्र पाउने छन्। दुवै इभेन्टका सर्वोत्कृष्ट खेलाडीले नगद तीनतीन हजारसहित शिल्ड, मेडल, ट्रफी र प्रमाणपत्र प्राप्त गर्ने छन्।"
रेड हर्स सेमिफाइनलमा,ताप्लेजुङ : गोर्खा स्पोर्टिङ क्लब दमकलाई २० गोलले पराजित गर्दै इलामको रेड हर्स फुटबल क्लब ताप्लेजुङ सदमुुकाममा जारी ताप्लेजुङ गोल्डकपको सेमिफाइनलमा प्रवेश गरेको छ। गोर्खा स्पोर्टिङ क्लबका डिफेन्सले बल नियन्त्रण गर्न नसक्दा इलामका फरवार्ड युवराज राईले पहिलो गोल गरेका थिए। एपीएफ क्लबमा आवद्ध उनले खेल सुरु भएको १०औं मिनेटमै गोलको खाता खोलेका थिए। रेड हर्सका लागि खेलको ५९औं मिनेटमा आशिष राईले दोस्रो गोल गरेका थिए। गोलरक्षकले हानेको बल नियन्त्रणमा लिँदै उनले सिधै जाली चुमाएका थिए। खेलको म्यान अफ दी म्याच रेड हर्सका आशिष राई घोषित भए। शनिबार फिदिम स्पोर्टिङ क्लब पाँचथर र पथरी११ फुटबल क्लब मोरङबीच खेल हुने आयोजकले जनाएको छ। यसअघि जुट विकास फुटबल एकेडेमी इटहरीले सेमिफाइनलमा स्थान बनाइसकेको छ। भदौ २० गतेसम्म सञ्चालन हुने प्रतियोगिताको विजेताले तीन लाख ११ हजार एक ११ रुपैयाँ पुरस्कार पाउने छ। यस्तै उपविजेताले एक लाख ११ हजार एक सय ११ रुपैयाँ पाउने लाखेजात्रा खेल सञ्चालन समितिका अध्यक्ष देवराज गुरुङले जानकारी दिए।
१६ वर्षपछि विश्व भारोत्तोलनमा नेपाल,"काठमाडौं : नेपालले विश्व भारोत्तोलन च्याम्पियनसिपमा १६ वर्षपछि सहभागिता जनाउने भएको छ। भदौ १७ देखि ३१ गतेसम्म साउदी अरेबियाको रियादमा हुने आईडब्लुएफ विश्व च्याम्पियनसिपमा तीन पुरुष र दुई महिला गरी पाँच खेलाडीले नेपालको चुनौती प्रस्तुत गर्ने छन्। पुरुषको ८१ केजी तौल समूहमा विकास भट्ट, ९६ केजीमा विशालसिंह विष्ट र १०९ केजीमा सागर भण्डारीले प्रतिस्पर्धा गर्ने छन्। यस्तै महिला ५५ केजीमा टिकामाया गुरुङ र ६४ केजीमा शारदा चौधरीले खेल्ने छन्। प्रशिक्षकमा जीवन गौतम, निर्णायकमा पार्थ सारथी सेन गुप्त र व्यवस्थापकमा रामसुन्दर श्रेष्ठ छन्। गुप्त शुक्रबारै रियाद प्रस्थान गरिसकेका छन्। नेपाल भारोत्तोलन संघका अध्यक्ष रामकृष्ण श्रेष्ठ पनि प्रतियोगिता दौरान हुने विश्व भारोत्तोलन महासंघको कंग्रेसमा सहभागी हुन रियाद जाने छन्। व्यवस्थापक श्रेष्ठ, प्रशिक्षक गौतम, खेलाडी शारदा र टिकामाया सोमबार रियाद जाँदै छन्। यस्तै सेप्टेम्बर ८ मा विशाल र विकास रियाद उड्ने छन्। अध्यक्ष श्रेष्ठ र खेलाडी सागर सेप्टेम्बर ११ मा रियाद प्रस्थान गर्ने कार्यक्रम रहेको छ। टोलीलाई सफलताको शुभकामना दिँदै राष्ट्रिय खेलकुद परिषद्का सदस्यसचिव टंकलाल घिसिङले शुक्रबार बिदाइ गरे।"
तेक्वान्दो विकास परियोजना सम्पन्न,"काठमाडौं : कास्कीको अन्नपूर्ण८ वीरेठाँटीमा सञ्चालित तेक्वान्दो विकास परियोजना सम्पन्न भएको छ। अम होङ गिल फाउन्डेसनअन्तर्गत वल्र्ड तेक्वान्दो फेडरेसन र नेपाल तेक्वान्दो संघको विशेष सहयोगमा सञ्चालित परियोजनाको पहिलो चरण सम्पन्न भएको हो। परियोजना पहिलो चरणमा एक वर्षका लागि वीरेठाँटी माविमा सञ्चालन गरिएको थियो। परियोजनाअन्तर्गत वीरेठाँटी माविका ८७ जना विद्यार्थीले तेक्वान्दोको विशेष प्रशिक्षण लिएका थिए। उनीहरूलाई बोदराज गिरीले प्रशिक्षण दिएका थिए। परियोजनाका लागि वल्र्ड तेक्वान्दो फेडरेसनका अध्यक्ष डा चोउ चुङ ओन, एसियन तेक्वान्दो फेडेरेसनका अध्यक्ष प्रोफेसर क्यू सिओक लि र नेपाल तेक्वान्दो संघका अध्यक्ष प्रकाशशम्शेर राणाले एक वर्ष अघि खेल सामग्री प्रदान गरेका थिए। पहिलो चरणको समापनका अवसरमा विद्यालयमा प्रशिक्षणरत विद्यार्थीबीच प्रतियोगिता आयोजनासमेत गरिएको थियो। प्रतियोगितामा पुरुषतर्फ ६ र महिलामा ६ गरी १२ तौल समूहमा प्रतिस्पर्धा भएको थियो। जसमा ४० जनाले प्रतिस्पर्धा गरेका थिए। नेपाल तेक्वान्दो संघका उपाध्यक्ष भानबहादुर चन्दले पहिलो चरणको प्रशिक्षण कार्यक्रम उत्साहजनक रहेको बताउँदै दोस्रो चरणका कार्यक्रम केही समयपछि नै सुरु गरिने बताए। अम होङ गिल फाउन्डेसनका कन्ट्री डाइरेक्टर हाइहिन लिले कार्यक्रमबाट विद्यालयका साना बालबालिकाले तेक्वान्दो खेल सिक्न पाएको बताए। उनले फाउन्डेसनले पहिलो पटक खेलकुद परियोजना सञ्चालन गरिएको बताए। विद्यालयका साना बालबालिकालाई खेलकुद गतिविधिमा सहभागी गराउन यो परियोजनाले महत्वपूर्ण भूमिका खेलेको बताउँदै उनले दोस्रो चरण पनि चाँडै सुरु हुने विश्वास व्यक्त गरे। कार्यक्रममा गण्डकी प्रदेश तेक्वान्दो संघका अध्यक्ष जगन गुरुङ, कास्की जिल्ला तेक्वान्दो संघका अध्यक्ष कुमार गुरुङ र नेपाल तेक्वान्दो संघका कार्यालय प्रमुख प्रह्लाद थापालगायतको उपस्थिति रहेको थियो।"
मूल्यवृद्धिको विरोधमा राष्ट्रिय युवा संघ नेपालले आज देशभर प्रदर्शन गर्ने,"काठमाडौं : नेकपा एमालेको भ्रातृ संगठन राष्ट्रिय युवा संघ नेपालले मूल्यवृद्धिको विरोधमा आज प्रदर्शन गर्ने भएको छ। युवा संघ नेपालले आज साँझ ६ बजे देशभर एकैपटक जुलुस गरी मूल्यवृद्धिको विरोध गर्न लागेको युवासंघका केन्द्रीय अध्यक्ष क्षितिज थेबेले जानकारी दिए। दैनिक रुपमा मूल्यवृद्धि भएको भन्दै अब युवा संघ चुप लागेर नबस्ने उनले बताए। पेट्रोलियम पदार्थ र अन्य दैनिक उपभोग्य सामानको चर्को मूल्यवृद्धिवरुद्ध प्रमुख प्रतिपक्षी नेकपा एमालेनिकट राष्ट्रिय युवा संघ नेपालले प्रदर्शन गर्न लागेको हो। काठमाडौं जिल्लामा पनि साँझ ६ बजे नयाँ बानेश्वरमा प्रदर्शन गरिने युवा संघका नेता निरोज पौड्यालले जानकारी दिए। जनतालाई समस्या पर्ने गरि मूल्यवृद्धि गर्दा पनि सरकारमा रहेका मौन रहेकाले विरोधमा उत्रनुपरेको उनको भनाई छ। बिहीबार मात्रै पेट्रोलियम पदार्थको मूल्य वृद्धि भएको छ। नेपाल आयल निगमको सञ्चालक समिति बैठकले ग्यासको मूल्य पनि २३५ रुपैयाँ, पेट्रोलमा प्रतिलिटर ४ र डिजेलमा ३ रुपैयाँले वृद्धि गरेको छ। यो पनि पढ्नुहोस अनुगमन परम्परागत, भान्सा महँगियो अहिले हरेक भान्छामा महँगी बढ्दा सर्वसाधारणलाई दैनिक गुजारा चलाउन हम्मे परेको छ। बजारमा उपलब्ध हुने करिब ४० खाद्यवस्तुको मूल्यवृद्धि एक वर्षको अन्तरमा न्यूनतम ३ प्रतिशतदेखि १५० प्रतिशतले बढेको छ। खाद्यान्न, लत्ताकपडा, तरकारीजस्ता अत्यावश्यक वस्तुदेखि शिक्षा शुल्क, स्वास्थ्य सेवा शुल्कलगायतमा चर्को महँगीले आम सर्वसाधारण मारमा छन्। अझ धमाधम चाडपर्व नजिकिँदै छ। प्रायः तीज, दसैं, तिहार, छठजस्ता पर्वमा बढी खपत हुन्छ। यस्ता चाडपर्वको मौकामा व्यवसायीहरूले थप महँगो बनाउने गरेका छन्।"
"अर्थतन्त्रलाई लिएर निराश हुनुपर्ने अवस्था छैन, लयमा फर्काउने प्रयास जारी छ : डा महत",काठमाडौं : अर्थमन्त्री डा प्रकाशशरण महतले देशको अर्थतन्त्रलाई लयमा फर्काउन आफूले प्रयास गरिरहेको बताएका छन्। शनिबार काठमाडौंमा आयोजित एक कार्यक्रमलाई सम्बोधन गर्दै अर्थमन्त्री महतले अर्थतन्त्र लिएर निराश हुनुपर्ने अवस्था नरहेको बताएका हुन्। उनले अर्थतन्त्रलाई लयमा फर्काउन आफुले प्रयास गरिरहेको दाबी गरे। पर्यटन क्षेत्रमा सुधार भइरहेको र विदेशी मुद्राको सन्चित पर्याप्त रहेकाले आर्थिक गतिविधि अगाडि बढाउन देखिएका समस्या समाधान गर्न सरकार लागिरेहेको उनको भनाई छ । अर्थमन्त्री महतले आगामी दिनमा देशको अर्थतन्त्र सकारात्मक दिशामा जाने भएकाले कुनै द्विविधा नराख्न आग्रह गरे। उनले मुलुकको आर्थिक विकासका लागि नीजि क्षेत्रको साथ आवश्यक परेको भन्दै नीजि क्षेत्रको समस्या समाधान गर्न सरकार प्रतिबद्ध रहेको जिकिर गरे। कार्यक्रममा नेपाल उद्योग वाणिज्य महासंघअध्यक्ष चन्द्र ढकालले सरकारले नीजि क्षेत्रलाई दिएको सुझाव कार्यान्वन गर्न नखोज्दा अहिलेको अवस्था आएको हुनसक्ने बताए । मुलुक श्रीलंका जस्तो हुने भन्दै अर्थतन्त्रका नीतिलाई कसिलो पार्न खोज्ला पनि केहि समस्या देखिएको उनको भनाई छ।
सुदूरपश्चिममा २० दिनदेखि पुगेन खाद्यान्न र तरकारी,"धनगढी : दसैंको मुखमै आएर कैलालीको त्रिनगर भन्सार नाकामा रहेको प्लान्ट क्वारेन्टाइन कार्यालय कर्मचारीविहीन भएपछि भारतबाट आउने खाद्यान्न, तरकारी र फलफूलको आयात ठप्प भएको छ। २० दिनदेखि खाद्यान्न, तरकारी र फलफूल नआएको कैलाली भन्सार कार्यालयले जनाएको छ। प्लान्ट क्वारेन्टाइनका प्राविधिक कर्मचारी पढाइका लागि बाहिर गएको भन्ने सुनेको छु। प्लान्ट क्वारेन्टाइनले पास नगर्दासम्म भन्सार बनाउन पाइँदैन। त्यसैले २० दिनदेखि त्रिनगर नाकाबाट खाद्यान्न, तरकारी र फलफूलको आयात ठप्प भएको छ, कैलालीका प्रमुख भन्सार अधिकृत राजेन्द्र हमालले भने। प्लान्ट क्वारेन्टाइन कार्यालयले नेपाल आयात हुने खाद्यान्न, तरकारी र फलफूलमा किराजन्य संक्रमण चेकजाँच गर्छ। खाद्य प्रविधिको जाँच गरेपछि प्लान्ट क्वारेन्टाइनले किराजन्य संक्रमण परीक्षण गरेपछि मात्रै खाद्यान्न, तरकारी र फलफूलजन्य वस्तु नेपाल भित्रिन्छ। सुदूरपश्चिमका लागि प्लान्ट क्वारेन्टाइनको मुख्य कार्यालय कञ्चनपुरको गड्डाचौकी नाकामा छ। गड्डाचौकीबनबासा नाकाबाट सामान आयात गर्नका लागि भारतले शारदा नदीको पुलमा बढी भार भएका मालवाहक साधन आउन दिँदैन। उता नेपालगन्जको रुपौडिया नाका भएर आयात गरे प्रदेशको राजस्वमा पनि कमी आउने र खाद्यान्न, तरकारी र फलफूलको मूल्य पनि बढ्ने व्यवसायीहरूले बताएका छन्। प्लान्ट क्वारेन्टाइनमा २० दिनदेखि प्राविधिक नहुँदा नेपालगन्जको नाका प्रयोग गर्नुपर्छ। त्यहाँबाट किलोमा १० रुपैयाँ ढुवानी खर्च बढ्छ। दसैंंको मुखमा खाद्यान्न, तरकारी र फलफूलजन्य सामानको आयात बढी हुने समयमा सरकारी निकायको यस्तो लापरबाहीले व्यवसायी र उपभोक्ता मारमा परेका छन्, व्यवसायी मनोज अग्रवालले भने। कैलाली भन्सार कार्यालयले पनि यस नाकाबाट आयात हुने मुख्य वस्तु नै खाद्यान्न, तरकारी र फलफूल रहेको जनाएको छ। मासिक २० करोडको राजस्व खाद्यान्न, तरकारी र फलफूलजन्य सामानबाट संकलन हुन्छ। तर २० दिनदेखि यी सबैको आयात ठप्प भएको छ। राजस्व उठ्ने कुरै भएन, प्रमुख भन्सार अधिकृत राजेन्द्र हमालले भने। त्रिनगर नाकाबाट भारत र तेस्रो मुलुकबाट समेत खाद्यान्न, तरकारी र फलफूलजन्य सामानको आयात हुँदै आएको थियो। दसैंंको मुखमा खाद्यान्न, तरकारी र फलफूलजन्य पदार्थको मूल्य बढ्ने देखिएको छ। व्यवसायीले नेपालगन्ज नाकाको प्रयोग गरेर ल्याए पनि उपभोक्ता मर्कामा पर्ने भएका छन्, कैलाली उद्योग वाणिज्य संघका अध्यक्ष पुष्पराज कुँवरले भने। प्लान्ट क्वारेन्टाइन कार्यालय संघीय सरकार मातहतको निकाय हो। उद्योगी व्यवसायीहरूले प्रदेशका मुख्यमन्त्री, प्रमुख जिल्ला अधिकारीसहितका निकायमा क्वारेन्टाइन सञ्चालनको माग गरेका छन्। सीमा नाकामा सरकारले प्लान्ट, पशु र खाद्य क्वारेन्टाइन कार्यालय खोलेको छ। प्लान्ट क्वारेन्टाइनले खाद्यान्न, तरकारी र फलफूलमा भएको रोग तथा किरा परीक्षण गर्छ। त्रिनगर नाका हुँदै ठूलो परिमाणको तरकारी, फलफूल, चामल, दाल, बदाम, तोरी, पशुआहार, मकै र गहुँ भारत तथा तेस्रो मुलुकबाट समेत आयात हुने गरेको छ।"
अनुमानित दरमा राजस्व बढेन : अर्थमन्त्री,"काठमाडौं : अर्थमन्त्री डा प्रकाशशरण महतले आफूले अनुमान गरेअनुसार राजस्व नबढेको बताएका छन्। नेपाल आर्थिक पत्रकार समाज (सेजन) को २५ औं वार्षिक साधारणसभाको उद्घाटन गर्दै मन्त्री डा महतले गत आर्थिक वर्षको तुलनामा बढे पनि अनुमान भेट्न नसकिएको बताएका हुन्। यद्यपि चालु आर्थिक वर्षको अन्त्यमा लक्ष्य भेट्ने विश्वास उनले गरे। मन्त्री महतले राज्य संयन्त्रले गर्ने कतिपय निर्णयले पनि अर्थतन्त्र प्रभावित भइरहेको भन्दै निजी क्षेत्रको समस्यालाई माइक्रो म्यानेजमेन्ट गर्नेतर्फ लाग्यो भने पनि समस्या आउने दाबी गरे। सो क्रममा उनले पत्रकारितामा नयाँ प्रविधिले सजिलो बनाए पनि त्यसको सदुपयोग र दुरुपयोगको चुनौती थपिएको बताए। राजनीतिक क्षेत्रजस्तै पत्रकारिता जगत पनि परीक्षणको दौडबाट गुज्रिरहेको उनको भनाइ छ। डा महतले भने, म अर्थमन्त्रालयमा पुगेकोपछि इमान्दारिताका साथ कसरी देश र जनताका लागि काम गर्ने भन्ने मानसिकताबाट मैले काम गर्ने प्रयास गरेको छु। यसलाई साथीहरुले आत्मसाथ गर्नुभएको छ, कतिपय अवस्थामा प्रश्न पनि गर्नुभएको छ। उनले संसदभित्र र बाहिर मैले आफ्ना निर्णय आधारसहित प्रतिरक्षा गरेको र त्यसलाई सबैले स्वीकार गरेको बताए। देशको अर्थतन्त्रलाई लयमा ल्याउने प्रयास आफूले गरिरहेको भन्दै मन्त्री डा महतले भने, पर्यटन क्षेत्रमा सुधार भइरहेको छ, विदेशी मुद्राको सञ्चिती पर्याप्त छ। आर्थिक गतिविधि अगाडि बढाउनका लागि जे समस्या छ, त्यसलाई सम्बोधन गर्न सरकार लागिरहेको छ। आगामी दिनमा देशको अर्थतन्त्र सकारात्मक दिशामा जानेछ। सेजनको अध्यक्षमा ओली, अन्नपूर्णकर्मी थापा सदस्य निर्वाचित नेपाल आर्थिक पत्रकार समाजको अध्यक्षमा सुजन ओली निर्वाचित भएका छन्। शनिबार भएको निर्वाचनमा ओली ९९ मतका साथ विजयी भए। कुल २५२ मत खसेकामा निकटतम प्रतिद्वन्द्वी शिरोमणी ढुंगानाले ९६ मत ल्याए। यस्तै सरस्वती ढकालले ५६ मत ल्याइन्। महासचिवमा विश्वास रेग्मी निर्विरोध निर्वाचित भए। सेजनको उपाध्यक्षमा विनय बञ्जाराले भागवत भट्टराईलाई पराजित गरे भने कोषाध्यक्षमा कमला अर्याललाई हराउँदै अच्युत पुरी निर्वाचित भए। यसैगरी सचिवमा सोभित थपलियाले रञ्जु काफ्ले र मुना कुँवरलाई हराए। अन्नपूर्णकर्मी ममता थापा सेजनको कार्यसमिति सदस्य निर्वाचित भएकी छन्। थापाले १५६ मत ल्याइन्। सदस्यमा थापासँगै हेमन्तराज जोशी, केशु लामिछाने, बसन्तराज उप्रेती र छवि सापकोटा निर्वाचित भए।"
