शीर्षक,विवरण
अँधेरीमा हराएका उजेलीहरू,"पृथ्वीमा सूर्यको किरण एकै साथ सर्वत्र छाउन सक्दैन। आफ्नै गतिमा सूर्यलाई परिक्रमा गरिरहेको पृथ्वीले आफ्नो सबै भाग एउटै समयमा सूर्यतिर फर्काउन पनि सक्दैन। पृथ्वी र सूर्यको बीचमा परिक्रमा गर्ने चन्द्रमाले पनि छेकिदिन्छ पर्खाल बनेर। ग्रहणका अवस्थाहरूमा पनि सूर्यको किरण लुकिदिन्छ। जहाँ सूर्यको अनुभूति हुँदाहुँदै पनि अँधेरीले ढाकिरहेको हुन्छ। जीवनमा महसुस हुने सुखका अनुभूतिहरू सूर्यका किरणहरू जस्तै हुन्। जीवनयात्रीको सबै भागमा सूर्यको किरण नपर्नु प्रकृतिको नियम हो। शरीरको अगाडि भागमा किरण परिरहँदा पछाडि भागमा छाया परिरहेको हुन्छ। जीवनमा आइरहने दुःखहरू छायासरह हुन्। आउँछन्, जान्छन्। दुःख आउनु तथा महसुस हुनु भनेको मानिस जिउँदो छ भन्ने पहिचान पनि हो। जीवनको नयाँ ढोका खुल्नु र जीवन जिउने नयाँ मार्ग फेला पार्नु पनि हो। जात, वर्ग र पद जति उच्च तथा घराना भए पनि मानिस मानिसै हो। मानिसको दोस्रो जात छैन। मानिसको जात मानिस नै हो। ज्यूनार, पकवान, चौरासी व्यञ्जन, खाजा, लञ्च डिनरजस्ता जेजे नाम दिए पनि हाम्रो संस्कारमा खाने त खाना (भात) नै हो। व्यक्ति नामले होइन, गुणद्वारा उच्च मानिनुपर्छ। उच्च स्थानमा बस्दैमा कोही ठूलो वा उच्च हुने पनि होइन। उसले गरेका कर्मले मानिसलाई सानो र ठूलो बनाउने हो। सुख र दुःखका भ्रममा मानिसले आफूलाई सानो र ठूलो बनाइरहेको हुन्छ। सुख भनेको दुःखको अनुपस्थिति मात्र होइन, जीवनलाई खुसी बनाउने सुखको उपस्थिति पनि हो। जीवनमा अन्धकारहरू छन्। उज्याला किरणहरू पनि छन्। जीवनमा लामो समयसम्म एकैनासले न दुःख रहन्छ न सुख। दिन र रात झैं आइरहन्छ। जीवनमा सुखको ज्योति बाहिरबाट बल्ने होइन। मानिस आफैंले आफैंभित्रबाट बाल्नुपर्छ। सुख र दुःखको स्वीच ऊ आफैंसँग छ। जीवनको अन्धकारमय क्षण हटाउन मानिसले आफैंसँग भएको सुखको स्वीच अन गर्न मात्र जान्नुपर्छ। मानिसको हृदयभित्रबाट चम्कने प्रकाशलाई कुनै पनि कुराले मधुरो बनाउन सक्दैन। आफूमा आइपरेका दुःखका भुमरीहरूका लागी अरू कसैलाई दोषी मानिरहनु पर्दैन। बाहिरको उज्यालो झलमलले बन्द कोठाभित्रको अन्धकारलाई मेट्न पनि सक्दैन। न झ्याल तथा छिद्रहरूबाट छिरेका केही किरणका बिन्दुहरूले कोठालाई पूर्णरूपमा उज्यालो बनाउन नै सक्छ। बाहिरबाट भित्र प्रवेश गरेका उज्यालाहरूको नियन्त्रण आफूसँग हुने पनि भएन। आफ्नो अनुकूलमा आफ्नै स्वादका सुखका उज्यालाहरूको अनुभूति लिन त आफैंभित्र सुखको टुकी बाल्नुपर्छ। सबै स्थानमा अन्धकार हुँदा पनि आफ्नो वरिपरि उज्यालो नै देखिन्छ। टुकीको उज्यालो थोरै मधुरो होला तर बाटो नै पहिल्याउन नसक्ने अवस्थाको भने हुँदैन। चम्किलो उज्यालोको अनुभूति गर्न अन्धकारको पनि उपस्थित हुनुपर्छ। मध्यदिनको उज्यालोमा आकाशका ताराहरू देखिँदैनन्। सूर्यको उज्यालो किरणमा चन्द्रमाको उज्यालोले कुनै अर्थ राख्दैन। तर, त्यही चम्किला ताराहरू र चन्द्रमाको उज्यालोले निष्पट अन्धकारलाई भने चिरेर उज्यालो किरण छरिरहेको हुन्छ। जुन प्रकाशमा मानिसले सुखको उज्यालोमात्र होइन, शीतलता पनि महसुस गरिरहेका हुन्छन्। आफूभित्र रहेको प्रकाशको बिन्दु सानो र ठूलो भन्ने पनि हुँदैन। अन्धकारमा त्यो सानो उज्यालो बिन्दुलाई बाहिरबाट सजिलै पहिल्याउन सकिन्छ। औंसीको चकमन्न रातमा जुनकिरीको उज्यालोले पनि मानिसलाई मार्गदर्शन गरिरहेको हुन्छ। अन्धकारबाट निस्कन उज्यालोतिर पाइला चाल्नुपर्छ। दूषित अवस्थाहरू अन्धकारमा फस्टाइरहेका हुन्छन्। अन्धकारभित्र भौंतारिरहेका दम्भहरूले उज्यालोतिर चालिएका पाइलाहरूलाई रोक्न सक्छ। काम, क्रोध, लोभ, मोह, ईष्र्या र द्वेषले मानिसलाई अहंकारी, छली र पाखण्डी बनाउँदै लान्छ। मानिसलाई दुराचारी, व्यभिचारी बनाउँछ। अन्धकारलाई उज्यालोको भ्रम छरिदिन्छ। वास्तवमा जीवनमा उज्यालो किरण प्रवेश गर्न दिइरहेकै हुँदैन। अन्धकारै अन्धकारमा मानिसलाई भ्रम सिर्जना गरिदिन्छ। फलतः मानिस एउटा दुःखको भुमरीबाट अर्को दुःखको भुमरीमा फस्न पुग्छ। आफूभित्र बत्ती बालेर हिँड्नेहरू आँखा बन्द गरेर हिँडे पनि गन्तव्य पहिल्याउन अन्य इन्द्रीयहरूले साथ दिइरहेका हुन्छन्। हरेक अँधेरीहरू उजेलीको पर्खाइमा र हरेक उजेलीहरू अँधेरीको पर्खाइमा हुन्छन्। सूर्यास्तपछि सूर्योदयको प्रतिक्षामा घडीका सुईहरू घुमिरहेका हुन्छन्। सबै उज्यालाले सुखानुभूति नदिन पनि सक्छन्। उज्यालाका किरणहरूलाई कसले कहाँ र कसरी प्रयोग गरिरहेछ भन्ने कुराले पनि महत्व राख्छ। कहिलेकाहीँ मानिस सुखको मातले पनि दुःख निम्त्याइरहेको हुन्छन्। संसारमा अनेक कारणले मानिस दुखी बनिरहेका हुन्छन्। दुःखले सबै मानिसलाई डसिरहेकै हुन्छ। कोही धनी, धनी भएकै कारणले पनि दुखी भएका छन् भने गरिब आधारभूत आवश्यकताको अभावमा दुखी भइरहेछन्। मानिस कोही बिछोडमा दुखी छन्। कोही ब्यापार व्यवसाय घाटाले त कोही पारिवारिक सम्बन्धले। दुःखसँग नजोडिएको मानिस यो धर्तीमा सायदै होला। मानिसका हरेक जीवनलाई चुनौती दिइरहने वास्तविकताको अर्को नाम हो दुःख। जीव र जगत्लाई राम्ररी अनुभव गर्ने ज्ञानका स्रष्टाहरूले पनि संसार सुखमय हैन, दुःखमय छ भनी जीवनको अध्ययनबाट निष्कर्ष निकालेका छन्। दुःखले सुखलाई नष्ट गर्न सक्दैन। तर, दुःखले सुखको परिभाषा भने गर्छ। मानिसले अनुभव गरिरहेको दुःख वास्तवमा डर हो। त्यसमा जिउने मानिसले आनन्द प्राप्त गर्न सक्दैन। मानिसले बुझ्नुपर्छ कि अन्धकारले अन्धकारलाई हटाउन सक्दैन, न अँध्यारोले उज्यालो नै। अँध्यारो र उज्यालो परिपूरक भने हुन्। अन्धकारबिना उज्यालोको र उज्यालोबिना अन्धकारको परिभाषाको अर्थ रहँदैन। उज्यालोमा मार्ग पहिल्याउन धेरै कष्ट गर्नुपर्दैन। तर, अन्धकारमा पनि मार्ग पहिल्याउनेहरूले सार्थक जीवन जिउने हुन्। अँधेरीमा हराइरहेका उजेलीहरूले पनि जीवनमा खुसीको किरण भने छरिरहेका हुन्छन्।"
यसकारण आर्थिक संकट!,"देशमा आर्थिक संकट चर्किंदै गएको कुरा सत्य हो। तर, कारण संघीयता नै हो भन्ने कुरा चाहिँ सत्य होइन। राज्य सञ्चालनका विभिन्न शासन प्रणाली हुन्छन्। जसमा मूलतः एकात्मक र संघीय शासन प्रणाली छन्। राज्यसत्ताको सम्पूर्ण शक्ति र अधिकार सबै केन्द्रमा हुने शासन प्रणाली एकात्मक केन्द्रीकृत राज्य प्रणाली हो। एउटै भूगोल वा राज्यलाई दुई वा दुईभन्दा बढी तह निर्माण गरी शासन गर्ने प्रणाली संघीय शासन प्रणाली हो। ठूला र साना दुवै खाले भौगोलिक स्थिति भएका मुलुकमा संघीयताको सफल अभ्यास भएको छ। नेपालमा संघीय शासन प्रणालीको अभ्यास सुरु भएको करिब ६ वर्ष भएको छ। संघीयता अभ्यासमा नागरिक खुसी हुन्छन् भन्ने थियो। तर, यसबीच असन्तुष्टि पनि देखिएको छ। घरघरमा सिंहदरबार, गाउँगाउँमा अधिकार र विकाससँगै समृद्धिको यात्रा नाम दिएर मुलुक संघीयतामा गएको हो। तर, संघीयताको मुख्य कडीको रूपमा रहेको प्रदेश संरचनाकै औचित्यमा पनि प्रश्न उठ्न थालेको छ। बेलाबेलामा संघीयता खर्चिलो र बोझिलो भयो भन्ने प्रश्न पनि उठ्ने गरेको छ। व्यवस्थाहरू परिवर्तन भए पनि जनताको अवस्थामा केही सुधार हुन सकेन। व्यवस्था परिवर्तनले केन्द्र र प्रदेशमा सयौं सांसद र मन्त्रीको संख्या बढायो। स्थानीय सरकारहरूले करको दरमा वृद्धि गरे तर त्यसअनुसार सुविधा दिन सकेका छैनन्। करको बोझमात्रै थपिएको गुनासो नागरिकको छ। संघीयता विरोधीले संघीयता खारेज गर्ने मनसायका साथ यो प्रणाली खर्चिलो भयो भन्ने तर्क गर्छन्। उनीहरू संघीय शासन प्रणाली बोझिलो हुने र हाम्रोजस्तो आर्थिक अवस्था कमजोर रहेको मुलुकले धान्नै नसक्ने भ्रम जनतामा फैलाउने प्रयासमा लागेका छन्। हाम्रो जस्तो सानो मुलुकमा संघीयता आवश्यक नै नरहेको भ्रम पनि उनीहरूले फैलाउने गरेका छन्। यस्तो भ्रम फैलाउनु उनीहरूको राजनीतिक धर्म होला, तर वास्तविकता त्यो होइन। के संघीय शासन प्रणाली, एकात्मक शासन प्रणालीभन्दा खर्चिलो हुन्छ ? यो नै वास्तविकता हो ? त्यसको आधार के ? हिसाबकिताब कसले गरेको र कसरी गरिएको हो ? त्यो प्रष्टसँग जनताले बुझ्ने गरी ल्याउनु पर्दैन ? मुखले बोलेर मात्र हुन्छ ? एकात्मक शासन प्रणालीको खर्च कति थियो ? अहिले संघीय शासन प्रणालीमा खर्च कतिले बढ्यो ? के संघीयता कार्यान्वयन भएपछि देशले केही पाएको छैन ? विकासको बिज रोपिएको छैन ? पञ्चायतकालै शासन व्यवस्थालाई छरितो बनाउन डा हर्क गुरुङले २५ जिल्लाको अवधारणा ल्याएका थिए। २०४६ सालकै परिवर्तनपश्चात पनि साबिक स्थानीय निकायको संख्या घटाउने एवं शिक्षा, स्वास्थ्य, कृषि, ग्रामीण सडक, खानेपानी आदि विषयगत निकायसँग सम्बन्धित कार्यालयहरू स्थानीय निकायमा निक्षेपण गर्नेजस्ता प्रयास भएका थिए। तर, कार्यान्वयन भएन। पाँच विकास क्षेत्रमा क्षेत्रीय कार्यालयहरू थियो। तर, क्षेत्रीय कार्यालयहरू पनि प्रभावकारी भएनन्। विकेन्द्रीकरणको प्रयास त्यस बेलामा पनि भएकै हो। सिद्धान्ततः संघीयता पनि विकेन्द्रीकरण नै हो। संघीयताले जनताको घरदैलासम्म सेवा पुयाउने काम गरेको छ। संघीयताको आर्थिक लागतको हिसाब गर्ने कुनै स्थापित विधि छैन। अत्यावश्यकीय काम वा चिजका लागि खर्च कति हुन्छ भनेर हिसाब गरिँदैन। हिसाब गर्नु मानवीय दृष्टिकोणले मनासिब पनि होइन। जसरी मानिस बिरामी पर्दा शरीरले उपचार माग गर्छ, त्यसबेला खर्चको हिसाब नगरी उपचार गर्नुपर्ने हुन्छ। त्यसरी नै देशको सामाजिक, राजनीतिक चरित्रले संघीय शासन प्रणाली माग गर्छ भने प्रणालीको खर्चको हिसाब नगरी संघीयता लागू गर्नुको विकल्प हुँदैन। देशको बढ्दो आर्थिक संकटलाई संघीयतासँग जोड्ने गरेको छ। देशमा आर्थिक संकट चर्किंदै गएको कुरा सत्य हो तर कारण संघीयता नै हो भन्ने कुरा चाहिँ सत्य होइन। बढ्दो आर्थिक संकटको मुख्य कारण कुशासन र भ्रष्टाचार हो। योचाहिँ सत्य हो। देश खराब राजस्व तथा कर नीति र प्रशासनको शिकार हुनु, दक्ष जनशक्ति, पुँजी, उद्यमशीलता र प्रविधिको अभाव, युवा जनशक्तिलाई विदेश पलायन हुनबाट रोक्न नसक्नु, उपभोगमुखी अर्थतन्त्र तथा अर्थतन्त्रलाई अन्तर्राष्ट्रिय अर्थतन्त्र र बजार प्रणालीमा आबद्ध गर्न नसक्नु आदि बढ्दो आर्थिक संकटका कारणहरू हुन्। संघीयताले आर्थिक संकट निम्त्याएको हो भने संघीयता अघि देशको आर्थिक अवस्था कस्तो थियो ? सामाजिकराजनीतिक अवस्था कस्तो थियो ? भ्रष्टाचारको अवस्था कस्तो थियो ? के यी र यस्ता प्रश्नको जवाफै नखोजी संघीयतामाथि प्रश्न उठाउने काम उचित हो ? पक्कै पनि होइन। देशको आर्थिक प्रवृत्ति करिब ४० वर्षदेखि उस्तै छ। पञ्चायतकालकै उत्तराद्र्धबाट ऋण लिन थालिएको हो। संघीयता कार्यान्वयन भएपछि ऋण लिनु परेको र ऋण लिन थालिएको होइन ? नेपालले अंगीकार गरेको शासन व्यवस्था केही खर्चिलो पक्कै हो। जनताबाट माग भएरै यसलाई स्विकार गर्न दलहरू बाध्य भएका हुन्। संघीयताप्रति केही ठूला दलको अनिच्छाका कारण संघीयता कार्यान्वयनप्रति उनीहरू इमान्दार देखिएनन्। संघले प्रदेश र स्थानीय तहलाई संघीय सरकारको प्रशासनिक एकाइको व्यवहार गर्दै आएको छ। तीन तहको सरकारबीच समन्वय हुन नसक्दा खर्च व्यवस्थापन हुन सकेको छैन। न त संघीयताले दिनुपर्ने सहज सेवा जनताले पाउन सकेका छन्। निश्चय नै सार्वजनिक खर्चको व्यवस्थापन परेर संघीयता व्यवस्थापन गर्न सकिन्छ। ठूला दलहरूले सार्वजनिक खर्च व्यवस्थापन गरेर संघीयता कार्यान्वयन गर्न इच्छा देखाएमा संघीयता सफल पनि हुन्छ। यसमा कुनै शंका छैन। संविधानले धेरै अधिकार र जिम्मेवारी प्रदेश र स्थानीय तहलाई दिएको छ, तर स्रोतसाधन सिंहदरबारमै थन्किएको छ। सार्वजनिक खर्च व्यवस्थापनका लागि सर्वप्रथम सांगठनिक संरचनाहरू चुस्त बनाउन आवश्यक छ। संघले मन्त्रालयको संख्या घटाउन, प्रदेश र स्थानीय तहमा जिम्मेवारी सरिसकेको संघीय स्तरका अनावश्यक विभागहरू खारिज गर्न, प्रदेशहरूमा पनि अवश्यक संख्यामा मात्र मन्त्राय र विभागहरू राख्न, संघ र प्रदेशहरूमा सीमित संसदीय समितिमात्र बनाउन, कर्मचारीहरूको दरबन्दीमा पुनरावलोकन गर्न, सिंहदरबारका कामविहीन कर्मचारीलाई प्रदेश र स्थानीय तहमा पठाउन, संवैधानिक आयोगहरूको संरचना परिवर्नन गर्न तथा गाडी सुबिधा कटौती गर्नलगायतका कार्यहरू गर्न अत्यन्त जरुरी छ। संस्थागत संरचनाकै अनुपातमा प्रशासकीय खर्च पनि बढ्दै गएको हो। संविधानतः जिम्मेवारी प्रदेश र स्थानीय तहमा सरे पनि संघले सांगठनिक संरचना खासै कम गरेको छैन, उता प्रदेशहरूले धमाधम कार्यालयहरू स्थापना गर्ने गरेका छन्। सांगठनिक संरचना निर्माण लगायतमा संघ र प्रदेशबीच समन्वय हुन नसक्दा पनि सार्वजनिक खर्च बढ्दै गएको भने हो। संघ र प्रदेशले समन्वयमै संस्थागत संरचना बनाइ अगाडि बढेमा सार्वजनिक खर्चमा निकै कटौती हुनसक्छ। कतिपय संघीय कार्यालयहरूसँगै समन्वय गरेर प्रदेशले पनि काम गर्न सक्छ। त्यस्ता कार्यालय प्रदेशले छुट्टै स्थापना गर्नै पर्दैन। हिजो विकेन्द्रीकरण असफल भएपछि मुलुक संघीयतामा गएको हो। संघीयता पनि असफल भएमा मुलुक असफल राष्ट्रको रूपमा चित्रित हुन्छ। त्यसैले संघीयतालाई सफल बनाउनुको विकल्प छैन। योजना तर्जुमा र कार्यान्वयन प्रक्रियालाई व्यवस्थित तथा सुशासन कायम गरेर सार्वजनिक खर्च घटाउन सकिन्छ। अत्यावश्यकीय शासन प्रणालीको खर्च नै धान्न सक्दैन भने त्यो कसरी राज्य हुन सक्छ ?"
नागरिक उड्डयन प्राधिकरणले मिडियालाई स्पष्टीकरण सोध्नु निन्दनीय कार्य,"प्राधिकरणले मिडियालाई स्पष्टीकरण सोध्नु निन्दनीय कार्य राजकिशोर यादव, पूर्व सूचना तथा सञ्चार मन्त्री तथा जनता समाजवादी पार्टी नेपालका नेता लोकतन्त्रमा मिडिया, पत्रकारिता र अभिव्यक्ति स्वतन्त्रता राज्यको चौथौं अंगको रुपमा हुन्छ। उसले जनतालाई सहि सूचना सूचित गर्ने मिडियाको कर्तव्य हो। र यो लोकतान्त्रिक देशहरुमा स्थापित मान्यता हो। त्यसैले पत्रिकामा प्रकाशित कु्नै समाचारको विषय वस्तुमा सम्बन्धित व्यक्ति, निकायलाई चित्त बुझेन भने वा सूचना तथ्यपरक छैन वा विषयवस्तुलाई बंग्याएर समाजमा अहित हुने भयो भने प्रेस काउन्सिल, अदालत या विभिन्न निकायहरु छन् जहाँ गएर आफ्नो कुरो राख्न सकिन्छ। उजुरी गर्न सकिन्छ। तर, समाचारको विषयलाई लिएर मिडिया हाउसका मालिक वा मिडिया हाउसलाई नै एक प्रकारको स्वतन्त्रतामाथि रोक लगाउने गरि प्राधिकरणलाई स्पष्टकरण सोध्ने अधिकारी छैन। गर्नु पनि हुँदैन। यदि सिधैं स्पष्टीकरण सोध्नु भनेको लोकतन्त्रमाथि धावा बोल्नु हो। अहिले अन्नपूर्ण मिडिया नेटवर्कको अध्यक्ष रामेश्वर थापामाथि जसरी नेपाल नागरिक उड्डयन प्राधिकरणले चिठ्ठी काटेर स्पष्टीकरण सोध्ने कुरा गैरकानुनी हो। यदि प्राधिकरणलाई समाचारको विषयमा चित्त बुझेको छैन भने प्रेस काउन्सिल तथा अदालतमा जाँदा हुन्छ। जसरी प्राधिकरणले मिडिया सञ्चालकलाई सिधा स्पष्टीकरण सोध्नु निन्दनिय कार्य हो। आपत्तिजनक छ। प्राधिकरणमाथि कानुनी प्रश्न उठ्यो मनिष झा  सांसद, राष्ट्रिय स्वतन्त्र पार्टी तथा सार्वजनिक लेखा समिति सदस्य नेपाल नागरिक उड्डयन प्राधिकरणलाई समाचारको विषयमा चित्त बुझि राखेको छैन। समाचारको विषय वस्तुका बारेमा असहमति छ भने मिडियासँग सम्बन्धि सरकारी निकायमा उजुरी दिनुपर्छ। सरकार र उनका निकायहरु गरेको निर्णयप्रति जनता र मिडियाले प्रश्न उठाउछन्। त्यो उठाउन पाउनु पनि पर्छ। प्रश्न उठाउनु भनेको अभिव्यक्ति स्वतन्त्रतासँग जोडिन्छ। प्राधिकरणले त्यसको जवाफ दिनु पर्छ। हामीले प्रश्न नै सोध्नु हुँदैन भन्ने छैन। प्रश्न सोध्यो भने, हामीलाई प्रश्न सोध्छस् भनेर प्राधिकरण जस्ता निकायले मिडिया सञ्चालकलाई स्पष्टकरण सोध्नु गलत हो। नियामक निकायको सञ्चालन कार्यविधि छ। उदाहरणका लागि हामीलाई कुनै स्कूलसँग चित्त बुझेन भने त्यहाँ गएर ताला लगाउनु हुँदैन। आफ्नो माग र मुद्दाबारे सरोकारवाला निकायमा पुग्नु पर्छ। प्राधिकणले मिडियाको विषय वस्तुमा सरोकार राख्न पाउँछ। तर मिडिया काउन्सिल, सूचना तथा सञ्चार विभागलाई पत्र लेख्नु पर्छ। प्राधिकरण आफैँमा पनि नियमन निकाय हो। कानुनी शासन र विधी सबैले निर्वाह गर्नु पर्छ। प्राधिकरणले मिडियालाई सिधा पत्र लेखेको छ भने हामीले उसलाई हाम्रा निकाय मार्फत प्रश्न गर्नुपर्छ। अन्नपूर्ण मिडिया नेटवर्क प्राधिकरणमा दर्ता भएको संस्था होइन। अनि उसलाई प्राधिकरणले स्पष्टीकरण सोध्ने कुरा कानुनी रुपमा मिल्दैन। आफू सुध्रिनुको सट्टा मिडियामाथि औंला ठड्याइयो यमलाल कँडेल, पूर्वपर्यटनमन्त्री एवं प्रदेशसभा सदस्य, कर्णाली प्रदेश १२ बजेपछि दुर्गममा उडान रोकिँदा कर्णालीवासीले अनाहकमै ज्यान गुमाउनुपर्ने अवस्था आयो। यसैकारण हामीले पनि प्रदेश सरकारलाई दबाब दिन संघीय सरकारको ध्यानाकर्षण गरायौं। प्रदेश सरकारले यसबारे जवाफ दिन नसक्दा संसद् अबरुद्ध गर्नुपर्यो। क्यानको निर्णय कर्णाली र हिमाली जिल्लावासी बिरोधी थियो। गुनासो आएपछि आफू सुध्रिनुको सट्टा समस्या उजागर गर्ने मिडियामाथि औंला ठड्याउने काम स्वीकार्य छैन। पेसाअनुसारको सेवा दिनुपर्छ। तर, निर्णय गर्दा प्रतिशोध साँध्ने काम भयो। कानुनी व्यवस्थाविपरीत किन ? प्रदीप पौडेल, युवा नेता नेपाली कांग्रेस प्रकाशन गृहले छापेको समाचारमा चित्त बुझेन भने मौज्दात कानुनी व्यवस्थाअनुसार अघि बढ्नुपर्छ। कानुनी व्यवस्था कुल्चेर कानुन उपचार खोज्न मिल्दैन। त्यसकारण समाचार खण्डन गर्ने वा उजुरी गर्ने निकाय अरू नै छन्। मिडिया हाउसलाई सीधै पत्र काट्ने कुरा कुनै कानुनी बाटो हो भन्ने लाग्दैन। मिडियाकै नियमकारी निकाय छन् नि ! देव गुरुङ, महासचिव नेकपा माओवादी मिडियासँग चित्त नबुझे मिडियाकै नियमनकारी निकायमा पुग्नुपर्छ। ऐन, कानुन मिचेर बाहिरबाट उपचार खोज्ने कुरा कदापी स्वीकार्य हुन सक्दैन। अर्कोतिर, मिडियाले जनताका पिरमर्काका कुरा उठाउँदा मुख थुन्ने गरी अघि बढ्न खोज्नु मूर्खता हो। यो पनि पढ्नुहोस सिम्रिक हेलिकप्टरमाथि प्राधिकरणको बदनियत उडान प्रतिबन्ध, दुर्गमलाई नाकाबन्दी ! प्राधिकरण जहाजमा रोक लगाउने, बिरामीले सित्तैमा ज्यान फाल्नुपर्ने हवाई उडानमा लगाइएको प्रतिबन्ध हटाउन प्रधानमन्त्रीको ध्यानाकर्षण कर्णालीमा नियमित हवाई उडान गर्न प्रदेश सरकारले पठायो प्राधिकरणलाई पत्र उडानसम्बन्धी नियम प्राधिकरणले सच्यायो, अब अतिरिक्त समयमा पनि उडान भर्ने नागरिक उड्डयन प्राधिकरण प्रतिक्रियात्मक भयो प्राधिकरणद्वारा सम्पादकीय स्वतन्त्रतामा धावा प्राधिकरणको निर्णय गलतै गलत नागरिक उड्डयन प्राधिकरणले गरेको निर्णयको असरका विषयमा प्रकाशित समाचार प्राधिकरणद्वारा सम्पादकीय स्वतन्त्रतामा धावा प्रेस स्वतन्त्रता विरोधी काम गर्यो नागरिक उड्डयन प्राधिकरणले"
विश्वकपमा छनोट भएको आठ वर्षमै स्पेन बन्यो विश्वकप च्याम्पियन,"सिड्नी: ओल्गा कार्मोनाको निर्णायक गोलप्रेरित स्पेन फाइलनमा इङ्ल्यान्डलाई १० को नतिजामा पराजित गर्दै फिफा महिला विश्वकप च्याम्पियन बनेको छ। अस्ट्रेलियाको सिड्नीस्थित स्टेडियम अस्ट्रेलियामा कार्मोनाले गरेको एक मात्र गोल स्पेनलाई पहिलो पटक महिला विश्वकप जिताउन पर्याप्त भयो। पेनाल्टी बक्स भित्र मारियोना काल्डेन्टेले दिएको पासलाई डिफेन्डर कार्मोनाले सुन्दर गोलमा परिणत गरेकी थिइन्। सुरुआतमा स्पेनमाथि दबाब बनाएको युरोपेली च्याम्पियन इङ्ल्यान्डले गोल खाएपछि खेलमा पकड जमाउन सकेन। इङ्लिस मिडफिल्डर कायरा वाल्सले ६६औं मिनेटमा १८ यार्ड बक्समा फाउल गरेपछि स्पेनसामू अग्रता दोब्बर पार्ने अवसर थियो। तर, जेनिफर हेर्मोसोले प्रहार गरेको पेनाल्टी इङ्लिस गोलपिकर मेरी अर्प्सले विफल पारिदिएकी थिइन्। दोस्रो हाफमा सब्स्टिच्युट भएर मैदान प्रवेश गरेकी लौरेन जेम्सले ७६औं मिनेटमा ६ यार्ड बक्स अगाडिबाट गरेको सशक्त प्रहार स्पेनकी गोलकिपर काटा कोलले पञ्च आउट गरेकी थिइन्। निर्धारित सयमको अन्त्यतिर स्पेनको रक्षापंक्तिमा निरन्तर दबाब बनाए पनि इङ्ल्यान्डले उल्लेख्य आक्रमण बुन्न सकेन। फाइनल ह्विसल बज्नुअघि सम्म निरन्तर कोसिस गरे पनि स्पेनको बलियो रक्षापंक्ति छिचोल्न नसक्दा इङ्ल्यान्डले हार टार्न सकेन। गत वर्ष इङ्ल्यान्डलाई युरोपेली च्याम्पियन बनाएकी डच प्रशिक्षक सरिना वेगम्यान लगातार दोस्रो पटक फाइनलमा पुगेर पनि उपाधि उचाल्नबाट वञ्चित भइन्। यसअघि सन् २०१९ मा फ्रान्समा भएको पछिल्लो संस्करणमा नेदरल्यान्ड्सलाई फाइनलसम्म पुर्याएकी वेगम्यानले यसपाली इङ्ल्यान्डलाई पनि पुर्याएकी थिइन्। यद्यपि, स्पनेले भने महिला विश्वकप खेल्न थालेको आठ वर्षमै विश्व च्याम्पियनको यात्रा तय गरेको छ। पहिलो पटक सन् २०१५ मा विश्वकपमा छनोट भएको स्पेनिस महिला टिमले यसअघि अन्तिम १६ पार गर्न सकेको थिएन। यो संस्करणको पहिलो खेलमा कोस्टा रिका र जाम्बियालाई क्रमशः ३० र ५० ले हराएको स्पेन लिग चरणको अन्तिम खेलमा जापानसँग ४० ले पराजित भएको थियो। अन्तिम १६ मा स्वीट्जरल्यान्डमाथि ५१ को शानदार जित निकालेको स्पेनले क्वार्टरफाइनलमा साविक उपविजेता नेदरल्यान्ड्सलाई स्तब्ध पारेको थियो। गत संस्करणको फाइनलिस्टलाई हराएर नयाँ कीर्तिमान रच्न सुरु गरेको स्पेनले सेमिफाइनलमा स्वीडेनलाई हराएर ऐतिहासिक यात्रा कायम राखेको थियो। आइतबार ओलम्पिक पार्कस्थित स्टेडियम अस्ट्रेलियामा उपाधि उचालेसँगै पुरुष टिमले विश्वकप जितेको १३ वर्षपछि स्पेनिस महिला टिम पनि विश्व विजेता बन्यो। सेमिफाइनलमा इङ्ल्यान्ड्ससँग पराजित भएको अस्ट्रेलिया तेस्रो स्थानका लागि स्वीडेनसँग भिडेको थियो। तर, युरोपियन टिमसँग ब्रिसबेनमा २० ले पराजित भएसँगै अस्ट्रेलियन टिम कम्तिमा तेस्रो स्थान हासिल गर्न असफल रहेको थियो। स्पेन विश्वकप विजेता बनेसँगै समापन भएको फिफा महिला विश्वकप २०२३ को गोल्डेन बुट जापानी खेलाडी हिनाता मियाजावाले जितिन्। उनले जापान क्वार्टरफाइनल सम्म पुग्दा सर्वाधिक पाँच गोल गरेकी थिइन्।"
