शीर्षक,विवरण
लेखिँदैछन् अक्षरहरू,"एउटै मूल नभिजे धरती उठ्दैन देश नसुधारे मति हरायो माटोको ममता घरभित्र आगो लागेपछि  वखत कठेत् । कविता आफैंले बोल्छ, उनी माटो प्रेमी हुन्। राष्ट्र उनको आत्मा र राष्ट्रियता उनको अंग हो। एक विहानी उनी जेलमा केही पुस्तक बोकेर आए। सामान्य परिचय भो। एक कप कफी पिए। आफ्नै बाटो लागे। भलाकुसारीका बखत उनैले बोले मैले तपाईँको बारे उपन्यास लेखेको छु फूल्की सँगै आएका पूर्व परिचित लेखक रमेशमोहन अधिकारीले दुवैका बारे संबादिए। बस्, त्यत्ति हो चिनजान। उपन्यासको सुरुवाती कविताले दाह्रा किट्दै मुट्ठी कसें मैले। बहादुर ऐतवालले चिट्ठी दिए प्रेमसिंह धामीले प्रेम र पसिना दिए कसैले उखान टुक्का र रमाइलो दिए गोविन्द गौतमले रगत दिए रविन्द्र जैसवालले पहरा दिए रामप्रसाद चमारले बलिदान दिए सजाउँदै शब्द शब्दले पूजा गरेँ जसबार जन्मियो फुल्की बस। बखत कठेतले आफ्नो उपन्यासमा मेरो पीडा, ममाथि भएको घोर अन्याय र पुस्तकको पात्र फुल्कीमार्फत् किन ओकलाए त्यो त उपन्यास पढे थाहा होला । तर वास्तविकता यही हो, एक लेखक साहित्यकारले आफ्नो कलमबाट झुठ लेख्न सक्दैन। लोकको कहीँ भएको अन्याय उसले सहन गर्न सक्दैन। लेखकले पात्र भेट्नै पर्दैन। पात्रको पीडा उसले कहीँबाट पनि प्राप्त गर्नसक्छ। चाहे पढेर होस्, चाहे सुनेर। बखत कठेतले मलाई चिन्नै परेन। उनको र मेरो पहिलो वा अहिलेसम्मको अन्तिम पुस्तक फुल्की दिएकै दिन हो। उनी उपन्यासकै फुल्की पात्रमार्फत् कहाउँछन 'रेशम अलि पढेलेखेका उद्यमि, गायक, कलाकार, खेलाडी, पत्रकार र बहुआयामिक व्यक्ति हुन्।' गणतन्त्र आयो, संघीयता आयो। हामीलाई उचाल्ने सत्तामा पुगे। हाम्रो बिल्लीबाठ भयो। केही साथीहरूलाई जेलमा पुर्याए। त्यस्तै एउटा पात्र हुन् रेशम चौधरी। फुल्की उपन्यासकी अर्की पात्र धर्ति कहन्छिन् घटना घट्यो, जसले रेशम चौधरीको जीवनमा आँधीबेहरी ल्यायो। सात प्रहरी र एक बालक हत्याको आरोप लगाएर उनलाई जेल हालियो। सरकारी कर्फ्यूका बीचमा उनको घर, रेष्टुरेन्ट, एफएममा आगो लगाइयो। घटना घट्दा नेपाल टेलिकमको कल डीटेलले उनी बर्दियामा रहेको पुष्टि गर्छ। तैपनि उनलाई जेल हालियो। तिनीहरूलाई रेशम चौधरीको आँशु लग्नेछ। टीकापुरका स्थानीय थारु साथीहरू मलाई जेलमा आएर सुनाउँछन् घटना घटेको दुई तीन महिना त पुस्तक लेख्छौं भनेर टीकापुर आउने लेखकको बाढी नै लागेको थियो रे। सबैजसोले पुस्तक लेख्छु भन्थें र घटनाको बारेमा भन्न खोज्दथे। तर जब थारूहरू यस घटनामा संलग्न छैनन् भन्ने बारेमा वास्तविकता थाहा हुन्थ्यो अनि विभिन्न बहानामा टीकापुरबाट सुइकुच्चा ठोक्थे। यस्तो गर्नेमा कोही त त्रिभुवन विश्व विद्यालयका प्रध्यापकसमेत थिए रे! (रे, होइन थिए नै तर यहाँ मैले नाम उल्लेख गर्नु उचित सम्झेन) मेरो बारेमा थोरै भए पनि अंश लेखिएको अर्को उपन्यास हो मिन्झारी। यसका लेखक हुन् महेन्द्र उपाध्याय। मिन्झारी उपन्यासको अन्तिम गातामा लेखिएको छ, 'पहाडिया भनेका मिन्झारीका बाघ हुन्। यी रगत खानेलाई हामीले दुध खुवाइरह्यौं।' महेन्द्र उपाध्याय आफैं पहाडिया हुन्। तिनले किन त्यसो लेखे, मैले माथि लेखकको वास्तविकताका बारेमा लेखेबाटै थाहा हुन्छ। एक तथ्य जानकार लेखकले बरु लेख्दैन तर असत्य लेख्न सक्दैन। यही स्वरूपता महेन्द्रमा पनि झुल्कियो कि? मिन्झारी उपन्यासको २०१ पृष्ठमा उनले लेखेका छन् चुनावको नतिजा भटाभट आउन थाल्यो। कैलाली क्षेत्र नं१ बाट रेशम चौधरीको जीत भयो। फेरि गाउँ दुई हिस्सामा बाँडियो। थारूहरू खुसी भए पहाडी दुखी। गाउँमा दुवै वर्गको अनुहार हेर्नलायक बन्यो। फेरि केही दिन पहाडीका पसलहरूमा थारू ग्राहक घटे। बोलचाल घट्यो। सामाजिक दूरी बढ्यो। म चाहन्थें, मेरा बारेमा म आफैं लेखुँ। आफ्नो बारेमा आफैंले लेखे यो सबै प्रष्टिन्छ, अरुले लेखे क्या हो, क्या हो। अहिले जेलमा आएर मेरो बारेमा पुस्तक लेख्छु, फिल्म बाउँछु भन्नेको संख्या उल्लेखनीय छ। मलाई देवत्वकरण गरेर लेखिने पुस्तक, फिल्म आदिका बारेमा भन्दा हाम्रो सिंगो समुदायलाई राज्यले न्याय दिदिए ठीक हुन्थ्योजस्तो लाग्छ। राज्यको सबै संरचनामा थारू हेपिएको देख्दा मन कुँडिएर आउँछ। राज्यको तीनै तह, व्यवस्थापिका, कार्यपालिका र न्यायपालिकामा थारू प्रायशून्य छन्। करिब तीस लाख जनसंख्या भएको थारू समुदायका आज एक जना पनि सिडिओ, जर्नेल, डिआइजी न्यायाधीश छैनन्। राज्यको पूर्नसंरचनामा थारूलाई समावेश नगर्ने राज्यसत्ता शासकको कस्तो स्वार्थ हो? साँच्चै भन्नुपर्दा हामीहरू अपहेलित भएकै छौं। भर्खर भर्खर कलम चलाउनेको जमातले हामीलाई अन्याय भएको लेख्न थालेका छन्। जुन निकै सकारात्मक पक्ष हो। अब हामीले अपेक्षा गरेको सबै पक्षबाट हामीलाई न्याय होस्। पाँच वर्षे जेल जीवनमा मैले जाने बुझेको कुरो एउटै हो, 'जेलमा भन्दा बाहिर अपराधी धेरै छन्। अधिकांश कैदी परिवारका कारण जेल यापन गर्न बाध्य छन् भने साँच्चिकै अपराधीहरूको हातमा सबथोक छ। सिंगो राज्य छ। उनैका स्वार्थ खातिर धेरै नागरिकको घर जेल हुन पुगेको छ। हाल : डिल्लीबजार, कारागार"
नमोबुद्ध सप्तरीले जित्यो प्रदेश स्तरीय महिला गोल्डकपको उपाधि,"झापा : नमोबुद्ध युवा क्लब सप्तरीले प्रदेश स्तरीय महिला गोल्डकपको उपाधि उचालेको छ। बिर्तामोडस्थित महेन्द्र ज्योति माविको मैदानमा शनिबार भएको फाइनल खेलमा आयोजक अल इन वान क्लबलाई टाईब्रेकरमा ४२ गोल अन्तरले पराजित गर्दै नमोबुद्ध सप्तरीले उपाधि जितेको हो। उपाधि जितेसँगै सप्तरीले नगद २ लाख २ हजारसहित ट्रफी पाएको छ। उपविजेता बनेको आयोजक अल इन वान ले नगद १ लाख १ हजार रुपैयाँसहित ट्रफीमा चित्त बुझाएको छ। निर्धारित ६० मिनेट खेल एकएक गोलको बराबरीमा रोकिएपछि खेल टाईब्रेकरमा गएको थियो। टाईब्रेकरमा आयोजककी लक्ष्मी श्रेष्ठको प्रहारलाई सप्तरीकी गोल गोलकिपर पूजा रानाले विफल पारेकी थिइन्। त्यस्तै राष्ट्रिय टिमकी सदस्यसमेत रहेकी सबिता राना मगरको प्रहार भने गोल पोस्टमा ठोक्किएर फर्किएको थियो। आयोजकको तर्फबाट एलक्स चौधरी र छतरीका चौधरीले गोल गरेकी थिइन्। सप्तरीकी रोशनी क्षत्रीले गरेको प्रहार आयोजककी गोल रक्षक एलिसा चौधरीले बचाउ गरे पनि टिम कप्तान सुमित्रा तामाङ, कविता श्रेष्ठ, सलिना राना मगर र राष्ट्रिय टिमकी सदस्य समेत रहेकी रश्मि घिसिङले गोल गरिन्। त्यसअघि आयोजकका लागि मेनुका आलेले खेलको ३९ औं मिनेटमा गोल गर्दै टिमलाई अग्रता दिलाइन्। खेलको ४६ औं मिनेटमा सप्तरीले गोल फर्काए। सप्तरीकी रजनी थोकरले गरेको गोलले खेल टाईब्रेकरमा धकेलिएको थियो। प्रतियोगितामा आयोजककी सबिता राना मगरले प्लेयर अफ दी टुर्नामेन्ट को उपाधि जितिन। उनले नगद ७ हजार र ट्रफी पुरस्कार पाइन्। प्रतियोगितामा सर्वाधिक गोल कर्ता सप्तरीकी रजनी थोकरले हाई स्कोरर को उपाधि जितिन्। उनले नगद ६ हजार र ट्रफी पुरस्कार पाइन्। यस्तै उत्कृष्ट गोल रक्षक सप्तरीकी पूजा थापा, बेस्ट मिडफिल्डर सप्तरीकी रश्मि घिसिङ, बेस्ट डिफेन्स आयोजककी खुस्मा राई र बेस्ट स्ट्राइकर आयोजककी लक्ष्मी श्रेष्ठ घोषित भइन्। उनीहरूले जनही नगद ५ हजार र ट्रफी पुरस्कार पाए। यस्तै सप्तरीका अरुण राई प्रतियोगिताको बेस्ट कोच घोषित भए। उनले नगद ५ हजार र ट्रफी पुरस्कार पाएकी आयोजक अल इन वान क्लबका अध्यक्ष कृष्णबाबु योञ्जनले जानकारी दिए। प्रतियोगितामा झापा, इलाम, ताप्लेजुङ, सुनसरी, मोरङ, धनकुटा, उदयपुर र सप्तरीका ८ वटा टिमले सहभागिता जनाएका थिए।"
"डीएलएसमा ओमान २ रनले पराजित, फाइनलमा नेपाल र युएई भिड्ने",काठमाडौं : ओमानलाई डीएलएसमा २ रनले हराउँदै युएई एसीसी प्रिमियर कपको फाइनलमा पुगेको छ। मुलपानी क्रिकेट मैदानमा भएको सेमिफाइनल खेल वर्षाले प्रभावित भएपछि ओमान २ रनले पराजित भएको हो। टस हारेर ब्याटिङको निम्तो पाएको युएईले ३ बल अगावै अलआउट हुँदै २३६ रन बनाएको थियो। जवाफी ब्याटिङ गरेको ओमानले ४३ ओभरमा ६ विकेट गुमाउँदै १९० रन बनाउँदा खेल वर्षाले प्रभावित भएको थियो। ४३औं ओभरको समाप्तिमा विकेट गुमाएपछि डीएलएसमा ओमानको हार निश्चित भएको थियो। फाइनलमा नेपाल र युएई भिड्ने पक्का भएको छ। टियु क्रिकेट मैदानमा नेपाल र कुवेतबीच भएको खेल नजिताविहीन बनेपछि समूह एकको विजेतासमेत रहेको नेपाल फाइनलमा पुगेको थियो। नेपाल र युएईबीचको फाइनल खेल टियु क्रिकेट मैदानमा सोमबार हुनेछ।
नेपाल एसीसी प्रिमियर कपको फाइनलमा,काठमाडौं : नेपाल एसीसी प्रिमियर कपको फाइनलमा पुगेको छ। शनिबार टीयु क्रिकेट मैदानमा नेपाल र कुवेतबीचको सेमिफाइनल खेल नतिजाविहीन भएपछि समूह विजेता बनेको नेपाल फाइनलमा पुगेको हो। समूह ए मा रहेको नेपाल ३ खेलमा विजयी भएको थियो भने एक खेल वर्षाका कारण रद्द भएको थियो। शनिबार भएको सेमिफाइनल खेलमा टस हारेर ब्याटिङ गरको नेपालले ४२ ओभरमा ९ विकेटको क्षतिमा २८१ रन बनाएको थियो। वर्षाले खेल प्रभावित भएपछि ५० ओभरको खेलमा ४२ मा झारिएको थियो। २८२ रनको जवाफी ब्याटिङ गरेको कुवेतले भने ८३ ओभरमा ६ विकेटको क्षतिमा ३७ रन बनाएको थियो। त्यसपश्चात निरन्तर पानी पर्न थालेपछि खेल नतिजाविहीन बनेको थियो।
रोहित र कुशल मल्लको अर्धशतकमा नेपालले कुवेतलाई दियो २८१ रनको लक्ष्य,"काठमाडौं : कप्तान रोहित पौडेल र कुशल मल्लको अर्धशतकप्रेरित नेपालले एसीसी मेन्स प्रिमियर कपको सेमिफाइनलमा कुवेतविरुद्ध दुई सय ८१ रनको लक्ष्य दिएको छ। त्रिवि क्रिकेट मैदानमा टस हारेर ब्याटिङको निम्तो पाएको नेपालले ५० ओभरमा ९ विकेट गुमायो। नेपालका लागि चौथो नम्बरमा क्रिजमा उत्रिएका रोहितले ५६ बलमा चार चौका र एक छक्कासहित ५० रन पूरा गरे। कुशल मल्लसँग चौथो विकेटका लागि ९६ रनको साझेदारी गर्दै रोहित ९५ बलमा सात चौका र तीन छक्कासहित ९४ रन जोडेर पभिलियन फर्के। कुशलले पनि रोहितसँग एक सय दुई रनको साझेदारी गर्दै ४२ बलमा चार चौका र तीन छक्कासहित ५० रन पूरा गरेका थिए। रोहितसँगको साझेदारी एक सय ९ रनसम्म पुर्याएका कुशल ५७ रन बनाएर पभिलियन फर्के। त्यसअघि ओपनिङमा आएका कुशल ३९ बलमा सात चौका र एक छक्कासहित ४३ रन बनाएर अद्नान इद्रियसको बलमा यासिन पटेलको हातबाट क्याच भएका थिए। अन्य ब्याटरको प्रदर्शन उल्लेख्य रहेन। कुशल आउट भएसँगै क्रिजमा उत्रिएका भीम सार्की एक रन बनाएर पभिलियन फर्केका छन्। चौथो बलमा उनी मोहम्मद अस्लमको बलमा सान्दारुवानको हाटबाट क्याच भए। यस्तै, आसिफ शेख २८ बलमा एक चौका र तीन छक्कासहित ३१ रन जोडेर आउट भएसँगै नेपालले तेस्रो विकेट गुमाएको थियो। वर्षाका कारण २४औं ओभर पुगेपछि रोकिएको खेल वर्षा रोकिएपछि पुनः सुरु भएको हो। वर्षाकै कारण खेल ४२ ओभरमा घटाइएको थियो। कुवेतका लागि मोहम्मद अस्लम र अद्नान इद्रिसले तीनतीन तथा यासिन पटेल र सायेद मोनिबले एकएक विकेट लिए। पहिलो खेलमा मलेसिया, दोस्रो खेलमा ओमानलाई पराजित गरेको नेपालले तेस्रो खेलमा साउदी अरबसँग खेल रद्द भएपछि अंक बाँडेको थियो। समूह एको अन्तिम खेलमा कतारलाई हराएसँगै समूह विजेता बनेको नेपालले समूह बीको उपविजेता कुवेतसँग भेट निश्चित गरेको हो। कुवेतले हङकङ, बहराइन, सिंगापुरलाई पराजित गरेर यूएईसँग हारे पनि समूह उपविजेता बन्दै अन्तिम चारमा पुगेको हो। आजै मुलपानी क्रिकेट मैदानमा हुने अर्को सेमिफाइनलमा ओमान र यूएई भिड्दै छन्। ओमान समूह एको उपविजेता तथा यूएई समूह बीको विजेता बन्दै अन्तिम चारमा पुगेका हुन्।"
साहित्य सन्ध्यालाई हेमराज पहारी स्मृति पुरस्कार,"काठमाडौं : हेमराज पहारी स्मृति प्रतिष्ठानले नेपालको प्रगतिशील एवं प्रगतिवादी संस्था साहित्य सन्ध्यालाई हेमराज पहारी स्मृति पुरस्कार प्रदान गरेको छ। प्रतिष्ठानले शनिबार काठमाडौंमा आयोजित एक कार्यक्रममार्फत् एक लाख राशिको सो स्मृति पुरस्कार हस्तान्तरण गरेको हो। नेपाल प्रज्ञा प्रतिष्ठानका पूर्व कुलपति गंगा उप्रेती र प्रतिष्ठानकी अध्यक्ष रिता न्यौपाने पहारीले सो पुरस्कार हस्तान्तरण गरेका हुन्। गत वैशाखको पहिलो साता बसेको प्रतिष्ठानको बैठकले यस वर्ष सो स्मृति पुरस्कार साहित्य सन्ध्यालाई प्रदान गर्ने निर्णय गरेको थियो। त्यस्तै साहित्य सन्ध्याका अध्यक्ष राम विनयलाई पुरस्कार हस्तान्तरण गरिएको हो। २०३९ सालमा स्थापना भई हालसम्म ४३८ वटा नियमित मासिक कार्यक्रम गरिसकेको छ। युद्ध प्रसाद मिश्र, पारिजात, केवलपुरे किसान आदिको संरक्षकत्व र मार्गदर्शन प्राप्त संस्था भएकाले यसको उन्नयनका लागि सो पुस्कार दिने निर्णय भएको प्रतिष्ठानकी अध्यक्ष रिता न्यौपाने पहारीले बताइन्। उनले यो पुरस्कार हरेक वर्ष प्रदान गर्ने पनि घोषणा गरिन्। दुई दुई वर्षमा प्रदान गर्दै आएको यो पुरस्कारलाई अब हरेक वर्ष प्रदान गरिनेछ र यसको राशि पनि घटाइने छैन,' उनले भनिन्। २०४६ साल अघिको कसिदो राजनीतिक वातावरणमा प्रजातान्त्रिक आन्दोलनमा सिर्जनात्मक स्वर मुखरित गर्न युवा कविहरुलाई अभिप्रेरित गर्ने मञ्चको रुपमा स्थापित संस्था र अनुभवी पुस्ताबाट प्रशिक्षित हुँदै नयाँ पुस्तालाई प्रेरणा दिने कार्यशालाको रुपमा विकसित संस्था भएकाले यस वर्ष हेमराज पहारी स्मृति पुस्कार साहित्य सन्ध्यालाई दिने निर्णय भएको थियो सोही अनुसार आज हस्तान्तरण गरिएको हो, प्रतिष्ठानकी अध्यक्ष न्यौपानेले भनिन्। साहित्य संन्ध्या संस्था स्वंय पनि २०४२ सालदेखि निरन्तर स्रष्टा र नेपाली साहित्यको उन्नयन र विकासमा लागेको छ। कार्यक्रममा वरिष्ठ पत्रकार भैरव रिसाल, साहित्यकार अनिल पौडेल, लक्ष्मी निरौला, युद्धप्रसाद मिश्र प्रतिष्ठानका अध्यक्ष फणिन्द्र निरौला, हेमराज पहारीका पारिवारिक सदस्य अच्यूतराज पहारी र इन्दु अंशुले प्रतिष्ठानको विषयमा आफ्ना धारणा राखेका थिए। कार्यक्रममा स्वरकी धनी लोचन भट्टराईले हेमराज पहारीको गीत गाएकी थिइन्। पहारीका देशको अभिभारा कविता सञ्चयन र उत्तरी गोलाद्र्धको एक फन्को नियात्रा प्रकाशित र केही गीतहरू प्रकाशित भएका छन्।"
वर्षाले फेरि रोकियो नेपाल र कुवेतबीचको खेल,"काठमाडौं : एसीसी मेन्स प्रिमियर कपको सेमिफाइनलअन्तर्गत नेपाल र कुवेतबीचको खेल फेरि रोकिएको छ। त्रिवि क्रिकेट मैदानमा नेपालविरुद्ध डीएलएस मेथडमा २० ओभरमा एक सय ९४ रनको योगफल पछ्याइरहेको कुवेतले ८३ ओभरमा ६ विकेट गुमाएर ३७ रन मात्रै बनाएको छ। कप्तान रोहित पौडेल र कुशल मल्लको अर्धशतकप्रेरित नेपालले ५० ओभरमा ९ विकेट गुमाएर दुई सय ८१ रन बनाएको थियो। नेपालका लागि चौथो नम्बरमा क्रिजमा उत्रिएका रोहितले ५६ बलमा चार चौका र एक छक्कासहित ५० रन पूरा गरे। कुशल मल्लसँग चौथो विकेटका लागि ९६ रनको साझेदारी गर्दै रोहित ९५ बलमा सात चौका र तीन छक्कासहित ९४ रन जोडेर पभिलियन फर्केका थिए। कुशलले पनि रोहितसँग एक सय दुई रनको साझेदारी गर्दै ४२ बलमा चार चौका र तीन छक्कासहित ५० रन पूरा गरेका थिए। रोहितसँगको साझेदारी एक सय ९ रनसम्म पुर्याएका कुशल ५७ रन बनाएर पभिलियन फर्के। त्यसअघि ओपनिङमा आएका कुशल ३९ बलमा सात चौका र एक छक्कासहित ४३ रन बनाएर अद्नान इद्रियसको बलमा यासिन पटेलको हातबाट क्याच भएका थिए। अन्य ब्याटरको प्रदर्शन उल्लेख्य रहेन। कुशल आउट भएसँगै क्रिजमा उत्रिएका भीम सार्की एक रन बनाएर पभिलियन फर्केका छन्। चौथो बलमा उनी मोहम्मद अस्लमको बलमा सान्दारुवानको हाटबाट क्याच भए। यस्तै, आसिफ शेख २८ बलमा एक चौका र तीन छक्कासहित ३१ रन जोडेर आउट भएसँगै नेपालले तेस्रो विकेट गुमाएको थियो। वर्षाका कारण २४औं ओभर पुगेपछि रोकिएको खेल वर्षा रोकिएपछि पुनः सुरु भएको हो। वर्षाकै कारण खेल ४२ ओभरमा घटाइएको थियो। कुवेतका लागि मोहम्मद अस्लम र अद्नान इद्रिसले तीनतीन तथा यासिन पटेल र सायेद मोनिबले एकएक विकेट लिए। पहिलो खेलमा मलेसिया, दोस्रो खेलमा ओमानलाई पराजित गरेको नेपालले तेस्रो खेलमा साउदी अरबसँग खेल रद्द भएपछि अंक बाँडेको थियो। समूह एको अन्तिम खेलमा कतारलाई हराएसँगै समूह विजेता बनेको नेपालले समूह बीको उपविजेता कुवेतसँग भेट निश्चित गरेको हो। कुवेतले हङकङ, बहराइन, सिंगापुरलाई पराजित गरेर यूएईसँग हारे पनि समूह उपविजेता बन्दै अन्तिम चारमा पुगेको हो। आजै मुलपानी क्रिकेट मैदानमा हुने अर्को सेमिफाइनलमा ओमान र यूएई भिड्दै छन्। ओमान समूह एको उपविजेता तथा यूएई समूह बीको विजेता बन्दै अन्तिम चारमा पुगेका हुन्।"
एसीसी प्रिमियर कप : वर्षाका कारण रोकिएको खेल सुरु,"काठमाडौं : एसीसी मेन्स प्रिमियर कपको सेमिफाइनलअन्तर्गत वर्षाका कारण रोकिएको नेपाल र कुवेतबीचको खेल पुनः सुरु भएको छ। बर्षादको कारण झण्डै २ घण्टा रोकिएको खेल ४२ ओभरमा छोट्याएर सुरु गरिएको हो। कुवेतविरुद्ध नेपालले टस हारेर ब्याटिङ थालेको नेपालले १७ औं ओभरमा एक सय रन पूरा गरेको थियो। त्यसपछि २३ ओभर पूरा भएर २४औं ओभरको दोस्रो बलपछि खेल रोकिएको थियो। कीर्तिपुरस्थित त्रिवि क्रिकेट मैदानमा ९ बजे सुरु भएको खेलमा कुवेतका कप्तान मोहम्मद अस्लमले टस जितेर फिल्डिङ रोजेका थिए। नेपालका लागि ओपनिङमा आएका कुशल ३९ बलमा सात चौका र एक छक्कासहित ४३ रन बनाएर अद्नान इद्रियसको बलमा यासिन पटेलको हातबाट क्याच भएका थिए। कुशल आउट भएसँगै क्रिजमा उत्रिएका भीम सार्की एक रन बनाएर पभिलियन फर्केका छन्। चौथो बलमा उनी मोहम्मद अस्लमको बलमा सान्दारुवानको हाटबाट क्याच भए। यस्तै, आसिफ शेख २८ बलमा एक चौका र तीन छक्कासहित ३१ रन जोडेर आउट भएसँगै नेपालले तेस्रो विकेट गुमाएको थियो। अहिले क्रिजमा भएका कप्तान रोहित पौडेल ३० तथा कुशल मल्ल ३२ रन बनाएर खेलिरहेका छन्। नेपाली टिममा एक परिवर्तन भएको छ। मुख्य प्रशिक्षक मोन्टी देशाईले गुल्शन झाको स्थानमा आज करण केसीलाई प्लेइङ ११ मा स्थान दिएका छन्। पहिलो खेलमा मलेसिया, दोस्रो खेलमा ओमानलाई पराजित गरेको नेपालले तेस्रो खेलमा साउदी अरबसँग खेल रद्द भएपछि अंक बाँडेको थियो। समूह एको अन्तिम खेलमा कतारलाई हराएसँगै समूह विजेता बनेको नेपालले समूह बीको उपविजेता कुवेतसँग भेट निश्चित गरेको हो। कुवेतले हङकङ, बहराइन, सिंगापुरलाई पराजित गरेर यूएईसँग हारे पनि समूह उपविजेता बन्दै अन्तिम चारमा पुगेको हो। आजै मुलपानी क्रिकेट मैदानमा भइरहेको अर्को सेमिफाइनलमा ओमान र यूएई भिड्दै छन्। ओमान समूह एको उपविजेता तथा यूएई समूह बीको विजेता बन्दै अन्तिम चारमा पुगेका हुन्।"
एसीसी प्रिमियर कप : वर्षाका कारण खेल रोकियो,"काठमाडौं : एसीसी मेन्स प्रिमियर कपको सेमिफाइनलअन्तर्गत नेपाल र कुवेतबीचको खेल वर्षाका कारण रोकिएको छ। कुवेतविरुद्ध नेपालले टस हारेर ब्याटिङ थालेको नेपालले १७ औं ओभरमा एक सय रन पूरा गरेको थियो। त्यसपछि २३ ओभर पूरा भएर २४औं ओभरको दोस्रो बलपछि खेल रोकिएको छ। कीर्तिपुरस्थित त्रिवि क्रिकेट मैदानमा ९ बजे सुरु भएको खेलमा कुवेतका कप्तान मोहम्मद अस्लामले टस जितेर फिल्डिङ रोजेका थिए। नेपालका लागि ओपनिङमा आएका कुशल ३९ बलमा सात चौका र एक छक्कासहित ४३ रन बनाएर अद्नान इद्रियसको बलमा यासिन पटेलको हातबाट क्याच भएका थिए। कुशल आउट भएसँगै क्रिजमा उत्रिएका भीम सार्की एक रन बनाएर पभिलियन फर्केका छन्। चौथो बलमा उनी मोहम्मद अस्लमको बलमा सान्दारुवानको हाटबाट क्याच भए। यस्तै, आसिफ शेख २८ बलमा एक चौका र तीन छक्कासहित ३१ रन जोडेर आउट भएसँगै नेपालले तेस्रो विकेट गुमाएको थियो। अहिले क्रिजमा भएका कप्तान रोहित पौडेल १६ तथा कुशल मल्ल ११ रन बनाएर खेलिरहेका छन्। नेपालले १७ ओभरको समाप्तिमा तीन विकेट गुमाएर एक सय पाँच रन बनाएको छ। पहिलो खेलमा मलेसिया, दोस्रो खेलमा ओमानलाई पराजित गरेको नेपालले तेस्रो खेलमा साउदी अरबसँग खेल रद्द भएपछि अंक बाँडेको थियो। समूह एको अन्तिम खेलमा कतारलाई हराएसँगै समूह विजेता बनेको नेपालले समूह बीको उपविजेता कुवेतसँग भेट निश्चित गरेको हो। कुवेतले हङकङ, बहराइन, सिंगापुरलाई पराजित गरेर यूएईसँग हारे पनि समूह उपविजेता बन्दै अन्तिम चारमा पुगेको हो। आजै मुलपानी क्रिकेट मैदानमा हुने अर्को सेमिफाइनलमा ओमान र यूएई भिड्दै छन्। ओमान समूह एको उपविजेता तथा यूएई समूह बीको विजेता बन्दै अन्तिम चारमा पुगेका हुन्। वर्षाका कारण साँझ पाँच बजेसम्म खेल हुन नसके समूह चरणमा विजेता बनेको नेपाल फाइलनमा पुग्नेछ। यद्यपि, त्यसअघि सुपर ओभर मात्र हुने अवस्था भएपनि खेल हुनेछ।"
एसीसी प्रिमियर कपः १७औं ओभरमा नेपालको १०० रन पूरा,"नेपालका लागि ओपनिङमा आएका कुशल ३९ बलमा सात चौका र एक छक्कासहित ४३ रन बनाएर अद्नान इद्रियसको बलमा यासिन पटेलको हातबाट क्याच भएका थिए। काठमाडौं : एसीसी मेन्स प्रिमियर कपको सेमिफाइनलमा कुवेतविरुद्ध नेपालले टस हारेर ब्याटिङ थालेको नेपालले १७औं ओभरमा एक सय रन पूरा गरेको छ। कीर्तिपुरस्थित त्रिवि क्रिकेट मैदानमा ९ बजे सुरु भएको खेलमा कुवेतका कप्तान मोहम्मद आस्लामले टस जितेर फिल्डिङ रोजेका थिए। नेपालका लागि ओपनिङमा आएका कुशल ३९ बलमा सात चौका र एक छक्कासहित ४३ रन बनाएर अद्नान इद्रियसको बलमा यासिन पटेलको हातबाट क्याच भएका थिए। कुशल आउट भएसँगै क्रिजमा उत्रिएका भीम सार्की एक रन बनाएर पभिलियन फर्केका छन्। चौथो बलमा उनी मोहम्मद अस्लमको बलमा सान्दारुवानको हाटबाट क्याच भए। यस्तै, आसिफ शेख २८ बलमा एक चौका र तीन छक्कासहित ३१ रन जोडेर आउट भएसँगै नेपालले तेस्रो विकेट गुमाएको थियो। अहिले क्रिजमा भएका कप्ता रोहित पौडेल १६ तथा कुशल मल्ल ११ रन बनाएर खेलिरहेका छन्। नेपालले १७ ओभरको समाप्तीमा तीन विकेट गुमाएर एक सय पाँच रन बनाएको छ। नेपाली टिममा एक परिवर्तन भएको छ। मुख्य प्रशिक्षक मोन्टी देशाईले गुल्शन झाको स्थानमा आज करण केसीलाई प्लेइङ ११ मा स्थान दिएका छन्। नेपाली टिम ः रोहित पौडेल, आसिफ शेख, दीपेन्द्रसिंह ऐरी, करण केसी, सोमपाल कामी, कुशल भुर्तेल, ललित राजवंशी, भीम सार्की, सन्दीप लामिछाने, कुशल मल्ल, आरिफ शेख। पहिलो खेलमा मलेसिया, दोस्रो खेलमा ओमानलाई पराजित गरेको नेपालले तेस्रो खेलमा साउदी अरबसँग खेल रद्द भएपछि अंक बाँडेको थियो। समूह एको अन्तिम खेलमा कतारलाई हराएसँगै समूह विजेता बनेको नेपालले समूह बीको उपविजेता कुवेतसँग भेट निश्चित गरेको हो। कुवेतले हङकङ, बहराइन, सिंगापुरलाई पराजित गरेर यूएईसँग हारे पनि समूह उपविजेता बन्दै अन्तिम चारमा पुगेको हो। आजै मुलपानी क्रिकेट मैदानमा हुने अर्को सेमिफाइनलमा ओमान र यूएई भिड्दै छन्। ओमान समूह एको उपविजेता तथा यूएई समूह बीको विजेता बन्दै अन्तिम चारमा पुगेका हुन्।"
