शीर्षक,विवरण
एएफसी एसियन कप छनोटः पेनाल्टी सुटआउटमा चुक्दा नेपाल समूह चरणबाटै बाहिरियो,काठमाडौं : एएफसी एसियन कप छनोटअन्तर्गत समूह चरणको अन्तिम खेलमा उज्बेकिस्तानसँग पेनाल्टी सुट आउटमा पराजित हुँदै समूह चरणबाटै बाहिरिएको छ। नेपाल पेनाल्टी सुटआउटमा ४२ ले पराजित हुँदै समूह चरणमै सीमित बनेको हो। तासकेन्तस्थित बुनयोदकोर स्टेडियममा भएको खेलमा पहिलो हाफमा ३१ ले अग्रता लिएको उज्बेकिस्तानले दोस्रो हाफमा गोल फर्काउन सकेन। कप्तान सावित्रा भण्डारीले दोस्रो हाफमा २ गोलसहित ह्याट्रिक गर्दै खेल बराबरीमा पुर्याएपछि यो खेलको नतिजा पेनाल्टी सुट मार्फत भएको हो। नेपालको लागि पहिलो पेनाल्टी पोलमा लागेर फर्कियो। ह्याट्रिक गोल स्कोरर सावित्रा भण्डारीको पेनाल्टी दोस्रो बारमा लागेर बाहिरियो। नेपालको लागि दोस्रो पेनाल्टी गीता रानाले सहजै गोल गरिन्। तेस्रो पेनाल्टी सबिता राना मगरले पनि गोल गरिन्। चौथो पेनाल्टी अन्जना राना मगरको पेनाल्टी उज्बेकिस्तानकी गोलकिपरले रोक्दा नेपाल पेनाल्टीमा हार बेहोर्दै समूह चरणबाटै बाहिरिएको हो। उज्बेकिस्तानका भने चारै खेलाडीले पेनाल्टीमा गोल गरे। जसको फलस्वरुप उज्बेकिस्तान एसियन कपमा छनोट भएको छ। नियमित खेलको पहिलो मिनेटमा नै नेपालले गोल बेहोर्यो। उज्बेकिस्तानका लागि फिरुजाले बक्स बाहिरबाट दिएको पासलाई खबीबुल्लीभाले डिबक्सको बीचबाट गोल गरिन्। खेलको एघारौँ मिनेटमा उज्बेकिस्तानकी कप्तान उदमिल्ला कराचिकले बायाँ तर्फबाट ल्याएको बल क्लियर गर्न खोज्दा नेपालकी डिफेन्डर समीक्षा घिमिरेको खुट्टामा लाग्दै गोल भएको हो। यससँगै खेलको सुरुवाती मिनेटमै नेपालले २ गोल खायो। नेपालले खेलको १६ औँ मिनेटमा काउन्टर अट्याक गरेको थियो। कप्तान सावित्रा भण्डारीको पासमा रश्मीकुमारी घिसिङले डिबक्सबाट हानेको प्रहार प्रहार गोलकिपरले सजिलै नियन्त्रणमा लिइन्। खेलको २४ औँ मिनेटमा नेपालकी कप्तान सावित्रा भण्डारीले गोल गर्दै नेपाललाई खेलमा फर्काइन्। डिफेन्डरलाई बिट गर्दै डिबक्स बाहिरबाट गरेको प्रहार उज्बेकिस्तानकी गोलकिपरले रोक्न सकिनन्। को ३८ औँ मिनेटमा सरस्वती हमालले डी बक्स भित्र फाउल गर्दा पेनाल्टी बेहोर्यो। सोही कुराको कम्प्लेन गर्दा नेपालका प्रशिक्षक प्याट्रिकले पहिलो कार्ड पनि खाए। खेलको ३९ औँ मिनेटमा पेनाल्टी मार्फत गोल गर्यो। उज्बेकिस्तानको लागि माफ्तुना सोइमोभाले पेनाल्टीमा गोल गरिन्। पहिलो हाफको थप गरिएको दोस्रो मिनेटमा नेपालले डिबक्स बाहिर फ्री किक पाएको थियो। सो फ्री किक कप्तान सावित्रा भण्डारीले सिधा गोलकिपरको हातमा दिइन्। पहिलो हाफको थप गरिएको अन्तिम मिनेटमा उज्बेकिस्तान १० खेलाडीमा सीमित भयो। उज्बेकिस्तानकी जर्सी नम्बर १९ की खेलाडी नोजीमाखोनले नेपालकी कप्तान सावित्रा भण्डारीलाई फाउल गर्दा उनले दोहोरो पहिलो सहित रातो कार्ड खाँदै मैदानबाट बाहिरिएकी हुन्। खेलको ७१ औं मिनेटमा नेपालकी कप्तान सावित्रा भण्डारीले गोल गर्दै नेपाललाई ३२ को अवस्थामा ल्याइन्। खेल त्यसको दुई मिनेटपश्चात पुन कप्तान भण्डारीले गोल गर्दै नेपालका लागि तीन खेलमा तेस्रो ह्याट्रिक गरिन्। यो हारसँगै नेपालको एसियन कप खेल्ने सपना यही सकिएको छ।
जितका लागि नेपाली टोलीलाई प्रधानमन्त्रीको शुभकामना,काठमाडौँ : प्रधानमन्त्री केपी शर्मा ओलीले एएफसी महिला एसियन कप छनोटका खेलाडीलाई जितको शुभकामना दिएका छन्। श्रीलङ्कासँग जितेर आज उज्वेकिस्तानसँग फाइनल प्रतिस्पर्धाका लागि तयारीमा रहेको नेपाली टोलीलाई प्रधानमन्त्री ओलीले बालुवाटारबाट भर्चुअल संवादका माध्यमबाट सफलताको शुभकामना दिएका हुन्। उज्वेकिस्तानको तासकेन्दस्थित मिली रङ्गशालामा बुधबार भएको खेलमा नेपालले श्रीलङ्कालाई हराएर उत्कृष्ट प्रदर्शन गरेको थियो।
"नेपालले आज उज्बेकिस्तानसँग खेल्दै, इतिहास रच्ने अवसर","काठमाडौं : एएफसी एसियन कप छनोटअन्तर्गत नेपालले समूह चरणको अन्तिम खेल आज उज्बेकिस्तानसँग खेल्दैछ। तास्केन्तस्थितमा नेपाल र उज्बेकिस्तानबीचको खेल नेपाली समयअनुसार राति ९:१५ मा सुरु हुनेछ। समूह एफमा दुवै टिमले भुटान र लाओसलाई पछि पार्दै शीर्ष दुईमा पुगेका हुन्। समूह विजेताले आगामी वर्ष अस्ट्रेलियामा हुने एसियन कपमा स्थान बनाउने भएकाले नेपाली महिला फुटबलका लागि महत्त्वपूर्ण छ। पहिलो खेलमा नेपालले लाओसलाई ९० ले पराजित गरेको थियो। त्यस्तै दोस्रो खेलमा नेपालले श्रीलंकालाई ८० ले हराएको थियो। उज्बेकिस्तानले पनि पहिलो खेलमा श्रीलंकालाई १० गोलले पराजित गरेको थियो। दोस्रो खेलमा लाओसलाई ७० ले हरायो। दुवै टिमले हालसम्म क्लिनसिप राखेका छन्। यी दुवै टिमको गोल अन्तर पनि बराबर रहेको छ। नेपाल २६ वर्षपछि एसियन कप खेल्न चाहन्छ भने २२ वर्षपश्चात एसियन कपमा स्थान बनाउन चाहन्छ। नेपालले हालसम्म तीनपटक मात्रै एसियन कप खेलेको छ। नेपालले सन् १९८६ सन् १९८९ र १९९९ मा एसियन कप खेलेको थियो। उज्बेकिस्तानले हालसम्म पाँच पटक एसियन कप खेलेको छ। पहिलो पटक १९९५ मा एसियन कप खेलेको जुबेकिस्तानले १९९७, १९९९, २००१ र २००३ मा एसियन कप खेलेको थियो। फिफा वरियतामा नेपाल १०० औँ स्थानमा रहेको छ भने उज्बेकिस्तान ५१ औं स्थानमा रहेको छ। हालसम्मको हेड टु हेड नतिजामा महिला एसियन कप १९९९ मा नेपाल र उज्बेकिस्तानले खेलेका थिए, जसमा नेपाल ६१ ले पराजित भएको थियो। नादेज्दा कप २०१९ मा नेपाल उज्बेकिस्तानले खेलेका थिए। जसमा लिग चरणमा उज्बेकिस्तानले नेपाललाई २० ले पराजित गरेको थियो। यी दुवै टिम फाइनल प्रवेश गरेका थिए। फाइनलमा पुन: ३२ ले पराजित गरेको थियो। यी दुई टिमले एएफसी एसियन कप अन्तर्गत समूह एफको अन्तिम खेलमा चौथोपटक एकअर्काको सामना गर्नेछन्। नेपालले एसियन कप छनोट भएको अवस्थामा फिफा विश्वकप र २०२८ को ओलम्पिकको छनोटमा समेत अवसर बनाउनेछ। २०२७ मा ब्राजिलमा हुने महिला विश्वकपको छनोटको आधार पनि एसियन कप रहेकाले नेपालका लागि विश्वकपको सपना पछ्याउने यो एक सुनौलो माध्यम हुन सक्नेछ। एसियन कप खेल्ने १२ मध्ये शीर्ष ६ टिमले फिफा विश्वकपमा स्थान बनाउनेछन्। सन् २०२८ को ओलम्पिकको लागि पनि नेपालले मौका पाउने छ। दक्षिण एसियाली फुटबल साफको विजेता बङ्गलादेशले भने पहिलो पटक एसियन कपमा छनोट हुँदै इतिहास रचेको छ। साफको उपविजेता रहेको नेपालका लागि पनि यो असम्भव भने छैन।"
उपाधिका लागि सिंगापुरले नेपाललाई दियो ११४ रनको सामान्य लक्ष्य,"काठमाडौं : एसीसी यू १६ इस्ट जोन कपको उपाधिका लागि सिङ्गापुरले नेपाललाई ११४ रनको लक्ष्य प्रस्तुत गरेको छ। मलेसियाको युकेएम वाइएसटी ओभलमा टस जितेर ब्याटिङ गर्ने निर्णय लिएको सिंगापुर ४०५ ओभरमा ११३ रन बनाउँदै अलआउट भएको हो। सिंगापुरका लागि रोहन अस्टिन अरुणले सर्वाधिक २३ रन बनाए। उनले ८४ बल खेल्दै दुई चौका प्रहार गरे। कप्तान रियान नैकले १५ रन बनाए। अन्तिम विकेटका लागि क्रिजमा आएका वेदांश गुप्ता १२ रनमा अविजित रहे। आकाश तेजा १० रनमा अन्तिम विकेटको रूपमा खनालको बलमा बोल्ड भए। सिंगापुरका लागि अन्य कुनै पनि ब्याटरले दोहोरो अंकको रन बनाउन सकेनन्। १२ ओभर सकिँदा सिंगापुर ६ विकेटको क्षतिमा ५३ रन बनाएको सिङ्गापुरको अन्तिम विकेटका लागि २५ रनको साझेदारी नै सर्वाधिक साझेदारी रह्यो। ३४३ ओभरमा ९ विकेटको क्षतिमा सिङ्गापुरले १०० रन पूरा गर्यो। त्यसपछि अन्तिम विकेटका लागि आकाश तेजा र वेदांस गुप्ताले२५ रनको साझेदारी गर्दै सिङ्गापुरलाई १०० रन माथिको लक्ष्य दिन सहयोग गरे। नेपालका लागि सुशील बहादुर रावल र अभय यादवले समान ३३ विकेट लिए । शुभम खनालले २ विकेट लिए। कप्तान विपिन प्रसाद शर्माले १ विकेट लिए। यो पनि पढ्नुहोस नेपालले आज उज्बेकिस्तानसँग खेल्दै, इतिहास रच्ने अवसर"
पहिलो हाफमा नेपाल उज्बेकिस्तानसँग ३१ ले पछाडि,काठमाडौं : एएफसी एसियन कप छनोटअन्तर्गत समूह चरणको अन्तिम खेलको पहिलो हाफमा नेपाल उज्बेकिस्तानसँग ३१ ले पछि परेको छ। तासकेन्तस्थित बुनयोदकोर स्टेडियममा भएको खेलमा नेपालले पहिलो मिनेटमै गोल बेहोर्यो। उज्बेकिस्तानका लागि फिरुजाले बक्स बाहिरबाट दिएको पासलाई खबीबुल्लीभाले डिबक्सको बीचबाट गोल गरिन्। खेलको एघारौं मिनेटमा उज्बेकिस्तानकी कप्तान उदमिल्ला कराचिकले बायाँ तर्फबाट ल्याएको बल क्लियर गर्न खोज्दा नेपालकी डिफेन्डर समीक्षा घिमिरेको खुट्टामा लाग्दै गोल भएको हो। यससँगै खेलको सुरुवाती मिनेटमै नेपालले २ गोल खायो। नेपालले खेलको १६ औँ मिनेटमा काउन्टर अट्याक गरेको थियो। कप्तान सावित्रा भण्डारीको पासमा रश्मीकुमारी घिसिङले डिबक्सबाट हानेको प्रहार प्रहार गोलकिपरले सजिलै नियन्त्रणमा लिइन्। खेलको २४ औँ मिनेटमा नेपालकी कप्तान सावित्रा भण्डारीले गोल गर्दै नेपाललाई खेलमा फर्काइन्। डिफेन्डरलाई बिट गर्दै डिबक्स बाहिरबाट गरेको प्रहार उज्बेकिस्तानकी गोलकिपरले रोक्न सकिनन्। को ३८ औँ मिनेटमा सरस्वती हमालले डी बक्स भित्र फाउल गर्दा पेनाल्टी बेहोर्यो। सोही कुराको कम्प्लेन गर्दा नेपालका प्रशिक्षक प्याट्रिकले पहिलो कार्ड पनि खाए। खेलको ३९ औँ मिनेटमा पेनाल्टी मार्फत गोल गर्यो। उज्बेकिस्तानको लागि माफ्तुना सोइमोभाले पेनाल्टीमा गोल गरिन्। पहिलो हाफको थप गरिएको दोस्रो मिनेटमा नेपालले डिबक्स बाहिर फ्री किक पाएको थियो। सो फ्री किक कप्तान सावित्रा भण्डारीले सिधा गोलकिपरको हातमा दिइन्। पहिलो हाफको थप गरिएको अन्तिम मिनेटमा उज्बेकिस्तान १० खेलाडीमा सीमित भयो। उज्बेकिस्तानकी जर्सी नम्बर १९ की खेलाडी नोजीमाखोनले नेपालकी कप्तान सावित्रा भण्डारीलाई फाउन्ड गर्दा उनले दोहोरो पहिलो सहित रातो कार्ड खाँदै मैदानबाट बाहिरिएकी हुन्। नेपालले यो खेलमा उज्बेकिस्तानलाई पराजित गरेको खण्डमा आगामी वर्ष अस्ट्रेलियामा हुने एसियन कपमा स्थान बनाउनेछ।
प्रथम हक्की ५ ए साइड राष्ट्रिय महिला च्याम्पियनसिपको उपाधि त्रिभुवन आर्मीलाई,"भक्तपुर : मध्यपुर ठिमीमा सम्पन्न प्रथम हक्की ५ ए साइड राष्ट्रिय महिला च्याम्पियनसिपको उपाधि नेपाली सेनाको विभागीय टोली त्रिभुवन आर्मी क्लबले जितेको छ। शनिबार सम्पन्न च्याम्पियनसिपमा सेनाको त्रिभुवन आर्मी क्लबले सुदूरपश्चिम प्रदेशलाई २० गोलले पराजित गर्दै उपाधि जितेको हो। प्रथम हक्की ५ ए साइड राष्ट्रिय महिला च्याम्पियनसिप जितेको त्रिभुवन आर्मीले नगद ५० हजार रुपैयाँ प्राप्त गर्दा उपविजेता भएको सुदूरपश्चिम प्रदेशले २५ हजार रुपैयाँ प्राप्त गर्यो। च्याम्पियनसिपको उत्कृष्ट खेलाडी त्रिभुवन आर्मी क्लबकी सरस्वती तामाङ हुँदा उत्कृष्ट रक्षक सुदुरपश्चिमकी पूर्णिमा नेगी त्यसैगरी उत्कृष्ट गोल किपर त्रिभुवन आर्मीकी कुष्मा राना मगर हुँदा उच्च गोलकर्ता सुदुरपश्चिमकै आशिका एसके भइन भने च्याम्पियनसिपको उदयमान खेलाडीको उपाधि बागमतीकी सपना स्याङ्बोले जितेकी थिइन्। नेपाल हक्की संघले आयोजना गरेको ५ ए साइड हक्की च्याम्पियनसिपमा सुदुरपश्चिम प्रदेश, बागमती प्रदेश, कोसी प्रदेश, मधेस प्रदेश, गण्डकी प्रदेश र सेनाको त्रिभुवन आर्मी क्लब गरेर ६ टोलीको सहभागी रहेको थियो।"
नेपालले उचाल्यो एसीसी यू१६ इस्ट जोन कपको उपाधि,"काठमाडौं : एसीसी यू१६ इस्ट जोन कपको उपाधि नेपालले जितेको छ। सिङ्गापुरलाई २ विकेटले हराउँदै साविक विजेता नेपालले उपाधि रक्षा गरेको हो। मलेसियाको युकेएम वाइएसटी ओभलमा टस जितेर ब्याटिङ गरेको सिंगापुर ४०५ ओभरमा ११३ रन बनाउँदै अलाउट भएको थियो। सिंगापुरले दिएको ११४ रनको विजय लक्ष्य पछाएको नेपालले २९ ओभरमा ८ विकेट गुमाएर ११७ रन बनाउँदै पूरा गरेको हो। याे पनि नेपालले आज उज्बेकिस्तानसँग खेल्दै, इतिहास रच्ने अवसर नेपालका लागि जोई थापाले सर्वाधिक २४ रनमा अविजित रहे। उनले ५३ बलमा तीन चौका प्रहार गरे। उनीसँगै अभय यादव १२ बलमा १० रन बनाउँदै अविजित रहे। २९ औँ ओभरको अन्तिम बलमा अभय यादवले छक्का प्रहार गर्दै नेपालको जित सुनिश्चित गरेका हुन्। उनले जोई थापासँग नवौं विकेटको लागि २५ रनको अविजित साझेदारी गरे। ५८ मा ५ को स्थितिबाट जोई थापाले एक तर्फबाट इनिङ सम्हाल्दै नेपाललाई जिततर्फ लम्काएका थिए। एक तर्फबाट लगातार विकेट गइरहँदा जोईले क्रिज सम्हालेका थिए। नेपालका लागि ओपनरद्वय परिमार्जन यादव र प्रसिद्ध जैसीले क्रमश १३ र १७ रन बनाए। श्रीवांश बजगाईले २० रन बनाए। शुभम खनालले १८ रन बनाए। सिंगापुरका लागि बलिङतर्फ कपिस बेनकात्रामले सर्वाधिक ४ विकेट लिए। युवान पाण्डेले दुई विकेट लिँदा वेदांश गुप्ता र आकाश तेजाले ११ विकेट लिए। त्यसअघि, पहिलो इनिङमा ब्याटिङ गरेको सिंगापुरका लागि रोहन अस्टिन अरुणले सर्वाधिक २३ रन बनाए। उनले ८४ बल खेल्दै दुई चौका प्रहार गरे। कप्तान रियान नैकले १५ रन बनाए। अन्तिम विकेटका लागि क्रिजमा आएका वेदांश गुप्ता १२ रनमा अविजित रहे। आकाश तेजा १० रनमा अन्तिम विकेटको रूपमा खनालको बलमा बोल्ड भए। सिंगापुरका लागि अन्य कुनै पनि ब्याटरले दोहोरो अङ्कको रन बनाउन सकेनन्। १२ ओभर सकिँदा सिंगापुर ६ विकेटको क्षतिमा ५३ रन बनाएको सिङ्गापुरको अन्तिम विकेटका लागि २५ रनको साझेदारी नै सर्वाधिक साझेदारी रह्यो। ३४३ ओभरमा ९ विकेटको क्षतिमा सिङ्गापुरले १०० रन पूरा गर्यो। त्यसपछि अन्तिम विकेटका लागि आकाश तेजा र वेदांस गुप्ताले २५ रनको साझेदारी गर्दै सिङ्गापुरलाई १०० रनमाथिको लक्ष्य दिन सहयोग गरे। नेपालका लागि सुशील बहादुर रावल र अभय यादवले समान ३३ विकेट लिए । शुभम खनालले २ विकेट लिए। कप्तान विपिन प्रसाद शर्माले १ विकेट लिए।"
पावरप्लेमा नेपालको ४ विकेट पतन,काठमाडौं : एसीसी यू १६ इस्ट जोन कपको फाइनल खेलमा नेपालले पावर प्लेमा ४ विकेटको क्षतिमा ५८ रन बनाएको छ। सिङ्गापुरले दिएको ११४ रनको उपाधि लक्ष्य पछाएको नेपालले सुरुवाति ४ विकेट गुमाएको हो। पहिलो विकेटको रुपमा ओपनर परिमार्जन यादवलाई १३ रनमा गुमाएको नेपालले दोस्रो विकेट श्रीवान्स बजगाईको गुमायो। श्रीवान्सले १३ बलमा दुई चौका र एक छक्कासहित २० रन बनाए। तेस्रो विकेट रौनक श्रीवास्तवको गयो। उनी कपिसको बलमा एलबीडब्लु भए। चौथो विकेटको रूपमा पावर प्लेको अन्तिम बलमा प्रसिद्ध जैसिस स्लिपमा क्याच आउट भए। उनले २८ बलमा दुई चौकासहित १७ रन बनाए। सिंगापुरका लागि कपिस बेनकात्रामले ४ विकेट लिए।
"उज्बेकिस्तानसँग खेल्ने नेपाली टिममा एक खेलाडी परिवर्तन, प्रीतिको ठाउँमा पूजा","काठमाडौं : एएफसी एसियन कप छनोटको समूह एफको अन्तिम खेल उज्बेकिस्तानसँगको खेल खेल्ने प्लेइङ सेट सार्वजनिक भएको छ। कप्तान सावित्रा भण्डारीको कप्तानीमा टिम सार्वजनिक भएको हो। श्रीलंकासँग खेलेको नेपाली टिममा १ परिवर्तन गरिएको छ। मिडफिल्डर प्रीति राईको स्थानमा पूजा राना मगरले प्लेइङ ११ मा स्थान बनाएकी छन्। नेपालले पहिलो खेलमा लाओसलाई ९० ले पराजित गरेको थियो। दोस्रो खेलमा श्रीलंकालाई ८० ले पराजित गरेको थियो। नेपालले आजको खेलमा उज्बेकिस्तानलाई हराएमा आगामी वर्ष अस्ट्रेलियामा हुने एसियन कपमा स्थान बनाउनेछ। फिफा वरियतामा नेपाल १०० औँ स्थानमा रहेको छ भने उज्बेकिस्तान ५१ औं स्थानमा रहेको छ। हालसम्म यी टिमले तीनपटक एकअर्काको सामना गरिसकेका छन्। जसमा उज्बेकिस्तानले तिनै खेलमा जित दर्ता गरेको छ। उज्बेकिस्तानसँग खेल्ने नेपाली टिम: सावित्रा भण्डारी साम्बा (कप्तान), अन्जना राना मगर (गोलकिपर), गीता राना, निशा थोकर, समीक्षा घिमिरे, रेनुका नगरकोटी, पूजा राना, अनिता बस्नेत, सबिता राना मगर,सरस्वती हमाल र रश्मी कुमारी घिसिङ"
"यू१६ इस्ट जोन कप : प्रतियोगिताको सर्वोत्कृष्ट खेलाडी रौनक, उत्कृष्ट बलर विपिन",काठमाडौं : एसीसी यू१६ इस्ट जोन कपको व्यक्तिगत विधातर्फको सम्पूर्ण पुरस्कार विजेता टोली नेपालका खेलाडीले जितेका छन्। मलेसियाको युकेएम वाइएसटी ओभलमा आज भएको फाइनल खेलमा सिङ्गापुरलाई २ विकेटले हराउँदै साविक विजेता नेपालले उपाधि उचालेको हो। याे पनि नेपालले उचाल्यो एसीसी यू१६ इस्ट जोन कपको उपाधि फाइनल खेलको प्लेयर अफ दि अभय यादव भएका छन्। खेलको २९ औँ ओभरको अन्तिम बलमा अभयले छक्का प्रहार गर्दै नेपाललाई उपाधि दिलाएका हुन्। यस्तै अभयले नेपालका लागि ३ विकेट लिए। यस्तै प्रतियोगिताको सर्वोत्कृष्ट खेलाडी रौनक श्रीवास्तव घोषित भए। उनले प्रतियोगितामा एक शतक र एक अर्धशतकसहित २९६ रन बनाएका छन्। इन्डोनेसियासँगको खेलमा ८८ रन बनाएका उनले भुटानसँगको खेलमा १६८ रन बनाए। रौनकले बनाएको १६८ रन कुनैपनि नेपाली खेलाडीले बनाएको उच्च व्यक्तिगत स्कोर हो। प्रतियोगिताको सर्वोत्कृष्ट खेलाडी घोषित भएका रौनक उत्कृष्ट ब्याटर पनि घोषित भए। उत्कृष्ट बलर नेपालका कप्तान विपिन प्रसाद शर्मा घोषित भए। उनले प्रतियोगिताका ६ खेलमा कुल १७ विकेट लिए। नेपालका अन्य खेलाडीले पनि उत्कृष्ट प्रदर्शन गरेका थिए।
