शीर्षक,विवरण
नगरपालिकाको राहतमा कुहिएको चामल,"बाजुरा : बडिमालिका नगरपालिकामा खाद्य संस्थानबाट राहत वितरणका लागि लिएको चामल कुहिएको पाइएको छ। बडिमालिका नगरपालिका४ मा बाडेको चामल कुहिएको स्थानीय नरेन्द्र नाथले बताएका छन्। आफ्नो टोलमा आएको ६ कट्टा सबै चामल कुहिएको नाथले बताए छन्। वितरण गर्दा पुरै कट्टा मिलाएर बाँडेको थियो। घरमा ल्याएर खोलेर बाडौँ भन्दा त पुरै चामल कालो ढुसी परेर कुहिएको डल्ला परेको पाइएपछि नगरपालिकालाई फिर्ता लिन आग्रह गरेका छन्। कुहिएको चामल खान मिल्ने भन्दै फिर्ता गरिएको स्थानीयले बताएको छ। वडिमालिका नगरपालिका४ मा १ सय ७५ जनालाई चामल वितरण गरेको वडा अध्यक्ष सुरेन्द्र नाथले बताएका छन्। ३० परिवारलाई २० केजीका दरले र १ सय ४५ जनालाई १० केजीका दरले राहत वितरण गरेको नाथले बताए। वडा अध्यक्ष नाथले चामल सडीएको स्वीकार गरेका छन्। ओलेना टोलमा ३० केजीका ६ कट्टा चामल सडिएको पाइएकाले खाद्यसंस्थानलाई नै फिर्ता गर्न लागेको उनले बताए। वडाअध्यक्ष नाथले अरुलाई वितरण गरेको चामल ठिक भएको बताए पनि अन्य वितरण गरिएको चामल पनि खान नमिल्ने अवस्था रहेको स्थानीयले बताए। वडा नम्बर ४ मा ३० केजीका ७० बोरा चामल वितरण गरिएको थियो। चामल नगरपालिकाले खरिद गरेर वडालाई राहतका लागि दिएको थियो। नेपालखाद्य संस्थान बाजुरा शाखाका प्रमुख मेखराज ओझाले भने गएको वर्षको मौजात रहेको चामल हो, हामीले ३० केजीका बोरा बिझी गरेका हौँ, गोदाम वा ढुवानी गर्दा कुनै कट्टामा खराबी आएकाले यस्तो भएको हुन सक्ने बताए। आफूले बिक्री गर्दा नै त्यस्तो भेटिएमा फिर्ता गर्ने बताएको ओझाले बताए। ६ कट्टा चामल त्यस्तो भेटिएकोले फिर्ता आएको ओझाले बताए। बडिमालिका नगरपालिकाले १ सय ५० क्विन्टल बडिमालिका नगरपालिकामा राहतका लागि खाद्य संस्थानबाट खरिद गरेर वितरण गरिसकेको छ। नगर प्रमुख पदम बडुवाल भने संस्थानको चामल खरिद गरेर राहत वितरण गर्ने निर्णय अनुसार वितरण गरेको बताए। चामल कुहिएको विषयमा आफूलाई जानकारी नभएको उनको भनाइ छ। चालम त्यस्तो होला भन्ने जानकारी थिएन्, उनले भने, आज वडा नम्बर ४ मा वितरण गर्दा जनताबाट नै गुनासो आएपछि थाहा पाएँ। संस्थानको चामलमा कुनै कैफियत नहोला भनेर खरिद गरेको उनले थपे। त्यस्तो चामल फिर्ता गर्न लगाएको मेयर बडुवालको भनाइ छ। प्रमुख जिल्ला अधिकारी गंगाप्रसाद न्यौपाने भने यो बारेमा जानकारी नभएको खाद्य संस्थानलाई बुझने बताए।"
५३ जनामा कोरोनाको औषधी परिक्षणमा देखियो सकारात्मक परिणाम,कोरोना भाइरस सङ्क्रमणपछि हुने कोभिड१९ का बिरामीहरूमा गरिएको एउटा औषधीको प्रारम्भिक परीक्षणले 'उत्साहजनक' नतिजा देखाएको विवरण सार्वजनिक गरिएको छ। अमेरिकी औषधी निर्माता कम्पनी गिलियड साइन्सेसका अनुसार ५३ जना कोभिड१९ का बिरामीमा गरिएको औषधीको परीक्षणले सकारात्मक परिणाम दिएको हो। उनीहरूलाई भाइरसविरुद्ध प्रयोग गर्ने गरिएको रेम्डेसिभिर नामक औषधी दिइएको थियो। उनीहरूमध्ये दुई तिहाइलाई रेम्डेसिभिरले फाइदा गरेको बताइएको छ। परीक्षणमा सहभागी ३० जना बिरामी मध्ये १७ जनालाई त्यो औषधी दिइएपछि उनीहरूको अवस्थामा सुधार भएको थियो र उनीहरूलाई सास फेर्न सहज बनाउने भेन्टिलेटरबाट निकालिएको थियो। त्यो अध्ययनमा सहभागी वैज्ञानिकहरूले परीक्षणको परिणामलाई सुखद र आशायुक्त भनेका छन्। तर उनीहरूले थप अध्ययन र तथ्याङ्क उपलब्ध भएपछि मात्र सही निष्कर्षमा पुग्न सकिने बताएका छन्। रेम्डेसिभिर औषधीको बृहत्तर परीक्षणको परिणाम आउने केही सातामा आउन लागेको छ। यसअघि रेम्डेसिभिर औषधीको अर्को परीक्षण यूकेको इङ्गल्यान्ड र स्कटल्यान्डमा सुरु गर्न लागिएका विवरण सार्वजनिक भएका थिए। सरकारले अनुमति दिएपछि त्यहाँका १५ वटा स्वास्थ्य संस्थामा त्यसको परीक्षण थाल्न लागिएको घोषणा दुई साता अघि भएको थियो। गिलियडले यूकेमा कोभिड१९ का सामान्य लक्षण भएका बिरामीमा त्यसको परीक्षण गर्न लागेको हो। त्यसको नेतृत्व सङ्क्रामक रोगका परामर्शदाता डाक्टर एन्ड्रु युस्टियानोस्कीले गर्न लागेका छन्। त्यो औषधीको चीनमा पनि परीक्षण जारी रहेको बताइएको छ।
गर्मीयाममा फेरि रोग फैलिँदै छ ? रोकथाममा तयारी रहन विज्ञको सुझाव,"काठमाडौं : विश्वभर महामारीका रुपमा फैलिएको कोरोना भाइरसको रोकथाम र नियन्त्रणसँगै नेपालले गर्मी याममा वर्षेनी फैलिने रोगको रोकथाम र नियन्त्रणमा पनि उत्तिकै तयारी गर्नुपर्ने विज्ञले सुझाव दिएका छन्। नेपालमा पनि कोरोना भाइरसको सङ्क्रमण देखिएको सन्दर्भमा खानेपानी तथा सरसफाइको क्षेत्रले गर्नुपर्ने कामका सम्बन्धमा स्मार्ट वास सोलुसन्स प्रालिले सरोकारवाला विज्ञसँग शनिरबार भिडियो कन्फरेन्स गरेको थियो। भिडियो कन्फरेन्समा सहभागी विज्ञले कोरोना भाइरसको सङ्क्रमणबाट बच्नका लागि सामाजिक दूरीसँगै हात धुने काम पनि उत्तिकै महत्वपूर्ण भएको र यसका लागि पर्याप्त सुरक्षित पानीको उपलब्धता सुनिश्चित हुनुपर्नेमा जोड दिएका थिए। सहभागी नेपाल सरकारका पूर्वसचिव इञ्जिनीयर सुमन शर्माले विश्वमा महमारीका रुपमा फैलिरहेको कोरोना भाइरसको रोकथाम र उपचारका लागि युद्धस्तरमा लाग्नुपर्ने बताउँदै गर्मी याममा हरेक वर्ष देखिने विभिन्न सङ्क्रात्मक रोगको नियन्त्रण र उपचारमा पनि उत्तिकै तयारी गर्न सुझाव दिए। काठमाडौँ विश्वविद्यालयका प्राध्यापक सुवोध शर्माले हाल बनाइका क्वारेन्टाइनमा बस्नेहरुका लागि आधारभूत पूर्वाधार र सुविधा नदेखिएको भन्दै सफा शौचालय, साबुन, पर्याप्त गुणस्तरीय खानेपानी उपलब्ध गराउनुपर्ने बताए। साथै उनले बजारमा गुणस्तर नभएका स्यानिटाइजर पनि देखिएकाले यसबारेमा अनुगमन गर्नुपर्ने सुझाव दिए। खानेपानी तथा ढल निकास विभागका महानिर्देशक सुनिलकुमार दासले कोरोना भाइरसलाई साबुन वा स्यानिटाइजरले हात धोएर निस्क्रिय पार्न सकिने भएकाले यसको नियन्त्रणमा खानेपानी र सरसफाइका क्षेत्रमा कार्यरत जनशक्तिको पनि महत्वपूर्ण भूमिका देखिएको बताए। उनले आम जनतालाई गुणस्तरीय पानी उपलब्ध गराउन काठमाडौँ उपत्यका खानेपानी लिमिटेड, खानेपानी व्यवस्थापन बोर्ड, खानेपानी तथा ढल निकास विभागले आयोजना हस्तान्तरण गरेका उपभोक्ता समितिको महत्वपूर्ण भूमिका रहेको बताए। स्मार्ट वास सोलुसन्स प्रालिका अध्यक्ष रामदीप साहले स्वास्थ्य र सरसफाइका लागि स्वच्छ र सुरक्षित पानी आवश्यक भएको बताउदै खानेपानी आपूर्तिका लागि धारा काटिएको भए जोड्न पर्ने, विपन्न परिवारका लागि पर्याप्त पानी आउने सार्वजनिक धाराको बन्दोबस्त हुनुपर्ने, पानीको महसुल घटाउनुपर्नेलगायत सुझाव दिनुभयो। वाटर एडका अनिल थमनले कोरोना भाइरसको सङ्क्रमणबाट बच्नका लागि सामाजिक दूरी कायम गर्नुपर्ने भएकाले आफूहरुले स्वचालित हात धुने केन्द्र सञ्चालनमा ल्याउन लागेको जानकारी दिए। पूर्वमन्त्री दीपक ज्ञवालीले मानिसको जीवनसँग प्रत्यक्ष जोडिएको खानेपानीको उपलब्धता र आपूर्तिका सम्बन्धमा नीति निर्माता र सरोकारवालाका बीचमा सार्वजनिक बहस गर्ने मञ्चको अभाव खड्किएको बताए। अर्का पूर्वमन्त्री इञ्जिनीयर गणेश साहले सञ्चालन गरेको सो कार्यक्रममा खानेपानी तथा सरसफाइको क्षेत्रका प्राध्यापक, अनुसन्धान कर्ता र नीति निर्माता, सञ्चारकर्मी, सरकारी तथा गैरसरकारी क्षेत्रमा कार्यरत व्यक्तिहरुको सहभागिता थियो।"
सात तस्बिरमा लकडाउनको १९ औं दिन,काठमाडौं : विश्वव्यापी महामारीको रुपमा फैलिएको कोरोना भाइरस (कोभिड१९)को नियन्त्रण र रोकथामका लागि सरकारले देशभर लकडाउन गरेको शनिबार १९ दिन पुगेको छ। चैत ११ गतेदेखि सुरु भएको लकडाउन सरकारले पटकपटक गरेर वैशाख ३ गतेसम्म पुर्याएको छ। सरकारले लकडाउनमा खाद्यान्न र अन्त्यावश्यक सामग्री सहज आपूर्ति भइरहेको बताए पनि मजदुर र विपन्न परिवारको विचल्ली भएको छ। शनिबार ललितपुरका विभिन्न स्थानमा पुगेर अन्नपूर्णकी फोटो पत्रकार सुनिता डंगोलले लकडाउनको १९ औं दिनका प्रतिनिधि तस्बिर कैद गरेकी छन् : सुनसान एकान्तकुनासातदोबाटो सडकखण्ड। शनिबार साँझ लगनखेल तरकारी बजारमा देखिएको चहलपहल। लकडाउनको समयमा बिना सवारी पास बाहिर निस्किएको परिवारलाई एकान्तकुनामा कारबाही गर्दै ट्राफिक प्रहरी। लकडाउनमा किसान खेतमा नगएपछि खाली देखिएको खोकोनाको कृषि क्षेत्र।
बंगलादेश संस्थापक नेताको हत्यामा संलग्न सैनिकलाई २५ वर्षपछि फाँसी,ढाका : बंगलादेशका संस्थापक नेता शेख मुजिबुर रहमानको हत्याको अभियोगमा एक सैनिक कप्तानलाई मृत्युदण्ड दिइएको छ । रहमान वर्तमान प्रधानमन्त्री शेख हसिनाका बाबु हुन् । पाकिस्तानबाट बंगलादेश अलग्याएको झण्डै ४ वर्षपछि १९७५ को अगस्ट १५ मा परिवारका अधिकांश सदस्य सहित सैनिक कु गरी उनको हत्या भएको थियो । उक्त हत्यामा संलग्न पूर्वकप्तान अब्दुल मजेदलाई यही आइतबार मृत्युदण्ड दिइएको हो । १९९८ मा नै उनलाई अन्य एक दर्जन सैनिक अधिकृतहरुसँगै मृत्युदण्ड सुनाइएको थियो । तर बंगलादेशको सर्वोच्च अदालतले २००९ मा हत्यामा संलग्नमध्ये पाँचजनालाई केही महिनापछि मृत्युदण्डको आदेश दिएको थियो । गत मंगलबार बिहान प्रहरी अधिकृतहरुले मजेदलाई एउटा रिक्सामा चढेको अवस्थामा पक्राउ गरेका हुन् । राष्ट्रपतिले मजेदको याचिका अस्वीकार गरेपछि उनलाई मृत्युदण्ड दिइएको हो । मजेदलाई पक्राउ परेको एक सातामै फाँसीको सजाय दिइएको हो । कानुनमन्त्री अनिसुल हकका अनुसार मजेदलाई आइतबार स्थानीय समय अनुसार १२ बजे फाँसी दिइएको हो । ढाका बाहिर देशकै ठूलो कारागारमा उनलाई फाँसी दिइएको थियो । मजेद १९९६ मा भागेर भारत समेत पुगेको बताइन्छ । गत महिना मात्रै उनी बंगलादेश पुगेका थिए । साथै उनकी पत्नीले शनिबार साँझ फाँसीको तालिका तय भएपछि मात्रै अन्तिम पटक उनलाई भेट्न पाइन् । केरानीगन्ज सहरमा उनको फाँसीको समयमा सुरक्षा व्यवस्था अति कडा पारिएको थियो । गृहमन्त्रीले यही साता भिडिओ सन्देशमा मजेदको पक्राउ शताब्दीकै सर्वश्रेष्ठ उपहार भएको प्रतिक्रिया दिएका थिए । तत्कालिन सैनिक सरकारले भने विभिन्न हत्यामा संलग्नहरुलाई पुरस्कृ ितगर्दै कुटनीतिक पदको जिम्मा दिनुका साथै राजनीतिक दल गठन गर्ने अनुमति समेत दिएको थियो । मजेदको फाँसीबारे केही कानुन व्यवसायीले भने २१ व्र्षपछि क्षतिपुर्ति कानुन निस्क्रिय हुने तर्क गर्दैआएका छन् ।
क्वारेन्टाइनमा बसेकालाई उपहारसहित बिदाइ,"बागलुङ : संक्रमितसँगैका भीडमा भारतको गौरीफन्टा नाका हुँदै नेपाल आएका जिल्लाका चार जनालाई क्वारेन्टाइनबाट उपहारसहित बिदाइ गरिएको छ । जिल्लाको बरेङ गाउँपालिका वडा नम्बर४ स्थित सर्वोदय माविको क्वारेन्टाइनमा रहेका चार जनालाई जनही एक केजी मह र प्रशंसा पत्रसहित बिदाइ गरिएको गाउँपालिकाले जनाएको छ । भारतमा लामो समयदेखि मजदुरी गर्दै आएका उनीहरू गत चैत्र ८ गते गौरीफन्टा सीमा हुँदै आएका थिए । दुई दिन सीमामा अलपत्र परेर ठूलो संर्घषकाा बीच पाल्पा आउँदा सोही स्थानकै क्वारेन्टाइनमा राखिएको थियो । पछि उनीहरूकै आग्रहमा बरेङ गाउँपालिकाले चैत्र १६ गते आफ्नै पालिकामा ल्याएर सर्वोदय माविको क्वारेन्टाइनमा राखेको थियो । क्वारेन्टाइनमा रहेका भारतबाट आएका चार जनाको कोरोना परीक्षणका क्रममा कोरोना संक्रमण नभएको रिपोर्ट आएपछि अर्गानिक मह, सर्जिकल मास्क र प्रशंसापत्रसहित बिदाइ गरिएको गाउँपालिका अध्यक्ष कृष्णप्रसाद शर्माले जानकारी दिए । उनीहरुलाई बिदाइ गरिए पनि अझ २१ दिन होम क्वारेन्टाइनमा बस्न आग्रह गरिएको अध्यक्ष शर्माले बताए । १४ दिनसम्म क्वारेन्टाइनमा राखेर तीन दिनअघि घर पठाउने तयारी थियो, शर्माले भने, पठाउने भनिएकै दिन भारतबाट एकै भीडमा आएका कैलालीका युवामा संक्रमण देखिएपछि हामीले फेरि बस्न भन्यौं, अहिले परीक्षण रिपोर्ट नेगेटिभ आएपछि थप सचेतता अपनाउन आग्रह सहित घर पठाएका छौँ ।बरेङ गाउँपालिकाको नयाँ बजार स्थित क्वारेन्टाइनमा भारतबाटै आएका अन्य चार जना छन् । उनीहरूमध्ये तीन जनाको रिपोर्ट नेगेटिभ आएको र एक जनाको रिपोर्ट आउन बाँकी रहेकाले सबैलाई क्वारेन्टाइनमै राखिएको छ । बरेङका ८ जना र संक्रमित युवतीको तेस्रो र महिलाको दोस्रो स्वाब गरी १० जनाको स्वाव बुधवार पोखरा पठाए पनि अरु दुई जनाको रिपोर्ट आउन बाँकी रहेको स्वास्थ्य कार्यालयका प्रमुख सुरज गुरौंले जानकारी दिए ।"
एउटा उदासीन समयको पोट्रेट,"हत्याको कुनै दृश्य सिनेमाको छायांकन जस्तो हुन जान्छ क्षतविक्षत शरीर माछाका भुराभुरीझैँ छरपस्टिन्छन् सुकेको रगत भुइँमा कालो रङ पोखिएको जस्तै रगत लत्पतिएको लुगा बेहुलीको रातो सारी लाग्छ लास चाहिँ ढालिएको रुखको मुढो दुरुस्तै खिन्न बनाउँदैन यस्ता घटनाहरूले यीयस्ता समाचारले डर लगाउँदैन अचेल। यो नौलो सहरमा आएर लुटिएको मान्छे कुनै नाटकको जोकरझैँ देखिन्छ धेरै दिनदेखि खानाको स्वाद नभेटेको पेट खोक्रो र अँध्यारो ओडार बन्छ उसको थकित र पीडित शरीर बारीको डिलको बुख्याँचा जस्तै उभिन्छ शिरमा मैलो टोपी झुप्रोको चुहिने छानो जस्तो छ अनुहारमा फुङ्ग मरुभूमि फैलिएको नियास्रा आँखाहरू केही आशमा उघ्रिँदाखेरि लाग्छ नाटक क्लाइमेक्समा पुगेको। मानिसको घुइँचोमाझ गल्लीमा ल्याम्पपोस्टमुन्तिर त्यो पागलले अभिशप्त जीवनको परिचय दिइरहन्छ उसको असहाय नजरले घोच्दैन उसको हाउभाउले केही अचम्म पार्दैन ऊ सरकारलाई गाली गर्छ कि सुनाउँछ आफ्नो दुःख नेताको चरित्र बताउँछ कि देशको बेथिति म केही बुझ्दिनँ, र ध्यान गर्दिनँ ऊ एउटा अपरिचित आकृति हो त्यो भन्दा धेरै केही होइन मेरा लागि। साहूको भारी बोकेर चोकमा आइपुगेको भरियाले मेरो ध्यान तान्दैन ऊ भरिया हो कि घाँस चर्दै आइपुगेको गोरु उसको निधारबाट बगेको पसिना हिमाली खोला हो कि गन्हाउने सहरी नाला त्यो पसिना पुछ्ने रुमाल बासी रोटी कि उसको प्रेयसीको माया आँखाहरू सडकमाथिका खाल्डा कि एउटा बूढो ल्याम्पपोस्टको फ्युज्ड चिम उसको च्यातिएको कमिजको दूलोभित्र एउटा ब्रह्माण्ड फैलिएको छ दुःख र आँसुको। आकासेपुलमाथि उभिएकी तरुणी सेक्सडल झैँ प्रकट हुन्छिन् मलाई थाह छैन उसको बुआको दीर्घरोग रतन्धोले अन्धकार उसको आमाको संसार उसको बेरोजगार दाइलाई पोल्ने अभावको आगो भाउज्यूका ती रङहीन सपनाहरू थाह छैन उसले टक्र्याउने लाचारी कि अस्मिता त्यो अनुहारको विवशताले छुँदैन मलाई यस्तो लाग्छ कि उनी मनोरञ्जनको एउटा साधन। काममा तल्लीन त्यो फुच्चे फ्याक्ट्रीबाट मिल्काइएको कमसल सामान कि हाँगाबाट झरी गएको एउटा कलिलो फूल कुनै सुक्खाग्रस्त गाउँको कुवा, कि देउरालीमा चढाई छोडेको अक्षता र प्रसाद ऊ खबरको एउटा पत्रिकाझैँ लाग्छ मलाई फोहोर उठाउने सुलभ मेसिन, या गाडीहरू सफा गर्ने लुगाको टालो जस्तो उसको धराप वर्तमान, र धर्मराइरहेको भविष्यले खल्बलिन्नँ म। सडकछेउमा नाङ्लो पसले बुढियाले मेरो ध्यान आकर्षित गर्दैन उनी सलाई बेच्छिन् कि बन्दुक चुरोट बेच्छिन् कि मृत्युको जडीबुटी छुर्पी बेच्छिन् कि रबरको गोली मेरा लागि केही अर्थ राख्दैन यी सबले मेरा दिनहरू कुनै कम्प्युटरझैँ सुरु हुन्छन् मुटुभित्र घडीको टिकटिक चल्छ रगतमा स्वार्थका कीटाणु सलबलाउँछन् अक्सिजन किनेर बाँच्ने युगमा पराई दुःखव्यथा र पीडाले छुँदैन मलाई। यो एउटा उदासीन समय हो सुकाउनलाई झुन्ड्याइएको गिलो लुगा झैँ कुनबेला जीवनको हावाहुरीले उडाएर मिल्काउनेछ कतै कुनातिर।"
१४ दिन क्वारेन्टाइनमा बसेर घर फर्किए ७५ जना,"डोल्पा : डोल्पामा क्वारेन्टाइनमा बसेका ७५ जना घर फर्केका छन्। कोरोना भाइरस (कोभिट१९) नेपालगञ्जबाट जिल्ला आएका ७५ जना १४ दिनपछि घर फर्किएका हुन्। सरकारले गरेको लकडाउन पछि नेपालगञ्ज हुँदै डोल्पा पुगेका कुल १३४ जना मध्य शनिबार ७५ जना १४ दिनपछि घर फर्किएको प्रमुख जिल्ला अधिकारी सुरेश सुनारले जानकारी दिए। प्रमुख जिल्ला अधिकारी सुनारका अनुसार सरस्वती माध्यामिक विद्यालयका ३२ जना, आर्दश माध्यामिक विद्यालयका १७ जना, गौरी आधारभुत विद्यालयका १० जना, विद्यामन्दीर माध्यामिक विद्यालयका १६ जना गरि ७५ जना घर फकिएको बताए। उनीहरुमा कोरोनाको कुनै पनि लक्ष्यणहरु नदेखिएकोले नियमानुसार चेकजाँचपछि १५ औँ दिनमा घर पठाइएको ठुलीभेरी नगरपालिका स्वास्थ्य संयोजक ताराकुमारी महताराले जानकारी दिइन। बाँकी जिल्लाका बिभिन्न स्थानीयतहमा क्वारेन्टाइनमा रहेकालाई पनि चेकजाँच पश्चात १५ दिनमा घर फर्काउने तयारी रहेको प्रमुख जिल्ला अधिकारीले जानकारी दिए। जिल्लामा अहिलेसम्म १० बेडको आइसोलेसन कक्ष र एक सय बढिलाई क्वारेन्टाइनमा राखिएको थियो।"
कोरोना भाइरस विरुद्धको औषधी परीक्षणको परिणाम उत्साहजनक,कोरोना भाइरस सङ्क्रमणका बिरामीहरूमा गरिएको एउटा औषधीको प्रारम्भिक परीक्षणले उत्साहजनक नतिजा देखाएको विवरण सार्वजनिक गरिएको छ । अमेरिकी औषधी निर्माता कम्पनी गिलियड साइन्सेसकाअनुसार ५३ जना कोभिड१९ का बिरामीमा गरिएको औषधीको परीक्षणले सकारात्मक परिणाम दिएको हो। उनीहरूलाई भाइरसविरुद्ध प्रयोग गर्ने गरिएको रेम्डेसिभिर नामक औषधी दिइएको थियो। उनीहरूमध्ये दुई तिहाइलाई रेम्डेसिभिरले फाइदा गरेको बताइएको छ। परीक्षणमा सहभागी ३० जना बिरामी मध्ये १७ जनालाई त्यो औषधी दिइएपछि उनीहरूको अवस्थामा सुधार भएको थियो र उनीहरूलाई सास फेर्न सहज बनाउने भेन्टिलेटरबाट निकालिएको थियो। त्यो अध्ययनमा सहभागी वैज्ञानिकहरूले परीक्षणको परिणामलाई सुखद र आशायुक्त भनेका छन्। तर उनीहरूले थप अध्ययन र तथ्याङ्क उपलब्ध भएपछि मात्र सही निष्कर्षमा पुग्न सकिने बताएका छन्। रेम्डेसिभिर औषधीको बृहत्तर परीक्षणको परिणामे केही सातामा आउने छ । यसअघि रेम्डेसिभिर औषधीको अर्को परीक्षण यूकेको इङ्गल्यान्ड र स्कटल्यान्डमा सुरु गर्न लागिएका विवरण सार्वजनिक भएका थिए। सरकारले अनुमति दिएपछि त्यहाँका १५ वटा स्वास्थ्य संस्थामा त्यसको परीक्षण थाल्न लागिएको घोषणा दुई साता अघि भएको थियो। गिलियडले यूकेमा कोभिड(१९ का सामान्य लक्षण भएका बिरामीमा त्यसको परीक्षण गर्न लागेको हो। त्यसको नेतृत्व सङ्क्रामक रोगका परामर्शदाता डाक्टर एन्ड्रु युस्टियानोस्कीले गर्न लागेका छन्। त्यो औषधीको चीनमा पनि परीक्षण जारी रहेको बताइएको छ। बीबीसी
दार्चुलामा ५१० जनाको स्वाब संकलन,"दार्चुला : विभिन्न जिल्लाका स्थानीय तहका क्वारेन्टाइन र होम क्वारेन्टाइनमा बसेकाहरुको स्वाब संकलनका लागि शनिबार जिल्लाका विभिन्न ६ स्थानमा हेलिकप्टरबाट स्वास्थ्यकर्मीको टोली दार्चुला पुगेको छ। संघीय सरकारको कार्यक्रम अनुसार मार्माको लटिनाथ, नौगाड, गोकुलेश्वर, दुहूँ र खलंगामा स्वाब संकलन गरिएको स्वास्थ्य कार्यालय दार्चुलाका जनस्वास्थ्य अधिकृत जयराज भट्टले बताए। उनका अनुसार जिल्लाभरीमा ५ सय १० जनाको स्वाब संकलन गरिएको छ। मार्मा गाउँपालिकाको लटिनाथ गाउँपालिका र अपिहिमाल गाउँपालिकाका गरि १ सय ४० जना, नौगाड गाउँपालिकामा ४५ जना, दुहूँ गाउँपालिकामा दुहूँ र व्याँस गाउँपालिका ८१ जनाको स्वाब संकलन गरिने छ। गोकुलेश्वरमा शैल्यशिखर नगरपालिका, मालिकार्जुन गाउँपालिका र लेकम गाउँपालिकाको गरि १ सय ५ जना र महाकाली नगरपालिकाको खलंगामा १ सय ४० जनाको स्वाब संकलन गर्ने लक्ष्य लिइएको जनस्वास्थ्य अधिकृत भट्टको भनाई छ।"
