शीर्षक,विवरण
"धरानमा ५ हजार लिएर यौन व्यवसाय सञ्चालन, होटल सञ्चालकसहित ३ पक्राउ",धरान : सुनसरीको धरानमा रातको ५ हजार असुल गरी यौन व्यवसाय सञ्चालन हुने गरेको पाइएको छ। मंगलबार होटलमा युवती राखेर यौन व्यवसाय सञ्चालन गरेको अभियोगमा प्रहरीले होटल सञ्चालकसहित एक पुरुष र एक महिलालाई पक्राउ गरेको छ। धरान उपमहानगरपालिका८ मा सञ्चालनमा रहेको सिटी होटलमा छापा मारी प्रहरीले उनीहरूलाई पक्राउ गरेको हो। पक्राउ पर्नेमा सिटी होटल सञ्चालक पेमा ल्हामु शेर्पा र यौन क्रियाकलापमा संलग्न एक पुरुष र महिलालाई पक्राउ गरिएको जिल्ला प्रहरी कार्यालय सुनसरीका प्रवक्ता डीएसपी नविनकृष्ण भण्डारीले बताए। उनले पक्राउ परेका पुरुष र महिलाको विषयमा अनुसन्धान भइरहेकाले नाम सार्वजनिक गर्न नमिल्ने बताए। समाचार स्रोतका अनुसार पक्राउ परेका युवायुवती धनकुटाका हुन्। होटल सञ्चालक शेर्पाले होटलमा आउने पुरुष ग्राहकलाई रकम लिएर युवतीलाई यौन व्यवसायमा लगाउने गरेको प्रहरीले बताएको छ। पक्राउ परेकी युवतीले होटलमा आउने ग्राहकहरूसँग रातको ५ हजार रुपैयाँ लिएर यौन व्यवसायमा लागेको प्रहरीलाई बताएकी छन्। होटलमा बसेबापतको भाडा होटल सञ्चालकले १५ सय लिने गरेको र ५ हजार रकममध्ये एक हजार सञ्चालकलाई कमिसन दिने गरेको ती युवतीको भनाइ छ। इलाका प्रहरी कार्यालय धरानमा हालसालै सरुवा भएर आएका डीएसपी प्रकाश जबेगुले धरानमा अवैध यौन व्यवसायलाई बन्द गराउन गलत क्रियाकलाप हुने होटलमा छापा मारिएको बताए। उनले होटलमा आधा दर्जनभन्दा बढी युवती राखेर यौन व्यवसाय सञ्चालन हुने गरेको गुनासोका कारण होटलमा छापा मारिएको बताए।
श्रीलंकन एयरलाइन्सले पायो साटाको गोल्ड अवार्ड,"काठमाडौं : श्रीलंकन एयरलाइन्सले साटा २०२४ मा दक्षिण एसियाको अग्रणी अन्तर्राष्ट्रिय एयरलाइन्स भिजिटर्स च्वाइस अवार्डअन्तर्गत गोल्ड अवार्ड जितेको छ। यस वर्षको कार्यक्रममा ५१ स्वर्ण र ९३ रजत विधामा विजेताको नाम घोषणा गरिएको थियो। साटाको आठौं संस्करणमा श्रीलंकन एयरलाइन्सले भिजिटर्स च्वाइस अवार्डदक्षिण एसियाको अग्रणी अन्तर्राष्ट्रिय एयरलाइन्सको विधाअन्तर्गत गोल्ड अवार्ड जितेको हो। नेपालको कन्ट्री म्यानेजर निलिना पाथिरानाले काठमाडौंमा आयोजित गाला एण्ड अवार्ड समारोहमा उक्त अवार्ड ग्रहण गरेका थिए। साउथ एसियन ट्राभल अवार्ड्स (साटा) ले सन् २०१६ देखि दक्षिण एसियाका उत्कृष्ट हस्पिटालिटी र ट्राभल उद्योगलाई मान्यता दिँदै आएको छ। यसको मुख्य आयोजकहरु माल्दिभ्सबाट रहेका छन्। साटा अवार्डमा पर्यटन उद्योगका प्रमुख संस्थाहरु होटल, रिसोर्ट, एयरलाइन्स, लाउन्ज, ट्राभल एजेन्टहरू र क्रुज लाइनहरू सहित विभिन्न क्षेत्रहरूको प्रतिनिधित्व रहने गरेको छ। साटालाई १८ भन्दा बढी क्षेत्रीय पर्यटन संगठन र निकायहरूद्वारा अनुमोदन गरिएको छ, जसले यात्रा क्षेत्रमा यसको विश्वसनीयता र महत्वलाइ दर्शाउँछ। यस संस्करणको लागि ४०० भन्दा बढी संस्थाहरु प्रतिस्पर्धीको रुपमा सहभागि थिए। कार्यक्रममा संस्कृति, पर्यटन तथा नागरिक उड्डयनमन्त्री बद्रीप्रसाद पाण्डे र नेपाल पर्यटन बोर्डका प्रमुख कार्यकारी अधिकृत दीपक जोशीको उपस्थिति थियो। साटा अवार्डले आतिथ्य क्षेत्रभित्र उत्कृष्ट सेवा र नवीनतालाई मान्यता दिनुका साथै उद्योगका सरोकारवालाहरूबीच स्वस्थ प्रतिस्पर्धा र सहकार्यको भावनालाई बढावा दिन्छ।"
संघीयता आएपछि जनताले आफ्नै गाउँठाउँमा स्वास्थ्य र शिक्षा पाएका छन् : देउवा,"वीरगन्ज : नेपाली कांग्रेसले मुलुक संघीय व्यस्थामा गएपछि यता स्वास्थ र शिक्षामा नागरिकको सहज पहुँच पुगेको बताएका छन्। मंगलबार पर्साको पटेर्वा सुगौली४ मा नवनिर्मित आधारभूत अस्पतालको उद्घाटन कार्यक्रममा बोल्दै पूर्वप्रधानमन्त्री देउवाले मुलुक संघीय संरचनामा गएपछि जनताले आफ्नै गाउँठाउँमा स्वास्थ र शिक्षाको सुविधा पाउन थालेको बताए। उनले शिक्षा र स्वास्थ्य अति आवश्यक कुरा भएको बताए। पछिल्लो समय स्वास्थ्य र शिक्षामा नेपाल आत्मनिर्भर बन्ने अभियानमा अगाडि बढिरहेको भन्दै देउवाले भने, 'सरकारले पनि यी दुवै क्षेत्रलाई प्राथमिकतामा राखेर काम गरिरहेको छ।' पटेर्वा सुगौली गाँउपालिकाका अध्यक्ष दिनेश चौधरीको अध्यक्षता तथा पूर्वप्रधानमन्त्री देउवाको प्रमुख आतिथ्यतामा भएको उद्घाटन कार्यक्रममा संघीय सरकारका कानुनमन्त्री अजय चौरसिया, पूर्व उद्योगमन्त्री रमेश रिजाल, मधेस प्रदेशका कृषिमन्त्री जनार्दन सिंह क्षेत्री, कांग्रेस केन्द्रीय सदस्य अनिल रुंगटा, पूर्व केन्द्रीय सदस्य सुरेन्द्र चौधरी, प्रदेशसभा सदस्य श्याम पटेल, वीरगन्ज महानगरका उपमेयर इम्तियाज आलम लगायतको पनि सहभागता थियो।"
अस्पताललाई उपकरण हस्तान्तरण,"नुवाकोट : त्रिशूली अस्पताललाई विभिन्न उपकरण हस्तान्तरण गरिएको छ। विदुर कर परामर्श सेवाले १३ औं वार्षिकोत्सवको अवसरमा अस्पताललाई उपकरण प्रदान गरेको हो। विदुर नगरपालिका४ विदुरमा मुख्य कार्यालय रहेर नुवाकोट, रसुवा र धादिङमा कर सम्बन्धी विविध सेवा सुविधा दिँदै आइरहेको विदुर कर परामर्श सेवाले आफ्नो १३ औं वार्षिकोत्सवका अवसरमा त्रिशूली अस्पताल पुगेर एक थान ह्विल चेयर, दुई थान मेडिसिन ट्रली हस्तान्तरण गरेको हो। केन्द्रका प्रबन्ध निर्देशक दिनेशकुमार श्रेष्ठले अस्पतालका निर्देशक डा राजेन्द्र लामालाई उपकरण हस्तान्तरण गरे। विदुर कर परामर्श केन्द्रको वार्षिकोत्सवको अवसरमा त्रिशूली अस्पताललाई उपलब्ध गराइएको ह्विलचियर र ड्रेसिङ ट्रलीबाट उपचारमा सहज भएको डा लामाले बताए। केन्द्रको वार्षिकोत्सवमा विदुर नगरपालिकाका मेयर राजन श्रेष्ठ, नुवाकोट उद्योग वाणिज्य संघका अध्यक्ष राजेन्द्र श्रेष्ठ लगायतले राज्यलाई कर तिर्नु सबैको कर्तव्य भएको बताउँदै करको दायरा बढाउनुपर्ने जनाए।"
"४१ एसपीको सरुवा, १५ जिल्लाका प्रहरी प्रमुख फेरिए (सूचीसहित)","काठमाडौं : नेपाल प्रहरीका ४१ जना प्रहरी उपरीक्षक (एसपी)हरूको सरुवा भएको छ। नेपाल प्रहरी प्रधान कार्यालयले मंगलबार उनीहरूको सरुवा गरेको हो। प्रहरी महानिरीक्षकको निर्णयअनुसार दाङ, बर्दिया, सिन्धुली, सप्तरी, कपिलवस्तु, इलाम, डोटी, मकवानपुर, तनहुँ, पूर्व नवलपरासी, सिरहा, कास्की, धनकुटा, सुनसरी र उदयपुरको प्रहरी प्रमुखसमेत फेरिएका छन्। हेर्नुस् सूची :"
पारस बने दिपल इभीका ब्रान्ड एम्बेसेडर,"काठमाडौं : चांगान नेपालले नेपाली क्रिकेटका परिचित व्यक्तित्व तथा पूर्व कप्तान पारस खड्कालाई दिपल इभीको आधिकारिक ब्रान्ड एम्बेसेडर घोषणा गरेको छ। काठमाडौंको मेरियट होटेलमा आयोजित विशेष समारोहमा नेपाल क्रिकेट एसोसिएसनका सचिव समेत रहेका खड्कालाई दिपल इभीको ब्रान्ड एम्बेसेडरमा नियुक्त गरेको हो। कार्यक्रममा क्रिकेटर पारस खड्काले दिपल इभीसँग आबद्ध हुन पाउँदा हर्षित भएको बताए। यति धेरै फिचरले भरिएको इभी यति कम मूल्यमा छ, जुन यो सेग्मेन्टमै छैन, उनले भने, इनोभेसन र टेक्नोलोजीमार्फत् इभी बजारमा आफ्नो उपस्थिति बलियो बनाउँदै गरेको दिपलसँग आबद्ध हुन पाउँदा खुसी छु। त्यसैगरी पारसलाई दिपल एस०७ को साँचो हस्तान्तरण गर्दै एमएडब्लु वृद्धिका प्रबन्ध निर्देशक विवेक सिकारियाले आफ्नो पर्फर्मेन्स र एक्सिलेन्सप्रति प्रतिबद्ध व्यक्तित्वलाई दिपल इभीको ब्रान्ड एम्बेसेडर बनाउन पाउँदा गर्व महसुस गरिरहेको बताए। केही महिनाअघि सार्वजनिक भएको दिपल एस०७ आफ्नो उत्कृष्ट डिजाइन, अत्याधुनिक प्रविधि र अद्वितीय पर्फर्मेन्सका कारण लोकप्रिय बनेको छ। नेपालमा सार्वजनिक भएयता चांगानले पाँच सयभन्दा बढी युनिट एस०७ डेलिभर गरिसकेको छ। यो फ्यचरिस्टिक इभीमा जेस्चर कन्ट्रोल, अग्मेन्टेड रियालिटी हेडअप डिस्प्ले, सनफ्लावर टचस्क्रिन, इन्टेलिजेन्ट ड्राइभिंग मोड लगायत १५ भन्दा बढी फस्ट टाइम इन नेपाल फिचरले भरिएको दिपलले नेपाली इभी बजारमा नयाँ मापदण्ड स्थापना गर्न सफल छ।"
रवि लामिछानेलाई पक्राउ नगर्न माग गर्दै वीरगन्जमा प्रदर्शन,"वीरगन्ज : रास्वपाका सभापति तथा पूर्वगृहमन्त्री रवि लामिछानेलाई पक्राउ नगर्न माग गर्दै वीरगन्जमा रास्वपाका नेता कार्यकर्ताले प्रदर्शन गरेका छन्। साथै उनीहरूले जिल्ला प्रशासन कार्यालयमार्फत प्रधानमन्त्रीलाई ज्ञापनपत्र पनि बुझाएका छन्। सहकारी ठगी प्रकरणमा मुछेर सभापति लामिछानेलाई फसाउन खोजिएको र धरपकड गर्ने प्रयास गरिएको भन्दै रास्वपाका नेताकार्यकर्ताले वीरगन्जमा प्रदर्शन गरेका हुन्। रास्वपा पर्साका संयोजक हरि पन्तको नेतृत्वमा गरिएको प्रदर्शनमा सहभागीहरूले प्लेकार्ड बोकेर सरकार र सत्तारूढ दलहरूविरुद्ध नाराबाजी पनि गरेका थिए। त्यसअघि उनीहरूले जिल्ला प्रशासन कार्यालयमा पुगेर सहायक प्रमुख जिल्ला अधिकारी सानुबाबु अधिकारीमार्फत प्रधानमन्त्रीलाई ज्ञापनपत्र बुझाएका थिए। उक्त ज्ञापनपत्रमा लेखिएको छ, सहकारी संसदीय छानबिन समितिले स्पष्ट रुपमा आफ्नो प्रतिवेदनमा रास्वपाका केन्द्रीय सभापति रवि लामिछानेजीको सहकारी रकम ठगी तथा हिनामिनामा कुनै पनि किसिमको संलग्नता नरहेको, उनले ब्यक्तिगत रूपमा कुनै पनि सहकारीबाट कुनै किसिमले रकम ऋण नलिएको, उनी कुनै पनि सहकारीको सदस्य एवं प्रबन्धकसमेत नरहेको र उनले कुनै पनि सहकारीमा ऋण लिनका निम्ति फारम तथा निवेदनसमेत नदिएको कुरा स्पष्ट रूपमा उल्लेख हुँदाहुँदै पनि राजनीतिक प्रतिशोध साँध्न लामिछानेमाथि धरकपड र थुनछेक गरिने परिस्थिति सिर्जना गर्न लागेको हामीले अनुभूति गरेका छौं। अतः सत्ता र शक्तिको दुरुपयोग गरी नेपालको विधमान ऐन कानुनविपरीत गएर राजनीतिक प्रतिशोध साँध्नका निम्ति यस्तो दुर्भाग्यपूर्ण अवस्था आएमा, यसबाट उत्पन्न हुने सम्पुर्ण असहज परिस्थितिको जिम्मेवार नेपाल सरकार स्वयं हुने कुराको ध्यानाकर्षण गराउँदै ज्ञापनपत्र बुझाएका छौं।"
"विराटनगरबाट २ वटा ट्रक नियन्त्रण, राजस्व चुहावटको आशंका","विराटनगर : लाखौं रुपैयाँ राजस्व चुहावट गरेको आशंमा प्रहरीले मंगलबार विराटनगरबाट २ वटा ट्रकलाई नियन्त्रणमा लिएको छ। विराटनगर भन्सार कार्यालयबाट जाँचपास गराएर छुटेका प्रदेश १०२००२ ख ०४१६ र ना ४ ख ८८७४ नम्बरको ट्रकलाई बिहान १० बजेतिर प्रहरीले विराटनगर महानगरपालिका१४ बाट नियन्त्रणमा लिएको थियो। जाँचपासका क्रममा राजस्व चुहावट गरेर भन्सारबाट ट्रक निस्किएको सूचना आएलगत्तै नियन्त्रणमा लिन जिल्ला प्रहरी कार्यालय मोरङबाट इन्सपेक्टर सरोज खनालको नेतृत्वमा टोली परिचालन गरिएको थियो। प्रहरीले ट्रकसहित चालकहरु विराटनगर१९ का २९ वर्षीय ललित सरदार र मोरङको कानेपोखरी गाउँपालिका५ का ४६ वर्षीय दुखनलाल चौधरीलाई समेत नियन्त्रणमा लिएको छ। सरदार ०४१६ र चौधरी ८८७४ नम्बरको ट्रकका चालक हुन्। राजस्व चुहावट गरेको विशेष सूचनाका आधारमा सामान लोड गरिएका २ वटा ट्रक र चालकलाई नियन्त्रणमा लिइएको मोरङ प्रहरी प्रमुख एसपी नवराज कार्कीले बताए। भारतबाट सामान लिएर नेपाल प्रवेश गरेका दुवै ट्रक विराटनगर भन्सार कार्यालयमा सोमबार जाँचपास गराएर छुटेका थिए। प्रज्ञापन पत्रमा उल्लेख गरिएको भन्दा बढी सामान ट्रकमा रहेको र भन्सार मूल्यांकन कम गरिएको आशंका छ। प्रहरीका अनुसार १ करोड ३५ लाख रुपैयाँ राजस्व चुहावट भएको सूचना आएको थियो। एसपी कार्कीले नियन्त्रणमा लिइएका ट्रक र चालकलाई आवश्यक अनुसन्धान एवं कारबाहीका लागि राजस्व अनुसन्धान कार्यालय इटहरीमा बुझाइएको जानकारी दिए। कार्यालयका अनुसन्धान अधिकृत सरोज कोइरालाका अनुसार ट्रकमा घरेलु तथा कृषिजन्य सामग्री छन्। भन्सार एजेन्ट अरुण खेतानमार्फत ट्रकको जाँचपास गराइएको फेला परेको छ। भन्सार मूल्यांकन कम रहेको भन्दै प्रहरीले नियन्त्रणमा लिएर राजस्वलाई बुझाएको छ, कोइरालाले भने, एउटै प्रज्ञापन पत्रमार्फत दुवै ट्रकको जाँचपास गराइएको देखिन्छ। उनका अनुसार सामानको आयातकर्ता कम्पनी विराटनगरको बागमती इन्टरप्राइजेज हो। बागमती इन्टरप्राइजेजका संचालक लक्ष्मीकुमार राठी हुन्। राजस्वका अनुसन्धान अधिकृत कोइरालाले जाँचपासका क्रममा राजस्व चुहावट गरिएको छ कि छैन भनेर अनुसन्धानबाट मात्रै पत्ता लाग्ने जानकारी दिए।"
एनएमबी बैंकद्वारा पलेशा गोबर्धन र प्रशिक्षक कविराज नेगी लामालाई नगद सम्मान प्रदान,"काठमाडौं : एनएमबी बैंकले एसियाली प्याराओलम्पिक खेलकुदमा नेपाललाई पहिलो कास्ग पदक दिलाउन सफल प्यारातेक्वान्दो खेलाडी पलेशा गोबर्धनलाई सम्मान गरेको थियो। उनको अभुतपूर्व उपलब्धिको सम्मानमा, बैंकले गोबर्धनलाई नगद पुरस्कार ५ लाख १ हजार र उनका प्रशिक्षक कविराज नेगी लामालाई १ लाख १ हजार रुपैयाँ प्रदान गरेको थियो। पलेशा गोबर्धनको प्रतिनिधित्व गरी उनको अभिभावकले उक्त नगद ग्रहण गरेका थिए। पलेशाको उपलब्धि र नेपालमा खेलकुदको भावनाको सम्मान गर्दै एनएमबी बैंकको विशेष समारोहमा गोबर्धन र उनका प्रशिक्षकलाई सम्मान स्वरुप नगद हस्तान्तरण गरिएको थियो। एनएमबी बैंकले हाल देशभर २०१ शाखाहरू, १८७ एटिएमहरू र ११ एक्सटेन्सन काउन्टरहरू मार्फत उच्चस्तरीय सेवा प्रदान गर्दै आइरहेको छ।"
कोशीमा सभामुख र उपसभामुखको इन्धन सुविधा थप,"विराटनगर : कोशी प्रदेशका सभामुख र उपसभामुखका लागि इन्धनको सुविधा थप गरिएको छ। विगतमा पाउँदै आएको भन्दा धेरै इन्धन दिन थालिएको हो। कोशी प्रदेश सरकारले सभामुखका लागि मासिक ७५ लिटर र उपसभामुखका लागि मासिक ५० लिटर इन्धन सुविधा थप गरेको छ। प्रदेश सभाका पदाधिकारी तथा सदस्यको पारिश्रमिक र सुविधासम्बन्धी ऐन, २०७५ को अनुसूची १ मा सभामुखले मासिक १ सय ५० र उपसभामुखले १ सय २५ लिटर इन्धन पाउने प्रावधान थियो। अनुसूची संशोधनपछि अब सभामुखले २ सय २५ लिटर र उपभामुखले १ सय ७५ लिटर इन्धन सुविधा प्राप्त गर्नेछन्। बाहिर छलफल नगरिकन मन्त्रिपरिषद् बैठकमार्फत इन्धन सुविधा थप गरिएको हो। प्रदेश सभाका पदाधिकारी तथा सदस्यको पारिश्रमिक र सुविधासम्बन्धी ऐन, २०७५ को दफा २० का आधारमा मन्त्रिपरिषद् बैठकले सुविधा थप गरेको थियो। दफा २० मा प्रदेश सरकारले राजपत्रमा सूचना प्रकाशन गरी पदाधिकारी वा सदस्यलाई मर्का नपर्ने किसिमबाट अनुसूची हेरफेर गर्न सक्ने प्रावधान छ। सभामुख र उपसभामुखका लागि इन्धन सुविधा थप्ने निर्णय भदौ २७ गतेको मन्त्रिपरिषद् बैठकले गरेको हो। त्यसलगत्तै आन्तरिक मामिला तथा कानुन मन्त्रालयले सोही दिनको मिति राखेर राजपत्रमा सूचना प्रकाशित गरेको थियो। कोशी प्रदेशमा राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)का अम्बरबहादुर विष्ट सभामुख र नेकपा (एमाले)की सिर्जना दनुवार उपसभामुख छन्। सभामुखले मासिक ६२ हजार ५ सय ४० र उपसभामुखले ५९ हजार पारिश्रमिक पाउँछन्। सभामुखले २ जना स्वकीय सचिव, १ जना सूचना प्रविधि, २ जना कार्यालय सहयोगी र १ जना हलुका सवारी चालक गरी ६ जना सहयोगी राख्न पाउँछन्। त्यस्तै उपसभामुखले सचिवालयमा ३ जनालाई राख्न पाउने व्यवस्था छ।"
