शीर्षक,विवरण
सरकारले संविधानमा मुस्लिमको हक अधिकार अझ धेरै सुनिश्चित गर्छ : कानुनमन्त्री चौरसिया,"वीरगन्ज : संघीय सरकारका कानुन न्याय तथा संसदीय मामिला मन्त्री अजय चौरसियाले अजय चौरसियाले मुस्लिम धर्मावलम्बीको हक अधिकार संविधानमा अझ धेरै सुनिश्चित गरिने बताएका छन्। बिहीबार वीरगन्जमा नेपाल मुस्लिम संघ पर्साले आयोजना गरेको अगुवा कार्यकर्ता प्रशिक्षण तथा अन्तर्क्रिया कार्यक्रममा बोल्दै कांग्रेस केन्द्रीय सदस्यसमेत रहेका चौरसियाले संविधानमा मुस्लिम धर्मावलम्बीको हक अधिकार अझ धेरै सुनिश्चित गर्न सरकार र कांग्रेस लाग्ने बताए। उनले भने, कांग्रेस र अहिलेको सरकारले मुस्लिम धर्मावलम्बीको हक अधिकार कुण्ठित गर्ने कार्य कदापी गर्दैन। बरु मुस्लिम धर्मावलम्बीका हक अधिकारलाई अझ सबल बनाउने काम गर्छ। कानुनमन्त्री चौरसियाले नेपालमा हिन्दू, मुस्लिम लगायतका सबै धर्मावलम्बीहरू सदियौंदेखि आपसमा मिलेर बस्दै आएकाले कसैले चाहेर पनि धार्मिक सदभाव बिथोल्न नसक्ने दाबी गरे। उनले भने, कसैले धार्मिक भाइचारा र सदभाव बिगार्न खोज्छ भने पनि त्यो सफल पनि हुन सक्दैन। नेपालमा रहेका सबै धर्म, जातजातिबीचमा आपसी सद्भाव कायम हुनुपर्छ भन्ने मान्यता राख्ने पार्टी कांग्रेस रहेको भन्दै उनले भने, म हिन्दू र मुस्लिम दुवै धर्मका अगुवालाइ संयमता अपनाउन आग्रह गर्छु। कसैले धार्मिक भाइचारा बिगार्ने कुनै गतिविधि गर्छ भने संयम नगुमाई त्यसलाई शान्त बनाउनु हामी सबैको दायित्व हुनुपर्छ। किनकि धार्मिक द्वन्द्वले कसैको हित गर्दैन। कांग्रेसले पार्टीमा रहेका मुस्लिम नेतालाई अवसर र सम्मान दिन कहिल्यै पनि कञ्जुस्याँइ नगरेको जिकिर उनले गरे। कांग्रेसका प्रचार विभाग प्रमुख मीन विश्वकर्माले मुस्लिम धर्म मान्ने व्याक्ति कम्युनिस्ट हुनै नसक्ने बताए। उनले भने, जो आस्तिक छ, जसले धर्म मान्छ उ कम्युनिष्ट हुनै सक्दैन। त्यसमा पनि मुस्लिम धर्मावलम्बी त झन कम्युनिस्ट बन्नै सक्दैन। उनले धर्म मान्ने व्याक्ति कांग्रेसमा मात्र अटाउन सक्नेतर्क पनि गरे। राज्यका सबै संरचना समावेशी बन्दै गरेको अवस्थामा कांग्रेसले आफ्नो संगठनलाई पनि समावेशी र लोकतान्त्रीक बनाउँदै अगाडि बढेको भन्दै उनले कांग्रेसको आगामी महाधिवेशनबाट केन्द्रिय पदाधिकारीमा मुस्लिम समुदायको सहभागिता अझ धेरै बढ्ने बताए।"
"भारतले पाकिस्तानलाई हरायो, यस्तो देखियो उद्घाटन खेल",काठमाडौं : भारतले पाकिस्तानले ५२ गोलले पराजित गरेको छ। साफ महिला च्याम्पियनसिपअन्तर्गत उद्घाटन खेलमा भारतले पाकिस्तानलाई ५२ गोल अन्तरले हराएको हो। भारतले खेलको पाँचौं मिनेटमा गोल गर्दै अग्रता लिएको थियो। खेलको पहिलो हाफमा भारतले ४१ को अग्रता लिएको थियो भने दोस्रो हाफमा दुवै टोलीले ११ गोल थपेका थिए। भोलि नेपाल र भुटानविरुद्ध खेल हुनेछ।
घोडेपानीमा आन्तरिक पर्यटक आकर्षित गर्न छुट,"बेनी : म्याग्दीको अन्नपूर्ण गाउँपालिका६ मा रहेको पर्यटकीय स्थल घोडेपानीका होटलमा आन्तरिक पर्यटकलाई छुट दिन थालिएको छ। घोडेपानी टोल सुधार समिति, होटल व्यवस्थापन र पर्यटन व्यवस्थापन उपसमितिको बिहीबार बसेको संयुक्त बैठकले दशै तिहार छठलगायत चाडपर्वको समयमा घुम्न आउने आन्तरिक पर्यटकलाई १० प्रतिशत छुट दिने निर्णय गरेको हो। घोडेपानी टोल सुधार समितिका उपाध्यक्ष जुली ठकुरी पुनले नेपाली पर्यटकले बिहीबारदेखि नै लागू हुने गरि कुल बिलमा १० प्रतिशतका दरले छुट सुविधा पाउने जानकारी दिइन्। आन्तरिक पर्यटनको प्रर्वद्धनका लागि यहाँका सबै होटलले छुट दिने निर्णय गरेका हौ, उनले भनिन्, चाडपर्वको समयमा घुम्न आउन पाहुनाले घोडेपानीका सबै होटलमा छुट सुविधा पाउनेछन्। घोप्टेखर्कमा पहिरोले अवरुद्ध बनाएको सडक मर्मत गरेर पोखरेबगरघोडेपानी सडकमा जिप र मोटरसाइकल सञ्चालन गर्न मिल्ने बनाएको उनले बताइन्। सवारी साधनको अलावा कास्कीको उल्लेरी, घान्द्रुक, म्याग्दीको मोहरेडाडा, पर्वतको भुक देउराली हुदै पैदलयात्रा गरेर घोडेपानी पुग्न सकिन्छ। समुन्द्रि सतहदेखि दुई हजार आठ सय मिटर उचाईमा अवस्थित घोडेपानीमा रहेका २६ वटा साना ठूला सुविधायुक्त होटलमा दैनिक एक हजार दुई सय जना पाहुना बास बस्ने क्षमता रहेको छ। प्याकेजमा प्रतिव्यक्ति एक हजार पाँच सय देखि पाँच हजार सम्मका सुविधायुक्त कोठामा बास बस्न सकिन्छ। हिमाल, पहाडी भूगोल, सूर्योदय र गुराँसको जंगल अवलोकनका लागि म्याग्दीको अन्नपूर्ण गाउँपालिका६ मा रहेको घोडेपानी पुनहिल क्षेत्र उपयुक्त गन्तब्य हो। समुद्री सतहदेखि तीन हजार २१० मिटर उचाईमा अवस्थित पुनहिल चक्रिय अन्नपूर्ण पदमार्गको उत्कृष्ट पर्यटकीय गन्तव्यको रुपमा परिचित छ। पुनहिलबाट हिमशृङ्खला र सूर्योदयको सुन्दर दृष्यको दृश्यावलोकन गर्न पाइन्छ। यहाँबाट धौलागिरी र अन्नपूर्ण हिमशृङ्खलाका दर्जनबढी हिमाल र दर्जनौँ हिमचुचुरालाई नजिकबाट अवलोकन गर्न सकिन्छ। मनोरम प्राकृतिक दृष्यको अवलोकन, उच्च हिमाली भूगोल, शान्त र मनोरम वातावरणको कारण पर्यटकले घोडेपानी पुनहिल क्षेत्रलाई आफ्नो रोजाइमा राख्ने गरेका हुनु्। पुनहिलको फेदीमा रहेको घोडेपानीका होटलका कोठा र डाईनिङ हलबाटै गुराँसको जंगलको पृष्ठभूमिमा हिमाल अवलोकन गर्न सकिन्छ। घोडेपानीमा बास बसेका पर्यटकहरू एका बिहानै करिब ४० मिनेट उकालो हिडेर पुनहिलमा दृष्य अवलोकन गर्न पुग्छन्। घोडेपानी पुनहिल अन्नपूर्ण चक्रिय पदमार्गमा आउने पर्यटकको रोजाइमा पर्ने गरेको पर्यटन व्यवसायीहरूले बताएका छन्। गण्डकी प्रदेशको राजधानी पोखरा देखि नयाँ पुल, उल्लेरी भएर एकै दिन र घान्द्रुक भएर दुई दिनमा घोडेपानी पुग्न सकिन्छ। म्याग्दीको जिल्ला सदरमुकाम बेनी देखि अन्नपूर्ण गाउपालिकाको पोखरेबगर हुँदै गाडी चढेर तीन घण्टामा घोडेपानी पुगिन्छ।"
बीपी राजमार्ग चार लेनको बनाउन सांसद दाहालको माग,"सिन्धुली : बाढी पहिरोका कारण क्षतविक्षत भएको बनेपासिन्धुलीबर्दिबास (बीपी) राजमार्ग यथाशिघ्र पुनःनिर्माण गर्न सांसद लेखनाथ दाहालले सरकारसँग माग गरेका छन्। उनले नेपाल सरकारका भौतिक पूर्वाधार तथा यातायात मन्त्री देवेन्द्र दाहालसमक्ष बाढी र पहिरोले क्षति पुगेको राजमार्गलाई पुनःनिर्माण थाल्न ध्यानाकर्षण गराएका हुन्। उनले बीपी राजमार्गको पुनःनिर्माण गर्दा सिन्धुलीको चियाबारीखुर्कोट सुरुङ मार्ग र खुर्कोटधुलिखेल खण्ड चार लेनको पुनःनिर्माण गर्न आवश्यक पर्ने बजेटको व्यवस्थापन गरिदिन मित्र राष्ट्र जापान सरकारलाई आग्रहसमेत गरेका छन्। सांसद दाहालले मन्त्री दाहाललाई बुझाएको ध्यानाकर्षण पत्रमा भनिएको छ, बीपी राजमार्गको तत्काल पुनर्निर्माण गर्न अवश्यक छ। उक्त सडक पुनर्निर्माण गर्दा भूअवस्था, नदीहरूमा जलमापनको अवस्था र बढ्दो सवारी चापलाई मध्यनजर गर्दै खुर्कोटधुलिखेल खण्ड चार लेनको निर्माण गर्न ध्यानकर्षण गराउँदछु।"
सिन्धुलीरामेछाप जोड्ने सुनकोशी नदी पुलमा बेलिव्रिज जोडियो,सिन्धुली : गत असोज ११ र १२ गते परेको अविरल वर्षासँगै आएको बाढी र पहिरोले बगाएको सुनकोसी नदीमा बेलिव्रिज जोडिएको छ। सिन्धुलीको गोलन्जोर गाउँपालिका७ खुर्कोट र रामेछापको मन्थली नगरपालिका ६ भलुवाजोर सेलेघाट जोड्ने सुनकोशी नदीको पुलमा अस्थायी एमपिबी बेलिव्रिज जोडिएको हो। बाढीले पक्की मोटरेवलपुल बगाएको २० दिनमा नेपाली सेनाले सुनकोशी नदीमा एमपिबी (मोडुलर प्यानल ब्रिज) राखेर सिन्धुली र रामेछाप जिल्लालाई जोड्न सफल भएको हो। सरकारले सुनकोशी नदीमा आएको बाढी र पहिरोका कारण क्षतिग्रस्त सुनकोशी नदीको पुल निर्माणको जिम्मा नेपाली सेनालाई दिएको थियो। नेपाली सेनाको चौध बाहिनी अड्डा गौचर काठमाडौंको प्राविधिक टोलीले बुधबार बेलुका अबेरसम्ममा एमपिबी राखेर सिन्धुली र रामेछाप जिल्ला जोड्ने सुनकोशी नदीमा बेलिव्रिज जाडन गरेको हो। गत असोज २२ गते बुधवाबारबाट एमपिबी जडानको काम सुरु गरेको नेपाली सेनाको चौध बाहिनी अड्डाको टोलीले नवौं दिनमा असोज ३० गते बुधबार नै बेलिव्रिज जडानको प्रारम्भिक काम सकेर दुई जिल्लालाई जोडेको नेपाली सेनाको चौध बाहिनी अड्डाका मेजर चिरञ्जीवी चौलागाईले बताए। बनेपासिन्धुलीबर्दिबास (बीपी) राजमार्गसँग जोडिने खुर्कोटमन्थलीतामाकोशी सडक अन्तरगत एडिविको सहयोगमा निर्माण भएको खुर्कोट पुलको आधाभाग सुनकोशी नदिमा आएको बाढीले बगाएर क्षति गरेको थियो। एमपिबी जडानको काम सकिएको र बिहीबारबाट एमपिबीको डेकिङ युनिटको काम सुरु हुने बताइएको छ। शनिबारसम्म एमपिबी जडानको सम्पूर्ण काम सकेर यातायात सुचारु गरिने पुल निर्माणमा प्राविधिक कामको नेतृत्व गरेका नेपाली सेनाको चौध बाहिनी अड्डाका मेजर चिरञ्जीवी चौलागाईको भनाइ छ। तीन सय ६० फिट लम्बाईको खुर्कोटको पुलमा बाढीले एक सय ८० फिट क्षति गरेको थियो। पुलको आधार भाग बगाएपछि २१ दिनदेखि सिन्धुली रामेछाप यातायात अवरुद्ध भएको छ। बाढी र पहिरोका कारण सिन्धुली जिल्लामा मात्र १४ वटा पुलमा क्षति पुगेको छ।
एम्बुलेन्समा तस्करी गर्ने तीन जना पक्राउ,"मलङ्गवा : भारतको सोनवर्षाबाट एम्बुलेन्समा हालेर नेपालतर्फ ल्याउँदै गरेको विस्फोटक सामग्री पटका र अवैध किरानाका समानसहित ३ जनालाई पक्राउ गरिएको छ। सीमा नजिकैबाट जिल्ला भन्सार कार्यालय मलङ्गवा र प्रस्तावित सुरक्षा गुल्म मलङ्गवाको संयुक्त टोलीले अवैध समानसहित बिहीबार साझ एम्बुलेन्सलाई नियन्त्रणमा लिएको छ। नेपाल परिवार नियोजन संघ सर्लाही शाखा मलङ्गवा लेखिएको को१च ५८९६ नम्बरको एम्बुलेन्समा समान ल्याउँदै गरेको अवस्थामा समानसहित ३ जना पक्राउ गरिएको सशस्त्र प्रहरीले जनाएको छ। पक्राउ पर्नेमा एम्बुलेन्स चालक हरिवन नगरपालिका ११ का ३६ वर्षीय विक्रम आचार्य, पटका मालिक सोही स्थानका ३६ वर्षीय मनोज रजक र किराना समानका मालिक ४३ वर्षीय छोटेलाल दास रहेको प्रहरीले जनाएको छ। बरामद गरिएका समानहरूमा १४ प्रकारका पटका र ३४ प्रकारका किरानाका समान रहेको प्रहरीले जनाएको छ। एम्बुलेन्सको सिटमुनी पटका र त्यसमाथि किरानाका समान ल्याउँदै गरेको अवस्थामा एम्बुलेन्सलाई नियन्त्रणमा लिएको हो। मुख्य नाकाबाट यसरी एम्बुलेन्स प्रयोग गरेर तस्करी गर्नु अचम्म लागेको स्थानीयले बताएका छन्। चाडपर्व नजिएसँगै विभिन्न नाकाबाट पटकाहरू भित्रिने गरेको छ। योभन्दा अगाडि पनि सशस्त्र प्रहरीले करिब १८ लाख बराबरको पटका बरामद गरेको थियो।"
करिब एक महिनापछि भेटियो बेपत्ता बालकको शव,"बेनी : म्याग्दी नदीमा बेपत्ता भएका एक जना बालकको शव करिब एक महिनापछि भेटिएको छ। मालिका गाउँपालिका६ दरवाङको छ्यारछ्यारेस्थित म्याग्दी नदी किनारमा खेल्ने क्रममा गत असोज ४ गते बेपत्ता भएका मालिका गाउँपालिका१ निस्कोटका ८ वर्षीय सल्मान पट्टेलको शव फेला परेको प्रहरीले जनाएको छ। मंगला गाउँपालिका३ बान्द्रेस्थित म्याग्दी नदी किनारमा भेटिएको शव मृतकका बुबाले सनाखत गरेपछि प्रक्रीया पूरा गरेर बिहीबार परिवारलाई बुझाएको प्रहरी निरीक्षक राजन रायमाझीले बताए। नदी किनारमा बुधबार साँझ सडेगलेको अवस्थामा शव देखेपछि बुधबार साझँ स्थानीयबासीले प्रहरीलाई खबर गरेका थिए। यसअघि प्रहरी, आफन्त र स्थानीयबासीले नदी किनारमा खोजतलास गरेपनि शव भेटिएको थिएन।"
शेख हसिनाविरुद्ध पक्राउ पुर्जी जारी,"काठमाडौं : बंगलादेशको एक अदालतले निर्वासित पूर्वप्रधानमन्त्री शेख हसिनालाई पक्राउ पुर्जी जारी गरेको छ। अदालतले हसिनाको आवामी लिग पार्टीका पूर्व महासचिव ओबैदुल कादिर र अन्य ४४ जनाविरुद्ध पनि पक्राउ पुर्जी जारी गरेको हो। विद्यार्थी समूहको नेतृत्वको आन्दोलनको उत्कर्षमा हसिना गत अगस्टमा भारत पलायन भएकी थिइन्। उनको नेतृत्वको सरकारविरुद्धको विद्रोहमा ज्यान गुमाएका सयौँमध्ये एकका आफन्तले आफूहरू मुद्दाको सुनुवाइको प्रतीक्षामा रहेको बताएका छन्। हसिनाविरूद्धको मुद्दाको पक्षमा बहस तथा पैरवी गरिरहेका अभियोजक मोहम्मद ताजुल इस्लामले हसिना पदच्युत भएको दिनलाई उल्लेखनीय दिन का रूपमा उल्लेख गरे। हसिनाको १५ वर्षे शासनकालमा व्यापक रूपमा मानव अधिकार उल्लङ्घन, राजनीतिक विरोधीहरूलाई सामूहिक हिरासतमा राख्ने र गैरन्यायिक हत्याहरू गर्नेजस्ता काम भएको आरोप हसिना प्रशासनलाई लागेको छ। बङ्गलादेशको अन्तर्राष्ट्रिय अपराध न्यायाधीकरण (आईसीटी) का मुख्य अभियोजक इस्लामले पूर्व प्रधानमन्त्री शेख हसिनालाई पक्राउ गर्न र नोभेम्बर १८ मा अदालतमा पेश गर्न अदालतले आदेश दिएको बताए। जुलाईदेखि अगस्टसम्म नरसंहार, हत्या र मानवताविरुद्धको अपराध गर्नेहरूको नेतृत्व तत्कालीन प्रशासन र यसको कार्यकारी प्रधानमन्त्री हसिनाले गरेका र उहाँसहित अन्य अभियुक्तलाई पक्राउ गरी अनुसन्धान गर्न आवश्यक भएकाले पक्राउ पुर्जी जारी गरिएको इस्लामले बताए। हसीनाको शासन ढलेपछि उनका दर्जनौं सहयोगीलाई हिरासतमा लिइएको थियो र उनलाई सत्ताच्युत गर्ने आन्दोलनका क्रममा ७०० भन्दा बढी व्यक्तिको ज्यान जाने गरी भएको प्रहरी कारबाहीका लागि दोषी ठहर गरिएको थियो।"
निगमले असोज महिनाको किस्ताबापत बुझायो ५३ करोड,"काठमाडौं : नेपाल वायुसेवा निगमले न्यारोबडी र वाइबडी जहाजको असोज महिनाको किस्ता बुझाएको छ। अन्तर्राष्ट्रिय उडानको लागि खरिद गरेका दुई न्यारोबडी र दुई वाइडबडी जहाजको लागि कर्मचारी सञ्चय कोष र नागरिक लगानी कोषबाट निगमले ऋण लिएको थियो। लिएको ऋण दायित्वमध्ये दुई न्यारोबडी जहाजको २०८१ असोज महिनाको किस्ता बापत पूरा र दुई वाइडबडी जहाजको आंशिक गरी ५३ करोड ९ लाख ५५ हजार २८१ रुपैयाँ भुक्तानी गरेको विज्ञप्तिमार्फत जनाएको छ। निगमले समीक्षा अवधिसम्ममा ६ अर्ब ३२ करोड ८५ लाख ९७ हजार ५३३ रुपैयाँ किस्ता रकम भुक्तानी गरेको छ। निगमले कोरोना भाइरसको कारणले व्यापारमा प्रतिकूल असर परेको भन्दै सो अवधिको व्याज, व्याजको व्याज, हर्जाना र पेनल छुट गरी सहयोग गरिदिन एवं किस्ताको संख्या वृद्धि गरेर ऋण दायित्व भुक्तानीलाई सहजीकरण गरिदिन दुवै कोषलाई अनुरोध पत्र पठाएको जनाएको छ।"
पुबुदु दासानायके नेपाली टोलीको मेन्टरमा नियुक्त,काठमाडौं : नेपाली टोलीको पूर्व मुख्य प्रशिक्षक पुबुदु दासानायके राष्ट्रिय क्रिकेट टोलीको मेन्टरमा नियुक्त भएका छन्। नेपाल क्रिकेट संघ (क्यान)ले बिहीबार सामाजिक सञ्जालमार्फत दासानायके नेपाली टोलीको मेन्टरमा नियुक्त भएको जानकारी दिएको छ। उनले अमेरिकामा हुने आइसीसी लिग २ को खेलहरूमा मेन्टरको भूमिका निर्वाह गर्ने क्यानले जनाएको छ। नेपालले कात्तिक ११ गतेदेखि अमेरिका र स्कटल्यान्डविरुद्ध लिग २ का खेलहरू खेल्दैछन्। त्यसअघि नेपालले अमेरिकाविरुद्ध भोलिदेखि टी२० शृखंला खेल्दैछ।
