शीर्षक,विवरण
विश्व शरणार्थीको संख्या १२ करोड २० लाख नाघ्यो : यूएनएचसीआर,काठमाडौं : संयुक्त राष्ट्रसंघीय उच्चायुक्त (यूएनएचसीआर)का अनुसार सन् २०२४ मा विश्वभर शरणार्थीको संख्या १२ करोड २० लाख नाघेको छ। जर्मनीमा यूएनएचसीआरका राष्ट्रिय निर्देशक पिटर रुहेनस्ट्रोथबाउरले शरणार्थीको तथ्यांकहरूलाई चिन्ताजनक रूपमा वर्णन गरे। यूएनएचसीआरको जर्मन साझेदारको वार्षिक प्रतिवेदनले सन् २०२३ मा विश्वव्यापी शरणार्थी जनसंख्या ११ करोड ७४ लाख अनुमान गरिएको देखाएको छ। यो वृद्धि मुख्यतः सुडानमा गृहयुद्धको कारण हो। अप्रिल सन् २०२३ मा हिंसा बढेपछि एक करोड १८ लाखभन्दा बढी मानिस सुडानबाट भाग्न बाध्य भएको बयानमा उल्लेख छ। प्रजातान्त्रिक गणतन्त्र कंगो तथा म्यानमारको अवस्थाले शरणार्थी संख्यामा वृद्धिमा योगदान पुर्याएको छ। गाजा र लेबनानमा द्वन्द्वको परिणामस्वरूप १७ लाखभन्दा बढी मानिसहरूलाई जबरजस्ती विस्थापित भएको छ।
दक्षिण कोरिया पठाइदिने भन्दै ठगी गर्ने व्यक्ति पक्राउ,काठमाडौं : दक्षिण कोरिया पठाइदिने भन्दै ठगी गर्ने व्यक्ति पक्राउ परेका छन्। वैदेशिक रोजगारमा आकर्षक तलबको प्रलोभनमा पारी दक्षिण कोरिया पठाइदिन्छु भन्दै रकम ठगी गरेको आरोपमा रूपन्देही सैनामैना नगरपालिका११ घर भई काठमाडौं महानगरपालिका२६ ठमेल बस्ने २९ वर्षीय ओम प्रकाश चौधरीलाई आइतबार प्रहरीले पक्राउ गरेको हो। ओम प्रकाशले दक्षिण कोरिया पठाइदिन्छु भन्दै ३ जना पीडितबाट १६ लाख ९२ हजार रुपैयाँ लिई सम्पर्कविहीन भएको भन्ने पीडितहरूको उजुरीका आधारमा काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालय टेकुबाट खटिएको प्रहरीले उनलाई ठमेलबाट पक्राउ गरेको हो। उनलाई आवश्यक अनुसन्धान तथा कारबाहीका लागि वैदेशिक रोजगार विभाग पठाइएको छ।
यसकारण सम्भव छ थरूहट स्वायत्त क्षेत्र,"नेपालको राष्ट्रिय जनगणना २०७८ अनुसार नेपालको कूल जनसंख्या २,९१,६४,५७८ रहेको छ। यसमा थारू समुदायको जनसंख्या १८,९०,४२३ रहेको छ। यो कूल जनसंख्याको ६४९ प्रतिशत हो। थारू समुदाय नेपालको चौथो ठूलो समुदाय हो भने तराईमा सबभन्दा बढी जनसंख्या भएको समुदाय हो। थारू मातृभाषा वक्ताको संख्या १७,९१,८५७ (६१५) प्रतिशत रहेको छ। थारू मातृभाषा चौथो ठूलो भाषा हो। थारू आयोगले थारू समुदायको परिभाषा यस प्रकारले गरेको छ, थारू समुदाय भन्नाले नेपालको तराई क्षेत्रमा परापूर्वकालदेखि बसोबास गर्दै आएको मुख्य गरी कृषि पेसामा आबद्ध श्रमजीवी, परिश्रमी, धर्तीपुत्रको रूपमा चिनिने तराईको सबभन्दा ठूलो जनसंख्या भएको एक आदिवासी जनजाति समुदाय हो। थारू समुदायको थर सूचीकरणअनुसार नेपालमा थारू समुदायका ५२३ थरहरू छन् भने उपरहरू ५३१ रहेका छन्। नेपालमा थारू सम्बद्ब सम्पदाहरू १८९ वटा सूचीकृत गरिएका छन्। आदिवासी जनजाति उत्थान राष्ट्रिय प्रतिष्ठानको अनुसूची १ मा सरकारी मानवीय विकास सूचकांक २०५८ अनुसार सूचीकृत आदिवासी जनजाति बर्गीकरण (प्रोफाइल) गरेअनुसार नेपालमा २० वटा जातीय समूहहरूलाई सीमान्तीकृत समूहमा राखिएका छन्। ती हुन्, सुनुवार, थारू, तामाङ, भुजेल, कुमाल, राजबंशी, गन्गाई, धिमाल, भोटे, दराई, ताजपुरीया, पहरी, तोक्पेगोला, डोल्पो, फ्रि, मुगाल, लार्के, ल्होपा, दुरा, वालुङ। नेपालको संविधानको धारा ३०६ को १ को (ड)ले सीमान्तीकृतको परिभाषा यस प्रकार गरेको छ, सीमान्तीकृत भन्नाले राजनीतिक, आर्थिक र सामाजिक रूपले पछाडि पारिएका, विभेद र उत्पीडन तथा भौगोलिक विकटताको कारणले सेवा सुविधाको उपभोग गर्न नसकेका वा त्यसबाट वञ्चित रहेका संघीय कानुनबमोजिमको मानव विकाशको स्तरभन्दा न्यून स्थितिमा रहेका समुदाय सम्झनुपर्छ र सो शब्दले अतिसीमान्तीकृत र लोपोन्मुख समुदाय समेतलाई जनाउँछ भन्ने व्यवस्था रहेको छ। नेपालको संविधान तथा कानुनमा सीमान्तीकृत थारू समुदायको हक अधिकारबारे भएको व्यवस्था: संविधानको धारा १८ मा (समानताको हकअन्तर्गत भएको व्यवस्थाअनुसार राज्यले सीमान्तीकृत थारू समुदायलगायत नागरिकहरूको संरक्षण, सशक्तीकरण वा विकासका लागि कानुनबमोजिम विशेष व्यवस्था गर्नसक्ने प्रबन्ध गरेको छ। धारा ३२ मा (भाषा तथा संस्कृतिको हकबमोजिम सीमान्तीकृत थारू समुदाय समेतले आफ्नो भाषा प्रयोग गर्ने, आफ्नो समुदायको सांस्कृतिक जीवनमा सहभागी हुन पाउने, आफ्नो भाषा, लिपी, संस्कृति सभ्यता र सम्पदाको सम्वर्द्धन र संरक्षण गर्ने हक हुने ग्यारेन्टी गरिएको छ। धारा ४२ मा सामाजिक न्यायको हकअनुसार थारू समुदाय समेतलाई समानुपातिक समावेशी सिद्धान्तका आधारमा राज्यका निकायमा सहभागिताको हक सुनिश्चित गरेको छ। धारा ५१ मा राज्यका नीतिहरूअन्तर्गत उपधारा (ञ)को (८) मा आदिवासी जनजातिको पहिचानसहित सम्मतापूर्वक बाँच्न पाउने अधिकार सुनिश्चित गर्न अवसर तथा लाभका लागि विशेष व्यवस्था गर्दै यस समुदायसँग सरोकार राख्ने निर्णयहरूमा सहभागी गराउने तथा आदिवासी जनजाति र स्थानीय समुदायको परम्परागत ज्ञान, सीप, संस्कृति, सामाजिक परम्परा र अनुभवलाई संरक्षण र सम्वर्द्धन गर्ने व्यवस्था गरेको छ। धारा ५६ मा राज्यको संरचना को उपधारा (५) मा संघीय कानुन बमोजिम सामाजिक, सांस्कृतिक संरक्षण वा आर्थिक विकासका लागि विशेष, संरक्षित वा स्वायत्त क्षेत्र कायम गर्न सकिनेछ भन्ने प्रावधान रहेको छ। धारा २६३ मा थारू आयोगको व्यवस्था गरिएको छ। धारा ३०६ को (ठ) मा थारू आयोग एक संवैधानिक आयोगको रूपमा रहने व्यवस्था गरिएको छ। धारा २९६ को उपधारा (१) बमोजिम व्यवस्थापिका संसदले थारू आयोग ऐन २०७४ बनाएको छ। (क) थारू आयोग ऐन २०७४ को दफा (७) मा आयोगको काम, कर्तब्य र अधिकारको व्यवस्था गरिएको छ। संविधानको धारा ५६ मा राज्यको संरचनाको उपधारा (५) मा भएको व्यवस्थालाई अनुभूत गराउनका लागि, १ स्थानीय सरकार सञ्चालन ऐन २०७४, को दफा ९९ मा विशेष, संरक्षित वा स्वायत्त क्षेत्र कायम गर्न सकिने व्यवस्था गरिएको पाइन्छः (१) प्रदेश सरकारको परामर्शमा नेपाल सरकारले देहायको कुनै क्षेत्रलाई विशेष, संरक्षित वा स्वायत्त क्षेत्र कायम गर्न सक्नेछ भनिएको छः कुनै एक वा एकभन्दा बढी जिल्ला। कुनै एक वा एकभन्दा बढी गाउँपालिका वा नगरपालिका। कुनै गाउँपालिका वा नगरपालिकाको कुनै एक वडा वा एकभन्दा बढी वडाहरू। २ उपदफा १ बमोजिम विशेष, संरक्षित वा स्वायत्त क्षेत्र कायम गर्दा देहायका आधार लिनुपर्छः क विशेष क्षेत्रका लागि यातायात तथा पूर्वाधार अभावको कारण भौगोलिक रूपमा दुर्गम रहेको, गरिबीको रेखामुनि रहेको जनसंख्याको प्रतिशत र गरिबीको विषमता राष्ट्रिय औसतभन्दा बढी रहेको। आर्थिक र सामाजिक रूपले पिछडिएका समुदायको बाहुल्यता रहेको। नेपाल सरकारले उपयुक्त ठानेका अन्य कुनै आधार। ख संरक्षित क्षेत्रका लागि अल्पसंख्यक, सीमान्तीकृत वा लोपोन्मुख समुदायको बसोबास रहेको। उपखण्ड (१) बमोजिमको समुदायको सामाजिक तथा आर्थिक बिकाश सूचकांक राष्ट्रिय औसत भन्दा कम रहेको। नेपाल सरकारले उपयुक्त ठानेको अन्य कुनै आधार। ग स्वायत्त क्षेत्रका लागि एकै भाषा वा संस्कृति भएका समुदायको सघन उपस्थिति र बाहुल्यता रहेको। उपखण्ड (१) बमोजिमको समुदायको सामाजिक तथा आर्थिक विकास सूचकांक राष्ट्रिय औसतभन्दा कम रहेको। नेपाल सरकारले उपयुक्त ठानेको अन्य कुनै आधार। दफा १००, मा विशेष, संरक्षित वा स्वायत्त क्षेत्र कायम भएको क्षेत्रको विकासका लागि नेपाल सरकार तथा प्रदेश सरकारले विशेष कार्यक्रम सञ्चालन गर्न वा त्यसका लागि थप बजेट उपलब्ध गराउनुपर्ने व्यवस्था छ। अन्तर्राष्ट्रिय अभ्यासमा स्वायत्त क्षेत्र भारतको आसाम, मेघालय, मेजोरम र त्रिपुरा राज्यले उनीहरूको क्षेत्रमा १० वटा स्वायत्त जिल्ला परिषद् र क्षेत्रीय परिषद् कायम गरेका छन्। ती स्वायत्त क्षेत्रहरूमा आर्थिक अधिकारको साथै प्रशासनिक र न्यायिक अधिकारसमेत जनताले आफैं प्रचलन गर्नसक्ने संवैधानिक बन्दोबस्त रहेको छ। थरूहट स्वायत्त क्षेत्र प्रदेश सरकारको परामर्शमा नेपाल सरकारले थरूहट स्वायत्त क्षेत्र कायम गर्नसक्ने व्यवस्था संविधान र कानुनमा भए पनि संविधान जारी भएको दशौं वर्ष लाग्दा समेत यो व्यवस्था लागू हुन सकेको छैन। नेपालमा दुई वटा प्रदेशमा थरूहट स्वायत्त क्षेत्र लागू गर्न सकिन्छः लुम्बिनी प्रदेशका तराईका थरूहट स्वायत्त क्षेत्र। सुदूरपश्चिम प्रदेशका तराईका थरूहट स्वायत्त क्षेत्र। लुम्बिनी प्रदेशका तराईका थरूहट स्वायत्त क्षेत्रः यसमा ६ वटा जिल्लाहरू रहेका छन्। ती यस प्रकार छन्: (१) नवलपरासी (पश्चिम) (२) रूपन्देही (३) कपिलबस्तु (४) दाङ (५) बाँके (६) बर्दिया। संविधान र कानुनमा उल्लेख भएअनुसार थरूहट स्वायत्त क्षेत्र कायम हुनका लागि देहायका आधारहरू रहेका छन्: १ एकै भाषा वा संस्कृति भएका समुदायको सघन उपस्थिति र बाहुल्यताः सघन उपस्थिति र बाहुल्यताः यस प्रदेशको ६ वटा जिल्लाहरूमा थारू समुदायको जनसंख्या ७,३०,०४३ रहेको छ। यो कूल जनसंख्याको १९ प्रतिशत हो। थारू समुदाय यहाँको सबभन्दा ठूलो समुदाय हो। यो थरूहट स्वायत्त क्षेत्रमा थारू समुदायको सघन उपस्थिति र बाहुल्यता रहेको छ। भाषाः यो थरूहट स्वायत्त क्षेत्रमा थारू मातृभाषा वक्ताको संख्या ५,६८,३५७ रहेको छ। यो क्षेत्रमा १३१५ प्रतिशत व्यक्तिहरूले थारू मातृ भाषा प्रयोग गर्छन्। यो नेपाली भाषा पछि दोस्रो रहेको छ। भाषा आयोगले लुम्बिनी प्रदेशको सरकारी कामकाजको भाषाको रूपमा प्रयोग गर्न २०७८ भदौ २१ गते नेपाल सरकार तथा प्रदेश सरकारलाई सिफारिस गरिसकेको छ। संस्कृतिः यो थरूहट स्वायत्त क्षेत्रमा थारू समुदायको आफ्नै संस्कृति, सभ्यता, संस्कार, चालचलन, रीतिरिवाज, भेषभूषा तथा इतिहास परापूर्वकालदेखि नै रहँदै आएको छ। समुदायभित्र आफ्नै प्रथाजनित परम्परामा कानुनी व्यवस्था रहेको छ। यसले समाजलाई व्यवस्थित बनाउन मद्धत गर्छ। यस प्रथालाई बरघर प्रथा भनिन्छ। यो प्रदेशका केही स्थानीय सरकारहरूले बरघर ऐन नै बनाएर यो प्रथालाई कानुनी हैसियत दिएर कार्य सञ्चालन भइरहेको अवस्था छ। २ समुदायको सामाजिक तथा आर्थिक विकास सूचकांक राष्ट्रिय औसतभन्दा कम रहेकोः थारू समुदायका मानिसहरू ग्रामीण तथा शहरी ग्रामीण क्षेत्रमा बढी संख्यामा बसोबास गरेको देखिन्छ। जसले गर्दा उद्योग र ब्यपार ब्यवसायमा संलग्नता कमै रहेको पाइन्छ। मुख्यतः परम्परागत निर्वाहमुखी कृषि पेशामा संलग्न रहेको देखिँदा यस समुदायमा गरिबीको संख्या अधिक रहेको देख्न सकिन्छ। नेपाल मानव विकास प्रतिवेदन २०२० अनुसार नेपालको मानव विकाश सूचकांक () ०५८७ रहेको छ। यसैगरी हिमालको ०५६४ पहाडको ०६२३ तराईको ०५६३ शहरी क्षेत्रको ०६४७ र ग्रामीण क्षेत्रको ०५६१ रहेको छ। तराई र ग्रामीण क्षेत्रको मानव विकास सूचकांक हिमाल, पहाड, शहरी क्षेत्र र नेपालको समग्र मानव विकास सूचकांक भन्दा कम रहेको छ। यसबाट तराई र ग्रामीण क्षेत्रमा अधिक बसोबास गर्ने थारू समुदायको मानव विकास सूचकांक न्यून छ भन्ने स्पष्ट हुन आउँछ। प्रस्तावित थरूहट स्वायत्त क्षेत्रमा आदिम कालदेखि थारू समुदायका मानिसहरू बसोबास गर्दै आइरहेको क्षेत्रको रूपमा लिइन्छ। यस क्षेत्रमा बसोबास गर्ने थारू समुदायलाई भूमिपुत्रको रूपमा चिनिन्छ। यसै क्षेत्रको रूपन्देही जिल्लाको लुम्विनीमा सिद्धार्थ गौतमबुद्बको जन्म भएको थियो। उहाँको जन्म थारू समुदायमा भएको विभिन्न विद्वान इतिहासकारहरूको भनाइ छ। संवैधानिक थारू आयोगले नेपाल सरकारलाई संविधानको धारा ५६ को उपधारा (५) बमोजिम थारू समुदायको सामाजिक, सांस्कृतिक संरक्षण तथा आर्थिक विकासका लागि थारूवानथरूहट विशेष, संरक्षित वा स्वायत्त क्षेत्र घोषणा गरी कार्यान्वयन गर्नहुन सिफारिस गरेको छ। सुदूरपश्चिम प्रदेशका तराईका थरूहट स्वायत्त क्षेत्रः यस प्रदेशका तराईका थरूहट स्वायत्त क्षेत्रमा २ वटा जिल्लाहरू रहेका छन्। ती हुन्, (१) कैलाली (२) कञ्चनपुर संविधान र कानुनमा उल्लेख भएअनुसार थरूहट स्वायत्त क्षेत्र कायम गर्न देहायका आधारहरू रहेका छन्, १ एकै भाषा वा संस्कृति भएका समुदायको सघन उपस्थिति र बाहूल्यताः सघन उपस्थिति र बाहुल्यताः यस प्रदेशको २ वटा जिल्लामा थारू समुदायको जनसंख्या ३,९६,५९८ रहेको छ। यो कूल जनसंख्याको २८ प्रतिशत हुन आउँछ। थारू समुदाय यहाँको सबभन्दा ठूलो समुदाय हो। यो थरूहट स्वायत्त क्षेत्रमा थारू समुदायको सघन उपस्थिति र बाहूल्यता रहेको छ। भाषाः थारू मातृभाषा वक्ताको संख्या ४,३४,३०४ रहेको छ। यो क्षेत्रमा १७०१ प्रतिशत व्यक्तिहरूले थारू मातृभाषा प्रयोग गर्छन्। नेपाली भाषा पछिको मातृ भाषा रहेको छ। भाषा आयोगले सुदूरपश्चिम प्रदेशको सरकारी कामकाजको भाषाको रूपमा प्रयोग गर्न २०७८ भदौ २१ गते नेपाल सरकार तथा प्रदेश सरकारलाई सिफारिस गरि सकेको छ। संस्कृतिः माथि उल्लेख भइसकेको छ। २ समुदायको सामाजिक तथा आर्थिक विकास सूचकांक राष्ट्रिय औसतभन्दा कम रहेकोः अवस्थाको बारेमा माथि उल्लेख भइसकेको छ। नेपाल मानव विकास प्रतिवेदन २०२० को बारेमा माथि उल्लेख भइसकेको छ। ३ संवैधानिक थारू आयोगले नेपाल सरकारलाई संविधानको धारा ५६ को उपधारा (५) बमोजिम थारू समुदायको सामाजिक, सांस्कृतिक संरक्षण तथा आर्थिक विकासका लागि थारूवानथरूहट विशेष, संरक्षित वा स्वायत्त क्षेत्र घोषणा गरी कार्यान्वयन गर्नहुन भनि सिफारिस गरिसकेको छ। अन्त्यमा, संविधान प्राप्त भएको दशौं वर्षमा संविधान तथा कानुनको आवश्यक आधारहरू पूरा भई लुम्बिनी थरूहट स्वायत्त क्षेत्र र सुदूरपश्चिम थरूहट स्वायत्त क्षेत्रको घोषणा तथा कार्यान्वयन भएमा संविधान तथा कानुनको मर्म पूरा हुनुको साथै समुदायका जनताहरूको चाहना र आवश्यकता पूरा भई संविधानको औचित्य प्रमाणित हुनेछ। लेखक थारू आयोगका सदस्य हुन्।"
"शिक्षालाई श्रम, रोजगारी र देशभक्तिसँग जोड्नुपर्छ : उपराष्ट्रपति","काठमाडौं : उपराष्ट्रपति रामसहाय प्रसाद यादवले शिक्षालाई साक्षरतामा मात्रै सीमित नराखी यसलाई श्रम, रोजगारी र देशभक्तिसँग जोड्नुपर्ने बताएका छन्। उपराष्ट्रपति यादवले सोमबार उदयपुर चौदण्डीगढी नगरपालिका८ स्थित सरस्वती मावि सावाको स्वर्ण जयन्ती समारोहलाई सम्बोधन गर्दै सो कुरा बताएका हुन्। उनले पछिल्लो समय बदलिँदो विश्व परिवेश र प्रविधि युग अनुरुप शिक्षा प्रणाली, पाठ्यक्रम, पाठ्यपुस्तक, शिक्षण विधि र शिक्षण सिकाइ क्रियाकलाप आदि परिस्कृत र परिमार्जित गर्दै व्यवहारिक बनाउन उत्तिकै आवश्यक रहेको समेत उल्लेख गरे। उपराष्ट्रपति यादवले समाजमा सबैमा समानताको भावना जागृत गर्न एवं देशको विकास र समृद्धिमा सहयोग गर्न पनि शिक्षालाई आजको आवश्यताअनुसार परिमार्जन गर्दै लैजानु पर्नेमा जोड दिए। शिक्षा भनेको समाजको आधारभूत स्तम्भ भएको बताउँदै उनले शिक्षाले मानिसलाई आत्मनिर्भर, सशक्त र सचेत नागरिक बनाउने बताए। उपराष्ट्रपति यादवले दुर्गममा भएर पनि सरस्वती माविले शिक्षाको महत्वपूर्ण उद्देश्यहरूलाई आत्मसात गर्दै गुणस्तरीय शिक्षाको प्रवर्धन गर्नमा सहयोगी भूमिका निर्वाह गरिरहेकोमा विद्यालयको प्रशंसासमेत गरे।"
सहमति अनुसार सरकार चलेको छः डा महत,"नुवाकोट : नेपाली कांग्रेसका प्रवक्ता तथा पूर्व अर्थमन्त्री डा प्रकाशशरण महतले देशलाई निकास दिन दुई ठूला दलहरूबीच भएको सहमति अनुसार सरकार चलेको दाबी गरेका छन्। उनले सरकारले कांग्रेस र एमालेको साझा भावना अनुसार कार्य गरिरहेको समेत बताए। नुवाकोटको पन्चकन्यास्थित घ्याङस्वारामा तरुण दलले आयोजना गरेको कार्यक्रममा नेता डा महतले देशलाई विधि र नीति अनुसार सञ्चालन गर्न भएको दुई दलीय सहमति अनुसार सरकार क्रियाशील रहेको र सरकारलाई साथ दिन नेपाली कांग्रेस अडिग रहेको बताएका छन्। डा महतले सरकार विरोधी शक्तिहरू सल्बलाउन थालेका कारण यसको निरुपण जरुरी रहेको समेत बताए। देशमा भएका समस्या समाधान गरेर अगाडि बढ्न कांग्रेस र एमालेबीच सहमति भएको उल्लेख गर्दै सो सहमति आगामी निर्वाचनसम्मै जाने बताए। सहमति अनुसार प्रधानमन्त्री केपी शर्मा ओलीको समयावधि पुगेपछि कांग्रेसले सरकारको नेतृत्व गर्नेसमेत प्रवक्ता महतले बताए। ओलीपछि देशको नेतृत्व कांग्रेस सभापति शेरबहादुर देउवाले गर्ने महतको भनाइ छ। दुई दल प्रस्ट छौं, कोही कसैले केही कुरामा भाँजो हाल्न थालेका छन्। तर, हामी दुई दल देशलाई सत्मार्गमा लैजान केन्द्रित छौं, डा महतले अगाडि भने। डामहतले नेपाली कांग्रेसको एक सय दिने कार्यक्रम अन्तर्गत आयोजित कार्यक्रममा पार्टी स्थापना गर्ने संस्थापक नेताहरूको त्याग र योगदानबाट सिर्जित विधि र नीतिले मुलुकको विश्वासिलो र भरपर्दो पार्टीको छवि कायम राख्न कांग्रेस सफल हुँदै आएको बताए।"
वीरगन्ज महानगरमा थप सीसीटीभी जडानका लागि त्रिपक्षीय सम्झौता,"वीरगन्ज : वीरगन्ज महानगरको सहरी क्षेत्रमा थप ८० वटा सीसीटीभी जडान गरिने भएको छ। महानगरको सहरी क्षेत्रका सार्वजनिकस्थलमा हाल ८० वटा सीसीटीभी जडान गरिएकोमा थप ८० वटा जडान गरिने भएको वीरगन्ज उद्योग वाणिज्य संघ अन्तर्गतको सेफर वीरगन्जका संयोजक मनोज दासले जानकारी दिए। त्यसका लागि सोमबार वीरगन्ज महानगरपालिका, सेफर वीरगन्ज र जिल्ला प्रहरी कार्यालय पर्साबीच त्रिपक्षीय सम्झौता भएको छ। वीरगन्ज महानगरपालिकाका मेयर राजेशमान सिंहको कार्यकक्षमा मेयर सिंहकै रोहबरमा त्रिपक्षीय सम्झौता गरिएको हो। सम्झौतापत्रमा महानगरपालिकाका तर्फबाट प्रमुख प्रशासकीय अधिकृत अरविन्द लाल कर्ण, सेफर वीरगन्जका तर्फबाट संघका अध्यक्ष अनिलकुमार अग्रवाल र जिल्ला प्रहरी कार्यालय पर्साका तर्फबाट प्रहरी उपरीक्षक कुमोद ढुंगेलले हस्ताक्षर गरेको सेफर वीरगन्जका संयोजक दासले जानकारी दिए। उनका अनुसार पावर हाउस चोकदेखि उत्तर र पश्चिम तर्फको सडक र टोलका साथै जनघनत्व बढी भएका टोलमा थप ८० वटा सीसीटीभी जडान गरिनेछ। साथै त्यसका लागि वीरगन्ज महानगरपालिकाले आर्थिक तथा प्राविधिक सहयोग गर्ने, अपुग रकम जोहोको लागि सेफर वीरगन्जले बैंक तथा वित्तीय संघसंस्थासँग समन्वय गर्ने र जिल्ला प्रहरी कार्यालय पर्साले जडान गरिएका सीसीटीभी को कन्ट्रोल रुमका साथै रेखदेखको जिम्मा लिने सम्झौतापत्रमा उल्लेख गरिएको छ। सीसीटीभी क्यामेजराको सञ्जालमार्फत वीरगन्ज सहरलाई थप सुरक्षित र भय रहित बनाउने उद्देश्यले सहरका विभिन्न स्थानमा थप सीसीटीभी जडान गर्न लागिएको र त्यसका लागि सोमबार त्रिपक्षीय सम्झौता गरिएको वीरगन्ज महानगरका मेयर राजेशमान सिंहले बताए।"
पत्रकारहरूको पेशागत सुरक्षाका निम्ति प्रदेश सरकार प्रतिबद्ध : मुख्यमन्त्री सिंह,महोत्तरी : मधेश प्रदेशका मुख्यमन्त्री सतिशकुमार सिंहले पत्रकारहरूको पेशागत सुरक्षाका निम्ति प्रदेश सरकार गम्भीर रहेको बताएका छन्। सोमबार नेपाल पत्रकार महासंघ मधेश प्रदेशको नव कार्यसमितिलाई प्रमाणपत्र वितरण तथा पदभार ग्रहण समारोहलाई सम्बोधन गर्दै मुख्यमन्त्री सिंहले सो कुरा बताएका हुन्। मधेश प्रदेश समितिको कार्यालय भवन निर्माण गर्नका लागि प्रदेश सरकारले चालु आर्थिक वर्षमा ८० लाख रुपैयाँ बजेट विनियोजन गर्नुका साथै पत्रकारहरूको पेशागत सुरक्षाका निम्ति ७ लाखको दुर्घटना तथा १ लाखको स्वास्थ्य बिमाको लागि बजेट छुट्याएको मुख्यमन्त्री सिंहले धारणा राखेका छन्। त्यस्तै उच्च शिक्षा हासिल गर्ने पत्रकारका लागि प्रदेश सरकारले छात्रवृत्ति दिने व्यवस्था गरेको उनले बताएका छन्। पत्रकारहरूले मधेश प्रदेश सरकारले गरेको सकारात्मक कार्यको प्रचार गरिदिनका लागि आग्रह गर्दै नकारात्मक समाचार मात्र दिँदा मधेश प्रदेशलाई हेर्ने दृष्टिकोण नै नकारात्मक बन्न थालेकाले यसतर्फ सचेत रहनका लागि समेत उनले आग्रह गरेका छन्। जनकपुरधाम उपमहानगरपालिकाका नगरप्रमुख मनोज कुमार साहले नेपाल पत्रकार महासंघको भवन निर्माणका लागि उपमहानगरपालिकाले सक्दो सहयोग गर्ने प्रतिबद्धता जनाएका छन्। नवनिर्वाचित मधेश प्रदेशका अध्यक्ष श्याम बन्जाराले सबैको साथ र सहयोगमा अध्यक्षको जिम्मेवारी प्राप्त भएको उल्लेख गर्दै सबैको साथ र सहयोगमा महासंघ सञ्चालन गर्ने प्रतिबद्धता व्यक्त गरेका छन्। पदभार ग्रहण लगतै बसेको समितिको पहिलो बैठकले पत्रकार महासंघ मधेश प्रदेशका लागि जग्गा प्राप्ति र भवन निर्माण गर्नका लागि समिति गठन गरेको छ। गत मंसिर २८ गते सम्पन्न निर्वाचनको क्रममा मधेश प्रदेश कार्य समितिमा निर्वाचित पदाधिकारीलाई निर्वाचन समितिका संयोजक वरिष्ठ पत्रकार रामभरत साहले प्रमाणपत्र वितरण गरेका छन्।
चितवनमा चिसोले बिरामीको सङ्ख्यामा वृद्धि,"चितवन : चिसोका कारण यहाँका अस्पतालहरुमा बिरामीको सङ्ख्यामा वृद्धि भएको छ । पछिल्ला दिनहरुमा चिसोका कारण हुने रोगको समस्या लिएर अस्पताल आउने बिरामीको सङ्ख्यामा वृद्धि भएको हो । मुख्यगरी अस्पतालका मेडिसिन, बालरोग र हाडजोर्नी विभागमा यस्ता बिरामीको सङ्ख्या धेरै छ । अस्पतालहरूमा बिरामीको चाप बढ्दै गएपछि चिकित्सकले चिसोबाट बच्न आग्रह गरेका छन् । भरतपुर अस्पतालका वरिष्ठ फिजिसियन डा प्रमोद पौडेलका अनुसार आफ्नो विभागमा दैनिक आउने बिरामीमध्ये २० प्रतिशत चिसोका समस्या भएर आउने गरेका छन् । उनले भने, चिसोका कारण रुघा, खोकी, ज्वरो, दम बढ्ने, घाँटी दुख्नेजस्ता समस्याका बिरामी बढेका छन् । मुटुको समस्या र उच्च रक्तचापका बिरामीले चिसोमा हिँड्न उचित नहुने उनको भनाइ छ । हिँड्नै परेमा न्यानो कपडा लगाउने, नाक, मुख, टाउको घाँटी छोपेर, हातमा पन्जा लगाएर हिँड्दा उत्तम हुने उनले बताए । भरतपुर अस्पतालका बालरोग विशेषज्ञ डाखेमराज पौडेल अस्पतालमा उपचारका लागि आएका बालबालिकामध्ये ७० प्रतिशतमा चिसोको समस्या देखिएको बताउँछन् । चिसोका कारण बालबालिकामा रुघा, खोकी, निमोनिया, छालाको समस्या बढी देखिएको उनले बताए । यसैगरी जोर्नी दुखाइका बिरामीको सङ्ख्या पनि अस्पतालमा बढेका छन् । चितवन मेडिकल कलेज (सिएमसी) शिक्षण अस्पतालका निर्देशक प्राडा दयाराम लम्सालले पछिल्लो समय जोर्नीको दुखाइ, रुघाखोकी, ज्वरो, दम, छालाका समस्या लिएर आउने बिरामीको सङ्ख्या बढ्दै गएको बताउँछन् । उनले भने, यस्ता बिरामी कम हुने समय हो, तर अहिले चिसोका कारण यस्तो समस्या लिएर आउने बिरामीको सङ्ख्या वृद्धि भएको छ ।"
