शीर्षक,विवरण
हाटबजार सञ्चालन कार्यविधि निर्माण गर्न कृषकसँग छलफल,अर्घाखाँची : अर्घाखाँचीको सन्धिखर्क नगरपालिकामा हाटबजार सञ्चालन कार्यविधि निर्माण सम्बन्धमा अगुवा कृषकहरू बीच अन्तरक्रिया कार्यक्रम सम्पन्न भएको छ। सन्धिखर्क नगरपालिकाको आयोजना र अर्घाखाँची सन्धिखर्क तरकारी उत्पादन तथा बजारीकरण समूहको समन्वयमा कार्यक्रम सम्पन्न भएको कृषि शाखा प्रमुख राजेन्द्र भट्टराईले बताए। हाटबजारमा तरकारी बिक्रीमा लागि रहने अगुवा कृषकहरूको सहभागिता रहेको थियो। हाटबजारमा भएको समस्याका बारेमा कृषकले भनाइ राखेका थिए। सन्धिखर्कमा प्रत्येक शुक्रबार बसपार्क र मंगलबार ट्राफिक लाइनमा लाग्दै आएको हाटबजार व्यवस्थित गर्ने विषयमा छलफल भएको थियो।
मंगलबार देशका यी स्थानमा हुने छ वर्षा,"काठमाडौं : मंगलबार कोशी प्रदेश,बागमती प्रदेश र गण्डकी प्रदेशमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम मुख्यतया सफा रहने छ। मौसम पूर्वानुमान महाशाखाका अनुसार कोशी प्रदेश, बागमती प्रदेश र गण्डकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा हल्का वर्षा साथै उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ। मंगलबार राति कोशी प्रदेश, बागमती प्रदेश र गण्डकी प्रदेशका पहाडी भूभागमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम मुख्यतया सफा रहने छ। कोशी प्रदेश, बागमती प्रदेश र गण्डकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा हल्का वर्षाको साथै उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ।"
नेपाल निप्पोन चेम्बर अफ कमर्स एण्ड इन्डस्ट्रिज स्थापना,"काठमाडौं : नेपाल र जापान बीचको व्यापार, उद्योग, पर्यटन, र आर्थिक सम्बन्धलाई सुदृढ गर्न नेपाल निप्पोन चेम्बर अफ कमर्स एण्ड इन्डस्ट्रिज स्थापना गरिएको छ। सामाजिक सेवा मुलक गैरनाफामूलक कम्पनीका रूपमा दर्ता गरिएको यस संस्थाले नेपाल र जापानका उद्योगपति, व्यापारी, तथा व्यावसायिक समुदायबीच सहकार्य र समझदारीलाई प्रवर्द्धन गर्ने उद्देश्य राखेको छ। साथै, व्यापार, कृषि, उद्योग, र पर्यटनमा तथ्यांक तथा जानकारी संकलन गरी दुवै देशको विकासमा टेवा पुर्याउनेछ। प्रथम वार्षिक साधारण सभामा निर्वाचित अध्यक्ष, निर्वाचित उपाध्यक्ष साथै सञ्चालक सदस्यहरूको उपस्थिति थियो । निप्पोन चेम्बर अफ कमर्स एण्ड इन्डस्ट्रिजको कार्यालयको उद्घाटन जापानी दूतावासका मिशन उपप्रमुख तमुरा ताकाहिरोले गरेका थिए। यो चेम्बर कुनै मुनाफा वितरण नगर्ने गरी सञ्चालन गरिनेछ र आर्जित मुनाफा चेम्बरका उद्देश्यहरू पूरा गर्न मात्र खर्च गरिने व्यवस्था रहेको छ। सदस्य बन्न इच्छुक १८ वर्ष उमेर पुगेका नेपाली नागरिकले १० हजार शुल्क बुझाएर सदस्यता प्राप्त गर्न सक्नेछन्। तर सदस्यता हस्तान्तरण गर्न भने सकिने छैन। संस्थाले समाज कल्याण ऐन २०४९ तथा कम्पनी ऐन २०६३ अनुसार कानुनी प्रक्रिया पालना गर्दै वैदेशिक आर्थिक, प्राविधिक तथा वस्तुगत सहयोग लिनुपरेमा समाज कल्याण परिषद्को पूर्व स्वीकृति लिनेछ। यस चेम्बरको रजिस्टर्ड कार्यालय काठमाडौं महानगरपालिका२७ मा रहेको छ। चेम्बरको कोष सदस्यता शुल्क, अनुदान, तथा अन्य वैधानिक स्रोतबाट संकलन गरी सञ्चालन गरिनेछ।"
"जोन्टा, एनसेल फाउन्डेसन, युएनएफपीए र युनिसेफ नेपालबीच लैंगिक हिंसाविरुद्ध १६ दिने अभियानका लागि सहकार्य","काठमाडौं : विश्वभर मनाइने लैंगिक हिंसाविरुद्धको १६ दिने अभियानको अवसरमा, जोन्टा, एनसेल फाउन्डेसन, युएनएफपीए, र युनिसेफ नेपालले बालविवाह अन्त्यको लागि जनसचेतना जगाउन र संयुक्त पहलद्वारा यसको समाधान खोज्न योगदान पुर्याउने उद्देश्यले महिलाविरुद्धको हिंसा उन्मूलनका लागि अन्तर्राष्ट्रिय दिवसको अवसरमा एक विशेष कार्यक्रम आयोजना गरेको छ। कार्यक्रममा महिला नेतृत्वमा रहेका संस्थाहरू, निजी क्षेत्रका प्रतिनिधिहरू, र विभिन्न सरोकारवालाहरूले बालविवाह अन्त्यका समाधानबारे छलफल गरे। कार्यक्रमको उद्घाटन जोन्टाका अध्यक्ष बिना रानाले गरेका थिए। उनले बालविवाह रोक्न सबै पक्षको सहकार्य अपरिहार्य रहेकोमा जोड दिए। युनिसेफ नेपालकी डेप्यूटी रिप्रेजेन्टेटिभ टू नेपाल जी ह्युन राह, युएनएफपीए नेपालकी लैगिंक तथा मानव अधिकार विशेषज्ञ, कमला विष्ट, कलाकार प्रकाश सपुत, र एसडीजी स्टुडियोले शिरमै फुर्के रिबन शीर्षकको संगीत भिडियो सार्वजनिक गरे। यो भिडियो किशोर किशोरीहरूलाई बालविवाहका असरबारे सचेत गराउन युएनएफपीए र युनिसेफ नेपालले संयुक्त रूपमा बनाएका हुन्। नेपालमा बालविवाह अझै पनि लैंगिक समानता र महिला तथा किशोरीहरूको सशक्तिकरणको लागि प्रमुख चुनौती बनेको छ। यहाँ तीनमध्ये एक किशोरी १८ वर्षभन्दा पहिले नै विवाह गर्छन्, जसले गर्दा उनीहरूको स्वास्थ्य, शिक्षा, र आर्थिक अवसरमा गम्भीर असर पार्छ। महिला, बालबालिका, तथा ज्येष्ठ नागरिक मन्त्रालयका उपसचिव दीपक ढकालले भने, बालविवाह मानव अधिकारको उल्लङ्घन हो र यसलाई समाधान गर्न विभिन्न क्षेत्रको सहकार्य आवश्यक छ। महिला नेतृत्वमा रहेका संस्थाहरू र महिला सशक्तिकरणका कार्यक्रमहरूले लैंगिक हिंसाविरुद्ध अग्रणी भूमिका खेल्दै आएका छन्। यी संस्थाहरूले महिलाहरू र किशोरीहरूको वास्तविक आवश्यकता बुझेर दीर्घकालीन परिवर्तन ल्याउन सक्छन्। महिला अधिकारकर्मी तथा यूनाइटेड नेशनकी सीइडीएडब्ल्यु, कमिटी सदस्य बन्दना रानाले भनिन्, महिलाहरू र किशोरीहरूको विविध आवश्यकतालाई प्राथमिकतामा राखेर काम गर्ने संस्थाहरूले लैंगिक समानता प्रवर्धन गर्न र स्थायी परिवर्तन ल्याउन सक्षम छन्। निजी क्षेत्रले पनि बालविवाह अन्त्यका प्रयासहरूमा महत्वपूर्ण भूमिका खेल्न सक्छन्। स्रोत, प्लेटफर्म र आफ्नो प्रभावमार्फत, नेपाली व्यवसायहरूले लैंगिक समानता तथा बाल संरक्षण प्रवर्धन गर्ने निती आफ्नो कार्यस्थलमा समावेश गर्न सक्छन्। साथै, आर्थिक सशक्तिकरणका कार्यक्रमहरूद्वारा किशोरीहरू र महिलाहरूलाई बालविवाहको विकल्प उपलब्ध गराउन सक्छन्। यस कार्यक्रममा आफ्नो धारणा राख्दै एनसेलकी हेड अफ कर्पोरेट कम्युनिकेसन्स एण्ड सिएसआर, विशाखा लक्ष्मी खड्काले भनिन् नेपालको एक अग्रणी निजी क्षेत्रको रूपमा एनसेल समावेशी र समानतामा आधारित समाज निर्माणप्रति प्रतिबद्ध छ। एनसेलमा हामी लैंगिक हिंसाको अन्त्य गर्नु केवल सामाजिक आवश्यकता मात्र नभइ सबैको नैतिक जिम्मेवारी पनि हो भन्ने विश्वास राख्छौं। यस किसिमको विभिन्न क्षेत्रको साझेदारीहरूको माध्यमबाट, हामी यस सामूहिक प्रयासलाई प्रोत्साहन गर्न, समुदायलाई सशक्त बनाउन सक्ने वातावरण निर्माणतर्फ काम गर्न चाहन्छौं। बालविवाहको मूल समस्याहरू, जस्तै गरिबी, शिक्षा अभाव, र सीमित आर्थिक अवसरलाई समाधान गर्न महिला नेतृत्वमा रहेका संस्थाहरू, निजी क्षेत्र, र अन्य सरोकारवालाहरूको एकीकृत दृष्टिकोण आवश्यक छ। यस सहकार्यद्वारा बालविवाह अन्त्य गर्न सबै पक्षले आफ्नो अनुभव र स्रोत प्रयोग गरी योगदान गर्न सक्छन्। जोन्टा क्लब काठमाडौंकी अध्यक्ष बिना रानाले भने, लैंगिक हिंसा अझै पनि गम्भीर समस्या हो, जसलाई बालविवाहको बढ्दो दर र जलवायु परिवर्तनका खतराहरूले थप जटिल बनाएको छ। जोन्टा सेज नो टु भायोलेन्स अगेंस्ट वुमन अभियानमार्फत, हामी महिलाहरू, किशोरीहरू र समाजको उज्ज्वल भविष्य निर्माण गर्न प्रतिबद्ध छौं। २०१८ देखि जोन्टा इन्टरनेशनलले युएनएफपीएयुनिसेफ ग्लोबल प्रोग्राम टु इन्ड चाइल्ड म्यारिजलाई समर्थन गर्दै आएको छ। युनिसेफ, युएनएफपीए, र एनसेल फाउन्डेसनसँग सहकार्य गर्न पाउँदा हामी निकै हर्षित छ। कार्यक्रमको समापनमा, युनिसेफ नेपालकी जी ह्युन राहले भनिन् विभिन्न सहकार्यद्वारा हामी बालविवाहको चक्र तोड्न र महिलाहरू तथा किशोरीहरूलाई उनीहरूको सम्पूर्ण सम्भावनामा पुग्न सशक्त बनाउन सक्नेछौं। यो कार्यक्रम समानता र हिंसामुक्त समाज निर्माणतर्फको हाम्रो प्रारम्भ हो।"
उपनिर्वाचन : काठमाडौं  १६ मा घरदैलो अभियानको रौनक,"काठमाडौं : काठमाडौं महानगरपालिका  १६ मा हुन लागेको उपनिर्वाचनका लागि उम्मेदवारी दिएका उम्मेदवारहरूले घरदैलो अभियानलाई तीव्रता दिएका छन् । उपनिर्वाचन आउन केहि दिनमात्र बाँकी रहँदा उम्मेदवारहरूले घरदैलो अभियानलाई तीव्रता दिएका हुन् । मंसिर १६ गते हुने स्थानीय तह उपनिर्वाचनअन्तर्गत काठमाडौं महानगरपालिका  १६ को वडाध्यक्ष पदमा मा कांग्रेस,एमाले, रास्वपालगायत १० स्वतन्त्रसहित १८ जना उम्मेदवार कायम भएको निर्वाचन आयोगले जनाएको छ । सो वडाका लागि कांग्रेसले देवेन्द्र पाठक, एमालेले लक्ष्मीरत्न मानन्धर र राष्ट्रिय स्वतन्त्र पार्टीले रोजिना श्रेष्ठलाई उम्मेदवार बनाएको छ । त्यस्तै सोहि वडामा राप्रपा, नेकपा एककिृत समाजवादी, राप्रपा नेपााल, जसपाका उम्मेदवार पनि चूनावी मैदानमा छन् । यसअघिका वडाध्यक्ष मुकुन्द रिजालको निधन भएपछि सो वडामा उपनिर्वाचन हुन लागेको हो ।"
आइपीएल अक्सन : १ करोड १० लाखमा बिके १३ वर्षीय वैभव,काठमाडौं : १३ वर्षीय वैभव सूर्यवंशी एक करोड १० लाखमा बिकेका छन्। साउदी अरबको जेद्दामा जारी अक्सनमा राजस्थान रोयल्सले वैभवलाई १ करोड १० लाख बोली लगाएको हो। ३० लाखबाट सुरू भएको बोलकबोल १ करोड १० लाखमा टुंगिएको थियो। वैभवलाई राजस्थान र दिल्ली क्यापिटलले मोल लगाएको थियो। वैभव आइपीएल इतिहासकै कान्छो खेलाडी हुने भएका छन्। वैभव भारतको बी यु१९ टोलीबाट खेल्दै आएका छन्। विहारका वैभवले गत जनवरीमा १२ वर्षकै उमेरमा मुम्बईविरुद्ध डेब्यु गरेका थिए। फस्ट क्लास खेलमा पनि वैभवले भारतको कम उमेरमा डेब्यु गर्ने पूर्व क्रिकेटर सचिन तेन्दुकर र युवराज सिंहलाई पछि पारेका थिए। सचिन र युवराजले १५ वर्ष पुगेरमात्रै फस्ट क्लास खेलमा डेब्यु गरेका थिए। उनले यु१९ टेस्टमा छिटो सतक बनाउने कीर्तिमान कायम गरेका थिए। गत अक्टुबरमा चेन्नईको चिताम्बरम रंगशालमा अष्ट्रेलियाविरुद्ध कीर्तिमानी सतक हानेका थिए। उनले ५८ बलमा १४ चौका प्रहार गर्दै १०४ रन बनाएका थिए। उनले इंगल्यान्डका मोइन अलीको कीर्तिमान तोड्न भने दुई बलले पछि परेका थिए। यसअघि मोइन अलीले सन् २००५ मा ५६ बलमा सतक हानेका थिए। वैभव बाँया हाते ब्याटर हुन्। उनी वेस्ट इन्डिजका ब्रायन लारालाई आफ्नो आदर्श मान्छन्।
"चितवन राइनोजलाई धक्का, दक्षिण अफ्रिकाका मर्चेन्ट नआउने",काठमाडौं : नेपाल प्रिमियर लिग (एनपीएल) सुरु नहुँदै चितवन राइनोजलाई धक्का लागेको छ। दक्षिण अफ्रिकाका तीव्र गतिका बलर मर्चेन्ट डी ल्याङले एनपीएल गुमाउने भएपछि चितवनलाई धक्का लागेको हो। प्रशिक्षणका दौरान गम्भीर चोट लागेपछि मर्चेन्टले एनपीएल गुमाउने भएको हो। उक्त चोट रिकभर हुन ३ देखि ४ हप्तासम्म लाग्ने बताइएको छ। चितवनले उनको स्थानमा नयाँ खेलाडी ल्याउने जनाएको छ। सोमबार विज्ञप्ति जारी गरेर मर्चेन्टजस्तै वा अझ राम्रो खेलाडी अनुबन्धन गर्ने बताएको छ।
पहिले नै तर्सेर बीआरआई 'लिनै हुन्न' नभनौं : बाबुराम भट्टराई,"गोरखा : पूर्वप्रधानमन्त्री डाक्टर बाबुराम भट्टराईले देशको हितमा हुनेगरी बीआरआईको समर्थन गर्नुपर्ने तर्क गरेका छन्। सोमबार गृहजिल्ला गोरखाका पत्रकारहरूसँगको भेटमा डाक्टर भट्टराईले देशको हितमा हुने अनुदानका कार्यक्रम अघि बढाउनुपर्ने विचार व्यक्त गरेका हुन्। नेपाल विश्वका उदीयमान दुई ठूला शक्ति चीन र भारतको बीचमा रहेको र विश्वमहाशक्ति अमेरिकाले पनि चासो राख्ने क्षेत्र भएको हुनाले यी सबै शक्तिहरूसँग सन्तुलित मित्रवत् सम्बन्ध राख्नुपर्छ, उनले भने, हामी अहिले अल्पविकसित अवस्थामा छौं। विकासका निम्ति हामीले विदेशी पुँजी, प्रविधि, ज्ञान, सद्भावसँगसँगै व्यापारको आवश्यकता छ। त्यसका निम्ति हामीले जसरी भारत, अमेरिकालगायतसँग सहयोग लिँदै आएका छौं। त्यसरी नै चीनले अघि सारेको बेल्ट एण्ड रोड इनिसियटिभ (बीआरआई)का पनि नेपालको हित अनुकूलका पक्षलाई ग्रहण गरेर हामीले आफ्ना विकासलाई अघि बढाउनु पर्छ, मेरो कुरो यही हो। अनुदान परियोजनाहरू स्वीकार गर्नु हितकर हुने उनले बताए। सहयोगका परियोजना सञ्चालन गर्दा पनि जसले पनि आफ्नो देशको हितका लागि नै गर्ने हुन्छन्। दान, दक्षिणा, उपकार, परोपकारका लागिमात्र त कसैले पनि गर्दैन। तर, कतिपय अवस्थामाचाहिँ आफ्ना रणनीतिक स्वार्थ भएका ठाउँहरूमा सञ्चालन हुने गरी उनीहरूले अनुदान मात्र पनि दिने गर्छन्, डाक्टर भट्टराईले भने, जसरी अमेरिकाले रणनीतिक स्वार्थअनुकूलको भए पनि एमसीसी भनेर अनुदान त दिएको हो नि। स्वार्थ जसको पनि हुन्छ। बीआरआईमा पनि ऋण पनि छ, अनुदान पनि छ। हाम्रो आवश्यकता के हो, हाम्रो प्राथमिकता के हो भन्ने आधारमा छनोट गरेर राष्ट्रिय हितमा हुने गरी बीआरआई स्वीकार गर्नुपर्छ। पहिले नै तर्सेर लिनै हुन्न, हुँदै हुन्न भन्न नहुने आफ्नो स्पष्ट धारणा रहेको उनको भनाइ छ।"
धितोपत्र बोर्डको अध्यक्षमा सन्तोष नारायण श्रेष्ठ नियुक्त,काठमाडौं : सरकारले धितोपत्र बोर्डको अध्यक्षमा सन्तोष नारायण श्रेष्ठलाई नियुक्त गरेको छ। सोमबार बसेको मन्त्रिपरिषद् बैठकले श्रेष्ठलाई बोर्डको अध्यक्षमा नियुक्त गरेको एक मन्त्रीले अन्नपूर्णलाई बताए। अध्यक्ष नियुक्ति सिफारिसका लागि योजना आयोगको उपाध्यक्षको संयोजकत्वमा समिति बनेको थियो। समितिले आइतबार श्रेष्ठसहित डा नवराज अधिकारी र मुक्तिनाथ श्रेष्ठको नाम सिफारिस गरेको थियो। सोही सिफारिसको आधारमा मन्त्रिपरिषद् बैठकमा अर्थमन्त्री विष्णु पौडेलले प्रस्ताव पेस गरेका थिए। सोही आधारमा मन्त्रिपरिषद्ले उनीहरूमध्ये सन्तोष नारायण श्रेष्ठलाई धितोपत्र बोर्डको अध्यक्षमा नियुक्त गरेको हो। खिचातानीका कारण गत पुसदेखि धितोपत्र बोर्ड नेतृत्वविहीन थियो। सर्टलिस्टमा परेकाहरूको अन्तर्वार्तासमेत हिजो सकिएको थियो। आवेदन दिएकामध्ये कृष्ण कार्की र डा नवराज अधिकारीको अन्तर्वार्ता र प्रस्तुतीकरण आइतबार भएको हो। अन्तर्वार्तामा अर्का उम्मेदवार चिरिञ्जिवी चापागाईं भने अनुपस्थित थिए। आवेदकहरू सन्तोष नारायण श्रेष्ठ र मुक्तिनाथ श्रेष्ठको पहिले नै अन्तर्वार्ता भइसकेको थियो।
सिटी एक्सप्रेस मनी ट्रान्सफरलाई मध्यमस्तरीय करदाता कार्यालयको विशेष अन्तरक्रिया कार्यक्रममा सम्मान,"काठमाडौं : सरकारलाई बढी कर बुझाउने सिटी एक्सप्रेस मनी ट्रान्सफरलाई मध्यमस्तरीय करदाता कार्यालयले सम्मान गरेको छ। गत हप्ता मध्यमस्तरीय करदाता कार्यालयमा आयोजित करदातासँगको अन्तरक्रिया कार्यक्रममा प्रमुख कर प्रशासक पार्वती शर्माले सिटी एक्सप्रेसका अध्यक्ष चन्द्र टण्डनलाई सम्मानित गरेका थिए। सम्मानका क्रममा कार्यालयको तर्फबाट बधाई तथा शुभकामना दिँदै शर्माले अन्य सम्पूर्ण करदाताले समेत सिटी एक्सप्रेस जस्तै समयमा कर तिर्ने करदाताको पहिचान बनाउन सबैलाई आग्रह गरे। सो कार्यक्रममा कर दातालाई कर इमान्दार भएर तिरिदिन कार्यालयको तर्फबाट अनुरोध गर्दै कर शिक्षा, बक्यौता असुली र आर्थिक ऐन २०८१ ले दिएका सुविधा बारे छलफल भएको थियो। सिटी एक्सप्रेसका अध्यक्ष चन्द्र टण्डनले कर तिर्नु करदाताको दायित्व मात्र नभएर कर्तव्य पनि हो र सबै जनाले पारदर्शी रूपमा कर तिरि समृद्ध नेपाल बनाउन सहयोग गर्नको लागी सम्पूर्ण ब्यक्तीहरुलाई अनुरोध पनि गरे। साथै मध्यमस्तरीय करदाता कार्यालयले व्यवसायीमैत्री सम्बन्धमा साथ काम गरेकोमा धन्यवाद दिए। मध्यमस्तरीय करदाता कार्यालयमा सिटी एक्सप्रेस, रेमिट्यान्स कम्पनीहरु मध्ये सबैभन्दा बढी कर बुझाएपछि उत्कृष्ट करदाताको रूपमा सम्मानित भएको हो। आर्थिक वर्ष २०७९८० को आय विवरण अनुसार रेमिट्यान्स तथा मनी ट्रान्सफरको कारोबार गर्ने मध्ये सिटी एक्सप्रेस धेरै कर तिर्ने कम्पनी बनेको छ। कम्पनीलाई मंसिर १ गते शनिबार राष्ट्रिय कर दिवस२०८१ को अवसरमा आन्तरिक राजस्व विभागले आर्थिक वर्ष २०७९८० मा सबैभन्दा बढी कर तिर्ने कम्पनीका रूपमा सम्मान गरेको थियो। कम्पनीलाई रेमिट्यान्स तथा मनी ट्रान्सफरको कारोबार गर्ने मध्येबाट सबैभन्दा धेरै आयकर दाखिला गरी राष्ट्रिय विकासमा योगदान पुर्याएको भन्दै सम्मान गरिएको हो। सिटी एक्सप्रेस मनी ट्रान्सफरले रेमिट्यान्स क्षेत्रमा आफ्नो छुट्टै पहिचान बनाउँदै १८ वर्षदेखि संसारभरबाट नेपालमा पैसा भित्र्याउन रेमिट्यान्स सेवा प्रदान गर्दै आइरहेको छ। हालै सिटी एक्सप्रेस मनी ट्रान्सफरले सिटी पे वालेटमार्फत अनलाइन भुक्तानीको सेवा सुचारु गरेको छ। सिटी पेबाट रेमिटेन्स भुक्तानी पनि गर्न सकिने कम्पनीले जनाएको छ।"
