शीर्षक,विवरण
मुखर्जी यात्राको सन्देश,"झन्डै दुई दसकको अन्तरपछि भारतका राष्ट्र प्रमुख औपचारिक नेपाल यात्रामा आएका छन् । संयोगले राष्ट्रपति प्रणव मुखर्जी नेपाल मामिलासँगै नेपाल भारत सम्बन्धको उतारचढावका साक्षी मात्र हैन, त्यसका प्रमुख कारक र कर्ता पनि रहिआएका छन्, भारतीय कांग्रेस नेतृत्वको सरकारमा विदेशमन्त्रीका रूपमा । नेपालको राजनीतिक, प्रशासनिक तथा सामाजिक स्वरूप प्रभावित गर्ने गरी आएको बाह्रबुँदेमा मुखर्जीको महत्त्वपूर्ण भूमिका सर्वविदितै छ । १७ हजार नेपालीको ज्यान लिएको सशस्त्र विद्रोहको पक्ष या माओवादीलाई शान्तिप्रक्रियामा ल्याउने हदसम्मको भूमिकाको लागि भारतले पटकपटक नेपालमा स्वागत र स्याबासी पाएको छ । तर त्यसपछि नेपालको आन्तरिक राजनीतिमा केही अलोकप्रिय नेताहरूलाई च्यापी भारतीय प्रशासन तथा कूटनीतिका पदाधिकारीहरूद्वारा भएको खुला हस्तक्षेपका कारण नेपालमा भारत अत्यन्तै अलोकप्रिय भएको छ । ढिलै भए पनि भारतका वैदेशिक तथा सुरक्षा मामिलाका विज्ञहरूले नेपालको आन्तरिक राजनीतिमा भारतको संलग्नताको आलोचना गर्न थालेका छन् । लोकतन्त्र या प्रजातन्त्रका नाममा भारतीय पक्षले दिएको सहयोगलाई राजनीति र संविधान लेखनको सार्वभौम हैसियत तथा त्यसका मूल्यविपरीत प्रयोग गर्ने कोसिस अन्ततः प्रत्युत्पादक हुनेछ । सम्भवतः अहिले नेपाल भारत सम्बन्धका तीता भोगाइ त्यसको प्रमाण हो । मुखर्जी भारतीय राजनीतिमा विभिन्न अनुभव बटुलेका कुशल राजनेता हुन् र राष्ट्रपतिको हैसियतमा रहँदा उनका भूमिका तथा हैसियतले ठूलो नैतिक अर्थ राख्छ । बाह्रबुँदेका अपेक्षित र दुईपक्षीय हिसाबले सकारात्मक पक्षलाई अगाडि बढाउँदाबढाउँदै त्यसले नेपालको राजनीतिमा अझ नेपाली जनताको भूमिका खोसेको छ, महत्त्वपूर्ण विषयहरू र निर्णय प्रक्रियामा । त्यस्तै त्यसपछिको 'संघीयता' पक्ष र विपक्षको अभियानमा नेपालको सीमावर्ती क्षेत्रका केही नेताहरूलाई अभिभावकत्व प्रदान गरेर त्यहाँका जनताबीच भारत अलोकप्रिय बन्न पुगेको छ । अर्को अर्थमा बहुआयामिक र ऐतिहासिक तथा सांस्कृतिक आयामबारेको नेपाल भारत सम्बन्ध अत्यन्त संकुचित बन्न पुगेको छ । भारतको सीमा रक्षामा रगत बगाउनेहरू र तिनका आफन्तको बलिदानलाई यो 'सीमित भूगोल र सम्प्रदाय' सँग जोडिएको कूटनीतिले अवमूल्यन गरेको छ । राजनीतिक या सरकारको नेतृत्वको स्थायित्व र अस्थिरताले पक्कै पनि मुलुकको आन्तरिक सुरक्षा, सार्वजनिक सुरक्षा र आर्थिक समृद्धिका अवसरमाथि प्रतिकुल असर पार्दछन्, तर बाहिरबाट चाहेर मात्र नेपालमा राजनीतिक स्थायित्व आउँदो रहेनछ भन्ने प्रमाण विगत १० वर्षले प्रस्तुत गरेका छन् । भूकम्प र त्यसपछिको नाकाबन्दीपछि राष्ट्रपति मुखर्जीको नेपाल यात्रा भएको छ । त्यसैले यदि पहिलेको जस्तै विश्वास, आदर अनि समझदारीको सम्बन्ध बनाउन भारतले कूटनीतिक मर्यादाको लक्ष्मण रेखालाई व्यवहारतः सम्मान गर्न सकेमा स्थिति तथा सम्बन्धले निकै सहजता पाउनेछ । मुखर्जी भ्रमणमा सार्वजनिक बिदा दिएर र सार्वजनिक गतिविधि, सवारी आवतजावत अनि परीक्षार्थी विद्यार्थीहरूको अधिकारप्रति आतिथेय सरकार संवेदनहीन हुँदा त्यसबारे केही आलोचनात्मक टिप्पणी आउनेछन्, आगामी केही दिनसम्म । तर मुख्य विषय दुई राष्ट्रबीचको सम्बन्धका आधार र पञ्चशीलका सिद्धान्तप्रतिको आदर हो । त्यस अर्थमा नेपालको आन्तरिक राजनीतिका पक्षविपक्षसँगको भारतको सम्बन्ध अनि भारतीय मध्यस्थतामा भएको बाह्रबुँदेपछि यहाँ अभ्यासमा ल्याइएको निषेध र बहिष्कारको राजनीतिप्रति भारतकै धारणा के भन्नेबारे पनि नेपालीहरू जान्न उत्सुक छन् । यससँगै भारतीय परियोजना कार्यान्वयन पक्षलाई कसरी विश्वसनीय बनाउने ? त्यो अर्को पक्ष हुनेछ यो यात्राको सफलता जाँच्न । तर भ्रमणका एजेन्डा र नेपाली संस्कृति फरकफरक विषय हुन् । नेपाल सुसंस्कृत र प्राचीन सभ्यताको भूमि हो । ऊ भारतको हितैषी र आफ्नो परम्पराप्रति गर्व गर्ने मुलुक हो । त्यस अर्थमा उनको स्वागत नेपालको 'अतिथि देवो भव' संस्कृति र त्यसबाट निर्देशित कूटनीतिको निरन्तरता र मुखर्जीका अधिकार तिनै हुन् ।"
भारतीय राष्ट्रपतिलाई मानार्थ महाविद्यावारिधीको उपाधि,"काठमाडौंः भारतीय राष्ट्रपति प्रणब मुखर्जी काठमाडौं विश्वविद्यालयको मानार्थ महाविद्यावारिधीबाट विभूषित भएका छन्। बिहीबार आर्मी अफिसर्स क्लबको अडिटोरियम हलमा आयोजित विशेष दीक्षान्त समारोहकाबीच प्रधानमन्त्री एवम् विश्वविद्यालयका कुलपति पुष्पकमल दाहाल प्रचण्डले भारतीय राष्ट्रपति मुखर्जीलाई मानार्थ महाविद्यावारिधीबाट विभूषित गरेका हुन्। पशुपतिनाथ मन्दिरको दर्शनका साथै पूजाअर्चना गरेपछि भारतीय राष्ट्रपति मुखर्जी मानार्थ विद्याविरिधीको उपाधि ग्रहण गर्न भद्रकालीस्थित आर्मी अफिसर्स क्लब पुगेका थिए। विशेष दीक्षान्त समारोहमा शिक्षामन्त्री एवं विश्वविद्यालयका सहकुलपति धनिराम पौडेल, विश्वविद्यालयका उपकुलपति प्राडा रामकण्ठ मकाजु श्रेष्ठलगायत सहभागी थिए। मुखर्जीले हायात होटलमा पूर्व राष्ट्रपति रामबरण यादवसहित विभिन्न राजनीतिक दलका नेताहरुसँग भेटवार्ता गरेका छन्। साँझ ५ बजे राष्ट्रिय सभा गृहमा भारतीय राष्ट्रपति मुखर्जीको नागरिक अभिनन्दन गर्ने कार्यक्रम छ।"
पूर्वराष्ट्रपति यादव र भारतीय राष्ट्रपति मुखर्जीबीच भेटवार्ता,काठमाडौँः भारतका राष्ट्रपति प्रणव मुखर्जी र पूर्व राष्ट्रपति डा रामवरण यादवबीच बिहीबार भेटवार्ता भयो । भेटका अवसरमा उनीहरुबीच नेपालभारत सम्बन्धका विविध पक्षका साथै द्विपक्षीय हित र चासोका विषयमा छलफल भएको थियो । राष्ट्रपति मुखर्जी र पूर्वराष्ट्रपति यादवबीच व्यक्तिगत मित्रतासमेत रहेको छ । अध्ययनका क्रममा यादव कोलकातामा रहँदा मुखर्जीसँग मित्रता कायम भएको हो । अन्य नेतासँगको भेटमा भन्दा पूर्वराष्ट्रपति यादवसँगको भेटमा भारतीय राष्ट्रपति मुखर्जी गम्भीर मुहारमा उपस्थित भएका थिए । रासस
मुखर्जी एसियाकै उच्च नेता,"काठमाडौँ: प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले भारतका राष्ट्रपति प्रणव मुखर्जीलाई एसिया महादेशकै एक उच्च नेताका रुपमा चित्रण गरेका छन् । काठमाडौं विश्वविद्यालयले बिहीबार राष्ट्रपति मुखर्जीलाई मानार्थ महाविद्यावारिधिको उपाधि प्रदान गर्न गरेको विशेष दीक्षान्त समारोहमा प्रचण्डले भारतलाई विकासको पथमा अग्रसर गराउन उनले गरेको भूमिकाको सराहना गरे । प्रधानमन्त्री प्रचण्डले उच्च राजनीतिक छवि बोकेका मुखर्जीको राजनीतिक व्यक्तित्व र विचार अर्थपूर्ण जीवनका लागि प्रेरक हुने पनि उल्लेख गरे । नेपालको तीनदिने राजकीय भ्रमणमा रहेका राष्ट्रपति मुखर्जीलाई अन्तर्राष्ट्रिय सम्बन्ध, सार्वजनिक सेवा र कुशल राजनीतिका लागि गुणस्तरीय शिक्षामा केन्द्रित काठमाडौँ विश्वविद्यालयले मानार्थ महाविद्यावारिधि प्रदान गरेको हो । नेपालभारतबीचको सम्बन्धमा सांस्कृतिक, धार्मिक र सामाजिक समानता पाइनुका साथै मौलिकतायुक्त पनि छ । राष्ट्रपति मुखर्जीको भ्रमणले सम्बन्धमा थप व्यापकता आएको छ, प्रचण्डले भने । जीवनमा पत्रकार, बैङ्कर, अर्थशास्त्री, कुशल राजनीतिज्ञ हुँदै उच्चतम ओहोदामा पुगेकामा मुखर्जीलाई बधाई दिँदै प्रधानमन्त्री दाहालले उनको राष्ट्रपतीय कालमा भारतले सफल स्टेटम्यानसिप पाइरहने विश्वास व्यक्त गरे । स्थापनाको २५ वर्षे यात्रामा सो विश्वविद्यालयले यसअघि नेपालका संस्कृतिविद् सत्यमोहन जोशी र भारतका राजनीतिज्ञ करण सिंहलाई मानार्थ महाविद्यावारिधि प्रदान गरिसकेको छ । मुखर्जीले यसअघि सन् २०१३ मा बङ्गलादेशको ढाका विश्वविद्यालय, सन् २०१४ मा भारतको कोलकात्ता विश्वविद्यालय, सन् २०१५ मा रसियन डिप्लोम्याटिक एकेडेमी, सन् २०१५ मा ब्रसेल्स स्टेट युनिभर्सिटी, सन् २०१५ मा जोर्डन विश्वविद्यालय र सोही वर्ष इजरायलको हेब्रु विश्वविद्यालयबाट मानार्थ महाविद्यावारिधि सम्मान प्राप्त गरिसकेका छन् । दीक्षान्त ग्रहण भाषण गर्दै भारतीय राष्ट्रपति मुखर्जीले सम्मानबाट आफू मानवसेवामा थप समर्पित हुन प्रेरणा मिलेको बताए । विश्वविद्यालयका विद्यार्थीलाई भविष्यका आशा र नेताका रुपमा सम्बोधन गर्दै उनले नवीन खोज र शिक्षा आर्जनबाट सार्वजनिक जीवनमा सार्थक योगदान दिन आह्वान गरे । मुखर्जीले भने, नवीन खोजबाट नै विश्वमा औद्योगिक विकासको युग प्रारम्भ भएको हो । मैले काठमाडौँ विश्वविद्यालयका विद्यार्थीबाट पनि त्यो काम हुने विश्वास लिएको छु । मलाई सम्मान दिएर ममाथि गरिएको मानव सेवाको अपेक्षा पनि पूरा गर्ने सङ्कल्प गर्दछु । विश्वविद्यालयका उपकुलपति डा रामकण्ठ माकजु श्रेष्ठले शैक्षिक सुधारका लागि शिक्षाको पुनःपरिभाषा गर्दै उच्च शिक्षासम्मलाई समुदाय र सीपसँग जोड्नुपर्ने बताए । विसं २०४८ मा निजी क्षेत्रको पहिलो विश्वविद्यालयका रुपमा काठमाडौँ विश्वविद्यालयको स्थापना भएको हो । सो विश्वविद्यालयबाट सयौँ भारतीय विद्यार्थीले उच्च शिक्षा हासिल गरिसकेका छन्। रासस"
कांग्रेस नेता पौडेल र अमेरिकी राजदूत टेप्लिजबीच भेटवार्ता,"काठमाडौंः नेपाली काँग्रेसका वरिष्ठ नेता रामचन्द्र पौडेल र नेपालका लागि अमेरिकी राजदूत अलाइना टेप्लिजबीच भेटवार्ता भएको छ। पौडेल निवास बोहराटारमा बिहीबार बिहान भएको भेटवार्तामा उनीहरुबीच नेपालअमेरिकाबीचको द्विपक्षीय हित र आपसी चासोका विषयमा छलफल भएको थियो। भेटमा नेता पौडेलले संविधान कार्यान्वयन र संशोधनको प्रक्रिया अघि बढेको जानकारी राजदूत टेप्लिजलाई दिएका थिए। राजदूत टेप्लिजले नेपालको आर्थिक, सामाजिक तथा पूर्वाधार विकासमा अमेरिकी सरकारले नेपाललाई निरन्तर रुपमा सहयोग उपलब्ध गराउँदै आएको र आगामी दिनमा थप सहयोग गर्ने प्रतिबद्धता जनाएकी थिइन्।"
नेपाल र भारतको जस्तो सम्बन्ध संसारका कुनै सार्वभौम राष्ट्रको छैन,"काठमाडौंः भारतीय राष्ट्रपति प्रणव मुखर्जीले नेपाल र भारतको जस्तो सम्बन्ध भएका दुई सार्वभौम राष्ट्र संसारमा कतै नभएको बताएका छन् । बिहीबार काठमाडौं महानगरपालिकाले गरेको नागरिक अभिनन्दन समारोहलाई सम्बोधन गर्दै मुखर्जीले नेपाल र भारतको सम्बन्धबारे यस्तो बताएका हुन् । नेपाल र भातरजस्तो सुमधुर सम्बन्ध भएका दुई सार्वभौम राष्ट्र संसारमा कतै छैनन्, मुखर्जीले भने । उनले नेपालमा लामो संघर्षपछि संविधान जारी भएकोप्रति खुशी व्यक्त गर्दै सबै पक्षलाई समेटेर कार्यान्वयन गरेर अगाडि बढेको हेर्न चाहेको उल्लेख गरे । नेपालले संविधानले सबै पक्षलाई समेटेर अघि बढेको हेर्न चाहन्छु, मुखर्जीले भने । भारतीय राष्ट्रपति मुखर्जीले काठमाडौंको प्रशंसा गर्दै भने, हिमालयको काखमा रहेको काठमाडौँ शहर नेपालको राजधानीमात्र नभएर हिन्दु धर्मावलम्बीहरुको आध्यात्मिक केन्द्र भएको ठान्छु । सम्बोधनका क्रममा उनले भारतको स्वतन्त्रता संग्राममा नेपालीले योगदान गरेको समेत स्मरण गरे भने भारतको उदयीमान अर्थतन्त्रबाट लाभ लिन नेपाललाई सुझाव समेत दिए । नेपालको तीनदिने भ्रमणका लागि बुधबार काठमाडौं आइपुगेका मुखर्जीलाई बिहीबार काठमाडौं महानगरपालिकाले विशेष समारोह गरी नागरिक अभिनन्दन गरेको छ । राजधानीको राष्ट्रिय सभा गृहमा आयोजित विशेष समारोहमा काठमाडौं महानगपालिकाका कार्यकारी प्रमुख रुद्रसिंह तामाङले मुखर्जीलाई अभिनन्दन पत्र, मञ्जुश्रीको मूर्ति र कलात्मक काठको झ्याल प्रदान गरे । मुखर्जीको अभिनन्दन समारोहमा प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड, परराष्ट्रमन्त्री डा प्रकाशशरण महतलगायत विशिष्ट व्यक्तित्वको उपस्थिति थियो ।"
भारतलाई चीनसँग प्रतिस्पर्धा नगर्न बाबुरामको सुझाव,"काठमाडौः पूर्व प्रधानमन्त्री तथा नयाँ शक्ति नेपालका संयोजक डा बाबुराम भट्टराईले चीन र भारत दुबैले नेपाल मामिलामा आफूलाई प्रतिस्पर्धी भन्दा सहयात्रीका रुपमा उभ्याउनुपर्ने बताएका छन् । इण्डिया फाउन्डेसन, नेपाल नीति अनुसन्धान प्रतिष्ठान र सेन्टर फर कन्टेम्पोररी स्टडिजले संयुक्त रुपमा काठमाडौंमा गरेको नेपाल र भारत : नयाँ आयामको खोजी बिषयक गोष्ठीमा बोल्दै डा भट्टराईले नेपालको आर्थिक समृद्दिमा चीन र भारत दुबै छिमेकीको भूमिका रहेको उनले बताए । भट्टराईले चीनको नेपालमा मुख्य चासो तिब्बती मामिला रहेको बताए । एक चीन नीतिमा नेपालले समर्थन जनाइसकेको छ । उसको नेपालमा अरु खासै चासो छैन उनले भने । उनले भारतले चीनसँग प्रतिस्पर्धा गर्ने अवस्था नरहेको पनि बताए । भारतलाई चीनसँग प्रतिस्पर्धा नगर्न म सुझाव दिन्छु उनले भने । भट्टराईले भारत र नेपालबीचको सम्बन्ध अन्य कुनै मुलुकसँग हुन नसक्ने पनि बताए । भारतका सुरक्षा लगायतका चासोलाई नेपालले सम्बोधन गर्नुपर्ने र भारतले नेपालको सार्वभौमसत्ताको सम्मान गर्नुपर्ने उनको भनाइ छ । नेपालको दुई तिहाई सम्पर्क र सम्बन्ध भारतसँग छ र त्यो अन्य कुनै पनि मुलुकसँग छैन् । यो धरातलीय यथार्थलाई बुझेर नेपालले आफ्ना नीति र ब्यावहारहरु निर्देशित गर्न आवश्यक छ उनले भने । भारतीय राष्ट्रपति प्रणव मुखर्जीले उक्त गोष्ठिको समापन बिहीबार साँझ गरे ।"
साझेदारी तीनै देशको हितमाः प्रधानमन्त्री,"काठमाडौंः प्रधानमन्त्री पुष्पकमल दाहालले चीन, नेपाल र भारतबीच त्रिदेशीय साझेदारीबाट तीनवटै देशले लाभ लिनसक्ने बताएका छन् । भारतका राष्ट्रपति प्रणव मुखर्जीको नेपाल भ्रमणका अवसरमा इन्डिया फाउन्डेसन, नीति अनुसन्धान प्रतिष्ठान र नेपाल सेन्टर फर कन्टेम्पोररी स्टडिजले काठमाडौंमा आयोजना गरेको नेपालभारत सम्बन्धमा नयाँ आयामको खोजी विषयक दुईदिने गोष्ठी बुधबार उद्घाटन गर्दै प्रधानमन्त्री दाहालले साझेदारी तीनै देशको हितमा रहेको बताए । नेपाल भारत र चीनजस्ता उदीयमान शक्तिका बीचमा रहनु अवसर हो', उनले भने, आर्थिक समृद्धितर्फ दू्रतगतिमा बढिरहेका भारत र चीनबाट नेपालले लाभ लिन सक्छ ।' नेपालमा नयाँ संविधान जारी भएपछि भारतले गत वर्ष लगाएको पाँचमहिने नाकाबन्दी र त्यसले दुई देशबीचको सम्बन्धमा ल्याएको तिक्ततातर्फ लक्षित गर्दै प्रधानमन्त्रीले नेपाल र भारतबीच यदाकदा असमझदारी र बेमेल हुने गरे पनि त्यसले दुई देशबीचको सम्बन्धको आधार हल्लाउन नहुने बताए । उनले भने, विगतमा केही असमझदारी र बेमेलका शृंखला देखिएका थिए तर ती असमझदारी र बेमेलका शृंखलाका कारण जनस्तरको सम्बन्ध हल्लिनु र सद्भाव बिग्रनु हुँदैन ।' भारतसँग नेपालको देशदेशबीचको मात्र नभई जनस्तरको सम्बन्ध रहेको भन्दै उनले सम्बन्धलाई अझ सुदृढ र सशक्त बनाउन गम्भीरतासाथ लागेको बताए । भारतबाट नेपालले उच्च प्रविधि, दक्ष जनशक्तिको प्रसारको आशा गरेको उनले प्रस्ट पारे । नेपालको समृद्धि र विकासमा भारतीय सहयोगको अपेक्षा गरे । भारतले नेपालको शान्ति र विकासमा विगतमा गर्दै आएको सहयोगका लागि धन्यवाद व्यक्त गर्दै भविष्यमा सहयोग अझ प्रभावकारी हुने दाहालको विश्वास थियो । भारतसँग बढ्दो व्यापार घाटा कम गर्न भारतीय पक्षबाट पहलकदमी हुने उनले विश्वास लिए । दुई देशले गठन गरेको प्रबुद्ध समूहले द्विपक्षीय हितका लागि वृहत छलफल गरी निष्कर्ष निकाल्ने दाहालको विश्वास थियो । उनले सरकारस्तरमा मात्र नभई जनस्तरसम्म सम्बन्ध र द्विपक्षीय हितको विषय प्राथमिकतामा पर्नुपर्नेमा जोड दिए । भारतीय जनता पार्टीका महासचिव तथा इन्डिया फाउन्डेसनका निर्देशक राम माधवले नेपालमा सबैलाई चित्त बुझ्नेगरी संविधान कार्यान्वयन होस् भन्ने भारतको चाहना रहेको बताए । भारत नेपालको समृद्धि, शान्ति र दिगो विकासको पक्षमा रहेको उल्लेख गर्दै सहमतिबाट त्यस्तो लक्ष्य हासिल हुने उनले दाबी गरे । नेपाल र भारत मिलेर अगाडि बढ्नुपर्नेमा जोड दिँदै उनले भने, हामी मिलेर अगाडि बढौं । दुवै देशको हितको रक्षार्थ मिलेर जाऔं ।' उनले नेपाल र भारतबीचको सम्बन्ध हिमालभन्दा अग्लो र भारतीय सागरभन्दा गहिरो रहेको बताए । गोष्ठीको समापन बिहीबार अपराह्न भारतीय राष्ट्रपति प्रणव मुखर्जीले गर्ने कार्यक्रम छ ।"
भारतीय राष्ट्रपति आज साढे दश बजे पशुपति जादैँ,"काठमाडौंः भारतीय राष्ट्रपति प्रणव मुखर्जीले बिहीबार पशुपतिनाथको दर्शन र विशेष पूजा गर्ने भएका छन् । उनले पशुपतिनाथ मन्दिरको गर्भगृहमा दक्षिणपट्टि बसेर विशेष पूजा गर्ने पशुपति क्षेत्र विकास कोषले जनाएको छ । कोषका सदस्यसचिव गोविन्द टन्डनले भारतीय राष्ट्रपति मुखर्जीले नेपालका राष्ट्रपति, पूर्वराजाले जस्तै मन्दिरको गर्भगृहमा दक्षिणपट्टि बसेर अभिषेकसहित विशेष पूजा गर्ने गरी तयारी भएको जानकारी दिए । मुखर्जीलाई मन्दिरका मूलभट्ट गणेश भट्टले विशेष पूजा गराउनेछन् । उनका अनुसार पशुपतिको पश्चिम मूलद्वारमा मुखर्जीको स्वागतमा नेपाल वेद विद्या श्रमका एक सय ८ बटुकले स्वस्तिवाचन गर्नेछन् भने २२ जना पण्डितले वैदिक रुद्राभिषेक गर्नेछन् । राष्ट्रपति आउने भएपछि कोषले सरसफाइ र प्रवेशद्वार निर्माणलगायत काम सम्पन्न गरेको छ । स्वागतमा मन्दिर परिसरमा धिमे र पञ्जेबाजा बजाइनेछ । महानगरीय प्रहरी वृत्त गौशालाले सुरक्षा व्यवस्था कडा बनाएको छ । कोषका कार्यकारी निर्देशक रमेश उप्रेतीका अनुसार मुखर्जीले मन्दिर परिसर प्रवेश गरेपछि वासुकीनाथ, जलाशय, विष्णु, मुक्तिमण्डप, कृतिमुख र उन्मत्त भैरव आदिको दर्शनपछि गर्भगृहमा पुग्नेछन् । दर्शन र पूजापछि उनले आगन्तुक पुस्तिकामा हस्ताक्षर गर्ने र त्यसपछि कोषका तर्फबाट मायाको चिनो दिने कार्यक्रम रहेको उप्रेतीले जानकारी दिए । भारतीइ पूर्वराष्ट्रपति केआर नारायणनले १८ वर्षअघि पशुपतिनाथमा पूजा गरेका थिए ।"
नेतालाई गम्भीर बन्न पूर्वराजाको आग्रह,"काठमाडौः पूर्वराजा ज्ञानेन्द्र शाहले राजनीतिक दलका नेताहरूलाई आफूले दिएको सुझावप्रति गम्भीर हुन आग्रह गरेका छन् । उनले भने, दसैंको शुभकामना सन्देशमा उठाएका प्रश्न र वनकालीमा सम्पन्न हिन्दु अन्तर्राष्ट्रिय सम्मेलनमा सम्बोधनका क्रममा आफूले दिएका अभिव्यक्तिप्रति नेताहरू गम्भीर हुनैपर्छ ।' कमलादीमा मंगलबार बहिनी शोभा शाहीका हातबाट भाइटीका ग्रहण गरेपछि सञ्चारकर्मीलाई संक्षिप्त प्रतिक्रिया दिँदै पूर्वराजा शाहले भने, दसैंको शुभकामना सन्देशमार्फत धेरै कुराहरू बाहिर आइसकेको छ । त्यसैगरी वनकालीको कार्यक्रममार्फत पनि आफूले केही कुरा राखेको हुँदा त्यसप्रति नेताहरू गम्भीर हुनुपर्यो ।' शाहले दसैं सन्देश तथा वनकालीमा दिएको अभिव्यक्तिमा चरम बाह्य हस्तक्षेप, जनतामा देखिएको निराशा, गन्तव्यहीन यात्रा नेपालको निमित्त अभिशाप सिद्ध भएको र त्यसको जनताले नेतालाई जबाफदेही बनाउनुपर्ने आग्रह गरेका थिए । त्यसैको पूरकका रूपमा वनकालीमा पूर्वराजा शाहले यस्तो विषम, जटिल र क्लिष्ट परिस्थिति किन र कसरी सृजना भयो, यसका कारक तत्व केके हुन् भन्ने कुरा अब नेपाली जनताले नै प्रश्न गर्र्नै बेला भएकोतर्फ जोड दिएका थिए । भाइटीकाका दिनको अभिव्यक्तिमा आफूले उठाएका साधारण जनतासँगको अन्तरक्रियापछि आएको पनि उनले बताए । राष्ट्रिय कार्यसूची र शक्ति सन्तुलन राष्ट्रिय सहमतिको मूलमन्त्र रहेको भन्दै नेपालको अस्तित्व, स्वाभिमान एवं गौरवगाथाको समग्र रक्षाका लागि आमनेपालीलाई एक हुन आह्वानसमेत पूर्वराजाले दशैंको सन्देशमार्फत गरेका थिए ।"
