शीर्षक,विवरण
यसरी हुँदैछ सहिदको अपमान,"भारतीय राष्ट्रपति प्रणव मुखर्जीको नेपाल भ्रमण र त्यसबाट आम व्यक्तिमाथि उत्पन्न कठिनाइबारे सञ्चारमाध्यममा प्रशस्त समाचार आएका छन् । स्वयं पनि संवेदनशील व्यक्ति भएकाले सम्भवतः राष्ट्रपति मुखर्जीका लागि यी टिप्पणीहरू त्यति सुखद र रुचिकर लाग्ने छैनन्, यद्यपि यो पहिलो अनुभव पक्कै पनि हैन उनले चार वर्षअघि यो पद सम्हालेपछि । अर्को अतिथि राष्ट्राध्यक्षको सुरक्षासँगै उनका निर्धारित कार्यक्रम कार्यान्वयनको जिम्मा नेपाल सरकारको हो र त्यसमा सफलताअसफलता तथा त्रुटिको समस्त जिम्मेवारी उसको बन्न जान्छ । आतिथेय मुलुक नेपालमा विगत १२ वर्षमा फस्टाएको उद्योग सहिदको हो । सशस्त्र विद्रोहको नेतृत्व गरेको माओवादीले हिंसात्मक द्वन्द्वमा आफ्नातर्फका मारिएका सबैलाई सहिद घोषणा गरेको छ । झन्डै सात हजारभन्दा बढीलाई सहिद उपाधिसँगै उनीहरूका परिवार तथा आफन्तलाई जनही १० लाखको हिसाबले राष्ट्रको ढुकुटीबाट तिरेको छ । त्यो सिलसिलाले निरन्तरता पाइ नै रहेको छ । मधेस आन्दोलनमा अर्को एउटा समूह थपियो सहिदहरूको । अनि संविधान जारी हुने प्रकृयामा तथा जारी भएपछिको चरणदेखि जबर्जस्ती नाकाबन्दी गराउने सिलसिलामा थप ६० जना सहिद उत्पादित भए । सहिदले मृत्युमा सम्मान हासिल गर्दछ र उसले आफ्नो परिवार या आफन्तलाई केही लाख रुपैयाँ दिलाउन हैन, समस्त मुलुकको लागि उसले प्राण उत्सर्ग गरेको मानिन्छ । तर नेपालमा आन्दोलनमा मारिने हरेक कार्यकर्तालाई सम्बन्धित दलले सहिद घोषणा गरेर, गराएर सहिद' शब्द र मान्यताको अवमूल्यन गरेका छन् । देशको महान् नागरिक हैन, पार्टीका कार्यकर्तालाई सहिद मानिएको छ । द्वन्द्वमा राज्यलाई प्रतिनिधित्व गर्दै कर्तव्यपरायणताका क्रममा ज्यान गुमाएका सुरक्षाकर्मीहरूलाई राज्य ढुकुटीबाट सुविधा र मर्नेहरूलाई सहिदको दर्जा नदिएर सरकारले विगत १० वर्षमा दोहोरो मापदण्ड अपनाएको छ, आपत्तिजनक रूपमा । सहिद सत्ता परिवर्तनको हैन, व्यवस्था र युग परिवर्तनको वाहक हुन् । उसलाई मार्ने' राज्य तथा व्यवस्था र त्यो सहिद' को अस्तित्व सँगसँगै अगाडि बढ्दैन । तर विगत १० वर्षको अभ्यासमा सहिद' लेनदेनको पात्र बनेको छ, उसको संख्या बढेको छ, तर ऊ अपमानित छ । यसको नमीठो झल्को राष्ट्रपति मुखर्जीको राजकीय' यात्रामा देखियो । विदेशमा हुने यस्ता यात्रामा त्यो राष्ट्रले सम्मान गरेका हिरो' या सहिद' स्मारकमा निर्वाध रूपमा लगिन्छ आगन्तुक राष्ट्राध्यक्ष या राजकीय यात्रामा आएका अतिथिहरूलाई । नेपालबाट जाने हरेक प्रधानमन्त्री या राष्ट्राध्यक्षलाई महात्मा गान्धीको समाधि रहेको राजघाटमा लगिनुको कारण त्यही हो । तर हरेक वर्ष हजारौंको संख्यामा सहिद उत्पादन हुँदै गएको नेपालमा किन राष्ट्रपति मुखर्जीलाई सहिदहरूमा माल्र्यापण गर्न कहीँ लगिएन ? के क्रान्तिकारी र अग्रगामी सरकारले दशरथ चन्द, शुक्रराज शास्त्री, धर्मभक्त र गंगालालको सहिद' हैसियत खोसेको हो ? तथा मुखर्जीको यात्रामा सहिद गेटमा माल्यार्पण किन सम्पन्न गरिएन ? यो सरकारबाट भएको आपराधिक त्रुटि हो र ऊ त्यसको लागि जवाफदेही हुनैपर्छ ।"
"नेताहरुले भने,भारतीय राष्ट्रपति मुखर्जीको नेपाल भ्रमण सफल भयो","काठमाडौंः प्रमुख राजनीतिक दलका नेताहरुले भारतीय राष्ट्रपति प्रणव मुखर्जीको नेपाल भ्रमण सफल भएको बताएका छन्। नेपाली काँग्रेसका नेता डा मिनेन्द्र रिजालले भारतीय राष्ट्रपति प्रणव मुखर्जीको तीन दिन नेपाल भ्रमणले चिसिएको नेपालभारत सम्बन्धमा न्यानोपनको संकेत देखा परेको बताए। रिजालले राष्ट्रपति मुखर्जीको यो भ्रमण सद्भावपूर्ण भ्रमण भएकोले नेपालभारत द्विपक्षीय सम्बन्धमा सुधार तथा विश्वास बढेको बताएका हुन्। उनले भने,मुखर्जीको नेपाल भ्रमण राम्रो हो, महत्वपूर्ण हो, यो हाम्रो लागि पनि खुशीको विषय हो। रिजालले आफू सरकारको प्रवक्ता हुँदा नै नेपालभारत सम्बन्ध चिसिएको उल्लेख गर्दै भने,त्यतिवेलै नेपालभारत सम्बन्ध चिसिएको हो, अहिले न्यानोपना आएको छ । उनले अनावश्यक रुपमा भारतलाई गाली गर्दा यसको बेफाईदा नेपाललाई नै हुने बताए । रिजालले अघि भने,भारत हाम्रो छिमेकी मात्रै होइन, नेपालको विकासमा सहयोग पुर्याउने असल मित्र पनि हो। रिजालले नेपालका दुवै छिमेकी मुलुक भारत र चीन ठूलो सम्भावना बोकेर अन्तर्राष्ट्रिय मञ्चमा उभिरहेको अवस्थामा नेपालले पनि त्यसबाट लाभ लिने कुरामा बढि जोड दिनुपर्ने बताए। उनले संविधान संशोधनको विषयमा भारतलाई जोड्न नुहने बताए। सत्तारुढ दल नेकपा माओवादी केन्द्रका नेता टोपबहादुर रायमाझीले पनि मुखर्जीको नेपाल भ्रमणले द्विपक्षीय सम्बन्धमा सुधार आएको स्पष्ट पारे। रायमाझाले भने,उहाँको यो सद्भावपूर्ण भ्रमणलाई हाम्रो पार्टीले एकदमै सकारात्मक रुपमा लिएको छ, यो भ्रमणले द्धिपक्षीय सम्बन्ध बलियो बनाउँछ । उनले छिमेकीहरुसँगको सम्बन्ध समयसापेक्षित बनाउनुपर्नेमा जोड दिँदै भने,भारत हाम्रो नजिकको साथी हो, हामी धेरै नजिक छौं, कहिलेकाहीँ उतारचढाव रहनु वा आउनु स्वभाविक नै हो। कार्यक्रममा नेकपा एमालेका नेता तथा नेपालभारत सम्बन्ध प्रवुद्ध समूहका सदस्य डा राजन भट्टराईले भारतीय राष्ट्रपति मुखर्जीको नेपाल भ्रमण गुडविल भिजिट भएकोले उनको भ्रमणले नेपालभारत सम्बन्ध सुमधुर बनाउन सकारात्मक योगदान पुर्याएको बताए। उनले भने,द्विपक्षीय सम्बन्ध सही ढंगबाट अघि बढ्न सहयोग पुगेको छ। लामो समयदेखि द्विपक्षीय उच्चस्तरीय भ्रमण हुन नसकिरहेको अवस्थामा भारतीय राष्ट्रपति मुखर्जीको भ्रमण हुनु सकारात्मक भएको टिप्पणी गरे। भट्टराईले भने,यस्ता खाले भ्रमणले द्विपक्षीय सम्बन्ध सकारात्मक दिशामा अघि बढ्न मद्दत पुग्छ, राजनीतकि सम्वादमा देखिएको ग्याप अन्त्य हुन्छ। नेपालको राष्ट्रपति विद्या भण्डारीको पनि छिट्टै भारत भ्रमण हुने भएकोले द्विपक्षीय सम्बन्ध थप मजबुद हुने उनको विश्वास थियो। फोरम लोकतान्त्रिकका नेता जितेन्द्र देवले राष्ट्रपति मुखर्जीको तीन दिने नेपाल भ्रमणले नेपालभारतवीचको द्विपक्षीय सम्बन्ध विश्वासमा परिणत भएको दाबी गरे। देवले भने,उहाँको भ्रमणसँगै द्विपक्षीय सम्बन्ध र आपसी हितका विषय गहन छलफल भएको छ, उहाँको भ्रमण अत्यन्तै सफल भयो । मधेशी मोर्चाका नेता महेन्द्र राय यादवले पनि मुखर्जीको नेपाल भ्रमण अत्यन्तै सफल भएको टिप्पणी गरे।"
भारतीय राष्ट्रपति मुखर्जीले गरे गोर्खा सैनिकको प्रशंसा,"पोखराः भारतका राष्ट्रपति प्रणव मुखर्जीले भारतीय सेनाका लागि जीवन पर्यन्त सेवा सुविधा उपलब्ध गराउन भारत सरकार प्रतिबद्ध रहेको बताएका छन्। पेन्सन वितरण कार्यालय रामबजार पोखरामा भेला भएका झन्डै दसौं हजार भारतीय भूतपूर्व सैनिक र तिनका परिवारलाई शुक्रबार सम्बोधन गर्दै राष्ट्रपति मुखर्जीले भारतीय सीमा रक्षाका लागि गोर्खा सैनिकले बहादुरी र निष्ठापूर्वक लडेको भन्दै प्रशंसा गरे। गोर्खा सैनिकले असाधारण वीरता देखाउँदै भारतको सेवा गरेका छन्, उनले भने। सुरक्षा र विकासमा भारतीय गोर्खा सैनिकले महत्वपूर्ण भूमिका खेलेको भन्दै मुखर्जीले भूपू गोर्खा सैनिकका लागि विभिन्न कल्याणकारी योजना भारत सकारले ल्याउन लागेको बताए। उनले विभिन्न कल्याण योजनाका लागि साढे ६ अर्ब नेपाली रुपैयाँ वितरण गरिएको जानकारी पनि दिए। गत वर्षको विनाशकारी भूकम्पले क्षति पुयाएको ठाउँमा नेपाल सरकारसँग मिलेर भूकम्प पीडित ६ हजार ८ सय भूपू सैनिकलाई सहयोग गरेको उनले बताए। भूपू गोर्खा सैनिकको स्वास्थ्य सेवाका लागि पनि भारत सरकारले सहयोग गरिरहेको आगामी दिनमा पनि गर्ने जनाए। भूपू भारतीय गोर्खा सैनिकको बालबालिका लागि छात्रवृत्ति प्रदान गर्दै आएको र त्यसलाई बढाउने आश्वासन उनले दिए। प्राचीन समयदेखि नै सांस्कृतिक र भौगोलिक हिसाबले सुमधुर सम्बन्ध रहेका भारत र नेपालबीचको मितेरी मजबुत बनाउने बलियो आधारस्तम्भ गोर्खा सैनिक बनेको पनि राष्ट्रपति मुखर्जीले बताए। उनले त्यस अवसरमा ३२ हजार नेपाली अहिले भारतीय सेनामा कार्यरत रहेको र १ लाख २६ हजार पूर्व गोर्खा सैनिक रहेको स्मरण गरे। विकास र शान्तिका लागि अगाडि बढेको नेपालाई भारतले सधै सहयोग गर्छ, उनले भने । जनकपुरबाट सिधै पोखरा पुगेका मुखर्जीलाई विमानस्थलमा संघीय मामिला तथा स्थानीय विकास मन्त्री हितराज पाण्डेले स्वागत गरेका थिए। उनको साथमा पश्चिमाञ्चल क्षेत्रीय प्रशासक खगराज बरालसहित यहाँका उच्च सरकारी अधिकारी सहभागी थिए । पोखरा भ्रमण गर्ने मुखर्जी भिन्न मुलुकका तेस्रो राष्ट्रप्रमुख र दोस्रो भारतीय राष्ट्रपति हुन्। यसअघि सन् १९६३ मा भारतकै दोस्रा राष्ट्रपति शिवपल्ली राधाकृष्णनन्ले यहाँको अमरसिंह माध्यमिक विद्यालय भवन उद्घाटन गरेका थिए। त्यसअघि पोखरा भ्रमण गर्ने विदेशी राष्ट्र प्रमुख बेलायतकी महारानी एलिजाबेथ द्वितीया थिइन्। उनले सन् १९६१ को फेब्रुअरीमा पोखरा भ्रमण गरेकी थिइन्।"
"मुखर्जी स्वदेश फर्किए, राष्ट्रपति विद्या भण्डारीले गरिन् विदाइ","काठमाडाैं: भारतीय राष्ट्रपति प्रणव मुखर्जी नेपाल भ्रमण पूरा गरी स्वदेश फर्किएका छन्। तीन दिने नेपाल भ्रमण पूरा गरी भारतीय राष्ट्रपति मुखर्जी स्वदेश फिर्ता भएका हुन्। मुखर्जीलाई नेपालका राष्ट्रपति विद्यादेवी भण्डारीले त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा विदाइ गरेकी हुन्। मुखर्जीलाई विदाइ गर्न राष्ट्रपति भण्डारीसँगै उपराष्ट्रपति नन्दबहादुर पुन पनि त्रिभुवन विमानस्थल पुगेका थिए। भारतीय राष्ट्रपति मुखर्जी नेपालका राष्ट्रपति विद्यादेवी भण्डारीको निमन्त्रणामा नेपालको औपचारिक भ्रमणमा आएका थिए। नेपाल भ्रमणमा रहँदा भारतीय राष्ट्रपति मुखर्जीले आफ्ना समकक्षी विद्यादेवी भण्डारी, उपराष्ट्रपति नन्दबहादुर पुन, प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड, सभामुख ओनसरी घर्ती, नेपाली कांग्रेसका सभापति शेरबहादुर देउवा, एमाले अध्यक्ष केपी शर्मा ओली लगायत विभिन्न दलका शीर्ष नेताहरुसँग भेटेका थिए। भारतीय राष्ट्रपति मुखर्जी नेपाल बसाइका क्रममा जनकपुर र पोखरासमेत पुगेका थिए। मुखर्जी शुक्रवार बिहान जनपुरको जानकी मन्दिरको दर्शन गर्नुका साथै त्यहाँ आयोजित नागरिक अभिनन्दन कार्यक्रममा सहभागी भएका थिए। जनकपुरबाट पोखरा पुगेका मुखर्जी त्यहाँबाट काठमाडौं फर्किनासाथ स्वदेश फर्किएका हुन्। मुखर्जी गत कात्तिक १७ गते नेपाल आएका हुन्।"
जनकपुरमा दुईवटा धर्मशाला र चक्रपथ निर्माण गरिदिने मुखर्जीको घोषणा,"जनकपुरधाम: भारतीय राष्ट्रपति प्रणव मुखर्जीले भारतले जनकपुरमा दुईवटा धर्मशाला निर्माण गरिदिने घोषणा गरेका छन्। तीन दिने नेपाल भ्रमणको अन्तिम दिन शुक्रवार बिहान जनकपुर पुगेका भारतीय राष्ट्रपति मुखर्जीले नागरिक अभिनन्दन कार्यक्रमलाई सम्बोधन गर्दै भारतले जनकपुरमा दुईवटा धर्मशाला निर्माण गरिदिने घोषणा गरेका हुन्। जानकी मन्दिर पर्यटकीय हिसावले पनि महत्वपूर्ण क्षेत्र भएकाले पनि तीर्थ यात्रीहरुको सुविधाका लागि जनकपुरमा भारतले दुईवटा धर्मशाला निर्माण गरिदिने घोषणा गर्न पाउँछ खुशी लागेको छ,मुखर्जीले भने। नेपाल र भारतको सम्बन्ध पुरानो हो। अझ जनकपुर र अयोध्याबीच प्राचीन सम्बन्ध छ,उनले भने,नेपाल हाम्रो घनिष्ठ मित्र हो। हामीले त्यसैगरी हेर्ने गरेका छौं। मुखर्जीले नागरिक अभिनन्दन अघि जानकी मन्दिरमा विशेष पूजाअर्चना गरेका थिए। भारतीय राष्ट्रपति मुखर्जीले जानकी मन्दिरको गर्भगृहमा स्वर्णमयी जानकीजी र भगवान रामका मूर्तिको शास्त्रसम्मत विधिले विशेष पूजाअर्चना गरेका थिए। मुखर्जीले मन्दिरमा रहेको प्राचीन मूर्तिको पनि पूजा गरेका थिए।"
भारतीय राष्ट्रपति मुखर्जी आज जनकपुर र पोखरा जाने,काठमाडौं: तीन दिने नेपाल भ्रमणमा रहेका भारतीय राष्ट्रपति प्रणव मुखर्जी आज जनकपुर र पोखराको भ्रमणमा जाँदैछन् । राष्ट्रपतिको भ्रमण तालिका अनुसार मुखर्जी पहिले जनकपुर पुगेर त्यहाँ आयोजित कार्यक्रममा सहभागी भइ पोखरा जाने कार्यक्रम छ । जनकपुरको जानकी मन्दिरमा मुखर्जीले मन्दिर दर्शनका साथै विशेष पूजा गर्ने कार्यक्रम छ । त्यस्तै जनकपुर उपमहानगरपालिकाले तिरहुतिया गाछीमा आयोजना गर्ने नागरिक अभिनन्दन कार्यक्रममा सहभागी हुनेछन् । मुखर्जीको स्वागतका लागि जनकपुरको विमानस्थलदेखि जानकी मन्दिरसम्म प्रत्येक ७० मिटरको दूरीमा स्वागतद्वार बनाइएका छन् । तीन किलोमिटरको दूरीमा ४५ भन्दा बढी गेट बनाइएको छ । मुखर्जीले पूजा गर्ने भएपछि जानकी मन्दिर परिसरमा पनि राम्रो सरसफाइ गरिएको छ । मुखर्जी बुद्ध एयरको विशेष विमानमार्फत आज जनकपुर जाने कार्यक्रम छ ।
विपत्ति सहने मुलुक बनाउन प्रतिबद्ध,"नयाँदिल्लीः उपप्रधान तथा गृहमन्त्री विमलेन्द्र निधिले सन् २०३० सम्ममा नेपाललाई विपत्ति सहन क्षमतायुक्त मुलुक (डिजास्टर रेसिलियन्ट नेसन) बनाउन अन्तर्राष्ट्रिय समुदायसँग मिलेर काम गर्न नेपाल सरकार प्रतिबद्ध रहेको बताएका छन् । प्रकोप जोखिम न्यूनीकरणका लागि नयाँदिल्लीमा भएको एसियाली मुलुकको मन्त्रीस्तरीय छैटौं सम्मेलनमा गृहमन्त्री निधिले विपद जोखिम न्यूनीकरण, जलवायु परिवर्तन अनुकूलता तथा दिगो विकासको लक्ष्य प्राप्तिका लागि विकासको पहललाई संस्थागत गर्न नेपाल प्रतिबद्ध रहेको बताए । चारदिने सम्मेलनको शुक्रबार उद्घाटन समारोहको दोस्रो मन्त्रीस्तरीय सत्रको अध्यक्षता गरेका गृहमन्त्री निधिले विपद् न्यूनीकरणका लागि एसियाली मुलुकले जारी गरेको सेडाई घोषणापत्रका आधारमा नेपालले विपद् व्यवस्थापन नीति तथा राष्ट्रिय रणनीतिक कार्ययोजनाअनुरूप काम सुरु गरिसकेको बताए । सेडाई फ्रेमवर्क २०१५२०३०, विपत्ति जोखिम न्यूनीकरणका लागि जापानको सेडाईमा २०१५ मा सम्पन्न संयुक्त राष्ट्रसंघको तेस्रो विश्व सम्मेलनले पारित गरेको पन्ध्रबर्से विकासको घोषणापत्र हो । जापानको मियागी प्रान्तको राजधानी सेडाईमा जारी भएको घोषणापत्रमा विपद् जोखिमका कारण हुने मानवीय, भौतिक तथा आर्थिक क्षतिलाई न्यूनीकरण गर्ने उद्देश्य प्राप्तिका लागि प्राथमिकताका सात क्षेत्रमा काम गर्ने सहमतिसहित नेपालसमेत एक सय सतासी मुलुकका प्रतिनिधिले हस्ताक्षर गरेका थिए । सेडाई फ्रेमवर्कपछि आयोजना भएको यो पहिलो मन्त्रीस्तरीय सम्मेलन हो । सम्मेलनमा गृहमन्त्री निधिले गत वर्षको भूकम्पपछि छिमेकी मुलुक तथा अन्तर्राष्ट्रिय समुदायबाट प्राप्त सहयोगको सराहना गर्दै भूकम्प प्रभावित परिवारको पुनर्वास तथा पुनर्निर्माणमा नेपालको अनुभव उल्लेख गरेका थिए । सम्मेलनको आइतबार हुने समापनमा एसियाली क्षेत्रीय योजना तथा कार्यान्वयनका लागि सहभागी मुलुकको धारणासहितको राजनीतिक प्रतिबद्धताअनुरूप नयाँदिल्ली घोषणापत्र जारी हुनेछ । संयुक्त राष्ट्रसंघको जोखिम न्यूनीकरण कार्यालयको सहयोग तथा भारतीय गृह मन्त्रालयको आयोजनामा भएको सम्मेलनको उद्घाटन सत्रमा भारतका प्रधानमन्त्री नरेन्द्र मोदीले सम्बोधन गरेका थिए । त्यस्तै संयुक्त राष्ट्रसंघ महासचिवका विशेष प्रतिनिधले समेत कार्यक्रममा मन्तव्य राखेका थिए ।"
कांग्रेस सभापति देउवा भारत प्रस्थान,"काठमाडौं: नेपाली कांग्रेसका सभापति शेरबहादुर देउवा शुक्रबार बिहान भारत प्रथान गरेका छन् । सभापति देउवा इन्डिया फाउन्डेसनले आयोजना गरेको कार्यक्रममा सहभागी हुन भारत गएका हुन् । देउवा दिल्लीबाट कार्यक्रमस्थल गोवा जानेछन् । फाउन्डेसनको आज हुने कार्यक्रमपछि सभापति देउवाले नयाँ दिल्लीमा भारतका प्रधानमन्त्री नरेन्द्र मोदी, भारतीय जनता पार्टीका अध्यक्ष अमित साह, काँग्रेसआईका अध्यक्ष सोनिया गान्धीलगायत नेताहरुसँग उच्चस्तरीय भेटघाट गर्ने कार्यक्रम छ । नयाँ दिल्लीमा रहँदा सभापति देउवा जवाहरलाल नेहरु विश्वविद्यालयमा आयोजना हुने कार्यक्रममा समेत भाग लिनेछन् । सभापति देउवाका साथ धर्मपत्नी एवम् सांसद आरजु देउवा राणा पनि सहभागी छिन् । देउवा कार्तिक २३ गते स्वदेश फर्कनेछन् ।"
एमाले मधेसविरोधी पार्टी होइन,"जनकपुरधामः संविधान जारी भएपछि मधेसमा चर्को विरोध खेपेका एमालेका शीर्ष नेताले बिहीबार जनकपुरमा मधेसी जनतासँगको साक्षात्कारमा आफ्नो पार्टी मधेसविरोधी नभएको बताएका छन् । दीपावली तथा छठपर्वको अवसरमा पार्टीले आयोजना गरेको शुभकामना आदानप्रदान तथा चियापान समारोहमा सहभागी पार्टीका वरिष्ठ नेताहरूले मधेसी जनताको हितका लागि एमाले सदैव तत्पर रहेको धारणा राखे । एमालेका वरिष्ठ नेता तथा पूर्वप्रधानमन्त्री झलनाथ खनालले वर्तमान संविधान मधेसविरोधी नरहेको र यसका विषयमा भ्रामक प्रचारबाजी गरी जनतालाई धोकामा पार्ने प्रयत्न भइरहेको बताए । यो संविधान सबैको अधिकारलाई सुनिश्चित गर्ने खालको परिवर्तनकारी र प्रगतिशील छ । त्यसैले, यसप्रति गलत धारणा बनाउनु उचित हुँदैन, उनले भने । लोकतान्त्रिक, देशभक्तिपूर्ण, प्रगतिशील र समाजवाद वर्तमान संविधानका चारवटा प्रमुख विशेषता रहेको उनको भनाइ छ । यिनको रक्षा र कार्यान्वयनको जिम्मेवारी हिमाल, पहाड र मधेस तीनवटै क्षेत्रका नेपाली जनताको रहेको उनले बताए । संघीयताका सवालमा केही मतभेद छन्, तर पहाड र मधेसलाई छुट्ट्याउने खालका प्रस्तावले देशको प्रगति कहिल्यै हुन सक्दैन, उनले भने । इतिहासदेखि नै पहाड र मधेस एक रहेकाले अहिलेको अवस्थामा सिंगो देश एकबद्ध भई समृद्धिको बाटोमा अघि बढ्नुपर्नेमा उनले जोड दिए । २०७४ माघ ७ गतेसम्म स्थानीय, प्रदेश र राष्ट्रियस्तर गरी तीन तहको निर्वाचन नभए वर्तमान संविधान कार्यान्वयन हुन नसक्ने भएकाले निर्वाचनको दिशामा जनतालाई सहयोग गर्न खनालले आह्वान गरे । एमालेका वरिष्ठ नेता एवं पूर्वप्रधानमन्त्री माधव नेपालले एमाले पार्टी मधेसी, जनजाति, थारू, मुस्लिम सबैको पक्षमा सदैव आवाज उठाइराख्ने र विकासको पक्षमा लड्ने नीति लिएर अघि बढिरहेको प्रतिक्रिया दिए । मधेसको सम्मानको पक्षमा आवाज बुलन्द गर्ने एमालेविरुद्ध थुप्र्रै शक्ति लागिपरेको र उनीहरूले नै यसलाई मधेसविरोधी भनेर प्रचारबाजी गरेको उनको भनाइ छ । संविधान जारी गर्दा थुप्रै छलफल भयो । सबैको चित्त बुझाउन सक्ने अवस्था थिएन । ९० प्रतिशतबाट पास भएको संविधान अधुरो रहेको वा काम नलाग्ने रहेको भनी केही व्यक्तिले प्रचारबाजी गरे पनि यसमा कुनै सत्यता छैन, उनले भने । कार्यक्रममा एमालेका महासचिव ईश्वर पोखरेल, उपमहासचिव घनश्याम भुसाल, सचिवद्वय गोकर्ण विष्ट, योगेश भट्टराई, पूर्वमन्त्री तथा प्रदेश संयोजक सत्यनारायण मण्डल, वैकल्पिक पोलिटब्युरो सदस्यहरू शत्रुघन महतो, वंशीधर मि श्र, रामपृत पासवान, विकास समितिका सभापति रवीन्द्र अधिकारीलगायत नेताको सहभागिता थियो ।"
'लोकमानविरुद्धको महाअभियोग प्रकरणलार्इ संविधान संशोधनसँग जोड्नु हुँदैन',पर्सा: नेकपा एमालेका सचिव योगेश भट्टराईले अख्तियार दुरुपयोग अनुसन्धान आयोगका निलम्बित प्रमुख आयुक्त लोकमानसिंह कार्कीले देशमा समानान्तर सत्ता चलाई संविधानलाई असफल पार्ने खेलमा लागेका कारण उनीबिरुद्ध महाभियोग प्रस्ताव ल्याएको बताएका छन्। प्रेस चौतारी नेपाल पर्साले शुक्रबार आयोजना गरेको पत्रकार सम्मेलनमा उनले सात दशकको लामो सङ्घर्ष र हजारौँ नेपालीको बलिदानबाट प्राप्त भएको सङ्घीय लोकतान्त्रिक गणतन्त्रात्मक संविधानलाई असफल बनाएर आफैँ प्रधानमन्त्री हुने लोकमानसिंह कार्कीको सपनालाई एमालेले ल्याएको महाअभियोग प्रस्तावले तुहाएको दाबी गरे। एमाले पार्टी प्रवक्ता समेत रहेका भट्टराईले संविधान संशोधन र लोकमान प्रकरण छुट्टाछुट्टै विषय भएकाले दुबै मुद्दालाई नमिसाउन (माओवादी केन्द्र) र काँग्रेसलाई आग्रह गरे। उनले एमालेको सहयोगसर्मथन बिना संंविधान संशोधन सम्भवनै नभएको र संविधान संशोधनबारे माओवादी केन्द्र वा काँग्रेसले एमालेसँग औपचारिक तथा अनौपचारिक रुपमा कुनै कुरा नै नगरेको आरोप लगाए। संविधान संशोधनको विषयमा एमाले पार्टी मधेसवादी दलसँग छलफल गर्न तयार रहेको उनको भनाइ थियो। वर्तमान संसदीय निर्वाचन प्रणालीबाट कुनै पनि दलको बहुमत आउने सम्भावना नरहेकाले र बहुमतको अभावमा हुने सत्ता परिवर्तनले राष्ट्र विकासमा ठूलो नकारात्मक प्रभाव पर्ने भएकाले अब कार्यकारी राष्ट्र प्रमुखको प्रत्यक्ष निर्वाचन नेपालमा आवश्यक रहेको सचिव भट्टराईले दाबी गरे। रासस
