शीर्षक,विवरण
ढुकुटीको दोहन,"मुलुकमा भ्रष्टाचार व्याप्त छ । अख्तियारीको दुरुपयोग र जावफदेहिताको सर्वथा अभावले गर्दा जनता आक्रोशित र लाचार छन् । त्यो आक्रोशको ज्वालामुखी फुटेमा अहिलेको अराजकता र लुटको राज्य सञ्चालन गर्नेहरूको नियति के होला, भविष्यवाणी गर्न सकिन्न, तर अनुमान नगर्नु मूर्खता हुनेछ । देखिने गरी मुलुक दुई किसिमले लुटिएको छ अहिले । पहिलोराज्यविरुद्ध हिंसात्मक आन्दोलनमा उत्रेका र निर्दोष र निहत्था जनतासँगै राज्यको आधिकारिकतालाई प्रतिनिधित्व गर्ने सुरक्षाकर्मीहरूमाथि जाइलाग्दा मारिने प्रायः सबैलाई सहिद' घोषणा गरेर राज्य ढुकुटीबाट तिनका परिवारलाई १०१० लाख रुपैयाँ दिने परम्पराले अहिलेसम्म निरन्तरता र संस्थागत रूप पाउनु । दोस्रो रोगी' हरूको बाहुल्य भएको राजनीतिक तहका हरेक ठूलाठालुलाई राज्य ढुकुटीबाट तजविजी आधारमा ठूलो रकम निकासा गर्नु । यी संस्थागत भ्रष्टाचार भइरहँदा अख्तियार दुरुपयोग अनुसन्धान आयोग आफ्नो पंगु हैसियतमा जीवित रहनु त्यत्तिकै दुःखद र खतराको सूचक हो मुलुकको लागि । पछिल्लो शृंखलालाई निरन्तरता दिँदै मन्त्रिपरिषद्ले आइतबार पूर्व उपप्रधान तथा परराष्ट्रमन्त्री सुजाता कोइरलाको उपचारको लागि ५० लाख रुपैयाँ निकासा गर्ने निर्णय गरेको छ । सरकारी खर्चमा स्वास्थ्योपचार गराउने विशिष्ट व्यक्तिहरूको सूची लामो छ र तीमध्ये हालैका भाग्यमानीमा पूर्व राष्ट्रपति रामवरण यादव र अहिले सुजाता कोइराला परेका छन् । यसैबीच पूर्व प्रधानमन्त्री तुलसी गिरीलाई भने सरकारले रकम निकासा नगर्ने निर्णय गर्यो, स्वास्थ्यमन्त्री गगन थापाको विरोधका कारण । तर दुई कांग्रेसी नेताहरूले सहयोग पाउने र राजनीतिक मत फरक भएका डा गिरी त्यसबाट वञ्चित हुने परिस्थिति कति नीतिगत हो र कति तजविजी, त्यसको जवाफ एउटा विवेकशील र कर्तव्यपरायण संसद् तथा जागरुक जनताले खोज्न सक्छन् । मन्त्रिपरिषद्मा विशिष्ट र राष्ट्रिय जीवनमा योगदान पुर्याउने व्यक्तिहरूलाई परिआउँदा या उनीहरूको अनुरोधका आधारमा नेपालभित्रै १५ लाख रुपैयाँसम्मको उपचार रकम निकासा गर्ने कार्यविधि तयारी भइरहँदा त्यसलाई थाँती राखी हतारमा किन सुजाता कोइरालालाई रकम निकासा गर्ने निर्णय लिइयो ? यो सबैले बुझेका छन् । सार्वजनिक पदमा रहेको कुनै व्यक्ति बिरामी हुँदा उसप्रतिको श्रद्धाको अनुपातमा मुलुकका जनताले सुस्वास्थ्यको लागि प्रार्थना र कामना गर्छन् र आर्थिक रूपमा कमजोरहरूका लागि रकम जुटाउन पनि सक्तछन्, तर राष्ट्रको ढुकुटीमाथि बोझ हुने अधिकार उनीहरूसँग छैन । यस घटनाबारे स्वास्थ्यमन्त्री रुष्ट भएको अभिव्यक्ति उनका तर्फबाट आएको छ । तर सामूहिक उत्तरदायित्वको सिद्धान्तमा गठित मन्त्रिपरिषद्को निर्णयप्रति त्यति भनेर मात्र उम्कनुलाई प्रतिबद्धताको राजनीति भन्न सकिँदैन । विभागीय मन्त्रीको तर्फबाट एउटा अभिव्यक्ति मात्र पर्याप्त हुँदैन । यो संस्थागत भ्रष्टाचार हो र त्यसमा प्रायः सबै ठूला दलको मिलोमतो हुँदा सम्भवतः उनीहरूले यसको विरोध र आलोचना इमानदारीका साथ गर्ने छैनन् । सुजाता कोइरालाको स्वास्थ्य लाभको कामना गर्दागर्दै पनि सम्भवतः उनले आफ्नो नैतिकता र आर्थिक हैसियततर्फ इमानदार नजरले हेर्दै विवेकसम्मत निर्णय लिनु आवश्यक छ । त्यो उनको तर्फबाट हुने प्रायश्चित मात्र नभएर पारदर्शी तथा जवाफदेही राज्यको पक्षमा एउटा सन्देश पनि बन्नेछ ।"
प्रधानमन्त्री निवासमा चिनियाँ राष्ट्रपतिको नेपाल भ्रमणबारे छलफल,काठमाडौः प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड र नेपालका लागि चिनियाँ राजदूत यु होङ्बीच चिनियाँ राष्ट्रपतिको नेपाल भ्रमणबारे छलफल भएको छ। प्रधानमन्त्रीको सरकारी निवास वालुवाटारमा मंगलबार अपरान्ह भएको भेटमा चिनियाँ राष्ट्रपतिको भ्रमणबारे कुराकानी भएको प्रधानमन्त्रीको निजी सचिवालयले जनाएको छ । चिनियाँ राजदूत यू एक हप्ता अघि कार्यभार सम्हाल्न नेपाल आएकी हुन् । नयाँ चिनियाँ राजदूत आएलगत्तै राष्ट्रपति सिको भ्रमणबारे छलफल अघि बढेको हो । २०७३ भित्र चिनियाँ राष्ट्रपतिको नेपाल भ्रमणको सम्भावना नरहेको जानकार कुटनीतिक स्रोतले बतायो । दुई साता अघि पत्रकारहरुसँगको एक भेटमा प्रधानमन्त्री दाहालले पनि सोही आशयको भनाई सार्वजनिक गरेका थिए । दाहालले चिनियाँ राष्ट्रपति पुस महिना भित्र नेपाल आउने सम्भावना नरहेको बताउँदै अंग्रेजी नयाँ बर्ष शुरु भएपछि भ्रमण हुनसक्ने उल्लेख गरेका थिए । चिनियाँ राष्ट्रपति असोज अन्तिम सातामा भारतको गोवामा आयोजित ब्रिक्सबिमस्टेक शिखर सम्मेलनमा जाँदा वा स्वदेश फर्किँदा नेपालको भ्रमण गर्ने तय भएपनि नेपालले आवश्यक तयारी नगरेको भन्दै चीनले सिको भ्रमण रद्द गरेको थियो । भेटमा प्रधानमन्त्री दाहालले नेपाल र चीनबीच बिगतदेखि नै मैत्रीपूर्ण संबन्ध रहंदै आएको बताउँदै राजदूत होङ्को कार्यकाल पूर्ण रुपमा सफल हुने विश्वास ब्यक्त गरेका थिए । सो क्रममा प्रधानमन्त्री दाहालले नेपाल सरकार एक चीन नीतिप्रति प्रतिबद्द रहेको बताएका थिए । दाहालले नेपालको पुर्ननिर्माण तथा विकासमा चिनियाँ सहयोगका लागि धन्यवाद पनि दिए । मेरो कार्यकाल नेपाल र चीनबीचको संबन्ध थप सृदृढ गर्नमा केन्द्रित रहने छ राजदूत युले भेटमा भनिन् । स्रोतका अनुसरा प्रधानमन्त्री दाहाल चीन भ्रमणमा जान इच्छुक देखिएका छन् । चीन सरकारको दाहाललाई निमन्त्रणा भने आइसकेको छैन । दाहालका बिदेश मामिला सल्लाहकार डा ऋषिराज अधिकारी चीन भ्रमण गरी हालै स्वदेश फर्केका छन् ।
राष्ट्रिय फुटबल टिमलाई प्रधानमन्त्री प्रचण्डको बधाई,"काठमाडौंः एएफसी सोलिडारिटी कपको फाइनलमा नेपाल विजयी भएर देशको गौरव बढाएको भन्दै प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले राष्ट्रिय फुटबल टिमलाई बधाई दिएका छन् । प्रधानमन्त्री प्रचण्डले नेपाली टिमलाई बधाई दिदैँ निरन्तर सफलताको कामना गरेका छन्। प्रधानमन्त्री प्रचण्डले ट्वीटर मार्फत् नेपाली टिमलाई बधाई दिँदै लेखेका छन्, एएफसी सोलिडारिटी कपको फाइनलमा विजयी भइ देशको गोरव बढाएकोमा नेपाली टिमलाई हार्दिक बधाई एवम् निरन्तर सफलताका लागि हार्दिक शुभकामना । एएफसी सोलिडारिटी कपको फाइनलमा विजयी भई देशको गौरव बढाएकोमा नेपाली टिमलाई हार्दिक बधाई एवं निरन्तर सफलताका लागि हार्दिक शुभकामना।     (_)  ,  मंगलबार दिउँसो मकाउलाई हराउँदै नेपालले एएफसी सोलिडारिटी कप फुटबलको उपाधि उचालेको हो । मलेसियाको कुचिङस्थित नेगेरी स्टेडियममा मंगलबार साँझ भएको खेलमा फिफा बरियतामा १० स्थान तल रहको मकाउलाई १० गोल अन्तरले हराउँदै नेपालले उपाधि उचालेको हो। योसँगै नेपालले अन्तर्राष्ट्रिय उपाधिमा ह्याट्रिक गरेको छ। नेपालका लागि खेलको ३० औं मिनेटमा सुजल श्रेष्ठले गरेको गोल नै निर्णायक बन्यो। भरत खबासले मिलाएको उत्कृष्ट पासमा सुजलले लोभलाग्दो हेडर गोल गरेका थिए।"
माओवादीका निलम्बित सांसद् ल्यारक्याल लामालाई सफाइ,"काठमाडौंः विशेष अदालतले अकुत सम्पत्ती आर्जन गरेको अभियोग लगाइएका माओवादी केन्द्रका निलम्बित सांसद ल्यारक्याल लामालाई मंगलबार विशेष अदालतले सफाइ दिएको छ । लामाको २९ करोड ७९ लाख रुपैयाँ बराबर कुल सम्पत्तिमध्ये ९ करोड ४४ लाख ७२ हजार रुपैयाँ बराबर सम्पत्ति अबैध देखिएको दाबीसहित अख्तियार दुरुपयोग अनुसन्धान आयोगले गत बर्ष भ्रष्टाचार मुद्दा दायर गरेको थियो । निजले पेश गरेके सम्पत्तिका सम्बन्धमा प्राप्त प्रमाण केलाई हेर्दा निजको आय स्रोत व्यय भन्दा बढी देखिन आएको र निजको सो स्रोतलाई मिशिल संलग्न कागज प्रमाणबाट अन्यथा भन्न मिल्ने आधार नदेखिएकोले निजले अवैध स्रोतबाट सम्पत्ति आर्जन गरेका रहेछन् भन्ने अवस्था नदेखिँदा अभियोगबाट सफाई पाउने ठहर्छ, विशेष अदालतको फैसलामा उल्लेख छ । विशेष अदालतका अध्यक्ष मोहनरमण भट्टराई, न्यायाधीश प्रभा बस्नेत र महेश प्रसाद पुडासैनीको इजलासको फैसलाले लामालाई सफाइ दिएको हो ।"
लोकमान आफैँ हाजिर भए सर्वोच्चमा,काठमाडौं: अख्तियार दुरुपयोग अनुसन्धान आयोगका निलम्बित प्रमुख आयुक्त लोकमानसिंह कार्की मंगलबार सर्वोच्च अदालतमा आफैँ उपस्थित भएका छन् । कार्कीविरुद्ध चलेको पुनरावलोकन मुद्धामा हुलहुज्जत गर्दै म्याद बुझ्न अस्वीकार गरेको दाबीसहित अधिवक्ता ओमप्रकाश अर्यालले दिएको पुरक निवेदनमा सात दिनभित्र उपस्थित हुन सर्वोच्चले आदेश दिएको थियो । सोही आदेश अनुसार कार्की मंगलबार लिखित जवाफसहित अदालतमा उपस्थित भएका हुन् । कार्कीले लिखित जवाफमा आफूले न्यायपालिकाप्रति उच्च सम्मान गर्ने गरेको बताउदै विदेश भ्रमणमा रहेका कारण काबु बाहिरको परिस्थितिमा म्याद बुझ्न असमर्थम भएको जनाएका छन् । उनले निवेदक अर्यालले प्रायोजित रुपमा गलत मनसायका साथ आफूविरुद्ध निवेदन दिएको दाबी समेत गरेका छन् । सर्वोच्चले पुनरावलोकन र उक्त निवेदन उपर मंसिर १६ गते सुनुवाई गर्दै छ ।
"तरुण दलमा पदीय भागबण्डा मिल्यो, अध्यक्षमा जितजंग बस्नेत","काठमाडौंः नेपाली कांग्रेसको भ्रातृ संगठन नेपाल तरुण दलमा तीन पक्षबीच भागबन्डा मिलेको छ। पोखरामा जारी तरुण दलको चौथो महाधिवेशनमा कांग्रेस सभापति शेरबहादुर देउवा, बरिष्ठ नेता रामचन्द्र पौडेल, नेताहरु खुमबहादुर खड्का र कृष्णप्रसाद सिटौला चार पक्षबीच तरुण दल पदीय भागबन्डा मिलेको हो। भागबन्डाअनुसार अध्यक्ष संस्थापन पक्षलाई, महामन्त्री पौडेल पक्षलाई, उपाध्यक्ष सिटौला समूहलाई तथा कोषाध्यक्ष खड्का समूहले पाएका छन्। संस्थापन पक्षले तरुण दलको अध्यक्ष नेविसंघका पूर्वमहामन्त्री जितजंग बस्नेतलाई बनाउने यसअघि नै निर्णय लिइसकेको छ भने पौडेल र सिटौला पक्षले भने महामन्त्री र उपाध्यक्षमा कसलाई पठाउने भन्ने निर्णय लिएको छैन। नेता खड्का समूहले पनि कोषाध्यक्ष कसलाई बनाउने भन्ने निर्णय लिएको छैन। पौडेल पक्षले महामन्त्रीमा विपी कोइरालाका नाती सिद्धार्थ कोइराला वा भुपेन्द्रजंग शाहीमध्ये कसलाई बनाउने भन्ने विषयमा निर्णय लिन छलफलमा जुटेको छ। सिटौला पक्षले भने तरुण दलका पूर्व सचिव समेत रहेका उत्तम चापागाइँ वा नारायण भट्टराईमध्ये एकलाई उपाध्यक्ष बनाउने तयारी गरेको छ। बाँकी केन्द्रीय सदस्यहरुका विषयमा पनि टुंगो लाग्न सकेको छैन। सिटौला पक्षका केन्द्रीय सदस्य प्रदीप पौडेलले पदाधिकारीका विषयमा सहमति भएपनि नेतृत्व घोषणाको प्रक्रियाका विषयमा कुराकानी भइरहेको बताए। उनले सर्वसम्मतीबाट नेतृत्व घोषणा गर्न तयार रहेपनि नेतृत्व घोषणा प्रक्रियाका विषयलाई कसरी लैजाने भन्ने विषयमा कुरा मिल्न नसकेको बताए। उनले भने,नयाँ नेतृत्वको घोषणा निर्देशक समितिका संयोजकले गर्ने हो वा निर्वाचन समितिले गर्ने हो? यसको प्रक्रिया के हो भन्ने कुरा हामीले उठाएका छौं। पौडेलका अनुसार नेताहरुबीच पदीय भागवन्डा मिलेकाले साँझसम्म तरुण दलको नयाँ नेतृत्वको अाैपचारिक घोषणा हुनेछ।"
राप्रपा र राप्रपा नेपालबीच एकता सम्झौता,"कमल थापा नेतृत्वको राप्रपा नेपाल र पशुपति शमशेर राणा नेतृत्वको राप्रपाबीच एकतासम्बन्धी सम्झौता भएको छ । मंसिर ६ गते एकता गर्ने गरी समझदारीपत्रमा दुईतर्फका अध्यक्षबीच सम्झौता भएको छ । राप्रपाका अध्यक्ष पशुपति शमशेर राणा र राप्रपा नेपालका अध्यक्ष कमल थापाबीच एकताका लागि सम्झौता भएको हो । बलियो राष्ट्रवादी शक्ति निर्माण गर्ने भन्दै दुई पार्टीबीच एकीकरण हुन लागेको हो । राप्रपा नेपालका सहप्रवक्ता मोहन श्रेष्ठका अनुसार एकीकृत पार्टीको महाधिवेशन आगामी माघभित्रै सम्पन्न गर्ने समझदारी भएको छ। दुवै पार्टीले गठन गरेको वार्ता टोलीले एकीकरण सम्बन्धि नीति तथा आधारलाई दुवै पार्टीले अनुमोदन पनि गरेपछि एकता सम्झौतामा हस्ताक्षर भएको हो। एकतापछि पार्टीको नाम राप्रपा मात्रै हुनेछ भने चुनाव चिन्ह राप्रपा नेपालको गाइ हुनेछ । नेपाल प्रज्ञा भवनमा औपचारिक कार्यक्रमको आयोजना गरी पार्टी एकीकरणको घोषणा हुने भएको छ । गत साउनमा पार्टी एकीकरणको अन्तिम तयारी भएपनि अन्तिम क्षणमा पार्टी एकीकरण प्रक्रिया बिथोलिएको थियो । यसपटक त्यो अवस्था आउँदैन, सहप्रवक्ता श्रेष्ठले भने।"
सात जिल्लालाई सुपरजोन बनाउन कृषिमन्त्रीलाई प्रधानमन्त्रीको निर्देशन,"काठमाडौं: प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले सात जिल्लालाई कृषि क्षेत्रका सुपरजोन बनाउन निर्देशन दिएका छन् । प्रधानमन्त्री प्रचण्डले कृषिमन्त्री गौरीशंकर चौधरीलाई बोलाएर झापा, बारा, काभ्रे, कास्की, दाङ, जुम्ला र कैलालीलाई कृषि लागि विशेष सुपरजोन क्षेत्रका बनाउन निर्देशन दिएका छन् । प्रधानमन्त्री प्रचण्डले प्रत्येक प्रदशेमा पर्ने गरी सात जिल्लामा एकएक वटा सुपरजोन बनाउन निर्देशन दिएको प्रधानमन्त्रीको निजी सचिवालयले जनाएको छ । प्रचण्डले झापामा धान, बारामा माछा, काभ्रेमा आलु, कास्कीमा तरकारी, दाङमा मकै, जुम्लामा स्याउ र कैलालीमा गहुँ खेतीका लागि सुपरजोन क्षेत्र बनाएर डेढ महिनाभित्र उद्घाटन गर्ने व्यवस्था मिलाउन कृषिमन्त्रीलाई निर्देशन दिएका हुन् । सँगै प्रचण्डले प्रधानमन्त्री कृषि आधुनिकीकरण परियोजनालगायत कृषि मन्त्रालयका कामलाई युद्धस्तरमा सञ्चालन गर्न निर्देशन दिए । प्रचण्डले कृषिमन्त्रीलाई प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय सिंहदरबारमा बोलाएर कृषि मन्त्रालयका कामलाई प्रभावकारी बनाउन निर्देशन दिएका हुन्। प्रधानमन्त्रीले परियोजनामा सञ्चालन हुने कार्यक्रमहरुबारे जनस्तरमा व्यापक प्रचारप्रसार गर्ने, जनस्वास्थ्यमा ध्यान दिँदै परियोजनाबाट बितरण गरिने मलमा आधा रासायनिक मल र आधा कम्पोष्ट मलको प्रतिस्पर्धाको आधारमा बितरण गर्न, परियोजना सञ्चालन गर्न सिंचाई, पूँजी सुधार, ग्रामीण विद्युतीकरण, कृषि सडक, कृषि ऋण उपलब्ध गराउने निकायसँग समन्वय गर्न पनि निर्देशन दिएका छन् । प्रधानमन्त्री प्रचण्डले कृषि विकास रणनीतिमा व्यवस्था भएअनुसार किसान आयोगको गठन गरिने जानकारी गराउँदै देशभरिको बाँझो जमिनको सदुपयोग गर्ने,द्वन्द्वपीडित, वैदेशिक रोजगारीमा गएर फर्किएका महिला लक्षित विशेष कार्यक्रम सञ्चालनका लागि मन्त्रालयले आवश्यक व्यवस्था गर्न पनि मन्त्री चौधरीलाई निर्देशन दिएका छन् ।"
विप्लव माओवादीका दुई नेता पक्राउ,"दोलखाः आगजनीमा संलग्न भएको आरोपमा नेत्रविक्रम चन्द विप्लव नेतृत्व माओवादीका दुई जिल्ला नेता पक्राउ परेका छन् । कात्तिक २७ गते नेपाल बन्दको पूर्वसन्ध्यामा एउटा कार र दुई मोटरसाइकलमा आगजनी गरेको आरोपमा माओवादीका दुई नेता पक्राउ परेका हुन् । आगजनीको आरोपमा दोलखा प्रहरीले विप्लव माओवादीका ताम्सालिङ जनसरकार उपप्रमुख यादव दाहाल र जिल्ला नेता कमलकान्त ओलीलाई पक्राउ गरेको हो । सोमबार पक्राउ परेका दुई नेतालाई प्रहरीले मंगलबार सार्वजनिक गरेको छ। दुवै नेताविरुद्ध अदालतबाट म्याद थप गरी अनुसन्धान अगाडि बढाएको जिल्ला प्रहरी कार्यालयका प्रहरी इन्सपेक्टर ललनप्रसाद कुर्मीले जानकारी दिए । दाहाल र ओलीमाथि कात्तिक २७ गते दोलखा उद्योग वाणिज्य संघ महासचिवको कार, जिल्ला विकास समिति दोलाखको मोटरसाइकल र स्थानीय व्यवसायी रविन्द्र पोखरेलको मोटरसाइकल जलाएको आरोप छ ।"
'न्यायाधीशले कुर्सीमा बस्ने र कागज मात्र केलाउने सोच बदल्नुपर्छ',"भद्रपुर: प्रधानन्यायाधीश सुशीला कार्कीले न्यायालयमा सर्वसाधारण जनताको पहुँच पुर्याउन सके दण्डहीनताको अन्त्य हुने बताएकी छिन्। सर्वोच्च अदालतले झापाको चन्द्रगढीमा आयोजना गरेको महिलाको न्यायमा पहुँच र सराकारवाला निकायबीचको समन्वयविषयको छलफल कार्यक्रमको मंगलबार उद्घाटन गर्दै उनले न्यायालयमा पहुँच नभएका समुदाय र वर्गलाई पहुँच पुर्याउन सबैले आआफ्नो तहबाट प्रयास गर्नुपर्नेमा जोड दिइन्। 'न्यायाधीशहरुले कुर्सीमा बस्ने र कागज मात्र केलाउने सोचलाई बदल्नुपर्छ,' उनले भनिन्। सर्वोच्च अदालतका सहरजिस्ट्रार ममता खनाल, जिल्ला अदालत झापाका न्यायाधीश सुदर्शन पाण्डे र महिला विकास अधिकृत इन्दिरा ओझाले महिलाको न्यायमा पहुँच र यस सम्बन्धी व्यवस्थाका बारेमा आआफ्ना कार्यपत्र प्रस्तुत गरेका छन्। कार्यक्रममा झापा, सुनसरी, मोरङ, धनकुटा र इलामका न्यायाधीश, जिल्ला न्यायाधिवक्ता, महिला विकास अधिकृत, कानुन व्यवसायी र महिला अधिकारकर्मी लगायत करिब १०० जना सहभागी छन्। रासस"
