शीर्षक,विवरण
विप्लव' को राजनीति,"क्रान्तिको आवरणमा दलाल' राजनीतिको प्रक्षेपण भएको मान्नेहरू अहिले धेरै छन् मुलुकमा । समकालीन राजनीतिलाई नजिकबाट देखेका, भोगेका र त्यसबाट मुलुकको सार्वभौम हैसियत, स्वाभिमान र स्थायित्वमा पुगेको खतरा देखेर राजनीतिज्ञप्रति नकारात्मक धारणा बनाएका अधिकांश नेपाली क्रान्ति', जनयुद्ध' र अग्रगमन' जस्ता उनीहरूलाई झुक्याउनका लागि गोयवल' शैलीमा या प्रोपागन्डाका रूपमा प्रयोग गरिएका शब्दहरू भएको अर्थ निकालेका छन् । संक्षेपमा क्रान्तिकारी' र प्राय सबै दलका नेतृत्वले विश्वसनीयता गुमाएका छन् । त्यस्तो पृष्ठभूमिमा ०५२ सालमा माओवादी सशस्त्र विद्रोह सुरु भएलगतै चार वर्षअघि या माओवादी हेटौंडा सम्मेलनसम्म पुष्पकमल दाहालबाबुराम नेतृत्वसँगै सहकार्य गर्दै आएका नेत्रविक्रम चन्द विप्लव' ले अहिले फरक पार्टी बनाएका छन् । परेमा फेरि बन्दुक उठाउने घोषणा गरेका छन् । नेपालको वर्तमान संविधानले एक किसिमले हतियार र हिंसाको राजनीतिलाई वैधानिकता दिएको छ, तर अर्कोतिर जनताको नजरमा र भोगाइमा त्यो प्रत्युत्पादक बनिसकेको छ । सशस्त्र विद्रोह सुरु भएदेखि दिल्लीमा भएको बाह्रबुँदेमार्फत बिर्सजन भएको माओवादी आन्दोलनको नेतृत्वपंक्तिमा रहेका विप्लवले त्यस आन्दोलनका विकृति र त्यसबाट भित्र्याइएका अनेक विकृति र बाह्य हस्तक्षेपप्रति जिम्मेवारी नलिई जनताको विश्वास जित्न सक्ने छैनन् । किनकि क्रान्ति' का अगुवाहरूबाट मुलुक र जनता ठगिएको छ । अर्कोतिर विप्लवले आफूलाई सीके राउतसँग तुलना नगर्न पनि चेतावनी दिएका छन् राज्यका शक्तिहरूलाई । हो, विप्लवले राउतजसरी मुलुकको विखण्डन र अर्को पक्षविरुद्ध घृणाका अभियान चलाएका छैनन् । तर जातीयताको तथा अनियन्त्रित पहिचानको राजनीति अनि कुनै जमानामा आत्मनिर्णयको अधिकारको माग उठाउने काम माओवादीले नै गरेकोले त्यस्ता प्रसंगहरू कोट्याइएका हुन सक्छन् । त्यसबारे आगामी दिनमा विप्लवका गतिविधि र अभिव्यक्तिले उनको नयाँ राजनीतिको परिचय खोल्दै जाला जनतासमक्ष । तर तत्काल केही आसा र अविश्वासका साथ आम जनताले विप्लव र उनको दललाई परीक्षणकालमा राख्ने छन्, तर उनीप्रति विश्वास गरिहाल्ने छैनन् । बन्दुक उठाउनुले मात्र क्रान्ति र परिवर्तन संस्थागत हुँदैन । त्यस अर्थमा विप्लवको भोगाइ शीर्ष माओवादी नेतृत्व अरूभन्दा फरक छ । र त्यो फरकपन' भित्र कसरी उनले नेपाली राष्ट्रियताको जगेर्ना तथा जनताको स्वाभिमान संरक्षण गर्छन्, त्यसले उनको राजनीतिलाई प्रभावित गर्ने छ । तर हिंसाको राजनीतिलाई नेपालमा अब जनताले स्वीकार्ने या बन्दुके नेताको पछि लाग्ने सम्भावना अत्यन्तै न्यून छ । उग्र नारा' बीच विदेशी शक्तिहरूले आफ्नो उपस्थिति सुनिश्चित गर्दा रहेछन् भन्ने स्पष्ट भइसकेकोले क्रान्ति' र क्रान्तिकारी' अपहेलित भएका छन् । यो पाठलाई सकारात्मक रूपमा लिएर विप्लवले केही रचनात्मक कार्यक्रम तथा राजनीति' प्रतिपादन गरेमा यसले एउटा सुखद् विकल्प' जनतासामु पुर्याउन सक्छ ।"
निर्वाचनका लागि संयुक्त सरकार आवश्यक : बाबुराम भट्टराई,सोलुखुम्बु : नयाँ शक्ति नेपालका संयोजक डा बाबुराम भट्टराईले निर्वाचनका लागि संयुक्त सरकार आवश्यक रहेको बताएका छन्। सोलुखुम्बुको वाकुस्थित सगरमाथा माध्यामिक विद्यालयको नवनिर्मित भवनको आज उद्घाटन गर्दै संयोजक डा भट्टराईले भागबण्डामा बनेको सरकारले निर्वाचन गराउँदा भ्रष्टाचार बढ्ने र सुशासन खल्बलिने भएकाले तीनवटै निर्वाचन सम्पन्न गरुञ्जेलका लागि संयुक्त सरकार आवश्यक रहेको बताए। नेता भट्टराईले अहिले निर्वाचनका लागि खर्च जुटाउन जङ्गल र डाँडा दोहन बढेको भन्दै निर्वाचनलाई सभ्य बनाउन दलहरुलाई सरकारले नै खर्च दिनुपर्ने बताए। संविधान संशोधन नगरी अहिलेकै अवस्थामा निर्वाचन हुनै नसक्ने भन्दै डा भट्टराईले आदिवासी जनजाति तथा मधेसीलगायतले उठाएको विषय समाधान गर्ने गरी संविधान संसोधनपछि मात्र निर्वाचन हुनुपर्ने बताए। रासस
कञ्चन बहुमुखीमा क्याम्पस प्रमुखले गरे एकपक्षीय चुनाव स्थगित,"कञ्चनपुरः कञ्चनपुरको कृष्णपुर नगरपालिका गुलरियामा रहेको कञ्चन बहुमुखी क्याम्समा स्ववियु निर्वाचन स्थगित भएको छ । निर्वाचनका सम्पूर्ण प्रक्रियाहरु पूरा गरी मतदानको तयारीमा रहेका वेला निर्वाचन स्थगित गरिएको हो । चार विद्यार्थी संगठनमध्ये तीवटा विद्यार्थी संगठन, नेपाल विधार्थी संघ, अनेरास्ववियू(क्रान्तिकारी) र राप्रपा विद्यार्थी संघलाई जानकारी नदिएरै चुनाव स्थगन गरिएको सूचना प्रकाशन गरिएको छ । अनेरास्ववियु र क्याम्पस प्रमुखको मिलेमतोमा निर्वाचन स्थगित गरिएको आरोप तीन विद्यार्थी संगठनले लगाएका छन् । एमाले निकट भनिएका क्याम्पस प्रमुख जगदीश भट्टलगायत एमाले नेता कार्यकर्ताहरुले आफ्नो विद्यार्थी संगठन हार्ने देखेपछि षडयन्त्रपूर्ण ढङ्गले मतदान स्थगितको गरेको नेविसंघको आरोप छ । मंगबार अनेरास्ववियुका विद्यार्थीहले क्याम्पसमा ताला लगाएक थिए । उक्त ताला बुधबार बिहान तीनवटै विद्यार्थी संगठन मिलेर तोडेको नेविसंघले जनाएको छ । आज बेलुकीसम्म जसरी भएपनि मतदानको वातावरण मिलाउन क्याम्पस प्रमुखलाई आग्रह गर्ने र यदि नगरिएमा क्याम्पस प्रमुखले राजीनामा दिनुपर्ने तीनवटै विद्यार्थी संगठनले माग गरेका छन् ।"
पुरी नयाँ भारतीय राजदूत नियुक्त,काठमाडौं (अन्नपूर्ण): भारतले मन्जीवसिंह पुरीलाई नेपालको नयाँ राजदूतका लागि नियुक्त गरेको छ। पुरी अहिले भारतका लागि बेल्जियमको राजदूत हुन्। १९८२ ब्याचका पुरी अहिले ५८ वर्षका छन्। संयोगले राजदूत रे नेपाल छाड्नुभन्दा केही घन्टाअघिमात्र पुरीको नियुक्तिको औपचारिक प्रक्रिया सुरु गरेको छ। नेपालका लागि भारतीय राजदूत रञ्जित रे तीन वर्षको कार्यकाल सकेर बुधबार नयाँ दिल्ली फर्कंदैछन्। परराष्ट्र मन्त्रालय स्रोतका अनुसार पुरीको नाम अनुमोदनका लागि नेपाल सरकारलाई आधिकारिक पत्र आइसकेको छ।
मन्त्रीलाई प्रमुख निर्वाचन आयुक्तको प्रश्न : संविधान सर्वोपरी कि मन्दिर उद्घाटन ?,"काठमाडौं : स्थानीय निकायको निर्वाचन आचारसंहिता लागु भएकै दिन मन्त्री र निर्वाचन आयुक्तबीच छलफल भएको छ। बुधबार आयोगमा सबै मन्त्रीलाई बोलाएर प्रमुख निर्वाचन आयुक्त यादवले उदघाटन, शिल्यान्यास, निर्वाचनका लागि उम्मेदवारको प्रचारप्रसारलगायतका कार्यक्रममा सहभागी नहुन निर्देशन दिएका छन्। निर्वाचन आयोगमा भएको छलफलमा मन्त्रीहरुले पूर्वनिर्धाति कार्यक्रममा जान पाउँनुपर्ने माग अघिसारेपछि प्रमुख निर्वाचन आयुक्त अयोधीप्रसाद यादवले भने त्यसको प्रतिवाद गरेका छन्। मन्त्रीका जिज्ञासाको जवाफ दिने क्रममा प्रमुख आयुक्त यादवले भने, तपाईंहरुका लागि संविधान सर्वोपरी हो कि मन्दिर उद्घाटन महत्वपूर्ण ? निर्वाचन प्रमुख आयुक्त यादवले छलफलमा स्वास्थ्यमन्त्री गगन थापाले आफू उपस्थित नभए कतिपय स्वास्थ्यसंस्था नै बन्द हुने बताएपछि त्यस्ता कार्यक्रममा मन्त्रालयका सचिवमार्फत् पत्र पठाएर काम गर्न सुझाव दिए। शिक्षाराज्यमन्त्री धनमाया विकको एक महिनाअघि तय भएको स्कुल उद्घाटनमा जान पाउने कि नपाउने ? भन्ने जिज्ञासा राखेकी छिन्। उनको जिज्ञासाको जवाफमा प्रमुख आयुक्त यादवले जानै नपाउने जवाफ दिएका छन्। निर्वाचन आयोगमा भएको छलफलमा नेपाल सरकारका अधिकांश मन्त्रीको उपस्थिति थियो।"
मन्त्री र प्रमुख निर्वाचन आयुक्त यादवबीच चर्को सवाल जवाफ,"काठमाडौं : हाम्रा कार्यकर्ता हुन्नन, हामी किन चुनाव प्रचार प्रसारमा जान नपाउने ? वाणिज्यमन्त्री रोमी गौचन थकालीको आक्रोश भुंइमा नखस्दै प्रमुख निर्वाचन आयुक्त अयोधिप्रसाद यादवले कडा शैलीमा जवाफ फर्काए, ४३ जना मन्त्री हुनुहुन्छ। तपाईहरु ७ सय १९ तहमा जाने भए आफै चुनाव गराउनुहोस, निर्वाचन आयोग किन चाहियो ? निर्वाचन आचारसंहिता पालनामा सरकारको प्रतिवद्धता खोज्न बुधवार आयोगले बोलाएको छलफलमा मन्त्री थकाली मात्र होइनन, अधिकांस मन्त्रीलाई प्रमुख आयुक्त यादवले कडै जवाफ फर्काए। आचारसंहिता कडा भएको भन्दै असन्तुष्टि पोख्न पुगेका मन्त्रीहरुले उल्टै प्रमुख आयुक्त यादवको हप्की खेप्नु परेको थियो। आचारसंहितामा कडाई गर्ने संकेत गर्दै प्रमुख आयुक्त यादवले भने,शक्ति केन्द्रको दुरुपयोगलाई कडाई साथ कारवाही गर्छौ। समानूपातिकमा एक सिट मात्र जितेर महिला मन्त्री बनेका कुमार खडकाले आफ्नो पार्टीको निर्वाचन क्षेत्र देशभरी नै भएको तर्क सहित चुनाव प्रचाार प्रसारमा होमिने संकेत गरेपछि प्रमुख आयुक्त यादव झन आक्रोशित भए। तपाईहरु(मन्त्रीहरु) किन जाने? पार्टीका नेताहरु प्रचार प्रसारमा जानुहुन्छ। त्यसपछि मन्त्री खडकाले प्रश्न गर्न खोज्दा प्रमुख आयुक्त यादव झोक्किए। मन्त्रीज्यू म संग होइन, प्रधानमन्त्रीसँग प्रश्न गर्नुहोस। यो आदेश हो, निर्देशन हो। स्वास्थ्यमन्त्री गगन थापाले भोली(विहीवार) नै पार्टीको कार्यक्रम तय भएको भन्दै जान पाउने कि नपाउने भनी प्रश्न गरे। प्रमुख आयुक्त यादवको जवाफ थियो,जनताको ट्याक्स खाएर मन्त्री बनेकाहरु कुनै पनि पार्टी विशेषको कार्यक्रममा जान निषेध गर्छु। मन्त्री पदको सपथ खाएको व्यक्ति खास उम्मेदवारको पक्षमा निर्वाचन क्षेत्रमा कार्यक्रम गर्न नपाईने यादवले बताए। सदरमुकाममा जानुहोस, तर गाउँ नपस्नुहोला, यादवले मन्त्रीहरुलाई सचेत गराउंदै भने,सिडिओहरुलाई भनेर कुनै पनि मन्त्रीको स्वागतमा समय बर्बाद नगर्न म पत्राचार गर्छु। पर्यटनमन्त्री जिवन बहादुर शाहीले संसदीय निर्वाचनमा हेलिकप्टर प्रयोग गर्न पाइएको तर्क गर्दै स्थानीय निर्वाचनमा आयोगले हेलिकप्टर प्रयोगमा रोक लगाएकोमा असन्तुष्टि पोखे। तर प्रमुख आयुक्त यादवले निर्वाचनका सामग्री ओसार पसार बाहेक अन्य काममा हेलिकप्टर प्रयोगमा पूर्ण रोक लगाइने बताए। को कुन जहाज र हेलिकप्टरमा जांदैछ भन्ने लिष्ट निर्वाचन आयोगमा आउने व्यवस्था गर्दैछौ। आयोगको निर्देशन विपरित कोही गयो भने कारवाही हुन्छ। उद्योग राज्यमन्त्री कञ्चनचन्द्र वादेले आफ्नो घर नै काभ्रे भएकाले आफु घर जान पाउने कि नपाउने भनी प्रश्न गरे। जवाफमा प्रमुख आयुक्त यादवले भने,मन्त्री भएर होइन, सामान्य भएर जानुहोला। शान्तिमन्त्री सितादेवी यादवले संविधान संशोधन नभई मधेसमा चुनाव हुन नसक्ने भन्दै राजनीतिक वातावरण नबनी चुनाव कसरी हुन्छ भनी प्रश्न गरे। मन्त्री यादवको प्रश्नको पनि प्रमुख आयुक्त यादवले कडै जवाफ फर्काए। राजनीतिक वातावरण बनाउने काम तपाईहरुकै हो नि, बनाउनुहोस न। अधिकांस मन्त्रीहरुले पहिले नै तय भइसकेका उदघाटनका कार्यक्रम र जिल्ला भ्रमणमा जान आयोगले रोक लगाएकोमा असन्तुष्टि पोख्दै त्यस्तो भए विकास निर्माण रोकिने बताएका थिए। जवाफमा यादवले भने, चुनाव गराएर संविधान सर्वोपरि ठूलो कि उदघाटन ? २ महिनामा कति विकास हुन्छ हामीलाई थाहा छैन ? निर्वाचन आचारसंहिता पालनामा आयोग कडै रुपमा प्रस्तुत हुने संकेत पाएपछि उपप्रधान तथा अर्थमन्त्री कृष्णबहादुर महराले आचारसंहिता पालनामा सरकार प्रतिवद्ध रहेको बताए। निर्वाचनलाई चाहिने बजेट आयोगले दिने पनि महराले बताए। अर्का उपप्रधान तथा गृहमन्त्री विमलेन्द्र निधिले २१ हजार बुथमा स्थानीय तह सुरक्षा योजना तयार गरिएको र त्यसलाई लागु गरिने बताए। यादवले नयाँ पदपूर्तिको काम सम्पूर्ण रुपमा रोक्न मन्त्रीहरुलाई निर्देशन दिए। अन्र्तवार्ता लिइसक्नु भएको छ भने त्यो पनि रोक्नुहोस। नेपालमा पावरको निकै नै मिसयुज हुन्छ। यस्तै आयोगले विभिन्न मन्त्रालयका सचिवहरुसँगको छलफलमा आचारसंहिता पालनाका लागि केन्द्रदेखि जिल्लासम्मको व्यवस्था मिलाउन निर्देशन दिएको थियो। प्रतिवेदन आजै चाहियो, भोली चाहियो मन्त्रीहरुसंगको छलफलमा प्रमुख आयुक्त यादवले स्थानीय तह पुनर्संरचना आयोगको प्रतिवेदन तत्काल आयोगलाई हस्तान्तरण गर्न आग्रह गरे। आयोगको प्रतिवेदन आजै चाहियो, भोली चाहियो, यादवले भने, अव एक दिन पनि पर्खन सकिदैन। जसरी नि चाहियो। प्रतिवेदनप्रति दलीय अहसमति भए सहमतिको वातावरण बनाउन पनि उनले सरकारसँग आग्रह गरे। गाभिने दललाई नयाँ नाममा दर्ता निर्वाचन आयोगले स्थानीय तहको निर्वाचन घोषणा पूर्व एकापसमा गाभिन वा एकीकरण हुन निवेदन दिएका दलहरुलाई नयाँ दलको रूपमा दर्ता हुने व्यवस्था गरिएको जनाएको छ।"
एमालेद्धारा जनसभाको तयारी तीब्र,"विराटनगर: पार्टीले सुरु गर्न लागेको मेचीमहाकाली अभियान अन्तर्गत मोरङको विराटचौकमा हुने आमसभाको तयारी एमालेले तीव्र पारेको छ । एमाले मोरङ अध्यक्ष विनोद ढकालले लाखौँको सङ्ख्यामा एमाले समर्थक र शुभचिन्तक सभामा उतार्ने तयारी गरिएको बताए । फागुन २१ गते झापाको विर्तामोडबाट सुुरु हुने अभियानको दोश्रो दिन मोरङको विराटचौकमा लाखौंको उपस्थितिमा गरिने बृहद जनसभाको तयारी तीव्र पारिएको जानकारी दिए । फागुन २२ गते हुने सभालाई एमाले अध्यक्ष केपी शर्मा ओली लगायतका नेताहरुले संवोधन गर्ने कार्यक्रम छ । मेचीमहाकाली राष्ट्रिय अभियानलाई लिएर मोरङमा भइरहेको तयारीबारे पार्टी कार्यालय पाञ्चालीमा बुधबार पत्रकार सम्मेलन गर्दै अध्यक्ष ढकालले एमालेका सम्पूर्ण नेता कार्यकर्ता तथा शुभेच्छुकहरुलाई आमसभामा सहभागी हुन आग्रह गरे । अध्यक्ष ढकालले मेचीमहाकाली अभियान संविधान कार्यन्वयन,निर्वाचन, राष्ट्रिय स्वाभिमान, सामाजिक सद्भाव र राष्ट्रिय एकता अभिवृद्धि, सामाजिकआर्थिक रुपान्तरण, विकास र समृद्ध तराई मधेसका लागि सुुरु दावी गरे । एमालेले मेचीमहाकाली अभियान चैत ५ गते सुर्खेतमा आमसभा गरेर सम्पन्न गर्न योजना बनाएको छ ।"
रवीन्द्र मिश्रको राजनीतिक दलको नाम साझा पार्टी र चिह्न तराजु,काठमाडौं : बुधबार मात्र बिबिसी नेपाली सेवाको प्रमुखबाट राजीनामा दिएर राजनीतिमा लाग्ने उद्घोष गरेका पत्रकार रवीन्द्र मिश्रले नेतृत्व गर्ने पार्टीको नाम साझा पार्टी हुने भएको छ। पत्रकार मिश्रले बुधबार पार्टीको नाम सााझा पार्टी र चिह्न तराजु सुरक्षित राख्न निर्वाचन आयोगलाई निवेदन दिएका छन्। राजनीतिक पार्टी बनाउने योजना अनुरुप आज निर्वाचन आयोगमा पार्टीको नाम र चिह्न होल्ड गरेको मिश्रकै पार्टीका एक सदस्य राजनीतिक विश्लेषक मुमाराम खनालले अन्नपूर्ण अनलाइनलाई जानकारी दिए। मिश्र नेतृत्वमा बन्ने साझा पार्टीको नाममा बुधबार नै फेसबुक पेज र ट्वीटर ह्यान्डल समेत सार्वजनिक गरिएको छ।
संखुवासभाका चार क्याम्पसमा अनेरास्ववियु विजयी,"काठमाडौँ : संखुवासभामा सम्पन्न स्वतन्त्र विद्यार्थी युननियनको निर्वाचनमा चार वटै क्याम्पसमा एमाले निकट अनेरास्ववियु विजयी भएको छ । बुधबार सम्पन्न निर्वाचनमा नेपाल विद्यार्थी संघ र क्रान्तिकारीको संयुक्त प्यानललाई हराउदै बरुण बहुमुखी क्याम्पसमा सुरेस थापा, मादी बहुमुखी क्याम्पसमा नवराज कडुवाल, संखुवासभा बहुमुखी क्याम्पसमा मनोज तामाङ र रामेश्वर बहुमुखी क्याम्पसमा नविन राई एकल प्यानलसहित सभापति विजयी भएका छन्। चार क्याम्पसमा अखिलको प्यानल विजयी भएको अनेरास्ववियु संखुवासभाका अध्यक्ष राजेश खड्काले जानकारी दिए।"
पुल्चोकमा विद्युतीय मतदानले छिटो नतिजा : अखिल क्रान्तिकारी विजयी,"काठमाडौं : पुल्चोक इन्जिनियरिङ क्याम्पसले स्ववियु चुनावमा विद्युतीय मतदान गरेको छ। विद्युतीय मतदानका कारण नतिजा पनि छिटो आएको छ । नतिजा अनुसार सभापतिमा विजयी नेकपा (माओवादी केन्द्र) निकट अखिल क्रान्तिकारीका रोशन थापा मगरले चार सय ९७ ल्याएका छन् । उनका प्रतिद्वन्द्वी एमाले निकट अनेरास्ववियुका सुदीप चालिसेले चार सय ३६ मत पाएका छन् । सचिव, कोषाध्यक्षसहित अन्य चार सदस्यमा एमाले निकट अखिल तथा माओावदी केन्द्रका निकट क्रान्तिकारीले अध्यक्षसहित तीन सदस्य जितेको छ । त्रिविको आंगिक क्याम्पसमा आएको यो पहिलो नतिजा हो ।"
