शीर्षक,विवरण
के सन्देश लिएर चीनबाट फर्किए उपप्रधानमन्त्री महरा?,"काठमाडौंः उपप्रधान तथा अर्थमन्त्री कृष्णबहादुर महरा चीन भ्रमण सकेर स्वदेश फर्किएका छन्। प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डका विशेष दूतका रुपमा पाँच दिने चीन भ्रमणमा गएका उपप्रधान तथा अर्थमन्त्री महरा शनिवार बिहान स्वदेश फकिएका हुन्। त्रिभुवन विमानस्थलमा पत्रकारहरुसँग कुराकानी गर्दै अर्थमन्त्री महराले चीनबाट छिट्टै उच्चस्तरीय भ्रमण हुने बताए। उनले चीनका प्रधानमन्त्री ली खछयाङले नेपाल भ्रमण गर्न आफूहरु तयार रहेको भन्दै छिट्टै भ्रमणमा आउने जानकारी आफूलाई गराएको बताए। महराले चीनबाट हुने उच्चस्तरीय भ्रमणको मिति भने केही समयमा लाग्ने बताए। महराले भने,नेपाल यथाशिघ्र आउँछौं भन्नुभएको छ। तर, कहिले आउने भन्नेबारे मिति टुंगो लागेको छैन। प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डको विशेष दूतका रुपमा चीन भ्रमण्मा गएका महराले आफ्नो भ्रमण पूर्णरुपमा सफल भएको बताए। उनले भने,जुन उदेश्यले चीन गएको हो। त्यो उदेश्य पूरा भएको छ। चीन भ्रमण सफल र फलदायी रह्यो। चीन भ्रमणका क्रममा अर्थमन्त्री महराले चिनियाँ राष्ट्रपति सि जिन पिङ, प्रधानमन्त्री खछयाङ लगायतसँग उच्चस्तरीय भेटवार्ता गरेका थिए।"
भारत प्रचण्ड नेतृत्वको सरकारसँग मिलेर अघि बढ्न तयार छ,"भारतीय गृहमन्त्री राजनाथ सिंहले भारत नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड नेतृत्वको सरकारसँग नजिक रहेर काम गर्न तयार रहेको स्पष्ट पारेका छन्। गृहमन्त्री सिंहले भने,भारत नेपालमा स्थिरता भएको हेर्न चाहन्छ, हामी नेपालमा विकास भएको हेर्न चाहान्छौं, त्यसका लागि हामी प्रचण्ड नेतृत्वको सरकारसँग निकट भएर काम गर्न तयार छौं। सिंहले भारत नेपालमा सधैं शान्ति, स्थायित्व र विकास भएको हेर्न चाहेको बताए। काठमाडौंः भारतीय गृहमन्त्री राजनाथ सिंहले भारत नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड नेतृत्वको सरकारसँग नजिक रहेर काम गर्न तयार रहेको स्पष्ट पारेका छन्। नयाँ दिल्लीमा पत्रकारहरुसँग शनिवार बिहान कुराकानी गर्दै गृहमन्त्री सिंहले भने,भारत नेपालमा स्थिरता भएको हेर्न चाहन्छ, हामी नेपालमा विकास भएको हेर्न चाहान्छौं, त्यसका लागि हामी प्रचण्ड नेतृत्वको सरकारसँग निकट भएर काम गर्न तयार छौं। सिंहले भारत नेपालमा सधैं शान्ति, स्थायित्व र विकास भएको हेर्न चाहेको बताए। उनले काँग्रेसमाओवादी केन्द्रवीच बनेको नयाँ गठबन्धनको सरकारले संविधान कार्यान्वयन गर्ने गरी काम गर्नेमा आफू विश्वस्त रहेको समेत स्पष्ट पारे। प्रचण्ड नेतृत्वको सरकारले संविधान कार्यान्वयन गर्दै नेपालमा संघीय लोकतान्त्रिक गणतन्त्र संस्थागत गर्नेछ भन्ने हाम्रो विश्वास छ, उनले भने। आफूहरु नेपालमा राजनीतिक स्थिरता भएको हेर्न चाहेको उल्लेख गर्दै गृहमन्त्री सिंहले भने,यसबाट मात्रै विकास सुनिश्चित हुन्छ, हामी नेपालको विकासमा हरहमेसा साथ र सहयोग गर्न तयार छौं। सिंहले कांग्रेस र माओवादी केन्द्रबीच भएको सातबुँदे सहमति तथा आन्दोलनकारी दलहरूसँग भएका वार्ता प्रयासलाई आन्तरिक स्थिरताका लागि सकारात्मक कदम समेत भएको टिप्पणी गरे। उनले आतंकवादविरुद्धमा नेपाल र भारत दुवै देश मिलेर लड्नुपर्ने बताए।"
'कांग्रेसबाट ककसलार्इ मन्त्री बनाउने भन्नेबारे छलफल भएको छैन',"चितवन: नेपाली काँग्रेसका वरिष्ठ नेता रामचन्द्र पौडेलले सरकारमा मन्त्री पठाउने विषयमा पार्टी सभापतिसँग छलफल भइनसकेको बताएका छन्। नेपाल प्रेस युनियन चितवनले शनिवार बिहान गरेको पत्रकार भेटघाट कार्यक्रममा उनले मन्त्री पठाउने विषयमा सभापतिले आफूसँग छलफल नगरेको बताए। उनले भने,'मन्त्री पठाउने विषयमा अहिलेसम्म कुनै छलफल भएको छैन।' पुष्पकमल दाहालको नेतृत्वमा सरकारमा जाने विषयमा पार्टीको निर्णय भएको भए पनि त्यसयता पार्टीबाट ककसलाई मन्त्री बनाउने भन्ने विषयमा कुनै पनि छलफल नभएको उनले स्पष्ट पारे। मन्त्री पठाउने विषयमा पार्टी सभापति शेरबहादुर देउवालाई सहयोग गर्न आफू तयार रहेको भन्दै उनले भने,'म सहयोग गर्न तयार छु, सहयोग लिनेले सहयोग लिनु पर्यो नि।' फरक प्रसङ्गमा उनले व्यवस्थाको टुङ्गो लाग्न नसक्दा नेपालपछि परेको बताउँदै चीन र रुसको उदाहरण हेरेर देशको विकास गर्नुपर्ने बताए। 'हाम्रो पद्दति नै अस्थायी छ, जसले गर्दा ७० वर्षदेखि हामी पछाडि परेका छौं, पौडेलले भने। नेपाल विद्यार्थी सङ्घको अधिवेशनका सन्दर्भमा सोधिएको प्रश्नमा उनले सभापति र महामन्त्री बाहेकका धेरै पदहरुमा आफ्ना समूहको उम्मेदवारले विजय हासिल गरेको बताए। वरिष्ठ नेता पौडेलले नेपाली काँग्रेसका जिल्ला सभापतिको भोलिदेखि काठमाडौँमा हुने भेलाले स्थानीय निकायको पुनःसंरचनाको खाका तयार गर्न सुझाव दिने र पार्टीले सोही सुझावका आधारमा धारणा तयार गर्ने बताए।"
रेग्मीलार्इ अमेरिकामा अन्तर्राष्ट्रिय सम्मान,"काठमाडौं: मन्त्रिपरिषद्का पूर्व अध्यक्ष खिलराज रेग्मीलाई अमेरिकाको सामाजिक संस्था वि केयर फर कम्यूनिटी ले एसिया डिग्निटेरी म्यान अफ द इयर नामक अन्तर्राष्ट्रिय सम्मान प्रदान गरेको छ। चुनौतीपूर्ण परिस्थितिमा नेपालको संविधानसभाको निर्वाचन सम्पन्न गर्न २०७० सालमा सरकारको नेतृत्व गरी निर्वाचन सम्पन्न गरेको योगदान तथा न्याय सेवा मार्फत जनता र समाजलाई पुर्याएको योगदान समेतको मूल्याङ्कन गर्दै सो सम्मान प्रदान गरिएको हो। अमेरिकाको न्यूर्याेकस्थित संयुक्त राष्ट्रसङ्घ भवनमा अगष्ट १७ देखि १९ सम्म आयोजित मानवता सम्बन्धी अन्तर्राष्ट्रिय सम्मेलनमा मन्त्रिपिरषद्का पूर्व अध्यक्ष रेग्मीलगायत विश्वका विभिन्न देशका सरकार प्रमुख, पूर्व सरकार प्रमुख, पूर्व राष्ट्रप्रमुख तथा प्रसिद्ध सामाजिक अभियन्तालाई आयोजकले उनीहरुको योगदानको कदरगर्दै सम्मान गरेको हो। सम्मानपछि पूर्व अध्यक्ष रेग्मीले विश्वमा सफलताको पथमा अग्रसर हुन सेवाको भावना र परोपकारको उद्देश्यसहित निरन्तर क्रियाशील हुनुपर्ने आवश्यकतामा जोड दिए। उहाँले मानवीय सेवा र सामाजिक हितोपयोगी कार्यमा समर्पित भएमा विश्व शान्ति तथा सद्भावपूर्ण र समृद्ध समाज निर्माण गर्न सकिने बताएको उनका सहयोगी राजेन्द्रप्रसाद पाण्डेयले जानकारी दिए।"
माओवादी केन्द्रको सांगठनिक नेतृत्व बादललाई,"काठमाडौँ: नेकपा (माओवादी केन्द्र)ले पार्टीको सांगठनिक नेतृत्व रामबहादुर थापा 'बादल'लाई दिएको छ । शनिबार बसेको माओवादी केन्द्रीय कार्यालयको बैठकले पार्टीको संगठन विभाग पुर्नगठन गरेको हो । बादलको नेतृत्वमा बनेको संगठन विभागमा १३ सदस्य रहेका छन् । संगठन विभागमा सात प्रदेश इञ्चार्ज, अन्तराष्ट्रिय विभागका प्रमुखसँगै नेता टोपबहादुर रायमाझी, गिरिराजमणि पोखरेल, जयपुरी घर्तीमगर र मणि थापा सदस्य रहेको प्रवक्ता पम्फा भुसालले जानकारी दिइन् । नारायणकाजीको नेतृत्वमा सरकार सञ्चालन सहयोग संयन्त्र त्यस्तै, शनिबारको माओवादी केन्द्रको बैठकले नेता नारायणकाजी श्रेष्ठको नेतृत्वमा सरकार सञ्चालन सहयोग समिति गठन गरेको छ। श्रेष्ठ नेतृत्वको सरकार सञ्चालन सहयोग संयन्त्रको सदस्यमा कृष्णबहादुर महरा, मातृका यादव, वर्षमान पुन, गिरिराजमणि पोखरेल, देव गुरुङ, टोपबहादुर रायमाझी, हरिबोल गजुरेल, पम्फा भुसाल र तिलक परियार रहेका छन् । प्रधानमन्त्री एवम् माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्डको अध्यक्षतामा लाजिम्पाटमा बसेको बैठकले अन्य राजनीतिक र संगठनात्मक विषयमा छलफल जारी राख्ने निर्णय समेत गरेको भुसालले जानकारी दिइन । त्यस्तै, प्रदेश इच्चार्ज प्रमुख जनार्दशन शर्मा र राम कार्की मन्त्री बनेपछि प्रदेश १ को जिम्मेवारी गोपाल किराँतीलाई दिइएको छ भने प्रदेश ६ को जिम्मेवारी शक्ति बस्नेतलाई दिने निर्णय भएको प्रवक्ता भुसालले जानकारी दिइन ।"
नेविससंघ महाधिवेशनः ठूलो कसरतपछि सफल,"काठमाडौंः मुलुककै सबैभन्दा पुरानो विद्यार्थीको संस्था नेपाल विद्यार्थी संघले नौ वर्षपछि नयाँ नेतृत्व पाएको छ । संघमा बिहीबार निर्वाचित एक सय २९ सदस्यीय केन्द्रीय समितिले विद्यार्थीमा नयाँ आशा र भरोसा ल्याएको छ । यसअघि संघको अधिवेशनका लागि मिति तोकेर पनि दर्जनपटक स्थगित भएका थिए । कांग्रेसकै सबैभन्दा ठूलो भ्रातृ संस्थाको निर्वाचन हुन नसक्दा कांग्रेसको आन्तरिक लोकतन्त्रमाथि टीकाटिप्पणी भएका थिए । लामो समयपछि संघको अधिवेशन कसरी सम्भव भयो त ? पार्टीद्वारा गठित महाधिवेशन निर्देशक समितिका संयोजक नेता प्रकाशशरण महत पार्टी सभापतिको कुनै पनि हालतमा अधिवेशन गराउने चाहना र निर्देशन समितिका सबैको अधिवेशनप्रतिको लगावले सम्भव भएको बताउँछन् । अधिवेशनमा कसले जित्छ र कसले हार्छ भन्ने अनुमान वा अग्राहपूर्वाग्रह वास्ता नगरी अधिवेशनबाट नयाँ नेतृत्व चयन गर्ने पार्टी सभापतिको मनोइच्छाले अधिवेशन सम्भव भएको हो, महतले अन्नपूर्णसँग भने, सभापतिको इच्छालाई निर्देशक समितिले ठूलो परि श्रम गरेर पूरा गरेका हौं । यसअघि संघको अधिवेशन नहुनुमा नेतृत्व कसको पोल्टामा जान्छ भन्ने तत्कालीन पार्टी नेतृत्वको पूर्वाग्रहपूर्ण सोच मुख्य कारण भएकाले सम्भव नभएको त्यतिबेलै टिप्पणी भएको थियो । त्यसको राम्रो जानकार रहेका सभापति शेरबहादुर देउवाले चैतमा सभापति निर्वाचित भएलगत्तै पहिलो बैठकबाट भ्रातृ संस्थाको अधिवेशन ६ महिनाभित्र सम्पन्न गर्ने निर्णय गरेका थिए । देउवाको निर्णयअनुसार ६ महिना पुग्न नपाउँदै नेविसंघको अधिवेशन सम्पन्न भएको छ भने अन्य दुई भ्रातृ संस्था तरुण दल र महिला संघको अधिवेशन भदौ तेस्रो साताका लागि तोकिएको छ । संघको अधिवेशन यसअघिजस्तै मिति तोकेर स्थगित नगर्न देउवाले आफ्ना निकट सहयोगी र जिम्मेवारी तथा इमानदारीका साथ पूरा गर्ने क्षमता र इच्छाशक्ति बोकेका महतलाई त्यसको जिम्मेवारी तोके । नेपाल विद्यार्थी संघको विधानमै दुईदुई वर्षमा अधिवेशन गर्नैपर्ने बाध्यात्मक व्यवस्था गरिएको छ भने नयाँ संविधानअनुसार पूर्ण समावेशी र प्रादेशिक संरचनामा संगठन रूपान्तरित भएको छ । संघको नयाँ केन्द्रीय समितिमा समग्र नेपालको अनुहार पाइन्छ । जुन जिम्मेवारी महतले सफलतापूर्वक सम्पन्न गरेर देउवाको पहिलो खुड्किलो सफल बनाए । म पनि नेविसंघ राजनीतिबाट आएकाले पनि संघको अधिवेशन कसले जित्छ र कसले हार्छ भन्ने वा नतिजालाई प्राथमिकतामा नराखी नेतृत्व चुनावबाटै ल्याउने अभियानमा लागें, महतले भने, कतिपय अवस्था यति कठिन थिए कि अधिवेशन प्रक्रिया अघि बढाउन धेरै मुस्किल थियो तर दिनरात खटेर मैले त्यो कठिनाइ पार लगाएँ । सुम्पिएको जिम्मेवारी पूरा गरें । देउवाले गत असार १० गते महतको संयोजकत्वमा गोविन्द भट्टराई, गुरु घिमिरे, प्रदीप पौडेल र किशोरसिंह राठोर रहेको निर्देशन समिति गठन गरेका थिए । गठन भएको भोलिपल्टदेखि समिति जिल्ला अधिवेशन हुन नसकेका ११ जिल्ला र केही क्याम्पसको विवाद मिलाउन सक्रिय भयो । केही नेताहरूले विवाद मिलाउनभन्दा विवाद बढाउन पनि नखोजेका होइनन्, महतले भने, तर मैले मेरै घरमा लगातार १९ दिनसम्म दिनरात निर्देशक समितिको बैठक राखेर सहमतिका सबै सम्भावना खुला गरें । समितिका अन्य साथीहरू पनि त्यसमा लचक हुनुभयो र प्रतिनिधि विवाद समाधान गरेर अधिवेशन सम्भव भयो । निर्देशक समितिले अधिवेशन सफल गरेर अहिले कांग्रेस वृत्तमा जुन प्रशंसा बटुलेको छ उसले अझै दीर्घकालीन महत्वका रूपमा विधान संशोधन गरेर संघलाई समय अनुकूल र चुस्तसमेत बनाएको छ । निर्देशक समितिले ३२ वर्षको उमेर हद तोकेको छ । नेविसंघमा ३२ वर्ष उमेर हद तोक्ने र पूर्ण समावेशी बनाउने विधान हामीले बनायौं त्यो संघका लागि दीर्घकालीन महत्वको विषय हो, महतले भने, अब विधानमै दुईदुई वर्षमा अधिवेशन गर्नैपर्ने बाध्यात्मक व्यवस्था गरिएको छ भने नयाँ संविधानअनुसार पूर्ण समावेशी र प्रादेशिक संरचनामा संगठन रूपान्तरित भएको छ । अहिले केन्द्रीय समितिमा समग्र नेपालको अनुहार पाइन्छ । महतले निर्वाचनमार्फत नेतृत्वलगायतको पदाधिकारी चयन हुँदा विद्यार्थीहरू झनै खुसी भएको आफूले पाएको बताए । रातभर मतदान गरेकोमा कोही पनि दुःखी छैनन्, उनले भने, मतदान भयो यो नै संघको जित हो भन्ने प्रतिनिधिहरूको भनाइ थियो ।"
"कसैले पद जित्छ, मैले राजनीति जितेको छु","काठमाडौंः नेपाल विद्यार्थी संघको अध्यक्षमा नैनसिंह महरसँग पराजित भएका बरिष्ठ नेता रामचन्द्र पौडेल पक्षीय अध्यक्षका प्रत्याशी मनोजमणि आचार्यले नवनिर्वाचित कार्यसमितिको सम्मानमा बधाइ तथा चियापान कार्यक्रम गरेका छन्। नवनिर्वाचित कार्यसमितिलाई बधाइ तथा महाधिवेशन प्रतिनिधिलाई धन्यवाद ज्ञापन गर्न अध्यक्षका प्रत्याशी मनोजमणि आचार्यद्वारा शनिवार बिहान आयोजित बधाई तथा चियापान कार्यक्रममा नवनिर्वाचित अध्यक्ष नैनसिंह महरले संगठनलाई एकढिक्का बनाएर लैजाने प्रतिबद्धता जनाएका हुन्। उनले सवै पक्षलाई मिलाएर अघि बढ्ने समेत बताए। अध्यक्ष महरले निर्वाचनमा पराजित भएका नेताहरुको साथ र सहयोग तथा सल्लाहमै आफूले संगठनलाई अगाडि बढाउने विश्वाससमेत दिलाए। उनले आफूले आफूहरु राजनीतिक मुद्दाभन्दा शैक्षिक विषयमा केन्द्रित भएर काम गर्ने पनि स्पष्ट पारे। अध्यक्षका निकटतम् प्रतिस्पर्धी मनोजमणि आचार्यले निर्वाचनमा कोही व्यक्तिले हारेपनि संगठनले जितेको बताए। उनले आफू हार्न तयार रहेको तर संगठनलाई कहिल्यै हार्न नदिने प्रतिबद्धता जनाए। अध्यक्षमा पराजित भएर राम्रो राजनीतिक संस्कार देखाएको भन्दै चर्चामा आएका आचार्यले भने,संगठनमा कसैले पद जित्छ, कसैले राजनीति। यसपटक मैले चुनाव हारे तर राजनीति जितेको छु। कार्यक्रममा नवचिर्वाचित पदाधिकारी तथा केन्द्रीय समितिका सवै निर्वाचित सदस्यहरुलाई आचार्यले सम्मान गरेका थिए।"
पुनर्निर्माणमा सघाउने भारतीय प्रधानमन्त्री मोदीको प्रतिवद्धता,"काठमाडौंः भारतीय प्रधानमन्त्री नरेन्द्र मोदीले भूकम्पपछिको पुनर्निर्माणका लागि वर्तमान सरकार भारतले सक्दो सहयोग गर्ने प्रतिबद्धता दोहोर्याएका छन्। शनिवार भारत भ्रमणमा रहेका उपप्रधान तथा गृहमन्त्री विमलेन्द्र निधिसँगको भेटमा भारतीय प्रधानमन्त्री मोदीले पुनर्निर्माणका लागि नेपाल र नेपाली जनतालाई भारतको पूर्ण साथ र सहयोग रहने प्रतिबद्धता दोहोर्याएका हुन्। सेभेन रेसकोसस्थित आफ्नै निवासमा भएको भेटमा प्रधानमन्त्री मोदीले नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड र उनी नेतृत्वको सरकारलाई बधाइ दिँदै सफल कार्यकालको शुभकामना दिएका थिए। भेटमा गृहमन्त्री निधिले नेपालमा भइरहेका विकास निर्माणका कामबारे भारतीय प्रधानमन्त्री मोदीलाई जानकारी गराएका थिए। नेपालभारत सम्बन्ध दुई सरकारबीचको मात्रै नरहेको भन्दै मोदीले देश र जनताबीच नै भारतको सम्बन्ध जोडिएको बताएका थिए। भारतीय प्रधानमन्त्री मोदीले प्रधानमन्त्री प्रचण्डलाई भारत भ्रमणको निम्तो पनि निधिसँगको भेटमा दिएका छन्। मोदीसँगको भेटमा निधिले नेपालको विकासका लागि भारतको सहयोग सधैं आवश्यक पर्ने भएकाले सहयोग बढाउन मोदीलाई आग्रह समेत गरेका थिए। हुलाकी सडक, अन्तरदेशीय रेल सेवा, पञ्चेश्वर बहुद्देश्यीय परियोजनाजस्ता संयुक्त रुपमा सञ्चालनमा रहेका परियोजनालाई द्रुत गतिमा अघि बढाउनु पर्नेमा पनि निधिले जोड दिएका थिए। भेटमा मोदीले उपप्रधान तथा गृहमन्त्री भएकोमा निधिलाई बधाइ समेत दिएका थिए।"
परिस्थिति चुनौतिपूर्ण भएपनि काम गरेर देखाउँछु,"काठमाडौंः प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले परिस्थिति चुनौतिपूर्ण रहेपनि आफूले परिणाममूखि काम गरेर देखाउने बताएका छन्। शनिवार बिहान बालुवाटारस्थित सरकारी निवासमा नेकपा माओवादी केन्द्रका नेता नारायणकाजी श्रेष्ठको नेतृत्वमा आएको गोरखा जौबारीको टोलीबाट बधाइ तथा शुभकामना ग्रहण गर्दै प्रधानमन्त्री प्रचण्डले आफ्ना लागि चुनौतिपूर्ण अवसर प्राप्त भएको बताएका हुन्। प्रधानमन्त्रीले भने,परिस्थिति निकै चुनौतिपूर्ण छ, जनताका आकांक्षाहरु धेरै छन्। मेरा लागि चुनौतिपूर्ण अवसर प्राप्त भएको छ। यसपटक केही परिणाममूखी काम गर्नेछु। प्रचण्डले गोरखा जिल्ला ऐतिहासिक र परिवर्तनको आन्दोलनका दृष्टिले पनि निकै महत्वपूर्ण भएको बताएको प्रधानमन्त्रीको निजी सचिवालयले जनाएको छ।"
रोज राणामाथि खुकुरी प्रहार गर्नेलाई कारबाही गर्न कांग्रेसको माग,"काठमाडौंः नेपाली कांग्रेसले प्यूठान क्षेत्र नम्बर २ का सभापति सरोज थापा (रोज राणा) माथि आक्रमण गर्नेलाई कारबाही गर्न माग गरेको छ। कांग्रेस मूख्य सचिव कृष्णप्रसाद पौडेलले शनिवार विज्ञप्ति जारी गरी फिल्म निर्मातासमेत रहेका राणामाथि खुकुरी प्रहार गर्नेमाथि कारबाही गर्न माग गरेका हुन्। राणामाथि गत सोमबार साँझ काठमाडौंको वानेश्वरस्थित सेन्ट्रल क्याफे अगाडि अज्ञात समूहले खुकुरी प्रहार गरेका थिए। घाइते राणाको अहिले काठमाडौँको ग्राण्डी अस्पतालमा उपचार भइरहेको छ। खुकरी प्रहार गर्ने उक्त समूहको यथाशीघ्र खोजी गरी कडा भन्दा कडा कारबाहीका लागि कांग्रेस माग गर्दछ,विज्ञप्तिमा भनिएको छ। कांग्रेसले क्षेत्रीय सभापति राणाको शीघ्र स्वास्थ्य लाभको कामना समेत गरेको छ।"
