शीर्षक,विवरण
मधेसका मागलाई सम्बोधन गर्न संशोधन प्रस्ताव: नेता सिंह,"काठमाडौँ: नेपाली काँग्रेसका नेता प्रकाशमान सिंहले मधेसका जायज मागलाई सम्बोधन गर्न संशोधन प्रस्ताव आएको बताएका छन्। नेपाली काँग्रेस नागार्जुन नगर समितिले शनिबार आयोजना गरेको 'क्रियाशील सदस्य प्रशिक्षण कार्यक्रम'मा नेता सिंहले मधेसी दलका जायज मागलाई सम्बोधन गर्न संविधान संशोधन प्रस्ताव आएकाले सबै दल मिल्नुको विकल्प नरहेको बताए। उनले संविधान संशोधन गरेर तीन तहको निर्वाचन नगरे अहिलेसम्म भएका उपलब्धि गुम्ने हुँदा चाँडो निर्वाचनको मिति तोकेर अगाडि बढ्नुपर्नेमा जोड दिए। उनले भने, काँग्रेस, एमाले र (माओवादी केन्द्र)को सहमतिमा संविधान निर्माण भएको हो यिनै दलको सहमतिमा संशोधन गरेर अगाडि बढौँ। नेता सिंहले काँग्रेसको नेतृत्वमा बनेको संविधान कार्यान्वयनको मुख्य जिम्मेवार काँग्रेसकै काँधमा आएको भन्दै राष्ट्र जोगाउनका लागि नेपाली काँग्रेस जस्तोसुकै भूमिका खेल्न तयार रहेको स्पष्ट पारे। सांसद राज्यलक्ष्मी श्रेष्ठले मुलुकलाई जोगाउनका लागि सबै दलको उत्तिकै जिम्मेबारी रहेकाले वार्ता र छलफलबाट समस्या समाधान गर्नुपर्ने बताए। नेपाल तरुण दलका अध्यक्ष जितजङ्ग बस्नेतले संविधान संशोधनमार्फत तीन तहको निर्वाचन गरेर मुलुकलाई आर्थिक विकासको बाटोमा अगाडि लैजानुपर्ने बताए। समितिका अध्यक्ष केदार मानन्धरले सबै सदस्यलाई पार्टीको नीति तथा कार्यक्रमको बारेमा जानकारी दिन प्रशिक्षण कार्यक्रमको आयोजना गरिएको बताए। रासस"
भर्नाबिनै स्ववियु निर्वाचन तालिका,"काठमाडौंः त्रिभुवन विश्वविद्यालयले स्वतन्त्र विद्यार्थी युनियन(स्ववियु) को निर्वाचन कार्यतालिका सार्वजनिक गरेको छ । फागुन १४ गते निर्वाचन गर्ने कार्यतालिका सार्वजनिक गरेपनि केन्द्रीय क्याम्पसमा नयाँ विद्यार्थी भर्ना नखोलेकोमा विद्यार्थी संगठनहरुले भने आपत्ति जनाएका छन् । सेमेष्टर प्रणालीको बार्षिक क्यालेण्डर अनुसार नियमित खोल्नुपर्ने भर्ना समेत नखोली बिद्यार्थीले चुन्न र चुनिन पाउने अधिकारबाट बन्चित गराएको भन्दै केन्द्रीय क्याम्पसका अनेरास्ववियु नेता माधव पन्तले आपत्ति जनाए । २०२० सालमा पहिलो पटक कीर्तिपुरमै स्वबियुको स्थापना भएपनि विद्यार्थी भर्ना बिनै चुनाब गर्न खोज्नु उचित नभएको उनको भनाई थियो । कसकोबीचमा टियुले चुनाव गराउन खोज्दैछ, हजारौ बिद्यार्थीको चासोको बिषय बनेको छ' पन्तले भने । विद्यार्थीको चुनाव विद्यार्थीका लागि हुनुपर्ने भएपनि टियुले विद्यार्थी आन्दोलन कमजोर पार्ने हेतुले विद्यार्थी बिनै निर्वाचन गर्न लागेको आरोप लगाए । त्रिभुवन विश्वविद्यालयका विद्यार्थी कल्याण तथा खेलकुद निर्देशनायलका कार्यकारी निर्देशक गङ्गाबहादुर थापाले नयाँ भर्नाबारे आफूलाई थाहा नभएको बताए । नयाँ भर्नाबारे आफू जानकारी नभएपनि कार्यतालिका अनुसार चुनाव हुने उनले विश्वास व्यक्त गरे । कार्यतालिका सार्वजनिक हुनु नै चुनावको तयारी नै हो, केन्द्रीय क्याम्पसमा अहिले पनि दुई ब्याचका विद्यार्थी छन्' उनले भने । निर्वाचन कार्यतालिका अनुसार फागुन १ गते मतदाताको नाम प्रकाशित गर्ने, फागुन ४ गते उम्मेदवारलाई मनोनयन पत्र वितरण गर्ने, ५ गते बिहान ११ बजेदेखि ३ बजेसम्म प्रत्यक्ष र समानुपातिकका उम्मेदवारको नामावली दाखिला गर्ने, ५ गते ५ बजे प्रत्यक्ष तर्फको उम्मेदवारको नामावली प्रकाशित गर्ने, ६ गते उम्मेदवारको नामावली उपर दाबी विरोध गर्ने रहेको छ । ८ बर्षपछि स्ववियु निर्वाचन गर्न लागेको त्रिविले पहिलोपटक उम्मेदवारको हदबन्दी २८ वर्ष तोकेको छ । यसैबीच यसअघि नै त्रिविले फागुन ५ गते त्रिवि कर्मचारी युनियनकोसमेत निर्वाचन गर्ने कार्यतालिका सार्वजनिक गरेकाे छ ।"
मुटु रोगीको भल्व शल्यक्रिया निःशुल्क गर्ने गगन थापाको घोषणा,"काठमाडौं : स्वास्थ्य मन्त्रालयले आगामी फागुन १ गतेदेखि बाथ मुटुरोगीको भल्व शल्यक्रिया पूर्ण निःशुल्क गर्ने भएको छ । स्वाथ्यमन्त्री गगनकुमार थापाले शनिबार शहीद गंगालाल हृदय केन्द्रको २१ औं बार्षिकोत्सवका अवसरमा आयोजित कार्यक्रममा फागुन १ गतेदेखि बाथ मुटुरोगीको भल्व शल्यक्रिया पूर्ण निःशुल्क गर्ने घोषणा गरेका हुन्। उनले यो सेवा निःशुल्क गर्नका लागि आवश्यक संपूर्ण प्रक्रिया पुरा भईसकेकाले सहजै कार्यान्वयन हुने पनि जानकारी दिए। उनको घोषणापछि बाथ मुटुरोगीको भल्व शल्यक्रिया सेवा दिदै आएका सबै सरकारी अस्पतालमा जुनसुकै नेपालीले निःशुल्क रुपमा यो सेवा पाउने भएका हुन्। मन्त्री थापाले यसअघि अन्य विभिन्न रोगका विरामीलाई पनि यस्तै प्रकारको राहत तथा सहुलीयतको व्यवस्था गरेका थिए। कार्यक्रममा उनले काम गर्ने उमेरका धेरै युवाहरुमा बाथ मुटुरोग लागेर भल्व शल्यक्रिया गर्नु पर्ने भएकाले यस व्यवस्थाले ठूलो जनशक्तिलाई रहत पुग्ने उनले विश्वास व्यक्त गरेका छन्। मन्त्री थापाले यस बर्ष भित्रमा शहीद गंगालाल राष्ट्रिय हृदय केन्द्रको सेवा काठमाडौँ उपत्यका बाहिरका कम्तीमा पनि दुई ठाउँमा विस्तार गरिने बताए । सेवा विस्तारका लागि एउटा टोलीले गृहकार्य तिव्र पारेको जानकारी दिदैँ उनले सहयोगका लागि चिकित्सक तथा स्वास्थ्यकर्मीलाई आह्वान पनि गरे। कार्यक्रममा स्वास्थ्य राज्यमन्त्री तारामान गुरुङ, सांसद तथा अस्पताल संचालक समितिका सदस्य नरहरि आचार्यलगायतले अस्पतालको प्रशंसा गर्दै सेवा प्रवाहलाई अझै प्रभावकारी बनाउन आग्रह गरे। स्वास्थ्य मन्त्री थापाले अस्पताल परिसरमा बनाउन लागिएको बहिरंग तथा आकस्मिक सेवा भवनको शिलान्यास समेत गरेका छन् ।"
ओलीबारे लेखकले भनेः सपना देखाए देश ब्युँताए'(भिडियाेसहित),"काठमाडौंः एमाले अध्यक्ष केपी शर्मा ओलीले बोल्ने कार्यक्रममा धेरै श्रोता उत्सुक र जिज्ञासु हुन्छन् । उनीहरू ओलीबाट केही न केही रोचक टिप्पणीको अपेक्षा गरेर बसिरहेका हुन्छन् । शुक्रबार तिनै ओली प्रमुख अतिथि थिए । उनको पछाडि उनकै बडेमानको फोटो राखिएको थियो, जसमा लेखिएको थियो, म प्रधानमन्त्री छँदा ।' उनले प्रधानमन्त्री रहँदा औपचारिक रूपमा सार्वजनिक गरेका भनाइ र अन्तर्वार्ता समेटेर प्रेस चौतारी नेपालले तयार गरेको पुस्तक लोकार्पण कार्यक्रम थियो त्यो । पोखरामा हालै सम्पन्न जनवर्गीय संगठन भेलाको निर्णयबमोजिम यस कार्यक्रममा पनि कुनै माला, खादा र ब्याच थिएन । वक्ता र प्रमुख अतिथि, कार्यक्रमका सभापतिबाहेक सबै दर्शकदीर्घामा थिए । एमाले महासचिव ईश्वर पोखरेललगायत पदाधिकारी र शीर्ष नेता कार्यक्रममा सहभागी थिए । ओली प्रमुख अतिथि भएको कार्यक्रममा प्रायः भाषणको बजार उनकै पक्षमा हुन्थ्यो । तर हिजो भने उनको बजार अरूले कब्जा गरिदिए । उनलाई कुनै राजनीतिज्ञले होइन, लेखक तथा पत्रकारले विस्थापित' गरेका थिए । त्यो पनि उनकै बारेमा विश्लेषण गरेर । केपी ओली त ठेट पूर्वेली भाषामा बोल्नुहुन्छ । त्यसको छाप बेग्लै छ । उहाँको यो बोल्ने शैली नेपाली गृहिणीलाई खुब मन पर्छ । त्यसमाथि उहाँजस्तो प्रभावशाली वक्ताले बोलेका कुरामा टिप्पणी गर्नु अति नै गाह्रो कुरा हो', लेखक श्रीकृष्ण अनिरुद्ध गौतमले आफ्नो भनाइ सुरु गरे । उनले ओली प्रधानमन्त्री बन्दा आफू सकारात्मक नभए पनि समयक्रमले त्यो सोचाइ गलत सावित गरिदिएको उनले बताए । एउटा मान्छे ऊ नै हो, जसले देशमा विकास हाम्रै पालामा सम्भव छ भन्यो । प्रधानमन्त्रीका रूपमा देशवासीलाई अब केही हुन्छ भनेर सपना देखायो ।' अनिरुद्ध गौतम चीनसँग यातायात तथा पारवहन सन्धि भएपछि ओलीको व्यक्तित्वले शिखर छोएको र त्यहीँबाट उनलाई प्रधानमन्त्रीबाट हटाउने षड्यन्त्र भएको उनले दाबी गरे । एउटा मान्छे ऊ नै हो, जसले देशमा विकास हाम्रै पालामा सम्भव छ भन्यो । प्रधानमन्त्रीका रूपमा देशवासीलाई अब केही हुन्छ भनेर सपना देखायो । तर हामीमध्ये त्यस्ता नेपाली पनि रहेछौं सामाजिक सञ्जालमा कागजका नौका बनाएर त्यसलाई उडाइयो । अझ बालुवाटार अगाडि कागजका नौका प्रदर्शन गरेर गरिएको विरोध त्यही बेला हेर्न पाइयो', उनले भने । अर्का लेखक कृष्णमुरारी भण्डारीले ओलीलाई म्याक्सिम गोर्कीकी हजुरआमासँग तुलना गरे । देश अब सिद्धियो, गयो, कोमामै पुग्यो भनेर हरेक नेपालीले छाती पिटिरहेका बेला केपी ओलीले ब्युँताए । मलाई त दक्षिण एसियामै उनको उचाइको नेता छैन जस्तो लाग्छ । मैले त लेखेँ पनि, नेपालमा पृथ्वीनारायण शाह, बीपी कोइराला र केपी ओलीलाई नै मान्नुपर्छ', उनको टिप्पणी थियो । पत्रकार विजय पाण्डेले आफूले कसैलाई पनि माननीय भनेर सम्बोधन नगरेको भन्दै अब ओलीलाई त्यो सम्बोधन गर्ने बताए । मैले जिन्दगीमा कसैलाई पनि माननीय भनेर सम्बोधन गरेको छैन तर जिन्दगीभर ओलीजीलाई माननीय भन्नेछु । पदमा रहँदा होस् या नरहँदा । ओलीजी प्रधानमन्त्री हुँदा बालुवाटारमा भेटेर माननीय भनेको होइन', पत्रकार विजय पाण्डेले टिप्पणी गरे । मानवअधिकारकर्मी चरण प्रसाईंले ओली लाइट र हाइट दुवै भएको नेता भनेर टिप्पणी गरे । कार्यक्रममा अन्तिम वक्ता रहेका ओलीले भने सबै वक्तालाई धन्यवाद र आभार दिए । उनी आफूले भने भाषणमा धेरै समय खर्च गरेनन् । भिडियाे हेर्नुहाेस्"
म आगोको ज्वालाबीच उभिएको छुः प्रधानमन्त्री,"काठमाडौः प्रधानमन्त्री पुष्पकमल दाहालले आफू आगोको ज्वालाबीचमा उभिएको भन्दै आगामी माघ ७ गतेसम्म निर्वाचन नभए संविधान र परिवर्तनको औचित्यमाथि प्रश्न उठ्ने बताएका छन् । शुक्रबारदेखि सुरु सरकारी वकिल र नेपाल प्रहरीको संयुक्त राष्ट्रिय सम्मेलनलाई सम्बोधन गर्दै दाहालले सबैलाई मिलाएर वैशाखजेठभित्रै स्थानीय निर्वाचन गर्ने तयारी भइरहेको दाबी गरे । आगामी माघ ७ सम्म निर्वाचन हुन नसके परिवर्तन र संविधानको औचित्यमा प्रश्न उठ्ने खतरा छ', दाहालले भने, देशलाई निर्वाचनतर्फ लैजान निरन्तर प्रयास र प्रगति पनि भएको छ । केही दिनभित्रै निर्वाचन कानुन बन्छन्, त्यसपछि मिति तोक्ने काममा सरकार लागेको छ । वैशाखजेठभित्रै स्थानीय निर्वाचन गर्ने तयारी भइरहेको छ ।' आफू खुकुरीको धारमा हिँडिरहेको दाबी गर्दै उनले थपे, म आगोको ज्वाला बीचमा उभिएको छु । ठूलो जोखिम पार गरेर आएकाले यो चुनौती र जोखिमलाई कम देखेको छु ।' एक प्रसंगमा दाहालले अपराधको अनुसन्धान र अभियोजनमा चुनौती थपिएकाले त्यसअनुरूप प्रहरी र सरकारी वकिलको क्षमता विकास आवश्यक रहेको बताए । सर्वोच्च अदालतका वरिष्ठ न्यायाधीश गोपाल पराजुलीले अधुरो अनुसन्धानका कारण न्याय पनि अधुरो हुने भएकाले यस विषयमा संवेदनशील बन्न प्रहरी र सरकारी वकिललाई सुझाव दिए । झूठा प्रमाणको आधारमा कोही नफसुन् । बरु नौजना अपराधी छुटुन्, एकजना निर्दोष नपरुन् भन्ने मान्यता छ', उनले भने, पुराना नमिलेका कानुन होलान्, समयसापेक्ष परिमार्जन र संशोधन गरेर व्यावहारिक बनाउनुपर्छ ।' अदालत, अभियोजन र अनुसन्धानकर्ताबीच समन्वय भए न्यायमा सहजता आउने धारणा उनले राखे । कानुन तथा न्यायमन्त्री अजयशंकर नायकले अपराधको सही अनुसन्धान र अभियोजन नभए पीडितको न्यायमा गम्भीर असर पर्ने भएकाले प्रहरी र सरकारी वकिलबीच समन्वय आवश्यक भएको बताए । कार्यक्रममा महान्यायाधिवक्ता रमनकुमार श्रेष्ठले मुलुकमा शान्ति, स्थिरता र विधिको शासन कायम गर्न सम्मेलन ऐतिहासिक हुने बताए । अपराधीको भौतिक रूपमा उपस्थिति नभए पनि प्रविधिको विकासका कारण संगठित अपराध हुने गरेकाले अनुसन्धान र अभियोजनमा प्रहरी र सरकारी वकिललाई चुनौती थपिएको बताए । दुवै निकायलाई राज्यले अनुत्पादक क्षेत्रका रूपमा हेर्न मिल्दैन । अपराध नियन्त्रण भए मात्र सुशासन र दिगो विकास सम्भव छ', उनले भने । नेपाल बारका अध्यक्ष शेरबहादुर केसीले अर्धन्यायिक निकायले चलाउने सबै खालका मुद्दामा अभियोजनको अधिकार महान्यायाधिवक्तालाई दिइनुपर्ने बताए । एउटा वन अधिकृतले १५ वर्षसम्म जेल सजाय तोक्न सक्ने अधिकार छ । गलत निर्णय भए व्यक्तिको स्वतन्त्रतामा गम्भीर आघात पुग्छ', उनले भने । उनले कसैलाई झूठा मुद्दा चलाएर निर्दोष फसे फौजदारी न्याय समाप्त हुने बताए । प्रभावकारी अनुसन्धान र अभियोजन, सुदृढ फौजदारी न्याय प्रशासन' नाराका साथ हुन गइरहेको प्रहरी र सरकारी वकिलको संयुक्त प्रथम राष्ट्रिय सम्मेलनमा नौवटा फरक विषयका कार्यपत्रमा छलफल हुने र आइतबार समापन हुने जनाइएको छ । रत्नाकर अब वाल्मीकि बन्न सक्दैनन्ः अर्याल सम्मेलनमा मन्तव्य दिनेक्रममा नेपाल प्रहरीका महानिरीक्षक उपेन्द्रकान्त अर्यालले अपराधको राजनीतीकरण हुन थालेको बताएका छन् । अपराधको राजनीतीकरण गरेको चर्चा छ । यस्तो महसुस भएको छ । डनहरू तामझामसाथ पार्टी प्रवेश गरिरहेका छन्', प्रधानमन्त्रीसहित विशिष्ट व्यक्ति उपस्थित कार्यक्रममा महानिरीक्षक अर्यालले कटाक्ष गर्दै भने, तर रत्नाकर डाँकु वाल्मीकि हुने कुरा कलियुगमा सम्भव नहोला ।' उनले राजानीतिक दबाबमा कसैलाई फसाउने उद्देश्यले जाहेरी दर्ता गरिदिनुपर्ने अवस्था रहेको भन्दै दुःख व्यक्त गरे । प्रहरी र सरकारी वकिलको समन्वयमा मात्र फौजदारी न्याय प्रणाली सफल हुने भनाइ उनको थियो । व्यावसायिक प्रहरी र सरकारी वकिलको वृत्ति विकासको विषयमा गम्भीर रूपले ध्यान दिनुपर्ने भनाइ पनि अर्यालको थियो ।"
खेलकुद क्षेत्रको विकास हुन आवश्यक: अध्यक्ष ओली,"बिर्तामोड: नेकपा (एमाले)का अध्यक्ष तथा पूर्व प्रधानमन्त्री केपी शर्मा ओलीले मुलुकको विकासका लागि खेलकुद क्षेत्रको विकास हुन आवश्यक रहेको बताएका छन्। झापाको बिर्तामोडस्थित डोमालाल रङ्गशालामा शनिबारदेखि सुरु भएको झापा गोल्डकप प्रतियोगिताको उद्घाटन गर्दै उनले सो कुरा बताएका हुन्। ओलीले खेल क्षेत्रको विकासका लागि सबै क्षेत्रको भूमिका उत्तिकै हुनुपर्नेमा जोड दिए। ढिलोगरी कार्यक्रमस्थल आइपुगेका उनले करिब तीन मिनेटमात्र सम्बोधन गरेका थिए। उनले खेलमा स्वस्थ प्रतिस्पर्धा हुनुपर्ने विचार व्यक्त गरे। मोफसलकै सर्वाधिक पुरस्कार राशिको प्रतियोगिताअन्तर्गत आज आयोजक झापा११ र भारतको शेर क्लब, कालिम्पोङबीच खेल भएको थियो। माघ २४ गतेसम्म सञ्चालन हुने प्रतियोगिताको विजेता ७ लाख र उपविजेताले ३ लाख ५० हजार पुरस्कार पाउनेछन्। प्रतियोगितामा विदेशी एकसहित १० वटा टिमको सहभागिता रहेको आयोजक झापा गोल्डकपका अध्यक्ष महेन्द्र गिरीले जानकारी दिए। रासस"
निर्वाचनलाई साँझा सर्तका रुपमा ग्रहण गर्नुपर्छः देउवा,"नेपालगन्जः नेपाली काँग्रेसका सभापति शेरबहादुर देउवाले सबै दलको सहमतिमा स्थानीय निकायको निर्वाचन हुने बताएका छन् । नेपाल प्रेस युनियन, बाँकेद्वारा शनिबार बाँकेमा आयोजित पत्रकार सम्मेलनमा उनले भने संविधान कार्यान्वयनका लागि सबै राजनीतिक दलले निर्वाचनलाई साँझा सर्तका रुपमा ग्रहण गर्नुपर्छ ।' सरकारले निर्वाचनको सबै आधार छिटो तय गर्नुपर्नेमा जोड दिँदै उनले दलहरुबीच सहमति बन्यो भने छोटो समयभित्र पनि निर्वाचन हुने बताए । एक अर्को प्रश्नको जवाफमा सभापति देउवाले संविधान संशोधन प्रस्ताव निर्वाचन अघि पनि पारित हुनसक्ने तर, त्यसो भएन भने प्रक्रियामा राखेर निर्वाचन जसरी पनि गराउने बताए । उनले पार्टी अहिले एक ढिक्का भएर सङ्गठन विस्तारमा लागिरहेको बताए । स्थानीय निकायको निर्वाचनमा आफ्नो दलले विजय प्राप्त गर्ने विश्वास व्यक्त गर्दै उहाँले यसका लागि पार्टीपङ्क्ति अहिले सङ्गठन विस्तारका लागि सक्रिय रहेको बताए । रासस"
एयर मार्सलको विषय पत्रिका पढेर थाहा पाएँ : निधि,दमौलीः उपप्रधान तथा गृहमन्त्री बिमलेन्द्र निधिले भारतीय एयर मार्सललाई त्रिभुवन विमानस्थलमा राख्न दिने विषय आफूले पत्रिका पढेर थाहा पाएको टिप्पणी गरेका छन् । नेपाल प्रेस युनियन तनहुँले गरेको पत्रकार सम्मेलनमा उनले बाहिर आएजस्तो एयर मार्सल नभै विमानको आन्तरिक सुरक्षाकर्मी आइकाओको प्रावधानअनुसार राख्ने सहमति सबैजसो देशमा हुने गरेको दाबी गरे । उनले विमानस्थबाट सुनको तस्करी भएको विषयमा अनुसन्धान भइरहेको र दोषी जोकोही भए पनि कारबाही हुने बताए । प्रहरीको सुरक्षा बलियो भएकै कारण तस्करी भएको सुन बरामद भएको उनको दाबी छ।
निर्वाचनसम्बन्धी सबै विधयेक सोमबार पारित हुन्छः सभामुख घर्ती,"विराटनगरः सभामुख ओनसरी घर्तीले निर्वाचनसँग सम्बन्धित सबै विधेयकहरु व्यवस्थापिकासंसद्बाट आगामी सोमबार पारित हुने बताएकी छिन् । नेपाल मगर विद्यार्थी सङ्घ मोरङको लेटाङमा आयोजना हुने नवौँ राष्ट्रिय महाधिवेशनमा भाग लिन जाने क्रममा विराटनगर विमानस्थलमा सभामुख घर्तीले पत्रकारहरुसँग कुराकानी गर्दै संविधान कार्यान्वयनका सन्दर्भमा हुने निर्वाचनको विषयमा दलहरुबीच कुनै मतभिन्नता नरहेको बताइन् । उनले भनिन् , संविधानमा आफ्नो समुदायको हक अधिकार स्थापित गर्ने विषयबाहेक निर्वाचनको सम्बन्धमा संयुक्त लोकतान्त्रिक मधेसी मोर्चाको मत भिन्नता रहेको आफूले पाएको छैन ।' सबै राजनीतिक दलको सर्वसम्मतिमा निर्वाचनसम्बन्धी विधेयक फटाफट पास हुनुले पनि यो कुरालाई पुष्टि गर्दछ भन्दै सभामुख घर्तीले राष्ट्र र जनताको हितका लागि आआफ्नो अडानमा लचिलो हुने काम सबै राजनीतिक दलबाट हुनुपर्दछ भनिन् । विमानस्थलमा सभामुख घर्तीलाई अन्तर पार्टी महिला सञ्जालका तर्फबाट स्थानीय तहमा प्रमुख वा उपप्रमुख पदमा महिला आरक्षणको व्यवस्थाको सुनिश्चितताका लागि ध्यानाकर्षण गराउन ज्ञापनपत्र बुझाइएको थियो । रासस"
टुँडिखेलमा प्रधानमन्त्री प्रचण्डले गरे कुलमानको प्रशंसा,"काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले तामाङ समुदायले नयाँ वर्षका रुपमा मनाउने सोनाम ल्होछार पर्वको अवसरमा नेपाल विद्युत प्राधिकरणका कार्यकारी प्रमुख कुलमान घिसिङको प्रशंसा गरेका छन् । सरकारको सफलताका लागि कुलमानले गरेको कामको प्रशंसा गर्दै प्रचण्डले भने, म प्रधानमन्त्री बन्ने बित्तिकै उहाँ (कुलमान) लाई विद्युत प्राधिकरणको प्रमुख बनाएकोमा गर्व अनुभूति गरेको छु, उहाँले सरकारको इच्छा अनुसार देशमा लोडसेडिङको अन्त्य गर्ने अभियानलाई सफल बनाउनु भएको छ । प्रचण्डले आफू प्रधानमन्त्री हुनु अगाडिबाटै कुलमानलाई जिम्मेवारी दिने विषयमा सोचिरहेको समेत खुलासा गरे । म दोस्रो पटक प्रधामन्त्री भएको समयमा देशलाई लोडसेडिङ मुक्त बनाउन सरकार सफल भएको छ, यसका लागि इमान्दारिताका साथ काम गर्ने कुलमानलाई मैले दुई वर्ष अघिदेखि नै हेर्दै आएको थिएँ । प्रधानमन्त्री प्रचण्डले देश बहुजाति, बहुसांस्कृति र विविधताले भरिएको भन्ने कुरा सबैलाई थाहा भएको बताउर्दै संघीय गणतान्त्रिक नेपालमा सबैले अधिकार पाउने विश्वास व्यक्त गरे। पछिल्लो चरणमा पुरानो राज्यद्वारा उत्पीडनमा पारिएका जाति, समुदाय, वर्ग, लिंग सबैको पहिचान स्थपित गरेर संघीय गणतान्त्रिक नेपालमा आइपुगेका छौँ, प्रचण्डले भने, तर, पनि अपेक्षा गरे अनुसारको अधिकार सबैले पाएका छैनन्, संविधान संशोधनका क्रममा तामाङ जातिको अधिकार राज्यका सबै तहमा स्थापित गर्ने विश्वास दिलाउन चाहन्छु । प्रधानमन्त्री प्रचण्डले तामाङ संस्कृति झल्कने तामाङ भवनका लागि सरकारले मन्त्रिपरिषदबाटै निर्णय गरेर आवश्यक रकम निकासा गर्ने आश्वासन समेत दिएका छन् । तपाईंहरुले अपेक्षा गरेभन्दा राम्रो सहयोग सरकारले गर्ने कुरा घोषणा गर्दछु, प्रधानमन्त्री प्रचण्डले भने, त्यो भवन तामाङ संस्कृति झल्कने गरी निर्माण हुनेछ ।"
