शीर्षक,विवरण
तोडफोडको आरोपमा नेविसंघका नेता विश्वविद्यालयबाट निष्कासित,"सुर्खेत: तोडफोडमा संलग्न रहेको भन्दै नेविसंघका केन्द्रिय सदस्य अनिलबहादुर शाहीलाई विश्वविद्यालयबाट निष्कासन गरिएको छ । मध्यपश्चिम विश्वविद्यालयका विद्यार्थीसमेत रहेका शाहीले रजिष्टारको गाडीमा तोडफोड गर्ने कामको नेतृत्व गरेको भन्दै विश्वविद्यालयका पदाधिकारीहरुको बैठकले निष्कासन गर्ने निर्णय गरेको हो। विश्वविद्यालयमा आन्दोलनरत विद्यार्थीहरुले विस्तारित कार्यालयमा रोकिराखेको रजिस्ट्रार डा महेन्द्रकुमार मल्लले चढ्दै आएको गाडीमा शुक्रवार दिउँसो तोडफोड गरेका थिए। ढुंगा प्रहारबाट उक्त गाडीमा क्षति पुगेको छ। रजिष्ट्रार चढ्ने बा १७ च ४२५५ नम्बरको गाडी तोडफोड भएपछि विश्वविद्यालयले नेता शाहीलाई निष्कासन गरेको हो। गत जेठ २७ गतेदेखि विभिन्न माग राख्दै विद्यार्थी संगठनहरुले आन्दोलन गर्दै आएका छन् । सोहीक्रममा आज रजिष्टारको गाडीमा तोडफोड भएको थियो। गाडीमा रजिष्टार नभएको बेलामा तोडफोड गरिएको भन्दै विश्वविद्यालयले रजिष्टारको ज्यान लिनेसम्मको प्रकृतिको घटना भन्दै भर्त्सना गरेको छ। यस्तै विद्यार्थी नेता शाही अपराधिक कार्यमा संलग्न रहेकाले उनलाई विश्वविद्यालयबाट निष्कासन गर्ने निर्णय गरिएको र कानुनी कारबाहीका लागि सम्वन्धीत पक्षलाई आग्रह गरिएको विश्वविद्यालयले जनाएको छ। यता, विद्यार्थी नेता शाहीले भने जस्तोसुकै कारबाही गरिए पनि जायज माग उठाउन नछोड्ने बताउनुभएको छ। शान्तिपूर्ण तरिकाले माग राख्दा सुनुवाई नभएपछि बाध्य भएर चेतावनी स्वरुप तोडफोड गरिएको भन्दै उहाँले यही अवस्था रहे थप क्षति बेहोर्नुपर्ने चेतावनी दिनुभयो।"
भक्तपुर पर्यटन विकास गुरुयोजना कार्यान्वयन गर्न जोड,"भक्तपुर : भक्तपुरका पर्यटन व्यवसायीहरुले जिल्लालाई प्राकृतिक, सांस्कृतिक तथा ऐतिहासिक दृष्टिले नेपालको महत्वपूर्ण गन्तव्यस्थलको रुपमा स्थापित गर्ने पर्यटन विकास तथा व्यवस्थापन गुरुयोजना कार्यान्वयन गर्न माग गरेका छन्। भक्तपुर पर्यटन विकास समितिको शनिबार भएको एघारौं वार्षिक साधारणसभामा उनीहरुले पर्यटन क्षेत्रलाई समग्र जिल्लाको आर्थिक गतिविधिको एउटा महत्वपूर्ण क्षेत्रको रुपमा विकास गर्ने उक्त गुरुयोजना कार्यान्वयन गर्न माग गरेका हुन्। समितिले २०६७ सालमा तत्कालीन भक्तपुर जिल्ला विकास समितिसँगको सहकार्यमा उक्त गुरुयोजना निर्माण गरिएको थियो। गुरुयोजनाले जिल्लाको पर्यटनलाई दिगो रुपमा विकास र व्यवस्थापन गरी पर्यटनबाट हुने लाभका क्षेत्रहरु विस्तार गर्दै स्थानीय समुदायमा पुयाउने मुख्य लक्ष्य मानेको छ। प्राकृतिक, सांस्कृतिक, पुरातात्विक तथा ऐतिहासिक स्थलहरुको संरक्षण गर्दै पर्यटन विकासका लागि आवश्यक वातावरण सृजना गर्ने र स्थानीय वासिन्दाहरुको जीविकोपार्जनमा सुधार ल्याई समावेशीमूलक आर्थिक विकासमा योगदान पुयाउने अर्को लक्ष्य गुरुयोजनाको रहेको छ। गुरुयोजना कार्यान्वयनमा आएपछि जिल्लामा दिगो पर्यटन विकास हुने भएकाले साधारणसभाका सहभागीहरुले जिल्लाका चार वटा नगरपालिकासँग सहकार्य गरी उक्त गुरुयोजना कार्यान्वयन गर्नुको विकल्प नभएकोमा जोड दिए। साधारणसभा उद्घाटन गर्नुहुँदै नेपाल मजदुर किसान पार्टीका अध्यक्ष नारायणमान बिजुक्छेंले पर्यटन उद्योगलाई स्थानीय जनतासँग एकाकार गर्दै अघि बढ्नुपर्ने सुझाव दिनुभयो। पर्यटन उद्योग नेपालको मुख्य क्षेत्र भएको हुँदा यसको प्रतिफल सर्वसाधारण जनासम्म पुग्नुपर्ने उहाँको भनाइ थियो। पर्यटन उद्योगलाई स्थानीय जनतासँग एकाकार गर्दै लानुपर्छ, अध्यक्ष बिजुक्छेले भन्नुभयो, पर्यटन उद्योग प्रवद्र्धन गर्न स्थानीय तहको सरसफाईमा पनि ध्यानु दिनुपर्छ। भक्तपुर नगरपालिकाका नवनिर्वाचित प्रमुख सुनिल प्रजापतिले पर्यटन उद्योगको आधार सम्पदा संरक्षणलाई नगरपालिकाले प्राथमिकताका राख्ने बताउनुभयो। पर्यटन सेवा शुल्कबाट उठेको रकमबाटै भक्तपुर नगरपालिकाले सम्पदा संरक्षण र शिक्षा क्षेत्रमा प्रगति गरेको उहाँको भनाइ थियो। पर्यटनहरुबाट उठ्ने शुल्क भक्तपुर नपाको प्रमुख आम्दानी हो, उहाँले भन्नुभयो, त्यसैले हामीले पर्यटन प्रवद्र्धनसँगै सम्पदा संरक्षणलाई प्राथमिकता दिँदै जानेछौं। त्यस्तै नवनिर्वाचित उपप्रमुख रजनी जोशी श्रेष्ठले भूकम्पबाट थलिएको पर्यटन उद्योग र सम्पदा संरक्षणमा सबैको ध्यान केन्द्रित हुनुपर्ने बताउनुभयोे। भक्तपुर नगर पर्यटकीय र सांस्कृतिक नगर भएकाले भूकम्पपछिको पुनर्निर्माण सोहीअनुसार गर्नुपर्र्नेतर्फ भक्तपुर नगरवासी पनि सचेत हुनुपर्ने उहाँको भनाइ थियो। कार्यक्रममा इतिहासविद् एवं समितिका सल्लाहाकार प्राडा पुरुषोत्तमलोचन श्रेष्ठले सम्पदा र पर्यटन एउटै सिक्काका दुई पाटा भएकाले सम्पदा संरक्षण तथा त्यसको प्रचारप्रसार गर्नुपर्नेमा जोड दिनुभयो। उहाँले भक्तपुरको पाँचतले मन्दिर मात्र ६ महिनाभित्र निर्माण पूरा भएको तर यसको प्रचार हुन नसकेको गुनासो गर्नुभयो। पाँचतले मन्दिर जम्मा ६ महिनामा निर्माण पूरा भएको हो, इतिहासविद् प्राडा श्रेष्ठले भन्नुभयो, यो विश्वका सात आश्चर्यमध्ये पहिलो आश्चर्य हो तर हामीले त्यसको प्रचारप्रसार गर्न सकेका छैनौं। भक्तपुरका यस्ता आश्चर्य बोक्ने सयौं सम्पदा छन्। तिनीहरुको प्रचारप्रसार गरौं। अनि पर्यटक नओइरिने कुरै छैन। कार्यक्रममा भक्तपुरका स्थानीय विकास अधिकारी ध्रुवप्रसाद कोइराला, भक्तपुर नगरपालिकाका कार्यकारी अधिकृत रोहितराज पोखरेल, समितिका संस्थापक अध्यक्ष नीलकृष्ण ताम्राकार, पूर्वअध्यक्षहरु नवलकिशोर राजभण्डारी र दिवानचन्द्र धौभडेलले समितिको पहलमा बनेको पर्यटन गुरुयोजना कार्यान्वयन गर्दै पर्यटनलाई जिल्लाको समग्र आर्थिक विकासको मुख्य माध्यम बनाउनुपर्ने बताउनुभयो। समितिको अध्यक्षमा भेले शनिबार नै सम्पन्न साधारणसभाले भक्तपुर पर्यटन विकास समितिको अध्यक्षमा रामसुन्दर भेले निर्विरोध निर्वाचित हुनुभएको छ। समितिको उपाध्यक्षमा कृष्णसुन्दर खाइतू र महासचिवमा दीपेशराज शर्मा पनि निर्विरोध निर्वाचित हुनुभएको छ। त्यस्तै सदस्यहरुमा रवीन्द्रकुमार श्रेष्ठ, दीपेश वेंजू, सिद्धिलक्ष्मी मुल्मी, रमिला दुवाल र अरविन्द्र प्रजापति निर्विरोध निर्वाचित हुनुभएको छ। समितिको विधानअनुसार साधारणसभाले अध्यक्ष, उपाध्यक्ष र महासचिवसहित आठ जना पदाधिकारी निर्वाचित हुनेछन्। निर्वाचित कार्यसमितिले दुईजना सदस्य मनोनयन गर्ने विधानमा व्यवस्था गरिएको छ।"
टीकापुर काण्डका प्रमुख योजनाकार रेशम चौधरीका बुबाले बुझे १ करोड ७५ लाखको चेक !,"धनगढी : टीकापुर घटनाका मुख्य योजनाकार भनिएका रेशम चौधरीलाई सरकारले १ करोड ७४ लाख क्षतिपूर्ति दिएको छ। टीकापुर घटनाको भोलिपल्ट ०७२ भदौ ८ गते भएको आगजनीका पीडितलाई राहत दिने क्रममा सरकारले चौधरीलाई सबैभन्दा बढी रकम उपलब्ध गराएको हो। प्रहरी वरिष्ठ उपरीक्षक लक्ष्मण न्यौपाने, केशव बोहरा र बलराम विष्ट गरी दुईजना प्रहरी निरीक्षकसहित ८ सुरक्षाकर्मी र एक दूधे बालकको हत्या भएको भोलिपल्ट उत्तेजित भीडले रेशम चौधरीको फूलबारी एफएम, फूलबारी कटेज र एउटा मोटरसाइकलमा आगजनी गरेको थियो। रेशम चौधरीका बुबा लालवीर चौधरीले शुक्रबार क्षतिपूर्तिबापतको १ करोड ७४ लाख रुपैयाँको चेक बुझेको कैलालीका प्रमुख जिल्ला अधिकारी गोविन्दप्रसाद रिजालले जानकारी दिनुभयो। यस्तै, नीरु ट्रेडर्सका सञ्चालक जीवनारायण चौधरीले १ करोड ५० लाख र प्रदीप चौधरीले आफ्नो हार्डवेयर पसलमा भएको क्षतिपूर्तिबापत १ करोड ३९ लाख रकम पाएका छन्। यसअघि प्रचण्ड सरकारको बहिर्गमनको अन्तिम समयमा मन्त्रिपरिषद्ले टीकापुरका आगजनीपीडितलाई झन्डै ११ करोड क्षतिपूर्ति दिने निर्णय गरेको थियो। टीकापुर घटनाका ८८ जना पीडितले ८ हजारदेखि १ करोड ७४ लाखसम्मको क्षतिपूर्ति पाएको प्रमुख जिल्ला अधिकारी रिजालले बताउनुभयो। राहत वितरणका लागि प्रमुख जिल्ला अधिकारीसहितको टोली शुक्रबार टीकापुर पुगेको थियो। राहत तथा क्षतिपूर्ति रकम दिएर राज्यले आफूलाई न्याय गरेको आगजनीपीडित प्रदीप चौधरीले बताउनुभयो।"
राजपाका कार्यकर्ताद्वारा माओवादी केन्द्रको पार्टी कार्यालयमा तोडफोड,नवलपरासी : राष्ट्रिय जनता पार्टी (राजपा)का कार्यकर्ताले नवलपरासीमा रहेको माओवादी केन्द्रको जिल्ला पार्टी कार्यालयमा आक्रमण गरेका छन्। शनिबार परासीमा आयोजित लाठी जुलुस प्रर्दशनमा सहभागी राजपाका कार्यकर्ताले सदरमुकाम परासीस्थित माओवादी केन्द्रका पार्टी कार्यालयमा आक्रमण गरेका हुन्। आक्रमणमा उत्रिएका कार्यकर्ताले पार्टी कार्यालयको बोर्ड तोडफोडगर्दै जलाएका छन्। त्यसैगरी जुलुमा सहभागी प्रदर्शनकारीले कांग्रेस कार्यकर्ताको घरमा राखेका झण्डासमेत निकालेका थिए। असार ४ गतेको मनोनयन पत्र दर्तामा अवरोध गराउने उद्देश्यले आयोजना गरिएको लाठी जुलुसले कांग्रेसविरुद्ध चर्का नाराबाजी गरेको थियो। प्रर्दशनपछि जुलुस बुद्धचोकमा पुगेर कोणसभामा परिणत भएको थियो।
विराटनगरमा ओली र गच्छादार वीच गठबन्धन,"विराटनगर : नेकपा (एमाले) र विजयकुमार गच्छदार नेतृत्वको नेपाल लोकतान्त्रिक फोरमबीच विराटनगर महानगरपालिकाको निर्वाचनमा प्रमुख र उपप्रमुख पदका लागि चुनावी तालमेल भएको छ। नेकपा(एमाले)का प्रमुख पदको उम्मेदवार विनोद ढकाललाई लोकतान्त्रिक फोरमले सघाउने छ भने उपप्रमुखमा सो पार्टीलाई एमालेले सघाउने सहमति भएको लोकतान्त्रिक फोरम नेपालका जिल्ला अध्यक्ष भक्तिनाथ माझीले जानकारी दिनुभएको छ। यसबाहेक, वडामा दुबैबीच कुनै सहमति नभएको बताइएको छ । लोकतान्त्रिक फोरमले उपप्रमुख पदको उम्मेदवारको आजै टुङ्गो लगाउने बताइएको छ। यसैगरी नेपाली काँग्रेसबाट विराटनगर महानगरपालिकाका प्रमुख पदका उम्मेदवार भीम पराजुलीले सञ्चारक्षेत्रको विकासमा सकारात्मक भूमिका खेल्ने बताउनु भएको छ । नेपाल प्रेस युनियन मोरङसँग भएको अन्तर संवाद कार्यक्रममा आज पराजुलीले १ नं प्रदेशको सम्भावित राजधानीको रुपमा रहेको विराटनगरमा सञ्चारक्षेत्रको विकासमा आपूले सहयोग गर्ने बताउनुभयो । उहाँले विराटनगर औद्योगिक नगर भएकोले उद्योग, कलकारखाना र औद्योगिक विकासमा काँग्रेसले समन्वयकारी भूमिका निर्वाह गर्ने स्पष्ट पार्नुभयो । उपप्रमुखकी उम्मेदवार इन्दु कार्कीले महिला हकहित र अधिकार संरक्षणका लागि आफ्नो पहिलो प्राथमिकता हुने बताउनुभयो । रासस"
सीके राउतका प्रवक्ता पक्राउ,"बर्दिया : स्वतन्त्र मधेस गठबन्धन (सीके राउत) समूहका केन्द्रीय प्रवक्ता बर्दियामा पक्राउ परेका छन्। अनुसन्धानका लागि भन्दै प्रहरीले गुलरिया नगरपालिका ११ स्थित मोहम्मदपुरबाट स्वतन्त्र मधेस गठबन्धनका प्रवक्ता अब्दुल खाँलाई पक्राउ गरेको हो। बर्दिया जिल्ला इन्चार्जसमेत रहेका ३० वर्षीय खाँलाई शुक्रबार राति साढे ११ बजे जिल्ला प्रहरी कार्यालय बर्दियाका प्रहरी नायव उपरीक्षक युवराज खड्काको नेतृत्वको टोलीले पक्राउ गरेको जिल्ला प्रहरी कार्यालय बर्दियाले जनाएको छ। खाँको रूपन्देही र सिराहा प्रहरी कार्यालयमा राज्यविरुद्धको आरोपमा मुद्दा दर्ता भएकाले हामीले पक्राउ गरेका हौं, जिल्ला प्रहरी कार्यालय बर्दियाका प्रहरी नायव उपरीक्षक युवराज खड्काले भन्नुभयो, केही दिनयता जिल्लामा निर्वाचनविरोधी गतिविधि गरेकोसमेत पाइएको छ।"
"गोली, अश्रुग्यास र आगजनीपछि परासी तनावग्रस्त (फोटो फिचर )","नवलपरासी: राष्ट्रिय जनता पार्टी (राजपा) नेपालका अध्यक्ष महन्थ ठाकुरसहित शीर्ष नेता सहभागी कार्यक्रम स्थल तनावग्रस्त बनेको छ । स्थानीय निर्वाचन कार्यक्रमको विरोधमा राजपाले नवलपरासीको सदरमुकाम परासीमा शनिबार लाठी जुलुस गरेको थियो । लाठी जुलुसपछि बुद्धचोकमा आयोजित सभालाई सम्बोधन गर्न काठमाडौंबाट अध्यक्ष महन्थसहित शीर्ष नेताहरु राजेन्द्र महतो, अनिलकुमार झा, राजकिशोर यादव, ह्दयश त्रिपाठी, जितेन्द्र सोनाललगायतका नेताहरु परासी पुग्नु भएको थियो । कार्यक्रमको अन्तिम चरणमा अध्यक्ष महन्थ ठाकुरले सम्बोधन गरिरहँदा एक्कासी कार्यक्रम स्थल तनावग्रसत बनेको थियो ।कार्यक्रम स्थल नजिक रहेको मध्य नेपाल यातायत व्यवसायी समितिमा बसबाट लैजानका लागि एमालेको प्रचारप्रसारका लागि टिसर्टहरु राखिएको थियो। उक्त टिसर्टहरु महन्थ ठाकुरसहितका शीर्ष नेताकै अगाडी जलाइएका थियो । केही कार्यकर्ता टिसर्ट राखेको भन्दै मध्यनेपाल यातायात समितिमा पुगेर तोडफोड गर्न थालेपछि राजपाका कार्यकर्ता र प्रहरीबीच झडप भएको थियो । सो क्रममा प्रहरीले केही अश्रुग्यास र रबरको गोली प्रहार गरेको थियो । तनावपछि अध्यक्ष ठाकुरले बीचमै सम्बोधन छाड्नु भएको थियो । अश्रुग्यास प्रहार हुन थालेपछि ठाकुरसँगै राजेन्द्र महतो नजिकै रहेका होटलमा लुक्न पुग्नु भएको थियो । नेता ह्रदयश त्रिपाठीले कार्यकर्तालाई संयम हुन आग्रह गर्नुभएको थियो । तर स्थिति उग्र हुन थालेपछि प्रहरीले रबरका गोली र अश्रुग्यास प्रहार गरेको थियो । रबरको गोली लागेर दुई घाइते भएका छन् । तस्बिरहरु: हरि शर्मा"
ओबीओआर कार्यन्वयनबारे चीनसँग मंगलवार बैठक हुँदै,"काठमाडौं : नेपालचीनबीच आगामी मंगलबार परराष्ट्र सचिवस्तरीय कूटनीतिक परामर्श संयन्त्रको ११औं बैठक काठमाडौंमा आयोजना हुने भएको छ । दुई देशबीच विगतका सहमति र सम्झौताको व्यावहारिक कार्यान्वयनमा देखिएका समस्या र समाधानका उपायबारे बैठकमा छलफल हुने परराष्ट्र मन्त्रालयका अधिकारी बताउँछन् । विशेषगरी चिनियाँ अवधारणा बेल्ट एन्ड रोड (ओबीओआर)' अन्तर्गत रही आगामी दिनमा द्विपक्षीय सहयोग अभिवृद्धि गर्ने विषयमा बैठकमा छलफल हुने उनीहरूको भनाइ छ । बेल्ट एन्ड रोड अवधारणालाई व्यावहारिक कार्यान्वयनमा जाने विषयमा बैठकमा छलफल हुनेछ', उनीहरूले भने । नेपालले ओबीओआर अवधारणामा आफ्नो सहभागिता सुनिश्चित गर्दै एक महिनाअघि चीनसँग समझदारीपत्रमा हस्ताक्षर गरेको थियो । परराष्ट्र मन्त्रालयमा हुने एकदिने बैठकमा चिनियाँ सहायक विदेशमन्त्री कोङ सोन्यु नेतृत्वको एक चिनियाँ प्रतिनिधिमण्डल सहभागी हुनेछ । चिनियाँ टोली सोमबार नेपाल आइपुग्नेछ । बैठकमा नेपालका तर्फबाट परराष्ट्रसचिव शंकरदास वैरागी नेतृत्वको टोली सहभागी हुनेछ । कूटनीतिक परामर्श संयन्त्रको बैठकमा पारवहन सम्झौताअन्तर्गतका प्रोटोकलमा हस्ताक्षर हुन नसकेको विषयमा छलफल हुने सरकारी अधिकारीले बताए । पूर्वप्रधानमन्त्री केपी शर्मा ओलीको डेढ वर्षअघिको चीन भ्रमणमा हस्ताक्षरित पारवहनलगायत १० सम्झौता दाहाल नेतृत्वको सरकारका बेला तदारुकतासाथ कार्यान्वयनमा जान नसक्दा चीन रुष्ट थियो । बैठकमा खासा नाका पुनः सञ्चालनमा आउन नसकेको विषयमा नेपालले चिनियाँ पक्षको ध्यानाकर्षण गराउनेछ । परराष्ट्र सचिवस्तरीय बैठकमा नेपालचीन जोड्ने खासा नाका पुनः सञ्चालनमा आउन नसकेको विषयमा नेपालले चिनियाँ पक्षको ध्यानाकर्षण गराउनेछ । भूकम्पले क्षतिग्रस्त बनाएपछि यो ऐतिहासिक नाका पुनः सञ्चालनमा आउन सकेको छैन । देउवा नेतृत्वको सरकारले बेल्ट एन्ड रोड अवधारणालाई प्रभावकारी रूपमा व्यावहारिक ढंगले अघि बढाउँछ या बढाउँदैन भन्नेमा चिनियाँ पक्ष सशंकित देखिएको एक सरकारी अधिकारीले बताए । बेल्ट एन्ड रोड अवधारणाबाट लाभ लिन नेपालले अब चीनसमक्ष सडक, रेल, औद्योगिक पार्क, विमानस्थल, जलविद्युत् परियोजनालगायत ठूला तथा मझौला आकारका भौतिक पूर्वाधार विकासका परियोजना प्रस्ताव गर्नुपर्ने हुन्छ । नेपालले प्रस्ताव गरेका परियोजना निर्माणका लागि चीनले सिल्क रोड फन्ड र एसियाली पूर्वाधार विकास बैंकमार्फत् सहुलियत ऋण तथा अनुदान नेपाललाई उपलब्ध गराउनेछ ।"
मुलकको विकास तथा समृद्धि गर्न काँग्रेस नेतृत्वको आवश्यकताः डा महत,"पाँचथर : नेपाली काँग्रेसका नेता डा रामशरण महतले गरिब विपन्न जनताको जीवनस्तर उकास्न र मुलकको विकास तथा समृद्धि गर्न स्थानीय तहमा पनि काँग्रेस नेतृत्वको आवश्यकता रहेको बताउनुभएको छ । पाँचथर र इलामको सिमानास्थित राँके बजारमा आज नेपाली काँग्रेसले आयोजना गरेको चुनावी सभामा उहाँले काँग्रेसका उम्मेदवारले मात्रै मुलुकको विकास र समृद्धि गर्न सक्ने भएकाले आसन्न स्थानीय तहको निर्वाचनमा पाटीका उम्मेदवारलाई विजयी गराउन सबै मतदातामा आग्रह गर्नुभयो । नेता डा महतले राँकेरवि हुँदै भेडेटार जोड्ने सडकको कालोपत्रेका लागि आफू अर्थमन्त्री हुँदा बजेट विनियोजन गरेको बताउँदै अब यस सडकको निर्माण कार्य चाँडै थालिने र समयमै पूरा हुने विश्वास व्यक्त गर्नुभयो । कार्यक्रममा काँग्रेसका केन्द्रीय सदस्य भिष्मराज आङदेम्बे, जिल्ला सभापति नरेन्द्रकुमार केरुङ र जिल्ला सचिव वृजहाङ आङदेम्बे लगायतले स्थानीय तहको निर्वाचन, विकास र काँग्रेस नेतृत्वको भूमिकाका बिबिध पक्षमाथि प्रकाश पार्नुभयो । रासस"
महिलामा राजनीतिक प्रतिस्पर्धात्मक क्षमता बढेको छःराष्ट्रपति,"जेनेभा : राष्ट्रपति विद्यादेवी भण्डारीले नेपाली राजनीतिमा अनुभव नभएका महिलालाई पूर्ण प्रतिस्पर्धामा भाग लिन लगाएको अवस्थामा भन्दा सकारात्मक विभेदअन्तर्गत थोरै आरक्षण दिइएको अवस्थामा उनीहरूको राजनीतिक संलग्नतामा व्यापक सुधार भएको बताउनुभएको छ । संयुक्त राष्ट्र सङ्घका लागि स्थायी प्रतिनिधि दीपक धितालले आफ्नो सम्मानमा शुक्रबार आयोजना गर्नुभएको स्वागत कार्यक्रममा राष्ट्रपति भण्डारीले पूर्ण प्रतिस्पर्धा समान रूपमा सक्षम व्यक्तिहरूबीच मात्र हुनसक्ने बताउँदै शताब्दीयौँदेखि विभेद गरिएका र अनुभव नभएका महिला तथा सक्षम र अनुभवी व्यक्तिबीच प्रतिस्पर्धा गर्नु उचित नहुने बताउनुभयो । राष्ट्रपति भण्डारीले विसं २०४९ अगाडि स्थानीय निकायका करिब दुई लाख पदमध्ये केवल १३६ मा मात्र महिला विजयी भएको देखिएकामा विकेन्द्रीकरणअन्तर्गत निर्वाचनमा २० प्रतिशत महिलालाई उम्मेदवार बनाउनुपर्ने व्यवस्थाबाट ३६ हजार महिला विजयी भएको र थप चार हजार महिला मनोनीत हुँदा करिब ४० हजार महिला राजनीतिक पदमा स्थापित भएको उदाहरण प्रस्तुत गर्नुभयो । उहाँले यसरी नै अनुभवले खारिएर महिलामा राजनीतिक प्रतिस्पर्धात्मक क्षमता बढेको बताउनुभयो । राष्ट्रपति भण्डारीले वर्तमान संविधानअन्तर्गत निर्वाचनमा महिला उम्मेदवारी ४० प्रतिशत अनिवार्य बनाउँदा र प्रमुख तथा उपप्रमुखमध्ये एक पदमा महिला उम्मेदवारी अनिवार्य बनाउँदा हालैको निर्वाचनबाट धेरै महिला उपप्रमुखमा निर्वाचित भएको बताउँदै अब उनीहरूले पनि न्यायाधीशसरह अधिकार प्राप्त गरेको उल्लेख गर्नुभयो । उहाँले संसद्का लागि ३३ प्रतिशत स्थानमा महिला उम्मेदवारीको व्यवस्थाले ३३ प्रतिशत स्थानमै महिलाले विजय हासिल गरेको बताउँदै सभामुख र उपसभामुखमा एक पद तथा राष्ट्रपति र उपराष्ट्रपतिमध्ये एक पद महिलाले प्राप्त गर्दा उनीहरूलाई अनुभवी तथा व्यावहारिक बनाउने बताउनुभयो । राष्ट्रपति भण्डारीले अब आर्थिक विकास गरी लोकतन्त्रको फाइदा जनतालाई उपलब्ध गराउनुपर्नेमा जोड दिनुभयो । उहाँले प्रवासी नेपाली मुलुकको सद्भावना दूत भएको बताउँदै उनीहरूले जनस्तरका साथै सरकारी र कूटनीतिक स्तरमा समेत प्रभाव पार्नसक्ने र विदेशमा सिकिएको सीप स्वदेशमा उपयोग गर्न सकिन्छ भन्नुभयो । यहाँ आयोजना भइरहेको १०६औँ अन्तर्राष्ट्रिय श्रम सम्मेलनको एक भागका रूपमा रहेको रोजगारीको विश्व शिखर बैठक लाई सम्बोधन गर्न यहाँ आउनुभएका राष्ट्रपति भण्डारी सहभागी कार्यक्रममा स्विट्जरल्यान्डमा बसोबास गर्ने नेपाली समुदायका सदस्य, अन्तर्राष्ट्रिय श्रम सङ्गठनको सम्मेलनका लागि नेपाली प्रतिनिधि तथा राष्ट्रपति भण्डारीका भ्रमण दलका सदस्य पनि उपस्थित हुनुहुन्थ्यो । कार्यक्रममा स्विट्जरल्यान्डका लागि नेपाली राजदूत धितालले अन्तर्राष्ट्रिय श्रम सङ्गठनमा नेपालको सहभागिता र नेपालले प्राप्त गरेको उपलब्धिका विषयमा जानकारी गराउनुभएको थियो । रासस"
