शीर्षक,विवरण
प्रतिक्रियाको राजनीति,"एमाले, माओवादी केन्द्र र नयाँ शक्तिबीच चुनावी तालमेल र क्रमैसँग पार्टी एकीकरण गर्ने घोषणा भएको २४ घन्टा नबित्दै सत्तासीन कांग्रेसले अरू पाँच दललाई समेटेर चुनावी मोर्चा बनाउने प्रक्रिया अघि बढाएको छ । वामपन्थी शक्ति चुनावी तालमेलसँगै एउटै पार्टी बनाउने अभ्यासमा छन् भने कांग्रेस सरकारको नेतृत्व जोगाउन र आसन्न चुनावलाई लक्षित गर्दै मोर्चा बनाउन सक्रिय छ । सिंगो मुलुक पर्वमा रमाइरहेका बेला एकता र मोर्चाबन्दीका यी अभ्यास आकस्मिक देखिए पनि राजनीतिमा यी स्वाभाविक परिघटना हुन्, तर राजनीतिक वृत्तमा अनेक टीकाटिप्पणी भइरहेका छन् । एकथरी विश्लेषक वाम एकताले मुलुक अधिनायकवादतर्फ उन्मुख हुने टिप्पणी गर्दैछन् भने कांग्रेसले प्रतिक्रियाको राजनीति गरेको आक्षेप अर्को कोणबाट लगाइएको छ । राजनीति धु्रवीकृत भइरहँदा अहिले जेजसरी पक्ष र विपक्षमा अनुदार र आवेगपूर्ण टीकाटिप्पणी भइरहेका छन्, ती जायज छैनन् । लोकतान्त्रिक परिपाटी र दलीय व्यवस्था भएको मुलुकमा विभिन्न दलबीच सहकार्य, मोर्चाबन्दी वा एकता हुनु नौलो होइन । हाम्रै सन्दर्भमा पनि दलहरूबीच एकता र विभाजन कुनै नौलो सन्दर्भ हुँदै होइन । दुइटा ठूला कम्युनिस्ट पार्टीबीच पार्टी एकताकै अभ्यास अघि बढ्नु निश्चय पनि उल्लेखनीय हो, तर त्यस्तो अभ्यासको प्रारम्भमै अनेक टीकाटिप्पणी गरिनु उचित होइन । निश्चय पनि कांग्रेसले थालेको मोर्चाबन्दी वाम तालमेलपछिको प्रतिक्रिया हो । त्यसलाई पनि अस्वाभाविक रूपमा लिनु हुँदैन । दलीय राजनीतिमा दलहरूले आफ्नो वर्चस्व खोजिरहन्छ । यी गठबन्धन र एकताका राजनीतिक आधार छन् त ? वैचारिक आधारविनाको सहकार्य, एकता वा मोर्चाबन्दी दिगो हुन सक्दैन । के यी एकता र तालमेल स्थायी होलान् ? कांग्रेस वा वामपन्थीले अहिले गरेका सहकार्य र तालमेल अनुचित छैनन् । यी दलीय व्यवस्थालाई अझ मजबुत बनाउनेतिरै उन्मुख छन्, तर यी सहकार्य र तालमेलका राजनीतिक अर्थ र आधार जनताले बुझ्ने गरी स्पष्ट पार्न सक्नुपर्छ । आवेग र प्रतिक्रियामा मात्रै एकता र मोर्चाबन्दीका अभ्यास भइरहेका हुन् भने ती अस्थायी हुन्छन् भन्ने हेक्का दलहरूले राख्नुपर्छ । नेपाली राजनीति अस्थिर छ । दलहरू सत्ताकेन्द्रित छन् । दलभित्रको आन्तरिक लोकतन्त्र एकदम कमजोर छ । हरेकजसो पार्टीभित्र गुटबन्दी हावी छ । लोकतान्त्रिक आन्दोलनमा लागेका दलको आन्तरिक जीवन अपारदर्शी छ । शासन व्यवस्था अस्थिर छ, जसले गर्दा कुनै पनि सरकारले पूरा शासनअवधि काम गर्न पाउँदैन । जसको सीधा असर विकास र सुशासनमा पर्दै आएको छ । के यी गठबन्धन र एकताले राजनीतिका यी दुःखको निवारण गर्ला ? के दलहरूबीचको एकता र सहकार्यपछि राजनीतिक संक्रमण हट्ला ? संवैधानिक अस्थिरता हटेर यसको संस्थागत विकास होला ? वाम वा लोकतान्त्रिक गठबन्धनको औचित्य र आवश्यकता त्यतिबेला मात्रै सिद्ध हुन्छ, तब यी विसंगतिबाट मुलुकले त्राण पाउनेछ । अन्यथा हामीले क्रियाप्रतिक्रियाको राजनीतिबाट मुक्ति पाउने छैनौं । दलहरूले हेक्का राखून्, हामीलाई रचनात्मक र सिर्जनात्मक राजनीति चाहिएको छ, प्रतिक्रियाको होइन ।"
राजनीतिक अस्थिरताविरुद्ध एकजुट हुन पौडेलको आग्रह,"काठमाडौँ: नेपाली कांग्रेसका वरिष्ठ नेता रामचन्द्र पौडेलले नेपाली जनता एकपटक फेरि राजनीतिक अस्थिरताविरुद्ध एकजुट हुन आह्वान गरेका छन्। कांग्रेस केन्द्रीय कार्यसमितिले प्रतिनिधिसभा र प्रदेशसभा निर्वाचन, २०७४ लाई लक्ष्य गरी आयोजना गरेको घोषणापत्र तयारी सुझाव संकलन कार्यक्रमलाई सम्बोधन गर्दै उनले कांग्रेस निरंकुश राणा शासन, पञ्चायती व्यवस्था, दक्षिणपन्थी र दरबारिया शक्तिसँग लड्दै आएको नेपालको ऐतिहासिक पार्टी भएको र यसको इतिहासलाई कसैले मेटाउन नसक्ने दाबी गरे। कम्युनिस्ट कहिल्यै लोकतन्त्रवादी हुन नसक्ने बताउँदै नेता पौडेलले कम्युनिस्ट अधिनायकवादविरुद्ध लोकतन्त्रवादी संगठित हुनु आजको आवश्यकता भएको विचार व्यक्त गरे। कांग्रेसको घोषणपत्रमा सुशासन, निमुखालाई न्याय र विपन्नलाई आय, कृषि, पर्यटन, ऊर्जा, जलस्रोत, सहकारी, शिक्षा, स्वास्थ्यसम्बन्धी विषय समेट्न उनले सुझाव दिए। कांग्रेस नेता महेश आचार्यको संयोजकत्वमा तयार हुने घोषणपत्रमा समेट्नुपर्ने विषयमा कांग्रेस निकट विभिन्न पेशागत संघले रचनात्मक सुझाव दिएका थिए । सुझाव दिनेमा नेपाल महिला संघका अध्यक्ष उमा रेग्मी, प्रजातान्त्रिक चिकित्सक संघका अध्यक्ष केके राई, नेपाल ट्रेड युनियनका उपाध्यक्ष गणेश निरौला, नेपाल शिक्षक संघका अध्यक्ष केशव निरौलालगायत थिए।"
प्रदेश ७ मा माले र माओवादी केन्द्रबीच एकीकरण,"महेन्द्रनगर : एमाले, माओवादी केन्द्र र नयाँ शक्ति नेपालसहितका कम्युनिष्ट पार्टीबीच एकीकरणको प्रक्रिया अघि बढिरहेका बेला प्रदेश ७ मा नेकपा माले र नेकपा माओवादी केन्द्रबीच एकीकरणको सहमति भएको छ। नेकपा माओवादी केन्द्रीय आयोजक समिति तथा ७ नम्बर प्रदेशका प्रचार प्रसार विभाग प्रमुख ओमविक्रम भाट र माले केन्द्रीय सदस्य एवम् सांसद कलशा महराबीच पार्टी एकीकरण गर्ने सहमति पत्रमा हस्ताक्षर भएको छ। माओवादी केन्द्रका ७ नम्बर प्रदेश प्रचार विभाग प्रमुख ओमविक्रम भाटले माले र माओवादी केन्द्रबीच सहमति पत्रमा प्रदेशमा हस्ताक्षर भइसकेको र शनिबार काठमाडौंमा पार्टी अध्यक्षले औपचारिक रुपमा पार्टी प्रवेश गराउने कार्यक्रम रहेको बताए। हामीले यहाँ सहमति गर्यौं, टेलिफोनमा उनले भने, अहिले शनिबार अध्यक्षको हातबाटै टीका लगाएर प्रवेश गर्नका लागि केही नेता कार्यकर्ता काठमाडौं गए उनले जिल्ला स्तरमा अब निर्वाचन अगावै अरु कार्यकर्ता समेत पार्टी प्रवेश गर्ने जानकारी दिए। नेकपा एमाले र नेकपा माओवादीबीच एकीकरण प्रक्रिया अघि बढिरहेका बेला नेकपा माले र माओवादी केन्द्रबीच ७ नम्बर प्रदेशमा एकीकरण हुनुले वामपन्थी पार्टीबीचको एकीकरणमा नयाँ आयाम हुने माओवादी केन्द्रले जनाएको छ। आगामी मंसिरमा हुने प्रदेश सभा र प्रतिनिधि सभा निर्वाचन स्वतन्त्र, धाँदलीरहित निष्पक्ष तरिकाले सम्पन्न गराउन समेत नेतृत्वदायी भूमिका निर्वाह हुने अपेक्षा लिइएको माओवादी केन्द्रका ७ नम्बर प्रदेशका प्रचार विभाग प्रमुख ओमविक्रम भाटले बताए। ७ नम्बर प्रदेशका अन्य साना घटक पार्टीलाई समेत माओवादी केन्द्रले धुबीकरणको यात्रामा सहभागी हुन अपिल गरेको छ। माले कञ्चनपुर पार्टी सचिव शंकर वोगटीसहितका अन्य नेता कार्यकर्ता भने केही महिना अघि नेकपा एमालेमा प्रवेश गरेका थिए।"
"मन्त्रीद्वारा खानेपानी निरीक्षण, ट्ंयाकी कार्यालय भवन बनाइदिने आश्वासन",सर्लाही: खानेपानी तथा सरसफाई मन्त्री महेन्द्र यादवले सर्लाहीको बागमतीस्थित कर्मैया खानेपानी तथा सरसफाई उपभोक्ता समितिको निरीक्षण गरेका छन्। त्यस क्रममा मन्त्री यादवले बागमती क्षेत्रको खानेपनीको अवस्था र खानेपानी स्वच्छताको बारेमा समितिका अध्यक्ष डोलराज पाण्डेसँग जानकारी लिएका थिए। अध्यक्ष पाण्डेले २ लाख २५ लिटर क्षमताको ट्ंयाकी निर्माण र समितिको कार्यालय भवन निमार्णका लागि सहयोग गर्न अनुरोध गरेका थिए। पाण्डेको अनुरोधलाई मन्त्री यादवले सकारात्मक रुपमा लिएको र मन्त्रालयमा निवेदन दिन अनुरोध गरेका छन्। २०७२ सालमा गएको भूकम्पका कारण समितिको भवन जीर्ण भएपछि आधुनिक भवन निमार्णका लागि अध्यक्ष पाण्डेले अनुरोध गरेका हुन्। कर्मैया खानेपानी तथा सरसफाई उपभोक्ता समितिले सो क्षेत्रका १६सय घरधुरीलाई खानेपानी वितरण गर्दै आएको छ। समितिले प्रत्येक घरमा २४ सै घन्टा पानी उपलब्ध गराउँदै आएको छ।
नयाँ शक्तिको सिंगो नगर समिति माओवादी केन्द्रमा प्रवेश,"भक्तपुर : बाबुराम भट्टराई नेतृत्वको नयाँ शक्ति पार्टी नेपालका भक्तपुरका चार उम्मेदवारसहित चाँगुनारायण नगरपालिका सिंगो समितिमा माओवादी केन्द्रमा समाहित भएको छ । नयाँ शक्तिकी केन्द्रीय परिषद् सदस्य एवं भक्तपुर निर्वाचन क्षेत्र १ प्रदेश क का प्रत्यक्ष उम्मेदवार चण्डिका लामिछानेसहित पार्टीको चाँगु नगर संगठन कमिटी सिंगै माओवादी केन्द्रमा ध्रुवीकृत भएको हो । केन्द्रीय परिषद् सदस्य लामिछाने, चाँगु नगर संगठन कमिटीका संयोजक कान्छा तामा मुखिया, जिल्ला सदस्यद्वय शिवराज केसी, ध्रुवराज कार्की र युवा संगठनको केन्द्रीय परिषद् सदस्य सन्तोष अवालले शुक्रबार संयुक्त प्रेस विज्ञप्ति जारी गर्दै देवेन्द्र पौडेल संयोजकत्वको बृहत ध्रुवीकरणमा समावेश भएको घोषणा गरेका हुन् । उनीहरुसँगै नयाँ शक्तिका ३५ भन्दा बढी स्थानीय नेता तथा कार्यकर्ताहरुले नयाँ शक्तिबाट सामूहिक राजीनामा दिएको घोषणा गरेका छन् । नयाँ शक्ति पार्टीबाट सामूहिक राजीनामा दिएर देवेन्द्र पौडेल संयोजकत्वमा बृहत ध्रुवीकृत भएका छौं, नगर संयोजक तामाङले भने, उक्त ध्रुवीकरणसँगै हामी माओवादी केन्द्रमा प्रवेश गरेका छौं । संयोजक तामाङ नयाँ शक्ति भक्तपुरबाट मंसिर महिनामा हुने प्रतिनिधिसभा निर्वाचनको लागि समानुपातिक उम्मेदवारमा सिफारिस भएका छन् । त्यस्तै जिल्ला सदस्यद्वय केसी र कार्की भने प्रदेशसभाको लागि समानुपातिक उम्मेदवारीमा सिफारिस भएको संयोजक तामाङले जानकारी दिए । उनले वैकल्पिक शक्तिको रुपमा स्थापित हुने आसमा बसेका नेता कार्यकर्ताहरुको मनोभावना नबुझेर अचानक वामपन्थी एकताको निर्णयले आफूहरु स्तब्ध भएको बताए । नयाँ शक्ति नेतृत्वले धोखा दिएकै कारण आफूहरु देवेन्द्र पौडेल संयोजकत्वमा बृहत ध्रुवीकरण हुने निष्कर्षमा पुगेको उनले जानकारी दिए ।"
कर्मचारी समायोजन विधेयक पारित,"काठमाडौँ : व्यवस्थापिकासंसद्को बैठकले कर्मचारी समायोजन विधेयक, २०७४ बहुमतले पारित गरेको छ । बैठकमा सामान्य प्रशासन मन्त्री टेकबहादुर बस्नेतले विधेयकका विशेषताका बारेमा जानकारी गराउँदै संविधानको प्रावधान बमोजिम विधेयकमा कर्मचारी समायोजनको व्यवस्था गरिएकाले विधेयक पारित गर्न आग्रह गरेका थिए । बैठकमा जीवन परियार, चूडामणि विक जंगली, डिल्लीप्रसाद काफ्ले, मीना पुन, प्रेम सुवाल, रामहरि सुवेदी, रामहरि खतिवडा, रवीन्द्र अधिकारी र रुक्मिणी चौधरीले सबै कर्मचारीले सरकारले खटाएको स्थानमा जानैपर्ने व्यवस्था गर्नुपर्ने बताएका थिए । कर्मचारीले दलगतरुपमा नभई राष्ट्रियस्तरको एकमात्र टेड युनियन बनाउन पाउने प्रावधान विधेयकमा राख्न पनि उनीहरुले सुझाव दिएका थिए ।"
निर्वाचनलाई प्रभावित पार्ने गतिविधि नगर्न आग्रह,"काठमाडौँ: निर्वाचन आयोगको आज बसेको बैठकले आगामी मंसिर १० र २१ गते हुने निर्वाचनलाई प्रत्यक्ष वा अप्रत्यक्षरूपमा प्रभावित वा असर गर्नेगरी कुनै पनि गतिविधि, क्रियाकलाप सञ्चालन नगर्ननगराउन नेपाल सरकार, राजनीतिक दल र सरोकार भएका सबैमा आग्रह गरेको छ। आयोगले तोकिएको मितिमा निर्वाचन सम्पन्न गर्नका लागि मुख्य निर्वाचन अधिकृत र निर्वाचन अधिकृतको नियुक्ति, समानुपातिक निर्वाचन प्रणालीबमोजिम निर्वाचन प्रक्रियाको थालनी, मतपत्र छपाइलगायतका अत्यावश्यक कार्य प्रक्रिया चरणबद्धरूपमा अगाडि बढिरहेको जनाएको छ। त्यसैगरी, मतदाता शिक्षा, कर्मचारीको छनोट, निर्देशिका, कार्यविधिको तर्जुमा लगायतका तमाम कार्य सँगसँगै अगाडि बढिरहेको आयोगका प्रवक्ता नवराज ढकालले जारी गर्नुभएको विज्ञप्तिमा उल्लेख छ। विज्ञप्तिमा पूर्णरूपमा निर्वाचनलाई स्वच्छ, निष्पक्ष, पारदर्शी, भयरहित, स्वतन्त्र, विश्वसनीय र धाँधलीरहित ढंगले सम्पन्न गर्न अहोरात्र आयोग खटिरहेको जनाउँदै निर्वाचन कार्यमा सघाउ पुर्याउन संबद्ध सबै सरोकार भएका, आम सर्वसाधारण र सञ्चार माध्यमसँग सहयोगका लागि आग्रह पनि गरिएको छ।"
पर्सा कांग्रेसले गर्यो ८७ जनाको नाम सिफारिस,"वीरगन्ज: आसन्न प्रतिनिधिसभा र प्रदेशसभा निर्वाचन लागि पर्साबाट नेपाली कांग्रेसले ८७ जना उम्मेदवारहरुको नाम केन्द्रिय कार्य समितिमा सिफारिस गरेको छ। प्रतिनिधिसभा निर्वाचनका लागि कांग्रेसले पर्साको क्षेत्र नम्बर १ बाट प्रत्यक्ष तर्फ चुनाव लड्न चाहने ११ जनाको नाम सिफारिस गरेको हो। कांग्रेसले पर्साको क्षेत्र नम्बर १ बाट सांसद अनिल कुमार रुंगटा , पूर्व सभासद ओमप्रकाश शर्मा , राजकृष्ण अमात्य, इश्वर भक्त श्रेष्ठ, विजय सर्राफ , विश्वनाथ शर्मा , प्रकाश उपाध्याय, कृष्ण मु्रारी रौनीयार , राधेश्याम चौरसीया , सन्जय कुमार केडिया र डाक्टर भगवान प्रसाद यादव गरि ११ जनाको नाम सिफारिस गरेको कांग्रेस पर्साका जिल्ला सचिव श्याम पटेलले जानकारी दिए। यस्तै क्षेत्र नम्बर २ बाट प्रत्यक्ष तर्फ नै पूर्व सभासद एव केन्द्रीय सदस्य अजय चौरसीया र सांसद राजेन्द्र बहादुर अमात्यको नाम सिफारिस भएको छ। क्षेत्र नम्बर ३ बाट प्रत्यक्ष तर्फ सांसद सुरेन्द्र चौधरी र शम्भु चौहान तथा क्षेत्र नम्बर ४ बाट प्रत्यक्ष तर्फ केन्द्रिय सदस्य रमेश रिजाल र जिल्ला सचिव किशोरी साह कानुको नाम केन्द्रिय कार्य समितिमा सिफारिस भएको जिल्ला सचिव पटेलले जानकारी दिए। प्रतिनिधिसभा निर्वाचनका लागि समानुपातीक तर्फ पर्साको क्षेत्र नम्बर १ बाट महम्मद सरीफ , आदित्य प्रकाश प्रधान , डाक्टर रामदेव सिंह , नारायण जी रौनीयार , डाक्टर सुस्मा तिवारी र किरण सरकार तथा क्षेत्र नम्बर २ बाट समानुपातीक तर्फ रिता देवी गुप्ता, कन्हैयालाल केशरी , राकेश कुमार सिंह , बृष मोहन दास थारु , गम्भिरा साह , आशादेवी थरुनी र शंकर ओझाको नाम कांग्रेस जिल्ला कार्य समिति पर्साले सिफारिस गरेको छ। यसैगरी सामानुपातिक तर्फ नै क्षेत्र नम्बर ३ बाट पुर्वसभासद रामेश्वर रौनीयार , बाबुलाल मेहता , लक्ष्मीदेवी रौनीयार र सरस्वती देवी हरिजन तथा क्षेत्र नम्बर ४ बाट समानुपातीक तर्फ वशिष्ठनारायण कुर्मी , रामदेव प्रसाद चौहान र गोमा कुमारी उपाध्यायको नाम सिफारिस गरिएको कांग्रेस जिल्ला सचिव किशोरी साह कानुले जानकारी दिए। प्रदेश सभा निर्वाचनका लागि पर्साको क्षेत्र नम्बर १ को प्रदेशसभा १ बाट प्रत्यक्ष तर्फ चुनाव लड्न चाहने रामबाबु प्रसाद पटेल , राम नारायण कुर्मी , वीरेन्द्र पटेल, जोखना दास थारु , योगेन्द्र महत्तो कोइरी र शीवबालक प्रसाद यादव तथा क्षेत्र नम्बर १ को प्रदेशसभा २ बाट प्रत्यक्ष तर्फ चुनाव लड्न चाहने विजय सर्राफ , अरविन्द कुमार गुप्ता र विजय कुमार सिंहको नाम कांग्रेसले सिफारिस गरेको छ। क्षेत्र नम्बर २ को प्रदेशसभा १ बाट प्रत्यक्ष तर्फ विजय कुमार कर्ण , वीरेन्द्रराज कँडेल , राजेश्वर प्रसाद तेली, फुलमहम्मद मिया र साबीत्री पोखरेल तथा क्षेत्र नम्बर २ को प्रदेशसभा २ बाट प्रत्यक्ष तर्फ श्याम पटेल , दिना प्रसाद गुप्ता , रामरुप कुर्मी , श्याम पोखरेल , राजनाथ ठाकुर , प्रेमचन्द दुबे , महम्मद सतार मन्सुरी , प्रमानन्द साह कानु र बैकुण्ठ श्रवस्तवको नाम सिफारिस गरिएको कांग्रेस जिल्ला सचिव कानुले जानकारी दिए । यसैगरि पर्साको क्षेत्र नम्बर ३ को प्रदेशसभा १ बाट प्रत्यक्ष तर्फ असर्फी साह , मनोज यादव , भगवती चौधरी , शैलेन्द्र यादव , ज्ञानेन्द्र मिश्रा र चन्द्रकिशोर प्रसाद र क्षेत्र नम्बर ३ को प्रदेशसभा २ बाट प्रत्यक्ष तर्फ रामनरेश यादव, दिनानाथ प्रसाद, श्रीकृष्ण प्रसाद चौहान , श्याम पटेल , अशोक कुमा गुप्ता र मृतुन्जय श्रीवास्तवको नाम सिफारिस गरिएको छ। यस्तै क्षेत्रनम्बर ४ को प्रदेशसभा १ बाट प्रत्यक्ष तर्फ बृहस्पतिकृष्ण श्रेष्ठ , सहरुम राउत गद्धी , शंकर चौधरी , विश्वराज घिमीरे र श्रीकान्त यादव तथा क्षेत्र नम्बर ४ को २ बाट प्रत्यक्ष तर्फ राजेन्द्र प्रसद कुर्मी , विरेन्द्र कुमार महत्तो केवट , बशिष्ठ नारायण प्रसाद कुर्मी , वीरेन्द्र प्रसाद यादव , श्याम किशोर प्रसाद पटेल , पर्वत ठाकुर , छठु साह तेली , नविन कुमार सिंह , ललीता देवी साह र रम्भा देवीको नाम कांग्रेस केन्द्रिय कार्य समितिमा शुक्रबार सिफारिस गरिएको जिल्ला सचिव कानुले जानकारी दिए। कांग्रेस केन्द्रिय कार्य समितिले स्थानीय तह निर्वाचनमा उम्मेदवार भएकाहरु आसन्न प्रदेशसभा र प्रतिनिधीसभा निर्वाचनमा उम्मेदवार बन्न नपाइने निर्णय गरेको भएपनि पर्साबाट स्थानीय तह निर्वाचनमा उम्मेदवार भइ पराजित भएकाहरुको नाम पनि सिफारिस गरेको छ। स्थानीय तह निर्वाचनमा पोखरीया नगरपालिकाको प्रमुखमा उम्मेदवार भइ पराजित भएका पुर्वसभासद रामेश्वर रौनीयारको नाम क्षेत्र नम्बर ३ बाट प्रतिनिधीसभाको सामानुपातिक तर्फ र जगरनाथपुर गाँउपालिकाको प्रमुखमा उम्मेदवार भइ पराजित भएका श्रीकान्त यादवको नाम क्षेत्र नम्बर ४ को प्रदेशसभा १ बाट प्रत्यक्ष तर्फ सिफारिस गरिएको हो।"
"आईजीपी बन्न सकिन, राजनीति गरेर समाज सुधार गर्छु : सिलवाल","काठमाडौं : पूर्व प्रहरी नायब महानिरीक्षक (डीआईजी) नवराज सिलवालले एमाले प्रवेश गरेसँगै प्रहरीमा अन्यय भोग्नु परेको भन्दै अब राजनीतिको माध्यमबाट समाज सुधारमा लाग्ने बताएका छन्। आफू प्रहरी महानिरीक्षक हुन नसकी अन्याय भोग्नुपरेकाले अब राजनीतिको माध्यमबाट समाज सुधारमा लाग्ने दाबी सिलवालको छ। शुक्रबार बुद्धनगरस्थित क्वालिटी पार्टी प्यालेसमा एमाले प्रवेश गरेपछि पूर्व डीआईजी सिलवालले जब कार्यक्रमलाई सम्बोधन सुरु गरे तब एमाले नेता र कार्यकर्ताको ताली लगातार पाइरहे। सिलवाल एमाले पार्टी प्रवेश कार्यक्रममा एमाले अध्यक्ष ओलीकै गाडीमा कार्यक्रमस्थल पुगेका थिए। लेनिनको भनाइबाट कार्यक्रममा सम्बोधन सुरु गरेका सिलवालको सम्बोधनमा एमाले कार्यकर्ताले तालीले निरन्तर साथ दिएका थिए। सिलवालले आजसम्म राज्यको बफादार सिपाही भएको र अब एमालेको इमान्दार सिपाही हुने दाबी गरे। म हिजोसम्म राज्यको सिपाही थिएँ, अब एमालेको इमान्दार सिपाही भएँ, कार्यक्रममा सिलवालले भने, यो देशको सेवा गर्ने उत्साह अझ बढेको छ, राजनीतिको माध्यमबाट समाज परिवर्तन गर्ने प्रण गर्दछु। सिलवालमाथि प्रहरी संगठनमा नियतबस अन्याय भएको भन्दै एमाले अध्यक्ष ओलीले उनलाई राम्रो जिम्मेवारी दिएर सम्मान गर्ने दाबी गरेका छन्। ओलीले जिम्मेवारीको प्रकृतिबारे भने केही खुलाएनन्।"
वित्तसम्बन्धी दुई विधेयक पारित,"काठमाडौँ: व्यवस्थापिकासंसद्को आजको बैठकले संविधान कार्यान्वयनसँग सम्बन्धित दुई विधेयक पारित गरेको छ। बैठकले 'अन्तरसरकारी वित्त व्यवस्थापन विधेयक' र 'राष्ट्रिय प्राकृतिक स्रोत तथा वित्त आयोग विधेयक' पारित गरेको हो। बैठकमा अर्थमन्त्री ज्ञानेन्द्रबहादुर कार्की संविधानको भावनानुसार स्रोतसाधनको बाँडफाट गर्ने व्यवस्था गरिएको र केन्द्रको सहयोग विषयलाई थप व्यवस्थित गरिएको बताउँदै अन्तरसरकारी वित्त व्यवस्थापन विधेयक पारित गरियोस् भनी प्रस्ताव प्रस्तुत गरेका थिए। छलफलपछि उक्त विधेयक बैठकले बहुमतले पारित गरेको हो। आजै बैठकले वित्त आयोग विधेयक पारित गरेको छ। छलफलमा सांसदले उठाएका प्रश्नको जवाफ दिँदै अर्थमन्त्री कार्कीले संघ, प्रदेश र स्थानीय तहमा प्राकृतिक स्रोत साधन र राजश्व आधारका बाँडफाँट गर्न आयोग गठन अनिवार्य रहेको औँल्याउँदै विधेयक पारित गरिदिन आग्रह गर्नुभएको थियो। बैठकले स्वास्थ्यमन्त्री गिरिराजमणि पोखरेलले, 'राप्ति स्वास्थ्य विज्ञान प्रतिष्ठान विधेयक, २०७४' माथि छलफल गरियोस् भनी प्रस्तुत गरेको प्रस्ताव सर्वसम्मतिले स्वीकृत गरेको थियो। बैठकमा विकास समितिका सभापति रवीन्द्र अधिकारीले विकास समितिको वार्षिक प्रतिवेदन, २०७४' पेश गरेको थियो। गणपूरक संख्या नपुगेपछि स्थगित आवश्यक गणपूरक संख्या नपुगेपछि संसद् बैठक स्थगन भएको छ । बैठकमा 'राष्ट्रपति तथा उपराष्ट्रपतिको निर्वाचनसम्बन्धी विधेयक, २०७४' पारित गर्न छलफल भइरहेका बेला सांसद प्रेम सुवालले गणपूरक संख्याका बारेमा प्रश्न उठाएको थियो । सभामुख ओनसरी घर्तीले तीन मिनेट जनाउ घण्टी बजाएर बैठकको गणपूरक संख्या यकिन गर्न संसद् सचिवालयलाई निर्देशन दिनुभएको थियो। तीन मिनेटको जनाउ घण्टीपछि गणपूरक संख्या ११० मात्रै यकिन भएको थियो। संविधानको धारा ९४ अनुसार कुनै पनि प्रस्ताव निर्णयार्थ पेश गर्न कूल संख्याको एक चौथाइ सदस्य अर्थात् हालको संख्यानुसार १४८ हुनुपर्नेमा गणपूरक संख्या नपुग भएपछि सभामुखले बैठक स्थगन गरेका थियो। संसद्को अर्को बैठक यही असोज २२ गते अपराह्न १ बजे बस्नेछ।"
