शीर्षक,विवरण
बजेट अभ्यास,"गठबन्धन सरकार र त्यसमा पनि फरक राजनीतिक मान्यता र सिद्धान्त बोकेका दलहरू त्यसमा सहभागी भएको अवस्थामा बजेट एउटा अत्यन्त कठिन अभ्यास बन्न जान्छ । त्यससँगै बजेट व्यावहारिक र कार्यान्वयनको लागि तयार गरिनुपर्छ भन्ने मान्यता पनि हुन्छ । राजीनामा गरिसकेको सरकारमा पक्कै पनि जवाफदेहिताको अंश धेरै कम हुन्छ । ऊ जवाफदेही हुनुपर्दैन । त्यस अर्थमा जतिसुकै 'लोकप्रिय' र अव्यावहारिक बजेट पनि उसले ल्याउन सक्ने अवस्था हुन्छ । तर त्यस अर्थमा अर्थमन्त्रीका रूपमा कृष्णबहादुर महराले संसद्मा सोमबार प्रस्तुत गरेको बजेटमा निकै संयम देखियो र अर्थमन्त्रीले त्यस आकारको जवाफदेहीविहीनता र अव्यावहारिकता प्रदर्शन गरेनन् । यति हुँदाहुँदै पनि सत्ता गठबन्धनभित्रैबाट विज्ञहरूले यो बजेटको कार्यान्वयन पक्ष फितलो हुने भविष्यवाणी गरेका छन् । मुलुकको 'विकास' लाई केन्द्रमा राखिएको राष्ट्रिय गौरवका परियोजना र विकास कार्यक्रमले महत्व पाएको बजेट कार्यान्वयनबारे आशंका पैदा हुँदा के विकास बजेट घोषणामै सावित त नहोला ? सबैमा स्वाभाविक चासो र चिन्ता हुनेछ । संघीयता घोषणा भइसकेको, तर त्यहाँ पूर्वाधार शून्य रहेको वर्तमान अवस्थामा बजेटको ठूलो रकम त्यसको लागि छुट्ट्याइएको छ । सरकारी स्कुल सञ्चालन र त्यसको व्ययभारको जिम्मासमेत स्थानीय निकायहरूलाई पछ्याइएको छ । त्यसले उत्पन्न गर्ने द्विविधा र विवाद आउने दिनमा सरकार र राजनीतिक दलहरूले कसरी सम्बोधन गर्लान् ? त्यो भोलिको दिनको चुनौती हो । १२ खर्ब ७८ अर्ब रकमको बृहत् आकारको बजेट या वैदेशिक ऋण र अनुदानले सामान्य जसरी नै २५ प्रतिशत रकम ओगटेको छ, तर सबभन्दा ठूलो रकम अर्थात् एक खर्ब ४५ अर्ब पुनर्निर्माणको लागि छुट्ट्याइएको छ, जुन सम्भवतः बाह्य सहयोगको लागि अर्को प्रवेश द्वार हुनेछ । बजेट प्रस्तावको कार्यान्वयन नै त्यसको औचित्य र सान्दर्भिकता पुष्टिको कसी सावित हुने गर्छ । राष्ट्रिय गौरवका आयोजनाहरूमा कर्मकाण्डी हिसाबले पहिलेजसरी र पहिलेजति नै रकम छुट्ट्याइएको छ, चिन्ता र प्राथमिकतामा निरन्तरताको मनोवैज्ञानिक सन्देश दिन । तर विगतकै जस्तो कार्यान्वयन पक्षको शून्यताले बजेटको औचित्य कमजोर नपार्ला भन्ने झीनो आशा यसपटक पलाउनुको एउटै फरक कारण छ ः फास्ट ट्र्याक निर्माणको ठेक्का (काठमाडौं जितपुर) विधिवत् रूपमा नेपाली सेनालाई दिइएको छ । तर १२०० मेगावाट बूढीगण्डकीको गेजुवालाई दिइएको ठेक्का र आगामी सात वर्षमा १७ हजार मेगावाट बिजुली उत्पादनको महत्वाकांक्षी घोषणाले मात्र 'उज्यालो यात्रा' अगाडि बढ्दैन । भ्रष्टाचार, कमिसनखोरी र निर्माणमा ढिलाइ जस्ता महारोगले ती घोषणालाई निरर्थक बनाउने प्रबल सम्भावना यथावत् नै छ । त्यसैले बजेटको अनुहार कर्मकाण्डी हुँदाहुँदै पनि आगामी सरकारले त्यसलाई अपेक्षित ढंगमा कार्यान्वयनतर्फ लैजान सकेमा विकास प्राथमिक चासो बन्न सक्ने सम्भावना यसले बोकेको छ ।"
विदेशबाट फर्किएर उपाध्यक्षमा उम्मेदवारी,तम्घास: वैदेशिक रोजगारका लागि विदेश गएकी गुल्मीकी एक महिला स्वदेश फर्किएपछि गाउँपालिकाको उपाध्यक्षमा उम्मेदवार बनेकी छन्। गुल्मी इस्मा गाउँपालिका१ हस्तिचौरकी ३६ वर्षीया विमला खत्री नेकपा (एमाले)का तर्फबाट ईस्मा गाउँपालिकाको उपाध्यक्षमा उम्मेदवार बन्नुभएको हो। दुई वर्षअघि साइप्रस पुगेकी विमला नेपालमा स्थानीय तहको चुनाव घोषणापछि उम्मेदवार दिनका लागि महिनाअघि स्वदेश फर्किनुभएको थियो। स्वदेश फर्किएसँगै नेकपा (एमाले) जिल्ला कमिटी गुल्मीले विमलालाई सर्वसम्मत इस्मा गाउँपालिकाको उपाध्यक्षमा उम्मेदवार बनाउने निर्णय गरेको छ। विमलाले गाउँको विकास र महिलाका हक र अधिकारका लागि आफूले उम्मेदवारी दिएको भन्दै मत माग्न थाल्नुभएको छ। रासस
नयाँ सरकारमा राजपा पनि : सञ्चारमन्त्री कार्की,"दमक : सूचना तथा सञ्चारमन्त्री सुरेन्द्रकुमार कार्कीले राष्ट्रिय जनता पार्टी (राजपा) लाई नयाँ बन्ने सरकारमा सहभागी गराउने प्रयास भइरहेको बताउनु भएको छ। बुधबार झापाको कमल गाउँपालिकामा माओवादी केन्द्रले गरेको उम्मेद्वारी घोषणा कार्यक्रमलाई सम्बोधन गर्दै कार्कीले राजपालाई पनि दोश्रो चरणको निर्वाचनमा सहभागी गराउने प्रयास भइरहेको जानकारी गराउनु भएको हो। हामी सबैको सहमतीमा स्थानीय तहको दोश्रो निर्वाचन गछौं, सञ्चारमन्त्री कार्कीले भन्नुभयो, त्यसका लागि नै निर्वाचनको मिति सारेका हौँ, यो निर्वाचनमा राजपाले पनि सहभागिता जनाउँछ। मन्त्री कार्कीले माओवादीमा राजनीतिक इमान्दारिता भएको भन्दै सहमति अनुसार प्रधानमन्त्री पुष्पकमल दहाल प्रचण्ड ले राजीनामा दिएको उल्लेख गर्नुभयो । राजीनामा पछि अब कांग्रेस माओवादी गठबन्धनको अर्को सरकार बन्ने र त्यसमा राजपा पनि सहभागी गराउन पहल जारी राख्ने उहाँको भनाइ छ। स्थानीय तहको संख्या थप्दा एमाले नमान्ने र नथप्दा राजपाले अड्को थाप्ने भएकाले अहिलेको सरकारलाई निक्कै समस्या परेको उहाँले बताउनुभयो। सञ्चारमन्त्री कार्कीले एमाललेलाई कटक्ष गर्दै जनतालाई हावाका कुरा गर्दै झुक्याएर राजनीति नचल्ने दाबी गर्नुभयो। मन्त्री कार्कीले काम गर्ने पार्टीलाई स्थानीय तहको निर्वाचनमा जिताउन जनता समक्ष आग्रह गर्नु भएको छ।"
जित र हारका पाँच कारण पठाउन एमालेको निर्देशन,"काठमाडौ : स्थानीय तहको पहिलो चरणको निर्वाचनमा सबै भन्दा बढी एक सय २४ स्थानीय तहमा आफनो नेतृत्वलाई विजयी गराएको नेकपा एमालेले दोस्रो चरणको स्थानीय तहको निर्वाचनको तयारीमा आफूलाई केन्द्रित गरेको छ । एमालेले पहिलो चरणको निर्वाचनमा जित्नुका पाँच र हार्नुका पाँच कारण स्थानीय तहबाट मगाएर दोस्रो चरणको निर्वाचनको रणनीति बनाउन खोजेको छ । पहिलो चरणको निर्वाचनमा बिजय हासिल गरेका जनप्रतिनिधिहरुका लागि एमालेले पठाएको बिशेष निर्देशनमा जित्नु र हार्नुको काण पठाउन माग गरिएको छ । निर्वाचनमा सफलता या असफलताका लागि आधार तथा कारणहरुको व्यवस्थित समिक्षा निकै महत्वपूर्ण हुने र यसले दोस्रो चरणको निर्वाचनका लागि सन्दर्भ सामग्रीको काम गर्ने हुनाले जेठ २५ गते भित्र बिजय हासिल भएका स्थानमा सफलताका पाँच मुख्य आधार तथा पराजित भएका स्थानमा पराजयका पाँच मुख्य कारणहरु उल्लेख गरेर केन्द्रीय सचिवालयमा पठाउनुहुनेछमहासचिव इश्वर पोखरेलले पठाएको बिशेष निर्देशनमा भनिएको छ । स्थानीय सरकारका लागि सबै कानूनहरु ६ महिना भित्र बनाइसक्ने गरी काम शुरु गर्न, पाँच बर्षे योजना अनुरुप सरकारले पहिलो बर्ष,दोस्रो बर्ष हुँदै पाँच बर्षभित्र गर्ने कामको फेहरिस्त तयार गर्ने, र त्यस अनुसार नै कार्यक्रमको प्राथमिकीकरण गर्ने र बार्षिक कार्यक्रम तथा बजेट तयार गर्न एमालेले निर्देशन दिएको छ । आफनो क्षेत्रमा देखा पर्न सक्ने जोखिमहरुको आँकलन गर्ने र त्यसको न्यूनीकरण गर्ने कार्यलाई योजनाबद्ध रुपमा कार्यान्वयन गर्न पनि एमालेले निर्देशन दिएको छ । आफनो क्षेत्रको भू उपयोग सम्बन्धी अध्ययन गरी गराई कुन क्षेत्र के प्रयोजनका लागि उपयोग गर्ने हो,त्यसको निक्र्यौल ६ महिना भित्र गरिसक्न,त्यसैका आधारमा आवास, कार्यालय,व्यवसाय,निर्माण,सार्वजनिक स्थान आदिका लागि अनुमति दिन निर्देशन दिइएको छ । यस्तो छ एमालेको बिशेष निर्देशन"
एउटै गाउँपालिकामा ५ उम्मेदवारको नाम पदमबहादुर बुढा,"मंगलसेन : यस पटकको स्थानीय तहको निर्वाचनमा अछाममा एउटै नामको व्यक्ति उम्मेदवार बन्ने क्रम बढेको छ । मेल्लेख गाउँपालिका वडा नम्बर ८ को हत्तिकोटमा प्रमुख तीन दलका वडा अध्यक्षका उम्मेदवार खगेन्द्रबहादुर साउद नामका बनेको खबर बाहिर आएसँगै अछामकै अर्को तुर्माखाँद गाउँपालिकामा पनि यस्तै भेटिएको छ । तुर्माखाँद गाउँपालिकाको प्रमुख पदमा तीन दलले टिकट दिएका व्यक्ति, वडा नम्बर ३ भैरवस्थानको वडा अध्यक्ष तथा वडा सदस्य गरी पाँच उम्मेदवारको नाम पदमबहादुर बुढा भएको खुलेको छ। नेकपा एमालेले तुर्माखाँद गाउँपालिकाको प्रमुखमा २०५४ को स्थानीय निर्वाचनमा भैरवस्थान गाविसबाट अध्यक्ष निर्वाचित पदमबहादुर बुढालाई नै टिकट दिएको छ । यस्तै राष्ट्रिय प्रजातन्त्र पार्टीले पनि गाउँपालिका प्रमुखमा २०५४ को निर्वाचनमा जिल्ला विकास समितिको सदस्यमा निर्वाचति पदमबहादुर बुढालाई नै टिकट दिएको छ । अर्को दल नेपाल मजदुर किसान पाटीले पनि भैरवस्थानकै पदमबहादुर बुढालाई नै गाउँपालिका प्रमुखको टिकट दिएको छ। यस्तै नेकपा एमालेले भैरवस्थान वडाको अध्यक्ष पदको उम्मेदवारमा पनि पदमबहादुर बुढालाई नै टिकट दिएको छ । सोही वडाको वडा सदस्य पदमा नेपाली कांग्रेसले टिकट दिएका खुल्लातर्फका सदस्यका उम्मेदवारको नाम पनि पदमबहादुर बुढा नै रहेको छ । तुर्माखाँद गाउँपालिकामा नेपाली कांग्रेसबाट प्रमुख पदमा टिकट पाउने प्रवल सम्भावनामा रहेका व्यक्ति तथा कांग्रेस र माओवादी केन्द्र दुबै दलले भैरवस्थान वडामा वडा अध्यक्ष पदमा टिकट दिएका तीन वटै उम्मेदवारको नामको पहिलो अक्षर पनि प बाट नै आउने छ । कांग्रेसबाट गाउँपालिका प्रमुख पदका लागि युवा नेता पुष्पराज शर्माले टिकट पाउने प्रवल संभावना देखिन्छ । यस्तै कांग्रेसले भैरवस्थानको वडा अध्यक्षमा प्रकाश बुढा तथा नेकपा माओवादी केन्द्रले सोही वडामा टिकट दिएका उम्मेदवारको नाम प्रेम बुढा छ ।"
वीरगन्ज र विराटनगरलाई महानगरपालिका बनाउने सरकारको निर्णय !,काठमाडौं: सरकारले विराटनगर र वीरगन्जलाई महानगरपालिका बनाउने निर्णय गरेको छ। मन्त्रिपरिषद्को बुधबारको बैठकले विराटनगर र वीरगन्ज उपमहानगरलाई महानगरमा स्तरोन्नति गर्ने निर्णय गरेको हो। यी दुई उपमहानगरलाई महानगर बनाउँदा यसअघि कायम रहेको सीमा र वडा संख्यालाई नचलाउने गरी निर्णय गरिएको छ। यसअघि सर्वोच्च अदालतले दिएको स्थानीय तहको संख्या बढाउने सरकारको निर्णय बदर गर्ने अन्तरिम आदेशअनुसार संख्या नबढ्ने गरी महानगर मात्रै घोषणा गरिएको हो। सरकारले यसअघि तराईमधेसमा २२ स्थानीय तह थप्नुका साथै विराटनगर र वीरगन्ज महानगर र २४ गाउँपालिकालाई नगरपालिकामा स्तरोन्नति गरेको थियो।उक्त निर्णय सर्वोच्चले अन्तरिम आदेशमार्फत रोकेको छ।
दोस्रो चरण निर्वाचनको नयाँ कार्यतालिका प्रकाशित,"काठमाडौँ: निर्वाचन आयोगले दोस्रो चरणको स्थानीय तह निर्वाचनको नयाँ निर्वाचन कार्यक्रम आज प्रकाशित गरेको छ। सरकारले दोस्रो चरण निर्वाचनको मिति परिवर्तन गरी आगामी असार १४ गते बुधबार गर्ने निर्णय गरेअनुसार निर्वाचन आयोगको आजको बैठकले नयाँ निर्वाचन कार्यक्रम तय गरेको हो। निर्वाचन हुन बाँकी प्रदेश नं १, २, ५ र ७ का ४३ जिल्ला (रुकुम र नवलपरासीसमेत) गरी ४६१ स्थानीय तहमा आगामी असार २ गते उम्मेदवारको मनोनयन दर्ता गर्ने, असार ५ गते उम्मेदवारलाई निर्वाचन चिह्न प्रदान गर्ने र असार १४ गते बुधबार बिहान ७ बजेदेखि अपराह्न ५ बजेसम्म मतदान कार्यक्रम सञ्चालन गर्ने कार्यक्रम तय गरिएको आयोगका सहसचिव एवम् प्रवक्ता सूर्यप्रसाद शर्माले आज जारी गर्नुभएको प्रेस विज्ञप्तिमा उल्लेख गरिएको छ। यसअघि २०७४ जेठ ३१ गते दोस्रो चरणको निर्वाचन गर्ने सरकारको निर्णयानुसार आयोगले जेठ १९ देखि सुरु हुने गरी तालिका प्रकाशन गरेको थियो। सरकारको नयाँ निर्णयानुसार असार २ गतेदेखि सुरु हुने नयाँ निर्वाचन तालिका प्रकाशन गरिएको हो। रासस"
राजपाको आन्दोलन फिर्ता,"काठमाडौं : शीर्ष नेताहरूले भारतीय राजदूत मञ्जीवसिंह पुरीलाई भेटेको २४ घन्टा नबित्दै राष्ट्रिय जनता पार्टीले यसअघि घोषणा गरेको निर्वाचन बहिष्कारजस्ता कार्यक्रमहरू फिर्ता लिएको छ । राजपाको बुधबार बसेको बैठकले लिएको यस्तो निर्णयलाई ऊ दोस्रो चरणको निर्वाचनमा सहभागी हुनसक्ने संकेतका रूपमा हेरिएको छ । यसअघि राजपाले दोस्रो चरणको स्थानीय निर्वाचनका लागि उम्मेदवार मनोनयन गर्ने दिनमा आमहडताल आह्वान गरेको थियो । सरकारले दोस्रो चरणको निर्वाचन असार १४ गतेका लागि सारेपछि राजपाले आमहडतालजस्ता विरोधका कार्यक्रम फिर्ता लिएको हो । राजपाका महासचिव केशव झाले उम्मेदवार मनोनयन हुने दिनका लागि आह्वान गरिएको आमहडताल कार्यक्रम तत्कालका लागि स्थगन गरिएको जानकारी दिनुभयो । उम्मेदवारी मनोनयन कार्यक्रम अवरुद्ध गर्न आमहडताल आह्वान गरेका थियौं, चुनाव मिति सरेपछि हडताल स्थगन गरिएको हो, झाले भन्नुभयो । राजपाले गाउँपालिका, नगरपालिका, उपमहानगरपालिका, महानगरपालिकामा अन्तरक्रिया गरी आन्दोलनबारे जागरण गराउने, ती निकायमा विरोधसभा गर्ने, मधेसथरुहटलिम्बुवान क्षेत्रमा चक्काजाम गर्नेजस्ता कार्यक्रम तय गरेको छ । यसअघि मंगलबार राजदूत पुरीले राजपाका शीर्ष नेताहरूलाई स्थानीय निर्वाचनमा जान सुझाव दिनुभएको थियो । लैनचौरस्थित भारतीय राजदूतावास पुगेका राजपाका अध्यक्ष महन्थ ठाकुर, नेता राजेन्द्र महतो, शरत्सिंह भण्डारी, महेन्द्रप्रसाद यादव र अनिलकुमार झालाई मंगलबार राजदूत पुरीले यस्तो सुझाव दिनुभएको हो । राजदूत पुरीले राजपा नेताहरूसँग दोस्रो चरणको स्थानीय चुनावमा सहभागिताबारे जिज्ञासा राख्नुभएको थियो । तपाईंहरू स्थानीय निर्वाचनमा के गर्दै हुनुहुन्छ भन्ने मेरो जिज्ञासासम्म हो, कुनै निर्देशन वा तपाईंहरूको काम कारबाहीमा कुनै प्रकारको सुझाव दिनु होइन', भेटमा राजदूत पुरीले राखेको धारणा उद्धृत गर्दै सहभागी एक नेताले अन्नपूर्णलाई जानकारी दिए । राजदूत पुरीले राजपा नेताहरूलाई भेटेलगत्तै प्रधानमन्त्री पुष्पकमल दाहाल र कांग्रेस सभापति शेरबहादुर देउवासँग पनि छलफल गर्नुभएको ती नेताले बताए । भारतीय राजदूत पुरीसँग करिब दुई घन्टा भएको छलफलमा राजपाका शीर्ष नेताहरूले आफूहरू स्थानीय निर्वाचनविरोधी नभए पनि सत्ता पक्षले ०६४ फागुनमा गरेको आठ बुँदे सम्झौता एवं गत साउनमा भएको तीन बुँदे सम्झौता कार्यान्वयन नगरेकाले आफूहरू आन्दोलनमा जान बाध्य भएको बताएका थिए । भेटमा राजपा नेताहरूले निर्वाचन मिति सारिनु नौलो कुरा नभएको उल्लेख गर्दै आफूहरूको प्रमुख चासो सहमति कार्यान्वयन नै भएको औंल्याएका थिए । संविधान संशोधन, जनसंख्याका आधारमा निर्वाचन क्षेत्र निर्धारण र झुटा मुद्दा खारेज नभएसम्म निर्वाचनमा जान नसक्ने आफूहरूको बटमलाइन राजदूत पुरीलाई स्मरण गरायौं, ती नेताले भेटबारे जानकारी दिँदै भने । मधेस आन्दोलनका क्रममा भएको जनधनको क्षति, राहत र उद्धारका लागि पनि संविधान संशोधन अपरिहार्य रहेकोमा मधेसी नेताले जोड दिएका थिए । राजपा नेता एवं सांसद नरसिंह चौधरीले राजपा नेताहरूले राजदूत पुरीसँग मधेस र मधेसीको मागमा सरकार गम्भीर नभएकाले आफूहरू चुनावमा सहभागी हुन नसकेको धारणा व्यक्त गरेको जानकारी दिनुभयो । उहाँले अन्नपूर्णसँग भन्नुभयो, राजदूत पुरीले हामीलाई चुनावमा सहभागी हुन आग्रह गर्नुभयो ।'"
काठमाडौंका जनप्रतिनिधिले गरे शपथग्रहण,"काठमाडौँ : काठमाडौँ महानगरपालिकाको नवनिर्वाचित प्रमुख, उपप्रमुख र वडा अध्यक्षहरुले पद तथा गोपनीयताको शपथग्रहण गर्नुभएको छ। काठमाडौँ महानगरपालिकाले आज यहाँ आयोजना गरेको प्रमाणपत्र वितरण एवम् शपथग्रहण समारोहमा प्रमुख पदमा निर्वाचित विद्यासुन्दर शाक्य, उपप्रमुख हरिप्रभा खड्गी श्रेष्ठ र ३२ वटै वडाका वडा अध्यक्षले शपथग्रहण गर्नुभएको हो। प्रमुख र उपप्रमुखलाई कामपाको मुख्य निर्वाचन अधिकृत दीपेन्द्र अधिकारीले र वडा अध्यक्ष र सदस्यहरुलाई प्रमुख शाक्यले पद तथा गोपनीयताको शपथग्रहण गराउनुभएको हो। प्रमुख, उपप्रमुख दुवै जनाले नेपाली र नेपाल भाषामा शपथ लिनुभएको छ। कार्यक्रममा प्रमुख शाक्यले निर्वाचनअघि जनतालाई दिएको वचन पूरा गर्नका लागि सबै दलसँग मिलेर काम गर्ने बताउनुभएको छ। उहाँले सुन्दर, समृद्ध र जीवित महानगर स्थापित गर्नु नै आफ्नो कार्यकालको प्रमुख काम रहेको बताउँदै महानगरलाई हेर्नलायक मात्र होइन, बस्नलायक बनाउने प्रतिबद्धता व्यक्त गर्नुभयो। उपप्रमुख खड्गीले राजधानीलाई बस्नयोग्य बनाउनु आफ्नो पहिलो कार्य रहेको भन्दै कामपामा रहेका धार्मिक सम्पदाको संरक्षण गरी पर्यटकीयस्थल बनाउन सबै नगरवासीसँगको सहकार्य निरन्तर आवश्यक पर्नेमा जोड दिनुभयो। कामपाको मुख्य निर्वाचन अधिकृत अधिकारीले निर्वाचनको अवधिभर सहयोग गर्नुहुने सबैलाई धन्यवाद दिँदै नवनिर्वाचित जनप्रतिनिधिलाई सफल कार्यकालको शुभकामना दिनुभयो। कामपाका प्रमुख कार्यकारी अधिकृत ईश्वरराज पौडेलले महानगरवासीको सुन्दर सपना पूरा गर्नका लागि नगरवासीले जनप्रतिनिधि चुनेको हुनाले सोहीअनुरुप कार्य गर्न आवश्यक रहेको धारणा व्यक्त गर्नुभयो। नवनिर्वाचित प्रमुख उपप्रमुखले आजै पदभार ग्रहण गर्नुहुने छ र त्यसपछि नगरसभाको पहिलो बैठक बस्नेछ। रासस"
निर्वाचनअघि प्रधानमन्त्री नफेरौं,"काठमाडौं : राष्ट्रपति विद्यादेवी भण्डारीले निर्वाचनको बीचमा प्रधानमन्त्री फर्ने कार्य नगर्न संसद्मा प्रतिनिधित्वि गर्ने दलहरूलाई सुझाव दिनुभएको छ । उहाँले भन्नुभयो, स्थानीय तहको पहिलो र दोस्रो चरणको निर्वाचनका बीचमा प्रधानमन्त्री बदल्ने कार्य ठीक भएन । एउटै प्रधानमन्त्रीले एकै किसिमको निर्वाचन गर्दा राम्रो हुन्छ । राष्ट्रपति भण्डारीले बुधबार राष्ट्रपति भवन शीतल निवासमा आयोजना गर्नुभएको सर्वदलीय बैठकमा भन्नुभयो, राष्ट्रिय मुद्दामा दलबीच एकता अपरिहार्य छ । चुनावमा तपाईंहरू दलीय नेतृत्व गर्नुहोस् तर राष्ट्रिय मुद्दामा दल होइन, राष्ट्र र जनता हुनुपर्छ । कांग्रेस सभापति शेरबहादुर देउवा, एमाले अध्यक्ष केपी शर्मा ओली, माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल, राष्ट्रिय प्रजातन्त्र पार्टीका अध्यक्ष कमल थापा, राष्ट्रिय जनता पार्टीका नेता राजेन्द्र महतो, फोरम लोकतान्त्रिकका अध्यक्ष विजयकुमार गच्छदार, राष्ट्रिय जनमोर्चा नेपालका अध्यक्ष चित्रबहादुर केसी, नेपाल मजदुर किसान पार्टीका नेता प्रेम सुवाललगायत नेतामाझ राष्ट्रपतिले भन्नुभयो, दलहरूले राष्ट्रिय मुद्दालाई उच्च प्राथमिकता दिनै पर्छ । राष्ट्रपतिको भनाइ उद्धृत गर्दै नेमकिपाका नेता सुवालले अन्नपूर्णसँग भन्नुभयो, तपाईंहरूलाई सहमतिको सरकार गठन गर्न आजै (बुधबार) राति १२ बजेसम्मको सयम सीमा दिएको छु । मलाई आशा छ, तपाईंहरू एक हुनुहुनेछ । कदाचित सहमतीय सरकार गठनका लागि एक हुन नसके पनि राष्ट्रिय मुद्दामा आगामी दिन एक हुँदै अघि बढ्नुहुनेछ । स्थानीय तहको पहिलो र दोस्रोे चरणको निर्वाचनका बीचमा दुई प्रधानमन्त्री ठीक भएन । एउटै प्रधानमन्त्रीले निर्वाचन गराउनु राम्रो हुन्छ। यसले दलबीच एकता र प्रजातान्त्रिक अभ्यासले गतिसमेत लिन्छ, सुवालले राष्ट्रपतिको भनाइ उद्धृत गर्दै भन्नुभयो । राष्ट्रपति भण्डारीले सहमतिको सरकार गठनका लागि दिएको समयलाई सदुपयोग गर्न नेताहरूलाई आग्रह गर्नुुभएको उहाँका प्रमुख स्वकीय सचिव भेषराज अधिकारीले जानकारी दिनुभयो । मुलुकको अवस्था ख्याल गरेर सहमतिको सरकार गठन गर्नुहोस्, राष्ट्रिय सहमतिको सरकार गठन नभए बिहीबारबाट बहुमतीय प्रक्रिया सुरु हुन्छ राष्ट्रपति भण्डारीलाई उद्धृत गर्दै स्वकीय सचिव अधिकारीले जानकारी दिनुभयो । प्रधानमन्त्री दाहालले राजीनामा दिएपछि राष्ट्रपतिले सात दिनभित्र सहमतीय सरकार गठन गर्न आह्वान गर्नुभएको थियो । राष्ट्रपतिको आह्वानको समयसीमा बुधबार सकिँदै छ । यो म्यादभित्र सहमतीय सरकार बन्न नसके संविधानले व्यवस्थापिकासंसद्को तत्काल कायम रहेका सदस्य संख्याको बहुमतका आधारमा प्रधानमन्त्री निर्वाचन गर्ने व्यवस्था गरेको छ । सर्वदलीय बैठकमा कांग्रेस सभापति देउवाले आफूले सहमतीय सरकार गठनका लागि छलफल गर्न मंगलबार बोलाएको बैठकमा एमाले सहभागी नभएको गुनासो गर्नुभएको थियो । प्रधानमन्त्री एवं माओवादी केन्द्रका अध्यक्ष दाहालले देउवाको गुनासोमा जवाफ दिँदै भन्नुभयो, मैले त हिजै पनि भनेको थिएँ, प्रमुख प्रतिपक्ष एमालेलाई हिजोको बैठकमा बोलाउने कांग्रेसको तरिका नै भएन । कांग्रेसले आफ्ना सभापति देउवाको नेतृत्वमा सहमतीय सरकार गठन गर्ने जनाउँदै छलफलमा आउन एमालेलाई पत्र लेखेको थियो । एमाले व्यक्ति पहिल्यै तोकेर सहमति खोज्ने बैठकमा सहभागी नहुने भन्दै अनुपस्थित भएको थियो । राष्ट्रपति भण्डारीसँगको छलफलमा फोरम लोकतान्त्रिकका अध्यक्ष एवं उपप्रधानमन्त्री गच्छदार र राप्रपा नेपालका अध्यक्ष थापाले सहमतीय सरकार गठन गर्न आफूहरू सहयोगी नै रहेको तर सहमति नभए पनि प्रतिपक्षमै बसेर संविधान कार्यान्वयन र मुलुकको हितमा सहयोग गर्न तयार रहेको बताउनुभएको थियो । नेमकिपाका नेता सुवाल, राष्ट्रिय जनमोर्चाका अध्यक्ष केसी र नेकपा मालेका महासचिव सिपी मैनालीले पनि ठूला दलबीच सहमति हुन सके आफूहरू तयार रहेको धारणा व्यक्त गर्नुभएको थियो । राजपाका नेता राजेन्द्र महतोले निर्वाचन सार्नु मात्र पर्याप्त नहुने धारणा व्यक्त गर्दै मधेसका माग पूरा गर्न संविधान संशोधन गर्नुपर्नेमा जोड दिनुभएको थियो ।"
