शीर्षक,विवरण
"दैलेखमा एमाले र कांग्रेस कार्यकर्ताबीच झडप, दुई जना घाइते",सुर्खेत: दैलेखको चामुण्डा विन्द्रासैनीमा झडप हुँदा दुई जना घाइते भएका छन् । एमालेका तर्फबाट उपमेयरमा निर्वाचित तारा शाहीसहितको टोलीले विजय जुलुस मनाइरहँदा कांग्रेस कार्यकर्ताले आक्रमण गरेपछि दोहोरो झडप भएको हो । बुधवार साँझ भएको उक्त झडपमा दुई जना घाइते भएका हुन् । झडपमा परी घाइते भएका योगेन्द्र शाही र मदन शाहीको अहिले स्थानीय मेडिकलमा उपचार भइरहेको छ । योगेन्द्र एमाले कार्यकर्ता हुन भने मदन स्थानीय शिक्षक हुन् । एमालेको विजय जुलुस अगाडि बढी रहेको बेला लुकेर बसेका कांग्रेस कार्यकर्ताले एकाएक आक्रमण गरेको एमालेले जनाएको छ । त्यसपछि दोहोरो झडप भएको थियो । स्थानीय बुडेली बजारमा भएको उक्त झडपपछि अवस्था तनावपुर्ण बनेको थियो । करिब एक घण्टाको पैदल दुरीमा रहेको प्रहरी चौकीबाट पुगेको सुरक्षाकर्मीको टोलीले झडपलाई नियन्त्रणमा लिएको हो । सम्भावित झडप रोक्नका लागि त्यहाँ थप सुरक्षाकर्मी परिचालन गरिएको जिल्ला प्रहरी कार्यालय दैलेखले जनाएको छ । गाउँमा पुनः एमाले र कांग्रेसबीच झडप हुनसक्ने भन्दै स्थानीय बासिन्दा त्रसित बनेका छन् । उपमेयरमा निर्वाचित तारा शाहीमाथि आक्रमण गर्ने प्रयास भए पनि आफ्ना कार्यकर्ताले जोगाएको एमालेले दाबी गरेको छ । यता प्रहरीले भने घटनास्थलमा तनाव भए पनि अवस्था नियन्त्रणमा आइसकेको जनाएको छ । मत परिणाम सार्वजनिक हुँदै गर्दा दैलेखमा दलहरुबीच दोहोरो झडप हुनेक्रम बढेको छ । यसअघि सोमवार राती जिल्लाको नारायण नगरपालिकामा पनि कांग्रेस र एमालेका कार्यकर्ताबीच घण्टौंसमम दोहोरो झडप भएको थियो । उक्त घटनापछि स्थानीय प्रशासनले सदरमुकाममा रातको समयमा निषेधाज्ञा जारी गरेको थियो । चामुण्डा विन्द्रासैनी नगरपालिकामा एमालेले विजय हासिल गरेको छ ।
सल्यानको बागचौर नगरपालिकामा माओवादी केन्द्र विजयी,"सल्यानः सल्यानको बागचौर नगरपालिकाको प्रमुख र उपप्रमुखमा नेकपा माओवादी केन्द्र विजयी भएको छ। १ हजार ४ सय ४१ को फराकिलो मत अन्तरले माओवादी केन्द्रका लोकमान बुढाथोकी नगरपालिकाको प्रमुखमा विजयी हुनु भएको हो। बुढाथोकीले ५ हजार १ सय २१ मत प्राप्त गर्नु भएको छ भने उहाँका निकटतम प्रतिद्वन्द्वी एमालेका लोकबहादुर डाँगीले ३ हजार ६ सय ८० मत प्राप्त गर्नु भएको थियो। त्यस्तै, अर्का उम्मेदवार कांग्रेसका गोरखबहादुर खत्रीले ३ हजार ५ सय ६५ मत प्राप्त गर्नु भयो। यस्तै, उपप्रमुखमा माओवादी केन्द्रकै कल्पना पुन मगरले एमालेकी ओकाकुमारी खत्रीलार्ई १ हजार ६ सय २५ को फराकिलो मतले पराजित गर्दै जित हात पार्नु भएको छ। उहाँले ५ हजार २ सय १५ मत प्राप्त गर्नु भएको छ भने प्रतिद्वन्द्वी खत्रीले ३ हजार ५ सय ९० मत प्राप्त गर्नु भएको छ। त्यस्तै, अर्की उम्मेदवार कांग्रेसकी मेनका चन्दले ३ हजार ४ सय ९६ मत प्राप्त पाउनु भएको छ । १२ वटा वडा रहेको बागचौर नगरपालिकामा८ वटा वडा माओवादी केन्द्रले, २ वटा वडा एमाले र २ वटा वडामा कांग्रेसले विजय हासिल गरेका छन्।"
कुमाखमालिका६ मा माओवादी केन्द्रका विरबल लामिछाने विजयी,सल्यानः सल्यानको कुमाखमालिका गाउँपालिका वडा नम्बर ६ मा नेकपा माओवादी केन्द्रको प्यानलै विजयी भएको छ। कुमाख मालिका गाउँपालिकाको वडा ६ को अध्यक्षमा माओवादी केन्द्रका उम्मेदवार विरबल लामिछाने ६२१ मतका साथ विजयी हुनु भएको हो। उक्त वडामा लामिछानेको प्यानलै विजयी भएको छ।
जाजरकोटको माओवादी आधार क्षेत्रमा एमाले विजयी,"जाजरकोट: सबैले चासोका साथ हेरेको जाजरकोटको भेरी नगरपालिकाको मेयर र उपमेयरमा एमालेले जितेको छ। जिल्ला सदरमुकाम समेत रहेको यो नगरपलिकाको मेयरमा सीपी घर्ती मगर विजयी हुनुभएकाे छ। उहाँले ४ हजार २ सय ९२ मत ल्याएर विजयी हुनु भएकाे हाे। उहाँका निकटतम प्रतिद्वन्द्वी काँग्रेसका सनतकुमार कार्कीले ३ हजार ७ सय ८६ मत पाउनु भएकाे छ। त्यस्तै, उपमेयरमा एमालेकै भावना भण्डारीले ४ हजार ६४ मत ल्याएर विजयी हुनु भएकाे छ। उहाँका निकटतम् प्रतिद्वन्द्वी नेकपा माओवादी केन्द्रकी कृष्णा शर्माले ३ हजार ५ सय ४ मत प्राप्त गरेकी छिन्। १३ वटा वडा रहेको यस नगरपालिकामा ६ वटामा काँग्रेस, ५ वटामा एमाले र दुई वटामा माओवादी केन्द्रका उम्मेदवार प्यानलसहित विजयी भएका छन्। भेरी नगरपालिकाका वडामा विजयी भएकाहरू: वडा नं १ को वडा अध्यक्षमा दीपक राना (माओवादी केन्द्र) वडा नं २ को वडा अध्यक्षमा कालीबहादुर वली (नेपाली काँग्रेस) वडा नं ३ को वडा अध्यक्षमा लिलाबहादुर शाह (नेपाली काँग्रेस) वडा नं ४ को वडा अध्यक्षमा खम्बजंग शाह (नेपाली काँग्रेस) वडा नं ५ को वडा अध्यक्षमा श्यामलाल जैसी (माओवादी केन्द्र) वडा नं ६ को वडा अध्यक्षमा शशिराम बुढा (नेपाली काँग्रेस) वडा नं ७ को वडा अध्यक्षमा चन्द्रबहादुर शाही (एमाले) वडा नं ८ को वडा अध्यक्षमा कर्णबहादुर कार्की (एमाले) वडा नं ९ को वडा अध्यक्षमा धुव्र पौडेल (एमाले) वडा नं १० को वडा अध्यक्षमा ठगेन्द्र राना (नेपाली काँग्रेस) वडा नं ११ को वडा अध्यक्षमा लक्ष्मी आचार्य (नेपाली काँग्रेस) वडा नं १२ को वडा अध्यक्षमा निमबहादुर भनारी (एमाले) वडा नं १३ को वडा अध्यक्षमा गोपाल बटाला (एमाले)"
"भक्तपुरमा ९ वटा वडाको परिणाम सार्वजनिक: नेमकिपा ४, कांग्रेस ४ र एमाले १ मा विजयी","भक्तपुर: भक्तपुरका तीन नगरपालिकामा जारी मत गणनाअनुसार नौवटा वडाको परिणाम टुंगिएको छ। जसमा नेपाल मजदुर किसान पार्टी र नेपाली कांग्रेसले समान चारचार र नेकपा एमालेले एउटा वडामा अध्यक्ष जितेका छन्। नेमकिपाले भक्तपुर नपाको १, २, ३ र ४ वडामा वडा अध्यक्षसहित प्यानलै जितेको छ ।नेपाली कांग्रेसले मध्यपुर थिमि नपाको १,र ३ तथा सूर्यविनायक नपाको २ वडामा अध्यक्षसहित प्यानलै जितेको हो भने मध्यपुर थिमि नपामा महिला सदस्यबाहेक सम्पूर्ण पदमा जीत हासिल गरेको छ। एमाले सूर्यविनायक नपा १ मा वडा अध्यक्षसहित प्यानलै जितेको छ। नेमकिपाबाट भक्तपुर नपा १ वडामा श्यामकृष्ण खत्री, २ वडामा हरिप्रसाद बासुकला, ३ वडामा राजकृष्ण गोरा र ४ वडामा कुमार चवाल वडा अध्यक्षमा जित्नुभएको हो । भनपामा नेमकिपाको तेब्बर मतसहित अग्रता भक्तपुर नपाको चार वटा वडाको परिणामपछि ५ नम्बर वडाको मत गणना भइरहेको छ । जारी मत गणनामा नेमकिपाका मेयर उम्मेदवार सुनिल प्रजापति र उपमेयर उम्मेदवार रजनी श्रेष्ठ प्रतिद्वन्द्वीभन्दा तीन गुणा बढी मतले अग्रता लिइरहनुभएको छ। उहाँलाई नेपाली कांग्रेसका मेयर उम्मेदवार रामप्रसाद कासुला र उपमेयर गंगालक्ष्मी अवालले पछ्याइरहनुभएको छ। त्यस्तै, नेपाली कांग्रेसबाट मध्यपुर थिमि नपा १ वडामा सुरज खड्का, २ वडामा राम थापामगर र ३ वडामा प्रेम कुटु तथा सूर्यविनायक नपा २ मा कमलनाथ आचार्य वडा अध्यक्षमा निर्वाचित हुनुभएको छ । सूर्यविनायक नपा १ वडामा भने एमालेका सानुकाजी कायस्थ वडा अध्यक्षमा निर्वाचित हुनुभएको हो । मध्यपुर थिमि नगरपालिकाको तीनवटा वडाको मत गणनासम्म कांग्रेसका मेयर उम्मेदवार अष्टकुमार कवेले अग्रता लिइरहनुभएको छ ।उहाँलाई एमालेका मेयर उम्मेदवार मदनसुन्दर श्रेष्ठले पछ्याइरहनुभएको छ । त्यस्तै उपमेयरमा कांग्रेसका अञ्जना मधिकर्मी अघिअघि र नेमकिपाका केदार खड्का पछिपछि हुनुहुन्छ। त्यस्तै सूर्यविनायक नपाको वडा नं ३ सम्मको मत गणना जारी रहँदा कांग्रेसका मेयर उम्मेदवार विष्णुराज कार्कीले अग्रता लिइरहनुभएको छ । उहाँलाई एमालेका मेयर उम्मेदवार वासुदेव थापाले पछ्याइरहनुभएको छ । उपमेयरमा भने एमालेका जूना बस्नेतले कांग्रेस उम्मेदवार कल्पना राजथलालाई उछिनिरहनुभएको छ ।"
"तनहुँको सार्वजनिक परिणाम मिश्रितः चारमा कांग्रेस, एकमा एमालेको अग्रता","तनहुँः तनहुँका तीन गाउँपालिकाको मतपरिणाम सार्वजनिक हुँदा मिश्रित परिणाम प्राप्त भएको छ। तीनवटामध्ये नेपाली कांग्रेस, नेकपा एमाले तथा माओवादी केन्द्रका भागमा एक एक स्थानीय तह परको छ। यसअघि नै एक तहमा एमालेले जित हासिल गरेको छ । आँबु र ऋषिङमा कांग्रेस विजयी आँबुखैरेनी गाउँपालिकामा नेपाली कांग्रेसले कब्जा गरेको छ। अन्तिम मत परिणामअनुसार कांग्रेसका उम्मेदवार गिरबहादुर थापाले दुई हजार पाँच सय ८९ मत पाउनु भएको छ भने उहाँका प्रतिस्पर्धी नेकपा एमालेका सान्तबहादुर केसीले दुई हजार दुई सय ४२ मत पाउनु भयो। शुरुदेखि माओवादी केन्द्रले अग्रता लिइरहेको गाउँपालिकामा पछिल्लो समय एमाले तथा अन्तिमतिर कांग्रेसले अग्रता लिएको थियो। उपाध्यक्षमा विजयी कांग्रेसकै पुष्पादेवी श्रेष्ठले दुई हजार दुई सय ९७ मत पाउनु भएको छ। उहाँलाई पछ्याउनु भएकी एमालेकी मीना अधिकारीले दुई हजार एक सय ६५ मत पाउनुभयो। उता, ऋषिङ गाउँपालिकामा अत्यधिक बहुमत ल्याएर नेपाली कांग्रेसका अध्यक्षमा राजेन्द्रकृष्ण श्रेष्ठ तथा उपाध्यक्षमा गिनु थापा विजयी हुनु भएको छ। आठैवटा वडामा प्यानल जितेको कांग्रेसले अध्यक्षमा चार हजार नौ सय ४१ मत पाएको छ। श्रेष्ठलाई पछ्याएका एमालेका गोपाल थापाले दुई हजार चार सय ७२ मत पाउनुभयो। उपाध्यक्षमा विजयी कांग्रेसकी गिनु थापाले दुई हजार तीन सय ७७ मत तथा उपाध्यक्षका एमाले उम्मेदवार मधुमाया श्रेष्ठले दुई हजार तीन सय ७७ मत पाउनु भयो। घिरिङमा एमालेको कब्जा घिरिङ गाउँपालिकाको दुवै पदमा एमालेले जित हासिल गरेको छ। सार्वजनिक मत परिणामअनुसार एमालेका अध्यक्ष उम्मेदवार रनबहादुर थापाले कांग्रेसका विष्णुवीर थापालाई पराजित गर्नुभयो। विजयी रनबहादुरले तीन हजार सात सय ३० तथा पराजित विष्णुवीरले दुई हजार आठ सय १९ मत पाउनु भयो। उपाध्यक्षमा एमालेकी सरस्वती घिमिरे सिग्देलले कांग्रेसकी निर्जला अर्याललाई पराजित गर्नुभयो। उपाध्यक्षमा विजयी सिग्देलले तीन हजार सात सय १३ तथा पराजित अर्यालले दुई हजार सात सय ६२ मत पाउनुभयो। बन्दीपुरमा माओवादी तनहुँको बन्दीपुर गाउपालिकामा एमाओवादी केन्द्रका पूर्णसिंह थापा विजयी हुनु भएको छ। कांग्रेसको प्रभाव क्षेत्रमा थापाले उमेदवार कर्णबहादुर खत्रीलाई थोरै मतान्तरले पराजित गर्दै जीत हासिल गर्नु भएको हो। अध्यक्ष विजयी थापाले २८६३ र खत्रीले २४२१ मत पाउनुभयो। माओवादी उपाध्यक्षमा पनि जित हासिल गरेको छ। विजयी करुणा गुरुङले २६८३ मत पाउनु भयो भने पराजित कांग्रेसकी सविना गुरुङले २४६२ मत पाउनुभयो। चारमा कांग्रेस, एकमा एमालेको अग्रता व्यास नगरपालिकाको एक वडाबाहेक हालसम्म १० वडामा प्यानलसहित जित हासिल गरेको नेपाली कांग्रेसको नेकपा एमालेसँग मतान्तर बढ्दै गएपछि व्यासमा कांग्रेसको प्यानल आउने करिब निश्चित छ। मतगणना जारी रहँदा साविकमा एमालेको पकड रहेको ठानिएको शुक्लागण्डकी नगरपालिकामा नेपाली कांग्रेस र नेकपा माओवादी केन्द्र गठबन्धन अग्रस्थानमा छ । भीमाद नगरपालिकामा एमालेले लिएको अग्रता कायमै रहेका कारण उसको जित करिब निश्चित देखिएको छ । साविकदेखि नै एमाले बलियो रहेको क्षेत्रमा काँग्रेससँगको मतान्तर केही कम छ। भानु नगरपालिकामा शुरुदेखि नै कांग्रेसले लिएको अग्रता कायमै रहँदा त्यहाँ उसको विजयी हुने सम्भावना बढेको छ । म्याग्दे गाउँपालिकामा दिनभर एमालेले अग्रता लिएपनि कांग्रेसले पछिल्लो समय अग्रता पाएको छ।"
सिन्धुलीको हरिहरपुरगढी गाउँपालिकामा माओवादी केन्द्र विजयी,"सिन्धुली : सिन्धुलीको हरिहरपुरगढी गाउँपालिकामा माओवादी केन्द्र विजयी भएको छ । माओवादी केन्द्रका कार्साङ लामा गाउँपालिका प्रमुख र अनिता राई उपप्रमुखमा विजयी हुनु भएको निर्वाचन अधिकृत महेन्द्रबहादुर थापाले जानकारी दिनु भयो । लामाले ३९३४ र राइले ३९१८ मत प्राप्त गरी विजयी हुनु भएको हो । उहाँहरुको प्रतिद्धन्द्धी नेकपा एमालेका मानबहादुर वाइवाले प्रमुखमा २९५४ र उपप्रमुखमा एमालेकै छिरिङ लामाले २९९० मत प्राप्त गर्नु भएको छ । ८ वटा वडा रहेको उक्त गाउँपालिकाका ४ वटा वडा माओवादी केन्द्र ३ वटा नेकपा एमाले र १ वटा वडामा नेपाली कांग्रेसले जित हात पारेको छ । प्राप्त जानकारी अनुसार वडा नम्बर १ मा माओवादी केन्द्रका कारसाङ घलान, २ मा चन्द्रबहादुर राई, ३ मा पदमबहादुर स्याङ्तान, ४ मा एमालेका कमलकुमार राई, ५ मा झलककुमार माझी, ६ मा माओावदी केन्द्रका आइतसिं मोक्तान, ७ मा कांग्रेसका बालकृष्ण नेपाल र ८ मा एमालेका सार्कीमान तामाङ्ग विजयी हुनु भएको छ ।"
"गोरखामा चार गाउँपालिकासहित कांग्रेसको अग्रता, माओवादी दोस्रो","गोरखाः गाेरखामा हालसम्म गणना भएको ६१ वटा वडामध्ये नेपाली कांग्रेसले अग्रता लिएको छ। मतगणना सकिएका चार गाउँपालिकामध्ये चारैवटामा कांग्रेस विजयी भएको छ। चुमनुब्री गाउँपालिकामा धनबहादुर गुरुङ, सिरानचोक गाउँपालिकामा राजु गुरुङ, गण्डकी गाउँपालिकामा होमबहादुर गुरुङ र अजिरकोट गाउँपालिकामा फडिन्द्र धिताल विजयी हुनु भएको हो। धनबहादुर गुरुङ १२५३ मत ल्याएर विजयी हुनु भएको हो भने उपप्रमुखमा कुमारी गुरुङ १२८५ मत ल्याएर विजयी हुनु भएको हो। त्यस्तै, गण्डकी गाउँपालिकाका राना ४१६४ मत ल्याएर विजयी हुनु भएको छ भने उपप्रमुखमा विजयी अधिकारीले ४०९७ मत ल्याउनु भएको छ। त्यस्तै, सिरानचोकको प्रमुखमा विजयी राजुले ३४०२ मत ल्याउनु भएको छ भने उपप्रमुखमा विजयी रीता देवकोटाले ३४११ मत ल्याउनु भएको छ। भर्खरमात्र विजयी भएका अजिरकोटका प्रमुख र उपप्रमुखको मतसंख्या प्राप्त भएको छैन। कांग्रेसले ३२ वटा वडामा विजय हासिल गरेको छ भने माओवादी केन्द्रले १८, नेकपा एमालेले ९ र नयाँ शक्ति नेपालले पाँच वडामा विजय हासिल गरेको छ। नेपाली कांग्रेसले गोरखा नगरपालिकाको वडा नं १, २, ४, ५ र ६ को अध्यक्षसहितका प्यानलै विजयी भएको छ । त्यस्तै पालुङटार नगरपालिका ३, चुमनुब्री गाउँपालिकाको वडा नं १, २, ५ र ७, गण्डकी गाउँपालिकाको वडा नं २, ३, ४ र ५ पनि कांग्रेसले जितेको छ । सिरानचोक गाउँपालिकाको वडा नं १, २, ३ र ४, ६, ७ र ८, आरुघाट गाउँपालिका १ र २, भीमसेन गाउँपालिका १, २ र ३, धार्चे गाउँपालिकाको वडा नं ४, सहिद लखन गाउँपालिकाको ६, र अजिरकोट २, ३ र ४ मा कांग्रेस विजयी भएको छ । त्यस्तै, माओवादी केन्द्रले गोरखा नगरपालिकाको वडा नं ७, चुमनुब्री गाउँपालिकाको वडा नं ३, ४ र ६ मा जित हात पारेको छ। त्यस्तै, सुलिकोट १, २ र ३, ५, गण्डकी गाउँपालिकाको १, ६, ७ र ८ धार्चे १, सहिद लखन वडा नं ४ र ५, पालुंटार नगरपालिकाको वडा नं २ मा र अजिरकोट १ मा माओवादीले जित हासिल गरेको छ । त्यस्तै, नेकपा एमालेले सहिद लखन गाउँपालिकाको वडा नं १, २ र ३ मा जित हात पारेको छ । त्यस्तै गोरखा नगरपालिकाको वडा नं ३, धार्चे गाउँपालिकाको वडा नं ३, र आरुघाट ३, ४, ५ र ६ मा पनि एमालेले जित हासिल गरेको छ । नयाँ शक्ति नेपालका संयोजक डा बाबुराम भट्टराईको गृहनगर पालुङटार नगरपालिकाको वडा नं १, ४ र ५ मा धार्चे गाउँपालिकाको वडा नं ३ र सिरानचोक ५ मा नयाँ शक्तिले जितेको छ। सो नगरपालिकाको मेयर र उपमेयरमा नयाँ शक्तिले नै धेरै मतअन्तरले अग्रता लिएको छ।"
"काभ्रेको दुई स्थानीय तहमा कांग्रेस, एकमा एमाले विजयी","बनेपा : जिल्लाका १३ स्थानीय तह मध्ये आठ वटाको मतगणना भइरहेको छ । बेथानचोक र तेमाल गाउँपालिकाको अध्यक्ष उपाध्यक्षमा नेपाली काग्रेस विजयी भएको छ भने खानीखोला गाउँपालिकाको अध्यक्ष उपाध्यक्षमा नेकपा एमाले जिजयी भएको छ । प्रारम्भिक मत परिणाम अनुसार पनौती, बनेपा पाचँखाल, मण्डन देउपुर नगरपालिकामा एमाले अग्रस्थानमा रहेको छ । खानिखोलामा गाउँपालिकामा एमाले विजयी खानिखोला गाउँपालिका अध्यक्ष पदमा नेकपा एमालेका कृष्ण बहादुर खुलाल र उपप्रमुखमा रुकमणी गुरुङ्ग विजयी भएका छन् । वडा अध्यक्ष तर्फ १ नम्वरमा माओबादी केन्द्रका ज्ञान बहादुर लामा, २ नम्बरमा एमालेका इन्द्र बहादुर थिङ्ग, ३ नम्बरमा एमालेका जय बहादुर लुगेली, ४ नम्बरमा माओबादी केन्द्रका विर बहादुर वाईवा, ५ नम्बरमा एमालेका दुर्गा तिमल्सिना, ६ नम्बरमा एमालेका मान बहादुर गोले विजयी भएका छन् । त्रिपक्षीय प्रतिस्पर्धा रहेको उक्त गाँउपालिकामा अध्यक्षमा नेकपा एमालेका कृष्णबहादुर खुलालले २०२३ मत प्राप्त गरी विजय हुनुभएको छ । उहाँको प्रतिस्पर्धी माओवादी केन्द्रका इन्द्रबादुर थिङ(छिन्ताङ) ले १६४४ मत प्राप्त गर्नुभएको थियो भने नेपाली कांग्रेसका गोपाल दर्लामीले १ हजार ६ सय ३७ मत प्राप्त गर्नुभएको निर्वाचन अधिकृत हरिप्रसाद फुयालले जनाकारी दिनुभयो । उपाध्यक्षमा एमालेका रुखमणी गुरुङ २ हजार १ सय ३० मत ल्याएर विजय हुनुभएको छ । भने उहाँको प्रतिस्पर्धी कांग्रेसकी तारादेवी आर्चायले १ हजार ५ सय ९६ मत प्राप्त गर्नुभएको छ । माओवादी केन्द्रका विष्णुमायाँ मोक्तानले १ हजार ५ सय ६६ मत प्राप्त गर्नुभएको थियो । यस्तै वडा नम्बर १ मा माओवादी केन्द्रका ज्ञानबहादुर लामा थिङ, वडा नम्बर २ मा एमालेका इन्द्रबहादुर थिङ, वडा नम्बर ३ मा एमालेका जयबहादुर लुंगेली, वडा नम्बर ४ मा माओवादी केन्द्रका दिलबहादुर वाइबा, वडा नम्बर ५ मा एमालेका दुर्गा तिमल्सिना, वडा नम्बर ६ मा एमालेका मानबहादुर गोले र वडा नम्बर ७ मा नेपाली कांग्रेसका क्षेत्रमान घ्याबा विजयी भएका छन । गाउँपालिकामा ५ हजार ६ सय १७ मत खसेकोमा ६४ मत बदर भएको निर्वाचन कार्यालयले जानकारी दिएको छ । बेथानचोकमा गाउँपालिकामा कांग्रेसको प्यानल विजयी बेथानचोक गाउँपालिकाको अध्यक्ष, उपाध्यक्षसहित ६ वटै वडाको प्यानलमा काँग्र्रेसका उम्मेदवार विजयी भएका छन् । अध्यक्षमा प्रेमबहादुर तिमल्सिना र उपाध्यक्षमा सरिता लामिछाने तामाङ विजयी भएका छन् । कांग्रेसकै तर्फबाट १ नम्बर वडाअध्यक्षमा सोमप्रसाद घिमिरे, २ नम्बर वडामा भगवान घिमिरे, ३ नम्बर वडामा दिलबहादुर श्रेष्ठ, ४ नम्बर वडामा लालबहादुर श्रेष्ठ, ५ नम्बर वडामा खजेञ्जी लामा र ६ नम्बर वडामा बिष्णु मोक्तानसहितको प्यानल विजयी भएको हो । तिमल्सिनाले ३८ सय ६८ र सरिताले ३८ सय ५२ मत प्राप्त गरेका छन् । निकटतम एमालेका प्रेम लामाले २७४१ र उपप्रमुखमा एमालेकी उन्नती केसीले ३८ सय ५२ प्राप्त गरेकी थिइन् । कुल ११ हजार ५ सय ६० मतमा ९ हजार ४ सय मत खसेको थियो । तेमाल गाउँपालिकामा कांग्रेस विजयी तेमाल गाउँपालिका अध्यक्षमा नेपाली काग्रेसका उम्मेदार सलाम सिह लामा ३९३७ मत ल्याई विजयी हुनु भएको छ । उपप्रमुखमा दुर्गमाया तामाङ्गले ३७२८ मत ल्याई विजयी हुनु भएको छ । अध्यक्षका प्रतिद्वन्द्वी नेकपा एमालेका प्रदीप लामाले ३३६३ मत प्राप्त गर्नु भएको छ । माओबादी केन्द्रका गंगाबहादुर दोङले ३१८० मत पाउनु भएको थियो । उपप्रमुखमा एमालेकी उषा घिसिङ्गले ३३०७ मत पाउनु भएको छ । माओबादी केन्द्रकी कल्पना मोक्तानले ३२०५ मत ल्याउनु भएको थियो । वडा अध्यक्षमा १ नम्बरमा एमालेका मान बहादुर श्रेष्ठ, २ नम्बरमा एमालेका सिह बहादुर तामाङ्ग, ३ नम्बरमा लोकतान्त्रिक फोरमका विष्णु बहादुर लामा, ४ नम्बमा नेपाली काग्रेसका र ८ नम्बरमा माओबादी केन्द्रका लक्ष्मी बहादुर घिसिङ्ग, ९ नम्बरमा माओबादी केन्द्रकै चन्द्र बहादुर द्धोङ्ग विजयी भएका छन् ।"
सुर्खेतको बराहताल गाउँपालिकामा कांग्रेस विजयी,"सुर्खेतः सुर्खेतको बराहताल गाउँपालिकामा नेपाली कांग्रेस विजयी भएको छ। गाउँपालिकाको प्रमुख र उपप्रमुखमा कांग्रेसले जित हात पारेको हो। एमाले उम्मेदवारलाई पराजित गर्दै कांग्रेसका तेजबहादुर बस्नेत अध्यक्षमा विजयी हुनुभएको हो । बस्नेतले तीन हजार दुई सय २१ मत प्राप्त गुर्नुभएको छ। यस्तै उहाँका प्रतिस्पर्धी नेकपा एमालेका ताराकेशर गौतमले दुई हजार नौ सय ६४ मत प्राप्त गर्नुभयो । गाउँ पालिकाको उपाध्यक्षमा कांग्रेसकै शोभा शर्मा विजयी हुनुभएको छ। शर्माले तीन हजार तीन सय २२ मत प्राप्त गर्नुभएको छ । उहाँका निकटतम् प्रतिस्पर्धी एमालेका आशा थापाले तीन हजार हजार दुई सय मत प्राप्त गर्नुभयो। यस्तै, गाउँपालिकाका १० वटा वडामध्ये चार वटा वडामा कांग्रेसले जितेको छ । यस्तै तीन वटा वडाहरुमा एमालेले जितेको छ । माओवादी केन्द्रले दुई वटा वडामा जीत हात पारेको छ भने एउटा वडामा स्वतन्त्रले विजय हासिल गरेका छन्। जिल्लाका ९ वटा स्थानीय तहमध्ये अब सात वटा तहको अन्तिम परिणाम आउन बाँकी रहेको छ ।"
