शीर्षक,विवरण
ज्येष्ठ नागरिकलाई सुविधा,"बुधबार सर्वोच्च अदालतले ज्येष्ठ नागरिकलाई स्वास्थ्य संस्था र सार्वजनिक यातायातमा कानुनअनुसार ५० प्रतिशत छुटको व्यवस्था तत्काल कार्यान्वयन गर्न अन्तरिम आदेश दिएको छ। सर्वोच्चले प्रधानमन्त्री तथा मन्त्रिपरिषद् कार्यालय, गृहमन्त्रालय, भौतिक पूर्वाधार तथा यातायात मन्त्रालय, महिला बालबालिका तथा समाज कल्याण मन्त्रालय, नेपाल यातायात व्यवसायी राष्ट्रिय महासंघसहित २० सरकारी निकायका नाममा अन्तरिम आदेश जारी गरेको हो। ज्येष्ठ नागरिकसम्बन्धी ऐन २०६३ मा सरकारले तोकेको स्वास्थ्य संस्थाले ज्येष्ठ नागरिकलाई उपचारमा कम्तीमा ५० प्रतिशत छुट दिने अनिवार्य व्यवस्था गरेको छ। त्यस्तै सो ऐनमा सार्वजनिक यातायातमा कम्तीमा दुई सिट ज्येष्ठ नागरिकका लागि आरक्षण गरिनुपर्ने र उनीहरूलाई भाडामा ५० प्रतिशत छुट दिनुपर्ने व्यवस्था छ। सोही ऐनले ६० वर्ष कटेका नागरिकलाई ज्येष्ठ नागरिकको परिभाषामा राखेको छ। अर्घाखाँची घर भई बुटवल बस्ने ८० वर्षीय नित्यानन्द पाण्डेयले दायर गरेको रिटमा सर्वोच्चले यस्तो आदेश दिएको हो। रिटमा ऐनमा ज्येष्ठ नागरिकलाई यस्ता सुविधाको व्यवस्था भए पनि उचित कार्यान्वयन नभएको जनाइएको थियो। सर्वोच्चकी न्यायाधीश सपना मल्ल प्रधानको एकल इजलासले यस्तो अन्तरिम आदेश दिएको हो। यो अन्तरिम आदेशले ज्येष्ठ नागरिकहरूले कानुनअनुसार पाउने छुटको ग्यारेन्टी भएको कानुन व्यवसायीहरूले जनाएका छन्। वास्तवमा ऐनमा व्यवस्था भएको विषयमा सर्वोच्चमा रिट हालेर त्यसको ग्यारेन्टी गराउनुपर्ने अवस्था नै विडम्बनापूर्ण हो। संविधान र ऐन कानुनमा भएका प्रावधान कार्यान्वयन गर्नुगराउनु सरकारको दायित्व र जिम्मेवारी हो। त्यसमा न्यायालयले हस्तक्षेप गर्नुपर्ने स्थिति आउनाले राज्यको विश्वसनीयतामाथि पनि प्रश्न उठ्छ। त्यसो त हाम्रो राज्य संविधान र ऐन कानुनमा भएका प्रावधान लागू गर्न चुकेको यो विषयमा मात्र होइन। संविधानमा व्यवस्था भएका गाँस, बास, शिक्षा, स्वास्थ्य र सामाजिक सुरक्षालगायत आधारभूत मौलिक हक व्यवहारमा कार्यान्वयन गर्ने विषयमा पनि राज्य नराम्रोसँग चुकेको छ। नेपालको संविधानमा यी आधारभूत मौलिक हकलगायत रोजगारीको हक, समानताको हकलगायत ३१ वटा मौलिक हकको व्यवस्था गरिएको छ। यसलाई राज्यका तर्फबाट जनतामाथि गरिएको सरासर बेइमानी भन्न सकिन्छ। राज्यले पूरा गर्न नसक्ने प्रतिबद्धता जनतासँग गर्नु हुँदैन तर गरिसकेपछि ती कार्यान्वयन गर्न पनि चुक्नु हुँदैन। अझ लोककल्याणकारी राज्यको अवधारणा कल्पना गरिएको संविधान लागू भइसकेपछि पनि ज्येष्ठ नागरिकलाई राज्यले बाचा गरेको सेवा दिन नसक्नु वास्तवमा लज्जाको विषय हो। नयाँ सरकार बनेसँगै र यो सरकारमा संलग्न दलहरूले समाजवाद उन्मुख राज्यसत्ता निर्माण गर्ने बाचा गरेकाले उनीहरूले सर्वसाधारण जनतालाई यस्ता आधारभूत मौलिक हकको प्रत्याभूत गर्न र सामाजिक सुरक्षालाई बलियो बनाउने कठोर कदम चाल्नुपर्ने देखिन्छ। कठोर यस मानेमा कि यी प्रावधान नेपालको संविधानमा त छन् तर गत करिब दुई दशकमा स्थापित नवउदारवादी संरचनाका कारण मौलिक हकका रूपमा व्याख्या गरिएका सेवाहरू पनि बजारको हातमा पुगेका छन्। त्यो बजार राजनीतिलगायत प्रभावका कारण यति बलियो छ कि त्यसलाई विस्थापित गर्न गाह्रो छ। राज्य ज्येष्ठ नागरिकलाई यी सुविधा दिनेलगायत सामाजिक सुरक्षा बलियो बनाउन लाग्नुपर्छ। संविधान र ऐनमा व्यवस्था भएका सुविधा भएका विषयमा न्यायालयको सहयोग खोज्नुपर्ने विडम्बनापूर्ण परिस्थिति नआउने परिस्थिति निर्माण हुनैपर्छ। राज्यको प्रतिबद्धता झूटा र अविश्वसनीय हुनु हुँदैन।"
"गाउँमा सिंहदबार होइन, भ्रष्टाचार मात्र पुग्यो : बाबुराम","लुम्बिनी : नयाँ शक्ति पार्टी, नेपालका संयोजक डाबाबुराम भट्टराईले सिंहदरबारको अधिकारभन्दा भ्रष्टाचार गाउँगाउँमा पुगिरहेको बताएका छन्। पार्टीको संघीय परिषदको चौथो बिस्तारित बैठकको तेस्रो दिन शुक्रबार समूह छलफलपछि उठेका जिज्ञासाहरुको शुक्रबार जवाफ दिँदै संयोजक डा भट्टराईको भनाइ छ। हामीले संघर्ष गरेर ल्याएको संघीयताको कार्यान्वयनबाट सिंहदरबारको अधिकार गाउँगाउँसम्म पुग्नुपर्ने हो, उनले भने, तर, अधिकारभन्दा सिंहदरबारको भ्रष्टाचार गाउँगाउँसम्म पुगिरहेको छ। पूर्वप्रधानमन्त्री समेत रहेका डाभट्टराईले नयाँ शक्तिले स्थानीय तहबाट हुने भ्रष्टाचार रोक्न छायाँ सरकार चलाउने बताए। उनले समृद्धिको नारा नयाँ शक्तिको भए पनि यसको कार्यान्वयन गर्न सरकारमा पुग्नुपर्ने भएकोले तत्कालको लागि प्रचारात्मकरुपले अभियान लैजानै बताए। समृद्धि हाम्रो नारा हो तर, हाम्रै नेतृत्वमा कार्यान्वयनको अवस्था अहिले रहेन, उनले भने, हामी स्थानीय तहमा हुने भ्रष्टाचार रोक्न छायाँ सरकार चलाउने अवधारणामा जान्छौं, र समृद्धिको पक्षमा माहोल बनाउन लागिपर्छौं। उनले नयाँ शक्तिले जितेको ठाउँमा छुट्टै विभाग बनाएर मोडेल काम गर्ने कार्ययोजना ल्याउने बताए। फागुन ९ बाट लुम्बिनीमा सुरु भएको नयाँ शक्तिको संघीय परिषद्को चौथो विस्तारित बैठक शनिबार सम्पन्न हुनेछ। बैठकले १५ जनाको विज्ञ परिषद, ३५ जनाको संरक्षक समिति र १०१ जनाको कार्यकारी समिति बनाउने निर्णय गरेको छ। बैठक समापनपछि लुम्बिनीमा बुद्धको जन्मस्थलमा गएर लुम्बिनी संकल्प गर्ने र बुटवलमा पत्रकार सम्मेलन गरेर बैठकको समापन गर्ने कार्यक्रम रहेको छ।"
सरकारमा जान फोरमका चार सर्त,"काठमाडौं : संविधान संशोधनसहित आफ्ना चारबुँदे माग पूरा गरे आफू एमाले नेतृत्वको सरकारमा सहभागी हुन तयार रहेको संघीय फोरमले जनाएको छ। एमालेले उसलाई सरकारमा सहभागी हुन आग्रह गरेपछि फोरमले चारबुँदे मागका सर्त अघि सारेको हो। स्रोतले दिएको जानकारीअनुसार फोरमले एमालेलाई दिएको चारबुँदे प्रस्तावमा तत्कालीन सरकारसँग ०६४ भदौ १३ मा भएको २२ बुँदे सम्झौता कार्यान्वयन, संविधानको धारा २७४ को उपधारा ७ मा संशोधन, संघीय सीमांकन आयोग गठनसम्बन्धी उपधारा थप गर्ने र प्रदेश २ को सरकारमा एमाले सहभागी हुनुपर्ने छन्। हाम्रा माग पूरा भए सरकारमा संघीय फोरम सहभागी हुन्छ, स्रोतले जानकारी दिएको छ। एमालेले बुधबार फोरमलाई आधिकारिक रूपमा सरकारमा सामेल हुन आग्रह गरेको थियो। बुधबारको छलफलमा एक दुई दिनभित्रै शीर्ष तहमा बैठक गरी एउटा कार्यदलबाट संविधान संशोधनको गृहकार्य गर्ने अनौपचारिक सहमति भए पनि त्यसअनुसार काम नभएकोमा फोरम चिन्तित छ। फोरमका महासचिव रामसहाय यादवले शीर्ष नेतृत्वसहित बैठक बसेर संविधान संशोधनको गृहकार्य अघि बढाउने भनेकोमा केही ढिलो भएको बताए। उनले भने, दुई पार्टीका शीर्ष नेतृत्व र वार्ता कमिटीको बैठक छिट्टै बस्छ। संविधान संशोधन हुनेमा हामी आशावादी छौं। धारा २७४ को उपधारा ७ संशोधन गर्न लागि एमाले लचकदार सम्बद्ध स्रोतका अनुसार संविधानको धारा २७४ को उपधारा ७ संशोधन गर्न एमाले तयार भएको छ। यो उपधाराअनुसार जाँदा बहुसंख्यक प्रदेशसभाले कुनै प्रदेशको सिमाना परिवर्तन वा अनुसूची ६ मा उल्लिखित विषयसँग सम्बन्धित भए त्यस्तो विधेयक अस्वीकृत गरेको सूचना संघीय संसद्को सम्बन्धित सदनलाई दिए विधेयक निष्क्रिय हुनेछ। बहुसंख्यक प्रदेशसभाले पास गर्ने भन्नुको मतलब ७ प्रदेसमध्ये ४ ले अस्वीकृत गर्नासाथ सीमांकन परिवर्तन हुन सक्दैन। प्रदेश २ को समस्यामा अन्य प्रदेशलाई किन सोध्ने भन्ने मधेसवादी दलको प्रश्न रहेको दाबी स्रोतको छ। उपधारा ७ मा प्रस्टसँग मधेसवादी दलले संशोधन गर्नुपर्ने विषयमा, सीमांकन हेरफेर गर्ने अधिकार सम्बन्धित प्रदेशसँग परामर्श गरी प्रतिनिधिसभाको दुईतिहाइले पास गर्ने गरी सीमांकन संशोधनको प्रस्ताव हुनुपर्छ। यसका साथै धारा २७४ मा संघीय सीमांकन आयोग गठन हुनुपर्ने मागसमेत फोरमको छ। सबै कुरा मिले उपप्रधान एवं परराष्ट्रसहित केही मन्त्रालयको नेतृत्व गर्न फोरम तयार रहेको स्रोतले जानकारी दिएको छ। फोरमका चारबुँदे सर्त १ ०६४ भदौ १३ गते भएको २२ बुँदे सम्झौताको कार्यान्वयन, २ संविधानको धारा २७४ को उपधारा ७ मा संशोधन, ३ धारा २७४ मा नै उपधारा थप्दै संघीय सीमांकन आयोगको गठनसम्बन्धी प्रावधान राख्ने र ४ प्रदेश २ को सरकारमा एमाले पनि सहभागी हुनुपर्ने।"
१२ तस्बिरमा प्रधानमन्त्री ओलीको जन्मदिन,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले ६७ औं जन्मदिन सरकारी निवास बालुवाटारमा मनाएका छन् । प्रधानमन्त्री निवास बालुवाटारमा उनले आफ्नो जन्मदिन मनाएका हुन् । नेकपा एमाले स्थायी कमिटी बैठक सुरु हुनु अघि उनले केक काटेर आफ्नो जन्मदिन मनाएका हुन् । मनाएका हुन्। जन्मदिन मनाउने क्रममा उनकी पत्नी राधिका शाक्य तथा एमालेका नेताहरु सहभागी थिए । प्रधानमन्त्री केपी शर्मा ओलीको ६७ औं जन्मदिनको अवसरमा नेकपा (एमाले) स्थायी समिति, मदन भण्डारी स्पोर्टस एकेडेमीले जन्मदिनको शुभकामना व्यक्त गरेको थियो ।जन्मदिनको अवसरमा विभिन्न कुटनीतिक निकायले शुभकामना दिएका छन् । ओलीलाई भारतीय र चिनियाँ राजदूतले बधाई तथा शुभकामा दिएका छन् । सँगै प्रधानमन्त्री ओलीले विश्वकप छनोट खेल्न शनिबार जिम्बाबे जान लागेको नेपाली क्रिकेट टोलीलाई बिदाई गरेका छन् । बिदाईका विश्वकपमा छनोट भएकोमा सम्मान प्रदान गर्दै ओलीले बिदाई गरेका हुन् । सोही अवसरमा नेपाली क्रिकेट टिमका कप्तान पारस खड्कासहितका क्रिकेटरले ओलीलाई जन्मदिनको शुभकामना दिएका छन् । ओलीले बिहानदेखि साँझसम्म हरेक समूहका लागि फरकफरक केक काटेका छन् । केपी ओलीले बालुवाटारमा मनाए ६७ औं जन्मदिन ओलीलाई 'ह्याप्पी बर्थ डे' भन्न बालुवाटार पुगे चीन र भारतका राजदूत तस्बिर : दीपेन श्रेष्ठप्रधानमन्त्रीको निजी सचिवालय"
"एमाले स्थायी समिति बैठक जारी, मन्त्रीको टुंगो लगाइँदै",काठमाडौं : एमाले स्थायी समितिको शुक्रवारको बैठक विशेष बनेको छ । प्रधानमन्त्री तथा पार्टी अध्यक्ष केपी ओलीको ६६ औं जन्मोत्सवका अवसरमा प्रधानमन्त्री निवास बालुवटारमा बर्थ डे केक काटेर स्थायी समितिको बैठक सुरू भएको थियो । बैठकमा मन्त्री आक्रांक्षी व्यवस्थापनसँगै पार्टी एकाटाबारे छलफल भइरहेको छ । बैठकमा प्रधानमन्त्री ओलीले मन्त्रीहरुको नाम अनुमोदन गराउने तयारी पनि गरेका उनको सचिवालयले जनाएको छ । २००८ साल फागुन १० गते जन्मिएका ओलीको शुक्रवार बैठक सुरु हुनुअघि प्रधानमन्त्री निवास बालुवाटारमै बर्थ डे मनाएकाे थियाे । बिहीबार साँझ निर्धारण गरिएको स्थायी समितिको बैठक एक दिनपछि सार्नुको प्रमुख कारण पनि ओलीको जन्मोत्सव भएको स्रोतले बतायो । नेताहरुलाई केक खुवाएपछि बस्ने स्थायी समिति बैठकमा ओलीले एमालेबाट जाने मन्त्रीहरुको नाम प्रस्ताव गर्ने तयारी गरेका छन् । एमालेले पार्टी एकता र सरकार निर्माणका विषयमा निर्णय गर्ने सम्पूर्ण अधिकार ओलीलाई दिइसकेको छ । ओलीले प्रस्ताव गर्ने मन्त्रीका नामलाई स्थायी समितिले अनुमोदन गरेपछि सपथ गराइनेछ । ओलीले मन्त्रीका लागि नेताहरुको रोष्टर बनाएर नाम छान्ने काम गरिरहेको स्रोतले बतायो । वरिष्ठ नेता माधव नेपाल लगायतका नेताहरुसँग पनि ओलीले मन्त्रीका नामबारे परामर्श गरिरहेका छन् ।
गिरिजाबाबुले भनेजस्तै कांग्रेस बनाउँछौं : महामन्त्री कोइराला,"लमजुङ : नेपाली कांग्रेसका महामन्त्री डा शशांक कोइरालाले कांग्रेस अब संगठित भएर अघि बढ्नुको विकल्प नरहेको बताएका छन्।लमजुङको उदिपुरमा बिहीबार साँझ आयोजित एक कार्यक्रममा बोल्दै डाकोइरालाले यस्तो बताएका हुन्। नेपाली कांग्रेसभित्र विभिन्न असन्तुष्टि सिर्जना भएपनि सबैको चासो कांग्रेसको सुदृढीकरणको लागि भएको उनले दाबी गरे।प्रजातन्त्र सेनानी एवं उदिपुरस्थित जनकल्याण माविका संस्थापक स्व रोहिणीराज त्रिपाठीको शालिक अनावरण गर्न लमजुङ आएका नेता कोइरालाले कांग्रेसलाई फर्केर हेर्दा धेरै योद्धा रहेको भन्दै संगठनलाई पुनःजागरण गरेर अघि बढ्ने प्रतिबद्धता व्यक्त गरे। समानुपातिकको मतको आधारमा पनि कांग्रेसलाई विश्लेषण गर्नुपर्ने भन्दै उनले गिरिजाबाबुले भनेजस्तै कांग्रेसलाई संगठित र पुरानै स्तरमा पुर्याउने दाबी समेत गरे। 'कांग्रेसलाई जनमत पटक्कै नभएको हैन' कोइरालाले भने, 'जनताको चाहना कांग्रेसभित्रको सुदृढीकरण हो, अब नेतृत्वले यसलाई मनन गर्नुपर्छ।'स्व त्रिपाठीको पहलमा प्राविबाट स्थापना भएको उक्त विद्यालयमा अहिले कक्षा ११ सम्म पठनपाठन हुन्छ। विद्यालयमा व्यावसायिक र प्राविधिक शिक्षा सञ्चालनका लागि महायज्ञ सञ्चालन गरिएको छ। रासस"
रिमाल प्रधानमन्त्रीको मुख्य सल्लाहकारमा नियुक्त,काठमाडौं : विष्णुप्रसाद रिमाल प्रधानमन्त्रीको मुख्य सल्लाहकारमा नियुक्त भएका छन् । प्रधानमन्त्री केपी शर्मा ओलीले शुक्रबार बिहान उनलाई मुख्य सल्लाहकारमा नियुक्त गरेका हुन् । महिला तथा बालबालिका मन्त्री थममाया थापाले आजको मन्त्रिपरिषद् बैठकले मन्त्रालय घटाएर १७ वटा बनाइएको र प्रधानमन्त्रीका प्रमुख राजनीतिक सल्लाहकारमा विष्णु रिमाललाई नियुक्त गरिएको जानकारी दिइन् । रिमाल यसअघि अघिल्लोपटक पटक ओली प्रधानमन्त्री हुदाँ पनि सल्लाहकार नै थिए । जिफन्टका अध्यक्ष तथा नेकपा एमालेका पोलिट्ब्युरो सद्स्य समेत रहेका रिमाल कुशल राजनीतिज्ञसमेत मानिन्छन्।
रोकिने भए एमालेका अधिवेशन र सम्मेलन,"काठमाडौँः नेकपा एमाले स्थायी समिति बैठकले नेकपा माओवादी केन्द्रसँगको एकता प्रक्रिया अघि बढेको अवस्थामा पार्टी तथा जनवर्गीय संगठनका सम्मेलन तथा अधिवेशनहरु तत्कालका लागि रोक्ने निर्णय गरेको छ । प्रधानमन्त्रीको सरकारी निवास बालुवाटारमा शुक्रबार बसेको स्थायी समिति बैठकले पार्टी, भातृ तथा जनवर्गीय संगठनका अधिवेशन र सम्मेलनहरु तत्कालका लागि रोक्ने निर्णय गरेको एमालेका सचिव तथा पार्टी प्रवक्ता योगेश भट्टराईले जानकारी दिए । पार्टी, भातृ तथा जनवर्गीय संगठनका तोकिएका र हुनेवाला अधिवेशन र सम्मेलन तत्कालका लागि रोक्ने निर्णय भएको छ, भट्टराईले भने, पार्टी एकतापछि मर्ज गर्नुपर्ने भएकाले ती सबै सम्मेलन र अधिवेशनहरु स्थगित गरेर अघि बढ्ने निर्णय भएको छ । सचिव भट्टराईले पार्टीका प्रशिक्षण, भेला र आन्तरिक गतिविधि भने सुचारु राखिने पनि जानकारी दिए । एकता अनुमोदन एमालेको बैठकले माओवादी केन्द्रसँग फागुन ७ गते भएको सात बुँदे सहमतिलाई सकारात्मकरुपमा लिँदै अनुमोदन पनि गरेको छ । साथै, बैठकले माओवादीसँगको एकता प्रक्रियालाई अघि बढाउन दुई पार्टीबीचका कार्यदललाई पनि निरन्तर सक्रिय गराएर निकट भविष्यमै टुंगोमा पुर्याउने पनि निर्णय गरेको छ ।"
मदन भण्डारी र दरबार हत्याकाण्ड जस्तै अर्को रक्तपात',"काठमाडौँः नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्डले नेपालमा फेरि रक्तपात गराउने कोशिश भइरहेको बताएका छन् । रामराज रेग्मीद्वारा लिखित नेपालको इतिहास( एक मार्क्सवादी दुष्टिकोण पुस्तक विमोचन कार्यक्रमलाई शुक्रबार सम्बोधन गर्दै प्रचण्डले नेपालमा वाम गठबन्धनले बहुमत ल्याएसँगै ठुला हत्याकाण्डको षड्यन्त्र भइरहेको बताएका हुन् । जनताको तागतले पराजित भए पनि देशका प्रतिक्रियावादीहरुले अन्तिम लडाइँ लड्न कोशिश गरिरहेका छन् । राणाकालको उदय या राजनीतिक परिवर्तनका क्रममा यस्ता घटना भएका छन्, दाहालले भने, वाम गठबन्धनले नेपालमा ६० प्रतिशत भन्दा धेरै मत ल्याएपछि प्रतिक्रियावादीबाट अन्तिम लडाइँका लागि दरबार हत्याकाण्ड र मदन भण्डारीको हत्या जस्तै हत्यासम्म हुन सक्छन् । वाम गठबन्धन र पार्टी एकताको कुराले देशमा ठुलो तरङ्ग पैदा गरेको बताउँदै दाहालले यो देशका लागि सबैभन्दा भन्दा सकारात्मक र ठुलो कुरा भएको पनि जिकिर गरे । यस्तो बेलामा अनौठा समीकरण देखिन सक्छन् । संघर्षमा जनताको श्रमजीवीको जीत हुने अवस्था, समृद्धि र विकासतर्फ देश गयो भने अर्को कित्तालाई असह्य हुन सक्छ, दाहालले थप खुलाए, नेपालको इतिहास हेर्दा त्यस्ता बिन्दु आउँछन् र आएका छन् । माक्र्सवादी आन्दोलनका विचलन कहाँ छन् भनेर अर्को पक्षले लडाइँ लड्न खोज्छ । यो विषयमा गम्भीर र सकारमात्मक तथा रचानात्मकरुपमा सोच्न आग्रह गर्दछु । वाम गठबन्धनले ६० प्रतिशत मत ल्याएपछि यसलाई रोक्ने र भत्काउने विकल्प राजा महाराजाहरुले खोजिरहेको पनि उनको जिकिर थियो । राजा महाराजा तथा अलौकिक देवत्व प्राप्त गरेका व्यक्तिहरु यो गठबन्धन भत्काउन लागेका छन्, दाहालले भने, यसतर्फ हामी चनाखो हुनु जरुरी भइसकेको छ ।"
विप्लव कार्यकर्ताले जलाए प्रधानमन्त्रीको पुत्ला,"नुवाकोटः नेत्रविक्रम चन्द नेतृत्वको नेकपाका कार्यकर्ताले शुक्रवार नुवाकोट र रसुवामा प्रधानमन्त्री केपी शर्मा ओलीको पुत्ला दहन गरेको छ । पक्राउ परेका आफ्ना कार्यकर्ता तत्काल रिहा गर्न माग गर्दै दलका कार्यकर्ताले शुक्रबार अपरान्ह नुवाकोटको बट्टार र रसुवाको कालिकास्थानमा प्रधानमन्त्री ओलीको पुत्ला दहन गरेका हुन् । सरकारले आफ्ना नेता, कार्यकर्ताहरुलाई पक्राउ र धरपकड गरेको कारण तत्काल विनाशर्त रिहा गर्न दवाव दिदै विप्लवका कार्यकर्ताले बट्टारस्थित नुवाकोट आदर्श बहुमुखी क्याम्पस र रसुवाको कालिकास्थानस्थित कालिका हिमालय क्याम्पस अगाडि नाराजुलुश पुत्ला दहन गरेको हो । नेकपा जिल्ला समिति नुवाकोटका सदस्य अशोक सिलवालले युवा संगठनको तेश्रो राष्ट्रिय सम्मेलन उद्घाटनमा विराटनगर जाने क्रममा पार्टीका स्थायी समिति सदस्य सुदर्शन ओली र पोलिटव्युरो सदस्य पदम राईसहित सयौं नेता कार्यकर्ता पक्राउ गरेको विरोधमा पुत्ला दहन गरिएको बताए । यो दलले शनिवार तथा आइतवार पनि सरकारविरुद्ध विरोध कार्यक्रम गर्ने जनाएको छ । नुवाकोटमा तीन वर्ष अगाडि नेत्रविक्रम चन्दको पार्टी गठन भएदेखि नै आफ्ना गतिविधि तथा कार्यक्रम अर्धभूमिगत शैलिमा गरिरहेको छ ।"
