शीर्षक,विवरण
स्वराज भ्रमणका सन्देश,"भारतीय विदेशमन्त्री सुष्मा स्वराज दुईदिने काठमाडौं भ्रमण सकेर शुक्रबार दिल्ली फर्किइन्। एमाले अध्यक्ष केपी शर्मा ओली र माओवादी केन्द्रका अध्यक्ष प्रचण्डसँग वान टु वान वार्ता गरेकी स्वराजले कामचलाउ सरकारका प्रधानमन्त्री शेरबहादुर देउवालाई शिष्टाचार भेट गर्दै सफलतापूर्वक चुनाव सम्पन्न भएकोमा बधाइ दिइन्। त्यस्तै राष्ट्रपति विद्यादेवी भण्डारीसित पनि शिष्टाचार भेट गरिन्। मधेसकेन्द्रित दलका नेताहरूसँग बेग्लै भेटघाट गरिन्। चुनावपछि नया सरकार गठन नभइसकेको र वर्तमान सरकार कामचलाउ हैसियतमा रहेका बेला छिमेकबाट भएको यो उच्चस्तरीय भ्रमण बैमौसम को भयो भनेर टीकाटिप्पणी पनि भएको छ। यद्यपि यो सद्भाव भ्रमणबाट भारतले नेपालसँग चिसिएको सम्बन्धमा पुनर्ताजगी खोजेको सन्देश दिएको छ। भारतले ०७२ असोज ३ गते जारी संघीय लोकतान्त्रिक संविधानलाई औपचारिक स्वागत गरेको छैन। यद्यपि भ्रमणपछि विदेश मन्त्रालयले जारी गरेको विज्ञप्तिमा चुनावको सफलताको कामना गर्दै लोकतान्त्रिक पद्धति संस्थागत गर्ने बाटोमा यसलाई कोसेढुंगाको रूपमा व्याख्या गरिएको छ। त्यसकारण यो भ्रमण विगतमा गरेका त्रुटि सच्याउने र विश्वास जित्ने अवसरका रूपमा भारतले उपयोग गर्न खोजेको देखिन्छ। भ्रमण त्यस्तो समयमा भएको छ, जुन बेला दुई ठूला कम्युनिस्ट पार्टीबीच पार्टी एकतासँगै सरकार गठनको तयारी चलिरहेको छ। जारी भएपछिका दिनमा नेपालको भारत सरकारसँगको सम्बन्ध चिसिएको थियो। खासगरी एमाले अध्यक्ष केपी ओली नेतृत्वको सरकार भएका बेला मधेस आन्दोलन र भारतको अघोषित नाकाबन्दी आदि घटनाक्रमले सम्बन्ध निकै चिसिएको थियो। अहिले ओली नया सरकारका प्रधानमन्त्रीका सशक्त दाबेदार देखिएको सन्दर्भमा भ्रमण हुनुले चिसिएको सम्बन्ध सुधार गर्ने चाहेको रूपमा यसलाई अथ्र्याइएको छ। नेपाल भारतको लागि ठूलो रणनीतिक महŒवको राष्ट्र हो। उसका नेपाल नीतिका अवधारणाका कारण पनि नेपालसँग निरन्तर सहकार्यमा रहनुपर्ने बाध्यता भारतलाई छ। भारत स्वतन्त्र भएदेखि नै नेपाललाई आफ्नो प्रभाव क्षेत्र का रूपमा मान्छ। दुई मुलुकबीचका खुला सीमाका कारण नेपाललाई आफ्नो सुरक्षा छातामा राखेर हेर्ने भारतीय अवधारणा पनि व्यावहारिक रूपमा अझै बदलिएको छैन। यस्ता औपनिवेशकालीन अवधारणा नेपाल भारत सम्बन्ध बिगार्ने कारक बनेका छन्। पानी, व्यापार, सामाजिक र सांस्कृतिक निकटताका कारण भारतको विदेश नीतिमा नेपाल महŒवपूर्ण स्थानमा पर्छ। त्यहीमाथि नेपालसँग असहज सम्बन्ध हुँदा नेपाल चीनसँग नजिकिन सक्ने र चीनको पहुँच नेपाली भूमि हुँदै उसको मुख्य भूमिमा पुग्ने डर पनि भारतलाई छ। भारतसँग रणनीतिक सहकार्य बढाउँदै लगेका अमेरिकालगायत पश्चिमा शक्तिको चाहना पनि यस्तै हुन्। नेपाल, भुटान, बंगलादेश, श्रीलंका, मालदिभ्सलगायत मुलुकमा प्रभाव पार्न ठुल्दाइ प्रवृत्ति देखाउनेभन्दा पनि आकर्षणका लागि सकारात्मक विधि अपनाउनुपर्ने बहस भारतमै हुन थालेको सन्दर्भमा भ्रमण भएको छ। नाकाबन्दीलगायत नकारात्मक रणनीतिले काम नगरेपछि र नेपालमा भारतले नरुचाएको भनिएको वाम गठबन्धनको विजयपछि भारतको रणनीति अहिले बदलिएको देखिन्छ। नेपालमा नयाँ बन्ने सरकार र त्यसमा संलग्न घटकसँग सकारात्मक सहकार्य गर्ने निष्कर्षमा भारत पुगेको देखिन्छ। सुष्मा स्वराजको नेपाल भ्रमण भारतको फेरिएको सोचको कडी हो। नेपालसँग राजनीतिज्ञकै तहमा खुला दिलले सहकार्य बढाउन लागेको हो भने यसलाई नेपालका सबै दल र बौद्धिक वर्गले सकारात्मक रूपमा नै हेर्नुपर्छ। एउटा कोणबाट वाम गठबन्धनबीच हुने भनिएको पार्टी एकता बिथोल्ने, चीनसँग नजिकिँदै गएको सम्बन्धमा भाजो हाल्न हतारिएर बेमौसममा भ्रमण गरिएको विश्लेषण पनि भएका छन्। यो अवस्थामा भारतको नेपाललाई हेर्ने रणनीतिक अवधारणामै परिवर्तन आउनु जरुरी छ। अहिले भारतीय प्रधानमन्त्री नेरन्द्र मोदीको टेलिफोन संवाद वा विदेशमन्त्री स्वराजको काठमाडौं भ्रमणमार्फत गरिएका पहल अल्पकालीन रणनीतिक चालबाजी मात्र हुन् भने भविष्यमा उसलाई प्रत्युत्पादक हुनेछ। सम्बन्धलाई नयाँ शिराबाट थाल्ने प्रयत्न हो भने त्यो फलदायी हुनेछ। त्यसका लागि भारतको नेपाल नीतिका औपनिवेशकालीन अवधारणा बदलिन आवश्यक छ।"
"प्रदेश ७ का महिला सांसद् भन्छन्, सुदूरपश्चिमले अब फड्को मार्छ","धनगढी : काठमाडौंबाट शनिबार दिउँसो सुदूरपश्चिम यातायातको गाडीबाट धनगढीका लागि हिँडेकी वादी समुदायकी पहिलो प्रदेशसभा सदस्य उमा वादी आइतबार बैठक सुरु हुनुभन्दा दुई मिनेटअघि मात्रै हस्याङफस्याङ गर्दै प्रदेशसभा भवन पुगिन्। सबै प्रदेशसभा सदस्य संसद् भवनबाहिरको डेस्कमा परिचयपत्र बुझेर हलभित्र बसिसकेका थिए। नारायणगढमुग्लिन सडकमा रातभर जाममा परेँ, बिहान आठ बजे धनगढी पुग्ने बसले दिउँसो साढे एक बजे बसपार्कमा उतायो, उनले हतारहतार भनिन्, अब मैले के गर्नुपर्छ ? संसद् सचिवालयका कर्मचारीले उनको उपस्थिति गराए, परिचयपत्र दिए र उनी हलतिर लागिन्। यसअघि सिंहदरबारमा वादीको यौनपेसा बन्द गरेर राज्यले पुनःस्थापना गर्नुपर्ने माग गर्दै उनले राज्यको ध्यानाकर्षण गराएकी थिइन्। संसदको नयाँ अनुभव भयो, त्यो काडमाडौंको सडक यात्राको जस्तो झुर हालत हाम्रो प्रदेशमा हुनुहुँदैन, संसद् बैठक समापन भएपछि बाहिरिँदै उनले भनिन्, अहिलेसम्म वादी र दलितको अधिकारका लागि सडकमा उर्लिएँ, अब सदनमा कराउँछु। र, सुदूरपश्चिमको विकासका लागि डटेर लाग्छु। उमाको जस्तै उमंग धेरै नयाँ प्रदेशसभा सदस्यमा थियो। डोटीबाट एमालेको समानुपातिक कोटाबाट प्रदेशसभा सदस्य भएकी पूर्णा जोशीले महिलाका धेरै कुरा राख्ने मन भए पनि पहिलो बैठकमा त्यो अवसर नपाएको बताइन्। एक दलको एक सदस्यले मात्र बोल्न पाउने भएकाले उनले आफ्ना धारणा राख्न पाइनन्। अर्को बैठकमा पहाडका महिलाका पीडा राख्ने उनको सोच छ। सबैजसो महिला सांसदले सुदूरपश्चिमलाई नयाँ किसिमले विकासको बाटोमा अघि बढाउनुपर्नेमा जोड दिएका छन्। एमालेकै अर्की समानुपातिक प्रदेशसभा सदस्य चुनकुमारी चौधरीले पनि संसद्को नौलो अनुभव सँगालेकी छन्। मेरो परिवार मुक्तकमैया हो, म पनि अर्काको घरमा कमलरीझैं बसेँ, अहिले सदनमा पुगेकी छु, उनले भनिन्, ती मुक्त कमैयाका मुद्दा मेरा प्राथमिकता हुनेछन्। ५३ सदस्यीय प्रदेश ७ को सदनमा १८ जना महिला छन्। यो प्रदेशमा एमालेबाट आठ, माओवादी केन्द्रबाट पाँच, कांग्रेसबाट चार र राष्ट्रिय जनता पार्टीबाट एक जना महिला प्रदेशसभा सदस्य छन्। सांसदको भूमिकामा बस्दा महिला हक अधिकारका विषयलाई सशक्त रूपमा उठाउने उनीहरूको भनाइ छ। सबैजसो महिला सांसदले सुदूरपश्चिमलाई नयाँ किसिमले विकासको बाटोमा अघि बढाउनुपर्नेमा जोड दिएका छन्। त्यसका लागि आफ्ना तर्फबाट सक्दो सहयोग गर्ने उनीहरूको प्रतिबद्धता छ। यसबाट मात्र सुदूरपश्चिमले विकासमा फड्को मार्ने उनीहरूले बताए।"
भारतसँग सम्बन्ध सुध्रिसक्यो',"काठमाडौँः नेकपा एमालेका सचिव प्रदीप ज्ञवालीले आफ्नो पार्टीका अध्यक्ष केपी शर्मा ओली प्रधानमन्त्री बनेलगत्तै भारतीय प्रधानमन्त्री नरेन्द्र मोदी नेपाल भ्रमणमा आउने खुलासा गरेका छन् । आइतबार रिपोर्टर्स क्लब नेपालले गरेको साक्षात्कारमा नेता ज्ञवालीले भारतीय विदेशमन्त्री सुष्मा स्वराजको नेपाल भ्रमणपछि दुई देशको सम्बन्ध थप सुमधुर भएको दाबी गर्दै एमाले अध्यक्ष केपी ओली प्रधानमन्त्री बनेलगत्तै मोदी नेपाल भ्रमणमा आउने बताए । स्वराजको नेपाल भ्रमणअघि नै ओली र भारतीय प्रधानमन्त्री नरेन्द्र मोदीबीचको टेलिफोन वार्तामा दुवै पक्षले एकअर्कालाई भ्रमणको निम्तो दिएकाले सोही अनुसार मोदी नेपाल आउने ज्ञवालीले बताए । साक्षात्कारमा बोल्दै उनले वाम गठबन्धनले भारतसँग सुमधुर सम्बन्ध राखेर जान चाहेको सुनाए । जसरी मोदीले ओलीलाई दुईपटक फोन गर्नुभयो, उनले भने, उहाँ स्वराज नेपाल भ्रमण आएर अविश्वास हटाउनुभयो । ओलीले मोदीलाई जनकपुर र मुक्तिनाथको भ्रमण रोकिएको स्मरण गराउँदै नेपाल भ्रमणको निम्तो दिएको पनि ज्ञवालीले बताए । नेपालभारत द्विपक्षीयसम्बन्ध सुधार भएको उनको विश्वास छ । ज्ञवालीले भारतीय विदेशमन्त्री सुष्मा स्वराजको नेपाल भ्रमणले दुई देशबीचको सम्बन्धमा भएको अविश्वास हटेको दाबी गरेका हुन् । स्वराजको भ्रमण भारत सरकारको रुचिअनुसार भएको दाबी गर्दै ज्ञवालीले अनावश्यक टिकाटिप्पणी गर्न उचित नभएको जिकिर गरे । वामपन्थीको बहुमत आएपछि बधाई दिँदै नयाँ सरकार गठनपछि सहकार्य गरौँ भन्न स्वराज आउनुभएको हो, उनले भने, नयाँ सरकारसँग सहकार्य गर्नका लागि वातावरण बनोस् भन्ने भारतको चाहना हो । विगतमा नेपालमा नयाँ सरकार बन्ने बेलामा नेपालकै नेताहरु भारत दौडिने गरेकोमा अहिले भारतका मन्त्री नेपाल आउनु सकारात्मक भएको उनले बताए । पहिला पहिला नेपालमा सरकार बन्ने बेला नेपालका नेताहरु दौडेर भारत जाने परम्परा थियो । यो गलत परम्परा तोडिएको छ, ज्ञवालीले भने । स्वराजको भ्रमणलाई सहज रुपमा लिनुपर्नेमा नकारात्मक टिप्पणी गरिएकोप्रति ज्ञवालीले आक्रोश पोखे । कतिपयले हिनताबोध र कुण्ठा व्यक्त गरेका छन्, उनले भने, यो आवश्यक छैन उनले भने । संविधान जारीपछिको नीतिमा भारतले पुनरावलोकन गर्न चाहेको संकेत पाइएको ज्ञवालीको भनाई छ । यद्यपि पछिल्लो समय नेपालभारतबीचको अविश्वास हटे पनि आगामी दिनमा कस्तो हुन्छ भन्ने ठोकुवा गर्न नसकिने ज्ञवालीको भनाई छ । अब समस्या आउँदैन भनेर ठोकुवा गर्न सकिने अवस्था छैन । कहिले अदुवा, कहिले चिया, कहिले कुचो निर्यातमा अवरोध भैरहेको छ । यसले नेपालको व्यापार घाटा बढाएको छ उनले भने । बेलाबेलामा सिमा विवाद हुने गरेको उल्लेख गर्दै ज्ञवालीले नयाँ नक्साअनुसार सिमानामा पिल्लर बनाउनुपर्ने बताए । फरक प्रसङ्गमा नेता ज्ञवालीले फागुन महिनाभित्रमा नयाँ सरकार गठन र पार्टी एकता प्रक्रिया टुङ्गोमा पुग्ने दाबी गरे । पछिल्लो समय पार्टी एकता हुँदैन भनेर गरिएको प्रचारप्रति आक्रोशित ज्ञवालीले एकता नचाहनेले गलत हल्ला चलाएको आरोप लगाए ।"
प्रदेश ६ को पहिलो प्रदेशसभा बैठक : सेल्फीदेखि सामूहिक तस्बिरसम्म (फोटोफिचर),"सुर्खेत : प्रदेश नम्बर ६ मा संसदको पहिलो बैठक वीरेन्द्रनगरमा सम्पन्न भएको छ। निर्धारित समय भन्दा केही ढिलो गरेर सिचाइँ डिभिजन कार्यालयको भवनमा बसेको बैठक सम्पन्न भएको हो। प्रदेश सभाको बैठकले माघ २९ सभामुख चयन गर्ने निर्णय गरेको छ। आइतबार सम्पन्न प्रदेश सभाको पहिलो बैठकले सभामुखको निर्वाचन सम्वन्धी प्रस्ताव पारित गरेको हो। पहिलो बैठकले सभामुखको निर्वाचन माघ २९ गते दिउँसो १ बजे तय गरेको छ। जेष्ठ सदस्य हिमबहादुर शाहीको अध्यक्षतामा पहिलो बैठक सम्पन्न भएको हो। बैठकमा जेष्ठ सदस्य शाहीले सभामुखको निर्वाचन सम्बन्धी प्रस्ताव निर्णायार्थ पेश गरेका थिए। बैठकले उक्त प्रस्ताव सर्वसम्मत रुपमा पारित गरेको हो। यस्तै, पहिलो बैठकले प्रदेश सभा कार्य सञ्चालन अन्तरिम कार्यविधि २०७४ सर्वसम्मत पारित गरेको छ। बैठकमा बोल्ने सांसदले प्रदेश ६ को समृद्धिका लागि एकजुट हुने प्रतिबद्धता जनाएका छन्। हालसम्म यो प्रदेश गरिबी र अभावले थलिएको भए पनि अब स्रोत र साधनको परिचालन गर्नुपर्नेमा जोड दिए। बैठकमा एमाले सांसद यामलाल कँडेल, माओवादीका महेन्द्रबहादुर शाही, कांग्रेसका जीवनबहादुर शाही र राप्रपाका शोसीला शाहीले धारणा राखेका थिए। पहिलो बैठकमा सहभागी हुन पाउँदा सांसदहरु उत्साहित देखिन्थे। करिब एक घण्टासम्म सञ्चालन भएको बैठकपछि सांसदहरुले आफसमा समूहिक तस्बिर खिचेका थिए।"
सहिदको तस्बिर सभाकक्षमा नराखेपछि प्रदेश २ मा विवाद,"जनकपुर : आइतबार प्रदेश नम्बर २ मा पहिलो प्रदेशसभा बैठक सम्पन्न भएको छ। बैठक सुरु भए लगत्तै सभाकक्षमा मधेस आन्दोलनका सहिदको तस्बिर नराखिएको भन्दै राजपाका प्रदेशसभा सदस्यले आपत्ति जनाए। राजपाका मनिष सुमनले सबैभन्दा पहिला उठेर सभामुख समक्ष सहिदको तस्बिर राख्न माग गरे। राजपाकै अर्का सदस्य परमेश्वर साहले विरोध जनाउँदै भने, हामी सहिदकै त्यागले आज यो एतिहासिक बैठकमा बस्न पाएका छौं र उहाँहरुकै सम्मान नहुँनु निन्दनीय हो। राजपा सांसदले सहिदको तस्बिर नराखेसम्म बैठक चल्नै नदिने अडान राखेर विरोध स्वरुप सदनमा उभिएका थिए। यसै क्रममा माओवादी केन्द्रका सदस्य भरत कुमार साहले मधेस आन्दोलनका साथै जनआन्दोलनका सहिदको तस्बिर पनि सभाकक्षमा राख्नुपर्ने माग गरे। सदस्यहरुको मांगलाई हेर्दै सभामुख चौधरीले आगामी बैठकमा मधेस आन्दोलनका सहिदको तस्बिर सभाकक्षमा राखिने आश्वासन दिएपछि बैठक सुचारु भएको थियो। प्रदेश २ को पहिलो बैठकः विकास र समृद्धिको सपना"
प्रदेश २ को पहिलो बैठकः विकास र समृद्धिको सपना,"जनकपुरधामः प्रदेश नम्बर २ पहिलो प्रदेशसभा बैठक आइतबार सम्पन्न भएको छ । जनकपुरमा बसेको प्रदेशसभाको पहिलो बैठकमा सबैभन्दा बलियो मुद्दाको रूपमा विकास र समृद्धि रह्यो । प्रदेश प्रमुख रत्नेश्वरलाल कायस्थले ११ बजेका लागि बैठक आह्वान गरे पनि एक घण्टा ढिलो गरी बसेको थियो । पहिलो बैठकको सभामुखको भूमिकामा ज्येष्ठ सदस्य लगनलाल चौधरीले प्रदेश प्रमुख रत्नेश्वरलाल कायस्थले प्रथम प्रदेशसभा बैठक आह्वान गर्न जारी गरेको सूचना पढेर सुनाएका थिए । त्यसपछि राष्ट्रिय धुन बजेको थियो । सहिदको तस्बिरले हंगामा प्रथम बैठकबाट प्रदेशसभाको अन्तरिम कार्यविधि पारित भएपछि शहिदहरुको सम्झनामा एक मिनेट मौनधारण गरिएको थियो । बैठक सुरु हुनेबित्तिकै मधेस आन्दोलनका सहिदहरुको तस्बिर सभामुखको कुर्सीको पछाडिको भित्तामा किन राखिएन भन्दै राजपाका नेता मनिष सुमनले उठेर विरोध जनाए । त्यसलगत्तै राजपाका नेता परमेश्वर साहले सहिदकै बलिदानीका कारण आफूहरू आज ऐतिहासिक बैठकमा बस्न पाउने मौका पाएकाले सहिदको तस्बिर नराखिएकोमा आपत्ति जनाए । उनीसँगै राजपाकी नेतृ डिम्पल झा लगायतले सहिदहरूको तस्बिर राखेमात्र सदनको बैठक अघि बढ्न दिने भन्दै विरोध जनाउँदै उठेका थिए । विधायकहरुको विरोधलाई हेर्दै सभामुख चौधरीले सङ्घीय संसद् सचिवालयका सहसचिव वंशिराज पौडेलसँग सल्लाह गरेर तुरुन्तै सहिदहरुको तस्बिर बैठक कक्षमा राख्ने आदेश दिएपछि बैठक अघि बढेको थियो । जनआन्दोलनका तस्बिर पनि राजपाका सांसदहरूले मधेस आन्दोलनका सहिदहरुको तस्बिर राख्न भनेपछि माओवादी केन्द्रका सांसद भरत साहले जनआन्दोलनका सहिदहरुको तस्बिर समेत संसद् भवनमा राख्नु पर्ने माग गरेका थिए । बैठकमा सङ्घीय लोकतान्त्रिक फोरमका तर्फबाट लालबाबु राउत, राजपाका तर्फबाट जितेन्द्र सोनल, नेपाली कांग्रेसका तर्फबाट रामसरोज यादव, एमालेका तर्फबाट सत्यनारायण मण्डल र शत्रुधन महतो, सङ्घीय समाजवादी पार्टीको तर्फबाट सावित्रि देवी साह र स्वतन्त्र उम्मेदवार शेख अब्दुल कलाम आजादले शुभकामना मन्तव्य राखेका थिए । बैठकमा शुभकामना मन्तव्य राखेका सबै सांसदहरूले यस प्रदेशलाई नमुना प्रदेशको रूप दिन विकास र सम्बृद्धिको मुद्दामा सबै दल एक हुनुपर्ने धारणा राखे । सांसदहरूको मन्तव्य पश्चात् सभामुख चौधरीले आगामी फाल्गुन २ गते बस्ने प्रदेशसभाको अर्को बैठकबाट सभामुखको निर्वाचन गरिने छ । बैठक माघ २९ गते दिउँसो १ बजेका लागि तय गरी स्थगित भएको छ।"
सभामुखले ताली ठोक्नुहोस् भनेपछि,"सुर्खेतः प्रदेश नम्बर ६ को आइतबार सम्पन्न प्रदेश सभाको पहिलो बैठकमा सभामुखको भूमिका निर्वाह गरेका जेष्ठ सदस्य हिमबहादुर शाहीले कार्यसूची अनुसार प्रस्ताव निर्णायार्थ पेश गरे। सोही क्रममा उनले प्रदेशसभा कार्य संचालन अन्तरिम कार्यविधि र सभामुखको निर्वाचन मिति सम्बन्धी प्रस्तावमा सांसदलाई निर्णयार्थ प्रस्तुत गरे। सोही क्रममा सभामुखले प्रस्तावमा सहमत हुनेले ताली ठोक्नुस् भनेपछि सभाकक्ष हाँसोले गुन्जिएको थियो। बैठक कक्षमा सांसदलाई बस्नका लागि कुर्सी राखिएका थिए। तर, हतारहतारमा व्यवस्थापनको काम सम्पन्न भएकाले बैठक कक्षमा टेबुल भने राखिएका थिएनन्। जसका कारण सांसदहरुले आइतबार टेब्ुल ठोक्न पाएनन्। टेबुल नभएका कारण पनि सभामुखले सांसदलाई ताली बजाउन आग्रह गर्नु परेको थियो। बैठकमा सभामुख शाहीले भने,प्रस्तावको पक्षमा हुने माननीयले हुन्छ भन्नुहोला, प्रस्तावको विपक्षमा हुने माननीयले हुन्न भन्नुहोला। अब यो प्रस्तावको पक्षमा सहमत हुनेले ताली ठोक्नुस्। सभामुखले ताली ठोक्नुस् भनेपछि बैठक कक्षमा हाँसो छाएको थियो। राजतन्त्रको पक्षमा वकालत यसैबीच पहिलो बैठकमा राजतन्त्र र हिन्दुराष्ट्रको पक्षमा वकालत भएको छ। प्रदेशसभाको पहिलो बैठकमा राप्रपाका एकमात्र सांसद सुशीला शाहीले राजतन्त्र र हिन्दुराष्ट्रको पक्षमा पुनर्विचार हुनुपर्ने बताइन्। उनले भनिन्, गणतन्त्र र धर्म निरपेक्षता जनताको चाहना विपरित घोषणा गरियो, यो जनताको भावना विपरित छ। यसमा अब पुनर्विचार होस्।"
फोरमबाट लालबाबु राउत बने संसदीय दलको नेता,"जनकपुरधाम : संघीय समाजवादी फोरमले प्रदेश नम्बर २ मा संसदीय दलको नेतामा लालबाबु राउतलाई चयन गरेको छ। राउतको नाम संसदीय दलको नेतामा चयन भएपछि उनलाई मुख्यमन्त्री बन्ने मार्गप्रशस्त भएको छ। राउत पर्साबाट प्रदेशसभामा निर्वाचित सांसद हुन्। फोरमले मुख्यमन्त्री पाए राउत नेपालकै अल्पसंख्यक मुस्लिम समुदायबाट प्रतिनिधित्व गर्दै मुख्यमन्त्री पदमा पुग्ने प्रथम व्यक्ति हुनेछन्। जनकपुरमा शनिबारदेखि बसेको संसदीय दलको नेता छनोटको बैठकले आइतबार अबेर राउतलाई दलको नेतामा चयन गरेको हो। यसअघि दलको नेताका लागि राउतसहित सात जनाले उम्मेदवारी दिएका थिए। तर, सहमतिको लागि प्रयास थालिएपछि अन्यले नाम फिर्ता लिएका हुन्। राउतसँगै संसदीय दलको नेतामा फोरमका कोषाध्यक्ष विजय यादव र शैलेन्द्र साहको दावेदारी देखिएको थियो। प्रदेश नम्बर दुईमा फोरमको सबैभन्दा बढी २९ सिट रहेको छ। राजपा नेपालको २५ सिटे छ। दुवै मधेसवादी दल मिलेर सरकार बनाउने हुनाले फोरमले मुख्यमन्त्री र राजपाबाट सभामुख पाउने निश्चित छ।"
प्रदेश ५ लाई सबैभन्दा समृद्ध बनाउँछौंः शंकर पोखरेल,"भैरहवाः प्रदेश नं ५ को मुख्यमन्त्रीका एक्ला दाबेदार एमाले नेता शंकर पोखरेले यस प्रदेशलाई देशकै सबैभन्दा समृद्ध बनाउन सकिने बताएका छन् । प्रदेश नं ५ को पहिलो संसद बैठक बैठकमा बोल्दै एमालेका संसदीय दलका नेता पोखरेलले संसदको पहिलो बैठकमा प्रदेश पाँच पर्यटकीयस्थलबाटै विकास हुने बताएका हुन् । प्रदेशको पहिलो बैठकमा उनले पाँच नम्बर प्रदेशको मुख्य १२ वटै पर्यटकीयस्थलको नाम सम्झिँदै प्रदेशको समृद्धि र विकास पर्यटकीयस्थलबाट नै हुने बताए । उनले पाँच नम्बर प्रदेश पुर्ण पर्यटकीयस्थलले भरिएको उल्लेख गर्दै पर्यटकीयस्थलले नै आफ्नो प्रदेश समृद्धिपथमा लम्किने उल्लेख गरे । उनले सबैजना एकसाथ अगाडि बढे यस प्रदेशलाई मुलुकमै एक नम्बर प्रदेश बनाउन सक्ने बताए । पाँच नम्बरबाट गरिबी, बेरोजगारी हटाएर प्रदेशलाई समृद्धि बनाउनतर्फ आफुहरु एकसाथ लाग्नुपर्छ, उनले भने । पोखरेलले अहिलेको समय निकै महत्वपुर्ण भएको बताउँदै प्रदेशको समृद्धि र विकास सँगसँगै लानुपर्ने बताए । पोखरेलले निकै कम समयमा धेरै कानुन पनि निर्माण गर्ने भएकाले सबै एकजुट भएर अघि बढ्नुपर्ने आवश्यकता रहेको औँल्याए । बैठकमा माओवादीका कुलप्रसाद शर्मा, कांग्रेसका वीरबहादुर राना, संघीय समाजवादी फोरमा सहश्राम यादव र जनमोर्चा तारा केसी बोलेका थिए । पहिलो बैठक एक घण्टामै सकिएको थियो ।"
एमालेमाओवादी एकता भाँड्नेहरु को हुन् ? प्रचण्डको यस्तो खुलासा,"काठमाडौँ: नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्डले नेकपाएमालेसँग हुन लागेको पार्टी एकतालाई भाँड्न अनेक खेल भइरहेको बताएका छन् । 'एकता प्रक्रियालाई बिथोल्न सकिन्छ कि भनेर अनेकन प्रयत्न भएका छन्', उनले बिथोल्नेहरुको पहिचान नखुलाई भने, 'त्यस्ता कुनै पनि प्रयन्तलाई असफल पारेर नेपाली जनताको चाहनाबमोजिम एकता प्रक्रियालाई सार्थक निष्कर्षमा पुर्याउन हामी प्रतिबद्ध छौँ ।' अखिल क्रान्तिकारीको केन्द्रीय पदाधिकारीसँग आइतवार आफ्नै निवास खुमलटारमा छलफल गर्दै अध्यक्ष दाहालले जनअपेक्षाविपरीत जाने छुट कोही कसैलाई पनि नभएकाले पार्टी एकता जुनसुकै हालतमा नै हुने विश्वास व्यक्त गरे । एकता प्रक्रियाबाट बाहिर जाने छुट कोही कसैलाई पनि नभएकोमा दाहालले जोड दिए । 'एमाले र माओवादी केन्द्रले पछाडि फर्केर जाने पुल भत्काइसकेका छन् । अब पछाडि फर्कने ठाउँ छैन', उनले भने । पार्टी एकता हुँदैन कि भन्ने अनेकन हल्ला चलिरहेकोतर्फ संकेत गर्दै उनले दुई ठूला पार्टीका बीचमा अगाडि बढेको सहअस्तित्वसहितको एकताका विषयमा आएका नकारात्मक टिप्पणीको कुनै अर्थ नभएको बताए । 'भाँड्ने प्रयास भएका छन् । एमाले अध्यक्ष केपी ओली र म आफैँ स्वयं एकताको पक्षमा दृढताका साथ उभिएकाले कुनै पनि अवरोधले अगाडि बढिसकेको प्रक्रिया रोकिँदैन', अध्यक्ष दाहालले भने । एमाले नेतृत्वसँग सार्थक बहस र छलफल भइरहेको जानकारी दिँदै अध्यक्ष दाहालले सरकार गठन हुनुभन्दा पहिले नै पार्टी एकतालाई तार्किक निष्कर्षमा पुर्याउन पहल भइरहेको बताए । 'सकेसम्म सरकार गठन हुनुभन्दा पहिले नै एकता गर्नुपर्छ भन्नेमा केपी ओली र म दुवै लागिपरेका छौँ', उनले भने । भेटमा सहभागी अखिल क्रान्तिकारीका उपाध्यक्ष वीरेन्द्र बस्नेतका अनुसार एकता घोषणा समारोहलाई भव्य बनाउने विषयमा समेत दुई पार्टीबीचमा छलफल भइरहेको अध्यक्ष दाहालको भनाइ थियो ।"
