शीर्षक,विवरण
प्रधानन्यायाधीशीय' पद्धति,"अन्ततः सर्वोच्च अदालतको बृहत् पूर्ण इजलासको केही साताअघि जारी गरेको परमादेशको पूर्ण पाठ, व्याख्या र आदेश सार्वजनिक भएको छ । संवैधानिक इजलास गठनको लागि न्याय परिषद्लाई उक्त फैसलाले १५ दिनको म्याद दिएको छ र विडम्बना इजलास गठनमा संस्थागत रूपमा न्याय परिषद्भन्दा व्यक्तिगत रूपमा प्रधानन्यायाधीशलाई बढी शक्ति प्रदान गरेको छ, यो परमादेशमा अन्तरनिहित सन्देशले । अर्थात् नेपालको न्याय व्यवस्था अब क्रमशः प्रधानन्यायाधीशीय पद्धतिद्वारा निर्देशित हुनेछ । संवैधानिक प्रावधानअनुसार प्रधानन्यायाधीशमा संवैधानिक इजलासको लागि न्यायाधीश तोक्ने स्वविवेकीय अधिकारको पक्षमा परमादेश जारी गर्ने बृहत् पूर्ण इजलास उभिएको छ । प्रधानन्यायाधीशको नेतृत्वमा गठित न्याय परिषद्लाई नै त्यो विज्ञता, विवेक र निर्णयको अधिकारको स्रोतरक्षकका रूपमा स्थापित गरिएपछि प्रधानन्यायाधीशलाई अलग्गै शक्ति प्रदान गरिनुको पछाडि केही रहस्य छन् या छैनन्, तत्काल भन्न कठिन छ, तर भविष्यमा यसले न्यायिक स्वेच्छाचारिता र न्यायिक अधिनायकवाद तथा स्वच्छन्दता जन्माउने पूर्ण खतरा छ । अहिले अमूक राजनीतिक दलहरू र न्यायपालिकाबीचको बढ्दो साँठगाँठ र त्यसबाट निर्देशित भई न्यायाधीशहरूको नियुक्ति नांगो रूपमा भएको अवस्थामा न्यायाधीश निष्पक्ष, चरित्रवान् र नैतिकवान् नै छन् र आउनेछन् भन्ने अवस्थामा छैन । त्यसैले न्याय परिषद्सरहको अधिकार स्वविवेक' को नाममा प्रधानन्यायाधीशलाई दिनु स्वच्छन्दताको खतरालाई वैधानिकता दिनुसरह हो, भोलिका प्रधानन्यायाधीश यदी विवेकहीन आए भने ? न्यायपरिषद्लाई पाँचभन्दा बढी नाम संवैधानिक इजलासमा सिफारिस गर्न आदेश जारी गरेर प्रधानन्यायाधीशको तजविजी अधिकारलाई संवैधानिक हैसियत र एक किसिमले परिषद्भन्दा माथिको हैसियत प्रदान गरेको छ, सर्वोच्चको परमादेशले । परमादेशसम्बन्धी आदेशमा मुलुकी ऐन अदालती बन्दोबस्त महलको ३० नम्बर र न्यायाधीश आचारसंहिता २०६५ तथा आफ्नो स्वार्थ जोडिएको विषयमा आफैं निर्णय गर्न नहुने प्राकृतिक नामको सिद्धान्तसमेतको दृष्टिले विचार गर्दा उक्त इजलासमा तोकिएको न्यायाधीशले हेर्न नमिल्ने सम्भावित अवस्थालाई ध्यानमा राखी हाल अभ्यासमा रहेको न्यायपरिषद्ले तोक्ने चारजना सदस्य न्यायाधीशको विकल्पमा धेरै संख्यामा सिफारिस गर्नसक्ने गरी सुविधा दिइएको छ । ति बहुसंख्यक न्यायाधीशमध्येबाट प्रधानन्यायाधीशले संवैधानिक इजलासका लागि आफूखुसी छान्न पाउने छन् । प्रधानन्यायाधीशलाई दिइने यस्तो तजबजी अधिकारका कारण स्वच्छन्दता' र निरङकुसता' जन्मने खतरा उत्पन्न नहोला भन्न सकिँदैन । नेपालमा राणाशासनपछिको सर्वोच्च न्यायपालिकामा यो सिद्धान्तलाई विगत केही महिना देखिने गरी भत्काइएको छ । त्यति मात्र हैन, केही विशेष न्यायाधीशहरूले मात्र महत्ववपूर्ण मुद्दामामिलाको जिम्मा पाएका छन् । त्यो आफैंमा एउटा अघोषित प्रधानन्यायाधीशीय पद्धतिको संकेत थियो । यो परमादेश त्यो संकेतको संवैधानिक' र वैधानिक' अनुमोदनको रूपमा आएको छ । सर्वोच्च अदालतले एउटा विशेष परिस्थिति र मामिला सन्दर्भमा अधिवक्ता माधवकुमार बस्नेतद्वारा दायर याचिकाका आधारमा संवैधानिक इजलास' गठनको लागि परमादेश जारी गरेको छ । त्यसबारे सम्भवतः बार' ले आफ्नो प्रतिक्रिया दिनैपर्नेछ, किनकि यो परमादेशले न्यायमा वस्तुनिष्ठताभन्दा व्यक्तिपरकताको गन्ध बढी आउनेछ भविष्यमा । प्रधानन्यायाधीशमा विवेक' हुनैपर्ने कल्पना परमादेशमा गरिएको छ । त्यसैले सुखद कल्पना गरौं संसद्ले पनि यसबारे आफ्नो स्वविवेक' प्रयोग गरी अदालतको भावी निष्पक्षता सुनिश्चित गर्नेछ ।"
संसदमा ९० जना सांसद मात्रै !,काठमाडौ : व्यवस्थापिका संसदको बिहीबारको बैठकमा ९० जना सांसद मात्रै उपस्थित भएका छन्। संसदमा गणपूरक संख्या नरहेको वारेमा नेपाल मजदुर किसान पार्टीका सांसद प्रेम सुवालले सभामुख ओनसरी घर्तीको ध्यानाकर्षण गराउनु भएपछि गणना गर्दा ९० जना मात्रै सांसद संसदमा रहेको पाइएको हो। सांसद सुवालले ध्यानाकर्षण गराएपछि तत्कालै सभामुख घर्तीले सांसदहरुको उपस्थिति गणना गर्न संसद सचिवालयका कर्मचारीहरुलाई निर्देशन दिनु भएको थियो। गणपुरक संख्यामा सांसद उपस्थित नरहेको पाइएपछि बैठक आइतवारसम्मका लागि बैठक स्थगित भएको छ । एकतिहाई संख्याका लागि एक सय ५० जना सांसद उपस्थित हुनु पर्ने थियो ।
मोर्चाको लाठी जुलुसमा प्रहरीको हस्तक्षेप,"जनकपुरधाम: संयुक्त लोकतान्त्रिक मधेसी मोर्चासहित संघीय गठबन्धनद्धारा जनकपुरमा निकालिएको लाठी जुलुसमा प्रहरीले हस्तक्षेप गरेको छ । लाठी जुलुस निकाल्ने क्रममा प्रहरीले स्थानीय रामानन्द चौकमा हस्तक्षेप गरेको थियो । यद्यपी, मोर्चाका कार्यकर्ताहरुले प्रहरीको हस्तक्षेपको बीच प्रर्दशन गरेका थिए । प्रहरीले हस्तक्षेप गर्दा मोर्चाका कार्यकर्ता र सुरक्षाकर्मीबीच सामान्य झडप भएको थियो । व्यवस्थापिका संसदमा दर्ता गराईएको संविधान संशोधन विधेयक तथा स्थानीय तह निर्वाचनको विरोधमा मधेसी मोर्चासहित गठबन्धनले विहीबार जनकपुरको रामानन्द चौकबाट लाठी जुलुस प्रर्दशन गरेका थिए । रामानन्द चोकबाट निस्केको जुलुसले वर्तमान सरकारको विरोधमा नाराबाजी गर्दै नगरको विभिन्न भागमा परिक्रमा गरी जनकचोकमा पुगेर कोणसभामा परिणत भएको थियो । कोणसभामा बोल्दै मोर्चाका स्थानीय नेताहरुले संविधान संशोधनभन्दा अगाडी हुने कुनै पनि निर्वाचन आफूहरुलाई मान्य नहुने बताएका थिए । सरकारले जवरजस्ती स्थानीय तहको निर्वाचन गराउने प्रयास गर्यो भने मधेसमा कुनै पनि हालतमा सफल हुन नदिने उनीहरुले चेतावनी समेत दिएका छन् । संसदमा दर्ता गराईएको संविधान संशोधन विधेयकमा मधेसको एजेन्डा सम्बोधन नै नगरिएको उनीहरुको दावी छ । मोर्चाले जनकपुरसहित महोत्तरी, सिरहा, सप्तरी सहितका जिल्लाहरुमा पनि लाठी जुलुस प्रर्दशन गरेको हो । त्यसैगरी मोर्चाको पूर्वघोषित कार्यक्रम अनुसार शनिबार स्थानीय तिरहुतिया गाछीमा विरोधसभाको आयोजना गरिने समेत जनाईएको छ ।"
'राप्रपाका गतिविधि आपत्तिजनक',"काठमाडौः निर्वाचन आयोगले सत्तासीन राष्ट्रिय प्रजातन्त्र पार्टीका पछिल्ला गतिविधिप्रति आपत्ति जनाएको छ । राप्रपाको विधानबाट संवैधानिक राजसंस्था र हिन्दुराष्ट्र हटाउने आयोगको निर्णय जलाइनु र पार्टी अध्यक्ष तथा उपप्रधानमन्त्री कमल थापाबाट आपत्तिजनक अभिव्यक्ति आउनु दुःखद रहेको आयोगले जनाएको छ । आयोगले विधानबाट संवैधानिक राजसंस्था र हिन्दुराष्ट्र हटाएपछि राप्रपाले मंगलबार देशभर निर्णयको प्रति जलाएर विरोध प्रदर्शन गरेको थियो । पार्टी अध्यक्ष एवं उपप्रधानमन्त्री थापाले आयोगको निर्णय नसच्चिए सत्ता छाडेर सडक संघर्षमा जाने धम्की दिनुभएको थियो । राप्रपाले निर्वाचन आयोगले गरेको निर्णय जलाउने तथा सो व्यहोराको विज्ञप्ति जारी गर्नेसम्मका क्रियाकलाप भएको र मन्त्रिपरिषद्को वरिष्ठ सदस्यसमेत रहेको दलको तर्फबाट भएका त्यसप्रकारका विज्ञप्ति र क्रियाकलापबाट आयोग मर्माहत भएको छ,' आयोग प्रवक्ता सूर्यप्रसाद शर्माद्वारा जारी विज्ञप्तिमा उल्लेख छ । सत्तासीन दलका अध्यक्ष तथा उपप्रधानमन्त्रीका अभिव्यक्तिप्रति गम्भीर ध्यानाकर्षण भएको जनाउँदै आयोगले कानुनअनुसार काम नगर्न दबाब दिइनु आपत्तिजनक भएको बताएको छ । आयोगले गरेको कार्यसम्पादनलाई लिएर सत्तारुढ दल राष्ट्रिय प्रजातन्त्र पार्टीका अध्यक्ष तथा उपप्रधानमन्त्रीसमेत रहनुभएका सो दलका नेताबाट व्यक्त भएका भनी आमसञ्चार माध्यमबाट प्रकाशित विचार र उहाँको पार्टीका तर्फबाट केही दिनयता भएका गतिविधिप्रति आयोगको गम्भीर ध्यानाकर्षण भएको छ,' विज्ञप्तिमा भनिएको छ, नेपालको संविधान र कानुनअनुसार आयोगले कार्यसञ्चालन गरिरहेको अवस्थामा त्यसो नगर्न दबाब दिने क्रियाकलापप्रति गम्भीर आपत्ति प्रकट गर्दै आयोग भविष्यमा यस्ता गतिविधि दोहोरिन नदिन ध्यानाकर्षण गराउँछ ।' राप्रपाको विधानबाट संवैधानिक राजतन्त्र र हिन्दुराष्ट्र संविधान र ऐनअनुसार हटाइएको आयोगको दाबी छ । आयोगले राप्रपाको विधानबाट संवैधानिक राजतन्त्र र हिन्दु राष्ट्र हटाउने निर्णय पुनर्विचार गरिदिन उक्त दलले गरेको आग्रहबारे स्थानीय तहको निर्वाचनपछि मात्र निर्णय हुने जनाएको छ । आयोग प्रवक्ता शर्माले अर्को विज्ञप्ति प्रकाशित गरी चुनावको काममा व्यस्त रहेकाले राप्रपाले पुनर्विचार गरिदिन गरेको आग्रहबारे चुनावपछि मात्र निर्णय हुने जानकारी दिनुभएको हो । उक्त पार्टीको पत्रमा पूर्व माग भई आएको विषयमा थप स्पष्टता हुनुपर्ने व्यहोरा उल्लेख भई आएकोमा त्यसप्रति आयोगको ध्यानाकर्षण भएको र स्थानीय तह निर्वाचनको मिति नजिकै आइसकेको र निर्वाचन व्यवस्थापनमा आयोग निकै व्यस्त भएको हुँदा सो मितिमा आयोगबाट भएको निर्णयलाई पुनर्विचार गरिदिन भनी उक्त दलबाट पटकपटक माग भएको विषयलाई हाल थाँती राख्ने र स्थानीय तह निर्वाचन सम्पन्न भएपछि मात्र आयोगले निर्णय गर्ने व्यहोराको जानकारी सम्बन्धित दललाई दिने,' आयोगको बुधबारको निर्णयमा भनिएको छ । यसअघि आयोगले उपप्रधान तथा गृहमन्त्री विमलेन्द्र निधिले आयोगको कामकारबाहीबारे गरेको ट्विटप्रति पनि कडा आपत्ति जनाएको थियो । वैशाख ३१ गते नै स्थानीय तहको निर्वाचन एकै चरणमा गर्न आयोग प्रतिबद्ध रहेको भन्दै आयोगले चुनावको अन्तिम तयारी भइरहेको स्पष्ट गरेको छ । संविधानले व्यवस्था गरेअनुसार निर्वाचन आयोगले आफ्नो संवैधानिक दायित्व स्वतन्त्र रूपमा निर्वाह गरिरहेको छ र आयोग ०७४ वैशाख ३१ गते आइतबार हुने स्थानीय तह निर्वाचनलाई स्वच्छ, स्वतन्त्र, निष्पक्ष, पारदर्शी तथा विश्वसनीय बनाउन अन्तिम तयारीमा जुटेको व्यहोरा सबैमा विदितै छ,' विज्ञप्तिमा भनिएको छ ।"
सरकार दुई चरणमा निर्वाचन गर्न तयार: उपप्रधानमन्त्री थापा,"हेटौंडा: राप्रपा अध्यक्ष तथा उपप्रधानमन्त्री कमल थापाले मधेशी मोर्चा सहमतिमा आए दुई चरणमा निर्वाचन गर्न सरकार तयार रहेको बताउनुभएको छ। हेटौँडामा विहीबार भएको राप्रपाको चुनावी सभामा बोल्दै उपप्रधानमन्त्री थापाले मोर्चा सहमतिमा आए दुई चरणमा निर्वाचन गर्न सकिने बताउनुभएको हो। निर्वाचन बहिस्कार जस्तो अप्रिय निर्णय नलिन मोर्चालाई आग्रह गर्दै उहाँले भन्नुभयो, 'तपाईहरु सहमतिमा आउनुहोस्, निर्वाचन दुई चरणमा गर्न सकिन्छ।' मोर्चालाई सहमतिमा ल्याउन सरकार र र प्रमुख प्रतिपक्ष दल नेकपा एमाले समेत लागि परेको उहाँले जानकारी दिनुभयो । शान्ति कामय गर्दै विकासको दिशामा अघि बढ्ने वा स्थिरता कायम राख्ने,त्यसको फैसला निर्वाचनले गर्ने भएकाले सबैलाई सहभागी हुन थापाले आग्रह गर्नुभयो। स्थानीय तह निर्वाचनमा राप्रपाका एजेण्डाहरु बारे बोल्दै अध्यक्ष थापाले राप्रपा विजयी भए गौ हत्यारालाई कडा कारबाहीको कानुन निर्माणसँगै स्थानीय तह एक गौशला निर्माण गर्नेसम्मको घोषणा गर्नुभयो। 'राप्रपा विजयी भए धर्म बिरोधी कुरा र गौ हत्यालाई रोक्छौं, प्रत्येक गाउँपालिका र नगरपालिकामा गौशला निर्माण गर्नेछौं',उहाँले भन्नुभयो। धर्मको नामममा हुने गरेका अन्याय तथा विभेदपूर्ण ब्यवस्थालाई अन्त्य गर्नुका साथै हिन्दु धर्मको संरक्षण गरिने उहाँको भनाई छ। साथै राप्रपाले विजयी हाँसिल गरे प्रत्येक गाउँपालिकामा एक इन्जिनियर र डक्टरलाई निशुल्क पढाउने समेत उहाँले घोषणा गर्नुभयो। कार्यक्रममा बोल्दै राप्रपाका पूर्व अध्यक्ष पशुपतिशम्सेर राणाले संविधान संशोधनमा लचिलो भएर भएपनि मधेशी मोर्चालाई निर्वाचनमा सामेल गराउन सरकारलाई आग्रह गर्नुभयो। कार्यक्रममा राप्रपाका उपाध्यक्ष विक्रम पाण्डे, केन्द्रीय सदस्य एवं गायिका कोमल वली, नायिका रेखा थापा,केन्द्रीय सदस्य दिपकबहादुर सिंह, पूर्व केन्द्रीय सदस्य मधु अधिकारी, सांसद गणेश थापा लगायतले राप्रपा बैकल्पिक शक्तिको रुपमा अघि बढेको भन्दै राप्रपाबाट मात्रै देश विकास सम्भव रहेको दावि गर्नुभएको थियो। मयेरमा अधिकारी प्रत्यासी राप्रपाले हेटौंडा उपमहानगरपालिकाको मेयरमा पूर्व केन्द्रीय सदस्य मधु अधिकारीलाई उम्मेदवार बनाउने घोषणा गरेको छ । सभामा अधिकारीलाई उम्मेदवार घोषणा गरिएको हो। २०४५ सालदेखि राजनीति यात्र सुरु गरेका अधिकारी पूर्व राजा ज्ञानेन्द्र शाखाको पालमा हेटाँैडा नगरपालिकाको दश महिना मेयर समेत भएका थिए।"
प्रचण्ड सरकार बैसाखीको भरमा : लोहनी,"नुवाकोट : राष्ट्रिय प्रजातन्त्र पार्टी राष्ट्रवादीका अध्यक्ष डा प्रकाशचन्द्र लोहनीले पुष्पकमल दाहाल प्रचण्ड नेतृत्वको सरकार बैसाखीको भरमा टिकेको आरोप लगाउनुभएको छ । विदेशीको बैसाखी र इशारामा चलेको सरकारले घोषित मितिमा स्थानीय तहको निर्वाचन गर्नेमा आशंका लागेको लोहनीको भनाइ छ। पूर्वपरराष्ट्र तथा अर्थमन्त्रीसमेत रहेका डा लोहनीले सरकार सरकार अर्कैको खुट्टामा उभिरहेकाले निर्वाचन गर्ने विषयमा विश्वास गर्ने वातावरण नबनेको बताउनुभयो । देशमा १९ वर्षदेखि स्थानीय तहको निर्वाचन हुन नसकेको अवस्थामा निर्वाचन अपरिहार्य छ । तर, यो सरकारले सबैको भावना बुझ्न नसक्ने भएका कारण निर्वाचन समयमै हुन नसक्ने डा लोहनीले तर्क गर्नुभयो । नयाँ दल गठन गरेपछि पहिलो पटक नुवाकोटको सदरमुकाम विदुरमा बिहीवार एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी राष्ट्रवादीको विस्तृत भेलाको उद्घाटन गर्दै अध्यक्ष डा लोहनीले वर्तमान सरकार विभिन्न निकायमा आफ्ना कार्यकर्ता भर्ती गर्ने र लुटतन्त्रमा केन्द्रीत भएको आरोप लगाउनुभयो । डा लोहनीले आफ्नो दलले यही वैशाख १० गतेदेखि देशव्यापी रुपमा भ्रष्टाचारमुक्त देश बनाउने लक्ष्य लिएर आन्दोलन सुरु गर्ने तयारी गरेको खुलासा गर्दै समावेशी राष्ट्रियता, वहुलवादी प्रजातन्त्र, प्रगतिशील उदारवाद, हिन्दुत्व, संवैधानिक राजतन्त्र र भ्रष्टाचारमुक्त समाजका लागि आन्लोलन सुरु गर्ने बताउनुभयो। हरेक विषयमा एक्लौटी ढंगले चलेको प्रचण्ड सरकार नालायक भएको पनि अध्यक्ष डा लोहनीले आरोप लगाउनुभयो । भूकम्पपछिको पुर्ननिर्माण तथा समसामयिक राजनीतिक परिवेशलाई सरकारले अगाडि बढाउन नसकेको डा लोहनीको आरोप छ। कार्यक्रममा नेता केशरवहादुर विष्टले प्रचण्ड नेतृत्वको सरकारले एकलौटी रुपमा जनतामाथि निरंकुशता लादेको दावी गर्दै सरकारको शैली गलत भएको आरोप लगाउनुभयो। उहाँले संविधान संसोधन नागरिकका मागको आधारमा हुन सक्ने भएपनि मधेसवादी दलले भने जसरी अहिलेको अवस्थामा संविधान संसोधन हुनै नसक्ने बताउनुभयो । कार्यक्रममा सोही दलका केन्द्रीय सदस्य तथा सचिवालय सदस्य भरतजंग उप्रेतीले सरकारले संविधान संशोधन भन्दा पनि जनताको सम्मानका लागि निर्वाचन अपरिहार्य भएको ठहर गर्नुभयो । कार्यक्रममा केन्द्रीय सदस्यहरु तारानाथ लुइटेल, श्यामकुमार केसी, प्रा डा सुष्मा आचार्य, श्याम तिमिल्सिनालगायतले सरकारले घोषित मितिमा निर्वाचन गर्नेमा आशंका व्यक्त गर्नुभयो ।"
निर्वाचन आयोगले राप्रपाको विधान सच्याउने निर्णय थाती राख्यो,"काठमाडौं : निर्वाचन आयोगले राष्ट्रिय प्रजातन्त्र पाटीको विधानबाट राजतन्त्र र हिन्दु राष्ट्र सम्बन्धी शब्दावली हटाउने विषयमा गरेको निर्णय तत्कालका लागि कार्यान्वयन नगर्ने भएको छ। सत्तारुढ दल राप्रपाको दबाबपछि निर्वाचन आयोगले तत्कालका लागि उक्त निर्णय कार्यान्वयन गर्ने निर्णय गरेको हो। निर्वाचन आयोगको निर्णयप्रति आपत्ति जनाउदै आएको राप्रपाले पार्टीको अनुरोधलाई दृष्टिगत गरेर उक्त निर्णय कार्यान्वन नगर्ने निर्णय गरेको बताएको छ। आयोगको यो निर्णयसँगै राप्रपाले आयोगविरुद्ध गर्दै आएका आन्दोलनका कार्यकम समेत फिर्ता लिएको छ। निर्वाचन अयोगले राप्रपाको प्रस्तावना र उद्देश्यमा रहेको सर्वधर्म समभाव र पूर्ण धार्मिक स्वतन्त्रतासहितको सनातन हिन्दुराष्ट्र एवम् राजसंस्थासहितको लोकतन्त्र भन्ने वाक्य हटाउने निर्णय गरेको थियो। उक्त निर्णयको चर्को विरोध भएपछि राजनीतिक वातावरणलाई सामान्य बनाउन निर्वाचन आयोगले चैत २ गते गरेको उक्त निर्णय तत्कालका लागि कार्यान्वयन नगर्ने निर्णय गरेको हो। स्थानीय तहको निर्वाचन राप्रपाको मुख्य एजेण्डा भएको, निर्वाचन सुनिश्चितता पार्टीको प्राथमिकता भएको तथा निर्वाचन आयोगले पार्टीको माग बमोजिमको बिषय हाल कार्यान्वयन नगर्ने निर्णय गरेको तथ्य समेत दृष्टिगत गर्दै पार्टीले संचालन गर्ने संघर्षको कार्यक्रम अहिलेलाई स्थगित गरिएको छ, आयोगको निर्णयपछि राप्रपाका प्रवक्ता सुशीलकुमार श्रेष्ठले सार्वजनिक गरेको विज्ञप्तिमा भनिएको छ, यद्यपि पार्टी विधान संशोधन गर्ने निर्वाचन आयोगको निर्णय पूर्ण रुपमा नसच्याइएसम्म राप्रपाको विरोध जारी रहने छ र आगामी चुनावमा समेत यो बिषयलाई सशक्त ढंगबाट उठाइने छ।"
निर्वाचनपछि संविधान संशोधनबारे सोचिनेछ: ओली,"काठमाडौँ: नेकपा एमालेका अध्यक्ष केपी शर्मा ओलीले स्थानीय तहको निर्वाचनपछि मात्र संविधान संशोधनबारे सोच्न सकिने बताउनुभएको छ। थाइल्यान्डमा नियमित उपचार गरी बिहीबार स्वदेश फर्केपछि त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा पत्रकारसँग कुरा गर्दै उहाँले निर्वाचनमा अड्को थाप्ने र निर्वाचनसँग असम्बन्धित विषय अघि सारेर अल्मल्याउने काम गर्न नहुने जनाउँदै तोकिएको समयमा एकै चरणमा निर्वाचन हुनुपर्ने अडान दोहोर्याउनुभयो। सरकारले संविधान संशोधनको नयाँ विधेयक एक साताअघि व्यवस्थापिकासंसद्मा दर्ता गरेको थियो । अध्यक्ष ओलीले भन्नुभयो, 'वैशाख ३१ गतेको स्थानीय निर्वाचन हुन्छ भन्नेमा बट र इफ भन्ने हुँदैन । यो लोकतन्त्रका लागि भात खानु जस्तै हो । यसमा सबैले भाग लिएर जनताका बीचमा निर्वाध आफ्ना कुरा राख्न म आग्रह गर्दछु।' दुई चरणमा स्थानीय निर्वाचनको सम्भावनाबारे सोधिएको प्रश्नमा उहाँको जवाफ थियो, 'दुई चरणमा त हुन्छ, अहिले स्थानीयको हुन्छ, कात्तिकमा प्रदेशको हुन्छ।' विभिन्न मधेसी दल आपसमा एकीकरण हुनु सकारात्मक कार्य हो भन्दै उहाँले पार्टीले निर्वाचनको घोषणापत्र जारी र उम्मेदवार चयनको अन्तिम प्रक्रियामा रहेको पनि उल्लेख गर्नुभयो। ओलीले स्वास्थ्य परीक्षणका क्रममा चिकित्सकको सुझावअनुसार आफ्नो हर्नियाको शल्यक्रिया गरिएको र त्यो सफल भएको बताउनुभयो । अध्यक्ष ओलीलाई पार्टीका उपाध्यक्ष वामदेव गौतम, महासचिव ईश्वर पोखरेल, नेता सुवास नेम्बाङलगायतले स्वागत गर्नुभएको थियो । रासस"
जिल्लालाई तीन तहमा वर्गीकरण गरेर सुरक्षा दिइरहेका छौंः गृहमन्त्री निधि,"काठमाडौंः उपप्रधान एवं गृहमन्त्री विमलेन्द्र निधिले सरकारले जिल्लाहरुलाई तीन तहमा वर्गीकरण गरेर सुरक्षा प्रदान गरिरहेको बताउनु भएको छ। बिहीबार बसेको संसद बैठकमा बोल्दै गृहमन्त्री निधिले जिल्लालाई सामान्य, संवेदनशील र अति संवेदनशील गरी तीन तहमा वर्गीकरण गरेर निर्वाचनका लागि सरकारले सुरक्षा प्रदान गरिरहेको बताउनु भएको हो। गृहमन्त्री निधिले निर्वाचनका लागि आवश्यक सुरक्षा प्रबन्ध मिलाइसकिएको बताउनुभयो। उहाँले निर्वाचनमा बाधा पुर्याउने र निर्वाचन विथोल्नमाथि कडा कानुनी कारबाही गर्न सरकार कटिबद्ध रहेको स्पष्ट पार्नु भयो। गृहमन्त्री निधिले निष्पक्ष रुपमा निर्वाचन गराउन, निर्वाचन सम्बनधी सामाग्रही ढुवानी गर्न तथा विजयी जुलुस निकाल्दा चाहिने आवश्यक भरपर्दो सुरक्षा व्यवस्था मिलाइएको बताउनु भयो। केन्द्रमा निर्वाचन परिचालन योजना लागू भइसकेको बताउँदै उहाँले जिल्लामा पनि लागू गर्न आफूले निर्देशन दिइसकेको बताउनुभयो। उहाँले निर्वाचनका लागि राजनीतिक वातावरण आवश्यक रहेको बताउनुभयो। उहाँले भन्नुभयो,निर्वाचनका लागि राजनीतिक वातावरण आवश्यक छ। सरकार र दलहरुको यसतर्फ ध्यान जानु जरुरी छ। उहाँले निर्वाचनकाे माहाैल बनाउन दलहरुले दलगत अभियान थाल्न जरुरी रहेकाे बताउनु भयाे।"
संसद र सरकारको चाला हेर्दा चुनाव हुनेमा शंकै लाग्छः खतिवडा,"काठमाडौंः नेपाली कांग्रेसका सांसद रामहरि खतिवडाले सरकार र संसदको चाला हेर्दा कतै चुनाव हुँदैन कि भन्ने शंका उत्पन्न हुन थालेको बताउनु भएको छ। बिहीबारकाे संसद बैठकमा विशेष समय लिएर बोल्दै सांसद खतिवडाले सरकारका पछिल्ला गतिविधि हेर्दा स्थानीय तहको निर्वाचन हुनेमा शंका रहेको बताउनुभयो। उहाँले भन्नुभयो,निर्धारित मितिमै स्थानीय तहको निर्वाचन हुनु पर्छ। संसद र सरकारको चाला हेर्दा हुँदैन कि भन्ने लाग्न थालेको छ। संसद बैठकमा बोल्दै एमाले सांसद राजन भट्टराईले काठमाडौं अहिले धुलोमाण्डुको रुपमा चिनिन थालेको भन्दै धुलो हटाउन सरकारसँग माग गर्नु भयो। उहाँले नेपाल आउने विदेशी पर्यटकहरु काठमाडौं बस्न छोडेको समेत बताउनुभयो। उहाँले भन्नुभयो,काठमाडौं धुलोमाण्डु भयो। पर्यटकहरु विमानस्थलमा ओर्लिनासाथ बस्न नगरकोट र पोखरातिर लाग्छन्। काठमाडौंमा बस्नै छोडे। भट्टराईले धुलोका कारण काठमाडौं बस्न लायन नभएको भन्दै तत्काल धुलो हटाउन सरकारलाई आग्रह गर्नुभयो।"
