शीर्षक,विवरण
अलपत्र मेलम्ची,"विगत तीन महिनादेखि मेलम्ची खानेपानी आयोजनाको निर्माण ठप्प छ। मेलम्चीको ९७ प्रतिशत काम पूरा भइसकेको थियो। अस्थायी बाँध बाँधेर गएको माघ २७ मा काठमाडौंमा पानी ल्याउने सरकारी उद्घोष थियो। भुक्तानी नपाएर काम छाडेको ठेकेदारलाई फर्काउने खानेपानीमन्त्री बिना मगरको प्रयास कर्मचारीतन्त्र र प्रधानमन्त्रीका पूर्वाधार विज्ञहरूको असहयोगका कारण सफल हुन सकेन। तर ठेकेदारलाई अघिल्ला सचिव गजेन्द्र ठाकुरले विनाकारण भुक्तानी दिएनन्। ठेक्का रद्द भयो। सचिव ठाकुर र आयोजना प्रमुख सूर्यराज कँडेलको दाउ नयाँ ठेकेदार नियुक्त गर्ने थियो। नयाँ ठेकेदार नियुक्त गर्नुको मुख्य उद्देश्य त्यसभित्र निहित कमिसन खेल थियो। नेपालको ठेक्कापट्टामा परिचालन खर्च वापत हुने अग्रिम भुक्तानीमध्ये केही अंश निर्णयकर्तामा भागबन्डा गर्ने चलन छ। यही लालचमा सिंगो आयोजनालाई धरापमा पारिएको छ । मेलम्चीको ठेकेदार विदेशी भए पनि यो पूर्वाधार निर्माणमा स्वदेशका आपूर्तिकर्ता, उपठेकेदार, कामदार, श्रमिकहरूको ठूलो लगानी परेको छ। सरकारले यसलाई भुल्नु हुन्न। रात दिन खटेर काम गरेका मजदुर र श्रमिकहरूले पाँच महिनादेखि तलब पाएका छैनन्। स्थानीय आपूर्तिकर्ताले भुक्तानी पाएका छैनन्। कूल मिलाएर झन्डै डेढ अर्ब रुपैयाँ नेपाली पक्षले ठेकेदारबाट भुक्तानी पाउन बाँकी छ। उनीहरू आफूले पाउनुपर्ने रकम सरकारले दिनुपर्ने भन्दै आन्दोलित भएका छन्। मंगलबार आयोजनास्थलमा पत्रकार सम्मेलन गरेर स्थानीय मजदुर, श्रमिक तथा आपूर्तिकर्ताहरूले आन्दोलनको उद्घोष गरे। यो उद्घोषसँगै नयाँ ठेकेदार नियुक्त गरी आफ्नो निहित स्वार्थ पूरा गर्न लागिपरेकाहरूको नियतमा ठूलो ठेस लागेको छ। सीएमसी नआउनेनल्याउने हो भने मेलम्ची अब कहिले आउँछ यकिन भन्न नसकिने अवस्था पैदा भएको छ । मेलम्चीमा नयाँ ठेक्का गर्दा प्रक्रियागत समय र थप भारयुक्त लागतका कारण पुरानै ठेकेदारलाई आपसी सहमति गरी काम चालू गराउने पक्षमा खानेपानीमन्त्री मगर थिइन्। तर आयोजना प्रमुखदेखि मन्त्रालयका उच्चपदस्थ कर्मचारी पुरानो ठेकेदारलाई काममा लगाउन नसकिने भन्दै सरकारलाई असहयोग गरिरहेका छन्। एकपटक ठेक्का रद्द भई पुनः वार्ताद्वारा उसैलाई ठेक्का दिलाइएका उदाहरण नेपालको पूर्वाधार आयोजनामा थुप्रै छन्। हाल बनिरहेको कुलेखानी तेस्रोमा पनि ठेक्का रद्द भएकै थियो। मध्य मर्स्याङ्दी जलविद्युत्मा पनि ठेक्का रद्द भएर पछि वार्ताद्वारा काम चालू गराइएको थियो। तर मेलम्चीमा सीएमसीलाई ल्याउनै हुन्न भन्ने पक्षमा केही प्रभावशाली कर्मचारीको असहयोग हुन्छ भने यसमा सरकारको निरीहता छर्लंग देखिन्छ। असहयोग गर्ने कर्मचारीलाई हटाई देश र जनताका पक्षका काम गर्न सक्ने कर्मचारी ल्याउन सक्नुपर्छ । यसका लागि प्रधानमन्त्रीको हस्तक्षेप आवश्यक पर्छ। प्रधानमन्त्रीलाई उनका केही सल्लाहकारले अभै पनि भ्रममा राखेको देखिन्छ। भ्रमित प्रधानमन्त्रीले उचित निर्णय गर्न र निर्देशन दिन सक्दैनन्। भ्रममा पार्नेहरूका आआफ्ना दाउ र स्वार्थ छन्। प्रधानमन्त्री दुविधामा परेको हो भने उनले स्वतन्त्र विज्ञहरूको सल्लाह लिनुपर्छ। भ्रम चिर्नुपर्छ। के गर्दा मेलम्चीको लागत बढ्दैन र छिटो उपत्यकामा पानी आउँछ भन्ने अर्जुनदृष्टि प्रधानमन्त्रीले लगाउनुपर्छ। खानेपानीमन्त्रीले पनि कर्मचारीले असहयोग गरे भन्दैमा त्यत्तिकै चुप लागेर बस्नु हुन्न। उनले सीधै मन्त्रिपरिषद्मा पुरानै ठेकेदारलाई काममा लगाउने प्रस्ताव लैजानुपर्छ । मेलम्चीसित राष्ट्रिय स्वार्थको अर्काे ठूलो आयोजना पनि जोडिएको छ तनहुँ हाइड्रो। तनहुँले पनि एकतर्फी ठेक्का रद्द गरिसकेको छ सीएमसी नआएका कारण। तनहुँको पनि पुनः ठेक्का गर्नुपयो भने यसको लागत र समय पुनः वृद्धि हुनेछ, जुन मुलुकका लागि दुर्भाग्य हो। अन्तर्राष्ट्रिय दातृ निकायसित व्यापारिक ऋण लिएर आयोजना बनाउने अनि यो र त्यो बहानामा लम्बिने पुरानो रोग यसमा पनि देखिने डर छ। यसले समग्र मुलुकको कमजोर ठेक्का व्यवस्थापन, अनिर्णय मात्र होइन, कमिसन लालचलाई पनि उजागर गर्छ। तसर्थ तत्काल सीएमसीलाई फर्काउन दुई कारणले सरकार गम्भीर हुनैपर्छ। पहिलो कम लागत र छोटो समयमा पानी ल्याउन। दोस्रो नयाँ ठेकेदार नियुक्त गर्दा काम गर्न नसक्ने स्थिति प्रस्ट भएकाले आयोजनाको भविष्य अन्योलमा पार्न नदिन। यति पनि गर्न नसक्ने हो भने झन्डै दुईतिहाइको सरकार कति कमजोर र नालायक रहेछ भन्ने सन्देश जनतामा प्रवाहित हुनेछ र यो सरकारबाट जनताले थप अपेक्षा गर्न छाडिदिनेछन् ।"
दुई सय नेपाली विद्यार्थीलाई भारतले दियो स्वर्ण जयन्ती छात्रवृत्ति,"काठमाडौँ : काठमाडौंस्थित भारतीय दूतावासले नेपालका विभिन्न विश्वविद्यालय र कलेजमा स्नातक तहका २०० जेहेन्दार नेपाली विद्यार्थीलाई शैक्षिक सत्र २०१८२०१९ का लागि स्वर्ण जयन्ती छात्रवृत्ति प्रदान गरेको छ । यस वर्ष नेपालका ५० जिल्लाको विद्याथीहरुले एमबीबीएस, बीडीएस, बीई, बीएससी, बीबीए र बीकमसहित ३६ वटा स्नातक कोर्षका लागि छात्रवृत्ति पाउनेछन् । यी विद्यार्थीमध्ये ४५ प्रतिशत छात्रा र ८ प्रतिशत अपाङ्ग छन् । होटेल हायात रिजेन्सीमा आयोजित स्वर्ण जयन्ती छात्रवृत्ति समारोहका प्रमुख अतिथि शिक्षा सचिव खगराज बरालले २०० विद्यार्थीलाई छात्रवृत्तिका लागि योग्यताको प्रमाणपत्र प्रदान गरे । नेपालका लागि भारतीय राजदूत मञ्जीव सिंह पुरीले छात्रवृत्ति प्राप्त गर्ने विद्यार्थीहरुलाई बधाई दिँदै व्यक्तिगत तथा व्यवसायिक सफलता हासिल गर्न सल्लाह दिदए । उनीहरुको सफलताले नेपालको सामाजिक आर्थिक विकासमा टेवा पुर्याउनुका साथै भारतनेपाल सम्बन्धलाई थप मजबुत बनाउने उनले बताए । सन् २००२ मा भारत सरकारले भारतनेपाल आर्थिक सहकार्य को ५० वर्ष पुरा भएको अवसरमा यस प्रतिष्ठित स्वर्ण जयन्ति छात्रवृत्तिको सुरुवात गरेको थियो । यस छात्रवृत्ति कार्यक्रमको पहिलो संस्करण अन्तर्गत ५० जेहेन्दार नेपाली विद्यार्थीहरुलाई छात्रवृत्ति प्रदान गरिएको थियो । सन् २००७ मा सो छात्रवृत्ति संख्या वृद्धि भइ १०० पुगेको थियो । सन् २०१२ यता छात्रवृत्ति संख्या दुई गुनाले वृद्धि भएर २०० भएको छ । यस छात्रवृत्ति कार्यक्रम अन्तर्गत एमबीबीएस बीडीएसका विद्यार्थीले पाँच वर्षसम्म प्रतिमहिना ४ हजार, बीईका विद्यार्थीले चार वर्षसम्म प्रतिमहिना ४हजार र अन्य स्नातक कोर्षका विद्यार्थीले तीन वर्षसम्म प्रतिमहिना तीन हजार प्राप्त गर्नेछन् । हालसम्म नेपालका ७७ जिल्लका २३५० भन्दा बढी नेपाली विद्यार्थीलाई स्वर्ण जयन्ती छात्रवृत्ति प्रदान गरिसकिएको छ । नेपाल तथा भारतका विश्वविद्यालय तथा कलेजमा चिकित्सा, विज्ञान, पशु विज्ञान, औषधि विज्ञान, दन्त विज्ञान, कृषि, इन्जिनियरिङ्ग, कला, कमर्स, विज्ञान, कम्पुटर विज्ञान, नर्सिङ तथा अन्य विभिन्न विषयका अध्ययनका लागि भारत सरकारले कूल ३००० छात्रवृत्ति प्रदान गर्दछ । यी छात्रवृत्तिहरु नेपाल तथा नेपाली जनताको समग्र सामाजिकआर्थिक विकासका निमित्त नेपालमा मानव स्रोतको विकासमा सहयोग पुर्याउन भारतको प्रयासको एक हिस्सा भएको बताइएको छ ।"
महिलाको शव फेला,राजविराज : सप्तरीको कञ्चनरुप नगरपालिकामा बुधबार एक महिलाको पासोमा झुण्डिएको अवस्थामा शव फेला परेकी छन्।कञ्चनरुप नगरपालिका ५ पिप्रा पूर्व बस्ने कुशेश्वर चौधरीकी श्रीमती २५ वर्षीया माला चौधरीको शव फेला परेको सप्तरी प्रहरीले जानकारी दिएको छ। बारीमा रहेको आँपको रुखमा साडीको पासो लगाई झुण्डिएको अवस्थामा शव फेला परेको जिल्ला प्रहरी कार्यालयका प्रहरी उपरीक्षक राजेन्द्र विष्टले बताए। शव पोष्टमार्टमका लागि राजविराजस्थित अस्पताल ल्याइएको छ।मृतकको घर र माइत पक्षका परिवारका सदस्यहरु कोही पनि नआएकाले बुधबार पोष्टमार्टम हुन नसकेको अस्पतालले जनाएको छ।मृतकका श्रीमान वैदेशिक रोजगारमा छन्।
सहायक वन अधिकृत साह ३० हजार घुससहित पक्राउ,"धनगढी : कैलालीका सहायक वन अधिकृत ३० हजार घुससहित पक्राउ परेका छन्। बुधबार दिउँसो वन अधिकृत भरतप्रसाद साहलाई बिचौलिया मार्फत ३० हजार रुपैयाँ घुस लिँदै गरेको अवस्थामा अख्तियार दुरुपयोग अनुसन्धान आयोग महेन्द्रनगरको टोलीले पक्राउ गरेको हो। उनलाई धनगढीको तारानगरमा रहेको सव डिभिजन वनकार्यालयको आफ्नै कार्यकक्षमा सेवाग्राहीबाट घुस लिँदै गरेको अवथामा रंगे हात पक्राउ गरेको अख्तियार दुरुपयोग अनुसन्धान आयोग कञ्चनपुरका प्रमुख प्रेमसागर केसीले जानकारी दिए। रोकिएको काठ सम्बन्धी मुद्धाको फाइल सहज बनाइदिन्छु भनेर घुस लिएको भेटियो', उनले भने, त्यसपछि प्रहरी प्रशासन लगाएर पक्राउ गरेको हो।' सुनसरीको इनरुवा नगरपालिका ३ का साहलाई थप अनुसन्धानको लागि अख्तियारको मुख्यालयमा पठाइने र घुस सम्बन्धी मुद्धा चलाइने जनाइएको छ।"
बलात्कारपछि बालिका हत्या गर्ने युवकलाई जन्मकैद,"भोजपुर : बालिकालाई बलात्कारपछि हत्या गरेको अभियोगमा एक युवकलाई जिल्ला अदालत भोजपुरले जन्मकैदको फैसला सुनाएको छ । अदालतले ११ वर्षीया बालिकालाई बलात्कारपछि हत्या गरेको अभियोगमा साल्पासिलिछो गाउँपालिका५, दोभाने सालेवाका २० वर्षीय सञ्जय राईलाई जन्मकैदको सजाय सुनाएको हो । जिल्ला न्यायाधीश हरिश्चन्द्र ईङ्नामको एकल ईजलासले राईलाई जबरजस्ती करणी उद्योगमा ८ वर्ष र ज्यान मारेको अभियोगमा जन्मकैदको फैसला सुनाएको हो । अदालतको फैसलाले मृतक बालिकाको परिवारलाई अभियुक्त राईबाट एकलाख क्षतिपूर्ति दिने निर्णय ठहर गर्दै जन्मकैदको फैसला सुनाएको जिल्ला अदालत भोजपुरका निमित्त श्रेस्तेदार नवीन कोइरालाले जानकारी दिए । पीडक राईले गत भदौ १० गते बेलुका मोबाइलमा फिल्म हेर्दै सुतेकी ११ वर्षीया बालिकालाई बलात्कार गरेपछि आमाबुवालाई सुनाइदिने डरले घाँटी थिचेर हत्या गरेका थिए । पीडित परिवारको उजुरीका आधारमा उनलाई घरबाटै नियन्त्रणमा लिइएको थियो । मृतक बालिका दोभानेको सालेवामै आमा धनमनी र सौतेनी बुवा राजन राईसँग बस्दै आएकी थिइन् ।"
पोका तेलले विस्थापित हुँदै तोरीखेती,"बाजुरा : यतिबेला तोरी फूलेर पहेलै हुने बाजुराका खेतबारी यतिखेर गहुँ जौंले हरियाली छन्। पछिल्लो समयमा बजारमा सहजै पोका र बोतलमा तेल उपलब्ध हुने भएपछि किसानले तोरी खेती गर्न छोडेका हुन्।प्रत्येक गाउँमा तोरी पेल्नका लागि बनाइएका कोल समेत हराउँदै गएका छन्। पहिले गाउँघरमा प्रत्येकका बारीमा तोरीको खेती गर्ने र कोलमा पेलेर तेल निकाल्ने चलन थियो।गाउँघरमा प्लाष्टिकको पोकामा विभिन्न कम्पनीका तेल भित्रिन थालेपछि पौष्टिकयुक्त तोरीको तेल विरलै पाइने गरेको छ। बजारमा सजिलैसँग पोकाको तेल खरिद गर्न पाइने भएपछि खर्चिलो समय, तोरी पेल्न अप्ठ्यारो हुने झन्झटले तोरी खेती हराउँदै गएको किसान बताउँछन्। किसानलाई मिसावटयुक्त तेलबाट स्वास्थ्यमा हुने वेफाइदा बारेमा भने जानकारी छैन। जानकारी भएकाले समेत तोरी लगाउन छाडिसकेका छन्। पहिले गाउँघरमा तोरी खेती गरेर उत्पादित दानाको अचार बनाइने, पीनाले कपडा र टाउको धुने गरिन्थ्यो। तोरीबाट तेल निकाल्न झन्झटिलो हुने भएकाले आफूले तोरी खेती गर्न छोडेको बडिमालिका नगरपाकिला१ सल्लेनाकी ७० वर्षीया काली कार्कीले बताइन्।'पैला हाम्रा दिनमी पोकाको तेल भन्या देख्नु त परजाओस् नाम समेत सुन्याका छियाउनौ। केही त्यार आया पछि गाउँका महिला दिदी बहिनी र पुरुष मिलेर कोल पेलेर त्यार बनाउँदा छियौ,' कार्कीले स्थानीय भाषामा अन्नपूर्ण पोस्ट्लाई बताइन्।' 'पहिले अन्य तेल पाइँदैनथ्यो। तोरी खेतिबाट आफूलाई चाहिनेजति तेल निकालिन्थ्यो।पोका तेलले अहिलेका किसानलाई अल्छि बनाएको कार्कीले बताइन्।हाल गाउँघरमा फाट्टफुट् मात्र तोरी खेती गर्ने गरेको जिल्ला कृर्षि ज्ञान केन्द्रले जानकारी दिएको छ।जिल्लाको अधिकांश ठाउँ तोरी खेतीका लागि उपयुक्त भएपनि पछिल्लो समय तोरी लगाउन छोडिएको छ। बजारमा पाइने तोरीको तेल (उत्सव,सूर्यमुखी, धारालगायत हरेक प्रकारका तेलहरु) घर नजिको पसलबाट किन्न पाइने भएपछि तोरी लगाउन छोडेको बुढापाकाहरु बताउँछन्।तोरी खेती कम भएसँगै जिल्लामा माहुरीको संख्या पनि घट्दै गएको किसान बताउँछन्।आफ्नै बारीमा उत्पादित तोरी खेतीको महत्व नबुझ्दा किसानले खेती छोडेका हुन्।त्यसैले किसानलाई तोरीको खेतिप्रति आकर्षित गर्न सम्बन्धित पक्षको ध्यान जानु जरुरी छ।"
म्याग्दीमा पौडी खेल्न गएका किशोर बेपत्ता,बेनी : पौडी खेल्न गएका एक किशोर बुधबार अपराहन्न म्याग्दी नदीमा डुवेर बेपत्ता भएका छन्। अन्नपूर्ण गाउँपालिका ८ राम्चे काफलडाँडाका अन्दाजी १४१५ वर्षका हेमचन्द्र गर्बुजा पौडी खेल्ने क्रममा बेनी स्थित म्याग्दी नदीमा बेपत्ता भएका जिल्ला प्रहरी कार्यालयले जनाएको छ। बेनी नगरपालिका ७ मंगलाघाटमा आफन्तको कोठामा बस्दै आएका गर्बुजा अन्य तीन जना साथीहरुसँगै पौडी खेल्न गएका थिए। गर्बुजासँगै पौडी खेल्न गएका बेनी नगरपालिका ७ महारानीथानका अन्दाजी १६१७ वर्षका निलप्रसाद छन्त्याललाई भने उद्धार गरेर प्राथमिक उपचारपछि आफन्तको जिम्मा लगाएको प्रहरीले जनाएको छ।
ज्वाईको हत्या गर्ने ससुरा जेल चलान,राजविराज : अन्तरजातीय प्रेमविवाह गरेका एक युवकको हत्या आरोपमा उनका ससुरालाई १० वर्ष कैदसजाय भएको छ। जिल्ला न्यायाधीश जवाहरप्रसाद सिंहको इजलाशले अभियुक्त राजविराज नगरपालिका९ मलेठका ५२ वर्षीय रामदयाल साहलाई मंगलबार १० वर्ष कैदसजायको फैसला गरेको हो। सप्तरीको तिरहुत गाउँपालिका१ त्रिकोल घर भई राजविराज नगरपालिका ५ स्वर्ण टोलमा डेरा गरी बस्ने २८ वर्षीय दिपेन्द्रकुमार मण्डलको हत्या आरोपमा उनका ससुरा रामदयाललाई कैद सजाय भएको स्रेस्तेदार दिलकुमार वर्देवाले बताए। हत्या आरोपमा पुर्पक्षका लागि राजविराज कारागारमा थुनामा रहेकी मृतककी श्रीमति २३ वर्षीया अन्जना साहलाई भने अदालतले सफाइ दिएको छ। जिल्ला अदालतको आदेशमा रामदयाल र उनकी छोरी अन्जना गत असार २७ गतेदेखि पुर्पक्षका लागि राजविराज कारागारमा थुनामा थिए। दिपेन्द्रलाई गत जेठ २९ गते राति हत्या गरेको भन्दै जिल्ला प्रहरी कार्यालयले दुबैजनालाई पक्राउ गरी कर्तव्य ज्यानको मुद्दा चलाएको थियो। अन्तरजातीय प्रेमविवाह गरेकी अन्जना मृतक मण्डलकी कान्छी श्रीमति हुन्। एउटा छोरीको जन्म भएपछि अन्जना र दिपेन्द्रबीच मनमुटाव बढदै गएको थियो। मनमुटाव र विवादपछि अन्जना राजविराज नगरपालिका९ मलेठस्थित माइतमा बस्न थालिन् भने दिपेन्द्र जेठी श्रीमति रेश्मीदेवीसँग बस्न थाले। अत्यधिक मादक पदार्थ सेवन गरी कान्छी श्रीमति अन्जना र छोरीलाई भेटन पुगेका मण्डलको वादविवादकै क्रममा ससुराको कुटपिटबाट मृत्यु भएको सप्तरी प्रहरीले जनाएको छ।
प्रहरीलाई घुस दिने दुई चालक पक्राउ,"भक्तपुर : सडक जाँचमा खटिएका प्रहरीलाई चेकजाँच छल्न पैसा (घुस) दिने दुई चालकलाई भक्तपुर प्रहरीले नियन्त्रणमा लिएको छ। महानगरीय प्रहरी परिसर भक्तपुरका अनुसार सिन्धुपाल्चोकको चौतारा नगरपालिका१० घर भएका हाल काठमाडौंको काँडाघारी बस्ने २८ वर्षीय मन्दिर माझी र धनुषाको ढल्केबर नगरपालिका६ बस्ने २५ वर्षीय प्रेम बिकलाई नियन्त्रणमा लिएको हो। सडक जाँचका क्रममा माझीले रुट परमिटको कागजातभित्र लुकाइ एक हजार एक सय ५० रुपैयाँ प्रहरीलाई दिएको परिसरका प्रवक्ता प्रहरी नायब उपरीक्षक रेवतीरमण पोखरेलले जानकारी दिए। उनका अनुसार माझीले गएको आइतबार जिल्लाको मध्यपुर थिमी नपा २ सानोठिमी मनोहरा स्थितमा महानगरीय प्रहरी प्रभाग सानोठिमी भक्तपुरबाट खटिएको प्रहरी टोलीलाई उक्त रकम दिएका थिए। प्रहरी टोलीले उक्त सडकमा सवारीसाधन चेकजाँच गर्ने क्रममा सानोठिमीबाट पेप्सीकोलातर्फ जाँदै गरेको बा २ ख ७२७१ नम्बरको मिनी टिपरका चालक माझीले उनको गाडी लाई चेकजाँच गर्दा रुट परमिटको कागजातभित्र लुकाएर प्रहरीलाई पैसा दिएका थिए, प्रवक्ता प्रनाउ पोखरेलले भने, हामीले सवारीसाधन र चालक माझीलाई नियन्त्रणमा लिएका छौं। त्यस्तै बुधबार सोही ठाउँमा खटिएको प्रहरी टोलीलाई सवारी साधन चेकजाँच गर्ने क्रममा ब्लुबुकभित्र एकसय रुपैयाँ लुकाई दिने अर्का चालक बिक प्रहरी नियन्त्रणमा परेका हुन्। ना ५ ख ७५८६ नम्बरको ट्रक चलाएर काठमाडौंबाट भक्तपुरतर्फ आउँदै गरेका बिकले चेकजाँच छल्न प्रहरीलाई एकसय रुपैयाँ दिएका थिए। प्रहरीले बिक र सवारीसाधनलाई नियन्त्रणमा लिएको छ। दुवैजनालाई भक्तपुर जिल्ला अदालतबाट म्याद थप गरी आवश्यक अनुसन्धान कार्य भइरहेको प्रहरी नायब उपरीक्षक पोखरेलले जानकारी दिए।"
चुनावी परिणमले नेपालभारत सम्बन्धमा फरक पर्दैन : राजदूत आचार्य,"नयाँ दिल्ली : भारतका लागि नेपाली राजदूत नीलाम्बर आचार्यले भारतमा हुने चुनावको परिणामले दुई देशको सम्बन्धमा कुनै असर नपर्ने बताएका छन् । भारतीय राष्ट्रपति रामनाथ कोविन्दसमक्ष ओहोदाको प्रमाणपत्र बुझाएपछि नेपाली दूतावासमा कुरा गर्दै राजदूत आचार्यले यस्तो बताएका हुन् । भारतमा लोकसभा चुनावको सरगर्मी बढेका बेला राजदूत आचार्यले आफ्नो कामबारे पनि जानकारी दिए । भारतमा चुनावी सरमगर्मी बढेकाले व्यक्तिगततहमा सम्बन्ध विस्तारका लागि भेटघाटलाई तीब्रता दिने बताए । 'यहाँ अहिले चुनाव लागेको छ, द्धिपक्षीय सम्बन्धबारेमा तत्काल केही निर्णय भइहाल्छ भन्ने हुँदैन', उनले भने, 'तर यसबीचमा व्यक्तिगत, सरकारी र प्रशासनिक क्षेत्रबीच सम्बन्ध बिस्तार गर्ने प्रयास गर्छु ।' दुई मुलुकबीच विश्वासको वातावरण थप मजबुत बनाउन आफनो प्रयास रहने आचार्यले बताए । 'नेपालभारतबीच सदियौ पुरानो मित्रता छ । त्यसलाई विकसित गर्दै लानुपर्छ र बनाइ राख्नु (मेन्टेन) पनि गर्नु पर्छ', उनले भने, 'त्यसका लागि मित्रता र सहयोगको क्रम बढाउँदै लानुपर्छ । सम्भावनाका नयाँ क्षेत्र पहिल्याउनु पर्छ र सहकार्यमा जोड दिनुपर्छ ।' राजदूत आचार्यले दुई मुलुकबीचको आपसी विश्वासलाई धक्का पुर्याउने विषय भए दुई पक्षमा छलफल गरेर टुंग्याइ हाल्नु पर्नेमा जोड दिए । 'यो अभ्यास निरन्तर हुनुपर्छ । सम्झौता र आश्वासनहरु लाइ व्यवहारिक तहमा कार्यान्वयन गर्नु पर्छ । पुरा नहुने स्थिति छ भने त्यसलाई पनि छलफलमा ल्याइहाल्नु पर्छ', आचार्यले अगाडि भने । नेपालभारत सम्बन्ध सही दिशामा अघि बढिरहेको पनि राजदूत आचार्यले भने । 'यो सम्बन्धलाई थप प्रभावकारी बनाउने दिशातर्फ अगाडि बढनुपर्छ', उनले भने, 'जे जति समस्या आउँछन्, अथवा रहेका छन् त्यसलाई द्धिपक्षीय वार्ताबाट समाधान गर्नुपर्छ, मेरो जोड पनि यसैमा रहनेछ ।' भारतमा आगामी महिना हुन लागेको लोकसभा निवार्चनपछि आउने परिणामले नेपालभारत सम्बन्धमा कुनै फरक नपर्ने आचार्यले बताए । 'निर्वाचन परिणाम जस्तो आए पनि दुई मुलुकबीचको घनिभूत सम्बन्धमा कुनै फरक पर्दैन', उने भने, 'नेतृत्व परिवर्तन हुँदैमा सम्बन्धका प्राथमिकता बदलिँदैनन् । दुई मुलुकबीचको घनिष्ट सम्बन्ध सरकार र प्रतिपक्षी सबैसँग समान हुन्छ ।' राजदूत आचार्यले ओहोदाको प्रमाणपत्र बुझाउनुअघि भारतीय विदेश सचिव विजय गोखलेसँग अनौपचारिक भेटघाट गरेका थिए । उनले कश्मीरको पुलवामा आक्रमणपछि भारतले दक्षिण एशियाली मुलुकका नियोग प्रतिनिधिलाई गरेको बिफ्रिङ्गमा सहभागी भएका थिए ।"
